-0.0013559-0.0013926i,0.00023614-0.00074728i,-0.0011063-0.001907i,-0.0033089-0.0015033i,-0.0036679+0.00080533i,-0.0026583+0.0027577i,-0.001987+0.0026312i,-0.00070315+0.0013065i,0.00051125+0.00062955i,0.00075775+0.00032309i,0.001213+0.00056974i,0.0011332+0.00048639i,0.00075834+0.00045481i,0.00046183+0.00032396i,-0.00039967+0.00026828i,-0.0010983+0.0010612i,-0.00071567+0.00087227i,-1.5133e-05+0.00020663i,-9.9611e-05+0.00035543i,6.0822e-05+0.00066859i,0.0003811+0.00066494i,7.4891e-05+0.00017345i,0.0004162+4.9307e-05i
-0.00076271-0.00054715i,0.00036424-2.2167e-05i,0.00050529+0.00064852i,-0.00095117+6.4014e-05i,-0.0022053-0.00018007i,-0.0017282+0.00069993i,-0.00056761+0.0017937i,3.4275e-05+0.0018131i,2.6165e-05+0.0011343i,-6.6101e-05+0.0013772i,0.00031736+0.0016603i,-0.00013721+0.0012567i,-0.0005231+0.00057408i,-6.3784e-05+0.00082684i,0.00025404+0.0015152i,0.00014616+0.0011011i,-0.00035016+0.00030721i,-0.001002-0.00020839i,-6.484e-05-7.8742e-05i,0.00076837-0.00022864i,0.00036386-0.00017945i,0.00022546+0.00054007i,0.00023967+0.00058952i
-0.00055188+0.0043538i,-0.0014016+0.0050836i,-0.00070919+0.0038925i,-0.001022+0.0013441i,-0.0019951-0.00033092i,-0.002491-0.00013742i,-0.002089+0.00068915i,-0.00067558+0.0010351i,0.00021389+0.00099841i,0.00053026+0.00077828i,0.00095338+0.00055511i,0.0010179-0.00015479i,0.00079451-0.00012555i,1.8809e-05+5.9562e-05i,-0.00047497-0.00012431i,-0.00012678+8.8818e-05i,0.00025147-5.014e-05i,3.3585e-05+0.0001924i,-0.00036435+1.9539e-05i,-0.00037417-0.00062044i,-0.00011669-0.00052829i,-0.00011802+0.00013245i,-4.2601e-05+0.00025435i
0.00090631+0.0012052i,0.0010149+0.0013905i,0.00013454+0.00026273i,-0.0010346-0.0011151i,-0.0022208-0.001426i,-0.0033629-6.8473e-05i,-0.0025076+0.00073768i,-0.00083089+0.00023052i,-2.758e-05-0.00096844i,0.00031033-0.0016352i,0.00013566-0.001054i,-4.7609e-05+2.6971e-05i,0.00039933+0.00025373i,0.00067985-0.00052992i,0.0002677-0.00066871i,0.0005908-0.00054696i,0.0010457-0.00016095i,0.00035264+0.00086208i,-5.0482e-06+0.00069881i,0.00030325+0.00067437i,0.00019017+0.00054425i,8.4692e-05+0.00053547i,0.00057765+0.00079934i
-0.0011457+0.0023596i,0.00011079+0.0045287i,0.0014048+0.0040158i,0.0007727+0.0025358i,-0.0016559+0.0022832i,-0.0024657+0.0023062i,-0.0021789+0.0016578i,-0.0016779+0.00025492i,-0.0015944-0.00065766i,-0.001327-0.00025169i,-0.0010715+0.00020157i,-0.00097445+0.00041412i,-0.00059721+0.00063715i,-0.00070752+0.00014314i,-0.00060447+0.00016293i,9.605e-05+0.00039448i,0.00052278-0.00032844i,0.00032031-0.00077309i,0.00031138-0.00086289i,0.00085036-0.00059931i,0.0008036-9.9309e-05i,0.00035312+0.00046206i,2.3146e-05+0.0010292i
0.00067832+0.0014981i,0.0019183+0.0021139i,0.0018497+0.00029903i,-6.6902e-05-0.0021334i,-0.0027697-0.0019345i,-0.0031198-0.00035392i,-0.0020015+0.00071978i,-0.0014867+0.0013043i,-0.00066629+0.00085377i,-0.00081146-4.9527e-05i,-0.00042298+0.0005069i,-1.2264e-05+0.0007136i,-0.0005275-0.00056961i,-0.00069773-0.00078412i,-0.00056263+0.00028532i,-7.5983e-05+0.00043569i,-0.00018795-0.00027955i,0.00017027-0.00013851i,0.00082278-4.0432e-05i,0.00036542+3.1561e-05i,0.00025842-1.9072e-06i,0.00065846+0.00022577i,0.00029964+0.00078745i
-0.00085528+0.0016677i,-0.00012347+0.0030434i,0.0010106+0.0017536i,0.00050129-0.00066614i,-0.0018166-0.0019628i,-0.0031426-0.0012916i,-0.002175-1.9247e-05i,-0.0007656+0.00065136i,-0.00084223+0.00045599i,-0.0015834+0.0004417i,-0.0013903+0.00089728i,-0.00071403+0.00063458i,-0.00045574+0.00012648i,-0.00020366+0.00028347i,0.00048402+0.00079608i,0.00037665+0.00027148i,0.00041114-0.00094151i,0.00087499-0.00016536i,0.00013614+0.0011535i,-0.00053297+0.0012625i,0.00021923+0.00020923i,0.0010256-0.00061889i,0.0012014-0.00062508i
9.1452e-05+0.0017831i,8.6199e-05+0.0023469i,0.00092726+0.0016525i,-0.0005409-0.0010925i,-0.0024863-0.0014423i,-0.0035871+0.00012441i,-0.0027063+0.00066755i,-0.00085501+0.00083774i,-0.00011698+0.00072793i,0.00046273+0.00010377i,0.00036935-6.2859e-05i,-0.0006794+0.00057958i,-0.0014372+0.00083543i,-0.0010079+6.2218e-05i,-8.6084e-05+0.00029252i,0.00023607+0.00051237i,0.00037494-0.00029296i,0.00015768-0.00060038i,4.9816e-05-0.00018674i,0.00092523-0.00050606i,0.0011863-0.00092546i,0.00042391-0.00056772i,-0.00042853-0.00014107i
-0.0025589+0.0029561i,-0.0010452+0.0032458i,0.00094079+0.0019951i,0.00071748-7.3458e-05i,-0.0015692-0.0012705i,-0.0027092-0.0011201i,-0.0024983+0.00013274i,-0.0006301+0.001343i,0.00058689+0.00050592i,0.00048383-0.00024849i,0.00068362-0.00041365i,0.00060292-0.00060378i,0.00018118+3.1723e-05i,0.00070068+2.4273e-05i,0.0014103-1.8883e-05i,0.0012111+0.00066463i,0.00024636+0.00059896i,-0.00045605+0.0005443i,-0.00038226+0.0007329i,0.00017988+0.00050801i,1.6218e-05+0.00027255i,-0.00022198-1.9665e-05i,-0.00039286-0.00056401i
0.00066464+0.00045009i,0.0012874+0.0028038i,0.0010211+0.0018493i,-0.0010685-0.0010894i,-0.0028042-0.0023621i,-0.00372-0.0011291i,-0.0029829+0.00019781i,-0.0011939+0.00010254i,-0.00055314-0.00090042i,-0.00084115-0.0017629i,-4.025e-05-0.0013651i,0.0010853-0.00015229i,0.00056962+0.00029447i,0.00025191-9.4269e-06i,0.00059747-0.00017963i,0.00054402+0.00063046i,-0.0001602+0.00033615i,-0.00045001-0.0004836i,-2.0279e-05-0.00052632i,0.00015485-0.00045159i,0.00022395-4.3426e-05i,-1.3718e-05+0.00014403i,-0.00045975+0.00047046i
-5.0276e-05+0.0029899i,0.0006045+0.0028366i,0.0020913+0.0010842i,0.0018781-0.0020511i,-0.0012586-0.0035256i,-0.0029366-0.0022336i,-0.0027619-0.00054692i,-0.002269+0.00027561i,-0.0015562+0.00013971i,-0.0013717-0.00044494i,-0.00098081-0.0012561i,-0.00037415-0.00099315i,-0.00068018-0.0001781i,-0.00048749-0.00018193i,0.00010599-0.00042858i,0.00034913-0.0004799i,4.1574e-05-9.6382e-05i,-0.00046841-0.00012713i,-0.00024394-0.00056329i,0.00028247-0.00086895i,0.00070082-0.00045355i,0.00064473-4.9261e-05i,0.00024303-1.673e-05i
-0.0019565+0.0031261i,-0.00062087+0.0042916i,0.00095718+0.0032658i,0.00073458+0.00062516i,-0.00092357-0.00038126i,-0.0018304+0.0005694i,-0.0011665+0.0012859i,-0.0011081+0.0019797i,-0.0017038+0.0011219i,-0.00090834+0.00078866i,-0.00054673+0.0011635i,-0.00057512+0.00066362i,-0.00020933+0.000189i,-0.00034665+0.00038542i,-0.00088874+3.7817e-05i,-0.00058869-0.00059355i,0.00018603-0.00084376i,0.00053033+0.00029157i,0.00051551+0.00065349i,0.00058575-0.0001207i,0.00038411-0.00037668i,0.00013872+0.0001364i,3.0501e-06+0.00050649i
-0.00078837+0.003914i,0.00087561+0.0031703i,0.0020791+0.0026274i,0.0012628-1.2638e-05i,-0.00027884-0.002345i,-0.0023545-0.0020226i,-0.0029375+4.4352e-05i,-0.0020276+0.0012144i,-0.0013572+0.001119i,-0.00035342+0.00054815i,0.00022383+0.00024332i,0.00022615+0.00020362i,5.8253e-05+0.00053839i,-8.6841e-05-0.00052896i,0.00023591-0.0017188i,-6.521e-05-0.000925i,-0.00059545-0.00021298i,-0.00067245-0.00063083i,9.262e-05-0.00064299i,0.00024268+0.00039386i,-0.00024328+0.00038561i,1.6143e-05-0.00026018i,0.00081172-0.00021003i
0.00053775+0.0024534i,-0.00052447+0.0026764i,-0.0008743+0.00086734i,-0.00094121-0.001793i,-0.0020372-0.0031983i,-0.0040573-0.0018387i,-0.0033321+0.00038918i,-0.0013279+0.0012886i,-0.00018747+0.00093559i,-6.8164e-07+0.00031571i,-0.00018626+2.6719e-05i,-0.00049652+0.00025123i,-0.00057383+0.00094361i,-0.00075788+0.00097365i,-0.00084043+0.00039639i,-0.00035997+0.00069732i,-0.00060424+0.0010041i,-0.00058916+0.00093804i,-0.00056818+0.00049736i,-0.00076936+5.9971e-05i,-0.00063244-8.0008e-05i,-0.00020834-0.00083686i,-0.00024866-0.00082049i
0.0013476+0.0012848i,0.0035458+0.0021121i,0.0034668+0.0018553i,0.00075896-0.00058744i,-0.0010566-0.0021558i,-0.0018481-0.001239i,-0.0013092+7.8282e-05i,-0.00043621+0.00041143i,0.00059151-0.00028494i,0.0015829-0.00058998i,0.0021124-0.00040146i,0.0017852+0.00039966i,0.00039677+0.0005724i,-0.00016845+0.00037178i,0.00051784+0.0010978i,0.00064453+0.00047388i,0.00011024-0.00047676i,-0.00025615-0.0010019i,-0.00036022-0.00095375i,-0.00036198-0.0005089i,-0.0002223-0.00030066i,0.00023671-0.00014397i,0.00031989+0.00054765i
-0.00013518+0.00091474i,-0.0015917+0.0012024i,-0.0015534+0.00064807i,-0.001371-0.0007986i,-0.0026337-0.002057i,-0.0027228-0.0016285i,-0.0017845-0.00057937i,-0.00096502-0.0002531i,-0.00076614-0.00043972i,0.00037083-0.00030389i,0.0010881-0.00049493i,0.0010118-0.00066128i,0.0010345-0.0003828i,0.00028928-0.00032659i,0.00030944+3.1082e-05i,0.0005148+0.00024361i,0.00010244-0.00086932i,-1.7218e-05-0.001277i,-0.00037647-8.2384e-05i,-0.00056987+0.00020808i,-0.00060543+0.00026941i,-0.0009423+0.0001108i,-0.0007508-0.00059194i
-0.0031129+0.0014898i,-0.0017397+0.0046362i,-4.1573e-05+0.0046519i,0.00034802+0.0025473i,-0.00095361+0.00086074i,-0.0021913-5.55e-05i,-0.0022138-0.0011679i,-0.0011816-0.001478i,-0.00095147-0.0014734i,-0.0014475-0.0013624i,-0.00097026-0.00067981i,0.00036203-0.00026862i,0.00092664-0.00069361i,0.0011618-0.0013795i,0.0016055-0.0010187i,0.0015834-0.00035107i,0.0010682-0.00023087i,0.00075067+0.00017841i,0.00098439-3.5592e-05i,0.0011888+5.974e-06i,0.0011591+0.00028162i,0.00042013-0.00019717i,0.00031477-0.00020254i
-0.0033171+0.00018552i,-0.0033576+0.00065777i,-0.00217+0.001147i,-0.0013153+0.00014129i,-0.0020347+0.00020092i,-0.003824+0.001062i,-0.0034408+0.0013082i,-0.0021803+0.0013336i,-0.0023382+0.00064196i,-0.002526+0.00054193i,-0.001871+0.00052526i,-0.0007685+0.00078237i,-0.00027651+0.00078564i,-0.00014257+0.00019673i,-0.00013215+0.00043424i,-0.00025731+0.00081198i,0.00043856+0.00055192i,9.4643e-05-0.00035874i,-0.00047581-0.00099637i,-0.00029839-2.5012e-05i,-0.00029628+0.00063522i,-0.00016787+0.00027056i,-0.00053687+0.0006136i
-0.0005751+0.0013181i,0.00080044+0.0034747i,0.0021863+0.0021917i,0.0010379-0.00057154i,-0.0024733-0.0015866i,-0.003744-0.00033755i,-0.001994+0.00030343i,-0.00063433+0.00044617i,-0.000792+0.0012198i,-0.001246+0.0017473i,-0.0011063+0.0011785i,-0.00045059+0.00088243i,7.5991e-05+0.0015712i,0.00023362+0.0013088i,0.00023697-5.2633e-05i,0.00045879-0.00032873i,0.00034888-0.00021701i,-0.00010721-0.00034226i,-0.00035893-0.00055413i,-0.00016058-0.0012176i,0.0005731-0.00078925i,0.0012149+2.0949e-05i,0.0011577-0.00019266i
-0.0019389+0.00082064i,-0.0021109+0.0020183i,-0.00094189+0.0015918i,0.00019972+0.00090456i,-0.00077441+0.00090372i,-0.0018717+0.0013318i,-0.0022686+0.0010434i,-0.0017474+0.00080876i,-0.00029712+0.0014414i,-0.00010554+0.001818i,-0.00024526+0.0009395i,0.00035897-0.0003192i,0.00068267-0.00030185i,0.00052793+0.00027669i,0.00037242+4.3319e-05i,-9.3482e-05-0.00058719i,-0.00013632-0.0010643i,-8.0659e-05-0.0012403i,-0.00034481-0.00032622i,-0.0004443+0.00049433i,-0.00025015+0.00047838i,0.00013358+0.00062981i,8.7209e-05+0.00024125i
-0.0012766+0.0029006i,-1.145e-05+0.0041334i,0.00085571+0.0035504i,0.000745+0.001787i,-0.0011658-0.00051229i,-0.0024682-0.0015293i,-0.00095806-0.00041762i,0.00039991+0.00058144i,0.00035224+0.00068399i,0.00058647+0.00041353i,0.0014841+0.0004457i,0.0015041-0.00019353i,0.0010421-0.0010769i,0.00089484-0.00029918i,0.00069391+5.3736e-06i,0.00043986-0.00035139i,0.00010092-6.1241e-06i,-0.00028898+0.00059516i,-0.00081233+0.0010734i,-0.00013063+0.0012081i,0.00013296+0.00039615i,-0.00027111-0.00015358i,0.00019128+4.9183e-05i
0.00060596+0.0024236i,0.00096948+0.0020298i,0.0021071-0.00036429i,0.00051437-0.0034699i,-0.0033224-0.0040077i,-0.0051346-0.0019441i,-0.0035019-0.00072089i,-0.0013403-0.00087814i,-0.00019064-0.0015938i,0.00026342-0.0017438i,0.00065677-0.0006964i,0.00066725+0.00021518i,0.00061691-7.5927e-05i,-2.7749e-05-0.00057993i,-0.00035369-0.00022767i,-0.00057291-0.0002961i,-0.00075117-0.00059049i,-0.00018347-0.00015596i,0.00029384-0.00022561i,0.00041185-0.00023358i,0.00018841-0.00028566i,7.2147e-05+2.8052e-05i,-8.9758e-05+0.0001519i
0.0013212+6.8043e-05i,0.0013352+0.0015041i,0.0014171+0.0010456i,-0.00057842-0.00064793i,-0.003062-0.0014266i,-0.0041462-0.00052478i,-0.0030893+0.00058982i,-0.0018034-0.000392i,-0.0016117-0.0021286i,-0.00098368-0.0018655i,5.5338e-05-0.00057943i,0.00043034-0.00017627i,-0.00032766+7.5714e-05i,-0.00084266+0.00031806i,-0.00024469-0.00025001i,-0.00032273-0.00077149i,-0.0001189-0.00041865i,0.0003678-9.6608e-05i,-0.00016138+0.00029116i,0.00031249+0.0007007i,-1.3899e-05+0.00042109i,-0.00068468+0.00044254i,-0.00015479+0.0004834i
-0.00011841+0.0024184i,-0.00036583+0.0039427i,-0.0002455+0.0029208i,-0.00071854-0.00044299i,-0.0022083-0.0018066i,-0.0032816-0.00054052i,-0.0030801+0.0011755i,-0.0022062+0.0014179i,-0.0014832+0.00057655i,-0.0010558-0.00021467i,-0.00063487-0.00061776i,-0.0010154-0.00055295i,-0.00097329-6.2977e-05i,0.0001948+0.00026753i,0.00041565-9.4981e-05i,0.00051354-0.00051361i,0.00087762-0.00066859i,0.00042679-0.00042647i,-0.00064028-0.00038711i,-0.0011176-0.00034665i,-0.00047133-0.00013009i,-0.00053817-0.00048087i,-0.00073391-0.00048898i
-0.00076607+0.0012662i,-0.00016398+0.0021501i,0.00036108+0.0015574i,-5.8345e-05-8.3287e-05i,-0.0010432-0.0010015i,-0.0021489-0.00040617i,-0.0023554+0.00080438i,-0.0012458+0.00084778i,-0.00020753+0.00034778i,-0.00034528+0.00089502i,-0.00061989+0.00047033i,-1.6018e-05+0.00049217i,0.0006893+0.00037027i,0.00046579-9.0367e-05i,0.00032344-7.3695e-05i,0.00021328-0.00024426i,0.00045763+0.00012999i,0.00075105+0.00016827i,0.00062342-0.00016357i,0.00058344-0.0005248i,-0.00022568-0.00036624i,-0.00073671+9.4669e-05i,-0.00017793+7.1712e-05i
0.0012608+0.003236i,-0.0002264+0.0044897i,-0.00086067+0.0035624i,-0.0022051+0.0011755i,-0.0044585-0.00025068i,-0.0047708+0.00072208i,-0.0025013+0.0024899i,-0.00088629+0.0023384i,-0.00027655+0.00082716i,0.00050568+0.00018663i,0.00047751-8.9637e-05i,0.00046985+0.00044935i,0.00047596+0.00059512i,-0.00010585-7.477e-05i,-0.00016237-0.00019456i,0.00024703+0.00022203i,0.00079468-9.8843e-05i,0.00084008-9.4754e-05i,3.0932e-05+0.00059017i,7.6315e-06+0.00063975i,-7.248e-05+0.00010013i,-0.0006987-0.00016198i,-0.00068833+0.00023693i
0.00097077+0.0012416i,0.0022403+0.001339i,0.0036135-0.0012478i,0.0026661-0.0042754i,-0.00085579-0.004281i,-0.0035397-0.0017252i,-0.002433+0.00035528i,-7.5318e-06+0.0001425i,0.00030877-0.0010529i,-4.8091e-05-0.00075302i,-7.8565e-05-0.00035396i,0.00070002+0.00074858i,0.0010437+0.0017642i,0.00070214+0.00027691i,0.000534-0.0010391i,0.00040963-0.0010122i,-2.9881e-05-0.00075012i,-0.0005799-0.00024136i,-0.00038206+0.00067993i,-0.00025954+0.0011664i,-0.00099985+0.00065013i,-0.0015529-0.00030716i,-0.0014513-0.00046199i
0.00086417+0.0049093i,0.00021082+0.0061719i,-0.00015147+0.0044572i,-0.0022095+0.0012169i,-0.0044385-0.00085497i,-0.0047204-0.00063932i,-0.0027644+0.0004215i,-0.0010802+0.00091723i,-3.5489e-05+3.7744e-05i,0.0010388-0.00062913i,0.00082127-0.00080759i,-6.5479e-05-0.00094111i,-0.00024882-0.001051i,-0.00026478-0.0012357i,-0.00043785-0.0013648i,-0.00029787-0.00098659i,0.00028923-6.2108e-05i,0.00010063+0.00030684i,-0.00054172-0.00050326i,-0.00064671-0.0006544i,-0.00080865-0.00035425i,-0.00078151-0.00017911i,-0.00085134+0.00021894i
-0.00020358+0.0033742i,0.0017513+0.0030339i,0.0041441+0.0015985i,0.0034202-0.002272i,8.7566e-06-0.0049735i,-0.0029376-0.0041113i,-0.0027276-0.00097945i,-0.0016899+0.00054939i,-0.00081647+7.5071e-05i,-0.00025379-0.00070714i,0.00039962-0.0013774i,0.00035795-0.001261i,-0.00074224-0.00063668i,-0.00080384-0.0003017i,5.7364e-05-0.00051804i,0.00010087-4.602e-05i,-8.4655e-05+0.00023377i,0.00032705-2.9742e-05i,0.00051972+0.00015383i,-2.0736e-06-0.00011991i,-0.00029558+0.00022017i,-0.00018541+0.00095835i,-0.00029565+0.00025417i
-0.00097459+0.0018211i,-0.0010139+0.0041105i,-0.0017429+0.0039368i,-0.0029703+0.0019446i,-0.004724+0.00040635i,-0.004259+0.00045383i,-0.0021647+0.00070524i,-0.0015823+0.0004001i,-0.0018519+2.9322e-05i,-0.0020608-9.461e-05i,-0.0010866+0.0006249i,4.9222e-06+0.00069289i,-0.00043477+0.00019895i,-0.0006854+0.00013998i,-0.00076207+0.00044453i,-0.0010599+0.00012064i,-0.00075694-3.3458e-05i,-0.00058552+0.00023362i,0.00013443-0.00069227i,0.00038668-0.00056524i,0.00049995+0.0003461i,0.00085272+0.00026917i,0.00056941+0.00042546i
0.00060967+0.0029831i,0.00035086+0.0036937i,0.0011848+0.0022939i,0.00052677-0.00051414i,-0.0012821-0.0030011i,-0.0030451-0.001663i,-0.003325+0.00079986i,-0.0018132+0.0011438i,-0.00060459+0.000807i,-0.00052513+0.00049785i,-0.0012198+0.0006487i,-0.0010147+0.0012876i,-0.00027532+0.0013938i,-7.3761e-05+0.00065802i,0.00031677+0.00077558i,0.00029484+0.0001614i,-0.00033609-0.00061444i,-0.00075918-0.00024628i,-0.00069262-0.00029693i,-0.00044923-0.0004796i,-2.1152e-05+0.00020778i,0.00032472+0.00080387i,-0.00029825+0.00026923i
-0.0037326+0.0033176i,-0.0034433+0.0041016i,-0.00047584+0.0043289i,0.0017572+0.0018955i,1.6873e-05-0.0011505i,-0.0021249-0.0017306i,-0.0022763-0.00035135i,-0.0012326+0.00050418i,5.7269e-06+0.00077677i,0.00045878+0.00072325i,0.00087696+9.8053e-05i,0.0017584-0.00059294i,0.0013533-0.00059917i,0.0010513-0.00055743i,0.00076324-0.00060999i,-7.946e-05-0.00046524i,0.00027127-9.3029e-05i,0.0004668-3.0368e-05i,0.0004242+2.3874e-05i,0.00097895+9.9658e-05i,0.00075144-0.00061745i,0.00031011-0.00081577i,-0.00040443-0.00035674i
-0.0021029+0.0034181i,-0.0018487+0.0040011i,-0.00056667+0.003555i,-0.00014007+0.00036034i,-0.0014405-0.0013664i,-0.0024861-0.00093195i,-0.0029231+3.1153e-05i,-0.0024285+0.0011864i,-0.00044836+0.0012404i,0.0016692+0.00065294i,0.0014174+0.00022544i,0.000411-0.00040733i,0.00054179-0.0011101i,0.00068212-0.0011839i,0.00087957-0.0010254i,0.00058958-0.00085483i,-0.00016693-0.00049491i,-8.9192e-05-0.00080942i,-8.4421e-05-0.00078464i,-0.00021503+1.201e-05i,0.0002989+0.00043755i,9.6488e-05-3.5085e-05i,-0.0010077-0.00023442i
-4.8971e-05+0.00066609i,0.00082559+0.0030965i,0.0022407+0.003785i,0.0020855+0.0015807i,-0.0004841-0.0002899i,-0.0032316+0.00017073i,-0.0034625+0.00090648i,-0.0018811+0.00059659i,-0.00099197-6.702e-05i,5.0848e-05-0.00026158i,0.0005303-0.0001529i,0.00012285-0.00011484i,-0.00045314-0.00020453i,-0.0005715+0.00040318i,4.8255e-05+0.0002317i,0.00057844-0.00041729i,0.00040196-0.00058779i,-0.00037534-0.00092924i,-0.00057667-0.00027512i,0.00056367+0.00038819i,-2.4547e-05+0.00057608i,-0.00086051+0.00034055i,-0.00054796-0.00073075i
0.00029024+0.00065162i,-0.00020099+0.0010392i,-0.00054461-0.0011774i,-0.0029315-0.0039107i,-0.005049-0.0038746i,-0.0045181-0.0019812i,-0.0029646-0.0001784i,-0.0014606-8.2029e-05i,-0.00091486-0.0019246i,-0.0010283-0.0021489i,-0.001031-0.00043175i,-0.0010652+0.00064967i,-0.00081008+0.00077452i,-0.00046962+0.00034302i,-0.0004205+0.00019128i,-0.00062431+0.00019907i,-0.00083516-1.1669e-05i,-0.00051786-0.00015913i,6.6774e-05-0.00020455i,-0.00015165-0.00033349i,-0.00087356-0.0011008i,-0.00078778-0.0011578i,-0.00042426-0.00060537i
1.8565e-05+0.0023338i,3.2205e-05+0.003154i,0.0011366+0.0038381i,0.00094648+0.0022918i,-0.0016257-3.2716e-06i,-0.0030559-0.00061755i,-0.0015267+0.00039352i,-0.00025608+0.00089437i,-0.00036594+0.00046142i,-0.00088996+0.00064331i,-0.00082221+0.00071054i,-0.00073948+0.00091085i,-0.0011596+0.00075498i,-0.00035691+0.00054483i,0.00061247+0.00015814i,0.00099343-0.00029376i,0.00031108-0.00028438i,-0.00024097-0.00024395i,-0.00067932-0.00053425i,-0.0009085-0.0012135i,-0.00027596-0.0013573i,-4.2408e-05-0.0007827i,-0.00048443-0.00090274i
-0.00026359+0.0013939i,0.00034139+0.0021639i,0.0010229+0.0010989i,-0.00028496-0.00087028i,-0.0030077-0.001762i,-0.003958-0.00025419i,-0.0024988+0.0012782i,-0.00053875+0.00059931i,0.00072664-3.3791e-05i,0.00086317-5.0645e-05i,0.00030545+0.00060009i,9.1478e-05+0.00092866i,-6.3033e-05-5.3032e-05i,0.00044704-0.00011278i,0.00068469+0.00034832i,0.00023413+2.5273e-05i,9.8018e-05-0.0002443i,-0.00021542+0.00020814i,-0.00048924+8.0058e-05i,0.00015397-0.00012208i,0.00045692-1.1956e-05i,-9.9577e-05-0.00029659i,-8.3325e-05-0.00058473i
-0.0003941+0.0020011i,0.00068183+0.0034001i,0.0016638+0.0014327i,0.00065071-0.001787i,-0.0027522-0.002236i,-0.0039924-0.0014521i,-0.0019005-0.00074463i,-2.9015e-05-0.0005958i,0.00067233-0.00017444i,-3.1527e-06-4.855e-05i,1.4521e-05-0.00078523i,0.00086526-0.0011848i,0.0009544-0.00059741i,3.339e-05+5.0703e-05i,1.5696e-06+0.00010403i,0.00044428+0.00062349i,0.00020463+0.0010118i,-0.00045369+0.00059924i,-0.00036701-0.0001292i,-5.69e-05-0.0001077i,-0.0004626-0.00020757i,-0.00034456-0.0004681i,0.00032875-0.00049432i
0.0022971+0.0034679i,0.0012497+0.0038786i,0.00079677+0.0036709i,-0.00035383+0.00071995i,-0.0028199-0.0022711i,-0.0053895-0.0013451i,-0.0050259+0.00019989i,-0.0027446-0.00040685i,-0.00080665-0.001101i,0.00074283-0.00045995i,0.00054582-0.00041806i,-0.00082756-0.0010901i,-0.0010912-0.00054535i,-0.00055671-0.00014238i,0.00038378-0.00042171i,0.00059725-0.00013694i,-0.00055333-0.00025815i,-0.0014656-0.00063943i,-0.001156-6.8067e-06i,-0.00058501+0.0007627i,-0.00041234+0.00047351i,-9.0924e-05-7.9331e-05i,-4.6267e-05+0.00012885i
0.00018804+0.0026741i,0.002036+0.00417i,0.0041456+0.0025248i,0.0028559-0.0024637i,-0.00049335-0.0045817i,-0.0029051-0.0022296i,-0.0031375+0.00081917i,-0.0026593+0.0018202i,-0.0017892+0.0011922i,-0.00024328+0.000529i,0.00037089-0.00034645i,0.00018019-0.00070772i,-0.00039487+0.00026984i,-0.00069642+0.00015585i,-0.00039728-0.00044104i,-0.00055393-0.00024646i,-0.00079327-0.00022309i,-0.00054886-0.00026409i,-0.00038448-0.00024879i,-0.00068247-8.6352e-05i,-0.00087238-0.00013432i,-0.00074934+0.00023204i,-0.00056056+0.0002462i
-0.0010373+0.0033998i,-0.0012128+0.0034115i,-0.00099004+0.0035334i,-0.00058423+0.0022146i,-0.0013332+0.00042625i,-0.0033323+0.00026615i,-0.0030988+0.0020073i,-0.0018357+0.0028281i,-0.0012939+0.002152i,-0.00060319+0.00064187i,-0.00064986-0.00060923i,-0.0007487-0.00083847i,-0.00016015-0.00027225i,0.00090937+0.00039777i,0.0012464-0.00010612i,8.0452e-05-9.9434e-05i,-0.00064497+0.00070202i,0.00017264-6.6317e-05i,0.0011014-0.00087644i,0.0008851-0.00021415i,-0.00014736+0.00043288i,-0.00023305-0.00027802i,0.00069581-0.00072687i
0.00086168+0.0037817i,0.0023944+0.0047042i,0.0040422+0.0024722i,0.0027734-0.0021036i,-0.00029542-0.0042745i,-0.0024017-0.0012398i,-0.002009+0.00095135i,0.00022519+0.0010531i,0.00096357+0.0018478i,0.00068679+0.0019309i,0.00067114+0.00090964i,0.00020743+0.00044895i,-0.00035983+0.00020643i,-0.00078147-0.00015128i,-0.00046262-0.000247i,-0.00035778-0.00086602i,-0.00050545-0.000727i,-3.2775e-05-0.00034522i,-0.00011292-0.00084149i,-0.00082661-0.00020909i,-0.00072723+0.00049024i,-0.00049829-0.00047627i,-0.00036245-0.00072816i
3.067e-05+0.0032966i,0.00041886+0.002729i,0.0016633+0.00087653i,0.0016935-0.0026057i,-0.00038037-0.004067i,-0.0034125-0.0026711i,-0.0028165+3.4804e-05i,-8.978e-05+0.00097316i,0.0012144+0.00034279i,0.0012342+8.7543e-05i,0.0011536-0.00060434i,0.0010944-0.00071603i,0.00038466+0.00037187i,0.0003473+0.0002302i,0.0005322-0.00073631i,0.0009195-0.0002287i,0.00055885+0.00064649i,0.00017406-0.00014206i,0.00067572-0.00037503i,-0.00023389-0.00071457i,-0.0006996-0.0015205i,-5.7109e-05-0.00070103i,-0.00071483-0.00031367i
