-0.00087133-0.0002102i,0.0011691-0.0019664i,-0.00060471-0.0035207i,-0.0015677-0.003082i,-0.0011467-0.0020865i,-0.0012834-0.0014421i,-0.00049774-0.0001831i,0.00073416+0.00026092i,0.0012445-0.00050288i,0.0010711-0.0014253i,0.00091255-0.001121i,-0.00011291-0.00032564i,-0.00094367+2.3128e-06i,-0.00067588+0.0007104i,-0.00012417+0.00095477i,0.0011741+0.00045202i,0.0013697+0.00022861i,0.00024503+3.3656e-05i,-0.00057584-4.2086e-05i,-0.0003789-0.00060252i,0.00065058-0.0013844i,0.00039782-0.0009059i,-7.1913e-05-5.9107e-05i
-0.0011292-0.00076724i,-0.0016724-0.00043348i,-0.0015232+9.8034e-05i,0.00050337-0.0004306i,0.0034764-0.0006545i,0.0046937-0.00034452i,0.0036543-0.00084651i,0.0019455-0.0011001i,0.001228-0.00047642i,0.0010579+0.00038001i,0.00031204+0.00081943i,-0.00065266+0.0009275i,-0.00056829+0.00077714i,0.00021548+0.00028168i,0.00049372-4.1874e-05i,-3.1718e-05+0.00043446i,0.00023005+0.0005182i,0.00057303+0.00011979i,1.0435e-06+0.00030091i,8.7485e-05+0.00013062i,0.00034748-0.00010852i,4.2372e-05+0.00018771i,-3.7464e-05+0.00054674i
-0.00014151-0.0015724i,7.2099e-05-0.00061399i,0.00052095+0.00024863i,0.001551+0.00014977i,0.0027268-0.0012073i,0.0026203-0.0019318i,0.0016377-0.0011204i,0.00093005-8.3271e-06i,0.0011807-0.00074917i,0.00093781-0.001397i,-0.00031546-0.00050435i,-0.0012027+0.00025106i,-0.00085682+0.0001654i,-8.3477e-05+0.00010252i,0.00042344-0.00010639i,0.0010993-0.000589i,0.0017587-0.00057284i,0.0016148-0.00020194i,0.00064152-8.981e-05i,0.00023444+0.00014906i,4.918e-05+0.00026407i,-0.00026081+0.00045007i,-0.00040249+0.00035181i
-0.00017409+0.002162i,0.00017207+0.0015993i,0.0010752+0.00047306i,0.0024426-0.00027706i,0.0035575-0.0011468i,0.0036014-0.0021953i,0.0028119-0.0021067i,0.0016115-0.0018021i,0.0012162-0.00095899i,0.0011572-0.00073107i,0.00045233-0.00086758i,0.00084537+0.00034664i,0.00093454+0.0015279i,-0.00016558+0.0013856i,-0.00029948+0.00068269i,-0.00028641+0.00010743i,-0.00040132-0.00041944i,-0.00074623-0.00010984i,-0.00097792-0.00026501i,0.0002927-0.00049144i,0.00099554-0.00015181i,-5.7586e-05-0.0002932i,-0.00048825-0.00056983i
-0.00029206+0.0022091i,-0.00045566+0.00029565i,-0.00051197+0.00034487i,0.0010445-0.00069931i,0.0036499-0.0026435i,0.0039138-0.0022806i,0.0021247-0.0013154i,0.0022252+9.7278e-05i,0.0017553+0.00087807i,0.00067806+0.00090132i,-0.00043733+0.00049187i,-0.00071366-0.00021576i,3.276e-05-0.00069393i,0.00014003-0.00014912i,-0.00034041+0.00041347i,-0.00059541+0.00047735i,0.00026355+0.00050614i,0.0012789+0.00026424i,0.0011947+0.00030093i,-2.6399e-05+0.00062688i,-0.00074708-1.2222e-05i,-0.0001855-0.00047871i,0.00037213+0.00028665i
-0.0015262-0.0012144i,-0.0010182-0.001159i,0.00030346+0.00033635i,0.0026197+0.0017828i,0.0044906+0.00089523i,0.0051581-0.000765i,0.0040937-0.00051544i,0.002222-3.6757e-05i,0.0020186+0.00027993i,0.0018986+0.00050016i,0.00074197+0.00060607i,-0.00012651+0.00024028i,0.00051643-0.00061882i,0.0002759-0.00075963i,-0.00064906+0.0001719i,-0.00039538+0.00046386i,0.00031092+3.2992e-05i,0.00067484+0.00030706i,0.00036224+0.00097732i,0.00020321+0.00086015i,0.00018287+0.00033328i,-0.0006319+0.0001607i,-0.00062603+0.00018498i
0.0012507-0.00017284i,0.00037547-0.00092049i,-0.00025624-0.0016069i,0.00039927-0.0020175i,0.0019913-0.0019246i,0.0041802-0.00077547i,0.004086-5.5622e-05i,0.0023937+5.0773e-05i,0.0017848-0.00040459i,0.0014483-0.00075342i,0.00075524-0.00040411i,-0.00020624-5.9327e-05i,-0.00036536-1.1257e-05i,0.00033935+0.00031734i,-0.00016834+0.0010067i,-0.00098217+0.0010361i,-0.00014072+0.0010927i,0.00070139+0.0011223i,0.0003238+0.00091969i,0.00025078+0.00056946i,-0.00047333+0.00050696i,-0.0012214+0.0001333i,-0.00044933-0.00011795i
0.00022835+0.0017552i,0.0014236+0.0015799i,0.0025773+0.00068108i,0.0036635-0.0010824i,0.0050681-0.0024977i,0.0048004-0.0028384i,0.0034494-0.0018637i,0.0026563-0.00076402i,0.0028329-0.00097067i,0.0022962-0.00091406i,0.0010166-0.00048841i,0.00051063-0.00081199i,0.00038185-2.6257e-05i,9.5813e-05+0.0011397i,0.00014501+0.0010056i,0.0005688+0.00047829i,0.00095912-0.00012163i,0.0011414-0.00033698i,0.00081899+1.6717e-05i,0.00018853-6.4222e-05i,-0.00019147-0.00017636i,0.00016611+0.00021614i,0.00030205-0.00028166i
0.00089562-0.00017449i,-0.00030906-0.00061066i,0.0001893-0.00041835i,0.0016881-0.0003224i,0.0035906-0.0025651i,0.0038562-0.0039195i,0.0026696-0.0022591i,0.0017791-0.00050465i,0.0018168-9.9479e-05i,0.0021991-0.00095403i,0.0013023-0.0010787i,0.00034431+0.00055289i,0.00027849+0.0013816i,-0.00010872+0.0012639i,3.5013e-05+0.0011352i,0.00039576+0.00092594i,0.00023362+0.00085984i,0.00039918+0.00051421i,0.0001791+4.6568e-05i,-0.0010556-0.00038789i,-0.0011928-0.00034382i,9.1521e-05-0.00030916i,0.00028485-0.00034918i
0.0012034+0.00052578i,0.0011629-0.00030633i,0.001034+0.00019262i,0.0024194-0.00088978i,0.004179-0.0026418i,0.0038492-0.0024278i,0.0027516-0.0010615i,0.0024472+0.00022846i,0.0015094+0.00023221i,8.0139e-06-0.00014927i,-7.2657e-05+0.00010349i,0.00021777+0.0005336i,0.00054134+0.00091564i,0.00023562+0.00080578i,7.464e-05-0.00045619i,0.00024978-0.00092448i,7.4568e-05-0.0008796i,0.00050043-2.6512e-05i,0.00082609+0.00099526i,-1.4748e-05+0.00082858i,-0.0011376+4.0066e-05i,-0.00063264-3.852e-05i,0.00055977+0.0003784i
6.2064e-06+0.0017913i,0.001269+0.0010849i,0.0026968+0.000289i,0.0042816+2.6086e-05i,0.0055428-0.0010786i,0.0048639-0.0025025i,0.0033528-0.0026955i,0.0026389-0.001224i,0.0026347+0.00043992i,0.0019199+0.00061635i,0.00050607+0.00044616i,-1.2305e-05+0.00052221i,0.00067598-0.0002502i,0.0010449-0.00077018i,0.00062361-0.0002382i,0.00038114+0.00023693i,0.00038216+0.00050687i,0.00015068+0.00038029i,0.0003053-0.00028082i,0.00039403+8.2049e-05i,-0.00056367-8.1585e-05i,-0.00088394-0.00058671i,-0.00055219+0.00049829i
0.0016098+0.0024771i,0.0023272+0.0021829i,0.0036144+8.6265e-05i,0.0035902-0.0027203i,0.0034234-0.003743i,0.0038482-0.0027568i,0.0025225-0.0019509i,0.0013871-0.0011645i,0.0015617-0.0011918i,0.0014458-0.00047911i,0.00048287+0.00033188i,-5.2995e-05+0.00042558i,-0.00075468+0.0001931i,-0.00092543-0.00024388i,-0.0009413-1.4657e-05i,0.00021477+0.00015303i,0.0007463-0.00010807i,-0.00014261-0.00081718i,0.0003087-0.0014461i,0.00040246-0.0013281i,-0.00030737-0.00083178i,0.00049959-0.00077996i,0.0007142-0.00015359i
0.00097657-0.00033745i,0.00063549-0.0014021i,0.00064169-0.0012842i,0.003044-0.0013899i,0.0050937-0.0017328i,0.0037113-0.0011485i,0.0022153-0.00056657i,0.0021952-0.0002575i,0.0021074-0.00014747i,0.00093462-0.00045229i,-0.00036104-0.00024895i,-0.00039173+0.00048367i,-5.5913e-05+0.0005455i,-0.00056719+0.0001025i,-0.00091972-0.00010367i,-0.00075268-0.00043248i,-0.00021466-0.00041941i,0.00036003+1.3436e-05i,0.00057372-0.0002339i,0.00026266-0.00045717i,-0.00013465-0.00044583i,-0.00061691+7.4285e-06i,-0.0011835-5.1115e-05i
-0.00075323+0.0018972i,0.00059613+0.00084822i,0.0022268+0.0026166i,0.003496+0.0019667i,0.0044546-0.0011604i,0.004235-0.0024398i,0.0030965-0.0015745i,0.0021043-0.00062679i,0.0019596-9.9881e-05i,0.0013007-0.00069636i,0.00066468-0.00096624i,0.00068946+0.00045598i,0.00015169+0.0012183i,-0.00085942+0.001704i,-0.00097922+0.0019899i,3.8801e-07+0.0015254i,-0.00016701+0.0012089i,-0.00057523+0.00077131i,-9.855e-05+0.00010211i,0.00039383+0.00028073i,0.00038158+0.00011949i,0.00041387-0.00063238i,0.00016975-0.00016442i
-0.00059611+0.0025989i,0.00087192+0.0020664i,0.0021297+0.0013556i,0.0042041+0.00017684i,0.0060233-0.0013093i,0.0039658-0.002361i,0.0013674-0.001995i,0.0011037-0.0010262i,0.0014118-0.00078609i,0.00094271-0.00075745i,0.00032955-0.0003616i,5.3778e-05-0.00021189i,0.00041628+9.3475e-05i,0.0006831+0.00054954i,0.00014618+0.00047602i,-0.00023249+9.7015e-05i,-0.00075159+0.00038945i,-0.00044988+0.001026i,0.00048567+0.00072101i,-0.00025577-0.00019711i,-0.00092075-0.00076837i,-0.00053716-0.00068976i,0.00035398-0.00079196i
0.00010776+0.0026048i,0.00066441+0.00303i,0.002041+0.0023952i,0.0039497-0.00051987i,0.0051073-0.0027319i,0.0045752-0.0027455i,0.0036855-0.0013181i,0.0038682-0.00041739i,0.0039252+0.00040975i,0.0028224+0.0010002i,0.00098299+0.00043228i,0.0002694+0.0001234i,0.00046547+0.00032504i,-6.4233e-05+0.00018234i,-0.00085433+0.00013393i,-0.000388-7.6694e-06i,0.00055262+0.00025584i,0.0011234+9.029e-05i,0.0010967-0.00023543i,0.00090497-0.00046479i,0.00013466-0.00085935i,-0.00086144-0.00027987i,-0.0011578-8.4289e-05i
-0.00013005+0.00036285i,4.3359e-05+0.0004582i,0.0016594-0.00078849i,0.0038115-0.0014484i,0.0045866-0.0023111i,0.0032113-0.0019689i,0.0011973-0.0011286i,0.0014483-0.00031847i,0.0020694-0.00026359i,0.0014752-0.00044995i,0.00016753+0.00018094i,-0.00050883+0.0008198i,-0.00019516+0.00020864i,1.2765e-05-0.00072476i,0.00011489-0.00030085i,0.0001023+0.00047092i,-0.00044605-0.00026976i,-0.00059793-0.00076024i,-0.00052723-0.00043133i,-0.001274-0.00056158i,-0.0012966-0.0010146i,-8.5406e-05-0.0004569i,0.00034658+0.00037843i
0.0019817-0.0022413i,0.0002498-0.00094725i,3.0497e-05-0.00073403i,0.0016071-0.0013198i,0.0031689-0.00204i,0.0025674-0.002088i,0.0013498-0.0017255i,0.00093552-0.00088187i,0.0010169-0.0010093i,0.0014576-0.0013072i,0.0015674-0.00029822i,0.00063591+0.00071406i,5.504e-05+0.0011155i,0.00034228+0.00058342i,-9.4274e-06-0.00034514i,-0.00056892-0.0006394i,-0.0005944-0.00063615i,-0.00049433-0.00063435i,-0.0001895-0.00044874i,6.9091e-05-0.00050286i,-0.00019793-5.9021e-05i,-0.0013662-0.0001695i,-0.0015725-0.00032323i
0.0012001-0.00038071i,0.0014763-0.00055238i,0.0010446-0.00090512i,0.0017049-0.0013259i,0.0025598-0.0026454i,0.0029159-0.002481i,0.0022006-0.001081i,0.0011379-4.9756e-05i,0.0010659-0.00035893i,0.00055344-0.00068387i,-0.00048579-3.7915e-05i,-0.00076896+7.1804e-05i,-0.0002681+0.00036067i,-4.0875e-05+0.0011023i,0.00013952+0.001398i,0.00030706+0.00093203i,0.0007227+0.00032895i,0.00093657+0.00039015i,0.00076385-7.3453e-05i,7.8664e-05-0.00029068i,-0.00050264+0.00015198i,-0.00020613-2.193e-05i,0.00065549-0.00028047i
-0.00049219+0.0023708i,-0.00043563+0.0013753i,0.00042216+8.8515e-05i,0.0025429-0.00024059i,0.0043052-0.0009821i,0.0044229-0.0021928i,0.0044397-0.0019195i,0.004363-0.00068167i,0.0036276-0.00015404i,0.0025025-0.00064856i,0.0012956-0.00031006i,0.00041539-2.822e-05i,9.4345e-05-6.5486e-05i,0.00046183+0.00043358i,2.3694e-05+0.00062628i,-0.00076597+0.00021352i,-0.00098948-0.00059075i,-0.0004914-0.00089531i,0.00033445-0.0004834i,0.00022788-0.00096021i,-0.00025825-0.0011106i,-0.00023938-0.00068347i,8.8834e-05-0.00045341i
0.00106-0.00020522i,0.00094435-0.00043522i,0.00063379-0.00041423i,0.0016945-0.001267i,0.0032857-0.0023163i,0.0038885-0.0026492i,0.0037209-0.002297i,0.0028859-0.00065516i,0.0019342+0.00057937i,0.00027851+0.00096838i,0.00029254+0.00016546i,0.0011325+0.00013238i,0.0009577+0.00080262i,0.0012268+0.0014523i,0.001534+0.0017075i,0.0015666+0.00090361i,0.002249+0.00071368i,0.0014822+0.00039001i,0.00063425-0.00053554i,0.00082316-4.0351e-05i,0.00032371+5.9384e-05i,7.8638e-05-0.00024201i,0.00062846+4.7683e-05i
0.00016892-0.00049491i,-0.0010982-0.00064061i,-0.00023941-0.00035001i,0.0018714-0.0003091i,0.0032032-0.0025469i,0.0033151-0.0025809i,0.0016464-0.0013551i,0.00067233-0.0013205i,0.0013618-0.00056418i,0.00164+6.5509e-05i,0.000544-0.00060351i,0.00011905-0.0013917i,0.00070885-0.0011666i,0.00085035-0.00093708i,0.00047448-0.0013972i,-9.4518e-05-0.000872i,4.7309e-05+0.00037839i,0.00029965+0.00079396i,-0.00023434+4.9847e-05i,-0.0010068-0.00042611i,-0.0013765-4.0779e-05i,-0.00063101+7.354e-05i,0.00048622-0.00023422i
0.00071313-0.00082095i,0.00067093+0.00016688i,0.00083121-0.00027091i,0.0014838-0.0022832i,0.0029128-0.0033535i,0.0031808-0.0030993i,0.0023565-0.002476i,0.00095947-0.0015198i,0.00011294-0.0011397i,0.00053619-0.00033894i,0.00031911+0.00023743i,4.1123e-06-0.00047517i,0.00021084-0.00064201i,0.00015315+0.00016228i,0.00051633+0.00080642i,0.0011403+0.0010021i,0.0014241-0.00010056i,0.00079823-0.00090951i,0.00040137-0.00034007i,0.00079665+0.00057543i,8.0642e-05+0.00050024i,4.7788e-05-0.00030094i,0.00080566-0.00046293i
-0.00026873-0.0011176i,-0.00040239-0.0001058i,0.00019473-0.00020165i,0.0010129-0.0007124i,0.0018312-0.0013542i,0.0024769-0.00071371i,0.0019994-0.00015015i,0.0015382+1.7992e-06i,0.0013299+0.00049185i,0.00034005+4.7283e-05i,-0.00046203-5.2633e-05i,-0.00085819+0.00012886i,-0.00066555-0.00050454i,-0.00057814-0.00096852i,-0.00077909-0.00013018i,-0.00036252+0.0012368i,-0.0002618+0.001463i,-0.00048904+0.0011278i,-0.00087121+0.00078205i,-0.00088792-0.00019433i,-0.00066034-0.001036i,-0.0015419-0.00071529i,-0.0010913-7.2328e-05i
0.00043372+0.00069807i,0.00097067-1.6591e-05i,0.0016829-1.9694e-05i,0.0042736-0.00045965i,0.0063273-0.0013131i,0.0055664-0.0026266i,0.0043296-0.002238i,0.002802-0.00040627i,0.0016345+0.00046963i,0.0011683+0.0004324i,0.00092762+0.00056203i,0.0016887+0.00085101i,0.0021145+0.00062834i,0.00080291+6.094e-05i,-0.00059286-5.2714e-05i,-0.0010467-8.3956e-05i,4.3818e-05-0.00074585i,0.00087806-0.0015502i,0.0010178-0.0015952i,0.00114-0.0011106i,0.00071316-0.00085318i,-2.9836e-05-0.0012955i,-0.00013003-0.0016729i
0.00023525+7.2202e-05i,0.00045098-0.00074817i,0.0012696-0.00096017i,0.0028622-0.0017262i,0.0041532-0.0021598i,0.0042603-0.0022427i,0.0030439-0.0020613i,0.0021786-0.00044517i,0.0018594+0.00069696i,0.0018433+0.00019523i,0.0017046+6.256e-05i,0.00093205+0.00065667i,0.00051557+0.00079615i,0.00063657+0.0010274i,0.0006872+0.0017782i,0.00079435+0.0025362i,-0.00012672+0.0023668i,-0.00063296+0.0012983i,-0.00015283+0.00063163i,-7.6704e-05+3.109e-05i,0.00010575-0.00012466i,0.00040501+0.00080334i,0.00017934+0.00098655i
0.0024971+0.00079387i,0.0032796-0.00042238i,0.0041484-0.001074i,0.0044205-0.0026964i,0.0048147-0.0045697i,0.0046948-0.0042448i,0.0034159-0.0022963i,0.0029389-0.00076969i,0.0038289-0.00063923i,0.0034125-0.00053807i,0.00080654-1.362e-05i,-0.0002777+0.00050149i,0.00060664+0.00046122i,0.00047987+0.0006656i,-0.00021215+0.0010411i,-0.00031946+0.00078941i,-0.00031515+0.0008229i,-0.00038215+0.00038329i,-0.00025007-0.00085698i,-0.00027197-0.00071742i,-0.0005404-7.4905e-05i,-0.00051458+0.00017591i,5.7684e-05-0.00021162i
-0.0006375-0.00071567i,-0.00024786-0.00077827i,0.00097408-0.00087369i,0.0026257-0.00070104i,0.0036172-0.0011935i,0.0031488-0.0013913i,0.0028884-0.00047673i,0.0025566-0.00053057i,0.0018131-0.001639i,0.00094345-0.0015163i,0.00038592-0.00028995i,-0.0001647+0.00038779i,-0.00028187+0.00057936i,-0.00011967+0.00047145i,-0.00020108+0.00057144i,-0.00025316+0.00095545i,-0.00028524+0.00072409i,1.1052e-05+8.2441e-05i,-0.00013447-0.00026308i,-3.9851e-05-0.00038354i,-0.00012515-0.00037571i,-0.00054895+0.00014575i,-0.00017155+4.3579e-05i
0.0001805+0.00081889i,0.00034827+0.0002956i,0.0014083-0.0011448i,0.0023287-0.0018259i,0.0024284-0.0025344i,0.0011919-0.0027651i,0.0007014-0.0023215i,0.0014751-0.001566i,0.0016073-0.00069907i,0.00096313-0.00061697i,0.00048355-0.00066557i,0.00033677+0.0001234i,-0.00031017+0.0007019i,-0.00058799+0.0003521i,-0.0004552-0.00026944i,-0.00064572-9.2613e-05i,-0.00075159+0.00053292i,-0.00026525+0.0005306i,0.00048818+0.00010219i,0.0010512+0.00032163i,0.00041552+0.0001443i,-0.00068368-0.00047521i,-0.0011463-0.00040926i
0.0019713+0.00025286i,0.0020792-0.00082288i,0.002404-0.0017086i,0.0029252-0.0017188i,0.0030575-0.0015076i,0.0021941-0.0014207i,0.0016496-0.001646i,0.0013259-0.0015509i,0.0015757-0.00036043i,0.0009606+0.0004478i,-7.3588e-05-5.5125e-05i,-8.3429e-05+0.00054741i,0.00025103+0.0015733i,0.00055006+0.0013896i,0.0013966+0.0012549i,0.0021026+0.0011791i,0.0018164+0.00080159i,0.0016971+0.00032212i,0.0013557-7.8602e-05i,0.00059711+0.00012935i,-6.6322e-05+6.9127e-05i,-0.00018745+0.00015389i,7.3579e-05+0.00060907i
0.00019295-0.00097607i,0.00035355-0.0014299i,0.00069526-0.0012311i,0.0026964-0.0001764i,0.004324-0.00012776i,0.004089-0.0014935i,0.0033222-0.0013428i,0.0021614-7.415e-05i,0.0022685+0.00039577i,0.0025858+0.00027075i,0.0013645-0.00013167i,0.00052605-3.8155e-05i,0.00032016+0.0002975i,0.00033752+0.00076186i,-0.00023142+0.0005796i,-0.00091992+9.7787e-05i,-0.001382+9.072e-05i,-0.0011982-4.5003e-05i,-0.0007082-0.00035701i,-0.00043748-0.00017226i,-0.00032379-0.00037876i,-0.00015553-0.00029389i,0.00060784+0.00055591i
0.0013183-0.001296i,5.9454e-05-0.0015603i,-0.00074416-0.0017257i,0.00083445-0.0018164i,0.0029604-0.0031844i,0.0032936-0.0037851i,0.002518-0.0024511i,0.0028658-0.00088988i,0.0027698-0.00028017i,0.0018299-0.00053323i,0.0015321-0.00072062i,0.0014739-0.00054186i,0.00034807-0.00023145i,-0.00010914-0.00058904i,0.00054641-0.0012575i,0.0010384-0.0010704i,0.0011381-0.0010348i,0.0013583-0.0015182i,0.00046317-0.0012703i,-0.00069077-0.00042337i,-0.00081852-0.00046776i,-0.00030522-0.00073401i,8.2436e-06+9.559e-05i
-0.0016314-0.0013357i,-0.0015519-0.0011082i,-0.0015142-0.0015798i,-0.00029467-0.00095325i,0.0014335-0.00026535i,0.0014218-0.00016979i,0.001148+6.6042e-05i,0.0012157-8.9912e-05i,0.0018255-0.00081969i,0.00082062-0.001046i,0.00015772-0.00081361i,0.00073273-0.00019713i,0.0008552-0.00039233i,0.0011876-0.00039171i,0.0014696+0.0006546i,0.0010342+0.0015856i,0.00059839+0.0015507i,0.00016865+0.00089787i,-2.6534e-05+0.0012496i,-0.00078847+0.0010946i,-0.0014463+0.00015158i,-0.0008761+0.00027376i,-0.00012883-9.4243e-05i
0.0020781+0.0010865i,0.0020655-4.7463e-05i,0.00067213+0.00044596i,-0.00016608-0.00047087i,0.0012213-0.0028936i,0.0020674-0.0030161i,0.00096077-0.0020962i,0.00047462-0.0012878i,0.001032-0.00066785i,0.00079638-0.00050775i,-0.00028276-0.00052228i,0.00015763-0.00018933i,0.00063552+0.00033683i,0.00037393+0.00052653i,0.00022141+0.00052893i,-0.00021659-0.00070316i,-2.5211e-05-0.0012805i,0.00021194-0.00053202i,0.00022121+0.00059939i,0.00019713+0.0015606i,-0.00011042+0.0009529i,0.00043033+0.00014276i,0.00019809+0.00043154i
-0.00055067+0.0008408i,0.00019453+0.00063122i,0.00057517+0.00068047i,0.0014844+7.4863e-05i,0.0034447+0.00034492i,0.0035008+0.00029471i,0.0024354-0.00076431i,0.0016732-0.00046687i,0.0011371-0.00030872i,0.0011876-0.0002227i,0.00074217+0.00046184i,-0.00038399+0.0006042i,-0.0008527-0.00018914i,-0.00019179-0.00049265i,0.00064312+0.00015472i,0.0011296+0.0011201i,0.0011168+0.0011155i,0.00098132+0.00064975i,0.00090185-0.00043318i,0.00036089-0.00098215i,0.00027522-7.3198e-05i,0.00032781-0.00018879i,2.6876e-05+9.3231e-05i
0.00050389+0.001058i,0.00041176+0.00083933i,0.00087603+0.00073385i,0.0018606+0.00010253i,0.002798-0.0013827i,0.0037941-0.0026543i,0.0029955-0.00096725i,0.0015955+0.00078194i,0.0016122+0.00047009i,0.0014983+3.9065e-05i,0.00047161+0.00066548i,6.3939e-05+0.00069616i,0.0005152+0.00061738i,0.00062064+0.00052524i,0.00030141+5.6537e-05i,-3.6405e-05-1.635e-05i,-0.00017419-7.3433e-05i,-7.5307e-05-0.0001715i,-0.00010879+3.4511e-05i,0.00029831+0.00020815i,0.001351-8.1026e-05i,0.00091047+0.00057208i,-2.366e-05+0.00077513i
1.6264e-05-0.00030397i,-0.00099724-0.0001183i,-0.00089991+0.00013852i,0.0011689-0.00010052i,0.0039332-0.0013288i,0.0049554-0.0019535i,0.0041663-0.00025363i,0.00298+0.0016183i,0.0023973+0.0012154i,0.001874-0.00018564i,0.0011659-0.00015925i,0.00080065+0.00030268i,0.00096493+0.00014085i,0.0010192-0.00021683i,0.0011742-0.00049912i,0.0018794-0.00083419i,0.0019484-0.00094253i,0.00078942-0.00055372i,6.1246e-05-4.2994e-05i,-5.4053e-05-0.00041454i,-0.00027475-0.00054306i,-0.00020782-0.00090193i,-0.00017971-0.0011982i
-0.00028689-0.00059942i,-0.00037804-0.00043741i,0.00063632-0.00020375i,0.0016054+0.00069924i,0.0015555+0.00025418i,0.0016948-0.00048702i,0.0022067-1.1449e-05i,0.0023186+9.8902e-05i,0.0010448-0.00029672i,-0.00010168-0.00040407i,6.8503e-06+0.00011323i,0.00017412+0.00059519i,0.00026841+0.00057344i,0.00053707+0.00053824i,-2.4118e-05+0.0012779i,-0.00081841+0.0017241i,-0.00086806+0.0014263i,0.00054274+0.00083052i,0.0016683-4.9297e-05i,0.0012518-0.00024278i,0.00060873-3.4346e-05i,-0.00027082+2.5524e-05i,-0.00087877+9.1289e-05i
-0.0013292-0.00072254i,-0.0015316-0.00053193i,-0.0011911-0.00054447i,0.0010294-0.0017877i,0.0030434-0.002677i,0.0031904-0.0024933i,0.003024-0.0020724i,0.0023172-0.00086i,0.0011436-0.00064891i,0.00041496-0.0010629i,0.0008067-0.00069397i,0.00081047+6.8713e-05i,0.00038452+0.00058792i,-0.00016013+0.00039913i,-0.00013726-0.00063128i,0.0011259-0.00094481i,0.0012407-0.00057547i,0.00037374-0.00050618i,2.699e-05-0.00056384i,3.8473e-05-0.00076987i,-0.00062884-0.0013859i,-0.00066211-0.0015045i,-5.9099e-05+3.4372e-06i
0.0001344-0.00085402i,-0.00081621-0.0012261i,0.00024318-0.0014508i,0.0029184-0.00066556i,0.0045858-3.1738e-05i,0.0050118-0.00092286i,0.0039103-0.00038166i,0.0021247+0.00037382i,0.0016017+0.00015765i,0.0012886+0.00063351i,0.00019984+0.00089313i,-5.0359e-06+0.00054387i,0.00075416+0.00076564i,0.0013166+0.00079822i,0.001563+0.001311i,0.00063394+0.0020437i,0.0003503+0.002303i,9.4788e-05+0.0015132i,0.00032781-8.4255e-05i,0.00090248-0.0012924i,0.0003168-0.0015262i,-0.00065234-0.00066577i,-0.00075775-0.00010861i
-0.00012682-0.0011652i,0.00048333-0.00049201i,-4.6076e-05-0.0014797i,-6.1075e-05-0.0023355i,0.0010608-0.0026388i,0.0013743-0.0024364i,0.00072353-0.0015358i,0.00080676-0.00042967i,0.0012713-0.00011247i,0.00078327-0.00052456i,0.00070548-0.00039181i,0.00060892+0.00090314i,9.1485e-05+0.0020507i,-0.00035175+0.0012545i,0.00013966-0.00021778i,0.0010408-0.0011208i,0.001185-0.0011576i,0.00040625-0.00052218i,0.0003599+0.00051761i,0.00091544+0.00053473i,0.0008154-5.0052e-05i,-0.00017244-0.00041818i,-0.00041833-0.00020486i
-0.00022178+7.5344e-05i,-0.00011419-0.00063855i,6.2871e-06-3.943e-05i,0.0015654+0.00057261i,0.0034187-0.00016194i,0.0042898-0.00066587i,0.0029423+0.00012802i,0.0019401+0.00054464i,0.0020603+0.00038196i,0.0013059-2.3736e-05i,0.00091087-0.00058471i,0.00081976-0.00060927i,0.0013767-0.00050456i,0.0024721-0.00073923i,0.0024134-1.9047e-05i,0.0013717+0.00039159i,0.001035+3.3447e-05i,0.00069682-5.557e-05i,4.7244e-05-0.00044976i,2.948e-05-0.0016358i,-0.00023692-0.0018833i,-0.00047776-0.0016077i,-0.00032563-0.0017318i
-0.0015852+0.001703i,-0.0005056+0.00090288i,0.0012797+0.00026722i,0.0026366+7.3854e-06i,0.0031448-0.0010759i,0.0032424-0.0014965i,0.0023159-0.00072749i,0.0011857+2.187e-05i,0.0010336+0.0002732i,0.00084688+0.00039711i,-0.00015677+5.9642e-06i,-0.00040237-0.00030091i,-0.00035849+0.00017971i,-0.00099432+0.00082724i,-0.0015029+0.00048522i,-0.0012821-0.00032437i,-0.0011606+7.4554e-05i,-0.001291-0.00010652i,-0.00058409-0.00022944i,0.00064123+0.00082352i,0.00048158+0.001059i,-0.00023896+0.00022979i,-0.00076121-0.00012786i
-0.0013461+0.0010893i,-0.0012517+0.0013948i,0.00052383+0.001146i,0.003901+0.00022899i,0.0066284-8.7923e-05i,0.006916-0.0008186i,0.0053244-0.0010869i,0.0046721-0.0011857i,0.0030975-0.0012644i,0.0010431-0.00058371i,0.00017046-0.00033033i,-0.00065821-0.00071938i,-0.000394-0.00049951i,0.00060692-0.00054739i,0.00068755+0.00035459i,0.00046812+0.0014707i,0.00019981+0.00097345i,0.00027864+0.00018972i,-0.00024668-0.00015405i,-0.00020014-0.00028359i,4.9427e-05-0.0010162i,-0.00029646-0.0012194i,-0.00052834-0.00047354i
