-0.00074492+0.00035023i,-0.00073863-0.00092391i,-0.00017644-0.0016574i,0.00042484-0.0021708i,-7.514e-05-0.0031806i,-0.0012026-0.0022661i,-0.001965-0.00043295i,-0.0016023+0.001082i,-0.0001503+0.0011505i,0.00096042+6.0039e-05i,0.00077247+0.0002281i,-0.00022449-1.6981e-05i,-0.00013032-5.0277e-05i,0.00024297+0.00014718i,0.00010845-0.00026551i,-0.00014908-0.00062187i,-0.00010186-0.00098187i,-0.00030302-0.00044201i,-0.00087774+8.267e-05i,-0.0012099-0.00035133i,-0.0007898-0.00060711i,2.7486e-05-0.00038081i,0.00047936-6.8136e-05i
0.0013319+0.0012311i,0.00068819+0.00057427i,0.0013075-0.00029885i,0.001252-0.00047767i,0.00072503-0.0011867i,7.7756e-05-0.0022633i,-0.00052187-0.0014637i,8.9469e-05-0.00064882i,0.00072112-0.0006848i,0.001042-0.00065415i,0.00092036-0.00062014i,0.00023004-0.0005589i,0.00019841+0.00015308i,-8.499e-05+0.00087446i,-0.00065174+0.00088418i,-0.00056745-0.00020274i,-0.00019299-0.00069192i,-0.0001387-0.00012119i,-0.00010499-0.0007682i,-0.0004468-0.00084752i,-0.00090386+0.00060322i,-0.00055144+0.00090599i,-0.00022256+0.00018345i
0.00039513+0.0010318i,0.001188+0.0013052i,0.0011404+0.00073848i,0.0014458-0.00097233i,0.0015345-0.0025116i,0.0011731-0.0025356i,0.00081459-0.0017576i,0.00029871-0.0022673i,-0.00092136-0.0026516i,-0.0018828-0.0026148i,-0.0013146-0.0025958i,-0.00077881-0.0014497i,-0.0004714-0.00054175i,0.0003534-2.2643e-05i,0.00072781-9.1536e-05i,0.00067868-6.2106e-05i,0.00022307+0.00020679i,-6.9962e-05-0.00040411i,-9.8334e-06-0.00086831i,0.0001734-0.0010208i,3.6009e-05-0.0002197i,-0.00057734+0.00040794i,-0.0010645+0.0004807i
-0.0006287-0.0010974i,-0.00041789-9.8087e-05i,-0.00091547+0.00068948i,-0.00041164+5.1674e-05i,-0.00060416+0.00057588i,-0.0013227+0.0020835i,-0.0019738+0.0028647i,-0.0017001+0.0042472i,-0.00033582+0.0049477i,0.0011119+0.0034418i,0.0022558+0.0020301i,0.002248+0.00066757i,0.0016904-0.00083376i,0.00086024-0.0016514i,-0.00023908-0.0018658i,-0.00059155-0.0013941i,-0.00037926-0.00048985i,-0.00080687-0.00024255i,-0.0010324-0.00056437i,-0.00078396-0.00027312i,-0.00025551+0.00053744i,0.00016973-0.00025087i,0.00020168-0.0014468i
0.0010558+0.00029082i,0.00065046-3.7885e-05i,-6.7052e-05-0.0018248i,0.00052496-0.0034379i,0.00092476-0.0034826i,-0.00022926-0.0020026i,-0.0023444-0.00016751i,-0.002124+0.00092895i,-0.0009688+0.00077586i,-0.00086874+2.4084e-05i,-0.00071757-0.00050624i,0.00022026-0.00051679i,0.00074409-0.00031588i,0.0011072-0.00045194i,0.00096921+0.00035356i,0.00033505+0.00070694i,-0.00059802-0.00075846i,-0.0011812-0.00057279i,-0.00046775+0.00030885i,2.9538e-05-0.00068153i,-0.0004841-0.00051985i,-0.00077104+0.00042258i,-0.00028643-0.0003996i
0.00042444-2.2108e-05i,0.00076248-0.00019612i,0.0008506-0.00056404i,0.00064668-0.0014728i,-0.00030991-0.0019693i,-0.00187-0.00050669i,-0.0021823+0.00057482i,-0.00049109+0.00054654i,0.00052924+0.00073312i,0.00043112+0.00088011i,0.00050676+0.00082982i,0.00071367+0.00063701i,0.0005335+0.00087819i,0.00022938+0.00091515i,0.00026428-0.00011469i,0.00043216-0.00066818i,-0.00042254-0.00048432i,-0.001012-0.0003648i,-0.00074932-0.00043312i,-2.6152e-05-0.00092385i,0.00015882-0.00085049i,-0.00036036-0.00046397i,-0.00071912-0.00050608i
0.00065647+4.3831e-05i,0.00080693+0.00018078i,0.0015409-0.00069041i,0.0026019-0.0014819i,0.0026385-0.0022049i,0.0012156-0.0020113i,-3.6215e-05-0.00041058i,5.6055e-05-0.00012051i,0.00085697-0.00047693i,0.00085232+0.00013302i,0.00068543+0.00065968i,0.0006312+0.00069424i,0.00010706+0.00048107i,0.00033001+0.00084674i,0.000906+0.00058803i,0.00035196+0.00041638i,-0.00097709+1.825e-05i,-0.0009093-0.00031054i,-0.00096518-0.00019794i,-0.001294-0.0012787i,-0.00093633-0.0011088i,0.00010193+0.00011251i,0.00036493-2.3258e-05i
0.00026039-0.001532i,-0.0005086-0.0021354i,-0.00048388-0.00095809i,-0.00034221-0.00028027i,-0.00088594-0.00048129i,-0.0017878+0.00030385i,-0.0019482+0.00063345i,-0.00067381+0.00050388i,7.1358e-05+8.9844e-05i,0.00034556-0.00017661i,0.0006815-0.0002413i,4.4498e-05-0.00040577i,-0.00015964+6.5287e-05i,0.00030892+0.00031845i,0.00083329+0.00041956i,0.0011904+0.00051134i,0.00057322+0.00042699i,-0.00010702-0.00011211i,-0.00064099+0.00028411i,-0.00093703+0.00023579i,-2.2179e-05-0.00055882i,0.00075456-0.00023439i,0.00051966+0.0006378i
-0.0016949+0.0010483i,-0.00096199+0.00093954i,0.00076274+0.0013438i,0.0027443+0.00090347i,0.0024664-0.00090385i,0.0015536-0.0020271i,0.00051772-0.0017991i,-0.00052985-0.0012935i,-0.00024149-0.0014386i,0.00062416-0.0012529i,0.00080015-0.00050385i,0.00033302-0.00054442i,0.00041992-0.00046942i,0.00057497-0.00037574i,0.00048984-0.0014675i,0.00031127-0.0014798i,-4.8325e-05-0.00036374i,-0.00050829+0.00032155i,-0.00071255+0.00023951i,-0.00056933+0.00034683i,-3.3698e-06+0.00054017i,0.0002677+0.0006312i,0.00030578+0.0011947i
-0.00068153+0.00040265i,0.00020259+3.8503e-05i,0.0013377-0.0013464i,0.0017338-0.0024746i,0.00048907-0.0027713i,-0.00071809-0.0012982i,-0.00056989-0.00024596i,9.2581e-05-0.00046906i,0.00012869-0.00023458i,-0.00027366+0.00038733i,-0.0010164-8.1998e-06i,-0.0014805-0.00031611i,-0.0014123+0.00024183i,-0.0011547+8.7066e-07i,-0.00049037-0.00019122i,-0.00025033-0.0003443i,3.5129e-05-0.00094704i,0.00020482-0.00082702i,-0.00042185-9.9526e-06i,-0.00087949+0.00032849i,-0.0006916+0.00060531i,-0.00064175+0.00079823i,-0.00035283+0.00046362i
-0.00042953+0.0011219i,0.00013719+0.0023913i,0.001505+0.0020449i,0.0021289+0.00066876i,0.001262-0.0011053i,0.0005309-0.0020314i,-0.00040027-0.0013336i,-0.001099-0.0014453i,-0.00066212-0.0015151i,0.00025208-0.00041286i,0.00011518+2.476e-05i,-0.00022452-6.2938e-05i,-0.00029024-0.00027381i,-0.00053881-0.00044501i,-0.00023436-3.9674e-05i,-0.00032641+0.00028654i,-0.00062808+0.00021871i,-0.00079901+7.5396e-05i,-0.00084122+0.00034769i,0.00011036+0.00055736i,0.00077377+0.00033351i,0.00053956-0.00040044i,0.0001773-0.00028964i
0.001089-0.0010231i,0.00024695-0.0001699i,-0.00091213-0.00072996i,-5.7326e-05-0.0012773i,3.1972e-05-0.00019645i,-0.00094466+0.00073824i,-0.0014657+0.00044022i,-0.00082368-0.00039738i,-0.00040476-0.0005466i,-9.2914e-05-0.00015648i,0.00012042+0.00066099i,-0.00038128+0.00067904i,0.00014347+0.0001606i,0.00055948-0.00016134i,0.0007821-0.00038288i,0.00023099+3.7452e-05i,-0.00075+0.00046504i,-0.0011077+0.00018255i,-0.00062185+0.00010041i,-0.00011648-1.5702e-05i,-3.3143e-05-0.00014847i,0.00033445-0.00018417i,0.00095281+0.00041509i
-0.00049723+0.00056692i,-0.00065027+0.00062529i,-0.00014722+6.3614e-07i,0.00096783-0.001555i,0.00079556-0.0022414i,-0.00056707-0.0021693i,-0.00041233-0.0013268i,-0.00058882-0.00028376i,-0.00017592+0.00046111i,0.00049562+0.00089027i,0.00036626+0.00031984i,0.0001912-9.133e-05i,0.00021353+3.5771e-05i,0.00086054+0.0003419i,0.00059105+4.89e-05i,-0.00029768-0.00040667i,-0.0008871-0.0010003i,-0.00070891-0.0015312i,-0.00029957-0.0012354i,-0.00061279-0.00021118i,-0.00053933+0.00016123i,-0.00066413+6.3071e-05i,-0.0010301-0.00044799i
0.00051598-0.00045562i,0.00039177+0.0004037i,0.00058405+2.6576e-05i,0.00029149-0.0014108i,0.0002931-0.0023733i,0.00020207-0.0011278i,4.3954e-05-0.00047798i,3.756e-05-0.0005153i,0.00043308-0.00076067i,0.00044106-0.00097745i,0.00030815-0.00061459i,0.00061279-0.0001722i,6.1512e-05-0.00016653i,-7.8292e-05+0.00029975i,-0.00014123-8.1235e-05i,0.00012934-0.00094848i,0.00056427-0.00063028i,0.00054195+0.00026116i,0.00047937+0.00038756i,0.00028961-0.00023481i,0.0003553-0.00023881i,1.3058e-06-0.00029929i,-0.00041088-0.00051615i
0.00048148-0.00081893i,0.00089099+0.00033585i,0.00080725+0.00065779i,0.0012981-0.00016509i,0.00096948-0.0010397i,0.00029361-0.0013652i,-0.00062659-0.0010226i,-0.00088981-0.00059708i,0.00015886-0.00048965i,0.00054562-0.00098184i,0.00035562-0.0015786i,-0.00048472-0.00086512i,-0.0013475-0.00030793i,-0.0006739-0.00080463i,0.00036502-0.0010286i,0.00074653-0.0005275i,0.00083349-0.00021617i,0.00042601-0.00027442i,-5.2221e-05-0.00038574i,-0.00062229-2.0977e-05i,-0.00046954+0.00024474i,0.00069265-0.00014971i,0.0011149-0.00026705i
-0.0022065+0.00020343i,-0.0017891+0.00068817i,-2.7992e-05+0.00079294i,0.0009375+0.00010839i,0.0005161-0.0003i,-5.9118e-05-0.00092091i,8.1388e-05-0.0013816i,6.008e-05-0.0014208i,0.00021136-0.0013605i,-6.9183e-05-0.0013469i,-0.00086941-0.00054633i,-0.001107-0.00030449i,-0.00083386-0.00060488i,-0.0004272-0.00047568i,1.2468e-05-6.4212e-05i,0.00028668-0.00047729i,0.00055584-0.00053079i,-3.3568e-06-0.00017675i,-0.00065363+0.00022408i,-2.6688e-05-0.00011708i,0.00029676-0.00046757i,-0.00030728+0.00040452i,-0.00047364+0.00081537i
-0.00093761-0.0003523i,-0.0002581-0.00014486i,0.0007672-0.00018322i,0.00094041-0.00094443i,0.0013536-0.0013082i,0.00091951-0.0011741i,-3.324e-06-0.0017815i,-0.00050196-0.0016811i,0.00018475-0.00088047i,-0.00022294+0.00016171i,-0.00066021+0.00046106i,-0.00042011+0.00029738i,-0.0010048+0.00067198i,-0.00052214+0.0011261i,-0.00030755+0.0008216i,-0.00058686+2.3841e-07i,-0.00022031-0.00060258i,-3.3152e-05-0.00052603i,-0.00052467-0.00020168i,-0.00073255-0.00068429i,-0.00028583-0.00073409i,-0.00062071+3.8058e-05i,-0.00023514+0.00071267i
0.00045418+0.0018756i,0.0018582+0.0018482i,0.0022653+0.00076731i,0.0020762-0.001015i,0.001242-0.0017543i,-9.8501e-05-0.0019266i,-0.00024617-0.0014369i,-6.5571e-05-0.0010469i,0.00055682-0.00052689i,0.00023014-0.00047507i,-0.00029961-7.908e-05i,0.00018385+0.00045148i,0.00038544+0.0011202i,0.00051429+0.0019682i,0.00022645+0.0017172i,-1.201e-06+0.0005648i,0.00037957-2.0766e-05i,-3.1303e-05+0.00019562i,3.9472e-05+4.343e-05i,0.00019569-0.00035569i,0.00036564-0.00024881i,0.00039207-0.00029176i,0.00065467-0.00042711i
0.00091554+0.0009438i,0.0010732+0.00056359i,0.0019484-0.0010909i,0.0024875-0.0026922i,0.0011504-0.0027835i,-0.00041994-0.0024084i,-0.00053516-0.0017053i,-0.00017735-0.0008184i,0.00025851-0.00067443i,0.00089417-0.00036283i,0.00058755+0.00062852i,0.00050388+0.0004136i,0.00065642-0.00044445i,0.00082454-0.00040575i,0.0013354-0.00027881i,0.00064522-0.00062222i,-0.00037052-0.00027465i,-0.00012504+0.00038885i,0.00014642+0.00047174i,-0.0001932-2.3299e-05i,0.00025155-0.00092831i,0.00045557-0.00050966i,0.00043438-0.00032526i
0.0005823-0.0010224i,0.00029129-0.00067334i,9.4568e-05-0.00075605i,-4.6611e-05-0.00072908i,-0.00080385-0.00079645i,-0.00057901-0.00028613i,-0.00062731-7.6984e-05i,-0.001333-0.00076666i,-0.00027912-0.001526i,0.0007623-0.00041136i,0.00014616+0.0007018i,-0.0005616+0.00019835i,-0.00098222-0.00047447i,-0.00062578-0.00049182i,0.00023956-0.00052203i,0.00055822-0.00057332i,0.00028278-0.00080376i,-0.00011307-0.00097345i,-0.00025128-0.0008985i,6.0946e-05-0.00047292i,0.00022401+0.00059372i,0.00019817+0.00090491i,4.4641e-05-0.00016022i
0.00068836-0.00020038i,0.0010196-0.00094097i,0.0020522-0.0010115i,0.0023614-0.00073216i,0.0012798-0.0012952i,-0.0004585-0.001536i,-0.00059182-0.0015203i,0.00027101-0.0015461i,0.00030665-0.0015442i,0.00061148-0.0011129i,0.00054873-0.00085911i,0.00012355-0.0009813i,-6.6288e-05-0.00069595i,-4.7385e-05-0.0014261i,-0.00014622-0.00118i,-0.00017205-9.0654e-05i,9.9401e-06+2.1735e-05i,0.00012692+0.00017914i,0.00013053+0.00030329i,5.8272e-05+3.6707e-05i,2.9258e-05-0.00055799i,0.00033078-0.0010204i,0.00049499-0.00073881i
-7.4687e-05+0.00069266i,9.7865e-06+0.0009039i,9.3147e-05+0.0010061i,-0.00054284-0.00036957i,-0.00047988-0.0021341i,-5.8455e-06-0.0012464i,-0.00060194+4.7089e-05i,-0.0010651-1.2869e-05i,-0.00093059+0.00037467i,-0.00035343-0.00045011i,-1.7115e-05-0.001438i,-0.00025644-0.00059705i,-0.00087131-5.1673e-05i,-0.0013339+0.00026166i,-0.0010049+0.00059247i,-0.00039902+0.00026122i,-0.00045603-0.00052134i,-0.00057208-0.00020551i,0.00050763+0.00053639i,0.00073679+0.00050359i,0.00057507-0.00023245i,0.00038989-0.0006627i,0.0001669-0.000803i
0.00071299+0.00089399i,0.001866+0.00033816i,0.0025878-0.00041127i,0.0034972-0.00056748i,0.0034745-0.0006832i,0.0012388-0.00056523i,-5.7433e-05-0.00015767i,-0.00019391-7.6495e-05i,5.5044e-05-0.00052044i,0.00040311-0.00069642i,4.1573e-05-0.00029744i,-0.00040279-0.00012079i,-0.0011537+0.00043232i,-0.0014713+0.00090448i,-0.0008452+0.0012977i,-0.00028352+0.0012028i,5.273e-06+3.7433e-05i,-9.6147e-06-0.0010164i,8.4037e-05-0.00098093i,-0.00019634-5.464e-05i,-0.0010893+9.6479e-05i,-0.0012117-0.00014419i,-0.00055962+0.00025699i
-0.00057981-0.00030702i,-0.0002967+6.0905e-05i,0.00055462-0.00074575i,0.00072627-0.001391i,0.00016436-0.0014762i,-0.0007514-0.0013662i,-0.001662-0.001069i,-0.0015578-0.0011454i,-0.0011121-0.00071131i,-0.00093821-0.00041528i,-0.00061135-0.00022404i,-0.00081597+9.3e-05i,-0.00020384-0.00034734i,0.00021584-0.00080015i,9.5351e-05-0.00050461i,0.00030155-0.00085983i,0.00070365-0.00046418i,0.00024897+0.00039738i,-0.00071054+0.0002561i,-0.00067902-0.00028331i,-5.3838e-05-0.00061656i,-0.00011468-0.00072505i,-5.0049e-05+0.00011672i
-0.0014676+0.0020028i,0.00028744+0.002582i,0.0015136+0.0031526i,0.0024235+0.0018991i,0.0028723-0.00048719i,0.0016091-0.0025856i,-4.3183e-05-0.0016916i,-0.00061057-7.8726e-05i,-0.00039138+3.1538e-05i,0.00020776+0.00063993i,0.00056032+0.00040794i,0.0011703-0.00045426i,0.00080156-0.0003923i,8.1767e-05-7.1377e-05i,0.00030015-4.632e-05i,6.584e-06-0.00015543i,-0.00064056-0.00037318i,-0.00088067-0.00022603i,-0.00076055-0.00053747i,0.00011831-0.00055477i,0.00073734+7.2929e-05i,0.00035686+0.00082158i,0.00035905+0.00097006i
-0.0017142-0.00018079i,-0.00069981+0.00047717i,0.00027678+0.0014527i,0.0012707+0.00062071i,0.0020047-0.00091036i,0.0016547-0.0016506i,0.00039131-0.0013099i,-0.000786-0.0008671i,-0.00085119+0.00016817i,-0.00025771+0.0003221i,0.0001741-0.00032856i,9.9511e-05-0.00052399i,-0.00077391-0.00040315i,-0.00056211+0.00039938i,0.0007029+0.00060947i,0.00087946+0.00023739i,-6.4621e-05-6.9887e-05i,-0.0010548-2.4636e-05i,-0.00094259+0.00022167i,0.00033763-9.154e-06i,0.00084242-0.0002384i,-1.6147e-06-9.7119e-05i,-0.00021716+0.00061578i
0.00027755-0.00012324i,0.00047507-8.2298e-06i,0.00086275-0.00080671i,0.0023571-0.0013299i,0.0027526-0.0006452i,0.00099839-9.5231e-06i,4.9041e-06-0.00053203i,8.4213e-05-0.001175i,0.00035091-0.0014904i,0.00034146-0.0011259i,-0.00061706-0.0014003i,-0.001219-0.0014281i,-0.0011339-7.1188e-05i,-0.00095266+0.00045966i,-0.00050439-0.0003687i,0.00026642-0.0014452i,7.7359e-05-0.0013681i,-0.00029266-0.00055051i,-0.00036111-0.00026069i,-0.0010164-0.00038432i,-0.00081341-0.00056842i,-0.0001157-0.0012019i,0.00014201-0.0010738i
-0.00028935-0.0013921i,-0.0010941-0.0014522i,0.00015123-0.0020024i,0.0011624-0.0018603i,-0.00017713-0.0010923i,-0.0005469-0.00052554i,-0.00030046-0.00051034i,-0.00035451-0.00096905i,-0.00017144-0.0011851i,-0.00051096-0.00092433i,-0.0010695-0.0011355i,-0.00050945-0.00072211i,0.00014108+0.00044744i,1.4467e-05+0.00046818i,-8.1022e-05-0.00036742i,-0.0001196-0.00072942i,0.00023221+7.3669e-05i,0.0002714+0.00027596i,-0.00042373-0.00078546i,-0.00033025-0.0012658i,0.00035367-0.00014153i,0.00022036+0.00076353i,-0.00053654+0.00066828i
-0.00053986-0.00069362i,-3.857e-05-0.00032233i,0.0011514+0.00052218i,0.003366+0.00020682i,0.0038071-0.00038848i,0.0021889+4.9804e-05i,0.0012424-0.00011344i,0.0011794-0.00027702i,0.00049776-0.00087896i,-0.00072874-0.00091004i,-0.00093341-0.00043041i,-0.00029936-0.00061394i,-7.9662e-05-0.00013539i,0.00028574+0.00069702i,0.00023929+0.00078264i,1.8585e-05+0.00034795i,-0.00014387+0.00047386i,-0.00044219-7.0774e-07i,-0.0003383-0.00036743i,0.00010391+0.00063189i,0.00031639+0.00087646i,-0.00026125+0.00052821i,-0.00078632+0.00056821i
-0.00060464+0.0020911i,-0.00038888+0.0015345i,0.00027351+0.00056539i,0.0010211-0.0010915i,0.00054995-0.0019539i,-0.0013558-0.0021275i,-0.0017524-0.001705i,-0.00091259-0.0010591i,-0.00029034-0.00029043i,0.00033249+0.00048024i,0.00047328+0.00041851i,0.00018715-0.00034245i,0.00064886-0.00054042i,0.00056867-0.00026657i,0.00073492-0.00011044i,0.00051331+3.4171e-05i,-0.00029568-0.00026548i,0.00043315-0.00070234i,0.00026546-0.0007798i,-0.00077084-8.3704e-05i,-0.00037949+0.00065086i,-0.00039224+0.00060428i,-0.00048602+0.00026948i
-0.00044496+0.0010313i,0.00028867+0.0012358i,0.0015825+0.0019022i,0.0032484+0.00080915i,0.0035043-0.0008392i,0.001393-0.0015722i,6.3561e-05-0.0016612i,0.00015002-0.0015987i,-2.3499e-05-0.00092076i,0.00060001+0.00021753i,0.001452+0.00057084i,0.00098458+0.00019432i,-0.00032127-0.00019486i,-0.00080114-0.00053207i,-0.00024728-0.0010933i,0.00060983-0.0012266i,0.00013316-0.00062883i,-0.00091364-0.00013529i,-0.0009183+0.00030754i,-0.00071152-0.00016051i,-0.00025027-0.00078851i,0.00052641-0.00014182i,0.00049694+0.00094151i
-0.00059974+0.00047784i,-0.0001053+0.0003443i,0.00031922+0.00034086i,0.00014615-0.0001683i,-0.00041862-0.0009819i,-0.00063181-0.0010445i,-0.00031495+0.0002449i,-0.0007362+0.0012529i,-0.00066289+0.00052638i,0.00010882-0.00014824i,0.00083459+0.00049211i,0.0010725+0.00078018i,0.00055827+6.1639e-05i,0.00019924-0.00090462i,-8.6694e-05-0.0010344i,-0.00043883-0.0011373i,-0.00084245-0.00039824i,-0.001378+0.00015549i,-0.0013108+0.00012537i,-0.0012726+0.00029027i,-0.0010087-0.00032218i,-8.599e-05-0.0011699i,0.00043182-0.00063154i
-0.00013737+0.00040175i,0.0011235+0.00081409i,0.0016955-0.00018454i,0.0017214-0.0015971i,0.0013713-0.0015768i,0.00036285-0.0015668i,-0.00045847-0.0018227i,-0.00043706-0.0016381i,-0.00024322-0.0016425i,-0.00039486-0.0023683i,-0.0003999-0.0017779i,-0.00044835-0.00039774i,-0.0011835-3.8601e-05i,-0.00090617-0.00058011i,-0.00052266-0.000728i,-0.00053628+0.00010922i,-0.00034492+0.0011616i,-0.00038656+0.00072939i,-0.00075039+6.6601e-05i,-0.00079056-0.00026935i,-0.00057607-0.00064537i,-0.00024533-0.00096914i,-0.00012185-0.00078233i
0.00072186+0.00034977i,-0.00012408+2.9934e-06i,1.8933e-05-0.0011835i,0.00039174-0.0024943i,-7.4254e-05-0.0028256i,-0.0011357-0.0017892i,-0.00071864-0.0011136i,0.00031719-0.00074812i,0.00034728-0.00092856i,-0.00013439-0.001079i,-0.00020099-0.00052338i,0.00010588+4.4528e-05i,0.0007287-0.00051842i,0.00037379-0.00082461i,9.2697e-05-0.00036118i,5.1309e-05-4.1981e-05i,-0.00095237-9.5818e-05i,-0.00083497-0.00077422i,-0.00058164-0.00022748i,-0.0012719+0.00090056i,-0.0018049+0.00050946i,-0.0011607-0.00020336i,9.7715e-05-0.00032225i
-0.0012629-0.00042482i,-0.00071692-0.00035441i,3.2826e-05-0.0001136i,0.00084692-0.00048157i,0.0016609-0.00097545i,0.00075959-0.00015417i,-0.00065166-0.00020434i,-0.00090261-0.0012891i,-0.0016059-0.0011557i,-0.0018468+0.00015524i,-0.00030434+0.00083477i,0.00061646+0.00032715i,9.5635e-07+0.00023207i,-0.00040099+0.00041463i,-3.8196e-06+0.00019781i,-8.6493e-05+3.0396e-05i,-0.00015802-0.00059337i,4.3013e-05-0.00077663i,-0.00044461+7.3999e-05i,-0.001087+0.0010531i,-0.00067639+0.0015153i,0.00026273+0.0010555i,0.00019898+0.00084547i
0.00011974-0.00078888i,0.00058875-0.00040356i,0.0014467-0.00084526i,0.0014002-0.0018759i,0.00014182-0.0016724i,-0.00088055-0.00083022i,-0.00057744-0.00018752i,4.6512e-05-0.00053132i,-0.00068684-0.00081184i,-0.00085406-4.5784e-05i,-0.00040656+0.00030705i,-0.00030914+0.00013342i,-0.00033321-1.8764e-05i,0.000203-3.3118e-05i,0.0010408+0.00020182i,0.0009473-0.00039708i,0.00045889-0.0009936i,-0.00013853-0.00095822i,-0.00053459-0.00051416i,-0.0005579-4.2912e-05i,-0.00035118+0.00024212i,-0.00011993+0.00018542i,0.00039614+0.00065332i
-0.0020849-0.00072806i,-0.0019869+0.00032354i,-0.00022002+0.00047559i,0.0018035+7.2114e-05i,0.00058988-0.00098276i,-0.00015641-0.00095185i,9.0578e-05-0.00042868i,-0.00083597+5.3712e-05i,-0.0011927+3.426e-05i,-0.00058752-0.00019712i,0.00014074+0.00016674i,1.3713e-05-9.0692e-05i,-5.8953e-05-0.00037046i,0.00052317-0.0003582i,0.0010556-0.00051724i,0.00067997-0.00043834i,-0.00016269+4.0804e-05i,-0.00041075+0.00032888i,-0.00051823+0.000387i,-0.00050304+6.8267e-05i,-0.00064753-3.3208e-05i,-0.00034661+0.00014205i,-0.00016328-0.00025438i
0.00094574-0.00040106i,0.00071695-0.00024601i,0.001082-0.0005793i,0.0016817-0.0016377i,0.0016224-0.0016294i,0.00052039-0.0015415i,4.4721e-05-0.0016314i,-9.1787e-05-0.0014042i,-0.00043457-0.0008054i,0.00020691+0.00042102i,0.00027542+0.00095024i,-0.00033549+0.00054747i,0.00020266-0.00030851i,0.0013303-6.0717e-05i,0.001541-1.7386e-05i,0.0009098-0.0009327i,-0.00057387-0.00062507i,-0.00099518-3.5627e-05i,-0.00038864+1.1008e-05i,-0.00016541-0.00038534i,-0.00072089-0.00031979i,-0.00098811+8.2579e-05i,-0.0005113+0.00043308i
0.0010662+0.001999i,0.001016+0.001004i,0.0025253-0.00079343i,0.0038362-0.002643i,0.002576-0.003818i,0.00018768-0.0029464i,-0.00058028-0.0017496i,-5.0447e-05-0.00081886i,0.00012245-0.00095597i,0.00035744-0.0011582i,0.00061003-0.0006064i,0.00026223-0.00014359i,-0.0004448-0.00033958i,-0.00074179-5.7469e-05i,0.0001689+3.2932e-05i,0.00048684-0.00096099i,-0.00011352-0.00079001i,-0.000426-0.00028089i,-0.00066569-0.00023442i,-0.00077674+0.00029023i,-0.00087971+0.00041821i,-0.0008673+0.00024649i,-0.0006961+0.00024956i
0.0019267+0.00041166i,0.001494-0.0016178i,0.0030686-0.0024795i,0.0027816-0.0016701i,0.00016654-0.0015026i,-0.0018748-0.0018448i,-0.0023631-0.0015328i,-0.0012419-0.0018999i,-0.00016272-0.0023373i,1.6255e-05-0.0019585i,-9.9305e-05-0.0013318i,-0.0010839+2.2404e-05i,-0.0023017+0.0012397i,-0.0017933+0.0010218i,-0.00086585-9.8825e-05i,-0.0010953-0.00022016i,-0.001049-0.00032459i,-0.00037642-0.00074783i,-0.00086753-0.00045305i,-0.00076533-0.00017049i,0.00021206-0.00035531i,4.8128e-05-0.000483i,-0.00037312-0.00059028i
0.00073554-9.612e-05i,0.00062287-0.000132i,0.001497-0.00047202i,0.0018566-0.0013984i,0.0004447-0.0015743i,-0.00045121-0.0010471i,-0.00084394-0.0011412i,-0.00057973-0.0018969i,-0.00054371-0.0022806i,-0.00098417-0.0015589i,-0.0005936-0.00086018i,-0.00015462-0.00044241i,0.00036572-0.00018996i,0.00066525+7.2873e-05i,0.00061277+0.00067692i,0.00065482+0.00035575i,0.0003519+0.00015125i,-0.00016304-0.00021778i,0.00027785-0.00017074i,0.00091586+0.00027151i,0.0012808-0.00011125i,0.0008629-0.00013701i,0.00057803+0.00042555i
0.0006369-0.00027212i,0.00090702-0.00080876i,0.0010213-0.001461i,0.00022793-0.0021634i,-0.00049716-0.0022575i,-0.0011582-0.00144i,-0.0013829-0.00031524i,-0.00095086+7.3184e-05i,-0.0011301-0.00015547i,-0.0016308+0.00040787i,-0.0014555+0.00083512i,0.00012038+8.4967e-05i,0.00087306+0.00020549i,0.00055806+0.0010711i,0.00080534+0.00023679i,0.00097933-0.001347i,0.00069903-0.0013871i,0.00022502-0.0007406i,-0.00019472-0.00024918i,-0.00026165+6.0771e-05i,1.4964e-05+6.7854e-05i,-8.2384e-06-0.00035788i,-0.00044834-0.0010783i
0.00024094+0.00055201i,9.3152e-06+0.00050396i,-9.7827e-05-0.00031102i,0.0011664-0.00018932i,0.0014746-0.00067093i,0.0008287-0.00099767i,0.00099328-0.0004018i,0.00032783-2.4824e-05i,-0.00087605-8.9155e-05i,-0.00090041+0.00089853i,-0.00025851+0.0015853i,-0.00076056+0.00042705i,-0.00059963-0.00057083i,0.00012142-0.00039325i,0.00014567-0.0003878i,0.0001802-0.00042191i,4.6226e-05-0.00060628i,0.00030648-0.0012509i,-5.9235e-05-0.0012165i,-0.00046013-0.00060845i,-7.5102e-05-0.00051892i,0.0004503-0.00018193i,-2.8411e-05+0.00045803i
