0.00029915-0.00022973i,0.0007882-0.0011733i,0.00059351-0.0012145i,0.00038048-0.0013015i,-0.00037027-0.0022438i,-0.00065764-0.0015286i,-0.00024437-5.1514e-05i,-4.9772e-05+0.00097206i,0.0012081+0.00091962i,0.0020442-0.00012575i,0.0012896-0.00049763i,8.364e-05-0.00065018i,-0.00082275-0.00063616i,-0.00073505-0.00082207i,-1.1382e-05-0.00038348i,0.00019123+0.00052361i,-0.00025579+0.00019751i,-0.00076424-0.00042984i,-0.00057393+0.00029753i,7.779e-05+0.00057856i,0.001156-0.00018636i,0.0013117-0.00047291i,0.00025951-3.2299e-05i
0.0010028+0.0004427i,0.0013181+0.00028456i,0.00144-0.00062846i,0.0019433-0.0013327i,0.0019288-0.00060465i,0.0014092+0.00047646i,0.0009126-0.00059125i,-0.0012405-0.0029981i,-0.0042513-0.0044089i,-0.0060012-0.0041755i,-0.0044673-0.0015876i,-0.0017885+4.937e-05i,-0.00062304+0.00037034i,0.00013761+0.00045522i,0.0018469-6.2812e-05i,0.0020456-0.0010485i,0.0010834-0.0013379i,0.00074695-0.00019496i,0.00040054+0.00063245i,-3.8518e-05+7.1112e-05i,0.00059913+4.7466e-05i,0.0010704+0.00028353i,0.00092957+0.00013183i
-3.9851e-05+0.00031664i,-0.00089851+0.00018399i,-0.00064731+9.5875e-05i,-0.00035506+0.0026717i,-0.00042558+0.0054586i,0.00053045+0.0040693i,0.00028928+0.00095948i,-0.0027416+0.0004585i,-0.0059999+0.0030917i,-0.0070161+0.0044698i,-0.0051639+0.0031206i,-0.002725+0.0013651i,-0.0014209+0.0001207i,-0.00098221-0.0013694i,-0.00032121-0.0022985i,-0.00013614-0.0028582i,-0.0003339-0.0029541i,-0.0003395-0.0020865i,-0.0011129-0.00086128i,-0.0019996-0.00068956i,-0.0011999-0.0011983i,1.2084e-05-0.00057957i,0.000654-0.00020816i
-0.0020776-4.239e-05i,-0.0017668+0.0010993i,-0.0017137+0.0013912i,-0.0014226+0.0022456i,-0.00088234+0.0032233i,-0.00047907+0.0028462i,-0.00060482+0.0019594i,-0.00092019+0.0031794i,-0.00033885+0.0062878i,0.0010996+0.0073272i,0.0016575+0.0060184i,0.0015416+0.0041097i,0.0024455+0.0016864i,0.0023266-9.7419e-05i,0.00095242-0.00083326i,6.9285e-05-0.0010216i,-0.00076275-0.0011555i,-0.00092821-0.0011621i,-0.00010443-0.00090259i,0.00034613-0.00038516i,0.00039187+0.00041211i,1.4345e-05+0.0010073i,-0.00013229+0.00045913i
-0.0029689-0.0019727i,-0.0042097-0.00023401i,-0.0039416+0.0025933i,-0.0017139+0.0053956i,0.0016815+0.0058408i,0.0039644+0.0032765i,0.00422+0.00076987i,0.0042997+0.00050628i,0.0055741+0.0010038i,0.006385+0.0010528i,0.0051722+0.0010708i,0.0028523+0.00082266i,0.00090028+0.00068616i,-0.00027259+0.00066348i,-0.0012001-1.1192e-05i,-0.0016384-0.00068102i,-0.0019358-0.00018562i,-0.00079389+0.00063621i,5.6637e-05+0.0007124i,-0.00018622+0.00023553i,-0.00051661-0.00041351i,-0.0012009-7.5424e-05i,-0.0009991+0.00032842i
-0.00054943+0.0011981i,0.00020172+0.0013048i,-0.00050212+0.00089531i,-0.00086095+0.00022566i,4.0487e-05+0.0014354i,0.0019993+0.0020801i,0.0028017+0.00036565i,0.002445-0.0025851i,0.002604-0.0049086i,0.0028386-0.005175i,0.0027581-0.004701i,0.0027301-0.0032355i,0.0019119-0.0017774i,0.0011172-0.00082503i,0.0012528+0.00050342i,0.00092409+0.0016026i,0.00053992+0.0019457i,0.00097968+0.0013124i,0.0017498+0.00042826i,0.0014664+0.00036391i,0.0015783+0.00017458i,0.0011387+0.00025641i,-0.00032991+0.00064481i
-0.00089212+0.00077551i,-0.0014063+0.00020009i,-0.0018778+0.00053697i,-0.0015932+0.0019236i,-0.0010808+0.0020734i,-0.00092613-2.5842e-05i,-0.00041655-0.0018599i,-0.00046149-0.0034691i,-0.0018114-0.0053338i,-0.0035866-0.0058358i,-0.0023672-0.0046338i,0.00012036-0.0029618i,0.0010265-0.0019587i,0.0011249-0.0014025i,0.0012734-0.00067877i,0.0021678-0.00024812i,0.0022456-0.00031628i,0.0010596-0.00031684i,0.00023314-0.00030328i,0.00033258+0.00028393i,0.00032822+0.00095674i,-4.8107e-05+0.00051788i,-0.00036391+0.00024872i
-0.0016918-0.00070809i,-0.0021933+0.00061395i,-0.0029877+0.00074727i,-0.0016266+0.0019065i,1.4136e-05+0.0042583i,0.0014238+0.0037695i,0.00056145+0.00050389i,-0.002232-0.0012048i,-0.0047445-0.00013529i,-0.0055239+0.00099452i,-0.0045026+0.00088046i,-0.0023595+2.355e-05i,-0.0013651-0.0010172i,-0.00080575-0.0018522i,0.00050334-0.0026073i,0.00098638-0.002995i,0.00035853-0.0028524i,-0.00015713-0.0020906i,-0.00013026-0.0010937i,0.00032464-0.0010968i,0.0010369-0.0019076i,0.0015117-0.0014696i,0.0017597-0.00071656i
-0.00086165+0.0015541i,0.00044268+0.0023608i,0.0014318+0.0030692i,0.001238+0.0024442i,0.0015475+0.0018862i,0.0015562+0.00064702i,-0.00012773-0.0004975i,-0.0022563+0.0011623i,-0.0025211+0.0045681i,-0.0024112+0.0054434i,-0.0020303+0.0039869i,-0.0014145+0.0027996i,-0.0010743+0.0013913i,-0.00078524+0.00062575i,-0.0011003-0.00011378i,-0.0025608-0.00090324i,-0.0024936-0.0012155i,-0.00065777-0.00097103i,-0.00033048+0.00054328i,-5.9125e-05+0.0020254i,-0.00022362+0.0020193i,-0.00092093+0.0013772i,-0.0007465+0.00048561i
-0.00045115+0.00051193i,4.259e-05-0.00013154i,0.00043175-0.00097016i,0.00029706-0.00091236i,-8.344e-05-0.00039352i,0.00016961-0.00065652i,-0.00032521-0.0002206i,9.137e-06+0.0021433i,0.0025875+0.003425i,0.0038259+0.0029407i,0.002531+0.0026998i,0.0015527+0.0024595i,0.0010993+0.001585i,0.00061308+0.00036889i,-0.00024055+0.00029995i,-0.00091715+0.00082568i,-0.0015285+0.00089801i,-0.0017015+0.00034436i,-0.0021336-1.9451e-05i,-0.0017583-0.00015569i,-0.0004384-0.0007456i,-0.00022163-0.0010354i,-0.00021585-0.00068311i
-0.00017779+0.00081079i,0.00076202+0.00080661i,0.0015691+0.0013529i,0.0020247+0.0016663i,0.0023928+0.00092233i,0.0017569+2.608e-05i,0.0023396-0.00019585i,0.0043243-0.0010725i,0.0056297-0.0024317i,0.0054339-0.0029508i,0.004468-0.0022675i,0.0036896-0.0010781i,0.0028185-0.00037695i,0.0014335+0.0012101i,0.00035523+0.0023045i,2.0451e-05+0.0024083i,-0.0001755+0.0029969i,-7.5588e-05+0.0028059i,0.00022979+0.001764i,0.0012382+0.0011234i,0.0012351+0.0010589i,0.00075019+0.00090765i,0.00044215+0.0014956i
-0.00050519+0.0019105i,-0.00051408+0.00096118i,0.00075075-0.00077744i,0.0010884-0.0012095i,0.00098067-0.00033231i,0.0014235-0.00021221i,0.00063653-0.00075421i,-0.00019783-0.002967i,-0.00062538-0.0051422i,-0.001454-0.0051882i,-0.00067641-0.0040096i,0.00084659-0.0030471i,0.00068017-0.0022559i,0.00034546-0.0015529i,0.0011075-0.00099163i,0.0015842-0.0009867i,0.00205-0.00055742i,0.0014211+0.00018219i,-0.00017773+0.00040741i,-0.00023207+0.00037933i,-9.6558e-05-0.00020723i,-0.00038552-0.00074444i,-0.00047409-0.0009673i
0.00038633-0.00090294i,0.00044566-5.9193e-06i,-7.6742e-05+0.0011696i,-0.00099662+0.0023521i,-0.001346+0.0034756i,-0.00069931+0.0022953i,0.00021237-0.0010464i,-0.0016275-0.0027542i,-0.0044744-0.0024176i,-0.0046883-0.0014181i,-0.0032393-0.00096101i,-0.0016052-0.0013743i,-0.0011608-0.0023418i,-0.00046634-0.0020815i,0.00083168-0.0011196i,0.0011965-0.0011757i,0.00099378-0.001915i,0.00067217-0.0022419i,0.00077173-0.0020129i,0.00084472-0.0018131i,0.00074547-0.0012362i,0.0013105-0.00029036i,0.0012546-0.00041056i
-2.1812e-05-0.0018069i,-0.0006416-0.0024605i,-0.0015025-0.0021447i,-0.0023208+0.00019337i,-0.0015713+0.0038251i,0.001008+0.0048503i,0.0012756+0.0031867i,-0.0012577+0.0030706i,-0.0033999+0.0038664i,-0.0029548+0.0041338i,-0.0021663+0.0038718i,-0.0019542+0.0025479i,-0.0014684+0.00044247i,-0.00073744-0.0010641i,-0.00068775-0.0014258i,-0.0018158-0.0020066i,-0.0026387-0.0030749i,-0.0026245-0.0023341i,-0.0024252-6.7066e-05i,-0.0017547+0.0013727i,-0.0019813+0.0019302i,-0.0020793+0.0013506i,-0.00089574+0.00080191i
0.00034908-0.00057806i,0.00025535+0.00026699i,0.00041508+0.0017116i,0.00031978+0.0025586i,0.00046098+0.003012i,0.0010591+0.0031386i,0.00020701+0.0032176i,0.00039007+0.0035871i,0.002372+0.003178i,0.0029414+0.0022687i,0.00094777+0.001742i,-0.00043431+0.0013982i,-0.0003293+0.0013506i,-7.7583e-05+0.0011811i,-0.00064538+0.00086127i,-0.0015362+0.0012574i,-0.0025827+0.0014681i,-0.0021521+0.0009267i,-0.00094672+0.00018822i,0.0005284+0.00024246i,0.0010627+4.1944e-05i,0.0010068-0.0009499i,0.0011013-0.0012543i
0.00034535+0.00088494i,0.0012733-0.00050722i,0.00067182+3.0842e-05i,-0.00015288+0.0013976i,-3.9562e-05+0.0015548i,0.00076257+0.00051829i,0.0018853-5.57e-05i,0.0026504-0.00024312i,0.0029762-0.001235i,0.0031987-0.001995i,0.0027103-0.00047424i,0.0021034+0.0012181i,0.0021298+0.0014672i,0.0011648+0.00060291i,-0.00013755+0.00042481i,-0.0007596+0.0010924i,-0.00051619+0.0020639i,-0.00020424+0.002777i,-0.00044869+0.0021122i,-6.7451e-05+0.0021918i,0.00093061+0.0027701i,0.0005892+0.0024522i,-0.00033892+0.0015777i
-7.3219e-05+0.0015198i,-0.00055899+0.0014571i,-0.00026513+0.0010797i,0.0019748+0.00070104i,0.0041098+0.0011057i,0.0042142+0.00093227i,0.0034569-0.0010697i,0.0019696-0.0037858i,0.00010617-0.0057584i,-0.0013614-0.004751i,-0.00076411-0.0022288i,0.00032917-0.00097531i,0.00071465-0.00073806i,0.0010351-0.00065783i,0.0019732-0.00038904i,0.0029407+0.00020424i,0.0029389+0.0003971i,0.0023553-0.00016149i,0.0011081-0.0008768i,0.00021185-0.0010286i,0.00036486-0.0013996i,0.00082378-0.0021521i,0.00051172-0.0016934i
-0.00060549-0.00013563i,-0.0011494+0.00066286i,-0.0020742+0.0020273i,-0.0025839+0.0023599i,-0.0027734+0.0024302i,-0.0016606+0.0023103i,-0.00080314-0.00032324i,-0.0018288-0.0026442i,-0.0029431-0.0019637i,-0.0025612-0.00012015i,-0.00087854+0.00049728i,0.00030718-0.0002233i,-9.4019e-05-0.00068618i,-0.00051175-0.00099635i,5.4813e-05-0.00073567i,0.00076318-0.0014155i,0.0015419-0.002102i,0.001618-0.0024798i,0.0013592-0.0022364i,0.0018572-0.0012713i,0.0013444-0.00053098i,0.00033043+0.00010524i,0.00042746+7.2573e-05i
-0.0017959-0.0028748i,-0.0035168-0.0018234i,-0.0049146-0.00063447i,-0.0034527+0.0016271i,-0.00034527+0.0031446i,0.0010254+0.0010902i,-0.0010766-0.001824i,-0.0039748-0.0020463i,-0.0045646+0.00016669i,-0.0024573+0.002459i,-0.00036239+0.0016494i,0.00026761+0.00038327i,0.00051491-0.00026175i,0.00018729-0.0014846i,7.403e-05-0.0030445i,0.00028864-0.0040907i,-0.00031364-0.0044973i,-0.0010414-0.0031365i,-0.0020989-0.0014492i,-0.0029527-0.00085758i,-0.0023679-0.00013534i,-0.0012256+0.00045611i,-0.00048538+0.00076545i
0.00078261-0.0008555i,0.00074315-0.0006179i,0.001243+0.00037265i,0.00090074+0.0012579i,0.00047114+0.002722i,0.0014687+0.0028119i,0.00098528+0.0020953i,-0.0010509+0.0021719i,0.00016944+0.0016255i,0.0024432-0.0004228i,0.0015924-0.001913i,0.00029971-0.0014056i,0.00047799-0.0008284i,0.0011642-0.00053282i,0.00052198-4.0945e-05i,-0.0013297-0.00023049i,-0.0020399-0.00041537i,-0.0022746+0.00015656i,-0.0017068+0.00048031i,-0.00016177+0.0012757i,0.00046842+0.0016838i,0.00050772+0.00081635i,0.00070005-8.1706e-05i
0.0032502+0.00046373i,0.0022465-0.0013802i,0.0018645-0.0029502i,0.0013247-0.0029926i,0.00029242-0.0021302i,-0.00071037-0.00038137i,-0.0011656+0.0015469i,0.000388+0.0026776i,0.0029692+0.00087756i,0.0027766-0.0020196i,0.00065764-0.0014204i,-0.00044056+0.0001044i,-7.6859e-05-0.00058873i,0.00032114-0.00045754i,-7.8563e-05+0.0005563i,-0.00033731+0.0010983i,-0.00022317+0.0021365i,-0.00052526+0.0026433i,-0.00065519+0.0024498i,-0.00088555+0.0024576i,-0.00074353+0.0027887i,-0.00014179+0.0026263i,-0.00019902+0.0012803i
0.00038713+0.0013735i,0.0011116+0.0011266i,0.0015362+0.0016097i,0.0010694+0.0021713i,0.001228+0.0020032i,0.0012512+0.0014767i,0.0022728+0.00012815i,0.004044-0.00070986i,0.0026864-0.0012998i,-0.00015385-0.0017772i,-0.00098484-0.00075536i,-0.00058301+0.00047693i,-0.00044723+0.00051419i,0.0004894+0.00056333i,0.0021459+0.0012765i,0.003305+0.0012053i,0.0029068+0.00089412i,0.0025966+0.0008271i,0.0029968-0.00011354i,0.0032405-0.0013314i,0.0028354-0.0017798i,0.0013683-0.0015646i,0.00081895-0.0017626i
0.00094089+0.00043791i,0.00085419-0.0011727i,0.001502-0.0015787i,0.0019679-0.00066467i,0.0022117-0.00038458i,0.0033551+0.00042339i,0.0044505-0.00045578i,0.0038685-0.0028505i,0.00082517-0.0033342i,-0.0017224-0.0012414i,-0.0007055+0.00077344i,0.0014301+0.00081509i,0.0019117+0.00081618i,0.00092464+0.00058044i,-0.00058993+1.4736e-05i,2.014e-05-0.00055628i,0.0016187-0.0014587i,0.0021728-0.001993i,0.0013824-0.0014788i,0.00048148-0.0013405i,0.00080448-0.0013823i,0.0010395-0.0005181i,0.00047204-0.00044097i
0.00059174-0.00030937i,0.0004214-0.0011514i,-0.00086655-0.00095508i,-0.0023981+0.00085529i,-0.0020423+0.00244i,-0.00048398+0.0014862i,0.00023504-0.0014063i,-0.00082209-0.0024886i,-0.0015758+2.8565e-05i,2.0391e-05+0.0023831i,0.0017378+0.0023652i,0.0018834+0.0012358i,0.0015494+0.0002891i,0.0018623-0.000209i,0.0017897-0.0009556i,0.00063649-0.0020767i,-0.00050773-0.0030275i,-0.001453-0.0037188i,-0.00201-0.0035938i,-0.0017894-0.0029164i,-0.0020949-0.0021227i,-0.001695-0.0005489i,-0.00096964+8.2099e-05i
-0.00056186-0.0015036i,-0.002013-0.00090397i,-0.0021587+7.9257e-05i,-0.001598+0.0020641i,-0.0012774+0.0037912i,-0.00049694+0.0016125i,-0.0002579-0.0023298i,-0.0022165-0.0024085i,-0.0013265+0.00059658i,0.0021988+0.0015111i,0.0026036-0.00047835i,0.0015888-0.0013494i,0.0014619-0.00055062i,0.00083628+0.00029974i,-0.00068603+2.7752e-05i,-0.0015339-0.001545i,-0.0025802-0.0015416i,-0.0033265+0.00042105i,-0.0023903+0.00168i,-0.00089277+0.0014956i,-0.00023578+0.0020499i,3.1926e-05+0.0021906i,0.00033915+0.00094246i
-8.8454e-05-0.00017864i,0.00058613-0.00041068i,0.0019125-0.00079134i,0.0021957+0.00051507i,0.002641+0.0022282i,0.0019815+0.0031618i,0.00060294+0.0033287i,0.0008808+0.003335i,0.002089+0.0015411i,0.0022515-0.0018671i,0.0010443-0.0029074i,0.0011177-0.0013891i,0.0024332-0.00082351i,0.002005-0.0011489i,0.00081096-0.0014251i,-7.5225e-05-0.00023086i,-0.00028058+0.0022514i,-0.00016027+0.0028892i,-0.00012013+0.0015957i,-0.00014828+0.0012599i,-0.00017865+0.0017866i,-0.00045031+0.0017462i,-0.00095891+0.0011114i
0.00014337+0.0019485i,0.0002984+0.0012349i,0.00028214+0.0018644i,0.00029975+0.0013925i,-0.00095844+0.00072019i,-0.0014949+0.0013463i,-0.00076974+0.0024316i,0.00075756+0.001874i,0.0011072-0.00074172i,-0.00070738-0.0033853i,-0.0020546-0.0025784i,-0.0019558-0.00057089i,-0.0013492-0.0007048i,-0.0011755+0.0005941i,-0.00045366+0.0018537i,0.00053296+0.0012833i,0.00038723+0.00086067i,0.0015932+0.00088167i,0.0030419+0.0010338i,0.0020397+0.0002117i,0.0010949-0.00022957i,0.0016933-0.0006669i,0.0018726-0.0017764i
0.0017156-0.0017305i,0.0002212-0.0025538i,9.9596e-05-0.0028027i,0.00019091-0.0011646i,0.00096227+0.0011741i,0.0031546+0.0025285i,0.0039899+0.001245i,0.0028526-0.00066903i,-0.00026926-0.0016284i,-0.0031909-0.00043985i,-0.0030041+0.001056i,-0.0017479+0.00050849i,-0.0020648+0.00039729i,-0.0018144+0.00052148i,0.00051454-0.0003054i,0.0024669-0.0015234i,0.0027159-0.00286i,0.0014841-0.0030047i,0.00017354-0.0022541i,-4.3048e-05-0.0010369i,0.00018231-0.00067132i,0.00025446-0.00034496i,0.00050205+0.00038315i
-0.00032908-0.0020734i,-0.0010549-0.0017337i,-0.0010719-0.001217i,-0.001457+0.00031626i,-0.0017272+0.0017628i,0.00031564+0.0016661i,0.0024077-0.00048632i,0.0012894-0.0030148i,-0.00087166-0.0020876i,-0.0012119+0.0021024i,-0.00021633+0.0037974i,0.00077132+0.0025284i,0.0010556+0.0020597i,0.0004308+0.0019364i,0.00050576+0.00062814i,0.0003016-0.0010494i,-0.00075899-0.0013672i,-0.0013919-0.0015043i,-0.0014577-0.0021457i,-0.00095643-0.0023956i,-0.00071838-0.0020411i,-0.00069727-0.0014287i,-0.00070547-0.0012963i
0.00040862+0.00056313i,0.00020855-0.00051422i,0.00024406+0.0017233i,-0.00049693+0.0040819i,-0.00024484+0.0045716i,0.0010659+0.0022766i,0.0014919-0.0011205i,-0.0011174-0.0013893i,-0.0019671+0.0013421i,0.00082369+0.002401i,0.0019497+0.0015198i,0.00086924+0.00095265i,0.0011305+0.0011923i,0.0012787+0.00010463i,-5.0138e-06-0.0019011i,-0.0013331-0.0027533i,-0.002627-0.0015811i,-0.0028683+0.00016882i,-0.0022189+0.0012925i,-0.0012534+0.00066019i,-0.00033008+0.00026111i,-0.00011947+0.00059873i,-0.00054299+0.0007836i
0.00087389-0.00023947i,0.00072096-0.00010423i,0.00099569+0.00030345i,0.0021909+0.0010879i,0.0037488+0.0023297i,0.0032453+0.0018977i,0.00017774-0.00041769i,-0.0017087+0.00028293i,-0.0002157+0.0016002i,0.0021042+0.00025424i,0.0017144-0.00055329i,0.0021659+0.00037893i,0.0043784-0.00045774i,0.0034608-0.0014591i,0.0010672-0.00047212i,0.00062791+0.0010434i,0.0012099+0.0013993i,0.0007523+0.00035741i,6.0676e-05+0.00027158i,0.00014251+0.0015372i,-0.00011662+0.0016253i,-0.00082714+0.0006823i,-0.0012926+0.0002007i
0.001477-0.0018596i,0.00047597-0.0025471i,-0.00067212-0.0030206i,-0.0020984-0.0018088i,-0.0032056+0.00036756i,-0.0033573+0.0021785i,-0.0019378+0.002194i,0.0012627+0.0016326i,0.0028654-0.00010326i,0.0010029-0.0027855i,-0.00030448-0.0026478i,0.00044997-0.0010903i,-0.0003833-0.0015036i,-0.0018057-0.0014493i,-0.0010999+0.00054351i,-0.00047941+0.0014584i,3.223e-05+0.00034912i,0.00093031-0.00016761i,0.001741+0.00042254i,0.0017398+0.00072844i,0.0015871+0.00089068i,0.0011794+0.00072151i,0.0011366+0.00029413i
-9.8473e-05-0.0020146i,-0.00099926-0.0018592i,-0.00059686-0.0022198i,0.00030566-0.0018263i,3.8381e-05-0.00037677i,-0.000113+0.0018553i,0.0010795+0.0023803i,0.0023876+0.00064704i,0.001254-0.0013425i,-0.00092463-0.0020389i,-0.00064098-0.0010717i,0.00075532-0.0012566i,0.00045331-0.0023417i,0.00055029-0.0017845i,0.0029526-0.00074249i,0.0043272+4.088e-06i,0.0034273-0.00010554i,0.0016744-0.00050844i,0.00035265-0.00075664i,0.0002598-0.00090231i,-5.1553e-05-0.00039331i,-0.00038181+0.00082305i,3.6106e-05+0.00064602i
0.00022699+0.00095913i,0.00021993+0.00096554i,0.00066323+0.0010704i,0.00018223+0.0022222i,0.00048568+0.0024543i,0.002416+0.00086586i,0.0032486-0.0013532i,0.0013069-0.0038451i,-0.00065263-0.0032608i,-0.00099525-0.00056833i,-0.0010151-0.00025987i,-0.0016543-0.00043546i,-0.0021605+0.001146i,-0.0016627+0.0027053i,-0.00087153+0.001954i,-0.0013219+5.5812e-05i,-0.0014203-0.0008687i,-0.0011086-0.0013248i,-0.00057335-0.0020712i,8.9312e-05-0.0022002i,-1.6766e-05-0.0015567i,0.0006767-0.00077852i,0.00079938-0.00085735i
0.0031305-0.0021606i,0.0019012-0.0041348i,0.00024769-0.0048378i,-0.0014429-0.0033316i,-0.0010073-0.0011649i,0.00061847+0.00046924i,0.0011464-0.00047466i,-0.00045621-0.0020337i,-0.0019265-0.0009814i,-0.0012224+0.00095619i,-0.00083025+0.00084657i,-0.0013702+0.00076223i,-0.00059215+0.0021948i,0.0014217+0.0012327i,0.0026643-0.0013871i,0.0028909-0.002382i,0.0018231-0.0022087i,5.8066e-05-0.0012086i,-0.00037471-0.00011931i,-3.5014e-05+0.00012049i,0.00012431+0.00030481i,1.0102e-05+0.00057336i,-0.00044428+0.00044598i
-0.00050626+0.0011145i,0.0014892+0.0017866i,0.0028785+0.0035791i,0.0038745+0.0063297i,0.0056501+0.00768i,0.0051973+0.0039013i,0.00168-0.00020088i,-0.0016865+0.001494i,-0.0016757+0.0042071i,0.00090442+0.0037342i,0.0016676+0.0017319i,0.0015848+0.0015557i,0.0028718+0.001195i,0.0015448+0.0002618i,-0.0010078+0.00023527i,-0.0017917+0.00077961i,-0.0018388+0.00090743i,-0.0015135+0.00077006i,-0.001188+0.00043459i,-0.0013708-0.00018522i,-0.0014258-0.00098186i,-0.0013948-0.0012274i,-0.0014101-1.6988e-05i
-0.0012538+0.0014314i,-0.00086051+0.0013704i,-0.00013607+0.00090459i,-0.00066654-0.00032344i,-0.0013399+0.00072389i,-0.00026793+0.001564i,0.0010443-3.5224e-07i,0.0015975+0.00028885i,0.0019119+0.0028747i,0.0021087+0.002289i,0.0016589+0.0010912i,0.0020634+0.00089671i,0.0019047-0.0016297i,0.00083597-0.0030725i,7.2556e-05-0.0018212i,-0.00047359-0.00069225i,-0.00053448+0.0002285i,-0.00055202+0.00014882i,-0.00075518+8.1077e-05i,-3.8995e-05+0.0011732i,0.00054669+0.0013458i,0.00050852+0.00097997i,0.00030899+0.0010216i
0.0028463-0.0016154i,0.0015931-0.0020615i,0.0011264-0.0016498i,0.0020682-0.00096684i,0.0035934+0.00040067i,0.0027508+0.0026497i,0.0019287+0.0028707i,0.0049213-7.5883e-05i,0.006352-0.002862i,0.0034335-0.0026562i,0.0019793-0.00052795i,0.0034431-0.0010597i,0.0031912-0.0018873i,0.00079939+0.00028275i,0.00042651+0.0023123i,0.0004882+0.0022677i,0.00012063+0.0019465i,-0.00027045+0.0017192i,-0.0010055+0.00091521i,-0.00089814+0.00075813i,-0.00033301+0.00062256i,-0.00057662+0.00041158i,-0.00042548+0.00068637i
-0.00037348+0.0016034i,-0.0005395+0.0014852i,-0.0015283+0.0021334i,-0.0022287+0.0033012i,-0.0031472+0.003739i,-0.0016331+0.0017002i,-0.00040615-0.001331i,-0.00089797-0.0045355i,-0.0010522-0.0060695i,-0.00011199-0.0045544i,0.00061446-0.0029239i,-0.0002228-0.0030607i,-0.0026379-0.0020069i,-0.0023213-0.00053333i,-0.00045445-0.0016774i,0.00013074-0.003024i,0.00079197-0.0015387i,0.0012881-7.3671e-05i,0.0010491-0.0002926i,0.00049651-0.00047605i,0.00059468-0.00029282i,0.0012241-0.0007002i,0.0013114-0.0010984i
-0.00060404-0.00018911i,-0.00045828-0.00078282i,-0.00016023-0.00044229i,0.00018775-0.0016128i,0.0012956-0.0019407i,0.0021012-0.00091332i,0.00046526-0.0020093i,-0.0043113-0.0039096i,-0.0078045-0.0040547i,-0.0059269-0.0029408i,-0.0029237-0.0026098i,-0.0029182-0.0019222i,-0.0021543+0.00032268i,0.00026574+0.0012023i,0.0011184+0.00053549i,0.00086561-0.00016695i,0.00098543-0.0011306i,0.0013481-0.0010698i,0.00045602+0.00021493i,-0.0008694+0.00035573i,-0.0015211+0.00047162i,-0.0015442+0.00074421i,-0.0016531+6.9562e-05i
-0.0030705-0.00055419i,-0.0044564+0.00048144i,-0.0053569+0.0025498i,-0.0034981+0.0077i,-0.0012242+0.011825i,0.00047129+0.0089549i,0.0004253+0.0042965i,-0.0024295+0.0045812i,-0.0054673+0.0056644i,-0.0057806+0.0036799i,-0.0046307+0.0020524i,-0.0031976+0.0021962i,-0.00091708+0.0014938i,-0.00080718-0.00022531i,-0.0025014-0.0014705i,-0.0039413-0.0016973i,-0.0035706-0.0020393i,-0.0024233-0.0017214i,-0.0016621-0.00074999i,-0.0012288-0.00014437i,-0.00059687-6.8607e-05i,2.7302e-05-0.00021939i,-5.1856e-05-0.0006151i
0.00038979-0.0011926i,0.00080046-0.0012942i,0.00046137-0.0017465i,-0.00038137-0.0025005i,-0.00064922-0.0012009i,-0.00018321+0.0014406i,0.0014839+0.0036539i,0.0043386+0.005763i,0.0052008+0.0068993i,0.002537+0.005188i,0.00019862+0.0040597i,0.0011436+0.0043919i,0.003231+0.0025663i,0.0039254+0.0015948i,0.0030915+0.0025042i,0.0020125+0.0020374i,7.964e-05+0.00096833i,-0.0011752+0.0010077i,-0.0012329+0.0024388i,-0.000989+0.0033231i,-0.00041379+0.0029041i,-0.0010817+0.001902i,-0.0015662+0.00095462i
0.0003103+0.00045757i,0.00047352-0.001016i,0.0012116-0.0013262i,0.0031164+5.6764e-05i,0.0059467+0.0014952i,0.007042+0.0013228i,0.0063478-0.00027412i,0.0083559-0.001393i,0.010103-0.00086866i,0.0076056+0.00085209i,0.0051532+0.002634i,0.0051913+0.0024653i,0.0037001+0.00066214i,0.00088011+9.1616e-05i,-0.00036891+0.00036051i,-0.00053612+0.00059807i,0.00030284+0.00053404i,0.0015457+0.00027843i,0.0019481+0.00017456i,0.0012976+0.00046633i,0.00077343+0.00086065i,0.00052946+0.00076764i,0.00019599-0.00019579i
-0.00021822-0.0012838i,0.00038711-0.0013541i,-0.0011458-0.00089589i,-0.0038519-0.0013497i,-0.0042014-0.0018841i,-0.00055476-0.0021231i,0.0019871-0.0044921i,0.00097441-0.009683i,0.00075139-0.012282i,0.002369-0.0086588i,0.0040805-0.0044696i,0.0032514-0.0045724i,0.0021645-0.0046487i,0.0037538-0.0027782i,0.0048361-0.0015553i,0.0039727-0.0017753i,0.0030119-0.001467i,0.0027186-0.00053531i,0.0018808-1.5749e-05i,0.00047822-0.00013702i,0.00023223-0.0003037i,0.00077828-0.0001268i,0.00085226-0.00018472i
