-0.0021657-0.0011082i,-0.00091208-0.0018091i,-0.0017384-0.0018095i,-0.0029469-0.0011192i,-0.0026929+0.0013121i,-0.0012478+0.0024407i,-0.00053384+0.0017938i,-0.000633+0.0021685i,-0.00033686+0.0027429i,0.00022556+0.0017889i,0.00013434+0.00079987i,-0.00028268+0.00049686i,-0.00031834-4.1794e-05i,-0.00029407+0.00054897i,0.00027973+0.0008797i,0.00075242+0.00020878i,-0.00041371+0.00054216i,-0.0012473+0.00099685i,-0.00056014+0.001012i,-0.00014436+0.00064232i,-4.9493e-05-0.00035101i,0.00012114-0.00094593i,-0.00023333-0.00068163i
-0.0011249-0.0015686i,8.0267e-05-0.0020998i,0.00052939-0.0014481i,0.00010071+2.0355e-05i,0.00049692+0.0020422i,0.0019078+0.0022912i,0.0015804+0.00092781i,0.00016583+0.00036519i,-0.00070144+0.00076111i,-0.00056476+0.0012148i,-0.00019776+0.0010466i,-0.00033147+0.001316i,-5.8193e-05+0.0010169i,0.00086015-0.00026537i,0.0012424-4.9688e-05i,0.0010046+0.00087136i,0.00026505+0.0010282i,2.573e-05+0.00040627i,-3.0786e-05+0.00010312i,-0.00046994-0.00035218i,-0.00027211-0.00033123i,0.00032858+0.00090472i,0.00046067+0.00093182i
0.0012214+0.00031254i,0.0019569-0.00067396i,0.0027685-0.0039457i,0.0011531-0.0056571i,-0.00075918-0.0047497i,-0.0022191-0.0012519i,-0.001758+0.0013679i,-0.00076528+0.00090243i,-0.00030419-0.00048721i,-0.00018548-0.00062867i,4.4407e-05-0.00022943i,0.00091328+0.00014187i,0.0009514+0.00031704i,0.00093254+0.00021408i,0.0009394+1.613e-05i,0.00042744-0.00030063i,-1.1842e-05-0.00064856i,-0.00026362-0.00043199i,-6.8501e-05+0.00068238i,0.00039878+0.0015007i,0.00018828+0.00087041i,-0.00050008-0.00042738i,-0.0004322-0.00059913i
0.00036487-0.00031917i,0.0014713-0.00086127i,0.0025704-0.0022325i,0.0022749-0.001729i,0.0010459-0.00022624i,0.00068323+0.0011586i,0.00074744+0.0019511i,-0.00021403+0.0017457i,-0.0015345+0.00062417i,-0.0012216-0.00034131i,-0.00049856-0.00039022i,-0.0005879-0.00064634i,7.3144e-05-0.0010749i,0.0010834-0.0006502i,0.0011768+1.4137e-05i,0.00064288-9.8411e-06i,0.00016376-0.00068267i,-0.0001615-0.00016215i,-0.00013827+0.0011326i,7.681e-05+0.00084188i,-0.00041527-0.00046163i,-0.00079947-0.00064806i,-0.00076774-0.00034124i
0.0014315+0.00063373i,0.0023298-0.001235i,0.0017848-0.0036542i,-2.3068e-06-0.0037399i,-0.0011512-0.0016174i,-0.0012747+0.00023786i,-0.0010398+0.00061655i,-0.0009111-0.00027482i,-0.00099458-0.00062864i,-0.0013778-0.00033679i,-0.0010676-0.00020605i,-0.00083481+2.2948e-05i,-0.00087641+0.00012656i,-0.00068949-0.00048168i,-0.0001335-0.0012042i,0.00010938-0.0010127i,-0.00038368-0.00048161i,-0.0002252+0.00025387i,-0.00034252+0.0006645i,4.8687e-05-8.9604e-05i,0.00027329+0.0002561i,-0.00027008+0.00065997i,-0.00045704+0.00078832i
-0.00091289-0.00050765i,0.00057535-0.0014688i,0.0022731-0.0013225i,0.0027006-0.0017122i,0.0015718-0.00078806i,0.00072315+0.00024155i,0.00078414-0.00033103i,0.0002153-0.00049508i,-0.00042275-5.3618e-05i,5.8628e-05+0.00070961i,0.00030156+0.0013617i,0.00042483+0.00080857i,0.00036211-0.00056462i,-8.0054e-05-6.7695e-05i,-6.0503e-05+0.001018i,3.711e-05+0.0010419i,-6.73e-06+0.00075788i,-0.0003132+0.00010894i,-0.00019424-0.00052127i,0.00033587-0.00016849i,-0.00029387-0.00014872i,-0.00074414-0.0004545i,-0.00075764-0.00041487i
-0.00011914+9.588e-05i,0.0011357-0.00089855i,0.0017757-0.00137i,0.0013796-0.0013921i,0.0011742-0.00036981i,0.00034523+0.00027893i,0.00011081+8.8e-05i,-7.3667e-05+6.2407e-05i,-0.00032014+0.00093999i,0.00038246+0.0017045i,0.00067927+0.001036i,0.00064705-0.00019379i,0.0010478-0.0013268i,0.00099161-0.0009783i,0.00037999-7.8925e-05i,0.00054333-0.00018784i,0.00046113-0.00017753i,-0.00022742+0.00040639i,0.00012424+0.00078079i,0.0012438+0.00024576i,0.0012454-0.0001624i,0.00023707-0.00025953i,-0.0005066-0.0012104i
-0.00011087+0.00020253i,0.00078109-0.00047889i,0.0018236-0.0010033i,0.0022829-0.001385i,0.0027578-0.00081776i,0.0017394+0.0004972i,-0.00024977+0.00018862i,-0.0013138+0.0001266i,-0.0012567+0.001127i,-9.5208e-05+0.0013419i,0.00078135+0.0008123i,0.00069035+0.00016391i,0.00079611-0.000269i,0.00077363+0.00013784i,0.00040576+0.00040238i,-0.00026793-0.00051064i,-0.00030082-0.0014871i,-0.00013473-0.00079088i,-0.00027681-0.00010165i,-1.2231e-05-0.00030883i,0.00052923-0.00033329i,0.00041168+0.0002124i,-2.0581e-05-0.00044203i
0.0021878-0.00026922i,0.0026996-0.0013098i,0.0031427-0.0016262i,0.0026543-0.0017994i,0.0014648-0.0012683i,0.00074413-0.00034284i,0.00076772-0.00034393i,0.0010598-0.00032901i,0.0010693+0.00026642i,0.00026207+0.00041642i,-0.00078697-0.00034645i,-0.00087512-0.0014778i,-0.00055079-0.0012147i,-0.0003543-9.6877e-05i,0.00037629+0.00023968i,0.00011767-5.2418e-07i,-0.00062341-0.00014284i,-0.00056554+0.00015719i,-0.0001786+0.00069051i,-0.00031671+0.00021711i,-7.3792e-05-0.00044326i,0.00042713-0.00062731i,0.00032346-0.00017221i
0.00031613+0.00014389i,0.00071366-5.3092e-05i,0.0015468-0.0011508i,0.00088168-0.0026656i,9.4671e-05-0.00269i,0.00034995-0.00027497i,0.00085717+0.0014194i,0.0005479+0.0013298i,-1.3745e-05+0.0005136i,2.3819e-05+6.4515e-05i,-0.00026756-0.00030048i,-0.00086686-0.00054729i,-0.00080945-0.00094183i,-0.00036064-0.0013083i,-0.00042954-0.0010132i,2.6368e-05-0.00097352i,0.00073417-0.00097196i,0.00048726-0.0008861i,2.2417e-05-0.00080124i,-4.8056e-05-0.00068113i,1.128e-06-0.0010434i,-0.00012669-0.001079i,-0.00038045-0.00068989i
-0.00014715-0.0018725i,0.00016962-0.0025802i,0.00073678-0.002604i,-0.00020168-0.0019963i,-0.00055466-0.0013727i,0.00099976+0.00032057i,0.0023106+0.0008529i,0.0023733-0.0003911i,0.0018192-0.00069498i,0.0011256-0.00054804i,0.00068636-0.0011288i,0.00013323-0.001059i,-0.0011348-0.00050508i,-0.0012249-0.0007985i,-0.00060076-0.0013648i,0.00020015-0.0010497i,0.00069268+0.00027609i,0.00025288+0.00032761i,0.00023941-4.7565e-05i,1.5954e-05-0.00057288i,-0.00021225-0.00073968i,-0.00026632-0.00017851i,-0.00088096+0.00017044i
-0.0014575-0.00096384i,-0.00020775-0.00099604i,0.0015864-0.0014248i,0.0021718-0.0015286i,0.00082835-0.001374i,-0.00085844-0.0017859i,-0.0019882-0.0018941i,-0.0032121-0.0014106i,-0.0036898+0.00065364i,-0.0023728+0.0022309i,-0.00021062+0.0024134i,0.00094391+0.001312i,0.0017034+0.00012819i,0.0015104-0.00045101i,0.00036015-0.0011639i,-0.00061229-0.00046097i,-0.00098806+0.00051252i,-0.00090834+0.00036328i,-0.00067924+0.00024347i,8.3438e-05+0.00089655i,0.000301+0.00094975i,0.00034156+0.00087255i,0.00074407+0.00011172i
0.0012066+0.0012093i,0.0022072+0.00025233i,0.0038714-0.001805i,0.0034353-0.0036175i,0.0028098-0.0026958i,0.0013797-0.0014859i,0.00019141-0.0011526i,-0.00065728-0.00098576i,-0.0016499-0.0010035i,-0.0010098-0.00026541i,-0.00043542+0.00023505i,-0.00039244-0.00048031i,-0.00020434-0.00099777i,0.00014983-0.00036645i,0.00011631-0.00021534i,-0.0003887-6.1435e-05i,-0.00075324+0.00024625i,-0.00011611-0.00020519i,0.00082359-0.0002259i,0.00071961+0.00011183i,0.00081114+0.00026938i,0.0006675-0.00024661i,0.00048232-0.0010103i
-0.00023125-0.0010349i,0.00029189-0.0023419i,0.00062184-0.0026516i,-8.6683e-05-0.0021406i,-0.00068097-0.0011439i,-0.00063391-1.3888e-06i,-0.00055336+0.00036384i,-0.00091146+0.00021519i,-0.0016773+0.00079443i,-0.0017365+0.0013578i,-0.00061955+0.0012976i,0.00039767+0.0011386i,-1.4792e-05+0.00056483i,-0.00015469-0.00026157i,0.00019059-0.0006141i,-4.2379e-06-0.00014662i,-0.00032726+0.00029437i,-0.00014907-4.0112e-05i,0.00021023+0.00036417i,0.00036271+0.00083177i,0.00023367+0.00036059i,-1.1661e-05-0.00061112i,0.00033901-0.00045772i
0.0022559-8.3282e-05i,0.0029681-0.00067437i,0.0045577-0.0021911i,0.0039619-0.0037273i,0.0021676-0.0034097i,0.00051528-0.00091998i,-0.00080377+0.00039648i,-0.0015373+0.00034346i,-0.0021051+0.00071497i,-0.0016091+0.00094289i,-0.00022596+0.00036736i,0.00062669+0.0005025i,-0.00012406+0.00031317i,-0.00069518-0.00037407i,-0.0008948-0.00045817i,-0.001118+3.2586e-05i,-0.0012735-8.0893e-06i,-0.0018274-5.4724e-06i,-0.0019682-6.7082e-05i,-0.00091238-0.00022021i,0.00024882-0.0001408i,0.00065041-0.00028242i,0.00074111-0.00012792i
-0.00051702+0.0014394i,0.00025417-0.00066769i,0.0022271-0.0015716i,0.0025833-0.0020674i,0.0012459-0.0024283i,0.00036106-0.0018251i,-0.00079466-0.0012488i,-0.001452-0.00065258i,-0.00093021+0.00075158i,0.00024706+0.0014916i,0.0013564+0.00079391i,0.0012873-0.0001604i,0.00052489-0.00088859i,-7.9842e-05-0.00039346i,-0.00059935+0.00092778i,0.00010918+0.0016215i,0.000308+0.0018733i,-0.00025801+0.001302i,0.0006294+0.00059877i,0.0014641+0.00071227i,0.00066807+0.00064001i,0.00016998+0.00010857i,0.00050274-0.00020864i
-0.00075784+0.00011599i,0.00061415+4.2907e-05i,0.0020925-0.00080034i,0.0024052-0.00043399i,0.0023019+0.00042284i,0.0014976-4.8448e-05i,0.00053545-0.00058584i,-0.0010518-0.000522i,-0.0015849-0.00054565i,-0.00055712-0.00023234i,0.00043493+0.0004244i,0.00022576+0.00050142i,-3.3548e-05-0.00013285i,7.8713e-05-0.0010429i,0.00031487-0.00041492i,-0.00035594+0.00019899i,-0.00083295+0.00011346i,-0.00084971+0.00082986i,-0.00062514+0.00097733i,-5.8324e-05+0.00090046i,6.6879e-05+0.00094032i,0.00017769-0.00010943i,-9.6241e-06-0.0013406i
0.00048875-0.001433i,0.001391-0.002394i,0.001601-0.0041397i,0.00096889-0.0040798i,-0.00074902-0.0022839i,-0.00092463+0.00011704i,0.00025855+0.00058736i,-0.00012321-3.115e-05i,-0.00055961+0.00010729i,-0.00017666+0.00016241i,-9.09e-05-0.00023346i,-0.00010545-0.00021245i,0.00038841-0.00036622i,0.0010359-0.00036036i,6.6216e-05+0.00039082i,-0.00086399+0.0004254i,-0.00030289-0.0002477i,-0.0002028-0.00034629i,0.00033101-0.00013203i,0.00099034-9.558e-05i,0.00058141-0.00023308i,-0.0003548-0.00050602i,-0.0013106-0.00044088i
0.00015391+4.8171e-05i,0.00019468-0.00019551i,0.00016412-0.0010604i,0.00027789-0.0015023i,0.00019102-0.00053743i,-5.0502e-05-0.00020695i,0.00011909-0.00039891i,6.4443e-05-9.7048e-05i,-0.00077169+0.00068005i,-0.00069923+0.001037i,0.00043658+0.00046454i,0.00075896-0.00030986i,0.0010431-0.0014679i,0.0014228-0.0011798i,0.0010328-0.00034716i,0.00061945-0.00030851i,0.00031627-0.00037307i,0.00044506-0.00044224i,0.00043077-0.00028673i,0.00075426+0.00042683i,0.0010501+0.00066118i,7.259e-05+0.00039338i,-0.00017109+0.00010365i
0.00024665+0.00096214i,0.0017474+0.00050199i,0.0038286-0.00068635i,0.0038497-0.0016872i,0.0024428-0.0012194i,0.00059954-0.00084068i,-0.00050019-0.00046379i,-0.0017473-0.00028731i,-0.0023574-3.6944e-05i,-0.0016472+0.00047309i,-0.0012027+0.00034011i,-0.00065337-5.721e-05i,-0.00075915+9.3084e-05i,-0.0011246-0.00015934i,-0.00060017-0.00013254i,-0.00011247+0.00026646i,-0.00060399+0.00073156i,-0.0010347+0.0011348i,-0.00060725+0.00067301i,0.00044832+0.00062776i,0.0012328+0.00029939i,0.00082107-0.00020982i,2.6179e-05-5.903e-05i
0.00084113-0.00046901i,0.00076526-0.00015945i,0.00095957-0.0018443i,0.0012456-0.0036093i,0.00066207-0.0035403i,0.00025254-0.0016635i,0.00043663+0.00032494i,-0.00019661-8.8864e-05i,-0.00052318-0.0003769i,-1.2481e-06+0.00048378i,0.00034206+7.9909e-05i,4.1906e-05-0.00039196i,0.00049322-0.00018909i,0.00086547-0.00024049i,-7.5141e-05+9.7477e-05i,-0.00022875+0.00057527i,-0.00043647+0.00098319i,-0.00055066+0.00076053i,0.00058953+0.00063568i,0.0010124+0.00065461i,0.00043856+0.00051414i,-0.00011336+0.00039557i,-0.0010048-0.00082571i
0.0001385+0.00019454i,0.0014027-0.00059086i,0.0035038-0.001236i,0.0049923-0.0015148i,0.0039458-0.0013731i,0.0019009-0.00090883i,0.00076833-0.00093159i,-5.815e-06-0.00085833i,-0.00066366+0.00017859i,-0.00034675+0.0013313i,0.00052809+0.0015145i,0.00033584+0.00021487i,0.00017201-0.0010746i,0.00052528-0.0016436i,0.00049276-0.0019081i,0.00010293-0.0010779i,-0.00010682-0.00032028i,-0.00038354+9.3994e-05i,0.00023563-1.527e-05i,0.0012288-0.0003072i,0.0010088-3.3166e-05i,0.00022456+0.00032244i,-0.00051262+0.00027972i
0.00031466-0.00017078i,0.00096832-0.0022212i,0.001644-0.0039783i,0.0019039-0.0045412i,0.0012861-0.0031591i,0.00034189-0.00081771i,-0.00093112+0.00055312i,-0.0011249+0.00045507i,-0.00096363+0.00010421i,-0.00073506+0.00012732i,-0.00037727+0.00029028i,0.00038988+2.6259e-05i,0.00038438-0.00025944i,0.00014645-0.0009806i,0.00038011-0.0011187i,0.00048839-0.00045873i,0.00058644+0.00063299i,0.00066591+0.0011476i,0.00048809+0.00048017i,-0.00035323+0.00030806i,-0.00067653-0.00075625i,-0.00033635-0.001351i,0.00050344-0.00060507i
-0.00064305+0.00035051i,0.00098138-0.00036716i,0.002021-0.00022038i,0.0012328-0.00033337i,0.00073287-0.00042587i,0.00033559+0.00021515i,-0.00049357+0.00063997i,-0.00090534+4.272e-05i,-0.0010533-0.00010762i,-0.00074151+0.00024086i,-0.00035477-8.2784e-05i,-0.00014391-0.00064816i,2.9896e-05-0.00046663i,4.9638e-05-0.000162i,0.00011253-0.00021996i,0.00040639-0.00027169i,0.00054177-0.00052482i,0.00069665-0.00020387i,0.00076745+0.00014636i,0.00070651-0.00020144i,0.00013406-0.00026956i,-0.00046244-0.00049199i,0.0003706-0.0007908i
-0.00056707-0.0015075i,-0.00010047-0.0024722i,-0.00071897-0.0027227i,-0.00020776-0.0026722i,0.00019123-0.0020085i,0.00034358-0.00019779i,0.0012469+0.00040107i,0.00069751+0.00043666i,-0.00017723+0.0010199i,-0.00041201+0.0017633i,-0.00037863+0.0014145i,-0.00070597+0.00051039i,-0.0011198+9.9869e-05i,-0.00021189-0.0002158i,0.00099725-0.00036042i,0.00090587-0.00038497i,-0.00034439+4.748e-05i,-0.00017605+0.0004002i,0.00091549+0.00024414i,0.00079306+0.00043717i,0.00060956+4.7466e-06i,0.00086957-0.00037509i,0.00089529+0.00042438i
0.00096894-0.0021946i,0.0013527-0.0021284i,0.00077744-0.0030651i,4.1996e-05-0.0034398i,-0.0009169+0.00013918i,-0.0012107+0.0026063i,-0.00034408+0.0012334i,-0.00042619-8.6891e-05i,-0.00095589-7.1076e-05i,-0.0011641+0.0002969i,-0.0012279+0.00021077i,-0.00089378-5.5753e-05i,-0.00099199+0.00032436i,-0.0016514+4.0647e-06i,-0.0011085-0.00059054i,-0.00069134-0.00061804i,-0.0008599-0.00041192i,-0.00077969-3.4935e-05i,-0.00093076+9.7536e-05i,-0.00096526-9.8691e-05i,-0.00035922+7.7834e-05i,-0.00037482+0.00010778i,-0.00083216+0.00019248i
0.00061233+0.00022749i,0.00096612-0.00048914i,0.0021728-0.0014184i,0.0026922-0.0019368i,0.0021537-0.0023243i,0.0010929-0.0014497i,0.0004031+0.00021767i,-0.00017019+0.00086828i,-0.00082009+0.001197i,-0.00083756+0.00089909i,-0.00052963+0.00014493i,-0.00053819-0.00032881i,-0.0010698-0.00031433i,-0.001153-0.00017594i,-6.4703e-05+0.0001466i,0.00035096+0.00054733i,0.0006297+2.3722e-05i,0.00077342-0.00072958i,0.00014364-0.0004405i,-0.00035967+6.7658e-06i,-0.00016096-0.00024613i,0.00044434-0.00063564i,0.00041427-0.00043527i
0.0011163-0.0014021i,0.0010059-0.0018747i,0.0011343-0.0028615i,0.00034936-0.0021802i,-0.00092373+0.00063088i,-0.00089417+0.0030348i,0.00041208+0.0019711i,0.00031267-0.00022248i,-0.0011043-0.00048402i,-0.0013382+0.00047215i,-0.00067396+0.00049539i,0.00014461+0.00049482i,0.00073659+0.00091942i,2.4889e-05+0.0007619i,-0.00056022-0.00013632i,0.00057009-0.00050273i,0.0014756-0.00047165i,0.0010077-0.00056604i,0.00045767-0.00059248i,-2.8505e-05-0.00022908i,-0.00048798+0.00012575i,-0.00046153+6.1673e-05i,-3.3493e-05-0.0005472i
-0.00039654-0.00042612i,0.0012124-0.0019286i,0.0023696-0.003073i,0.0013564-0.0037i,-0.00012383-0.0031968i,8.6262e-05-0.0016451i,0.00041444-0.0010046i,-3.9972e-05-0.0008887i,0.00010191-0.00025224i,0.00015352+0.00062411i,0.00041703+0.00057498i,0.00088778-0.00074462i,0.00066716-0.0014446i,0.00023014-0.00051965i,-0.00041059+3.5141e-05i,-0.00051921-0.00041533i,7.9157e-05-0.00028289i,-2.1477e-05+0.00071603i,-0.00032026+0.00072777i,-0.00065921-0.00025951i,-0.00068067-0.00059509i,-0.00065628-0.00066992i,-0.00078382-0.00065942i
-0.00093605+0.00047158i,0.00021192+0.00032255i,0.0014312-0.00063868i,0.0022034-0.001725i,0.0022193-0.0020603i,0.001875-0.00056821i,0.0012281+0.00021138i,0.00057111-0.00066803i,-0.00017026-0.00022369i,-0.0010776+0.00032676i,-0.00097075-0.00038298i,1.5754e-05-0.00093567i,4.5629e-06-0.0010901i,0.00010475-0.00054298i,0.00074584+0.00038195i,0.00090687+0.00081637i,0.00024138+0.00035531i,-0.000517+8.7271e-05i,-0.00015394+0.00039728i,0.00050773+0.00057518i,0.00033468+0.00022514i,-9.6215e-05-0.00031505i,0.00034761-0.00015267i
-0.00046226+0.0016405i,0.0015153+0.00087885i,0.0027275-9.0367e-05i,0.0030586-0.00039819i,0.0024244-0.00060411i,0.0010646-0.00076058i,-0.00046062-0.00010018i,-0.0012741+0.0003616i,-0.00086293+0.0002792i,-6.3917e-05+0.0002188i,-0.00014918-0.00022256i,-0.00060325-0.00072068i,0.00030191-0.00032289i,0.001422+0.00082484i,0.0012301+0.00057813i,0.0010628-0.00023333i,0.0013863+0.00014736i,0.0010512+0.00073323i,-0.00027661+0.00066623i,-0.00041348+0.00028531i,0.00065849+9.7434e-05i,0.00089924-0.00016025i,0.00071844-0.00018997i
0.0001477-0.00054478i,0.000867-0.00095802i,0.0020314-0.00086043i,0.0028403-0.0013601i,0.0019767-0.0017851i,0.0012909-0.0013855i,0.0010991-0.0011453i,-4.1911e-05-0.0011232i,-0.0012276+0.00017252i,-0.0014132+0.0012646i,-0.00080075+0.0016628i,-0.00036285+0.0016716i,-0.0007168+0.0011046i,-0.0011114+0.00096885i,-0.00030307+0.0011097i,0.00062662+0.00055566i,0.00068474+0.0002044i,8.7559e-05+0.00031502i,0.00021773-3.5052e-05i,9.0617e-05-0.00053655i,-0.00024378-0.0010802i,-0.00054801-0.0010537i,-0.00078375+0.00050215i
0.00056777-0.00056411i,0.0015015-0.0023518i,0.0027708-0.0033673i,0.002215-0.0026873i,-0.00014832-0.001092i,-0.001227-3.3875e-05i,-0.00086609+0.0004689i,-0.00054575+0.00030986i,-0.00019201+0.00050301i,-8.2691e-05+0.0013367i,0.00059354+0.0015655i,0.0011075+0.0005652i,0.0010154-0.00067226i,0.00025601-0.00031854i,-3.5319e-05-0.000201i,0.00027315-0.00029285i,0.00011778+0.00023582i,-8.1445e-05+0.00036789i,-0.00048635+0.00030105i,0.00029805-0.00027064i,0.00074971-0.00011132i,0.00053675-7.8841e-05i,0.00048944-0.00039805i
-0.0011175+0.00033855i,9.7799e-05-0.00071218i,0.0014878-0.0020393i,0.002209-0.0025092i,0.0017864-0.0024133i,0.0011197-0.0014526i,0.00028701+1.254e-05i,-0.00079579+0.00097188i,-0.00096882+0.0012556i,-0.00096344+0.0010374i,-0.00021964+0.0010612i,0.00077379+0.00053766i,0.00071507-0.00029347i,0.00076957-4.8972e-05i,0.00084354-3.6212e-05i,0.00065842-0.00039946i,0.0004001-3.9351e-05i,-0.00034086+0.00038732i,-0.00065353+0.00028273i,-0.00035995+9.3888e-05i,-0.00044963-0.00036872i,0.00033492-0.00026832i,0.00094217+6.4364e-05i
0.001319-0.0020713i,0.0015338-0.0023096i,0.001342-0.0017252i,0.0012296-0.001232i,0.0008976-6.7486e-05i,0.0008395+0.0014225i,0.00099147+0.0015063i,-0.00019101+0.00053921i,-0.00096521+0.0003042i,-0.00052815+0.00098724i,-0.00040996+0.000481i,-0.00048289-0.00077328i,-0.00074487-0.0010448i,-0.00084482-0.0003332i,0.00022345+6.8703e-05i,0.00064998+6.0816e-05i,-0.00074014+0.00057113i,-0.0011935+0.0010925i,-0.00042039+0.00078765i,-0.00022609-0.00091849i,-0.00031182-0.0017481i,0.00024597-0.0014395i,0.00056154-0.00058252i
0.00026408-0.00098371i,0.00064729-0.001961i,0.00085477-0.0034211i,0.0012049-0.002683i,0.00061001-0.00058933i,-0.00021151+0.00014655i,2.3066e-05-0.00010793i,0.00029494-0.00035666i,-0.00054535+0.00015307i,-0.0014487+0.00071948i,-0.00095768+0.00011929i,-0.00017274-0.00041805i,0.00016851-0.00025382i,-0.00022737-0.00010857i,-0.00055985-3.5509e-06i,-0.00055008+0.001493i,-0.0008572+0.0014865i,-0.00069187+0.00016421i,-0.00033859-0.00012989i,0.00051162-0.0001515i,0.00075121-0.00038633i,0.00080873-0.00038072i,0.00051124-9.0746e-05i
-0.00059644-0.0025095i,-0.00073531-0.0023199i,-0.00077543-0.0015429i,-0.001325-0.0013987i,-0.0011919-0.00084262i,0.00047874+0.001199i,0.0019185+0.0013063i,0.0015177-0.00025111i,-0.00024832-0.00042674i,-0.00132+0.00041987i,-0.0012211+0.00034426i,-0.00070554+0.00053084i,-0.00019775+0.00086019i,-0.00013073+0.00046019i,-0.00032749+0.00043082i,5.8286e-05+0.00078263i,0.00061846+0.00094287i,0.00039827-0.00015977i,0.00016488-0.00063573i,0.00030894-0.00031544i,-0.00027734-0.00048374i,-0.00063702-0.00042536i,-0.00011512-0.00016447i
-0.00041379-0.00032931i,0.0010575-0.0012679i,0.001826-0.001838i,0.0014143-0.0024726i,0.00097597-0.0024263i,0.00075732-0.00056984i,0.00049075-5.829e-05i,-0.00050454-6.4662e-05i,-0.001416+0.00019206i,-0.00098111+0.00032735i,0.00022414+0.0010631i,0.00049659+0.00099144i,0.00032152-0.00015169i,-3.0171e-05-0.0010503i,-0.0001473-0.00137i,-0.00083183-0.00095263i,-0.00096136-0.00032185i,-0.00049627-0.00086186i,-0.00014032-0.00088654i,0.00043798+0.00023714i,0.00096022+0.00045762i,0.00033053-0.00036788i,-0.00065362-0.00083055i
0.00032119-0.0018315i,0.0015236-0.0028837i,0.0011649-0.0029971i,0.00036662-0.0013412i,0.0012184-0.00047938i,0.0018675-0.00070184i,0.00074259-0.00079412i,-0.0014909-0.00072817i,-0.0026415-0.00035977i,-0.0017648-0.00029673i,-0.0014109-0.00066861i,-0.00084949-0.00056712i,0.00049122-0.00073029i,0.00039119-0.00048682i,-0.00057654-0.00012254i,-0.00036195+0.00055467i,-0.00015367+0.0014237i,-0.00020287+0.00095026i,-9.2448e-05+0.00057063i,4.1242e-05+0.00079844i,-0.00044866+0.00038442i,-0.0011334+0.00071636i,-0.00084969+0.00087064i
-0.0015244-0.00062488i,-6.8647e-05-0.0013872i,0.0024791-0.0021782i,0.0036829-0.0027725i,0.0026136-0.0018972i,0.001339-0.00045088i,0.00085213-3.9259e-05i,-0.00044463-0.00035041i,-0.0012322+0.0001543i,-0.00050736+0.0012933i,0.00073993+0.00074158i,0.0015617-0.00042511i,0.0018751-0.00094947i,0.0016117-0.00058828i,0.0012802-0.00042785i,0.00092893-0.00073353i,0.00025116-0.00036957i,0.00013476-0.00040062i,0.00054213+0.0001995i,0.00056186+0.00011786i,0.00058496-0.00033424i,0.00081186-0.00017881i,0.00017986-0.00018472i
0.00045514-0.001028i,0.00074247-0.0010538i,0.00078839-0.0020972i,0.00037758-0.0033019i,5.7216e-06-0.0018807i,0.00057453+0.00029229i,0.00046871+0.00011656i,-0.00010204-0.001479i,-0.00080122-0.00087359i,-0.00045709+0.0008945i,-0.00017925+0.0006264i,3.3575e-05-0.00052189i,0.00057948-0.00019884i,0.00059176+0.00061972i,0.00091531+0.00050788i,0.00019688-0.00010746i,-0.00087177+3.6657e-05i,-0.00065016+0.00071474i,0.00027751+0.0011594i,0.00093626+0.0010745i,0.00061044+0.0006204i,0.00040341-0.0004786i,0.00041416-0.0012038i
0.00066955-0.00014895i,0.0019582-0.0010719i,0.0023615-0.0022773i,0.0013663-0.0031344i,7.6422e-05-0.0024657i,-0.00020008-0.00025119i,0.00010842+0.00029327i,-0.00014437-0.00037989i,-0.0010353+2.642e-05i,-0.00090191+0.00066197i,-0.00058443+0.00026121i,-0.00016484+4.362e-05i,0.00026716+0.00048596i,-0.0002715-0.00015835i,-0.00071278-0.0010279i,0.00035179-0.0015766i,0.0012835-0.001529i,0.00048356-0.00026148i,-0.0005038+0.00017566i,-0.00059035-0.00055019i,-0.00016384-0.00144i,0.00058081-0.0015312i,0.00059767-0.0010359i
0.00039788-0.0012804i,0.0016591-0.0018608i,0.0032811-0.0021849i,0.0035376-0.0015956i,0.0013614+0.0005998i,0.0001379+0.00065194i,0.00050766-0.0007294i,0.00072526-0.00062028i,-0.000188+0.00028696i,-0.00060193+0.00056515i,0.00015551-0.00010818i,0.00025718+0.0003714i,1.5401e-05+0.00013141i,0.00016676-0.00088028i,0.00039246-0.0012937i,0.00083683-0.0015296i,0.00095995-0.0010848i,0.00048982+2.8786e-05i,0.00031097+0.0010592i,0.00041385+0.00071609i,0.00058305-7.4848e-05i,0.00011939+0.00010222i,-0.00011835+0.0007202i
0.0008098-0.001552i,0.001339-0.0018244i,0.0019089-0.0027369i,0.0017862-0.0035316i,0.0007418-0.0033622i,8.2687e-05-0.0012112i,-0.00027954+9.1389e-05i,-0.0013639+0.00021254i,-0.0015885+0.00049767i,-0.00054297+0.00072745i,-0.00012518+0.00081969i,-0.00042204+0.00035466i,0.00026898-0.00056456i,0.00081535-0.00083668i,0.00014215-0.0002449i,0.00022614-0.00018692i,0.00090349-0.00039026i,0.00093816-0.00076479i,0.00064769-0.00042385i,-4.9376e-05+8.224e-06i,-0.00080056+0.00013285i,-0.0011841+0.00020862i,-0.00065833-0.00043075i
