-0.0017925+0.00094392i,-0.00083319-0.00021638i,-0.0017631-0.00038621i,-0.0016866+0.00096428i,-0.00093188+0.0025884i,2.0184e-05+0.0028873i,0.00058583+0.0017632i,0.00096263+0.00063459i,0.001132-0.00044701i,0.00098056-0.0002674i,0.0011889-0.00022295i,0.0011023-0.00094122i,0.00067631-0.00010481i,8.7495e-05+0.00062495i,-3.2818e-05+0.00036455i,-0.00021357+0.00027878i,-9.8747e-05+0.00034081i,9.1739e-05+0.0001817i,0.00041428-0.00015497i,0.00058888-0.00052606i,-0.00015821-0.00097815i,-0.00052763-0.00099925i,-7.1727e-05-0.00025329i
-0.0010417+0.00049798i,-0.0010067-8.964e-05i,-0.0016132-0.0011001i,-0.001661-0.00089007i,-0.0012579+0.00084722i,-0.00021705+0.00093393i,7.4889e-05+0.00083337i,-0.0001495+0.00035725i,0.00022629-0.00027915i,0.00061433+0.00020612i,0.0013934+0.00083217i,0.0014736+0.00082085i,0.00088295+0.00038694i,0.00015552-0.00031968i,-0.00066996-0.00061133i,-0.00045125-0.00085741i,-3.7857e-05-0.00061483i,-0.00042244-0.00020628i,-0.001075-2.5879e-05i,-0.00050096+0.00033463i,-5.9793e-05+0.00090368i,1.724e-05+0.00072261i,0.00031797+4.3784e-05i
-0.00076345+0.0015338i,-0.00087283+0.0018011i,0.0010329-0.00028295i,0.0023488-0.0023996i,0.001826-0.0024256i,0.0011703-0.00087578i,0.0008763+0.0003199i,0.00070742+0.00034773i,-3.6321e-05-8.794e-05i,-0.0010147-0.00065698i,-0.00055203-0.00040462i,0.00036319+0.00043341i,0.00064334+0.00019846i,8.6703e-05-7.8882e-05i,-0.00015375+0.0003144i,0.00066909+0.00024267i,0.0005656+8.5646e-05i,0.0001354-0.00014412i,0.00037736-0.0011674i,0.00047961-0.00063985i,-0.00025326+0.00042669i,-0.00089019-9.2784e-05i,-0.00014506-0.00012356i
-0.0010464+0.0032859i,-0.0021576+0.0047957i,-0.00081031+0.0045543i,0.00018743+0.0030163i,-0.0007275+0.0016878i,-0.0020434+0.0013519i,-0.0023612+0.0017767i,-0.0018063+0.0015096i,-0.0010612+0.00094056i,-0.00083371+0.0007792i,-0.00041211+0.00061768i,2.9621e-05+0.00073502i,0.00040725+0.00094774i,0.00072267+0.00050981i,0.00089304+0.00029949i,0.00070512+0.00051338i,0.00031798+0.00055576i,0.00068608-0.00037173i,0.00042453-0.0013015i,-0.00015978-0.00012961i,-0.00010729+0.00056049i,-0.00039848+0.00089868i,-0.00053971+0.00098211i
0.0012934-0.001594i,0.00082384-0.0013382i,-0.00014384+0.00031474i,-0.0013264+0.0022243i,-0.0017366+0.0020434i,-0.0007583+0.0012022i,0.00021311+0.00064364i,0.00010289+0.00093563i,-0.00032677+0.001207i,-0.00028719+4.7487e-06i,0.00059106-0.00059911i,0.00072715+6.096e-05i,0.00011106+0.00081372i,-0.000155+0.00037477i,-0.00093504+0.00032465i,-0.00073638+0.00050956i,0.0004866+0.00029266i,7.0203e-05+0.00037659i,-0.00054928-3.6742e-05i,-1.966e-05-0.00023847i,0.00042367-8.8405e-05i,0.00050113+0.00012007i,0.00065426+0.00070771i
-0.00094872+7.0583e-05i,-0.0021381-0.00039406i,-0.0030995-0.001496i,-0.0032944-0.0025862i,-0.0020442-0.0020252i,-0.0011239-0.0012604i,-0.0014135-0.00077567i,-0.0012131-0.0002169i,-0.00016534-3.3749e-05i,0.00013205-0.00035801i,-0.00067026-0.00017653i,-0.00084454-2.5737e-05i,-0.00039345-0.00070247i,0.00019762-0.0008414i,0.00040043-0.00097785i,0.00050074-0.00098898i,-4.6088e-05-0.00047738i,-0.00059994-0.00026095i,-0.00026017-0.00091512i,0.00051906-0.00095765i,0.00076142-0.00045401i,0.00049257+0.00029783i,-0.00033592+0.0010439i
-0.00071378+0.0015062i,0.00014775+0.002555i,0.00095952+0.0011748i,0.0017866-0.0016843i,0.0014038-0.0024317i,0.00039179-0.0016381i,6.8738e-06-0.00079503i,0.00044872-0.00041015i,0.00040178-0.00070101i,-0.00013053-0.001488i,-0.00017681-0.001263i,-0.00010448-0.00057419i,0.00093016-0.00058382i,0.0012017+0.00012862i,0.00013917+0.00040247i,-0.00014458-0.00012148i,2.4807e-07-0.00089984i,0.00013777-0.0015252i,0.00044805-0.00085967i,0.00058558-0.00030031i,0.00093563-6.5535e-05i,0.0010308+0.00031127i,0.00077464+0.00089921i
0.0013223+0.0029477i,0.0011317+0.0038719i,0.0015998+0.0033474i,0.0026965+0.0021155i,0.0021167+0.0013218i,-0.00019126+0.00086798i,-0.00098344+0.00094361i,-0.00054087+0.0012045i,-0.00019665+0.0014275i,-9.3015e-06+0.00099854i,0.00049191+0.00044033i,0.00077611-3.8354e-05i,0.00043036+0.00022557i,0.0001028+0.00089828i,0.00030646+0.00032944i,-1.068e-05-0.00044709i,-0.0012129-0.00027282i,-0.0014165+0.00046225i,-0.00041898+8.6304e-05i,0.0004509-0.00043912i,0.00013214+0.00012907i,-0.00062931+0.00052689i,-0.00037995+0.00067352i
0.001215-0.001561i,0.00083811-0.0019308i,-0.0001292-0.0013302i,-0.00064039+0.00083295i,-0.00015174+0.0015953i,-0.00023071+0.00027166i,-0.0010075-1.7711e-05i,-0.0009524+0.00069397i,-0.00054087+0.00020406i,-0.00029857-0.00041786i,0.00016061+3.2581e-05i,-0.00024706+0.0010553i,0.00013573+0.00104i,0.00065581-0.00038904i,6.0142e-05-0.00090888i,-0.00062512+0.00024294i,-0.000583+0.0007362i,5.8722e-05-0.00036499i,0.0010098-0.0010771i,0.00083439-0.00085063i,-0.00027239-0.00075969i,-0.0002132-0.0004729i,-0.0002704+0.00011129i
0.00011775+0.0013736i,-0.0010806+0.0012908i,-0.0017775+0.00047742i,-0.0035669-0.00088016i,-0.0042804-0.0012379i,-0.0038939-0.00042718i,-0.0028634+0.0001075i,-0.00061517+0.00037036i,0.0010009+0.00035282i,0.00090048+0.00039855i,0.00011623+0.00042986i,-0.00025928-0.00068077i,9.5857e-05-0.0013278i,-7.673e-05-0.0010712i,-0.00071713-0.00073076i,-0.00058958+4.1754e-06i,-2.0008e-05-0.00037635i,-9.6747e-05-0.00053197i,-0.00013813-0.00015362i,0.00056126+0.00034185i,0.00088296+0.0004943i,0.00077841+0.00025111i,4.9368e-05+0.00086845i
0.00033625+0.0013232i,0.0010577+0.0016197i,0.0014035+0.00094609i,0.00047768-0.0012279i,-0.00083121-0.0013142i,-0.0011976+0.00062723i,-0.00048207+0.00096168i,0.00035698+0.0002149i,0.00065727+5.6659e-06i,0.00017665-0.00021949i,0.00033521-0.00092253i,0.00080352-0.0010442i,0.0010134-0.00028143i,0.00030789+0.00024219i,-0.00028309-3.3206e-05i,2.6348e-05-0.00092562i,0.00029547-0.0012267i,0.00043389+8.0549e-05i,-0.00020813+0.00093208i,-0.0005878+0.0007508i,-0.00076053+0.00025949i,-0.00072791-0.00018987i,-0.0011077+0.00032677i
0.0022129+0.0029972i,0.0028566+0.0020968i,0.0025496+0.00036178i,0.0015467-0.0014833i,0.00011329-0.0028257i,-0.0010391-0.00257i,-0.0011518-0.00049004i,-0.00061456+0.0009376i,-0.00062442-3.6811e-06i,7.8859e-05-0.0013492i,0.00072995-0.00082423i,0.00028777+0.00038058i,-0.00044667+0.0011672i,-0.00087841+0.00089361i,-0.00060318+8.1839e-05i,-0.00035018-0.00038586i,-0.00021121-0.00060242i,-0.00045716-0.00027536i,-0.00061746+0.00027911i,-0.00023913+0.00014178i,0.00017517+0.00025614i,-2.2312e-05+0.00029776i,-0.00045565+0.00028016i
0.00032841-0.00045198i,-0.00063751+0.00038102i,-0.00033501+0.0011342i,-0.00054639+0.0014647i,-0.0010281+0.0013857i,-0.0012835+0.0014228i,-0.0016797+0.0016711i,-0.0011242+0.0021902i,-0.00021247+0.0022262i,0.00032515+0.0012926i,0.00028398+0.00084434i,0.00021673+0.00073352i,0.00044185-6.5691e-05i,0.00096535-0.00039649i,0.00073506+0.00040253i,0.00018679+0.00073625i,0.0002843+0.00014133i,0.0006079+9.544e-05i,0.00074375+0.00025393i,0.00021315-0.00014399i,-0.00026108+0.00025202i,-0.00039046+0.00029256i,-4.9225e-05-0.0002719i
-0.0016595+0.002504i,-0.0030548+0.0030045i,-0.003086+0.0036375i,-0.0023498+0.003129i,-0.0015497+0.0030185i,-0.0010768+0.0026149i,-0.0017188+0.0019582i,-0.0014765+0.0022416i,0.00019451+0.0019562i,0.0012111+0.00083972i,0.00066389+0.00020457i,0.00050402-0.00045285i,0.00099668-0.00078877i,0.00048919-0.00060572i,-0.00031372-0.00037655i,0.00054175-0.00029902i,0.0005597+0.00012189i,-0.00039372-0.00019529i,-0.00076898-0.00059532i,-0.00050889-0.00051995i,3.3923e-05+0.00015315i,0.00076897+0.0011768i,0.000816+0.00089555i
9.6348e-05+0.00093925i,0.00049676+0.0013867i,-0.00063567+0.00071891i,-0.001732-3.1274e-05i,-0.0014743-0.00021423i,-1.1405e-05-0.00064445i,0.00085087-0.0014265i,0.00097086-0.00082871i,0.00072731-0.00051543i,5.3312e-05-0.00061807i,0.00016327-0.0001908i,0.00077634+0.000464i,0.00062492+0.0010137i,-1.3435e-05+0.00086458i,0.0004806+0.00024745i,0.00090935-0.00059384i,0.00010608-0.0014564i,-0.00025133-0.0010097i,-9.4563e-05-2.0765e-05i,-0.0005931+8.0695e-05i,-0.0010208-8.7155e-05i,-0.00038068+0.00011557i,3.408e-05-0.00026104i
-0.0017764+0.00383i,-0.0014896+0.0032017i,0.00016402+0.0015886i,0.00081023-0.0010644i,0.00022804-0.0023504i,-0.001019-0.0018971i,-0.0014945-0.00094457i,-0.0012994-0.00033393i,-0.00064745-0.0001072i,4.9288e-06+6.5859e-05i,0.00043335-8.4452e-05i,0.00016787+0.00014379i,-0.0010328-0.00022217i,-0.0019427-0.00038659i,-0.0016146-0.000434i,-0.0012085-0.00055059i,-0.0011294+0.00048769i,-0.00052379+0.0009945i,0.00022851+0.00052355i,0.00023416-7.5497e-05i,7.5614e-05+0.00055549i,9.1635e-05+0.00089044i,0.00011888+0.00014155i
5.9008e-05-0.00087722i,0.00018632-0.00049237i,0.00020193+0.00042621i,0.0018887+0.0010901i,0.0026393+0.00067255i,0.0011522+0.0009873i,-4.2913e-05+0.0020915i,-0.00049513+0.0024041i,-0.00072457+0.0011432i,-0.0009763+0.00052204i,-0.0013984+0.00037699i,-0.00083392-0.00052934i,0.00092894-0.00065137i,0.0014176-0.0003571i,0.00095888-3.9231e-05i,0.00057972+0.00042437i,-1.0705e-05-0.00035655i,-0.00041147-0.00087596i,-0.00045258-0.00033702i,-0.00065787+7.7218e-06i,0.00010949-0.0002472i,0.00042814+0.00011218i,-0.00020655-3.2823e-06i
-0.00033607-0.00013348i,-0.0007928-0.0010017i,-0.00020648+0.00026246i,-0.00076196+0.00192i,-0.0017327+0.0023716i,-0.0020301+0.0017425i,-0.0018719+0.0010488i,-0.00074041+0.0013085i,-0.00030991+0.0014394i,-0.00086246+0.0012022i,-0.00042019+0.00076379i,0.00044771+0.00027253i,0.0011011+0.00031902i,0.0010283+0.00028388i,0.000468-0.00037712i,-4.2087e-05-0.00020878i,-0.0006741-0.0003031i,-0.00045942-0.00037874i,-0.00054003-0.00012368i,-0.00051182-0.00048682i,-0.00036991-0.00039914i,-1.9187e-05-0.000396i,0.00018932-0.00024584i
0.00062246-0.0033614i,-0.0010119-0.0030124i,-0.001957-0.0026027i,-0.0031699-0.00097099i,-0.0031687+0.0009825i,-0.001196+0.0015617i,0.00043135+0.0012459i,0.0010386+0.0005451i,0.0015714-0.00030831i,0.0018462-0.00026022i,0.00096706+0.00047617i,3.2612e-05+0.0012843i,-0.00011829+0.0020025i,5.0661e-05+0.001709i,-0.0003791+0.0010101i,-0.00058302+0.00091954i,-0.00067149+0.0010379i,-0.00075992+0.0012423i,-0.0001364+0.0009937i,0.00039997+0.00041364i,6.1049e-05-2.371e-06i,-0.00020627-0.00031179i,6.521e-05+0.00037637i
0.00041161+0.0040946i,-8.9689e-05+0.0041308i,-0.00052788+0.0022567i,8.5116e-05-0.00077027i,0.00054092-0.00207i,-0.0003846-0.0015514i,-0.0011681-0.00085442i,-0.00012108-0.00044418i,0.00070987-0.00039479i,0.00039997-0.00029972i,-0.00027202-0.00017891i,-0.00070149-0.00073058i,-0.00040413-0.00077555i,-0.00045486-0.00023453i,-0.0012022-0.00067737i,-0.00070917-0.00049847i,-0.00025049+0.00029544i,-0.00015338+3.272e-05i,-0.0002236-0.00072665i,0.00013373-0.00069059i,-0.00039793-0.00037439i,-0.0006798-0.00037694i,0.0010606-0.00019556i
-0.0010669+0.0004319i,-0.00031016-0.00064411i,0.0013132-0.0013852i,0.0013095-0.0018103i,-0.00058302-0.0029465i,-0.0011006-0.0022857i,-0.00039806-0.00039951i,1.0878e-05+0.00058822i,-0.00052709+0.00050211i,-0.0012235+8.2299e-05i,-0.001089-0.00070277i,-0.00056154-0.0018096i,0.00044066-0.0012499i,0.0016282+0.00037172i,0.0011224+0.0011614i,9.6352e-05+0.00097809i,-0.00026168+0.00053848i,8.7199e-05-0.00037278i,0.00046685-0.00059769i,0.00072798-0.00019824i,0.00027655-5.0807e-05i,-0.00047097+0.00019743i,-0.0003815+0.00035771i
-0.00050029-0.0011454i,-2.3405e-05-7.71e-05i,0.0015063+0.0017651i,0.0028299+0.00191i,0.0015147+0.0011694i,-0.00075885+0.00025068i,-0.0017483-7.2163e-05i,-0.0012449+0.0010127i,-0.0011199+0.0015341i,-0.00066274+0.00068414i,-5.0334e-05-0.00024358i,0.00040975-0.00055193i,0.00089088+0.00028383i,0.0010909+0.00064915i,0.0011823+0.00024987i,0.0009066-0.00027512i,0.00026192-0.00046939i,1.8064e-05-0.00039654i,0.00023591-0.00022946i,0.00035311-0.00028929i,-0.00016938-0.00042832i,-0.00079453-2.0753e-06i,-0.00092354+0.00042792i
0.0026576+0.0040098i,0.00050864+0.0035902i,-0.00018075+0.0014844i,0.00042999+0.0014846i,0.0015252+0.0014435i,0.0020184+0.00069777i,0.0016624+0.00020987i,0.0019132+0.00095255i,0.002732+0.0012911i,0.0022207+0.0008924i,0.0011519+0.0013229i,0.00017427+0.0021046i,-0.00095518+0.0012371i,-0.0018519+0.00024177i,-0.0017703+0.00082486i,-0.0012683+0.00052406i,-0.00032894-6.4585e-05i,2.2818e-05-0.00022987i,-6.3461e-05-0.00018686i,8.9665e-05+1.4625e-07i,-0.00042803-0.00033204i,-0.00089425-0.00026826i,-0.00084988-0.00022618i
-0.0054383+0.0049634i,-0.0035432+0.0048477i,-0.00072606+0.003314i,-6.6845e-05+0.0015571i,-0.0011074+0.00040309i,-0.0017894-0.00057958i,-0.0008396-0.0011134i,-0.0002873-0.0010375i,0.00037927-0.0019401i,0.00048279-0.0022063i,6.381e-05-0.0014221i,8.0753e-07-0.0017143i,-0.00030394-0.0025576i,-0.0010547-0.0026551i,-0.0012284-0.0024565i,-0.0013087-0.00092806i,-0.0011722+0.00035673i,-0.00030673+9.9384e-05i,0.00038028-0.00019704i,0.00045182+0.00027046i,-0.00055934+0.00098227i,-0.00062248+0.00081853i,0.000247+0.00046023i
0.003431-0.0016192i,0.0024388-0.0008083i,0.00091682-0.00077239i,0.00010527-0.0019866i,-0.00079747-0.0031764i,-0.0017263-0.0019419i,-0.0024702+0.00019737i,-0.0023306+0.0014382i,-0.002055+0.0015549i,-0.0020772-8.871e-05i,-0.0011844-0.0022904i,0.00022032-0.0027877i,0.0012612-0.001494i,0.0018943-0.00021016i,0.0016302+0.00090959i,0.00050385+0.00082631i,-0.0002746-4.2376e-06i,-0.00063429-0.0010386i,-0.00084107-0.0012105i,-0.00025404-0.00029443i,0.00048203+0.00039506i,0.00071014+0.0003505i,0.0011196+0.00031078i
-0.0021046+0.0045332i,-0.0013797+0.0046512i,-0.00034939+0.0027701i,0.00038201+0.0012256i,0.00015402+0.0010202i,0.00074704+0.00076384i,0.0012103+0.00022242i,0.00098911+0.00014517i,0.00090175+0.00068209i,0.0013308+0.0014508i,0.0013107+0.0020287i,0.00068739+0.0020264i,0.00020645+0.0018428i,-0.00010659+0.001315i,-0.00016248+0.0012999i,0.00010376+0.00051436i,0.00032002-0.00038164i,0.00049062-0.00035096i,0.00086613+0.00018199i,0.00071519-0.00014202i,0.00014492-0.001141i,0.00041539-0.0010527i,0.00055781+0.00012876i
-0.0032756-0.0028432i,-0.0040908-0.00092979i,-0.00097313+9.7794e-06i,-0.00020161+0.00015721i,-0.0021428-0.00020552i,-0.0028253-0.00023197i,-0.0016187+0.00063427i,0.00055436+0.0015072i,0.001863+0.0013066i,0.00095398+0.00063088i,-0.00047679+1.7911e-05i,-0.00094025+8.4097e-05i,-0.0018728+6.5077e-05i,-0.0027044-0.00076603i,-0.0022081-0.00067819i,-0.001254+0.00063094i,-0.0005185+0.00050455i,0.00035448-0.00027732i,0.00087065+8.4327e-05i,0.001021+0.00013468i,0.00083007-0.00040903i,-9.5014e-05-0.00099843i,-0.00039529-0.00048629i
0.0037216-0.00031861i,0.0045421-0.0018217i,0.0023929-0.00080598i,0.00071376+0.0020686i,-0.00016072+0.0029629i,-0.00093697+0.0015378i,-0.0010451+0.0014206i,-1.1698e-06+0.00088165i,0.00078724-0.00088767i,0.00094878-0.0021454i,0.0012229-0.0028859i,0.0012874-0.0032146i,0.001378-0.0023565i,0.0011114-0.001431i,0.0005477-0.0010618i,0.00032154-0.00090856i,0.00085654-0.00094577i,0.00045999-0.0011447i,-0.00049532-0.00099574i,-0.00033165-0.00091537i,-0.00022696-0.00075366i,-0.00015017-0.00023294i,-0.00010629+0.00072564i
-0.0029575+0.0032797i,-0.001576+0.0041831i,-0.0015195+0.002068i,-0.0030474+0.00049841i,-0.0024547+0.00043638i,-0.00067398-0.00011283i,-0.00066471+0.0002705i,-0.0010941+0.00085029i,-0.00068196+0.00080898i,-0.00031945+0.00093431i,0.00049062+0.001202i,0.0015105+0.0011461i,0.001877+0.00049003i,0.0016789+0.00059642i,0.0011845+0.0011308i,0.00078525+0.00072367i,0.00049046-2.1609e-05i,-0.00061122+2.8917e-05i,-0.00088999-0.00035948i,1.7279e-05-0.00071253i,0.00066648+0.00022511i,0.00033422+0.0013837i,0.00030879+0.00072138i
-0.0045344-0.00077984i,-0.0058366+0.00056122i,-0.0035114+0.0020082i,0.00012736+0.0012548i,0.00044925-0.00084685i,-0.00089048-0.001103i,-0.0010372+7.0138e-05i,-0.0014503+0.0012295i,-0.0015129+0.0018223i,-0.00064014+0.0014709i,-0.00095582+0.0010142i,-0.00074807+0.0013736i,-0.00035514+0.001641i,-0.001511+0.0010618i,-0.0012397+1.0253e-05i,-0.00010101+0.00031599i,0.00023844+0.0011305i,0.00067946+0.00062994i,0.00040269-0.00013764i,-0.00054814+9.5081e-05i,-0.00057889+0.00044049i,9.1602e-05+4.9365e-05i,5.7748e-05-0.00021377i
0.0037752+0.0010684i,0.0038306-0.00034521i,0.0022284-0.0003627i,0.001457+0.00089062i,0.001451+0.0013415i,-0.00024857-0.00035787i,-0.0012891-0.0011608i,-0.00022209+0.00012938i,0.00042378+0.00029656i,0.00023124-1.2471e-05i,0.00036953-0.00014014i,0.00014713-0.00088063i,-0.00036098-0.0020317i,-9.0471e-05-0.002013i,-0.00012929-0.0012242i,-0.00037485-0.0013778i,-1.2163e-05-0.00043827i,0.00017783-0.00011118i,0.0006143-0.00085972i,0.00081935-0.00026676i,-8.3236e-05+0.00090831i,-0.00027016+0.00077924i,0.00027118+0.00058054i
-0.0021956+0.0057557i,-0.0010506+0.0064637i,0.00042307+0.0037235i,0.00038435+0.0013854i,-3.2102e-05+0.00017305i,-3.3457e-05-0.00067891i,-0.00012927-0.00036106i,0.00030456+4.4323e-05i,0.0011302-0.00051825i,0.0018772-0.00087652i,0.0021027-0.00092352i,0.001748-0.0023421i,0.00090217-0.0029597i,0.00044936-0.0021825i,0.0001507-0.00095585i,-0.00056477-0.0002073i,-0.00042108-0.00022033i,-0.0005339-0.00024076i,-0.00096489-0.00016075i,-0.00054769-0.00077889i,0.00022916-0.00044067i,0.00044237+3.0208e-05i,0.00027443+0.00032189i
-0.0031563+0.001242i,-0.0049269+0.0021398i,-0.0040944+0.0037207i,-0.0021967+0.0028646i,-0.00035633-0.00055433i,-0.00041407-0.0024961i,-0.0016529-0.001605i,-0.001261-0.00031245i,-0.00030803+4.5248e-05i,-0.00047306-0.00017011i,-0.00089824+0.00049608i,-0.00041355+0.00083972i,0.00069466+0.00053274i,0.0012122+0.00023319i,0.0011995+8.9456e-05i,0.00062201+0.00072309i,-0.00015988+0.0012617i,-0.00051453+0.00087401i,-0.00055459+0.00069396i,0.00011468+0.00053628i,-3.4437e-05+0.00031397i,-0.00054259+0.0004231i,-0.00023136+0.00056441i
0.0012881+0.0027538i,0.0015473+0.001285i,0.0016585-0.00016556i,0.00016552-0.00019505i,-0.0010812+0.0013084i,-0.0010105+0.0023078i,-0.0012515+0.0025215i,-0.0012071+0.0031833i,-0.0010099+0.0023715i,-0.00066656+0.00070051i,-0.00072756+0.00052287i,-0.0018235+0.0014262i,-0.0023744+0.001889i,-0.0021973+0.001973i,-0.0017198+0.00087767i,-0.00085317-1.7525e-05i,-0.00024817+0.00072132i,0.00029752+0.0012911i,0.00028471+0.0010062i,0.00024402+0.00013907i,0.0004103+0.00027972i,-0.00013157+0.00073397i,-0.00047753+0.00024452i
-0.0010688-0.00081012i,0.00085231-0.00015933i,0.0017145-0.0019376i,-0.00011209-0.0030939i,-0.0013162-0.0014902i,-0.00065887+0.00010342i,-0.00031804+0.001259i,0.00046204+0.0012182i,0.0013512-9.7801e-05i,0.0015687-0.0011113i,0.0015727-0.00032436i,0.00090182+0.00036237i,-0.00033684-0.00015128i,-0.00057434-0.00062974i,-7.9299e-05-0.00058697i,-0.00035223-0.00065023i,-0.00016775-0.00092004i,0.0001538-0.00072988i,-0.00027187-0.00054124i,-0.00076835-0.00031489i,-0.00083903-3.2029e-05i,-0.00045533+0.00024215i,-5.2046e-05+0.00048959i
0.00090172+0.0025051i,0.00014957+0.0018809i,-0.00020774+0.0027325i,-0.00078236+0.0018002i,-0.0010358-0.00016385i,-0.0019328-0.00099863i,-0.0021248-0.0005953i,-0.0012622+0.00075477i,-0.00026557+0.0011187i,0.00024148+0.0011158i,0.0001643+0.0013696i,-0.00024568-0.00026461i,0.00095323-0.0027378i,0.0020317-0.0022403i,0.0013217-0.0008041i,0.0006324-0.00031086i,0.00029377-0.00010094i,-0.0004588-0.00022094i,-0.0011665-8.5825e-05i,-0.00083818+0.00027365i,0.0005975+0.00041186i,0.0010024-0.00019421i,0.00021999-0.00064136i
-0.0020699+0.0045111i,-0.00051804+0.0056733i,-0.0010421+0.0038712i,-0.0014995+0.0014743i,-0.00032495-0.0001321i,0.00078428-0.00092374i,-0.00031492-0.00095945i,-0.0012026-0.0010436i,-0.0012129-0.00054978i,-0.0010588-0.00039931i,-0.00069093-0.0010817i,0.0006296-0.000567i,0.00097507+0.0010904i,-0.0001556+0.0012299i,-0.00014337+0.001145i,-0.00036214+0.0015213i,0.00016179+0.0012922i,0.00064961+0.0009888i,0.00059756+0.00059414i,0.00072356+0.00050759i,0.00025014+0.00082783i,-0.00024874+0.00055083i,-0.00033647+0.00032265i
-0.0039791+0.0021425i,-0.0033627+0.0042672i,-0.0011807+0.0038772i,0.00080299+0.0017295i,0.0018691+0.0002046i,0.00080002-0.0016274i,-0.0017581-0.0010782i,-0.0019319+0.00052265i,-0.00021952-0.00031702i,0.0015878-0.0016836i,0.0029735-0.00071208i,0.0018063+0.00058695i,-0.0006042+0.00054852i,-0.0020894-3.5861e-05i,-0.0023541-0.0012721i,-0.0012134-0.0016213i,0.00041281-0.00035811i,0.0006042+0.0009976i,-3.1327e-05+0.0011619i,0.00029469+0.00058105i,0.00071621-0.00047901i,0.00088293-0.00051195i,0.00010145+0.00056674i
-0.0016663-0.00024891i,-0.00081276-0.00035572i,-0.0010039+0.00020959i,0.00033359+0.0012401i,0.0011368+0.001907i,-0.00012857+0.0013553i,-0.0016562+0.00047911i,-0.0016911+0.00041222i,-0.00067274+0.0010442i,0.00045358+0.00081378i,0.00058903+0.00078279i,0.00054928-0.00012937i,0.001384-0.0022281i,0.0018898-0.0028299i,0.0013161-0.0022709i,0.001188-0.0013375i,0.00055861-0.00069003i,-0.00032268-0.00048441i,-0.0016434-0.00052579i,-0.0020509-0.0007932i,3.1179e-05-0.0013525i,0.0014145-0.00022762i,0.0012462+0.0011225i
0.00024056+0.0076342i,0.0027831+0.0081829i,0.0039967+0.0054753i,0.0015071+0.0028861i,-0.00088402+0.00080844i,-0.0012626-0.00033575i,-0.00089068-0.00014503i,-0.00070986+0.0004547i,-0.001081+0.00040123i,-0.0019242+2.4328e-06i,-0.0020624-0.00019062i,-0.00094217-0.0020076i,0.00080572-0.0030927i,0.0016214-0.0021209i,0.0017911-0.0012441i,0.00090055-0.0011214i,-0.0002566-0.00081808i,-0.00054552+7.0827e-05i,-0.00020794+0.0001895i,-0.00017524+0.00011175i,0.00020998+0.00037101i,0.00054757+0.00054877i,0.00016972+0.00022887i
-0.0028639-0.001725i,-0.0049129-0.0011955i,-0.0046293-0.0010922i,-0.0031938-0.0017212i,-0.0030466-0.0025491i,-0.0025383-0.0026309i,-0.0013684-0.0023116i,-0.00032855-0.002098i,0.0010502-0.0021184i,0.001457-0.002319i,0.0013844-0.0020808i,0.0016486+0.00029436i,0.0011721+0.0033261i,-0.00031234+0.0043344i,-0.0011293+0.0028147i,-0.00033162+0.00093351i,0.001088+0.00031896i,0.0010146+0.00076416i,0.00028912+0.00086053i,0.00025323+0.00075537i,-5.5031e-06+0.00063236i,-0.00023044+4.7435e-05i,-0.00038006-8.4316e-08i
0.0014263+0.0012952i,0.00037575-5.6793e-06i,-0.00083839-0.0018613i,-0.0013068-0.0021705i,-0.0013783-0.00143i,-0.002213-0.00039481i,-0.002172-0.0002765i,-0.00057012-6.2077e-06i,0.00099985-3.4149e-05i,0.0019474-0.00023352i,0.0023997+0.0004596i,0.0012172+0.00052008i,-0.0010189+0.00013216i,-0.0017557+6.3165e-05i,-0.00087677-6.6286e-05i,-0.00039977-0.00022365i,-0.00028162+0.00017014i,3.9682e-06+0.00073062i,-0.00027985+0.00062707i,-0.00071555+0.00023561i,-0.0010311-0.00011199i,-0.0013651-0.00015424i,-0.00087155+0.00017541i
-0.003514-0.0004028i,-0.0021626-0.00091146i,0.001961-0.0019102i,0.0037634-0.0022318i,0.0033051-0.0011107i,0.0025648+0.0004021i,0.0016+0.0017752i,0.0013956+0.0023756i,0.0013357+0.0024877i,-0.00013502+0.0022523i,-0.0021091+0.00081196i,-0.0021022-0.0012669i,-0.00041779-0.0023729i,0.0011899-0.0024916i,0.0017305-0.001774i,0.0015303-0.00080445i,0.00041846-0.00083843i,-0.00054188-0.0008211i,-0.00043036-0.0010916i,-0.00059532-0.0011908i,-0.0007676-0.00050555i,-4.1034e-05+0.00056566i,0.00046032+0.001289i
0.001676-0.0010894i,0.0038743+0.00032788i,0.0039559+0.0031262i,0.0026534+0.0038087i,0.0011037+0.0032545i,4.8888e-05+0.0021427i,-0.00053685+0.0010647i,-0.00012328+0.00031077i,-0.00010526-0.00015223i,-0.00083388-0.00066966i,-0.0006118-0.0011766i,0.0012455-0.0019384i,0.0029481-0.0013728i,0.0033925+0.00033393i,0.0025624+0.00055442i,0.0012316-0.00040132i,0.00073131-0.00098481i,0.00057454-0.0011254i,0.00088353-0.0016392i,0.0012758-0.0013305i,0.00036604-0.00031931i,-0.00029641+0.00047608i,-0.00012884-8.3958e-05i
