-0.0010084+0.00051344i,0.00033685+0.00037875i,-0.00090601+0.00063711i,-0.0017557+0.0018024i,-0.0014809+0.0034225i,-0.00017586+0.0045028i,0.00062059+0.0031938i,0.00039906+0.0016889i,0.00084642+0.0013498i,0.00063434-4.3682e-05i,0.00067253-0.00062086i,0.0011292-0.00029557i,0.00031052-0.00029137i,-0.00057559-0.00014097i,-0.00026539+0.0001676i,0.00017795+0.00043633i,0.00015989+5.0384e-05i,-0.00032196-0.0003354i,-0.00045623-0.00021834i,-0.0001241-0.00012147i,4.5543e-05-0.00012246i,0.00050208-0.00045396i,0.00052139-0.00050028i
0.0025882-0.00093104i,0.0020602-0.0012304i,0.0010308-0.0016101i,-0.0012338-0.00044325i,-0.0026773+0.0014125i,-0.0021905+0.0032094i,-0.00040033+0.0028687i,-0.0003914+0.0016176i,-0.0006539+0.0014437i,0.00025753+0.00082465i,-4.0473e-05+0.0001471i,-0.00058661+0.00043811i,-0.00028408+0.00076956i,-0.00013601+0.00096014i,3.3472e-05+0.00050836i,0.00041532-2.9012e-05i,0.00047965-0.00033173i,0.0006825-0.00022004i,0.0012197-0.00019517i,0.00024435-0.00028463i,-0.00043962+0.00012545i,-0.00022884-9.2645e-05i,-0.00051751-3.1676e-05i
0.00068748-0.00021726i,-0.00018557-0.00097897i,-0.0029026-0.00099333i,-0.0045256+0.00023366i,-0.0046398+0.0020595i,-0.0037836+0.0023887i,-0.00090684+0.001345i,0.0011602+0.00050929i,0.00095621+0.00038911i,0.00089582+0.00062201i,0.00051148+0.00036387i,0.00025156+2.9612e-05i,0.0003237+0.00038544i,0.00048724+0.00028452i,2.992e-05-6.3439e-05i,-0.00016842-0.00029459i,-5.148e-05+0.00044267i,-0.00012994+0.0004422i,-2.7646e-05-6.5253e-05i,-0.00016218+2.1392e-07i,-0.00013052+0.00038913i,0.00034965+0.00081918i,0.00071862+0.00094959i
0.0012333-0.00077418i,0.0011291+0.00025178i,-0.00023329+1.4718e-05i,-0.00081941+0.00049644i,-0.0010821+0.0022162i,-0.0015305+0.0029426i,-0.0015111+0.0014098i,-0.00057083+1.4066e-05i,0.00042321+0.00048316i,0.00037169+0.0010386i,-7.2304e-05+0.00060689i,-0.00023339-0.00019451i,0.00044905-0.00036211i,0.00096343-0.00024647i,0.00078292+0.00017446i,3.7224e-05+0.00035309i,-0.00066079+0.00029209i,-0.00039789+0.00058i,0.00029436+0.00051944i,8.1104e-06+0.00045741i,-0.00041867+0.00024821i,-1.8808e-05-0.00023414i,0.00030707-0.00015837i
-0.0020125-0.0016481i,-0.0029833-0.00020804i,-0.0044573+0.001225i,-0.0053745+0.0018357i,-0.0047619+0.0031174i,-0.0027076+0.0036307i,-0.00064057+0.0017975i,0.00028368+9.6891e-06i,4.8793e-07+0.00012978i,-0.00022944+0.00081334i,-0.00020843+0.00017991i,-3.9623e-05-0.00011412i,0.00073347-0.00043131i,0.0011217-0.00071312i,0.0014839-0.00073582i,0.0017415-0.00043409i,0.0011497-0.00035073i,0.0004475-0.00062614i,3.1676e-05-0.00061467i,0.00025131+0.00021691i,0.00059952+0.00070315i,0.00036922+0.00064294i,-0.00031962+0.00039381i
0.002101+0.0011613i,0.002475+0.00018284i,0.0020344-0.00015613i,-0.00097151+7.175e-05i,-0.004068+0.0010562i,-0.0034328+0.0019698i,-0.0013208+0.0011656i,-0.0010371-0.00023225i,-0.0012679-0.00065972i,-0.00086169-0.00032365i,-0.00057903-0.00036034i,-2.7127e-05-0.00052493i,-0.0001668-9.4019e-05i,-0.0001974+0.00056181i,-0.00033385+0.00065529i,-0.00075707+0.0002403i,-0.00034806-0.00062805i,0.00033901-0.00069867i,0.00032443+0.00033299i,-0.00044877+0.0012863i,-0.00087972+0.0019035i,-0.00032847+0.0012812i,0.0007589+0.00046645i
0.00028783-0.0026007i,-0.0010248-0.00064281i,-0.0030374+8.8336e-05i,-0.0049704+0.0012244i,-0.0059983+0.0037945i,-0.0052148+0.0048027i,-0.0033002+0.0032164i,-0.0016171+0.0013797i,-0.0010505+0.00098505i,-0.00078706+0.0015055i,-0.00030155+0.0013127i,-0.00014574+0.00098925i,0.00061427+0.00096418i,0.0010314+0.00040583i,-0.0001624-6.0444e-05i,-0.00031786+7.7882e-05i,0.00037148+0.00029499i,0.00053716+0.0011325i,-5.4261e-05+0.0015059i,-4.9057e-05+0.00059909i,-0.00013383-1.5692e-05i,4.2726e-05+0.00030281i,0.00033948+9.8569e-05i
0.00088854+6.0791e-05i,0.00077084+0.00036556i,-0.00013753+0.00042137i,-0.0024202-0.0010027i,-0.0029097-0.00085102i,-0.0026271+0.00060995i,-0.0019393+0.0010826i,-0.001051+0.0014748i,-0.00016376+0.0017174i,0.00052253+0.0013368i,0.00041532+0.0005007i,0.000278+0.00015673i,-1.438e-05+0.00082312i,-0.0005919+0.00060143i,-0.00019749+0.00042281i,0.00017891+0.0010953i,5.9729e-05+0.0011487i,0.00019749+0.00045616i,-5.2028e-06-0.0003502i,-0.00033016-0.00054157i,-0.00044464-9.3171e-05i,-0.00022499+9.5015e-05i,-0.00018326+2.4139e-05i
-0.0017545-0.00086195i,-0.0018438-0.0010788i,-0.0026229-4.1116e-05i,-0.0043352+0.0024021i,-0.0046776+0.0041204i,-0.0033361+0.0050112i,-0.0014069+0.0039539i,-0.00073008+0.00085451i,0.00025956-0.0005062i,0.0014556-5.3134e-05i,0.0012387+0.00074899i,0.00021678+0.0014027i,4.8355e-05+0.00076847i,1.2032e-05+0.00026347i,0.00044963+0.00056752i,0.0006626+0.00049419i,-0.00016136-1.9667e-06i,-0.00033914+0.0001508i,0.00027594+0.00029784i,-0.00049904+3.4171e-05i,-0.00016344-0.00047873i,0.00075687-0.00092498i,0.00049983-0.0011038i
0.00040922+0.00091647i,0.00076283-0.00099548i,0.00064719-0.0010963i,-0.00073369-0.00078914i,-0.0024153-0.00035229i,-0.0022253+9.0319e-05i,-0.00034603+0.00023858i,0.00082694+0.00016102i,0.00081025-0.0003859i,0.00058297-0.00028876i,0.00068721-1.0334e-05i,0.00090983+0.00011905i,0.00064309+0.0003221i,0.00062539-6.2599e-05i,0.00060945+0.00021578i,-0.00039533+0.00043456i,-0.00051959-0.000421i,-0.00015275-0.00068537i,0.00037024-0.00042812i,0.0011192-9.7067e-05i,0.00076936+4.677e-05i,0.00071795+0.00019093i,0.0010146+1.162e-05i
0.00049262+0.0011262i,0.00060051+0.00066288i,0.00019849+0.00021431i,-0.0022547+0.0020076i,-0.0040801+0.0044254i,-0.0028323+0.0040859i,-0.0011362+0.0020737i,-0.00058749+0.0010456i,-0.00038268+0.00053703i,-0.00023623+0.00022897i,-8.2918e-05-0.00028263i,-7.5707e-06+0.00013146i,0.00028961+0.00039865i,0.00091089+0.00026075i,0.0013694-2.9986e-05i,0.0012538-0.00052659i,0.00045291+0.00033943i,-0.00023418+0.0010832i,-0.0007789+0.00082448i,-0.00071336+0.00074771i,-9.9105e-05+0.00038455i,5.4941e-05+9.2231e-05i,-5.3707e-05+0.00016825i
0.00044271-0.0023388i,-0.00090019-0.0023737i,-0.0031066-0.002699i,-0.0053354-0.0015646i,-0.0052501+0.0016417i,-0.0039199+0.0036151i,-0.0022868+0.0019287i,-0.00067138-0.00044557i,0.00059531-0.0011395i,0.00097551-0.00056745i,0.00047422+6.9099e-05i,0.00039691+0.00050916i,0.0005418+0.00050433i,3.1639e-05+4.7684e-05i,-0.00068806-0.00012849i,-0.00049874+0.00014163i,8.1414e-05+0.00021637i,-0.00020948+0.00017768i,-0.00078747+0.00026875i,-0.00043423+0.00021603i,-7.513e-07+0.0004621i,-0.00038973+0.00012836i,-0.00041087-0.00014295i
0.00021871+0.0017534i,0.00054009+0.0011076i,0.00075757+0.00079913i,-0.00060214+1.5762e-06i,-0.0015564+0.00045505i,-0.00082404+0.0022004i,-0.0003707+0.0024406i,-0.00094531+0.0016301i,-0.001037+0.00061968i,-0.00062881+0.00038563i,-0.00031205+0.00027671i,-0.00022211-9.6344e-05i,2.8756e-05-0.00029008i,0.00062547-0.00047439i,0.00091612-0.00050239i,0.00076248-0.00031934i,0.00015997-0.00035384i,-0.00038619-0.0001341i,0.00040006+6.9187e-05i,0.0010559-8.4616e-05i,0.00062846-0.00015873i,6.7219e-06-0.00038039i,-0.00016423-0.00035619i
0.00044901-0.00016551i,-0.0019187+0.00079025i,-0.0034548+0.0007657i,-0.0036545+0.0020945i,-0.0035949+0.0034013i,-0.0031052+0.0030592i,-0.0023262+0.001363i,-0.0017138+6.3309e-06i,-0.0013163+0.00080731i,-8.6883e-06+0.0013565i,0.00059648+0.00067215i,6.6124e-05-7.5934e-05i,-0.00027795-0.00024682i,-0.00033857-2.6265e-05i,-0.00032667+5.2251e-05i,-0.00035166-0.00037108i,-0.00048027-0.0010541i,-0.00053002-0.0011825i,-0.00037172-0.00037754i,-0.00057673+0.00046952i,-0.00085958+0.00098188i,-0.00047507+0.0010726i,0.00013124+0.00043624i
-0.00091285-0.0017906i,-0.00059242+2.803e-05i,-0.00085733+0.001431i,-0.0032228+0.001575i,-0.0044531+0.0023861i,-0.0025668+0.00339i,-0.00094324+0.0029995i,-0.0006991+0.0022804i,-0.00049147+0.0017556i,6.0867e-05+0.00091925i,0.00038179+4.1981e-05i,-0.00022079+0.00025526i,-0.00031621+0.001127i,-0.00015316+0.00105i,-0.00061657+0.00037199i,-0.00092505-0.00033141i,-0.0011667-0.00057608i,-0.0010192-0.00065746i,-0.00022753-0.00055152i,0.00022968-0.00019832i,0.0002503+0.0002949i,0.00071605+0.00033792i,0.00066694+0.00015768i
7.2865e-05-0.00087219i,-0.00079809-0.0011282i,-0.0018555-0.001075i,-0.0035524+3.0855e-05i,-0.0044465+0.0019352i,-0.0028027+0.0036049i,-0.0012341+0.0026803i,-0.00059484+0.0010798i,0.00097719+0.00072907i,0.0019984+0.00045856i,0.0012273+0.00045384i,0.00055682+0.00031984i,0.0007282+0.00036275i,0.00066779+0.00039649i,9.4776e-05-1.4794e-05i,-0.0004829-0.00028257i,-0.00081181-1.1727e-05i,-0.00049599+0.00025529i,-0.00074971+0.00047148i,-0.00084227+0.001195i,-0.00055018+0.0020074i,-5.9962e-05+0.0017502i,0.00060069+0.00096748i
0.0012433+0.0010334i,0.0013668+0.00056415i,0.0011151+0.00091554i,-0.0001073+0.0012712i,-0.0015712+0.0018161i,-0.0023658+0.0022308i,-0.0013435+0.00098524i,0.00047957-0.00043041i,0.0012099+0.00026522i,0.0014375+0.00077011i,0.00085087-0.00025064i,9.7664e-05-0.00050409i,3.5615e-05-5.3373e-05i,-6.4776e-05-0.00070422i,-0.00014674-0.00075687i,-6.3289e-05-0.00015787i,-5.0177e-06-0.00030826i,0.00072388+2.1356e-05i,0.0012396+0.00040226i,0.00053813+0.00032023i,-0.00017024-0.00024492i,-0.00035663-0.00065114i,8.5635e-05+2.4157e-05i
0.0018337+0.00034157i,0.0013501-0.00079382i,-0.00042498-0.00046531i,-0.0022209+0.00077288i,-0.002822+0.001443i,-0.0019016+0.0019866i,-0.00064596+0.0012339i,-0.00015455-0.00076939i,0.00075257-0.0012957i,0.0014129-0.0002631i,0.0010013-8.6482e-05i,0.00073024-0.00054678i,0.00098309-0.00055562i,0.00057114-0.00014553i,-1.0826e-05-0.00016621i,0.00050508-0.00059073i,0.00046244+1.1411e-05i,0.00031633+0.0010273i,0.00015366+0.0009046i,-0.00031542+0.00044435i,-0.00048742+0.00013483i,-0.00064561-0.0001002i,-0.00054651-0.00014674i
-0.00059641+0.0010491i,0.00039432-0.00051347i,-0.00023077-0.00070441i,-0.0016773+0.00088011i,-0.0022487+0.0018026i,-0.0019867+0.0011317i,-0.0014897+0.001117i,-0.0012846+0.00099732i,-0.0012844+9.0758e-05i,-0.00088495-0.00068451i,4.9545e-05-0.00027049i,0.00097647-0.00014987i,0.001081+8.7802e-05i,0.00018647+0.00029132i,-0.0001044-0.00057873i,-0.00012659-0.0003698i,0.00052483-0.00012027i,0.00092432-0.0008281i,0.00037931-0.00027084i,-0.00041429+0.00041804i,-0.00048586+7.7694e-05i,0.00033627-0.00063655i,0.00024149-0.00058812i
0.0008366-0.00032842i,0.00015663-0.00016843i,-0.0010803-0.0011478i,-0.0025882-0.0009005i,-0.003434+0.0006157i,-0.0031568+0.0019105i,-0.002039+0.0015755i,-0.0018664+0.00061394i,-0.0018908+0.00047863i,-0.00047003+0.00059461i,0.00018994+0.00047486i,0.00024252+0.00038338i,0.00054372+0.00035237i,0.00043656-0.00019791i,0.00061577-0.00021227i,5.2087e-05+0.00015622i,-0.00089935-0.00018046i,-0.00093357-0.0014325i,2.8324e-05-0.0015869i,0.00083247+0.00010618i,0.00025299+0.00084894i,0.00028602+0.0003789i,-4.156e-05+0.00013592i
-0.0010741-0.0035678i,-0.002724-0.0035744i,-0.0044567-0.0028924i,-0.0047596-0.00051704i,-0.0045004+0.0029071i,-0.0032147+0.0050758i,-0.0016548+0.00275i,-0.0011886-1.3143e-05i,-0.00095916+0.00012008i,-0.00036988+0.00062901i,0.00015496+0.00041532i,0.00054003+0.0006126i,0.00051367+0.00029607i,0.00065773-0.00013573i,0.00015795-9.6685e-05i,-0.00018794-0.00018153i,0.00070439+4.7971e-05i,0.0011035+0.00029395i,0.00089406-6.1398e-05i,0.00019923+0.0003064i,8.6226e-05+0.00038606i,0.00012839+0.00040167i,0.00035357+0.00083618i
0.0014208+0.00076091i,5.7762e-05+0.00052072i,-0.001363-0.00065842i,-0.0040191-7.4637e-05i,-0.0057796+0.001858i,-0.0053306+0.0030534i,-0.0024563+0.0033137i,-0.00041817+0.0025761i,6.1404e-05+0.0012168i,0.00083199+0.00074752i,0.00074028+0.00025056i,0.00038953+0.00014274i,0.00057531+0.00019652i,0.00039803+0.00056884i,-0.00050838+0.0011903i,-0.00016982+0.0010346i,0.001298+0.00020476i,0.0015241+0.00063157i,0.00087028+0.00077202i,0.00066417+0.00067722i,0.00066483+0.00078932i,0.00052544+0.0003224i,0.00023811-0.00017652i
-0.00064213+0.0019148i,5.8305e-06+0.0015189i,0.00075171+0.0016267i,-0.00035174+0.0023704i,-0.0010604+0.0029549i,-0.00055952+0.0023371i,0.00035855+0.0023703i,0.00073831+0.0019325i,0.00036381+0.0013736i,0.00093815+0.00026755i,0.0016338-0.00060362i,0.00074202+0.00029778i,-0.0001609+0.00061156i,-0.00024965+0.00025296i,-0.00043117-0.00029529i,-0.00039306+5.5576e-05i,0.00024091-0.00048339i,0.0011268-0.00084655i,0.001331-0.00038726i,0.00076853-0.00075811i,8.8607e-05-0.00028072i,0.00046496+0.00037518i,0.00078653+0.00020423i
-0.0014718+0.00015129i,-0.00090544+0.0007858i,-0.0022542+0.002307i,-0.0027591+0.0023442i,-0.0028188+0.0023089i,-0.0022534+0.0025059i,-0.0005438+0.001257i,0.00012616+0.00041296i,0.0005215+4.5303e-05i,0.00056583+3.0125e-05i,0.00014592-0.00067793i,0.00047325-0.0012245i,0.0005763-0.00093793i,0.00083477-0.00050727i,0.00083529-0.00040449i,0.00028919-0.0006566i,7.4349e-06-0.00047276i,0.00057873-0.00012692i,0.00086679+0.0002233i,-0.00031168-0.00013344i,-0.00070419-1.6801e-05i,-0.00071286+0.00038869i,-0.00062362+0.00020561i
-0.0012227+0.00052418i,-0.00086048+0.0011227i,-0.00096135+0.00061078i,-0.0022895+0.00067864i,-0.0038525+0.0019541i,-0.002946+0.0014536i,-0.0010337+0.0004376i,4.7988e-06+0.00023458i,0.00034216-5.2924e-05i,0.00017453-0.00024945i,0.00011341+0.00018529i,0.00045346-1.5086e-05i,0.00055096-0.00022766i,-2.6056e-05-0.00062226i,-0.00050921-0.00099458i,-0.00076951-0.00046789i,-0.00038333-0.00026328i,0.00010937-0.00032508i,0.00011683+8.2127e-05i,6.2332e-05-0.0002359i,0.0010136-0.00026495i,0.0012094+0.00040525i,0.00055991+0.00099584i
0.0023643-0.0019671i,0.00020229-0.0014405i,-0.0026945-0.00060992i,-0.003945+0.0008175i,-0.0035848+0.0022975i,-0.002557+0.0035385i,-0.00051844+0.0027141i,0.0010906+0.00096663i,0.00040867+0.00014697i,-0.0010369-0.00015322i,-0.00079363+8.2501e-05i,7.131e-05+0.00038923i,0.00030453+0.00041401i,0.00063298+3.1409e-05i,0.0013048+0.00032831i,0.0011281+0.00013839i,0.00070499-0.00066087i,0.00014621-0.00071659i,-0.00027905-0.00054614i,-9.7681e-06+0.00053701i,0.00037979+0.0014297i,0.00060785+0.00047035i,-0.00013696+0.00019675i
0.0006492-0.0011836i,0.00036321-0.0015095i,-0.0016438-0.0015452i,-0.0046156-0.00050753i,-0.0057856+0.0011317i,-0.0045285+0.0025412i,-0.0027406+0.0029596i,-0.001733+0.0021172i,-0.001016+0.0010926i,-0.00012917+0.00080493i,-7.8213e-06+0.00077755i,-2.2662e-05+0.00020045i,6.7766e-05-3.8326e-05i,4.6412e-05+0.00051246i,-0.00040212+0.0010029i,-0.0010234+0.00082883i,-0.0012423+0.00081325i,-0.0012184+0.00080926i,7.4056e-05+0.00032783i,0.00085343+0.00038634i,0.00042354+0.00052707i,0.00041921+0.00082846i,0.00010115+0.0010748i
-0.00078666+0.0019531i,-0.00018475+0.0010551i,6.3253e-05+0.00051608i,-0.00096251+0.00095255i,-0.0027034+0.0023732i,-0.0023336+0.0024979i,-0.00070328+0.001393i,-0.0010309+0.00128i,-0.0018396+0.0013972i,-0.00023642+0.00096583i,0.00069287+0.00073545i,-1.3672e-05+0.00020296i,-2.2197e-05-0.00046569i,0.00035919-0.00060925i,0.00033076-0.00018043i,0.00015686-0.00064047i,0.00071127-0.00052074i,0.00057727-6.6587e-05i,0.00047891-7.8394e-05i,0.00059006+0.00030203i,0.000823-0.00051246i,0.0012388-0.00063887i,0.0011311-0.00033968i
-0.00063114-0.00048941i,-0.00015769-5.0072e-05i,-0.0016704+0.00014471i,-0.0037595+0.0012203i,-0.0045616+0.0031586i,-0.0039778+0.0042369i,-0.0018576+0.0034203i,-0.00085138+0.0015448i,-0.001033-4.041e-05i,-0.00058558-0.00053826i,-0.00022932-9.3651e-05i,0.00043993+0.00082169i,0.00082234+0.00086596i,0.00082699+0.00092255i,0.00054722+0.0010805i,0.00070424+0.00058414i,0.0008609+0.00039426i,0.000602-0.00010966i,0.00026742-0.00036482i,0.00030781+5.9239e-05i,0.00029728+0.00019657i,0.00051934-8.9338e-05i,0.00096218-0.00056296i
-0.00149-0.0009719i,-0.0010083-0.00033179i,-0.0013068+0.00033547i,-0.0021532+0.00095579i,-0.0026493+0.0023032i,-0.001619+0.0035022i,0.000168+0.0026107i,0.0013298+0.00058411i,0.0015576+0.00013176i,0.00086558+0.00077657i,0.00049251+0.00019666i,0.00012907-0.00047367i,0.00048531-0.00057892i,0.0011935-0.0009919i,0.00059025-0.0011224i,3.6326e-05-0.001391i,-8.7261e-05-0.0016699i,0.00015557-0.0014968i,1.2241e-05-0.00064979i,-0.000324+0.00047693i,-0.00037602+0.00080003i,-0.00038537+0.0013046i,-6.9144e-06+0.00086267i
-0.00040612+0.0013183i,-0.00030091+0.0015118i,-0.001439+0.001587i,-0.0018613+0.0024249i,-0.0025263+0.0034503i,-0.0020747+0.0035059i,-0.00015921+0.0022795i,0.00013657+0.00068593i,0.00033935+0.00010612i,0.00075149-2.0971e-05i,-6.2502e-05-0.00010737i,-0.00047296+9.3077e-05i,-0.00027702-0.00011867i,-0.00047477-0.00038506i,0.00024432-0.00012879i,0.00051494-0.00011653i,0.00017028+0.00025143i,0.00050904+0.00053779i,0.00030463+0.00011774i,0.00052007+0.0001713i,0.00090447+0.00014036i,0.00092029-0.00048871i,0.00070225-0.00038913i
0.00041723+0.00046139i,0.00086186-4.4834e-05i,0.0006003-6.3897e-05i,-0.00046576+0.0012604i,-0.0015573+0.0023812i,-0.0015847+0.0027736i,-0.00085456+0.00084864i,-0.00023261-0.00090712i,0.00048577-0.00074636i,0.00057399+0.00042795i,0.00034211+0.00070439i,0.00048764+0.00040738i,2.3338e-05+0.00019277i,-0.0003192-0.00025279i,0.00010217+0.0001814i,0.00023688-3.4801e-06i,-0.00028656-0.00047008i,-0.00059466-0.0002823i,-0.00031211+0.00027121i,0.00039789+0.00082271i,0.00078632+0.0010058i,0.00018863+0.0002705i,-0.00024507-0.00025178i
0.0014003-0.00093673i,0.00017623-0.00090901i,-0.0013785-0.0012582i,-0.0032079-0.001059i,-0.0037474+0.0011502i,-0.0033763+0.0023707i,-0.00199+0.0013403i,-0.0010908+9.3638e-05i,-0.00066073+0.00050363i,0.00034582+0.0014886i,-0.00013122+0.0011894i,-0.00089515+0.00031442i,-0.00027604+0.00041601i,0.00028604+0.0010048i,0.00024495+0.0018138i,-0.00022582+0.0022499i,-0.00079126+0.0013625i,-0.00033178+5.7543e-05i,0.00085306-3.7667e-05i,0.00049931-8.1252e-05i,0.00024544-0.0003206i,0.00013223+0.00038919i,-4.5894e-05+0.00064779i
0.00072275-0.001119i,0.00038455-0.0010331i,-0.0013877-1.3519e-05i,-0.0037812+0.001365i,-0.0050547+0.0025244i,-0.0047871+0.0032285i,-0.0036417+0.0022367i,-0.0022802+0.00083608i,-0.0012854+0.00054668i,0.00023229+0.0004484i,0.00090883+0.00057895i,0.00018399+0.00051425i,0.00023562+0.00090514i,6.6924e-06+0.0010726i,-0.00031644+0.00036773i,7.6558e-05-0.00033979i,0.00011622-0.0011849i,0.00019373-0.0020284i,0.0010175-0.0011985i,0.00065898-0.00040699i,-0.00011987-0.00027745i,-0.00024977-0.00020228i,-0.00063721-1.838e-06i
-0.00044128-0.0003733i,-0.0015409-0.00023183i,-0.0018101+0.00052965i,-0.0031433+0.0013087i,-0.0046049+0.0019234i,-0.0033763+0.0026469i,-0.002508+0.002396i,-0.0022659+0.0017372i,-0.0014975+0.00096198i,-0.00095601-0.00041248i,-0.00045548-0.0011854i,-0.00036005-0.00020837i,0.00026668+0.00053428i,0.00069681+0.00068602i,0.0001626+0.0010078i,0.00030207+0.00094038i,0.00062927+0.00038436i,0.00043214-0.00013308i,0.00049883+7.448e-05i,0.00079263+0.00034632i,0.00027471-0.00013262i,-6.1569e-05-0.00088894i,0.00039383-0.00068286i
-0.00031778-0.00084274i,-9.4627e-05-0.00044027i,-0.0007969-0.00088745i,-0.0033217+8.0557e-05i,-0.0050745+0.0027011i,-0.0036471+0.0031442i,-0.00083319+0.0023342i,-0.00016764+0.0018699i,-0.0006197+0.0011747i,-0.00035181+0.00042587i,-6.3106e-05+0.00024992i,9.8475e-05+0.00068824i,-5.0267e-05+0.00075776i,0.00049343-4.3512e-05i,0.0010725-0.0005567i,0.00049713-0.00022496i,-0.00064294+0.00031118i,-0.00091056+7.6436e-05i,-0.00030871-0.00023814i,-0.00027896-0.00016261i,1.998e-05+0.00021923i,0.0009489-8.0801e-05i,0.0010793+8.4551e-05i
0.0018741-0.00065012i,0.00058056-0.00037077i,-0.00086179-0.000525i,-0.0028013+0.00033944i,-0.004133+0.0022601i,-0.0032117+0.0027481i,-0.0007831+0.0017561i,0.00040362+0.0021052i,0.0001269+0.0016742i,0.00054084+0.00023589i,0.00057958-0.00046031i,0.00056427+5.5163e-05i,0.00095812+0.00076416i,0.00099304+5.0628e-05i,0.00044025-0.00022074i,-0.00011905-0.00052251i,-0.00035539-0.00044129i,-0.00016901+0.00033096i,0.00032631+0.00028711i,-0.00019593+2.1044e-05i,-0.00029724+0.00013646i,-0.00049458+0.00023516i,-0.00071527-0.00033446i
0.00024527+0.00047524i,0.00075916+0.00023302i,-0.00052148+0.00065223i,-0.0022976+0.0013671i,-0.0031679+0.0024002i,-0.0017579+0.0032789i,-0.00019645+0.0026808i,-0.00038453+0.0013195i,-0.00030514+0.00080665i,0.00035923+0.00065777i,0.00035316-0.00038839i,-0.00019824-0.00050897i,-0.00025731-0.00022784i,-0.00084089-0.00093558i,-0.0014412-0.0011436i,-0.0009873-0.00042429i,-0.00017574+0.00022965i,0.00078095+0.00063685i,0.00077836+0.00097186i,0.00010632+0.00064481i,-8.6354e-05-0.00031465i,-6.6762e-05-7.9304e-05i,-0.00026918+0.00035724i
-0.00010896+0.0020403i,6.6608e-05+0.00046574i,-0.00098117+0.0005424i,-0.0025232+0.001821i,-0.0024563+0.0023448i,-0.0013222+0.0013525i,-0.0009599+0.00064783i,-0.0012972-0.00045728i,-0.0010169-0.0011674i,0.00019815-0.00075085i,0.0011572-0.00060642i,0.00081226-0.00055656i,0.00029149-0.00055775i,-0.00018813-0.00062073i,-0.00061202-0.00062465i,-0.00033558-0.0011748i,0.00029333-0.0011947i,0.00014923-8.6572e-05i,-0.00016237+0.0006895i,5.8593e-05+0.00057635i,0.00038121-0.00028095i,0.00027078-0.0010762i,0.0005553-0.0010014i
-0.00010165+0.0017295i,0.00045717+0.0012442i,0.00076415+0.0010158i,0.00036001-0.00013717i,-0.0010718+0.00072353i,-0.0013293+0.0023818i,-0.00034753+0.001631i,-6.7467e-05+0.0003514i,5.9414e-05+0.00032966i,0.00013617+0.00011794i,0.00046894-0.00023387i,0.00073799-0.00031476i,-2.8996e-05-0.00028357i,-0.0009466+0.00034873i,-0.0010286+0.00081949i,-0.00084099+0.0010458i,-0.00027292+0.00078751i,0.00025661+0.00024833i,-0.0001058+0.00025085i,-0.00043748-0.00044461i,-0.00020066-0.0008966i,-0.00024302+3.8134e-05i,-0.00039317+0.00041324i
-0.0012826+0.0012208i,-0.00099302+0.0010966i,-0.0012556+0.0023756i,-0.0027536+0.0036954i,-0.0036344+0.004117i,-0.0030167+0.0030808i,-0.0016697+0.0016783i,-0.0015186+0.00083787i,-0.0016714+0.00016749i,-0.00083023-0.00024579i,-0.00015444-0.00075924i,-1.7558e-05-0.0011043i,4.3057e-05-0.00053819i,8.0789e-05+0.00022489i,0.00049539-0.00026332i,0.0010304-0.00063885i,0.00089099+0.00011594i,0.00088569+0.00039852i,0.00089396+0.00028312i,0.00038948+0.00035919i,0.00018985+0.00049764i,-2.4634e-05+0.0010911i,-0.00041386+0.0014049i
0.0012326+9.6068e-05i,0.0011547-0.00010471i,-0.00048977-0.00064493i,-0.0036191-0.00042951i,-0.0049247+0.00053557i,-0.0033624+0.0014559i,-0.0016489+0.001962i,-0.0018462+0.0018253i,-0.0019988+0.0013649i,-0.00076574+0.00029078i,-0.0001041-0.00085488i,-3.0853e-05-0.00063205i,-5.3826e-05-0.00022449i,0.00044583+0.0007096i,0.00044047+0.0010991i,-0.00016765+0.00027557i,8.9705e-05-0.00024108i,-0.00010107-0.00079189i,-0.00028008-0.0011747i,-2.4124e-05-0.00098872i,0.00013973-0.00062328i,0.00036086-0.00021941i,0.00079267+0.00039841i
-0.0017001-0.00066916i,-0.00056112-0.00029123i,-0.0015249+0.0010172i,-0.0034545+0.0026773i,-0.0033631+0.0045969i,-0.0020847+0.0044931i,-0.0013911+0.0023158i,-0.0020458+0.00020741i,-0.0015124-0.00036307i,-0.00014215+3.2452e-06i,0.00040295+0.00051581i,0.00045928+0.00067856i,0.00075754+6.1469e-05i,0.00088607-0.00044888i,-0.00031344-0.00076262i,-0.00060054-0.00054213i,-0.00022341-0.00059263i,-0.00014691-0.0010698i,0.00010353-0.0011235i,0.00084374-0.00097904i,0.0012495+0.00020639i,0.00094235+0.00061254i,0.00036533-0.00040947i
