-0.00010872-0.00047942i,-0.00043961-0.00013004i,-0.00016997-0.00070833i,0.0010247-0.0023195i,0.00038239-0.0019838i,-0.00021823-0.00063709i,-0.0013811-0.00047446i,-0.0017814+0.00086809i,-0.00067018+0.0019247i,6.8588e-05+0.00081985i,0.00052053-0.00040769i,0.00094243-0.0001759i,0.00084564+0.00032415i,0.00043296+0.00023437i,-0.00014295-0.00025538i,-0.00091313-0.0009892i,-0.0010705-0.00077295i,0.0001334-0.00021646i,0.00038117+3.7991e-05i,-0.00036319-0.00024048i,-0.00011934-0.00061648i,0.00014433-0.00024457i,0.00036044+0.00020542i
0.001218+0.00034659i,0.00080291+0.00063051i,0.0011417+0.00039005i,0.002615-0.0005861i,0.0039124-0.0011087i,0.0034544-0.00058666i,0.0017342+0.00010168i,0.0014037+0.00034427i,0.0021539-0.00012208i,0.0028767-0.00049703i,0.0027707-0.00017277i,0.0013089+0.00022725i,0.00068218+0.00047184i,0.0007882+0.0010414i,0.00015201+0.00070928i,4.5942e-05-0.00017353i,0.0002605+4.2512e-05i,0.00026794-5.6704e-05i,0.00020552-0.00028337i,0.0006173+0.00031835i,0.00069658-0.00055432i,0.00035706-0.00051942i,-3.1023e-05+0.0003684i
0.00091265+0.00094577i,0.00039836+0.00074984i,9.3626e-05+0.00017627i,0.0001849+9.8759e-05i,0.0012261+0.00076223i,0.0022578+0.0010305i,0.0019797+7.6026e-05i,0.0015515-0.00088188i,0.0015533-0.0018532i,0.00068818-0.0030729i,-0.00046653-0.0028425i,-0.00055445-0.00094113i,0.00021061+0.0010092i,0.00083136+0.0013386i,0.00039985+0.00035121i,-0.00026335-0.00086067i,-0.00038659-0.0014572i,-0.00049414-0.0015811i,-0.00037714-0.0013925i,-0.00045174-0.0010706i,-0.00099868-0.00077797i,-0.0009561-0.00035681i,-0.00051901+7.7495e-05i
0.00081701+0.0014477i,0.0019321+0.001228i,0.0026571+0.00096172i,0.0033754+0.00016615i,0.0036466-0.00054396i,0.0026993-0.0019269i,0.0020171-0.0028194i,0.00057015-0.0027944i,-0.0010611-0.0027862i,-0.0014133-0.0022825i,-0.0018499-0.0017142i,-0.0018497-0.0010534i,-0.00041377-0.00067521i,0.0010429-0.00066817i,0.00087073-0.00087224i,0.00021347-0.00083292i,-0.00043471+0.00037987i,-0.0014861+0.00096327i,-0.0019462+0.00037356i,-0.0014012+0.00069777i,-0.00029174+0.00097632i,0.00030423+0.00068097i,-0.00010691+0.00079681i
0.0013985-2.8804e-05i,0.0014797-0.00096823i,0.0012801-0.0020767i,0.0016078-0.0016475i,0.0020068+1.4471e-05i,0.0011924-4.8305e-05i,0.00015447-0.0011764i,-0.00078089-0.0011096i,-0.001997-3.3272e-05i,-0.0035961+0.00084103i,-0.0034325+0.0012295i,-0.0018023+0.00079829i,-0.0003606-1.3594e-06i,-0.00026241-0.00091196i,-0.00047778-0.0013479i,-0.00083907-0.00046689i,-0.00153-0.00047043i,-0.0013705-0.00085075i,-0.0010388-0.00058402i,-0.00078814-0.00034225i,-0.00051055+0.00023707i,-0.00031706+0.0001741i,0.00057912-0.00038072i
0.00087036+0.00017877i,0.00010383+0.00050301i,-0.00023041+5.6141e-05i,-0.00057627-0.0009082i,-0.00024863-0.0012623i,-0.00029205-0.00037861i,-0.0010856+0.00045812i,-0.00046367+0.0009532i,-0.00079409+0.0023203i,-0.0014325+0.0037766i,-0.00072485+0.0033896i,-0.00046846+0.0015601i,-0.001081+0.00040222i,-0.00092891+0.00058439i,-8.9583e-05+7.4735e-07i,7.3503e-05-0.00076848i,0.0010831-0.00023953i,0.0029944+0.0002233i,0.0031225+0.00020045i,0.0017714-1.252e-05i,0.00074863-8.4942e-05i,0.00038438-0.00049132i,3.6968e-05-0.00012584i
0.00026557-0.0002146i,0.00028789-0.00052513i,7.2091e-05+0.00067914i,0.00066903+0.0015539i,0.0019389+0.0012656i,0.0023525+0.00023588i,0.0019901+0.00012426i,0.0014085+0.001005i,0.001397+0.0015958i,0.002267+0.0019295i,0.0022626+0.0018845i,0.0011971+0.0015486i,-0.00065085+0.0011825i,-0.0013305+0.0012995i,-0.00036095+0.0010772i,-0.0007361-0.00012265i,-0.0015712-0.0011808i,-0.0012985-0.0015258i,-0.00025796-0.0020863i,-5.7557e-05-0.0010665i,-0.0006437-6.4701e-05i,-0.00070512-0.00093527i,8.1505e-05-0.00080479i
-0.0014822+0.0014256i,-0.00095395+0.0024578i,-0.00023346+0.0037384i,0.00079003+0.0030252i,0.0014856+0.00126i,0.002127-0.00010317i,0.0026696-0.0014122i,0.0023348-0.0013482i,0.0019387-0.00043358i,0.0024817-0.00055119i,0.0018785-0.0014327i,0.00016216-0.0012474i,-0.00020786-0.00018402i,-0.00011709+0.00056317i,0.00016682+0.00040515i,0.00019548-0.00045027i,-2.4702e-05-0.00014325i,0.00019694-4.4776e-05i,-0.00031928-0.0011716i,-0.00017355-0.0016899i,0.00064586-0.00089761i,0.00072985-0.00023305i,0.00048363-0.00010227i
0.00047752+0.00046929i,0.00041405+0.00026691i,0.0010311-0.00077809i,0.0022048-0.00098657i,0.0030107-0.0015407i,0.0022383-0.0018412i,-0.00015853-0.0011425i,-0.0011007-0.0011381i,0.00017148-0.001695i,0.001179-0.0026179i,0.00066988-0.0028434i,0.00070399-0.0012153i,0.0015453-3.1127e-06i,0.0019416+0.00070184i,0.0016651+0.0011222i,-5.8217e-05+0.0015857i,-0.0009791+0.0017408i,-0.0019861+0.0012949i,-0.0025745+0.0010467i,-0.0015311+0.0013463i,-0.00083222+0.00092182i,-0.00039658+0.00011141i,-0.00055973+0.00019142i
-0.000616+0.00043085i,-0.00037105+0.0017289i,-0.0010012+0.0023002i,-0.00068898+0.0016426i,0.0001862+0.0018386i,0.00062362+0.0013445i,0.00014262-0.00088885i,-0.00062609-0.0021367i,-0.0015163-0.0018835i,-0.0025786-0.0015707i,-0.0027285-0.0012055i,-0.0013066-0.001041i,-0.00019227-0.00097001i,-0.00022559-0.0014431i,-0.00065939-0.001401i,-0.00065502+0.00012391i,0.00047054+0.000658i,0.0018241+0.00083277i,0.0016751+0.0015088i,0.0012864+0.00098785i,0.001387+0.00014022i,0.00098852-0.00025055i,0.00077637-0.00024598i
-1.0187e-05-0.00090765i,-0.00019885-0.00042274i,0.00065893-0.0004118i,0.0017283-0.0002046i,0.0027011+0.00048642i,0.0020008+0.0016973i,0.00033435+0.0017362i,0.0002823+0.0010579i,-0.00058486+0.00076236i,-0.0021624+0.00057462i,-0.0021249+0.0014787i,-0.00052929+0.0019312i,0.00081908+0.00057096i,0.0011434-0.0011512i,-8.2245e-05-0.0014874i,-0.00082659-0.00091268i,-0.00027485-3.7095e-06i,0.00027587+0.00097625i,0.00050413+0.0014536i,0.00043735+0.0015588i,0.00061978+0.0013014i,3.172e-05+0.00027401i,-0.00035998-0.00062888i
-0.0012597+0.00052688i,-0.0016266+0.0017904i,-0.0018722+0.0024352i,-0.0015628+0.0012855i,-0.00038432-0.00037725i,0.0011353-0.0014137i,0.0010414-0.0015762i,6.8453e-06-0.0010863i,-0.00080698-1.9491e-05i,-8.6114e-05+0.0018029i,0.0011132+0.0021971i,0.0003214+0.0012396i,-0.0012742+0.00029603i,-0.001513-0.00055667i,-0.00074354-0.0017837i,-0.00057277-0.0023501i,-0.00057105-0.002467i,-4.0286e-06-0.0029827i,0.0006426-0.002464i,0.00014244-0.0013501i,-0.00059323-0.00075419i,-0.00037209-0.00045206i,-0.00013074+0.00013525i
0.0011837+0.00035951i,0.0017558+0.00022361i,0.0012328-0.00050709i,0.0007597-0.00064169i,0.0014305-0.0010453i,0.0020565-0.0011824i,0.001499-0.00067374i,0.00093601+0.00047142i,0.00059128+0.0019898i,0.0015956+0.0015562i,0.002926+0.0005022i,0.0022677+0.0010514i,0.00061988+0.0013298i,-0.00040613+0.00083054i,-0.00058693+0.0005119i,-0.0010078+0.00059128i,-0.0010943+0.00086509i,-0.00096839+0.001241i,-0.0014899+0.0011369i,-0.0012121+0.00052181i,-0.00020468+8.1813e-05i,0.000101-8.13e-05i,0.00032992-0.00015829i
-0.0017916+6.8299e-07i,-0.00097065+0.00082837i,-0.00082352+0.0010574i,-0.00063984+0.0010511i,-0.00038202+0.0014789i,-0.00013121+0.0017551i,-0.00015339+0.0011447i,-0.00047012+0.00072655i,-0.00035098+0.0007035i,0.00042925-0.00018225i,0.001038-0.00076612i,0.00080758+0.00044861i,7.4398e-07+0.0013631i,0.00011408+0.00074626i,6.7393e-05+0.0004945i,-0.0013244+0.00055794i,-0.0019405-0.00018475i,-0.0012878-0.0012099i,-0.00038786-0.0012944i,-1.4157e-05-0.00029575i,-0.00039646+0.00025269i,-0.00050059+0.0001611i,0.00057979+0.00017237i
-0.00099963+0.00028361i,-9.6079e-05+0.00015327i,0.0011202+0.0006048i,0.0014354+0.00036765i,0.0017203-0.00031751i,0.0015719-0.00057032i,0.00098276-0.00052035i,0.0014735-0.00032479i,0.0018144-0.00028779i,0.0010936-0.0014071i,1.2765e-05-0.0021404i,-0.00063216-0.0010399i,0.00018021-0.00070442i,0.0018959-0.0010806i,0.0021147-0.0010328i,0.0016223+9.5159e-05i,0.0012579+0.0021068i,0.0011511+0.0032292i,0.00098958+0.0026923i,0.00090567+0.0020431i,0.00090092+0.0013976i,0.0003973+0.00033547i,-0.00027865+0.0002123i
-0.0010295+0.00057861i,-0.00037764+0.0014067i,1.7114e-05+0.0016481i,0.0006379+0.0012622i,0.0026468+0.0011409i,0.0031981+0.0013967i,0.0021239+0.00063079i,0.0013143-0.00055698i,0.00075471-0.0011491i,-0.00021034-0.0011184i,-0.0018995-0.00097851i,-0.0022985+0.00031528i,-0.001009+0.00078405i,-4.3263e-05-5.2636e-05i,-0.0004414-0.00087247i,-0.00055699-0.0011513i,0.00028092-0.001502i,0.00074106-0.00191i,0.00061764-0.0010972i,0.00065896-0.00094442i,0.0007177-0.0011508i,0.0010221-0.00063762i,0.0012058+0.00017363i
0.00048389-0.00055339i,0.00078319-0.00031066i,-4.4863e-05-0.00047446i,0.00050058-0.0003067i,0.0011063+0.00069046i,0.0012462+0.0011216i,0.00055938+0.00064738i,-0.00055695-0.00024938i,-0.0012851-0.0013545i,-0.0014232-0.00038767i,-0.00061432+0.0010948i,0.00072153+0.0010487i,0.00094268-0.00011542i,0.00027189-0.0019426i,-0.00028711-0.0018388i,9.6664e-05-0.000933i,0.00095467-0.00059347i,0.0012385-0.00013084i,0.0013196+0.00012184i,0.00014948-0.00028812i,-0.0003714-0.00047325i,-0.00033351-0.00056006i,-0.00080982-0.00029145i
-0.00023777+0.0010932i,-0.00072125+0.0011627i,0.00116+0.00081743i,0.0029501-0.00025757i,0.0026514-0.00091111i,0.0014116-0.00051843i,-0.00013956-4.3824e-05i,-0.0010548+0.00091434i,-0.001241+0.0018096i,-0.000237+0.0016664i,0.00069869+0.0019448i,0.00031596+0.0019135i,-0.00071949+0.0011566i,-0.0011068+0.0014489i,-0.0015291+0.0015682i,-0.002182+4.0328e-05i,-0.0024817-0.00086264i,-0.002482-0.00099108i,-0.002126-0.00084973i,-0.0026254-0.00079354i,-0.0024877-0.00070966i,-0.0014113-0.00064686i,-5.2698e-05-0.00043258i
6.0084e-05-0.00046612i,-3.0704e-05-0.00087621i,0.00011147-0.00084257i,0.00062604-0.00021564i,0.0011152+0.00068689i,0.0020864+0.00075093i,0.0031295+0.00045564i,0.0025652+0.0012389i,0.0010413+0.0016682i,0.00069891+0.00049487i,0.0017729-0.00084486i,0.0024402-0.0012988i,0.0010667-0.0012848i,-0.00045455-0.00069445i,-0.00013415+0.00018373i,0.00025629+0.0010006i,0.00051527+0.0021034i,0.0012634+0.0019441i,0.0016351+0.00089766i,0.0012763+0.00095773i,0.00039664+0.00063164i,-0.00011918+9.4651e-05i,-0.00012596-0.0002859i
0.00038863-0.0029609i,0.00011614-0.0026713i,5.763e-05-0.0010855i,-7.3801e-05+0.00031837i,-0.00042873+0.00069998i,-0.00019725+0.00020734i,0.00040197+8.6706e-05i,0.0010184+0.00015971i,0.0012089+0.00020605i,0.00088181+0.00034099i,0.00024204-0.00043383i,-0.00057585-0.00089555i,0.00013663+0.00014933i,0.0012589+0.0013391i,0.0014177+0.0011225i,0.0011755+0.00011594i,0.00056532-0.00012813i,0.00048594-2.1307e-05i,0.00072542+0.00030142i,0.00070875+0.00041308i,0.00057894-0.00014786i,-0.00040058-0.00090937i,-0.00058828-0.0012079i
0.00076425+0.00036164i,0.0010226+0.00071906i,0.0016466+0.00087897i,0.0028212+0.00053354i,0.002879+0.00064427i,0.0023546+0.00064031i,0.0016801-0.00067672i,0.0016133-0.0017562i,0.0018421-0.0012932i,0.0011272-0.0013412i,-0.00073845-0.0021013i,-0.0015765-0.0012874i,-0.00090639+0.00023874i,-0.0002963+0.00063301i,0.00013669-0.00024343i,0.00080305-0.0015506i,0.0020823-0.0020266i,0.0024909-0.0013972i,0.0014294-0.00077867i,-6.8688e-05-0.0013428i,-0.0003518-0.0010456i,-0.00011708+0.00024684i,-2.1453e-05+0.00046658i
-0.00086147-0.00060399i,-0.00064648-0.00041809i,4.2494e-05+5.749e-05i,0.0010925+0.0011158i,0.0017233+0.0019482i,0.001234+0.0013175i,1.6529e-06+9.0873e-05i,-0.00070721-0.00091509i,-0.00078811-0.0015656i,-0.0011734-0.00090744i,-0.00084499+0.00014087i,0.00042162+0.00063106i,0.00070644+0.00031809i,0.00052437-0.00097895i,-0.00012066-0.002113i,-0.00162-0.0015741i,-0.0027299-0.00040119i,-0.0023353+0.00043484i,-0.001508+0.0014241i,-0.0011405+0.0015254i,-0.00063914+0.0009777i,-1.5582e-05+0.0013075i,0.00055473+0.00084168i
-0.00056158+0.0004538i,-0.00043929+0.0012918i,0.0011194+0.00099909i,0.0015851-7.921e-05i,0.00083904-0.00050546i,0.00063205-0.00036595i,0.00030534+0.00019186i,-0.0014916+0.00049959i,-0.002367+3.7405e-05i,-0.0019206+8.4534e-05i,-0.00047476+0.0005287i,0.0012222+0.00046175i,0.0014596-0.00031844i,-0.00052741-0.0010593i,-0.0021916-0.0011136i,-0.0022292-0.000983i,-0.0019706-0.00048158i,-0.0015085+0.00030524i,-0.001059+0.00070586i,-0.00039421+0.000738i,0.00083076+0.0008495i,0.00094335+0.00064493i,0.00058551+0.00040351i
0.0030346+2.0374e-05i,0.0030015-0.0013029i,0.0024299-0.0022202i,0.0022805-0.0022428i,0.0023774-0.0026581i,0.0015203-0.0017984i,0.0017525+0.00058952i,0.0020447+0.0021453i,0.00092287+0.0019428i,9.8724e-05+0.0015734i,0.00090946+0.0011297i,0.0012377+5.82e-05i,0.00041784-0.00048916i,0.00040933+0.00042117i,0.00091617+0.0017908i,0.00061285+0.0023411i,-0.00025199+0.0029512i,0.00034082+0.0029149i,0.00099056+0.0019471i,0.00028377+0.00091981i,0.00011821+0.00050318i,-0.00040049+0.00025392i,-0.00065704-0.00052732i
0.00076628-0.0018271i,0.00014579-0.0016246i,-0.00033991-0.00058034i,0.00012908+0.00019775i,0.00062021-4.139e-05i,0.0013305-0.00048006i,0.0020348-0.001185i,0.0016532-0.00077296i,0.0012335+0.0007863i,0.001565+0.0009068i,0.0017217+0.00038707i,0.0017083-0.00046768i,0.00090518-0.00011607i,0.00036465+0.00073552i,0.00040903+0.00027303i,0.00071806-0.00030156i,0.0012967-0.00036085i,0.00090533-0.00051742i,0.0010044-0.000655i,0.00096366-0.00052929i,0.00068374-0.00041107i,0.00042384-0.00018549i,0.00056988+0.00027778i
-0.00045766-0.00074512i,7.4172e-05-2.7279e-05i,0.00082232+0.00099725i,0.0011256+0.0011148i,0.00087684+0.00084728i,0.0015181+0.00040396i,0.0018315-0.00047803i,0.0012529-0.001517i,0.0012181-0.00099503i,0.0008332+0.00017938i,0.00015626-0.00014975i,-0.00056672-0.00087988i,-0.00038248-0.00065613i,0.00083292-0.00045911i,0.0016016-0.0011993i,0.0012975-0.0015575i,0.0005221-0.0010846i,-8.6018e-05-0.00066162i,-0.00051166-0.00010667i,-0.00033822+0.00029621i,-0.00044593-0.00011258i,-0.00052032+0.00010209i,0.00037835+0.00081669i
0.0018462-5.5303e-05i,0.0013455+0.00023123i,0.0018942-0.00078712i,0.0016863-0.0019587i,0.0012372-0.0016817i,0.00031106-0.0012021i,-0.0011875-0.0020352i,-0.0013595-0.0035866i,-2.1154e-05-0.0034475i,-0.00019413-0.0024034i,-0.0013225-0.0018192i,-0.00085635-0.00054958i,4.7165e-05+0.00051824i,-0.00068059+0.00011622i,-0.0018661-0.0014145i,-0.0011643-0.0028463i,-0.00037137-0.002944i,-0.00079689-0.0020596i,-0.00074566-0.0016291i,-0.00017779-0.0011511i,1.4989e-05-2.2054e-05i,-9.5161e-05+0.00022745i,0.00024062-0.00066862i
0.00016689-7.5976e-05i,0.00095897-0.00053679i,0.001407+0.00046007i,0.0015249+0.0010556i,0.0021792+0.00027778i,0.0021636+0.00082432i,0.00099052+0.0012082i,-0.00078258+0.00027044i,-0.002003-0.00078177i,-0.0016112-0.0008848i,-0.0011297+0.00037397i,-0.0010522+0.0016528i,-0.00087299+0.00069799i,-0.0010784-0.00088447i,-0.0011064-0.00064119i,-0.0014772+0.0001018i,-0.0020013+0.00035157i,-0.00071168+0.00057726i,0.00016216+0.0009253i,-0.00010805+0.0010383i,-0.00011946+0.00070157i,-0.00018724+0.00031413i,-0.0002517-0.00031468i
-0.00024948-0.0013066i,-0.0009271-0.0014513i,-0.00082085-0.0019892i,0.00025417-0.0011344i,0.00085008-2.8039e-05i,0.00034921+0.00085203i,-0.00051283+0.0011676i,-0.0022883+0.001653i,-0.0035239+0.0016874i,-0.0025544+0.0011464i,-0.0009256+0.0013056i,0.00098626+0.0011289i,0.0015672+0.00040186i,0.0002981+0.0001542i,-0.00044546+0.00051593i,-0.00028999+0.001109i,-0.00092864+0.0020108i,-0.00095893+0.0022819i,-0.0004529+0.0015865i,2.5303e-05+0.0003173i,0.00017102+0.00021146i,-1.3737e-05+0.00026848i,-0.00036449+0.00024729i
0.00047632-0.0014707i,0.00041-0.0012665i,-0.00013204-0.00060477i,0.00028477+0.00046539i,0.00034595+0.00090874i,0.00046139+0.00060019i,0.0016157+0.0011965i,0.001939+0.002347i,0.0016541+0.0026006i,0.0010901+0.0020827i,0.0002241+0.0016192i,0.00010638+0.00078756i,0.00016299+7.5135e-05i,0.00032343+0.00013775i,0.0012112+0.00044809i,0.0019114+0.0015963i,0.0022147+0.001912i,0.0017+0.00067692i,0.0009419+6.7327e-05i,0.00032553+2.4808e-05i,2.1541e-06+0.00016317i,0.00030709+5.7527e-05i,0.00054603-0.00021194i
0.0024024-4.5708e-05i,0.0011601-0.0016175i,0.0012837-0.0034558i,0.0028947-0.0038666i,0.0019648-0.0029557i,0.0018389-0.0020607i,0.0042841-0.0016543i,0.0058806-0.0001598i,0.0058236+0.00083322i,0.0036836-3.8972e-05i,0.0013438-0.00081147i,0.00088195-0.00059603i,0.00090104-0.00070217i,0.0011444-0.0010999i,0.0014247-0.00099294i,0.0014933-0.0010193i,0.0010473-0.00044998i,0.00076864+0.00017373i,0.0011737+5.6971e-05i,0.00040121+2.2055e-05i,-0.00075452-0.00017227i,-0.00049381-0.00015176i,-0.00068676-0.00011175i
-0.0004876+0.00045165i,0.00043013+0.0016233i,-0.00013447+0.0029511i,0.00015109+0.0040298i,0.0014694+0.0031714i,0.0026149+0.00038011i,0.0028066-0.0026109i,0.0028653-0.0041381i,0.0036666-0.0035848i,0.0026787-0.002237i,0.00016873-0.00083504i,-0.0008077-0.00030061i,-0.0005578-0.0014153i,-0.0002464-0.0026151i,-0.00017247-0.0028077i,9.2935e-05-0.0023928i,-1.296e-05-0.0014578i,-0.00049798-0.00087459i,-0.00079503-0.00076807i,9.0135e-05-0.00039054i,0.00065957-4.635e-05i,0.00023024-0.00038558i,-3.0097e-05-0.0004035i
0.0013304+0.0013877i,0.00071297+0.00018081i,0.0008992-0.0010005i,0.0015055-0.0017996i,0.0013844-0.0026619i,7.1439e-05-0.0030461i,-0.0018375-0.0036769i,-0.0031002-0.0042623i,-0.0033265-0.0036544i,-0.0019218-0.0023443i,-0.00071934-0.0013821i,-0.00054504-0.00056103i,-0.0012034+0.00044143i,-0.0020619+0.0007187i,-0.0024455+0.00018426i,-0.0030873-0.00042867i,-0.0032501-0.00059754i,-0.0021273+8.2597e-05i,-0.0014284+0.0013556i,-0.0016469+0.00073328i,-0.0012306-0.00084904i,-0.00054875-0.0010252i,-0.00024914-0.00049871i
-0.0008119+0.0028508i,6.4057e-05+0.0035229i,0.0015245+0.0046601i,0.0020631+0.0051564i,0.0018817+0.0040781i,0.00064161+0.0015409i,-0.0023043-0.00022955i,-0.0047418-0.00043084i,-0.0043851-5.377e-05i,-0.0030917+0.00057375i,-0.0024416+0.0016346i,-0.0019766+0.0025255i,-0.0018056+0.0022061i,-0.00139+0.00093946i,-0.0012313+7.7664e-05i,-0.0009913+0.00063628i,-0.00054727+0.0015583i,-0.001063+0.00094239i,-0.001277+6.3797e-05i,-0.00034722+0.00040616i,-0.0001958+0.00058877i,-0.00031069+0.00063889i,-0.00033963+0.000493i
0.00053755-0.00085353i,0.00074971-0.0010267i,0.0013447-0.0013014i,0.0011944-0.0019968i,0.0011781-0.0011243i,0.00092735+0.000927i,-0.00082329+0.0037059i,-0.0019338+0.0057264i,-0.0019699+0.0052277i,-0.0014231+0.0035938i,-0.00024972+0.0016706i,0.0011054+0.00094735i,0.00087796+0.002084i,-0.00059191+0.0026807i,-0.001284+0.0023179i,-0.0012013+0.002261i,-0.00031785+0.001504i,0.00033122+0.00014652i,0.00032735+0.00046398i,0.00012416+0.0011671i,-0.00016847+0.0010191i,-0.0012921+0.00049032i,-0.0017423+0.00018957i
0.0012173+0.00094909i,0.00057724+0.00043745i,0.00075636+0.00048927i,0.001547+0.00094872i,0.0024042+0.0013892i,0.002185+0.00084415i,0.0021959+0.0019712i,0.0036977+0.0042379i,0.0044574+0.0044771i,0.0032778+0.0029065i,0.0014112+0.0015216i,0.0011933+0.00044294i,0.0018244-0.00015785i,0.0023353-0.0010232i,0.0029291-0.0012012i,0.0028334-0.0012378i,0.0026075-0.001234i,0.0014991-0.00042533i,8.8474e-05+0.00065209i,0.00014996+0.00099046i,0.000834+0.00097938i,0.001042+0.0015452i,0.00069425+0.0019277i
-0.0018195-0.0020441i,-0.0023878-0.0019236i,-0.0027091-0.0023785i,-0.0012468-0.0020013i,-0.00021072-0.00049042i,0.0014184+0.00031666i,0.0048855-0.0011837i,0.0070722-0.0024804i,0.0068935-0.0026956i,0.0045028-0.0021807i,0.0025317-0.0014528i,0.0016286-0.0012135i,0.0016888-0.0016708i,0.0017855-0.0020425i,0.0009062-0.0021428i,-0.00011491-0.0019404i,-0.0012569-0.0023319i,-0.0014646-0.0020961i,-0.00022955-0.00095265i,0.00040041-0.00072022i,6.6231e-05-0.00032412i,9.6259e-05+0.00047589i,0.00030063+0.00031091i
0.00064883-5.171e-05i,-4.1095e-05+0.00090866i,-0.0010015+0.002248i,-0.00071138+0.0028442i,0.0010683+0.0014201i,0.0019076-0.0013804i,0.00065937-0.004506i,0.00082476-0.0072948i,0.0013221-0.0072559i,0.00032322-0.0042898i,-0.00059345-0.0018871i,-0.0014761-0.0016034i,-0.0018403-0.0028739i,-0.00136-0.0040047i,-0.00064562-0.0039156i,-9.1224e-05-0.0028154i,2.514e-06-0.0016758i,-3.013e-05-0.00066571i,0.0004236-0.00035235i,0.00038592-0.00037775i,0.00015113+6.304e-06i,0.00070923-0.00016233i,0.001393-0.00039306i
0.00012337-0.00029289i,0.00017045-0.0005704i,0.0017963-0.0023991i,0.001836-0.0035057i,0.00021351-0.0025289i,-0.0010168-0.0019636i,-0.0026954-0.0033802i,-0.0045121-0.0051532i,-0.0048567-0.0043113i,-0.0041181-0.0019569i,-0.0019662-0.00045669i,-0.0011258+0.0005427i,-0.0019799+0.00080455i,-0.0027779+0.0014656i,-0.0023347+0.0017175i,-0.0020168+0.0016121i,-0.0020655+0.00065721i,-0.00068076-0.00042254i,0.00015326-0.00058546i,-0.00062002-0.00057095i,-0.0010184+0.00031467i,-0.00022271+0.0012366i,-0.00025505+0.0013554i
0.00061485-0.00026606i,-0.0001861+0.00016033i,-0.00072186+0.0017943i,0.0006065+0.0017421i,0.0019028+0.0019359i,0.00064044+0.0027458i,-0.0024465+0.001992i,-0.0055247+0.0028807i,-0.0060809+0.0048302i,-0.0039827+0.0050114i,-0.0018398+0.0036252i,-0.0014478+0.002419i,-0.0027902+0.0014823i,-0.0030165+0.00094048i,-0.0021556+0.0013006i,-0.0010462+0.00072788i,0.00037405-0.00072648i,0.00089057-0.00033754i,0.00014672+0.00071242i,-0.0004481+0.00089244i,-0.00062899+0.00088327i,-0.00049609+0.00019316i,0.00014799-0.00053076i
0.0010409+0.00076097i,0.00049137+0.00031647i,0.0013757-0.0012355i,0.0015951-0.0029157i,0.00037673-0.0026942i,0.00025921-6.1749e-05i,0.00091733+0.0036168i,0.00046482+0.0074166i,0.00079894+0.0084725i,0.0023332+0.0060208i,0.0025352+0.0028006i,0.002343+0.0017702i,0.0031329+0.0023256i,0.0033947+0.0026613i,0.0028269+0.0025032i,0.0011211+0.0015816i,-0.00020419+0.00015769i,0.00016971-0.00017055i,0.00091904+9.0481e-05i,0.00053634-0.00036142i,-9.8571e-05-0.00031666i,9.2509e-05+0.00049708i,0.00052982+0.0014228i
-0.00074913-5.0263e-05i,-0.0009039+0.00049008i,-0.0001337+0.0018522i,0.0015132+0.0034147i,0.0021593+0.0031502i,0.002467+0.0016544i,0.0041734+0.0021085i,0.0070579+0.0041213i,0.0076759+0.0037616i,0.005372+0.00054054i,0.0023621-0.00065886i,0.0015091+0.00010315i,0.0019501-3.4468e-05i,0.0017209-0.0016232i,0.00085823-0.0029283i,0.00076768-0.0026561i,0.00099128-0.0014087i,0.0008781+0.00010996i,0.00071267+0.00092494i,0.0010663+0.0010108i,0.0011416+0.00064171i,0.00058048+0.00011596i,0.00096278-0.0003086i
0.00037581+0.0013769i,0.00083135+0.00061532i,0.0018078+0.00014156i,0.0020396-0.0010519i,0.00075143-0.0020818i,0.0014248-0.001865i,0.0049232-0.0026614i,0.0075619-0.004301i,0.0068179-0.0049687i,0.0040666-0.004739i,0.0014143-0.0039486i,0.00076073-0.0029396i,0.0016327-0.0027103i,0.0019885-0.0023406i,0.0018063-0.0010134i,0.000363+9.0445e-05i,-0.0011902+0.0005848i,-0.0011105+0.00032119i,-0.00027586-0.0002024i,-3.8842e-05+0.00015746i,-0.00013623+0.00060627i,-8.8387e-05+5.8662e-05i,-1.5889e-05-0.00052603i
0.00079982+0.00112i,0.0006417+0.0019848i,0.00048935+0.0022896i,0.0013178+0.0026193i,0.0028878+0.0019321i,0.0024951-0.001325i,0.0009864-0.0041382i,-0.00013992-0.0059832i,-0.0017533-0.0064982i,-0.0030914-0.0048853i,-0.003264-0.0020745i,-0.0031982-0.00087271i,-0.0032508-0.0019769i,-0.004012-0.0028168i,-0.0046289-0.0025819i,-0.0029503-0.0027613i,-0.00039783-0.0027939i,0.00079842-0.0021538i,0.00031472-0.0006484i,-0.00018246+5.2355e-05i,3.2286e-05-0.00069976i,-0.00022414-0.0010052i,-0.00089548-4.5187e-05i
