-0.0001505+0.00087666i,0.0013719+0.0015368i,0.0018737+0.0019999i,0.0023833+0.0023973i,0.0020436+0.0025631i,-0.00049895+0.0023937i,-0.0013396+0.0016787i,0.00012089+0.0018987i,0.0013995+0.0023783i,0.0013803+0.0016748i,0.0011264+0.00030689i,0.0017134+0.00058727i,0.0012848+0.0011908i,0.00071452+0.00079834i,0.00047629+0.00078363i,0.0004823+0.00087045i,0.00022058+0.00074362i,0.0001665+2.433e-06i,0.00057042-0.0003767i,0.00067797-0.00023009i,5.3921e-05-0.00037101i,0.0001813-0.00079864i,0.00032359-0.0015891i
-0.0012627-0.0014219i,-0.0020421-0.00061372i,-0.0043895+0.0024718i,-0.0050927+0.0057949i,-0.002069+0.0071084i,0.0011025+0.0057962i,0.0015907+0.0047719i,0.00062875+0.0052786i,-0.00059387+0.0050185i,-0.0013642+0.0029912i,-0.0018147+0.0014438i,-0.0016743+0.00043469i,-0.0010868-0.00013332i,-0.0010808+7.3765e-05i,-0.00051607+0.00035817i,7.57e-05+0.00065486i,0.00055706+0.0013283i,0.00074646+0.0016463i,6.8457e-05+0.00098336i,-0.00027614+0.00021964i,0.00023712-0.00012083i,0.00076193+0.00024895i,0.00092239-0.00032872i
-0.00024172-0.00045598i,-0.00083724+0.00036174i,-0.0030461+0.0015087i,-0.0048683+0.003943i,-0.0040149+0.0051837i,-0.0014788+0.0039703i,0.00030115+0.0032801i,0.0012728+0.0053912i,0.0020795+0.0065311i,0.0022241+0.0043872i,0.00062453+0.0025184i,-0.0009549+0.0012805i,-0.0012173+0.0005448i,-0.00089209+0.00056071i,-0.00030548+0.0008731i,0.00039506+0.0009433i,0.00087716+0.00064529i,0.00046606+0.00031062i,-0.00080986-0.00011174i,-0.0010136-0.00025233i,-0.00076996-0.00088008i,-0.00055986-0.00065498i,0.0010857+0.00025262i
-0.00089427-4.845e-05i,-0.00177+0.00080018i,-0.0042845+0.0040615i,-0.0052838+0.0071659i,-0.0020275+0.0073016i,0.0023361+0.0047063i,0.003824+0.0016203i,0.0044478+0.00091513i,0.0051954+0.0013785i,0.0036193+0.0012783i,0.00047455+0.002033i,-0.00083529+0.0022891i,-0.00090751+0.0014197i,-0.00089873+0.0014551i,-0.00141+0.0017805i,-0.002008+0.0011799i,-0.0010077+0.00077924i,-0.00040367+0.00060461i,-0.00032409+0.00050572i,-7.2972e-05+0.0001283i,4.963e-06-0.00018493i,-0.00018131+0.00020771i,2.2067e-05+0.00038525i
-0.0013869+0.00062874i,-0.0012364+0.0026031i,-0.0018247+0.0041812i,-0.0022703+0.0055875i,-0.0017338+0.0052454i,-0.00077422+0.0023646i,0.00032796-0.00043797i,0.0012427-0.0020502i,0.0015652-0.0027442i,0.001057-0.0017919i,-0.00010774+0.00066501i,-0.00070958+0.0017597i,-0.00080272+0.0019242i,-0.00061291+0.0022053i,-8.6215e-05+0.0019501i,0.00037975+0.0018684i,0.00023834+0.0016147i,-0.00064147+0.0013205i,-0.00089169+0.0011837i,1.9212e-05+0.00061795i,0.00019156-0.00011922i,-0.00044213-0.00078394i,-0.00088777-0.00061119i
-0.0022295+0.001063i,-0.0026964+0.00196i,-0.0034282+0.0043152i,-0.0035057+0.0069202i,-0.0016713+0.0076625i,-0.00073228+0.0037639i,-0.0022103-0.00041498i,-0.0035184-0.0021005i,-0.0029089-0.0025662i,-0.0012672-0.0018191i,0.00019977+0.00014359i,0.0012024+0.0015415i,0.0016752+0.0014027i,0.0014706+0.00024919i,0.00097101+0.00061109i,0.0003891+0.0014107i,-0.00019721+0.0010336i,-0.00011489+0.0006773i,-0.00030131-9.9705e-05i,-0.00036576-0.00068707i,0.00060605-4.9753e-05i,0.00093818+0.0006482i,0.00026217+0.00036997i
0.0010567-0.00072369i,-0.00045614+0.00058793i,-0.0040543+0.0018921i,-0.0062523+0.0029091i,-0.0052764+0.0039143i,-0.003898+0.0045199i,-0.0039741+0.0042414i,-0.0043685+0.0048207i,-0.0045824+0.0046962i,-0.0038677+0.0030781i,-0.0020299+0.0018146i,-0.00068581+0.0012735i,-0.00074868+0.0010513i,-0.00072773+0.0013594i,-0.00030378+0.0020859i,-0.00051472+0.002515i,-0.00091626+0.0022656i,-0.00083724+0.0015095i,-0.00022914+0.00063778i,0.00022027-3.1834e-06i,0.000216-0.00024747i,0.00032499-0.00019383i,0.00077972+0.00049982i
-0.00014304-0.0028344i,-0.002494-0.0011177i,-0.0049285+0.0033215i,-0.0052034+0.007632i,-0.0024166+0.0096354i,0.0011413+0.0083464i,0.00054777+0.006406i,-0.00092525+0.0067848i,-0.00032516+0.0069094i,0.00013312+0.0053749i,-0.00068783+0.0035427i,-0.0014741+0.0015808i,-0.0011615+0.0002881i,-0.00071548-0.00018758i,-0.00098177-2.2997e-05i,-0.0010601+0.00049823i,-0.00060009+0.00037553i,7.7781e-05+0.00032239i,0.00057909+0.00013003i,0.00026766-0.00031885i,0.00025094-3.0897e-05i,0.00050956-0.00027107i,0.0010782-0.00027458i
0.0019028-0.00013991i,-0.00094635+0.00020249i,-0.0037222+0.0015538i,-0.0055366+0.0047286i,-0.0032972+0.0067437i,0.00051625+0.0061076i,0.0030428+0.0057887i,0.0045705+0.0073938i,0.0052473+0.0070917i,0.0045213+0.0044818i,0.0017544+0.0030044i,-0.0004322+0.0022033i,-0.0017686+0.0010937i,-0.002494+0.00044536i,-0.0021942+0.00059008i,-0.0012373+0.0020719i,-0.00087481+0.0026931i,-0.00091246+0.001171i,-0.0011851+5.8387e-05i,-0.00070459-0.0003055i,0.00055358-0.00091265i,0.0012638-0.00055596i,0.00060234-7.5796e-05i
9.4527e-06-0.00032587i,-0.0015704+0.000304i,-0.0044983+0.004214i,-0.0051563+0.0086263i,-0.0024201+0.0093688i,0.0019722+0.005063i,0.0044516+0.00029558i,0.0050167-0.00059847i,0.0053418-0.00042655i,0.0043403-0.00010778i,0.0021465+0.00083012i,0.00056321+0.0010089i,-0.00033765+0.00049162i,-0.00056596+5.1395e-05i,-0.00049105+0.00065875i,-0.00048094+0.0010972i,-0.0002441+0.00042027i,0.00047909-0.00023352i,0.00050866-2.0754e-05i,0.00023085+0.00090671i,-5.2305e-05+0.0010955i,-1.7283e-05+0.00077863i,7.7042e-05-4.169e-05i
0.00080989+0.00040295i,-0.00058355+0.0015548i,-0.0024777+0.0036758i,-0.0042892+0.0047625i,-0.003147+0.0032271i,-0.00035952+0.00015562i,-7.9701e-05-0.0021032i,-0.00057873-0.003506i,-0.00018625-0.0041204i,0.00020819-0.003434i,-8.3866e-05-0.0013283i,-0.00016046+0.0010367i,-0.00036954+0.001709i,-0.0013277+0.0013641i,-0.0015665+0.0012392i,-0.00077438+0.0010796i,-0.00023458+0.00092325i,-0.00031227+0.00052747i,-0.00055682-4.8871e-05i,0.00015494+2.9805e-05i,0.00029483+0.00087556i,-1.9456e-05+0.00085596i,0.00029627+0.00051105i
0.00014831+0.00094558i,-0.0006679+0.00080747i,-0.0018057+0.0025215i,-0.0031881+0.0052932i,-0.0036187+0.0056819i,-0.0037004+0.0023989i,-0.004873-0.0015421i,-0.0058732-0.0022281i,-0.0049889-0.0015257i,-0.0031748-0.0016998i,-0.0021588-0.00092314i,-0.00074229+0.00073473i,0.00077258+0.0012946i,0.00011493+0.0018576i,-0.0015299+0.0019441i,-0.0019599+0.00042122i,-0.0015438-0.00061709i,-0.00043142-1.5484e-05i,0.00053274+0.00066271i,0.00076989+0.00043933i,0.00090655+0.00016206i,0.00048989-0.00018965i,-7.8048e-05-0.00085791i
0.00082366-3.0175e-05i,-0.001134+0.0016048i,-0.003919+0.0044118i,-0.0051628+0.0070123i,-0.0042372+0.0077379i,-0.0030608+0.0069201i,-0.00335+0.0060985i,-0.0049744+0.0065629i,-0.0055994+0.0061853i,-0.0049607+0.0042349i,-0.0031036+0.0031154i,-0.00053125+0.0026187i,0.00017911+0.0015913i,-6.7439e-05+0.0014541i,-0.0011682+0.0020978i,-0.0013538+0.0022519i,-0.00065952+0.0024137i,0.00021032+0.0014029i,0.00050262-0.00029309i,-0.00014049-0.00066143i,-0.00032973-0.00043322i,0.00060881-0.00027904i,0.0012329+0.00035718i
-0.0011957-0.00036971i,-0.0013308+0.00032256i,-0.0029944+0.0024796i,-0.0048678+0.0056374i,-0.0037286+0.0079334i,-0.00068375+0.0073274i,0.00025411+0.0069588i,-8.0966e-05+0.0096693i,-3.7957e-05+0.010986i,-6.4938e-05+0.0085498i,0.00057545+0.0050409i,0.0017926+0.0023309i,0.0024255+0.00049283i,0.0019698-0.00033417i,0.00075019-0.00035295i,0.00027645-2.5912e-05i,0.0010678+0.00077829i,0.0014974+0.0006577i,0.00067491-0.00011491i,0.00026004-0.00023088i,0.00027835-0.00049796i,-1.6211e-05-0.00060334i,0.00032417-0.00053993i
-0.00045632+0.00035486i,-0.002244+0.0013595i,-0.0040363+0.0043856i,-0.0043337+0.0076268i,-0.00092192+0.0080271i,0.0034217+0.0052363i,0.0050844+0.0038537i,0.0053515+0.0052077i,0.00532+0.0056989i,0.0040289+0.0047096i,0.0019117+0.0035576i,0.0010282+0.0019492i,-0.00013703-0.00023946i,-0.0016136-0.00079743i,-0.0016028+0.0012548i,-0.00035231+0.0029947i,0.00055604+0.0024134i,8.1641e-05+0.00089088i,-0.0014909-0.00034827i,-0.0020416-0.00055868i,-0.00058183-0.00027866i,0.00055298-0.00043827i,0.00077457-0.00075071i
-0.00011759+3.785e-05i,-0.0014702+0.0012099i,-0.0046392+0.0035355i,-0.006028+0.0063191i,-0.0027864+0.0059096i,0.0025142+0.0024253i,0.0050231-0.00052008i,0.0052348-0.0013457i,0.0055972-0.0013137i,0.0053585-0.0018036i,0.0028275-0.00042815i,0.00042895+0.00058049i,6.4605e-05+0.00015242i,-0.00033887+0.00036961i,-0.00068803+7.1797e-05i,-4.2543e-07-0.00076219i,0.00059221-0.00085975i,0.00037187-0.00061002i,0.0010309-0.00043657i,0.0013012-9.6987e-05i,0.00068618-0.00011584i,0.00012189-0.00052456i,-9.7051e-05-0.0009842i
-0.0010998-0.00074165i,-0.0030861+0.0014733i,-0.0053955+0.0055955i,-0.0055865+0.0094242i,-0.0036769+0.0086213i,-0.0008984+0.0027483i,-5.092e-05-0.0023494i,5.4507e-05-0.0040135i,-4.564e-05-0.0041603i,-0.00042712-0.0035604i,-0.0012774-0.0015176i,-0.0012579+0.00040256i,-0.001053+0.001018i,-0.0014654+0.0010082i,-0.0016431+0.0014281i,-0.0019796+0.0019805i,-0.0020702+0.0019594i,-0.0015088+0.0011896i,-0.00057033-0.0001039i,-3.47e-05-0.0013853i,-3.3714e-05-0.0011335i,0.00032731+0.00024536i,0.00096586+0.00017984i
-0.0013727+0.00019246i,-0.0024572+0.0017133i,-0.0045248+0.0045577i,-0.005276+0.0063111i,-0.0047626+0.0059128i,-0.0028993+0.0028004i,-0.0038125-0.00048789i,-0.0061901-0.0011077i,-0.0062882-0.0007636i,-0.0060196-0.00067745i,-0.0035761+0.00097304i,-0.00078115+0.0025605i,0.00071914+0.003313i,0.0010619+0.0038371i,0.00061469+0.0025774i,0.0006562+0.00088695i,0.00049591+0.00018861i,0.0006349-0.00030737i,0.0011141-0.00084982i,0.0011804-0.00059506i,0.00072588+0.00016923i,-0.00028191-0.0001163i,-0.00046075-0.00087466i
0.00087967+0.0029911i,0.00093119+0.0027727i,0.00062979+0.0040294i,-0.0020064+0.0061539i,-0.0031925+0.007004i,-0.0039731+0.0058005i,-0.0061477+0.0053486i,-0.0064232+0.0069556i,-0.0049059+0.0073072i,-0.0036358+0.0048458i,-0.0019775+0.0023789i,-3.7025e-05+0.0016059i,0.00081919+0.00073683i,0.00090045+7.6506e-06i,0.00029246+0.0013643i,-0.0018657+0.0027409i,-0.0030015+0.0033688i,-0.0024065+0.0023378i,-0.0011372+0.00036733i,0.00039025-0.00032572i,0.0012537-0.00045339i,0.0006192-0.00045724i,5.9288e-05-4.2482e-05i
-0.0015587-0.00027835i,-0.0025516+0.0010494i,-0.0046697+0.0037079i,-0.0046077+0.0075322i,-0.0020564+0.0088526i,0.00020376+0.007881i,0.0013449+0.0083669i,0.0016155+0.010488i,0.0014485+0.010436i,0.00087151+0.0074562i,0.00063331+0.004287i,0.00097198+0.0025245i,0.0016645+0.0015656i,0.0024264+0.0008782i,0.0018591+0.0014012i,0.0015295+0.0017725i,0.0022659+0.001179i,0.0020091+0.0010226i,0.001625+0.00019406i,0.0011938-0.00078187i,0.00039795-0.00095905i,0.00025989-0.00063504i,0.00076329-0.00025673i
-0.0016973+0.00013842i,-0.0029728+0.00085019i,-0.0047261+0.0034105i,-0.0050425+0.0063285i,-0.0015614+0.0070941i,0.003964+0.0060075i,0.005959+0.0059396i,0.0054145+0.0063414i,0.0054751+0.005565i,0.004493+0.0047441i,0.0021171+0.003975i,-0.00020024+0.0015889i,-0.0014809-0.0014782i,-0.0020227-0.0024006i,-0.0024399-0.0010747i,-0.0021375+0.00049356i,-0.00098839+0.0010748i,-0.00082044+0.00078322i,-0.0013859+0.00012571i,-0.0011253+0.00052308i,0.00010544+0.0013491i,0.00083621+0.001711i,-0.00017058+0.00083661i
2.1635e-05-7.4091e-05i,-0.0018145+0.00063749i,-0.0041861+0.0025287i,-0.0055681+0.0048406i,-0.0040218+0.0039341i,0.00076155+0.00027923i,0.0043264-0.0027835i,0.0053346-0.0037372i,0.00529-0.0032363i,0.0040613-0.0016301i,0.0018897+0.00010944i,0.00030209+0.00064496i,-0.0011052+0.00036281i,-0.0027007+0.00057771i,-0.0021053+0.00028152i,4.0795e-06+9.2523e-05i,0.0013131+0.00017344i,0.0020276-0.00017797i,0.0018324-0.00038382i,0.0010272-0.00013452i,0.00090461-0.00021319i,0.00051514-0.00085322i,0.00043117-0.00081284i
-0.00084649+1.2866e-06i,-0.0017923+0.002461i,-0.0017842+0.0050965i,-0.0024236+0.0075205i,-0.0032778+0.0072609i,-0.0023802+0.0021458i,-0.0019663-0.0029446i,-0.001934-0.0044819i,-0.0010868-0.0045335i,-0.00067605-0.0032381i,-0.00046398-0.0014212i,-0.00034789+0.00026785i,-0.00051393+0.0011308i,-0.0013077+0.0017292i,-0.0030032+0.0017614i,-0.0038432+0.0016238i,-0.0030568+0.0011232i,-0.0013757-0.00033408i,-0.00011405-0.00068572i,0.00036321-4.0789e-05i,-3.2497e-05+0.00062821i,-0.00074852+0.00097226i,-0.00080771+0.00044811i
-0.0019785-0.00017021i,-0.0024467+0.0004657i,-0.00401+0.0025185i,-0.0040729+0.0060581i,-0.0021836+0.0078092i,-0.0030452+0.0051554i,-0.0058272+0.00053441i,-0.0071969-0.00048437i,-0.0055295+0.00062485i,-0.0031091+0.00089792i,-0.001388+0.0016552i,-0.00011843+0.0026204i,0.0006529+0.003404i,0.00039295+0.0039232i,-0.00018408+0.004718i,-0.00010175+0.0041797i,-8.2637e-05+0.0019763i,0.00011473+0.001188i,0.0002234+0.0018133i,0.00067661+0.0013579i,0.00081508+4.6339e-05i,0.00039693-0.00033376i,0.00034867+9.8299e-05i
0.00016004-8.9987e-06i,-0.0016626+0.00070634i,-0.0052077+0.0039718i,-0.0068411+0.008028i,-0.0049722+0.010109i,-0.0027122+0.0092479i,-0.0048296+0.0074906i,-0.00615+0.0075996i,-0.0038417+0.0071445i,-0.0016306+0.0045816i,-0.0011037+0.0025737i,0.00021879+0.0012644i,0.0020304-3.9844e-05i,0.0029652+3.2314e-05i,0.0019967+0.0012414i,-5.8095e-07+0.0010667i,-0.0014901+0.00078874i,-0.0018719+0.00096231i,-0.0013956-0.00024362i,-0.00046552-0.0010651i,0.00084793-0.00082228i,0.0016197-0.00090671i,0.00087574-0.00022579i
0.00042049+0.00026434i,-0.00098319+0.00065508i,-0.0026778+0.0024671i,-0.0035098+0.0047234i,-0.00085393+0.0049167i,0.0026861+0.0048192i,0.0032094+0.0072394i,0.0025535+0.009886i,0.0020646+0.0088004i,0.0011093+0.0045926i,-0.00016279+0.001694i,-0.00028776+0.00042923i,0.00057454-0.00057438i,0.0007676-0.00063572i,0.00024917+0.00038713i,0.00032472+0.0012694i,0.00052078+0.0017085i,0.0011474+0.001651i,0.0012416+0.0011591i,0.00017558+0.00040521i,-9.3262e-05-0.00043225i,-0.00025777-0.00034887i,-0.00059449+7.0395e-05i
0.00069831+0.00042486i,-0.00060472+0.0013355i,-0.0038815+0.0037117i,-0.0072688+0.0053065i,-0.0054815+0.0053347i,0.0016308+0.0043918i,0.0066043+0.0032668i,0.0070928+0.0042427i,0.005708+0.0044966i,0.0035256+0.0024161i,0.00127+0.001104i,-0.00025534+0.0010488i,-0.0014226+0.00032487i,-0.0018632-0.00091523i,-0.00095517-0.001532i,-0.00082627-0.0010036i,-0.00067096-0.00074386i,0.00012554-0.00077696i,4.6899e-06-0.00075734i,-0.00034256+1.2637e-05i,-0.00014847+0.00041212i,-0.00044068+0.00029899i,-0.00059531+7.8469e-06i
-0.00046858+0.00047579i,-0.0014027+0.0014835i,-0.0029565+0.002968i,-0.0042877+0.0065388i,-0.0030275+0.0064216i,0.00047568+0.00076463i,0.003791-0.0033608i,0.0060641-0.0032336i,0.0055907-0.0012363i,0.003374-0.00063622i,0.0010946+0.00061945i,-0.00069637+0.0018747i,-0.0024522+0.00099855i,-0.0034504+3.8613e-05i,-0.0035226+0.00050041i,-0.002044+0.0015613i,8.7954e-05+0.0012938i,0.00064174-0.0001312i,0.00082282-0.00046288i,0.0010714+0.00032307i,0.00070984+0.00078933i,0.0003873+0.00024398i,0.00021827-8.3178e-06i
0.0014606-0.00061457i,-0.0013081+0.00023026i,-0.0055442+0.0025848i,-0.0074155+0.0056776i,-0.0057916+0.0069241i,-0.0042205+0.0028976i,-0.0042628-0.0026269i,-0.004212-0.0037922i,-0.0027538-0.0029285i,-0.0010882-0.001754i,-0.00045394-0.00022738i,-0.00047106+0.001485i,-0.00064391+0.0032489i,-0.0017911+0.0043839i,-0.0022774+0.0039249i,-0.0019372+0.0020606i,-0.0017706-0.00011138i,-0.00094837-0.0015204i,-0.00067011-0.0012157i,-0.00047065-0.00013767i,0.00082789+0.00019311i,0.0011961+6.7163e-05i,0.0011582-0.00032882i
0.00091817-4.1594e-05i,-0.00023458+0.0013912i,-0.0029421+0.0031244i,-0.00574+0.0063856i,-0.0045738+0.0085676i,-0.0039025+0.0069376i,-0.0063713+0.0032389i,-0.0069007+0.0016931i,-0.0050283+0.001994i,-0.002499+0.0019824i,-0.00041458+0.0019392i,0.00093872+0.0018054i,0.00083892+0.0021374i,-0.00014062+0.0030863i,-0.00038317+0.0037693i,-0.0010175+0.003727i,-0.0013271+0.0035828i,-0.00074877+0.0031495i,-7.1662e-05+0.0017011i,0.00077453+4.594e-05i,0.00063069-0.00099132i,0.00059098-0.0016487i,0.00056963-0.0013832i
-0.0013362-0.00010462i,-0.0022026+0.0007559i,-0.0046624+0.0031033i,-0.0047644+0.0055553i,-0.001245+0.0075727i,0.00027874+0.0077958i,-0.0029494+0.007703i,-0.0061858+0.0086163i,-0.0047203+0.0078079i,-0.0013679+0.0048913i,0.00018304+0.0022219i,0.0010651+0.00078248i,0.0020492+0.00077452i,0.0031377+0.00063004i,0.0036713+0.00017855i,0.0024809-0.00026199i,0.0011579-0.00089325i,0.00090128-0.00076153i,0.00030736-0.00092881i,2.3495e-05-0.00093074i,0.00029879-0.00088881i,0.00088399-0.0011222i,0.00099939-0.00059592i
-0.0019788+0.00038487i,-0.002554+0.0009991i,-0.0035666+0.002912i,-0.0050959+0.0057136i,-0.0025677+0.006151i,0.0032337+0.0058595i,0.0053659+0.0069928i,0.0043959+0.0087656i,0.0028805+0.0086456i,0.0013809+0.005633i,0.00012008+0.0023695i,-0.0009351-0.00019598i,-0.0011965-0.002961i,-0.00065516-0.00365i,-0.00061814-0.0013039i,-0.00061011+0.0012488i,-0.00037916+0.0028207i,-0.00013672+0.0022366i,0.0001011+1.6115e-05i,5.8102e-05-0.00058859i,-0.00069166+0.00013595i,-0.0010499+0.00084656i,-0.00023186+0.00046451i
0.00071072-0.00028823i,-0.00068492-7.3776e-05i,-0.0028064+0.0018446i,-0.0051471+0.0046146i,-0.0043284+0.0048795i,0.00012856+0.0028364i,0.0039652+0.0020913i,0.0047582+0.0038351i,0.0048127+0.0039548i,0.0032497+0.0018373i,0.00013259+0.0012025i,-0.0022563+0.0011513i,-0.0033763+0.00042198i,-0.0034696+0.00017177i,-0.0018918-2.4149e-05i,-0.00041359-0.00083721i,-0.00011979-0.0011079i,0.00020475-0.00068276i,0.00034351+5.2302e-05i,0.00010096+0.00011279i,0.00048068+0.00049119i,0.00063897+0.00067644i,0.00039321+0.00020025i
0.00035733-0.00054193i,-0.0010969+0.0007242i,-0.0034982+0.0046102i,-0.0057603+0.0078411i,-0.0052054+0.0072572i,-0.0018447+0.0027481i,0.0018406-0.0020088i,0.003922-0.0032895i,0.0040801-0.0020566i,0.0024869-0.000626i,0.00058212+0.00043217i,-0.00080635+0.0015807i,-0.002055+0.0018138i,-0.0034095+0.00048738i,-0.004264-0.00012779i,-0.0032332+0.00095706i,-0.0015901+0.0018477i,-0.00046326+0.0022427i,-0.00025947+0.0016654i,-0.00053252+0.00055159i,-9.7067e-05+0.00043245i,-0.0002738+0.00081316i,-0.00026332+0.00026227i
-0.0014199+0.0003965i,-0.0021201+0.00027965i,-0.0038592+0.0031535i,-0.003972+0.0062373i,-0.0029358+0.0065279i,-0.0035555+0.0028267i,-0.0049277-0.0030794i,-0.0034131-0.0049153i,-0.0011091-0.0031582i,-0.00056548-0.00092814i,-0.00051123+0.0012168i,-0.00016774+0.003321i,0.00021059+0.0039557i,0.0001122+0.0047043i,9.6763e-05+0.0044518i,0.00035918+0.002324i,0.00066475+0.00042139i,0.0014949-0.00077644i,0.0020649-0.00010396i,0.0020945+0.0009385i,0.0021602+0.00054672i,0.0023028-0.00010814i,0.0018335-0.00050499i
-0.0016322-0.00048549i,-0.0034202+0.0011659i,-0.0061003+0.003989i,-0.0072498+0.0072792i,-0.0043322+0.0088687i,-0.002678+0.0065853i,-0.0055368+0.0030724i,-0.0073968+0.0011934i,-0.0060297+0.0003733i,-0.0036976+0.00058383i,-0.0019105+0.0015605i,0.00030353+0.0017695i,0.0021172+0.0017537i,0.0018925+0.0021485i,0.00093991+0.0026489i,-0.00034548+0.0029544i,-0.0010243+0.0022019i,-0.00029676+0.0016245i,0.00037475+0.00081147i,0.00028803-0.00079151i,8.5264e-05-0.0013659i,0.00050974-0.00047501i,0.00065308+0.00043499i
-0.0017894+9.1817e-05i,-0.0023935+0.0017279i,-0.0025899+0.0066086i,-0.0024696+0.010783i,-8.564e-05+0.011254i,0.0018318+0.0097848i,-0.0017374+0.0094107i,-0.0061075+0.009681i,-0.0056237+0.0075606i,-0.0026841+0.0051232i,-0.0015009+0.0035228i,-0.001149+0.0014438i,0.0011617-0.00032627i,0.0030016-0.00028687i,0.0026029+0.0010059i,0.0024283+0.0012259i,0.002111+9.3774e-05i,0.0012502-0.00043954i,0.00051926-0.0011072i,-0.00043846-0.0015013i,-0.00052616-0.0014042i,0.0007824-0.0011601i,0.0015438-0.00015052i
-0.00063832+0.0014561i,-0.0026325+0.0022658i,-0.0050985+0.002831i,-0.0061436+0.0021582i,-0.002769+0.00070363i,0.003828+0.00069619i,0.0061164+0.0037192i,0.0039388+0.0079099i,0.0014254+0.0098402i,0.00032019+0.0076709i,0.00048039+0.0047095i,-0.00075112+0.0022165i,-0.0025954-0.00081892i,-0.0024303-0.0026087i,-0.0015993-0.002183i,-0.0018873-0.0006301i,-0.0016427+0.00033453i,-0.0011468+0.00037638i,-0.0014825-0.00023372i,-0.0011838-0.00074636i,-0.0006486-0.00056642i,0.00014012-0.00033633i,0.00035779-0.00029869i
-0.00026495+0.00065263i,-0.0015759+0.0016719i,-0.003667+0.0049265i,-0.0060503+0.0077509i,-0.0058366+0.0064512i,-0.0017287+0.0024113i,0.0031713+0.00033449i,0.0064186+0.002987i,0.0081423+0.0053135i,0.0068047+0.0038754i,0.0034687+0.0023121i,-2.2884e-05+0.0017073i,-0.0027134+0.00066634i,-0.0035957+0.00044835i,-0.0021708+0.0011588i,-0.0010863+0.0012039i,-0.00030067+0.00053499i,0.00025657+0.00024025i,0.0004977+0.00072779i,0.00018073+0.0012455i,0.00031774+0.0012105i,0.0017713+0.00057149i,0.0026345-0.00022167i
-0.0011438-0.00084539i,-0.0028955+0.00037012i,-0.0046753+0.0037557i,-0.0051236+0.0074661i,-0.0041718+0.0085143i,-0.0016506+0.0038659i,0.00073498-0.0017404i,0.0036718-0.0025703i,0.005815-0.00075809i,0.0048121-0.00018836i,0.0021737+0.00037422i,0.00024069+0.0017345i,-0.0013562+0.0022696i,-0.0021663+0.0025098i,-0.0016126+0.0021448i,-0.0013302+0.0011263i,-0.0015645+0.0015702i,-0.00096494+0.0021851i,-0.00074554+0.0014717i,-0.00069265+0.00029345i,-0.00028862+0.00055447i,-0.00046473+0.00071813i,-0.00092875-5.6313e-05i
-0.002413-0.00088875i,-0.0042925+0.0021951i,-0.007415+0.0066322i,-0.0090652+0.010766i,-0.0066366+0.012498i,-0.0033687+0.0077816i,-0.0028076+0.00034726i,-0.0028363-0.0036178i,-0.00076254-0.0044849i,0.0010839-0.0048039i,0.00062528-0.0032709i,-0.00023528+0.00044774i,-0.00030522+0.002809i,0.00020894+0.0038216i,0.00067083+0.0042749i,0.00040737+0.0025701i,0.00045842+0.00073178i,0.0019168+0.00078142i,0.0023473+0.0016465i,0.002008+0.0012902i,0.0022136+0.00043268i,0.0019957+0.00018858i,0.0012424-1.2943e-05i
-0.00044638-0.0010782i,-0.0017967+0.00038509i,-0.0040172+0.003137i,-0.0032235+0.0069102i,0.00039527+0.0076025i,0.0017007+0.0055323i,-0.0022704+0.0035282i,-0.0067005+0.0015911i,-0.0068166-0.00056307i,-0.0059581-0.0013347i,-0.0046603-9.137e-05i,-0.00141+0.0016814i,0.00089296+0.002664i,0.0018985+0.0012936i,0.0016643+0.00018109i,0.00067604+0.00083158i,0.00047457+0.0015361i,0.00083387+0.00074454i,0.0006398-0.0009405i,0.0011476-0.0020179i,0.00051696-0.0018914i,-0.0011201-0.0010907i,-0.0011414-5.8191e-05i
-0.00047885-0.00062649i,-0.0017998+0.0009842i,-0.0057486+0.0037547i,-0.0077431+0.007512i,-0.0059038+0.0088002i,-0.0021554+0.0067371i,-0.0015395+0.006387i,-0.0039666+0.0065417i,-0.0050581+0.0057653i,-0.0051696+0.0046685i,-0.0036301+0.0043381i,-0.00057764+0.0035628i,0.00081644+0.00073113i,0.00028066-0.0008481i,-0.00077671+0.00035123i,-0.00091986+0.0023087i,5.374e-05+0.001943i,0.0003182-0.0003702i,-0.00044887-0.0012204i,-0.00092108-0.00091439i,0.00045348-0.00044036i,0.0014111-0.00020471i,0.00093926+0.00017899i
-0.00037899-0.0016361i,-0.00089594+0.00051126i,-0.0028632+0.0040206i,-0.0051074+0.006576i,-0.00448+0.0062234i,0.0005596+0.0049888i,0.0035613+0.0064084i,0.0021436+0.010154i,0.00014635+0.012361i,-0.00098964+0.011123i,-0.00086413+0.007291i,-0.00032549+0.0023029i,-0.0009112-0.00068957i,-0.0023695-0.0013093i,-0.0022158-0.0012933i,-0.00094246-1.282e-05i,-0.00077009+0.00064506i,-0.0017555+0.00030504i,-0.0021816+5.3701e-05i,-0.0013995+0.0001818i,5.8841e-05+6.3369e-05i,0.0015146-0.00038928i,0.0015772-0.00055318i
