2.1875e-05+6.8978e-06i,-0.00062752+1.4062e-05i,-0.0017547+0.00090251i,-0.0010964+0.0015697i,-0.00043728+0.0022015i,-8.3331e-05+0.0023419i,-0.00084879+0.0020881i,-0.0004232+0.0020591i,0.0011401+0.0013363i,0.0016416+0.0006724i,0.00091845-0.00030569i,-0.00024462-0.00094535i,-0.0010237-0.00081078i,-0.000741-0.00059872i,-0.00032015-0.00034267i,-0.00061375-0.00014944i,-0.0011955+0.00037572i,-0.001678+4.7611e-06i,-0.00072718-0.00073028i,0.00014833-0.00063038i,-0.00017724-0.0001713i,0.00023793+0.00062858i,-9.1034e-05+0.00069342i
0.0018043+6.7841e-05i,0.00081011+0.00050257i,0.00069651+0.00059461i,0.0023704+0.00095754i,0.0032373+0.00075137i,0.0016412+0.00022718i,0.00065098+0.00098201i,0.0012613+0.0011959i,0.0015252+0.00065005i,0.001364-0.00035482i,0.0014101-0.0003854i,0.00089329-0.00023624i,0.000266-0.00066972i,0.0003682-0.0012836i,0.00033207-0.0020961i,-0.00025698-0.0026106i,-0.0011269-0.0024709i,-0.0017472-0.0016137i,-0.0012302-0.00059353i,-0.00041871-3.9034e-05i,-0.00033428+0.00019717i,-0.00052737-0.00029123i,-0.00019415+0.00037171i
0.00031387+0.00028714i,0.00037933+0.00027933i,0.0014384+0.00073656i,0.0021833+0.0021008i,0.0012151+0.0025058i,-0.00016435+0.0019812i,0.00028124+0.0012874i,0.001437+0.00035822i,0.0019972-0.00025371i,0.0018262-0.00028736i,0.00024646-0.00067601i,-0.00092082-0.00098806i,-0.00035013-0.00098298i,0.00010077-0.00087291i,-3.9218e-05-0.00017923i,-0.00019675-0.00029144i,-0.0005875-0.0010971i,-0.0007642-0.00080003i,-0.00040962-3.8001e-05i,8.491e-05+0.00024863i,1.4872e-05+0.00011067i,-0.00021838+3.6932e-05i,0.00014494+0.00013183i
0.0012785+0.00037556i,0.0013842+0.0006319i,0.00083948+0.0012228i,0.0012339+0.0013187i,0.0012069+0.00093798i,0.00036238+0.00084466i,-4.1113e-05+0.0010215i,0.00076536+0.00096262i,0.001391-0.00017975i,0.0010278-0.0010633i,0.00032689-0.001638i,-0.00033675-0.0021767i,-0.00025319-0.0010043i,-0.00043807-0.000352i,-0.0008638-0.00014365i,-0.00079896-0.00020677i,-0.0012464-0.0013166i,-0.0011453-0.0011201i,-0.00065501+0.00073388i,-0.00093133+0.0014633i,-0.00097147+0.00061191i,-0.00069561-0.00019582i,-0.0011547-4.287e-05i
0.00098005-0.00087709i,0.00057365-3.4885e-05i,0.00090155+0.0013107i,0.0018619+0.0024698i,0.0012251+0.0021654i,-0.0001513+0.0022595i,5.9572e-06+0.0023265i,0.0010968+0.0014047i,0.0014275-0.00010774i,0.00097855-0.0013815i,0.0002614-0.0017019i,-0.00018862-0.00025595i,2.5664e-05+0.00085893i,0.00013436+0.00043186i,-0.00025608-0.00019873i,-0.00041325-0.00050597i,-0.00039081-0.00055604i,-0.00096439-0.00017371i,-0.00087972-4.2131e-05i,0.00046488+0.00038839i,-4.8869e-06+0.0010052i,-0.00043438+0.00076799i,-0.00037626+0.00028712i
-0.00021001+0.00079448i,0.00089591+0.00033259i,0.0020184+0.00085604i,0.0021642+0.0012297i,0.0020818+0.00098039i,0.0012508+0.00048327i,0.00020573+0.00074273i,0.00070285+0.0017625i,0.0012358+0.0010865i,0.00039912-6.4654e-05i,-0.0002088-4.7718e-05i,-0.00017643-0.00028187i,0.00031298-0.00035377i,0.00038083-8.1275e-06i,-0.00027769-0.00011791i,-0.00048919-9.0063e-05i,-0.00057637+8.9893e-05i,-0.00056179+0.000144i,0.00017527+0.00018136i,0.00072041+0.00014397i,1.3419e-05-6.7571e-05i,-0.00047808-0.00030119i,-0.00033799-0.00021111i
-0.00041461-0.00033937i,-0.00065176+0.00035313i,-0.0007794+0.0015472i,-0.00037487+0.0025748i,0.00071473+0.002856i,0.0013873+0.0021162i,0.0017047+0.0010621i,0.002434+0.00071923i,0.0021812+0.00033334i,0.0013901-7.0517e-05i,0.00095095-0.00047775i,0.0003596-0.00085601i,0.00032351-0.00053808i,4.7298e-05-0.00038407i,8.9617e-05-0.00055407i,0.00028891-0.00037892i,-0.00033092-0.00055019i,-0.00061937-0.00089458i,-0.00081613-0.00021575i,-0.0010499+0.00034181i,-0.00086252+0.00052886i,-0.0004659+0.00053283i,0.0002875+0.00037834i
0.0011812-0.00062852i,0.00073895-0.00055527i,0.0017041+0.00017437i,0.0026843-0.00027849i,0.0022215-0.00012521i,0.0015537+0.00037559i,0.00036359+0.0016188i,0.00057873+0.001789i,0.0021057+0.00023813i,0.0025812-0.0010313i,0.0014198-0.0011987i,0.00060763-0.0011796i,0.00053639-0.0010588i,-0.00017196-0.00086139i,-0.00051153-0.00035371i,-0.00023684-6.8729e-05i,0.00021042-0.00075589i,0.00015384-0.0013031i,-0.00053307-0.00046182i,-0.00076031+0.00082978i,-0.00046642+0.00055997i,-0.00043272-7.6202e-05i,-0.00042933-0.00079205i
-0.00087886+0.0010218i,-0.00084104+0.0016928i,-0.0018152+0.0028539i,-0.0010443+0.0038075i,0.00053179+0.0040808i,0.0011058+0.003493i,0.0010034+0.0021605i,0.0012303+0.0011236i,0.0018555+0.00097093i,0.0016185+0.00056714i,0.0011972-0.00010601i,0.00081488-0.00054269i,0.00013282-0.00066969i,-0.00063826-0.0009475i,-0.00036535-0.0017131i,0.00064958-0.001798i,0.00035025-0.0010847i,-0.00031087-0.00063796i,-0.00026872-9.4055e-05i,-0.00050765+0.00093784i,-0.00097045+0.001201i,-0.00091349+0.00048372i,-0.00066544-0.00042747i
0.00044633+0.00032558i,0.0003807+0.00066542i,0.0010785+0.00058469i,0.0011221+0.0014422i,0.00021028+0.00086963i,-0.00077065+0.00035135i,-0.0002595+0.001415i,0.0006621+0.0011657i,0.0015135-0.00016223i,0.0014172-0.00061367i,-0.00031695-0.0004081i,-0.0013159-0.00087209i,-0.0013557-0.00057356i,-0.00099958-9.4007e-05i,-0.00057716-0.00063053i,-0.00094471-0.00031797i,-0.0010211+0.00012386i,-0.00036653+0.00014033i,-0.00082048-0.0001056i,-0.00061602+6.0639e-05i,-0.00040781+0.00091189i,-0.00079357+0.0013076i,-0.0003237+0.0012877i
0.00062617+0.0014551i,0.0012595+0.001378i,0.002029+0.0017437i,0.0032407+0.0018684i,0.0034945+0.0015953i,0.0024759+0.0010328i,0.0013224+0.0010967i,0.00090953+0.00074535i,0.000996-0.00032219i,0.0010987-0.0015456i,0.0013802-0.0018863i,0.00095259-0.00087614i,6.2063e-05-0.00070383i,-0.00019077-0.00070885i,-1.1798e-05-0.00024423i,-1.7521e-05+0.00082722i,-0.00066288+0.00081931i,-0.0013073-0.00012966i,-0.001191-0.00051133i,-0.00056177-0.00015134i,-0.00048507+0.00013521i,-0.00058693+0.00029939i,-0.00017594+0.00080396i
-0.0013437-0.00022919i,-0.0010479-0.00012948i,-0.00027887+0.00070798i,-3.176e-06+0.0020042i,0.00035909+0.0024256i,0.00091908+0.0021218i,0.0016077+0.0014369i,0.0019525+0.0012793i,0.0012595+0.0014397i,-7.5908e-05+0.0012085i,-0.00027033+0.00046905i,0.00012558-6.7129e-05i,4.3825e-05-0.00036539i,0.00017417-0.00051105i,0.00053381-0.00046659i,0.00081714-0.00058144i,0.00041205-0.0013312i,6.6495e-05-0.0015781i,-8.5028e-05-0.00083149i,-0.00058269-0.00087269i,-0.00074614-0.00055483i,-0.00020208-0.00029034i,0.00032672-0.00031448i
-0.00012414-3.6144e-05i,-3.9811e-05-0.00025194i,0.00049237+0.00037581i,0.0012869+0.0008397i,0.0013232+0.00070126i,0.00060744+0.00050654i,0.00051996+0.0010959i,0.0013152+0.00059753i,0.0018663-0.00031551i,0.0017696-0.00024084i,0.00090587+0.00022359i,-0.00014867+0.00077539i,-0.00058262-1.2413e-05i,-0.00037806-0.0011946i,9.3241e-05-0.0012628i,0.00024121-0.0012793i,0.00011332-0.00094688i,-0.0002327+9.8826e-05i,-0.00074666+0.0006766i,-2.0483e-05+0.00038305i,0.00010499-0.00040271i,-0.0010299-0.00039099i,-0.00067518-0.00038422i
-0.0012412-0.00031562i,-0.0019498+0.0010073i,-0.0014076+0.0021775i,0.00026081+0.0029266i,0.0016278+0.0029252i,0.0014793+0.002487i,0.0012664+0.0019756i,0.0012421+0.0014307i,0.0019003+0.00098925i,0.0017933+0.00048729i,0.00077464-0.00031011i,0.00012271-0.00078466i,9.0096e-05-0.00089855i,-0.00029627-0.0009763i,-0.0011596-0.0017829i,-0.00088833-0.0023053i,-0.00012768-0.0014909i,-0.00042003-0.00091857i,-0.00052292-0.00028396i,-6.27e-05+0.00071073i,-5.2924e-05+0.00045652i,-0.00074294+0.00011646i,-0.00018084-3.0827e-05i
-6.5948e-05+0.0026394i,0.00061383+0.0016076i,0.0014233+0.0013055i,0.0024962+0.0015218i,0.003552+0.0010996i,0.002468+0.00026187i,0.00075174+0.00030447i,0.0012158+0.00062983i,0.001975+8.6897e-05i,0.0018708-0.00080119i,0.0012882-0.0010215i,0.00036104-0.0003564i,-0.00053564-2.6752e-05i,-3.7687e-05-0.00012305i,0.00031257+0.00013956i,3.6616e-05-0.00021783i,0.00030049-0.00095258i,4.1203e-05-0.0014488i,-0.0002141-0.00099725i,-0.00011625+0.00011809i,-0.00065665+0.00088314i,-0.00029805+0.00033257i,0.00023013-0.00017531i
-0.0018278-0.0001059i,-0.0020428+0.00038877i,-0.0018261+0.0014571i,-0.00084502+0.0033643i,0.00030239+0.004324i,0.00065931+0.003469i,0.00098222+0.0018242i,0.0015246+0.00020499i,0.0018237-0.001046i,0.0019149-0.0020175i,0.0017717-0.0015602i,0.001406-0.0010342i,0.0011313-0.00088982i,-0.00016766-0.00061855i,-0.0010435-0.00028407i,-0.00034572-0.00015846i,-0.00023173+0.0003347i,-0.00090265+0.000858i,-0.00066536+0.00032989i,-0.00041022-0.00041758i,-0.00012209-0.00012656i,0.00042881+2.8373e-05i,0.0004082-0.00032261i
0.00023164+0.00071071i,0.00029198+0.00044957i,0.0016039+0.00043469i,0.0029611+0.00045575i,0.0028963-0.00033481i,0.0020262+0.00026304i,0.0013825+0.0019107i,0.0014932+0.0019193i,0.0019128+2.5973e-05i,0.0015877-0.0017534i,-0.00024713-0.0011865i,-0.00049901-0.00012456i,0.00061605-7.0759e-05i,0.00082637-0.00020561i,0.00031304+0.00025368i,-0.00035135-0.00041217i,-0.00044327-0.0012189i,-0.00010669-0.00078596i,-0.00051636+0.00011058i,-0.00058964-9.1755e-05i,-0.00045492-0.0004506i,6.8238e-05-0.0001693i,0.00050334-0.00025198i
-5.5879e-05+0.00032733i,-0.0022936+0.0011523i,-0.0019221+0.0012652i,-0.00025367+0.0027285i,0.00059586+0.0038821i,0.00040569+0.0036223i,0.00051527+0.002167i,0.00080905+0.0011985i,0.0010219+0.00091535i,0.00072647+0.00015062i,0.00019218-0.00039099i,0.00027313-6.907e-05i,0.00070627-0.00013728i,0.00097237-0.00042734i,0.00083191-0.00059057i,0.00046611-0.0007697i,7.4101e-05-0.0011374i,-8.8741e-05-0.0013737i,-0.00078394-0.00094011i,-0.0011641-0.000359i,-0.00085899+0.0001489i,-0.00081078+0.00020429i,-0.0004328-0.00028435i
0.00012391-0.0013128i,-0.0010478-0.00080147i,-0.00058821-0.00083715i,0.00033845-0.0010665i,0.00089864-0.0017115i,0.00084305-0.00075529i,0.0012899+0.00051804i,0.0027245+0.0002035i,0.0035068+0.00028981i,0.0022236+0.00049333i,0.00034547+0.0005456i,-0.00066327+0.00097157i,-0.00035566+0.00077221i,0.00027198+0.00024593i,0.00024843-0.000102i,0.00026804-0.00098112i,0.0001373-0.0012147i,-5.9816e-05-0.00063206i,0.0006118-1.4503e-05i,0.00063606+0.00079431i,0.00018326+0.001108i,-0.00012224+0.00084415i,-0.00028425+0.00011384i
-0.00043764+0.00011913i,0.00038709+0.00069401i,0.0006529+0.0015387i,0.00028461+0.0035461i,0.00074181+0.0041821i,0.00080469+0.002808i,0.0003191+0.0017499i,0.0012312+0.001052i,0.0018777-0.00021518i,0.0018258-0.00088046i,0.0013827-0.00065642i,0.00048873-0.00071264i,-7.2201e-05-0.00047206i,-0.00026062-0.00038762i,-0.00056345-0.00064664i,-0.00092922-0.00066717i,-0.0011547-0.0004135i,-0.0016577-0.00052131i,-0.0014462-0.00060341i,-0.00055204-0.00065968i,-7.9245e-05-0.00048468i,0.00030216-9.2904e-05i,0.00042273-0.00041407i
0.00094196-0.00012546i,1.2424e-05+0.00067314i,-0.00031198+0.0021024i,0.0017931+0.0024765i,0.0027686+0.0019198i,0.0010488+0.0019864i,-0.00041111+0.0020232i,-3.3047e-05+0.0012947i,0.00093491+0.00014157i,0.0021315-0.0010347i,0.0015781-0.0010688i,0.00012622-0.00042405i,-0.0004118-0.00018918i,-0.00031994+0.00028757i,-0.00020381+9.4676e-05i,-0.00038852-0.00025989i,-0.00087896-0.00090912i,-0.00079571-0.0013691i,-0.00072369-0.00067695i,-0.00063242-0.0011211i,-0.00058124-0.0010757i,-0.00096031+0.00029469i,-0.0008629+0.0013328i
0.0014002+0.00025751i,5.2887e-05-0.0003157i,-0.00035518-0.00039709i,0.00023535+0.00064422i,0.00098738+0.0011723i,0.00080361+0.0014026i,0.00021778+0.0017253i,0.00051277+0.00048974i,0.0012755-0.0012781i,0.00044109-0.0023225i,-0.00048804-0.0018174i,-0.00059439-0.0014048i,-6.1502e-05-0.00097191i,-2.763e-05-0.00065741i,-0.00028981-0.001089i,0.00027064-0.00082651i,0.00026225-0.00045539i,-0.00025224-0.00085526i,2.2246e-06-0.00091494i,0.00027706-7.5095e-05i,-0.00015062-7.3232e-05i,-0.00027873+3.5155e-05i,-0.00038516+0.00017356i
-0.00077072-0.0011931i,0.00038597-0.00018012i,0.001351+0.0011145i,0.0013991+0.0016105i,0.0017214+0.0016745i,0.0019558+0.0013636i,0.0016774+0.0013869i,0.0018158+0.0013361i,0.0012618+0.00016058i,7.8185e-06-0.00096233i,-6.2275e-05-0.0010723i,0.00089388-0.00078626i,0.00049456-0.00012331i,0.00041283-0.00042656i,0.0009948-0.0011389i,0.00067356-0.0013613i,0.0001956-0.0010736i,-0.00043282-0.0002858i,-0.00064743+0.00047552i,0.00030206+0.00040586i,0.0010671+0.00030033i,0.00078069+0.00070798i,0.00030491+0.00081107i
-0.0001017-0.00011303i,0.00015282-0.00015626i,0.00012605+0.0001419i,0.0012267+0.0011081i,0.0017887+0.0012719i,0.00030979+0.00085514i,-0.00058034+0.00067377i,0.00084978+0.00077471i,0.0022998+0.00045774i,0.0019258-0.00029956i,0.00096872-0.00059981i,0.00031324+0.00024845i,7.6822e-06+0.00076686i,9.3353e-05-0.0003683i,0.00054941-0.0015631i,0.00083048-0.0014173i,-9.5065e-05-0.00088132i,-0.00063312-0.00016401i,-5.965e-05+0.00055722i,0.00019027-2.0481e-05i,3.4928e-05-0.00036195i,-0.00044722+0.00011904i,-0.00026163+0.00073649i
-0.00015678+0.00057312i,-0.00033292+0.00085744i,0.00063318+0.0020249i,0.0021478+0.0021747i,0.0021479+0.000902i,0.00037374+0.00049105i,-3.5342e-05+0.0015547i,0.00059836+0.0016952i,0.001569+0.00078896i,0.0026229+0.00022228i,0.002426+0.00058859i,0.001592+0.00047873i,0.0011654-0.00085313i,0.0011043-0.00088986i,0.00084953-0.00022871i,0.00024356-0.00070078i,-0.00078143-0.00081028i,-0.0012177-0.00054893i,-0.00048716-0.00073657i,-0.00024236-0.0004011i,0.0001359+0.00013426i,0.00061241+2.3662e-05i,0.00076328-0.00037601i
0.00048872+0.0014295i,0.000745+0.0014312i,0.0026525+0.0019395i,0.003236+0.0021313i,0.0024365+0.0019242i,0.0012703+0.0012359i,0.00032099+0.0014695i,0.00085046+0.0015631i,0.0021576+0.00021537i,0.0029309-0.0010083i,0.002136-0.0019668i,0.00099091-0.0013559i,7.5073e-05+0.00040584i,-0.000259+0.00052487i,-0.00025397-0.00015097i,-0.00035732+0.0001012i,-0.00067176+0.00018989i,-0.00094165-0.00028988i,-0.0014066-0.00036042i,-0.0012781-0.00028348i,-0.00092598-0.00059085i,-0.0010889-0.0005174i,-0.00090761+2.7619e-05i
0.0012839+0.0017968i,0.0012863+0.00057204i,0.0012444+0.00071752i,0.00095679+0.0013546i,0.0013531+0.00095137i,0.0019143+0.00047462i,0.0018729+0.0010947i,0.0011438+0.0013869i,0.00079256-0.00018889i,0.0012394-0.0023224i,0.00088326-0.0028295i,-0.00061627-0.001101i,-0.0017117+0.00035841i,-0.0010502+0.00072462i,0.00017805+0.00021414i,0.00028739+0.00024831i,0.00053254+0.00094037i,0.00027131+0.00090528i,-0.00059098+0.00059499i,-0.00097274+0.00037001i,-0.00037344+0.00084715i,0.00048468+0.00063818i,0.00014022-0.00039934i
-0.00021469+0.00070034i,0.00031676+0.00060833i,0.00039905+0.0015424i,0.00060093+0.0026632i,0.001148+0.0022572i,0.0017046+0.00093283i,0.0014945+0.00046509i,0.0012492+0.00056297i,0.0011071+0.00051362i,0.00021901-0.00032519i,-0.00032781-0.00072381i,-0.00036949-0.00064941i,-0.00057532-0.00051525i,-0.00070938-0.00017863i,-0.00014172-0.00016022i,0.00050643-0.00080816i,0.0008857-0.001101i,0.0007828-0.00068293i,0.00028244-0.00018134i,-0.00010624+0.0002416i,7.4163e-05+0.00069023i,0.00038371+0.00066532i,1.8493e-05+0.00028803i
0.00017266-0.0012394i,-8.1076e-05-0.00069439i,-0.00089504+0.0010156i,9.3156e-05+0.0024511i,0.0012547+0.002022i,0.0010539+0.0012742i,0.00049455+0.0012222i,0.0007593+0.0011342i,0.00090461+0.00054757i,0.00036156+0.00013335i,-0.00088488-0.00031376i,-0.00058666-8.489e-05i,0.00024881+0.00063462i,0.00049223+0.00021601i,0.00075987-0.00074022i,-5.3207e-07-0.0012515i,-0.00072134-0.0014611i,6.5201e-06-0.0011023i,0.0010985-0.00062625i,0.0011659-0.00047184i,0.00092935+5.7622e-06i,0.00069325-0.00030722i,0.00061114-0.0005403i
-0.0017081-0.00041381i,-0.0014929+0.0001085i,-0.0011624+0.0012715i,-0.0001662+0.0020371i,0.0013128+0.0022694i,0.0020219+0.0017702i,0.0018869+0.0013679i,0.0013567+0.00070688i,0.0017931+3.5891e-05i,0.0021736+0.0010787i,0.0017215+0.0020447i,0.00080293+0.0016272i,0.00063989+0.00088218i,0.0010511-0.00033363i,0.0010428-0.0012474i,0.00052981-0.0011799i,-0.00082979-0.0010013i,-0.0016427-0.0012223i,-0.0014948-0.0017513i,-0.0011164-0.0013116i,-0.00064451-0.00073319i,-0.00035113-0.0010003i,-5.932e-05-0.00082588i
-0.0021113+0.00040852i,-0.002471+0.0016424i,-0.0014548+0.0033722i,0.0010466+0.0036409i,0.0025085+0.0024264i,0.0020193+0.0017736i,0.0016686+0.0011958i,0.001306+0.00058372i,0.001691+5.7576e-05i,0.0034166-0.00031647i,0.0028042-0.00025016i,0.00079834-0.00045529i,-0.00012094-0.00057258i,-0.00016016-0.0008173i,-0.00045021-0.0010198i,-0.0013236-0.00084522i,-0.0017234-0.0002168i,-0.0014108+0.0010366i,-0.001315+0.0016481i,-0.001269+0.0008695i,-0.0008828-0.00045462i,-0.00088228-0.0005621i,-0.00092337-0.00016901i
0.00092601+0.00020091i,0.00085238-0.00077738i,0.0010247-0.0014553i,0.0012811-0.0011456i,0.00014239-0.0010207i,-0.00074176+0.00052012i,-7.0303e-06+0.001722i,0.00068988+0.0010159i,0.0013469-0.00078023i,0.0016924-0.0028812i,0.001621-0.0034465i,0.00095054-0.0022532i,-0.00022734-0.00044024i,-0.0007846+0.00041196i,1.1157e-05-0.00067858i,0.00055155-0.00095604i,4.6751e-05+4.6697e-05i,-0.00095359-0.00018776i,-0.0015261-0.00023154i,-0.00070127+0.00088609i,0.00027355+0.0014417i,0.00068689+0.00087192i,0.00042098+6.0089e-05i
0.0011741+0.00019447i,0.00093961+0.001188i,0.0016256+0.0017782i,0.0021983+0.0027254i,0.00091369+0.0026208i,-2.8376e-05+0.0015436i,-7.458e-06+0.00126i,0.00077894+0.0016538i,0.0017767+0.00071639i,0.0010212-0.0014649i,-0.00044789-0.0018705i,-0.00053602-0.0014406i,0.00041761-0.00096847i,-4.7432e-05+0.0001523i,-0.00073665+0.00074225i,-0.00070088-5.3934e-05i,-0.00065243-0.00077325i,-0.00037641-0.00075104i,0.00059171-0.00027731i,0.00074454+0.00063576i,0.00039205+0.00057098i,-0.00039546-0.00035371i,-0.0006225+0.00012777i
-0.00053056+0.0017234i,-0.00089328+0.0020708i,-0.00036623+0.0023234i,0.0016548+0.0025951i,0.003007+0.0030073i,0.0017014+0.0026869i,0.00099777+0.0020549i,0.0022305+0.0014218i,0.0026633+0.00087056i,0.0017741+0.00057016i,-0.00010553-0.00012093i,-0.001107-7.4158e-05i,-0.00090221+0.00055437i,-3.1465e-05+0.00024143i,0.0007778-0.0010911i,0.0002164-0.0020969i,-0.00051266-0.0023879i,-0.00031075-0.0027228i,-4.0872e-05-0.0021711i,0.00038365-0.0011924i,0.00073956-0.00074507i,0.00076515-0.00037182i,0.0005166-0.00029422i
0.00042551-0.00075235i,0.00037565-0.00039724i,0.00042628+0.00031181i,0.0002237+0.00097793i,-7.7047e-05+0.0010951i,-0.00048118+0.00083526i,-0.00022469+0.0004186i,0.00079789-0.00022117i,0.0025438-0.00046501i,0.0015791+0.00044017i,-6.8437e-05+0.0009744i,-0.00050132+0.0013698i,-0.00012995+0.0014707i,0.00019464+0.00038938i,-0.00034735-0.00062767i,-0.00051595-0.0011279i,-0.00074099-0.00096555i,-0.00088716-0.00041721i,-0.00043156-0.00066636i,-0.00051825-0.0012094i,-0.00056655-0.00057941i,-0.00094084-0.00066786i,-0.0010977-0.00088439i
0.00050638+0.00074722i,0.0011703+0.00091791i,0.00064377+0.0011773i,0.0014491+0.002235i,0.0020875+0.0028019i,0.0015763+0.0022467i,0.00073207+0.0011835i,0.00089428+0.00017906i,0.0022312-0.00022031i,0.0029392+0.00036099i,0.002898+0.001022i,0.0021534+0.0011843i,0.0012404+0.00058899i,0.00040238-0.00034636i,-0.00030583-0.00081825i,-0.00052972-0.00045676i,-0.00020723+0.0004489i,-0.00052789+0.00093969i,-0.001837+0.00086535i,-0.0016809+0.00019709i,-0.0010844-0.0001508i,-0.0011241-0.00029499i,-0.00035918-0.00041266i
0.00094262+0.00029233i,0.0011041-0.00025736i,0.001457+0.0007519i,0.00066772+0.0018698i,-0.00074253+0.0020855i,-0.0010092+0.0013543i,-0.00059949+0.00096183i,0.00052686+0.00034146i,0.0016649-0.0015216i,0.0021295-0.0027308i,0.002219-0.0025389i,0.0019805-0.0020563i,0.0012407-0.0010075i,0.00079648-0.00017248i,0.0004544-0.00021084i,-0.00051572-0.0006004i,-0.00073601-0.0010473i,-0.00023622-0.00040944i,-0.00052817+0.00038091i,-0.00095181+0.00087411i,-0.00019897+0.0014714i,0.00060107+0.0009901i,0.00033926-0.00015237i
0.0011478+0.0013459i,0.0017388+0.00037908i,0.002608+0.0005322i,0.003727+0.00099676i,0.0039473+0.0011712i,0.002766+0.0010904i,0.0017979+0.0012246i,0.0018375+0.0016146i,0.0011658+0.00074911i,0.0002145-0.00083202i,-1.9641e-05-0.0025184i,-0.00032741-0.0027827i,-0.00080634-0.001865i,-0.00072271-0.0015958i,-1.2411e-05-0.00054487i,0.00066164-0.00016925i,0.00051736-0.0014376i,0.00013689-0.0013435i,0.00043299-0.0003356i,0.00023127-0.00029298i,0.00041513-0.00048869i,0.00089233+1.1016e-05i,0.00093085+0.00027162i
-0.00065269+0.0012202i,9.8976e-05+0.0011897i,0.00061374+0.0017042i,0.0011399+0.0027166i,0.00034447+0.0038506i,0.00018204+0.0032167i,0.0012396+0.0018817i,0.0020716+0.0024286i,0.0011335+0.0020205i,-0.00051912-0.00030305i,-0.001415-0.0016286i,-0.0012809-0.00094737i,-0.00093189+0.00011562i,-0.00010971-0.00040671i,0.0011707-0.00162i,0.0010891-0.0019715i,0.0003874-0.0012605i,-0.00023772-0.0011414i,-0.00045104-0.0012129i,0.00016845-0.00043431i,0.00035263+0.00040663i,-5.9125e-06+0.00030373i,-0.00034075+0.00027334i
0.00032092+0.0007518i,0.0010305+0.00095512i,0.00025166+0.0010382i,0.0013127+0.0014115i,0.0030331+0.0013785i,0.0024348+0.00026961i,0.0022078-9.2832e-05i,0.0023687-0.00020595i,0.0023157-0.0006204i,0.0013773-0.00037191i,-0.0004336+0.00055911i,-0.0011029+0.0011014i,-0.00050399+0.0011638i,-0.00051933+0.00040432i,-0.00055848-0.00069003i,-0.00020069-0.00084857i,-0.00045861-0.00068833i,-0.0014696-0.00065867i,-0.0022686-0.00081419i,-0.0014079-0.00040801i,-0.00018826+0.00026161i,2.2213e-05+0.000247i,-1.4657e-05+0.0001394i
-2.5712e-05-0.00017717i,-0.00019077+0.00038956i,0.00098429+0.0012188i,0.0017031+0.0019778i,0.0014178+0.0015681i,0.00075512+0.0018199i,4.4775e-05+0.0017718i,0.00016861+0.00051653i,0.0013053+0.00013236i,0.0026259+0.0012888i,0.0023605+0.0028876i,0.0016332+0.0026315i,0.001162+0.00069877i,0.00095099-0.00036947i,0.00050215-0.00070902i,4.2128e-05-0.0012521i,8.3742e-05-0.00112i,0.00057428-3.0348e-05i,-0.00014794+0.00054035i,-0.00062771+0.0012315i,-0.00028991+0.0013873i,0.00019753+0.00059994i,0.00010446+0.00061555i
0.0015063-0.0011947i,-0.00049941-0.0011529i,-0.0011304-0.00063669i,-0.0005173+0.00047267i,-0.00065073+0.0012211i,-0.00070218+0.0026119i,-0.00053561+0.0030494i,-0.0003553+0.0016958i,0.00085149+0.00041362i,0.0029483-0.00039279i,0.0040436-0.00020518i,0.0037719-3.4275e-06i,0.0028514-1.7315e-05i,0.0012931+0.00019592i,-0.0001552+0.00059349i,-0.00075944+0.00025599i,-2.0187e-05-0.00020876i,0.00092858+0.00023806i,0.001342+0.00059656i,0.0011639+0.0010916i,1.6936e-05+0.0020629i,-0.00097899+0.0020957i,-0.00081653+0.0010485i
0.00014524-0.0002485i,0.00014148+0.00031933i,0.001256+0.0012059i,0.0023108+0.0019036i,0.0019833+0.0030212i,0.0014448+0.0036544i,0.0017156+0.0035619i,0.001933+0.0023559i,0.001865-0.00018412i,0.0025554-0.0023581i,0.0025451-0.0033336i,0.0015602-0.0025666i,0.0003495-0.0013457i,2.4719e-05-0.0010021i,0.00094806-0.00048333i,0.00102-0.00056678i,0.00085631-0.0015829i,0.00099545-0.0021633i,0.00094772-0.0019238i,0.00037638-0.001163i,-9.0857e-05-0.00041249i,0.0002751-0.00068454i,0.00055619-0.00094911i
-0.0017219-0.00056772i,-0.0021382+0.00076599i,-0.0016689+0.0017079i,-0.00083521+0.0020874i,0.00040973+0.0016032i,0.0022638+0.00077032i,0.0022728+0.0013266i,0.001837+0.0016989i,0.0015125+0.00047027i,-0.00014839-0.0016776i,-0.00070162-0.0034055i,-0.00038323-0.0030025i,-0.00061255-0.0015265i,4.3788e-05-0.00088264i,0.00098923-0.00042705i,0.00023573+0.0003868i,-0.0011646-0.00021694i,-0.0015722-0.0010914i,-0.0010668-0.00093851i,-0.00064753-0.00022694i,-0.00077537+0.0005176i,-0.0005865+0.00025441i,-0.00012298-0.00053845i
