-0.0045691-0.00059405i,-0.0050556-8.012e-05i,-0.0046594+0.0017855i,-0.0021216+0.0019075i,-0.00018794+0.0028596i,6.8521e-05+0.003608i,-0.0002996+0.0027979i,-2.1115e-05+0.0018325i,0.00054883+0.0012121i,0.00042359+0.00030959i,0.0010342-1.4361e-05i,0.00098273-0.0010922i,-0.00015615-0.0022095i,-0.0013226-0.0013164i,-0.0020316-0.00095355i,-0.0011193-0.0016152i,0.000202-0.0017168i,0.00057029-0.001305i,0.00034394-0.00033512i,0.00013288+0.0001732i,0.00084742-0.00020361i,0.00091166-0.0011023i,0.00018365-0.0016745i
0.0010331-0.0008548i,0.0012194-0.0020191i,0.0010621-0.0029578i,0.00032599-0.0023838i,0.00085275-0.0018482i,0.00080192-0.0013249i,-3.1699e-05-0.00081581i,-0.00040289+5.3874e-05i,-0.00037405+0.00019707i,-5.6842e-06-0.00058304i,-0.00039313-0.00064607i,-0.00062239-3.835e-05i,0.00071622+0.00026389i,0.0017334-0.00052102i,0.0020125-0.0012201i,0.0011014-0.00038029i,-0.0002553-5.9928e-05i,-0.00053225-0.00026304i,-6.2528e-06-0.00030363i,0.00042452-0.00051226i,0.00018596-0.00048553i,0.00038977-0.00040487i,0.00076227-0.00028629i
-0.00015915-0.0024858i,-0.0015568-0.00084774i,-0.0015175+0.0015127i,-0.0012457+0.00293i,-0.00075914+0.0028441i,-0.00050176+0.0021994i,-0.00057913+0.0020039i,-0.00068747+0.0017325i,-0.0011963+0.00064745i,-0.00098865-7.079e-05i,-8.0809e-05-0.00035734i,0.00018221-0.00034235i,9.1593e-05-4.1005e-05i,9.559e-05-2.5821e-05i,0.0004211-3.2857e-05i,0.00039605+0.00034364i,0.00084458+0.00034887i,0.00058845-0.0006171i,1.2194e-05-0.00057296i,-0.00024419+0.00022586i,0.00024908+0.00017871i,0.00072434+0.00057795i,0.00028168+0.0004398i
-0.0013593-0.0021505i,-0.0011502-0.0031396i,-0.0015958-0.003274i,-0.00067278-0.0028325i,0.0011508-0.0020942i,0.0018347-0.0015973i,0.00085841-0.0012611i,5.1386e-05-0.00094663i,0.00032471-0.00076116i,0.00032975-0.00062218i,0.00028583-0.00070691i,0.00026941-0.00061197i,-0.00043441-0.00069236i,-0.0012576-0.00081718i,-0.00093229-0.0007082i,-0.00020405-0.00012443i,-0.0001037+0.00074508i,0.00026155+0.0012834i,0.00036383+0.0010026i,0.00041186+0.00052446i,0.00011414+0.00023134i,-9.4066e-06+0.00013063i,-0.00043944+0.00013385i
1.5597e-05+0.00098786i,0.00092593+0.0019864i,0.00070761+0.0032134i,4.3658e-05+0.0033629i,-0.00071702+0.0019244i,-0.0019163+0.00087931i,-0.0017365+0.000883i,-0.00049599+0.0012i,-0.00072115+0.00044174i,-0.00073541-0.00054876i,-0.00048161-0.00096324i,-0.00057053-0.0013762i,9.913e-05-0.00021288i,0.00043738+0.00055345i,0.00042461+0.00019857i,0.00062512+0.00068414i,8.6103e-05+0.0009234i,-0.00013562+0.00045621i,0.0003736+0.00018147i,8.5832e-05-0.00049575i,-0.00028962-0.00057737i,-5.8913e-05+0.0012078i,0.00053384+0.0016645i
-2.2407e-05+0.00040075i,-0.0002408-0.00078165i,-0.0015426-0.0010618i,-0.0022146-0.0010835i,-0.00089383-0.00092629i,-0.00055953-0.0011704i,-0.0006562-0.0013055i,-0.00050788+0.00014985i,-0.00016981+0.00065933i,0.00037723-0.00028071i,2.3883e-05-0.00053848i,-0.00063397-0.00063544i,-0.00078142+0.00026586i,-0.00090868+0.00079633i,-0.00053837-0.0002592i,-2.0104e-05-0.00029425i,-0.0003547-0.00025597i,-0.00073906-0.00031301i,-0.00018721-9.0822e-05i,0.0001322+4.0132e-05i,0.00027446-0.00042472i,0.0004177-0.00021772i,0.00032846+0.00014885i
0.0010647-0.00060831i,0.00096485-0.00086889i,0.0017442-0.00091008i,0.0016896-0.00032873i,0.00015944-0.00022088i,-0.0013935+0.00067137i,-0.0020413+0.001058i,-0.0011524+0.00043925i,-0.00027145-0.00033378i,-0.00013245-0.00067601i,0.00017735-0.0005772i,0.00053184-0.00070474i,0.0010064-0.00021029i,0.00083299+0.00067904i,0.00019313+0.00020959i,0.00020823-0.0004245i,-0.00044137-0.00037971i,-0.0007936-0.00061012i,-0.0002622-0.00070189i,0.00026649-7.4807e-05i,0.00057675+0.0009722i,0.00039739+0.0013353i,3.5279e-05+0.00085804i
-0.00071293-0.0016873i,0.00020346-0.0015132i,-0.0012076-0.00070096i,-0.0028955+0.00079188i,-0.0027339+0.0016463i,-0.0028628+0.0014576i,-0.0023102+0.0014474i,-0.0012494+0.0010358i,-0.0012389+0.00088397i,-0.0010013+0.0011168i,-0.00026253+0.00090092i,0.00032239+0.00048644i,0.00088252+0.00022081i,0.00075504-6.9854e-06i,0.00034795-0.00055099i,1.3951e-05-0.00081519i,-0.00038266-0.00072825i,-0.0004755-0.000287i,-0.00044145+0.00015889i,6.8542e-05-7.2729e-05i,0.00022266-0.00028343i,-4.4194e-05+2.2153e-05i,9.8514e-05+0.00021134i
0.0021344-0.00079687i,0.0023544-0.0020489i,0.00079555-0.0026063i,-5.3742e-05-0.0019207i,-2.4821e-05-0.00084695i,0.00016797+0.00043761i,6.4012e-05+0.00092089i,0.0006062+0.00044684i,0.0010323+0.00023228i,-2.3209e-05-0.00060307i,-7.0629e-05-0.0012166i,0.0014302-0.00041759i,0.0022969+8.033e-05i,0.001127-0.00017664i,-0.000284+0.0002159i,-0.00091712+0.00041378i,-0.0012646+0.00033712i,-0.001107+0.00040213i,-0.0002784+0.001393i,0.00038685+0.0021438i,-6.9875e-05+0.0013782i,0.00019179+0.00041581i,0.0001677+0.00017132i
-0.001387-0.00041109i,-0.0011173+0.00027308i,-0.00097753+0.0016704i,5.144e-05+0.0025227i,0.001319+0.0022308i,0.0010153+0.0010225i,0.00044706+0.00088419i,-2.5371e-05+0.0006938i,-0.00069739+0.0006778i,-0.00067822+0.00068136i,-0.00052978-0.00074089i,-0.00068791-0.00059025i,-0.0010906+0.00050231i,-0.001201+0.00018046i,-0.00065306-0.00012906i,0.00028981-0.00021879i,0.00057161+9.8357e-05i,0.00029965+0.00026084i,-0.00053665-0.00011153i,-0.0014263-0.0006508i,-0.00043405-0.00095163i,0.00026221+0.00015696i,-0.00014075+0.00015401i
0.00045355-0.00096205i,0.00079306-0.0029497i,-0.00012371-0.0022154i,-0.00024562-0.0011159i,0.00069655-0.00097303i,-0.00059023-0.0014832i,-0.0010255-0.0014975i,-0.00046776-0.00036221i,-0.00045795+0.00041281i,-0.00090262+0.00074074i,-0.00055577+0.00077672i,-0.00035764+0.00017619i,-0.00095756+5.9887e-05i,-0.00089531+0.00015237i,-4.0713e-05+0.00044359i,0.00046933+0.00069858i,0.00054988+0.00067114i,-7.136e-05+0.00044385i,-0.00068646+0.0002552i,-0.00075723-0.00034773i,-0.00054582-0.00049515i,2.1969e-05+0.00048771i,0.00073447+0.00089165i
-0.00012837-0.00047362i,-0.00016494-0.00064326i,-0.00016696-4.6584e-05i,-6.4988e-05+0.00076902i,0.00065951+0.00082492i,0.00051475+0.00023067i,8.2019e-06+0.00043037i,0.0001196+0.00075965i,0.00036258+0.00050659i,0.00024104+0.00034014i,4.3203e-05+0.00035273i,-0.00054076+0.00042611i,-0.00080646+0.00049405i,-0.00048053+0.00045563i,7.5206e-05-0.00023971i,-3.4947e-05-0.00070794i,-0.00039853-0.00040334i,-0.00030182+0.00032819i,0.0003661+0.00013307i,0.0012084-0.0003913i,0.0011985+6.254e-05i,0.00065198+0.0006525i,0.00013647+0.00092466i
-0.0012155-0.0033061i,-0.0020285-0.0042517i,-0.0034284-0.0043257i,-0.0019116-0.0016897i,-6.3766e-05+0.001165i,0.00066462+0.0015146i,0.00011568+0.0001688i,-0.00027981-0.0008128i,-0.00010189-0.00076522i,-3.2226e-05-0.00080513i,-3.9566e-05-0.00076226i,-1.3721e-05-0.00077658i,0.00062391+0.0002192i,0.00073125+0.0010358i,-0.00012202+0.00029765i,-0.00052408+0.00019306i,-8.5099e-05+9.5906e-05i,-0.00027129-0.00031094i,-0.000656+5.9037e-05i,-0.00017111+0.00085888i,0.00021045+0.00077143i,0.00042058+0.00018269i,0.00058098+0.00044669i
0.0012979-0.0016377i,0.0017226-0.00087367i,0.002026-0.00053154i,0.0011267-0.00020668i,-0.00058535+0.00042367i,-0.0012578+0.0012806i,-0.0007781+0.0014883i,-0.0002495+0.00019817i,-6.757e-06-0.0014926i,0.00014338-0.0019312i,-2.2792e-05-0.00063097i,-0.00034594+0.00029404i,-0.00015951-0.0004286i,0.00080495-0.00061676i,0.0010178+0.00037765i,0.0001526+0.00060776i,-0.00058518+0.00042977i,-0.00091908+0.00045024i,-5.8304e-05+0.00053755i,0.00049404+0.00012304i,0.00033198-0.00038498i,0.00019715-0.00018695i,0.00044471+0.00028194i
-0.0014629-0.0031834i,-0.0041011-0.0029707i,-0.0062956-0.0020799i,-0.0052995-0.00043834i,-0.0024146+0.00069279i,-0.00072306+0.00040177i,-0.00071654+7.0172e-05i,-0.0011265-0.00020408i,-0.00058781-0.00026116i,0.00024108-0.00061546i,-0.00022595-0.00038382i,-0.0011816-3.2393e-05i,-0.0010066-0.00045938i,0.00011887-0.00069666i,0.00078672-0.00068926i,0.00098998-0.00018766i,0.00086212+0.000291i,0.00068619-5.6435e-05i,-2.7292e-05-0.00063102i,-0.00053521-0.00076691i,-0.00043434-0.00052539i,-0.0002016-0.00046674i,-6.6635e-05-0.00027122i
-0.00076363-0.002129i,6.7008e-05-0.0010564i,0.0011131-2.516e-05i,0.0016485+0.001901i,0.0017195+0.0026676i,0.0014754+0.0014173i,0.00077637-0.00015345i,-0.00010869-0.00051731i,-0.00057209-0.00043753i,-0.00050383-0.00059404i,-0.00047161-0.00076452i,-0.00025598-0.00095504i,0.00024498-0.00077728i,0.000285-0.0005601i,0.00024419-0.0011442i,0.00081275-0.0010525i,0.0014981-0.00053364i,0.0013255-0.00071008i,4.7232e-05-0.00058089i,-0.00025137-0.00046629i,0.0001035+0.00038648i,-0.00046876+0.0011152i,-0.00029827+0.00058742i
-0.00056418-0.0017434i,-0.0016898-0.0021921i,-0.0034114-0.0018172i,-0.0032787-0.00086744i,-0.0011531-8.9006e-05i,-0.00034525+0.00014483i,-0.00051371+0.0005535i,-0.00030756+0.0006598i,-0.00026339-0.00062306i,-0.00047029-0.001059i,-0.000484+2.6794e-05i,-0.00032036+0.00076415i,0.00037233+0.00083552i,0.00089816+0.00096362i,0.0012399+0.00070482i,0.0019924+0.00066707i,0.0011618+0.00085731i,5.6067e-05+0.00042338i,4.6556e-05-0.00050501i,2.5129e-05-0.00089152i,0.00044337-0.00023025i,0.00020508+0.0002279i,0.00037039-0.00045738i
-0.00033495-0.0032712i,-0.00035339-0.0040511i,-0.00023182-0.0042008i,0.000488-0.0020713i,0.00079455+0.00035161i,8.0548e-05+0.00052125i,-0.0008354-0.00022704i,-0.0016092-0.00076125i,-0.0018281-0.0010922i,-0.00099549-0.00058207i,-0.00071271+5.1139e-05i,-0.00080979-0.00058542i,-0.00026316-0.00050903i,-0.00063947-4.602e-05i,-0.00034098-6.6511e-05i,0.00026837-0.00025319i,0.00028155-9.5959e-05i,0.00060261+0.00017707i,0.00099405+6.3051e-05i,0.00023982+0.00023519i,-0.00078469+0.00078156i,-0.00051734+0.00091789i,0.00021427+0.0010024i
0.0012333-0.0021441i,0.0011591-0.00081244i,-0.00055265+0.0012498i,-0.0012232+0.0035319i,-0.00072837+0.0027609i,-0.00073869+0.002216i,4.6899e-05+0.0025237i,0.00086044+0.0011387i,0.00020424-0.00082148i,-0.00060263-0.0017942i,-0.00017795-0.0016658i,0.00021624-0.0010287i,-3.1997e-05+6.5824e-05i,0.00069884+0.0002733i,0.0015034-0.00060126i,0.0014759-0.00022672i,0.00080999+0.0005582i,8.5321e-05+0.00056553i,-0.00026705+0.00032082i,0.00028146+0.0005041i,0.00070296+7.2782e-05i,0.00071383-0.00059284i,0.00084135-0.00027005i
-0.00073757-0.0026233i,-0.0014665-0.0036849i,-0.0014221-0.0040584i,-0.0011145-0.003056i,-0.0011359-0.0018121i,-0.00033162-0.0014408i,-2.197e-05-0.00069631i,-0.00066127+0.00042248i,-0.00086226+0.00065283i,-0.00078805-0.0002419i,-0.00061085-0.00080896i,-0.0002985-0.00058616i,-0.00016138-0.00034841i,-0.0003397+0.00022245i,-0.00017637+0.00095475i,-0.00016231+0.0012922i,-0.00030515+0.00060723i,-0.00011385-0.00020138i,0.00013883-0.00067344i,9.3044e-05-0.00026646i,-0.000107+0.00051465i,-0.00016584+0.00064765i,0.00031895+0.00019934i
0.001187-0.0021378i,0.0030243-0.0021741i,0.0036334-0.00050232i,0.0032896+0.0012462i,0.001958+0.0014428i,7.9198e-05+0.001034i,-0.00082001+0.00073231i,-0.00054728+0.00032328i,-0.00024264+4.7854e-05i,-0.00053132-6.0718e-05i,-0.0008291-0.00057718i,-0.00079401-0.00083533i,-0.0005257-0.0001679i,0.00053777+8.1412e-05i,0.00077369-0.00017783i,0.00029039-0.00034745i,0.00010824-2.2803e-05i,-5.8166e-05+0.00063688i,-0.00013501+0.00080045i,0.00028542+0.00075576i,0.00051529+0.00079736i,0.000275+0.00040605i,-0.00029443+0.00035829i
-0.0012364+0.00073289i,-0.0027727+0.00069775i,-0.0043612+0.0015692i,-0.0033499+0.0019662i,-0.0015214+0.00066367i,-0.00084075-0.0012157i,-0.0011803-0.0016803i,-0.0012031-0.001746i,-0.00036322-0.0012155i,8.8177e-05-3.8438e-05i,-4.2413e-05+0.00057084i,-0.00048564+0.00038084i,-0.0012811-1.6789e-05i,-0.0010992+0.00027766i,-0.00026369+0.00063775i,0.0003335+0.00055778i,0.00038218+0.000715i,-0.00031057+0.00015765i,-0.00052336+0.00098526i,-0.00012844+0.0022348i,0.00069865+0.0015475i,0.0016131+0.0007897i,0.0014236+0.00047304i
0.0010104-0.00085114i,0.0030242-0.0027515i,0.0050644-0.0028408i,0.004401-0.0023131i,0.0028957-0.0022755i,0.00074225-0.0018055i,-0.0006627-0.00027563i,-0.0010005+0.00016629i,-0.0003968-0.00044906i,0.00099647+6.4914e-05i,0.0013185+3.0628e-05i,0.0001476-0.00047346i,-0.00034388-8.7536e-06i,0.00040286+0.0013427i,0.00061107+0.00144i,0.00044007+0.00080438i,-0.00041799+0.00035492i,-0.00031635-0.00020818i,-4.9989e-05+5.4803e-05i,-5.0585e-05-0.00012012i,0.0002654+7.9847e-05i,0.00045024+0.001088i,0.00035296+0.001131i
0.0010334-0.0031666i,0.00027459-0.0024736i,-0.0017528+0.0011107i,-0.0033375+0.0037871i,-0.0028049+0.0028573i,-0.0015799+0.00038634i,-0.0011357-0.0004309i,-0.00087295+1.0384e-05i,-0.00072252+0.0006309i,-0.00036385+0.00073685i,0.0004733+8.5309e-05i,0.00040272-0.00083875i,-0.00038019-0.0014285i,-0.00058467-0.0011589i,-0.00078857-0.00048897i,-0.00032166-0.00075495i,-8.4674e-05-0.00021863i,-0.00060177+0.00084001i,-0.00043454+0.00054929i,-8.4168e-05+5.741e-05i,1.8144e-05+0.00013349i,-8.5577e-05-0.00057705i,0.00035764-0.0014716i
-0.0012994+0.00018984i,-0.0006646-0.0013671i,-1.6668e-05-0.0024752i,0.00049824-0.0024999i,0.0019138-0.0010905i,0.0023021-0.00012098i,0.0017741+0.00012864i,0.0013211+0.00024198i,3.0891e-06-0.00012243i,-0.00095416-5.0768e-05i,-0.00082474+0.00039868i,-0.0007414-1.1482e-05i,-0.00080924-0.00056139i,-0.00017302-0.00099466i,0.00043551-0.00065638i,8.6051e-05+0.0001929i,-2.5444e-06-1.4338e-05i,0.0002191-0.00015425i,0.0002277+0.00040644i,-0.00057988+0.00077248i,-0.0010223+0.00057395i,-0.00042691+0.00087689i,-0.00063114+0.00048456i
0.00068932-0.00093822i,0.0015207-0.0013961i,0.00083849-0.00070024i,0.0019304+0.00048045i,0.0020546+0.00058566i,0.00029182+4.8601e-05i,-0.00093407-0.00046518i,-0.00051756-0.00046153i,0.00016614-9.7377e-05i,-4.3754e-05-0.00024417i,0.00033402-0.00065441i,0.00077699-0.00041423i,0.0011984+0.00046576i,0.0012198+0.00091972i,0.00030896+0.00054592i,0.00027515-9.028e-05i,0.00045356-0.00020378i,4.7244e-05-0.00025791i,0.00026161-0.00058043i,0.00036795-0.00056001i,0.00033062-2.6751e-05i,8.9655e-05+0.00010386i,5.6781e-05-0.00047265i
-0.0014034-0.0020493i,-0.0030436-0.0026161i,-0.0053351-0.0013373i,-0.0064364+0.00077433i,-0.0046564+0.0011685i,-0.0014986+0.00060509i,-0.00031823-7.3628e-05i,-0.00049298-0.00028332i,-0.00070956-0.00069784i,-0.00086221-0.0009364i,-0.00016542-0.0011183i,0.00039879-0.00072361i,-5.5212e-05+8.8372e-05i,-0.00027565+0.00024676i,-0.00019911-5.8595e-05i,-0.0004085-6.1447e-05i,-0.00016777-0.00033988i,-0.00026458-0.00074981i,-0.00067919-0.0005614i,-0.00036314-0.00011318i,-0.00013807+0.00029683i,-0.00028292+0.00056545i,-0.00016684+0.00041111i
0.00022403+7.7134e-05i,0.0020275-0.00076186i,0.0049188+0.00061088i,0.0062132+0.0018819i,0.0049809+0.0014049i,0.0028159+0.00036681i,0.00035822+0.00036392i,-0.00048554+0.0011528i,-0.00011748+0.001417i,-0.00023582+0.00040454i,-0.00082434-0.00071212i,-0.0012489-0.001671i,-0.001433-0.00066368i,-0.0013458+0.00077905i,-0.00062041+0.0010691i,-0.00021467+0.0010661i,-0.00047998+7.1536e-05i,-0.0003501-0.00072691i,-0.00066196+0.00018534i,-0.0013881+0.0008743i,-0.00094923+4.2553e-05i,-0.00024278-0.0004117i,-0.00052623-0.00076223i
0.00055247-0.00060214i,-0.001666-0.0016548i,-0.0038431-0.0021344i,-0.0030469-0.001512i,-0.00074314-0.0010549i,-0.00036087-0.00041455i,-0.00076182+0.00029874i,-0.00044329+0.00023168i,-0.00025269+0.00030721i,-0.00086245+3.127e-05i,-0.00094704-0.00080243i,-0.00055496-0.00062643i,6.5403e-06+0.00013229i,0.00054154+0.00048614i,0.00074367+0.00028686i,0.00029888+0.00020747i,5.6736e-05+6.0702e-05i,0.00065815+0.00028657i,0.00042006+0.00087257i,-9.0449e-05+0.0010264i,-9.9233e-05+0.00084972i,0.00046921+0.0010524i,-2.0839e-05+0.0013248i
0.0018403-0.005281i,0.0020467-0.0052842i,-0.00022578-0.0049058i,-0.0023742-0.0035397i,-0.0018417-0.0012592i,-0.00021837-6.6141e-05i,0.00093134+5.3173e-06i,0.0010819-0.00032393i,0.00040888-0.00079651i,-0.00037165-0.00029771i,-0.00068158-3.6386e-05i,-0.00067159-0.00048353i,-0.00097535+6.9375e-05i,-8.7802e-05+0.0007954i,0.00038371+0.00012989i,0.00037394-0.0003018i,0.000267-0.0001904i,5.9497e-05-0.00067439i,0.0006382-0.00049466i,0.0001715-0.00027575i,-0.00045034-0.00030618i,0.00014385+0.00014658i,0.0010391+0.0001329i
-0.0010118-0.00024714i,-0.0014144-0.0003146i,-0.001403+0.0012224i,-0.0002709+0.0032443i,0.00027509+0.0028953i,-0.0007961+0.0017475i,-0.0012203+0.001024i,-0.00068385+0.0010806i,-0.00084887+0.0013283i,-0.00068796+0.00081487i,5.4766e-05+7.3469e-05i,0.00035119-0.00050466i,0.00072223-0.00048461i,0.0011154-0.00025813i,0.00018266+0.00022836i,-0.00079088+0.00085694i,-0.0002981+0.00032682i,6.4421e-05-0.00060732i,-0.00048024-0.000698i,-0.00069372+0.00012425i,-0.00025058+0.00034842i,1.0974e-06+0.00027493i,0.000533+0.00049707i
0.0015347-0.00080434i,0.0016129-0.0023002i,0.0024157-0.0019441i,0.0022821-0.0013653i,0.0019989-0.0011338i,0.0017079-0.00058665i,0.0011053-0.00015179i,0.0008836-0.00053038i,0.0010115-0.001307i,-9.4011e-05-0.0014065i,-0.00088164-0.00087114i,-0.00092623-0.00033187i,-0.00090258-0.00045657i,-0.00054983-0.00053282i,-0.00010412-0.00017239i,0.00036646+0.00027439i,0.00070885+0.00048158i,-8.6833e-05+0.00048994i,-0.0012234-0.00051127i,-0.0011404-0.0010342i,-0.00094572-0.00071509i,-0.00092378-0.00035705i,-0.00060848+0.00021056i
-0.0003878-0.00063001i,-0.00031228-0.001204i,-0.0013168-0.00025861i,-0.0015477-0.00037085i,-0.00054585-0.00077581i,-4.4985e-05-0.00049232i,-3.8869e-05+0.00028361i,-0.00010551+0.00025109i,-0.00052497-0.00074209i,-0.0010812-0.00060394i,-0.00025564+6.6479e-06i,0.00041442-9.5947e-05i,0.00030881-0.00020551i,0.00037605+0.00055063i,-5.3973e-05+0.00088457i,-0.00064477+0.00021585i,-0.00073571+4.7298e-05i,-0.00027204+0.00061939i,-0.00035321+0.00024179i,-0.00072763-0.00044262i,-0.00080396+8.9499e-06i,-0.00031161-0.00039497i,0.0002104-0.0010147i
-0.0017549-0.00091657i,-0.00088467-0.0027117i,-0.0011642-0.0024955i,-0.00072508-0.00043757i,0.00091052+0.00065887i,0.0016173+0.00032056i,0.00036227-0.00045178i,-0.00090601-0.00042851i,-0.00066288-0.00097226i,6.236e-05-0.00099224i,0.00025565+1.943e-05i,0.00049716+0.00060554i,-5.0222e-05+0.00047112i,-0.00065923-0.00019219i,-0.00030752-0.00058398i,-0.00028047-0.00019291i,0.00028426+8.9261e-05i,0.00034815+0.00027125i,-0.00058181+0.00013171i,-0.00065895-7.1194e-05i,-0.00021721+0.00071641i,-0.00034509+0.00090189i,-0.00026815+9.3426e-05i
0.0015781-0.0021111i,0.0018063-0.0017896i,0.0010733-0.00073908i,2.2663e-05+0.00070991i,-0.00093753+0.0012046i,-0.0017379+0.00072118i,-0.0014543+0.00011694i,5.5841e-05-0.00056792i,0.00023153-0.0004373i,5.2731e-05-0.00048008i,-0.00020846-0.00089871i,-0.00045656-0.00095051i,0.00023806-8.413e-05i,0.00063685+0.0005302i,0.00064186+0.0007859i,0.00045848+0.0010262i,-0.00036577+0.00082771i,-0.00093207+0.00066274i,-0.0007619+0.00017191i,-8.6778e-05-0.00029253i,8.9226e-05-0.00025911i,0.00031909+0.00010414i,0.00048599-3.2818e-05i
-0.00031946+1.427e-05i,-0.00087854-0.00053946i,-3.585e-05-0.00031338i,0.0009783-0.00018326i,0.00074028-0.00031453i,0.0001763-0.00019088i,-0.00076875+0.001399i,-0.0012763+0.0017775i,-4.6563e-05+0.00082887i,-0.00012905+0.00027295i,-0.00084117-0.00028512i,-0.00038854-0.00013259i,-9.6694e-05+0.00030662i,2.304e-05+0.00010909i,0.00012522-0.00026954i,8.047e-05+2.49e-05i,0.00033244-0.00035571i,0.00032974-0.0010098i,2.1805e-05-0.00065517i,-0.00066609-0.00056825i,-0.00052988-0.00040132i,-0.00059622+0.00039694i,-0.00078293+0.00068574i
0.00043358-0.00045401i,0.0022698-0.0027382i,0.0030189-0.0026048i,0.0026593-0.00119i,0.0027193-9.3965e-05i,0.0020728+0.00011725i,0.0007208+2.5099e-06i,4.5963e-05-0.00013506i,-0.00033131-0.00015168i,-0.00072417-0.00062398i,-0.0007402-0.00039744i,-0.00025666-4.9898e-05i,0.00023843-0.000718i,-0.00017043-0.00054321i,-0.00076068-0.00066676i,-7.936e-05-0.00044208i,-7.4024e-06+0.00078333i,-0.00041338+0.0010971i,-0.00036148+0.00055558i,-0.00048548-1.3137e-05i,-0.0003894+5.9961e-05i,-0.00085941-0.00023431i,-0.00091581+1.614e-05i
-0.0013098-0.0001411i,-0.0044113-0.0013129i,-0.0062904-0.0005217i,-0.0051158+0.00065638i,-0.0027024+0.0001201i,-0.0015488-0.00039059i,-0.0017786+0.00041814i,-0.0014388+0.00058287i,-0.0013049+0.00051194i,-0.00082858+0.0002663i,-0.00012557-0.00026036i,0.0001952-0.0010455i,-0.00022154-0.00092091i,-0.00060111-0.00020854i,-9.0871e-05+2.3168e-05i,0.00040022+0.0001437i,-7.1873e-06+0.00093037i,9.6436e-05+0.00093044i,0.00057576+0.00083138i,0.00030997+0.0012322i,0.00042311+0.0011116i,0.0006156+0.00069686i,0.00042296+0.00045314i
0.002127-0.00058588i,0.0029671-0.0012822i,0.0039326+7.1936e-05i,0.0042984+0.001535i,0.0030468+0.0022587i,0.0010042+0.0021887i,0.00042963+0.00091791i,0.00069923-0.00036934i,0.00043954-0.00039643i,-4.1364e-05-0.00060339i,-0.00066541-0.00095017i,-0.00093003-0.001374i,-0.00019008-0.0014545i,0.00025114-0.00061253i,8.4861e-05+9.9895e-05i,-0.0005921+0.00053793i,-0.00021113+4.2332e-05i,0.00044494-0.00066447i,0.00010501-0.00060332i,-0.00010846-3.0515e-05i,-0.00036573+0.00048819i,-0.00047233+0.00063318i,0.00014725+0.00052822i
0.00012391-0.00070504i,0.00058898-0.0018176i,0.0010821-0.0023951i,0.0028126-0.000276i,0.0028413+0.0011126i,0.0005566+0.00028386i,-0.00036008+0.00037009i,0.00016631+0.00078757i,0.00038564+0.0004989i,-0.00018527-0.00025955i,-0.00075706-0.00082782i,-0.00026729-0.00041494i,-0.00027106-0.00016376i,8.2296e-05-0.00020147i,0.0005591-0.00013975i,0.00042658-0.00030564i,-0.00055463-0.00088465i,-0.0013583-0.0012515i,-0.00060236-0.00066175i,0.00041136+0.00025392i,0.00052383+0.00052263i,0.00038488+0.0011231i,0.0004916+0.0017398i
0.0021781+0.00034535i,0.00094508-0.0022888i,-0.00057056-0.0043025i,-0.0025637-0.0047529i,-0.0019859-0.0048488i,-0.00023034-0.0026964i,-0.00043516-0.00037026i,-0.00069436-1.6677e-05i,-0.00061178-0.00058346i,-9.8769e-05-0.002011i,0.00020192-0.0017859i,-0.00051584+0.000237i,-0.00022152+0.0014398i,0.00047717+0.0012635i,0.00061534+0.0010394i,0.00019084+0.00034521i,-3.6146e-05-0.00071942i,9.9996e-05-0.0002053i,-0.0003638+0.00039148i,-0.00029257+0.00048281i,0.00037724+0.00090871i,0.00029025+0.00098339i,0.0004416+0.00072689i
0.00053499-0.0011229i,0.0001644-0.0010372i,-0.00030121+0.00098146i,7.3858e-05+0.0024711i,0.00011142+0.002824i,-0.00057575+0.0013482i,-0.00063175-2.5566e-05i,0.0002459+0.00012633i,-6.6953e-05-0.00021985i,-0.00010916-0.00095444i,-0.00066544-0.00050407i,-0.0014106+0.00037761i,-0.00083469-4.1938e-05i,0.00031727-0.0004061i,0.0014044-0.00012753i,0.0015161-0.00014184i,0.0011895-0.00032973i,0.00046491-0.00068774i,-1.0248e-06+7.0296e-05i,-0.0001773-0.00018063i,-0.00011135-0.0010321i,6.7271e-05+4.9672e-05i,6.4834e-05+0.00036227i
4.0646e-05-0.0033522i,-0.00021237-0.0037121i,0.00069671-0.0017589i,0.0016903+0.0010056i,0.0018121+0.0017613i,0.0011507+0.00077562i,-0.00012217+0.00014695i,-0.00079178-0.00037196i,-0.001178-0.00049622i,-0.00091-0.00024888i,-0.00026541-0.00037743i,0.00011683-0.00010513i,-0.00022105+2.2217e-05i,0.00043636+7.1451e-05i,0.00070149+0.00065665i,0.00078049+0.00059048i,0.0015301+0.00054317i,0.0010516+6.3988e-05i,0.00037895-0.00038475i,0.00025689-0.00039267i,0.00036082-0.00028387i,0.00042544+1.3475e-06i,6.0431e-05+0.0007394i
