-0.0020103+0.0018809i,-0.0020644+0.0012153i,-0.001588+0.001773i,-0.00022589+0.0020113i,0.0004721+0.0020373i,0.00081346+0.00046753i,0.00096982+2.5716e-05i,0.00056801+0.00014501i,0.00067722+0.00012484i,0.00052287+0.00088607i,0.00048837+0.00080947i,0.00084979+0.00032242i,0.00091416-9.7525e-05i,0.00060927+0.00019106i,0.00016188+0.00024044i,0.0001213+0.00023817i,-0.00049126+0.00048618i,-0.00047875-0.0004182i,0.00033132-0.00061091i,0.00045413-0.00039543i,-0.00034373-0.00028232i,-0.0011911-0.00031327i,-0.00022036-3.7671e-05i
0.00057469+0.00078626i,0.00061854+0.00026749i,0.0017802-0.0016159i,0.0025562-0.0017086i,0.002769-0.00045091i,0.0020893+0.00023812i,0.0018054-0.00013675i,0.0011464-0.00019657i,0.00027065-4.1255e-05i,0.00014001-0.00022462i,-0.00016643+4.159e-05i,-0.0007192-0.00039219i,-0.00046579-0.0010166i,-0.00028844-0.00080358i,-8.046e-05-5.9853e-05i,0.00012363-0.00027975i,0.00041355-0.00075494i,0.00030805-0.00056113i,-0.00031989-0.00016937i,-0.00023223+0.00018211i,0.00087052+0.00026407i,0.000948-0.00046076i,0.00072324-0.0012806i
0.00094164-0.00062423i,0.001305-0.00029185i,0.00027711-0.00054522i,-0.00083001-9.6506e-05i,-0.00049467+0.00018096i,0.00053772+0.00043903i,0.0009947-0.00034319i,0.00026444-0.00046217i,-0.00049669+0.00033472i,-0.00047114+0.0005726i,-5.6502e-05+0.0005984i,0.00045289+0.00034702i,0.00070221+0.0006616i,0.00056028+0.00045828i,0.00073655-0.0013929i,0.00078758-0.0015085i,0.00033585-3.3636e-06i,0.0005242+0.00089152i,0.00013191+0.0011577i,-0.00024502+0.001229i,8.9877e-05+0.0006106i,0.00079457-0.00037822i,0.00076031-4.3213e-05i
-0.0010465-0.00027372i,-0.0010333+8.3515e-05i,-0.0016828+0.0011396i,-0.00088766+0.0010619i,0.0010901+0.0001619i,0.0022731-0.00031575i,0.0020845-0.00019979i,0.0014511-0.00040962i,0.0016682-0.00012602i,0.0019449+0.00093277i,0.0016393+0.0011919i,0.0010834+0.0002673i,0.00098071-0.00040119i,0.0014386-0.00029002i,0.0011658-5.729e-05i,0.00027049+0.00039387i,0.00016481-0.00014198i,0.00069837-0.00099127i,0.00017594-0.0007762i,-0.00042216-0.00050102i,-2.4404e-05+0.00034549i,0.00035262+0.0010992i,2.1997e-06+0.00023397i
0.00022411-0.0030489i,0.00069659-0.0026573i,5.5788e-05-0.0021674i,-0.00068788-0.0009976i,-0.00068781-0.00032924i,0.00026114+0.00047557i,0.0014939+0.0004971i,0.0015696+2.4849e-05i,0.00060123+0.0001901i,0.00048111+0.00030337i,0.0013615+0.00023687i,0.001395-0.00019708i,0.0005316-0.0001625i,0.00024093+0.00058061i,0.00019+0.00095311i,-0.00049024+0.00053617i,-2.8041e-05-0.00063642i,0.00094596-0.00052286i,0.00052446-1.9894e-05i,-5.0778e-05+1.3263e-05i,-0.00039619+0.00029566i,-0.001066+0.00037758i,-0.00091843+0.00057788i
0.0020416-6.8829e-05i,0.0013733-0.00017889i,0.0012384-0.00057062i,0.00076489+3.1584e-05i,3.5577e-05+0.0012525i,-0.0001405+0.0008389i,0.00012227-0.0004221i,0.00041943-0.00039409i,0.00059894-6.5827e-05i,0.00037525-0.00054098i,-0.00010273-0.00087326i,-0.00032398-0.00093402i,-0.00048792-0.00075857i,-0.00016188-0.00026824i,0.00049825-0.00022451i,0.00035242-0.00043637i,-0.00016817-0.00021241i,-0.00018498+5.4333e-05i,-0.00037609+0.00042457i,-4.9658e-05+8.9542e-05i,0.00058405-0.00025623i,0.0008792+6.1149e-05i,0.00082846+0.00032162i
-0.0022225+3.5063e-05i,-0.0015057+0.00043963i,0.00018114+0.00071292i,0.0015407+0.0013949i,0.00093467+0.0012254i,0.0015853+4.6231e-05i,0.0020393-0.00017741i,0.00050636-0.00020649i,2.5852e-05-0.00028953i,0.00023588+0.000248i,9.5188e-05+8.5649e-05i,7.8617e-05-0.00054467i,-5.3937e-05-0.00027877i,0.00020552+0.00050224i,0.00066947+0.00096745i,0.00071994+0.00073136i,0.00039056+0.00021243i,-2.1957e-05+0.00033582i,-0.00020591+0.00048379i,-0.00092088+0.00043802i,-0.0013522+0.00043171i,-0.00057243+0.00026658i,-0.00056965+1.9906e-05i
-0.00019525+0.0013601i,0.001601+0.0015691i,0.0017729+0.000818i,0.00183+0.00026002i,0.0014108+0.00073601i,0.00084614+0.00060043i,0.00050643+0.00047999i,0.00022592+0.00030517i,-4.6018e-05+0.00057471i,-0.0002566+0.00081045i,-0.00037772+0.00031211i,0.0002744+0.00012028i,0.0008375+0.00019654i,0.00077589-2.0686e-05i,0.0011089-0.0002193i,0.0018651+0.00021857i,0.0013293+0.0006277i,0.00025295-0.00022692i,0.00025702-6.8155e-05i,0.00035706+0.00060395i,0.00028936-0.00017617i,-9.3621e-05-0.00037529i,8.847e-05-0.00019322i
0.0010237+0.0024971i,0.00068555+0.0023856i,0.0023223+0.0018949i,0.0023097+0.0011615i,0.0012204-0.00048923i,0.00027812-0.0011578i,0.00013836-0.00064539i,-0.00016902-0.00031419i,-0.00017957+5.6921e-05i,0.00039722-0.00013457i,0.00037899-0.00013975i,-0.00016168-0.00013219i,0.00029176-0.00011453i,0.00070296+2.9845e-05i,0.00049895-6.8159e-05i,0.000918+0.00022619i,0.0013055+4.9082e-05i,0.00088199-0.00030918i,0.00015892+0.00064831i,0.00021702+0.0010088i,0.00068885+0.00049692i,0.00044941+1.6127e-05i,0.00020499+0.00012964i
0.001981+0.0012665i,0.0030759+0.00072979i,0.0037135-0.0001766i,0.0030627-0.001113i,0.0020928-0.0011765i,0.00060955-9.8916e-05i,9.1761e-05+0.00023541i,0.00065945+0.00037796i,0.000388-0.0001037i,0.00019471-0.00023598i,0.00034257+0.00062012i,0.0001096+0.00049009i,0.00011265+1.3551e-05i,0.00011098+0.00051895i,0.00025556+0.00023466i,0.0012625+8.8842e-05i,0.0013224-6.9728e-05i,0.00079449+4.6646e-05i,0.00047983+0.00067356i,0.00037849+0.00027216i,0.00026863+3.5021e-05i,-0.00021045+0.00033945i,-0.0011148-3.8547e-06i
-0.002923+0.00076196i,-0.0030325+0.00083459i,-0.0023124+0.0022183i,-0.0016209+0.001894i,-0.00037863+0.00091215i,0.00050007+0.00068958i,0.00070434+0.00061873i,0.00043103+0.00062254i,0.00045101+0.00035432i,0.00046308-0.00012417i,0.0005567-0.0005386i,0.00076749-0.00099155i,0.00068849-0.00079i,0.0012509-0.00066805i,0.00060548-5.3436e-05i,-0.00038812+0.00081423i,0.00011833+0.00020507i,0.00029021+0.00015623i,0.0001689+0.00031546i,0.00063139-0.0002291i,0.00059893+1.1286e-05i,0.00071449+0.00049071i,0.00060679+3.7728e-05i
-0.0019265-0.00023344i,-0.0018597+0.00012355i,-0.00035288+0.00040041i,0.0014948-0.00014726i,0.002704-0.0003839i,0.0029085-0.00090187i,0.002081-0.0012325i,0.0012675-0.00097402i,0.00085004-0.00073882i,0.0005173-0.00073291i,-3.2507e-05-0.0014944i,-0.00011849-0.00086825i,0.0004016-4.7446e-05i,0.00093533-0.00053416i,0.00025183-0.00057834i,-0.00067567-0.00038562i,-1.8429e-05-0.00025547i,0.00075978-0.00054391i,0.000493-7.0548e-06i,-6.9807e-05+0.0003005i,-3.5264e-05-0.00018547i,0.00033241-0.00030235i,0.00040112-0.00054638i
0.0012156+0.00015588i,0.0015542+0.0011461i,0.00041423+0.0024587i,0.00032654+0.0017509i,6.3421e-05+0.00090114i,-0.00084994+0.00060986i,-0.00080157+0.00010564i,-0.00081317+0.00064246i,-0.0012372+0.00067917i,-0.00097003+5.0648e-05i,-0.0011292-6.5985e-05i,-0.0011964-0.00064941i,-0.00054935-0.00098803i,-6.3507e-05-0.00070064i,0.00039615-0.00038896i,0.00047324-0.0007816i,0.00032367-0.0014346i,0.00042421-0.00065839i,0.0006467-0.00011968i,0.00047833-0.00027469i,-0.00022961-0.00010791i,-0.00089198+0.00062251i,-0.0003811+0.00084099i
-6.0847e-05+0.0010747i,-0.00052516+0.0010417i,-0.00036843+0.0006277i,-0.00076933+0.00012766i,-0.00094231-0.00052206i,-0.00062996-0.00083717i,0.0010794+4.8327e-05i,0.0011676+0.00066632i,0.00020059+0.00056003i,6.3769e-05+0.00043996i,0.00012863+0.00069386i,0.00070389+0.00039157i,0.00068599-0.00011545i,5.816e-05-0.00030271i,-0.00012054-0.00026977i,-9.1919e-05-0.00045768i,0.00010953-0.00040535i,0.00020305+0.00052797i,0.00040477+0.00040761i,0.00010374-0.0003485i,3.5799e-05-0.00050809i,0.00038862-6.7268e-05i,0.00071123+8.1116e-05i
-0.00025657-0.001828i,0.00050798-0.0013511i,0.00076365-0.00098012i,0.0011552-0.00069813i,0.0012008-0.00012756i,0.0020586+5.141e-05i,0.0023232-0.00021792i,0.0015028-4.7836e-05i,0.00079351-0.00023432i,-0.00052116+0.00040126i,-0.00091093+0.00084165i,0.00022635+0.00051738i,0.00076775+0.0002847i,0.00047324+1.1538e-05i,0.00049667-7.9581e-06i,0.00053106-4.3564e-05i,0.00036912-0.00064409i,0.00078479-0.00082669i,0.001108-0.00059467i,0.00079643-0.00018244i,0.0010118-9.2057e-05i,0.00094383+2.1799e-05i,0.00036389+0.00046493i
-0.00051695-0.0013987i,0.0012601-0.0010296i,0.00053785-0.00025296i,-0.0012107+0.00090737i,-0.0017857+0.0021569i,-8.4682e-05+0.0024449i,0.0013078+0.0014593i,0.00088219+0.0011514i,0.00056765+0.0013829i,0.0006431+0.00075938i,4.7488e-05+0.00019543i,-0.00067443+0.00043697i,-0.00090701+0.00056275i,-0.00038946+0.00023074i,0.00017397+0.000536i,-7.1187e-05+0.00052243i,-0.0002762-0.00054343i,-6.7036e-05-0.0010926i,-8.9963e-06-0.00053869i,0.00036085-0.00054567i,-0.00014569-0.0010985i,-0.00073456-0.0013921i,0.00011828-0.00057081i
0.0017438+0.00038015i,0.00098678+0.0012475i,-0.00053205+0.00087587i,-0.0013304-3.5376e-06i,-0.00062304+4.3936e-05i,0.00062554+0.00038791i,0.00076044+7.3199e-05i,0.00052212-0.00055429i,0.0008664-0.00058956i,0.0002713-0.00056505i,-0.00046112-0.0018738i,-0.00099146-0.0022181i,-0.00023338-0.0012115i,0.00078455-0.00061354i,0.0004943+0.00010999i,0.00048103-3.7494e-05i,0.00019292-0.00037991i,-0.00030247+0.00024728i,7.3692e-05+0.00059825i,0.00057961-2.9732e-05i,0.00071648-0.00026511i,0.0004472-0.00016962i,0.00012303-0.00028047i
-0.0010546-2.2361e-05i,-1.8172e-05+0.0013005i,0.0011508+0.0023671i,0.0022067+0.0020136i,0.002445+0.0013206i,0.0017405+0.00039581i,0.0014815+6.3504e-05i,0.0013747+0.00039589i,0.000599-1.4677e-05i,-0.00018144-0.00082471i,6.185e-06-0.00084891i,-0.00037114-0.00025357i,-0.00081331-0.00067901i,-0.00010986-0.00052796i,0.00093236+0.00028289i,0.00076184-6.5342e-05i,0.00040172-7.9466e-05i,-0.00013094+0.00034535i,-0.00025618-0.00024372i,3.4384e-05-0.0002019i,-0.00027392-0.00028871i,0.00016255-0.0005876i,0.0003019+0.00066108i
-0.0019549+0.0013122i,-0.001638+3.6766e-05i,-0.0023528-0.00060213i,-0.0020935+0.00045398i,0.0002586+0.0006374i,0.0019431+5.9886e-05i,0.0013887+0.00036668i,0.00080222+0.00076513i,0.00038216+0.00032899i,-0.00021263+0.00016411i,-0.00030758+0.00067169i,-0.0006396+0.00046188i,-0.00080495-0.00043587i,2.0375e-05-0.0007612i,0.00018922-0.00036956i,-0.00036977-9.4185e-05i,-0.00023808+0.00022773i,-2.5625e-06+2.3604e-05i,4.729e-05-0.00062789i,0.00054284-0.00092827i,0.00061729-0.00041189i,5.5371e-05+7.1542e-05i,-9.7142e-05-0.00025614i
0.0027509+0.00068903i,0.0038134+0.00049341i,0.0060479-0.00092841i,0.0050806-0.0028109i,0.00089077-0.0024595i,-0.0012343+3.2466e-05i,-0.00050962+0.00072437i,0.00025784-0.00055157i,0.00095281-0.0004991i,0.0013816-0.00018017i,0.00093911-0.00079322i,0.00087443-0.00086319i,0.00045037-0.00030254i,0.00039417-0.00024393i,0.00017465-0.00015496i,-0.00042477+0.00015355i,-0.00036945-0.00014876i,-0.00052338-0.00038516i,-0.0010591+1.7548e-05i,-0.0012347+0.00077664i,-0.00064922+0.00061168i,-0.00044724+3.3863e-05i,-0.00029616+6.8996e-05i
-0.0019486+0.00088073i,-9.589e-05+0.0019259i,0.00053858+0.0023424i,0.00041965+0.002238i,0.0015167+0.0020666i,0.0022832+0.0013663i,0.0014628+0.00043429i,0.00078497+0.00013711i,0.0010298-0.00021706i,0.0015646+0.00016141i,0.0016912+0.00012087i,0.0011706-0.00038305i,0.00066691-0.00023573i,0.00066575+0.00060596i,0.00064882+0.0010241i,0.00053023+0.00015725i,0.00062427-0.00055614i,0.00043929-0.00081559i,0.00026927-0.00064775i,-4.3578e-06+0.00050319i,4.9399e-05+0.00086212i,0.00012933-0.00080886i,-0.00047314-0.0016341i
-0.00064727+0.00072338i,-0.00098062+0.00089093i,-0.0020056+0.00065665i,-0.0017844-0.00042579i,-0.00040164-0.00017473i,0.0011818+0.00059363i,0.0016266+0.00077784i,0.00092405+0.0015483i,0.00059916+0.0010272i,0.00066178-0.00034152i,0.0005959-0.0005332i,-0.00014301-0.00017158i,-0.00031705+0.00024072i,0.0003282+0.00086503i,0.00046285+0.0005406i,0.00091878-0.00047555i,0.00030481-0.000844i,-0.00086809-5.6953e-05i,-0.0013349+3.327e-05i,-0.00060698-3.5131e-05i,0.00034782-0.00044187i,0.00048064-0.000543i,-0.00044927-1.4679e-05i
-0.0019251-0.0017158i,-0.00011653-0.0011721i,0.00087772-0.00046272i,0.0011773+0.0011572i,0.00033571+0.0013366i,-0.00010972+0.00026722i,2.1971e-05+0.00020246i,0.00015404+5.2472e-06i,0.00012449-0.00038637i,-0.00017126-0.00010483i,-0.00017816-5.1518e-05i,0.00014956+0.00038753i,0.00028399+0.00054746i,0.00032087-0.00013805i,-0.00033018-0.000561i,-0.00059732-6.792e-05i,-0.00017217+0.00056962i,0.00018198+0.00057144i,-0.00025958+0.00045859i,-0.00059804+8.5068e-05i,-0.00030979+0.00034525i,-0.00013708+0.00074929i,-0.00010532+0.0002423i
0.0016398+0.0014478i,0.00090767+0.0016216i,0.00069539+0.0025218i,9.1384e-06+0.0019434i,0.00051873+0.0014646i,0.001278+0.0009626i,0.00069302-0.00025715i,-6.7066e-05-0.00068672i,-0.00012339-0.00059443i,-1.8277e-05-0.00018352i,-8.8313e-05+6.8969e-06i,-0.00037352+0.0001617i,5.955e-05+0.00051907i,0.00034443+0.0010472i,0.00015535+0.0012789i,0.00033677+0.00042286i,0.001098+0.0002714i,0.0011108+0.00011929i,0.00064067-0.00039303i,0.0004744+5.2536e-05i,0.00056448+0.00020639i,0.00048887+0.00036094i,0.00050423+0.00043126i
-0.00016473-0.00043207i,-1.5137e-05-0.0017446i,0.0011199-0.002475i,0.000789-0.0017958i,0.0010308-0.0010197i,0.0017179-0.00090079i,0.0010602-0.0009848i,0.00038037-0.00027254i,0.00026812+0.00069046i,-0.00050847+0.001368i,-0.00069669+0.0010823i,-7.9957e-05+0.00029342i,0.00024742-0.0003843i,0.00034514-0.00062421i,0.00039016-0.00069536i,0.00019264-0.00068237i,0.00033017-0.0007913i,0.00059615-0.00035588i,5.7804e-05-0.00050712i,-0.00030494-0.00065201i,0.00024107-0.00017934i,0.00047222+2.3936e-06i,0.0011396+0.00011759i
0.0011771+0.0012203i,0.0012787+0.0024897i,0.0020638+0.0015245i,0.0015228-0.0002386i,-0.00010534-0.00085443i,-0.00024102-0.0003036i,0.00072597+0.00020526i,0.00083869+0.00052676i,0.0010872+0.000696i,0.0012738+0.00071697i,0.00052196-5.6287e-05i,-0.00020975-0.0013777i,3.6306e-05-0.0015433i,0.00026211-0.0010807i,0.00060411-0.00041199i,0.0013411+0.00041062i,0.0014477+0.00063002i,0.00081269+0.00019082i,0.0002261-0.00058389i,0.00031188-0.00042296i,0.00031195+0.00018448i,0.00013435+0.00042231i,-0.00029635+0.00082386i
0.00066624+0.0013418i,0.00031753+0.0014141i,0.00037663+0.00053577i,-0.00050636+0.00033737i,-0.00098098+0.00092581i,-0.0002857+0.00051046i,2.328e-05+8.9041e-05i,0.00010703+0.00047357i,0.00016727+0.00042674i,0.00075727-0.00027758i,0.00072611-0.00055842i,-0.00010783-0.00063738i,-0.00031871-0.00094918i,-0.0002329-0.0007562i,-0.00013939+0.00036134i,-0.00021415+0.00084445i,-0.00055709-0.00038049i,-0.00093234-0.00065099i,-0.0003098+0.00031567i,0.00031357+0.0010675i,5.0455e-05+0.0011355i,-0.00035811+0.0002378i,-0.00051547+0.00034231i
-0.0024656+0.00020733i,-0.0015611+0.0012464i,0.00010537+0.00091145i,0.0021984+0.00073164i,0.0024681+0.0011334i,0.0022049+0.00067093i,0.0017628+0.00047526i,0.0016148+0.00055399i,0.00090204-6.6602e-05i,5.1074e-05-0.00069544i,0.00012615-0.0013602i,0.00018542-0.001235i,0.00047076-0.00029425i,0.00037859+0.00014792i,0.00018056-0.00036421i,4.3288e-05-0.00016406i,-0.00065869+0.00026822i,-0.001123+0.00039013i,-0.00048054+0.00014469i,4.9724e-05-0.00058138i,-0.00011978-0.00065722i,-4.3151e-05+0.00026033i,-0.0007092+0.00078892i
0.00024674-0.00023222i,0.00055327+0.00046772i,0.0014406+0.0014488i,0.0014663+0.0010206i,0.0014509+0.0005576i,0.0018594+0.00083269i,0.0015809+0.00071028i,0.00092486+2.343e-07i,0.00016382+1.5106e-05i,-0.00012448+0.00064178i,7.2953e-05+0.0012314i,-0.00029047+0.00080366i,0.00046066-0.00024828i,0.0012164-0.00073982i,0.00056326-0.00075277i,-0.00030771-0.00027556i,0.00017692+0.00011524i,0.0009073+0.0002367i,-3.6569e-05+0.00047103i,-0.00030262+0.00023307i,0.00037377+0.00057955i,0.00034293+0.00095247i,0.00052827+0.00022796i
0.00030895+0.00069336i,9.0284e-05+0.0011016i,-1.9829e-05+0.0011289i,0.00032146+0.00035734i,0.00042941+0.00014308i,0.00092723+0.00079308i,0.0002753+0.0013858i,-0.00074613+0.0012304i,-0.00096302+0.00049726i,-0.00047197+0.00017821i,-0.00021653+4.2368e-05i,-0.00037549+0.00018646i,0.00016587+0.00089549i,0.0012314+0.00067437i,0.00089985+0.00025025i,0.00047666+0.00061499i,0.00027237+0.00038094i,-5.1571e-05-0.00036776i,-0.00074634-0.00036467i,-0.0010907-0.00025253i,0.0001025-0.00030437i,0.0001194-0.00019811i,-0.00048611-0.00023402i
0.0017648-0.0017476i,0.0018101-0.0026934i,0.001495-0.0034636i,0.00033404-0.002834i,-0.0011214-0.00069499i,-0.0012246+0.00078381i,-0.00017595+0.00053892i,0.00026572+0.00067563i,0.00031594+0.0013731i,0.00034892+0.00074593i,0.00018615-0.00010918i,-0.0001284-0.00051643i,0.00049485-0.00054387i,0.0006365-0.00057798i,0.0002733-0.0011608i,0.00034883-0.00067452i,-2.1352e-05+0.00034464i,-0.00042493+0.00024579i,-0.00049139-0.00034081i,-0.0012496-0.00087818i,-0.00097327-0.00086773i,3.0656e-05-0.00048323i,0.00061972-0.00052229i
-0.0030044-0.00041477i,-0.0032712+0.00054371i,-0.0033962+0.0016038i,-0.0025889+0.0027659i,0.00023888+0.0034616i,0.0029138+0.002874i,0.003175+0.0010782i,0.0024268+0.00037904i,0.0011566+0.0015866i,0.0003849+0.0014273i,0.00082496+0.00032558i,0.00075277-0.0002969i,0.00050325-0.00035936i,9.9151e-05+0.00019837i,-0.00029936-0.00054124i,-0.00011119-0.0011196i,3.6058e-05-0.00068768i,0.00028727-0.0002327i,4.7055e-05+6.606e-05i,-0.0005812-4.6015e-05i,-0.00036048-6.7887e-05i,-0.00025472+0.0001976i,-0.00046021+8.2296e-05i
0.003131+0.00062615i,0.002829-0.00062102i,0.0022531-0.0018424i,0.00096216-0.0026266i,-7.2609e-05-0.001638i,-0.0004164-0.00030537i,5.5576e-05-0.0001988i,0.0011971-1.3486e-05i,0.0020145-5.8413e-05i,0.0018355-0.0011918i,0.00079869-0.0006664i,-0.00086871-0.00013194i,-0.0013087-0.00014271i,-0.00056513+0.0006013i,-0.00066254+0.00042589i,-0.00059359-0.00055664i,6.3016e-05-0.00065033i,-6.6204e-05+0.00032639i,-0.00062271+0.00077389i,-5.8981e-05+0.00040772i,0.00092121+0.00031293i,0.00085308-0.00024861i,0.00090181+0.00015356i
-0.00010521+0.0012572i,0.00083422+0.0016086i,0.00089858+0.0020004i,0.0018803+0.0019115i,0.0025645+0.0016914i,0.00147+0.00058961i,0.00096363-0.00028845i,0.00092858-0.00065889i,0.0009129-0.0014466i,0.00096704-0.0016571i,0.00083578-0.00090261i,0.00065221-2.9771e-05i,0.0011723-0.00026312i,0.0017208-0.00063056i,0.0017783+0.00046408i,0.0010222+0.0013147i,-0.00045894+0.00099005i,-0.00083737+0.00034211i,-0.00013907-8.7164e-05i,-0.00056451-0.00011191i,-0.0010189+1.1951e-06i,-0.00055606-0.00050825i,0.00013396-0.001354i
-0.00032419+0.00021835i,-0.0006991-0.00079888i,-0.00093365-0.00069926i,-0.00077159+0.00052322i,-0.00043937+0.0010314i,0.00025338+0.0011894i,0.0013054+0.00070765i,0.00064787-0.00035258i,-0.00082229-0.00086859i,-0.0016961-0.00022747i,-0.0019747+0.00019105i,-0.00135+0.00019045i,0.00020989-0.00023288i,0.00080681+4.9313e-05i,4.6923e-05+0.00098307i,0.00034393+0.00099238i,0.00043678+0.00058919i,0.00030375+0.00030925i,0.00058336+0.00053768i,0.00019052+0.00048689i,5.5607e-05+7.604e-05i,-1.8553e-05+0.00065541i,0.00012514+0.0010821i
0.0011441+0.00071367i,0.0015083+0.0012582i,0.0011152+0.00044864i,0.0002256-0.0012873i,0.00012814-0.0025228i,0.00058156-0.0013768i,-0.00020431+0.0001293i,-0.0011989+9.0902e-05i,-0.0016857-0.00015913i,-0.0008536+0.00031075i,0.00020139+0.00010435i,0.00067932-0.00023402i,0.00040517-0.00011197i,-0.00068685+0.00015233i,-0.00085641+8.4849e-05i,-0.00075093+0.00010743i,-0.00055042-0.00014579i,-0.00066382-0.00031254i,-0.0003194+2.2077e-05i,0.00014861-0.00010612i,-0.00036555-0.0001563i,-0.00042264-0.00031001i,0.00033151-3.2144e-05i
-0.00035899+0.002694i,-0.00049192+0.0020057i,0.0014443+0.0018228i,0.0017561+0.0016407i,0.0018285+0.0013843i,0.0019645+0.00084012i,0.0016474+0.00058057i,0.0018223+0.00079887i,0.0019807+0.0010154i,0.00097122+0.0012897i,0.00069026+0.00050698i,0.00079953-9.2932e-05i,0.00039985+0.00036425i,0.0008152+0.00042917i,0.0013295+0.00038561i,0.0016292+0.00047445i,0.0011235+0.00035159i,-0.00083893+0.00030178i,-0.0011778+0.00039121i,-4.1904e-05+0.0005301i,0.00062884+0.00014296i,0.00099123-0.00048176i,0.00118-0.00056463i
0.0011898-0.0024213i,0.0012091-0.0021942i,0.00050497-0.0021302i,-0.00033528-0.00036036i,-0.0015451+0.0012425i,-0.0012747+0.0010339i,0.00032354+6.3025e-05i,0.0018166+1.8198e-05i,0.0021901+0.00010231i,0.00099524-0.00026043i,-3.1854e-06-0.00042073i,0.00037729-0.00081981i,0.0010096-0.00034839i,0.0010474+0.00024526i,0.00080993+9.6799e-06i,0.00076956-0.00018429i,0.00053727-0.00033071i,0.00046262-0.00040204i,0.00050342-0.0001026i,0.00078002+2.7308e-05i,0.0007706-0.00034463i,0.00030895-0.00076636i,9.3702e-06-0.00060963i
-0.00071482+0.00038639i,-0.0010847+0.0014504i,-0.00078071+0.00074118i,0.0012454-0.00058449i,0.0022338-0.00064088i,0.0017324-0.00076433i,0.0013068-0.00079784i,0.00075481-0.0010869i,0.00053825-0.0020381i,0.00059858-0.0013712i,0.0004219+5.385e-05i,-0.00016662+0.00072059i,-0.00083178+0.00039032i,-0.00052089-0.00035261i,0.00017764-0.00057827i,-0.00017492+0.00015999i,-0.00012881+0.00087977i,-8.4898e-05+0.00055917i,7.214e-05-0.00030203i,0.00013379-0.00010497i,-0.0013902+0.00075251i,-0.0015324+0.00061722i,-0.00052838+0.00042096i
-0.00074437+0.0015633i,-0.0011334+0.0021525i,0.00025423+0.0027049i,0.0017871+0.0023438i,0.0019034+0.0015488i,0.0020756+0.00028084i,0.001806-0.00047884i,0.0010085-0.00012288i,0.00053224-0.00077414i,9.2933e-05-0.0016046i,0.00051239-0.0013087i,0.0010302-0.0002734i,0.00054708+0.00058223i,-0.0003147+0.00039391i,-6.6179e-05-0.00053382i,0.00069158-0.0007293i,0.00064069-0.00064233i,0.00045571-0.00023094i,0.00021503-0.0002777i,0.00024103-0.00021037i,9.0659e-05+0.00012238i,-0.00049634-0.00050146i,-0.00080596-0.00034437i
0.0023766-0.00041745i,0.0015564-0.00026374i,-0.00023728-0.0010681i,-0.0021582-0.00027069i,-0.0032753+0.0012894i,-0.0021547+0.001588i,-0.0010809+0.0009125i,-0.0011534+0.00090395i,-0.0016306+0.00097019i,-0.0015119+0.00058692i,-0.00017653+0.00068556i,0.0006687+0.0009899i,0.00046842+0.0011253i,-0.00019136+0.0011453i,-0.00068081+0.0010864i,7.5785e-05+0.00094908i,0.00092318+0.00075304i,0.00056958+0.00044232i,-7.0632e-05-0.0001737i,-0.00036921-0.00052126i,-0.00019159-0.00018405i,0.00017136+0.00030776i,0.00088798+0.00021616i
-0.00028269+0.0028442i,0.0011258+0.0020963i,0.0025176+0.0025394i,0.0035361+0.001233i,0.0034965-0.0004991i,0.0022818-0.0013452i,0.0014563-0.00061557i,0.00082546+0.00027338i,0.00053896+0.00062128i,0.00032919+0.00070588i,0.00095656+0.00060765i,0.0012785-6.2884e-05i,-4.7753e-05-0.00095397i,-0.00062621-0.00048633i,0.00012338+0.00010844i,0.00073156+0.00060249i,0.0012444+0.0010118i,0.00081978+0.00055211i,-0.0001628-6.8284e-05i,-0.00023559-0.0002497i,-3.6578e-05-5.1952e-05i,-0.00032625-0.00013761i,-0.00082867-0.00025422i
-0.00071535-0.00019977i,0.00010337+0.0016637i,0.0013569+0.0019634i,0.00042342+0.0012084i,0.00095227+0.00074556i,0.002123+0.00080826i,0.0023792+0.0007917i,0.0023378+0.0008191i,0.0015788+0.0011194i,0.0012849+0.0013534i,0.0011479+0.00057751i,0.00075026-0.00015011i,0.00095589-0.00012702i,0.001287-0.0001756i,0.0010788+6.8441e-05i,0.00084013-6.9529e-05i,0.00076549-0.00047586i,0.00036013-0.00056283i,-0.00047185-0.00072447i,-0.00092845-0.0006527i,-0.00010401-0.00014117i,0.00026678+0.00036823i,0.00019196+0.00080693i
0.001016-0.00073785i,0.002025-0.0017246i,0.0017145-0.0015508i,0.0011704-0.0014893i,-0.00066899-0.0016778i,-0.0019782-0.0011181i,-0.0010447-0.00033682i,6.8401e-05+0.00013216i,0.0009272-0.00011332i,0.00076784-0.0011424i,0.00019278-0.0008571i,-0.00035104+3.1273e-05i,-0.0006748+0.00012755i,-2.9706e-05-1.3571e-05i,0.00074258-0.00016837i,0.00048347-0.00010185i,-0.0004627-0.00011778i,-0.00092632-0.00046911i,-0.0009199-0.00014021i,-0.00081772+0.00014081i,-0.00071947-0.00036757i,0.00016916-4.5859e-05i,0.00050899+0.00010991i
