-0.0013873-4.5492e-05i,-0.0017262+0.00045286i,8.5397e-05+0.00051245i,-0.00030778+0.00043905i,-0.0010855+0.00062873i,-0.0015757+0.0016915i,-0.0017105+0.0022884i,-0.00061326+0.0017973i,0.00033632+0.0010068i,0.00067256-9.3945e-05i,0.00092213-0.00061526i,0.00061704-0.00058122i,0.00040455-0.00091217i,0.00055462-0.0012916i,0.00057345-0.00062612i,0.00043386-0.00029147i,0.00039479+0.00012678i,3.3389e-05-0.00035829i,-0.00064659-0.00079455i,3.8375e-05-0.00021176i,0.00047284-0.00061139i,-8.8299e-06-0.00073056i,-6.9186e-05+5.6886e-05i
9.0447e-05-0.0028552i,-0.0008789-0.0028721i,-0.0012159-0.002891i,-0.00040744-0.0015047i,-0.00072276-2.789e-05i,0.00010245+0.00030735i,0.00094669-0.00051837i,5.7036e-05-0.0012768i,-0.00092218-0.00083853i,-0.0014648-0.0010685i,-0.0018321-0.0014596i,-0.0013093-0.00083879i,-0.00067129-0.00043415i,-0.00078655-0.00060613i,-0.00037073+2.9784e-06i,0.00097981+0.00065439i,0.0011594+0.0003985i,-0.00027147+0.00045333i,-0.00071804+0.0011228i,-0.00068473+0.0014173i,-0.00033158+0.00112i,0.0001208+0.00038239i,-5.3526e-05-9.5772e-06i
-0.0015828-0.00075542i,-0.0021836+0.00074205i,-0.0019656+0.0032091i,-0.00051297+0.0047384i,0.0012314+0.0046601i,0.0015211+0.0031683i,0.00043903+0.0011097i,2.4944e-05-0.00015231i,-0.00024772-0.00061161i,0.00018195-0.00080113i,0.00069576-0.00086822i,0.00057944-0.00074441i,0.0005221-7.4934e-05i,0.00040958+0.00044732i,0.00082136+1.2264e-05i,0.00096315+0.00011919i,0.00038393+0.0001699i,-0.00036892-3.0852e-05i,-0.000777+0.00052423i,-0.00099386+0.00074359i,-0.0010548+0.00046811i,-0.00069058+0.00040779i,-0.00069528-0.00067267i
0.0016008+0.00049557i,0.0016765-0.00011405i,0.0018916-0.0015265i,0.0013236-0.0012194i,0.00056993-9.5624e-05i,-0.00024203+0.00054309i,-0.00074712+0.0017388i,-0.0016166+0.00093223i,-0.0013121-0.00024755i,-0.00070405-0.00062821i,-0.00096667-0.00087813i,-0.00052354+2.4026e-05i,-0.00073678+0.00069614i,-0.00061797+0.00039858i,0.00056504+0.00027465i,-0.00038303+0.00014806i,-0.0016135-6.4877e-05i,-0.00084279-0.00028615i,0.00023324-0.00015026i,0.00052553-0.00019044i,0.00099413-0.00027089i,0.00066228+0.00043334i,0.00010172+0.00059077i
-0.0017249-0.00095491i,-0.00067504-0.00085406i,-0.00096748+0.00047373i,-0.00032618+0.0023009i,0.00010627+0.0033568i,-8.3937e-05+0.002565i,-0.00012344+0.00087013i,-0.00082072-0.00073638i,-0.0018667-0.0010262i,-0.0014339-0.00033085i,-0.00059918-0.00024038i,-0.0004487+0.00014317i,0.00010053+0.00065655i,0.00083614+0.00010335i,0.00087905-0.00048i,0.00057176-0.00039352i,0.00038637-0.00026727i,0.00047186-0.00012096i,0.000466-3.9065e-05i,7.1139e-05-0.00027924i,-0.00023716+6.6049e-05i,-0.00034097+3.0258e-05i,-0.00036625-0.0003072i
0.0005109+0.0020899i,0.00077073+0.0024754i,0.0013872+0.0022632i,0.0019583+0.0019858i,0.0014588+0.0020324i,0.0009557+0.00034715i,0.00054197-0.00088604i,0.00024255-0.0010932i,0.00059173-0.0016811i,0.00058804-0.0017382i,0.000606-0.001015i,0.001037-0.0012499i,0.00063029-0.0014044i,0.0003087-0.00065287i,0.00049315-0.00028999i,8.8981e-06-1.4875e-05i,-0.00063524+0.00026726i,-0.0011013+0.0001378i,-0.0017069-7.8103e-05i,-0.0008215-1.687e-06i,-2.3259e-05-0.00036469i,-0.00056271-0.00068461i,-0.00080611+0.00050387i
0.00016105+0.0027038i,0.000102+0.0033093i,0.0011555+0.0035444i,0.0025759+0.0032394i,0.0031803+0.0019875i,0.0019031+0.00075948i,0.0008058-0.0001643i,0.0004471-0.00054028i,-0.00029176+0.00033786i,0.00021518+3.5731e-05i,0.0012809-0.00091233i,0.0012118-0.0014216i,0.00012474-0.0014214i,-0.00090657-0.0010254i,-0.0010698-0.00037501i,-0.00056555-0.00070953i,-0.0003023-0.00066131i,-0.00090721-0.00047117i,-0.0011596-0.00018627i,-0.00090719-5.4387e-06i,-0.00062616+0.00028844i,-0.00012598+0.00092263i,0.00030164+0.00071256i
-0.00072152-0.00081976i,-0.0015829+0.00051216i,-0.0022057+0.0019917i,-0.00094958+0.0025913i,0.00091395+0.0025512i,0.0025342+0.0011676i,0.0020457-0.00027629i,8.904e-06-0.00083133i,-0.00084902-0.0008882i,-0.00048236-0.00027148i,8.8248e-06-0.00034124i,-0.00028038+0.00058036i,-9.5695e-05+0.0013117i,0.00043752+0.00027794i,0.00017616+5.4662e-05i,4.4753e-05-0.00025879i,0.00084189-0.00037847i,0.00038369+0.00024932i,-0.00068912+0.00061884i,-0.0010532+0.00069596i,-0.00027361+0.0010065i,-1.2835e-05+0.0011404i,-0.00015374+0.0010197i
-0.00087445-0.00066015i,-0.0010393-0.00056069i,-0.00071857+0.00013402i,7.7261e-05+0.0012915i,0.0014881+0.0018549i,0.0011999+0.00077484i,0.00028981-0.00018339i,-0.00093357-0.00012729i,-0.0022265-0.00052243i,-0.0016108+0.000268i,-0.00026624+0.00082477i,0.00015498-0.00025926i,-0.00022258-0.0011224i,-0.00042281-0.0010459i,-0.00017372+0.00013151i,0.00012126+0.0003226i,-7.5924e-05-0.00040602i,-0.00092983-0.00059209i,-0.0016872-0.0006465i,-0.0018322-0.00012518i,-0.0012353-0.00018884i,-0.0012054-0.00026066i,-0.0012512-2.3231e-05i
0.00029826+0.00090139i,0.00097472+0.0011859i,0.0014721+0.0019937i,0.0018448+0.0029241i,0.0024028+0.0032096i,0.0012633+0.0018981i,-2.4755e-05+0.0012074i,-0.00048809+0.00049829i,-0.00033219-0.00038869i,-0.00017726-0.00058821i,0.00011834+0.00013982i,-0.00021523+0.00060854i,-0.00074596-0.00054244i,0.00023711-0.0011436i,0.00048081-0.00018748i,-0.00084487+0.00050348i,-0.0012434+0.00051213i,-0.0010799-0.00055559i,-0.0013347-0.00059476i,-0.0016045-0.00028763i,-0.00043096-0.00038666i,0.00074752-0.00014745i,0.000941-0.00062674i
0.00037687+0.00018579i,0.00045969+0.0012413i,0.00098162+0.001156i,-1.7065e-05+0.0006039i,-0.00060554+0.00088468i,-0.00042107+0.00071836i,-0.00013327+0.00021075i,-0.00023309+0.00013898i,-0.00064408+0.00023527i,-0.00031308-4.9383e-06i,0.00071702-0.00081156i,0.00070488-0.00090943i,-0.00071593-0.00051318i,-0.0013442-0.00024789i,-0.00037212-0.0003507i,6.7753e-06-0.00037268i,-9.5407e-05-0.00028786i,0.00054717-0.00017607i,0.0001819-4.9269e-05i,-0.00082016-2.9539e-06i,-0.00012044+0.00014377i,0.00073378+0.00053767i,0.00076051+0.00044208i
-0.00065655+0.0020643i,-0.00063514+0.0019873i,0.0014651+0.0022528i,0.0027446+0.0024806i,0.0019847+0.0017576i,0.0012314+0.00045503i,-0.00021296-0.00021735i,-0.0018022-0.00067641i,-0.0015856-0.00058354i,-0.001216-0.00012744i,-9.1024e-05-0.00059115i,0.00044747-0.0011915i,-0.0003277-0.00073856i,1.88e-05-1.3451e-05i,0.00054865-0.00020495i,4.9217e-05-0.00056245i,-0.00024171+0.00028197i,-0.00035675+0.00089433i,-0.0012446+0.00098189i,-0.0012898+0.00098451i,-0.00069923+0.00062545i,-0.00047018+0.00027918i,-0.00065333+0.00027242i
0.00078229-0.00027914i,0.00072309-1.1547e-05i,0.00183+0.00016002i,0.001388+0.0004632i,0.0010085+0.0018252i,0.0013371+0.0015512i,0.00063453+0.00015678i,-1.7305e-05-0.0010376i,-0.00038635-0.00072897i,-7.9559e-05-0.0003927i,0.0011374-0.0011291i,0.0010609-0.0010869i,0.00042214-0.00016486i,-0.00023138+5.6017e-05i,0.00032673-0.00011609i,0.0010858-9.261e-05i,0.00016812-0.0002201i,-0.0012571-0.00051928i,-0.0015905-0.00096476i,-0.00074519-0.00034138i,0.00015482+6.8326e-05i,-0.00016928-0.00081842i,3.7274e-05-0.001054i
0.0008613+0.0012546i,0.00099471+0.0010831i,0.0020001+0.0011842i,0.002119+0.0018645i,0.0019091+0.0021532i,0.00088067+0.0018727i,-0.00093478+0.00080973i,-0.0014565-0.0001167i,-0.00083679-0.00059269i,-0.00018204-0.0009266i,0.00010389-0.0012127i,-0.00010529-0.00051049i,-0.00071739+0.0003361i,-0.00097223+0.00037269i,1.5137e-05+0.00062789i,0.0014092+0.0012106i,0.0014556+0.000878i,0.001099+0.00047966i,0.00067614+0.00039604i,0.00059277+0.00020192i,0.00069824+0.00015662i,0.00041697+0.00031508i,0.00030318+0.00015451i
-0.00095206-0.00032554i,-0.0014621-0.00081261i,-0.0011135-0.00073998i,-0.00034224+0.00061321i,0.0003577+0.0015408i,0.0015625+0.001112i,0.0015201+0.00072706i,0.0005113+0.00026757i,0.00051652-0.00045352i,0.00042625-0.00085318i,0.00029984-0.00090883i,0.0001847-0.00032015i,-4.3765e-05-4.8674e-06i,-4.232e-05+0.00019977i,0.00020823+0.00016393i,6.9858e-05+0.00034476i,-6.985e-05+0.00039297i,-0.00024911+0.00034712i,-0.0015941+0.0013178i,-0.0018201+0.0021446i,-0.00094997+0.0012661i,-3.4668e-05+0.0008281i,5.3026e-05+0.00084319i
0.0018331-0.0011493i,0.0019295-0.00066425i,0.0019637-0.00048673i,0.0025328-4.178e-05i,0.0018509+0.00082362i,0.0003291+0.00095798i,-8.9432e-05+0.00082518i,8.2428e-05+0.00066424i,-0.00020045+0.00018489i,0.00024342-0.00098146i,0.00041111-0.0013083i,6.6034e-05-0.00079588i,-1.8408e-06-0.00011426i,-0.00016913+0.00010469i,0.00031838+9.8215e-05i,0.00042656+3.9198e-05i,-4.6532e-05-0.00014753i,-0.00049502-0.00044336i,-0.001338-0.00088217i,-0.0015455-0.00085251i,-0.00062773-0.00081386i,0.00025598-0.00069993i,0.00060481-0.00014006i
9.7705e-05+0.00018655i,-0.00062681+0.0001184i,-0.00045524+0.00059823i,-0.00026535+0.0017773i,-0.00036529+0.0026402i,0.00059426+0.0019383i,0.00036772+0.00012077i,-0.00093301-0.00031776i,-0.00081239-0.00057696i,6.5269e-05-0.00071209i,0.00050323-0.00040725i,-0.00010441-0.00026766i,-0.00063853-0.00079844i,3.6307e-06-0.00083059i,0.0012711-3.2516e-05i,0.00059671+0.00041854i,-0.00050434+0.0005825i,-0.00012797+0.00049782i,0.00056627+0.00051545i,0.0013465+0.00057867i,0.0010756-5.5213e-05i,0.00023321-0.00058171i,0.00053966-0.00055736i
-1.1428e-05+0.00095587i,-4.8645e-05+9.8066e-05i,0.00051318+0.00077324i,0.0013291+0.0012678i,0.0016841+0.00069684i,0.0016117-0.00027243i,0.0014281-0.0010197i,0.00057661-0.0014562i,0.00011823-0.0021826i,0.00077351-0.0021286i,0.00074021-0.00017378i,0.00030933+0.00043198i,-0.00021661+0.00042711i,-0.00081187+0.00028473i,-0.00048564-0.00036003i,0.00029432-0.00019314i,0.00043941+0.00046133i,-3.7275e-05+0.00088754i,-0.00087876+0.00056732i,-0.0016495+0.00014621i,-0.0012376+0.00038709i,-0.00037928+0.00080212i,-0.00013327+0.00079981i
-0.00037942-0.00060573i,0.00033938-0.0011948i,-0.00082851-0.00099868i,-0.0011876+0.0013224i,-0.00044332+0.0035403i,0.00021573+0.003383i,0.00061383+0.0016936i,0.00019622+0.00088491i,-0.00044606-0.00012005i,-0.0003462-0.0018521i,4.3209e-05-0.0018249i,6.5973e-05-0.0010486i,-0.00036573-0.0005948i,-0.00052641-0.00028284i,-0.0002301-0.00021332i,0.00026343-0.00011851i,-0.00015083+0.00033877i,-0.00061758+2.0508e-05i,-0.00083594-0.00020613i,-0.00099985-0.00029433i,-0.00086206-0.00075526i,-0.0010256-0.00099682i,-0.00033053-0.0008516i
-0.0019969+0.00038522i,-0.001508+0.00057474i,-0.00084723+0.0025004i,-0.00017043+0.003032i,0.00034098+0.0029914i,0.00075124+0.0029933i,-0.00040724+0.0011562i,-0.00099739-0.00069841i,0.00025001-0.0014602i,0.0011905-0.00097651i,0.00096221-0.00052909i,0.00023432-0.00097735i,-0.0007641-0.0010627i,-0.00055409-0.00084119i,0.00045379-0.00036694i,0.00091872-0.00024339i,0.0011128-0.00025768i,0.00061362-2.8616e-06i,7.4223e-05+5.0792e-05i,0.00026817+0.0003642i,0.00027804+0.00028925i,0.00033624+0.00038336i,0.00087785+0.00059923i
0.00085502-0.002121i,0.0010953-0.0023239i,0.0010993-0.0017834i,0.0006707+0.00023718i,0.000289+0.0015623i,-6.4359e-06+0.00093877i,9.341e-05+0.00039744i,-0.0002234-0.00013793i,-0.00058211-0.0008286i,-0.00016065-0.00093413i,2.0099e-05-0.000585i,-0.00076353-0.00026738i,-0.00084589+0.00027663i,4.7212e-06+0.00092908i,-0.00018562+0.001471i,-0.00066444+0.001838i,-0.0011719+0.0012798i,-0.0022496+0.0001981i,-0.0025397-0.00034624i,-0.001714+0.00017412i,-0.00067683+0.00035596i,-0.00014612+0.00059568i,-0.00064544+0.0004512i
0.0016334+0.0020816i,0.0016461+0.0014853i,0.0017885+0.0017671i,0.0021552+0.00099602i,0.0025366+0.00043505i,0.0016095+0.00090544i,0.00071149+0.00019766i,0.00010467-0.00071521i,-0.0003547-0.00080826i,0.00031786-0.001043i,0.00072711-0.00050107i,-0.00014061-0.00017007i,-0.00044872-0.00033035i,-6.533e-05-0.00026293i,-0.00082055-0.00033346i,-0.00080868-0.00014i,0.00037048-0.00045726i,-0.00017538-0.00087487i,-0.0013174-0.00069586i,-0.00084929-0.0003315i,-0.00012625-1.8542e-05i,0.00017507+5.3162e-05i,0.00070541-0.00036183i
0.0014488-0.0034959i,0.00030314-0.0025327i,-0.00077161-0.00234i,-0.00085303-0.00056933i,-0.0017375+0.0015542i,-0.0015249+0.0013834i,-0.0010059+0.00041145i,-0.0011632-4.1591e-05i,-0.00068526-0.0001021i,-0.00034927-5.4262e-05i,-0.00054733-0.00014617i,-0.00029508+0.00055516i,-3.4126e-05+0.0015154i,8.8615e-05+0.0015448i,0.00064442+0.00091589i,0.0011088+5.2294e-05i,0.0010829-0.00060887i,0.00011298-0.00075285i,-0.00011575-0.0008049i,-0.0004269-0.000317i,-0.0012933+0.00023572i,-0.0013585+0.00042817i,-0.0008041+0.00066886i
-1.4902e-05-0.00018014i,-0.00048604-0.00028333i,-0.0011221-9.651e-05i,-0.00084306+0.00099571i,0.00089057+0.0013548i,0.0018983+0.00081524i,0.00099462+0.00036128i,-0.00051978+2.6604e-06i,-0.00079808-0.00069082i,-0.00077444-0.0005421i,-0.0010489-4.7791e-05i,-0.00029628-0.0003479i,0.00044396-0.00052493i,0.0006227+9.3111e-05i,0.00042659+0.00025795i,-0.00039004+0.00011444i,-0.0011893+0.000559i,-0.0016758+0.0011853i,-0.0016305+0.00085186i,-0.00071072+0.00047899i,-0.00023546-7.4359e-05i,0.00015009-0.00081166i,0.00068054-0.00063465i
-0.00029873-0.0029272i,-0.000551-0.0014679i,-0.00070715-0.00020341i,-0.00044095+0.0014535i,-0.000351+0.0033255i,0.00049216+0.0021475i,0.0013353+0.00053416i,0.00089055-1.5466e-05i,-2.9797e-05-0.001029i,-0.0012825-0.0010294i,-0.00083047-0.00043581i,0.00063553-0.00065662i,0.0012637-0.00042107i,0.00086471+0.00022269i,0.00037991+0.00024657i,0.00012181+0.00012135i,-0.00010324-5.0873e-06i,-0.00088487-0.0011848i,-0.0010023-0.0018501i,-9.5306e-05-0.00098773i,0.00026169+0.00024033i,0.00039174+0.00091652i,0.00082388+0.0012509i
-0.00041277-0.001747i,-0.0011937-0.0017957i,-0.0018544-0.0016581i,-0.0026005-0.00018312i,-0.0027579+0.0021632i,-0.0013545+0.0042828i,0.00022815+0.0029056i,0.00045335+0.00041176i,-0.00033003-0.00082849i,-0.0010509-0.0013031i,-0.00091493-0.00073228i,-0.00078168-0.00023816i,-0.00091868-0.00017576i,-9.6658e-05+0.00062563i,0.001295+0.0010018i,0.0021466+0.0003706i,0.001866+0.00038495i,0.00065271+0.00060636i,-2.8873e-05+0.00047012i,-0.00011837+0.00090654i,-0.00020808+0.00035695i,-0.00012021-0.00059804i,-0.00041392-0.00081701i
0.0015027-0.00093128i,0.0016212-0.0016341i,0.00053453-0.00098225i,0.00024783-6.9318e-05i,0.0013245+0.00029718i,0.00095595-0.0001629i,0.00018075-5.6256e-05i,-0.00037925+4.2521e-07i,-0.0010085-0.001528i,-0.0008735-0.0019032i,-0.00013069-0.00087624i,0.00010096-0.00024759i,8.9318e-05+0.00015058i,-0.00020418+0.00085246i,-0.0010376+0.00104i,-0.00048534+0.00073555i,-0.00010709+0.00093388i,-0.00092315+0.00059909i,-0.0018169+7.4627e-05i,-0.0016418-0.00011213i,-0.00022266+0.00050227i,0.00068309+0.00071087i,0.00022282+0.00040355i
0.00047824-0.00022198i,0.00066878+0.00066797i,-0.00010319+0.0017131i,-0.00054798+0.0025344i,-0.00032452+0.0026902i,0.00041548+0.0022361i,0.00040164+0.00031366i,-9.4826e-05-0.00097224i,-0.00098186-0.0018686i,-0.0014621-0.0019357i,-0.00073719-0.0010887i,0.00035913-0.00051554i,0.0001633-0.00014711i,-0.00053889-0.00025482i,-9.3004e-05-0.00076702i,-0.00013616-0.00080656i,-0.0010713-0.00070127i,-0.0015467-0.00025745i,-0.0014599+4.2414e-05i,-0.0010777-0.00017346i,-0.00078959+6.088e-05i,-4.019e-05+0.00052647i,0.00043078+0.00065513i
0.00083655+0.001231i,0.0019368+0.0015602i,0.0020254+0.00087526i,0.001748+0.00089974i,0.0020839+0.001408i,0.001032+0.00048863i,-0.0002479-0.0011895i,-0.00039456-0.00106i,-8.6552e-05-0.00012567i,3.8023e-05+0.00015263i,3.5645e-05-0.00086588i,6.542e-05-0.00097721i,-0.00040826+0.00071221i,-0.00020959+0.0013358i,0.00068041+0.0011597i,0.00031899+0.00036143i,-0.00023238-0.00023814i,-0.00052537-4.9681e-06i,-4.7836e-05+0.0001646i,0.00012336+0.00055677i,-0.00049125+0.00055467i,-0.0012469+0.00050445i,-0.0010053+0.00031342i
-0.0014646-0.00012125i,-0.00078266+5.0061e-05i,-0.00087954+0.0010606i,-0.0018514+0.0030978i,-0.00084107+0.0032721i,0.0007569+0.0015767i,0.00061276+0.00069562i,-0.00039409+5.198e-05i,-0.0010451-0.00087458i,-0.00040407-0.0011665i,0.00056043-0.00066075i,0.0004689-0.00031195i,0.00015175-0.00054301i,-0.00020838-0.00076019i,-0.0007856-0.00029392i,-0.001077-0.00045487i,-0.00084185-0.001066i,-0.00046075-0.00066382i,-0.0009451-0.00018746i,-0.00095809-0.00025245i,-0.0004328-0.00076216i,0.00034785-0.00075694i,0.00095652-0.00049903i
0.0019091+0.00024647i,0.0017379-0.0010095i,0.00073451-0.00079788i,0.00041283+0.0011712i,0.00054693+0.0024546i,0.0010239+0.0018448i,0.00081018+0.00074345i,6.8995e-05+5.3669e-05i,-0.00055451-0.0013232i,-0.00067887-0.0015769i,1.9167e-05-0.00023531i,0.00023284+0.00015869i,-0.00063655+0.00013538i,-0.00083746+0.00026439i,0.0002943+0.00084728i,0.00081954+0.00066703i,0.00024267-0.00031977i,-0.00040114-0.00014326i,-0.0011027+7.8581e-05i,-0.0012724+0.00046706i,-0.00073738+0.00090133i,6.9412e-05+0.0006683i,0.00045623+0.00057092i
0.001125-0.0017616i,0.00052863-0.001595i,-0.0013546-0.0020259i,-0.0030286-0.00072417i,-0.0029005+0.00093332i,-0.001316+0.0020033i,0.00014487+0.0014461i,0.00083076+3.991e-05i,0.00078733-0.0011504i,0.0003031-0.0013878i,-4.3416e-05-0.00046731i,0.00095149+3.3401e-05i,0.00085578+0.00072103i,-2.8545e-05+0.0010453i,0.00013404+0.00071947i,0.00043009+0.00055244i,-3.8767e-06+0.00089807i,-0.00086527+0.001243i,-0.0012681+5.455e-05i,-0.0013164-0.0013452i,-0.001061-0.00032897i,-0.00038492+0.001091i,-5.9271e-05+0.00075259i
0.00045146+0.0029476i,0.00075007+0.0028821i,0.0012268+0.0032489i,0.0023441+0.0025304i,0.0026311+0.0022547i,0.0020316+0.0018488i,0.0003325+0.00053909i,-0.001081-0.00032015i,-0.00047962-9.3114e-05i,-0.00015804-4.4151e-05i,-0.00073836-0.00072294i,-0.0008095-0.00095632i,-0.00033452-0.0011926i,-4.7057e-05-0.0012082i,-0.0005907-0.00030979i,-0.00082154-0.00049974i,-0.00081702-0.00099518i,-0.0010624-7.0707e-05i,-0.00072208+0.0002524i,0.00020293+0.00023004i,0.00076855-0.00031224i,0.00067587-0.0011334i,0.00051194-0.001123i
0.0042356-0.00089052i,0.0025989-0.0021042i,0.0017538-0.003562i,0.00028552-0.0018106i,-0.0012004+0.0013658i,-0.00075507+0.0019457i,-0.0005162+0.00055232i,-0.0011012-4.9283e-05i,-0.0013694-0.00085095i,-0.0005662-0.001959i,-0.00037631-0.0011066i,-0.0014201-8.6717e-05i,-0.0017708+1.6463e-05i,-0.00071679-0.00013853i,0.00022549-0.00025377i,-5.9514e-05+2.3245e-05i,-0.00069299+0.00017004i,-0.00052461-0.00036731i,-0.00062744+0.00030963i,-0.00067483+0.00074991i,-0.00041926+0.00069808i,-0.00016148+0.00080791i,0.00021257+0.00072375i
-0.0003019-0.00018753i,0.00055511-0.00073987i,4.1896e-05+0.00012249i,-0.001292+0.00070334i,-0.00097254+0.00021133i,3.7383e-05+0.00019261i,-0.00010136-0.00053109i,-0.00099018-0.001534i,-0.00075538-0.0016898i,0.00030422-0.0013333i,0.00035694-0.00019849i,-0.00026843-0.00016164i,-0.00087175-0.00063961i,-0.0012755-0.00015978i,-0.00080387+0.00044846i,-0.00032838+0.0004324i,0.0003483+0.00016144i,0.00046856-0.00032444i,-0.00092578+0.00024805i,-0.0019011+0.00077873i,-0.0014014+0.0002552i,-0.00044467-6.4365e-05i,-1.2241e-05+1.6553e-05i
-0.00052334+0.0011713i,-0.0010135+0.00038399i,-0.00094092+0.00068715i,0.00053227+0.0029944i,0.0010594+0.0038135i,0.0010934+0.0024868i,0.00066158+0.0005482i,-0.00021024-0.0002634i,-0.00065648-0.00036671i,-5.6793e-05-0.00078088i,0.00092671-0.00065243i,0.0012803-1.0046e-05i,0.0014101+0.00042587i,0.00085393+0.0004183i,0.00014653-0.00042849i,-2.275e-05-0.00062414i,0.00018336-0.00013325i,-0.00057585-0.00018616i,-0.00075114-0.00041391i,-0.00040791+0.00033129i,-0.00049805+0.00030531i,-0.00025082-0.00013131i,3.809e-05+6.7064e-05i
0.00012941-0.0019917i,0.00022581-0.0027896i,-0.00041063-0.0030039i,-0.0015387-0.0012982i,-0.001031+0.0013497i,0.00017428+0.0032022i,0.00011328+0.0027774i,0.00020404+0.00073881i,-0.00012202-0.00085536i,-0.00076164-0.0011262i,-0.00023828-0.00068025i,0.0005125-0.00017732i,0.00033643+0.00023933i,0.00041386+0.00065209i,0.001395+0.0010755i,0.0013387+0.00083838i,0.00062532+0.00031566i,-0.00017171-0.00013995i,-0.00078957-0.00068905i,-0.00069639-0.001119i,-0.00041931-0.00043379i,-0.0002059-0.00062847i,-8.8618e-05-0.001072i
0.00047085+0.00084681i,0.00089223-0.0010471i,0.0010171-0.0011849i,0.00030096+0.00053202i,0.00034485+0.0013649i,0.0011065+0.0013753i,0.00076261+0.00050353i,-0.00070427-0.00017842i,-0.0013053-0.00088172i,-0.00027539-0.0015828i,0.00018366-0.0013844i,0.00034113-0.001094i,0.00077905-0.00097871i,0.00079014-0.00056479i,3.4676e-05+2.4152e-05i,6.9797e-05-5.2798e-05i,0.00010359+0.00013704i,-0.00079697+2.2854e-05i,-0.0010604-0.0004807i,-0.00038784-0.00035835i,-9.6263e-05+0.0001277i,-0.00017263+0.000333i,0.00014244+0.00063581i
-0.00028281+0.00022489i,-1.5424e-05+0.0012292i,0.0016001+0.0018886i,0.0019558+0.002423i,0.0011709+0.0024466i,0.00064533+0.001627i,0.0003939-0.00018347i,-0.00024218-0.0012124i,-0.00070662-0.00019683i,-7.5507e-05+4.1417e-06i,0.000381-0.00029317i,-0.00037315-0.00074638i,-0.0010143-0.001097i,-0.00051431-0.00052072i,0.00015158-0.0010904i,0.00060076-0.0014938i,-0.0001062-0.00083599i,-0.00076941+4.2116e-05i,-0.0007221+0.00065793i,-0.00068592+0.000209i,-0.00025739+0.00013103i,0.00031214+5.7485e-05i,0.00079488-0.00039459i
-0.00046903+0.00012212i,-0.0010051+0.00017305i,-0.00060259+0.0014295i,-0.00062171+0.0027839i,-0.0001564+0.0036837i,0.00077171+0.0028927i,0.00099241+0.00084267i,0.00054011-0.0007913i,-0.00058937-0.00083263i,-0.0009455+0.00090463i,0.00034544+0.0017964i,0.0013353+0.0013941i,0.0012935+0.00068138i,0.000655-9.9941e-06i,0.00080671-0.00014123i,0.00062616-0.00033097i,-3.6253e-05-0.0005419i,-0.0006417-0.00060833i,-0.0014343+0.00031311i,-0.0013305+0.00090979i,-0.0007732+0.00027024i,0.00020206-0.00013689i,0.0004814+0.00040173i
-0.0014418-0.0021433i,-0.002088-0.0020189i,-0.0016548-0.0023234i,-0.0013004-0.00032299i,-0.00082691+0.0016096i,0.00068346+0.0014935i,0.00074701+0.00060317i,-0.00087505-0.00011164i,-0.0010068-0.00077733i,-1.711e-05-0.00061944i,0.00086164-0.00037196i,0.00037277-7.8882e-05i,0.00018555+0.00014078i,0.00047651-4.2124e-05i,-0.00017201-0.00061635i,-0.00047694-0.0014982i,-0.00037154-0.0015913i,-0.00058708-0.0011425i,-0.0010818-0.00043397i,-0.0011037+0.00035396i,-0.00047657+0.00093741i,9.4726e-05+0.0012907i,6.6165e-05+0.00046467i
-0.0018537-0.0013238i,-0.0022998-0.00071214i,-0.0025874+0.00034567i,-0.0018674+0.0022902i,-0.00083952+0.0036384i,0.00013268+0.0030594i,0.00025863+0.0010164i,-8.6343e-05-4.2852e-05i,-0.00042244-0.00061137i,-0.00070025-0.00094812i,0.00059793-0.0010374i,0.0011859-0.0011337i,0.00013349-8.921e-05i,-0.00066612+0.0008735i,-0.00027308+0.00051098i,-2.7812e-05+0.00019521i,-0.00069962+0.00058823i,-0.00041681+0.00099758i,0.00014917+0.0010776i,-0.00042899+0.0016994i,-0.00094079+0.0017811i,-0.00072047+0.0010347i,-0.0005089+0.00013079i
0.0025153-0.0012032i,0.0015007-0.0015265i,0.00050275-0.0016803i,1.8385e-05+0.00021928i,-0.00023591+0.0015765i,-0.0003851+0.0020732i,-0.00048428+0.0014742i,-0.00051493+0.00030572i,0.00044313+3.8879e-05i,0.00064302-0.00068309i,-0.00016733-0.0015119i,-0.00019759-0.0011021i,-0.00050518-0.00012675i,-0.0016087+0.00018866i,-0.001282-6.8426e-06i,0.00015138+1.2561e-06i,0.00035546+0.00033542i,0.00019169+3.7662e-05i,-9.5549e-05-0.00063703i,-0.00086301-0.00066966i,-0.00099293-0.00040781i,-0.00033884-0.00058335i,0.00027308-0.0012337i
-0.00065844-6.6198e-05i,-0.0007707+0.00089712i,-0.00027515+0.0020442i,0.0005119+0.0029258i,0.0010542+0.0025182i,0.00025732+0.0012038i,-0.00038122-0.00060601i,0.00012421-0.0015576i,0.00095578-0.0003592i,0.0016233+0.00035975i,0.0019509-5.9983e-06i,0.0014034-0.00032408i,0.00022669-0.0010922i,3.6136e-05-0.00070962i,0.00010682+0.0005247i,-0.00021995+0.00059568i,-0.00015945-4.5613e-05i,0.0001236-0.0009313i,0.00053987-0.0013805i,0.00034517-0.00072098i,0.00014048+7.7033e-05i,0.00067296+0.00053023i,0.00035387+0.00066492i
