0.00042181-3.8736e-05i,0.0012188-0.00018011i,0.00034571-0.001928i,0.00045395-0.0025888i,-0.0004321-0.0015494i,-0.0010438-5.6652e-05i,-0.00087674+0.00074391i,8.202e-05+0.00077073i,0.001114-7.9119e-06i,0.00080368-0.0012565i,0.00018182-0.0018453i,0.00018074-0.0015657i,0.00019388-0.0010667i,7.896e-05-0.00074803i,0.00081165-0.00030919i,0.0013269+0.00038535i,0.0004344+0.00037942i,-6.186e-05+0.00094974i,-8.5077e-05+0.0010811i,-0.00042964-0.00028954i,-0.00083355-0.00057469i,-0.0013443-0.00015374i,-0.00088272+6.6939e-05i
0.002628+0.00065061i,0.0020309+0.00027951i,0.0023587-0.0015666i,0.003426-0.0034279i,0.0034521-0.0036858i,0.0015089-0.0025539i,6.0127e-07-0.0015024i,-0.00045471+4.9957e-05i,-0.00066413+0.0010151i,-0.00071532-1.708e-05i,-0.00052352-0.00094433i,-0.0010245-0.00043488i,-0.0013099+0.00094894i,-0.00066008+0.001085i,0.00014977+7.3635e-05i,-0.00041376+0.00036642i,-0.0010101+0.00055809i,0.00013186-0.0001482i,0.00012969-0.00050597i,-0.00025225-0.00060562i,-0.00026284-0.00095047i,-0.00018854-0.001028i,-0.00053058-0.00032459i
0.0018118-0.00040213i,0.0024486-0.00067648i,0.0026533-0.0015746i,0.0017638-0.002181i,0.00055119-0.0015923i,-0.00081455-0.00040513i,-0.00097274+0.00015388i,-0.00017762-0.00050101i,0.00022474-0.0016181i,-0.00025828-0.0016107i,-0.00022964-0.00056122i,-8.6018e-05+0.00063376i,-0.00015501+0.0011644i,-0.00034013+0.00076545i,-0.00048043+0.00011838i,0.00016802-0.00013401i,0.00073012+8.8802e-05i,0.000939-0.00015963i,0.00090845-0.00047043i,0.00038053-0.00039347i,-0.0002346-0.00024126i,7.493e-05+0.00010388i,0.00038852+0.00038588i
0.00054495+0.00088503i,0.0016259+0.00088274i,0.0022411+0.00090297i,0.0019351+0.001203i,0.0016641+0.00060117i,0.0016812-3.6821e-05i,0.0018597-0.00025262i,0.00086524+0.00021639i,-0.00024831+0.00063622i,-0.00061622+0.00027562i,-0.00054559+2.6535e-05i,-0.00059545+0.00045235i,-0.00080255-0.00010911i,-0.00021598-0.00054142i,0.00054001-0.00015371i,-1.7662e-05+0.00018843i,-9.8348e-05+0.000586i,-7.0507e-05+0.00036078i,0.00011764+2.0014e-05i,5.3407e-05+0.00078057i,-9.8872e-05+0.00040641i,-0.00058482-0.00013794i,-0.00038423+0.00018771i
-7.9172e-05-0.00082132i,0.00030416-0.00089145i,0.0004823+0.00025848i,0.0010465+0.00051182i,0.0017656+0.00045678i,0.0017618+0.00058329i,0.00042417+0.00029389i,-0.0010608-0.00059419i,-0.0019976-0.00040638i,-0.0010132+7.4536e-05i,0.0008641+9.487e-05i,0.0015337-9.6147e-05i,0.00069881-0.0001779i,8.1533e-05-0.0010098i,5.3992e-05-0.001766i,-0.00026602-0.0014001i,-0.00061988-0.00057385i,-0.00031657+8.3845e-05i,0.00011913-6.7833e-05i,-0.00017761-0.00043638i,-0.00017446-0.00051371i,-5.7584e-05-0.00018836i,-0.00047171+8.213e-05i
0.0014976-0.0015796i,0.0016013-0.0014756i,0.002055-0.00186i,0.0026538-0.0015993i,0.0016731-0.00080126i,0.00079721-0.00097702i,0.00073439-0.00058787i,-6.0352e-05-0.00036883i,-0.00050095-0.00073376i,-8.5591e-05-0.0009084i,-0.00046076-0.0010418i,-0.00054504-0.00067339i,-0.0006816-2.6762e-05i,-0.00084802-0.00026621i,-0.00037546-0.00047711i,-0.0002967-9.9435e-05i,-0.0002712+9.1814e-05i,-0.00010989+0.00014775i,-0.00032051+0.00023459i,-0.00070468+0.00027124i,-0.00090168-0.00010192i,-0.00063277+5.1519e-05i,-0.00030261-0.00019834i
0.0008926-0.00027304i,0.0012505+0.00059896i,0.0010111+0.00010231i,0.0013776-0.00085912i,0.0014294-0.0005432i,0.0014574+0.00037333i,0.0012376+0.00048515i,0.00040898+0.00044207i,-0.00061057+1.513e-05i,-0.00058404-0.00022888i,0.00024821+0.00045163i,4.7276e-05+0.00078272i,-0.00026579+0.00010413i,-0.00012962-0.00026753i,0.00039223+0.00025666i,0.00013521+0.00031143i,-0.00047787-0.0006003i,-0.00015049-0.0010671i,-0.00043303-0.00026187i,-0.00098431+0.00022551i,-0.00088396+4.1043e-05i,-0.00032949+0.00011801i,-0.00010373+0.00021231i
0.0035923+0.00051754i,0.004243-0.00023167i,0.0042209-0.0017496i,0.00276-0.0029076i,0.0012224-0.0031646i,0.00019539-0.002856i,0.00020065-0.0015362i,5.2168e-06-0.00047209i,-0.0010369-0.00057941i,-0.001422-0.00030794i,-0.0004014+0.00045466i,-0.00025935+8.2152e-05i,-0.00088799-0.00023491i,-0.0006683+0.00048015i,-8.4796e-05+0.00048914i,-0.00032693-0.00020839i,-0.00026921-0.00088244i,0.00022118-0.00087285i,-0.00065479-0.00068572i,-0.00073017-0.0003534i,-0.00054033-9.8401e-05i,-0.00050729-0.00012447i,9.6409e-05-0.00022814i
0.00070618-0.0028767i,-6.5945e-05-0.0019223i,-0.00043705-0.0010146i,-0.00030649-0.0011127i,-0.00033586-0.0019668i,0.00023922-0.00052538i,0.00014241+0.0011275i,-0.00093211+0.00050011i,-0.0013183-0.00059339i,-0.0013036-0.00076692i,-0.0014176-0.00020264i,-0.00064955+0.00092251i,0.00069631+0.0014615i,0.0015819+0.00059535i,0.0014761+9.3425e-05i,0.0004769-0.00021537i,8.4179e-05-0.00024431i,8.5075e-05+0.00093086i,-7.1993e-05+0.0015077i,-0.00057201+0.00090028i,-0.00069783+8.6353e-05i,-0.00015533+0.00029482i,-0.00026286+0.00011928i
0.0015333+0.0001016i,0.0015495-0.00019493i,0.0022229-0.001009i,0.0029741-0.0026163i,0.0021978-0.002312i,0.00011258-0.0012842i,-0.00058254-0.0004626i,-0.0004215-0.00025577i,-0.00013725-0.0004376i,-0.00016931-0.00087124i,-0.00033531-0.00077111i,-0.00067783+6.2408e-05i,-0.0010843+0.0007559i,-0.0015504+0.0010991i,-0.0012451+0.00064773i,-0.00074716+0.00018034i,-0.00033732+7.3086e-06i,-0.0004128+3.757e-06i,-0.00019585-0.00083938i,0.00017638-0.00060546i,-0.00029708-0.00032378i,-0.0001822-0.00039195i,0.00013095+0.00037152i
-0.00048525+0.0010934i,0.0002851+0.001152i,0.00090466+0.0024705i,0.0016361+0.0016435i,0.0022649-0.00032465i,0.0020201-0.00073753i,0.00080025-0.00036803i,-6.4808e-05+4.1365e-05i,-0.00079808+0.00028441i,-0.0010522+0.00041326i,-0.00066917+0.0011506i,-0.00017522+0.0010211i,-0.00017991+0.00051475i,-0.00076319+5.7446e-05i,-0.00083302+9.1776e-05i,-0.00024983-8.3307e-06i,-0.00010899-0.00022634i,0.00012049+2.4314e-05i,7.261e-05+0.00011977i,-0.00019746-0.00021877i,-1.8268e-05-0.0001449i,0.00021665+3.4389e-05i,0.00038113-2.2199e-05i
-0.00018929+0.00077451i,0.0004616+0.0014441i,0.0012855+0.0017704i,0.002313+0.00087734i,0.0021059+0.00013266i,0.0010109+0.00043159i,0.0003822+0.0001512i,-0.00016147-0.00030575i,-0.00073927+0.00018546i,-0.00044012+0.00051345i,-0.00037913+0.00040037i,-0.00021355+6.4504e-05i,8.6599e-05-9.4844e-05i,-0.00027128-8.0622e-05i,-0.00021737-0.00031188i,0.00017894-7.7055e-05i,-0.00024372-0.00026991i,-0.0005647-0.00055661i,-8.083e-05-0.00029129i,0.00061743-0.00046402i,9.1836e-05-0.00055665i,-0.00090271-0.0003133i,-0.00084264+8.9734e-05i
0.0021846-0.00011189i,0.0025776-0.0017968i,0.0027494-0.0025754i,0.0017131-0.001961i,0.00085008-0.0016443i,8.2076e-05-0.0019617i,-0.00078666-0.0010651i,-0.0010245+0.00025877i,-0.00050246-4.9398e-05i,0.00050325-0.00050939i,0.00016608+0.00020315i,-0.00039804+0.0011034i,-0.00057146+0.0014715i,-0.0014681+0.0012175i,-0.00087696+0.00042953i,0.00019263+0.00010181i,0.00047444+0.00030081i,4.4343e-05+0.0003157i,-0.00043766-0.00012961i,-0.00054777-7.6368e-05i,-0.0011572+0.00015407i,-0.0011972+0.00054128i,2.4756e-05+0.00087515i
0.00085016+8.8115e-05i,0.0018625-4.8411e-05i,0.0025+5.9244e-05i,0.0033678-0.00043258i,0.0037433-0.0020817i,0.0018769-0.0016703i,0.00068092-0.0012746i,0.00056345-0.001466i,0.00075986-0.00074976i,0.00053645-0.00025539i,-3.5362e-05+0.00048285i,0.00017884+0.0011579i,0.00010634+0.0017105i,0.00017693+0.0019157i,0.00080144+0.00087199i,0.0010146-0.00011729i,0.00053955-0.00058025i,-0.00020219-0.000381i,-0.0006343+2.3218e-05i,0.0003334-0.00014223i,5.6265e-05+0.00020764i,-0.00071924+0.00014473i,-0.00014111+8.6801e-05i
-0.00088007-0.00059997i,-0.00065668-0.00054259i,0.00017718-0.0013357i,-1.169e-05-0.0014282i,-0.00026839-0.0011312i,-0.00060926-0.00010985i,-0.001262+0.00098107i,-0.0012039+0.00078162i,-0.0005373+0.00015918i,-0.00039462+0.00033686i,-0.001457+0.00023459i,-0.0020863+0.00013813i,-0.0014961+0.00038231i,-0.00058136-1.1443e-05i,-0.00011902-0.00024659i,-0.00041575-0.00037785i,-0.00049939-0.00074165i,8.8941e-05-0.00027414i,0.0004511+0.00042556i,0.00047478+0.000218i,0.00028101+0.00023383i,-0.00027282-0.00030374i,-0.00021814-0.0008121i
0.00042903-0.00047582i,-0.00040194+0.00092316i,-1.0985e-05+0.00080147i,0.00097232+0.00038002i,0.0013609+0.00046138i,0.0013965+0.00020711i,0.0014035+0.00042915i,0.00017027+0.00014735i,-0.00064943-0.00041255i,-0.00054863-0.00014002i,-0.00048403+0.00028862i,0.00011292+8.7389e-05i,0.00019091+0.00033696i,-0.00019529+0.00096906i,-9.4246e-05+0.00066539i,-0.00015915-0.00021016i,-2.1104e-05-0.00080084i,0.00013252-0.0012528i,1.7248e-05-0.0011443i,-0.00047166-0.0006893i,-0.0011738-0.00028944i,-0.001269+0.00012196i,-0.00044605+0.00046713i
0.00098434-0.00087306i,0.0015959-0.00095308i,0.001146-0.00058263i,-0.00050978-0.00075333i,-0.00073144-0.0014631i,-0.00069486-0.001367i,-0.0011169-0.00087545i,-0.00086506-0.00059015i,-0.00083206-0.00023114i,-0.00095626+0.00026093i,-0.00048397+0.00017276i,1.3989e-05-0.00018823i,0.00073773+1.5373e-05i,0.00088782+0.00084037i,0.00034188+0.00062129i,0.0002355-0.00017447i,0.00010297-0.00024751i,0.00044593-0.00024573i,0.00033538-2.0133e-05i,-4.0775e-05+0.00044372i,0.00070929+0.00099352i,0.00085659+0.00088823i,0.00031476+0.00081406i
0.0013701+0.0004622i,0.001725+0.00077282i,0.0021283+0.00048679i,0.0028353+7.2757e-06i,0.0025486-0.00022806i,0.0014965-0.00019241i,0.0002091+0.00011746i,-0.000282+0.0002555i,-0.0005426+0.00024016i,-0.00076406-0.00061372i,-0.00057833-0.00091696i,-0.00049349+3.1088e-05i,-0.00044436+0.00064516i,-0.00065004+2.0697e-06i,-0.00053955-0.00053711i,-0.00093777+2.7339e-05i,-0.0015722+0.0002257i,-0.00081145+2.6006e-05i,-2.7138e-05-2.6753e-05i,-0.00010743+0.00011582i,0.00017918+0.00032017i,-6.0064e-05+0.0010083i,-0.00080838+0.00086415i
-8.894e-05-0.0010763i,0.00077314+0.00097562i,0.00087899+0.0018863i,0.0014013+0.001084i,0.001717-0.00011699i,0.0014836-1.7115e-05i,0.00073481+0.00024154i,-0.00012638-0.00061316i,-0.00067031-0.00072274i,-0.00080745-0.00025002i,-0.00102-0.00026335i,-0.00058286+0.00017579i,0.00022593+0.00037937i,0.00023116+0.00023535i,-0.00011055-0.00059995i,5.3721e-05-0.00085005i,-0.00040588-0.00070234i,-0.0013671-0.0004745i,-0.00089042+0.00017486i,9.4055e-05+0.00019954i,-4.8175e-05+0.00019028i,-0.00069812+2.013e-05i,-0.0008727-0.00023689i
-0.00044419+0.0021881i,4.017e-05+0.0020928i,0.00093896+0.0014254i,0.0019485+0.00010993i,0.0026638-0.0014027i,0.0026236-0.0018731i,0.0010175-0.00087964i,0.00015781-0.00028052i,0.00040789-7.7825e-05i,-2.6038e-05-0.00043558i,-0.0007388-0.00019049i,-0.00097745+2.0422e-05i,-0.0008658-1.6127e-05i,-0.0011297-0.00017017i,-0.0010669+5.9972e-05i,-0.00057746+0.00057683i,-0.00065459+0.00015465i,-0.00090829-0.00051306i,-0.00092921-0.00016388i,-0.00068805+0.00065227i,-0.00057666+0.00058899i,-0.00054814-2.8155e-05i,-9.1303e-05-0.00070048i
0.0025303+1.5636e-05i,0.0023269-0.0010851i,0.0036131-0.0015978i,0.0036911-0.002317i,0.0020177-0.0028841i,0.00052331-0.0021992i,0.00015872-0.00081399i,0.00054998+0.00012865i,0.00033178-3.0861e-05i,-0.00038242-0.0010996i,-0.00026529-0.001731i,-2.6232e-05-0.00096083i,-0.00067516+0.00088369i,-0.0010294+0.0015665i,-0.00060273+0.00078452i,0.00067661+0.00054754i,0.00081377+0.00063074i,0.00033293+0.00083697i,0.00079697+0.00086774i,0.00087588-0.00044004i,0.00068677-0.0010999i,0.00034221-0.00016309i,9.6886e-05+0.0005068i
0.00021033+0.0025756i,0.00064851+0.0025168i,0.0011226+0.0018049i,0.0026363+0.00030212i,0.0030608-0.0018957i,0.0016929-0.0025528i,-0.00054905-0.0022792i,-0.0023216-0.00084402i,-0.0020825+0.00085827i,-0.0010617+0.00070003i,9.0818e-05-0.00010535i,0.00036869-0.00019938i,0.00019446+0.00043535i,-0.00020469+0.00025539i,-5.2251e-06-0.0011859i,0.00065185-0.00078183i,0.00086415+6.0834e-05i,0.00079056+0.00040395i,0.00020252+0.00077901i,0.00015162+0.0010282i,0.00019541+0.0010261i,-0.00034848+0.00033895i,-0.00043377-0.00044115i
0.0010714-0.0021284i,0.0022523-0.0017697i,0.0019692-0.0012521i,0.00091187-0.00053449i,0.00031578-0.00040222i,0.00018185-0.00023776i,-0.0002879+0.00072551i,-0.00033986+0.00088958i,-0.00038944+6.1941e-05i,-0.0006862-7.865e-05i,-0.00038943-0.00033185i,-0.00021439-0.00029819i,-0.0004859-0.00031456i,-0.00018314-0.00046678i,0.00032089-0.00035146i,0.00055721-0.00028607i,0.00020023-0.00032452i,0.00022102+0.00040164i,0.00025893+0.00056506i,-0.00051217-0.00031881i,-0.00071474-0.00073899i,0.00015211-7.6473e-06i,0.00020621+0.00028228i
-0.0012826+0.00028675i,-0.00025172+0.0013479i,0.00061603+8.5198e-05i,0.0014317-0.00067228i,0.00132-0.00081018i,0.00097154-0.0006321i,0.00075173+0.00010786i,1.5443e-05+5.9073e-06i,-0.00077076-0.00049489i,-0.00070341-0.00062542i,-0.00032143+0.00045778i,-0.00066006+0.0013816i,-0.00020259+0.0010772i,0.00040624+0.00020042i,0.00043418-0.00045662i,-0.00040031-0.0003314i,-0.00023726-0.00025945i,0.00030629+0.0001788i,-0.00047875+8.9591e-05i,-0.0005133-3.9068e-05i,-0.00047633+0.00076977i,-0.00081553+0.00030481i,-0.00036215-0.00047518i
0.00067766+0.00022559i,0.0011767+0.00055995i,0.0027772-0.00082593i,0.0033394-0.00094674i,0.0027877-0.00071906i,0.0019712-0.00066615i,0.0002366-0.00033767i,-0.0014635+0.00015491i,-0.0013616+0.00035141i,0.00021836+1.4391e-05i,0.00064531-0.00030153i,0.00011703+0.00012704i,-0.00070173+0.00034082i,-0.0010338+0.00028158i,-0.0010596+0.00051253i,-0.0012339-5.159e-06i,-0.00056797-0.00021517i,0.00010819+7.6364e-05i,-7.1051e-05-0.00016369i,-9.2647e-05-0.00026934i,-0.00026628-0.00023274i,-0.00066839-9.2777e-05i,-0.0014837+0.00011261i
0.00079181+0.00074007i,0.0027101+0.00054461i,0.0037629+0.00025136i,0.0037212+0.00018043i,0.0030647-0.00095867i,0.0024456-0.0020375i,0.0020802-0.0015642i,0.0013816-0.00077224i,0.00057522+6.3112e-06i,6.46e-05+0.00010017i,-0.00032621-0.00021122i,-0.00041727+0.00016359i,-0.00022598+0.0002187i,0.00010769-0.00073019i,-0.00043543-0.00036031i,-0.00085916+0.00069019i,-0.0003602+0.0002842i,-6.9384e-05-0.00042275i,5.5304e-05+4.6982e-05i,-4.0881e-05-5.8179e-05i,-0.00019227-0.00062799i,-0.00041328-0.00045045i,-0.00034423-0.00019397i
0.0020109-0.00084405i,0.0021916-0.00025288i,0.0020914-0.00026156i,0.0018815-0.0010784i,0.0025642-0.0015313i,0.0018466-0.00088319i,0.00028459-0.00035604i,-0.00032446-0.00050815i,-0.00091872-7.7871e-05i,-0.0011282+0.00041525i,-0.0010406+0.0007993i,-0.00069787+0.0016377i,-0.00076785+0.0016739i,-0.001119+0.00062553i,-0.0011344+0.00059684i,-0.00078048+0.00044068i,-0.0010266+0.00012273i,-0.001366+0.00027802i,-0.0010348+0.00017376i,-0.000738+0.00034891i,-0.00054105+0.00028887i,-0.00025433-0.00019562i,-0.00020738-0.00012478i
-0.00016948-0.0034921i,-0.00029469-0.0021095i,0.00032858-0.0017677i,0.00081749-0.0020217i,-0.00036282-0.0017308i,-0.00083525-0.00039496i,-0.00077633+0.00033624i,-0.00069356+0.00020152i,-0.00057722+0.00014046i,-0.00031603+0.00017959i,-0.00024013+8.8429e-06i,-0.00029971+0.00075891i,0.00021508+0.0012968i,0.00063215+0.0010746i,0.00013168+0.00072304i,-0.00047333+0.0006227i,-0.00060357+0.0006299i,-0.00038801+0.00076899i,-8.8068e-05+0.00081875i,-6.6927e-05+0.000223i,-0.00031752-4.3701e-05i,-0.00073216+0.00026078i,-0.0013077-0.00032442i
-0.0021522-6.2092e-05i,-0.00058022+0.00079802i,0.00036331+0.00096804i,0.00077198+0.00063324i,0.0014226+0.00018345i,0.0016868-0.00054449i,0.00057812-0.00026499i,-0.00052956+0.00022016i,-0.0012089+0.00034014i,-0.00059019-0.00020528i,0.00066612-0.00056161i,0.00033642-0.00045358i,-0.00034711-0.00019873i,-0.00073439-0.00012813i,-0.00054347-0.00058025i,-0.00066388-0.00031798i,-0.0006369+0.00043431i,-0.00017401+0.00033151i,-0.00015372+0.00059893i,-0.0001307+0.00029177i,-5.6494e-05+0.00041857i,0.00019802+0.000324i,4.9653e-05-6.0889e-07i
0.00031176+0.0017445i,0.0018865+0.0014858i,0.0027308+0.0011701i,0.0038725+0.00082445i,0.0036228+0.00036979i,0.0016644+0.00023558i,0.00065265+0.00080732i,1.2406e-05+0.00041591i,-0.00056522-0.00047664i,-0.00026055-0.00092422i,0.0002035-0.001165i,-5.8838e-05-0.00046903i,-0.00097193-7.4689e-05i,-0.001443+0.00025142i,-0.0013254+0.0017723i,-0.00093724+0.0013573i,-0.00026413-8.1305e-05i,0.00019919-0.00022853i,0.00042138-0.00044641i,0.00034364-0.00057185i,0.00012261-0.0001246i,-0.00015153-5.4142e-05i,0.00026551-0.00027247i
-0.001083+0.0018794i,0.0018558+0.0018001i,0.0042792+0.00090671i,0.0042655-0.00046692i,0.0037372-0.0016924i,0.0028845-0.0025908i,0.0019869-0.0016873i,0.0004148-0.00097174i,-0.00057854-0.00074834i,-5.1372e-05-0.00013197i,0.00039191-8.7411e-05i,-5.8529e-05-0.00087857i,-0.00044799-0.00079329i,-0.00052356+0.00028654i,-0.00082222+0.0007386i,-0.00061495+0.00070088i,-0.00031191+0.00071921i,-9.4312e-05+0.00050015i,9.9869e-05+0.00027408i,0.00011657+0.00025804i,0.00039275+0.00020674i,0.00029189-0.00022504i,-1.6419e-05-0.00045852i
-0.0032041-0.00069395i,-0.002215+0.0011833i,-0.0013369+0.0031399i,-8.483e-05+0.0025593i,0.0015635+0.001067i,0.0020704-0.00051259i,0.00093639-0.00085771i,-0.00098172-0.00018144i,-0.0017641-3.0234e-05i,-0.00065318-5.8815e-05i,0.00063868-0.00025434i,0.0010909-0.00040307i,0.00047762+5.8512e-05i,-0.00024317+9.6189e-05i,-0.00030146-0.00031169i,3.4314e-07+0.00030721i,0.00036142+0.00037109i,0.00051132-0.00017127i,-0.00038054+0.00033945i,-0.00091771+0.00082157i,-0.00046545+0.00045691i,0.00025528-0.00042621i,0.00022399-0.0005166i
0.0004797-0.00033774i,0.0005684-0.00078734i,0.0019336-0.00039296i,0.0033858+0.0001135i,0.0023398-5.6588e-05i,0.0018773-0.00027301i,0.0012819-0.0001227i,-0.00050103-8.0733e-05i,-0.0010703-0.00018797i,-0.00066229-0.00020895i,-0.00062009-0.00036594i,-0.00045381-0.00065751i,0.0006809-0.00042872i,0.0010675+0.00024539i,0.00042951+0.0011185i,-0.00035963+0.00066975i,-0.00083476-0.00054644i,-0.00068655-0.00031071i,0.00033942+0.00043609i,0.00074396+0.00014742i,7.1399e-05-0.00011033i,-0.00030132-0.00032032i,-0.00037269-0.00078616i
-0.00025047-0.00013539i,0.00035193+0.00023865i,0.00021266-0.00032446i,-0.0005631-0.00092805i,-0.001057-0.00039013i,-0.0005007+0.00099923i,0.0001801+0.0014134i,0.00065398+0.00084659i,0.00038449+2.6858e-06i,-0.00059127-0.00028367i,-0.00084841-0.00017867i,-0.00044617+0.00045065i,-0.00074081+0.00095279i,-0.0011098+0.00083358i,-0.0005217+0.00060837i,0.00013175+7.9474e-05i,0.00025714-0.001055i,-0.00025328-0.0016971i,-0.00044485-0.0011481i,0.00016799-0.00032982i,0.00024528+5.2078e-05i,1.0674e-05+0.00013772i,0.00054622+0.00050969i
0.0017464-0.0013423i,0.0025198-0.0013079i,0.0032216-0.0011089i,0.0037098-0.00068518i,0.0035438-0.00012387i,0.0017047+0.00014344i,0.00037376+0.00061393i,-0.00030468+0.00056683i,-0.00063815+0.00017407i,-0.00015592+0.0010057i,0.00042139+0.0011862i,0.00097823+0.00068418i,0.00029661+0.00053539i,-0.00041661+0.00018666i,-0.00060102+0.00020801i,-0.00061309+0.00034373i,-0.00026243-0.00042352i,0.00019105-0.00063352i,0.00046011-0.00018509i,0.00017743-0.0003291i,4.7114e-05-0.00085094i,-2.2413e-06-0.00073549i,-0.00046541-0.00058093i
-0.0018783+0.00017913i,0.00033401+0.0013476i,0.0014088+0.0021997i,0.0019079+0.0016284i,0.0029682-0.00017204i,0.0032783-0.0012525i,0.0016937-0.0014683i,-0.00059055-0.0014762i,-0.00084904-0.00061671i,0.00087741+0.00034413i,0.0013871+0.00073941i,0.00068863+0.00033908i,-0.0004093+3.3576e-05i,-0.00071921-0.00060783i,-0.00030411-0.0010153i,-0.00046404-0.00016525i,-0.00082319-0.00012005i,-0.00098168-0.00020639i,-8.6258e-05+0.0004229i,0.00057329+0.00034084i,0.00038301-1.3771e-05i,-0.00019531-3.0371e-06i,5.6813e-06-0.00059562i
0.0020736+0.0024342i,0.0035934+0.00083199i,0.0045127+7.0654e-06i,0.0050889-0.00067111i,0.0043738-0.0016924i,0.0020194-0.0024312i,0.00063358-0.0018554i,0.00054542-0.00050188i,0.00012511-0.00034053i,-0.00058316-0.0011853i,-0.00055943-0.0014949i,-0.00058069-0.0010044i,-0.00069355+0.00027001i,-0.0012479+0.0011381i,-0.00080244+0.00075714i,0.00049718+0.00028897i,6.0429e-06+0.00068246i,-0.00066053+0.00057105i,-0.00030965-1.6823e-05i,-7.7502e-05-0.00035381i,-0.00044713-0.00044459i,-0.00063959-4.5411e-05i,-0.00040638+0.00066773i
0.00064513-0.001205i,0.00033532-0.00056857i,0.00061277+0.00057361i,0.0019246-0.00023832i,0.0030616-0.0012324i,0.0030274-0.00052252i,0.00167+0.00025746i,0.00019019+0.00096634i,-0.0010007+0.00077412i,-0.00058444+8.2704e-05i,-0.00010086-0.00085952i,-0.00045823-0.00091376i,-0.00072159-0.00044021i,-0.00027909-0.00026441i,0.00056254+0.00024401i,0.00070151+0.00011344i,0.00012949+0.00015075i,6.2374e-05+0.00011707i,0.00061118-0.00050276i,0.00056696-0.00071396i,0.0002385-0.00030497i,0.00051217-0.00010297i,0.0006021+0.0001856i
0.0016274+0.001868i,0.0026672+0.0018098i,0.0034697+0.0010491i,0.0036712+0.00034842i,0.0022889-0.0011714i,0.00066083-0.0010496i,-0.00084596-8.8811e-05i,-0.0017945-0.00011744i,-0.0013027+4.3229e-06i,-0.00072763-3.2925e-05i,-0.00081233+7.1199e-05i,-0.0012854+0.00033322i,-0.0010499+0.00013136i,-0.00051742-0.00032761i,-0.00010478-0.00015695i,0.00023943+0.00013503i,0.00037396+3.924e-05i,0.00060612+0.0002549i,0.00049135+0.00021311i,-0.00022667+8.3412e-06i,-0.0004426-0.00012583i,-0.00070889-0.00030973i,-0.00072605-0.00030018i
-0.00033773+0.0013027i,-0.0005096+0.00077701i,0.00036718+0.00071472i,0.0017737+0.00056643i,0.001964-0.00020035i,0.0016513-0.00093861i,0.0020821-0.00024331i,0.0010961+0.00029188i,-0.001102-0.0003231i,-0.0017243-0.00074101i,-0.0010337-0.00035015i,-0.0010315+0.00065395i,-0.0012159+0.00070656i,-0.00078743+0.00064972i,-0.00015004+0.00027158i,-0.00096797-0.00021797i,-0.0015347+0.00062697i,-0.00058293+0.00048954i,-0.00036428-0.00033836i,-0.00048795-0.00018827i,-0.00033566-1.2893e-05i,-0.0003198-0.00037217i,-0.00061855-0.00016113i
0.00099918+0.00014808i,0.00089578-0.00029096i,0.0018901-0.00087449i,0.0023946-0.0016523i,0.0015849-0.0022856i,-0.00034048-0.0015108i,-0.00081027-0.00043788i,-0.0010267-0.00044238i,-0.0012645-0.00040644i,-0.00056938+0.00022732i,-0.00069865+0.00021129i,-0.00086154+5.5546e-05i,-0.0012351+0.00040258i,-0.00048242+0.00028352i,0.00072486+0.0004369i,0.00015062+0.00079877i,-0.00013984+0.00030206i,0.00024704-5.3289e-05i,0.0001668-0.00047955i,0.00026957-0.00027429i,0.00032549-0.0001674i,0.00037999-0.00079063i,4.7662e-05-0.0008379i
0.00098999-0.00036296i,0.0017507-0.00039323i,0.002328-0.00057569i,0.0022769-0.0019421i,0.002726-0.0030756i,0.0028734-0.0024383i,0.0017247-0.0010354i,0.0011779-0.00033744i,0.00081199+0.00031242i,0.00026945+0.00076134i,0.0005349+0.0011018i,0.00026546+0.0011198i,-0.0005747+0.0011791i,-0.00068754+0.00078014i,-0.00063134-0.00050046i,-0.0011239-0.00016606i,-0.00095198+0.00088287i,-0.00060324+0.001004i,-0.00052055+0.00018769i,-0.00046756-0.00015616i,-0.00048967+0.00014527i,-0.00010759+0.00052429i,0.00031008+0.00036526i
0.00074142-0.00023484i,0.00020617+4.8445e-05i,0.00046086+0.0007788i,0.001416-1.9402e-05i,0.00096248-0.00047965i,0.00077364+0.0002897i,0.000657+0.00043407i,9.5713e-06+0.00056902i,-0.00042552+0.00099205i,-0.00039339+0.0006202i,-0.00031635+6.8424e-05i,-0.00040167-9.9068e-05i,6.6199e-05-4.0361e-05i,0.0011077+0.00016185i,0.00097041+8.5434e-05i,0.00024349-0.00062247i,-0.00071569-0.00092474i,-0.0011966-0.00074508i,-0.00074327-0.00056982i,-0.00075158-0.00070998i,-0.00086663-0.00041665i,-0.00039517+0.00011788i,-0.00044921-0.00012113i
