0.0032037-0.00094214i,0.0023399-0.00090228i,0.00054467-0.0018135i,-0.0012112-0.0019436i,-0.0019845-0.0010824i,-0.0019306+0.00022226i,-0.0014415+0.00098479i,-0.00055918+0.0010631i,0.00037358+0.00076432i,0.00057413-0.00025765i,-0.00023431-0.00061836i,-0.0011987-0.00033839i,-0.0011024-0.00012494i,-0.00067938+0.00078347i,-0.00024685+0.0011922i,0.00042662+0.00061567i,0.00041383+7.6021e-05i,0.00031987-0.00071386i,0.00042093+0.00044344i,0.00063168+0.0006475i,0.00040964-0.00049522i,-0.00022852-0.00077044i,-0.00012902-0.00085537i
0.0023456-0.0015635i,0.0015253-0.0024934i,-0.00014484-0.0032247i,-0.00070424-0.002337i,-0.00065759-0.0011972i,0.00017845-0.00074256i,0.0012624-0.0007174i,0.0012566-0.00096368i,0.0010706-0.00080089i,0.00022609-0.00014394i,-0.00063345-0.00033551i,-0.0011432-0.00035198i,-0.0015687+0.0005942i,-0.0012409+0.0011033i,-0.00019829+0.00042129i,0.00056615-0.00028919i,0.00027397-0.00044352i,-0.0012166+0.0001859i,-0.001619+0.00017318i,-0.00095367-2.0542e-05i,-0.00064176+0.00018301i,0.0001668+6.6149e-05i,0.00056442-0.0001652i
0.0014325-0.0029243i,0.0014957-0.0028068i,0.00097953-0.0021583i,-0.00025433-0.0013434i,-0.00065735-0.00014166i,0.00043308+0.001083i,0.0010832+0.0012527i,0.0010733+0.0012138i,0.00087123+0.00085064i,0.00074032+0.0007671i,0.00066349+0.00090121i,0.00052123+3.8474e-05i,0.00040547-0.00047713i,0.00030082+0.00028047i,-7.2863e-05+0.00051514i,-7.0197e-05-0.00018381i,-0.00050734-9.0796e-05i,-0.00044831-7.3617e-05i,0.00037222-0.00091536i,0.00051657-0.00024185i,-3.6216e-05+0.00063129i,-3.2189e-05-0.00018666i,7.9695e-05-0.0010812i
0.0043263+0.0016244i,0.003531-0.00012662i,0.0026296-0.00078422i,0.0021884-0.0014769i,0.0010934-0.0024249i,-5.011e-05-0.0020659i,0.00043634-0.00076198i,0.00097072+0.00044689i,0.0002505+0.0001649i,-0.00035782+0.0003767i,-0.00049906+3.3809e-05i,-0.00027201-0.00083126i,-0.00024041-0.0012022i,-0.0008182-0.00097899i,-0.00095261-0.00018364i,-0.0002098+0.00078631i,0.00027696+0.00051588i,0.00019978+0.00014763i,0.00030236-0.00025216i,0.00054155-0.00037155i,0.00025408-7.8064e-05i,-4.8262e-07-0.0003983i,0.00056201-0.00049089i
-0.0019115-0.0030781i,-0.00038611-0.0038123i,-0.00029633-0.0023574i,-0.0008422-0.00053206i,-0.00029517-0.0009493i,0.00016413-0.0020192i,6.7807e-05-0.0010688i,8.5969e-05-0.00048734i,0.00020154-0.00096477i,0.00041668-0.00076969i,0.00030997-0.00065532i,-1.1313e-06-0.0012635i,-0.00032566-0.0011745i,-0.00023727-0.00088795i,4.3421e-05-0.00091605i,-0.00036386-0.00047638i,-0.0006038-0.00010448i,-0.00037675-0.00029657i,-0.00042464-4.6183e-05i,-0.00054918+0.00026691i,-0.00067879+0.00051011i,-0.00027267+0.00075695i,-0.00024282+0.0011335i
-0.0015492-0.00084398i,-0.003052-0.0001271i,-0.0037246+0.0012113i,-0.0014058+0.00088066i,0.00096606+0.00077991i,0.0025307+0.00040818i,0.0027347-0.0001563i,0.0021174-0.00052311i,0.0010479-0.00031427i,-0.00036288-0.00040147i,-0.00031078-0.00050544i,0.00017624-0.00025258i,0.00018439+0.00016695i,0.00022559-5.3062e-06i,1.5376e-05-0.00038886i,-0.00048405+0.00041229i,-0.00032597+0.00064555i,0.00023247+0.00046722i,0.00027787+0.00051639i,0.00080745+0.0001567i,0.00099692+0.0002201i,0.00087419+0.00045624i,0.0001958+0.0001775i
0.011574+0.0064413i,0.014249+0.0043053i,0.016367-0.0041919i,0.010455-0.00906i,0.0036922-0.0091575i,-0.000889-0.0066213i,-0.00034697-0.0025826i,0.001242-0.00061587i,0.001509-0.00055217i,0.00078015-0.0017922i,-0.0010549-0.0023577i,-0.0018648-0.00094418i,-0.0012621+0.00042191i,-0.001521+0.00098678i,-0.0024532+0.00081846i,-0.0017053-2.6826e-05i,-0.00019978-0.00099065i,-0.00020407-0.00051784i,-1.1109e-05+0.00033162i,0.00095168+0.00063277i,0.00093028-4.9476e-05i,0.00052025-0.00038905i,-0.00016175+0.0002786i
0.0034089-0.00011898i,0.0034721+4.4695e-05i,0.0027844-0.0008784i,0.0018919-0.00048899i,0.0006051-0.0013147i,-0.0021839-0.0021211i,-0.0028241-0.0018087i,-0.0017781-0.0013837i,-0.0007273-0.00028122i,3.4301e-06+0.00025473i,-0.00010413-0.00014386i,-0.00052105+0.00014319i,-0.00055005+0.00017031i,-0.00047164+0.00023572i,-0.00078049+0.00041213i,-0.000319-0.00041985i,0.00058741-0.00058355i,-0.00020019-0.00029804i,-0.00092503-0.00032012i,-0.00034622-0.00021264i,7.0143e-05+0.0003332i,1.989e-05+0.00043601i,2.0374e-05+0.00028267i
0.0018752+0.00014993i,0.00101-0.00010775i,0.0016141-0.0013511i,0.0013692-0.0028868i,0.000258-0.0040588i,2.2235e-05-0.0039625i,5.2116e-05-0.0020317i,0.00051347-0.00054328i,0.00044636-0.00081276i,0.00050106-0.0013341i,0.000788-0.0016179i,0.00033126-0.0016851i,0.00072452-0.00070696i,0.0011763-0.00025156i,0.00035501-0.00031048i,4.3598e-05-0.00055837i,0.00023026-0.00071042i,-1.9058e-05-0.00052664i,0.00016302-0.00036324i,0.0006334+0.00019585i,0.00023678+0.00023266i,-7.7829e-05-0.0003668i,0.0002788-0.00082575i
0.0020397+0.00048349i,0.0016421-5.4375e-05i,0.00099952+8.0783e-05i,0.00045317-0.0007661i,0.00060926-0.001751i,0.0012785-0.0013395i,0.0019451-0.00023821i,0.0013093-5.7617e-05i,0.00063093-0.00017449i,0.0012206-0.00016395i,0.0011513-0.00028376i,3.723e-05-0.00045464i,-0.00060745+0.00022917i,-0.00058728+0.00024499i,7.4615e-05-0.00029561i,0.00051233-0.00061948i,0.00076568-0.00051382i,0.00053881-0.00019973i,-0.00010242+0.00021504i,-9.0925e-06+0.00040172i,0.00069505+0.00015652i,0.0005518+0.00036308i,-0.00037973+0.00064606i
-0.00074962-0.0022876i,-0.0011565-0.0032873i,-0.0014938-0.0023708i,-0.0017021-0.00032714i,-0.00077298+0.00084309i,0.00038898+0.0015668i,0.00021605+0.0011606i,7.4856e-05+0.00017876i,0.00024262-0.00047631i,-0.00038945-0.00040643i,-0.0015521-0.0010217i,-0.0020648-0.0014263i,-0.0012719-0.00058411i,-0.0003855-0.00035987i,-0.00027614-0.00019178i,-0.00049546+0.00016724i,-0.00035632+0.00048034i,-4.7595e-05+0.00069962i,8.3062e-05+0.00093586i,0.00039786+0.0011233i,0.00059654+0.00084908i,0.00040306+3.514e-05i,0.00024749-0.00020561i
-0.0010737+0.0015246i,-0.0002275+0.0014541i,0.00041792+0.00036381i,0.00087579-0.00076417i,0.0018833-0.0012676i,0.0015122-0.0012809i,0.0012487-0.00082897i,0.0012282-0.00022956i,0.00052047-0.00078629i,0.00079-0.00066762i,0.0010366+0.0003189i,0.00029757-5.2899e-05i,-3.005e-05-0.00019451i,0.0002804+0.00033617i,1.7478e-05+0.00027057i,-0.00016199+2.4733e-05i,-0.00026458-0.00028078i,5.0773e-05-0.00029085i,0.00037804+0.00036314i,2.9338e-05+0.00056747i,-8.3489e-05+2.8585e-05i,-0.00025733-0.00034333i,-0.00039067-0.00084655i
0.00040642-0.0018675i,-0.00012587-0.00063654i,-0.00076592-0.00027028i,-0.0007202+0.00048807i,-0.00061185+0.00050314i,-0.00077941-2.3728e-05i,-0.00039043+0.0011222i,0.00023463+0.0022011i,0.00028647+0.0014007i,0.00037234+0.00099757i,0.00037281+0.0012635i,0.00042897+0.00087649i,0.00064243+0.00098619i,0.00068846+0.0015331i,0.00039165+0.0014611i,0.00029015+0.00017425i,-0.00021758-0.00020638i,-0.00057308+0.00050231i,-0.00032636+0.0001207i,0.00029999-0.00031491i,0.0004982+0.0003055i,0.00020233+0.00029i,0.000401-0.00031745i
0.0006751-0.0007314i,0.0015429-0.0012897i,0.0016651-0.00083986i,0.00079072-4.4408e-05i,0.00043364-0.0001176i,0.0010651-0.00059082i,0.00089104-5.1149e-05i,0.00077206+0.00073097i,0.00044559+0.0004921i,-7.4395e-06+9.3091e-05i,-9.1716e-05+5.4788e-05i,1.4685e-06-0.00036674i,9.9498e-05-0.00082002i,0.0001204+0.00014122i,0.00048431+0.00054265i,-0.00024115+0.00018851i,-0.00019818+1.3515e-05i,0.00047993-0.00069761i,0.00066263-0.00076392i,0.00061827-0.00015458i,0.00050762+0.00056764i,0.00041858+0.00092055i,0.0003964+0.00025028i
0.00064722-0.00077971i,-0.00032959-0.0017143i,-0.00065918-0.0026565i,-0.00076141-0.0026328i,1.9371e-05-0.002133i,0.00067285-0.0014827i,0.0005783-0.00078512i,0.00064664-0.00048989i,0.00029457-0.00062997i,-0.00038515+4.2806e-05i,-0.00063281+1.0816e-05i,-0.00069626-0.0012292i,-0.00072675-0.0010894i,-0.00025082-0.00063056i,0.00030514-0.0004791i,0.00090304-0.00025375i,0.00054727-2.304e-06i,0.00037476+4.6606e-06i,0.00071978-0.00023202i,9.6458e-05-4.6244e-05i,-0.0010215+0.00024331i,-0.0012105-0.00011466i,-0.00070173-0.00066223i
0.0020846+0.00034542i,0.00097113+0.00052805i,0.00017662+0.00043107i,0.00016551-0.00058821i,-0.00011385-0.0015413i,-0.00040266-0.0020098i,0.00029877-0.0010111i,0.00045153+0.00025038i,1.6244e-05+0.00060253i,0.00037743-2.7337e-05i,-0.0005229-0.00055685i,-0.0017176-0.00051349i,-0.0013222-0.00019505i,-0.00055487+0.0003413i,1.4305e-06+0.00028217i,-1.2473e-05-0.00023722i,8.336e-05-0.00053232i,0.000194-0.00032315i,-0.00043529+0.00085451i,-0.00062659+0.0011124i,-0.00019206+0.00050459i,6.7928e-06+0.00021376i,0.00095002+0.00018206i
0.00061145-0.00030105i,0.0016842-0.00039771i,0.0019295+0.00081972i,0.0020289+0.00066729i,0.0017157-0.0011584i,0.00082653-0.001048i,0.00098251+0.00022481i,0.0012508+0.00051188i,0.00034877+0.00024255i,-0.00016927-0.00039662i,-0.0006101-0.0011944i,-0.00099889-0.0011082i,-0.00043689-0.00066927i,5.7198e-05-0.00019953i,7.254e-05+0.00056796i,0.00011784+0.0002764i,0.00024094-1.0547e-05i,0.0003552+7.1211e-05i,0.00022069+0.00031637i,-0.00025079+0.0009532i,-0.00087275+0.00078356i,-0.00044739+0.00057824i,-2.5698e-05+0.0005177i
0.0022999+0.0010616i,0.002966-0.0012703i,0.0035354-0.0029327i,0.0027987-0.0035171i,0.0014158-0.0034945i,0.00039496-0.0030164i,6.8557e-05-0.0019164i,-7.3753e-05-0.00022691i,0.0004243+0.00068352i,0.0012353+0.00076824i,0.00078268+0.00034877i,-8.0945e-05-0.00035177i,-0.00027645-0.00085505i,8.7504e-05-0.00098075i,0.00018049-0.00059869i,0.00093359-0.00080016i,0.0012021-0.0008739i,0.00024681-0.00050878i,0.00016913-0.00059705i,0.00023481-0.00079403i,-0.00073902-0.00074138i,-0.0010824-0.0002393i,-0.00098218+0.00059891i
0.00044524-0.0020785i,-0.0011442-0.0025396i,-0.0030392-0.0011564i,-0.0018951+0.00070707i,-0.0002836+0.00056536i,5.1239e-05-0.00051777i,0.00083657-7.7985e-05i,0.0017903+0.00060805i,0.0013772+0.00014545i,2.8052e-05-7.8404e-05i,-7.3074e-05-0.00043255i,0.00070174-0.00069978i,1.5055e-05-0.00054852i,-0.00060943-0.00059884i,-0.00025415-0.00013662i,-7.181e-05-0.00023939i,-0.00020488-0.00072826i,-0.00031727-0.00073493i,-0.00023334-0.00067816i,-5.8044e-05+2.338e-05i,9.6035e-05-0.00015917i,0.00017933-0.00039091i,-5.4752e-05-2.878e-05i
-0.0017347-0.0015298i,-0.00079739-0.0014148i,0.000677-0.001324i,0.0015048-4.7322e-05i,0.0024141+0.00087086i,0.0025809+0.0006067i,0.001477-0.00040175i,3.8228e-05-0.0007994i,-0.00040753-0.00050778i,5.5385e-05-0.00039046i,0.00036961-0.00072642i,0.00014725-0.0013051i,-0.00022657-0.0012245i,8.3069e-05-0.00061319i,0.00077024-0.00065795i,0.00042404-0.00027108i,-0.00066786+0.00066282i,-0.00089091+0.00025081i,-0.0006125-0.0001982i,-0.0002972+2.3309e-05i,-0.00043479+0.00016778i,-0.00055201+0.00024514i,-0.0005883+7.5944e-05i
0.0023989-0.0010387i,0.00010943-0.0012148i,-0.00092825-0.00029673i,-0.0012314-0.00010822i,-0.00094927-0.00061118i,-0.0001306-0.00058598i,0.00037497+0.00014206i,0.00030946+0.00077254i,9.2288e-05-2.8262e-05i,0.00021276-0.00077811i,-0.00015868-0.00045385i,-0.00051338-0.00038793i,-0.00014013-0.00019639i,0.00017936+6.1113e-05i,-0.0001124+0.00015858i,-0.00077905+0.00022316i,-0.00060826-0.00017723i,-0.00039782-4.7279e-05i,-0.00015318-0.00017883i,0.00017538-0.00018164i,0.00011191+0.00023609i,0.00032458+0.00034378i,0.0010209-0.0003274i
0.0019659+0.00020233i,0.0016336-0.00039422i,0.0015758-0.00032957i,0.0011973-6.9766e-05i,0.00088585-0.00059556i,0.00086716-0.00075856i,0.00052821-0.00045097i,-0.0003163-0.00033595i,0.00018159-0.00027875i,0.00016597-0.00019675i,-0.00072618+7.7313e-05i,-0.00042882+0.00012158i,0.00061656-0.00060388i,0.00056428-0.0010852i,-6.4231e-05-0.00068951i,-0.00011111-0.00059468i,0.00035553-0.00074238i,0.00015473-0.00036953i,-0.00034741+0.0002385i,-4.7605e-05+0.00090417i,0.00032515+0.0010474i,0.00049441+0.00061914i,0.00069371+0.00045217i
0.00099648-0.0010343i,0.0011425-0.0023233i,4.6446e-05-0.0027247i,0.00062164-0.0024638i,0.00080231-0.001133i,0.00055087-4.091e-05i,0.00023264+0.00073269i,4.7665e-05+0.00092776i,4.6999e-06+0.00033402i,-0.00053586-0.0004722i,-0.00078387-0.00092025i,-0.00051829-0.00023532i,7.2476e-05-4.1261e-05i,0.00031225-0.00055585i,-0.00026909-0.000562i,-0.00072815-0.0005902i,0.00029617-5.8793e-06i,0.00057744+0.00032341i,-0.00024024+0.00035104i,-0.00014348+0.00034021i,0.00016829+0.00072496i,6.072e-07+0.0015552i,-0.00028131+0.00092242i
0.00042481+0.0014979i,0.00012375+0.00096445i,0.00024901+0.00070069i,0.0012711-0.00023368i,0.002327-0.0019506i,0.0018517-0.0029467i,0.0013709-0.0014639i,0.0015565+4.1402e-05i,0.0013566+0.00080483i,0.0011325+0.00079286i,0.0012269-0.00011902i,0.00067634-0.0015514i,-5.1817e-05-0.0024076i,-0.00017554-0.0013922i,-0.00092914+0.00012289i,-0.00029057-0.000116i,2.3569e-05-0.0011531i,-0.0003925-0.0015317i,-0.00037652-0.00098925i,-0.00067565-0.00016546i,-0.00064831+0.0005494i,-0.00071567+0.00060471i,-0.00098943+0.0008965i
0.0014087-0.0010825i,0.0027975-0.0016073i,0.0027528-0.002025i,0.0013083-0.0016829i,0.00049014-0.0012701i,0.00026621-0.00085965i,0.00062159-9.1806e-05i,0.00077493+0.00046883i,0.00062574+0.00043644i,0.00099985-0.00065979i,0.0010962-0.00095569i,-8.7833e-05-0.00015745i,-0.0013236+0.00012313i,-0.0010798+0.00013128i,-0.00066727-0.00012469i,-0.00090206-9.4594e-05i,-0.00058643+0.00025011i,0.00037642+0.00017504i,0.00034528+0.00017253i,-5.2588e-05+0.00025683i,0.00032301-5.6552e-05i,0.00048554-0.00013083i,-0.00024901+1.6777e-06i
0.0007067+0.00066806i,-7.924e-05-0.00030685i,-0.00060348-0.0011494i,-1.6867e-05-0.0019648i,0.00066651-0.0021176i,0.00099138-0.0018706i,0.00081761-0.001246i,0.00023839-0.0004729i,-3.7816e-05-0.00014141i,-0.00091114-0.00064383i,-0.00098286-0.0013656i,-0.00088666-0.0015591i,-0.00063401-0.0012329i,-0.00025265-0.0013683i,0.00017246-0.0010261i,0.00040375-0.00081652i,-0.00013062-0.00058415i,-8.0535e-05-0.00023764i,0.00017705-0.0004662i,-0.00022718-0.00050304i,-0.00063949+0.00025098i,-0.000727+0.00082446i,-0.0013083+0.00034403i
0.00096774-0.0014756i,0.00099692-0.0011903i,0.00059989-0.0006126i,-0.00032974-0.00061947i,-0.00023763-0.0011464i,0.00048356-0.001734i,0.00094012-0.0012807i,0.0010026-0.00071969i,0.00089673-0.00056156i,0.00049069-0.00019648i,0.00037264-0.00048208i,0.00057105-0.00049649i,0.00060673+1.8573e-05i,0.00037242+0.00059471i,-0.00046844+0.00098764i,-0.00034243+0.00090185i,0.00043122+0.00025718i,0.00022913+0.00031883i,-0.00051798+0.0007765i,-0.00066801+0.0005579i,2.9261e-05+0.00051006i,0.00050521+0.00027748i,0.00028715-2.695e-05i
0.0015467-0.00099868i,0.000534-0.0020003i,0.00095714-0.0020942i,0.0012957-0.0018605i,0.0014519-0.0018261i,0.0011393-0.0011702i,0.00099595-0.00056762i,0.0013623+0.00068899i,0.00070242+0.00051003i,3.7125e-05-0.0005531i,0.00053592-0.0011618i,0.00047602-0.00068041i,-0.00078028-0.00035287i,-0.0013718-0.00066457i,-0.00070486-0.00044823i,-0.0001511-0.00032226i,-0.00036802-0.00027072i,-0.0010291+1.8278e-05i,-0.0014035-3.4236e-05i,-0.00079357+0.00058814i,3.8359e-05+0.00083366i,9.7512e-05+0.00041627i,0.00019804+0.00013482i
0.0022339-0.00050271i,0.003225-0.0015595i,0.0029313-0.0033453i,0.0013909-0.0036115i,-8.6649e-05-0.0030939i,-0.00049761-0.0023401i,0.00044101-0.0010116i,0.00063686+0.00036995i,0.00042899+0.00083968i,0.00096758+0.0010309i,0.00049557+0.00064766i,-0.00022813+0.00011648i,-0.00057404+9.5861e-05i,-0.00064692+0.00041105i,0.00034325+0.0007838i,0.0011227+0.0013876i,0.0013871+0.0012068i,0.00087814+0.00039822i,-6.582e-05+0.00017308i,-6.9619e-05+0.00021865i,0.00013874-3.4421e-05i,-3.209e-05+0.00022245i,0.00022523+0.00036563i
0.0010415-0.0011579i,0.00017388-0.0015659i,0.00068212-0.00093042i,0.00034193-0.0011908i,0.00026411-0.0025534i,0.00043044-0.0025273i,0.00081851-0.00067687i,0.00066966+0.00020557i,0.00025301-0.00062874i,0.00072904-0.0009321i,0.00021863-0.00093443i,-0.00077762-0.0011739i,-0.00054776-0.0012402i,0.00024225+3.3089e-05i,-0.00032282+0.0011659i,-0.00064009+0.00069424i,-0.00039459-0.00052374i,-0.00052981-0.00069339i,-0.00094581-0.00048956i,0.00024032-0.00032355i,0.00041052+0.00032627i,-0.00058031+0.00094676i,-0.0005764+0.00095533i
-0.0020642-0.001236i,-0.0025946-0.0013774i,-0.0026741+0.00014705i,-0.0016686+0.00087794i,0.000223+0.0004447i,0.0015443-0.00039422i,0.0012922-0.00039888i,0.00037118-0.00016286i,-0.00024638-0.00023506i,0.00014446+7.9996e-05i,0.00062577+1.8977e-05i,0.00058267-5.846e-05i,0.00093841+0.0002717i,0.0010959-0.00013168i,0.0004632-0.00033661i,0.00016199-0.00019376i,0.00039931+1.8701e-05i,0.00055753+0.00024039i,1.7931e-05-1.7966e-05i,-0.00044251-0.00099054i,-9.9815e-05-0.00099921i,0.00015808+7.0496e-05i,-0.00036619+0.00044339i
-0.0011457-0.00086351i,-0.00062251-0.00096812i,-0.00029214+0.00063408i,0.00043836+0.00066479i,0.0012253-0.0002375i,0.0016987-0.00057509i,0.0019312-0.00079781i,0.001198-0.00046927i,0.00062074-2.7966e-05i,0.00093097+1.6918e-05i,0.001341-0.00031484i,0.00099126-0.0011828i,-3.2409e-05-0.0007678i,-0.00013724-8.1036e-05i,0.00046133-0.00071309i,0.00037553-0.0013632i,6.7659e-05-0.00063491i,0.00010749+0.00018407i,0.00036848-4.4636e-05i,0.00031604+5.0611e-05i,4.1112e-05+0.00026449i,-0.00038412-8.4352e-05i,-0.00014192-0.00049356i
0.0031121-0.00072087i,0.002206-0.0023399i,0.0011618-0.0027272i,0.0007997-0.0027186i,0.0015862-0.0024367i,0.0017652-0.0012736i,0.0010796-0.00047353i,0.00084113+0.00019989i,0.00057856+0.00068421i,-0.00030064+0.00038365i,-0.00060615-0.00021032i,-0.00070324-0.00099507i,0.00017261-0.000771i,0.00048064-0.00036247i,-0.0001867-6.637e-05i,-0.00029495+0.00015709i,-0.0003328-0.00053614i,-0.00033204-0.0010053i,-0.00043376-0.00079079i,0.00014662-2.3858e-05i,0.00088554+0.00082884i,4.1923e-06+0.0011068i,-0.0004629+0.00050386i
0.0017643-0.0015004i,0.0016832-0.0017374i,0.0010644-0.0022666i,0.00021874-0.0021152i,0.00026696-0.0017283i,0.00073284-0.0013028i,0.00073051-0.00086492i,0.00059628-0.00021538i,-2.2681e-05+0.00014614i,-0.00035746+0.00044647i,-0.00064013+0.00077983i,-0.0004609+0.00075424i,9.5371e-07+0.00051106i,-0.00032333+0.00026497i,-0.00050144-0.0002477i,-1.5242e-06-0.0003827i,6.1687e-06-0.00016003i,-9.224e-05+0.00060926i,0.00023556+0.00063105i,0.00017131-0.00063533i,-7.6903e-05-0.00070595i,5.5497e-05-8.9799e-06i,-0.00027347-2.8395e-06i
0.00017185-0.0026316i,-3.0089e-05-0.0025829i,-0.0011142-0.0014831i,-0.0017629+0.00028368i,-0.0010239+0.00047626i,0.00058592-0.00083876i,0.0010942-0.00074498i,0.00045527-0.00023077i,0.00016996-6.4052e-05i,9.8505e-05+0.00010314i,0.0002188-0.00033297i,0.00014601-0.00040938i,-0.00017895+7.7463e-05i,-0.0002313+0.00030039i,0.00029767+9.0994e-06i,0.00049794+8.5911e-05i,0.00013438+0.00010051i,-4.6982e-05+0.00039895i,-0.00048786+8.56e-05i,-0.00072393-0.00060834i,6.8912e-05-0.0001583i,0.00019264-0.00011499i,-0.00035523+0.00010624i
-0.00088258-8.8878e-06i,-0.00062539-0.00069559i,-0.00061776-0.00021922i,0.00015142+0.00023986i,0.0017228+0.0001186i,0.0033686-0.00025284i,0.001961-0.00059669i,2.9879e-06-0.00064705i,0.0007803+9.0461e-05i,0.0011909+0.000908i,8.7247e-05+0.0010266i,-0.00014796+0.0009059i,-8.5745e-05+0.00034966i,0.00019843-0.00037908i,0.00069958-0.00089353i,0.00043316-0.00095768i,-3.3178e-07-0.00069191i,-0.00024402+0.00017486i,-0.00021974+0.00048505i,0.00063118+0.00087691i,0.0014097+0.00064468i,0.00092567-0.00050232i,0.00044698-0.0004924i
0.00098649+0.0012938i,0.0021231+0.0012465i,0.0019692+0.0003744i,0.0013681-0.00066677i,0.0011121-0.0016459i,0.0012202-0.0015047i,0.0014259-0.00016566i,0.0011674+0.00085577i,0.00056154+0.00069344i,0.00059572-0.0002084i,0.0007097-0.00068438i,0.00026776-0.00043171i,-0.0003477-0.00024632i,-9.1061e-05-0.00082714i,0.00045618-0.00049406i,0.00019388-0.0002714i,0.00041777-0.00021088i,0.00029374+0.00031297i,-0.00018368-3.938e-05i,-0.00058888+0.00010836i,-0.0013891+0.00081988i,-0.0010366+0.00017752i,-7.0161e-05-1.4831e-05i
0.0014147+0.00062845i,0.0023126-0.00041669i,0.0029161-0.00076834i,0.0021819-0.001418i,0.0012708-0.0016602i,0.00033761-0.0015869i,0.00013822-0.0010486i,0.00071247-0.00067781i,0.0010886-3.3953e-05i,0.00081551-0.00021504i,0.00048164-0.00083068i,7.9108e-05-0.00075038i,-0.0010262-0.00079414i,-0.0021836-0.00051957i,-0.0012212+0.00010136i,0.00044493+0.00040219i,0.00033104+0.00031999i,-0.00020487+4.9969e-05i,0.00018423-0.00012007i,0.00031333-0.00020029i,-0.00016086+0.0006292i,0.00010354+0.00064632i,0.00019825+8.2659e-05i
0.00048728-0.00081744i,0.00060079-0.0013471i,-9.5241e-06-0.002298i,-0.00045339-0.0015401i,-0.00061929-0.00032672i,-0.00028516-0.00079582i,0.0011912-0.00023414i,0.0012943-0.00022422i,0.00047368-0.00098139i,-0.00026354-0.00047346i,-0.00082495-0.00061444i,-0.00075279-0.0012784i,-0.00097307-0.00081368i,-0.00042767-0.00024925i,0.0010377+8.4252e-06i,0.0011345+0.00024078i,0.00083388-0.00029616i,0.00099646-0.00056191i,0.00037167+0.00015297i,-0.0003993+0.00070299i,-9.1532e-05+0.00077976i,0.00010501+0.00037949i,-0.00039632-0.00032839i
0.00071522-0.0010801i,4.8406e-05-0.0010203i,-0.0010757-0.0016446i,-0.00082452-0.0021124i,0.00036337-0.002157i,0.00040868-0.0018217i,-4.422e-05-0.00087019i,0.00033013-0.0001041i,0.0010361-8.4046e-05i,0.00043476-0.00017607i,-0.00014037+2.6228e-05i,-0.0002614-0.00066399i,0.00017562-0.0011203i,0.00032316-0.00020587i,0.00022933-0.00013969i,7.043e-05-0.00017121i,-0.00040251+1.8232e-05i,-0.00055685-0.00010953i,-0.00013985-0.00010895i,0.00023731-0.00035248i,4.3719e-05+0.0002305i,-0.00028212+0.0010392i,-4.2834e-05+0.00055308i
0.0014739-0.0020505i,0.00034855-0.0032668i,-0.00029344-0.0041556i,-0.00072804-0.0031158i,-0.0010667-0.0019814i,-0.00042259-0.00071541i,0.00040171+0.00037311i,0.0010872+0.00031805i,0.0018339+0.00033297i,0.001381-4.2832e-05i,0.00030501+0.00021143i,-1.5066e-05+0.00039403i,0.00039912+0.00023408i,0.0008769+0.00035281i,0.00097619+0.00021347i,0.00089295-0.00019888i,0.00061713-0.00036089i,-0.00015464-0.00064177i,-0.00058906-0.00095501i,0.00058131-0.00021154i,0.00067584+0.00059201i,-0.00024761+0.00056391i,-0.00058783+0.00024747i
0.0024476+7.5805e-05i,0.0023052-0.00017536i,0.0018673-0.0014876i,0.0012166-0.0021507i,0.00045121-0.0010864i,0.00064269-0.00014034i,0.0010762-0.00051033i,0.00087907-0.00016858i,0.0014198+0.00025486i,0.0014157+0.00011825i,0.00050339-0.00022187i,0.00024195-0.00057221i,0.00035392-0.00067232i,0.00028644-0.00014991i,0.00018143-0.00010244i,0.00019505+0.0002741i,3.9171e-08+0.0010272i,0.00019872+0.0009175i,0.00024739+0.00039521i,-0.00026724-0.00016642i,-7.744e-05-0.00022244i,0.00074658+5.0396e-05i,0.00032801+0.00015481i
0.0017244-0.00021589i,0.00059928-0.0012153i,0.00057729-0.0017301i,0.00070237-0.0013364i,0.00099888-0.0014363i,0.0014133-0.0016629i,0.0001089-0.00049395i,1.1629e-05+0.00022585i,3.2212e-05+0.00033164i,-0.00030183+0.00090194i,6.4712e-05+0.00028976i,-0.00039238-0.00073676i,-0.00042553-0.00084422i,0.00018764-0.00030871i,0.00018325-0.00014331i,9.0817e-05-0.00072134i,0.00041584-0.00085462i,0.0003462-0.00037274i,0.00024024-0.00023777i,0.00010543+8.0223e-05i,-0.00045899+0.0002289i,-0.00052842+7.7626e-05i,-0.0002927-0.00023512i
0.00036865+0.00078943i,0.001539-0.00060879i,0.0021602-0.00027393i,0.0026191-0.00037143i,0.0027287-0.0014232i,0.0026-0.0023018i,0.0023082-0.0015592i,0.0021155+0.00017244i,0.0013596+0.00046801i,0.00015662+4.5732e-05i,0.00047482-7.3422e-05i,0.00092339+0.00010515i,0.0003043-3.9115e-05i,-0.00037181-0.00063576i,-0.00037575-0.00061124i,-7.462e-05-6.1044e-05i,0.00011297-0.00016623i,-0.00064189-0.00030205i,-0.00043224-9.8965e-05i,0.00042723+0.00055134i,0.00051024+0.00070758i,0.00040843+0.00023008i,0.00055738+5.7312e-05i
