-0.0013866+0.00019523i,0.00015527-6.8896e-05i,0.00014424+0.00061152i,-0.0002185+0.0014551i,-0.00079995+0.0020816i,-0.001293+0.0021161i,-0.00091155+0.0014795i,0.00018918+0.00069189i,0.00092623+2.5385e-05i,0.00095727+7.8203e-05i,0.00058933-7.0796e-05i,-7.4864e-05-0.00079246i,5.8668e-05-0.0010697i,-0.00032789-0.0013253i,-0.00075399-0.00087654i,-0.0003967+0.00042823i,-0.00024926+0.00081174i,7.4691e-05+0.00059533i,0.0004674+0.00021181i,0.00022664+5.3145e-08i,0.00019663+0.00011298i,0.00036028-0.00047232i,-0.00014212-0.00066899i
0.00074932-0.0011976i,-1.0385e-05-0.00035633i,-5.688e-05-0.00085217i,-0.00016596-0.0012533i,-0.00059817+0.0003719i,-0.0011176+0.0020367i,-0.0013454+0.0021843i,-0.0013534+0.0011826i,-0.0012496-0.00015738i,-0.00078106-0.0002612i,-0.00012446-0.00010964i,0.00019251+0.00013115i,4.7015e-06+0.00024781i,0.00018356+8.6756e-05i,0.00057212+0.00017744i,-0.00014018-0.00036183i,-0.00069237-0.0014396i,-0.00081517-0.0013964i,-0.00083279-0.00070709i,-0.0006802+1.1548e-05i,-0.00079464+0.00052364i,-0.00055317+0.00031998i,-0.00021197-0.00035581i
6.0986e-06-0.0012066i,0.00029995-0.001406i,-0.00091309-0.00078496i,-0.0020256+0.00040243i,-0.0027853+0.0016183i,-0.0026515+0.0017668i,-0.00077682+0.0011223i,-5.9851e-05-0.00017322i,-0.0012578-0.0012482i,-0.0013741-0.0012807i,-0.00017922-0.0010045i,0.00039272-0.00027204i,0.00019167-0.00014853i,-0.00021214-0.00082489i,-0.00037269-0.00095344i,0.00011787-0.00032876i,0.0003164-0.00034681i,-0.00027621-0.00068002i,-9.0053e-05-0.00095625i,0.00046814-0.00089855i,0.00032936-0.00070265i,0.00011269-0.00022124i,0.00016651+0.00043838i
-0.0021234-7.379e-05i,-0.0014663-0.00031256i,-0.00079057-0.00042733i,-0.00021505+0.00044751i,-0.0003707+0.0007129i,-0.00091287+0.00058545i,-0.00025779+0.00025464i,0.00069235-0.00035451i,0.00039365-0.001161i,0.00021623-0.00060557i,0.00018451+0.00090323i,0.00020144+0.001023i,0.00045839+2.4628e-05i,0.00097232-0.00083095i,0.0011264-0.0008249i,0.00031927-0.00045791i,-0.00022058-0.00033984i,-0.00010548+0.00019664i,0.0003638+0.00011563i,0.00048966-0.00044693i,0.00042088+0.00028582i,0.00023919+0.00081792i,1.5685e-05+0.00073741i
-0.00025288-0.00086032i,-0.00048157-0.00058975i,-0.0015578-0.00082621i,-0.0012125-0.00082279i,-0.0013179-0.00045735i,-0.0021381-0.00070023i,-0.0015558-0.0002928i,-0.00021471+6.3678e-05i,-0.00054605-0.00016943i,-0.0010415+8.4204e-05i,-0.00063708-0.00023514i,-0.00039796-0.00040558i,-0.00076483+0.00034118i,-0.00067857+0.0003654i,-0.00072977+0.00022914i,-0.00074795-0.00024329i,-4.6119e-05-0.00078644i,-0.00016493-0.0007403i,-0.00063782-0.00042696i,-0.00049328-0.00022405i,-0.00040035-0.00039636i,0.00028561+0.00014982i,0.00025371+0.00073265i
0.00045823-4.8343e-05i,0.00036088+0.00010081i,0.00072226+0.00021161i,0.00065506-0.00031546i,-0.0003058-0.00012082i,-0.0016479+0.00077279i,-0.0011014-0.00014311i,0.00046708-0.0013117i,0.00062743-0.0015156i,0.00024374-0.00077116i,0.00018171-0.00011628i,0.00010556-0.00069381i,-0.00015452-0.00062873i,-0.00065044+0.00050184i,-0.0010083+0.00082173i,-8.0251e-05+0.00050587i,9.8097e-05+0.00013603i,-0.00043316-0.00028386i,-0.00047041-9.861e-05i,-0.00016574+0.0003969i,-0.00060539+0.00049402i,-0.00096361+0.00036446i,-0.00059758-0.00011393i
0.00037212+0.0005049i,-0.00057878-7.576e-05i,-0.0011543-0.00031619i,-0.0019403-0.00064925i,-0.0024579-7.1037e-05i,-0.0023244+0.0001453i,-0.0012764+6.0993e-05i,-0.00018044-0.00074185i,0.00066402-0.0016314i,0.00040307-0.0012379i,0.00024029-0.00096439i,0.00086644-0.00076295i,0.00070429+0.00033161i,-0.00053179+0.0015394i,-0.00064199+0.00051304i,-0.00014879-0.00030764i,0.00024847+0.00029254i,0.00094979+0.00037585i,0.00019607-1.0973e-05i,-0.00057999-0.00023862i,-0.00041599+3.2176e-06i,-0.0003634+6.8759e-05i,-0.00047704+4.8155e-06i
-0.0015962+0.00028871i,-0.0018805+0.00030865i,-0.0016374+0.0015668i,-0.00041422+0.001727i,0.00013835+0.00049438i,-0.00023424+4.9483e-05i,-0.00032462-0.00024665i,0.0003834-0.00045183i,0.00026574+3.5856e-05i,0.00013151+0.00046604i,0.00047283+0.00065158i,0.00068226+0.0011392i,0.0010222+0.00047515i,0.00014633-0.00066643i,-0.00093966-0.00082717i,-0.0011327-0.00075071i,-0.00052191-0.00035866i,-1.1222e-05+0.00017805i,-0.00034882+5.4336e-05i,-0.00054395+3.935e-05i,3.113e-05+0.00014324i,0.00059941+0.00023521i,5.5158e-05+7.3421e-06i
-0.0011723-0.0013436i,-0.0011293-0.0010873i,-0.0011825-0.00088486i,-0.0019099+0.00016629i,-0.0023376+0.0018916i,-0.0017478+0.0018222i,-0.00042571+0.00019875i,0.00030837-0.0006414i,6.476e-05-0.00098399i,-0.00063559-0.00078782i,-0.0013823-0.00022449i,-0.0008289-0.00038164i,-0.00021899-0.00072495i,0.00065893-0.00078046i,0.00047981-0.00057035i,-0.00075175-0.0002655i,-0.00064436+0.0002465i,0.00020632+0.00043367i,0.00094054+0.00060077i,0.00068987+0.00010132i,0.00031988-0.0002573i,0.00023651-0.0004532i,0.00047554-0.00052194i
-0.0009369+0.0010558i,-0.0002851+0.00012758i,-0.00088056+0.00014942i,-0.0012866+0.0010024i,-0.0018004+0.0018572i,-0.0019656+0.0019497i,-0.00098133+0.0011104i,-4.5844e-06-0.00017374i,0.00029978-0.00030236i,0.00037548+2.368e-05i,0.00067861-7.1856e-05i,0.0006844-0.00062711i,0.00047668-0.001057i,0.00034415-0.00060686i,0.00018835-0.0003236i,0.00037334-0.00077094i,0.00083566-0.00072263i,0.00082794-0.00027639i,-0.00022043-0.00029033i,-0.0010066-0.00036648i,-0.00078072-0.00027803i,-0.00014089+4.4646e-05i,-0.00027995+9.3497e-06i
0.00046831-7.3047e-05i,-0.00057646-0.00054286i,-0.00010526+0.00017958i,-1.7305e-05+0.00057942i,-0.00033923+0.0005897i,0.00045704+0.00095248i,0.00082201+0.0011863i,0.00057174+0.00097569i,0.0003876-7.8591e-05i,0.00031724+0.00018009i,0.000414+0.00041002i,0.00055208-0.00059879i,0.00040919-0.00054959i,0.00030572+0.00049825i,-7.7906e-06+0.00097591i,-0.00052636+0.00014536i,-0.00058572-0.00038243i,0.00025748-0.00055427i,0.00072144-0.0011167i,-0.00019842-0.00084583i,-0.0010941-0.0001543i,-0.00091242+3.4027e-05i,-0.00016423-0.0003077i
0.00046007-0.00071896i,0.00014999-7.2492e-05i,-0.0002758+0.00053711i,-0.0013362+0.00083366i,-0.0029892+0.0018655i,-0.003155+0.0027132i,-0.0018969+0.001912i,-0.00023077+0.00035989i,0.00026278-0.00062746i,-0.00034022-0.00063619i,-0.00013497-0.00016642i,-1.6848e-05-2.8352e-05i,-0.00016796-0.00025376i,0.00012827-0.00049534i,0.00064486-0.00077811i,0.00050445-0.00017029i,0.00037556+7.9467e-05i,0.00040399-0.0013709i,0.00036336-0.0014461i,0.00095596-0.00019651i,0.0011167-0.00033473i,4.1609e-05-0.00043116i,-4.3129e-05-0.00055719i
-0.00055297-0.0011633i,-5.099e-06-0.00070117i,-0.00037632-0.0002646i,-0.00033985-0.00049774i,-0.0015125-0.00023554i,-0.0019482+8.761e-05i,-0.0014949-0.00011125i,-0.00081242-0.00091864i,0.00019802-0.00087759i,0.00058329+0.00062093i,0.00043966+0.0014871i,-0.0006349+0.00088796i,-0.0013776-0.00046068i,-0.00090618-0.0010286i,-0.00056643-0.00054232i,-0.00056661-0.0001735i,-0.00034485-7.6358e-05i,-0.00037167+3.3865e-05i,9.1061e-05-0.00011003i,0.00027755+0.00011333i,0.00030754+1.8733e-05i,0.0003177-5.2614e-05i,0.00013541+0.00021741i
-0.0019931-0.00012951i,-0.0014681-0.00039216i,-0.0010164-0.00019668i,-0.00098707+0.0013295i,-0.00045937+0.0025903i,0.00046967+0.0016561i,0.00019604+4.11e-05i,-0.00044399-0.00023765i,-0.00054917-0.00049036i,-0.00055816-0.00053497i,0.00014107-0.0001269i,0.00082511+7.7702e-05i,-1.0261e-07-0.00080117i,-0.0010966-0.0010874i,-0.001096-0.00033457i,-0.00030569-0.00043516i,8.8271e-05-0.00052736i,0.00045914-0.00038497i,0.00048222-0.0002214i,0.00014269-4.8399e-05i,0.00049211-0.00030056i,0.0010572-4.5879e-06i,0.00041484-6.0717e-05i
0.00052805-1.5281e-05i,0.00066265+0.00076223i,0.00022875+4.3832e-06i,-0.00074373-0.00028261i,-0.0025409+0.00052928i,-0.0027974+0.0011576i,-0.0017207+0.0003864i,-0.00050298-0.00068051i,-8.2582e-05-0.0017346i,-0.00072238-0.001816i,-0.00091074-0.0010037i,-0.0001816-0.00051876i,0.0011159-0.00049534i,0.00141-0.00014996i,0.00035737+5.2102e-05i,-0.00018746+0.00063499i,-0.00017415+0.0011436i,-0.00049243+0.00093732i,-0.00018076-0.00024529i,-0.00024592-0.00012395i,-0.0013967+0.00094762i,-0.00068297+0.00097439i,-0.00014129+0.0013325i
0.00028634-0.00017849i,-0.00021973+0.00023649i,-0.0012483+0.000317i,-0.0012607+0.00011881i,-0.0011302-0.00016023i,-0.0013383+0.0001272i,-0.00081976+0.00022247i,0.00012438+0.00047664i,0.0003802+0.00087642i,0.00032549+0.00010975i,0.0003391-0.00029425i,-5.6952e-05-0.00028259i,-0.00040683-0.00057414i,0.00053682-0.0008794i,0.0019683-0.0008453i,0.0017897-0.0003755i,0.00065777+8.0147e-06i,0.00030156-0.00011347i,0.00028783-0.00032872i,0.00050376+0.00010116i,0.00089606+0.00063868i,0.00074946+0.00047683i,0.00044625+0.00020682i
0.0003127-7.7737e-05i,0.0010305-0.00092719i,0.0013883-0.00049746i,-0.00019939+0.00064276i,-0.002114+0.0013042i,-0.0021698+0.0011209i,-0.0007112+0.00013789i,-0.00022092-0.00092839i,-9.2228e-06-0.00041926i,0.00052588+0.00046968i,0.00082925+0.00037922i,0.0001474+0.00027352i,-0.00017012+0.00018716i,0.000279+1.4745e-05i,0.00022541-0.00028435i,-5.8081e-05-0.00032494i,-0.00012345+0.00027686i,-5.7225e-05+0.00031332i,0.0002603+4.2113e-05i,0.00023312+0.00034467i,0.00023761+0.00041613i,-4.4507e-05+0.00030748i,-0.00031331+0.00070441i
7.2545e-06-0.00061482i,-0.00092145-0.00070847i,-0.0015801-8.4799e-05i,-0.0012458+0.00020189i,-0.0016331-0.00027424i,-0.0012391-0.00074883i,-0.00064781-0.00052367i,-0.000182-0.00029841i,-0.00021022-0.00061932i,-0.00073271-0.00054874i,-0.00082917-0.00012993i,-0.00073745-0.00027974i,-0.00087572+0.00045477i,-0.00090568+0.00026842i,-0.00060568-0.00053806i,-0.00022801-0.00035182i,4.1241e-05-0.00014906i,-0.00037166-0.00033627i,-0.00014228-0.00058839i,0.00037294-0.00014919i,0.00049255+0.00046982i,-0.00032482+8.2717e-05i,-0.0012663-0.00018549i
0.0013661-3.444e-05i,0.00087569-0.00029561i,0.00044774-0.00039928i,-0.00053741-0.0001655i,-0.0014848+0.00098709i,-0.0012798+0.0010338i,-0.00051475+0.00012882i,0.00064533-0.00027852i,0.0010706-0.0016373i,0.00059812-0.0020734i,0.00087037-0.00099665i,0.00064542-7.7419e-05i,5.1533e-05-0.00033451i,7.9455e-05-0.00078039i,0.00030097-0.00028137i,0.00057828+1.2611e-05i,0.00097921+0.00037082i,0.00091476+0.00033699i,0.00041552-0.00058924i,0.00030231-0.00076066i,0.00020156-0.00031748i,0.00059069-0.000492i,0.00085333-0.00064858i
-2.5106e-06+0.00031159i,-0.00051485-0.00031362i,-0.0010018+1.6597e-06i,-0.0016101+0.00082177i,-0.0026074+0.0020302i,-0.0034353+0.0020847i,-0.0017081+0.00089039i,0.0010661-0.00042221i,0.0015536-0.0010729i,0.00017377-0.00081525i,0.0002282-0.00015398i,0.0012066-0.00055i,0.0012668-0.00091107i,0.0011069-0.00078602i,0.00087852-0.00061927i,0.00062829+0.00060067i,0.00047559+0.00097402i,0.00098032+0.00051684i,0.00081983-0.00018589i,-4.3485e-05-0.00087871i,-0.00047684-0.00045285i,-0.00095737-5.4232e-06i,-0.00032182+3.2964e-05i
0.00065088+0.0005219i,0.00012566+0.00024963i,-0.00020918+5.6414e-05i,-0.00058761+0.00056234i,-0.00084513+0.00027646i,-0.0010112+0.00024165i,-0.0009029+0.00021444i,-0.0004538-0.00053197i,-0.00025543-0.0014895i,9.0047e-05-0.0014718i,0.00029288-0.00101i,0.00045716-0.00077567i,0.00071028-0.00010963i,0.0010333+0.00054021i,0.0011912+0.00058196i,0.0001255+0.00022344i,-5.4342e-05-4.4711e-05i,0.00046083-2.4178e-05i,-0.00013044-0.00020013i,-2.7645e-05-0.00015907i,0.0007908+0.00011933i,0.00058773+0.00033184i,0.00059817+0.00045045i
-0.0018303+0.00080252i,-0.0013115-0.00025429i,-0.00014644+0.0002823i,0.00011075+0.0013515i,-0.00071024+0.002237i,-0.0015768+0.0016698i,-0.0016966+0.00037207i,-0.0005525-0.0001079i,-0.000124+0.00025756i,-0.00065245+0.00019277i,-0.00026432-0.00010393i,9.7668e-05-0.00031251i,-0.0005429-0.00074476i,-0.0008989-0.00073644i,-0.00046159-0.00058638i,0.00034699-0.00034919i,0.000462-0.00022023i,0.00019821-7.1839e-05i,-1.8773e-05-0.00021642i,0.00011113-0.00082482i,-1.1091e-05-0.00096834i,-0.00082012-0.00096981i,-0.0009196-0.0007971i
-0.00072929+0.0026671i,-0.001108+0.0018993i,-0.00043761+0.00021662i,-0.00013829-0.00053528i,-0.00069228-0.0011075i,-0.0021489-0.0013123i,-0.0018667-0.00085663i,-0.00097915-0.00045066i,0.00020954-0.00030316i,0.0012787+3.9619e-05i,0.0001468+0.00011408i,-0.0009079-0.00056875i,-0.00057768-0.0010124i,-0.00044124-0.00042612i,-0.00067533+0.00040714i,-0.00021216+0.00044207i,0.00061074+0.00053291i,0.00034741+0.00071535i,-0.00039663+0.00026706i,-0.00027508-0.00030065i,0.000835+0.00023078i,0.00096725+0.00073556i,-0.00077616+0.00033391i
-0.00042801-0.0007398i,-0.00034643-0.000715i,-0.0013272-0.00015486i,-0.0015174-2.887e-05i,-0.0009742+0.00070794i,-0.000402+0.0011845i,-0.00049134+0.000673i,3.5907e-05-8.6343e-05i,-1.9432e-05-0.00035022i,1.9899e-05-0.00025702i,0.00027147+0.00012743i,-0.00023467+0.0011006i,-0.00053761+0.00061278i,-0.0004679-0.00034457i,-0.00064824-0.00066251i,-0.00057646-0.00084239i,-0.00048646-0.00077417i,-0.00028408-0.0002686i,-0.00022606+0.00034215i,-0.00029735+0.00021198i,-0.00034928-0.00048354i,0.00015615-0.0012396i,0.0001628-0.0004602i
-0.00084561-0.00018898i,-0.00068143+0.0007542i,-0.0005406+0.0014934i,-0.00075806+0.0023306i,-0.0014183+0.0027407i,-0.001526+0.0018139i,-0.0012842+0.0010945i,-0.0011899+0.00026273i,-0.00081514-0.00020432i,-0.00035607+0.00054526i,0.00035801+0.00048492i,0.00032825+0.00018337i,2.7488e-06+0.00013583i,0.00031882+0.00021224i,0.00030299+6.7064e-05i,0.00016497+1.9092e-05i,-0.00019333+0.00047276i,-0.00055536-0.00012228i,-0.00019406-0.00069006i,-0.00025151-0.00099584i,-0.00057802-0.00047206i,-0.00061482-0.00022785i,-0.00063107-0.00031966i
-0.00052768+0.0024277i,3.6923e-05+0.0013513i,0.0010847+0.00071361i,0.00061793+0.00025999i,-0.00040488-0.0012703i,-0.00067152-0.00089282i,-0.000749+0.00075587i,-0.00038109+0.00053887i,-4.1586e-07-0.00051734i,-1.8589e-05-0.00067957i,0.00037318+0.00024979i,0.00036129+3.4221e-06i,0.00031294-5.578e-05i,0.00021252+0.00028805i,-0.0003046+0.00019128i,-0.00040437+1.8318e-05i,6.0941e-05-0.00053747i,0.00025822-8.0435e-05i,-2.8461e-05+0.00063985i,-0.00019224+0.0001146i,0.00066165-0.00020188i,0.0010739-0.00028583i,0.0010701+0.0002526i
0.0013725+0.0011458i,0.00050801+0.00050825i,-0.00097364-0.00051931i,-0.0016512+0.0010412i,-0.0018846+0.0031216i,-0.0025894+0.0025014i,-0.0016212+0.0014072i,0.00061033+0.00044234i,0.0010506-0.00088658i,0.0004241-0.00040985i,0.00029522+0.0001074i,0.00074196+0.0001342i,0.00034038+0.00028304i,2.7804e-05+0.00014364i,7.6416e-05+7.7406e-05i,3.4584e-06-0.0003526i,0.00052337-0.00045915i,0.00025916-0.00026456i,-0.00048739-0.00068736i,-0.00074969-0.00039552i,0.00017149+0.00014792i,0.0011278-0.00017308i,0.00018985-0.00062932i
-7.4876e-05-0.00071813i,-0.00037151-0.00069687i,-0.001159-0.001498i,-0.0010157-0.001727i,-0.0014583-0.0014844i,-0.001982-0.00083374i,-0.00056841-4.6278e-05i,0.00046393-0.00046694i,8.2208e-05-0.0011599i,0.00040812+1.7243e-05i,0.00028079+0.00093162i,-3.998e-05-0.00017954i,0.00029889-0.00036331i,0.00020047-0.00012611i,-0.00012952+2.5578e-05i,-0.00045342+0.00027677i,-0.00017686+0.00041536i,-0.00056723-0.00026103i,-0.00044319-0.0009397i,0.00019412-0.00010132i,-0.00034706+0.00055697i,-0.0013442+0.00035835i,-0.001054+0.00017363i
0.00049206-0.00144i,0.00031809-0.00087757i,-0.0012628-0.00016644i,-0.0025814+0.00040067i,-0.0028728+0.00095757i,-0.0020087+0.0009587i,-0.00063231+9.3817e-05i,6.5396e-05-0.0011656i,0.00037513-0.0016754i,0.00043157-0.0012571i,-0.00015675-0.0010876i,-0.00091892-0.00094158i,-0.0014251-0.00077786i,-0.0006665-0.00067331i,-0.00013654-0.00046832i,-0.00030919-0.00019691i,-0.00031175-0.00028451i,0.00010276-0.0011241i,0.00019366-0.0011504i,-3.7377e-05-0.00042259i,-0.00053998+0.00018543i,-0.00097373+0.00071977i,0.00033004+0.0005746i
0.0010729-0.00032007i,0.00090414+0.00013562i,0.0011011+0.0013762i,0.00048121+0.0014818i,-0.0013724+0.0011209i,-0.0027068+0.0010212i,-0.0022022+0.00086697i,-0.00052156+0.00013839i,0.00043012-0.0013272i,0.00059884-0.00078247i,0.00084891+0.00038037i,0.00094076+0.00055677i,0.00022928+0.00027052i,-0.00058198-0.00017552i,2.6796e-05-0.00028674i,0.00019732-1.8761e-05i,-0.0011734+8.8878e-05i,-0.0011935+0.00012912i,-7.1925e-05+0.00017136i,0.00074271-0.00054733i,0.0011695-0.00067868i,0.0011228-0.00034643i,0.00080173-0.00024039i
0.00039734-0.00034763i,0.00042871-0.0004235i,-7.7432e-05-0.00029036i,-0.00082701-0.00044816i,-0.001094+0.000332i,-0.00035222+0.00038803i,0.00013209+1.911e-06i,0.00053124+0.0004973i,0.00077825+0.00023311i,-4.488e-05+0.00030517i,-0.00076766-0.00020995i,-0.0002516-0.00074521i,0.00044026-0.00076229i,0.00038998-0.00037922i,0.00012055+0.00016791i,0.00018986+0.00031071i,-4.7863e-05+0.00025396i,-0.00015472+0.00019034i,0.00061499+0.0005319i,0.00093473+5.8708e-06i,-2.5336e-05-0.00034407i,-0.00063144+0.0001394i,-0.0005567+0.00033027i
-0.00050852+0.00036233i,0.00062647+0.00043203i,0.00020449+0.0002704i,-0.00028092+0.00037468i,-0.00096944+0.00033653i,-0.0018287-0.00034713i,-0.000945-0.00097664i,0.0009738-0.00090583i,0.0012854-0.00095917i,0.00068538-0.0010667i,0.00011647-0.00054069i,-7.6081e-05+4.3082e-06i,-0.00022825+0.00040776i,-0.00037358+0.00018322i,-0.00019578+0.00083576i,-0.000756+0.0012405i,-0.00062237-0.00037406i,0.00036601-0.0011383i,0.00067793-0.00092177i,0.00072392-0.00097356i,0.00061497-0.00063608i,0.00052272+0.00021591i,-0.00013994+0.00035766i
0.0014168-0.00023702i,0.00054609-0.00018234i,4.2368e-05-0.00042552i,-0.00077255-0.00081638i,-0.0014705-0.00010943i,-0.0022031+0.00032528i,-0.0012341-6.544e-05i,0.00066696-1.7925e-05i,0.00161+5.4965e-05i,0.0010703-0.00055096i,0.0004049-0.0006137i,0.00011443-0.00049713i,-0.00030705+7.5828e-05i,-7.7463e-05-0.00022845i,0.00044136-0.0010503i,-2.0124e-05-0.0013543i,-0.00056041-0.00074622i,6.4538e-05-0.00011292i,0.00065777+0.00024298i,0.00026522+0.00055223i,-0.00035196+0.00066286i,1.557e-05+0.00059881i,0.0010286+0.00033093i
-0.00024051+0.00022617i,-0.00070409+0.00074212i,-0.00033091+0.00086362i,0.00029147+0.00072907i,-0.00041189+0.00021054i,-0.0012217-0.00035032i,-0.0011064+0.00023889i,-0.00039607+0.00056387i,0.00020248+0.00057184i,0.00037011+0.00079645i,0.00037833-0.00025314i,0.00050244-0.00067631i,-0.00023724-0.00039796i,-0.00012371-0.00038874i,0.00051969+4.1343e-05i,6.8617e-06+0.0001129i,-7.7916e-06-0.00011321i,-0.00013683-0.00038735i,-0.00035966-0.00071988i,-0.00035656-0.00020254i,-0.00077315+7.4149e-05i,-0.00039506-0.00028267i,-7.5202e-05-5.6634e-05i
-0.00010321+0.00094672i,-0.00042196+0.00026564i,-0.00099928+0.00094779i,-0.00091538+0.00036482i,-0.0012179-0.00060462i,-0.0016786+2.2384e-05i,-0.00079899+0.00075303i,0.00052181+0.00031071i,0.00024478+0.00022697i,-0.0007604+0.00054643i,5.7305e-05+0.0006004i,0.00083194+0.00048209i,0.00017882+0.00042846i,0.00011448-0.00027131i,0.00019162-0.00091838i,-0.00029345-0.00062393i,-0.0008733+0.00025254i,-0.0013552+0.00093693i,-0.0010973+0.00062075i,-0.00069431+8.0338e-05i,-0.00032691+0.00036382i,-0.00045899+0.00033651i,-0.00076273+0.00010495i
0.00097458+0.00064736i,0.0004388+0.0010953i,-6.6041e-05+0.0014958i,-0.00034347+0.001162i,-0.0010193+0.00052648i,-0.0013493+0.00039458i,-0.0011684-0.00046003i,-0.00034413-0.001282i,0.00019801-0.00048517i,-0.00053602+0.00077101i,-0.00037553+0.0010922i,-9.1815e-06+0.00050807i,-0.00017875-0.00025568i,-0.00013286-0.00057118i,-6.8453e-05-0.00090535i,0.00022574-0.00065455i,0.00074753-2.2609e-05i,0.00071357-0.00041371i,-0.00064205-0.00076302i,-0.0013472-0.0005885i,-0.00076725-0.00062014i,-0.00025852-0.00016108i,3.7221e-05-0.00012934i
-0.0011363+0.00011119i,-0.0011302-0.0011002i,-0.0004343-0.00093598i,-3.7538e-05-0.00032963i,-9.6185e-05-0.00077124i,1.5311e-05-0.00088641i,0.0002161-0.00032122i,-7.9845e-05+8.1839e-05i,-0.00043579+0.00012305i,-0.00035809+0.00020845i,-3.5368e-05+0.00026847i,0.00068446-0.00017553i,0.00066405-0.00044457i,-0.00017361-0.00088208i,-0.00047489-0.00088964i,6.0427e-05-0.00047172i,0.00063086-0.00045089i,0.00026628-0.00070959i,3.4098e-05-7.3603e-06i,0.00022742+0.00085274i,0.00038429+0.00066755i,0.00081991+0.00059877i,0.00062479+0.00032241i
0.001101-0.00011373i,0.00010143+0.00060939i,-0.0013036+0.00090557i,-0.0019657+0.00019175i,-0.0020877-0.00041675i,-0.001701-0.00018142i,-0.00078357+0.00099729i,8.9244e-05+0.001685i,0.00072445+0.00081966i,0.00056426-5.9949e-05i,0.00069113-0.00031673i,0.0011447-0.00058303i,0.00072892-0.00059142i,-0.00038137-0.00010149i,-0.00044103-0.0001135i,-0.00024755-0.00038336i,-0.00061905-0.0006935i,7.4671e-06-0.00040126i,0.00013686-3.2878e-05i,0.00020504+0.00028825i,0.00024317+0.00046575i,-0.00029154-0.0006167i,-0.00032751-0.0010122i
0.0010163-0.00050919i,0.00054009-0.00041002i,-0.00035478-0.00021721i,-0.00096303+0.00037868i,-0.0017882+0.0012773i,-0.0033162+0.00094981i,-0.002731-0.00053906i,-0.00091272-0.0016309i,-0.00014334-0.0017138i,0.00026209-0.0013211i,0.00078996-0.00085452i,-0.00027613-0.00050808i,-0.0013301-0.00051547i,-0.00058839+0.00012562i,4.0497e-06+0.0005027i,-0.00051618+0.0007514i,-0.00090117+0.00065461i,-0.00035621-0.00028237i,9.1002e-05-0.0006046i,-0.00054522+0.00019199i,-0.00082027+0.00029639i,0.00017531-0.00011637i,0.0011632-0.0002562i
0.0014997-0.001456i,0.00033912-0.00026393i,-0.00059242+0.00080742i,-0.0010547+0.00217i,-0.0020646+0.0027414i,-0.0024875+0.0020133i,-0.0017559+0.0005985i,-0.00070735-0.00047132i,5.285e-05-0.00057388i,0.00024701-0.00042802i,-0.0002296-0.00032376i,-0.00033391-0.00071959i,0.00056416-0.00023108i,1.076e-05-0.00048406i,-0.00063657-0.0016591i,0.00018711-0.00084361i,0.00084235+0.000273i,2.3914e-05+6.8078e-05i,-0.00088207-0.00043504i,-0.0012354-0.00050814i,-0.00086574+0.00017608i,0.00064395+0.00072144i,0.001212+0.00028457i
0.0014816-0.0012122i,0.0013227+0.0001182i,0.00043541-0.0011046i,-0.00075326-0.001592i,-0.0008254-0.00042384i,-0.00041948+0.000485i,-0.00040049+0.00053669i,-0.00017641+0.00019759i,-0.0005974-0.00015702i,-0.00086029-0.00024566i,1.0285e-06-0.00014451i,-1.3954e-05-0.00032418i,-0.00030775-0.00084851i,-0.00043736-0.00070242i,-0.00033332-0.00023965i,-4.4986e-05-0.00036737i,-0.00039038-9.0667e-05i,-0.00058057+0.00096397i,-8.5658e-05+0.0011152i,0.00074807+0.0012793i,0.00080952+0.0012262i,0.00026262+1.0114e-05i,-0.00026239-0.00036676i
-9.4124e-06-0.0002475i,-0.00065405+0.00040811i,-0.0011931-2.0048e-05i,-0.0013533+0.00073157i,-0.00095358+0.0011076i,-0.0011545+0.00082121i,-0.00059915+0.00068638i,0.00026954+0.00053699i,-0.0002491-0.0001707i,-0.00068149-0.00061683i,-0.00017071-0.00018508i,0.00013471-0.00014089i,0.00014631-0.00061646i,0.00019634-0.00046202i,0.00011993-4.519e-05i,-0.00038502-3.5061e-05i,-0.00025655-0.00047336i,0.00032732-0.00017057i,0.00090526+0.00072805i,0.00016113+0.00077964i,3.5909e-05+0.0004539i,3.0065e-05+0.00026957i,-0.0010148+0.00063216i
0.00099533+0.00069677i,0.00096835+0.00046441i,0.00045431+0.00018561i,0.0004489+0.00051819i,0.00018994+0.00056183i,-0.00078317+0.00059884i,-0.0004032+0.00071712i,0.00031778+0.00085626i,7.7694e-06+0.00050159i,-0.00046291+4.9787e-05i,-0.00097226+0.0003431i,-0.00055115+0.00079678i,-7.166e-05+0.00094725i,0.00011419+0.00039094i,0.0002256-0.00038008i,-8.5273e-05-0.00051037i,0.00030281-0.00032754i,0.0009198-0.00019521i,0.00092706+0.00013566i,0.00061136+4.514e-05i,0.00014225-8.7595e-05i,-0.00022422+0.00020602i,-9.6205e-05+0.00011364i
