0.00068784+0.00057352i,0.001285+0.00064123i,0.0012899-0.0008579i,0.00035188-0.0021233i,-0.00049157-0.0032268i,-0.00044069-0.0026223i,-0.00080576-0.00092567i,-0.00030188+0.00023138i,0.0006767+0.0012886i,0.0013202+0.00063026i,0.0012115-0.0005157i,4.1142e-05-0.00036517i,-0.00038372+0.0003593i,-0.00059481+0.0010226i,-0.00062305+0.00031357i,-0.00014855-0.00036249i,-0.00029879-0.00027927i,-0.00013909+1.4029e-05i,0.00052078-3.1244e-06i,0.00050869-0.00016602i,-0.00011861-0.00038225i,-1.6262e-05-0.00041522i,0.00044738-0.00010244i
0.00097995+0.000337i,0.00070415-0.00039727i,0.001944+0.00016813i,0.0029421+0.00069333i,0.0043923-3.176e-05i,0.0039957-0.00018798i,0.00098141+0.00030898i,-0.00069868+0.00084767i,-0.00044293+0.00083501i,-0.00040168+0.00050247i,-0.00036672-0.00042782i,-0.00042916-0.00047185i,-0.0003136+0.00031554i,0.00052125+0.00033428i,0.0007588-3.0032e-05i,0.00037056-0.00028333i,-0.00018293-0.00011961i,0.0001234-0.00075825i,0.0004622-0.0013583i,0.00082735-0.0013452i,0.0011553-0.0011732i,0.00048223-0.0013838i,0.00033901-0.00082031i
-0.00055962-0.00066112i,-0.0010264+0.00041916i,-0.00055081+0.0014092i,-6.4973e-05+0.0018779i,0.001353+0.0010206i,0.0024547+0.00010034i,0.0015809-6.3533e-05i,0.00029663-0.00019274i,-0.00032749+0.00013272i,1.038e-05+0.0004646i,3.3504e-05-0.00012874i,-0.00041034-0.00089473i,7.2455e-05-0.00021239i,0.00038398+3.8925e-06i,0.00034812-0.00025142i,0.00017549-0.00029535i,-3.8019e-05-0.00036539i,0.00046291+0.00025267i,0.00020166+0.00057467i,0.00016843-8.9454e-06i,0.00070455-0.00027324i,0.00029499-0.00023731i,8.4903e-05-0.00073365i
0.00012503+0.00043005i,0.00039698+0.0012448i,0.0017125+0.00067888i,0.0024052+0.00060575i,0.0023494+0.00031078i,0.0022677-0.00067653i,0.0009374-0.0010301i,-0.00038094-0.0010873i,-0.0010501-0.00034331i,-0.0007155+0.00056684i,-0.0001539+0.00049718i,-0.00016174-0.00015808i,9.1426e-05+0.00016051i,0.00037586+0.00090101i,0.00030234+0.00090877i,0.00094788+0.00069562i,0.0014177+0.0010211i,0.0010617+0.00043583i,0.00042314-0.00052899i,5.5371e-05-0.00028456i,-0.00021104+0.00035725i,8.7763e-05+0.00027944i,0.00053586-0.00016074i
-0.00033808+0.0017479i,1.7207e-05+0.0020731i,0.0015142+0.0025815i,0.0032031+0.0022236i,0.0043807+0.0015054i,0.0028652+0.00030301i,0.00023812-0.00053357i,-0.0011527-7.2827e-05i,-0.0014489+0.00053095i,-0.00072387+0.00097518i,2.9119e-05+0.00099772i,-0.00036919+0.00054983i,-0.00075579-0.00028029i,5.6088e-05+0.00018406i,0.00092619+0.0013231i,0.00098549+0.00073751i,0.00040606+0.00023091i,0.00030048+4.7065e-05i,0.00028021+7.5823e-05i,-0.00018652-0.00019033i,-0.00045945-0.00038032i,-6.3152e-05-0.0003152i,0.00050837-0.00039393i
0.00074394-0.00047568i,0.00058659+7.9412e-05i,0.0016591+0.00022032i,0.002305+0.00035037i,0.0026859-0.00048175i,0.0032085-0.0013463i,0.0015975-0.00060375i,-0.0005894-0.00029334i,-0.00088871-0.00052968i,-7.4893e-06+0.00022291i,0.00025645+0.00054547i,-0.00050181+0.00025763i,-0.00082509+0.00068835i,2.5488e-05+0.00056025i,0.00076594+0.00011149i,0.00058902+0.0001188i,0.00066317-0.00037418i,0.00066707-0.00032179i,0.00022723+0.00015855i,-0.00026736+0.00013202i,3.756e-05+0.00056155i,0.00081573+0.00019893i,0.0012504-0.00079241i
-0.00061993-0.0023472i,-0.00051095-0.0011473i,-0.00025482+0.00067123i,0.0010956+0.0021095i,0.0027257+0.0020263i,0.0033074+0.0014116i,0.0019392-0.0002412i,0.00015583-0.0015182i,-0.00067504-0.0005163i,-0.00055915+0.00078472i,0.00010723+0.00034941i,0.00069726-0.00073719i,0.00094761-0.0010572i,0.00059693-0.00044246i,-0.00033141-0.00032467i,-0.00053548-0.00041428i,0.00031098-6.0593e-05i,0.00072133+0.00031673i,0.0003712-0.00029356i,0.00010402-3.3439e-05i,1.241e-05+0.00014641i,-0.00028956-0.00034643i,-0.00055246-0.00021407i
-0.0011339-0.00057956i,-0.00060442+5.718e-05i,-2.6471e-05+0.0016472i,0.00063417+0.0022718i,0.0010541+0.00078707i,0.00096045-0.00050402i,0.00014838-1.5849e-05i,-0.0012209+8.5952e-05i,-0.0018293+0.00016468i,-0.00055821+0.00057875i,0.00032583+0.00010722i,-0.00023072-5.0451e-05i,-0.00074071+0.00019563i,-0.00075655+0.00028365i,-0.001008+8.6558e-05i,-0.00069739-4.671e-05i,-2.8225e-05+0.00051245i,-0.00012074+0.00028097i,-0.0003086-0.00076068i,0.00027758-0.0011457i,0.00053754-0.00036411i,0.00011294+0.00012576i,9.1216e-06+0.00047302i
-0.00029798+0.00045683i,-0.00018362+0.00058751i,0.00069061+0.00086826i,0.0025818+0.00084073i,0.0034218+0.00053946i,0.0031758+0.00029979i,0.0018228+0.00034488i,-0.00051414-0.00011426i,-0.0020956-0.00073426i,-0.0015325-7.6781e-05i,-5.3334e-05+0.00020185i,0.00034642+0.00024621i,0.00037894-7.7518e-05i,-0.00035912+0.00033391i,-0.0010431+0.00092795i,-0.00037626+0.001143i,0.00011604+0.0013727i,6.6948e-05+0.00091035i,-0.00019418+0.00025505i,-0.00042722-0.00017351i,-0.0006601-0.00058375i,6.2543e-05-0.00058119i,0.00070502-7.2805e-05i
-0.00090939+0.0018458i,-0.00060916+0.0014191i,0.00018783+0.0023344i,0.0010331+0.0032638i,0.0020467+0.0021365i,0.002171+0.0001945i,0.0012053-0.00044535i,-0.00013529-0.00013452i,-0.00026735+0.00027108i,0.00012531+0.00040705i,0.00037546+6.0443e-05i,-1.5337e-05-0.00035279i,-0.00043005+0.00018967i,-0.00015254+0.00057689i,-0.00026492+0.00029014i,-0.00046246+4.1042e-05i,0.00035491+0.00010409i,0.0010225+0.00094436i,0.0006927+0.0012846i,0.00028307+0.0007015i,0.00022795-3.94e-05i,0.00010114-0.00062732i,-0.00049524-0.00017743i
0.0012554-0.00098642i,0.0016375-0.00079807i,0.0014566-0.00040728i,0.0021227+0.0001691i,0.0033196-0.00023164i,0.0041103-0.0016963i,0.0021776-0.0016194i,-0.00017781-0.00068838i,-0.0014288-5.9807e-05i,-0.001332+0.00038289i,0.00023295-0.00015831i,0.0010213+3.7972e-05i,0.00079953+0.00097156i,2.6428e-05+0.00084024i,0.00011954+0.00060438i,0.00049231+0.00058615i,0.00037558+7.7815e-05i,0.00061973+0.00023239i,0.00096692+0.00062818i,0.0010846+0.00027232i,0.00060319+0.00011411i,-5.2112e-05-0.0001918i,0.00021426-0.00088046i
6.2764e-06-0.00024627i,-0.00012231-8.1541e-05i,0.0005763+0.00077266i,0.0019237+0.00064328i,0.0036305-0.00082734i,0.0034708-0.0022305i,0.0012262-0.0019972i,-0.00050122-0.00082484i,-0.0012636+0.0002796i,-0.00014492+0.00083641i,0.0013923+0.000756i,0.0010684+5.366e-05i,0.00048103-7.8698e-05i,-8.3232e-05-0.00042017i,-0.00034688-0.00051355i,-9.4214e-05+0.00025557i,-9.4526e-06+0.00080482i,0.00076714+0.00022758i,0.0011616-0.0004886i,0.00082631-0.00062709i,0.00018921-0.00044991i,0.00039976-5.033e-05i,0.00035728-0.00018919i
0.0018522-0.00093085i,0.0011888+0.00030762i,-0.00061986+0.0012453i,-0.00079888+0.0016194i,0.0011916+0.0009626i,0.0016911-0.00068677i,0.00056075-0.0016628i,-0.00050829-0.0015643i,-0.0013788-0.0001455i,-0.00076598+0.00068832i,0.00067987+0.00048519i,0.00057377+0.00054142i,0.00027114+0.00044493i,0.0004403+4.8197e-05i,0.00011681+0.0001209i,-0.00027268+0.00013858i,-0.00022888+0.00050318i,0.00012596+0.0003795i,4.3903e-05-0.00012786i,0.00013128+9.1606e-05i,0.00073536+0.00064872i,0.00085705+0.00082397i,0.00034904+0.00045547i
0.0029965+0.00026982i,0.0020726+0.00037968i,0.0015878+0.00049635i,0.0017035+0.00074943i,0.0016494+0.00028545i,0.0012889-0.00047517i,-0.00035436-0.0015202i,-0.00074117-0.0016939i,0.00013556-0.0008645i,-0.00023532-0.00018371i,-0.0005372+9.4572e-05i,-0.00045701-0.00033098i,-0.00028278-0.00030789i,0.00012915-0.00017032i,-9.5721e-05-0.00042849i,6.5607e-05-3.1296e-05i,-0.00010076+9.3347e-05i,-0.0011275-0.00011411i,-0.00085627-0.00036394i,-0.00063979-0.00086042i,-0.0010081-0.00033797i,-0.0010915+0.00030245i,-0.0010001-0.00024026i
0.0011499-0.0007498i,0.0010177+8.6116e-06i,0.0011267+0.00063145i,0.0011343+0.00034601i,0.0021075-0.00035178i,0.0023218-0.00088778i,0.00084996-0.00018309i,-9.4435e-05+0.00053397i,-0.00022129+0.00082544i,-0.00025989+0.00017034i,-0.00020362-0.0007221i,0.00015511-0.0010247i,-0.00030715-0.00072888i,-0.00012782+0.00029743i,0.00047894+0.0010573i,0.00040558+0.0011829i,0.00019747+0.00089808i,6.0769e-06+0.00015121i,0.00013375+0.00021839i,0.00042769+0.00084483i,0.00047028+0.00076624i,-1.07e-05-0.00022136i,1.4889e-05-0.00062072i
0.0010798-0.00011959i,0.00040228+0.00069128i,0.001418+0.00022466i,0.0032218-0.00011759i,0.0036459-0.00096864i,0.0032258-0.0016771i,0.0018373-0.00039247i,0.00026631+0.00053437i,-0.00012416+0.00026374i,-0.00027286+3.7465e-06i,0.0002119-0.00010381i,0.00051178-0.00016838i,-0.00022153+6.5342e-05i,7.4657e-05+0.00011842i,0.0013189-0.00016904i,0.0012825-0.00019259i,0.0010327-2.7334e-05i,0.0015161-6.722e-05i,0.0013877+0.00010395i,0.00056617+0.0001469i,-0.00064247-0.00038719i,-0.00021344-0.00074814i,0.00037913-0.00079036i
-0.00012003-4.1411e-06i,0.00013315+0.00048718i,0.0012607+0.00055284i,0.0027061-0.00027452i,0.0031809-0.0010841i,0.0022858-0.0025766i,0.00069882-0.0021701i,-0.00053905-0.00010607i,-0.00085491+0.00041237i,-3.085e-06+0.0014931i,0.00041938+0.0016491i,0.00041557+0.001212i,0.00068973+0.0013834i,0.0011991+0.00044656i,0.0012373-0.00087966i,0.00088172-0.0014068i,0.00050813-0.00079958i,0.00075719-0.0005318i,0.0011857-0.00050197i,0.00080442-0.00038405i,-0.00034302+3.8734e-05i,-0.00048618-9.9583e-05i,0.00012163-0.00031529i
0.00077191+0.00041526i,0.0014753+0.00071383i,0.0025062+0.00016421i,0.0030324+0.00051813i,0.0035338+0.00043542i,0.0030136-0.00028455i,0.001462-0.00050901i,0.00029172-0.00058332i,-0.00010077+0.00011787i,0.0006601+0.00021036i,0.0015409-0.00099376i,0.00093508-0.0013375i,0.0004187-0.00093798i,0.00050021-0.0011231i,-7.7214e-05-0.00090491i,-0.00047783-1.7586e-05i,-0.00077727-4.3869e-05i,-0.00076277-8.3926e-05i,-0.00058548-1.788e-06i,0.00016729+0.00038096i,0.0010237+0.0014627i,0.00073239+0.0017303i,-0.00013788+0.00035544i
0.00051542-0.00046723i,0.00010491+0.00023607i,-0.00037659+0.00063914i,0.00060522+0.00056677i,0.0024048+0.0011752i,0.0036879+0.0011734i,0.0026138+0.00035253i,0.00087014-0.00035547i,-0.00021757-0.00053793i,-0.0001493-0.00014821i,0.0011182-0.00080485i,0.0017264-0.0015873i,0.0006888-0.0010875i,0.00011825-0.00079213i,0.00048743-0.00030151i,0.00092399-0.00010394i,0.00022237-0.00023781i,-0.00084332-0.00039324i,-0.00045376-0.0010499i,0.00035251-0.0011331i,0.0003405-0.00018247i,0.0001945+0.00044984i,6.4808e-06+0.00033469i
0.00032371+7.9198e-06i,-0.00015642+0.0008551i,0.00048729+0.0012037i,0.0030032+0.001588i,0.0055987+0.00065515i,0.0046697-0.00065472i,0.0013772-0.001372i,-0.00073814-0.002091i,-0.0011169-0.0014513i,-0.00081385-0.00017924i,-0.00040015+0.00012892i,-0.00011378-0.0001167i,0.0003583-0.00028362i,0.0006534-7.3434e-05i,0.00057289+0.0001307i,0.00039678+0.00046344i,0.00050514+0.00073539i,0.00026415+0.00069461i,-6.9998e-06+0.00073076i,0.00022775+0.00019957i,0.00054115+1.7529e-05i,0.00057059+0.00024477i,0.0004289+0.0002937i
-0.00084241-0.00027816i,-0.00065455-0.00059122i,-0.00039352+0.0005768i,0.00058574+0.0018734i,0.0023004+0.0015873i,0.0033239+0.00046315i,0.0019433-0.00017736i,-0.00086958-0.0003527i,-0.0023327-0.00064656i,-0.0020756-0.00019524i,-0.0011177-1.7839e-06i,-0.0010514+1.8367e-06i,-0.0011492+0.00057288i,-0.00014911+0.00091111i,-0.00059208+0.0011399i,-0.0017806+0.00063302i,-0.0013319-0.00016044i,-0.00049002+0.00027721i,-0.00015566+0.0012297i,-0.00015151+0.0012289i,-0.00010034+0.00023405i,0.00018144-0.00035858i,-5.8205e-05-0.00014738i
0.00054549+0.00035619i,0.00095997+0.00066965i,0.0016739+0.0007022i,0.0031421+0.0012922i,0.0036621+0.0010964i,0.0029433+0.00028104i,0.0022785+0.00031363i,0.00099636+0.0010894i,-0.00067898+0.0018273i,-0.00054294+0.001313i,0.00078308+0.00058486i,0.00058685+0.0009076i,-3.4741e-05+0.00070313i,0.00047992+0.00035858i,0.00024974+0.00078849i,-0.0006467+0.00090041i,-0.00085341+0.00071346i,-0.00015239+0.00027612i,0.00099984+0.00039615i,0.0012853+0.00052186i,0.00074716+2.402e-05i,0.00064478-5.8759e-05i,0.00040471+0.00030455i
-0.0016536-0.00051434i,-0.0011151-0.00012461i,-0.00015712+0.00043161i,-0.00031875+0.0011252i,0.00067268+0.00053787i,0.0011131-0.0001797i,-0.00016527-0.00017603i,-0.0012248-2.0227e-05i,-0.00075559+0.0011451i,0.00049654+0.00202i,0.00056527+0.0011889i,-0.00031033+0.0008742i,-0.00044672+0.00095521i,0.00014914+0.00044947i,0.00083223+0.00025484i,0.00078718-0.00023224i,0.00038656-0.00011539i,0.0004084-0.0002986i,0.00077899-0.001242i,0.0006561-0.0015414i,0.0002421-0.0008552i,0.00031557-0.00026962i,-0.00023523-0.0005821i
0.0017597+0.00081717i,0.001103+0.0021339i,0.0020437+0.0018285i,0.0031951+0.00040221i,0.0039601-0.00062632i,0.003605-0.00054276i,0.0012691-0.00031617i,-0.00070065-0.00073052i,-0.0003947-0.0014111i,0.0013016-0.00063671i,0.0024539+0.00048752i,0.0017139+0.00080923i,0.00017828+0.00079573i,-0.00040754+0.00056829i,0.00010053-0.00018303i,0.000706-0.0002273i,0.00044294-5.919e-06i,-0.00014891+0.00018557i,-0.00017207+0.00036815i,0.00022331+0.00020725i,-1.7395e-06+2.659e-07i,-0.00026086-0.00036702i,-0.00036544+0.00015227i
-0.0016493-0.0011967i,-0.0014046-0.0015422i,-0.00081036+0.00028133i,0.0005259+0.0019668i,0.0019817+0.00148i,0.002196+3.9291e-05i,0.00082211-0.00021267i,-0.00041787-8.7802e-05i,-0.0012028+0.00010637i,-0.00081796+0.00032264i,0.00055471-0.00013146i,0.00099101-0.00081463i,-8.2301e-05-0.00059929i,-0.00077646-0.0005561i,-0.0011603-1.8195e-05i,-0.0012084+0.00016835i,-0.00026995-0.00057236i,-1.1736e-05-0.00090519i,-0.00011732-0.00084518i,0.0002447-0.00031948i,0.00043268-0.00027848i,0.00030851-0.00025044i,-0.00020095+0.00035057i
-0.00014138-0.00082041i,-0.00011487-0.00067072i,0.00021858+0.001072i,0.0020056+0.0019142i,0.0028584+0.0016128i,0.0026512+0.00096041i,0.001348+0.00035319i,0.00051381-7.2229e-05i,0.00022494+0.00015775i,-0.00014346+0.00052556i,0.00032344-0.00022116i,0.00044802-0.0012333i,0.00019099-0.00092321i,0.00031236+1.5089e-05i,0.0004764+0.00017074i,-7.3165e-05-9.2874e-05i,-0.00013377+0.00016594i,0.00057378+0.00082255i,0.00065758+0.0011899i,-0.00037992+0.00078683i,-0.0011904+0.00052389i,-0.00087863+0.00016689i,-0.00052247-0.00040735i
0.00027551-0.00068137i,0.00031738-0.00073926i,-0.00029816-0.0013699i,0.00018259-0.00025433i,0.0010996+0.0013918i,0.0022926+0.0014953i,0.001749+0.00049429i,-0.00013863-0.00019712i,-0.00092051-0.00061927i,-0.0014998+2.8959e-05i,-0.0015539-7.1501e-05i,-0.00087323-0.00069372i,4.7595e-05-0.00044374i,0.00026347-0.00046685i,0.00015416-0.0011874i,0.00021532-0.0010417i,0.0010947-0.00099006i,0.001768-0.00075585i,0.0014388+0.00042139i,0.0004761+0.00059392i,-0.00041291-1.5231e-05i,-0.00027635+1.5016e-05i,5.4926e-05+0.00023736i
-0.00048946+0.00092331i,-0.00053354+0.00055346i,9.7623e-06+0.0015295i,0.0012116+0.0019758i,0.0027761+0.0011197i,0.0031463+0.00081398i,0.001899+0.00045091i,0.00067275+0.00056721i,-0.0001571+0.00087575i,-0.00037233+0.0010754i,-0.00053388+0.0013175i,-0.0010943+0.00043641i,-0.0016811+0.00026287i,-0.00092009+0.00011041i,-0.0005955-0.00021969i,-0.00067244+0.00081474i,0.00021349+0.001479i,0.000756+0.00053424i,0.00043925-0.00058539i,0.000249-0.00090245i,0.00046805-0.00061165i,0.00080832-4.6978e-05i,0.0006324-5.7561e-05i
0.00060102+0.00068631i,-0.00053043+0.0011225i,0.0011122+0.00029504i,0.0026352-0.00057093i,0.003-0.0011255i,0.0026575-0.00079815i,0.00071002-8.7791e-05i,-0.00055626+0.00054785i,-0.00018013+0.00031893i,0.0002472+0.00014082i,0.00047228+0.00027532i,0.00031956+0.00050847i,0.00050389+0.00022016i,0.00094261+0.0005408i,0.00020813+0.00039798i,-0.0005613+0.00028699i,-0.00078767+0.00062567i,-0.00026944-0.00029589i,0.00030846-0.00095509i,0.00055428-0.0013066i,0.00017249-0.0008299i,-0.00088948-0.00058589i,-0.0009504-0.00096883i
0.0010263+0.00082014i,0.00080953+0.0013499i,0.0013424+0.0013294i,0.0030674+0.0020885i,0.0040109+0.0015539i,0.0021402-0.000373i,0.00042061-0.0003521i,-0.00024743+0.00064002i,-0.00027354+0.00060703i,0.0007879+7.7217e-05i,0.001435-5.313e-05i,0.0011006-0.00033478i,0.0004371-0.00036322i,0.00014127+0.00026849i,0.00033228+0.00072154i,0.00025214+0.00094726i,0.00066672+0.00076106i,0.0010932+0.00049316i,0.00044433+6.1947e-05i,0.00013217-0.00063841i,-0.00022973-0.00094178i,-0.00072143-0.00073429i,-0.00031332-0.0007428i
-0.00010447+0.00057065i,-0.00053563-7.7883e-05i,0.00027465-0.00035902i,0.001806+3.3833e-05i,0.0027657+0.0005061i,0.0028056-0.00041487i,0.0017146-0.00045186i,5.3586e-05-6.0463e-05i,-0.0009741-4.0072e-05i,-0.00040592+0.00014437i,0.0012267-0.00071076i,0.0011618-0.0011359i,8.3084e-05-0.00015095i,0.00014627+0.00072794i,0.0005825+0.00051672i,0.00061332+6.9049e-05i,0.00049443-7.9258e-05i,-0.00026649+0.00016418i,-0.0011119+0.00063433i,-0.00064824+0.00054762i,-2.0329e-05+0.001065i,-8.7571e-05+0.00090406i,-0.00013324+0.00027575i
0.00014065+0.0011301i,0.00051165+0.00082737i,0.0015999+0.0019811i,0.0038702+0.0025556i,0.0050609+0.00061914i,0.0044329-0.0017718i,0.0022603-0.0024936i,0.00065475-0.0020243i,-0.0008073-0.00072556i,-0.0016873+0.00024638i,-0.0007942-0.00043904i,-0.00036437-0.00068743i,-0.00059115+0.00026226i,-0.00024635+0.00014817i,0.00013375-0.0003355i,-0.00037606-5.6992e-05i,-0.0010407-5.4182e-06i,-0.00099502+1.6469e-06i,0.00039699+8.2221e-05i,0.00087615-6.0712e-05i,0.00016005+0.00017048i,0.00052395+0.00042539i,0.0010254-0.00027065i
-0.00013839-0.00045431i,0.00013923-0.00029837i,0.00069899-0.0001469i,0.0022506+0.00050045i,0.0041661+0.00082689i,0.0034663+0.00041676i,0.00076806-0.00068893i,-0.0010215-0.00085619i,-0.0012086+0.00029648i,-0.0010484+0.0013091i,-0.001265+0.0010864i,-0.0014281+0.00010203i,-0.00096368+0.00023341i,-0.00015324+0.0003396i,7.8973e-05-0.00053023i,-0.0005492-0.00048222i,-0.00028868-0.00011079i,0.0004813+1.4584e-05i,0.00054875+0.00013734i,8.8373e-05-1.1141e-05i,-0.00012587+0.00026833i,4.8203e-06+0.00047618i,0.00017495-6.9096e-05i
4.846e-05-0.00014956i,-0.00025802+0.00015687i,0.00032824+0.001106i,0.00086487+0.0023029i,0.00087505+0.0026271i,0.001282+0.0011843i,0.00091304-0.00047656i,-0.0007093+8.4148e-05i,-0.0019525+0.0011797i,-0.00095682+0.0018024i,0.00025235+0.0021985i,8.3263e-06+0.00072536i,-0.00066416-0.00055788i,-0.0003428-0.00070536i,0.00083754-0.00070684i,0.0017759-0.00012532i,0.00087335-0.00022206i,-0.00013934-1.8001e-06i,-1.6408e-05+8.8666e-05i,8.9432e-05-0.00036569i,0.00029091-0.00018615i,0.00069425+0.00022494i,0.00039339+0.00056535i
-0.0009304+0.00034597i,-0.00033231-3.7632e-06i,0.00042538+0.0011146i,0.001785+0.0020597i,0.0032196+0.0019481i,0.0027693+0.0014007i,0.0011174+0.0010675i,8.6151e-05+0.00041084i,-0.00019789+0.00030536i,0.00062436+0.00079004i,0.00089604+0.0012435i,0.00024462+0.0010957i,-6.4686e-06-1.6028e-05i,1.1106e-05-0.00027759i,-0.00020024+0.00021515i,-0.00018935+0.00048232i,-0.00035071+0.00045594i,8.2989e-05+0.00017581i,0.00034524-0.0002896i,0.00036834-0.00018299i,0.00012391-0.00029276i,-4.2244e-05-0.00029893i,4.9434e-05-0.0001509i
-0.0009482-0.00032527i,-0.0010961-0.00035665i,-0.001389+0.00067854i,-0.00019344+0.001466i,0.0012101+0.0012928i,0.0019581+0.0010208i,0.0011546+0.0010698i,0.00032159+0.00085879i,0.00035814+0.00056241i,0.00055795-0.00077511i,0.00080618-0.0018756i,-1.6407e-05-0.0012423i,-0.00042805-0.00017678i,0.00020067-0.00053024i,0.00050649-0.00023627i,0.00060786+0.00097883i,0.0010054+0.0011372i,0.0010001+0.00088168i,0.00055265-0.00027282i,5.9388e-05-0.00090626i,-0.00013385+4.4878e-06i,8.4728e-05-3.2851e-05i,-0.00041167-0.00036268i
0.00030881-6.8457e-05i,-0.00011349+0.0001653i,-0.00025732+0.00103i,0.00046947+0.0025393i,0.0024262+0.0027716i,0.004047+0.0012897i,0.0028031-0.00030237i,0.00033703-0.00064913i,-0.00085859+0.00012381i,-9.5696e-06+9.7858e-05i,0.00048831-0.00064905i,-0.00086846-0.0011655i,-0.001415-0.00049393i,-0.00052589+0.0012103i,0.00015217+0.001468i,0.00040854+0.0011843i,0.00016705+0.0011219i,-0.0001664+0.00068308i,6.9839e-05+0.00013001i,0.00089612-2.3388e-05i,0.00016496-0.00027086i,-0.00020261-0.00055073i,0.00041385-0.00054135i
-0.0010999+0.001293i,-0.00088964+0.00010989i,-0.0012654+0.0010242i,0.00062935+0.0014486i,0.0024641+0.00034436i,0.0026018-0.0012186i,0.0017074-0.0029318i,0.00033702-0.0032787i,-0.0016266-0.0017048i,-0.0018181+2.7386e-05i,9.499e-05+0.00014834i,0.00070776-0.00047689i,-0.00037204-0.00060979i,-0.0011973-0.00051959i,-0.0010845+0.00048301i,-0.0001371+0.0010134i,0.00037861+0.0005874i,0.0005353+0.0005774i,0.00047996+0.0010786i,0.00028569+0.00057198i,0.00025006-0.00037948i,0.00048881+0.00011561i,0.00059389+0.00050246i
-0.001333+0.00012292i,-0.00069335-0.00024034i,-0.00038925+0.0013859i,0.001171+0.0030914i,0.0035966+0.0028642i,0.0038939+0.00033548i,0.0020025-0.0013161i,-5.1846e-05-0.0015641i,-0.0014042-0.00029686i,-0.0016539+0.0013818i,-0.001493+0.0017441i,-0.00061852+0.00060201i,0.00025916-0.00051445i,0.00029692-0.00022107i,-0.00072556+0.0004162i,-0.0015048+0.00093371i,-0.0012222+0.0012i,-0.00022812+0.00074869i,0.00050917-0.00036016i,0.00070574-0.00043917i,0.00056294-0.00010515i,0.00045706-0.00021391i,0.00062322-0.00068025i
-0.0010618-0.0014189i,-0.00084054-0.00091998i,-0.00040488+0.00066432i,0.001389+0.0019545i,0.0030144+0.0026257i,0.0031589+0.00062915i,0.0014535-0.0023073i,-0.00078417-0.0033445i,-0.0018171-0.0024033i,-0.00042899-0.00058791i,0.00067066+3.0289e-05i,0.00014974+0.0002088i,-0.00027041+6.5345e-05i,8.1759e-06-0.00035497i,-0.00023799-0.00042749i,-0.00016061+0.00016476i,-0.00014554+0.001223i,-0.0002605+0.0010402i,0.00021199-0.00046851i,0.00043173-0.00055631i,0.00050532-3.5232e-05i,0.00086838-0.00049385i,0.00053574-0.00061283i
0.0008716+0.00027997i,-9.2216e-05+0.00047157i,-0.00032009+0.00037176i,0.00024796+0.00087478i,0.0013907+0.0014901i,0.0015478+0.0013356i,0.00075211+0.00095138i,-0.00056757+0.0015417i,-0.001082+0.001408i,-0.00021507+0.00071365i,0.00052203+0.00051537i,0.00012835-0.00014904i,-0.00056936-0.00081645i,-0.00064594-0.00050604i,-0.00024407+0.00047052i,0.00038977+0.00067401i,0.00080941+5.2424e-05i,0.0010088-8.7801e-05i,0.0011842+0.0011784i,0.00046438+0.0017077i,0.00030426+3.8059e-05i,0.00063365-0.0013119i,0.00022002-0.00099346i
0.0019986+0.0012999i,0.0013424+0.0016087i,0.0022326+0.0007368i,0.003636+0.00090998i,0.003535+0.00089328i,0.0025087-0.00021017i,0.00099789+0.00038403i,-0.000592+0.0011665i,-0.00091725+0.00042879i,7.3181e-06-0.00058433i,0.00053069-0.0011703i,0.00048999-0.00085724i,8.0849e-05+0.00029257i,-0.00018742+0.00075769i,-2.0375e-05+0.00091158i,0.00066516+0.00079333i,0.00098526+0.00048325i,0.00078418+0.00032361i,0.00018862+3.6923e-06i,0.00018817-1.9524e-06i,0.00025348-3.3074e-06i,0.00041713+0.0002006i,0.00058783+1.4406e-05i
0.0016265+4.2133e-05i,0.0012757+4.5086e-05i,0.0023263+0.0011075i,0.0030945+0.0015038i,0.0034668-0.000277i,0.0030133-0.00097633i,0.0016536-0.00079623i,-1.2661e-05-0.0009501i,-0.0002755-0.0010214i,0.0011616-0.00061905i,0.0015266-0.00062098i,0.00020499+0.00012192i,-0.00040158+0.00061144i,7.4735e-05+0.00097762i,0.00016753+0.00088385i,0.0003607+0.00017897i,0.00064798+5.3847e-05i,0.001217-0.00016345i,0.0011275-0.00026397i,-0.00010581-7.1674e-05i,-0.00075613-0.00018134i,-0.00026709-0.00017453i,-0.00042884+0.00042731i
0.00052915-6.7429e-05i,0.0007283-0.00056036i,0.0022021-0.00032966i,0.0031291+0.00017238i,0.0033269-0.00067343i,0.0025182-0.0011163i,0.001127+2.6175e-05i,0.00031277+0.00032993i,-8.703e-05+0.00090216i,-0.00075805+0.0013566i,-0.00020145+0.00041101i,0.00024263+1.1762e-05i,-4.7933e-05+0.00071985i,-0.00013332+0.0011252i,0.00019046+0.00037718i,0.00023489-9.49e-06i,-0.00048748-0.00023456i,-0.00064354-0.0009319i,-0.00039711-0.0011058i,-0.00014666-0.00045936i,-9.9746e-05-0.00037819i,-0.00043394-0.00036893i,-0.00086421-0.00013791i
