-0.0013048+0.00088825i,-0.00064091+0.00052809i,-0.0010839-4.057e-05i,-0.0018463+0.00034659i,-0.0031302+0.001185i,-0.0019728+0.001586i,-0.00062749+0.0015861i,-0.001358+0.0011388i,-0.0013129+0.0015636i,-0.00023635+0.0018269i,0.00025975+0.00054381i,-0.00030709-0.00017432i,-0.00093675-0.00011514i,-0.000472-0.00042636i,0.00017002+0.00013462i,6.4307e-05+0.00033934i,-0.00010138+0.00037848i,4.5184e-05+0.00037765i,0.00024781+0.0001315i,-0.00062034+0.00020201i,-0.00061026-0.00012844i,-0.00016844-0.00023325i,5.2804e-05+4.827e-05i
0.0013484-6.1782e-05i,0.0010627-0.0012501i,0.0013374-0.0012883i,0.00011728-0.0016064i,-0.0017283-0.0022099i,-0.00223-0.0009973i,-0.0016498+0.00020154i,-0.0008822+0.00010895i,-0.0014778+0.00036543i,-0.0022124+0.0011871i,-0.0013513+0.0013651i,-0.00079819+0.0017145i,-0.00085484+0.0019514i,-0.00090769+0.0016733i,-0.00096286+0.00069478i,-0.00091458+0.000798i,-0.00061793+0.0016987i,-0.00040921+0.0015731i,-7.3983e-05+0.0010525i,-8.7956e-05+0.00059949i,-0.00013829-0.00015148i,-0.00043535-0.00041011i,-0.00059743-0.00013102i
8.0919e-05+0.00033179i,0.00043202-0.00042241i,-0.0003988-0.00044537i,-0.0026955-0.0015377i,-0.0041323-0.0018063i,-0.0028638-0.00024442i,-0.0011408+0.00035037i,-0.0007821-0.00032489i,-0.0016764-0.00023635i,-0.0023593-0.00029082i,-0.0021741+0.00035477i,-0.001626+0.0010156i,-0.0015155+0.0004802i,-0.00059627+6.1958e-05i,0.0001068+0.00082267i,-0.00066697+0.00099709i,-0.0010653+0.00015813i,-0.0008673-1.3016e-06i,-0.0004404-0.0002379i,-7.7916e-05-0.00019678i,0.00011682+0.00051047i,-0.0005953+0.00066177i,-0.00052038+0.00048818i
-0.0009787-0.00048328i,-0.00063091+0.00025958i,-0.0014617+0.00038866i,-0.002631-0.00028958i,-0.0026473-0.00029126i,-0.0011282+0.00057385i,-0.00013216+0.0015318i,-0.00062005+0.0010685i,-0.0015024+0.0002501i,-0.0009893+0.00042668i,0.00055232+0.0005192i,0.00053192+0.00070127i,-5.7234e-05+0.00095155i,0.00021624+0.0013491i,0.0001542+0.0012992i,0.00023219+0.00047327i,0.00053476+0.0003542i,4.2219e-05+0.00047088i,0.00047526+0.00045608i,0.00086358+0.00025712i,0.00073369-1.67e-05i,0.00051146-6.2715e-05i,0.00024224-0.00023825i
-0.00047814-0.0021835i,-0.0018448-0.00072043i,-0.0031699-0.00015976i,-0.002378-0.0003562i,-0.0011243+0.0003794i,-0.00040473+0.0025093i,-0.00038769+0.0023686i,-0.00084416+0.0013097i,-0.0018865+0.0013256i,-0.001965+0.0018214i,-0.00099862+0.0014296i,-0.00079595+0.0005127i,-0.00057949+0.00029985i,8.5532e-05-0.00015352i,0.00024355+5.3574e-06i,-0.00022565+0.00032071i,-0.00049985-5.9567e-05i,-3.8944e-05-0.00022304i,0.00039017+4.4268e-05i,0.0002628-0.0001715i,0.00039831-0.00041797i,0.00032887-0.00015234i,0.00045106+0.00064748i
-6.2923e-06+0.00062273i,-0.00026127-0.001009i,-0.00071136-0.0022821i,-0.0017112-0.0013512i,-0.001788-0.00091837i,-0.0017447+0.00010587i,-0.0016877+0.0011054i,-0.0015688+0.00068256i,-0.0021128+0.00013397i,-0.0023438+1.9922e-05i,-0.0012385+0.00028978i,-0.00083932-2.2662e-05i,-0.0011947-0.0003076i,-0.00055218+0.00014129i,-0.00016414+0.00033871i,-0.00049526-0.00040973i,-0.00030936+0.00034284i,-0.00016148+0.001474i,-0.00034101+0.00054044i,-0.00010508-0.0005771i,0.00090196-0.0001024i,0.00083978+0.00029043i,0.00040407-0.00054457i
-0.0014412+0.00097082i,-6.5579e-05+0.0010938i,0.00090816+0.0022418i,0.00065427+0.0014639i,-0.00023477+0.00024125i,-0.00050814+0.00084957i,2.3577e-05+0.00075351i,-0.00059089-0.00010906i,-0.0022038-0.00057175i,-0.0022811-3.4069e-05i,-0.00087213+0.00025039i,-0.00047857-0.00065692i,-0.0010077-0.00065246i,-0.00090622-0.00020052i,-0.00031809+0.00015444i,-0.00020615+0.00087433i,0.00038237+0.0016316i,0.00077433+0.001968i,0.00021274+0.0013867i,0.00057367+0.00040128i,0.0011882+5.6935e-05i,0.00088373+0.00019058i,0.0003395-0.00051682i
-0.0003352+0.0005387i,-0.00060797-0.00052255i,-0.00048282-0.001644i,-0.00020559-0.0020699i,-0.00016614-0.0018633i,-0.00059853-0.00083469i,-0.00074469+9.3463e-05i,-0.0011058-5.3569e-05i,-0.00131-0.00017213i,-0.0011806+0.0011023i,-0.0011576+0.001435i,-0.0013194+0.00038093i,-0.00090832-0.00012044i,-0.00044223+0.00021441i,-0.00048676+0.00039407i,-0.00068472+8.7228e-05i,-0.00025055-0.00046402i,0.00036774-0.00032849i,-0.00030197+4.7181e-05i,-0.0011985-0.0002798i,-0.00055588-0.000808i,0.0001886-0.00095366i,0.0004236-0.00082236i
0.0010125+0.00015447i,0.00016318-0.0001497i,-1.2883e-05+0.00064705i,-0.0011687+0.00031861i,-0.0018345-0.00085718i,-0.0012899+0.00058688i,-0.00047476+0.0017154i,-1.451e-05+0.0010434i,-0.0012513+0.0015951i,-0.0022666+0.001957i,-0.0010878+0.0012241i,-7.7914e-06+0.0008826i,-0.00014936+0.00089654i,-0.00061125+5.5117e-06i,-0.00046502-0.00065085i,0.00030666-8.8031e-05i,0.00072176+0.00024232i,0.00064883-5.5487e-05i,0.00028435-0.0005323i,-0.00029-0.00075772i,-0.0009632-0.00069209i,-0.0012768-3.487e-05i,-0.00083455+0.00022154i
5.9612e-05+0.0010476i,0.00060647+0.0005691i,-0.00017279-0.00048773i,-0.0012049-0.0018018i,-0.0025491-0.0022835i,-0.0021309-0.0010889i,-0.00092187+0.00073749i,-0.00095647+0.0014101i,-0.0016512+0.0010458i,-0.0016199+0.0016748i,-0.0014727+0.0019357i,-0.0015745+0.00077008i,-0.0013831+0.000338i,-0.00084879+0.00051827i,-1.6107e-05+0.00066497i,6.0379e-05-3.7878e-05i,0.00013311-0.00048944i,0.00029121+0.00024863i,-0.0001627+0.0010747i,-0.00018821+0.00074013i,1.6936e-05-0.00037555i,7.4315e-06-0.0010881i,-0.00047681-0.00076068i
-0.0010532+0.00072496i,-0.00036049+0.00015176i,-0.00036264-0.00022632i,-0.0011448-0.00088544i,-0.0013714-0.0011379i,-0.0013307+0.00026466i,-0.0011161+0.0010629i,-0.00049101+0.00062709i,-0.00074776+0.00029403i,-0.0017148+0.0009049i,-0.0014454+0.00042439i,-0.00058118+0.00010363i,0.00013181+0.0008898i,0.00091148+0.0013369i,0.00057167+0.0011652i,-0.00045051+0.00058685i,-0.00019308+0.00062124i,0.00076793+6.3359e-05i,0.0010743-0.0002989i,0.00093838-0.00050685i,0.00069774-0.00027656i,-0.00013791+0.00048164i,-0.00069783-7.9987e-06i
0.0012703-0.00061389i,0.00072584-0.00097868i,-0.00050279-0.0023633i,-0.0020994-0.0033335i,-0.003364-0.0027564i,-0.0040506-0.00080247i,-0.002438+0.00067665i,-0.00051269+0.00064628i,-0.00077911+8.1232e-05i,-0.0023134-1.9416e-05i,-0.0024446+0.00025237i,-0.00092718-3.0261e-05i,-0.00028053+0.00060001i,0.00020174+0.00096411i,0.00043894+8.3283e-05i,-0.00022152+0.00025311i,-0.00066997+0.00068512i,-0.00085735+0.00034208i,-0.00020741-8.8832e-05i,0.00089703-0.00049335i,0.00046819+0.00014924i,0.00017525-0.00013501i,0.00068544-7.8954e-05i
0.0015338+0.00026416i,0.0014218-0.00060549i,0.00085978-0.00079143i,-0.00060121-0.0017375i,-0.002457-0.0017215i,-0.0025246+0.00034814i,-0.0016861+0.0014019i,-0.001955+0.00030505i,-0.0023138-2.3639e-05i,-0.0012641+0.00097724i,0.00030301+0.0011581i,0.00035004+0.00033191i,0.00020618-0.00028097i,0.0004799+0.0002317i,0.00074646+0.00067631i,0.0012415+0.00069429i,0.0007477+0.0002775i,-0.00010306-0.00040149i,0.00019033-0.00077516i,0.0006438-0.0007375i,0.0006613-0.0004603i,0.00096268-0.00092029i,0.00066602-0.00053806i
0.0015572+0.0018363i,0.0022988+0.0011932i,0.002713+0.00022967i,0.00049657-0.0014325i,-0.0015964-0.0022704i,-0.0026242-0.0009388i,-0.0025939+0.00050408i,-0.0015726+0.00065548i,-0.0021096+0.00075496i,-0.0021738+0.00090666i,-0.00087691+0.0006304i,-0.0015139+0.00034571i,-0.002329+0.00096364i,-0.0016189+0.0013845i,-0.00098685+0.0016954i,-0.0004276+0.0017189i,0.00020899+0.00042061i,0.00042252-0.00074563i,0.00051067-0.00030655i,0.00060657+1.1174e-05i,0.00030556-0.00041497i,0.00017248+0.00047162i,0.0001966+0.0013522i
-0.0013329+0.0020367i,0.0010893+0.0011249i,0.0020281+0.00056621i,-2.0919e-05-0.001428i,-0.0019044-0.0032534i,-0.0017971-0.0016782i,-0.00035712-0.00029336i,-0.00022726-0.00054781i,-0.0016812-0.00020997i,-0.0017052+0.00048817i,-0.00066685+0.000602i,-0.00095794+0.00035515i,-0.0014707+0.00031906i,-0.0012301+0.0004734i,-0.00073262+0.00074687i,0.0001883+0.00079268i,0.00083926+0.00097965i,0.00043736+0.00061182i,0.00033819+0.00019692i,0.00022164+0.00064995i,-1.5843e-05+0.0003027i,0.00022939+0.00010757i,-9.2956e-05+0.00028472i
-0.00018067+2.0884e-05i,-1.9594e-05+0.00049654i,-0.0010153-0.00021223i,-0.0017339-0.0010589i,-0.0016613-0.00052826i,-0.0014161+0.0011998i,-0.00047189+0.0028372i,-0.00021208+0.0027127i,-0.0016086+0.0017836i,-0.0021014+0.0013352i,-0.0011194+0.0010399i,-0.00073554+0.0010335i,-0.00084443+0.0015512i,-0.00076907+0.0013558i,-0.00058657+0.00063084i,-0.00081365+0.00017778i,-0.00061384+0.0001691i,0.00059123+0.00067442i,0.00073062+0.00084149i,0.00040461+0.00033189i,0.00021222-0.00072007i,-0.00037659-0.00093224i,-0.00046471-0.00041862i
-0.0011235-5.6601e-05i,-0.00091645+2.8041e-05i,-0.00028028+0.00076376i,-0.00073682+0.00077608i,-0.00097675+0.00051275i,-3.7376e-05+0.00097865i,0.00067629+0.0018588i,-0.00053389+0.001561i,-0.0026251+0.0011069i,-0.0023374+0.00096628i,-0.0013689+0.00052505i,-0.0014245+0.00049781i,-0.0010238+0.00093675i,-0.00091474+0.00062817i,-0.00079556+1.8746e-05i,0.00036556+2.9468e-05i,0.00059562+0.00021974i,0.00033332+0.00021802i,0.00059524+0.00026229i,0.00018385+0.00027895i,-0.00066942+1.9575e-05i,-0.00024363-0.00012841i,-0.00017754+0.00018263i
0.00013469+0.0029848i,0.0013498+0.0033138i,0.0010137+0.0019908i,-0.0001916+0.00015947i,-0.0017924-0.00039383i,-0.0020713+0.0005596i,-0.0013029+0.001093i,-0.0014966+0.00014875i,-0.0018791+0.00030361i,-0.0020888+0.0007028i,-0.0013376+0.00020727i,-0.00037459-7.9316e-05i,-0.00089897+0.00019655i,-0.001729+0.00042549i,-0.0010048+0.0001985i,0.00032999+0.00084047i,0.0013267+0.001257i,0.0015246+0.00022187i,0.00069623-0.00059238i,0.00050328-0.00064607i,0.00099238-0.00086906i,0.00086473-0.00030351i,0.0004697-2.2582e-05i
-0.00084586-5.4461e-05i,-0.00010401-7.5799e-05i,0.00054579+0.00024574i,-0.00090509-0.00010028i,-0.0021175-0.0013906i,-0.0015333-0.00086777i,-0.0010219+0.00042299i,-0.0010245+0.00030653i,-0.0015505+0.00049923i,-0.0013662+0.00053999i,-0.0012199+0.00049134i,-0.001693+0.0004472i,-0.0020299+0.00030347i,-0.0016757-1.2743e-05i,-0.00055931+0.00040361i,-6.4289e-05+0.00067315i,-0.00029307+0.00016048i,-0.00053708-1.1695e-05i,2.5839e-05+0.000169i,0.00016294-8.2658e-05i,-0.00024957-0.00047245i,0.00021258-0.00064685i,3.0604e-05-0.00027622i
0.00034359+0.00048618i,-0.00027954+3.8306e-05i,-0.00074174-0.001459i,-0.0020614-0.0016615i,-0.0030292-0.00076251i,-0.0029925+0.00074819i,-0.0016915+0.0013033i,-0.0013812+0.00039834i,-0.0018028+9.2967e-05i,-0.0020141+0.0012941i,-0.0015697+0.0012326i,-0.00087562+0.0006802i,-0.00074627+0.001399i,-0.00040396+0.00081939i,-2.8437e-05-0.00075826i,0.00014843-0.0011968i,0.00068591-0.0012239i,0.0006348-0.0010073i,0.0002313+0.00020695i,0.00041572+0.00093215i,0.00054085-3.1085e-06i,-0.00018977-0.00056442i,-0.00085048-0.0003137i
-4.9105e-05-0.00012499i,-0.00044029+0.00054231i,-0.0015572-0.00065773i,-0.003354-0.0024378i,-0.0035109-0.0020312i,-0.0027777+0.00019366i,-0.0014109+0.00090548i,-0.00083942+0.00027474i,-0.0016358+0.00019577i,-0.0023459+0.00074113i,-0.0017678+0.00073249i,-0.00084637+0.00014241i,-0.00040608+0.0001875i,-0.00053841+0.00060058i,-0.00078936+0.00062768i,-0.00047495+0.00021506i,-9.909e-05+0.00012666i,0.00021926+0.00066715i,0.00039094+0.0005001i,0.00074407+0.00021781i,0.00068593-7.6446e-05i,0.00030073-0.00068368i,0.00030608-0.00057114i
9.6159e-05+0.00070666i,0.00062348+0.00083087i,-8.5285e-05+0.00056429i,-0.0012311-0.0010166i,-0.0024149-0.0009978i,-0.0025458+0.00045782i,-0.0011527-3.8983e-05i,-0.00080571-0.0010135i,-0.0026068-0.00076911i,-0.0025693+0.00025555i,-0.0010845+0.0011944i,-0.000558+0.0013784i,-0.00096193+0.00087014i,-0.00095834+0.00056428i,-9.9433e-05+0.00073368i,2.9124e-05+0.00032031i,-0.00047797+0.00061459i,-1.652e-05+2.9551e-05i,0.00063868-0.00069008i,0.00031982-0.00036679i,-0.0003792-0.0006323i,-0.00081798-0.00044684i,-0.00025096+5.9917e-05i
-0.0013219+0.0014999i,-0.0028485+0.00015141i,-0.0025007-0.0010074i,-0.0020079-0.00096347i,-0.0013117-0.00088434i,-0.00046172-0.00059545i,-3.5638e-07+0.00050136i,0.00014762+0.00132i,-0.00053563+0.0014374i,-0.0017961+0.00098473i,-0.001861+0.00048267i,-0.00074646+0.00076571i,-0.00041296+0.0011959i,-0.0010673+0.0010846i,-0.0011259+0.00076721i,-0.00043773+0.00042472i,0.00026495+0.00056968i,0.0003179+0.00059292i,0.00079957+3.1244e-05i,0.00089215-0.00031965i,0.0011206-0.00047381i,0.00087494-0.00060352i,0.00030307-0.00063754i
0.0011052-0.00010191i,0.00028793-0.00078933i,-0.00077606-0.0017192i,-0.0016242-0.001019i,-0.0022187+0.000438i,-0.0019438+0.0019538i,-0.001282+0.0023631i,-0.0014459+0.001447i,-0.0016528+0.00058363i,-0.0012289+0.00091602i,-0.0002053+0.00066388i,-7.4129e-05-3.7085e-05i,-0.00093027+0.00043905i,-0.00066024+0.0014089i,-0.00033313+0.00099344i,-0.00058554-0.00015713i,-0.0005962-0.00023176i,-0.00073219-0.00012555i,-0.00061799-0.00034543i,-0.00021268-0.00027937i,-9.0108e-05-0.00051874i,-0.00026785-0.00043412i,-0.00064192-0.0001475i
0.0013408+0.00048695i,9.2042e-05-0.0007792i,-0.00027585-0.0017293i,-0.0011496-0.0014317i,-0.0025005-0.00068827i,-0.0032038+0.00095677i,-0.0026232+0.0014211i,-0.0017251-6.0647e-06i,-0.0016728-0.00037045i,-0.001071-0.00011103i,-0.00053925+0.00022262i,-0.0012201+0.00023479i,-0.001299+1.8193e-05i,-0.0004989+0.00043434i,-0.0001801+0.0012605i,-0.00018538+0.001093i,-0.00027295+0.00083555i,7.0979e-06+0.00066271i,0.00051008-5.0036e-05i,0.00070522-5.0458e-05i,0.00067197-0.00047542i,0.00015911-0.0014515i,0.00037847-0.0015653i
-0.0012279-0.00022379i,-0.00099289+4.7611e-05i,-0.0010581+0.00054794i,-0.00078719-0.00048133i,-0.00047235-0.00037457i,0.00011559+0.00059814i,0.0005145+0.0010904i,9.8301e-05+0.0010949i,-0.0013019+0.001032i,-0.002122+0.00093121i,-0.0015915+0.0010632i,-0.00050048+0.00069467i,-0.00045506+5.361e-06i,-0.00080707+0.00039444i,-0.00051382+0.00096593i,0.000243+0.00056039i,0.00068925+0.00017908i,0.00092721+8.9342e-05i,0.0010684+3.8402e-05i,0.00069233-7.2142e-05i,0.00032349-0.0003573i,0.000293-0.00027593i,-0.00018501+7.4023e-05i
-0.002383-0.00020827i,-0.0023325+0.00067795i,-0.0027498+0.0012143i,-0.0038704+0.00069754i,-0.003728+0.00063967i,-0.001859+0.0012578i,-0.0010273+0.0015968i,-0.001156+0.0011608i,-0.0011926+0.0010546i,-0.00090432+0.001178i,3.3816e-05+0.00071695i,0.0004797+0.00022916i,-5.0064e-05+0.00047921i,0.00028572+0.00051799i,0.00010213+0.00039763i,-0.00072348+8.6505e-05i,-0.00023133-0.00033136i,0.00018995-0.00034545i,-0.00032861+0.0002352i,-0.00020142+0.00045575i,0.00046659+7.0411e-05i,0.00090536+0.00022725i,0.00052531+0.0001176i
0.0012636-0.0013343i,0.00017483-0.0016563i,-0.0016329-0.0034103i,-0.0031523-0.0033314i,-0.0041393-0.0016959i,-0.003567+0.0013729i,-0.0012212+0.0029391i,-0.00076489+0.0019143i,-0.0018978+0.00084573i,-0.0024829+0.00047528i,-0.0017811+0.00031105i,-0.00063879+0.00041661i,-0.00072205+0.00095845i,-0.00087392+0.0012728i,-0.00058139+0.0010056i,-0.00019517+0.00037433i,0.00029088+0.00027559i,0.00080016+0.00091533i,0.0006668+0.00098227i,0.00048549+0.00021879i,0.00097851-0.00045416i,0.0010173-0.00037468i,0.00087413+0.00040759i
-0.0010273-0.00058742i,-0.0015418-0.00010286i,-0.0024541+0.00068081i,-0.003052+0.00026483i,-0.0039503+0.00048839i,-0.0038007+0.00080192i,-0.0019984+0.00076195i,-0.0016443+0.00056071i,-0.002471+0.00011105i,-0.00228+0.00097338i,-0.0015788+0.0013398i,-0.0014308-9.7509e-05i,-0.0011747-0.0011054i,-0.00015484-0.00072424i,0.00067829-0.00024817i,0.00021661+0.00025407i,-5.4772e-05+0.00054661i,0.00022206+0.00078206i,0.00022064+0.00039481i,8.5006e-05-8.8782e-05i,0.00020639-0.00016916i,-0.000208-0.0001175i,-0.00043897-1.9988e-05i
0.00020489+0.001308i,0.00018678+0.00080352i,0.0014025+0.00010479i,0.00079664-0.0011516i,-0.00053664-0.0018226i,-0.00072199-0.0011859i,-0.00054792+0.00029348i,-0.00046675+0.00025531i,-0.00068348+0.00013387i,-0.00070689+0.00036921i,-0.00070257+0.00019018i,-0.00066407+0.0001922i,-0.0012542+0.00096349i,-0.0013649+0.0012441i,-0.00085733+0.00038962i,-0.00044449+0.0006618i,-0.00019868+0.00068127i,-0.0003498+0.00050587i,-0.00015391+0.00046181i,0.00038075+0.00087041i,0.00087692+0.00078559i,0.00085537-0.00057223i,-2.0556e-05-0.00052832i
-0.00086504+0.0017711i,0.000213+0.0014836i,0.0012819+0.0014906i,0.000675+0.0005456i,0.00029583-0.00041122i,-0.00027505+9.9661e-05i,-0.00060832+0.00013643i,-0.00086925-0.0010995i,-0.0019174-0.001175i,-0.0015287+2.0435e-05i,6.3159e-05+0.00030391i,-0.00060388+0.00023379i,-0.0018478+0.00025539i,-0.0018677+0.00058672i,-0.0016652+0.00037938i,-0.0012755+0.00043844i,-0.00072952+0.00047288i,2.6583e-05+0.00068538i,-0.0006872+0.00014669i,-0.0011516-6.5995e-06i,-0.0011502+0.00027047i,-0.0011767-4.1571e-05i,-0.0005124-0.00030315i
-0.00047569+0.0010472i,6.7393e-05+0.00040534i,0.00018475-0.00038596i,-0.00029032-0.0014804i,-0.00043835-0.0022329i,-0.00058435-0.0012263i,-0.0011516+0.00039291i,-0.0011075+0.00085173i,-0.001659+0.00062225i,-0.0019966+0.0013847i,-0.001472+0.0010168i,-0.0011068-0.0006043i,-0.0013073-0.00018262i,-0.0010487+0.00025033i,-0.00052487+0.00020651i,-0.00042034+0.00029346i,-0.00047853+6.0934e-05i,-0.00065954-0.0005914i,0.00027003-0.00071321i,0.00044923-0.00064779i,-0.00022517+7.026e-05i,-0.00032675+0.00028332i,0.00011184-0.00017694i
-0.00063634-0.00084181i,-0.00087308-0.00073442i,-0.0012855-0.0014813i,-0.0026456-0.0022918i,-0.0034344-0.0017296i,-0.0023465+0.00030619i,-0.00086303+0.00099622i,-0.0011689+0.00030921i,-0.0020703+0.0003147i,-0.0015048+0.00062494i,-0.00038395+0.0001742i,-0.00043055+2.0151e-05i,0.00027333+0.00037696i,0.0013224+0.00049829i,0.00087085-6.0707e-05i,0.00035148+7.7699e-06i,0.00069148+2.3092e-05i,0.0010252+0.00012799i,0.0005283+0.00020643i,0.00022339+6.8908e-05i,0.00043423+2.3418e-05i,0.00015278+0.00014775i,-0.00026737-0.00013126i
-0.00043058-0.00042714i,-0.0012071-0.0010325i,-0.0010981-0.0012661i,-0.0018045-0.0022436i,-0.0028734-0.002511i,-0.0031861-0.0008852i,-0.001478+0.00061926i,-0.00021116+0.00022015i,-0.0013304-0.00064053i,-0.002046-0.00012841i,-0.001448-0.00016474i,-0.0013143-0.00069226i,-0.0012339-0.00044248i,-0.00030549+6.0528e-05i,0.00013013+0.00087957i,6.3167e-05+0.0014124i,0.00026399+0.0013989i,0.00030491+0.00060724i,0.00018622+2.5226e-05i,0.00016517+0.0001506i,-0.00025197-0.0003929i,-0.00092848-0.00074271i,-0.00098822-0.0007827i
-0.00066204-6.2005e-05i,-0.00079192+0.00036796i,-0.001009+0.00053485i,-0.0022478-0.00080487i,-0.0030455-0.0016562i,-0.0025562+0.00026296i,-0.0013503+0.0023127i,-0.00059948+0.0016444i,-0.0014615+0.00025995i,-0.0024084+9.0141e-05i,-0.0015183+8.4721e-05i,4.4181e-06+9.0059e-06i,-3.2696e-05-8.3862e-05i,-0.00067076-5.1877e-05i,-0.00088812-0.00024349i,-0.00019392-0.00016417i,0.00067321+0.00079558i,0.00060064+0.00073806i,0.00054809+0.0009457i,0.00044257+0.00089377i,-0.00027042+0.0005814i,-0.0006756+0.00039197i,-0.00062341-0.00034264i
3.5908e-05+0.00033974i,-0.00085859+6.836e-05i,-0.0015321+5.786e-06i,-0.0022925-0.00089006i,-0.0024621-0.0003505i,-0.0011751+0.001643i,-0.00094251+0.0022794i,-0.0015629+0.00095294i,-0.0018774+0.00068589i,-0.00095788+0.0015085i,-0.00044973+0.0011406i,-0.0011175+0.00080638i,-0.0011747+0.0010354i,-0.00095292+0.00069008i,-0.00040241+0.00028489i,0.00039978+0.00066723i,0.0004077+0.00077053i,0.00034474-0.00014971i,-0.00029706-0.00049595i,-0.00077017-0.00022588i,-0.00032448-0.00021877i,-3.2784e-05-0.00036204i,7.9711e-06+0.00011321i
0.0019076+0.0021611i,0.0020064+0.00094067i,0.0011551-0.00026591i,-0.00046598-0.001795i,-0.0018581-0.0030633i,-0.0030585-0.0018233i,-0.0022975+0.00028229i,-0.0013041+0.00046817i,-0.0018374+0.00064081i,-0.0015781+0.00081999i,-0.00099544-0.00027509i,-0.00097123-0.00068057i,-0.0013824+0.00041395i,-0.00075525+0.0012014i,-0.00022224+0.0011348i,-0.00070836+0.0010041i,-0.00094304+0.0004088i,-0.00043781-0.00036414i,2.1531e-05-0.0011377i,0.00037974-0.0017676i,0.00040562-0.0010067i,-4.0402e-05+0.00011652i,-0.00025664+0.00059775i
-0.0024945+0.00057317i,-0.0013364+0.0011167i,-0.001426+0.0021141i,-0.0021055+0.00050382i,-0.0020141-0.00099774i,-0.0017804-0.00042076i,-0.0010848+0.00036712i,-0.0010926+0.00044602i,-0.0020764+0.00038818i,-0.0018281+0.0010597i,-7.5993e-05+0.00066028i,0.001194-0.00039997i,0.00076213-0.00066626i,5.0628e-05-6.0629e-06i,0.00022647-0.00016058i,0.00085214-0.00039321i,0.00040068+0.000337i,-0.00011331+0.00066044i,3.0722e-06+0.00039855i,-7.2513e-05-0.00012073i,0.00026042-8.2429e-05i,-0.00032583+0.0004138i,-0.00088975+0.00055827i
-0.0022991-0.00047014i,-0.002216-0.00057727i,-0.0013262-0.00062884i,-0.0015915-0.0014373i,-0.0024125-0.0014557i,-0.0022487-0.00047469i,-0.0014907+0.00050888i,-0.0010084+0.00049199i,-0.0015516+0.00048861i,-0.00075946+0.0013021i,-2.1336e-05+0.0012629i,-0.00076647+0.00020042i,-0.0012787+4.6359e-05i,-0.00071601-6.1406e-05i,-0.00030096-0.00026365i,-0.0004618+4.4363e-05i,-0.00021584+7.7527e-05i,0.00015167-0.00022296i,0.0002889-2.971e-05i,-0.0001995+0.00018721i,8.2958e-05-0.00018746i,0.00058358-0.00042926i,0.00043895-5.4381e-05i
-0.00090125+0.0010037i,-0.00064941+0.00095854i,-0.00080036+0.00041926i,-0.0020552+7.0803e-05i,-0.0023248-0.00037473i,-0.0016061-9.5675e-05i,-0.00068872+0.0014773i,-0.00049598+0.0013186i,-0.0015823-6.5067e-05i,-0.0019309-0.00038756i,-0.0015784+0.00010867i,-0.0014004+0.00017496i,-0.0014216+0.00011835i,-0.0014576-0.00019625i,-0.0011377-0.00036106i,-0.0005327+0.00042478i,-0.00023798+0.00090691i,-0.0001915+0.00073706i,0.00013169-7.8259e-05i,0.00047059-0.00050968i,0.00020996-0.00067593i,-0.00025931-0.00044077i,-0.00070099+0.00026723i
0.0008963+0.00071704i,0.00028986+0.0010985i,-0.00078639-8.1375e-05i,-0.0016053-0.0014601i,-0.0019021-0.0011571i,-0.0020856+0.00044341i,-0.0023042+0.0016956i,-0.0027331+0.0014594i,-0.0028601+0.00057345i,-0.0024581+0.00068983i,-0.0017384+0.0011244i,-0.0017483+0.0011281i,-0.0014472+0.0013944i,-0.0012521+0.00159i,-0.0013353+0.00087808i,-0.00074636+0.0001779i,0.00058087+0.00050658i,0.00094792+0.0015384i,-2.0633e-05+0.0010612i,-0.00036135-0.00019817i,-0.00017267-0.00040646i,0.00019043+4.7991e-06i,-3.1404e-05+0.00028879i
0.00099041-0.0011357i,-0.00011676-0.0018885i,-0.0021006-0.0023254i,-0.0040831-0.0029432i,-0.0035963-0.0024472i,-0.0025038-0.00011911i,-0.001224+0.0012316i,-0.00041602+0.00045761i,-0.0013138-0.0005551i,-0.0019239-0.00013084i,-0.0013268+0.0010147i,-0.00068414+0.0011798i,-0.00045745+0.0014518i,-0.00055565+0.0015511i,-1.9578e-05+0.00074165i,0.0010314+2.6071e-05i,0.0015866-0.00013474i,0.0014098-0.00039132i,0.00051798-0.00087516i,0.00015849-0.00075927i,0.00023905-0.00057913i,-0.00019068-0.00034162i,-0.00027959+0.00023341i
0.0021459+0.0022141i,0.0015753-0.00021635i,0.0013424-0.0021741i,-0.00074533-0.0035557i,-0.0024532-0.003929i,-0.00281-0.0013647i,-0.0019168+0.00058565i,-0.0014251+0.00061688i,-0.0023406-0.00035136i,-0.001566-3.6687e-06i,-0.00049863+0.0013773i,-0.00078945+0.001222i,-0.0008935+0.00041096i,-0.0006577+0.00079172i,-0.00025076+0.0011884i,0.00025743+0.00080766i,0.00018102+0.00040622i,-0.00012822+0.00027544i,0.00036333-0.00010102i,0.00026463-0.00054778i,-0.00036717-9.3402e-05i,-0.00077454+0.00016579i,-0.00025739+1.2792e-05i
