-0.0067135-0.0029002i,-0.0028293-0.004728i,0.00085666-0.0039499i,0.00099219-0.0016635i,0.00025962-0.00033169i,0.00055463-0.00041433i,0.0020689-0.0005647i,0.0040752-0.0014037i,0.0052071-0.0025553i,0.004229-0.001602i,0.0025397+0.00052387i,0.0018963+0.0012668i,0.0014186+0.00054614i,0.00066228+3.5313e-05i,0.00035281-0.00046612i,-0.0001899-0.00088017i,-0.00020956-0.00050824i,0.00038974+0.0003464i,0.00067251+0.0005786i,-6.9921e-05-0.00010073i,9.3908e-06+0.00019295i,0.00026265+0.00059891i,-0.00018779+0.00069274i
-0.0067355+0.0046783i,-0.0070902+0.001376i,-0.0049539-0.0018121i,-0.0019363-0.0016128i,-0.00037251-0.0006528i,0.00016363+0.00041242i,0.00099816+0.0003202i,0.00060384+0.00010381i,-0.0017516+0.0011541i,-0.0042439+0.0019941i,-0.0042125+0.0021903i,-0.0019099+0.0025211i,-2.5571e-06+0.0020152i,2.5239e-05+0.00092639i,-0.00036681+0.00088773i,-0.00062725+0.00089662i,-0.00091969+0.00033225i,-0.0010247-0.00010363i,-0.000762+6.6298e-06i,-0.0005095-8.4178e-05i,-5.3427e-05-0.00032202i,0.00012446-0.00029268i,-0.0008009+0.00025643i
0.0040307+0.008174i,-0.00040488+0.0053632i,-0.0010303+0.00061462i,0.00067142-0.0012173i,0.00099725-0.00075094i,0.00031291-8.6886e-05i,-0.00093994-0.00095488i,-0.0032508-0.0018308i,-0.0056778-0.0023636i,-0.0056077-0.003132i,-0.0037546-0.0031084i,-0.0023092-0.002633i,-0.0015317-0.0017168i,-0.0018582-0.00053505i,-0.0014885-0.00023882i,-0.00083695-0.00043906i,-0.00063248-6.763e-05i,-0.00039114+0.00021274i,1.1915e-05-0.00014579i,-8.9686e-05-0.00012891i,-0.00024121-0.00038376i,0.00020926-0.00055876i,0.0005101-0.00058872i
0.0079621+0.0015218i,0.0041711+0.0031906i,-0.0003901+0.0011492i,-0.00073755-0.0014908i,0.00081107-0.0024706i,0.001448-0.0022585i,0.0008818-0.0022844i,-0.00012318-0.0029602i,0.0012587-0.0025398i,0.0038136-0.0018969i,0.0043572-0.0020977i,0.0028165-0.0012847i,0.0011002-0.00056206i,4.1185e-06-0.00022202i,-0.00024143+0.00068325i,0.00024108+0.0010342i,0.00013366+0.0007828i,6.6467e-05+0.00011668i,0.00016324-6.7992e-05i,0.00043363-0.00011603i,0.00099948-0.00060309i,0.00069777-0.00088575i,0.00021579-0.00080791i
0.0056648-0.0069185i,0.0052951-0.0012922i,0.0016353+0.0016566i,0.00074343+0.00058933i,0.0010256+5.0572e-05i,0.0011297-0.0007084i,0.0015745-0.00051357i,0.0020581+0.0019403i,0.0028467+0.0040769i,0.0028975+0.0044136i,0.0013722+0.0033809i,-0.00035253+0.0019071i,-0.0014787+0.00055764i,-0.00087521+0.00022862i,-0.00062081+0.00025864i,-0.00086867+3.4169e-06i,-0.00061521-9.3162e-07i,-0.00076961+0.0005181i,-0.00031151+0.0005954i,0.00012734-0.00027057i,0.00020185-0.00041341i,0.00046104-0.0003466i,0.00023187-0.00087852i
-0.00069343-0.0087894i,0.0028436-0.0069462i,0.0027802-0.00341i,0.0014037-0.0016123i,0.0012152-0.0014794i,0.00035835-0.0014522i,-0.00048442-0.00028314i,-0.00062081-0.00019854i,-0.0012034-0.00026646i,-0.0022336-0.00037576i,-0.0029144-0.00047959i,-0.0030382-0.00035355i,-0.0021777-0.00035849i,-0.0010422-0.00029488i,-0.00043787-0.00028586i,-1.1163e-05-0.00026296i,0.00063335+0.00028432i,0.00048508+0.00020306i,0.00054325+0.00059339i,0.00074248+0.00062937i,0.00019778+0.00050946i,-0.00035702+0.00099233i,-0.00133+0.00065886i
-0.010466-0.0019556i,-0.0057539-0.0038386i,-0.00056328-0.0012679i,0.00081135+0.0016553i,0.00038791+0.0013072i,-0.00018541-0.00021449i,-0.0001026-0.0011186i,0.00046335-0.002474i,-2.2614e-05-0.0051272i,-0.00051482-0.005853i,0.0011195-0.0036986i,0.002359-0.0013784i,0.00073041-0.0011407i,-0.00022795-0.0014506i,0.00073474-0.0010023i,0.00052606-0.0008499i,0.00028208-0.00066454i,0.00042704-0.00033394i,6.0257e-06-0.00056482i,-0.000471-0.0007324i,-4.828e-05-0.00014114i,0.00026136+0.0001902i,0.00024112+0.00030478i
-0.0074124+0.0075154i,-0.0069826+0.0027002i,-0.0028038-0.0014465i,0.00078447-0.0023703i,0.0016277-0.0016189i,0.0011285-0.0018376i,0.0012935-0.0022328i,0.002002-0.0027443i,0.0026547-0.0028014i,0.0035486-0.00045316i,0.003465+0.0015662i,0.0026196+0.0014953i,0.0011553+0.00095826i,0.00020613+0.0010908i,0.00012195+0.0013556i,-0.00013307+0.00068072i,0.00016296+0.00045625i,-0.00026589+0.00050444i,-0.0007986+8.0084e-05i,-0.0011386-0.0002038i,-0.00058222-0.00026746i,0.00090083-0.00042571i,0.0011686-0.00026741i
0.0034655+0.01011i,-0.00098692+0.0082128i,-0.0012218+0.0034292i,0.00087916-3.463e-05i,0.0016252-0.0013325i,0.001089-0.0016083i,0.00066395-0.00080281i,0.00026183+0.00056719i,-0.0010819+0.0021327i,-0.0031526+0.0032469i,-0.0035634+0.0022333i,-0.0021429+0.00067191i,-0.00067488+0.00034155i,-0.00044804-0.00012304i,-0.0010176+0.00013806i,-0.0013279+0.00080799i,-0.00092287+0.00070487i,-0.00032321+0.00029914i,-0.00019952+0.00027714i,-0.00020909+0.00040635i,6.7522e-05+2.9317e-06i,0.00095771+1.3435e-06i,0.0017905+0.00045317i
0.010196+0.0052847i,0.0065866+0.007436i,0.0025944+0.005191i,0.002219+0.0011303i,0.0024486-0.00072163i,0.0021645-0.0011442i,0.00026395-0.0010061i,-0.002601-0.0012909i,-0.0035653-0.0012063i,-0.003637-0.0018146i,-0.0025258-0.0029055i,-0.00091297-0.0035201i,-0.00069553-0.002929i,-0.00080636-0.0012782i,-0.00093207-0.00065909i,-0.00090253-0.0011i,-8.7444e-05-0.001173i,0.00030341-0.00086508i,-0.00015917-0.00060686i,-0.00075893+0.00069121i,-0.0010946+0.00076979i,-0.00039669-0.0006064i,0.00016229-0.0014592i
