-0.0029436+0.0017555i,-0.00038904+0.0020536i,5.6158e-05+0.0024358i,0.00039803+0.0031578i,0.00039893+0.0043641i,0.0010346+0.0031694i,0.0017119+0.0007524i,0.0017098-5.0251e-05i,0.0011485+0.00028014i,0.00067645+0.00078218i,0.00058315+0.00066252i,0.00081955+1.424e-06i,0.0011854-0.00086134i,0.00071341-0.00078577i,4.9862e-05+0.00011961i,-0.00019257+0.0010935i,-0.00030042+0.00091055i,0.00045327-0.00025394i,0.0013008-0.0003569i,0.0010592+0.00059724i,0.00018578+0.00071487i,-8.2019e-05+0.00015909i,-9.0409e-05-0.00033252i
0.00046393+0.00098417i,0.00084115+0.00065554i,0.0016916+0.00063773i,0.0019331+1.5454e-05i,0.00138-1.3531e-06i,0.0006272+0.0002743i,-0.0001842+1.8835e-05i,-0.00076048+0.0010307i,-0.00036072+0.0020009i,0.00046761+0.001403i,0.00031082+0.00049382i,-0.00023273+0.00011612i,-0.00035668+0.0002473i,-0.00050409+0.00035264i,-0.00055773+0.00037048i,-0.00034679+0.000322i,0.0001613+0.00081582i,-0.00019933+0.00030001i,-0.00045835+6.7575e-05i,-0.00039815+0.00037265i,-0.00029542-0.00028408i,0.00018763-0.0005297i,0.00036542-0.000133i
-0.00069482-0.0013234i,-0.00057971-0.00033799i,-0.0018044+0.00028655i,-0.0033108-0.00026483i,-0.0030763+0.00091774i,-0.0018151+0.0024033i,-0.00054653+0.0018475i,-9.7874e-05+0.001187i,-0.00041142+0.0006232i,-0.00032604+0.00029928i,-0.00063417+0.0011911i,-0.00036319+0.0012405i,0.00037735+0.00013748i,0.0011319+0.00014742i,0.0011868+0.0011145i,0.0002336+0.00063403i,-0.00027464-0.00011311i,-8.0112e-05+0.00022807i,0.00010077+0.00045201i,-0.00044476+0.00058566i,-0.00087279+0.00050756i,-0.00043061+0.00052239i,-4.9429e-05+0.00030503i
0.0010873+0.0016719i,0.0022106+0.00085032i,0.0024576-7.7656e-05i,0.0016641-0.00088581i,-0.0010869-0.00070384i,-0.0017895+0.00044652i,-1.4024e-05+0.00098844i,0.0012125-0.00022369i,0.0010242-0.00046188i,0.00022163+3.4259e-05i,-4.5859e-05+0.00034877i,-0.00041911+0.0011922i,-0.00061213+0.0014675i,-0.00045039+0.00089817i,7.4425e-05+0.00047752i,0.00069975+0.00068839i,0.00047818+0.001044i,0.00061324+0.00057656i,0.00080509-0.00044017i,0.00016022-0.00084993i,0.00044817-0.00036084i,-0.00021688+0.00016239i,-0.0013761+0.00026691i
-0.0015466-0.00049793i,-0.0012189+0.00051546i,-0.0018084+0.0018527i,-0.0017597+0.0027721i,-0.001019+0.0022312i,0.00046411+0.0014637i,0.0017819+0.00057483i,0.0013812-0.00077911i,0.00094297-0.00049447i,0.00025174+0.00047343i,-0.00060845+0.00027646i,-0.00054486+0.00024064i,-0.00039165+0.00028058i,8.5599e-05-0.00016717i,0.00061907-0.00050384i,0.00041198-0.00069736i,0.00024508-0.00085176i,-0.00015158-0.00050021i,-0.00059994-5.3909e-05i,-0.00073678-2.9024e-05i,-0.0001689-0.000368i,0.00057219-0.00086834i,0.0012191-7.7167e-05i
0.00019654+0.00015632i,0.00015341+0.00061221i,0.00027951+0.0009227i,0.0012592+0.00086134i,0.0019424+0.001684i,0.00080429+0.0021891i,-0.00017297+0.00071918i,0.00038537+3.3112e-05i,0.00012904+0.00051718i,-0.00039078+0.00024703i,-0.00014332+0.00013155i,0.00045146-0.00024946i,0.00098713-0.0006988i,0.00073011-0.00027501i,-0.00029511+0.00011356i,-0.0010835-0.00015396i,-0.00070517+0.00017332i,0.00028598+0.00032938i,0.00044747+0.00043668i,-0.00023069+0.00099156i,-0.00032311+0.00088202i,8.1555e-06+9.5651e-05i,-0.00032614+7.4543e-05i
-0.00014284+6.5459e-05i,-0.00029722+0.0010061i,-0.0009024+0.0016679i,-0.00010631+0.00088527i,6.0818e-05+0.002188i,-0.00073074+0.0022793i,-0.0010611+0.0011844i,-0.0012423+0.001118i,-0.00046385+0.00067433i,0.00054942+6.0692e-05i,0.00020088-0.00013i,0.00042206-0.00048507i,0.00020151+2.871e-05i,-0.0010624+0.00055816i,-0.0009981+0.00028054i,-0.00028434+0.00070619i,-3.1692e-05+0.0014912i,0.00027468+0.00064531i,-1.3931e-05-0.0002692i,0.00025753-0.0003356i,0.00042524-3.7321e-05i,0.00017234-0.00013259i,-0.00021621+0.00050143i
0.00022213+0.0015665i,0.0012001+0.00036211i,0.0014659-0.00046683i,0.00078577-0.0012194i,0.00057678-0.00095398i,0.00042423+0.00025217i,0.00038936+0.0011065i,0.00060563+0.00049108i,0.0004416-2.8863e-05i,-3.4426e-05+0.00042307i,-0.00079378+0.00080285i,-0.0008742+0.00078222i,-0.00062907+0.00020231i,-0.0005885+0.00015646i,-2.9918e-05+0.00070756i,-0.00010297+0.0010042i,-0.00014443+0.00026591i,-0.00031701+5.0152e-05i,-0.00079503+0.00013254i,-0.00068316-0.00046122i,-0.00011479-0.00052349i,0.00053986+0.00035919i,0.00017686+0.00023036i
-0.0013841-0.00053065i,-0.0019788+0.00055419i,-0.0024298+0.00098709i,-0.0024668+0.00025768i,-0.0028001+0.00063079i,-0.0014877+0.001343i,-0.00019833+0.00076029i,-0.00020166+0.00060901i,1.2853e-05+0.00050985i,-0.00059023-3.1113e-05i,-0.00073578+5.8541e-05i,-0.00025895+9.9567e-06i,-0.00067785-0.00021623i,-0.0007733+6.6469e-05i,-0.00025845+2.8542e-05i,0.00011569-0.000266i,0.00051036-0.0004515i,0.00089492+0.00012983i,0.0010249+0.00046614i,0.001202+0.00023367i,0.00086675+8.5332e-05i,0.00067093-0.00043298i,0.00076388-0.00072983i
-0.0021686-0.00018094i,-0.00092171+0.00026949i,-0.001052+0.0011453i,-0.0015468+0.0016176i,-0.00070133+0.0015586i,-9.2658e-05+0.0013994i,-0.00011193+0.0002895i,-0.00016567-0.00058106i,-0.00043496-0.00016012i,-0.00021496+0.00015496i,-5.2201e-05+0.00029054i,1.1323e-05+0.00038647i,0.00022789+0.00018611i,0.00068089-0.0003973i,0.00076626-0.00041588i,0.00054201+0.0004072i,-0.00012371+0.0010179i,-0.00048698+0.001154i,-0.00050896+0.00066214i,-0.00045903+0.00062531i,-0.00039152+0.00074402i,-3.7451e-05+0.00096486i,9.0208e-06+0.0013103i
0.00067226+0.00033696i,0.00078066-0.00075104i,0.00083736-0.001273i,0.00086404-0.00049851i,0.00024357+0.00095451i,-0.00029665+0.0015308i,-0.00015747+0.0015372i,-1.324e-05+0.0014016i,-0.00026403+0.00067345i,0.00064474+0.00030775i,0.0014846+0.00070323i,0.001115+0.0011668i,0.00025325+0.0009988i,-0.000197+0.00019523i,0.00032791-0.00024539i,0.00030394+0.00024312i,0.00013226+0.0010582i,0.00051867+0.00044784i,0.00053503-0.00029846i,0.00063999+0.00015432i,8.2654e-05+0.00075458i,-0.00017319-0.00016131i,0.00012789-0.00066116i
-0.00020242+0.00050256i,0.00033225-0.0002933i,-0.00075442+0.00045634i,-0.0006869+0.0016045i,0.00062845+0.0015986i,0.00078269+0.001164i,0.00034499+0.00090619i,0.00036514+0.00045987i,0.0006481-0.00018563i,0.00069338-0.00016903i,-0.00041361+9.5885e-05i,-0.0010644-0.00059387i,-0.00085191-0.00020805i,-0.00099694+0.00095937i,-0.00086301+0.00057965i,-0.00065251-0.00033883i,-0.00026203-0.00051028i,-0.00080698-0.00048361i,-0.0007941-0.00032063i,-3.2443e-05-3.7129e-05i,0.00054434+0.000699i,0.00067329+0.00087399i,0.00015502+0.0001433i
-0.00010498-0.0010381i,-0.00023127-0.0010566i,-0.00025878-0.0012739i,-0.00032023-0.00021346i,-0.00055849+0.0016121i,-0.00060521+0.0018253i,-0.00045893+0.0017015i,-0.00026443+0.0010835i,-0.0002253+0.00042486i,-0.00066997+0.00076951i,-0.00073478+0.00075555i,-0.00027069+0.00077503i,-6.9169e-05+0.00092372i,-0.00050933+0.00022707i,-0.00043538+0.00013415i,-9.4605e-06+9.3423e-05i,0.00074554-0.00048358i,0.00058948-0.000187i,0.00019559-0.00023797i,0.00047153-0.00023019i,0.00058459+0.00018835i,0.0011729+0.00016794i,0.0010124+0.00014686i
5.0417e-05+0.00084846i,-0.0004807+0.0012838i,-0.0012821+0.0013282i,-0.0020168+0.0012397i,-0.0028789+0.00094954i,-0.0018751+0.00015872i,-0.00018719+0.00015496i,0.00068441+0.00028934i,0.00076102+0.00078682i,0.001117+0.00086001i,0.00096336-1.7122e-05i,-0.00058423+0.00014297i,-0.00061024+0.00075546i,0.00016509-5.9989e-05i,0.00041171-0.00063698i,-0.00021244-0.00020863i,-0.00035893+6.5167e-06i,4.7845e-05+0.00029002i,-0.00014638+0.00067473i,9.0311e-05+0.00071861i,0.00013159+8.7269e-05i,-0.00042063-4.7841e-05i,0.00013811+0.00027361i
0.00031543-0.00091541i,0.0011788-0.00077666i,0.0015138-0.00094824i,-1.517e-05-0.00029077i,-0.0010919+0.0006674i,-0.00070694+0.0017908i,-5.1657e-05+0.0010492i,-0.00064955+7.8225e-05i,-0.00025856-0.00015591i,0.00086728-3.3245e-05i,0.0011585+0.00062448i,0.0011856+0.0013228i,0.0014322+0.00090418i,0.001493+0.00030865i,0.00026745+0.00024476i,-0.00028281-0.00028021i,1.5802e-05-0.00019216i,-0.00043295-5.8095e-05i,-0.00083707-0.00023758i,-0.00080303-0.00024931i,-0.00024053+0.00063338i,8.4636e-05+0.00092293i,-0.00060096+0.00027791i
-0.0010232-0.0020255i,-0.0011594-0.00065559i,-0.0017326+0.00091307i,-0.0026162+0.0014905i,-0.0024225+0.0017589i,-0.0012492+0.0011758i,0.00029282-7.7622e-05i,0.00094147-0.00065618i,0.0003925-0.00043885i,3.6847e-05-0.00020445i,-0.00012258+0.00085313i,-0.00025725+0.0012931i,0.00036131+0.00056757i,0.00075318-0.00014234i,0.00078286-0.00015549i,0.00052502+0.00010606i,-5.465e-05-1.1025e-05i,-0.00055979+0.00038101i,-0.00050239+0.00042835i,-0.00039525+0.00058136i,-0.00041799+0.00056906i,0.00022593-0.00020046i,0.0009306-2.1636e-05i
0.00069145+0.00051876i,0.00083816+0.00015016i,0.0018789-0.00028096i,0.0020577-0.0013077i,0.0014789-0.0012302i,-1.0836e-05+0.00067113i,-0.00067881+0.0013227i,-0.00076262+0.00059644i,-0.00066116-0.00028869i,-5.7789e-05-0.00021708i,0.00034876+0.00011271i,0.00028131-9.4734e-05i,-0.00013355+6.8746e-05i,-8.7607e-05-8.9231e-05i,9.0108e-06+0.00043768i,-2.4888e-05+0.00069761i,0.00039521-9.1093e-05i,0.0011089-0.00021305i,0.00087215+0.00029798i,7.0048e-05-0.0002899i,-0.00038321-0.00099014i,-0.00061211-0.00045347i,-0.00062932-7.5913e-05i
0.00052578+3.8432e-05i,-0.00068214-0.0015732i,-0.0018172-0.0032194i,-0.0027837-0.0026176i,-0.003089-0.00077922i,-0.0020988+0.00030903i,0.00014913-0.00016404i,0.0012992-0.00055264i,0.00045992+0.00022838i,-0.00026454+0.00054504i,-0.00023192+0.00021759i,3.1589e-05+0.00063426i,-5.7815e-05+0.00079868i,-4.1631e-05-2.6846e-05i,0.00064706-0.00051247i,0.00052772-0.0005144i,0.00011918-0.00035669i,5.9165e-05-0.00022775i,0.00033781-0.00035655i,-6.008e-05-0.00053799i,-4.6601e-05-0.00043311i,0.0007041-0.00033635i,0.00045451-0.00071209i
-0.000713+0.00089827i,-0.001063+0.0013919i,-0.00037086+0.0029178i,0.0008985+0.0024358i,0.0010533+0.0015693i,-0.00012621+0.0016162i,-0.00035018+0.00053784i,0.00013592-0.00028596i,0.00068351+0.0001801i,0.00039362+0.0010061i,-0.00024678+0.00079078i,-0.00039893+0.00034968i,1.3592e-05+0.00013044i,6.3533e-05-0.00030144i,-0.00011045-0.00043677i,0.00037118+0.0002107i,0.00027685+0.00064456i,0.00072579+0.0006995i,0.0013335+0.0011384i,0.00028059+0.00091193i,-0.00050987+0.00048005i,-7.5829e-05+0.00058629i,0.00030012+0.00051471i
-0.00062794+0.0011333i,-0.00056042+0.00051027i,-0.00046347-0.00014158i,-0.00081277+0.00079106i,-0.0011662+0.0021497i,-0.0012951+0.0014825i,-0.00030353+0.0019334i,0.00062895+0.0021625i,0.00091728+0.00092902i,0.0012-3.3563e-06i,0.00074128-0.00016719i,8.8244e-05-0.00039092i,-8.6194e-05-0.00093366i,-0.00074455-0.00013669i,-0.00063526+0.00048877i,0.00034335+0.00069542i,0.00065166+0.0013766i,0.00018828+0.00087625i,0.00017745+3.2121e-05i,0.00038181+0.00044759i,0.00095649+0.00025791i,0.0012533-0.00030469i,1.3724e-05-0.00067446i
0.00052135-0.00092439i,-0.00049813-0.0012493i,-0.0013313-0.0013331i,-0.0020208+0.00018409i,-0.0021643+0.0016153i,-0.001383+0.001963i,-0.0012561+0.00086817i,-0.00050651-0.00033373i,0.00022464-0.00090282i,-1.8313e-06-8.4507e-05i,0.00016075+0.0009959i,1.8926e-05+0.00011276i,-0.00016472-0.00038614i,0.00021996+7.4338e-05i,-0.00015332+3.3402e-05i,-0.00072507-0.00044359i,-0.00050707+0.00016862i,-0.00032375+0.0009931i,-0.00054685+0.00046158i,-0.00099046-0.00020864i,-0.0008317-2.3598e-05i,-0.00037364+0.00046967i,-0.00022427+0.0003104i
-0.00082891-0.00016846i,-0.0013719-0.00044792i,-0.0011426-0.0016343i,-0.00079838-0.0013067i,-0.0013842+1.1722e-05i,-0.0016844+0.0016626i,-0.00037195+0.001465i,0.00028797+0.00047895i,0.00016388+0.00030348i,0.00015768+0.0002426i,0.00034484+0.00012408i,0.000531+0.00013315i,0.00056671+0.00011339i,0.00055605-8.5508e-05i,-0.0003899-0.00015673i,-0.00011083+0.00033868i,0.00069503+0.00053316i,0.00085676-0.00024161i,0.0011759-0.00046623i,0.0007189-0.00039793i,0.00015964-0.00047265i,1.9622e-05-0.0010218i,-4.1031e-05-0.001439i
0.0027109-2.6186e-05i,0.0014004-0.0012266i,0.00055668-0.0020502i,-0.00092223-0.0031355i,-0.0017195-0.0029331i,-0.0012544-0.0017215i,-0.0009369+7.291e-05i,-0.00054164+0.00036612i,3.8919e-05-0.00034378i,0.00038973-0.00024244i,0.00052022+0.00015198i,0.00021212+0.00027879i,7.3679e-05+2.9078e-05i,0.00048777+0.00036538i,0.00067741+0.00078874i,0.00062319+0.00027189i,0.00054585+0.00011205i,3.2166e-05-0.00013893i,-5.8934e-06-0.00038995i,3.5512e-05-0.00038327i,0.00022874+1.4312e-05i,0.00050026-3.1839e-05i,0.00027586-0.00055554i
0.00022812+0.0014566i,-0.00022401+0.0016451i,-0.00059176+0.00074144i,-0.0006248-0.00090564i,-0.00026946-0.0017195i,-0.00043468-0.00088899i,-0.00025979-0.00012701i,0.00055438+0.00025845i,0.0010531-3.6865e-05i,0.00027513-0.00063271i,-0.00010968-0.00037502i,0.0003582+0.00029332i,-0.00030407+0.0002701i,-0.00084582-0.00047367i,-0.00057464-0.00064446i,-0.00067048-0.0006181i,-0.0003353-0.00062011i,5.273e-05+0.00018012i,2.8308e-05+0.0005516i,0.00059545+0.00087329i,0.00063228+0.00029912i,7.0744e-05-0.00013198i,-1.9593e-05-2.3072e-05i
-0.00011726+0.0024031i,0.00059123+0.0018116i,0.0019122+0.0014742i,0.0022355+0.0008651i,0.0022887-1.6171e-05i,0.0010527+1.0991e-05i,-0.0003359+3.9823e-05i,-0.00016468+0.00031368i,-4.8169e-05+0.00093383i,-0.00030382+0.00063011i,-0.00088207+0.00049315i,-0.00084243+0.00026534i,-0.00024044-6.2034e-05i,-0.0004591-1.4722e-05i,-0.00063905+0.00042683i,-6.2576e-05+0.00047465i,0.00044069-7.6323e-05i,0.00039506-0.00013622i,0.00035424+0.00020803i,0.00037947+0.00016997i,-0.00028081+0.00041317i,-0.00026422+0.00015446i,0.00058946+3.7937e-05i
0.00045227+0.00089982i,-7.9817e-06+0.00049736i,4.3128e-05+0.00016275i,-0.00092773+0.00024629i,-0.0023107+0.00138i,-0.002491+0.002185i,-0.0013489+0.0014931i,-0.00023027+0.00060792i,0.00017032+0.00038166i,8.2202e-05+0.00087523i,0.00013946+0.0016292i,0.00023146+0.00059182i,-9.25e-05-0.00024858i,-0.00047334-0.0002415i,-0.00046678-0.00027652i,0.00031592-6.9823e-05i,0.00032014+0.00029938i,0.00028908-3.644e-05i,0.00039691-0.00069307i,-0.00016796-0.00053924i,0.00020297-2.0997e-05i,0.00046985+0.00027978i,-0.00031888+0.00026557i
-0.00039432+0.001856i,-0.00080433+0.0025334i,-0.00061614+0.002503i,-0.00031015+0.0026046i,0.00022601+0.0025653i,-0.00025634+0.0017977i,-0.00076254+0.00072854i,-4.1215e-05-2.2833e-05i,0.00061904-0.00068029i,0.0009166-0.00075418i,0.00050957-5.4705e-05i,0.00010841-0.00045188i,0.0001344-0.00075721i,-0.00070844+0.00019468i,-0.00096831+0.00051233i,-0.00019439+0.00015997i,0.00051147-0.00075415i,0.00029078-0.00077459i,-0.00023182+0.00044076i,0.00033315+0.00025822i,0.00078143-0.00044701i,0.00033807-0.00025974i,-3.5307e-05-9.2165e-05i
0.00034618+0.0018808i,0.00091117+0.0023321i,0.00099229+0.00073924i,0.0014306-0.0011029i,0.0014301-0.0011257i,0.00071442-0.00055441i,0.0001042-3.6887e-05i,-0.00070666+0.00087355i,-0.0004175+0.0010922i,0.00018353+0.00033802i,-4.4803e-05-0.00013034i,0.00015861-6.1763e-05i,-4.5948e-05-0.00066787i,-0.00063263-0.0010439i,-0.00036063-0.00023876i,-8.6981e-05+0.00043714i,0.00017861+0.00028897i,0.00018331+0.0006955i,0.000157+0.00053214i,0.00012286-4.138e-05i,-2.2943e-06-0.00014104i,8.8058e-05+0.00038746i,0.00035618+0.0012997i
-0.0014695+0.00038053i,-0.0014647+0.00032123i,-0.0020385-0.00047387i,-0.0025486+0.00071966i,-0.0024175+0.0015686i,-0.0016748+0.00080933i,-0.00050698+0.00043438i,0.00019247+0.00034298i,-4.9066e-05+0.00021926i,-0.00019837-0.00013705i,-0.00057765-2.7201e-05i,-0.0010883+9.4939e-05i,-0.00078997-0.00011973i,-0.00018531-0.00010297i,0.00051743+0.00010428i,0.00061496+0.00062726i,0.00010959+0.00061848i,-0.00037798-5.3967e-05i,-0.00053174-0.00070216i,-5.2296e-06-6.1684e-05i,0.00072139+0.00071474i,0.00080713+0.00037268i,0.0010043-0.00065788i
-0.00073533+0.001596i,-2.633e-05+0.0014783i,0.0022127+0.0015482i,0.0025244+0.0014509i,0.0013982+0.00090494i,0.00055925+0.00081209i,-0.00017345+0.0010804i,-0.00047026+0.0014138i,0.00037722+0.00092793i,0.00086811+0.00048466i,0.00078323+0.00065196i,0.00075579+0.00028588i,-9.1884e-05+9.4499e-05i,-0.0011542-0.00055241i,-0.0011508-0.00077816i,-0.00017734-0.0005181i,0.00021994+0.00029918i,0.00019896+0.00077976i,0.00014374-0.0001276i,0.00073558-5.3621e-05i,0.0011372+0.00088262i,0.00044978+0.00086589i,-0.00055667+0.00099889i
8.1927e-05+0.0010243i,-0.00073898+0.00013029i,-0.00095055-0.00046923i,-0.00089798+0.00031722i,-0.00082579+0.00076509i,-0.0009488+0.00072309i,-0.0002695+0.00060927i,0.00016055-0.00046023i,0.00047007-0.00039633i,0.00027254+0.00039856i,0.00017898+0.0004045i,0.00012385+0.00065649i,5.295e-05+0.0010577i,0.00010528+0.00046826i,-0.00026999+0.00016334i,-0.00011704+0.00028689i,0.00041349+0.00030289i,-7.0137e-05+0.00059492i,-0.00024512+0.00074536i,-3.2188e-05+0.00011613i,-0.00036222-2.5248e-05i,-0.00048349+0.00075697i,0.00013317+0.00045522i
0.00058523-0.00032079i,0.00079997-0.00095826i,0.0011499-0.0012646i,0.0013351-0.00067323i,0.00088127+0.00023308i,0.00034701+0.0011248i,0.00031586+0.0012822i,0.00016652+0.0010735i,-0.00022703+0.000892i,4.2364e-05+0.00059255i,0.000142+0.00026141i,-0.00029625+0.00028874i,-0.00075396+0.00020591i,-0.00061561-0.00042383i,0.00030118-0.00047464i,-7.4698e-05+0.00028624i,2.0453e-05+0.00010572i,1.6492e-05-0.00036031i,-0.000552-0.00046552i,-0.00026833-0.00095713i,0.00061061-0.0010984i,0.00082134-0.00076766i,-0.00024319-0.00022701i
0.0015572-0.00073064i,0.0014738-0.0016699i,0.00059192-0.001851i,0.00041532-0.0010729i,0.0004104-2.0058e-05i,-0.00027171+7.4408e-05i,-0.00034604+0.00027577i,4.5958e-05+0.00054811i,0.00080061+0.00037743i,0.0010906+0.00034196i,2.758e-05+1.0618e-05i,2.6129e-05-0.00023357i,0.00020107-0.00016219i,-7.179e-05+0.00039891i,-3.4879e-05+0.00029381i,0.00024088-0.00092628i,0.00013762-0.00095672i,0.00010295-0.00056114i,0.00016906-0.00059092i,-0.00022033-0.00073413i,-0.00042301-0.0005509i,-8.1324e-05+0.00020953i,-0.00010372+0.00084534i
-0.0003867+0.0017589i,-0.00037379+0.0015224i,5.7015e-05+0.00024519i,0.0010244-0.00064908i,0.0010883-0.00049544i,-0.0003078+0.00035572i,-0.0010635+0.00035269i,-0.00068346+0.00022818i,-0.00084129+0.0002967i,-0.0013776-0.00053049i,-0.00098166-0.00087669i,4.4176e-05-0.00022726i,0.00027686+0.00018705i,-0.00016273+0.00022413i,-0.00020782+2.0246e-05i,-0.00054923-1.6481e-05i,-0.0011362+0.00019456i,-0.0011587+0.00026757i,-0.00099237+5.2793e-06i,-0.00053883-0.00030795i,-4.6929e-05-0.00029919i,-0.00038915-0.00045796i,-0.00018559-0.00044379i
0.00011373+5.5693e-05i,-2.4621e-05-5.8918e-05i,-0.00047953-0.000273i,-0.00038858+0.00062699i,-0.00037713+0.0021087i,-0.00053679+0.0018184i,-2.6137e-05+0.00077666i,0.00051918+0.00027749i,0.00071785-0.00019997i,0.00066276-0.00013426i,0.0002769+0.00066692i,5.9308e-05+0.0004243i,0.00037723+0.0002459i,9.4305e-05+0.00051283i,-0.00054067-0.00011694i,-3.2332e-05-0.00040292i,0.00049167+0.00046193i,0.00070127+0.0010068i,0.0014133+0.00079183i,0.0010844+0.00065674i,0.00058352+0.00086539i,0.00051952+0.00081563i,-0.00016714+0.00041706i
0.00052837+0.00033613i,0.0012277-5.8473e-05i,0.00084885-0.00010716i,0.00015681-0.00066025i,-0.00012302-8.0486e-05i,-0.00067115+0.0010158i,-0.00060451+0.00073569i,-0.0005287+0.00041884i,-0.000924-0.00018154i,-0.0010015-0.00053995i,-0.00086923-0.00010155i,-9.1518e-06+0.00053181i,0.00050182+0.00021519i,0.00081293-0.00043555i,0.0010469-0.00016105i,0.00041117+0.00032812i,-0.00026294+0.00049195i,-0.00028016-0.0002845i,-0.0001604-0.0004494i,-0.00079309+7.843e-06i,-0.0010142+0.00020603i,-0.00042838+0.00028988i,-0.00015335-7.2119e-05i
0.0016335+0.00097068i,9.4462e-05-0.00020978i,0.00029383-0.0019192i,0.00028266-0.0016179i,-0.0009634-0.00039936i,-0.0015879+0.00039144i,-0.00065969+0.00028022i,-0.00013606+0.0007068i,0.00028594+0.001354i,0.0010577+0.000611i,0.0008235+0.00073799i,0.00045001+0.00075583i,0.00052772+0.0004732i,0.0006727+1.3391e-05i,-0.00015876-0.0007308i,-0.00046413-0.00064288i,2.6378e-05-0.00055904i,0.00056887-0.00011161i,0.0012019+0.00033626i,0.00051595+0.0011509i,0.00043415+0.0013853i,0.00087488+0.0005477i,0.00072702-6.938e-05i
0.0017323+0.0011147i,0.0013638+0.0011686i,0.0016577+0.00035184i,0.00024924-1.4738e-05i,-0.0018032+0.00011725i,-0.0017472+0.0011129i,-0.00047527+0.0014611i,0.000619+0.00083786i,0.00055686+0.00079256i,-1.0121e-05+0.0001388i,-0.00019642-6.221e-05i,0.00017192+8.6576e-05i,0.00038469+0.00034172i,0.0003334+0.00042215i,0.00062292-1.8264e-05i,-4.7011e-05-0.00022678i,-0.00018378+0.00062952i,0.00055686+0.00099097i,0.00032926+0.00044308i,-5.1478e-05+0.00045137i,0.00018451+3.1047e-05i,-0.00045977-0.00036343i,-0.00059423+0.00045085i
0.0010674-0.00077287i,-0.0003156-0.00050439i,-0.00077051-0.0022945i,-2.464e-05-0.0028139i,-5.5758e-05-0.0015512i,-0.0012126-0.0003771i,-0.0011629+6.9494e-05i,-0.00094041+0.00069363i,-0.00084882+0.00076265i,0.00012504-0.00038634i,0.0001612-7.2147e-05i,-0.00020185+0.00016492i,-0.00076923-1.7123e-05i,-0.001359-7.3103e-05i,-0.00075715-0.00056197i,0.00017186-0.00042032i,-0.00025962+0.00055485i,-0.00066541+0.0001769i,-0.00023727-0.0011318i,0.00037465-0.00074451i,0.00035782+0.0001279i,0.00045933+0.0003241i,0.0008476-8.531e-05i
-0.0021603-0.0017559i,-0.0037157+0.00078672i,-0.0052151+0.0023686i,-0.0039767+0.0032866i,-0.0026352+0.0042211i,-0.00065699+0.0039864i,0.00040202+0.0016312i,-8.3221e-05-0.0006403i,-0.00018885-0.0014334i,-0.0003423-0.00067136i,-0.00013256-0.00027799i,0.00022243-0.00010854i,0.0010042-0.00093477i,0.0019301-0.0019449i,0.0011889-0.0015433i,1.0072e-05-0.0012151i,-0.0005246-0.00066545i,-0.0010149-0.00036292i,-0.00087591+0.00024842i,-0.00041157+0.00026199i,0.00060051-0.0001557i,0.0011691+4.2356e-06i,0.0010376+0.00021962i
0.00047166-0.0018893i,0.00045814-0.0028484i,0.00081424-0.0026405i,0.00046066-0.0020558i,-0.0011833-0.0011438i,-0.0018112+0.001095i,-0.00097573+0.0020214i,0.0004996+0.0010925i,0.0015766+0.00057154i,0.00086028+0.00011212i,-0.00051972+0.00017858i,-0.0010913+0.00067472i,-0.00029794+0.00012143i,0.00061816-0.00067239i,0.0005499-0.00042611i,-0.00010429+0.00044746i,-0.00022166+0.00069597i,-1.8373e-05+0.00020056i,-0.00041443+0.00018918i,-0.0011088+0.00065789i,-0.00083177+0.0001214i,-0.00031141-0.00072477i,-0.00019183-0.0010118i
-0.00074449+0.00083427i,-0.00087488+0.0020284i,-0.0018101+0.00195i,-0.0031976+0.0011132i,-0.0028792+0.00056503i,-0.0013761-0.00062327i,-0.00086993-0.00076151i,-0.00041316+0.00030469i,-8.1521e-05+0.00075894i,-4.9186e-05+0.0012611i,-9.1996e-05+0.00075334i,-0.00032338-1.2117e-05i,-0.00022064+0.00010673i,0.0002388+0.00032738i,0.00012976+0.0002426i,-0.00053728-1.1423e-05i,-0.00092956+0.00047011i,-0.0010026+0.0004166i,-0.00014096+5.9305e-05i,-3.7196e-05+0.00045211i,-0.00051073+0.00016538i,-0.00023933-0.00029386i,-0.00040977-0.00081656i
0.00083813-0.00070473i,0.00093432-0.00052418i,0.00097447-0.0003572i,0.000639+0.00040452i,-0.0002301+0.0016352i,-6.8152e-05+0.001832i,0.00015414+0.0009889i,-0.00061439+0.00024608i,-0.00042474+0.00028087i,-0.00028559+0.00074898i,-0.00030268+0.0008653i,0.00027626+0.00032977i,0.00025556+0.00034033i,4.4976e-06+0.00062111i,-0.00027844+0.00093858i,-0.0004821+0.00073592i,0.00011104+0.00030351i,0.00040911+0.00038519i,0.00054206+0.00031837i,0.00069204+0.00072825i,0.00036001+0.00075081i,-0.0001796+8.031e-05i,-0.0003632+3.4108e-05i
