-0.0025418+0.00043044i,-0.00073883+0.00072947i,-0.00066999-0.00010761i,-0.0013417+0.00043769i,-0.0022011+0.0017926i,-0.0026838+0.0016154i,-0.0021642+0.0021396i,-0.00071689+0.0021856i,0.0001417+0.001215i,0.00013541+0.00051614i,0.00027265+0.00042178i,0.00034346-0.00013992i,0.00013591-0.00073927i,-0.00013156-0.00078356i,-0.00045357-0.00013222i,-0.00057108+0.00064955i,-0.00016054+0.00032584i,0.00038701-0.00041019i,0.00067508-0.00060031i,0.00064991+0.00027163i,0.00045198+0.00038997i,-3.1954e-05+4.7565e-05i,0.00051111+0.00069561i
-0.001664-0.0017804i,-0.0022341+6.2273e-05i,-0.0019351+0.0029175i,-0.0015677+0.004506i,-0.00077253+0.0028772i,0.00021582+0.0003363i,-0.00078309-0.0006688i,-0.0027709-0.000295i,-0.0035652-7.211e-05i,-0.0024744+0.00015214i,-0.0011092+0.00074391i,-0.00046245+0.00054527i,-0.00023309+3.5724e-06i,-0.00040757-0.00069417i,-0.0011881-0.00080427i,-0.0010485-0.00093089i,-0.00063773-0.00091212i,-0.001204-0.00057491i,-0.0017221-0.00021438i,-0.001185+0.00010842i,-0.00033228+0.00029399i,-0.0002439+0.00026128i,-0.00048672-0.00012946i
2.5546e-06+0.0037543i,0.00094982+0.0031464i,0.0024809+0.001029i,0.0022879-0.00093591i,0.00099157-0.0029713i,-0.00060229-0.0026518i,-0.0019044-0.00048939i,-0.0021956+0.00018635i,-0.0016844+0.00068782i,-0.0012114+0.00088142i,-0.00021427-6.6678e-05i,-0.00023927-0.00044543i,-0.000376+0.00012888i,0.00031753+0.00065612i,0.0003464+0.00097356i,-5.0915e-05+0.0011308i,-0.00042006+0.00099954i,-0.00084348+0.00081578i,-0.00079698+0.00086967i,-0.00028775+0.00089554i,-5.0401e-05-8.6299e-05i,0.00058663-0.0009121i,0.00028359-0.00030749i
-0.0025235-0.0016285i,-0.003196-0.00069922i,-0.0053701+0.00072482i,-0.0046504+0.0021745i,-0.002832+0.0034557i,-0.0019977+0.0041752i,-0.0017418+0.0027102i,-0.0019407+0.0014469i,-0.0028672+0.0014198i,-0.002915+0.0012505i,-0.0012369+0.0014678i,-0.00033021+0.00082983i,-0.00027824-0.00031733i,0.00030212-0.00063535i,5.7458e-05-0.00057249i,-0.00067016-0.00081405i,-0.00086635-0.00095361i,-0.001048-0.00072169i,-0.00075604-0.0005065i,-0.00069846-4.4919e-05i,-0.0011525+0.0004352i,-0.0013764+0.00037255i,-0.00080877+0.00025065i
0.0014108+0.0018662i,0.00051015+0.00020293i,0.0015749-0.0011689i,0.00051844-0.0013894i,-0.001918-0.0019902i,-0.0021692-0.0012628i,-0.0016628-9.14e-05i,-0.001629-2.5742e-05i,-0.0023357-0.00021003i,-0.0027011-3.7867e-05i,-0.0016235-0.0002624i,-0.00075116-0.00055413i,-0.00082986+0.00021391i,-0.00079434+0.001077i,-0.00051923+0.00076142i,-0.00046482+0.00086771i,-0.00074986+0.00085351i,-0.00040671-1.1097e-05i,0.00049312-0.00025348i,0.00032617-0.00029827i,-0.00071355+0.00011872i,-0.00087525+2.2879e-05i,9.7157e-06+0.00024177i
0.0012997+3.6466e-06i,0.00091981-0.00038378i,0.0002915-0.00077656i,0.00078435-0.00092348i,0.00019966-0.0016747i,-0.0010333-0.0019198i,-0.0011384-0.0012415i,-0.0012011-0.00070825i,-0.0014399-0.00076904i,-0.0014653-0.00062707i,-0.0013043-0.00010262i,-0.00091473-0.00058428i,-0.00071518-0.0012196i,-0.00029394-0.00027498i,-0.00026364+0.00094097i,-0.00037879+0.00099542i,8.1126e-05+0.00036246i,0.00017866+9.5918e-05i,5.5167e-05+0.00030178i,0.00028086+0.00015903i,0.00022297-0.00039527i,0.00033125-0.00071928i,0.00035386-0.00061274i
0.00061661-0.0019024i,-0.0016926-0.0021785i,-0.0029331-0.0017279i,-0.0042123-0.0011107i,-0.0048563-0.00028805i,-0.0042616+0.00060514i,-0.0031166+0.00013025i,-0.0021777-0.00069237i,-0.0020608-0.00093995i,-0.0017906-8.6153e-05i,-0.0011103+0.00058966i,-0.0005781+0.0011355i,-0.00036787+0.001243i,7.5364e-05+0.00071878i,0.00039841+0.0004555i,0.00012345+0.00053875i,-0.00054101+0.00066785i,-0.00049413+0.0004526i,0.00018457+0.00051542i,0.0003215+0.00033762i,-0.00021932+1.2381e-05i,-0.00051671-0.00025107i,-0.00010675-6.2626e-05i
0.00029955+0.0015209i,0.00016757+0.0015657i,7.0656e-05-2.8732e-06i,2.5206e-05-0.0014161i,-0.0009083-0.0020075i,-0.0020938-0.0014073i,-0.002367-0.00069465i,-0.001986-0.00086369i,-0.0023859-0.0011714i,-0.0025773-0.00013737i,-0.0016115+0.00073742i,-0.0017483-0.00014099i,-0.0015265-0.00089458i,-0.00086519-0.00055625i,-0.0005271-0.00018831i,-1.7758e-05-3.9913e-06i,0.00012544+8.0484e-05i,-0.00046092+0.00021605i,-0.00087623+0.00074851i,-0.00025131+0.001073i,0.00034068+0.00059585i,0.00099264+0.00015404i,0.00066807+0.0005355i
0.001344+0.00013923i,0.0010216-0.00082773i,0.0011937-0.0014993i,0.0007447-0.0019285i,-0.00062712-0.0028207i,-0.0019101-0.0022496i,-0.0023926-0.0014482i,-0.0023506-0.001202i,-0.0023131+0.0002099i,-0.0015598+0.0013028i,-0.00077285+0.0010049i,-0.00066575+0.00084971i,-0.0005256+0.00036504i,-0.0009098+0.00041386i,-0.00097659+0.00064087i,-0.00074401+0.00054823i,-0.00041883+0.00034187i,-0.00058564+0.00011777i,-0.0013039-0.00013259i,-0.0011226-0.00068234i,-0.00015483-0.00047864i,-0.00037121+0.0002424i,-0.00085825+0.00022811i
-0.00040307+0.00030456i,-0.00036357-0.0003801i,-0.0011433-0.00013198i,-0.0014974+0.00084178i,-0.0027213+0.00040346i,-0.0039596-0.00089717i,-0.0040251-0.0012637i,-0.0027471-0.00039427i,-0.0019318+5.2301e-05i,-0.0012695+0.00010985i,-3.3702e-05+0.00018691i,0.00050582-7.4284e-05i,0.0011255-0.00019073i,0.0014413+0.0003022i,0.00060595+0.00058369i,-0.00055873+0.00041538i,-0.00079685-0.00023526i,-0.00027094-0.00063367i,-2.2555e-05-0.00038944i,0.00021526+0.00032708i,-0.00012904-0.00014417i,-0.00078183-0.00030792i,-0.00061458+1.3901e-05i
0.00012388+0.00098176i,0.00042209+0.0022122i,0.0011765+0.0014506i,0.00095079+2.6784e-06i,0.00062383-0.0012402i,-0.00018344-0.0021595i,-0.0012106-0.0016887i,-0.0013914-0.00050953i,-0.0015636-0.00029592i,-0.0012575-0.0002268i,-0.0001462+0.00031038i,0.00018585-0.00023092i,-0.00055219-0.00060845i,-0.00060274+0.00017923i,-0.00065365-0.00019499i,-0.00144-0.0005103i,-0.0015017-0.00010663i,-0.0010489+6.6875e-05i,-0.00086362+0.00025714i,-0.00036005-3.6654e-05i,0.0003546-0.00047186i,-0.00012263-0.00021844i,-0.0002106-0.00041665i
0.00059544+0.0010076i,0.0020652-0.00017419i,0.001388+0.00061081i,0.00033667+0.0011986i,-0.00045794+0.00039184i,-0.0011576+0.00056947i,-0.002048+0.00054389i,-0.0023244-0.00021117i,-0.0020153-0.00064443i,-0.0016558-0.00033176i,-0.0010849+6.1998e-05i,-0.0010357-0.00044689i,-0.0014121-0.0005832i,-0.0014595+0.00032303i,-0.0012111+0.00034078i,0.0002708-6.871e-05i,0.0010642+0.00028021i,0.00064691+0.00012457i,0.00017228-0.00024256i,0.00017118-0.00016255i,-0.0002872+5.9503e-05i,-0.00020081+0.00045529i,0.00054724+0.00023434i
0.00032384+0.0010332i,-0.00049192+0.00024559i,0.00020981-0.00041866i,0.0010457-0.0011587i,-0.00076713-0.0022037i,-0.0031105-0.0019596i,-0.0034083-0.0009911i,-0.0025959-0.00092413i,-0.0017878-0.0013623i,-0.0018627-0.00086056i,-0.0014774-0.00022935i,0.00012891-0.00033136i,-7.0781e-05-7.7282e-05i,-0.00064122-2.5526e-05i,-0.00051191-0.00076262i,-0.00030238-0.00078387i,-0.00040013-0.00029891i,-0.00083895+0.00056515i,-0.0010544+0.0010804i,-0.00088384+8.6122e-05i,-0.0005483-0.00035018i,-0.00071709-0.00025232i,-0.001119-2.9767e-05i
-0.001733+0.0023023i,-0.00094103+0.0017032i,-0.00043291+0.0023166i,-0.0006569+0.0025912i,0.00030954+0.00078733i,0.00061329-0.0014627i,-0.00045136-0.0017829i,-0.00096582-0.00065126i,-0.001315-0.00049363i,-0.0019039-0.00069267i,-0.0013698-0.00050048i,-0.00046044-0.0007367i,-0.00068116-0.0010385i,-0.001206-0.00078665i,-0.0012465-0.00049599i,-0.00078206-0.00025221i,-9.1251e-05-0.00063688i,-0.00079447-0.00053486i,-0.0010993+0.000166i,0.00013973+0.00028241i,0.00059251+0.00013639i,0.00057828+5.3893e-05i,0.00011401+0.00036199i
-0.00055743-0.00021097i,0.00010323-0.00056145i,0.00091502-0.0003938i,0.00031424+6.2609e-05i,-0.00070515-0.0016355i,-0.0013653-0.0019332i,-0.0019314-0.00046448i,-0.0019551-1.7466e-05i,-0.0019305+0.00011875i,-0.0015383+0.00061684i,-0.00074785+0.00039493i,-0.0010476-0.00056899i,-0.0011583-0.00039686i,-0.00057421+0.00089302i,-0.00055634+0.0018751i,-0.00093409+0.0014315i,-0.00034531+0.00037182i,0.00016004+0.00013206i,-0.00029258-0.00017098i,-0.00043301-0.00057299i,-0.00037959-9.6823e-05i,1.2274e-05+0.00012049i,-0.00019421+1.3694e-05i
0.00078651-0.00067594i,0.001156-0.0011222i,-0.00013893-0.0012533i,-0.001167-0.0014297i,-0.0011907-0.0010343i,-0.0014699-0.0010613i,-0.0021041-0.0004588i,-0.0020206+0.0010561i,-0.002347+0.0019684i,-0.002293+0.0015275i,-0.000707+0.00061i,3.8667e-05-0.0001511i,-0.00033593-0.00057783i,-0.00059537-5.1635e-05i,-0.0012105+0.00017263i,-0.0012969-0.00027472i,-0.00053942-0.00055868i,-0.00021564-0.00055013i,-0.0001954-0.00080678i,0.00017256-0.00018964i,-0.00068414+0.00019005i,-0.0014068-0.00052758i,-0.0014065-0.00048472i
-0.0014289+0.00081688i,-0.00038673+0.0024494i,0.00010441+0.0034454i,0.0014253+0.002885i,0.00096426+0.0018406i,-0.00050378+0.00038081i,-0.00051152-0.00041678i,-0.00014657-0.00041887i,-0.00078037-0.00022086i,-0.0007699-0.00017288i,6.479e-05-0.00035401i,0.00041394-0.00073685i,0.00016712-0.00078734i,-7.8045e-05+0.00022666i,-3.4758e-05+0.00099832i,-0.00027516+0.00086849i,-0.0005184+0.00038068i,-0.00026476-0.00031166i,-4.8808e-06+9.2017e-05i,0.0004557+0.0010061i,0.00018326+0.0011394i,-0.00019706+0.00033119i,0.00018874-7.5888e-05i
-0.00064043+0.00088173i,-0.00046529+0.0011735i,-0.00016867+0.00034425i,0.00025403-0.0011385i,-0.00051729-0.0018963i,-0.0016414-0.0018527i,-0.0018488-0.0012319i,-0.0026395-0.0010443i,-0.0027509-0.00042112i,-0.0015501+0.00066596i,-0.00073878+0.00042384i,9.9636e-05-0.00042214i,-9.7734e-05-0.0004674i,-0.00089656-0.00010391i,-0.00054237-9.716e-05i,0.0003162-8.8904e-05i,6.979e-07-0.00076209i,-0.00096515-0.00088411i,-0.00042713+0.00011138i,0.00096444+0.00046646i,0.0013681+0.00076711i,0.0015012+0.00045747i,0.001206+3.1617e-05i
0.0016511+0.0012127i,0.00045141+0.0002262i,-0.0010405+8.7077e-05i,-0.00095092+0.00076998i,-0.00045903+0.000777i,-0.0012654+0.0005228i,-0.0022445+0.00072861i,-0.0020827+0.00064233i,-0.0018684-0.00038336i,-0.0021317-0.00063557i,-0.001701-0.00022011i,-0.00011389-0.00031436i,0.00042525-0.00082406i,-5.968e-05+0.00027233i,-0.00026798+0.00090347i,-0.00035028+0.00055145i,-0.00033585+2.6747e-07i,0.00021728-0.00026137i,0.00061236+0.00030814i,0.00012834+0.00052448i,-0.00062956-8.4741e-05i,-0.00066559-0.00053165i,-0.00032726-0.00055413i
0.00081297-0.00054141i,0.00035359-0.00019451i,0.00062337-0.00060824i,0.0010256-0.00086969i,-0.00022917-0.0013517i,-0.0018262-0.0017185i,-0.0025327-0.00052721i,-0.0022546+0.00023956i,-0.00261+0.0003603i,-0.0027725+0.0007206i,-0.0019105+0.0010031i,-0.00074115+0.0011822i,-0.00010769+0.0010313i,-0.00048691+0.00025917i,-0.00095637-0.00030599i,-0.0010415-0.00047604i,-0.0013027-7.5579e-05i,-0.0010363+0.00054131i,-0.000287+0.00063306i,-3.3195e-05+0.00089929i,-8.6007e-05+0.00091742i,-1.5593e-05+0.00031979i,0.00033792+0.0004444i
0.001358+0.0011755i,0.0006228+0.00042906i,0.00011922+0.00032587i,-0.00079651-2.9359e-05i,-0.0012673-0.0014382i,-0.0022521-0.0024854i,-0.0034661-0.0020922i,-0.0031457-0.00031285i,-0.0023903+0.0011373i,-0.0013592+0.0019554i,-0.0006465+0.0012851i,-0.00093782-0.00012297i,-0.00097423-7.0939e-05i,-0.0010345+0.00057722i,-0.00064472+0.00051913i,-0.00030636+0.0004081i,-0.00040419+0.00066894i,-0.00049131+0.00074583i,-0.00040856+0.0006019i,0.00011176+0.0006182i,0.00040838+0.00063574i,0.00078163-5.827e-05i,0.00059263-0.00039104i
-0.0028741+0.0011466i,-0.0026816+0.0017346i,-0.00099048+0.0019502i,0.00012245+0.0015515i,-0.00013024+0.0016987i,-0.0004106+0.0018579i,-0.0012079+0.00064149i,-0.0014184+9.3352e-05i,-0.0017343+0.00048397i,-0.0021064+0.00048194i,-0.0012487-0.00018637i,-0.00068683-0.00031023i,-0.00037276-0.00038069i,-6.3385e-05-0.0004161i,-0.00050062-0.00050438i,-0.00054046-0.00011351i,-0.00044196+0.00076621i,-0.00021759+0.00013135i,-0.00025297-0.00060208i,-0.00045423-0.00032538i,-0.00025231-0.00027573i,0.00032652-0.00047612i,-7.3776e-05-0.00049271i
-0.00045438-0.00079763i,-0.00070291+8.5215e-05i,-0.0019849+0.00061717i,-0.0032579+6.8653e-05i,-0.002911-0.00019592i,-0.0020482-0.0004855i,-0.0010433-0.00028016i,-0.00052798+0.00047582i,-0.0013245+0.0012038i,-0.0012489+0.00092438i,-0.00040098+0.00029701i,-0.00061991+0.00034481i,-0.0011964+0.00020453i,-0.00066509-0.00030713i,0.00017958+4.6694e-05i,0.00047468+0.00025183i,0.00010611+0.00041316i,0.00046597+0.00046097i,0.000915+0.00020294i,0.00043751+0.00022648i,-0.00020215+0.0010638i,-0.00069341+0.0010306i,-0.00051264+0.00028519i
-9.2858e-05+0.0014179i,0.00069939+0.00065964i,0.0014071+0.00079752i,0.0015231+0.00044784i,0.00066986-0.00089066i,-0.00085419-0.0013018i,-0.0023302-0.00093542i,-0.0029664-0.00086259i,-0.0027465-0.00068386i,-0.0020843+8.3615e-05i,-0.00092583+0.00082324i,-0.00057126+0.00036079i,-0.0006859+4.6114e-05i,0.00023306-8.6626e-06i,0.00093112-0.00051065i,0.00051159-0.00021464i,0.00023409+0.00078883i,-2.3926e-05+0.00092238i,0.00020981+0.00023535i,0.00025337+8.6729e-05i,-0.00018586+0.00034754i,-9.4534e-05+0.00072222i,0.00028531+0.00037313i
0.0018055-0.00073933i,0.00051985-0.0023097i,-0.0003938-0.0037831i,-0.0023158-0.0033037i,-0.0037838-0.0031219i,-0.0039182-0.0027553i,-0.0030154-0.001501i,-0.0027235-0.00039905i,-0.0030837-0.0001742i,-0.0024327-0.00027642i,-0.0017127+0.00042387i,-0.00095961+0.00013152i,-0.00029911+0.00023172i,-0.00016318+0.0010562i,3.0011e-05+0.0013018i,3.511e-05+0.00095399i,7.1062e-06+0.00010639i,-8.3198e-05-0.00010375i,8.5855e-06+3.4329e-05i,0.00056883+0.00042913i,0.0010629+0.00033911i,0.00034864+0.00020941i,-0.00017607+4.9053e-05i
-0.0012448-0.00052705i,-0.00102+0.00053608i,-0.00036342+0.0019808i,7.7317e-05+0.0018812i,-0.0011223+0.00026383i,-0.0024614-0.00075549i,-0.0024601-0.00025667i,-0.0026726+0.00026097i,-0.0033449+0.00018672i,-0.0026635+0.0006831i,-0.0012395+0.0010565i,-0.00077509+0.0002215i,-0.00046487-0.00050626i,-0.00069146-0.00015946i,-0.00042478+0.0007391i,8.6599e-05+0.0012122i,-0.00032472+0.00056507i,-0.00072688-0.00019327i,-0.00092661+0.00023292i,-0.0005685+0.00057398i,4.4471e-06+0.0010604i,-0.00014104+0.002078i,-9.0113e-05+0.0019012i
0.00095474-0.00024979i,0.00013885-0.00016695i,-0.00053043-0.00077502i,-0.0015513-0.00066268i,-0.002547-0.00045088i,-0.003205-0.00040228i,-0.0029106-4.2288e-05i,-0.0024985-4.5261e-06i,-0.002522-0.00024772i,-0.0026374+0.00057071i,-0.0016652+0.00037981i,-0.00014879-0.00013986i,-0.0002111+0.00064862i,-0.00081114+0.00074706i,-0.00049145+0.001003i,-0.0011288+0.001374i,-0.0013245+0.00028502i,-0.00055853-0.00060375i,-0.00066786-0.00046004i,-0.00082105-0.00034052i,-0.00048804-0.0006237i,-0.00022515-0.00059906i,-0.00043076-4.9207e-05i
4.6341e-05+0.00033063i,-0.0009339+0.001146i,-0.0015717+0.0014181i,-0.00094723+0.0014345i,-0.0011508+0.00069976i,-0.0013826-9.4268e-05i,-0.0011784-0.00058992i,-0.0016818-0.0008874i,-0.0021222-0.00024714i,-0.0017118+0.00030495i,-0.0010416+0.00011518i,-0.00089478-1.765e-05i,-0.00094238+0.00037863i,-0.0005018+0.00040595i,-4.5234e-05+9.6821e-05i,2.3836e-05-0.00027901i,0.00039726-0.00069102i,-8.5516e-05-0.000625i,-5.6281e-06-0.00084689i,0.00088966-0.0006947i,0.00081571+0.00014519i,-0.00019751+0.00022974i,-0.00029174+0.00017602i
0.00044451+0.00027931i,0.00094146-3.0553e-05i,0.00081319-0.00094757i,-0.00011009-0.0012586i,-0.0017913-0.0012969i,-0.0028385-0.002044i,-0.0019046-0.0018503i,-0.0010504-0.0010867i,-0.0014442-0.00094841i,-0.0014393+4.4654e-05i,-0.0013041+0.0015341i,-0.00061395+0.0012045i,0.00024139+0.00058534i,-8.904e-05+0.00042693i,-0.00085107+0.00074221i,-0.0010159+0.0011125i,-0.0009918+0.00088667i,-0.0009448+0.00091986i,-0.0015909+0.00052594i,-0.00074933-0.0001206i,0.00030715-8.3974e-05i,-0.00020529+8.2106e-05i,-0.00047519-0.0002483i
-0.00029633-0.00026562i,-0.00043004+0.00022424i,-0.00060745-0.00030885i,-0.00069707-0.00035571i,-0.00088568-0.00082997i,-0.0011911-0.0022918i,-0.0018529-0.0017742i,-0.0017329-0.00026264i,-0.0011903-0.00026735i,-0.00067681-0.00028324i,-0.00043499+0.00017271i,-0.00066232-0.00042947i,-0.0008704-0.0011386i,-0.00062581-0.0011387i,-0.00023802-0.00074346i,-8.887e-05-0.00084854i,0.00037117-0.00095502i,0.00038049-0.00017487i,-2.3456e-05-0.00024407i,-0.00019175-0.00049208i,7.0522e-05-0.00030743i,0.00014958-0.00017428i,-0.00036339-0.00045926i
0.001036-0.00017249i,-0.00015143+6.7858e-05i,-0.00072465-6.435e-05i,-0.00083554-0.00041339i,-0.0019097-0.00040661i,-0.0029141+4.0974e-05i,-0.0030575-0.00013987i,-0.0025707-0.00028533i,-0.0023758+0.00018109i,-0.0023274+0.00088776i,-0.0013268+0.0010329i,0.00018762+0.00038282i,0.00060813-0.00041837i,-5.4663e-05-0.00041853i,-8.7344e-05+0.00022189i,4.1633e-06+0.00097321i,-0.00021222+0.0016959i,-0.00067844+0.00095173i,-0.00041223+0.00017345i,-0.00056673+5.6015e-05i,0.0001398+0.00060312i,0.00083936+0.00044657i,0.0010021-0.0006595i
0.0032663-2.6436e-05i,0.0016274-0.00084639i,-1.2967e-05-0.0014977i,-0.0021746-0.0016453i,-0.0026921-0.0019861i,-0.0026667-0.0013482i,-0.0026106-5.8523e-05i,-0.0014431+0.00048622i,-0.00097501-0.00016639i,-0.0011997-0.00017737i,-0.00056013-0.00013671i,-0.00041566-0.00037413i,-0.0010512+0.00047431i,-0.00013097+0.00076199i,0.00083791-3.5574e-07i,0.00022017-0.00099271i,-0.00053327-0.0016327i,-0.00077882-0.0014549i,-0.00090109-0.00081179i,-0.00053324-0.00045183i,-2.9644e-07-0.00049609i,0.00027431-0.00064694i,0.00072497-0.00082749i
-0.0023254+0.0010506i,-0.0018385+0.00167i,-0.00053402+0.0030541i,-0.00039615+0.0024274i,-0.00054285+0.0011864i,0.00018683+0.00056782i,-0.00035403-0.00087829i,-0.001054-0.0012479i,-0.0011951+0.00089956i,-0.0022883+0.0017917i,-0.0019666+0.0012628i,-0.0013095-0.00030574i,-0.00087672-0.000954i,-0.00017089+0.00011211i,-0.0001552+0.00059344i,-0.00010121+0.00038724i,-3.9688e-05+0.00090241i,-9.6092e-05+0.00086266i,0.00078664+0.00020801i,0.00089002+0.0010262i,0.00081892+0.0016734i,0.0012264+0.00054983i,0.0010172-0.00062098i
-0.0010912-0.0018316i,-0.0023518-0.0010118i,-0.0034364-0.0012112i,-0.0036168-0.0012334i,-0.0040918-0.0012497i,-0.0034218-0.00098492i,-0.0018954-0.00055609i,-0.0011224-0.00028643i,-0.00083134-0.00022974i,-0.0011974-0.00013036i,-0.00047084+0.00038685i,-0.00021397+2.1197e-05i,-0.0011393-0.0003337i,-0.00094454+0.00041959i,-0.00019709+0.00018045i,-0.00041856-0.0002982i,-0.0013109-0.00036206i,-0.00049622-6.1088e-06i,-0.00049395+0.00055258i,-0.00047816+0.00020994i,-0.00012959-1.3923e-05i,-0.00018247-3.2095e-05i,-0.00079716+0.00020695i
-0.0019823-0.00047178i,-0.0023945+0.001022i,-0.0019636+0.0018595i,-0.0021468+0.0020021i,-0.0024418+0.00072821i,-0.00285+0.00032277i,-0.0018288+0.00083565i,-0.0017624+0.00076472i,-0.0024762+0.00025137i,-0.0015282-0.00028367i,-0.00059266+0.00063448i,0.00015441+0.00083466i,0.00088098+0.00019497i,0.00043072+0.00022631i,0.00039674+0.00016496i,0.00037736+0.00054346i,0.00027548+0.00072133i,0.00034024+0.00049284i,-3.2325e-05+6.1461e-05i,0.00017005-0.00010408i,-0.00019054+0.00025795i,-0.000679+0.0005876i,-0.00038432+0.00032666i
0.001312-0.00079657i,0.00065342-0.00074998i,-0.00081279-0.0011324i,-0.0019268-0.0019581i,-0.0026596-0.0030768i,-0.003572-0.002064i,-0.0035849-0.0002283i,-0.0031691+0.00085773i,-0.0032471+0.0008495i,-0.0036325+8.0191e-05i,-0.0023254-0.00028728i,-0.00059889-0.0004912i,0.00018087-0.00050019i,0.00067282-0.00020971i,0.0004659-6.1265e-05i,-0.00045215+0.00020568i,-0.0010025+0.0002974i,-0.00098462+0.00028806i,-0.00061589+0.0011397i,-0.00050217+0.0014562i,-8.3408e-05+0.00063567i,0.00023535+0.00013058i,0.00070959+0.00015493i
-0.0020679-0.00089536i,-0.0030553-6.5613e-05i,-0.0037192+0.00046433i,-0.00231+0.0011402i,-0.00098016+0.001474i,-0.0012452+0.00067566i,-0.002125-7.306e-05i,-0.0021385+6.4613e-05i,-0.0028652-0.00025163i,-0.0027592-0.00015105i,-0.00064761+9.4928e-05i,0.00048572-0.00049733i,0.00019514-0.0013214i,-0.00012412-0.0010767i,0.00033084-0.00045155i,0.00054406-0.00083698i,0.00053605-0.0013777i,1.0583e-05-0.0013893i,-3.8014e-05-0.00080948i,0.0008082-0.00022328i,0.00085606-7.5315e-05i,0.00017488-0.0004316i,6.2344e-05-0.0010206i
-0.00017183+0.0022924i,-0.0010961+0.00095996i,-0.00047988+0.00046642i,-0.00015846-0.00075838i,-0.0009889-0.0022237i,-0.0018274-0.0011316i,-0.0020609-0.00023892i,-0.0019596-0.00031532i,-0.0023272+0.00054262i,-0.0020815+0.0008569i,-0.001125+0.00031837i,-0.0011383-3.1931e-05i,-0.0013417-0.00071826i,-0.0010882-0.00031666i,-0.0013622+0.00011036i,-0.0011951+0.0001646i,-0.0012588+0.00042075i,-0.001205+0.00052686i,-0.00096615+0.00097762i,-0.00018011+0.0012636i,0.00066402+0.0014124i,0.00060483+0.0012505i,0.00049184+0.00045994i
-0.00094187-0.0018269i,-0.0017188-0.00074048i,-0.0028532+0.00018727i,-0.0030292+0.0006297i,-0.0029551+0.00097123i,-0.0020765-0.00051701i,-0.00097815-0.00091915i,-0.00087589-0.00050767i,-0.0018486-0.00057845i,-0.0018336+3.2731e-05i,-0.00064486+2.3759e-06i,-0.00075713-0.00021242i,-0.00082554+0.00031716i,-0.000208+0.00082676i,5.7995e-05+0.00065974i,-0.0002332-0.0001537i,-0.00066369-0.00096654i,-0.00063036-0.0016068i,-8.7584e-05-0.0011737i,0.00066739-0.00054648i,0.0005926-0.0003751i,-0.00034564-6.1706e-05i,-0.00060779-0.00047222i
-0.0011613-0.0013934i,-0.0012789-0.000159i,-0.00073621-0.00028589i,-0.00083523-0.00039298i,-0.0013483-0.00061703i,-0.0018421-0.00081255i,-0.0021278-0.0012007i,-0.0022774-0.0012569i,-0.0028341-0.00021416i,-0.001636+0.0010589i,-0.00044094+0.00026178i,-0.00052101-0.00092183i,-0.00020614+0.00012702i,0.00023615+0.00068598i,0.00036754+0.00050572i,0.00031093+0.00095947i,0.00088729+0.0015236i,0.0009505+0.0013086i,0.00082391+0.00036251i,0.00075377-0.00013562i,0.00047216-0.00018996i,0.001152-0.00031772i,0.0013319-0.00031089i
-0.0018327-0.0022784i,-0.0030238-0.00057038i,-0.0035774+0.00089599i,-0.0033085+0.00094938i,-0.0034409-7.6631e-05i,-0.003977-0.0015971i,-0.0032508-0.0021281i,-0.0021162-0.001459i,-0.0027652-0.00019466i,-0.0028878+0.00096834i,-0.0015393+0.00084482i,-0.00081935+0.00021264i,-0.0012699-0.00041403i,-0.0021818-0.0013522i,-0.0018996-0.0017774i,-0.0010632-0.00060206i,-0.00088396-3.5829e-05i,-0.00023807-0.00044688i,-0.00052048-0.00045356i,-0.00050214+9.6239e-05i,-0.00013775+0.00099618i,-0.00010513+0.00057303i,-0.0003189-0.00016565i
0.0017128-0.00014448i,0.00065905-0.0001666i,0.00025688-0.0011482i,-0.00090384-0.0019493i,-0.0020255-0.0016352i,-0.0024437-0.0001697i,-0.0023444-1.3834e-05i,-0.0017292+1.477e-05i,-0.0019954+0.00042124i,-0.0022411+0.00081954i,-0.0019628+0.001386i,-0.00092625+0.0010048i,0.00028241+0.00017705i,0.00050062+8.8606e-05i,0.00042835+0.00054395i,7.2185e-05+0.0004201i,7.5991e-05+0.00048062i,0.00038898+0.00031641i,0.00041311-0.00051425i,0.00069277-0.00055335i,0.00020476+4.9402e-05i,-0.00014704+0.00036722i,-0.00041163+0.00041849i
-0.00089279+0.0012148i,0.00022182+0.00090308i,0.0010601-0.00015264i,0.0011132-0.00023914i,-0.00036406+0.00013027i,-0.0022504-1.6639e-05i,-0.0029865+0.00011446i,-0.0019103+0.0007152i,-0.0013459+0.00098842i,-0.0010011+0.00086086i,0.00015994+0.00010356i,-0.0001647-0.0012351i,2.772e-05-0.0014513i,0.00062562-0.00028644i,-0.00063032+0.00014946i,-0.0019885+0.00031066i,-0.0028009+0.00066229i,-0.0020779+0.0005594i,-0.00065201+0.00032086i,0.00021243+1.7494e-05i,0.00051607+4.1989e-05i,0.00034755+1.4832e-06i,0.00037701+0.00039724i
