-0.001337-0.0019096i,-0.0012319-0.00057087i,-0.001094+0.00038475i,-0.0013812+0.00053484i,-0.0025332+0.0010035i,-0.002221+0.0016309i,-0.00046425+0.0015453i,0.00054853+0.0010068i,0.00081118+0.00056065i,0.00064293-0.00010077i,0.00037745-0.0010331i,-0.00033689-0.00063607i,-0.00071268+1.2579e-05i,-0.00079734-0.00028992i,-0.00017901-0.0002564i,0.00037474-0.00017268i,-7.8096e-05-0.00027278i,-0.00039725-0.0004406i,1.2925e-05-0.00025297i,0.00021396+0.0003929i,0.00044365+0.0010665i,0.00025196+0.00042677i,-0.00023257-0.00051387i
0.0031405-0.0019861i,0.0018558-0.00090222i,0.0017309-0.0011194i,0.0010179-0.0014413i,-9.9874e-05-0.0016345i,1.1405e-05-0.0016079i,9.7138e-05-0.00047848i,-0.00014915-0.00027289i,0.00027607-0.00071843i,-0.00078757-0.0009465i,-0.0019643-0.0011267i,-0.0011176-0.00093527i,-0.00055766-0.00064304i,-0.00039553-0.00028647i,0.00027878-7.3414e-05i,0.00048798-0.0002588i,0.00030978+6.4417e-05i,0.00062239+0.00028706i,0.0011511+4.3161e-05i,0.0012475-0.0005033i,0.0014647-0.00040833i,0.0010641+0.0003877i,-0.00011012+0.00058262i
0.001272-0.0030584i,0.00012818-0.0022584i,-0.00064537-0.00090845i,0.00014047-0.00035972i,-0.00051988-0.0010609i,-0.0013703-0.00094819i,-0.00056386+0.00034112i,-7.1261e-05+0.0013731i,-0.0004069+0.00076793i,-0.00033142-0.00011318i,-0.00022184-0.00058349i,0.00012107-0.00064587i,3.5597e-05-0.0003289i,-0.00017013+0.00035328i,-0.00010149+0.00069434i,1.1563e-05+9.083e-05i,-0.00017904+0.00016405i,-0.0008073+0.00061933i,-0.00045534-6.6071e-05i,-0.00015129-0.00035136i,-0.00053643-0.00018997i,-4.5187e-05-0.00033691i,0.00038538-0.00042527i
-0.0011817-0.0031214i,-0.0017843-0.0023277i,-0.0026365-0.00016237i,-0.0025808+0.0013929i,-0.0018202+0.0011802i,-0.001338+0.0013154i,-0.00014171+0.0010486i,0.00071739+0.00048541i,6.1117e-05+0.0012726i,-0.00046537+0.00087351i,0.00019585+9.0842e-05i,0.00055547+0.00043356i,5.9294e-05+0.00029692i,-0.00034813+1.9908e-06i,-0.00077475-0.00030695i,-0.00058791-0.00048258i,-0.00015114-0.000428i,0.00060161-0.00045684i,0.0012164-0.00050423i,0.0009772-0.00026023i,0.00028156-3.6843e-05i,-0.00056234-0.00044558i,-0.00087116-0.00077047i
0.00068067+0.00057633i,0.00072398+0.00079911i,0.0011936+0.0011688i,0.0013214+0.00083808i,0.0015468+0.00030943i,0.00048355+0.00032631i,-0.00059135+0.0011271i,-0.00011993+0.0015212i,0.00076302+0.0003449i,0.0010418-0.0008362i,0.00046053-0.0012962i,-0.00038894-0.00059965i,-0.00082312+0.00054202i,-0.00094425+0.00011364i,-0.00054169-0.00064819i,0.00019533-0.00027834i,0.0002741+0.0001494i,-0.00022637-0.00021146i,-0.00041725-0.00069802i,0.00042582-0.00066159i,0.00070097+0.00019696i,0.00062583+0.00071105i,0.00060067+0.000476i
0.0028395-0.001528i,0.0021914-0.0014724i,0.0021493-0.0011685i,0.00084883-0.0015834i,-0.0005021-0.0020149i,-0.00087644-0.0011937i,-0.00048305-0.00034805i,0.00033669-0.00028973i,0.00059351+0.00010872i,0.00017343-0.00051241i,-0.00041573-0.00094666i,-0.00093923-0.00074385i,-0.00096844-0.00036414i,-0.00061209+4.7019e-07i,-0.00080636-0.00080528i,-0.00032466-0.00051228i,0.00046433-0.00028762i,0.0010451-0.00059361i,0.0016685-0.00034441i,0.0013268-0.00036254i,9.0658e-05-0.00066579i,-0.00021961-0.00040234i,0.00057093-0.00019742i
0.002605-0.00067879i,0.00177-0.0014713i,0.0027376-0.0013243i,0.0031029-0.0014532i,0.0024041-0.0019814i,0.00067973-0.0021153i,-0.0004961-0.00083267i,-0.00010459+5.7188e-05i,0.00033428-0.00032607i,-5.6575e-05-0.00087891i,-0.00052748-0.00066144i,-0.0007216-7.7326e-05i,-0.00053225+0.00030415i,-2.6456e-05+0.0003589i,4.9596e-05+0.00015599i,-0.00027185+2.2242e-05i,-0.00033863+0.00010276i,-0.00054083+7.9982e-05i,-0.00064843+0.00027666i,-0.00026277+0.00044594i,0.00025152+0.00061527i,0.00011671+0.00057549i,-0.00024626+0.0001133i
-1.4174e-05-0.0035924i,-0.00179-0.0016668i,-0.0030396+0.000868i,-0.0025139+0.0016337i,-0.00058598+0.00076408i,-0.00014315+2.2936e-05i,-0.0009481+3.0779e-05i,-0.00086884-0.00025839i,-0.00083527-0.0011421i,-0.00092694-0.0012235i,-0.00071307-0.00082976i,-0.00042052-0.00061637i,-0.00040612+0.00021018i,-0.0010458+0.00028911i,-0.0014315-0.00042981i,-0.00086571-0.00030287i,-0.00078865+0.00053187i,-0.0013652+0.00094097i,-0.00036915+0.00046099i,0.00050778-0.00015817i,0.00020395-0.00018574i,-0.00084557-8.0963e-05i,-0.0012746-0.00028773i
0.00021321-0.0024467i,-0.00042345-0.0018325i,7.2003e-05-0.00099981i,0.00017376-0.00079058i,-0.00089745-0.00039993i,-0.0020229+0.00018912i,-0.0012357+0.00062255i,0.00027489+0.0012293i,0.00038982+0.00098438i,-0.00056753+0.00021859i,-0.00075469-0.0004262i,-0.00018528-0.00071826i,-1.5826e-05-7.4424e-05i,-0.00014423+0.00014876i,-7.3935e-05-1.0733e-05i,0.00024745+0.00022328i,0.00050069+0.00049881i,0.00019772+6.5483e-06i,8.5344e-05-0.00063925i,0.00012399-0.00028907i,0.00012047+0.00050186i,0.00072609+0.00058361i,0.00051574+0.00011933i
1.7475e-05-0.0036074i,-0.0016641-0.0014163i,-0.0024019-0.00055775i,-0.0016709-0.00058636i,-0.0011596-0.00050124i,-0.0010165-8.3638e-05i,-0.00063726-0.00048839i,-8.1629e-05-0.00080453i,0.00031083-0.00086242i,-0.00034724-0.00073499i,-0.00050829+0.00019497i,-0.00017653+0.00066385i,0.00040238+0.00054417i,0.00051665-0.00045206i,-6.8137e-05-0.00099561i,-0.00040787+0.00017535i,-0.00062904+0.00094446i,-0.00078989+9.5468e-05i,-0.00071823-0.00048016i,-0.0001495-0.0003635i,0.00031499+0.00038671i,0.00014398+0.00067254i,0.00070481+0.00055119i
0.0020306-0.0011465i,0.0019684-0.001495i,0.0019248-0.00042368i,0.0012499+0.00035216i,0.00054932-0.00018305i,0.00022208+5.8268e-05i,-0.00020558+0.00087816i,-0.00038243+0.00080733i,-0.00041732-0.00013823i,-0.00057913-0.00067617i,-0.00012764-0.00076135i,0.00022506-0.00087101i,0.00030231-0.0017636i,0.00074255-0.001463i,0.00083456-0.00014612i,0.00013254+0.00016369i,-0.00083556-9.5251e-05i,-0.00078844+1.2328e-05i,-0.00067739+0.00027008i,-0.00013001-0.00022663i,0.00075221-0.00019931i,0.00088824+5.0517e-05i,0.00089202-0.00012365i
-0.00035525-0.0020099i,-0.0021253-0.00063684i,-0.0014604+0.00057605i,-0.00026953+8.1255e-05i,-4.4982e-06-0.0010813i,-0.00030814-0.0014754i,-0.00090714-0.000899i,-0.00067579+7.2305e-05i,-0.00060762+0.00022831i,-0.00016021-0.0007506i,0.0007421-0.00080832i,0.00028225-0.0006254i,-0.00030056-0.00081333i,-0.00025909-0.00046701i,-0.00072025-0.00028438i,-0.00080449-0.00087865i,-0.00066365-0.00095784i,-0.00062638-0.00030974i,-0.00047133+0.0004423i,-0.00095362+0.00020714i,-0.0013315+9.3203e-05i,-0.00077641+0.00053103i,-0.0004911+0.00036451i
0.0023325-0.0022375i,0.0011219-0.00193i,0.00063895-0.0015918i,0.0002781-0.0017611i,0.00041662-0.0014906i,0.00038421-0.00052643i,0.00051785+3.7755e-05i,0.001092+3.5619e-05i,0.00096222-0.00011557i,0.0010595-0.00073644i,0.0011099-0.00069252i,0.00070375+0.00079655i,0.00099221+0.0016356i,0.00072868+0.0011134i,0.00060075+0.00063598i,0.00084263+0.00057538i,0.00049425+0.00017762i,0.00046661-0.00026646i,0.00061831-0.00033821i,-0.00010747+0.00046604i,-0.00030273+0.00048743i,4.6587e-05+1.776e-05i,0.00013704+0.00027221i
0.0014141-0.00022873i,0.0010068+6.9323e-05i,0.0014367+0.00071127i,0.0012543+0.00034163i,0.00087364-0.00038196i,0.00027703-0.00066444i,-0.00013559-0.00069893i,0.0002865-0.00055283i,0.00033398-0.00029187i,0.00049984-0.00056021i,0.00057054-0.00015653i,-0.00012325+0.00051688i,-0.0002188-0.00011474i,0.00066006-0.0011908i,0.00096094-0.0012785i,-6.9184e-05-0.00031267i,-7.0807e-05+0.0001588i,0.00026845+0.00061556i,0.00029709+0.00044402i,-0.00010732-6.6338e-05i,-0.00071962-3.5524e-06i,-0.00067089+0.00024628i,-0.00043073+0.00081326i
-0.00122-0.0045413i,-0.0042529-0.0027765i,-0.0047315+0.00021194i,-0.0025236+0.0017853i,-0.0009802+0.0017473i,-0.00020954+0.00075436i,7.9484e-05-0.00060915i,0.00048031-0.0010759i,0.00026328-0.00071019i,-0.000264-0.00058244i,-0.00058158-6.6595e-05i,-0.00064163+0.0003096i,-0.00061123-9.1229e-05i,-0.0008623-0.00037624i,-0.00010452-0.00020698i,0.0004056-0.00021724i,0.00048193-0.00071483i,0.00039733-0.0011098i,9.8686e-05-0.00027008i,4.8854e-05+0.00052677i,-0.00024366+0.00049253i,-0.00060527+0.00093149i,-0.00060702+0.00076376i
0.0014561-0.0023513i,0.00058574-0.001663i,-0.0002402+0.00017501i,0.00024964+0.0007406i,0.00094716+0.00093345i,0.0005582+0.00081206i,0.00028499+7.2173e-05i,0.00031299+0.00010597i,-0.00038889+0.00080852i,2.0617e-05+0.00095126i,0.00074861+0.0002301i,0.00029697-0.00077848i,6.5244e-05-0.00042939i,0.00036169+0.00016112i,-0.00032587-0.00041424i,-0.0012358-0.00024966i,-0.00065728+6.5253e-05i,0.00031894+0.00056287i,-0.000628+0.00012013i,-0.00075713-0.00083876i,-0.00049267-0.00084651i,-0.00017109-0.00021687i,0.00035222+0.00026522i
0.0012065-0.0031483i,-0.0015637-0.0021917i,-0.0023667-0.001053i,-0.0014993-0.00098809i,-0.00080923-0.00062266i,-0.00029446+0.00028567i,8.4088e-05+0.00051562i,3.6543e-05-0.00054248i,-0.00017476-0.0014951i,-0.0003884-0.00095022i,-0.00082851+0.00061815i,-0.00084007+0.00048213i,0.0002199-0.00046071i,0.00022247-0.00077139i,0.00027374-0.00071309i,0.00025016-0.00022149i,-0.00019099+0.00033747i,-0.0001443-0.00011617i,9.3088e-05-0.00024976i,2.5398e-05+0.00010215i,-0.00046228+5.4942e-05i,-0.00098001+0.00031303i,-0.00047591+0.00057245i
7.9266e-06-0.0021501i,-0.00040196-0.0006494i,0.00021401-0.00054169i,0.00062856-0.00078988i,0.00010286-0.00065449i,-0.00011036-0.00024212i,0.00023863-0.00017579i,0.00028339+5.1937e-05i,0.00039071+0.00032411i,0.00057981+0.00013006i,8.7948e-05+0.00019577i,-0.0001111-0.00018577i,4.7348e-05+0.00022281i,0.00028131+0.00043277i,0.00085049-0.00045627i,0.00065675-0.00026897i,0.00048593+0.00013274i,0.0002524-2.4714e-05i,7.022e-05-0.00062358i,0.00027451-0.00029398i,-2.7807e-05+0.00044246i,-0.00031754-0.00025291i,-0.00061827-0.00076902i
0.00038181-0.0030819i,1.6227e-05-0.0022199i,-0.0013143+9.0714e-05i,-0.0011808+0.0013947i,9.0452e-05+0.0010455i,-0.00029503-3.9044e-05i,-0.0010037-0.00033513i,-0.00072711-0.00031761i,-0.00048486-0.0010425i,-0.00075709-0.0014711i,-0.0006765-0.0013061i,-0.00082323-0.00041463i,-0.00071889-6.0321e-05i,-0.00026857-0.00055834i,-0.00021583-0.00017831i,-5.2666e-05+0.00042987i,0.00044946+0.00021723i,0.00049099+0.00030488i,-0.00026028-0.00021875i,-0.00078584-0.00082757i,-0.00075393-0.00056637i,-0.00079091-6.8734e-05i,-0.00021777+0.00032128i
0.0013416+0.00042964i,0.0016313-0.00013126i,0.0021657+5.6408e-05i,0.0015025-0.00055916i,0.00055005-0.0016335i,-0.00013029-0.00073195i,-9.5009e-05+0.0005822i,0.00053007+0.00020464i,0.00075356-0.00052567i,0.00054351-0.00064023i,0.00055911-0.00033629i,-1.7053e-05-0.00014485i,-0.00070956-6.5951e-06i,-0.00079504-0.00016374i,-0.00097529-0.00072087i,-0.00065685-0.00031173i,-0.00060611+0.0006134i,-0.0013079+0.00033466i,-0.0011019+0.0002191i,-0.00030531+0.00099579i,-0.00051918+0.0010461i,-0.00051762+0.00088217i,0.00021876+0.00021583i
0.0022919-0.0026805i,0.00032214-0.0015456i,-0.00011402-0.0011104i,-0.00026912-0.00065321i,-0.00048212-0.00022246i,7.6672e-06+0.0011484i,0.00027947+0.0015393i,-0.00019451+0.00048165i,-0.00033954-0.00091149i,0.00048879-0.0012043i,0.00029437-0.00030802i,-0.00067037+0.00021462i,-0.0010917-0.00041179i,-0.00074473-0.00085285i,-0.00051318-0.00038966i,-0.00064314+0.00042741i,0.00022946+0.0008185i,0.00033551+0.00088481i,-5.0337e-05+0.00054131i,-1.6135e-05+0.00038645i,-9.9833e-05+0.00019357i,-0.0003864+0.00023014i,-5.9495e-05+0.00023778i
0.0032537-0.0024596i,0.0026098-0.0016908i,0.0011948-0.00019766i,0.00055751+0.00077991i,-0.00010169+0.00087502i,-0.00056153+0.00079371i,-0.00049439+0.00047092i,-0.0005079+0.0004668i,-0.00036207+0.00060633i,0.00025196+0.00031239i,0.00041133+0.00016503i,0.00037236-0.00072023i,0.00047339-0.0012371i,0.00091615-0.00071224i,0.00050578+2.0385e-05i,-0.00038731+0.00027396i,0.00016043-4.1302e-07i,0.00048983+0.00028252i,-0.00060969+0.000357i,-0.0011294+6.5583e-05i,-0.0012205-9.5124e-05i,-0.00090113+7.4131e-05i,0.00050294+0.00027101i
-0.001223-0.0035789i,-0.0028945-0.0019465i,-0.0033054+0.00063545i,-0.0017743+0.00054288i,0.00017334-0.00085538i,0.00038366-0.00091333i,0.0001478-0.0010972i,-0.000122-0.0012866i,-0.00014908-0.00050388i,-8.1165e-05+0.00058913i,-0.00049108+0.00076989i,-0.00086733+0.0003925i,-9.7481e-05+0.00070327i,0.00024178+0.00057127i,-8.4106e-05-0.00025927i,-0.0002447-0.00087718i,-0.00015135-0.00052077i,-0.00029477+0.00016604i,-0.00077002+3.9788e-05i,-0.00020023-0.00032092i,-3.7898e-05+0.00020822i,-0.00071209+0.00055121i,-0.0010549-0.00035146i
0.00087224-0.0028196i,-0.00014492-0.0010365i,-0.0010121+0.00033956i,-0.0018879+0.00035588i,-0.0021821+0.00071658i,-0.00066819+0.00044867i,0.00045903+0.00012281i,-0.00020216+0.00052321i,-0.00087278+0.00051849i,-0.0004361-0.00050473i,-0.00027457-0.00067506i,-0.00048745+0.00055808i,-0.00083981+0.00052173i,-0.00079398+0.00032352i,-0.00045929+2.9109e-05i,-0.00028601-0.00074688i,-0.00025982-9.3723e-05i,-0.00018212+0.0010229i,-6.5685e-05+0.00067277i,0.00031705-5.7786e-05i,0.00069875-6.5653e-05i,0.00078051-2.8473e-05i,-0.00014712+0.00035405i
0.0031914-0.00093175i,0.0019539-0.0017152i,0.0013402-0.0012874i,0.00082773-0.00067853i,-0.00044108-0.0010371i,-0.0010312-0.00094627i,-0.00089979-0.00069776i,1.3523e-05-0.00072387i,0.00032603-0.00036667i,0.00040583+0.00030693i,0.00089645+0.00089954i,0.0003794+0.0011713i,-0.00013804+0.0011367i,0.00064464+0.00060751i,0.001153-0.00013567i,0.00058105-0.00073332i,-0.00020833-0.0004459i,-0.00064891+0.00023289i,-0.0010237-0.00019052i,-0.00073796-0.00045925i,-3.4921e-05+0.00012911i,0.00083332+0.00032698i,0.00040684+0.00038989i
0.0018872-0.0027961i,0.00019892-0.002073i,-0.00061152-0.0012178i,-0.00065789+0.00025781i,-0.00090028+0.00064866i,-0.00072147+0.00051835i,-0.00032165+0.00070466i,-0.00011563+0.00035134i,0.0003994-0.00066563i,0.00032105-0.0010931i,-8.0453e-06-0.0010599i,-7.5363e-05-0.00034364i,0.00021665+0.00086832i,0.0004911+0.00029303i,0.00030938-0.00035236i,-0.00039339+0.0002581i,-0.00045364+0.00093075i,0.00022631+0.00075647i,0.00097022+0.00013781i,0.00059281-0.00028279i,5.8939e-05-0.00029948i,0.00040716-0.00017467i,0.00049411-0.00024029i
-0.00026108-0.00036386i,-0.00087645+0.00090202i,-0.00020571+0.002885i,0.0011579+0.002694i,0.0013903+0.0010462i,0.00022232-0.00042601i,-0.00097218-0.00048696i,-0.0014197+0.00017961i,-0.00086411+0.00031474i,2.4398e-05+5.1618e-05i,0.00017418-0.00020947i,-0.00032962-0.00019844i,-0.00031731+0.00015627i,-0.00041485+0.00037833i,-0.00043726+0.00052568i,8.4437e-05+0.00062764i,0.00037639+0.00045297i,-4.4428e-05+0.00060247i,-0.0010306+0.00065947i,-0.0011355+0.00017236i,-0.00054409-3.1654e-05i,-0.00023677+0.00045037i,9.7186e-05+0.00054061i
0.0017852-0.0021985i,0.0010308-0.0021003i,-0.00012648-0.00079322i,-0.00061714+5.6977e-05i,-0.00070719+0.0001653i,-0.00095446+0.00013638i,-0.0012382-6.7086e-05i,-0.00077224-8.8067e-05i,0.00061819-0.00075228i,0.00017998-0.0012289i,-0.00080391-0.00036283i,-0.00052631+0.0004636i,-0.00058498-4.7076e-05i,-0.00036978-0.00012407i,-0.00039441+0.00027977i,-0.00031722+0.00029744i,0.00026295+0.00036224i,0.00054002+0.00067289i,0.00041725+0.00052952i,-0.00012923-0.00022243i,-0.00064768-0.00036413i,-0.00015013+0.00033684i,0.0007263+0.00030945i
0.00041036-0.0014156i,-0.0010978-0.00040017i,-0.0016544+0.00079379i,-0.0009907+0.0014329i,-0.00031494+0.00086903i,-0.00010354+0.00086534i,-0.00013111+0.00048277i,6.9541e-05-0.00037887i,-0.00021166-0.00057657i,-0.00050589-0.00013427i,-0.00053852-0.00047386i,-0.00083886-0.0010917i,-0.0007298-0.00065076i,-0.00016202+0.000281i,0.00013707+0.00022242i,0.00019456-0.00073388i,-6.0811e-05-0.00071743i,-0.00012593+0.00016518i,0.00014134+0.00016973i,0.00010261-0.00035993i,-1.848e-05-0.00052116i,0.00067194-0.00029495i,0.00044922+0.0007416i
-0.00023585-0.0031137i,-0.0011955-0.0018399i,-0.0011926-0.00025059i,-0.00025532+0.00065105i,-0.00010696+0.0013665i,-0.00020326+0.001276i,0.00042195+0.0007191i,0.00113-0.00020934i,0.00061634-0.00056648i,-0.00059218-0.00077118i,-0.00084247-0.00085041i,-2.234e-05-0.00019038i,-5.9891e-05+6.8621e-05i,-6.0654e-05+0.00022102i,-0.00015074-0.00028911i,-9.4809e-05-0.00094625i,-0.00020503-0.00034913i,-0.00048467-0.0003903i,1.3688e-05-0.00031623i,-5.1101e-05+0.00032975i,-0.00047536+0.00018338i,-0.00079448+6.9983e-06i,-0.0013325+0.00038481i
0.0023148-0.0042682i,0.00066051-0.0035805i,-0.0012674-0.0027683i,-0.0027769-0.001685i,-0.00245-0.00098926i,-0.00094744+3.7617e-06i,0.00067161+0.00054418i,0.0014086-7.4177e-05i,0.0011312+5.0436e-06i,0.00033021+0.00062801i,-0.00066047+0.0001374i,-0.0011799-2.6624e-05i,-0.0013726+0.00030698i,-0.0013403+0.00012879i,-0.000915+0.00016319i,-0.00079231-0.0002532i,-0.00026372-0.00046033i,0.00020481-0.00027909i,0.00044837-0.00011161i,0.00057654-0.00042179i,0.00043579-0.00031917i,0.00046643+0.0009905i,0.00015748+0.0015354i
-0.00043415-0.0026066i,-0.0019917-0.0019281i,-0.0020731-0.0018767i,-0.0016819-0.0019164i,-0.0016451-0.0015328i,-0.0010665-0.0010002i,-0.00017237-0.00035382i,0.0002566-0.00080925i,-0.00021486-0.0015355i,-0.00046379-0.00058975i,-0.00066741-0.00023104i,-0.00067051-0.00023006i,-0.00050483+0.00029244i,0.00020661+0.00035298i,3.8191e-05-0.00022406i,-0.00070132-0.00012835i,0.00020074+0.00051918i,0.001635+0.00052263i,0.0011024+0.00047233i,-0.00078462+0.00016947i,-0.0012147-0.00029374i,-9.9316e-05-0.00079994i,0.00046321-0.00057751i
0.00033099-0.0023359i,-0.00065521-0.0012805i,-0.0016828-7.193e-05i,-0.0018596+0.00061974i,-0.0027143+0.00059789i,-0.0018957+0.00021752i,0.00018117+0.00035451i,0.00055865+0.0006274i,0.00019624+0.00040501i,0.00025229+0.00023822i,0.00035761+0.0003292i,0.00025439+0.00017584i,-0.00022195-0.00020681i,-0.00010758-0.00065251i,-0.0001717-0.00044607i,-1.9463e-05-0.00044604i,0.00045553-0.00033875i,-0.00028021+6.2613e-05i,-0.00055424+3.7529e-05i,0.00016443-0.00041542i,0.00044347-0.00093677i,-0.00013605-0.00059897i,-0.0010398-0.00010573i
0.0036591-0.003519i,0.0021249-0.0023287i,0.00085151-0.0019466i,5.1626e-05-0.0019853i,-0.00090466-0.0018592i,-0.0014279-0.0013024i,-0.0010147-0.00083679i,-0.00026955-0.0011618i,0.00032271-0.00085041i,0.00039506-0.00019286i,-0.00010437-0.00028479i,-0.00040284-9.4883e-05i,-6.4765e-05+0.00031989i,0.0002686+6.5639e-07i,0.00070709-0.001025i,0.0003896-0.00071513i,4.7147e-05-0.00020149i,0.00016127-0.00078592i,-0.00032289-0.0012611i,-0.00055084-0.0010872i,0.00027663-0.00072194i,0.00054276-0.00044998i,-0.00013711-0.00012538i
0.00058229-0.0013843i,-0.00073076-0.00073639i,-0.00022437+0.00087202i,8.2408e-05+0.0010191i,-0.00065757-0.00055388i,-0.0011162-0.00053588i,-0.0012169+0.00075106i,-0.00046633+0.00053746i,0.00056439-0.00033756i,0.00036017-0.00053993i,-0.00036527-0.00038312i,-0.00041797-0.0001742i,-0.00028396-0.00022236i,-0.00030912-0.0010049i,0.0005479-0.0012469i,0.00042975-0.00064861i,-1.667e-05-0.00024284i,7.7401e-05+0.00033074i,-0.00033821+0.00041311i,-0.00041522-0.00027562i,-8.0103e-05-0.00046024i,-0.00024858-2.3818e-05i,-0.00046488+0.00053817i
0.00097147-0.0022775i,-0.0013945-0.0018017i,-0.002183-0.00042984i,-0.0017071-0.00042127i,-0.00096343-0.00053439i,-0.00028079-0.00023299i,0.00017288+8.5605e-05i,0.00026136-0.00075041i,0.00026253-0.0017476i,-8.1601e-05-0.0011341i,-6.2901e-05-0.00049939i,-0.00031796-0.00062114i,-0.00043825-0.00082709i,0.00017886-0.0010383i,-7.0957e-05-0.00089728i,-4.5791e-05-0.00068887i,0.00070975-5.8506e-05i,0.0006951+0.00023463i,-0.00052556+6.4144e-05i,-0.0012575+0.00033757i,-0.0010218-4.4625e-05i,-0.00065988-0.00048773i,-0.00073406-0.0001353i
0.001949-0.0040188i,0.0014135-0.0034965i,0.00033156-0.0023272i,-0.00014774-0.0027114i,-0.0015585-0.0027867i,-0.0022348-0.0011711i,-0.00039874-0.0002601i,0.0010816-0.00058487i,0.00077288-0.00015261i,-0.00028927+0.00087168i,-0.0006545+0.0010786i,-0.00074395+0.00054835i,-0.0005788-0.00010756i,-0.00015374-0.00038144i,-6.3403e-05-0.00072768i,-6.5349e-05-0.0009906i,-0.0003298-8.8795e-05i,-0.00042985+0.00067067i,-1.2817e-05+0.00063233i,3.5053e-05+0.00080596i,2.7527e-05-3.2616e-05i,-0.00044366-0.00038591i,-9.8219e-05-0.00020279i
-0.00048618-0.0021368i,-0.0015337-0.00058473i,-0.00062717+0.00069584i,0.00079379+0.00038736i,0.00062142-0.00079137i,-0.00069839-0.0014716i,-0.00033617-0.00083575i,-1.8977e-05-0.00032827i,-0.00075578-0.00030576i,-0.00079853-0.00032526i,1.9046e-05+0.00022085i,0.00029622+0.0002088i,0.00036868+0.00021278i,0.00033436+0.00079086i,-0.00032682+0.00098436i,-0.00035871+0.00053069i,0.00019898+0.00039034i,0.000316+0.00062751i,0.00020446+6.62e-05i,-0.00041514-3.005e-05i,-0.00093436+0.00017965i,-0.00059845+0.000132i,6.0279e-05+0.00037315i
0.00056285-0.0015037i,0.00018558-0.0015103i,0.00010493-0.00080501i,0.00067952-4.313e-05i,0.0010073+9.0643e-05i,7.9543e-05+0.00021841i,-0.00031402+0.00062917i,0.00039364+0.0008369i,0.00037212-4.6137e-05i,-0.00026267-0.00071303i,-0.00034087-0.00010089i,-0.00017272+0.00056837i,0.00043316+0.00033297i,0.00056089-0.00013689i,-0.0003706+0.00024164i,-0.00069067+0.00036849i,-0.00033464-0.00024077i,-0.00034469-0.00053849i,-0.00014804+0.00011555i,0.00053669+0.00088026i,0.00035645+9.1601e-05i,0.00018082-0.00081271i,0.00080003-0.00088532i
-0.0018053-0.0028228i,-0.0026731-0.0011194i,-0.002109+0.0007191i,-3.4211e-05+0.0011769i,0.0016355+0.00065329i,0.0014437+0.00059401i,0.0002296+0.00072581i,-6.4206e-05+0.0006222i,-3.9526e-05-0.0001899i,0.00011701-0.00021494i,0.00045444+0.00045708i,0.00087293+0.0011186i,0.0011865+0.0012869i,0.0014523+0.00070795i,0.00079199+0.00022265i,-0.00068751+0.00023882i,-0.0010447+0.00063249i,-0.00067477+0.00031324i,-0.00028669-6.8816e-05i,-0.00036474+0.00060382i,-0.0010306+0.00054801i,-0.0010793+0.00012692i,-0.00070566+7.3766e-05i
0.0022665-0.0030876i,0.00093348-0.0023307i,-0.00097945-0.0023639i,-0.0010272-0.0025261i,-0.00015306-0.0017204i,0.00047759-0.0015207i,0.00024713-0.00034081i,0.00039969+0.00017774i,0.00025425-0.001434i,-0.00051929-0.0012527i,-0.00080626+4.8732e-05i,-0.00031286+0.0006053i,-0.00011035-1.832e-05i,-0.00044493-0.00067163i,-0.00092833-0.00094016i,-0.0010271-0.00060225i,-0.0010109-0.00043637i,-0.00041938-0.00079381i,-0.00018655-0.0010655i,-0.00030191-0.00074971i,-0.00050962+0.00015143i,-0.00047914-9.8905e-05i,-9.2831e-05+2.5867e-05i
-0.00096731-0.0044674i,-0.0028621-0.0016743i,-0.0042611-0.00012134i,-0.003621+1.5937e-05i,-0.0024085+0.0003217i,-0.0012156+0.00040137i,-0.0009262+0.00059801i,-0.00036423+0.00057338i,0.00011592+0.00018421i,-0.00086702+0.0010534i,-0.00059171+0.0013351i,0.00038706+0.00055426i,0.00029679-0.00056088i,0.00072662-0.00062335i,0.00080802+0.00018068i,-0.00019432+0.00060349i,-0.00043676+0.00072404i,-0.00026048+0.00067894i,6.5016e-05+1.7232e-05i,0.00012822-0.000259i,0.00026533-0.00031859i,5.913e-06-4.5865e-05i,-0.00038603+0.00030204i
0.0020681-0.0023279i,0.0008243-0.0015753i,0.00028643+4.7509e-05i,0.00046019+0.0006924i,0.00023448-0.00053603i,-0.00020538-0.00035194i,0.00036255+0.00030632i,0.0014805+0.00054463i,0.0012033-0.00017828i,-8.1641e-05-0.00043394i,-0.0002761-0.00016564i,-0.00030913-0.00047566i,-0.00071399-0.00014042i,-0.001132+0.00043938i,-0.00060543+0.00069502i,5.1605e-05+0.00054593i,0.00030476+0.00019817i,0.00028562-0.0001322i,-0.00011275-0.00046247i,-0.00046221+0.00037984i,-0.00029798+0.0012471i,-2.0434e-05+0.00094206i,-0.0003225+0.00054006i
