-0.0013405+6.9791e-06i,-0.00037941-0.00029583i,-0.00095888+0.00012246i,-0.0010357-0.00052632i,-0.0013523-0.0024807i,-0.0012789-0.0021311i,-0.00065943-0.00068221i,-0.00015002-7.2418e-05i,0.0006508-0.0002376i,0.00080149-0.00025758i,0.00074654-0.00021158i,0.00085202-0.000356i,0.00055932-0.00062071i,0.00019977-0.00066127i,-0.00069104-0.00026901i,-0.0011586+0.00050141i,-0.00066059+0.00049031i,0.00029532-0.00018692i,0.0010407-0.00079015i,0.0010068-0.00033166i,0.00020499+0.00035971i,-9.7031e-05+0.00025703i,0.00029811-1.2779e-05i
-0.0010172-0.0005192i,-0.00059028-0.0015045i,-0.0016101-0.0016915i,-0.0028439-0.0015213i,-0.0019914-0.0013283i,-0.00084409-0.00137i,-8.2026e-05-0.0013087i,-3.9428e-05-0.00064268i,-0.00017942-0.00061597i,0.00044889-0.0010269i,0.00056482-0.00076871i,0.00070985-3.1667e-05i,0.001039-0.00014271i,0.00082891-9.8319e-05i,0.00042924+3.6035e-05i,0.00025745-6.4723e-05i,-0.0005377+0.00040323i,-0.0010357+0.00060031i,-0.0001022+0.00043543i,0.0005317+0.000337i,0.00021048+0.00084058i,0.00033341+0.00080631i,0.00052724+0.00078611i
-6.4364e-05-0.00089789i,-0.00059293-5.4475e-05i,-0.00041973+0.00016992i,-0.00057712-4.8786e-05i,-6.9518e-05-0.0010323i,-6.9967e-05-0.0018358i,-9.6159e-05-0.00096486i,0.00023827-2.7235e-06i,3.8282e-05-0.00036382i,0.00022383-0.0013027i,0.00051506-0.0014468i,4.606e-05-0.00052792i,0.00022675+0.00025832i,0.00079544+0.00026223i,0.000165-0.00036415i,-0.0010034-0.00064842i,-0.0011036+0.00045124i,-0.00096051+0.0015805i,-0.0011979+0.0015151i,-0.00033202+0.00077038i,0.00098449+0.00075367i,0.00048061+0.0013885i,-0.00014611+0.0014444i
-0.00088242+6.567e-05i,-0.0010328+0.00014153i,-0.0013148-0.0006251i,-0.0012116-0.0013554i,0.00072882-0.0021904i,0.0015402-0.0020362i,-6.7289e-06-0.00098336i,-0.00083515-0.000337i,-0.0010241+0.00038865i,-0.0021146-1.4182e-05i,-0.0024345-6.637e-05i,-0.0010724+6.7817e-06i,5.4345e-05-0.00093236i,-4.5347e-05-0.00064262i,-0.00059766-6.4155e-05i,-0.00068135-8.7632e-05i,-0.00042338+0.00031193i,0.00021629+0.0014846i,0.00031824+0.0018058i,-0.00023227+0.00027105i,-0.00034691+0.00010552i,0.00046202+0.00062797i,0.00072286+0.00023214i
0.00053478-0.00044633i,0.00089287-0.00029923i,0.0010591-0.00019558i,0.00056434-0.00032742i,0.00067513-0.0013115i,0.00093342-0.0020891i,0.00019078-0.0020828i,-0.00046944-0.0014357i,-0.0005484-0.00048841i,-0.00067857+0.00020182i,-0.00098594+0.00096526i,-0.0009797+0.00082428i,-0.00071035+0.00044759i,-0.0010449+0.00043177i,-0.0013445+0.00034963i,-0.0007774+0.00061424i,-0.00010944+0.00092325i,0.00065522+0.00013419i,0.00091553-0.00032283i,0.00068252+8.0255e-05i,0.00089856+6.8893e-05i,0.00073623+0.00010146i,0.00038728+0.00052382i
0.00029082-0.00047436i,0.00036726-0.00080904i,-0.0013401-0.00091161i,-0.00056208-0.001161i,0.0017625-0.0022351i,0.0020531-0.0028967i,0.0017257-0.0023429i,0.0015719-0.00095334i,0.0011784-0.00087278i,0.0010376+0.00017658i,0.00034072+0.001834i,-0.00014912+0.0014763i,-0.00036286+0.0005773i,3.3291e-05+0.00080815i,0.00031104+0.000898i,0.00010319-0.00018368i,-7.9687e-05-0.00068955i,-0.00019155-0.00052589i,-0.00031054-0.00091372i,-0.00033089-0.0014295i,-0.0004013-0.0010497i,-0.00080036-0.00073463i,-0.0012335-0.00041276i
-0.00098731-0.00036802i,-0.00054767-0.00058627i,0.00071935+0.00072685i,0.00056919+0.0011367i,0.00062427+0.00027635i,0.00087343-0.0009211i,-0.00057395-0.00090725i,-0.0015765-0.00095435i,-0.00078266-0.0017715i,0.00042697-0.0014817i,0.0002073-0.0001219i,0.00027529+0.00040048i,0.0010906-1.3874e-05i,0.0010901-1.5638e-05i,0.00026786-0.00056254i,-0.00030557-0.0011207i,-1.9348e-05-0.00039955i,0.00015653+0.00062379i,0.00021233+0.0004336i,0.00044921-0.00011154i,0.00068015+0.00013856i,0.00039974+0.00043536i,0.00013469+3.767e-05i
-0.00055394+0.0010662i,-0.00051655+0.00090727i,0.00026626+0.0014075i,0.00071123+0.00051506i,0.00055801-0.00093934i,6.301e-05-0.0011196i,-0.00098856-0.00090078i,-0.00082961-0.0012066i,-0.0002203-0.0021688i,0.00030798-0.0019985i,0.0012178-0.00080001i,0.0011453-0.0006561i,0.00077992-0.00042921i,0.00065029-0.00019272i,-0.00023864-0.00060607i,-0.0013926-0.00033641i,-0.0013535+0.00032298i,-0.00055515+0.00059543i,-8.6462e-05+0.00027356i,-0.00087052+0.00011994i,-0.0015455+0.00018357i,-0.0011118+0.00019961i,-0.00046818+0.00042418i
0.00093101+0.00064585i,0.00018769+0.00084062i,-0.00023909+0.00045626i,0.00040143-0.00077257i,0.001014-0.0016435i,0.00091254-0.0019002i,0.00052517-0.0021142i,-1.8958e-06-0.0013033i,-0.00066294-0.00059126i,-0.0010615-0.0011915i,-0.00073853-0.0016698i,-0.00018251-0.0014927i,-0.00038826-0.001658i,-0.00081355-0.0019606i,-0.00068579-0.00052596i,-0.00013068+0.00064442i,0.00029792+0.00094044i,0.00051419+0.0011322i,0.00034371+0.00060587i,0.00010983+0.00026997i,2.0836e-05+0.00045933i,-4.3896e-05+0.00016983i,0.00020629+0.0006545i
0.00048802+0.00031494i,0.00083673-0.00070147i,0.0006484-0.0014706i,0.00073612-0.00098884i,0.0014783-0.00092336i,0.0019894-0.0016362i,0.0006623-0.0014459i,0.00024672-0.00078668i,0.00034675-0.00038551i,-0.0016489+7.5563e-05i,-0.0024982+0.0007843i,-0.0014475+0.00043404i,-0.00086499-0.00088467i,-0.00068747-0.0012511i,-0.00073664-0.00082323i,-0.001057-0.00061563i,-0.00079471-0.0001397i,0.00065881+0.00029156i,0.0013297+0.00018257i,0.00053011-1.2135e-05i,0.00022316-0.00011385i,4.5971e-05-0.00048272i,-9.1515e-05+4.4855e-05i
-0.0020881+7.379e-05i,-0.0016805-0.00018459i,-0.00066351+0.00042787i,0.00071698-0.00087555i,0.001638-0.0025017i,0.0015453-0.0025273i,0.00042505-0.0017096i,-0.00010486-0.00049706i,-0.00030182-0.00012182i,0.00035146+0.00066245i,0.00059472+0.0014251i,0.0001599+0.0013811i,0.00020012+0.00119i,0.00019478+0.00099462i,0.00039027+0.00056065i,0.00088672-9.0517e-05i,0.00081015-0.00059745i,0.00013498-0.00094227i,-0.000515-0.00019754i,-0.00059021+0.0002676i,-0.00032094+0.00068083i,-0.00034941+0.00062763i,-0.00017762+0.00028172i
-0.00045059-0.00059914i,-0.0001147-0.00046597i,0.00031146-5.0572e-05i,0.00042417-0.00043439i,0.00059921-0.0011361i,0.00041274-0.0014726i,-0.00018463-0.0012541i,-0.0003516-0.0011423i,0.00059764-0.0010902i,0.0019271-0.00073505i,0.0025125+1.142e-05i,0.0019116+0.00053908i,0.00063094+0.00065703i,0.00052543+0.00012593i,0.00066298-0.0007032i,0.00055069-0.0012693i,-9.9803e-06-0.0013052i,-0.00066991-2.0772e-05i,-0.00011649+0.0010937i,0.00035953+0.0006931i,0.00094019-0.00019426i,0.00099818-0.00015191i,0.00050002+0.00043175i
0.0002518-0.0010817i,0.00022802-0.00045703i,-0.00081182-8.7305e-05i,-0.0015867+0.00042921i,-0.0012985+0.00035809i,0.000118-0.00013825i,3.4455e-05-0.00028129i,-0.00061591+0.00013727i,-0.00072035-0.0005853i,0.00025798-0.001989i,0.0016873-0.001989i,0.0019121-0.0016384i,0.0018183-0.0007547i,0.0011935-0.00039867i,0.00042649-0.0005003i,-0.00058039-0.00027748i,-0.00097033+0.00020544i,-3.81e-05+0.00040247i,0.00012407+0.00049412i,3.7373e-05+0.00040777i,-0.00021198+0.00063409i,-0.00061389+0.00068029i,-0.0004373+0.00012921i
-0.0020631+0.0014047i,-0.0015552+0.00075452i,5.8105e-05-4.3971e-05i,0.00096981-0.00048761i,0.0014234-0.00093349i,0.00085943-0.0022696i,0.00037413-0.0021571i,0.00044069-0.00092886i,-0.00013462-0.0014031i,-0.0011436-0.0023825i,-0.0011709-0.0026684i,-0.00060088-0.0026874i,-9.9935e-06-0.00255i,0.00021237-0.0013685i,-0.00040073-0.00020678i,-0.00072039-5.1743e-05i,-0.00076715+0.0005957i,-0.00061227+0.0015078i,0.00030979+0.0010768i,0.00071921+0.00060494i,0.0002577+0.00085178i,-0.0001162+0.00092902i,-0.00024804+0.00027701i
-0.00029496-0.00040978i,-0.00064525-0.00018723i,-0.00058709+1.4522e-05i,-0.00054246-0.00026007i,-0.00057218-0.0011129i,0.00054595-0.0023448i,0.0017829-0.002191i,0.00082095-0.0013438i,-0.00067655-0.00065544i,-0.0015619-4.2115e-05i,-0.0017247-0.00011461i,-0.0011348+0.00010547i,-0.00058562-0.00025356i,-0.00083746-0.00051574i,-0.00079525+5.2008e-06i,-0.00051402-2.3926e-05i,-0.00055711+0.00016128i,-0.0001845+0.00033079i,2.5038e-05+0.00033805i,0.0006304+0.00069177i,0.0014853+0.0011176i,0.00061199+0.001391i,-0.0002025+0.00096262i
-0.0017119+0.00066106i,-0.000966+0.00025086i,-0.00071285+8.0258e-05i,0.00028932-0.00036771i,0.0011039-0.00078848i,0.00073847-0.00098799i,0.00048471-0.0009782i,0.00018231-0.00084354i,-0.00013835+5.5759e-05i,0.00012159+0.0010956i,-0.0005516+0.001724i,-0.0017252+0.0016842i,-0.0020871+0.0011708i,-0.0016699+0.00015788i,-0.0010908-0.00056775i,-0.00073232-0.00020039i,-0.00012793+0.00044949i,0.00080151+0.00056359i,0.0011316-0.00019661i,6.0681e-05-0.00071278i,-3.2339e-05-0.00087614i,-0.00031041-0.00066103i,-0.0010153-0.00060893i
0.00020836-0.00019032i,-0.00045591+5.1323e-05i,0.00062005+0.00033056i,0.0009404-0.00072777i,0.00031337-0.0026002i,-0.00047454-0.0029834i,-0.0012483-0.0014886i,-0.00082832-0.00095358i,0.00024498-0.0013371i,0.0012553-0.00054608i,0.0015594+0.00079707i,0.0011895+0.0016871i,0.00085191+0.0017685i,0.0008262+0.0012919i,0.0008143+0.00091036i,0.00061513+0.00012456i,-0.00022684-1.8887e-05i,-0.0004792+0.00049573i,-0.0009702+0.00022706i,-0.00065218-0.00025892i,8.7503e-05-6.0642e-05i,0.00038453-0.00011167i,-0.00016977-0.000127i
-0.00043501-0.00075906i,-0.00063763-0.00057967i,-0.00025-0.00016426i,0.00049873+0.00034954i,0.0011634-0.00047285i,0.0014081-0.0015948i,0.0019452-0.0011587i,0.0015939-0.00038071i,0.00078245-0.0011751i,0.00099372-0.0012734i,0.0018153-3.6247e-05i,0.0021975-8.1497e-05i,0.001906-0.00063457i,0.0013504-0.00015715i,0.00075515+0.00025613i,4.0969e-05-0.00036217i,-0.00088214-0.00063287i,-0.0012806+0.00019261i,-0.00060482+0.00055993i,-0.00042881-0.00012816i,-0.00074421-7.9404e-05i,-0.00067115+0.00068159i,3.5185e-05+0.00071309i
0.00018658+0.00087156i,0.0001763+0.00045724i,5.7621e-05+0.00060654i,-6.3704e-05+4.5074e-06i,0.00061786-0.0015694i,0.00041544-0.0027159i,-0.00055858-0.0019537i,-0.0010947-0.0012627i,-0.00041875-0.0017085i,-0.00011924-0.0023068i,0.00088099-0.0024486i,0.0018219-0.0020768i,0.0010176-0.0017505i,-0.00014711-0.0017158i,-0.00063715-0.0013012i,-0.00080452-0.00030982i,-0.0008583+0.00082597i,-0.00082681+0.0021598i,-0.00062328+0.0030286i,-9.0354e-05+0.0018878i,-9.3926e-05+0.00090209i,-0.0009556+0.0006131i,-0.00082673+0.00051491i
0.00032371-0.00098439i,0.00039974-0.00034302i,-0.0003092-0.00088692i,-0.00062471-0.0016696i,-6.6986e-05-0.0019154i,0.00068244-0.001349i,0.00010589-0.0010298i,-0.00093752-0.0011505i,-0.00068735-0.00095792i,-0.0008156-0.00094215i,-0.0015545-0.0012658i,-0.0015278-0.001101i,-0.0012531-0.0010441i,-0.00090758-0.000676i,-0.00094907+0.00010595i,-0.00074034-4.431e-05i,-0.00021151+0.00071791i,0.00041725+0.0011385i,0.0012824+0.00028268i,0.0012835+0.00044884i,0.00087763+0.0012168i,0.00038988+0.0009657i,0.00022893+0.00036408i
-0.0011805+0.00072859i,-0.0012354+0.0010313i,-0.0010602+0.00088484i,0.00049088+0.0012491i,0.002395+0.0005413i,0.0018675-0.00056421i,0.00013603-0.0010969i,-0.00054174-0.0009102i,-0.00067314+3.5133e-05i,-0.00058048+0.00041832i,-0.00078678+0.00054905i,-0.00069049+0.00041879i,-0.00036106+7.8951e-05i,-0.00032563+0.0002231i,-0.00055048+0.00019146i,-0.00017566+0.00019131i,0.00052015+0.00051539i,-7.9931e-05-0.00023104i,0.0001547-0.00094411i,0.0013844-0.00074468i,0.0010959-0.00066369i,0.00010401-0.00098571i,-9.2463e-05-0.00053303i
-0.00023471+0.00026253i,0.00036728-0.00057691i,0.0015438-0.00091708i,0.0015581-0.0011468i,0.0011242-0.0014071i,0.00078432-0.00061924i,0.00066299+9.3017e-06i,0.00043017-0.00028968i,0.00036307-0.00036884i,0.0011209+3.199e-06i,0.0015662+0.00069656i,0.0010112+0.0017752i,0.00083162+0.0026278i,0.0011209+0.0018659i,0.0010307+0.00052793i,0.00062298-0.00032702i,0.00050928-0.00033565i,0.00042633-0.00030433i,-8.849e-05-0.00048999i,-0.00082808-0.00024656i,-0.0012891-0.00021468i,-0.0011402-0.00023927i,-3.9918e-05+0.00011652i
-0.001563+0.00017465i,-0.00045946-0.00032681i,-0.0015967+0.00075198i,-0.0019687+0.00088905i,-0.00037997-0.00052232i,0.00098317-0.0029002i,0.00015525-0.003325i,-0.0007879-0.0012328i,-0.00035778+0.00014894i,0.00031608+0.00061877i,0.0013374+0.0011195i,0.0020153+0.00074887i,0.0018412-9.9023e-05i,0.0011377-0.00075271i,0.00066771-0.00048629i,0.00022683-8.7535e-05i,-0.00034964-0.00032166i,-0.0012273+0.00010908i,-0.0015169+0.00071371i,-0.00042076+0.00072905i,-0.00089187+0.00054356i,-0.0012781+0.00034306i,-0.00049081+0.00021967i
0.00038206+0.00011365i,-0.00014029+0.00050786i,0.00034729-0.00026252i,0.0011606-0.00083334i,0.0018089-0.0012519i,0.0020474-0.00171i,0.001092-0.0011791i,0.00046447+0.00011188i,0.00088953-0.00015904i,0.0007259-0.00075838i,0.0013966-0.0008104i,0.0020384-0.0014036i,0.0016864-0.0011278i,0.0012165-0.00063014i,0.00012971-0.00067186i,-0.0014347-0.00060428i,-0.0016571+7.7189e-05i,-0.00082554+0.00076592i,-0.00046477+0.00065706i,-0.00012345+0.00034405i,-0.00033107+0.001001i,-0.0004484+0.0012874i,-0.00030779+0.00078198i
0.0011744+0.00062781i,0.00090383+0.00021491i,0.00074466-0.0013996i,0.00093707-0.0025897i,0.00080349-0.0029722i,-0.00019104-0.0027247i,-0.0010974-0.0019886i,-0.00060303-0.0011076i,0.00010674-0.001163i,0.00050402-0.0014012i,0.00087823-0.0012257i,0.00051149-0.0014864i,-0.00044755-0.0014096i,-0.00095911-0.00059007i,-0.00056815-0.00051201i,-7.0179e-05-0.00026492i,0.00031014+0.0010417i,0.00060794+0.0014898i,0.0009355+0.0013352i,0.0010572+0.00081629i,0.0011414+0.00052609i,0.00034686+0.00038156i,-0.00035152+0.00011671i
0.0021497+0.00029765i,0.0011371+0.00054437i,0.00046663-9.6778e-05i,0.00025034-0.00063873i,0.001014-0.0014857i,0.0010647-0.0028483i,6.231e-05-0.0025106i,-0.00069667-0.0012814i,-6.6226e-05-0.0012527i,-0.00029159-0.0016061i,-0.0013287-0.0012159i,-0.0014849-0.0007718i,-0.00031474+0.00017155i,0.00018913+0.00082088i,0.00032293+0.00079395i,0.00065722+0.0013168i,0.00068816+0.0012032i,0.00059756-5.6952e-05i,0.00026442-0.00041326i,0.00080335-0.00032509i,0.0004212-0.0003016i,-2.8647e-05+5.7668e-05i,4.5194e-05+0.00029172i
0.00080741+0.0011036i,0.0010551+0.00041098i,0.0014023-0.0010736i,0.00098818-0.0018345i,0.00092254-0.001862i,0.001175-0.0015411i,0.00028795-0.0007297i,-0.0013287-0.00034924i,-0.0015653-0.00064635i,-0.00098558-0.00040294i,-0.0012844+0.00029176i,-0.0016634+0.00093892i,-4.2808e-05+0.00040191i,0.00086492-3.968e-05i,0.00042336+0.00013881i,0.00047873-5.9097e-05i,-8.0448e-05-0.00028595i,-0.00056099-0.00035047i,-0.00031436-0.00074196i,-0.00052955-0.0010519i,-0.00092472-0.00078722i,-0.00078299-0.00014621i,-0.0010294+0.00020184i
0.00029122+0.00034008i,-0.00032483+0.00020572i,-0.000467+8.4744e-05i,-7.4281e-05+0.00052213i,0.0012803+0.00019629i,0.001815-0.0011314i,0.00081307-0.00096712i,-0.00048126+0.00039623i,-0.00076999+0.00032311i,-0.00042695+0.00044179i,0.00039714+0.001329i,0.00071478+0.0014028i,0.0011367+0.0011708i,0.0018383+0.00026917i,0.0017905-0.00080302i,0.00094605-0.0011059i,-0.001096-0.0010893i,-0.0019763-0.0011092i,-0.0010975-0.00038252i,-0.00074683-0.00010064i,-0.00087812+9.2319e-05i,-0.00079797+0.00089065i,-0.00015515+0.00079842i
0.00045245+0.0011474i,0.00012546+0.00062322i,0.0003636-0.00015318i,0.00040841-0.0011623i,0.001439-0.0023154i,0.0015211-0.0031599i,2.0818e-05-0.0020845i,-0.00042268-0.000382i,0.00013656+0.00051341i,0.00063682+0.00018261i,0.0014231-7.5348e-06i,0.0018134+0.00029975i,0.001286+0.00054543i,0.00064136+0.00064502i,-0.00033223+1.4911e-05i,-0.0013971-9.4382e-05i,-0.0023061-8.9868e-06i,-0.0021282-0.00029736i,-0.0013111+0.0002173i,-0.00051893+0.0004309i,-0.00010695+0.00054582i,-0.00055148+0.0006507i,-0.00046211+5.6196e-05i
-0.00051544+0.00028553i,-0.00070493-0.00086258i,-0.00017212-0.00084509i,-3.7744e-05+0.00035244i,-0.00015859+0.00053106i,-7.3995e-05-0.00079868i,-0.00051975-0.0021968i,-0.00032684-0.0018916i,0.00079346-0.0011906i,0.0015725-0.00062976i,0.0016905-0.00028265i,0.0011529+3.8469e-05i,0.00044693+0.00010161i,-0.00090575-0.00061687i,-0.0010332-0.00018478i,-0.00059282+0.00081827i,-0.00012446+0.0011763i,0.00021032+0.0009978i,0.0010127+0.0011198i,0.0015209+0.0011881i,0.00093048+0.0009295i,0.00097735-0.00013113i,0.00075779-0.0011703i
0.00022088+0.0012465i,-8.6542e-05+2.0997e-05i,0.00022053+4.1575e-05i,0.00050485-0.00159i,0.00056861-0.0034896i,0.00037883-0.0034932i,-0.00068733-0.0022449i,-0.0007589-0.0016815i,-0.00038897-0.0019187i,-0.00028218-0.0021048i,6.0104e-06-0.001636i,0.00042604-0.0011864i,0.00073566-0.00035231i,0.00017215+0.00080708i,-0.0008028+0.00056581i,-0.00062062-2.0671e-06i,0.00037414+0.00075258i,0.0011732+0.0015623i,0.00017877+0.00095319i,-0.00040333-0.00073839i,0.00043495-0.0011732i,0.00064991-0.00048432i,0.0004284+0.0003783i
0.00065991+0.00044796i,0.00091186-7.4328e-05i,0.00037472-0.00083113i,0.00065203-0.00093461i,0.0014683-0.00083218i,0.001095-0.00043082i,-0.00019565-0.00062998i,-0.00093409-0.0012023i,-0.0019345-0.0020412i,-0.0025687-0.00154i,-0.0025903-0.0010783i,-0.0024182-0.0016021i,-0.001718-0.0012199i,-9.1247e-05-0.00043032i,0.00086369-0.00027368i,0.0010945-0.00021427i,0.00084406-0.00013981i,0.0003366-0.00064012i,0.00038101-1.1729e-05i,5.1778e-05+0.00081059i,-0.00046401+5.9107e-05i,-0.00097326-0.00062243i,-0.00071184-0.00075108i
-0.0010856-0.0014965i,-0.00091439-0.00019533i,-0.0021698+0.00015095i,-0.0020844-0.00075698i,-0.00065086-0.0020692i,0.00085704-0.0025261i,0.00064995-0.0015057i,0.0003221+0.00031355i,8.6049e-05+0.00069532i,-0.0008751-0.00016662i,-0.0016161+9.2381e-05i,-0.0016317+0.00085902i,-0.00036688+0.00092977i,0.00045677+0.00060299i,9.2727e-05-0.00051298i,0.00022935-0.0013911i,-4.9686e-05-0.0017102i,-0.00061456-0.0016047i,-0.00016937-0.00056809i,0.00047716-0.00058077i,0.00045404-0.00079704i,-0.00033503+0.0007052i,-0.00072022+0.0010955i
-0.00017792+0.0017392i,-0.0007004+0.00062988i,0.00033367+0.00033487i,0.0017937+0.00025734i,0.0025576-0.00070336i,0.0023804-0.00046265i,0.0014541-0.00016258i,0.00060947+0.00011079i,0.00089442+0.00056372i,0.0012449+0.0014435i,0.0011124+0.002493i,0.00085844+0.0024324i,0.00098888+0.00086563i,0.0007265-0.00010396i,0.00026019-0.00045572i,-0.00034685-0.00099268i,-0.00084481-0.00092764i,-0.00035632-0.00053055i,-1.9536e-05-4.3719e-05i,-2.9932e-05+0.0009464i,0.00026774+0.0020222i,0.00055913+0.0019869i,0.00052661+0.00082553i
0.00089213-0.0013249i,-0.00011454-0.0016994i,-0.00099793-0.0018592i,-0.0016974-0.0010088i,-0.0018463-0.0004947i,-0.00095202-0.00092255i,0.00067806-0.00079357i,0.0013394-0.00068059i,0.0014188-0.001124i,0.0014978-0.00051887i,0.0014349+0.00068372i,0.0017795+0.00078816i,0.0012409+0.00033154i,6.2102e-05+9.825e-05i,-0.00053666-0.00020847i,-0.00028139+0.0010609i,-0.0003799+0.0024457i,-2.3619e-05+0.0021199i,0.00077382+0.0010733i,0.00077145+0.00012966i,0.00054406+0.00018572i,0.00023288+4.0467e-05i,0.00018912-0.00055537i
-0.0010302+0.0013175i,0.00058436+0.00078428i,0.00052867+0.00010727i,0.0010378-0.00056393i,0.0017259-3.8192e-05i,0.0017207-0.00014319i,0.00047102-0.0014191i,-0.00041243-0.001277i,0.00053857-0.0014902i,0.0014339-0.0023855i,0.0018757-0.0018726i,0.0021912-0.0014166i,0.0016106-0.001686i,0.00019962-0.00073002i,-0.00023661-0.00011863i,0.00017224+3.0919e-05i,0.00087444+0.00041159i,0.0014676+0.00053202i,0.0014842+0.00023717i,0.0011854-4.8687e-05i,0.00050558-5.15e-06i,-2.8216e-05+7.3442e-05i,-6.6162e-05+0.00013652i
-0.000616+0.0019255i,-0.00028999+0.00041879i,-0.00072872+1.3901e-06i,-0.00096722-0.00077755i,-8.1243e-05-0.0023862i,0.00017888-0.002016i,-0.0010191-0.00064789i,-0.0024208-0.00082463i,-0.0026688-0.0014868i,-0.0016393-0.0018614i,-0.00096221-0.001784i,-0.0010077-0.001326i,-0.0011364-0.00070192i,-0.0012642+5.6089e-05i,-0.0011169+8.3735e-05i,-0.00067553-0.00026124i,-0.00011525-0.00060303i,0.00012948-0.0010233i,-0.00010236-0.00085163i,-0.00061939-0.00079706i,-0.0011418-0.00046902i,-0.00073056+8.9125e-05i,7.9491e-05+0.00032362i
0.00072817-0.00012137i,0.0010958+6.7684e-05i,0.0012723-0.0009269i,0.0013717-0.0021309i,0.0021665-0.0024889i,0.001936-0.002487i,9.8214e-05-0.00092724i,-0.00089668+0.00020066i,-0.0023171+0.00021347i,-0.0042833-4.0769e-05i,-0.003827-9.2378e-05i,-0.0019739+9.1429e-05i,-0.00050466+0.00036108i,0.00013346+0.00043387i,0.0003396-0.00032023i,0.00057692-0.00033396i,-0.00022875-0.00078134i,-0.0014201-0.0012512i,-0.0016215-3.0734e-05i,-0.0012074+0.0014279i,-0.00051649+0.001733i,0.00033208+0.0010311i,0.00055985+0.00023779i
-0.00080572+5.925e-05i,-0.00086958+0.00033164i,-0.0023436+0.00094731i,-0.0016999+0.0011946i,0.00059362+0.00024511i,0.0021989-0.00038767i,0.002318-0.0010516i,0.0011001+0.00016751i,-0.00040125+0.0025676i,-0.0016726+0.0038242i,-0.0017632+0.0037875i,-0.00061033+0.0027057i,0.00011715+0.0017265i,0.00013316+0.0007069i,0.00018469-0.00071468i,-0.00024997-0.00078075i,-0.0011447-3.9041e-05i,-0.0013869+0.00032442i,-0.00076223+0.00046868i,0.00019286+0.00081474i,0.000438+0.0011137i,0.00022106+0.00069737i,0.0001124+0.0002934i
0.00072626+7.4325e-05i,0.00029092+0.00087277i,0.00050314-0.00085819i,0.00043861-0.0027034i,0.00059483-0.003304i,0.0010937-0.0033055i,0.0014524-0.0021739i,0.0018337-0.00080235i,0.0027985+4.7587e-05i,0.0032956+0.00022226i,0.003261+0.00081659i,0.0026183+0.0015379i,0.0018375+0.0005891i,0.0014316-0.0010102i,0.00024356-0.00080795i,-0.00028578+0.00080099i,0.00063274+0.0015856i,0.0012+0.0014232i,0.00082479+0.00085919i,1.9658e-06+0.00023726i,-0.00023191-0.00045283i,-8.4823e-05-0.00058537i,-0.00071311-0.0011003i
0.0012788+0.00032188i,0.00048034+0.0010537i,-0.0002376+0.0013686i,0.00060852+0.0011747i,0.002406+0.00075613i,0.0030914-0.00053632i,0.0017228-0.0016745i,0.00098956-0.0020825i,0.0015151-0.0029482i,0.0020922-0.0023663i,0.0027969-0.0016292i,0.0025956-0.0020549i,0.0013652-0.0019729i,0.00024018-0.0014517i,-0.0004653-0.0007524i,0.00013685+0.0001237i,0.00055616+0.00092319i,0.00047698+0.00093741i,0.00096893+2.7458e-05i,0.00090609-0.0005698i,-0.00037418-9.9357e-05i,-0.00066903-0.00014665i,0.000111-0.00027843i
0.0011982+0.0011954i,0.00092766+0.00041082i,0.0017188-0.0013296i,0.0011332-0.003028i,0.00030585-0.0039946i,0.0003331-0.0035378i,-0.00012629-0.0019169i,-0.0011708-0.00096136i,-0.0010589-0.0022608i,-0.00042973-0.0041963i,-0.00039617-0.0047489i,-0.00043085-0.0036864i,-0.00040097-0.0019844i,-0.00058399-0.0007254i,-0.00016111+1.0044e-05i,0.00069787-0.00040022i,0.0010412-0.00090347i,0.00065763-0.00055411i,0.00041109-0.00062226i,0.00022608-0.0003559i,0.00026508+0.00010115i,0.00078969-9.5993e-05i,0.0010575+0.00027788i
0.00013514+1.922e-05i,-0.00010369-5.2258e-05i,-0.0011692+3.9083e-06i,-0.0002133-0.00026074i,0.0012263-0.00070853i,0.00078123-0.0015866i,-0.001121-0.00089226i,-0.002253-4.5514e-05i,-0.0028755-0.00044592i,-0.003706-0.001296i,-0.0038637-0.0011694i,-0.0030383-0.0002523i,-0.0018165+0.0006737i,-0.00083691+0.00078629i,-0.00037565-0.00013412i,0.00026846-0.00063672i,-0.00026256-0.001125i,-0.00095173-0.001207i,-0.001055-7.199e-05i,-0.00069057+0.00024022i,-4.4906e-05+0.00020899i,0.00027943+0.0010658i,1.5195e-05+0.00086201i
-0.00071161-0.00103i,0.00027244-0.00092986i,0.00034885-0.00075468i,-0.00062981-0.00046126i,-0.00044907-0.00056891i,0.0010188-0.00093727i,0.00075181-0.00080903i,-0.00025891+0.00052557i,-0.0014576+0.0017521i,-0.0018693+0.0025615i,-0.0020573+0.0034311i,-0.001399+0.0031761i,0.00010877+0.0019586i,0.00026652+0.00081734i,-0.00068181-0.00028561i,-0.0013002-0.0011321i,-0.0012747-4.9174e-05i,-0.0012402+0.0013994i,-0.0015893+0.0015583i,-0.0013152+0.00023092i,-0.00059649-0.00058176i,0.00028744-0.00014571i,0.00024456-1.8376e-05i
