-0.0016426-0.00074604i,-0.0016167-0.0016925i,-0.0024275-0.00080325i,-0.0018942+0.00026613i,-0.0011548+0.00073877i,-0.00042815+0.00010073i,0.00031866-4.996e-05i,0.00078374+0.00089914i,0.00092128+0.0010945i,0.00039453+0.00050067i,5.8668e-05-6.5237e-05i,0.00035228+0.00039024i,0.00055785-4.1249e-05i,0.00014787-0.0012785i,-0.00063616-0.0012954i,-0.00050921-0.00091543i,-0.00016545-0.00017908i,9.5063e-05-0.00018983i,0.00017437-0.00095812i,0.0001653-0.00082544i,0.00022638-0.00013896i,-0.00012732+0.0001915i,0.00011514-7.5516e-05i
0.00077681+0.00038633i,0.00066076+0.00017277i,0.0014041-0.00032174i,0.00073043-0.00019115i,0.00049519+0.00037406i,0.0011163+0.00012914i,0.00057435+0.0003787i,-0.00107+0.00096048i,-0.0014903+0.0013351i,-0.00051775+0.00097219i,0.00068191+0.00012712i,0.00061102+0.00029818i,0.00019123+0.00036626i,9.4268e-05+0.000108i,0.00034954+0.0002099i,0.00036921+0.00040178i,-0.00018117+0.00064314i,0.00015971+0.00029226i,0.00037701-0.00021862i,0.00016179-0.00039793i,0.00022573-0.00024979i,4.6715e-05+0.00017316i,0.00023128-0.00013271i
-0.00037611-0.00019147i,-0.00049519-0.00055228i,-0.00086952-0.00037127i,-0.00088203+0.00011195i,-0.00057387+0.00037464i,0.00023153+0.00052424i,0.00053777+0.00034135i,1.9247e-05+0.00040366i,-0.0004964+0.00031554i,8.6502e-05+0.0003587i,0.0010616-0.0001483i,0.0011436-0.00042364i,0.00012403-0.00011674i,-0.00065538-0.00022243i,-0.00046927+0.00052102i,-0.00031581+0.0012191i,-0.00070721+0.00086415i,-0.00026618+0.00079865i,0.0001631+0.00072925i,0.00065985+0.00076416i,0.0012671+0.00059763i,0.0011522+0.00016588i,0.0006103-8.9098e-05i
0.0001492-0.0013313i,0.00032246-0.00052034i,0.00079162-0.00073697i,0.0011274-0.0015729i,0.0020374-0.0022814i,0.0025826-0.00097222i,0.0017097+0.0006958i,0.0010591+0.00071685i,0.0011282-5.9836e-05i,0.00071101-0.00081299i,-0.00019643-0.0011838i,-0.00069786-0.00070514i,-5.3161e-05-0.00039906i,0.00014715-0.00070539i,-0.00027956-0.00057776i,5.1943e-05-0.00034385i,0.00069764-0.0002588i,0.00078271+0.0008246i,0.00056689+0.0012483i,3.7942e-05+0.00067047i,-9.6733e-05+0.00036169i,0.00049671+0.00051882i,0.00077034+0.0003155i
0.00078282-0.0023446i,-0.00018214-0.0010295i,-0.0011683-0.00091707i,-0.0011704+0.00057267i,-0.0011296+0.0013493i,0.00018635+0.00091432i,0.0016361+0.00059027i,0.00085777+0.00010217i,-0.00073708+5.6259e-05i,-0.0017857-0.00043028i,-0.0016152-0.0011067i,-0.00053844-0.00049514i,-0.00099143-1.6233e-05i,-0.00086032+0.00064214i,2.1932e-05+0.00098054i,-0.00075161+0.00033477i,-0.00098311-0.0001063i,-0.00049445-0.00010783i,0.00027295+0.00032178i,0.00099719+0.00039685i,0.0010798-5.2172e-05i,0.00030941-0.00015031i,-9.903e-05-8.4014e-05i
0.0011643-0.00081375i,0.0017459-0.00055581i,0.0015427-0.0015923i,0.0011753-0.0018783i,0.00063236-0.0010153i,-0.00021926+0.000256i,-0.00018289+9.5893e-05i,-7.4706e-05+0.00029106i,-0.00028616+0.0007621i,-0.00046973+0.00064294i,-0.00065802+0.00025702i,-0.00047602-0.00037626i,4.1737e-05-0.00063327i,0.00076406-3.0483e-05i,0.0012448+0.0001959i,0.0011546+1.5283e-05i,0.00066332+0.00021691i,7.7767e-05-0.00010183i,-0.00057236-0.00056309i,-0.00052892-0.00019652i,0.00039306+0.00061729i,0.00075866+0.0013336i,0.00036713+0.0008039i
-0.0014597+0.00074867i,-0.00033388+8.651e-05i,-0.00018389+0.00045606i,-0.00024005+0.0014937i,0.00066755+0.0022619i,0.0018267+0.0018892i,0.0018069+0.001523i,0.00056616+0.002023i,-0.00017238+0.0020461i,6.7386e-05+0.0018225i,0.00025987+0.0013158i,-0.00011517-0.00013757i,3.9596e-05-0.0006055i,0.00059003-0.00017973i,0.00061234+0.00019911i,0.00074476-0.00030426i,0.0013015-0.00044723i,0.0013089-0.00015551i,0.00053438+0.00013634i,0.00056201-2.1811e-06i,0.00061269+0.00014463i,-0.00041766-0.00041426i,-0.001055-0.0013183i
0.00048328+0.00067562i,0.00042116+0.00053474i,0.0013317-0.00016637i,0.0019711-0.0012875i,0.0025725-0.001913i,0.0026451-0.00083316i,0.0013692-0.00012385i,0.00059022-0.00013673i,0.00029192-6.9791e-05i,0.00065523-0.00044391i,0.00091854-0.0003576i,0.00041951+7.0796e-05i,-0.00010392+0.00015969i,-0.00013477-0.00047783i,-0.00035333-0.00021427i,-0.00070306+0.00013694i,-0.00021606-6.7044e-05i,0.00013578+0.00020126i,0.00014335+0.00069343i,0.00011226+0.00059862i,-0.00013193+0.00066382i,-0.00064469+0.00030553i,-0.00078646-0.00060646i
0.0020191-0.00068471i,0.0013598+0.00031886i,0.00021263+0.00077732i,-0.00040713+0.0016641i,-1.6879e-05+0.0015737i,0.00075623+0.00047477i,0.001107+0.00022276i,-0.00077344+0.00088854i,-0.0017772-0.00018399i,-0.0015077-0.0013577i,-0.0012801-0.00072525i,-0.00081526-0.00034463i,-0.00039002-0.00019365i,-0.00019531+0.00057166i,-0.00018734+0.0006942i,-0.00030052+8.0709e-05i,-0.00057179-0.00015722i,-0.00053904-0.00019723i,-8.3687e-05+0.00027893i,-0.00065027+0.0002064i,-0.0010281-0.00096136i,-0.00024127-0.0012951i,-0.00013919-0.00077135i
0.00167-0.0012067i,0.0011583-0.00044305i,0.00040311-0.00083319i,-0.0013182-0.00059671i,-0.0017946-8.1227e-05i,0.00027148+0.00087715i,0.0013233+0.0011235i,0.00011897+0.00082545i,-0.00075704+0.00023624i,-0.00082872-0.00033615i,-0.0010153-0.00052617i,-0.00074299+0.00024752i,-0.00033203+0.00073638i,0.0010238+0.00032595i,0.0020364-0.00019422i,0.00091056-1.1862e-05i,-0.00026397+0.00028106i,8.8524e-05-0.00024204i,0.00054292-0.00075993i,0.00014649-0.00019985i,0.00031137+0.00067286i,0.00049895+0.0007777i,0.0001955-2.2284e-06i
0.00066393-0.00088805i,0.000403-0.00014512i,0.00033818+4.3213e-05i,0.00050673+4.7501e-05i,0.00096632+0.0012694i,0.0016659+0.0021725i,0.00099709+0.0015119i,-0.00017481+0.00058615i,-0.0004959+0.00074397i,-0.0010433+0.00098935i,-0.0013162+0.001016i,-0.0011273+0.00091552i,-0.00065969-0.00018788i,0.00025407-0.00095948i,0.0011386-0.0008468i,0.00086638-0.000647i,0.00018627-0.00031303i,0.00029418-0.00056365i,0.00051918-0.00041774i,0.00023709+0.00017641i,0.00036734+7.6383e-06i,0.00012216+5.6903e-05i,1.8416e-05+0.00017732i
-6.6472e-05+0.0010197i,-0.00016941+0.00059164i,0.00054162-2.028e-05i,0.0012186-5.9036e-05i,0.0015009-0.00019973i,0.0012181-0.00018119i,0.0005651+0.00018582i,0.00038945+0.00047859i,0.00062032+0.00070016i,0.0011779+0.00059234i,0.0017416+0.00083682i,0.0010707+0.0010654i,0.00055347+0.0005158i,0.00069561+0.00021337i,0.00040085+9.7729e-05i,-8.7925e-05+0.00018269i,-0.00027692+9.7245e-05i,-0.00042654+7.8205e-05i,-0.00061977+0.00027675i,-0.00068285-0.00016407i,0.00062917+0.00011331i,0.0014965+0.0013888i,0.0010074+0.0013971i
-0.0012088-0.00029537i,-0.0010479+0.00020592i,-0.00062805+0.00055608i,-0.00043842+0.00055486i,0.00053049+0.00031784i,0.0027375+0.00054129i,0.0030679+0.00045176i,0.0010771-0.00052013i,-0.00014711-0.0011824i,0.00042114-0.00032567i,0.00044512+0.0002234i,0.0004943+0.00046173i,-5.5201e-05+9.0829e-05i,-0.00061682-0.00037588i,-0.00055801-0.00014214i,-0.00054313+0.00034941i,-0.00017997+0.00059436i,0.00050257+0.00096365i,0.0011753+0.00093926i,0.00052194+0.0004783i,-0.00031206+0.00016105i,-0.00013005-3.2597e-05i,-6.8223e-05-0.00022264i
-0.00081441-0.0014734i,-0.00092145-0.00088899i,-1.9844e-05-1.9466e-05i,-0.00082062+0.00062813i,-0.0011693+0.00062073i,0.00029247+0.0012983i,0.00059239+0.0013481i,-5.7227e-05+0.00021572i,-0.0001523-2.5238e-07i,0.00017007+0.00038698i,-0.00015135+0.00037575i,-0.0007312-0.00042572i,-0.00071408-0.00063116i,-0.00066-0.0005666i,-0.00011079-0.00016226i,0.00080515+0.00043016i,0.0010586+0.0007555i,0.00063843+0.00051948i,0.00039696-0.00019704i,-5.0752e-05-0.00014192i,-0.00025373+9.4149e-05i,0.00043597+0.00045912i,0.00028047+0.0006281i
-0.0014126-0.00074687i,-0.0011445-0.00099341i,0.00011353-0.000362i,0.0012257-0.00085436i,0.0018627-0.0011582i,0.0017949-0.0006923i,0.0011976+0.00016074i,0.00073399+0.00064691i,-0.00039452-1.9174e-06i,-0.00097945-0.00078408i,-6.4525e-05-7.1446e-05i,0.00056852+0.00064108i,0.00019523+0.00045746i,-0.00033069+0.00084963i,-0.0001234+0.00050089i,0.00051048+0.00026831i,0.00038432+0.0004011i,0.00014178-0.0001118i,8.3294e-06+0.00046407i,-0.00010773+0.00086485i,0.00024309+0.00063404i,-2.0982e-05+0.00035251i,-0.0002598+0.00014742i
-4.9372e-05-0.00075137i,-0.00021503-0.00075477i,-0.00053884-8.5354e-05i,-0.00095164+0.0017608i,0.00043666+0.0032804i,0.0012977+0.0033361i,0.0012401+0.0022757i,0.0011204+0.0012067i,0.00060912+0.00099501i,-0.00027683+0.0010125i,0.00011288+0.0002502i,0.00097882+0.00012583i,0.00096786+0.00086382i,0.0013342+0.00094106i,0.0011495+0.00061999i,0.00041836+0.00020196i,0.00039256-0.00039231i,9.7403e-05+6.028e-05i,0.0001831+0.00030407i,0.00069045-0.00031628i,0.00080034-0.00033928i,-2.5577e-05+0.00017219i,-0.0010488-5.0902e-05i
0.00027836+0.00095092i,-3.4177e-05+9.8939e-05i,0.00083866-0.0011258i,0.00032729-0.0017378i,7.7085e-06-0.001479i,0.001873-0.0016389i,0.0021996-0.0011137i,0.00058213+0.00020091i,-9.9823e-06+0.00047887i,0.00013063+0.0004459i,9.4135e-05+0.00032949i,0.0004741+0.00031091i,0.00059427+0.00024435i,0.00073495-0.00056915i,0.00097849-0.00097955i,0.00050951-0.00065683i,0.00014845-0.00018913i,0.00031866-0.00030111i,0.00028729-3.5997e-05i,-0.00010107+0.00019654i,-0.0002067-0.00020698i,5.6101e-05+0.00041394i,3.325e-05+0.00033288i
-0.00040832+0.00017682i,-0.00076782+0.00045065i,-0.00022058+0.0012258i,0.00056795+0.0017423i,0.0015669+0.0020759i,0.0018838+0.0017347i,0.001333+0.0011636i,-0.00022394+0.00081461i,-8.0148e-05+0.00106i,0.0010693+0.00077166i,0.0011596-0.00030157i,0.00075665-0.00035251i,0.00042208-0.00056404i,8.6434e-05-0.0015456i,-0.00043125-0.001247i,-0.00078294+0.00025662i,-0.00050567+0.00079246i,0.00025476+0.0006155i,0.00088339+0.00045092i,0.00033676-6.9783e-06i,4.238e-05-0.00047047i,0.00060471-0.00023988i,0.00069675-3.3004e-05i
-0.0012523+0.00048461i,-0.00090103+0.00019178i,-9.4655e-05-6.7992e-05i,-0.00025588-0.0002533i,-0.00064098-6.2088e-05i,0.00013968-1.712e-05i,0.00030763-0.00019122i,-0.00072021-0.00024748i,-0.0013602+0.00030096i,-0.0015859+0.0005823i,-0.001242+0.00015295i,-0.00073726-0.00056393i,-0.00098443-0.00094631i,-0.0011801-0.0006738i,-0.00093197-0.00082854i,-0.00064665-0.00099665i,-7.1661e-05-0.00016187i,8.211e-05+0.00036567i,0.00040622+0.0001477i,0.00073414+0.0004441i,0.00080933+0.00071081i,-4.355e-05+0.00021483i,-0.00062416-5.7311e-05i
-0.0023957+0.0001366i,-0.0014233-5.8837e-05i,-0.0015309+0.0013053i,-0.00013972+0.0017468i,0.0020069+0.0011439i,0.0028939+0.00027485i,0.0021897-3.9068e-05i,0.00050279+0.00010784i,-0.00034728-0.00010518i,-0.00064472-1.0776e-05i,-0.00065941+0.00075422i,-5.0806e-05+0.00072922i,-0.00028893-0.00015258i,-0.0013737-0.00057763i,-0.00085186-0.00034126i,-0.0002257+0.00053986i,-0.00030025+0.00074692i,-0.00026319+0.0005267i,0.00024539+3.0878e-05i,0.00042776-0.00038443i,0.00032974-0.00017612i,0.00050246-0.00043452i,0.00073483-0.00041302i
0.00066019+0.0012522i,0.00065825+0.0020777i,0.0013357+0.00077139i,0.0012667-0.00017085i,0.0014568+0.0010766i,0.0016455+0.001595i,0.0015977+0.0010063i,0.0021981+0.00086095i,0.0022237+0.00039557i,0.0015722-8.3493e-05i,0.00076456-0.00053513i,0.00037175-0.00034628i,-5.7145e-05+0.00031694i,-0.00013802+0.00068138i,0.00025988+0.00051449i,-0.00025742+3.8899e-05i,-0.00060969-0.00012552i,-2.2604e-05+0.00051441i,0.0003444+0.00047864i,0.00054494-0.00043878i,0.00032634-0.00081631i,0.00050844+9.4474e-05i,0.00076228+0.00068145i
0.00077372-5.0623e-05i,0.0011139+0.00020126i,0.0010752-0.00045779i,5.4894e-05-0.00095158i,-0.00057111-0.0010981i,0.0001254-0.00024528i,0.00064183+0.00044444i,0.00028037+0.00015656i,-0.00015078-8.9365e-05i,-0.00013745+5.6443e-06i,-0.00065079-0.00045493i,-0.00030689-0.00013789i,0.000948+0.00026351i,0.00078048+0.00024241i,0.00052378+0.00019896i,0.00047914+9.0145e-05i,-0.00026302+0.00018218i,-0.0016038+0.00036591i,-0.001399-0.00016195i,-0.00079769+0.00016809i,-0.00067076+8.7953e-05i,0.00023167-0.00078237i,0.00056189-0.00046502i
0.001145+0.00029912i,0.0011138-8.2957e-07i,9.0044e-06-0.0004539i,0.00045317-0.00043851i,0.002327+0.00049359i,0.0018097+0.001068i,6.5904e-05+0.00095292i,-0.00071889+0.00073128i,-0.0003582+0.0006685i,-0.00047415+0.00088467i,-0.00063523+0.00018219i,-0.00053547-0.00020929i,-9.6591e-05-0.00077196i,0.00039659-0.00050347i,0.00043711-0.00024497i,-8.464e-05-0.00069519i,-0.0004326-0.00037219i,-0.00042883+0.00057447i,-0.00062636+0.00042995i,-0.0004389+0.00032977i,5.6664e-05+0.00094363i,0.00015626+0.0010314i,-6.2707e-05+0.00014737i
-0.00095185+0.0013121i,-0.00038942+4.6422e-05i,-0.00017492+0.00027824i,-0.00047069+0.00057152i,-0.0010334+0.00026793i,-0.00047798-8.6708e-05i,0.00035383-0.0004193i,-3.1711e-05-0.00050423i,-0.0007145+0.00013513i,-0.00050083+0.00019181i,-0.00010957-3.8859e-05i,-0.00077252-0.00010116i,-0.0008951-0.00020887i,-0.0015015-0.00010878i,-0.0016383-0.000616i,-0.0011248-0.00076147i,-0.0003715-0.00034625i,0.00069757-0.00012718i,0.00030988+0.00020189i,-9.4675e-05+0.00063293i,0.00056472+0.00073979i,0.00037524+0.00033585i,-0.00059084+6.0522e-05i
-0.00011912+0.00022424i,0.0001318-2.8e-05i,0.00028061+0.00018243i,0.0010467+0.00024286i,0.0028503+0.00024612i,0.0035141-0.00052214i,0.001841-0.0010413i,0.00024255+5.0649e-05i,-0.00035909+0.0009659i,-0.00056768-0.0001292i,-0.00017757-0.00031298i,0.00011066+0.00069461i,-0.00055784+0.00064674i,-0.00085614+5.9512e-05i,-7.6155e-05+0.00013344i,0.0004518+0.00073312i,0.00013277+0.00085842i,-0.0008357+0.00024901i,-0.00071047-0.00039112i,0.00028433-4.7291e-05i,-5.556e-06+0.00062589i,-0.00015315+0.00034414i,0.00012578+0.00019844i
0.0010034+0.0029178i,-0.00017174+0.0022962i,0.00084511+0.00056407i,0.0019505-0.0010469i,0.0024628-0.0012452i,0.0020947-0.00021302i,0.0011317+0.00085095i,-0.00012273+0.00071614i,0.0004432+0.00018343i,0.00071817-0.00041246i,0.00017701-0.00016785i,0.00041639+0.00087164i,0.00064563+0.0018181i,0.00047972+0.0020743i,0.00032128+0.001537i,9.8768e-05+0.00063572i,0.00013846+9.5046e-05i,0.00010643-0.00067676i,-0.00030731-0.00045174i,-3.1217e-05+0.0002589i,0.00033093+1.046e-05i,0.00017557-0.00043677i,-0.00050649-0.0005762i
-0.0011649-0.0012994i,-0.00087526-0.00087924i,-0.0010369-0.00061024i,-0.0012624-6.5831e-05i,-0.00074835+0.0010924i,0.00010374+0.0023703i,0.00053744+0.0013821i,0.00019823-0.00017514i,-6.9343e-05-0.00017633i,-0.00079396+0.00017321i,-0.00073967+4.6691e-06i,0.00046648+0.00039491i,0.00059449+0.0008503i,-0.00027911+0.00011092i,-0.00035827-0.0007564i,-0.00063228-0.00086569i,-0.00080089-0.00070087i,1.0245e-05+4.7049e-05i,0.00032272+0.00019686i,-0.00049314+0.00037796i,-0.00049406+0.00075807i,-0.0002226+0.00017462i,0.00023539-0.00036089i
0.00060583+0.00078589i,0.00015551+5.1299e-05i,7.5892e-05+0.0010716i,0.00052473+0.0013775i,0.0011389+0.00026423i,0.0014887-0.00032614i,0.0015839+0.00058227i,0.0014182+0.00070896i,0.00045512+0.00022181i,-0.00057722+0.00044359i,-0.0003537+0.00070135i,0.0003055-3.2858e-05i,0.00018814-0.00063673i,-0.00023874-0.00069627i,-0.00041902-0.00076094i,-0.00056843-0.00081169i,-0.00096412+2.668e-05i,-0.0016343+0.00060734i,-0.0019044+0.0012403i,-0.0012831+0.0012619i,-0.00032267+0.00067943i,-0.00017434+0.00082566i,-0.00019136+0.00075273i
0.00043451+0.00027282i,0.00046638+0.0003571i,0.00048233+0.00024594i,0.00040582+0.0003251i,0.0011189+0.00096728i,0.0017583+0.0015405i,0.0012545+0.00088565i,0.00051425-4.2729e-05i,-0.00065424+0.0001453i,-0.00053676+0.00061121i,-0.00042415+0.0005104i,-0.0011118-0.00027295i,-0.00089568-0.0008122i,-0.00084391-0.00094956i,-0.0013083-2.4528e-05i,-0.0017734+0.0004481i,-0.0010897+0.00084441i,9.3809e-05+0.00072093i,0.00055199+0.00033185i,-0.00034724+0.00078034i,-0.00076031+0.00058761i,0.00015725+0.00037351i,0.00071163+0.00036318i
-0.0012279-0.00018153i,-0.00071267-0.00034995i,-0.00013834-6.8169e-05i,0.00017371+0.00081502i,7.8364e-05+0.0010447i,0.00026499+0.0013714i,0.00079975+0.0010198i,0.00020455+0.00077765i,-0.00047923+0.00085149i,3.2536e-05+0.00053789i,0.00023938+0.00044076i,-0.00016748+0.00055384i,-0.00036725+0.00056923i,-0.00074852+0.00061444i,-0.001086+0.001053i,-0.00058786+0.0015599i,0.00034973+0.0013678i,0.00086142+0.0008891i,0.00076534+0.000849i,0.00023649+0.00090684i,0.00037726+0.0004212i,0.00085941-0.00016819i,0.00033296-0.00054079i
0.00074+0.00020729i,-0.00025868+0.00021502i,-0.0011378-0.00048056i,-0.0015323-0.0012406i,-0.0010406-0.0020466i,-0.00042508-0.0012392i,0.00015372-0.00039001i,-0.00022308-0.0007204i,-0.00081487-0.00079782i,-0.00033794-0.00087645i,0.00010026-0.00069933i,0.00055405-0.00027775i,0.00062581+0.00014167i,0.00022235+0.00064575i,2.0398e-05+0.00021692i,0.00046065-0.00044223i,0.00087702+7.8576e-05i,0.00037297+0.00034898i,-0.00033649+0.00021487i,-0.00086602-0.00021862i,-0.00056658+9.2568e-06i,-0.00023143+0.00051815i,0.00013274+0.00038204i
-0.00019348-0.0010769i,0.0001827-0.00018745i,-6.6245e-05-0.0001778i,0.00027748+0.00016196i,0.00051117+0.0010337i,0.0011594+0.0021872i,0.0017514+0.0021316i,0.001195+0.00092915i,-1.704e-05+0.00012383i,-0.00029889+0.0004797i,-0.0003219+0.0011791i,-2.9731e-05+0.00048611i,0.00060169-0.00014828i,0.0013344+0.00018851i,0.0011639+4.6827e-06i,0.00097527-0.00039355i,0.0010044+0.00025687i,0.0004163+0.00071439i,0.0004066+0.00012429i,0.00041056-0.00044349i,0.00018001-0.00056545i,-3.6453e-07+1.8185e-05i,0.00043633+0.00016363i
-0.00028473-7.8148e-05i,-0.00028185-0.0011258i,-0.00079726-0.00062002i,-0.0010975+0.0010128i,0.00023848+0.0018771i,0.0012771+0.0018851i,0.0011025+0.00062592i,0.00064865-0.000643i,-0.0006374-0.00087324i,-0.0011384+0.0002513i,-0.00072958+0.00037916i,0.00023335+9.0535e-05i,0.00050843-0.00017289i,0.00016153+0.00027735i,6.5483e-05+0.00030732i,0.00011882-6.4063e-06i,-0.00036479+0.00022573i,3.8068e-05+0.00020376i,9.021e-05+0.0003074i,-0.00012068+0.00014079i,0.0005733+0.0005472i,0.00089027+0.00084362i,0.00045363+0.00065323i
-0.0013015+0.00049249i,-0.0014579-0.0001589i,-0.00037872+6.0408e-05i,0.00061693+0.00040267i,0.001452+0.00076592i,0.0025095+0.0010091i,0.0017149+0.00094972i,-0.00023238+0.0011198i,-0.00028725+0.0012126i,0.00035131+0.00077892i,0.00030464-0.00066213i,0.00030235-0.0018979i,-0.0001657-0.0015066i,-0.0011366-0.0012144i,-0.0021163-0.00013434i,-0.0021172+0.0016401i,-0.0012728+0.0016804i,-6.5263e-05+0.0010065i,0.00036241+0.00050347i,0.00013934-0.00019921i,-6.9881e-05-0.0004289i,2.8574e-05-0.00024893i,5.3759e-05-8.3948e-05i
-0.00042948+0.00022948i,0.00021547+0.00027709i,0.0010071+0.0015936i,0.0019174+0.001213i,0.0022401+0.0002403i,0.0017088+0.00015136i,0.00066906+0.001103i,-0.00022912+0.0011801i,-0.00035699+0.00082519i,-0.00043678+0.0011724i,3.2051e-05+0.001236i,-0.00049079+0.001024i,-0.0014083+0.0007759i,-0.0010566+0.0002474i,-0.0011301+0.00016923i,-0.0012845+0.00024832i,-0.00064807-0.00020321i,-0.00081127+6.8073e-05i,-0.00030656-0.00057853i,0.00017332-0.0011201i,-0.00051168-0.00073563i,-0.00046239-0.00036782i,9.2919e-05-0.00032252i
-0.00023953+0.00025312i,-1.2417e-05-0.00028642i,-0.00052424+7.8694e-05i,-0.00016681+5.0687e-05i,-0.00030936-0.00044993i,-2.0111e-05+0.00053991i,0.0010584+0.0011422i,0.00093214+0.0010876i,-7.2222e-05+0.0015456i,-0.00058613+0.00078256i,-0.00057853-0.00010479i,-0.00026818+0.00029558i,-0.00016592+0.0011045i,0.00011865+0.0022375i,0.00061456+0.0026009i,0.00080806+0.0013766i,0.00050288+0.00041918i,-0.00036545+0.00071215i,-0.00068339+0.00061396i,-0.00032698-0.00026988i,-2.1138e-05-0.00053895i,-0.00019034-8.4295e-05i,0.00037359+0.00013222i
0.00022263+0.0006782i,0.00063226+0.0012479i,0.0002069+0.001797i,0.0005076+0.0017024i,0.0016073+0.0010658i,0.0020923-0.00011075i,0.0017595-0.00072454i,0.00097032-0.0010138i,0.00012724-0.0011575i,0.00010663-0.00076725i,0.00019606+0.00034277i,0.00069568+0.00016111i,0.00098133-0.00030439i,0.0008248-0.00033186i,0.00076313-0.00036167i,0.00027207-1.169e-07i,-0.00022233-0.0001083i,-0.00014561-0.00046093i,0.00043431-0.00014754i,0.00098924+0.00035156i,0.0003996+0.0010543i,-0.0002349+0.0010044i,-5.1451e-05+0.00026314i
-0.00052319+0.00082465i,-0.00044916+3.9252e-05i,0.00022819+0.00024214i,0.0012295+0.0010517i,0.0023861+0.0024755i,0.0027444+0.0027244i,0.0025879+0.0018068i,0.0020151+0.00013189i,0.00037272-0.00026637i,-0.0004031+0.00065834i,0.00022709+0.00086673i,0.00089589-0.00028093i,0.00058705-0.00081299i,-8.765e-05-0.0015135i,-0.00021546-0.0022707i,-3.3268e-05-0.0012333i,-7.4376e-05-0.00015015i,0.00023845-0.00022705i,0.00038068-0.00084915i,-9.8526e-05-0.0017295i,-0.00052507-0.0017493i,0.00027359-0.00074742i,0.0012989+0.00032328i
0.0013582-0.00050605i,0.00017441+4.1015e-05i,-0.00058305+0.00076299i,-0.0007625+0.00038689i,-0.00047814+0.00056981i,0.00039719+0.00081676i,0.00067574+0.00046028i,-0.00044954+0.00046952i,-0.0014329+0.00036562i,-0.0015413-0.00069332i,-0.00080322-0.0013964i,-5.8006e-05-0.0010988i,-0.00022662-0.00092674i,-0.0010019-0.0004973i,-0.0010707-4.756e-05i,-0.0011963-0.0002689i,-0.0010347+0.00015561i,-0.00099741+0.00070753i,-0.00067713+0.00080634i,0.0006048+0.00057523i,9.3329e-05+0.00043546i,-0.00032999-0.00017046i,-0.0003165-0.000241i
-0.00091388+0.00050708i,-0.00046289-0.00083538i,0.00058614+0.00027279i,0.0010953+0.00055316i,0.001356+7.7198e-05i,0.001901-0.0001094i,0.00058962-0.00021549i,-0.0015405+6.9295e-05i,-0.0018581+0.001375i,-0.00045059+0.0017675i,0.00035023+0.00052217i,0.00047007-0.00046676i,-0.00028062-0.00050762i,-0.00087129+0.00036587i,-0.00082401+0.0014449i,-0.00066104+0.0012567i,0.00029864+0.00082993i,0.0007664+0.00067088i,-0.00022124+0.00034744i,-0.00025955+0.00028015i,0.00033651+0.00046913i,5.6723e-05+0.00081017i,0.00040371+0.00041198i
-0.0012606-0.00060804i,-0.0014228-3.8216e-05i,-0.002386+0.0007749i,-0.0019838+0.0012603i,-0.00093555+0.002172i,0.00056888+0.0025298i,0.0019477+0.001331i,0.0016812+0.00062049i,0.00050997+0.00091148i,5.6122e-05+0.00048769i,-0.00046507+0.00023694i,-0.0011477+0.00050288i,-0.0011132+0.00046591i,-0.00089137+7.0933e-05i,-0.00022137+0.00036184i,0.00026655+0.00086125i,0.00065148+0.0006855i,0.00082243+0.00084153i,0.00067049+0.0017215i,0.00038774+0.0014262i,-0.00041881+0.0006212i,-0.0012908+0.00035363i,-0.0012504+0.00010689i
0.00030477+0.00059702i,0.00037897+0.0012012i,0.0010654+0.00082407i,-6.4999e-05-0.00048388i,-0.00037464-0.0011665i,0.00072243-0.00038708i,0.0010157+0.00058364i,0.0005907+0.00069339i,0.00064717+0.00077207i,0.0004859+3.1042e-05i,6.8522e-05-0.0003555i,0.00040686+0.00083742i,0.00097408+0.0010356i,0.00089573+0.00037327i,0.00079979+0.00071359i,-0.00038081+0.00064498i,-0.0013571+0.0002969i,-0.00081374+0.00031137i,0.00018321+0.00066642i,0.00033516+0.0003091i,4.7648e-05-0.00040052i,-0.00011387+0.00016159i,-0.00036814+0.00098865i
-0.0011123+0.00030733i,-0.001168-0.00013363i,-0.00075263+0.00049798i,0.00089219+0.00099545i,0.0021946+0.00067808i,0.0034163-0.00084154i,0.0036605-0.0016396i,0.0016844-0.0010718i,-0.00031829-0.00025323i,-0.00038059-0.00023312i,-8.8811e-06-0.00058113i,0.00088033-0.0003052i,0.0011064+0.00041793i,0.00055283+8.9119e-05i,-0.00014-0.00032637i,-0.00040197-3.6468e-05i,-0.00023477-0.00024369i,-6.4418e-05-0.00044411i,0.00010556+6.1064e-05i,-0.00062204-1.1353e-05i,-0.00059582-0.0006885i,-0.0001469-0.00075762i,0.00042809+4.8066e-06i
-0.0017389-0.0017008i,-0.0010271-0.0014057i,-0.00073994-0.001355i,-0.00064639-0.001195i,0.00083078-7.7539e-05i,0.0020213+0.00038415i,0.0013997-0.00042886i,0.00040469-0.00064912i,0.00042656-0.00053496i,0.00021369-0.00054735i,5.5394e-05-0.00072491i,0.00043065-0.0012159i,0.00015549-0.0015621i,-0.00055209-0.0012188i,-0.00061295-0.00083196i,-0.0011446-0.0002691i,-0.0010666+0.000272i,-0.00061989+0.00096499i,-0.0013288+0.0013331i,-0.0014434+0.00040287i,-0.00055662+2.4637e-05i,0.00040235+8.7395e-05i,0.00035384-7.2168e-05i
