-0.0022829+0.0002026i,-0.0020124-0.00011079i,-0.00249+0.00028862i,-0.0019724+0.00027793i,-0.0026888+0.00041768i,-0.0034904+0.0013503i,-0.0038847+0.0027023i,-0.0022916+0.003178i,2.2152e-05+0.0017839i,0.0011304+0.00053378i,0.0019237+1.5425e-05i,0.0011726+3.1542e-05i,0.00023047-0.00057747i,-8.7975e-05-0.0016584i,-0.0010317-0.0015143i,-0.0010802-0.00047897i,-0.00026967+0.00045771i,-0.00018725+4.6848e-05i,0.00026144-0.00017179i,0.00095537+0.00043971i,0.0009357+0.00075944i,0.00029175+0.00070732i,7.7138e-05+5.1993e-05i
-0.001192+0.0014687i,-0.00043264+0.00052096i,-0.000427+0.00025314i,-0.00012474-0.00079961i,-0.00088158-0.002852i,-0.0020931-0.0034757i,-0.0019527-0.0022467i,-0.00092943-5.4187e-05i,0.00011254+0.00060805i,0.00085432-0.00031676i,0.00088398-0.00041413i,0.00032298-4.9983e-05i,-0.00032273-0.00032809i,-0.00081961+0.00011238i,-0.0012537+0.00045444i,-0.00097191+0.0007152i,-0.00022763+0.0011517i,0.0010775+0.0011972i,0.0015185+0.00081415i,0.00061912+0.00020537i,0.00018866+1.7356e-05i,0.00011707+0.00020278i,-0.00026009+0.0010573i
0.0011402+0.00025319i,0.001228-1.7265e-05i,0.0013057-0.0014597i,0.00026207-0.0028532i,-0.001804-0.0037276i,-0.0031533-0.003354i,-0.0029324-0.0012435i,-0.0013761+0.00021348i,0.00045144-0.00038355i,0.00036805-0.00097349i,-0.00024848-0.00063164i,0.00019292+0.00032358i,-0.0003143+0.0011833i,-0.00073717+0.0015999i,5.8919e-05+0.0014621i,0.00028476+0.00066847i,3.1693e-05-1.2825e-06i,-2.4422e-05-0.00036331i,0.0004636-0.0005044i,0.0010368-0.00038164i,0.00070376-0.00017536i,-0.00018771-0.00010493i,-0.00014547+0.00010973i
0.00076842-0.0006217i,0.00061759-0.00019644i,0.00055356-0.0016935i,2.2679e-05-0.0030499i,-0.0019358-0.0035277i,-0.0031904-0.0032859i,-0.0032823-0.0010472i,-0.0015803+0.00050772i,0.0007636+0.00039704i,0.0012978+0.00022111i,6.957e-05-0.00014334i,-0.00096926-0.00016405i,-0.00093571+0.00070867i,-0.00021553+0.0004123i,-0.00055626-0.00068855i,-0.0011153-0.00066355i,-0.0014094-0.00039389i,-0.00072544+4.029e-06i,-0.00021377+0.00087652i,-9.2633e-05+0.0010354i,0.0002262+0.00096828i,-0.00064031+0.00060698i,-0.00078884-2.6596e-05i
0.00044619+0.0015849i,0.00076855+0.00094251i,-0.00058882-0.00035683i,-0.0015827-0.0012523i,-0.001964-0.001859i,-0.0027023-0.0022626i,-0.0024505-0.0013023i,-0.00073511+0.00044646i,0.0014968+0.00075856i,0.001447-3.2205e-06i,0.00032252-0.00020744i,0.00042179-0.00034124i,0.00017016-0.00016261i,-0.00046955-0.00028803i,-0.00065372-0.00017407i,-0.00045366-6.4151e-05i,-0.0003266-0.00023581i,-0.00076524-1.7089e-05i,-0.00030056+0.00024927i,0.00022594+0.00040556i,0.00012048+0.00021683i,-0.00037561+0.00019445i,-0.0011584+0.0002592i
-0.0012928+0.0016821i,-0.00022186+0.002172i,0.00059114+0.0015361i,0.0012935+0.00012788i,0.00021823-0.00079352i,-0.0015611-0.0013753i,-0.0022489-0.00044025i,-0.0017229+0.00069394i,-0.00034719+0.0010576i,0.00059931+0.00054913i,0.00095234+0.00062449i,0.00015011+0.0012235i,-0.00078764+0.0011954i,-0.00040426+0.000906i,-0.00049113-2.8787e-05i,-0.00080591-0.00014437i,-0.00014105+0.00053276i,0.00051486+0.0010848i,-5.7252e-05+0.0015418i,-0.00036217+0.00092431i,7.653e-05-0.00017127i,0.00018455-0.00038906i,0.00041854-0.00025731i
-0.00092772+0.0005092i,-0.00028204+0.00025929i,-0.00024325-5.6979e-05i,-0.00080686-0.00092656i,-0.0018766-0.0018646i,-0.0024203-0.0021354i,-0.002177-0.0012078i,-0.00080891-8.2468e-05i,0.0012164-0.00012543i,0.0021958-0.00061308i,0.0020521-0.0010536i,0.00070493-0.00052996i,-0.00034578+0.00035646i,-0.00063762+0.00088323i,-0.00077907+0.0013813i,-0.0010499+0.0011644i,-0.00026147+0.000489i,0.00068541+0.00037818i,0.00088457+0.00076734i,0.00027187+0.00089086i,0.0002465+0.00019508i,0.00035258+2.4086e-05i,9.579e-06+0.00051075i
-0.0016318+0.0010392i,-0.0014851+0.0017853i,-0.0015065+0.0024175i,-0.0008499+0.0014921i,-0.0014564-0.00078631i,-0.0019297-0.0025877i,-0.0017914-0.0021577i,-0.00012142-0.00061019i,0.0014423+0.00046129i,0.00055606+8.9698e-05i,1.4229e-05-0.00075375i,-2.7381e-05-0.00066175i,-0.00020735+0.00010169i,-0.00021966+0.00073364i,-0.00012745+0.0004438i,-0.00043741+0.00031026i,-0.00023583+0.0010579i,0.00028658+0.0011937i,0.00099837+0.00062053i,0.00094794+0.00046068i,0.00030667+0.00035814i,0.00013131+0.00019105i,0.00047733+0.00035021i
-0.0012302-0.00043219i,-0.0012807-0.0019847i,-0.0014093-0.0026759i,-0.0020988-0.003i,-0.0028298-0.0032193i,-0.003509-0.0020055i,-0.0030675-0.00059377i,-0.0013358+0.00025693i,9.6211e-05+2.3276e-05i,0.00089683-0.00017312i,0.00037187+0.00019172i,-0.00056491-0.00026339i,-0.00054241-0.0014486i,-0.00012728-0.0016371i,0.000244-0.00079235i,7.7631e-05+0.00018886i,-0.0004688+0.0011278i,-0.00082219+0.0013528i,-0.00080926+0.00041665i,-0.00091968-0.0003412i,-0.00084564+0.00015847i,-0.00030504+0.00016291i,0.00011927-0.00019579i
0.0013345-0.0011577i,9.9094e-05-0.0016104i,-0.0014625-0.0014925i,-0.0022194-0.00097582i,-0.0035124-0.002273i,-0.004383-0.0027868i,-0.0030676-0.00098445i,-0.00043519+5.0085e-05i,0.0010367-0.00089652i,0.0009842-0.0010831i,0.0007622-0.00018141i,5.0527e-05+0.00024942i,-0.0004407-4.6711e-05i,-4.1591e-07-8.3839e-05i,0.00016613-8.6916e-07i,-0.00011348+0.00050077i,-5.8037e-05+0.00074807i,-0.00046991+0.00042431i,-0.00058119+0.0001825i,0.00016235+0.00012953i,0.00094449+0.00051667i,0.0008528+0.00048617i,0.00088027+0.00049782i
0.00043622+0.0011651i,0.0003562+0.00023519i,0.001421-0.00025843i,0.0010987-0.0012429i,-0.0005444-0.0027648i,-0.0015268-0.0033154i,-0.0016826-0.0017133i,-0.001025+0.00014989i,0.00038407+0.00034073i,0.001148-0.00071393i,0.0015352-0.00082417i,0.00057699-0.00012044i,-0.00095373-4.7e-05i,-0.0011163+0.0007188i,-0.0011178+0.0011519i,-0.00099582+0.00077196i,-0.00043517+0.0008914i,-9.3332e-05+0.0012827i,-0.0001233+0.00093417i,-0.00029682-7.8083e-05i,-0.00022219-1.1317e-06i,-0.0002939+0.00022981i,-0.00048839-0.00022789i
9.078e-05-0.0010316i,-0.00018451-0.0011042i,-0.00031634-0.00068416i,5.7177e-05-0.0010539i,-0.0010625-0.0022428i,-0.0027087-0.0029396i,-0.0025729-0.0011938i,-0.00046836+0.00028312i,0.00082228+0.00032075i,-7.3447e-05+0.00051005i,-0.00012503-4.2253e-05i,0.0011004-0.00036951i,0.00070121-9.3056e-05i,0.00020645+7.9451e-06i,0.00063419+0.00025441i,0.00050266+0.00090857i,6.2818e-05+0.0013764i,0.00019514+0.0006547i,-0.00013902-0.00030627i,-0.00041341-0.00036623i,-0.00024517+0.00029058i,6.2852e-05+0.0004898i,0.00036897+2.6052e-05i
0.00017232+2.0488e-05i,0.00049359+0.00064174i,0.00077489+0.00058025i,0.00077701-0.00064286i,5.1381e-05-0.0022533i,-0.0010828-0.0027213i,-0.0017574-0.0012706i,-0.00083879+0.00011187i,8.2679e-05+3.4846e-05i,0.00019382-0.00038457i,0.0003551-0.00013286i,0.0004162+0.00020002i,0.00057679+0.00090043i,0.00015329+0.00091628i,-0.00063577-1.6939e-06i,-0.00043652+9.8017e-05i,0.00036177+0.00021519i,0.0011855+9.9136e-05i,0.00053863+0.00028292i,0.00020887-0.00032506i,0.00068219-0.00058803i,5.9865e-05-0.00041507i,-9.1025e-05-0.00011805i
-0.0005518-0.0001812i,0.0003849+0.00051646i,0.00045505+0.00023233i,-9.0947e-05-0.0016892i,-0.001349-0.0036228i,-0.0032198-0.0040953i,-0.0032132-0.0020877i,-0.00096564+0.0004566i,0.00061813+0.00086648i,0.0011673+0.00018884i,0.00073423+0.00030292i,-0.00048157+0.00024496i,-0.00071069+2.7633e-05i,-0.0004019+0.00074122i,-0.00013798+0.001206i,-0.00014833+0.0008834i,0.00030017+0.00046793i,0.00063375+0.00069245i,7.1013e-05+0.0010341i,0.00010928+0.00096805i,0.00011458+0.00057049i,5.7676e-05+9.1375e-05i,0.00037075+0.00013472i
0.00068173+0.0021026i,0.0018019+0.001193i,0.002131+0.00016467i,0.0017447-0.0010627i,9.6517e-06-0.0029834i,-0.0028905-0.0031287i,-0.0039212-0.0012616i,-0.0015746+0.00070321i,0.0010502+0.00081601i,0.0015868-4.9883e-05i,0.00063179-0.00066865i,-0.00045294-0.0007417i,-0.00096378-9.1545e-05i,-0.00059076+0.00018241i,-9.7506e-05-0.00027489i,-0.00029169+0.00022785i,-0.00083449+0.00091434i,-0.0010879+0.00068764i,-0.0011223+3.1034e-05i,-0.001044+0.00015724i,-0.00044325-0.00010211i,-0.00025198-0.00024564i,-0.00022657+0.00034224i
-0.0011437+9.7534e-05i,-0.00015013+0.00067212i,0.0010002+0.00031623i,0.001822-0.0011036i,0.00037674-0.0021025i,-0.0016675-0.0024679i,-0.0023013-0.0011518i,-0.0014491-7.1642e-05i,0.00033112-0.00029744i,0.0011503-0.00073065i,0.0010345-0.00042049i,0.0011905+0.00020885i,0.00072134+0.00027268i,-2.5958e-05-0.00061076i,-0.00064072-0.0010005i,-0.0010732-0.00082665i,-0.0012738-0.00056643i,-0.001417+0.00037216i,-0.0011964+0.00037663i,-0.00090219+0.00034876i,-0.00030107+0.00087436i,0.00035382+0.0010129i,0.00085953+0.00054682i
0.00085552+0.0004909i,0.0009825-0.00014786i,0.00055152-0.00076297i,-0.00017265-0.0020507i,-0.0010475-0.0031947i,-0.0025434-0.0031483i,-0.0026044-0.0012097i,-0.00096281+0.0003845i,0.00053262+0.00027597i,0.00065161-0.00019884i,0.00041219-0.00041784i,0.00055529-0.00042513i,0.00060033+0.00042933i,0.00020847+0.0010842i,-7.4718e-05+0.00042608i,-9.0311e-05+0.0005099i,6.9885e-05+0.0011982i,0.00018641+0.0015413i,0.00029539+0.0017662i,0.00031872+0.0013778i,6.4754e-05+0.0001921i,0.00046276-0.00083523i,0.00011962-0.0009174i
0.00013271-0.0010594i,-0.00098176-0.00078974i,-0.001216+0.00017114i,-0.0019352+0.0010042i,-0.0031293+0.00052688i,-0.0039641-0.0003579i,-0.0034021-0.00019301i,-0.0012383+0.00027644i,0.00019768+0.00011005i,0.00059579-0.00044068i,0.00091697-0.00033439i,0.00072087-5.1772e-05i,4.3414e-05-0.00050578i,0.00044232-0.00047567i,0.00056142+0.00018232i,-0.00030046-0.00010249i,-0.00071534-5.3369e-05i,-0.00050757-0.0001097i,1.971e-05-0.00066576i,-0.00010162-0.00017775i,-0.00023631+0.00048753i,0.00051222+1.1528e-05i,0.00068116-0.0010306i
0.00051922+0.00067043i,0.0011479-0.00011161i,0.00046499-0.0012127i,0.00015934-0.0023207i,-0.0010648-0.0028422i,-0.0026481-0.0026751i,-0.0029154-0.0012644i,-0.0015386+0.00075649i,8.1711e-05+0.0010046i,0.00048938-0.00017844i,0.00010027-0.00081869i,-0.00026774-0.00036516i,-0.00032306-8.2594e-05i,-0.00023827-4.3019e-05i,-0.00084236-0.00038638i,-0.0011847-0.00012369i,-0.00057131+0.00077843i,-7.9915e-05+0.00087429i,0.00048579+0.00067365i,0.00038743+0.00039146i,-0.00041615-0.00040461i,-0.00067104-0.00057203i,-0.00074934+0.0002421i
-0.0018088-0.0017417i,-0.0026344-0.00016204i,-0.0032819+0.00033865i,-0.0031186+2.3114e-05i,-0.0032821-0.00048343i,-0.0030884-0.00041813i,-0.0015465+9.4292e-05i,0.00045781+0.00037572i,0.00078985-0.00011709i,0.00050673-0.00017496i,-0.00011984+0.00010705i,-0.00030242+0.00025174i,9.0433e-05-0.00015427i,-0.00054971-0.00040408i,-0.00082863-0.0005215i,-0.0010365-0.00019905i,-0.0014816+0.00048982i,-0.0010049-4.4963e-05i,-0.00064825-0.0006848i,0.00029461-4.3294e-05i,0.00055384+3.814e-06i,0.00012852-0.001029i,0.00050646-0.0012678i
0.0018109+0.0010323i,0.0028251+0.00048201i,0.0023003-0.00096984i,0.00053443-0.0027099i,-0.0011985-0.0037832i,-0.0033674-0.0030104i,-0.0039079-0.000613i,-0.0015079+0.00082336i,0.0012846+0.00024299i,0.0019475+0.00012078i,0.0010217+0.00066905i,0.00017211+0.00050646i,-7.2225e-05+0.0012613i,-0.00049419+0.0015794i,-0.00027621+0.00078595i,0.00034547+0.00027557i,0.0003343-0.00025063i,0.00046097+0.00010534i,0.00061851+2.5714e-06i,0.0010651-0.00049507i,0.0010502-0.00060924i,-0.00027114-0.0010037i,-0.00076912-0.0011852i
0.00040944-0.00062002i,0.0002017-0.0011309i,0.00022204-0.0011356i,-0.00037363-0.0018131i,-0.0014982-0.002574i,-0.0036074-0.0020853i,-0.0043207-0.0013921i,-0.0016852-0.00091851i,0.00036085-0.0011489i,0.00041528-0.001486i,-0.00016724-0.00086278i,-0.00013708+0.00062537i,0.00022937+0.0014218i,7.3243e-05+0.00092413i,-0.00025104+0.00030185i,-0.00012562+0.0011043i,0.00030655+0.0015319i,0.0010104+0.00081138i,0.0011106+0.00032326i,0.00046571+0.00018748i,-0.00013271+0.00019368i,-0.00018063+0.00069169i,-0.00019318+0.00076137i
2.3535e-05-0.00054872i,-0.0012527-0.00076429i,-0.0019663-0.0012069i,-0.0015961-0.0013845i,-0.0025944-0.0015862i,-0.0045793-0.0016928i,-0.0047044-0.00042228i,-0.0027126+0.00083264i,-0.00078795-3.049e-05i,0.00093342-0.0011243i,0.0019222-0.00092882i,0.0013531-0.00057542i,0.00014761+0.00025489i,-0.00096117+0.00064019i,-0.0014074-9.5687e-05i,-0.0013897+0.00029729i,-0.00095131+0.0010368i,-2.7914e-05+0.00086472i,0.00014225+0.00089325i,-0.00090802+0.00083332i,-0.00097091+5.7167e-05i,-0.00045341-0.00013164i,-0.0004038+0.00071166i
-8.189e-05-0.00062956i,-0.00085461-0.0007346i,-0.0013331-0.00089337i,-0.0015273-0.0011094i,-0.0015902-0.0013669i,-0.0030799-0.0014197i,-0.0041671-0.00058216i,-0.0022052+4.6755e-05i,0.00039368-0.00015618i,0.0014502-0.00047297i,0.0010566-0.00069053i,-5.0538e-05-0.00081002i,-0.00041849-0.0010315i,0.000139-0.00090876i,0.00061827-0.00031603i,0.00037598+0.00058894i,-5.7531e-05+0.00086225i,-0.0002011+0.0007452i,-0.0003082+0.0001812i,-0.00028135-0.00022589i,0.00040393-0.00015679i,0.00084519+0.00010404i,5.4537e-05+6.4188e-05i
-0.00023177-0.00022575i,-0.00035333-0.0014091i,-0.00095436-0.0026644i,-0.0016669-0.0027285i,-0.003102-0.0031479i,-0.0038982-0.0041514i,-0.0025902-0.0023333i,-0.00061689+0.00044705i,0.0013244-0.00010307i,0.0016696-0.00078815i,0.0011166-0.00017063i,0.0013697+0.00050969i,0.00093663+0.00039187i,0.00038285-0.00017181i,0.00020285-0.0004887i,6.0003e-05-0.0006786i,-0.00011697-0.00035955i,-3.2108e-05+0.0001605i,0.00046362+0.00081808i,-0.00016853+0.0011743i,-0.00057474+0.00060344i,-0.00015409+0.00012688i,-0.0006898+0.0004095i
0.00095595+0.00017631i,0.0016273+0.00063549i,0.0018492+0.00011938i,0.0010965-0.0015047i,-4.5302e-05-0.0032135i,-0.0018513-0.0031776i,-0.0028621-0.0012557i,-0.0015259+0.00036566i,0.00048557+0.00049271i,0.0010947-0.00031809i,0.00059183+3.5484e-05i,-0.00098047+0.00059641i,-0.0013937-0.00012107i,-0.0012036-0.00071611i,-0.0015824-0.0010859i,-0.0010158-0.00073619i,-0.0008844+0.00019537i,-0.0011969+0.00035999i,-0.00080706-0.00010499i,0.00011725-0.00031899i,0.00095821+0.00028266i,0.00064699+0.00095955i,-0.00024127+0.00074027i
0.00085638-0.0004216i,0.0017086-0.00083587i,0.00092633-0.002131i,-0.0011551-0.0030503i,-0.0024786-0.003358i,-0.0032937-0.003501i,-0.0037086-0.0011353i,-0.002101+0.00049536i,0.00035095-0.00019763i,0.0013711-0.00068292i,0.0015901-0.00077523i,0.0010225-0.00034856i,6.4014e-05-0.00017726i,2.1557e-05-0.00045021i,0.00018238-0.0007606i,0.00021439-0.00038031i,-0.00035443+0.00039715i,-0.0010708+0.0013872i,-0.00084968+0.0014797i,-0.0011605+0.001213i,-0.00091518+0.00068339i,0.00014919+0.00013534i,0.00025427+0.00039407i
8.9264e-05+0.00051289i,1.1755e-05-0.00027209i,0.0005614+0.00014901i,0.00046679+2.6326e-05i,-0.0010109-0.0017087i,-0.0030051-0.0025965i,-0.0034692-0.0018413i,-0.0022907-0.00068133i,-0.00056679-0.00024332i,0.00081134-5.5432e-05i,0.001102-6.3971e-05i,0.00094155-0.00016109i,0.00063124+0.00030242i,3.3162e-05+0.000352i,-0.00055482+0.00039901i,-0.00074167+0.00080343i,6.1524e-05+0.00074398i,0.0008614+0.00087968i,0.00073195+0.00027582i,0.00085027-0.0011689i,0.00084501-0.0017699i,0.00028224-0.00076384i,-0.00049374+0.00074912i
0.0011417+0.00099648i,0.0020003+0.001292i,0.0020188+0.0005518i,0.0008536-0.00070764i,-9.8633e-06-0.0020499i,-0.00070906-0.0035464i,0.00017307-0.0033199i,0.0027677-0.0039542i,0.0026473-0.0065851i,9.617e-05-0.0070412i,-0.0015289-0.0049661i,-0.0020456-0.0028371i,-0.0019792-0.0008984i,-0.0020379+0.00073479i,-0.0016404+0.0016228i,-0.00013876+0.0019867i,0.00071034+0.0013811i,-0.00038074+0.00080847i,-0.0015706+0.0010041i,-0.0016348+0.0007214i,-0.00087133-0.00023625i,-0.0004136-0.00011735i,-0.00067196+0.00037926i
0.00015367+0.00046066i,0.00060629+0.00068352i,-1.0826e-05+0.00096293i,-0.00074003-0.00066335i,-0.001124-0.0028531i,-0.0028951-0.0028437i,-0.0034709-0.0017132i,-0.0010059-0.0001812i,0.00062994-0.00058758i,0.00048491-0.00057512i,6.8904e-05-0.00042574i,-0.00048658-0.00062415i,-0.00085856-0.00028019i,-0.00045761+0.00021247i,0.00021101+0.0006644i,1.9881e-05-1.5222e-05i,0.00049241+8.3693e-05i,0.00044616+0.00074726i,-0.00015279+0.0011719i,-0.00012802+0.00072496i,0.00038998-0.00025897i,0.00049993-0.00042354i,-0.00017279-0.00012638i
-0.00066346-0.00064818i,-0.00085889-0.00093378i,-0.0015319-0.0001186i,-0.0016999-6.658e-05i,-0.0013013-0.0011864i,-0.001849-0.0022919i,-0.0025624-0.0013184i,-0.001498+0.00046232i,0.00014151+0.00066386i,0.0006679+0.00072157i,0.000587+0.00086691i,-0.00017706+0.00037164i,-0.00099457-0.00067235i,-0.0016315-0.0014801i,-0.0012707-0.0014837i,-0.00085497-0.001008i,-0.0011856-0.00048411i,-0.0011115+8.647e-05i,-0.0009472+0.0003401i,-0.00072549+0.00043067i,-0.00072744+0.00026987i,4.6147e-06-2.2893e-05i,0.0008417-0.00052954i
0.00010912-0.00027468i,-0.00038028-0.00042489i,-0.00043517-0.00086533i,-0.0013103-0.0017054i,-0.0027335-0.0029954i,-0.0032961-0.0033171i,-0.0025716-0.0016621i,-0.0010268-0.00010671i,6.5061e-05-6.9961e-05i,0.00066332-0.00054216i,0.000428-0.00040345i,0.0002237+0.0001775i,0.0001441+0.00078591i,-0.00044113+0.00040458i,-0.00099568+3.5585e-05i,-0.0010579+6.288e-05i,-4.116e-05+0.00074575i,0.00058406+0.001283i,2.5777e-05+0.0012825i,-0.00033001+0.0014826i,-0.00049225+0.00031275i,9.589e-05-0.0006007i,0.00077057+0.00013314i
0.00027825+0.00062583i,0.000342-0.00036368i,0.00014295-0.00054424i,-0.00017593-0.0012291i,-0.0013346-0.0022236i,-0.0027394-0.0023284i,-0.0029081-0.0009966i,-0.00072587+0.00045058i,0.0014876+0.00067913i,0.001886-0.00023918i,0.0012164-0.00048164i,7.4814e-05-7.3763e-05i,-0.00065716-4.5261e-05i,-0.00081805+0.00024367i,-0.00082273+0.00023884i,-0.0007691+0.00069298i,-0.00013018+0.00087137i,7.4743e-05+5.8459e-05i,5.1174e-06-5.7561e-05i,-0.00045172+0.00026539i,-0.0011407+0.00018919i,-0.00082408-9.8691e-05i,-0.00015517-7.7149e-05i
-0.00082912+0.00091559i,-0.00022188+0.00051009i,0.0011595+0.00073041i,0.0013511+0.00094888i,-0.00083034-0.001623i,-0.0025837-0.003377i,-0.0020637-0.0013253i,-0.00013264+0.00039799i,0.0012272+0.000214i,0.0016504-0.00040424i,0.0014019-0.00046917i,0.00025517-0.00036529i,-0.00054045-7.2144e-05i,-0.0013838-8.3042e-05i,-0.0012747-0.00016892i,-0.00038066+0.00065176i,0.00011624+0.0010674i,0.00032698+0.0011258i,0.00013897+0.00084588i,-0.00013961+0.00038257i,-0.0001864-0.0004696i,-0.00064848-0.00085881i,-0.00048108-0.00075028i
0.00095782-0.0018614i,0.00024413-0.001227i,-0.00045044-0.00066043i,-0.00045958-0.0010896i,-0.00064867-0.0026328i,-0.0018563-0.0031556i,-0.0020899-0.0010385i,-0.00076138-0.00026761i,0.00031985-0.00078747i,0.00090248-0.00094493i,0.0011811-0.00031225i,0.0008436+0.00012292i,0.00058881-0.00012009i,0.00080685-1.8822e-05i,9.5802e-05-1.5303e-06i,-0.00060226-0.00017475i,-0.00048604+0.00046314i,5.8886e-05+0.0013578i,0.00033673+0.0013115i,0.000488+0.00076302i,0.0003092+0.00024627i,0.00052497-0.00069647i,0.00029927-0.00063022i
0.0006193+8.4249e-05i,0.0010474-0.00068094i,0.00096272-0.00087362i,0.00047895-0.002185i,-0.0001547-0.0036707i,-0.0015531-0.0025309i,-0.0026558-0.00054029i,-0.0012848+1.6073e-05i,0.00061987-0.00019919i,0.0010569-0.00066557i,0.00047209-0.00066704i,-0.00065196-7.4623e-05i,-0.00071816-0.00020422i,-0.00039966-0.00027545i,-0.0010783+7.4558e-05i,-0.0011509+0.00035312i,-0.00051732-0.00046081i,-0.00026538-0.00098031i,-1.9629e-05-0.00036108i,0.00077439+0.00023003i,0.0010974+0.00039842i,0.00051321+3.3038e-05i,0.00033391-0.00026847i
-0.0011527+5.1919e-05i,5.2266e-05+0.00014072i,0.00033878-0.00027804i,-9.8669e-05-0.0022825i,-0.00038666-0.0040131i,-0.0012173-0.0040174i,-0.0019057-0.0023857i,-0.0009947-0.00059498i,0.00047666-0.0002864i,0.00046945-0.00020469i,0.00021262+0.00011234i,-0.00025912+0.0004063i,-0.00093376+0.0008544i,-0.00073792+0.00045458i,-0.0010203-2.0491e-05i,-0.0011882-5.6423e-05i,-0.0010689+0.00012651i,-0.00036504+0.00045635i,-1.115e-05+0.0001601i,0.00022633-0.00083525i,0.00057326-0.001482i,-0.00013594-0.00065323i,-0.00039252-0.00032195i
-3.9385e-05-0.00026271i,0.00072605-0.00019615i,0.00099407-0.00080494i,0.000506-0.0014578i,-0.00085146-0.002564i,-0.0020693-0.0029261i,-0.0022466-0.00064859i,-0.0013966+0.00034676i,0.0002458-0.0004898i,0.00085884-4.7252e-05i,0.00027761+0.00063114i,-0.0001053+0.00067219i,-0.00040404+0.00078695i,-0.00070733+0.001112i,-0.00059797+0.00034848i,-0.00063021-0.00035883i,-0.00041894+0.00013675i,0.00023454+0.00062493i,0.00028326+0.00043923i,-5.6644e-05-0.00031535i,3.6926e-05-0.00035241i,0.00031228+0.00056916i,0.00035235+0.00039464i
-0.00036423-3.8998e-05i,-0.0012688+0.00092406i,-0.0022274+0.0013686i,-0.0022633+0.00080363i,-0.0033879-0.00084098i,-0.0047223-0.0021392i,-0.0035505-0.00093302i,-0.00071083+0.00051873i,0.00071696-0.00013716i,0.00081422-0.0010395i,0.00035052-0.00076216i,-0.00017118-0.00017895i,-0.00010509-0.00022986i,-0.00021124-0.00056212i,-0.00041631+8.9206e-05i,7.6758e-05+0.00020013i,-1.8684e-05-0.00049088i,-5.571e-05-0.00036361i,0.00029229-1.8778e-05i,6.3583e-05+0.00032657i,-9.3052e-05+0.00073723i,-3.1115e-06+0.00034371i,2.0199e-05-0.00060912i
0.0014247+1.144e-05i,0.0013017-0.00038327i,0.00016783-0.0014339i,-0.0008392-0.0029622i,-0.0012283-0.0040437i,-0.0022313-0.0042131i,-0.0026476-0.0023942i,-0.0013097-0.00045963i,0.00047099-0.00060478i,0.00098681-0.00051619i,0.00056243+1.0215e-05i,0.00040235-0.00022967i,0.00027916-0.0001925i,0.00016524+2.3342e-05i,-6.2533e-05+0.0002962i,-0.00013348+0.0010118i,-6.4142e-05+0.00068133i,-0.00038891+0.00010938i,-0.00029198+0.00043034i,0.00032533+0.00079446i,0.00063881+0.00021012i,0.00064522-0.00017059i,0.00031924+0.00039144i
-0.00024424-0.0014103i,-0.00037724-0.0018057i,-0.0017014-0.0017708i,-0.0029016-0.00097007i,-0.0030609-0.0013814i,-0.0032856-0.0014613i,-0.0022775-0.00013326i,0.00034698+0.00066748i,0.0013547+0.00028023i,0.00069402-0.00087699i,1.3944e-05-0.0013142i,-0.00047113+4.6794e-05i,-0.0008565+0.0011142i,-0.00030431+0.0011362i,0.00025886+0.00073533i,0.00019094+1.289e-05i,0.00038148-7.5708e-05i,0.00079791+0.00017652i,0.0001478+0.00069864i,-0.00050474+0.00061491i,5.7176e-05+0.00016799i,0.00035818-5.4751e-05i,0.00034952-0.0002444i
-0.0013768-0.0014747i,-0.0017652-0.0022523i,-0.0012716-0.002782i,-0.0015399-0.0032007i,-0.0024381-0.0034859i,-0.0033513-0.0035051i,-0.0028733-0.0022405i,-0.0013918-0.0014172i,5.7965e-05-0.0017418i,0.0008436-0.0010564i,0.00020117-0.00029074i,-0.00099759-0.00039014i,-0.001146-0.00044237i,-0.0007027-0.00027135i,-0.00031465-0.00060274i,-0.00023039-0.0005545i,-0.00034865-0.00035914i,-4.74e-05-0.00010162i,0.00063861+7.3902e-05i,0.00091055-0.00015045i,0.00016356-0.00026025i,-0.00063557+0.000113i,-0.00036371+0.0003894i
-0.00058287-0.00083738i,-0.0012894+0.00054373i,-0.0022861+0.0016888i,-0.0028761+0.00082296i,-0.0033682-0.0011596i,-0.00345-0.0020365i,-0.0024346-0.0012028i,-0.00096198+0.00011732i,0.00040144-0.00067577i,0.00074197-0.0018627i,0.00016269-0.0016599i,0.00027785-0.00042531i,0.00015651+0.00049581i,-8.6524e-05-8.8751e-05i,-0.00040769-0.0010828i,-0.0011404-0.0012364i,-0.0010548-0.00083915i,-0.00059253-0.00010247i,-0.00034869+0.00022459i,-0.00038434+0.00017826i,-0.00025734+0.00035065i,-0.00018896+0.0008395i,-0.00049479+0.00052452i
