0.00079959-0.00061647i,0.00083525-0.0016232i,-0.00063895-0.002672i,-0.0017827-0.0016318i,-0.0022169-0.00026431i,-0.0023592+0.00073116i,-0.00074828+0.0011207i,0.00063844+0.00090968i,0.00078988+0.00051082i,0.0010696-0.00089482i,0.0013471-0.0012313i,0.0011057+6.6646e-05i,2.8869e-05+1.1077e-05i,-0.00040918-0.00050546i,4.424e-05-0.00047286i,0.00037035-0.00047388i,-3.6854e-06-0.00068483i,-0.00030141-0.0010338i,0.00032869-0.00099486i,0.00015087-0.00066326i,-0.00014763-0.00095695i,7.1287e-05-0.0010113i,-0.00025395-0.00013304i
0.00015389-0.0020587i,0.0015957-0.001555i,0.0017745-0.00098215i,0.00076798-0.00051723i,0.00091951-0.00029232i,0.0018965+7.8175e-05i,0.0016245-0.0012523i,0.00031759-0.0022073i,5.0699e-05-0.0011501i,9.6325e-05-0.0005534i,-1.6851e-05-0.0003548i,-0.0004714-0.00027128i,-0.00082548-0.0001132i,-0.0011815-0.0002641i,-0.0011893-0.00078157i,-0.00032347-0.0004463i,6.824e-05+6.981e-05i,-0.00063323+0.00012501i,-0.0011509+0.00038409i,-0.00072478+0.00065935i,-0.000425+0.00065501i,-6.7588e-05+0.00041151i,6.9904e-05-0.00019739i
-0.0008911+0.00092415i,-0.00081749+0.00047374i,0.00013256+0.00077799i,0.0011798+0.00044622i,0.0011224-8.0614e-05i,7.5646e-05-0.00029568i,-0.0003053-0.00026702i,-0.00045866-0.00073149i,-0.00070855-0.00084159i,-0.0012581-0.00010924i,-0.00068147+0.00081632i,0.00021916+0.00056041i,0.00048324-0.00029203i,0.000994-0.00031825i,0.00072516-0.00034512i,0.00028755-0.00041781i,0.00077766+0.00034134i,0.00034161+0.00088254i,-0.00045452+0.00047934i,-2.0638e-05-0.00024691i,0.0002496-0.00074587i,0.00024269-0.00081622i,0.00013347+0.00029451i
0.0018958+6.6658e-05i,0.0030744-0.0010946i,0.0030735-0.0010349i,0.0019213-0.0013021i,0.00063781-0.0011934i,-6.7317e-05-0.00075601i,0.00040666-0.00077322i,0.00047337-0.00028701i,0.00058856-4.9474e-05i,0.00030448+3.3034e-06i,-0.00030367-0.0004509i,-0.00050497-0.00061005i,-0.0010871-0.00021328i,-0.00070185-0.0004349i,0.00037655-0.00027851i,0.00010425-0.00013739i,-0.00014129-0.00043836i,0.00039603-0.00044701i,0.00037809+3.5525e-05i,0.0007994-0.00012781i,0.00088483-0.00022263i,-0.00068347-0.00024243i,-0.0010252-0.0003046i
-0.0016743+0.0020067i,-0.0013292+0.0031594i,0.00037675+0.0030285i,0.0016896+0.0010996i,0.0025575+2.4757e-05i,0.0026712-0.00010746i,0.0014222-0.00087314i,0.0001677-0.0012048i,-0.00052649-0.00050496i,-0.00025314+0.0002156i,0.00047189-3.3209e-05i,0.00017776-0.00049757i,-0.00027134-0.00053832i,-0.0010814+0.00012144i,-0.0016823+0.0002473i,-0.00085001-0.0007452i,0.00035897-0.00055369i,0.00096372+0.00093404i,0.00086888+0.0016175i,0.00034778+0.00084797i,0.00014782+0.00028586i,0.00036716-0.00019456i,2.024e-05-0.00011138i
0.0025971-1.5847e-05i,0.0032112-0.00049664i,0.0021493-0.00053552i,0.00042617-0.00079956i,0.00017014-0.0015721i,0.00048672-0.00059886i,4.7264e-05+0.00021279i,-0.00076564-7.1481e-05i,-0.0010953-0.00061854i,-0.0012022-0.00092076i,-0.0010255-0.00051163i,-0.00026552+0.000397i,-0.00023324+0.00084785i,-0.00011692+0.00068257i,0.00030028+0.00065473i,9.5861e-05+0.00087592i,-0.0002948+0.00029059i,5.7039e-05-0.0002181i,-6.9302e-05-0.00059137i,-0.00060994-0.00013128i,-0.00038115+0.00068077i,8.661e-05+0.00061042i,6.8402e-05+0.00080183i
-0.0031188-0.00092744i,-0.0020946+0.00042727i,-0.0004849+0.00066385i,0.00049397+0.00094813i,0.00070268+0.0017025i,0.001389+0.0011448i,0.001397-0.00086286i,0.0012878-0.0017334i,0.001189-0.0011256i,0.00037813-0.0001525i,0.0002314+0.00025746i,0.00029944+0.0005802i,0.00036351+0.00060782i,-0.00033611+0.00042417i,-0.0011408-6.0408e-06i,-0.00029201-1.2893e-05i,-0.00034359+0.00048258i,-0.0014141+1.8965e-05i,-0.00097137+2.4723e-06i,0.00016224+0.00030876i,0.00041442+0.000217i,0.00058844+0.00079141i,0.00056229+0.0009847i
0.001828+0.0012793i,0.0015066+0.00084572i,0.0015632-0.0003076i,0.00176-0.00079798i,0.0013461-0.00033753i,0.00056098-0.00061646i,0.00016696-0.0010241i,0.00045033-0.00092458i,0.001083-0.00022231i,0.00016803+0.00058303i,-0.00025831+6.1899e-05i,0.00076406-0.00067565i,0.0010352-0.00026543i,0.00013016+0.00051169i,-0.00092957-0.00024889i,-0.0011371-0.00069354i,0.00023469+0.00011946i,0.00095769+0.00031326i,0.00090285+0.00049457i,0.00073583+0.00089728i,0.00016231+0.00065946i,-0.00083966-0.00034721i,-0.00051226-0.0008373i
-0.0030738-0.001423i,-0.0032386-9.1078e-05i,-0.0028606+0.001406i,-0.0011069+0.0017658i,0.00040957+0.0013054i,0.0010591+0.00022594i,0.0013509-0.00096488i,0.0003066-0.0010467i,-0.00080691-0.00050983i,-0.00078747-0.0003193i,-0.00068641+0.00011455i,0.00020938+0.00068662i,0.00027984+8.7724e-05i,-0.0002012-0.0003542i,-0.00013887-7.664e-05i,0.00025087-0.00020369i,0.00044704-0.00078214i,0.00010309-0.00045824i,-0.00021275+0.00013129i,-0.00036596-0.00016274i,-0.00085193-0.00080835i,-0.00059379-0.00057868i,9.1751e-05+0.00017376i
-0.00068075+0.0034051i,6.2608e-05+0.0022216i,0.0015685+0.001153i,0.0020879+0.00054358i,0.0015131-0.0007363i,0.00081256-0.0017566i,-0.0001793-0.0018893i,-0.00018449-0.001667i,6.1893e-05-0.0010755i,4.4054e-05-0.0004679i,6.4341e-05-6.1146e-05i,-1.185e-05+0.00022376i,-4.1118e-05+0.0004493i,-0.0002171+0.00055775i,-0.00029805+0.00070729i,-0.00053554+0.0008904i,-0.00083077+0.00092968i,-0.00057852-3.2108e-05i,2.3536e-05-0.00098186i,0.00017852-0.00026721i,0.00025312+0.00055033i,-0.00036768+0.001352i,-0.0011327+0.0010188i
-0.00098866-0.0010963i,-0.00063773-0.00095976i,-0.0010852-0.00048507i,-0.0013321+1.1203e-05i,-0.0015875-1.1885e-05i,-0.00080948-0.00027744i,0.00040513-0.00090089i,0.00071769-0.001209i,0.00045542-0.00073904i,-0.00024525-0.00045374i,-0.00097882-0.00028484i,-0.00051232-0.00033945i,0.00027925-0.00054965i,0.00046057-0.00037104i,0.00079642-0.00039905i,0.00038247-0.00047969i,0.00016932-0.00020877i,0.00029108-2.9547e-05i,3.4573e-05-0.00029311i,0.00024233-3.9153e-05i,0.000949+0.00021936i,0.0011657-0.00074537i,0.00088931-0.00088947i
