-0.0025594+0.0011529i,-0.0015497+0.00074462i,-0.0008674+0.00076592i,-6.5782e-05+0.00063404i,0.00023502+9.6154e-05i,0.00075553-0.00040857i,0.00051731-0.00013691i,0.00034379+0.00043408i,0.00064809+0.000739i,0.00060284+0.00044961i,0.00049158-0.00051103i,-8.1035e-05-0.00080315i,5.0318e-05-2.7991e-05i,0.00042011-0.00033408i,-0.00011251-0.00074036i,4.726e-05-0.00028427i,0.00030026+0.00014735i,0.00021614-0.00014208i,0.00064703-0.00018099i,0.0010013+0.00067794i,0.0010518+0.00074024i,0.000391-0.00017566i,0.00010052-0.00074322i
0.0012237+0.00081324i,0.0010574-0.00068949i,0.00042136-0.0018468i,-0.00037008-0.0029775i,-0.00016236-0.0034077i,-0.00089345-0.0028316i,-0.0011699-0.0016051i,-0.00080197-0.00077247i,-0.00054902-0.00051688i,1.7019e-06-0.00081241i,-8.1831e-05-0.00070481i,-0.00071741-7.9684e-05i,-0.00056672-0.00062374i,-0.00042205-0.0007694i,-0.0004386-0.00032269i,-0.00070569-0.00039812i,-0.0010265-0.00023002i,-0.0012849+0.00021918i,-0.00077716-0.00056131i,0.00050755-0.000519i,0.00066007+1.6424e-05i,-0.00032641-0.00038701i,-0.00060289-0.0004895i
-0.0014955-3.4947e-05i,-0.0010882+0.00075926i,0.00063737+0.0013532i,0.0012986+0.0009644i,0.0015734+0.00026509i,0.0013686+0.00066861i,0.00096842+0.00098499i,0.0012666+0.00042316i,0.00073499+0.00013912i,-7.1551e-05+0.00027878i,-9.1006e-05+0.00045536i,-0.00042376+0.00085383i,-0.00014733+0.0012437i,0.00028363+0.00066671i,0.00011595-0.00052425i,-0.00019043-0.00071161i,-0.00027985-0.00060243i,-0.00038732-0.00063857i,-0.00048655-0.00045174i,-0.00012079-1.6758e-05i,-9.8627e-05+5.3045e-05i,-9.5919e-05-0.00036074i,0.00020072-0.00019595i
0.00089212+0.00012034i,-4.3136e-05-0.00012691i,3.9847e-05-0.0019179i,0.00065541-0.0037588i,0.00018277-0.0036544i,-0.00010281-0.0020923i,0.00049996-0.001343i,0.00047776-0.00098193i,-0.00087623-0.00013677i,-0.0014474+0.00022827i,-0.00045246+0.00080187i,-0.00042393+0.0011724i,-0.00024632+0.00052322i,3.9276e-06+0.00086943i,-0.00030117+0.0015789i,-0.00062991+0.0015843i,-0.0012271+0.0016722i,-0.00089892+0.0015209i,-0.0011755+0.00053057i,-0.0012297-0.0001239i,-0.00093547-0.0004809i,-0.0012201-0.0002031i,-0.0010642+5.0746e-05i
-0.0014756+0.00034826i,-0.0016219+0.00090196i,-0.0010064+0.0012994i,0.00058683+0.00061842i,0.0012702-0.00071573i,0.00032808-0.001409i,-0.00087034-0.0018083i,-0.0013519-0.0013553i,-0.00097427+0.00032136i,-9.2694e-05+0.0014568i,-4.1233e-05+0.00036329i,9.6371e-06-0.00049971i,0.00045613-0.00024816i,-6.6336e-05-0.00025578i,-0.00023092+1.2677e-05i,0.00058547+0.00034829i,0.00038334+0.0001164i,0.00023264+0.00029642i,0.00036211+0.00072902i,0.00022725+0.00028523i,-0.00016264-9.5005e-05i,-0.00014229-0.00035477i,5.4164e-05-0.00023171i
-0.0013687+0.0014527i,-0.00026667+0.0015935i,-0.00054488+0.00096822i,-0.00096028-0.0006109i,-0.00066688-0.0014951i,-0.00050285-0.0020631i,-0.0010334-0.0011603i,-0.0016151+0.00025642i,-0.00018395+0.00073433i,0.00073959+0.001045i,0.00059977+0.00061099i,3.2618e-05-0.00026506i,-0.00017572-0.00073654i,-0.0002414-0.00055902i,0.000312-3.1207e-05i,0.00063402+0.00056198i,0.00030521+0.00052263i,-2.3084e-05-0.00022112i,-4.4334e-05-0.00044513i,0.00047839-0.00026961i,0.00060076-0.00032709i,0.00033113-0.0002413i,-0.00021617+0.00040753i
-0.00012394+5.058e-05i,0.00069173+8.0821e-05i,0.0015442+0.00052329i,0.0016464-6.9531e-05i,0.0013037-0.00074656i,0.00033445-8.6097e-05i,9.5469e-05+0.00057096i,2.0722e-05+0.00042299i,0.00025754+0.00026802i,0.0010363+4.7429e-05i,0.0016654-0.00031297i,0.001548-0.00036883i,0.00097099-0.00029847i,0.00096868-0.00045807i,0.00045932-0.0014295i,0.00049706-0.0013265i,0.00089394-0.00068843i,0.00076366-0.00087895i,5.7924e-06-0.00094664i,-0.00018008-0.00085586i,0.00033813-0.00089552i,0.00018565-0.0011428i,-0.00011131-0.00063817i
0.00011321+0.00065407i,0.0010195-0.0006282i,0.00090098-0.0012105i,-0.00021261-0.002153i,-5.0064e-05-0.0031404i,0.00081216-0.0017418i,0.00076549+0.00069908i,0.00013347+0.00069325i,-0.00076557-0.00075515i,-0.00064165-0.00092201i,-0.00059656+0.00041748i,-0.0011078+0.00047533i,-0.00092395+0.00017602i,-0.00083876+8.7306e-05i,-0.00054003+0.00015036i,-6.781e-05+0.00016049i,-5.1868e-05+0.00049361i,-0.00026293+0.00098933i,-0.000143+0.0010551i,-0.00031165+0.00027487i,-0.00045538+0.0001627i,2.1615e-05+0.00035836i,0.00018482+0.00015306i
-0.0027206+0.00024349i,-0.0014555+0.00051065i,0.00074546+0.00025177i,0.0022336-0.00038106i,0.0034868-0.00059407i,0.0034346-0.00017478i,0.0020913-0.00067487i,0.0014876-0.00076414i,0.00048845+9.4338e-05i,-0.00045439-3.6665e-05i,-0.0013754-0.0003929i,-0.00148+8.9279e-05i,-0.00067514+0.00054208i,0.00034727+0.00064393i,0.00026045+0.00079202i,-0.00091001+0.00036324i,-0.0010021+0.00010137i,-0.0008026+0.00020161i,-0.0010078-0.00037646i,-0.00053342-0.00093308i,-5.835e-05-0.0010399i,-8.7124e-05-0.00098984i,-2.4933e-05-0.00066365i
-0.00040909+0.0020199i,-0.00026554+0.0015041i,4.7687e-07+0.00057992i,0.0014463-0.0013109i,0.0020516-0.0026477i,0.0014112-0.0028593i,0.00038739-0.0026782i,-2.1293e-05-0.0026345i,-0.00026058-0.0020779i,-0.00097215-0.00084717i,-0.0015824+0.00057031i,-0.0013916+0.00098105i,-0.00067086+0.00022355i,-0.00042046-0.00040911i,0.00013831-0.0002195i,0.00095783+0.00057348i,0.0013409+0.0011057i,0.0014798+0.0015151i,0.0013593+0.0013378i,0.00075178+4.5147e-05i,0.00045275-0.00072416i,0.00025418-0.00074836i,-0.00054973-0.00072508i
0.0026938-0.002403i,0.0018936-0.0026686i,0.0022404-0.003281i,0.0021113-0.0041623i,0.0012822-0.0038997i,0.0002716-0.0030646i,-6.45e-05-0.0021865i,5.4621e-05-0.0013475i,0.0003334-0.00024856i,0.00047601+0.0011067i,0.00023669+0.001249i,0.00047357+0.00068608i,0.00040646+0.00049126i,0.00055566+0.00035659i,0.00097693+0.00060672i,0.00015971+0.0005583i,-0.00038766+0.00045797i,5.9519e-05+0.00062256i,0.00042636+0.00028669i,3.9071e-06-0.00013585i,-8.768e-05+0.00016332i,-0.00079236+0.0003308i,-0.00094677+0.00026511i
0.00042823-0.0015216i,-0.0010771-0.00091456i,-0.0034709-0.00069591i,-0.0035426-0.0016337i,-0.0030683-0.00085489i,-0.0034255+0.00044154i,-0.0021563+0.0010433i,-0.00032532+0.00063854i,-0.00017338+0.00050139i,-0.00013828+0.0010041i,0.00040882+0.0011468i,0.00023749+0.0012113i,-0.00014878+0.00046633i,-0.00037584-0.00090811i,0.00019914-0.0013114i,0.00082274-0.0010248i,0.00039538-0.0010871i,0.00050421-0.00067531i,0.00067344-0.0002812i,-0.00025289-0.00024321i,-0.00049566-0.00049438i,-0.0003124-0.00032062i,-0.00015246+0.00060482i
0.00015846-0.0010777i,-8.3783e-05-0.0014935i,9.2769e-05-0.0020779i,5.3775e-05-0.0017506i,0.00060937-0.0014099i,0.0011459-0.0014281i,0.00040505-0.0013088i,-3.9382e-05-0.0015847i,-7.1138e-07-0.00091241i,0.00038359+0.00018656i,0.0013095+0.00014982i,0.0013656-0.00032112i,0.0011053-0.00020237i,0.00042883+0.00032111i,4.5291e-05-0.00021802i,-0.00039493-0.00050637i,-0.0014428+1.3216e-05i,-0.0011714+0.00011561i,0.00021493-0.0001203i,0.00029548-0.00010065i,0.00041011+0.00034573i,0.00012525+0.00061035i,-0.00092469+8.5709e-05i
5.3983e-05+0.0010212i,0.00073235+0.00049009i,0.0016967-0.00029806i,0.0025893-0.0018396i,0.0027566-0.0022465i,0.0017706-0.00040136i,8.8213e-06+0.00065483i,-0.0011115+0.00076704i,-0.00086571+0.00093607i,0.00082893+0.00093947i,0.0018023+0.00040757i,0.00079011+0.00017701i,-0.00011586+0.00039613i,0.00010452+0.00023261i,3.5333e-05-0.00061622i,-0.0006283-0.00092808i,-0.00041304-0.00039334i,-0.00047625+0.00044927i,-0.00048807+0.00043141i,-0.0003818-0.00075101i,-0.00035708-0.001461i,0.00011458-0.0014175i,0.00070324-0.0012405i
-0.0012219-0.002263i,-0.0013435-0.0010344i,-0.0010523-0.00081143i,-0.00059627-0.0013184i,0.0003771-0.0016201i,0.00099988-0.0018838i,0.00060768-0.0010019i,5.7993e-05-0.00011407i,-0.00057482+0.00038456i,-0.0014097+0.00036954i,-0.0012704-9.0487e-05i,-0.00072285+9.5966e-05i,0.00025612-0.00016405i,0.0012341-0.0004625i,0.00096141+0.00046494i,-0.00036402+0.0014774i,-0.0013335+0.00156i,-0.0012222+0.0015955i,-0.0010094+0.0013154i,-0.00081259+0.00056272i,-0.00058806+0.0006884i,0.00013046+0.00059422i,0.00011077+0.00034163i
0.0010677+0.0010786i,0.001194+0.0020509i,0.0021027+0.0020573i,0.0032595+0.00078628i,0.0037942-0.00069864i,0.0027722-0.0012772i,0.0016624-0.0002365i,0.0014101+0.00081578i,0.0003391+0.00051501i,-0.00058317+5.5331e-06i,-0.0012181-0.0001195i,-0.0013609+0.00016846i,-0.0007822+7.1198e-05i,0.0002294+0.00032343i,0.00065191+0.00081352i,0.00049519+0.00032663i,0.0010465-0.0005531i,0.0011277-0.00059181i,0.00034157+0.00029004i,-0.00034602+0.00059773i,-0.00051442-8.2553e-06i,-0.00023784-0.00058283i,-0.00052974-0.0005285i
-0.00075173+0.0026101i,0.00063544+0.0017015i,0.00063291+0.0010071i,-0.0004285-0.00063987i,-0.00084509-0.002008i,-0.00069501-0.002948i,-1.7095e-05-0.0017113i,0.00062329-0.00053583i,4.4266e-05-8.88e-05i,-0.000248+0.00097879i,5.9468e-05+0.00092783i,0.00016939+0.0007116i,0.0001585+5.3452e-05i,0.00049107-0.00068082i,0.0006125-0.00068341i,0.00039903+0.00039974i,0.00044434+0.00078705i,0.00064441+0.00069594i,0.00085598+0.00091775i,0.00045432+0.00066548i,-4.6743e-05+0.00011079i,-0.00029087-3.4369e-05i,-8.8305e-05-0.00043723i
-0.0007254+0.00092076i,-4.9377e-05+0.0020824i,0.0015932+0.0026454i,0.0023085+0.0026826i,0.0027365+0.0013331i,0.0025094-0.00078063i,0.0025066-0.0018344i,0.0023857-0.0016455i,0.0011237-0.00062658i,0.00045035+0.00012566i,0.0012312-2.4216e-05i,0.00095412+8.9041e-05i,0.00023626-7.1652e-05i,-8.8549e-05-0.00065875i,-0.00058805-0.0011641i,-0.0003443-0.0016838i,-0.00047986-0.0015045i,-6.2495e-05-0.00085552i,0.00093466-0.00066081i,0.00086797-0.00084967i,0.00063342-0.00056768i,0.00016471+0.0001554i,-0.00038275-0.00054421i
-0.00040842-0.0016656i,-0.00025661-0.0024949i,-0.00054667-0.003284i,-0.00083273-0.0033904i,-0.0014955-0.0026471i,-0.0017983-0.0011993i,-0.0015877-0.0012755i,-0.0020399-0.0023458i,-0.0019975-0.0018196i,-0.00048481-0.0002992i,0.00033073+0.00011799i,0.0003235+2.0273e-05i,0.00011843-0.00010781i,-9.0996e-06-0.00051823i,0.00041543-0.0002859i,0.00043956+5.7641e-05i,0.00011113-4.3568e-05i,0.00051807+0.00018394i,0.0007163-2.4661e-06i,0.00055351-0.00024229i,0.00017073-8.1027e-05i,-1.7726e-05+0.00013639i,-1.388e-05+0.00059147i
0.0018885+0.00030651i,0.0022382+0.001499i,0.0024579+0.00094848i,0.0025138-0.00064947i,0.0020002-0.0022976i,0.00034441-0.0020102i,-0.0013194-0.00061213i,-0.0021708-0.0001646i,-0.0014465-0.0003183i,-0.00047081-0.00048299i,-0.00040968-0.00027486i,-0.00026141-0.00025659i,0.00022697+0.00031665i,0.00024224+0.0010692i,-0.00087963+0.00085579i,-0.0011839+4.0741e-05i,-0.00056717-0.00058318i,-0.00013668-0.00090811i,0.00018881-0.00099028i,0.00010145-0.00077846i,-0.00021816-0.001033i,-0.0010909-0.0008183i,-0.0012651-0.00022483i
-0.0017759-0.00081655i,-0.0012268-0.00012922i,-7.7935e-05+0.00031439i,0.0009914-0.0012638i,0.0017585-0.002233i,0.0010614-0.00021367i,-0.00054938+0.0021465i,-0.0008239+0.0025643i,-0.00070339+0.0022453i,-0.00094445+0.0015686i,-0.0013747+0.00025239i,-0.00081787-0.00041163i,0.000188-0.00012535i,0.00052443+0.00083834i,0.00020337+0.00071141i,-0.00012643+0.00028231i,0.00032479+0.00065751i,0.00079175+0.00080689i,0.00047427+0.00038609i,-0.00056631+0.00046183i,-0.00046287+0.00041191i,0.00033283+7.4256e-05i,0.0004169+4.7471e-05i
-9.2582e-07+0.0010833i,0.00049669+0.0015178i,0.0016962+0.00088054i,0.0029204-0.00024009i,0.0022651-0.0021545i,-1.6013e-05-0.0024885i,-0.00052775-0.00069744i,0.00065073+0.00087209i,0.00066615+0.0015365i,0.00021596+0.00086432i,-1.4874e-05+0.00015053i,-0.00097104+0.00055142i,-0.0012812+0.00071842i,-0.00060934+0.00098048i,0.00044241+0.00091693i,0.0014355+0.00045123i,0.00072239+0.0012481i,-0.00045486+0.0015078i,-0.00038465+0.00071499i,-0.00089495-0.00016523i,-0.0017686-9.3021e-05i,-0.0014551+0.00024904i,-0.0011746-0.00011863i
-0.0010962+0.001617i,0.00065006+0.0015524i,0.0018086+0.0020885i,0.0018833+0.00078243i,0.0024945-0.00070238i,0.0028689-0.00060905i,0.0026398-0.00040181i,0.0026614-9.0944e-05i,0.00285+0.00071621i,0.002105+0.00047433i,0.001345+7.3109e-05i,0.0009464+0.0003887i,0.00070012+0.00048387i,0.0002597+0.00033907i,0.00097186-0.0011176i,0.0018151-0.0022714i,0.0010366-0.0015861i,0.00048807-0.00027716i,0.00073777+0.00053569i,0.00071947+0.001236i,0.0004615+0.00076364i,0.00043213-0.00024793i,0.00047032+8.1833e-05i
0.00074681+0.0011891i,0.0011359+0.00062275i,0.001561-0.0012023i,0.0012191-0.003787i,-2.3215e-05-0.0053164i,0.00020982-0.0045772i,0.00058834-0.0027903i,-0.00037472-0.0021434i,-0.00077287-0.0018517i,-0.00039597-0.0013089i,0.00020252-0.00049914i,0.00057672+2.4889e-05i,0.00051628-0.00042978i,0.00032366-0.00031552i,-5.3971e-05+0.0011935i,-0.00040071+0.0014604i,-0.0007942+0.0013711i,-0.0014127+0.00099711i,-0.00084949+0.0001975i,-0.00043968+0.00043037i,-0.00061135+0.00035163i,-4.844e-05+0.00023048i,0.00030479-0.00066235i
0.0027694+0.00058275i,0.0032366-0.0010962i,0.0035425-0.0012683i,0.0023849-0.0010467i,0.00072988-0.0016981i,0.00010708-0.0030755i,0.0003358-0.0031502i,0.00010772-0.0029519i,-0.00096489-0.0026502i,-0.0017055-0.0022099i,-0.001069-0.0010807i,0.0001904-0.00032148i,-0.00027829-0.00065651i,-0.00075782-0.00048872i,-0.00033828-0.00014967i,0.00034556-0.00073541i,-0.00012061-0.0010233i,-0.00055992-0.00047099i,0.00024886-0.00031223i,0.00053092-0.00056561i,0.00035015-0.0001473i,-0.00020016-0.00015695i,-0.0007731-0.0009616i
0.0028451-0.0013128i,0.00051615-0.0016975i,-0.00040811-0.0030968i,7.9517e-05-0.0039628i,-2.2693e-05-0.0043201i,-0.00052885-0.0028007i,-0.0016671-0.0012336i,-0.0036733-0.0011496i,-0.0044431-3.1151e-05i,-0.0028679+0.00077208i,-0.0014233+0.00058739i,-0.00059662+0.00058467i,-0.00023553+0.0010845i,-0.00016597+0.001419i,-0.00018821+0.0011534i,-0.000195+0.00053577i,0.00015669+0.00086142i,0.0010002+0.0013926i,0.0016264+0.0015391i,0.0013278+0.0015218i,0.00085369+0.00074048i,-0.00022118+0.00034884i,-0.00093188+0.0004176i
0.0012288-0.00037887i,0.00062465-0.001283i,0.00013121-0.0017484i,0.00042514-0.00099852i,-0.0005525-0.00076954i,-0.0028503-0.00081566i,-0.0044204+9.5143e-05i,-0.004381+0.0012339i,-0.0032051+0.0021715i,-0.0022787+0.0025489i,-0.00076717+0.00162i,0.000462+0.0010115i,0.00011843+0.0010166i,0.0011376+0.00029986i,0.0019472+7.2199e-05i,0.0016866+0.00024931i,0.0013077-0.00014602i,9.7274e-05-0.00071039i,-0.00019282-0.00069208i,-0.00027028-0.00030135i,-0.00058128-0.00063905i,0.00039654-0.00053594i,-7.3022e-05+0.00030269i
-0.0012069+0.00073361i,-0.0013592+0.0026387i,-0.00051981+0.0024144i,0.0007009-0.00046762i,0.0016319-0.0018728i,0.0017445-0.0010213i,0.00098855+0.0016493i,0.00036717+0.0033554i,0.00028336+0.0033199i,0.00038473+0.0020718i,0.00056877+0.0010002i,0.00040097+0.0011782i,0.00024971+0.0010295i,0.00035782+0.00087543i,0.0001387+0.0011045i,-0.00017678+0.0011913i,0.00045354+0.0013953i,0.0012353+0.0016198i,0.00087326+0.00098947i,0.00036753+0.00012301i,-8.8378e-05-0.00019591i,-0.00038836+0.00023112i,0.00016318+0.00075448i
0.0016417-0.0040368i,0.00033588-0.0043222i,-0.00072796-0.0040419i,-0.00063382-0.002102i,-0.00069127-0.00062841i,-0.00015084+0.00024321i,0.0018701+0.0013767i,0.00357+0.0016667i,0.0039419+0.001262i,0.0020025+0.0010529i,7.9313e-05+0.00082052i,-0.00012568+0.0004934i,-0.00014007+0.00032374i,-0.00026154+0.00031366i,8.9316e-05-0.00034465i,5.8478e-05-0.00095094i,-0.00096578-0.0013039i,-0.0017125-0.0013001i,-0.0019392-0.00125i,-0.001982-0.0010189i,-0.0019498-0.00054115i,-0.00096443-0.00070365i,0.00050883-0.00045136i
9.6334e-06-7.2107e-05i,-0.0004032+0.00033073i,-0.00085846-0.0011232i,-0.00030844-0.0034i,0.00057168-0.0039i,0.0012847-0.0024003i,0.0024523-0.0010254i,0.0025842-0.0002004i,0.001306-0.00033027i,0.00063367-0.00048441i,0.0010372-0.00057329i,0.0012742-0.00087195i,0.00065236-0.00035186i,0.00065539+0.00015427i,0.00056294+0.00082598i,0.00015467+0.00054018i,0.00051086-0.00065647i,0.00082954-0.00012695i,0.00042039+0.00075129i,0.0002954+0.00072595i,0.0003299+0.00046521i,0.00038425+0.00076754i,0.0002033+0.0012012i
0.00073861-0.00053181i,0.0014463-2.2082e-05i,0.0014382+0.00017252i,0.0015529+0.00031998i,0.0019602-0.00021962i,0.0010758-0.001754i,-0.00027433-0.0030401i,-0.00045917-0.0029589i,-0.00087543-0.0030819i,-0.0013752-0.002861i,-0.00054307-0.0016846i,-0.00011991-0.00049048i,-0.00021917+6.4514e-05i,0.00029097+0.0003142i,-0.00031588+0.00061018i,-0.0017333+4.3386e-05i,-0.0021207+0.00025579i,-0.0011057+0.0018049i,-0.0010541+0.0020727i,-0.00098574+0.0010176i,7.8153e-05+0.00019039i,0.00027657-6.1639e-05i,-1.5254e-05+0.00017983i
-0.00024703+0.00078175i,-0.00018232-2.8829e-06i,-0.00021737-0.00012789i,0.00091322-0.0013145i,0.0013314-0.0033766i,0.000779-0.0040327i,-0.00060498-0.0027027i,-0.0017223-0.0010203i,-0.0030181-0.00023876i,-0.0037286-0.00075573i,-0.0023004-0.0013415i,-0.00072007-0.00057146i,8.1691e-05+0.00031293i,0.0006482+0.0010114i,0.00089623+0.0014664i,0.0013533+0.0011168i,0.0011813+9.0158e-05i,0.0009985-0.0007785i,0.0011446-0.00061692i,0.001092+5.0316e-05i,0.0010933+7.4611e-05i,0.00032034+0.00016658i,-0.00046485+0.00047343i
0.0030112-0.00098621i,0.0025248-0.0024963i,0.0015056-0.0027873i,0.0013758-0.0028924i,0.0011326-0.0032972i,-0.001689-0.001712i,-0.003618-0.00056971i,-0.0041193-0.00010466i,-0.0039477+0.0005269i,-0.002675+0.001444i,-0.0017347+0.0013528i,-0.0013848+0.00036796i,-0.00043318+0.00055335i,0.00046859+0.0017538i,0.000529+0.0013498i,0.00094342-0.00031436i,0.0012845-0.00070991i,0.0005799-0.00010893i,7.8123e-05+0.00087163i,-0.00010664+0.0013487i,-0.0006848+0.00041914i,-0.00089332-0.00012456i,-0.00064016-3.4739e-05i
0.00075034+0.00051048i,0.00042606+0.00037451i,-0.00038776-0.00075084i,-0.00074136-0.0022343i,-0.0010538-0.0031042i,-0.0015657-0.002402i,-0.0013108+0.00015503i,-0.00051211+0.0022336i,0.0002648+0.0033838i,0.0007604+0.0034804i,0.0003315+0.0026382i,0.0005144+0.001506i,0.00083997+0.00030375i,0.0010224-0.00027533i,0.0010923-0.0010217i,0.00091042-0.0014243i,0.00085807-0.00097255i,0.00064503-0.00081104i,-6.2075e-05-0.0012819i,-0.00061354-0.0017404i,-0.00028613-0.0017829i,-0.00027792-0.001642i,-0.00072765-0.00030127i
0.0032541-0.0022072i,0.0017207-0.0022667i,0.00099871-0.0024869i,0.0016704-0.0030822i,0.0010587-0.0017452i,0.00030022+0.001017i,-8.9711e-05+0.0033625i,-0.00017477+0.00456i,0.00066482+0.0040666i,0.0012667+0.0024475i,0.001416+0.0010404i,0.001467+0.00061049i,0.00064+0.00085423i,-0.00025352+0.00080762i,-0.00060648-0.00017204i,-0.00078858-0.00079238i,-0.0007845+0.00050559i,-0.0010689+0.0018427i,-0.00079887+0.0014571i,-0.00042146+0.00051543i,-0.00027152+0.00059542i,4.6601e-05+0.00060952i,-0.00028135+0.00053495i
-0.0023443+0.00039824i,-0.0024599+0.0024798i,-0.0022181+0.0034626i,-0.001558+0.0026975i,-0.00089986+0.00058768i,0.00058085-0.0014702i,0.0022761-0.0015235i,0.0034457-0.0011207i,0.0041553-0.0013423i,0.0041176-0.0016225i,0.0027445-0.0015398i,0.00084834-0.0011101i,0.00022141-0.001288i,0.00042958-0.0016934i,4.064e-05-0.0013133i,7.2793e-06-0.00051953i,-3.1301e-05+0.00029759i,-0.00089473+0.00098139i,-0.0009286+0.00044499i,-0.00024974-0.00052219i,-8.3511e-06+0.00018108i,6.7725e-05-1.3231e-05i,-8.774e-05-0.0013751i
0.0023824-0.0028814i,0.0024755-0.0033671i,0.0027194-0.0038154i,0.0038816-0.0041158i,0.0045601-0.0042834i,0.0034518-0.0028251i,0.0027106-0.00069977i,0.0026581-0.00093845i,0.0018712-0.0018792i,0.0005357-0.0024498i,0.00012171-0.0025755i,0.00014506-0.00086048i,-6.8571e-05+0.0012724i,-0.00049256+0.0025276i,-0.0012456+0.0029146i,-0.0012325+0.0020733i,-0.00049785+0.001774i,0.00044322+0.0017361i,0.0010184+0.0012656i,0.00071996+0.00054146i,0.00040849+6.3981e-05i,0.00032021+0.00031872i,-0.00015762+0.00086137i
-0.00041665-0.00015283i,-0.00089876-0.00018454i,-0.0006861+0.00013875i,-0.0011509-0.00046807i,-0.0015759-0.0015897i,-0.0005126-0.0021202i,0.00065381-0.0037596i,-0.00091602-0.0053188i,-0.0025922-0.0046557i,-0.0032646-0.0025197i,-0.0035888-0.00080305i,-0.0024924+0.00012375i,-0.0010557+0.00077447i,-0.00017237+0.0011063i,0.00052087+0.0010105i,0.00065994+0.00044415i,-0.00021747-0.00027507i,-0.0013711-0.00014908i,-0.0017246+9.6291e-05i,-0.0019091+6.3894e-06i,-0.0015817+0.00066123i,-0.00075088+6.0365e-05i,-0.00025575-0.0012511i
-0.0018797-0.00039754i,-0.00059971-0.0011025i,0.0012531-0.0016636i,0.0031302-0.0022551i,0.0040508-0.0029326i,0.0029016-0.0028352i,-6.1485e-05-0.0026684i,-0.0025961-0.0018231i,-0.0035132+0.00017064i,-0.0030593+0.0012182i,-0.0018004+0.00067977i,-0.00031265+0.00022082i,0.00025958+0.000375i,0.00085068+0.0011383i,0.0016921+0.0017725i,0.0023375+0.001339i,0.002587+0.0012751i,0.0019825+0.0015066i,0.001097+0.00088872i,0.00038105+7.1918e-05i,-8.0629e-05+0.00026314i,-0.00066294+0.00052118i,-0.00054288-9.3891e-05i
3.4355e-05-0.00063052i,0.00012294-0.00067611i,0.0011138-0.00041218i,0.0012163-0.00012681i,-9.1147e-05-0.00027462i,-0.0014451-0.00098695i,-0.0030523-0.00095351i,-0.0033825-3.2111e-05i,-0.0019581+0.0014648i,-0.00010662+0.0029281i,0.00043133+0.0024334i,0.00013055+0.0010533i,0.00038802+0.00019468i,0.0012395-0.0004673i,0.0011719-0.00028536i,-1.3259e-06-0.00016208i,-0.0011105-0.00040445i,-0.0020043+0.00071838i,-0.001985+0.001813i,-0.0017114+0.001017i,-0.0014305-0.00017855i,-0.0011044+0.00031996i,-0.00089607+0.00021688i
0.00094273+0.00027664i,0.0019448-0.00070871i,0.0031837-0.0013093i,0.0030197-0.0032875i,0.0013704-0.0054494i,-0.00021475-0.0036715i,-0.0013855+0.00061365i,-0.0013165+0.00351i,0.00038293+0.0031949i,0.0016574+0.0017976i,0.0013683+0.0012304i,0.00029231+0.00042436i,-0.00040778-0.00045934i,-0.0001082-0.00089598i,0.00037219-0.0012984i,0.00059492-0.0011967i,0.0010131-0.00053664i,0.0017055+0.00035679i,0.0016123+2.5907e-05i,0.00086689-0.00098747i,0.00088605-0.00056415i,0.0013288+0.00028651i,0.00058538+0.00094541i
-0.0022974+0.00032853i,-0.0023515+0.00086689i,-0.0015495+0.0013251i,-0.00039121+0.0020723i,0.00061926+0.0020114i,0.0011334+0.0017903i,0.0016078+0.0017501i,0.0026103+0.00032987i,0.0035202-0.0010784i,0.0033431-0.00204i,0.0025328-0.0014308i,0.00099802-0.00078287i,-0.00050031-0.00092847i,-0.0012099-8.6602e-05i,-0.0014676+0.00071829i,-0.0014204+0.00048887i,-0.0020907+0.00047444i,-0.0012466+0.00092151i,0.00082892+0.0014693i,0.0010124+0.0012965i,-0.00017625-8.2839e-05i,-0.00086464-0.0011044i,-0.0010392-0.00048632i
0.00062649+0.0011881i,0.0025162+0.00035161i,0.0041299-0.00060433i,0.0045296-0.0022044i,0.0039705-0.003087i,0.0029919-0.0020417i,0.0029653-0.001147i,0.0022391-0.0016311i,0.00078516-0.0027819i,-0.00019352-0.0029724i,-0.00063894-0.0017987i,-0.00094028+1.207e-05i,-0.0013111+0.0011138i,-0.00080269+0.0021668i,0.00032109+0.0029985i,0.00082884+0.0019135i,0.0002979-0.00010561i,-0.00022054-0.0017141i,-0.0005501-0.0018323i,-0.00073316-0.0013181i,-0.00038846-0.0013563i,-0.00026715-0.00090148i,-0.00015596-0.00025116i
-0.00089658+0.0022042i,-0.0010857+0.0021782i,-0.00027282+0.0026072i,0.0016628+0.0016313i,0.0036402-0.00086936i,0.003289-0.0025032i,0.0012517-0.0039951i,-0.0010774-0.0044616i,-0.0031696-0.0029083i,-0.0038397-0.001681i,-0.0033151-0.00090853i,-0.0013584+5.9993e-05i,0.00020971+0.00032227i,0.00049839+7.0998e-05i,-0.0004934+0.00078127i,-0.0018668+0.0014738i,-0.0026745+0.0019805i,-0.0022673+0.002076i,-0.0016836+0.0013907i,-0.0014601+0.00084518i,-0.0012519+0.00043872i,-0.00098274-7.2034e-05i,-0.00082665-0.00083069i
