-0.0020799+7.9908e-05i,-0.0016772+0.00070958i,-0.0012408+0.00073462i,-0.0011148+0.00054118i,-0.0012913+0.00027627i,-0.0013361+0.00012988i,-0.00075336+0.00029363i,0.00030034+0.00082641i,0.00087501+0.00098085i,0.00024251+0.00020225i,-0.00046328-0.00030225i,-0.00042536-7.9227e-05i,-0.00039668-0.00035882i,-0.00021662-0.0010082i,-3.9214e-05-0.0010623i,0.00028893-0.0009709i,0.00051481-0.00048985i,0.00048791+3.6607e-05i,0.00071853+0.00041773i,0.00038282+0.00057078i,-0.00052118+0.00033555i,-0.0010154+7.6633e-05i,0.0001907+4.5583e-05i
-8.1568e-05+0.0010538i,-0.00066799+0.00065717i,-0.0006331+0.0003435i,5.7432e-05+0.00048661i,0.00048712+0.00035826i,0.00041896+0.00052958i,-0.00010859-0.0001864i,0.00016781-0.0014727i,0.00092-0.0015505i,0.00089693-0.0005537i,0.00057477+0.0004679i,0.00032734+0.00074679i,0.00053992+9.3064e-06i,0.00045182-0.00050155i,-0.00041096-0.00043919i,7.7604e-05-0.00039057i,0.00023628+0.00019353i,-0.00065351+0.00096013i,-0.00080308+0.0010138i,-0.00050443+0.00047986i,-0.00018101+0.00036505i,-0.00059359+0.0010421i,-0.0011301+0.0012991i
5.3934e-06-9.4009e-05i,0.00025134+7.166e-05i,5.0037e-05+0.0011881i,-0.00064651+0.0020493i,-0.00083494+0.0024805i,-0.00083433+0.0013622i,-0.00077242+0.00022517i,-0.00075636-0.00036153i,-0.00016097-0.00084032i,0.00025382-0.0011425i,0.00019406-0.00033438i,0.00071031+0.00055975i,0.00096796+0.00012596i,0.00088218-0.00028728i,0.00028954-0.00048896i,-0.0002395-0.0010008i,-0.00021732-0.0010281i,0.0001421-0.00026348i,-0.00016911-9.6189e-05i,-0.0001933-0.00061356i,0.00079572-0.00060079i,0.00041093-0.00052615i,-0.00043148-0.00023332i
8.0237e-05-0.00052641i,-0.00039425-0.00078704i,-0.00038726-0.0006867i,-0.00017673-0.00017689i,-1.9499e-05-0.00024994i,0.00051031+9.0304e-05i,0.001041-0.0004631i,0.00098232-0.0014536i,0.00080518-0.0011642i,0.00066897-0.0011114i,0.00015942-0.00078375i,0.0002818+5.8568e-05i,0.00043827+0.00041714i,0.00034915+0.00088534i,0.00026928+0.0007304i,-6.2927e-05-0.00015183i,-0.00015181-2.8476e-05i,-0.00075488+0.00023292i,-0.00063496+0.00043624i,0.00021539+0.00071736i,0.00027987+0.0001838i,-0.00011668-0.00023042i,1.5427e-05+0.00025523i
-0.00027572-0.0010294i,-0.0010231-0.00043878i,-0.0024701-0.00082764i,-0.0022542-0.00067646i,-0.0012144+0.0011657i,-0.00045135+0.0016417i,0.00085192+0.00042519i,0.00059946-0.00010787i,-0.00010132-0.00028607i,0.00049911-0.00079908i,0.00071101-0.00054239i,0.00053405-0.00011145i,0.00094946-0.00049773i,0.0012385-0.00088174i,0.0011285-0.0010671i,0.0011753-0.00093628i,0.000727-0.00030046i,5.2857e-05-0.00037964i,-0.00018071+7.7287e-05i,0.00050646+0.0010076i,0.0011587+0.0010533i,0.001127+0.00044731i,0.00073453+3.9289e-05i
-0.00011953-0.001814i,0.00030791-0.0009518i,-0.00056652-0.00073655i,-0.0013228-0.00029378i,-0.00064576-0.00046323i,0.00033458-0.00049931i,0.00061273+0.00029063i,0.00075314+0.00011392i,-7.4714e-05-0.00073195i,-0.0010779-0.00071816i,-0.00066875-0.00054422i,-0.00011735-0.00022725i,0.00097827-0.00013114i,0.0023304-0.00084617i,0.0017981-0.0015782i,0.00067872-0.0013259i,9.7688e-06-0.00044443i,-0.00084333-6.4059e-05i,-0.001076+0.00046617i,-0.00043658+0.00035861i,7.1258e-05+0.00014179i,-0.00016498-0.00040522i,-0.00032783-0.00022437i
-0.0001862-0.00030076i,-0.0011944+0.00033852i,-0.0010436+0.001593i,-0.00056055+0.002158i,-0.00061757+0.0019461i,-0.00053925+0.0012813i,0.00040781+0.00049761i,0.0010482-4.3388e-05i,0.00074766+0.00012562i,6.1599e-05+0.00026791i,6.6456e-05+0.0002533i,0.00066506-0.00013873i,0.00085214-0.00090514i,0.00075664-0.0012828i,0.00063986-0.0016896i,0.00020047-0.0019226i,6.7361e-05-0.0011511i,-0.00011216+0.00029189i,-0.00060651+0.00061921i,-0.0004106-2.502e-05i,-0.00010331-0.00023871i,-0.00012536+0.00043846i,-0.00030648+0.00073901i
0.00013146-0.00178i,5.3477e-05-0.0013985i,-0.00041889-0.0015677i,-0.0012618-0.0012878i,-0.0014395-1.8513e-05i,-0.00046745+0.0014928i,0.00042166+0.001i,0.00063359+1.0918e-05i,0.00035594-0.00045764i,0.00028163-0.00097084i,-0.00010779-0.00037246i,-0.0007192+0.00081558i,-0.00087727+0.0012013i,-0.00045294+3.6362e-05i,-0.0005666-0.0011837i,-0.00088355-0.00073195i,-0.00068921+0.00039412i,-0.00020051-3.5847e-05i,2.5776e-05-0.00048005i,-0.00028302-6.1537e-05i,-0.00043299-0.00021058i,-0.00075071-0.00024266i,-0.00053723-2.8847e-05i
-0.00072863-0.0015018i,-0.0013009+2.2552e-05i,-0.0023664+0.00069038i,-0.0023137+0.0013047i,-0.00088813+0.0022313i,0.0011543+0.0022637i,0.0020372+0.00093662i,0.0015699-0.00086883i,0.001175-0.0010046i,0.00037404-0.000936i,-0.00010088-0.0014682i,0.00011971-0.0012903i,0.00057989-0.00053382i,0.00010012-0.000494i,9.0525e-05-0.00070163i,0.00044349+5.2685e-05i,0.0003396+0.00026218i,2.8464e-05+0.00014576i,-0.00043081+0.00013574i,-0.00037298+0.00035765i,-9.8928e-05+0.00051985i,-0.0006606+0.00049118i,-0.00063004+0.00029887i
-0.001184+0.00036885i,-0.0012048+0.0011722i,-0.0016539+0.0013875i,-0.00074142+0.00062752i,0.0006045-6.9068e-05i,0.0010075+0.0004542i,0.00073067+0.00073551i,0.00043364+0.0005411i,0.0009865+4.8566e-05i,0.00087739-0.00018971i,0.00045793-0.00030311i,0.00087322+0.00024237i,0.00073348+0.00033205i,-0.00013093-0.00059109i,4.008e-05-0.00069919i,0.00051755-5.1336e-05i,0.00017083+0.00056958i,-0.00027968+0.00080425i,-0.00049937+0.0011419i,-0.00014315+0.001109i,-0.00031577+0.00022476i,-0.00033145-0.00031825i,-0.00014764-0.0005474i
0.00020231+0.0012593i,-0.00019765+0.00081789i,-0.00012725+0.00017238i,0.00015568+0.0011863i,0.0005101+0.00098794i,0.00064764+0.00034297i,0.00058308-9.7519e-05i,0.00084274-0.00083894i,0.00039205-0.001272i,-0.00069829-0.0015466i,-0.00058436-0.00091936i,-0.00023903-0.00031343i,-7.4346e-05-0.00076474i,6.1888e-05-0.00092618i,-0.00012377+8.9879e-06i,0.00020864-0.00047118i,-5.73e-05-0.00064907i,-0.00063307+0.00010465i,-0.00053026+0.00010002i,-0.00026422+5.6455e-05i,4.8325e-07-0.00070834i,0.00015193-0.00087358i,0.00022794-0.00051811i
0.00066819+2.5863e-05i,0.00092657+0.00016663i,0.00044078+3.5527e-05i,0.00039865+0.00037011i,0.00079119-0.00019823i,0.00064104-0.0011292i,-0.00031546-4.3976e-05i,-0.00017708+0.00035363i,0.0008341-0.000296i,0.00081417-0.00062618i,9.1537e-05-0.0010397i,-0.00062691-0.0012757i,7.701e-05-0.0011262i,0.00082117-0.00094926i,0.00045766-0.0002675i,-0.000424+4.475e-05i,-0.00056006-0.00023264i,-0.00024911-0.0004282i,-0.00072728-0.0006525i,-0.0011746-0.00065347i,-0.00074906+0.00024296i,-0.00034904+0.00076316i,-0.00017312+0.00036213i
0.00071027-0.00013849i,0.0013212+1.4209e-07i,0.00059383+0.00019171i,-0.00034661-0.000274i,-0.00011363-0.00053181i,0.00038681+0.00052115i,0.00057357+0.00027348i,0.00070151-0.00063213i,0.00072133-0.00063569i,0.00038062-0.00090093i,-0.00039591-0.00082508i,-0.00031389-0.00012721i,0.00064421+3.3504e-06i,0.0012741-7.5586e-05i,0.0011666-0.000672i,0.00089376-0.0011118i,-0.00017549-0.00053998i,-0.0012572-0.00016766i,-0.0012366+0.00033652i,-0.00079918+0.00068191i,-8.0617e-05-0.0005732i,-9.7981e-05-0.0011521i,-0.00018415-0.00058996i
-4.9316e-05-0.00021812i,6.0454e-05+0.00049414i,-0.00077643+0.00031141i,-0.00053222+0.00021446i,0.00057241+0.00040298i,0.00043771+1.7452e-05i,0.00069397-5.2037e-05i,0.0016076-0.00048473i,0.00080418-0.00080348i,-0.00059259-0.0010276i,-0.00063148-0.00074058i,9.2047e-05-0.00052544i,0.00017194-0.00072461i,-9.7771e-05-0.00052744i,-0.00010514-0.00046147i,0.00031519-0.0011194i,0.00072175-0.0012359i,0.00052924-0.00089128i,0.0001193-0.00012847i,-5.0115e-05+8.969e-06i,0.00030445-0.00092013i,0.00068418-0.00088797i,0.00046776-0.00076161i
-0.00043434-0.0011619i,-0.00063975-0.00043388i,-0.0012485+0.00023551i,-0.0009936+0.00087503i,-2.1328e-05+0.00068646i,0.00036024+1.8451e-05i,0.0015289-0.00029173i,0.0021445-6.74e-05i,0.0013729-2.4248e-05i,0.00054827-0.00078093i,-0.00010716-0.00088089i,-0.00044176+0.00023772i,0.00022825+0.00092943i,0.00032322+0.00080185i,-0.00013459+0.00041561i,-0.00019409-5.2118e-05i,0.00033282-0.00023382i,0.0003449-0.00024932i,0.00021109-0.00021635i,4.067e-05+0.00052534i,-1.6771e-06+0.00059837i,0.00058522+1.8817e-05i,0.00093788-5.6457e-05i
0.0013317+0.0019227i,0.0015448+0.0005111i,0.0022445+0.00014413i,0.0017263+0.00078262i,0.00046832+0.00013642i,-0.00082647-0.00090024i,-0.001001-0.00028509i,0.0003633+9.0478e-05i,0.00082706-0.00017112i,0.00022865+9.1433e-05i,0.00030563-0.00023083i,0.00052808+0.00024998i,0.00068673+0.0010162i,0.00081701+0.00071498i,0.0010471+0.00015782i,0.00066771+0.00034535i,0.00022648+0.0002744i,0.00029073-0.00022639i,8.661e-05-0.00024743i,0.00059513-0.00020223i,0.0012524+0.0001738i,0.00085912+0.00044529i,0.00049383+0.00032631i
0.0012559-0.00015292i,0.00030226+6.7467e-07i,0.00064235+0.00058146i,0.0013481+0.00027876i,0.00028383-0.00062246i,-0.0009619-0.0005112i,-0.00033082-0.00076212i,0.00055932-0.0007076i,0.0010842-0.00070099i,0.00041686-0.00047433i,-0.00042621+0.00029146i,-0.00037443+0.00051376i,-0.00019918+0.0005999i,0.00068173-0.00034659i,0.0011454-0.0011545i,0.00017791-0.0012043i,-0.00031328-0.00090694i,0.000149+9.1813e-05i,0.00024762+0.0009391i,0.00050775+0.00080092i,0.00059135-0.00019549i,-5.8513e-05-0.00092063i,-9.9631e-06-0.00017942i
-0.00089582-0.0011316i,-0.0018781-0.00044784i,-0.00259+6.8072e-05i,-0.0019774+0.0010687i,-0.00052732+0.0023511i,0.00096953+0.0023328i,0.0013426+0.00083863i,0.00066584-0.00057828i,0.00076734-0.0015134i,0.00074471-0.00094911i,0.0007119-7.8499e-06i,0.0008365+0.00021247i,0.00094231+0.0002503i,0.00075502-0.00028257i,0.00046175-0.00096791i,0.00050889-0.00083807i,0.00055642+5.6306e-05i,0.00070824+0.00013684i,0.00056281+2.6332e-05i,-0.00028788+0.00038379i,-0.00073557+0.00012698i,-0.00055064-0.00035062i,-9.7149e-05-0.00058308i
-0.0010693+0.00047823i,-0.0009544+0.0014972i,-0.00027657+0.0012629i,0.00055983+0.00061005i,0.0012786+0.00028051i,0.0012244-0.00048802i,0.00064064-0.0012242i,0.00029786-0.0011945i,0.00020658-0.0014692i,0.0001845-0.001053i,-5.7655e-05-2.3987e-05i,0.00030811-0.00020929i,0.0013559-0.00086762i,0.0012815-0.0012305i,0.00091322-0.00095398i,0.00025015-0.00082936i,0.0002598-0.00059006i,0.00037479-2.964e-05i,-0.00025589-0.00017094i,-0.00021245+8.3791e-05i,0.00027369+8.8902e-05i,0.00024114-0.00015261i,-2.7086e-05+0.00047803i
0.00092195+8.2189e-05i,0.001328+0.00041568i,0.00073686-0.00016094i,0.0003739-7.7772e-05i,-1.8931e-05+0.00043634i,-0.00013435-2.1728e-05i,0.00084681-0.00042541i,0.0017612-0.00041929i,0.0014488-2.3302e-05i,0.0005322-0.00033676i,0.00025826-0.0003433i,-0.00018253+2.8663e-05i,-0.00031566+7.5468e-06i,-0.00018555+0.00071802i,-0.00017812+0.00048351i,-0.00041117-0.00051655i,-2.791e-05-0.00054228i,-0.00021157-0.0013318i,-0.00078463-0.0012154i,-0.00044635-0.00011716i,9.8872e-05+0.00050724i,4.0231e-05-0.00012607i,-0.00032211-0.00033972i
-1.3038e-05+0.00015122i,0.00022893+0.00043572i,-8.5099e-05-1.0879e-05i,-0.00044504-0.00036364i,-0.0010606+0.00027297i,-0.0011843+0.00054303i,-0.0002587+0.00035227i,0.0013528+0.00055263i,0.0017887-0.00019848i,0.00084587-0.0010801i,0.0002879-0.00090238i,0.00014495-0.00027318i,-0.00014399-0.00030232i,-0.00065361-0.00091641i,-0.00075381-0.000752i,-0.00143-0.00074759i,-0.0012242-0.0010699i,-0.0009837-0.00059492i,-0.00096476+1.9474e-05i,-0.0006483+0.00061775i,7.0195e-05+0.00047279i,0.00062673+0.00030325i,0.00033949-9.9e-05i
0.00050439-0.0026696i,0.00010395-0.0025469i,-0.0014076-0.0022868i,-0.0024005-0.0010302i,-0.0015553+0.00021778i,-0.00035565+0.00037202i,-0.00048379-0.0013061i,-0.0029689-0.0031138i,-0.0052128-0.0025197i,-0.0048297-0.00042321i,-0.003631+0.00091428i,-0.0016669+0.0019621i,0.00054376+0.0025019i,0.0020063+0.0019584i,0.0024865+0.00058536i,0.0017601+0.00017454i,0.00042268-4.559e-05i,-0.00036678-0.00069468i,-0.0011657-0.00081552i,-0.0014935-0.00071389i,-0.00072512-0.00028027i,-0.00016285+0.00091348i,1.9702e-05+0.0012319i
0.00034119-0.00023444i,-0.00031661-0.001104i,-0.00012993-0.0019384i,0.00025911-0.001725i,-7.6463e-05-0.0013027i,-0.0011106-0.0010835i,-0.00075836-0.0005641i,-0.00027532-0.00011143i,-0.00077897-0.00047132i,-0.00097811-0.00062425i,-0.0006876-0.0002761i,-0.0002012-2.1476e-05i,-7.1432e-05+0.00020322i,0.00031895+0.00071948i,0.0011815+0.00028404i,0.0017424-9.5505e-05i,0.00029187-4.7914e-05i,-0.0010307-4.0618e-05i,-0.00074156+9.4197e-05i,-0.00041478+0.00012496i,-0.00023907-3.9326e-05i,-0.00039359-0.0002563i,-0.0007937-0.00018838i
-0.00095697-0.00018365i,-0.0026205-0.0011867i,-0.0033716-0.0019517i,-0.0030228-0.00028555i,-0.0025439+0.0015345i,-0.0014539+0.00072092i,-0.0003639-0.0010987i,-0.00090931-0.0019606i,-0.0016522-0.0015243i,-0.0010925-0.0010633i,-0.00071833-0.00092582i,-0.00065016-0.00043785i,1.211e-05-0.00024347i,0.00046413-0.00070476i,0.00067227-0.00097012i,0.00073227-0.0014064i,0.00025825-0.0010508i,-0.00062751+0.00014511i,-0.0010818+0.00014645i,-0.00082747-0.00042598i,-0.00029216-0.00064907i,-0.00011502-0.0002923i,-0.00038567+0.00043901i
-8.0034e-05-0.00037246i,0.00012733-9.9875e-05i,0.0006201-8.371e-05i,-0.00015404+0.0001424i,-0.0011339+0.00048713i,-0.00135+0.00055445i,-0.00013214+0.00012629i,0.00078665-0.00081419i,0.00034748-0.0013284i,-5.6992e-05-0.00061506i,3.66e-05-0.00072861i,0.00026449-0.00088821i,0.00026027-0.00015323i,0.00031982-0.00069481i,0.00076659-0.0012949i,0.0001608-0.00051361i,-0.00043679-0.00055901i,-0.00066857-0.00070396i,-0.00028584-0.0004363i,0.0001104-0.0001857i,4.015e-05-0.00020808i,9.58e-05+9.2058e-06i,-0.00028706+0.00011637i
-0.00089301-0.0017662i,-0.00078136-0.0014202i,-0.00019486-0.0017074i,0.00040716-0.00059455i,-3.6674e-05+0.0010095i,1.2176e-05+0.002164i,0.00066688+0.0022426i,0.00060705+0.00084878i,-0.00054256-0.0011106i,-0.0011996-0.002147i,-0.00060729-0.001139i,0.0001582-0.00026659i,0.0006633-0.00032294i,0.00090558-0.00028946i,0.00080725-0.00095749i,0.00053598-0.0011467i,9.8394e-05+5.0192e-05i,7.1462e-05+0.00082381i,0.00053358+0.00095698i,0.00054514+0.00077252i,0.00021523-0.00028609i,0.00018128-0.00063221i,0.00030634+8.8268e-05i
-0.0006051-0.00079875i,-0.00044184-0.00097273i,0.00030207-0.00093752i,0.00048537-0.00093632i,0.00091549-0.00016731i,0.00067721-0.00021485i,0.00060282-0.0012738i,0.0010875-0.0016435i,0.0004867-0.0010426i,3.7995e-05-0.00077924i,0.00050775-0.00092795i,0.00025999+0.00017299i,0.00031674+0.00066646i,0.0015735+0.00046625i,0.0015526+0.00050021i,0.0013808+6.6725e-05i,0.0011127+0.00026624i,5.7546e-05+7.3913e-05i,-0.00083978-0.00058112i,-0.00075969-0.00015194i,-0.00020759+0.00063458i,-0.0003721+0.0012934i,-0.00073258+0.0013699i
0.0015709-9.2741e-05i,0.0011469-0.001188i,9.3874e-05-0.0022008i,-0.00089419-0.0011204i,-0.0018342-0.00015646i,-0.00082566+4.3603e-05i,0.0011818+0.00031551i,0.0015294+0.00031123i,0.00072057-0.00033123i,0.00036133-0.0012366i,-0.00017286-0.00036687i,-0.00019169+0.00043738i,0.00020027+0.00044013i,0.00056664+0.00043058i,0.00081825+2.9983e-05i,0.00048894-0.00069105i,-5.1323e-05-0.00087693i,-0.00027025-0.00060826i,-0.0006975+0.00040962i,-0.0011487+0.00098238i,-0.00064484+0.0005255i,-0.00048862-0.00083537i,-0.00012867-0.0011892i
0.0021585-0.00037485i,0.0016381-0.00098748i,0.00087379-0.0013127i,0.00044099-0.0010544i,0.0005297-0.0002358i,0.00011749+0.00082276i,6.0553e-05+0.00070272i,-0.00053977-0.00022565i,-0.00075793-0.0011274i,0.00014888-0.0020703i,0.0010653-0.0023866i,0.0013881-0.00099212i,0.00083222+1.2388e-05i,6.439e-05-0.00039748i,-0.00021353-0.0011i,-0.00034325-0.001243i,3.7653e-05-0.00065741i,0.00040364+0.00017027i,0.00032953+0.0007679i,0.00020229+0.0010693i,0.00028074+0.00043805i,0.00038269+5.0096e-05i,-2.3921e-05+0.00055116i
-0.00046837-0.0005474i,-0.00037436-0.0012759i,0.00015394-0.00095881i,0.00091665+0.00032385i,0.00096405+0.0015994i,0.0001518+0.0024592i,0.00026414+0.0015455i,0.0011623-2.4584e-05i,0.00078794-0.00065761i,-0.00029601-0.00096909i,-0.00032365-0.0012499i,0.00041385-0.00085588i,0.00018966-0.00022189i,0.00013528-0.00022499i,0.00044448-0.0004045i,0.00044273-0.00080238i,0.00063093+3.0082e-05i,0.00048772+0.0010538i,-0.00039651+0.00045874i,-0.00063265+0.00043741i,-0.00051891+0.00028472i,-0.0010878-0.00050915i,-0.0012286-0.00041649i
0.0011277-0.00059871i,0.00056267-0.0010099i,-0.00036984-0.00072857i,-0.0011073-0.00053387i,-0.001233+4.9526e-05i,-0.00080699+0.0010303i,0.00029727+0.0013898i,0.00086637-3.344e-05i,0.00089542-0.0016976i,0.00064482-0.0020056i,-0.00014068-0.0019048i,-0.00051409-0.0011638i,7.0579e-05-0.00061975i,0.0010172-0.00047534i,0.00085194+0.00049033i,0.00010836-5.5652e-05i,4.8604e-05-0.00078355i,-0.00014168+5.9626e-05i,-0.00032879+0.00055562i,-0.00025202+0.00041683i,2.8787e-05-0.00011025i,0.00010062-0.00010012i,-0.00040307+0.00075309i
0.00042759-0.00034736i,0.0010455+0.00021508i,0.0022057+0.00035493i,0.001438-0.00021133i,-0.00023441-0.00070371i,-0.00045942+2.7269e-05i,3.1346e-05+0.00027993i,-0.00014583-0.00042044i,0.0003452-0.000673i,0.00091836+2.7948e-05i,0.00034461-0.00015779i,0.0003046-0.0001197i,0.00073956+0.0003799i,0.00024964-0.0001439i,-2.6193e-05-0.0006449i,0.00023289+6.0203e-05i,0.000148+0.00012422i,-0.00029843-0.00025555i,-0.00033829-0.00012401i,-0.00045401+0.0003279i,-0.00014443+0.00015494i,-0.00015715-0.00010424i,-0.00048402+0.00054949i
3.1948e-05-0.0010696i,-0.0010053-0.0011244i,-0.0017577-0.00072341i,-0.0023534-2.3047e-05i,-0.0021991+0.00022356i,-0.001293+0.00099513i,1.2143e-05+0.001433i,0.00080927+0.00073209i,0.00032828+0.00032012i,-0.00011129-5.7484e-05i,0.00012185+0.00012322i,0.0002316+0.00042963i,0.00029327+0.00024052i,0.00070494+0.0002291i,0.0007034-0.00044858i,0.00055365-0.0012146i,0.00020932-0.00053626i,-0.00015433+0.00087676i,-4.6346e-05+0.00080846i,4.5827e-05+0.00020229i,-0.00010849+0.00044158i,0.00021066+0.00092944i,0.00063904+0.00041379i
-0.0016024-0.00045549i,-0.0014468+0.0001175i,-0.0010176+0.00097762i,-9.8842e-05+0.0023257i,0.00066113+0.0026613i,0.00054294+0.0015051i,0.00052316+0.00041369i,0.00065737+8.6671e-05i,-6.0727e-05-0.00049837i,-0.0006695-0.00076466i,-0.00029568-0.00040462i,0.00020797-0.00022114i,0.00023557-0.00019843i,0.00057651-0.00043881i,0.00099743-0.00046448i,0.00051508-0.00049121i,0.00044278-0.00088946i,0.00065485-0.00081321i,0.00043112+0.00012806i,3.0884e-05+0.00071341i,-0.00046881+0.0001393i,-0.00031212-0.00044267i,-0.0001322-0.00034683i
-0.00011148-0.00090672i,-0.00026446-0.0011225i,-0.00029176-0.0008657i,-0.0012876-0.00091656i,-0.0019839-0.00064033i,-0.00065869+5.2599e-05i,0.00027136+1.4442e-06i,0.00018267-0.00042566i,0.00058214-0.0007943i,0.00049978-0.0005938i,0.0001115-0.00049267i,1.9383e-05-0.00071199i,7.3055e-05-0.0011056i,0.00085919-0.00074564i,0.0012712+0.00033342i,0.00086376+0.0006812i,0.00054637+0.00058137i,0.00012831+0.00023867i,0.00012198-0.00011821i,-7.3253e-05-0.000391i,-0.00032796-0.00058063i,-0.0004362-0.00047685i,-0.00027083-0.00028964i
0.00061786-0.0013553i,-1.8268e-05-0.0014427i,-0.00054263-0.0013437i,-0.0016662-0.00065346i,-0.0017712-0.00017624i,-0.0010705+0.00063349i,-0.00044957+0.0010662i,0.00017507+0.00058305i,0.00048567+0.00038083i,0.00035215-0.00042368i,-0.00055438-0.0012186i,-0.0012588-0.001058i,-0.00047541+0.00013182i,0.00021447+0.00038676i,-0.00012963-0.0008716i,-6.7052e-05-0.00083742i,-0.00024258+0.00019004i,-0.00031537+0.00045915i,-0.00027057+0.00046865i,-0.0002455+0.00040069i,-0.00021782+0.00070174i,-0.00080029+0.00089208i,-0.00043637+0.00098812i
-0.00027469-0.0040101i,-0.00050166-0.0026565i,-0.0015152-0.00082951i,-0.0012613+0.0010409i,-0.00019386+0.0018606i,0.0011919+0.0018267i,0.0018644+0.00062633i,0.0013761-0.00094764i,0.00033711-0.0016349i,-0.00051333-0.0011788i,-0.00032205-0.00070636i,1.0123e-05-0.00057952i,0.00062778-0.00048346i,0.0011072-0.0001065i,0.0012965-0.00034363i,0.00061583-0.0011105i,0.00010831-0.00081304i,-0.00037764-2.3701e-05i,-0.00038841+0.00017002i,-0.00028885+0.00045305i,-0.00077698+0.00049151i,-0.00050436-0.00027781i,-0.0005886-0.00061418i
-0.0007196+0.00048709i,-0.0005338+0.0010511i,-0.00078221+0.00021069i,0.00020529-0.00024775i,0.00082811+0.00057603i,0.00057106+0.00091215i,0.00046627+0.00041053i,-4.9431e-05-0.00013353i,-0.00042641-0.00078105i,-0.0010756-0.0010107i,-0.0011418-6.8447e-05i,-0.00035156+9.9301e-05i,0.00059323-0.00041844i,0.0012353-0.00044814i,0.0014037-0.00041346i,0.0015221-0.00062378i,0.00062637-0.00048104i,0.00022845-0.00040476i,0.00025298+0.00036107i,-0.00035637+0.00065134i,9.7999e-05-0.00041175i,0.00027557-0.00058594i,-7.2939e-05+0.0001147i
-0.00043622-0.00021895i,-0.00070097-2.3215e-05i,-0.0016973+0.00014738i,-0.0022355-0.00063726i,-0.00056138-0.00040602i,0.0011992+0.00055977i,0.00097263+0.00026398i,0.00067771-0.00039972i,0.00054492-0.00078512i,0.00017664-0.0011049i,-0.00020688-0.0013227i,-0.00040299-0.00039936i,-0.00075305+0.0004296i,0.00017348-0.0002555i,0.0013467-0.00050175i,0.00029426+0.00020234i,-0.00043386-0.00032909i,-0.00023459-0.00066572i,-0.00033352+0.00019065i,-0.0010244+0.00014967i,-0.00062336-0.00091837i,-1.6579e-05-0.0010754i,0.00053769-0.00051657i
0.0013839-0.00021627i,0.0020762-0.0013257i,0.0017863-0.0019633i,0.0011887-0.0012477i,-3.7125e-05-0.00038707i,-0.0010563+0.0008557i,-0.0014596+0.0012072i,-7.892e-05+4.4599e-05i,0.0016526-0.00086096i,0.00038937-0.0012631i,-0.00083738-0.0015351i,0.00058888-0.00019598i,0.0011926+0.00070145i,0.00061331+0.00029626i,0.00062776-0.00012077i,0.0012821-0.00024263i,0.0013145+0.00033122i,0.00038882+0.00015995i,-0.00041962+0.00020798i,-0.00050821+0.00074059i,-0.00058344+0.00026314i,-0.00052075-0.00066367i,-0.00016669-0.00082184i
0.00095889+0.00067932i,0.00096349+0.0012196i,0.00072486+0.0014386i,0.0009338+6.1869e-05i,0.0011209-0.0014355i,0.00019099-0.0017487i,-0.001054-0.00099661i,-0.0011504-0.0011443i,-0.00031894-0.0013392i,0.0010001-0.00097791i,0.0015252-0.00021297i,0.00090943-6.9839e-05i,0.00056808-5.4838e-05i,0.00029833-0.00033329i,-0.00027832-0.0011297i,-0.00024806-0.00087914i,-0.00051393-0.00050401i,-0.001277-0.00027903i,-0.0013051-9.6856e-05i,-0.00027981+0.00052555i,0.00017129+0.00078657i,-0.00050756+0.00017829i,-0.00028947-0.00029837i
-0.00019478+0.0010515i,-5.3463e-05+0.001088i,0.0011252+0.00038218i,0.0012138-0.00048853i,0.00093016-0.0018875i,0.0014381-0.0023193i,0.0018025-0.0013587i,0.0013156-0.0008092i,0.00037086-0.0003694i,0.00033115-0.00031897i,0.00069144-0.00012617i,0.00062147-0.00017597i,0.00056398-0.00029182i,0.00030726-0.00035253i,0.00042838-0.00010383i,0.00032631-0.00012002i,-7.9308e-05-0.00015971i,-7.3034e-05-0.00045491i,-0.00027143-0.00066088i,-0.00030254-0.00046519i,0.00028098+0.00015266i,0.00015999+1.4081e-05i,0.00031515-0.00029359i
0.00037936-0.0012835i,-0.00057754-0.0011491i,-0.002328-0.001441i,-0.0028831-0.0011368i,-0.0023733+0.00076378i,-0.0007845+0.0016128i,0.0013316+0.0014871i,0.0017352+0.00036452i,0.0012032-0.0013212i,0.0010864-0.0014597i,0.00087868-0.0010503i,0.00042621-0.00098473i,0.00057107-0.0010962i,0.0010366-0.00074052i,0.00061751-0.00060712i,0.00010111-0.00086779i,-0.00072923-0.00082298i,-0.0011435-0.001012i,-0.00070474-0.00086088i,-0.00033896+4.3813e-05i,-2.4019e-05+3.6205e-05i,0.00013496+7.2153e-08i,0.00051317+0.00011032i
0.00020424-9.3808e-05i,-0.00019833+0.00066432i,-1.5152e-06-0.00096471i,0.00010347-0.0015791i,-0.00048931-0.00055776i,-0.00074666+0.0004534i,-0.00082586+0.00043283i,-0.0010082-0.00083119i,-0.00080228-0.0013817i,-0.00059902-0.00073237i,-0.00016616-0.00057204i,0.00019162+8.7894e-05i,0.00028286+0.00078273i,0.00062414+0.00017284i,0.00063492-0.00010859i,0.00051141+0.00042139i,0.00038104+0.00053051i,0.00038073-0.00033967i,8.3386e-05-0.00080595i,0.00015407-0.00048279i,-0.00024364+0.000226i,-0.00041823+0.00061757i,0.00039959+0.00035167i
