-0.00024171-0.00073046i,-0.00091853-0.00018357i,-0.0016996+0.00072786i,-0.00088053+0.0024317i,-5.0992e-05+0.004067i,0.00069603+0.0030418i,0.0008621+0.0012696i,0.00022623+0.00018774i,0.00021013-0.0010185i,0.00038128-0.0010828i,-2.1361e-05-0.00050728i,-0.00038835+7.8226e-05i,-0.0002808+0.0001769i,1.9168e-05-0.00038342i,9.0824e-05-0.00014313i,0.00062262+0.00084138i,0.00074533+0.00040788i,0.00018025-0.00099662i,0.00070938-0.00091017i,0.000411+0.00030168i,-0.00026376+0.00021524i,-0.00077261-0.00055553i,-0.00075847-0.00056638i
-0.00084578-0.00090816i,-0.0011869-0.00095791i,-0.0025818-0.00083162i,-0.0034749-0.00049042i,-0.0022462+0.0010323i,-0.00025955+0.0023359i,0.000609+0.0016572i,-0.00033589+0.000408i,-0.0016941+0.00054009i,-0.0011276+0.00025961i,0.00028451-0.00094501i,0.00055973-0.00075214i,6.7439e-05+0.00021846i,3.3293e-05+0.00067591i,0.00019955+0.00098937i,0.00015527+0.0015899i,-0.00024522+0.00088232i,-0.00015906-0.00034594i,2.1831e-06-0.00018751i,0.00038295-0.00017495i,0.00067109-0.00035419i,-0.0001744-0.00025888i,-0.00076682-0.00054907i
0.0034281+0.00052023i,0.0021443-0.00025933i,0.0011819-0.00013132i,0.00040232+0.00086457i,2.0074e-05+0.0012262i,-0.00033014+0.00086444i,-0.00013731+0.00016028i,-0.00022155-0.00012995i,-0.00056214+6.7935e-05i,-0.00029423+0.00011254i,2.943e-05-0.00013894i,-6.845e-05-0.00066297i,-0.00026415-0.00087994i,-0.00051151+2.5342e-05i,-0.00036899+0.00072773i,1.4346e-05+0.0004068i,6.2392e-05-0.0004717i,-0.00054676-0.00046495i,-0.00016381+8.3385e-05i,3.2792e-05-0.0002346i,-0.00020773-0.00049064i,0.00026937-7.9593e-05i,0.00046369+0.00056658i
0.0022268-0.0017294i,0.001853-0.001536i,0.00021578-0.002126i,-0.0010212-0.0015231i,-0.0013214+0.0005949i,-0.0013999+0.0011511i,-0.00090267+0.00079923i,-0.0013111+0.00013721i,-0.0018695-8.0127e-05i,-0.0016062+0.00020133i,-0.0010363+0.00040787i,-0.00040593-8.6993e-05i,-1.5836e-05+0.00017552i,0.00012067+0.00078263i,-0.00048734+0.00077445i,-0.00083564+0.00047924i,0.00014621-0.00022353i,0.00045792-0.00037539i,-0.00010955-0.00056515i,-0.00061215-0.00076012i,-0.0010429+0.00030422i,-0.0012674+0.00098654i,-0.00093308+0.00011225i
0.0013793-0.00023335i,0.00045959-0.00031741i,-0.0007343-5.1426e-05i,-0.001649+0.00052155i,-0.0017616+0.0017663i,-0.001326+0.0019183i,-0.00083181+0.0016686i,-0.0011664+0.0013434i,-0.00084945-2.7596e-05i,-5.5744e-05-0.00061329i,-0.00013294-0.00021528i,-0.00027859-0.00043953i,-9.002e-07-0.00056635i,0.0001795+0.00037567i,0.00048497+0.00075143i,0.00025289+0.00062685i,-0.00063618+0.00035818i,-0.0011501-7.2733e-05i,-0.0011428-0.00030275i,-0.0005037-0.0010138i,-0.0004911-0.0010371i,-0.0011315-0.00022732i,-0.00096109-0.00017078i
0.00022337-0.0010802i,-3.052e-05-0.00062914i,-0.00076049-3.2134e-05i,-0.0018588+0.00079049i,-0.0017553+0.0013584i,0.00042253+0.0013089i,0.0013219+0.00062858i,0.00061562-0.00055769i,-0.0003032-0.00057905i,-0.00099594+3.1176e-05i,-0.001058+0.00038856i,-0.00051013-8.3648e-06i,0.00044279-2.1702e-05i,2.5225e-05+0.00061067i,-0.00070634+0.000344i,-0.0003559+0.00050267i,9.6717e-05+0.00055516i,0.00058887-0.00021223i,0.00051516-7.1267e-05i,6.6913e-05-2.2684e-05i,7.9969e-06+0.0002718i,-0.00045271+0.00086119i,-0.00051943+0.00065752i
-0.0013908-0.00028434i,-0.00057163-0.00038213i,-0.00089191+3.2708e-05i,-0.0015464+0.0006961i,-0.00039674+0.0020679i,0.00046273+0.0026982i,0.00044542+0.00090772i,-6.8452e-05-0.00041988i,-0.0006841+0.00037662i,-0.00066072+0.00096777i,2.9238e-05+0.0011157i,0.00063016+0.0010519i,0.00010514+0.00065298i,-0.00033306-0.0001623i,-0.00018425-3.4913e-05i,0.00027146+0.00088392i,0.00069073+0.00085613i,-0.00016594+0.00031395i,-0.00058459+0.00038547i,0.00035192+0.00027693i,0.00024303+5.4336e-05i,1.4962e-06+3.1865e-05i,-5.6653e-05-6.5004e-05i
0.00062207-0.0035364i,-0.00011213-0.002939i,-0.0021315-0.0018976i,-0.0035227-0.00010619i,-0.003399+0.0016184i,-0.001877+0.0022924i,-0.00056797+0.0015905i,-0.00038479+0.00081776i,-0.00020439+0.00057142i,-0.00030836+6.85e-05i,-0.00028538-0.00035223i,-0.00022332-0.00055998i,-0.00046001-0.00057959i,-0.00026587-0.00040715i,0.00026438+0.00055705i,0.00039451+0.00052521i,0.00044561-0.00023363i,-0.00028066-0.00053952i,-0.00038915-0.0010169i,-0.00021996-0.00090233i,-0.001043-0.00074067i,-0.00082359-0.0004857i,0.00026606+0.00035097i
-0.002339+0.0018597i,-0.0017624+0.0019664i,-0.00052364+0.0029887i,0.00071461+0.0027456i,0.0019129+0.0016138i,0.0024396+0.0013855i,0.0010707+0.0012523i,-0.00046794+0.0011197i,-0.0006953+0.00091519i,-0.00043174+0.00031847i,-0.00026251-0.00032104i,-0.00025305-0.00039418i,-0.00019962-0.00030459i,-0.00025897-0.00081473i,-0.00055423-0.0015846i,-0.00057933-0.00080688i,-0.00015253+0.00018728i,0.00021451-0.00010572i,0.0003545-0.00031998i,-5.2224e-05+4.9924e-05i,-0.00082267-0.00022048i,-0.00043193+0.00027816i,-3.1969e-05+0.00065827i
0.002736-0.0001167i,0.0023532-0.001192i,0.00060195-0.0025637i,-0.0016011-0.0022351i,-0.0033898-0.00072189i,-0.0036541+0.0006464i,-0.002398+0.00071542i,-0.0013701+0.00012743i,-0.00066184-0.00020863i,-0.0001303-0.00093185i,-0.00051704-0.0010519i,-0.0012748-0.00048999i,-0.00071833+0.00013025i,7.3096e-05-1.4784e-05i,0.00031613+5.1674e-05i,0.00029368+0.0010183i,6.6459e-05+0.0012352i,1.8007e-05+2.5912e-05i,5.4017e-05-0.0002495i,-0.00053017-0.00041941i,-0.0013246-0.00086011i,-0.00070436-0.00028636i,0.00016572+0.0004262i
