-0.00018709+0.00089701i,0.00019882+0.00092406i,-0.0011498+0.00017331i,-0.0017283-6.6009e-05i,-0.0018809+0.0010695i,-0.001663+0.002134i,-0.00059882+0.0024251i,0.0010057+0.0016248i,0.0023637+0.00066898i,0.0013308+0.00068881i,6.2497e-05+0.00013183i,-8.2051e-06-0.00082653i,-0.0003443-0.0010609i,-0.00044315-0.00063642i,0.00026716-4.3802e-05i,9.723e-05+0.00067055i,2.8975e-05+0.00073843i,0.00046038+0.00063294i,-9.2258e-05+0.0005386i,-0.0010525-0.00014017i,-0.001297-0.00096511i,-0.00029577-0.0014821i,0.00029891-0.0010078i
0.00027602+0.00093479i,-0.000306+0.00069913i,0.00056675+0.00073834i,0.0021536+0.0014602i,0.0016978+0.0016139i,0.00016494+0.0020108i,-0.00082467+0.0014585i,-0.00051559+0.00066735i,0.00011822+0.00052297i,-0.00031543-0.00021648i,-0.00056126+2.9148e-05i,6.2172e-05+0.0005046i,0.00013808+0.00035303i,0.00048113+0.00095081i,0.00023555+0.001397i,9.0145e-05+0.0015315i,0.00057537+0.00047123i,0.00079782-0.00078183i,0.00029172-8.2145e-05i,-0.00028372+0.00029149i,-0.00032984-0.00020017i,0.00039517+0.0004219i,0.00013667+0.0014239i
-0.0035118+0.00088014i,-0.0035135+0.0022498i,-0.0018433+0.0037712i,-0.00052952+0.0026883i,-0.00044072+0.0017453i,-0.00039028+0.00093923i,0.00015504+0.00073692i,0.00088038+0.00085138i,0.00037256+0.0015499i,1.7496e-05+0.002645i,0.00039184+0.002573i,0.00072619+0.0012928i,0.0008462-0.00029987i,0.00079661-0.00066103i,0.00028352-0.00020792i,-0.00024006+0.00027941i,-0.00077097+0.00062746i,-0.00098016+0.00072259i,-0.00017691+0.00046342i,0.00070291-0.00061025i,0.00064866-0.00099765i,0.00036171-0.00028314i,0.00047924+0.00029229i
-0.0007774+0.00016347i,-0.0014225+1.7023e-05i,0.00038107+0.00067516i,0.0025999+0.00019246i,0.0022317-0.0010102i,0.00079989-0.00099724i,-0.00034484+0.00042406i,-0.00062821+0.0011676i,0.00065559+0.001338i,0.00088308+0.00087153i,0.00079916+0.00011097i,0.0010204+0.00046008i,-6.1182e-05+0.00088032i,-0.00043763+0.00075432i,0.00031925+4.2565e-05i,0.00050883-0.00039754i,0.00046461+0.00010687i,-0.00032725-0.00013174i,-0.00072162-0.00019731i,-0.00019853+0.00020987i,8.8587e-05+8.658e-05i,-9.9943e-05-2.0957e-05i,-0.00070556-0.00019404i
0.00028208+0.0020439i,0.00019104+0.0030424i,0.00071421+0.0025092i,0.0011241+0.0016552i,-0.00029158+0.0013957i,-0.0022619+0.0016734i,-0.0027078+0.001945i,-0.0023101+0.00084584i,-0.001893-0.00056663i,-0.00046565-0.0010311i,0.0011799-0.00030818i,0.0013901-5.969e-05i,0.00012968-0.00017511i,-0.00046226+0.00018951i,0.00017344+0.00023864i,0.00081181-5.0813e-05i,-6.637e-05+0.00016438i,-0.00089307+0.00017894i,-9.4022e-05+0.0006184i,0.00060093+0.00062081i,0.00067264+0.00037147i,0.00064519+0.0002745i,0.00084801-5.8278e-05i
0.0017875-0.00036316i,0.0014385-0.00055642i,0.0013322-0.0015337i,0.0018196-0.0018796i,0.0016091-0.0013211i,0.0007075-0.00060849i,0.00085524+0.00051848i,0.00070773+0.0015598i,0.00012131+0.00026955i,2.872e-05-0.00065105i,-0.00032914+0.00025095i,-0.00014395+0.00087272i,0.00032745+0.00094747i,-0.00035962+0.0007295i,-0.00069038-0.0003977i,-0.00010053-0.00097592i,0.00011903-0.00053674i,-0.00016541+0.00032941i,3.1042e-05+0.00039593i,0.00047719+0.00037402i,0.00015225+0.00042721i,1.1315e-05+0.00012678i,0.00015849-0.00093171i
-0.0019345+0.00055749i,-0.0028742+0.00061429i,-0.0023711+0.0014854i,-8.1043e-06+0.0017496i,0.0014055+0.0013422i,0.0012008+0.0016898i,0.00046275+0.0023018i,0.00033829+0.0020061i,0.0011392+0.0011285i,0.001352+7.6877e-05i,0.00086382-0.00042996i,0.00041537-0.00040745i,0.00070538-0.00071309i,0.00099621-0.0004466i,0.000701-0.00064351i,0.00032668-0.00080628i,0.00024691-0.00035327i,7.668e-05+8.3289e-05i,-0.00012824+0.00039535i,-0.00024223+0.0006058i,4.249e-06+0.00040076i,-0.00023461+8.5233e-05i,-2.366e-05+0.00033626i
-0.0011129-0.0021283i,-0.0010594-0.0010925i,-0.00067286+4.2869e-05i,0.00023491+0.00030439i,-0.00041916+0.00029311i,-0.00023644+0.00021747i,0.00045339+0.00054755i,0.00056946+0.001419i,0.00032871+0.0011954i,-0.00051314+0.001429i,-0.00053349+0.0015377i,0.00039501+0.00047865i,0.0014699-0.00021066i,0.0011973+0.00085418i,-0.0001845+0.0016619i,-0.00054221+0.0012385i,0.00039993+0.00022453i,0.00066052-0.00075839i,0.0008547-0.0010298i,0.0010892-0.0009144i,0.0002463-0.00050958i,-0.00033005-0.00025074i,-0.00017664-0.00069403i
0.00038756+0.0010233i,-0.00027631+0.0019586i,-0.00042724+0.0028084i,0.0002368+0.0026508i,0.0011162+0.0017422i,0.00085754+0.0014946i,0.00033494+0.0008202i,0.00090122+0.00015477i,0.0014851+0.00034319i,0.00088699+0.00062629i,-0.00050802+0.00046319i,-0.0010122-0.0002204i,-0.00032868-0.00036535i,0.00046499+0.00011129i,0.00015126+0.00046547i,-0.00046152+0.0008008i,-0.00074696-0.00010085i,-0.00036478-0.00046125i,0.00054534-1.4682e-05i,0.00096877+8.0783e-05i,0.00070393+0.00012711i,0.00018968+0.00020909i,0.0001965+0.00016237i
0.00023287+0.0012407i,0.0013626+0.0016295i,0.0013708+0.00054728i,0.0007701-0.0015291i,-0.0011796-0.0005839i,-0.0028875+0.0019163i,-0.0022628+0.002338i,-0.00053578+0.00090748i,0.00076171+0.00011074i,0.0012274+0.00088015i,0.00043079+0.0013862i,0.00017791+0.0010976i,0.00017944+0.00082188i,-3.7167e-06-8.8437e-05i,-2.3255e-05-0.00049683i,-0.00016011+4.8837e-05i,-8.8779e-05-1.1302e-05i,-0.00015274-0.00022258i,-0.00051842-2.2079e-05i,-0.00071612+0.00035547i,-0.001078+0.00012061i,-0.00093946-0.00043393i,0.00016905-0.00051881i
-0.0008321+0.0018823i,-0.0010282+0.0029306i,0.00057906+0.0031209i,0.0025408+0.0030043i,0.0032834+0.0013875i,0.0027292-0.0012633i,0.00083845-0.0012928i,-0.00041103+0.00048842i,-0.00040879+0.00013922i,-0.00053062-1.3986e-05i,-0.00070171+0.00053631i,-0.00026855+0.0010553i,5.3622e-05+0.0013532i,0.00011487+0.00054371i,0.00062983-7.6309e-05i,0.0011107-0.00079611i,0.00060527-0.00070937i,-0.00015729+0.00016939i,-3.6671e-05-0.00031413i,0.00040678-0.00077505i,0.00064769-0.00064261i,0.00064089-0.00022204i,0.00046768-0.0001755i
-0.001391-0.00083146i,-0.0027532+0.00015264i,-0.0022381+0.0012285i,-0.0017945+0.0015594i,-0.0018546+0.0016167i,-0.001944+0.0021662i,-0.0021496+0.0025665i,-0.001326+0.0021988i,-0.0005557+0.00096305i,-0.00060825+0.00020771i,-0.0003494+0.00043578i,0.00037958+0.0011924i,0.0010664+0.0011034i,0.00032759+0.00042085i,-0.00023574+0.00061819i,-0.00034694+0.0010734i,-0.00069483+0.001251i,-0.00094949+0.00039788i,-0.00035731-0.00068306i,0.00041753-0.00065239i,-0.00029242+0.00030444i,-0.00022495+0.00035902i,0.0007144-0.00087711i
-0.001394+0.0015219i,-0.001024+0.0023295i,0.00078882+0.0023211i,0.0017384+0.0014911i,0.0015576+0.00051652i,0.0004114+0.00036997i,-0.0016558+0.001046i,-0.0017378+0.00069697i,-0.00087804+0.0001587i,-0.00082637-0.00034214i,-0.00081407-0.0003387i,8.6832e-05-0.00044161i,0.001253-0.00081992i,0.001057-0.00064718i,0.00031125-0.00071817i,-0.00021666-0.000663i,7.3654e-05-0.00016237i,0.00053471+0.00020961i,0.00035443-8.6265e-05i,0.00035371-0.00045943i,0.00028181-0.00019797i,-0.00054066+0.00036833i,-0.00081352+0.0011038i
-0.0024972+0.0032714i,-0.0023936+0.0037996i,-0.00035997+0.0040224i,0.0012516+0.002814i,0.0011202+0.0013733i,0.00036113+0.0011949i,0.00026968+0.00043548i,0.00023765-4.8807e-05i,0.00035605+0.0011828i,0.00063054+0.0020877i,0.00046792+0.0015474i,0.00014181+0.0003042i,0.00032378-0.00027042i,0.00033454-0.00025262i,-7.1722e-05+0.00011506i,0.00013461+0.00069322i,0.00025155+0.0011237i,6.905e-05+0.0013126i,9.2941e-05+0.00054573i,0.00061551-0.00046334i,0.00074998-0.00037712i,-4.8338e-05-0.00018657i,-0.0004537-0.00013516i
9.3404e-05-0.0011658i,-0.00029591-0.001071i,-0.00064239+0.00013643i,-0.0014158+0.0001711i,-0.0023979+0.00081044i,-0.0019816+0.0024507i,-0.0011432+0.0023516i,-7.9657e-06+0.00089801i,0.0010699+0.00091789i,0.00067749+0.0014876i,-0.00016014+0.00083913i,-0.00070821-5.1242e-05i,-0.00043454+5.2898e-05i,-5.9166e-05+0.00026152i,0.00036093-0.000203i,0.00039666-0.00036279i,0.00013204-0.00028865i,0.0003459+0.0002242i,0.00085122+0.00033417i,0.00074736+0.00018883i,0.00034714-0.0002187i,0.00050054-0.00067394i,0.00023352-0.00049133i
0.00084248+0.0014194i,0.00035117+0.0014351i,0.001025+0.0014291i,0.0020472+0.00080579i,0.0022121-0.00026783i,0.0014464-0.00046794i,8.6335e-05-0.00039037i,0.00059444+0.00019415i,0.0018516-8.7882e-07i,0.0011044-0.00010482i,-0.00076044+0.00078708i,-0.0013895+0.0014227i,-0.0011431+0.00092942i,-0.0011163+0.0001641i,-0.00091886+0.00026167i,-0.0008598+0.00025087i,-2.5061e-05-0.00041316i,-0.00039291-0.00049755i,-0.00063935+4.0525e-05i,5.124e-05+0.00032933i,0.00041876+0.00094202i,0.0011611+0.0010896i,0.0013715+0.00011284i
-0.0026616+0.0012675i,-0.0037042+0.0021883i,-0.0017643+0.0036465i,0.00023122+0.0030562i,0.00070077+0.001608i,-0.00029583+0.0015343i,-0.0013347+0.0010086i,-0.00062506+0.00030312i,-0.00013521+0.00030921i,0.00074757+0.00024139i,0.0021152+0.00055383i,0.0019171+0.00057543i,-1.951e-05+0.00035339i,-0.00030449+0.00045246i,0.00047813+0.0014454i,0.00055689+0.0015571i,0.00048578+4.7532e-05i,0.00036422-0.00036915i,-0.0002701-0.00024404i,-0.00014112-0.00049878i,0.00019199-0.00037581i,-5.2874e-05-0.00020025i,-0.00077977-0.00075555i
-0.0018151+0.0015869i,-0.0026269+0.0017245i,-0.0014245+0.0017113i,0.00030547+0.00078966i,0.0011582+8.8286e-05i,5.7767e-05+8.3774e-06i,-0.001958+0.00098524i,-0.0028772+0.0017703i,-0.0018297+0.0010583i,-0.00018362+0.00090774i,0.00063509+0.0007487i,0.00090191+0.00069592i,0.00065016+0.00092589i,0.00023544+0.00077261i,8.9828e-05+0.00033628i,-6.8815e-05+0.00039109i,0.00071199+0.00035821i,0.0012646+0.00022487i,0.0010234+0.00074877i,-0.00017387+0.001046i,-0.0009888+0.00040347i,-0.0008262-9.048e-05i,-0.00075108-0.00015012i
0.001477+0.00031946i,0.001237+0.00056864i,0.00088725+0.00069059i,0.00043909+0.00054814i,-0.00097538+0.00092439i,-0.00069348+0.0016422i,5.7021e-05+0.0020065i,-0.00057897+0.0014581i,-0.0010011+0.00071013i,-0.0014593+0.00021616i,-0.0015182-0.00059944i,-0.00053617-0.0002525i,0.00028299+9.1085e-05i,0.0003914-0.00024971i,0.00048913+0.00043361i,-0.00023527+0.0016347i,-0.0012156+0.0013024i,-0.0009059+0.00013185i,-0.00065833-0.00048723i,-0.00075372-0.00093792i,0.00023072+9.7235e-05i,0.00039264+0.00060895i,-6.4404e-05-0.00083523i
-0.00099067+0.00043629i,-0.00035902+0.0011659i,0.0011102+0.0025279i,0.0024445+0.0024488i,0.0010984+0.0016654i,-0.00052036+0.0015072i,-0.00028793+0.0024873i,0.00025296+0.0023999i,0.00065983+0.0011733i,-0.00013391+0.0010908i,-0.00091129+0.00066698i,-0.00082696-0.00089988i,-0.00043371-0.0013012i,0.00051954-0.00083022i,0.001192-0.00059178i,0.0013682-0.00080659i,0.00079695-0.00054949i,0.00051627-0.0001021i,0.00063388-0.0001818i,0.00037337-0.00020943i,-0.00051661-0.00020087i,-0.00088808+0.00021667i,-0.00014726-8.9175e-06i
-0.0008449+0.0015536i,-0.0011723+0.00184i,7.7434e-05+0.0022206i,0.001572+0.0016055i,0.0017525+0.0010344i,0.00082938+0.00075736i,-0.00041234+0.0010308i,-0.00019989+0.0017858i,0.00073725+0.0018124i,8.9565e-05+0.0013722i,-0.00086603+0.0020247i,-0.001142+0.001504i,-0.001234+0.00014013i,-0.00070636+0.00032759i,0.00036334+0.0007417i,0.00059674+0.0014107i,-0.00028046+0.0014447i,-0.00011916+0.00016682i,0.00080958-0.0001985i,0.00056775+0.00044118i,7.5329e-05+0.00019056i,0.0003067-0.00022037i,0.00026485-0.00042742i
-0.0025008+0.0015026i,-0.0027902+0.0028613i,-0.001384+0.0021742i,0.00070536+0.0010412i,0.00029388+0.00061347i,-0.0010394+0.00097172i,-0.00046978+0.0012833i,0.00041252+0.00096153i,0.00059029+0.00095559i,0.0012738+0.0011527i,0.0013432+0.00178i,0.0010302+0.0021464i,0.00067035+0.0019739i,-7.4678e-05+0.0016799i,-0.00096895+0.00063053i,-0.0013138-0.00055656i,-0.00036923-0.00066161i,0.00099419-0.00044677i,0.0011637-0.00054553i,0.00098113-0.00054084i,0.00085557-0.00056193i,0.0001717-0.00043819i,0.00057018-0.00024321i
-0.0011006-0.0022771i,-0.0011591-0.0012189i,-0.00023591-0.0011905i,0.0009118-0.00077894i,0.00010306+0.00011742i,-0.0010345+0.00040175i,-0.00086552+0.00075807i,-0.00084035+0.00054125i,-0.00073289-0.0004681i,0.00041047-0.00070223i,0.00077014+0.0010234i,0.000618+0.0018233i,0.00097106+0.0016216i,0.0010465+0.001371i,0.00057629+0.00038076i,-0.00026732-0.00014192i,-0.00080308+0.00019025i,-0.00066929+0.00017261i,-0.00013278-0.00026952i,0.00031611-0.00070303i,0.0011244-0.00076947i,0.0012165-0.00039907i,0.00052666-0.0003731i
-0.0018957+0.0011548i,-0.002553+0.0024363i,-0.0021585+0.0030477i,-0.0022108+0.0017736i,-0.0019005+0.00049771i,-0.0014242+0.00014181i,-0.0011516+0.00018281i,-0.00083445-0.00044124i,-0.0011337-0.00086294i,-0.00066352-0.0010812i,6.8728e-05-0.00044767i,0.00048557+0.00032851i,0.00075081+1.9088e-05i,0.00040198-0.00027826i,-0.00057742+0.0004498i,-0.0012431+0.00048373i,-0.0014499-0.00036516i,-0.0012848-0.00056644i,-0.00030838-0.00077401i,-0.00037223-0.00089505i,-0.00050781-0.00037212i,-0.00043926+0.00030406i,-3.9283e-05+0.00015314i
-0.00073229-0.00033652i,0.00054807+3.4802e-05i,0.0014707+0.0015322i,0.0018922+0.00035457i,0.0016352+9.1984e-05i,0.00070402+0.0019713i,0.00011507+0.0026996i,-7.7734e-06+0.0019335i,-0.0001412+0.0012683i,-0.00037089+0.00077556i,-0.00022654+0.00023897i,-0.00010565-0.00011295i,-9.9212e-07-0.00059909i,0.00041468-0.00010452i,0.0012448+0.00072846i,0.0014836+0.0013068i,-4.5089e-05+0.00099067i,-0.00065545+0.00070525i,-0.00038741+0.0003826i,6.699e-05+0.00010719i,0.00032606-6.0599e-05i,-0.00013585-0.00046407i,-8.1194e-05-0.00034425i
-0.00094877+5.18e-05i,-0.0010128+0.00025416i,-0.0020291+0.00061851i,-0.0015417+0.00171i,-0.00099942+0.001716i,-0.0015536+0.0018302i,-0.0021327+0.0023782i,-0.002188+0.001673i,-0.0021539+0.0006876i,-0.0024469+0.00089178i,-0.0023853+0.0015188i,-0.0013156+0.0015367i,-0.00034387+0.00091692i,-6.3025e-05-0.00010341i,-0.00019628-6.8363e-05i,-0.00030121+0.00022074i,-3.0209e-05-5.674e-05i,-0.00040684-0.00066673i,-0.0011171-0.00098117i,-0.0011468+4.2344e-05i,-0.00041465+0.00065008i,0.00036868+0.00013601i,0.00093829+6.7832e-06i
8.5404e-05-0.00044938i,7.2732e-05+0.00041482i,0.00092798-0.00048861i,0.001865-0.00052424i,0.0019404+0.00035059i,0.0015989+0.0011896i,0.001878+0.0021496i,0.0024415+0.0014701i,0.0023984+0.00031255i,0.0015903+0.00098327i,0.00061554+0.0024598i,-0.00037112+0.0024193i,-0.00090843+0.0018566i,-0.00052165+0.0010133i,0.00016836-0.00014388i,0.0006951-0.0006931i,0.00085977+2.2791e-05i,0.00043473+0.00082294i,-0.00012009+0.00067079i,-0.0006098+0.0006232i,-0.00097841+0.00021033i,-0.00082165-0.0007016i,-0.00061318-0.0005933i
-0.00059662-0.0032811i,-0.0012821-0.0019502i,-0.0015055-0.00032746i,-0.0023096+0.00052566i,-0.0022756+0.00092339i,-0.0010828+0.0014409i,-0.00036582+0.0015265i,0.00013971+0.0013218i,0.00075886+0.00065409i,0.00033583+2.4182e-05i,0.00041469+0.00061977i,0.0010277+0.0012228i,0.00099064+0.00026988i,0.00064612+0.0001827i,0.0006491+0.0010905i,-3.4054e-05+0.0002944i,-0.00061246-0.00051756i,-3.8383e-05+0.00030027i,0.00027583+0.0005441i,6.3371e-05-0.00024766i,-7.866e-05-0.0011452i,-4.9201e-05-0.0015569i,0.00011419-0.0007406i
-0.0019252+0.0040852i,-0.001141+0.0054749i,0.00081531+0.0061209i,0.0021989+0.0032285i,0.0018149+0.00091188i,-0.00017559+0.00068334i,-0.0010763+8.3129e-05i,-0.00021449-0.00057087i,0.00016097-0.00081728i,-7.4222e-05-0.000392i,0.00059574-4.5279e-05i,0.0016336-0.00040975i,0.00064604-0.00068853i,-0.00092236-0.0002949i,-0.001136+0.00012616i,-0.001256+4.2629e-05i,-0.000857-0.00033579i,0.0007056-0.0010923i,0.00070893-0.0011647i,-0.00024855-0.00026843i,-0.00062107+5.2479e-05i,-0.00026981-0.0003057i,0.00034239-0.00017514i
-0.003215-0.0010327i,-0.0023653+0.0011388i,-0.0014682+0.0026732i,-0.00045796+0.0028484i,0.00058194+0.0031781i,0.00076638+0.0029626i,-0.00014107+0.0019397i,-0.00039241+0.00082236i,-0.00029968+0.00052673i,-0.0001408+0.00048918i,-0.00037451-9.0855e-05i,-0.00034334-0.00072191i,-7.6248e-05-0.0007255i,-0.00040922+9.1998e-05i,-0.00073689+0.00088959i,-0.00069933+0.0014088i,-0.00083602+0.0023207i,-0.00030679+0.0016357i,0.00011999+0.00045399i,-0.00015708-0.00017243i,4.3064e-05-0.00049851i,0.00028735-0.0011044i,-0.00011797-0.0010961i
0.0016048+0.002487i,0.0016994+0.0023889i,0.0021225+0.0022874i,0.0016093+0.0001307i,0.00068032-0.0020147i,0.00011099-0.0017685i,-0.00035343-2.1953e-05i,-0.0015252+0.00049005i,-0.0019994+0.00090637i,-0.001255+0.0013832i,-0.00038986+0.0010436i,-4.4264e-05+0.00076527i,0.00023471+0.00045663i,-0.00013253+0.0001517i,-0.00092139-0.00012201i,-0.00055115-0.00060784i,9.3708e-05-0.00079789i,0.00057153-0.0011966i,0.00085126-0.0010048i,0.00062717-0.00049567i,0.00030114-0.00034948i,0.00030644-2.6458e-05i,-0.00013714+6.5397e-05i
-0.0038848-0.0024612i,-0.0052379-0.0015469i,-0.004801+0.00090806i,-0.0021723+0.0025653i,-0.00077957+0.0028983i,-0.00033359+0.0023009i,-0.00045177+0.0014033i,-0.0013326+0.0012346i,-0.0016211+0.0016776i,-0.0013802+0.0011153i,-0.0014374+0.001098i,-0.00043802+0.0018337i,0.00060499+0.0015404i,0.0010783+0.00040661i,0.0019478-0.00018857i,0.0017363-0.00026574i,0.0010186-0.00010596i,0.00041145+0.00043084i,8.0988e-05+0.00077938i,0.0004979+0.00022625i,0.00067836-0.0010098i,9.1675e-05-0.00090306i,-0.00061033-0.00011715i
-0.0019419-0.0001734i,-0.0017637+0.0010105i,-0.00052613+0.0022919i,0.0014902+0.0015786i,0.0020049-8.6376e-05i,0.00023853+0.00047275i,-0.00071397+0.0018099i,0.00037459+0.0018469i,0.0012077+0.0011883i,0.0013683+0.00090193i,0.0017455+0.0011773i,0.0015185+0.0008618i,0.0012031+0.00027259i,0.0013609+0.00021032i,0.0005892-0.00019719i,-0.0007431-0.00072209i,-0.00056215-0.00074859i,-0.00029379-0.00099921i,-0.00028614-0.00092962i,0.00013549-0.00040502i,-7.3994e-05+0.00017071i,-0.00044695+0.00019639i,-0.00062982+0.00026154i
-0.0022514+0.0014531i,-0.002405+0.0020315i,-0.00045487+0.0028423i,0.00037883+0.0027286i,-0.0012655+0.0019284i,-0.0020213+0.0020483i,-0.0015912+0.0022339i,-0.00032115+0.0018114i,0.00099271+0.0010794i,0.00095986+0.00047365i,0.00076916+0.00049051i,0.0012325+0.00035727i,0.00073853-0.00034469i,0.00017915-0.00082298i,0.00062636-0.00042048i,0.0010772+0.00053682i,0.00074582+0.0011056i,-2.3377e-05+0.00068526i,0.00026496+0.00039538i,0.00022265+0.00021981i,0.00016197-6.0496e-05i,0.00057419+0.00034559i,-0.00031008+0.0004448i
-0.001452+0.0010636i,-0.0013411-2.0794e-05i,0.00013949+0.00017665i,0.00087483-0.00024445i,0.00049953-0.00089829i,-0.00024641-9.1338e-05i,0.00039429+0.00031937i,0.0015281-0.00049932i,0.0012886-0.0013876i,0.00034967-0.0017349i,-0.00062737-0.0017083i,-0.00069782-0.0011727i,-2.4604e-05-0.0003562i,0.0001749-0.00017899i,-2.7108e-05-0.00017733i,-0.00032759+0.00011159i,-0.00083259-5.3993e-05i,-0.00063247-0.00048206i,-0.00031716-0.00048007i,1.6186e-05-0.00051643i,0.00034627-0.00080933i,0.00036531-0.0002829i,4.8525e-05+0.00062568i
0.00075185+0.0023836i,0.00098604+0.0020939i,0.0014059+0.0021062i,0.0020019+0.0015401i,0.0016819+0.00058335i,0.00050483+0.00055085i,-0.00088214+0.00055593i,-0.0020691-0.0001707i,-0.0024934-0.00098099i,-0.0026529-0.00044045i,-0.0017821-0.00013351i,-0.00063641-0.00024802i,-3.9667e-05+8.416e-05i,0.0003264-8.2683e-05i,0.0007568-0.00068176i,0.00091746-0.0011562i,0.00072694-0.0005153i,-0.00011517-0.00059155i,-0.00033084-0.001001i,-3.4766e-05-0.0012177i,4.7998e-05-0.0010659i,-9.7953e-05-0.00031934i,-0.00083297-0.00013758i
-0.0019943-0.00022702i,-0.0021567-0.00019985i,-0.0022542-0.00016542i,-0.0014728+0.0013437i,-0.0010561+0.0018058i,-0.0011567+0.0017291i,-0.00177+0.0010566i,-0.0021619-8.1482e-05i,-0.0021468+6.4871e-05i,-0.0021269+0.00092686i,-0.001492+0.0013058i,-0.00044363+0.00063886i,0.00031299+0.00041944i,0.00031138+0.00048805i,-0.00038409+0.0005708i,-0.00050329+0.00098914i,-0.00025558+0.0018182i,6.1926e-05+0.0020817i,-0.0004025+0.001237i,-0.00090257+0.00062198i,-0.00063162+2.6495e-05i,-0.00020643-0.0010966i,-0.00027787-0.0011058i
-0.001082+0.0025892i,-0.00063657+0.0032356i,0.0022725+0.0028123i,0.0035906+0.00080571i,0.002741-0.00033848i,0.00073384+9.0974e-05i,-0.00082133+0.0016135i,-0.0011212+0.002437i,9.0675e-05+0.0024568i,0.001142+0.0017337i,0.0011396+0.0017875i,0.001158+0.0019592i,0.0013057+0.0012433i,0.00016827+0.00028834i,-0.00081525-3.4026e-05i,-0.00021172+0.00036413i,0.00013058+3.2952e-05i,0.00056031-0.00016262i,0.00022873+0.0012311i,-0.00046386+0.001273i,-0.00045504+0.00096776i,-0.00027565+0.001016i,-0.00028981+0.000443i
-0.00090416+0.0019702i,-0.0014902+0.0030912i,-0.00064676+0.0033747i,0.00056077+0.0015802i,0.00069381-0.00017174i,-0.0007769+0.00080583i,-0.0013055+0.003835i,-0.00021518+0.003986i,0.0013309+0.0015931i,0.0022793+0.00024771i,0.0020159+0.00032631i,0.00096016+0.00032013i,0.00046586-0.00018851i,0.00061733+0.00035226i,0.00011526+0.00078254i,0.00012687+0.00015777i,0.00047438+0.00016715i,0.00060037+0.00055638i,0.00076216+0.00049209i,0.00071845+0.00044855i,0.00061863-8.1774e-05i,0.00057704-0.00028841i,0.00027546+0.00062961i
-0.0010694-0.0008683i,-0.0018964-0.00038398i,-0.0015957+0.0011336i,-0.00021052+0.0017773i,0.00053993+0.0016045i,-0.00068231+0.0010627i,-0.0013159+0.00052015i,-0.00042928+0.00083957i,0.00049667+0.00034734i,-0.00044611-0.00042271i,-0.0010751-0.00045974i,-2.8077e-05-7.1842e-05i,0.00041228-0.00024761i,-0.00012311-0.0003367i,-0.00044241-0.00015918i,-0.00075083-0.00038114i,-0.00093624-0.00057874i,-0.0010037-0.00048422i,-0.00059442-0.00051709i,-0.00039747-0.00058818i,-0.00046538-0.00019842i,0.00022712-0.00023955i,0.00014886-1.9119e-05i
-0.0025651+0.00031729i,-0.0030506+0.0011235i,-0.0004014+0.0019164i,0.0012461+0.0021824i,0.0011102+0.0011585i,0.00089602+0.00058827i,0.00072825+0.00030763i,0.0010063+0.00041881i,0.00070317+0.00013307i,0.000305-0.00052454i,0.00043103-0.00071736i,0.00050785-0.00065668i,0.00019652-0.00024488i,-0.00035836+0.00010993i,-0.00026236+0.00060112i,-0.00031881+0.00071463i,-7.3594e-05+0.00022907i,0.00024777-5.7054e-05i,0.00067775+0.00044898i,-0.00014855+0.00024125i,-0.00049176-0.0010046i,1.0912e-05-0.0008484i,4.5304e-05+6.2187e-05i
-0.0010985+0.00024244i,-0.00036552+0.00091014i,-0.00044801+0.00095219i,0.00013326+0.0012855i,0.00082732+0.001508i,0.00075686+0.00087537i,0.00050135+0.0014406i,-3.6376e-05+0.001508i,-0.00046186+0.00021032i,-0.0013831+0.00033981i,-0.0016005+0.0014175i,-0.00081871+0.0013968i,-0.00056111-1.0173e-05i,-1.4662e-05-0.00069289i,0.0010762-0.00032619i,0.0010945-0.00098804i,0.00039591-0.00098408i,-0.00044605-0.00040648i,-0.0010535+0.00053185i,-0.0011685+0.00085351i,-0.00087477-0.00089431i,-0.00061761-0.0018996i,-0.00062037-0.00074264i
-0.00082736-0.0011112i,-0.00062725-0.00030576i,-0.0010952-0.00030457i,-0.0014509-0.00067337i,-0.0010312+0.0005997i,-0.00069848+0.0018808i,-0.001959+0.001289i,-0.0019961-0.00065084i,-0.00037485-0.00086322i,-2.5192e-05+0.00044077i,-0.00028208+0.0012244i,0.00030254+0.0015684i,0.00026774+0.0014937i,-0.00012071+0.00073935i,0.00018524+0.00071682i,0.00075029+0.00081192i,0.0013091+0.00010238i,0.0011046+0.00028223i,-9.8769e-05+0.00052642i,-0.0011421+0.00042622i,-0.0013737+0.00081148i,-0.0010174+0.00043778i,-0.00072948-0.00074947i
0.00028707+0.0014656i,6.7637e-05+0.0029078i,0.0007228+0.0040612i,0.0011475+0.0033413i,0.0010663+0.0017479i,-0.00011147+0.0012371i,-0.00082501+0.0015892i,-0.00069947+0.0019891i,-0.00059019+0.00068016i,-0.00017751-0.00010632i,0.0004345-4.2697e-05i,0.00046509+0.00018241i,-0.00038548+0.00038498i,-0.00018671-0.00031327i,-0.00012987-0.00037013i,-0.00054147-9.9078e-06i,-0.0004967-0.00050148i,-3.1198e-05-0.00025499i,0.00079839+0.00022267i,0.00083005+0.00076963i,0.00053721+0.00089127i,-0.00019189+0.00045768i,-0.00017522+0.00014023i
