-0.018675+0.00033135i,0.0025727-0.0025049i,0.015904-0.020738i,0.009648-0.033215i,-0.0047813-0.029217i,-0.011518-0.016616i,-0.0094269-0.0062232i,-0.0044557-0.0010433i,-0.00087383+0.0014462i,0.0014206+0.0034174i,0.0045674+0.0047518i,0.0071044+0.0042296i,0.0057823+0.0017675i,0.0034184-0.00029005i,0.002705-0.0010708i,0.0030154-0.0015479i,0.0027339-0.0015471i,0.0014712-0.0011156i,0.0005432-0.00076239i,0.0004282-0.00096146i,-0.0004378-0.0017323i,-0.0011727-0.0012723i,-0.00040706-0.0010767i
-0.014433-0.0050855i,0.0013372+0.010619i,0.021433+0.010416i,0.03007-0.0056512i,0.024387-0.021407i,0.010704-0.023248i,0.00061724-0.013325i,-0.0028089-0.0045186i,-0.0038268-0.0009468i,-0.0039748+0.00061405i,-0.0046288+0.001059i,-0.0063527+0.00025181i,-0.0070262-0.00055557i,-0.0047767-0.00031223i,-0.0021238+0.00029312i,-0.0012831+0.00023935i,-0.0016022-0.00013364i,-0.001778+0.0001117i,-0.001049+0.00036377i,-0.00040423-0.00034577i,0.00042843-0.001204i,0.0013622-0.0013134i,0.0016997-0.00052667i
-0.011889-0.012995i,-0.0069219+0.0093648i,0.011774+0.025834i,0.028623+0.025887i,0.033165+0.012597i,0.022477-0.0005226i,0.0073684-0.0041284i,-0.00095641-0.0029785i,-0.0030573-0.0015216i,-0.0023485+0.0014289i,-0.00031476+0.0045215i,0.0022901+0.0046415i,0.0042503+0.0028741i,0.0036493+0.0017552i,0.0031077+0.0016378i,0.0030635+0.0010351i,0.0018208-0.00024968i,0.00066522-0.0012968i,0.00029174-0.0015842i,5.5881e-05-0.0013967i,2.1432e-05-0.0016i,-0.00020313-0.0011245i,0.00030123+0.00014059i
-0.010734-0.022107i,-0.029226-0.0022877i,-0.034442+0.020149i,-0.023927+0.033215i,-0.0042534+0.030248i,0.0087936+0.013806i,0.0072962-0.00019387i,0.0022889-0.0056304i,-0.00098582-0.006669i,-0.0032729-0.0058639i,-0.0040194-0.0061311i,-0.0042341-0.0076563i,-0.004245-0.0068016i,-0.0037306-0.0032722i,-0.002788-0.0012789i,-0.0030689-0.00094888i,-0.0030859-1.6239e-05i,-0.0015027+0.0010015i,-0.00028257+4.4765e-05i,0.0003565-0.0012418i,0.00087095-0.00015754i,0.00042675+0.00073294i,-0.00027278+0.00083714i
0.011176-0.025399i,-0.0065226-0.020383i,-0.020158-0.011606i,-0.028639-0.0014134i,-0.026242+0.010112i,-0.012267+0.013265i,-0.0017224+0.0061416i,0.002034-0.0019955i,0.0025838-0.0058093i,-0.0003291-0.004224i,-0.0013562+0.00080049i,0.0004684+0.0055367i,0.00084362+0.0070034i,0.0010821+0.004685i,0.0012144+0.0035906i,0.0012765+0.0047446i,0.00080689+0.0042227i,-3.9592e-05+0.0026822i,0.00028105+0.0015904i,0.00095986+0.00059033i,0.00036526+0.00050964i,-0.00045874+0.0012925i,-0.00023047+0.0011561i
0.018507-0.01401i,0.0021163-0.024413i,-0.01016-0.031857i,-0.016322-0.033026i,-0.017662-0.021168i,-0.010901-0.0050033i,0.00020234+0.0026716i,0.0068999+0.0032142i,0.0069539+0.00025993i,0.005299-0.0040328i,0.0045029-0.0055697i,0.0035886-0.0058695i,0.0018778-0.0053856i,-0.00030005-0.0035218i,-0.00097072-0.0024974i,-0.00089162-0.0024612i,-0.0011766-0.001971i,-0.00039518-0.00050725i,0.0011262+0.00055917i,0.0016525+0.00051392i,0.001408+0.0012287i,0.00024095+0.0019461i,-0.00075796+0.0013184i
0.032128-0.005601i,0.028808-0.01836i,0.028036-0.021388i,0.025944-0.023143i,0.012799-0.021982i,-0.0024783-0.011218i,-0.0057275+7.9547e-05i,-0.001206+0.00515i,0.00263+0.00589i,0.0032686+0.0049909i,0.00028685+0.0052022i,-0.0036718+0.0060076i,-0.0042169+0.0059208i,-0.0017537+0.0041439i,0.00052965+0.0025078i,0.0016677+0.0022948i,0.0019212+0.0016486i,0.0014825+0.00054313i,0.001646+0.0010142i,0.0018322+0.0009856i,0.0016306+0.00031494i,0.00040743+0.00014178i,-0.00012381+5.2409e-05i
0.022029+0.018986i,0.021536+0.010888i,0.024208+0.012121i,0.031853+0.011275i,0.027482+0.00089862i,0.010208-0.0048493i,-0.0030944-0.00045662i,-0.0059659+0.004331i,-0.0034126+0.0051157i,0.00029537+0.0036375i,0.0031861+0.0016247i,0.0039996-0.00069141i,0.0036919-0.0029303i,0.0030894-0.0034864i,0.0021902-0.0027777i,0.0012601-0.0031955i,2.3284e-05-0.002933i,-0.00079351-0.0014977i,-0.0002671-0.0009431i,4.8814e-05-0.00026951i,-0.00019178-0.0002254i,-0.00017418-0.00049733i,-0.00027782-0.00031475i
0.010965+0.027432i,0.0094731+0.023542i,0.00019902+0.031924i,-0.0010743+0.039681i,0.0030328+0.028495i,-0.00016526+0.0079771i,-0.0065388-0.0024218i,-0.008235-0.0025276i,-0.0071214-0.0001249i,-0.0066048+0.0022511i,-0.0072936+0.0016535i,-0.0080172-0.00092157i,-0.0071985-0.0013714i,-0.0048876+0.00019637i,-0.0033963+0.0017316i,-0.002929+0.0017914i,-0.0014889+0.001757i,-0.0010578+0.0020386i,-0.0018583+0.0014961i,-0.0019982+0.00052849i,-0.0016693+5.7139e-05i,-0.00084084-0.00044718i,-0.00072712-0.00030161i
-0.01263+0.029094i,-0.010566+0.018791i,-0.022306+0.0082339i,-0.032163+0.0092422i,-0.02461+0.010797i,-0.0083918+0.0042706i,-0.0018457-0.0028381i,-0.0037134-0.0052902i,-0.0045509-0.0051524i,-0.0034126-0.0039573i,0.00030738-0.0017948i,0.0053412-0.001073i,0.0062181-0.0025315i,0.0034044-0.002107i,0.0014881-0.00027557i,0.0016+0.00041846i,0.001311-0.00029318i,-0.0012791-0.0015355i,-0.0028695-0.00096702i,-0.0018036+0.00024967i,-0.0015335+0.000133i,-0.0021308-1.5883e-05i,-0.0022141-0.00049724i
-0.02629+0.014757i,-0.018923+0.004065i,-0.022111-0.015126i,-0.027065-0.023485i,-0.020207-0.018921i,-0.0077214-0.011516i,0.00081999-0.0081159i,0.002863-0.0077105i,0.0016918-0.006935i,0.00039817-0.0064127i,-0.0014273-0.0055437i,-0.0022518-0.0049311i,-0.0017788-0.0035908i,-0.001162-0.0011239i,-0.0016242+0.0001426i,-0.0023037+0.00062077i,-0.0010989+0.00029639i,0.00081093+0.00012087i,0.00024465-0.00090092i,-0.00042843-0.0023509i,0.00035679-0.0018634i,0.00013451-0.00069133i,-0.00074007-0.00022989i
-0.02343-0.0024237i,-0.0042518-0.0093793i,0.016019-0.027445i,0.020647-0.03708i,0.014872-0.030163i,0.0096146-0.01433i,0.0077261-0.0029032i,0.0074814-0.00059363i,0.0076004-0.002379i,0.0069206-0.0034324i,0.0049119-0.00057551i,0.0035309+0.0038686i,0.0033034+0.0046533i,0.0033485+0.0033812i,0.0028873+0.0028165i,0.0025201+0.0018213i,0.003197+0.0001847i,0.00308-0.00071939i,0.002524-0.00048334i,0.002502-1.509e-06i,0.0026292-0.0007167i,0.0019076-0.00068474i,0.0012807+0.00051824i
-0.022016-0.013037i,-0.0046451+0.00079515i,0.021169+0.0089627i,0.037005+0.0078819i,0.031126+0.0018219i,0.014356-0.001874i,0.0047818-0.00039011i,0.0039443+0.0026161i,0.0049032+0.0040199i,0.0060722+0.0031365i,0.0051433-0.00028834i,0.0016349-0.0026054i,-0.00066592-0.0019133i,-0.0017745-0.00049105i,-0.00083333-0.00037536i,-0.00021112-0.00084109i,-0.00071779-3.4071e-05i,-0.00036065+0.00097039i,0.00048479-0.00079919i,0.0011001-0.0020827i,0.0014347-0.0014214i,0.0012541-0.00099176i,0.00073539-0.00044332i
-0.0091178-0.022669i,-0.0050589-0.0017657i,0.0066713+0.020953i,0.015517+0.033697i,0.015763+0.028164i,0.0073495+0.013297i,-0.00076977+0.0047169i,-0.002435+0.0029862i,-0.0019143+0.003453i,-0.0018648+0.0052187i,-0.0019933+0.0058589i,-0.0033505+0.0053078i,-0.0046329+0.0045777i,-0.0040432+0.0032901i,-0.0030308+0.0032074i,-0.0011621+0.0037663i,0.00024493+0.0035622i,0.00065895+0.0025854i,0.00011306+0.0022792i,-0.0010507+0.0026917i,-0.00020893+0.0021788i,0.00071795+0.0013422i,0.0004215+0.00033244i
-0.000885-0.027575i,-0.014043-0.007548i,-0.02329+0.015033i,-0.026093+0.026626i,-0.019222+0.023526i,-0.0082096+0.010586i,-0.0032465+0.00076001i,-0.0032492-0.0011042i,-0.0043487+0.00034068i,-0.0056938+0.0028839i,-0.0038777+0.0024347i,0.00050964-0.001116i,0.0017484-0.0037476i,-0.00080633-0.0037281i,-0.0016104-0.0020297i,-0.0015893-0.00021275i,-0.0018863+0.00071675i,-0.0013997+0.0015587i,-0.00079653+0.0021792i,-0.00048114+0.0014438i,0.00011386+0.00043138i,-4.9976e-05+0.0012242i,-0.00094865+0.0019453i
0.015809-0.018204i,-0.0050699-0.013174i,-0.025003-0.0098189i,-0.034701-0.010737i,-0.028496-0.0090402i,-0.01488-0.0050268i,-0.0052786-0.003815i,-0.0022596-0.003672i,-0.0034282-0.0046867i,-0.0058208-0.0053624i,-0.0065503-0.0032232i,-0.0052947-0.0011505i,-0.0035397-0.0011156i,-0.0017421-0.0017426i,-0.0007006-0.0013078i,-0.00059995-0.00042315i,-0.00096101+2.3115e-05i,-0.0012509+8.5858e-05i,-0.0012695+0.00044527i,-0.00069742+0.00049708i,0.00043506+0.0008056i,0.00032517+0.0015659i,0.00061741+0.00099282i
0.021861-0.013869i,0.0071678-0.025221i,-0.0027922-0.034622i,-0.0032817-0.03915i,-0.0017157-0.031644i,-0.0017938-0.016919i,-0.0014936-0.0061754i,-0.00052709-0.002316i,-0.00034482-0.0028612i,-1.2705e-05-0.0036996i,0.0021771-0.0023923i,0.0045019+0.00021997i,0.0048047+0.0014828i,0.0045225+0.00049542i,0.0040572-0.0012624i,0.0024693-0.0018049i,-9.3555e-05-0.0023359i,-0.001437-0.0023746i,-0.0014873-0.0020584i,-0.00085453-0.002286i,-0.00011459-0.0016737i,0.00023874-0.00083846i,0.00047792-0.00028403i
