-0.0014345-0.00045127i,-0.0014167-0.00072197i,-0.0016015-0.00077822i,-0.0029272-0.00065543i,-0.0037833-0.00013139i,-0.0035744+0.0005657i,-0.0020679+0.00062798i,-0.00023187+0.0015395i,0.00088224+0.0022879i,0.0011553+0.0019092i,0.001078+0.0015024i,0.0008732+0.00094369i,0.000578+7.9544e-05i,0.00048641-0.0001375i,0.000558+0.00012403i,0.00088534+0.00024056i,0.0005068+0.00078491i,8.13e-05+0.00041988i,0.00057099-0.00060777i,0.00030811-0.00044275i,-0.00024681+0.00053825i,-0.00045747+0.0010411i,-0.00064676+0.0011198i
-0.00035776-0.00052809i,-0.0011242+0.00067177i,-0.0014817+0.00017939i,-0.0013077+0.00018232i,-0.0017008-7.5589e-05i,-0.0020511-0.00029893i,-0.0012247-0.00044239i,0.00050002-0.00068781i,0.0010565-0.00015266i,0.00015792+0.00071208i,-8.5357e-06+0.0012287i,0.00075333+0.0011354i,0.00080323+0.00045926i,-0.00031735-0.00053835i,-0.00018388-0.00035913i,0.00073922-5.7632e-05i,0.00063248-0.00015158i,5.5448e-05+5.8575e-06i,-0.00016853-0.00027859i,0.00013787-0.00021173i,0.0003751-3.2722e-05i,0.00052853-0.00022448i,0.00019198-0.00018251i
-7.2929e-05+0.00025644i,-0.0003887+5.0458e-05i,-0.00076258-0.00031482i,-0.00037942-0.0005171i,-0.00087396-0.00061805i,-0.0011808-0.00057898i,-0.00091082+5.3645e-05i,-0.00069672+0.00050169i,-0.0003585+0.00089578i,-0.00024811+0.0013381i,-0.0001467+0.0013516i,-0.0002635+0.0005714i,-6.46e-05-0.00013293i,0.00014409+0.0003667i,-0.00013196+0.0019172i,-0.0004015+0.0018859i,0.00034162+0.0004484i,0.00012672+7.2644e-05i,0.00019537-0.00064429i,0.00055597-0.0013257i,0.00028945-0.00092335i,0.00058628-0.0006606i,0.0005245-0.00035776i
-0.0013466-0.0015366i,-0.00077847-0.00053454i,-0.00068172+0.0005892i,-0.00016692+0.0010276i,0.0012915+0.00082002i,0.0011211-0.00010392i,0.00092043-0.0010558i,0.00068708-0.00065201i,-0.00012323+0.00028789i,-0.00045716+0.00081389i,-2.765e-05+0.0012931i,0.00054773+0.00086366i,0.00027577+0.0007378i,1.8216e-05+0.0013515i,0.00031975+0.0010216i,4.9533e-05+0.00091426i,0.00044726+0.00040252i,0.0012707-0.00071433i,0.00097055-0.00058825i,0.00085104-0.00022608i,0.00050403+0.00017676i,-7.5518e-05+4.428e-05i,-5.2817e-05-0.00090998i
-0.00035526-0.00064894i,-0.0011704-0.00095028i,-0.0016894-0.001586i,-0.00088037-0.001354i,0.00014831-0.00047997i,0.0013682+0.00070711i,0.0015211+0.0010661i,0.0014706+0.0009751i,0.0013493+0.00085368i,0.00049751+0.0014774i,-0.0011611+0.0016356i,-0.0017196+0.0010785i,-0.0011477+0.0007387i,6.718e-05+0.00018861i,0.00057346-4.2291e-05i,0.00080002+0.00038148i,0.0010227+0.0010682i,0.00061671+0.00042283i,0.00089502-0.00057682i,0.0011696-0.00015876i,0.00069043+0.00058701i,0.00012988+0.0008403i,-0.00065254+0.00036536i
0.00027552-0.0018893i,-0.00078972-0.002i,-0.0023695-0.001515i,-0.0011214-0.00017619i,-0.00012005+0.0010949i,-0.00032869+0.0013763i,-0.00012485+0.0014475i,-0.00084856+0.0011466i,-0.0015681+0.00046008i,-0.0009511+0.00039304i,-0.00074346+0.0010685i,-0.00058602+0.0018485i,-0.00065967+0.0013481i,-0.00032616+0.00012522i,-0.00012056-0.00011354i,-0.0002265+0.00059398i,-0.0004112+8.8659e-05i,-0.00013152-0.00027278i,0.00080122-6.4221e-05i,0.00062256+0.00030883i,0.00038774+0.0011633i,-0.00011213+0.00047352i,-0.0010139-0.00020195i
-0.0010659-0.0024452i,-0.00039863-0.0013741i,-0.00088202-0.00061949i,-0.0021812-0.00025399i,-0.0026136+0.00027767i,-0.0016797-2.1585e-05i,-0.00078875-0.0011363i,-0.0002161-0.00087197i,-0.00021966-0.00023735i,-0.0010663+0.0003528i,-0.0015141+0.00077111i,-0.0010305+0.00056946i,-0.0010596+0.00023045i,-0.0010369+0.0010338i,-0.00016646+0.001591i,0.00063073+0.00084608i,0.0010327-0.0001203i,0.00097723-0.00082669i,0.00046533-0.00091152i,-0.00014734+0.00025023i,-0.0007737+0.00090981i,-0.0013963-8.1613e-05i,-0.0020293-0.0010879i
-0.00098871-0.00041533i,-0.0019399+0.00045313i,-0.0022535+0.00077154i,-0.0019217+0.00052704i,-0.0014849-6.0869e-05i,-0.00034207-0.00094779i,7.6494e-05-0.0015232i,-0.00039949-0.0010255i,-0.00027883-0.00032585i,-0.00023729-0.00031083i,-0.00047452+0.00071219i,-0.00042651+0.0014895i,0.00024076+0.00057165i,0.00041872-0.00032264i,0.00027949-0.00059977i,-0.00023508-0.00088424i,4.7959e-05-0.00085899i,0.00057525-0.00033146i,0.00050367+0.00019421i,0.00016346-0.00018392i,0.00012122-0.00033656i,0.00019019-0.00031371i,0.00010786+0.00048247i
0.00092629-0.0023548i,0.00043304-0.0028753i,0.0012318-0.0034467i,0.0003069-0.0025053i,-0.00090401-0.0015858i,-0.00067342-0.00052133i,0.00043646+0.00095441i,0.00097115+0.00096103i,0.00084763+0.00017446i,-0.00029522+0.0004424i,-0.0014307+0.00076975i,-0.0018505+0.00097613i,-0.0011516+0.0018049i,-8.4356e-05+0.001124i,5.2568e-05+6.2768e-05i,0.00011746+0.00035124i,0.00038323-5.3072e-05i,0.00026789-0.00059348i,0.00065814-0.00027309i,0.00083664-0.00058914i,0.00022282-0.00053937i,-0.00017412+4.99e-05i,-0.00035447-0.00011627i
0.0018587+0.00056295i,0.0022282+9.4922e-05i,0.0022311-0.00057072i,0.0015271-0.00087854i,-0.00010846-0.00077377i,-0.00059045-0.00069742i,0.00043718-1.2649e-05i,0.00011784+0.00054535i,0.00054526+0.00080203i,0.00095049+0.00082884i,0.00074676-5.4601e-05i,0.00056351-0.00089076i,0.00011237-0.00075286i,0.00011209-0.00031656i,-0.00054024-5.9162e-05i,-0.00076244+0.00022948i,4.3721e-06+0.00066868i,0.00020626+0.00062775i,0.0003923+6.4535e-06i,0.00062571-0.00034276i,0.00101+0.00049701i,0.0014471+0.00072005i,0.0010789+6.417e-05i
-0.0005936+0.0043466i,0.00022622+0.0032096i,0.0023905+0.003381i,0.0035584+0.0021388i,0.0032927-2.8934e-05i,0.0020385-0.00092822i,0.0006407-0.00049748i,0.00024685+0.00071522i,0.00042916+0.0015644i,0.0010136+0.0016255i,0.00051633+0.0011048i,-0.00044164+7.0486e-05i,-0.00011996-0.00084251i,6.6606e-05-0.00054069i,-0.00053248-0.00028556i,-0.00047066-0.00040078i,-7.8307e-05-0.00022755i,0.0004593-0.00011613i,0.00066368-0.00048611i,0.00052094-0.0010132i,0.00027765-0.00066306i,-8.9571e-05-0.00013754i,-0.00013389-0.0005374i
-0.00034745-0.001251i,-0.00079649-0.00085959i,-0.0012567-6.9957e-05i,-0.0011978+0.00049809i,-0.0012773+0.00039328i,-0.00071317+0.00028899i,-0.00030674+0.00039897i,-0.00026587+0.0011923i,0.00051838+0.001801i,0.0011098+0.0012526i,0.00036889+0.00088405i,-0.00022749+0.00086919i,5.006e-05+0.00058137i,0.00042519+0.0011712i,0.00050044+0.00055046i,0.00065116-0.00018921i,0.00059299+0.00071832i,0.0012645+0.00052952i,0.0016698-0.00027486i,0.00072582-8.5044e-05i,-0.00013275+0.00017859i,0.00013273-2.7288e-05i,-0.00011711-0.00046085i
0.0015935-0.0027666i,0.0010252-0.003045i,-0.00069926-0.0023029i,-0.0013991-0.0009678i,-0.0011215+0.00017429i,-0.00063857-4.6016e-05i,0.00027698-0.00067761i,0.00081902-0.00035915i,-0.00036695-6.9325e-05i,-0.0010591-6.4317e-05i,-0.00099998+0.0011309i,-0.0012866+0.001499i,-0.0010271+0.00099767i,-0.00041659+0.0014052i,-0.0004448+0.0016632i,-0.00040131+0.0010845i,0.00057565+0.00011516i,0.00097325-0.00029552i,-5.2606e-05+3.8131e-05i,-0.0013819-0.00030823i,-0.0014233-0.0010794i,-0.00077509-0.00081578i,-0.00059187-8.6684e-07i
-0.00095341+0.0013856i,-0.00025032+0.0016018i,0.00019431+0.0025671i,0.00095321+0.0019343i,0.0012635+0.00047511i,0.0015897-0.00026105i,0.00056024-0.00038402i,-7.7569e-05-5.4562e-05i,0.00034026+0.00038667i,0.00051226+8.9031e-05i,0.00042795+7.5541e-05i,-0.00026937+0.00041641i,-0.00099912-6.867e-05i,-0.00059119-7.2902e-05i,0.00061474+0.00070472i,0.00083388+0.0006138i,0.00086303+3.8197e-05i,0.0014509-0.00017853i,0.0022844-0.00062387i,0.0022714-0.00079916i,0.00077067+0.00029663i,-0.00010642+0.00013352i,5.3494e-05-0.00049151i
-0.00056061-0.0013195i,-0.00010571-0.0014407i,-0.00086232-0.0013214i,-0.0017842-0.00061226i,-0.0013951+0.000475i,-0.00052077+0.00039865i,-0.00035396-5.7744e-05i,-4.1577e-05+0.00052235i,-0.00014093+0.0014702i,-0.0011975+0.0012203i,-0.00097742+0.00051306i,-7.3631e-05+0.00040435i,-4.7286e-05+0.00029293i,-3.2764e-06+0.0002651i,0.00048898+0.0011278i,0.00025188+0.0010291i,7.7212e-05+0.00086645i,0.00077562+0.0013945i,0.0012445+0.00099088i,0.00033354-7.0909e-05i,-0.00039126-0.00066972i,-2.3714e-05-0.0003673i,-0.00010542-3.8189e-05i
0.001507-0.00035167i,0.0017059-0.00078091i,0.0013976-0.0021434i,0.00030048-0.0028713i,-0.00061984-0.0023764i,-0.00053742-0.00047405i,-7.8182e-05+0.00045662i,0.00037584+0.00054165i,0.00015701+0.00064156i,-0.00059824+0.00061063i,-0.00088351+0.00094033i,-0.00077056+0.00075153i,-0.00040445+0.00058912i,0.00026906+0.0010038i,0.00040961+0.0011341i,0.00026285+0.00022381i,0.0002508-7.6674e-05i,-4.7599e-05-8.8211e-05i,-0.00023124-0.00017486i,-0.00021085+0.00031923i,0.00019024+0.00071119i,-0.00014204+0.00073582i,-0.00055431+7.0707e-05i
-0.0017214-0.00094962i,-0.0024573-0.00076813i,-0.001927-2.7719e-05i,-0.0017738+0.00078898i,-0.0020449+0.0011973i,-0.00094381+0.00027638i,-0.00043077-0.00015784i,-0.00045136+9.9938e-05i,-0.00094888+0.0003867i,-0.0010607+0.0014106i,-0.00024656+0.0014515i,-1.9096e-05+0.00067179i,0.00094725+0.00030535i,0.0011518+0.00070703i,0.00051791+0.0013079i,0.0007517+0.0013487i,0.0006947+0.0015445i,0.00087062+0.0013064i,0.0013833+0.0007776i,0.00037281+0.00018691i,-0.00038685-0.00054233i,-9.238e-05-0.00067184i,4.1498e-05-0.00030993i
0.00029342+0.0017283i,0.00050784+0.0015639i,0.0010724+0.0015703i,0.001391+0.00081745i,0.0011049-0.00048746i,0.00048949-0.00030195i,0.0001084+6.7515e-05i,0.00076983+0.00019631i,0.00082544+6.6559e-05i,9.7596e-05+0.00014251i,2.6605e-06+7.7091e-05i,-0.00060753-0.0001765i,-0.00061519+0.00011702i,-0.00014299+0.00086024i,-0.00094177+0.0010371i,-0.0012161+0.00024271i,-0.00010278-0.00056954i,0.0012881-0.00056984i,0.0022105-0.00046585i,0.0018732-0.00043926i,0.00045016+0.00024273i,-0.00066358+0.00034146i,-0.00021752+3.3784e-05i
-0.00078602-0.00035844i,-0.0011971-0.00090974i,-0.00091961-0.0001489i,-0.00053021+0.00062798i,-0.00026385+0.0004455i,0.00042634-0.00017582i,0.00077619-0.00039626i,0.00020945+0.00025886i,-0.00066399+0.00067564i,-0.0012427+0.00031403i,-0.00096889+0.00076268i,-0.00012792+0.00077183i,-8.8757e-05+0.00017693i,-0.00055577+0.00046567i,-0.0006047+0.0014413i,0.00015637+0.001142i,0.00060849+0.00022033i,0.00052535+0.00025874i,0.00055308+0.00027306i,0.00012875-6.7349e-05i,0.00010835+0.00056806i,-0.00020504+0.0010677i,-0.0004562+0.0006514i
-0.00021954-0.00052165i,0.00031008-0.00075127i,-8.6123e-05-0.0009828i,-0.0009391-0.00027264i,-0.0015028-0.0001576i,-0.0015236-0.0010697i,-0.00050237-0.0011055i,0.00037151-0.00019768i,-3.8803e-05+0.00012731i,-0.0016453+0.00058754i,-0.0019356+0.0015395i,-0.0010188+0.0016852i,-0.00058164+0.0020781i,-2.1489e-05+0.0023164i,0.0010176+0.0014617i,0.00096957+0.00079135i,0.00063694+0.00069622i,0.00088925+0.00028553i,0.00073296+0.00033837i,0.00015964+0.00060097i,-0.00029144+0.00055584i,-0.00042773+0.00036683i,-0.00053503-5.0667e-05i
-0.0015436+0.001177i,-0.0020985+0.0018241i,-0.0021382+0.0019432i,-0.0012767+0.00074511i,-3.1619e-05-0.00019074i,0.0003755-0.00079659i,0.00070785-0.00060348i,0.00051724-3.567e-05i,7.2704e-05+0.00054263i,0.00032269+0.001665i,0.00042832+0.0018904i,0.00043446+0.0010996i,0.00058711+0.00034956i,0.00042535+4.6568e-05i,0.00082836-8.0589e-05i,0.00045346+0.0004746i,0.00073536+0.00031229i,0.0013817-0.00049627i,0.0010389-0.00049727i,0.00067409-0.00043474i,0.00058385-0.00017353i,0.00010882+0.00017499i,-0.00018022-0.00019373i
0.00014139-0.0029699i,-1.6821e-05-0.0026883i,0.00027059-0.0028026i,-0.00050368-0.0027109i,-0.00086775-0.0024799i,0.00042986-0.0017865i,0.0014345-0.0011554i,0.0011157-0.00015096i,0.00059368+0.00028965i,-0.00015611+0.00038153i,-0.00094929+0.00047076i,-0.0010105+0.00079348i,-0.00027446+0.0014966i,-0.00050034+0.0013013i,-0.00086084+0.0013551i,0.00012462+0.0017095i,0.0014833+0.00066896i,0.0016825-7.9846e-05i,0.0012358-6.9921e-05i,0.001289-0.00035746i,0.00057141+0.00026151i,0.00027102+0.00055359i,9.9772e-05+0.00038344i
0.0012588-0.00010623i,0.00054258-0.00088644i,-0.00081562-0.0015928i,-0.0012877-0.0017172i,-0.00073108-0.0012728i,-0.00050687-0.00022865i,0.00036296+0.00025568i,0.00031704+0.00032095i,-0.00037165+0.00054243i,-0.00082255+0.0012608i,-0.00089616+0.0015997i,-0.00061713+0.0012426i,-0.00045559+0.0012301i,-0.00031083+0.001387i,-0.00030404+0.00050247i,-0.00042426+6.9411e-05i,-0.00046794-0.00015997i,-0.00043875-0.00058723i,0.00015361-0.00034955i,0.00047568-0.00028774i,-5.9944e-05-0.00068188i,-0.00054513-0.00055555i,-0.00045847+0.00038323i
-0.001343+0.0019298i,-0.0010992+0.0012433i,-0.0010435+0.0017789i,-0.00058188+0.00088724i,0.0010143+0.00017897i,0.0013846+0.00060468i,0.00089999+0.00069888i,0.00080269+0.00028841i,0.00053172+0.00049077i,0.00017572+0.0010037i,4.1489e-05+0.0011022i,0.00051665+0.00050632i,0.0008057+2.3582e-06i,-0.00019443-7.0214e-05i,-0.00081346-0.00025908i,-0.00020475-0.00017313i,0.00017364+0.00024115i,0.00087912+0.00051904i,0.0011367+0.00065132i,0.00029585+0.00031846i,0.00021617-0.0003794i,0.00039503-0.00072294i,9.0005e-05-0.00079984i
-0.00037996-2.4895e-05i,-0.0015309+0.00041098i,-0.0013922+0.00033269i,-0.00057049-0.0001778i,-0.00078062-0.00053247i,-0.00083967-0.00060149i,0.00025778+4.0591e-05i,0.00092592+0.001485i,0.00025035+0.0014481i,-0.00050431+8.8223e-06i,-0.00074181-0.00044674i,-0.0010291+1.9199e-07i,-0.00045394-0.00048547i,0.00084843-0.00083473i,0.0010531-0.00066901i,0.00056434-0.00028002i,0.00063112-0.00030901i,0.0010347-0.00043621i,0.001092+4.6433e-05i,0.00046631+0.00069171i,0.00029309+0.00086646i,0.00071558+0.00065041i,0.00065706+0.00010765i
0.0002763-0.0010128i,-0.00014424-0.0017567i,-0.0011082-0.0016651i,-0.00042186-0.0010247i,-5.409e-05-0.0004792i,-0.0010898-0.0004443i,-0.0012695-0.0010337i,-0.00022908-0.0005381i,-0.00034327+0.00033576i,-0.00039219+0.00059609i,8.2448e-05+0.00085079i,-0.00035473+0.00048667i,-0.00059293-0.00030454i,0.00044882+0.00053129i,0.0013452+0.0018224i,0.00067265+0.0013423i,-0.0001413-0.00024239i,6.1535e-05-0.00038108i,-2.0725e-05+0.00038967i,-0.00042108+0.00025113i,-0.00079183+0.0004648i,-0.00076978+0.00071687i,-0.00075037+0.00065428i
0.0010593-1.2337e-05i,-0.00020012-0.00014061i,0.00038707-0.00048609i,0.0010055-0.00068374i,-0.00014039-0.00051413i,0.00029072-0.000108i,0.0016196+0.00030765i,0.00068084+0.00045302i,0.00031455+0.0009681i,0.00067397+0.0010009i,0.00010005+0.00066677i,-0.00047004+0.00079537i,2.7072e-05+0.00090514i,0.00031916+0.001118i,-0.00051774+0.00098391i,-0.00053516+0.00082954i,0.00077734+0.0010469i,0.0015393+0.0004169i,0.0017553-0.00026643i,0.0013445-0.0003016i,0.0006241-0.00042319i,0.00060023-0.00060396i,4.5491e-05-0.00055427i
0.0003724+0.0029626i,-0.00033827+0.0014645i,-3.9931e-05+0.00016017i,0.00051013+0.00020464i,0.00057374-0.0011333i,0.0010987-0.0013516i,0.0012551+0.00034814i,0.00065247+0.00044281i,0.00026145+0.00055145i,-6.9082e-05+0.00092066i,0.00012438+0.00044971i,0.00044874+0.00068011i,0.00014171+0.0013752i,-2.4304e-05+0.00069777i,0.00035276+0.0001353i,0.0012594+0.00058907i,0.0010145+0.00016418i,0.00060289-0.00028438i,0.00095394+0.00050176i,-0.00020518+0.00040225i,-0.001405-0.00029602i,-0.00074894-0.00054859i,-0.0001327-0.0010271i
0.0011433-0.00057515i,0.0009035+0.00016577i,0.0013095-0.00097145i,0.00083625-0.0021742i,-0.00052038-0.001382i,-0.0010298-0.00014142i,-0.0008312+0.00046071i,-0.00029321+0.0011345i,0.00012004+0.0010182i,-0.00015135+0.00025169i,-0.00038302+0.00024371i,-0.00037222+0.00034653i,-0.00051944-7.1774e-05i,-0.00086773+0.0005382i,-0.00068686+0.0011854i,-0.00036083+0.0006059i,-0.00032121+0.00024711i,-8.5143e-05+0.0007566i,0.00018646+0.00010354i,-0.00012788-0.0013609i,-0.00025465-0.0013685i,-0.00014178-3.0239e-05i,-0.00072574-0.00017388i
-0.0013539-0.00019197i,-0.0010512+0.00081393i,-0.00029793+0.00098282i,0.00045032+0.00090144i,0.0006929-0.00051845i,0.00099307-0.0015092i,0.0010245-0.0013823i,6.5831e-05-0.00039863i,-0.00064473+0.00032205i,-0.00096712+0.00037859i,-0.0013073+0.00114i,-0.00083198+0.0009298i,-0.00039592-0.00015245i,0.00035036-0.00073562i,0.00063424-0.00075897i,0.00022906-0.0001715i,0.00054993+0.00025939i,0.00065249+0.00012915i,0.00083337+7.4905e-05i,0.0013963+0.00030493i,0.0011589+0.00043923i,0.00033644-0.00022977i,0.00027262-0.00086229i
0.0019633-0.0027857i,0.0012952-0.0022784i,0.0011186-0.0016952i,2.6312e-05-0.00087631i,-9.6943e-05-0.00050397i,0.00041348-0.00057241i,0.00053506+9.1866e-05i,0.00057514+0.00013541i,0.00030675-0.00028i,-0.00032064+2.1921e-05i,-0.00058948+0.0005743i,-0.0010126+0.0011457i,-0.0012917+0.0015979i,-0.00063116+0.0012432i,0.00026244+0.00066908i,-0.00014757+0.00039096i,0.00014891-7.3428e-05i,0.0013447-0.00037232i,0.0010741-1.4773e-05i,0.0005978-0.00015153i,0.00040532-0.00082709i,-8.2818e-05-0.00055598i,-0.00059072+5.2232e-05i
-0.0016047-0.0010347i,-0.0015612-0.0011206i,-0.0016498-0.0011092i,-0.0014019-0.00039783i,-0.00070971-0.00079572i,-4.9767e-07-0.00069415i,0.00049127+0.00018259i,0.00027812+0.00078856i,-0.00017606+0.0013376i,-0.00039813+0.0017368i,-0.00080056+0.0020856i,-0.0010721+0.0012352i,-0.00055519+0.00034713i,0.00042356+0.00034243i,0.00088815+0.00023334i,0.00091858+5.9354e-06i,0.00088822-0.0001722i,0.0006567-0.00012312i,0.00070667+0.00039779i,0.0011+0.00063999i,0.00094708+0.00081106i,0.00053072+0.00075783i,0.00021549+0.00031276i
0.0036368+0.0013944i,0.0033131+0.0009032i,0.0037949-0.00013405i,0.0027655-0.0010348i,0.00126-0.0017348i,-0.00024031-0.001594i,-0.00067692-0.00099374i,0.00036224+0.0002266i,0.0013795+0.0013465i,0.00060306+0.0016465i,-0.00041853+0.00076675i,-0.00039045+8.9919e-05i,-0.00071353+0.00054267i,-0.00092424+0.00084519i,-0.00089509+0.00090081i,-0.0012659+0.00083232i,-0.0011034+0.00049143i,0.00025055-0.00042184i,0.00072387-0.0011102i,0.00012961-0.000532i,-0.00049095+0.00012455i,-0.0012453+0.00011456i,-0.00071583+0.00010568i
-0.00016166+0.00070724i,-0.00059632+0.00082329i,0.00034344+0.00039283i,0.000772-0.00015234i,-0.00026683+2.4432e-05i,-0.00043512+0.00030166i,0.0005128+0.00082988i,0.00058399+0.00084087i,0.00033028+0.00075286i,-0.0001514+0.0012506i,-0.00088346+0.0011806i,-0.00081164+0.00052337i,-8.4906e-05+8.3061e-05i,-7.1737e-06+0.00021628i,9.0118e-05-2.8223e-05i,9.0377e-05+0.00046783i,-3.96e-05+0.0011332i,4.2356e-06+0.00028188i,-0.00083741+9.528e-05i,-0.0011424+0.00031365i,0.0003694-0.00026604i,0.0010374-9.0499e-05i,0.00072578+0.0002541i
0.0014848-0.00090366i,0.00095319-0.001325i,0.0011996-0.0022422i,0.0016809-0.002547i,0.0010281-0.0018584i,0.00032503-0.0010078i,0.00042525-0.00053458i,0.00024592-0.00059845i,-0.00027287-0.00054603i,-0.0011336+9.3241e-05i,-0.001272+0.0011801i,-0.00035692+0.002144i,-0.00072154+0.0012423i,-0.0013995+0.00025165i,-0.00066953+0.00084108i,0.00042218+0.00084409i,0.0010486+8.5043e-05i,0.0016036-0.00017378i,0.0015712-0.0005985i,0.00066627-0.00059894i,-7.813e-05-0.00022234i,-0.00060684+0.00072976i,-0.00062143+0.0010107i
0.00011334+0.00079591i,7.8462e-05+0.001104i,0.00058007+0.00056556i,0.00045603+0.00030274i,-0.00042559+3.4059e-05i,-0.00088988-0.00060822i,-0.00092537-0.00070359i,-0.00068654+0.00016818i,7.0843e-06+0.0012086i,0.00058597+0.0009652i,0.00048848+0.00019952i,-0.00054894+4.963e-06i,-0.0010706-0.00045722i,-0.0014433-0.00080125i,-0.0011335-5.4322e-05i,-0.00056629+0.00023667i,-2.76e-05+0.00021836i,0.00060872+0.00040906i,0.00069825+0.00025803i,-5.1921e-05-0.00043579i,-0.0007413-0.00077921i,-0.00082244-0.00043471i,-0.000192-4.2863e-05i
-0.001901+0.00089547i,-0.00090262+0.000928i,-0.00050764+0.0018779i,-0.00068737+0.002105i,0.00020657+0.0011428i,0.00017131-0.00062254i,-0.00042752-2.2453e-05i,-5.2139e-05+0.0015976i,-0.00022603+0.0010364i,-0.00065678+0.00073414i,-0.0007606+0.00081715i,-0.00028429+0.00061361i,-0.00033677+0.0005769i,-0.00071823+0.00074681i,-0.00023316+0.00063433i,0.00041938-0.00019939i,0.00056469-0.00070221i,0.00047258-0.00040802i,0.00065177-4.4166e-06i,0.00077269+0.00024725i,0.0005459+0.00013475i,-0.00043106+0.00027676i,-0.0012981+4.19e-05i
-0.00042403+0.0019962i,-0.0013282+0.00096245i,-0.0010034+0.00075496i,-0.00041587-8.91e-05i,-0.00035559-0.0010489i,-0.00050162-0.00069394i,-0.00016421-7.8371e-06i,0.00067967+0.00022811i,0.00096391+0.00020982i,0.00064559+0.00033097i,0.00012266+0.00021715i,-0.00020957+0.00014041i,-0.00022796+0.00026036i,-0.00032781-0.00028007i,-0.00030978-0.00035853i,-2.9823e-05+0.00037464i,0.00092437+0.00065102i,0.0015993+0.00035619i,0.00067208-0.00031051i,-0.00010151-0.00058114i,5.4207e-05+0.00012534i,-0.00011677+0.00013448i,-0.00026652-0.00067539i
0.00024801-0.0025666i,0.00044751-0.0034698i,0.0013002-0.0033101i,7.637e-05-0.0014933i,-0.0012409-0.0001838i,-0.00078758+6.2934e-05i,0.0005805+0.00054076i,0.00093954+0.00098825i,-6.8047e-05+0.00081472i,-0.0011073+0.00040954i,-0.0011817+0.00098693i,-0.00076672+0.0016328i,-6.1703e-05+0.0015186i,9.5446e-05+0.00046064i,0.00030994-0.00043099i,0.00084602-0.0002168i,0.0013156+0.00042727i,0.0015803+0.0002335i,0.00099836+0.00026566i,0.00026767+0.00080639i,-0.00024313+0.0008378i,-0.00066206+0.00037699i,-0.000415-0.00050721i
0.0024549+0.00017979i,0.0024767+0.00024093i,0.0017169-0.00062396i,0.00074873-0.0017975i,0.00068402-0.0020437i,0.00096544-0.0017696i,0.0013414-0.00090291i,0.00097334+0.00062058i,0.00061995+0.0010476i,-0.00025177+0.0010465i,-0.0014026+0.00086844i,-0.0014489+9.7545e-05i,-0.0010454-0.00015766i,-0.00036039+0.00049053i,0.00054199+0.00033159i,0.00039574+0.00044554i,-8.5709e-05+0.00094761i,0.00050195+0.00072906i,0.00037788+0.00030707i,1.6342e-05-0.00023365i,-0.00026927+0.00015006i,-0.00082885+0.00089704i,-0.00071149+0.00014628i
-0.0015312+0.0021279i,-0.0016997+0.002709i,-0.00085914+0.0038353i,0.00059145+0.0030686i,0.0011363+0.0013331i,6.3617e-05+0.00017953i,-0.00091185+0.00067169i,-0.00098225+0.0010088i,-0.0010177+0.0010042i,-0.00041228+0.0011395i,0.0002866+0.00073395i,0.0008613-0.00058034i,0.0011877-0.00054086i,0.00022331+0.00020995i,-0.00092288+0.00016248i,-0.00045596-8.2846e-05i,0.00011009-0.00017454i,0.00081908-0.00026839i,0.00098537-0.00019429i,0.0003542+1.4289e-05i,-0.00053663+6.9854e-05i,-0.00074534+0.00034671i,-0.00050105+0.0001877i
0.0041634+0.0011736i,0.0036186+0.00072975i,0.0034432-0.00032867i,0.0026885-0.0018446i,0.0016049-0.0025155i,0.00068451-0.0018862i,-0.00043022-0.00055721i,-0.00086446-7.2234e-05i,0.00023779-0.00021878i,0.00065855-0.00015675i,-0.00030388-0.00089145i,-0.00080766-0.001207i,-0.00082601-0.00064722i,-0.00057009-0.00016617i,-0.00061079+0.00013523i,-0.0011289-0.00019157i,-0.00049275-2.7907e-05i,0.0011949+0.00027335i,0.0015897-9.4494e-05i,0.00099148-0.00014192i,0.0010029+0.00019295i,0.00071782+0.00033923i,7.9592e-05+0.00053532i
0.00088315-0.0010728i,0.00073043-0.0009284i,-0.00042855-0.0019829i,-0.0010429-0.0021051i,-0.00077711-0.0021281i,-0.00031476-0.0023224i,-0.00020266-0.0019262i,0.00046122-0.0011529i,0.00090967-0.00036365i,-0.00026793+0.00060833i,-0.0014152+0.00095128i,-0.0013215+0.001103i,-0.00077531+0.0010878i,-0.00039778+0.00091155i,0.00010527+0.00057874i,-0.00013156+0.00051869i,-0.00072126+0.00016388i,-0.00012768-2.6779e-05i,0.00015848+0.00042498i,-0.00010143+4.2748e-05i,-1.9132e-05-0.00023225i,-0.00031359+3.5961e-06i,-0.00041719-0.0003513i
-2.234e-05+0.0011647i,-0.0007638+8.2591e-05i,-0.00041724-0.00030139i,-0.00012859+0.0018573i,-0.0013178+0.0023438i,-0.00103+0.00054584i,0.00038336-0.00074914i,0.0011851-1.3953e-05i,0.00061311+0.0015028i,-1.9361e-05+0.00079559i,0.00041519-0.00020334i,0.00039821-0.00024157i,-0.00036174-0.00020155i,-0.00067788-7.8706e-05i,-0.00050921-3.2028e-05i,-0.00064459-5.5632e-05i,-0.0005875-0.00020855i,0.00049391+5.0499e-05i,0.00076493+0.00024774i,0.0001874+0.00030356i,0.00032166-5.3594e-05i,0.00058343-0.00019781i,-0.0002451-0.00016259i
