-0.0013126-0.00023859i,-0.00057505-0.00074679i,-0.00078122-0.0001174i,-0.0013695+0.00066698i,-0.0025615+0.0014975i,-0.003674+0.0024172i,-0.0031951+0.0023547i,-0.0015383+0.0012764i,-0.00036245+6.9871e-05i,-0.00048719+0.00028617i,9.4427e-05+0.00080049i,0.00060897+0.00033724i,0.00014992-0.00032986i,0.00045385-0.00040436i,0.00021329+9.4638e-05i,-0.00041961+0.00087359i,-0.00052723+0.00051647i,-0.00043036-0.00038114i,0.00020771-0.00074809i,0.00088438-0.00086262i,0.0018341-0.00077807i,0.0019744-0.00043916i,0.00074912-4.4799e-05i
0.00013708+0.00056023i,-5.3613e-05+0.00040235i,-0.0003265+0.0010617i,-0.00074681+0.0015902i,-0.0027908+0.00074784i,-0.0034402+0.00015731i,-0.0022327-1.7732e-05i,-0.0012182-0.00044012i,-0.00084502-0.00080903i,-0.0010224+0.00013333i,-0.00062801+0.00047602i,6.0075e-05-0.00057307i,-0.00012116-0.0002433i,-0.00031824+0.00039947i,-0.00069213-0.00033721i,-0.00036427-0.0010604i,-0.00037501-0.0011146i,-0.00045727-0.00050579i,-0.00015638+0.00018123i,1.072e-05-0.00028515i,0.00017446-0.00064055i,0.00011599-0.00055321i,-2.5512e-05-0.0003746i
0.0010894+0.00030171i,2.9134e-05+0.001069i,-0.00087528+0.00028558i,-0.0018261-0.00078627i,-0.0038246-0.0018309i,-0.0052263-0.0017958i,-0.0042135-0.0004685i,-0.0018111+0.00058433i,-0.00048018-2.6666e-05i,-0.00045322-0.00048827i,-0.00077164-0.00032996i,-0.00065573-0.00053649i,-0.00053514+0.00011124i,-0.00030322+0.00099817i,-0.00024824+0.0013578i,-0.00022337+0.0018865i,-0.00044004+0.0014179i,-0.001012+0.00047996i,-0.001002-0.00043105i,-0.00078942-0.00077295i,-0.00053762-0.00013999i,0.00015891+0.00010771i,0.00048481+4.0778e-05i
-0.00017245-0.00048065i,-0.00058587-0.00068774i,-0.00068859+0.00038757i,-0.0012839+0.00077735i,-0.0025024-2.0806e-05i,-0.0036565-0.00019823i,-0.003092+7.7721e-05i,-0.00094071-0.00034089i,0.00015549-0.00062587i,-8.073e-06-0.00084953i,1.0052e-05-0.00072134i,0.00026549-0.00079942i,0.00094096-0.00059632i,0.0013412-9.8251e-05i,0.00089637+7.2988e-05i,0.00010199+0.00055228i,-4.2058e-05+0.00025605i,-0.00030084-0.00045512i,-0.0005666-0.0009137i,0.00030969-0.0004877i,-9.7162e-05+0.00045976i,-0.000529+6.9128e-05i,0.00014321-0.00047541i
-0.00090395-0.00059024i,-0.00083925-0.00090948i,-8.811e-05-0.0010721i,-0.0010901-0.00019996i,-0.003424+0.00069577i,-0.0038292+0.00056452i,-0.0027286+0.00063441i,-0.0012898+0.00044733i,-0.00076554-0.0013999i,-0.0013001-0.0018097i,-0.0010378-0.001049i,-0.00028764-0.00083741i,-0.00011004-0.00080579i,-0.00021549-0.00086789i,0.00027607-0.0011188i,0.00081112-0.00077912i,0.001171+2.5531e-05i,0.0012654+2.3697e-05i,0.00030629-0.00042828i,-0.00051263-0.00012869i,-0.00022679+0.00024586i,-0.00054026+0.00051702i,-0.00058723+0.00042911i
0.0015061+0.001188i,0.0010742+0.0010659i,0.001153+0.00033104i,0.00081211-0.0010117i,-0.000983-0.0018925i,-0.0037305-0.00098853i,-0.0043323+0.00055446i,-0.002941+0.00079601i,-0.0011514-0.0003447i,4.9286e-05-0.00040751i,0.00028315-0.00014268i,-0.00014624-0.00084999i,-0.00047704-0.0012418i,-0.00062717-0.00079659i,-0.00071121-0.00010094i,-0.00045661-3.5131e-05i,-0.00044175-7.5927e-06i,-0.00080827+0.00011466i,-0.00068305+0.00052143i,0.0003086+0.00076267i,0.00077334+0.00041026i,0.00068637-0.00010444i,0.0012023+0.00025769i
-0.00033636-0.0010436i,-0.00043258-8.3935e-05i,-0.00059427+0.00016163i,-0.002286+0.00016818i,-0.0036238+0.0011808i,-0.0036305+0.0013588i,-0.0027875+0.00055717i,-0.0012877-0.0002248i,-0.00088523-0.00010526i,-0.00033748+0.0002777i,0.00012416+0.00063177i,0.00016467+0.00079287i,-0.00091792+0.00042808i,-0.0019348+8.7307e-05i,-0.0012897-9.3133e-05i,-0.00031648-0.00025719i,-3.3215e-05+0.00011357i,0.00037426+0.00039498i,0.00017163+0.00091736i,-0.00028146+0.00079376i,-0.00019203+8.6823e-05i,7.0502e-05-0.00025803i,0.0003059+0.00017757i
-0.0003586+0.0010926i,-0.0008656+0.0004078i,-0.00084477-2.7809e-05i,-0.0016974-0.00048302i,-0.003667-0.0010249i,-0.0054411-0.0010906i,-0.0055454-0.0010581i,-0.0029477-0.0011333i,-0.00097434-0.0011223i,-0.0010854-0.0012113i,-0.00066832-0.0010295i,-0.00050131-0.00047412i,-0.00045604+0.00035997i,-0.0005282+0.00045503i,2.3346e-05-0.00034716i,0.00053098-0.00013745i,0.00021191-0.00010916i,-6.609e-05-0.0004582i,0.00031457-0.00034739i,0.00012056+0.00039339i,-0.00072527+0.00061491i,-0.00053537+0.00023788i,-0.0005025+0.00037642i
-0.000395-0.00018169i,-0.000432-0.00061533i,-0.00048328-0.00074533i,-0.001764-0.00076554i,-0.0038152+0.00021276i,-0.0041064+0.0011579i,-0.0021627+0.0017929i,9.9753e-05+0.00093816i,0.00097516-0.0005738i,-7.1076e-05-0.00096688i,-0.00093805-0.0004364i,-0.00043548+0.00014947i,-0.00013336+0.00011268i,-0.00036392+0.00045837i,-0.00070105+0.00077802i,-2.8822e-05+0.00068665i,0.00078678+0.00032134i,0.00099411-0.00035304i,0.00096055+7.6632e-05i,0.00077382+0.00058286i,0.00029278+0.00075796i,0.00023459+9.9007e-05i,0.00018956-0.00034435i
0.00093366+1.6012e-06i,0.00052491-0.00029739i,-0.00026881-0.00021321i,-0.0016623-0.00080848i,-0.0030086-0.0011826i,-0.0035384-0.0013564i,-0.0022782-0.00080406i,-0.0011652-1.1204e-05i,-0.0005328-0.00059094i,0.00058681-0.00048921i,0.0009299+0.00052137i,0.00051177+0.00058813i,0.00070912+0.00056467i,0.00066516+0.00079095i,0.00021056+0.00019452i,0.00012122+5.4821e-06i,0.00074615+9.4087e-05i,0.00039517-0.00028239i,-0.00023814-0.00024649i,0.00022826+0.00029738i,0.000539+0.00042522i,-0.00014771+0.00068697i,-0.00072535+0.00077152i
0.00048097-0.0021037i,0.00036392-0.0027835i,0.00025675-0.0034393i,-3.9979e-05-0.0033127i,-0.0024-0.0024345i,-0.0030508-0.001377i,-0.0016279-0.00073598i,-0.00098849-0.00062314i,-0.0013238-0.0010127i,-0.0012512-0.00076973i,-0.0002555-6.4223e-05i,0.00030184+0.00013156i,-0.00011944-5.9826e-05i,-0.00056178-0.00046283i,-0.00055506-0.0013655i,-0.0003899-0.00076408i,0.00027641-5.0371e-05i,0.00068955-3.4582e-05i,0.00040401-0.0005081i,0.0008886-9.2253e-05i,0.00038194+0.00050398i,-8.9501e-06+0.00026959i,-0.00010298+0.00048273i
-0.00025542-0.00055226i,-0.00070882-0.00032764i,-0.001028+0.00025346i,-0.0013029+0.0010183i,-0.0026536+0.0010045i,-0.0042539+0.0008295i,-0.0036983+0.00068824i,-0.0022007+0.00032497i,-0.00063831-0.00021626i,-0.00030279-0.0003343i,-0.00041159-0.00018912i,-0.00014182-0.00035005i,-0.00018273-4.6721e-05i,-0.00042161+0.00013955i,-0.00035183+0.00029892i,5.6246e-05+0.00049916i,-0.00017309-5.4618e-05i,-0.0005431-2.0087e-05i,-0.00034909+3.8159e-05i,-0.00052084-9.3802e-05i,-0.00069455+0.00026226i,-0.00050613-4.3653e-05i,-5.4163e-05-0.00037713i
0.0017242+0.00078516i,0.0011624+2.8902e-05i,0.0016383-0.0016057i,0.00079211-0.0015258i,-0.0021862-0.0004009i,-0.004216+0.00033545i,-0.0028133+0.00085026i,-0.00049477+0.0008714i,-0.00032899+0.00055182i,-0.00092992+0.00027138i,-0.0008736+0.00033477i,-0.0010635+0.00060965i,-0.0012431-0.00024796i,-0.00091647-0.00025306i,1.5534e-05+0.00023393i,0.00075219+0.00010036i,0.00017365+7.861e-05i,-0.00061277+0.00043499i,-0.0006338+0.00023858i,-2.0847e-05-0.00037335i,0.00031792-0.00015256i,-0.00015943+0.0005602i,-0.00010604-1.6916e-05i
0.0010997+0.00054235i,-0.00032074-5.0473e-07i,-0.00037204-0.00093589i,-0.00069642-0.0010736i,-0.0016036-0.0014221i,-0.0026947-0.00056347i,-0.0026585+0.00030517i,-0.0017913-0.00041394i,-0.0011231-0.0013902i,-0.00073855-0.0009596i,-0.00024113-0.000597i,-0.00064034-0.00022973i,-0.00031452+0.00010513i,0.0006319+0.00013933i,0.00017921+0.00025846i,-0.00030081+0.00028587i,0.00029675+0.00012129i,0.00019004-0.00011946i,-0.00071411-0.0002482i,-0.0010333+0.00012057i,-0.00083993+0.00082256i,-5.2731e-05+0.0010632i,0.00063393+0.0012372i
0.00038084-0.0019195i,0.00047589-0.0020672i,-0.00034937-0.0023309i,-0.0024216-0.0014487i,-0.0045732-0.00087335i,-0.004371-0.00088801i,-0.0028067-0.00066473i,-0.0011113-0.0013135i,-0.00042764-0.0022931i,-0.0008907-0.0012008i,-0.00086431+0.00063266i,0.00031477+0.00082066i,0.0013284-0.0001429i,0.0012314-0.00066632i,0.00046409-0.0011508i,-0.00048244-0.0012776i,-0.00034878-0.0008047i,0.00020055-0.00024762i,-0.00019995+0.00014116i,-4.1589e-05+0.00025923i,0.00030514-0.00020953i,0.00063759-0.0002839i,0.00036428+0.00054784i
0.00042308-0.00095721i,-0.00013992-0.00012957i,-0.001413-8.3231e-05i,-0.0021037-0.00022241i,-0.0029609-7.0451e-05i,-0.0037765+0.0010434i,-0.0032945+0.0018638i,-0.0015133+0.0015113i,-0.0001101+0.00048276i,-0.00016789+0.00029801i,-5.3451e-05+0.00046028i,0.00030667-0.00035842i,0.00021167-0.0008846i,0.00043757-0.00047589i,0.00013282-0.00032299i,-0.00019716-0.00069334i,-0.0002232-0.00077945i,-7.7055e-05-0.00094522i,-0.00019105-0.00097857i,2.8435e-05-0.00031755i,6.9526e-05+5.1731e-05i,-0.00015491+0.00021819i,-0.0008021+0.0006881i
-0.0010899-0.00012338i,-0.0010511-0.0013012i,-0.0016501-0.00066393i,-0.0024699+0.00036657i,-0.0033309+0.00050042i,-0.0032817-0.0003902i,-0.0021868-0.00058374i,-0.0010649-0.00013378i,-0.00063615-0.00045241i,-0.00071764-0.00045569i,-0.00036169-0.00020185i,8.1936e-05+0.00062175i,0.00022265+0.0013544i,-0.00032926+0.00095921i,-0.00036282+6.5637e-05i,0.00017883-0.00017724i,-7.753e-05-0.00025884i,-0.00062797-0.00015345i,-0.00047602+0.00028316i,-0.00025946+0.00057885i,0.00011396+0.000292i,0.00012435-9.8698e-07i,0.00021984+0.00072597i
-0.00032384-0.00068444i,0.00010447+0.00031229i,-0.00080016+0.00080811i,-0.0020304-0.00079324i,-0.0035721-0.0022134i,-0.0045192-0.00098091i,-0.003655-0.00023806i,-0.0015006-0.0010873i,0.00010519-0.001182i,0.000197-0.00048344i,-0.0002301-0.00050685i,-0.00012852-0.00029791i,0.00070129-0.00046499i,0.0012315-0.00093173i,0.00040942-0.00057028i,-0.00052644+0.00062484i,-0.0014592+0.00060831i,-0.0013174-7.7665e-05i,2.5101e-05+4.7045e-05i,0.00054587+0.00020798i,0.00018332-0.00044756i,-9.1558e-05-0.0006756i,-0.00034392-0.00058051i
-0.00047494+0.00059192i,0.00050009+0.00014101i,0.00044695-0.00045255i,-0.0008103-0.00060056i,-0.0022094-0.001314i,-0.0034194-0.0015402i,-0.002991-0.0010426i,-0.00093174-0.0010695i,-0.00060669-0.0018375i,-0.00096042-0.001242i,-0.00049041+0.00036489i,-0.00096189+0.00019344i,-0.0014638-6.718e-05i,-0.00057834+0.0002617i,0.00063814+8.3918e-05i,0.00061717+0.00020862i,-0.00027924+7.8276e-05i,-0.00090934-0.00012289i,-0.00083387+0.00020968i,-0.00029351+0.00017097i,-0.0012553-0.0005467i,-0.0017235-0.00049235i,-0.0011729+0.00041714i
0.00057696+1.083e-05i,0.00010221-0.00033383i,-9.2996e-06-0.0003335i,-0.001627-0.00013716i,-0.0037475-0.00016349i,-0.004531+0.00057217i,-0.0033581+0.0013844i,-0.0009885+0.0011122i,0.00054973-0.00020691i,0.00057064-0.00095073i,9.6399e-05-0.00025914i,-4.7895e-05+0.00014955i,-0.00030175-0.00023367i,-6.819e-05-0.00042655i,-5.0861e-05-0.00046527i,-0.00012316-5.3482e-05i,0.00038015+8.6377e-05i,8.5636e-05+0.00012489i,-0.00079526+0.00073401i,-0.00096607+0.00026704i,-0.0003566-0.00013272i,0.00021299+0.00048075i,-0.00046209+0.00060492i
-0.00038627+0.0017872i,-0.00037044+0.001679i,0.00071401+0.0001877i,0.00020452-0.0017542i,-0.0019216-0.0019604i,-0.0042441-0.0011722i,-0.0034538+0.00012206i,-0.0014187+0.00041445i,-0.0012345-0.00073968i,-0.001712-0.00018696i,-0.0011254+0.0004571i,-0.00031986+0.00052676i,-0.00020205+0.00024419i,-0.00027226+1.5394e-05i,-0.00056329-0.00010982i,-0.0012619-0.00032449i,-0.00066589-0.00068982i,-1.7764e-05-0.00052637i,-0.00036125-0.0007513i,-0.00032372-0.00079292i,0.00036309-0.00028919i,0.00033324-9.1699e-05i,7.927e-05+0.00015013i
-0.00086967-0.00035723i,-0.00088598-0.00040445i,-0.001169+0.0003782i,-0.0014335+0.00012417i,-0.0031606-0.00054561i,-0.0042071-0.000283i,-0.0030684+0.00028394i,-0.0019428+5.0962e-05i,-0.00097348-0.00044814i,-0.00032365-0.00027213i,0.00010172+2.9301e-05i,6.679e-06+0.00060687i,0.00034556-2.2007e-05i,0.00035495-0.00036847i,-0.00031671+0.00020014i,-0.00029334+0.0002605i,-0.00016375-0.00026777i,-0.00017269-0.00034448i,0.00044304-4.8082e-05i,0.00072459-0.00031604i,0.00019049-0.00050634i,-0.00030114-0.00041648i,-0.00075644-8.5038e-05i
-0.00054687+0.00095417i,0.00015565+0.00044247i,0.0011304-0.00017375i,0.00036953-0.0010756i,-0.0015966-0.0019323i,-0.0041914-0.0008689i,-0.0036251+0.00031469i,-0.0011943-0.00034818i,-0.00071145-0.0007774i,-0.0012101-0.0011184i,-0.00049786-0.00092485i,0.00020719-3.7939e-05i,0.0002763+0.00030259i,0.00063754+0.00033218i,0.00066875+0.00059121i,0.00037089+0.00057219i,-5.2969e-05-8.5852e-05i,0.00013822-0.00013953i,0.00035266+0.00066819i,2.0967e-05+0.0010193i,-0.00033191+0.00043574i,7.0148e-05+5.9257e-05i,0.00092275+0.00018146i
0.00035593+0.00081342i,-7.3247e-05+0.00075324i,-0.0015119-0.00044931i,-0.002621-0.0007867i,-0.0034618-0.00014017i,-0.004676+0.00065192i,-0.0037967+0.0015695i,-0.0014648+0.0019636i,-0.00057141+0.0012027i,-0.0009537+0.00038355i,-0.00044307+0.00026146i,0.00028601+0.00035693i,0.00023418+9.6726e-05i,1.9094e-05-5.8195e-05i,-0.00051409+0.00013212i,-0.00089039+0.00030443i,-0.0012953-0.00033816i,-0.00085419+0.00020273i,-0.0004168+0.00077153i,-0.00094617+0.00027131i,-0.0013791-5.9032e-05i,-0.0011321+0.00041957i,-0.00052303+0.00085963i
-0.00069164-0.00032647i,-0.00085694-3.3004e-06i,0.0004889-0.00016078i,0.00029267-0.0012851i,-0.0020832-0.0019645i,-0.0036198-0.0019641i,-0.0032919-0.001886i,-0.0017223-0.0023472i,-0.00065315-0.0027448i,-0.0010883-0.0018058i,-0.0013287-0.00057674i,-0.00037354-0.00049158i,-7.1281e-05-0.00072788i,-0.00040489+3.3542e-05i,-0.00063786+0.00089035i,-0.00074592+0.00044889i,-0.00064061+0.00052029i,0.00030701+0.00029948i,0.0014537+0.00026153i,0.0011905+0.00069684i,9.0355e-05+0.00029944i,-0.00063007+5.9896e-05i,-0.00032081+0.00024603i
3.5575e-05-0.00035236i,-0.00057948-0.00062458i,-0.0019018-0.00055175i,-0.0024086+0.00028845i,-0.0026429+0.00046106i,-0.0028263+0.00057832i,-0.0026977+0.00049922i,-0.0013241-0.00051425i,-0.00077275-0.0018638i,-0.001548-0.0016637i,-0.0015192-0.00077906i,-0.00036384-5.8654e-05i,0.000244+0.00026549i,0.0001226+0.00022812i,0.00033418+0.00044003i,0.0010544+0.00017406i,0.0011193-0.00024394i,0.00050839-0.00048944i,5.5553e-05-0.00057165i,-0.00030088+2.5039e-05i,-0.00013034-0.00011123i,0.00064639-0.00028463i,0.00083815+0.00065194i
-9.8417e-05+0.00065266i,-0.00079241-0.00047014i,-0.0007954-0.00095436i,-0.0012635-0.0018262i,-0.002485-0.0026549i,-0.0034233-0.0014133i,-0.0027973-0.00046234i,-0.00061346-0.00029756i,0.00061503-0.00044179i,0.00070297-0.00017579i,0.00077873+6.6682e-05i,0.00034752-0.00059026i,-0.00059561+5.5919e-05i,-0.00063481+0.00076199i,-4.985e-05+0.00022034i,-2.5352e-05-0.0003002i,-7.4044e-05+0.00033106i,-2.9378e-05+0.0010672i,7.8433e-05+0.00053825i,0.00027001-0.00051971i,0.00021435-0.0012216i,3.5092e-05-0.0013582i,0.00011387-0.00024632i
0.00090863-0.001352i,0.00087887-0.0012023i,-0.00048933-0.0022334i,-0.0026473-0.0023142i,-0.0033995-0.001175i,-0.0040808+0.00028128i,-0.0033894+0.0014302i,-0.0012802+0.00077831i,-0.00055324-0.00055379i,-0.00045623-0.0012346i,-0.00024588-0.00038354i,0.00034661+0.0010525i,0.00062105+0.0010369i,0.00017206+0.00033536i,-1.968e-07-0.00017646i,4.9021e-05-0.0010096i,-0.00080809-0.0013915i,-0.0010714-0.001171i,-0.0004048+5.013e-05i,-0.00031167+0.00050529i,0.00020607-0.00065876i,0.00034471-0.00096508i,0.00031374-0.00039266i
-0.00096348-0.0018836i,-0.00033039-0.0014195i,4.5975e-05-0.00085977i,-0.0012351+2.0923e-06i,-0.0039689+0.00051455i,-0.0053942+0.0010079i,-0.0037743+0.000758i,-0.00097011+1.8733e-05i,-0.00010981-0.000277i,-0.00020303+0.00031048i,4.879e-05+0.00048408i,0.00048911+0.00036742i,0.00026177-6.4e-05i,-0.00020531-0.00072541i,-0.00068252-0.00081505i,-0.00055696-0.00063773i,5.4255e-05-5.3197e-05i,0.00038711+0.00050363i,0.00017931+0.0010523i,4.6372e-05+0.0014341i,0.00019761+0.00096154i,4.8824e-05+0.00010127i,0.00019623-0.00017507i
-8.1128e-05-0.0011464i,0.00043195-0.00094444i,-0.00063498-0.0021684i,-0.0018395-0.0022122i,-0.0037038-0.0014203i,-0.0050732-0.0006989i,-0.0044205+0.00072901i,-0.00309+0.0003715i,-0.001562-0.0016305i,-0.001262-0.0022011i,-0.00084081-0.0014051i,0.0002609-0.0018777i,6.7867e-05-0.0013474i,-0.0001534+0.000689i,-0.00052199+0.00082559i,-0.00067437+0.00049987i,-0.00025921+0.00028126i,-0.00043678-0.00024069i,-0.00063567+1.3078e-05i,-0.00075274+0.00090096i,-0.00013368+0.00106i,0.00021502+0.00055677i,-0.00024091+0.00067467i
-0.0011528-0.0012964i,-0.00033854-0.0011507i,-0.00088989-0.00024456i,-0.0012027+0.000321i,-0.0017531-0.00036036i,-0.0022532-0.0012563i,-0.0020122-0.0011032i,-0.00086847-0.0014409i,-0.00021165-0.0021798i,-0.0004005-0.0014625i,2.8093e-05+9.7117e-05i,0.00024854+0.00075544i,0.00021915+0.00068545i,-2.8828e-05+0.00028072i,-0.00065518-0.00046695i,-0.00086811-5.7166e-05i,-2.0213e-05+0.00025713i,0.00099279+0.00017962i,0.0010055-4.3825e-05i,0.00059662-0.00045721i,0.00042157-0.00019996i,0.00041606-0.0004882i,6.1354e-05-0.00050193i
0.0020302+0.0013684i,-0.0005162+0.00094183i,-0.00049174+4.7433e-05i,-0.0016341-0.0014782i,-0.003911-0.00211i,-0.0053722-0.00088909i,-0.0050001+0.00068577i,-0.0020649+0.00033184i,0.00075789-0.0013575i,0.00050779-0.001614i,-0.00031755-0.00041201i,0.0001406+0.00037802i,0.00020605-0.00033266i,-0.00018549-0.00055163i,0.00012934-0.00024437i,0.00069434+3.3253e-05i,-0.00012001+6.6418e-05i,-0.0011197-0.00071925i,-0.00067802-0.00026854i,5.6036e-05+0.0015185i,0.00041852+0.0016226i,0.00054126+0.00080012i,0.00060049+0.00056336i
-0.0012896+0.0010381i,-0.0018226+0.00073373i,-0.0014477+0.0015605i,-0.0011752+0.0010973i,-0.0033237+0.0006925i,-0.0045353-0.00019654i,-0.0033099-0.00067313i,-0.0017298-0.00042794i,-0.00091023-0.00068525i,-0.00082919-0.00091068i,-0.00018075+4.6019e-05i,-0.0002529+0.0004593i,-0.00045043-3.097e-05i,-4.7088e-05-0.00059904i,-0.00023745-0.00080858i,-0.00063392-0.00061613i,-0.0002584-0.00061295i,0.00056956-0.00053776i,0.00021333-0.00081761i,0.00019169-0.00070012i,0.00052151-3.5062e-05i,0.00075431-2.993e-05i,0.00032045+9.6716e-05i
-0.00088149-0.001252i,-0.00029072+0.00015248i,-0.0014147-0.00047489i,-0.0022593-0.0011113i,-0.0029493-0.0011595i,-0.0047652-1.2542e-05i,-0.0035422+0.0011404i,-0.0010798+0.00042199i,-1.0694e-06-0.0011848i,0.00029495-0.0014548i,5.4653e-05-0.0002877i,-0.00012232+0.00016331i,-2.2053e-05-0.00077637i,-1.4328e-05-0.00092018i,-0.00044779+0.00012862i,-0.00083678-9.6586e-05i,-0.00085504+0.00028751i,-0.00025852+0.00080675i,6.6634e-05-5.0193e-05i,0.00013396-0.00020326i,0.000172+0.0007453i,-3.2025e-05-3.8291e-05i,4.111e-05-0.00081286i
-8.9346e-05-0.00066403i,-0.00024783-0.0010781i,-3.2227e-05-0.0015729i,-0.00074455-0.0015955i,-0.0026206-0.00053352i,-0.003839+5.8429e-05i,-0.0030229+0.00046376i,-0.0016143+0.00024702i,-0.00040625-0.00076258i,-6.5415e-05-0.00029088i,-0.00061926+0.00048017i,-4.8054e-05+9.2063e-05i,0.00065454-0.00059962i,0.00026889-0.00089329i,-0.00087388-0.00079593i,-0.0008284-0.00064094i,-0.00073823-0.00063405i,-0.0014816-0.00031092i,-0.0010402+8.7682e-06i,0.00042863+0.00076262i,0.00063463+0.0015301i,0.00018869+0.00081353i,-4.9014e-05+0.00048912i
-0.0010661+0.0010559i,-0.0017436+0.00090989i,-0.0024502+0.0014402i,-0.0023321+0.00056088i,-0.0024856-0.00016316i,-0.0027503-0.00063048i,-0.0022541-0.00071484i,-0.0010166-0.0015641i,-0.00069715-0.0022837i,-0.0016724-0.0016137i,-0.0009964-0.0003736i,0.00013953+0.00037996i,0.00037694+0.00094808i,-0.00023395+0.00082319i,-0.00064482-8.543e-05i,-0.0010262-0.00053588i,-0.00079677-0.001073i,-5.5374e-05-0.0012203i,0.00046881-0.0010454i,0.00043331-0.00027375i,-1.3807e-05-5.1674e-05i,0.00035554+0.00076825i,0.00046445+0.0019551i
0.00072444+0.00032091i,0.00080811+0.00024988i,-0.00059423-0.00020441i,-0.0022922-0.001449i,-0.0036211-0.0023189i,-0.0045003-0.0013419i,-0.0036033-0.00015341i,-0.001298-0.00091708i,-0.00016276-0.0019515i,-0.00099891-0.00098899i,-0.0012269-2.7228e-05i,-0.00032148+0.00011142i,0.00022656+0.00085553i,5.3422e-07+0.0012i,8.2723e-06+0.00074774i,0.00014706-5.3146e-05i,0.00033904-0.00016425i,0.00067701-0.00030988i,0.00020414-0.00081619i,-0.00044277-0.00075937i,-0.0006952-0.0005152i,-0.00055027-0.00043331i,-0.00035808-0.00030475i
-0.00061041-0.00097408i,-0.00072299-0.00072355i,-0.0019228+0.000245i,-0.0027145+0.0013087i,-0.0044957+0.0014457i,-0.005883+0.00086018i,-0.0041323-0.00028164i,-0.00077541-0.00099771i,0.0011582-0.0022259i,0.00075762-0.0020525i,0.00012695+0.00011254i,0.00081316+0.00045139i,0.0010358-0.00018964i,9.2036e-05-0.00063888i,-0.00018865-0.00083683i,0.00024004-0.00012996i,0.00039763+0.00014621i,0.00027146-0.00086805i,0.00014273-0.0012123i,-0.00081917-0.0003285i,-0.0011254+0.00010783i,-0.00070052+0.00032412i,-0.00011091+0.00030854i
-0.00040225+0.00063816i,-3.8726e-05+0.00042293i,0.00017241+0.00015118i,-0.00033732-0.00098803i,-0.0023104-0.0017332i,-0.0043499-0.0010839i,-0.0039501-2.4357e-05i,-0.0017987-3.4058e-05i,-0.00036605-0.00075688i,-0.00010571-0.00022809i,-0.00031814-6.9369e-05i,6.841e-06-0.00087672i,-0.00040763-0.0010892i,-0.0010907-0.00029981i,-0.0006932-0.00023262i,-0.00038464-0.00032767i,-0.00028589+2.6397e-05i,-0.00037584-0.00026028i,-0.0002685-0.0003109i,5.3245e-05+3.3062e-05i,-0.00021426+0.00062454i,-0.00042094+0.00070931i,-0.0001904+0.00039591i
-0.0013234-0.00015021i,-0.0023101-0.00058356i,-0.0034533-0.00063766i,-0.0036826-0.00014726i,-0.0044886-0.00084901i,-0.0057167-0.0010654i,-0.0049755+0.00020509i,-0.002796+0.00031804i,-0.0012024-0.000171i,-0.00071154-0.00057847i,-0.00049136+9.768e-05i,-0.0005403+0.00029575i,-0.0012664-6.3776e-05i,-0.0014462-0.00040279i,-0.0010313-0.00021468i,-5.677e-05+0.00058033i,0.00066785+0.00092452i,0.0007157+0.00019261i,0.00050061+0.00032079i,0.00046307+0.00074294i,0.0011809+0.0005583i,0.0014093+0.00075548i,6.2593e-05+0.00095644i
-0.00019938-0.001796i,0.00026159-0.0011726i,0.00044025-0.00051723i,0.0004204-0.00042879i,-0.00066579-0.0013438i,-0.0026485-0.0017078i,-0.003021-0.00093916i,-0.0016245-0.00085921i,-0.00063892-0.0014272i,-0.00027867-0.0010684i,0.00026931+4.292e-05i,0.00056836+1.3775e-05i,0.00026251-0.00026583i,7.9963e-06+0.00031905i,-0.00026594+0.0003783i,-0.00024299+0.00013392i,0.00075992-0.00011935i,0.0012769-0.00030622i,0.0009561+5.0101e-06i,0.00066792+0.00059874i,0.00040053+0.00050875i,9.9979e-05+0.00059831i,-0.00030294+0.00052444i
-0.0013113-0.00055823i,-0.0014994-0.00010407i,-0.0023214-0.00042183i,-0.003413-0.00069696i,-0.0043181-0.0012674i,-0.0042267-0.00055665i,-0.0032142+0.00028035i,-0.00081144-0.00052748i,0.00043168-0.0016076i,-7.0226e-05-0.001243i,-0.00010258-7.3508e-05i,0.00051056+0.00064439i,0.0006653+0.00061024i,0.00057124+8.6617e-05i,-0.00028019-0.00017983i,-0.0013088-0.00023759i,-0.0012387+3.7938e-05i,-0.00086077+6.2523e-05i,-0.00096538-0.00046563i,-8.5757e-05-0.00024842i,0.00056175-0.00026411i,-2.8046e-05-0.00063409i,-0.00068633-0.00044262i
-0.0023394+0.00035448i,-0.00063708-0.00014872i,0.00048925+0.00041716i,1.8338e-05+0.00061442i,-0.001994+0.00015869i,-0.003744-0.001018i,-0.0029713-0.0012343i,-0.0018351-0.0010434i,-0.0016661-0.0017359i,-0.0012119-0.001702i,-0.00096031-0.00098056i,4.9155e-05-0.00017225i,0.00060028+2.4424e-05i,-7.4168e-05-0.00017954i,-0.00030867-0.00074848i,-0.00022209-0.00045963i,-0.00047771-0.00022209i,-0.00066835-0.00036587i,-0.00034162-0.00014596i,-8.3754e-07-0.00039851i,0.00011779-0.0006165i,-0.00037436-0.00022059i,-0.00062037+0.00055077i
