-0.0024069+0.0010283i,-0.0011584+0.00018665i,-0.00076104-0.0012255i,-0.00012903-0.0024824i,-0.00031742-0.0033074i,-0.00060369-0.0025158i,-0.00083497-0.00068468i,0.00046231-0.00045807i,0.002368-0.0020159i,0.002527-0.002356i,0.0019325-0.0017001i,0.0012866-0.0013665i,0.0002598-0.00040042i,-0.00022168+0.00034858i,-0.00021991+0.00023328i,-0.0011864+4.813e-06i,-0.0011585-0.00013641i,0.0001767+0.00018877i,0.00074196+0.00092751i,0.00029891+0.0010251i,0.00048371+0.00055745i,0.00087843+0.00022082i,0.00085271-0.00010192i
0.00020765-0.00067693i,-0.00060538-0.00085617i,0.0011398+0.00040405i,0.0039792+0.0016375i,0.0043807+0.0014278i,0.0021436+0.00026784i,-0.00041993-0.00040702i,-0.000726-0.00095836i,0.00070943-0.0020791i,0.0015841-0.0022413i,0.0013621-0.00078698i,0.00099982+0.00028635i,0.0014418-0.00076278i,0.0013032-0.0022719i,0.00088702-0.00186i,0.0016453+8.478e-05i,0.0017407+0.0019147i,0.00074812+0.003194i,-0.0001137+0.0024642i,-0.00040292+0.00078436i,-0.00022884-5.1771e-05i,0.00028023+0.00013311i,0.0010701+0.00024421i
-0.0005463-3.6973e-06i,-0.00042371+0.0015831i,0.0015674+0.0026723i,0.0054373+0.0028509i,0.0071559+0.0021605i,0.0044026+0.00065411i,0.0014736+0.0011061i,0.0010668+0.0028574i,0.0012546+0.0017116i,0.00098972-0.00073549i,0.00080017-0.0012586i,0.00088649-0.00062747i,0.0003797-0.00019377i,0.00033452-4.6003e-05i,3.5115e-05-0.00029509i,7.5085e-05-0.0010202i,0.00041545-0.0015694i,0.00021127-0.001522i,0.00012694-0.00059434i,0.00038843-8.2366e-05i,0.00038325+2.6816e-05i,0.00067322+6.6527e-05i,0.0013376+6.3763e-05i
0.00025667-0.0006738i,0.0014058-0.00053804i,0.0020118+0.00046128i,0.004346+0.0019497i,0.0071306+0.0031601i,0.0062897+0.0034531i,0.0033778+0.00348i,0.001922+0.0049977i,0.0020026+0.0051927i,0.0014224+0.0029853i,0.00013148+0.00090612i,0.00070669+0.00010524i,0.00057718-0.000239i,0.00018295-0.00071597i,0.00081845-0.00071634i,0.0015006-0.00076885i,0.0030428-0.00052016i,0.0035838-4.5488e-05i,0.0026061+0.00075333i,0.0017969+0.0010609i,0.00099017+0.0002961i,0.001126-9.4993e-05i,0.00062436+4.979e-05i
0.00090899-0.00030462i,0.00098731-3.3997e-06i,0.004424+0.00088947i,0.0073562+0.00095219i,0.0074686-0.00081255i,0.0062386-0.0024425i,0.0049979-0.00050214i,0.005434+0.0027174i,0.0055401+0.004069i,0.002247+0.0049283i,-0.00085011+0.0037956i,-0.00046655+0.0017555i,0.00068808+0.0017201i,0.00019057+0.0022567i,-0.00091341+0.0017679i,-0.0014541+0.0010469i,-0.0023508+0.00012599i,-0.0031827-0.001461i,-0.0021813-0.001597i,-0.0002327-0.00071354i,0.00031621-0.00036664i,0.00038597+0.00020374i,0.00054799+0.00075133i
-0.00055986+0.0011014i,-0.00043076+0.0012921i,0.0017107+0.0026576i,0.0053806+0.0033811i,0.007811+0.0011572i,0.0062115-0.00094338i,0.0038817-0.0002811i,0.0048336+0.00099501i,0.0065382+0.0021517i,0.0048288+0.0024994i,0.0012011+0.0022568i,-0.00066779+0.00094748i,-0.00040212-0.00040364i,0.00051882-0.00031351i,0.00066108+5.6434e-05i,0.00051079+0.00044297i,0.0003794+0.00048299i,1.2633e-05-1.8181e-05i,-0.00033769-0.00076607i,-0.0004138-0.00085059i,-0.0003594-0.00041402i,5.9469e-05+0.00087552i,0.00020218+0.001464i
0.0033461+0.0021459i,0.0038566+0.0021735i,0.0052698+0.0022963i,0.00572+0.001275i,0.0041463-0.00092729i,0.0015029-0.0023017i,0.00044925-0.0027495i,0.0020228-0.0025715i,0.0041701-0.001251i,0.0054408-0.00076343i,0.0041401-0.0001522i,0.0017908+0.0014696i,0.0003389+0.0017948i,0.00042585+0.00073572i,0.00086461+0.00023185i,8.8604e-05+0.0013396i,-0.0011687+0.0030615i,-0.0017612+0.0042339i,-0.0010531+0.0036787i,-0.0003019+0.0017257i,2.7765e-05+0.00079046i,0.00010729+0.0005586i,0.00029801+0.00014308i
-0.0015093+0.0012604i,0.00038202+0.0020685i,0.001566+0.0033853i,0.0053362+0.0048216i,0.0084961+0.0048091i,0.0068543+0.0020485i,0.0026325+0.00018294i,0.00022409-0.00024333i,0.0012235-0.0007561i,0.0022385-0.0015924i,0.0019766-0.001725i,0.0016885-0.0007795i,0.00069985+0.00024161i,-0.00047734-0.00043359i,-0.00038333-0.0016734i,0.00024233-0.002177i,0.001475-0.0021337i,0.0018949-0.0014071i,0.0014589-0.0010424i,0.00086666-0.0011827i,0.00044446-0.0012561i,0.00034151-0.00072515i,0.00056687-7.9028e-05i
-0.00013322+0.0015422i,0.0012338+0.0023381i,0.0026221+0.0044457i,0.005957+0.0055854i,0.0084506+0.004952i,0.0064723+0.0034455i,0.0019169+0.0036005i,-0.00068491+0.0050327i,-0.00051882+0.0035634i,0.00091571+0.00021452i,0.0010142-0.0010072i,0.00065614-0.00033105i,0.00072093-0.00053899i,-0.00012767-6.2641e-05i,-0.0010857+0.00072199i,-0.00037597+0.00064317i,0.0013334+0.00069115i,0.0014802+0.0011521i,0.00052031+0.00091354i,-0.00038718+0.00036721i,-0.00022467-0.00028844i,0.00034669-0.00035543i,4.2402e-05-0.00040978i
-0.0031689+0.0012075i,-0.0024946+0.0024782i,0.00018609+0.0039176i,0.0059331+0.003949i,0.010354+0.0018653i,0.0092106-0.00037735i,0.0059492+0.00082273i,0.005132+0.0031917i,0.0044854+0.0021109i,0.0020528+0.00047777i,0.00018833+0.00035777i,5.5421e-05-6.6632e-05i,0.00042539-0.00021214i,-0.00027087+0.00018253i,-0.0015465-0.00059046i,-0.0023221-0.0017141i,-0.0030551-0.0030741i,-0.0034631-0.0033459i,-0.0025779-0.001864i,-0.0015082-0.0011344i,-0.00068447-0.00084045i,6.4392e-07-4.4144e-05i,-0.00020558+0.00022113i
0.0011089+0.00073937i,0.00051013+0.00097285i,0.0020763+0.00021696i,0.0046526-0.00074372i,0.0056659-0.0017997i,0.003968-0.0013866i,0.0035504+0.00068399i,0.005519+0.002545i,0.0058537+0.0037371i,0.0024508+0.0037767i,-0.00073851+0.0028384i,-0.00026306+0.0017729i,0.00033106+8.6241e-05i,0.00087379-0.00028821i,0.0012564+0.0009335i,0.00093192+0.0024469i,0.00098071+0.0030908i,0.00087067+0.0028132i,-0.00014522+0.0020025i,0.00027811+0.0015758i,0.0011292+0.0014626i,0.00045582+0.0011578i,0.00028337+0.0008216i
-0.0001036-0.004135i,-0.0027361-0.0024069i,-0.0035049+0.00069787i,-0.00078492+0.0031767i,0.0016532+0.0031797i,0.0018948+0.0021653i,0.0024485+0.00063331i,0.004427+0.0004718i,0.0053639+0.00080484i,0.0046612+0.0018928i,0.003941+0.0034662i,0.0032772+0.0031883i,0.0018084+0.0021725i,0.00069542+0.00068651i,0.00077627-0.00033235i,0.00098222-0.0010591i,-0.00055881-0.0010566i,-0.0021262+0.00036591i,-0.0014567+0.0010487i,-0.00044699+0.00074429i,0.00048711+3.2453e-05i,0.0014116-0.00037032i,0.0012898+5.3998e-05i
-0.00066347+0.004153i,0.0018041+0.0043836i,0.0059304+0.0045907i,0.010291+0.0044113i,0.011745+0.0028057i,0.0079031-0.00030643i,0.0027136-0.0018881i,0.0016563-0.0010602i,0.0039503+0.000155i,0.0055878+0.00053253i,0.0051592+0.00077937i,0.0034835+0.00032028i,0.0019728-0.00021346i,0.0014707+0.00012022i,0.001715-0.00044768i,0.0030934-0.00058961i,0.0037051+0.00021099i,0.003616+3.752e-05i,0.0023317-0.00017013i,0.00083034-0.00067372i,0.00050924-0.0014262i,0.00057441-0.00096643i,0.00092096+0.00029985i
-0.0011739+0.0017248i,-0.00059837+0.0026393i,0.002457+0.0033405i,0.0061332+0.0027588i,0.0070401+0.0021304i,0.0056199+0.00073667i,0.0026183+0.00092608i,0.00074085+0.0023571i,0.0012621+0.0017318i,0.0023391-0.00014889i,0.001955-0.002319i,0.00052594-0.0023833i,-3.7941e-05-0.00094107i,-0.00054935-0.00046528i,-0.0020208-0.00042035i,-0.0031288-0.00036937i,-0.003116-0.00040275i,-0.0026199-0.0011426i,-0.001723-0.0013592i,-0.00074121-0.00092306i,-0.00075798-0.00088714i,-0.0016443-0.0010837i,-0.001215-0.00083967i
0.0019567+0.0013249i,0.0022344+0.0010918i,0.0056751+0.00014705i,0.0095651-0.0017186i,0.01061-0.0046668i,0.0071855-0.0064681i,0.0017702-0.0028196i,-0.00057277+0.00228i,0.0006687+0.0029654i,0.00069462+0.00074855i,-0.00082619-0.0007063i,-0.0015727+2.0301e-05i,-0.00053856+0.00042813i,0.00080151-0.00056202i,0.0011808-0.0010716i,0.0015939-0.0014079i,0.00062003-0.0016806i,-0.0010708-0.0007601i,-0.0020844+0.00058508i,-0.0021215+0.00048696i,-0.0011793+0.00021489i,-0.00062345+0.00083344i,-0.00044528+0.0016395i
0.0018938-0.00073737i,0.0014781-0.00013517i,0.0014383+0.0011467i,0.0034203+0.0028143i,0.0038796+0.0027323i,0.0018473+0.0017132i,0.001576+0.0028444i,0.0035844+0.0063548i,0.0047517+0.0064956i,0.0019849+0.0036639i,-0.002199+0.0025046i,-0.0024281+0.0026121i,-0.00087303+0.0025046i,-0.0010264+0.0023027i,-0.001252+0.0029104i,-0.0012843+0.0041361i,-0.0018577+0.0046105i,-0.0016503+0.0040016i,-0.00086597+0.0031854i,7.9706e-05+0.0025038i,0.0015322+0.0023672i,0.0012104+0.0020479i,0.00039853+0.0012021i
-7.5933e-05+0.0016299i,0.0016646+0.0017136i,0.0053891+0.0020008i,0.0085021+0.0014957i,0.0085213-5.1221e-05i,0.0069482-0.0017188i,0.0058532-0.00085796i,0.0073515+0.00034079i,0.0079438+0.00049783i,0.004992+0.0015544i,0.0021767+0.0032947i,0.0016195+0.0029646i,0.001993+0.00084385i,0.0014877-0.00096025i,0.0017845-0.0025479i,0.0031109-0.003242i,0.0037985-0.0026363i,0.0038186-0.0010749i,0.0028293+0.00033218i,0.001764+0.00056762i,0.00093818+0.00042291i,0.00075758+0.0006756i,0.00043119+0.0003269i
-0.0027091-0.0010081i,-0.0020891+0.00033742i,-0.0013938+0.0034013i,0.0026112+0.0059937i,0.0071575+0.0059232i,0.0074621+0.0029636i,0.0054543-0.00057097i,0.0047283-0.0023642i,0.005542-0.0018716i,0.0056333+0.00066984i,0.0043544+0.0027959i,0.0032239+0.0014159i,0.0016516-0.00059031i,0.0002138+0.00024646i,5.0164e-05+0.0013122i,0.00086135+0.0010639i,0.0016008+0.00070325i,0.0014223+0.00011791i,0.0011321-0.0004545i,0.00058472-0.00031676i,0.0007569-0.00040243i,0.00097243-0.00132i,0.00032904-0.0010542i
-0.0031568+0.0029275i,-0.00018375+0.0035928i,0.00437+0.0068121i,0.0098744+0.0076288i,0.012678+0.0039883i,0.0089426-0.0021643i,0.0028199-0.005313i,-0.00019534-0.004208i,-0.00023806-0.0023877i,0.0019948-0.00083945i,0.0036746-0.0010293i,0.0032388-0.0014486i,0.00084716-0.0019065i,-0.0010711-0.0025468i,-0.0019484-0.0029538i,-0.0030713-0.0044665i,-0.0033269-0.0052945i,-0.0030543-0.0037787i,-0.0018704-0.0019809i,-3.3185e-06-0.00015414i,0.00044045+0.00050395i,-0.00029242+6.2901e-05i,3.7413e-05-0.00026728i
0.00022332-0.0015254i,-0.00016991-0.00038138i,0.00066411+0.0015832i,0.0033609+0.0026987i,0.0058145+0.0010231i,0.0046122-0.00056259i,0.00026074+0.0010556i,-0.0019259+0.0034773i,-0.00087541+0.0033784i,0.00025172+0.00024365i,0.00084935-0.0023912i,-0.00014365-0.0020637i,-0.00040509-0.00010786i,0.00073792+0.0012742i,0.0010165+0.0016902i,0.00027843+0.0029492i,-0.00094797+0.0037499i,-0.0013705+0.0025468i,-0.0015471+0.00092572i,-0.0020644+6.6657e-05i,-0.0020837+0.00064477i,-0.001051+0.0013869i,0.00012382+0.0010016i
0.0017332-0.00090244i,0.0011063-0.00044933i,0.0030052+0.00039652i,0.0056598+0.002344i,0.0052131+0.002539i,0.0013723+0.0023749i,-0.00079701+0.0048167i,-0.00051684+0.0069661i,0.0010133+0.0057851i,0.00061585+0.0029785i,-0.001759+0.00052911i,-0.0025157+0.00041708i,-0.00098173+0.0010821i,-0.00050676+0.00022102i,-0.0017141-0.00087911i,-0.0021864-0.00043406i,-0.0019968+0.00055878i,-0.00039481+0.0012132i,0.0010945+0.0011518i,0.0010055+0.0009645i,0.00040245+0.001091i,-6.7059e-05+0.00113i,-0.00043988+0.00034184i
-0.0023664-0.0011422i,-0.0022315+0.0017377i,-0.0015553+0.0024729i,0.00010431+0.0027223i,0.0020892+0.003172i,0.0037771+0.0034409i,0.0065399+0.0042993i,0.0084878+0.0056564i,0.0081038+0.0055315i,0.0041626+0.0035722i,-0.00037648+0.0023933i,-0.00032327+0.0028393i,0.0021042+0.001955i,0.0035039-0.00021522i,0.0043833-7.7619e-05i,0.0050629+0.0017849i,0.0054466+0.0023346i,0.004125+0.0017197i,0.0015363+0.0010862i,-2.5661e-05+0.00048863i,0.0002153+0.0006081i,0.0012097+0.00057329i,0.0012821-0.00023314i
-0.002333+0.0011437i,-0.00012397+0.001664i,0.0038666+0.0048209i,0.0092602+0.008191i,0.012122+0.0084736i,0.011056+0.0049107i,0.0097314+0.0018436i,0.010514+0.001182i,0.010043+0.0006332i,0.0063389+0.0004759i,0.0033866+0.0015457i,0.0027628+0.0019677i,0.0019521+0.00040899i,-0.00034646-0.0013736i,-0.0018199-0.0022194i,-0.0014521-0.002338i,-0.00065878-0.0024869i,0.00010113-0.002906i,0.00048556-0.0023287i,0.0006523-0.00092369i,0.001127-0.00083587i,0.0013001-0.00031891i,0.00038011+0.00013324i
0.003118-0.0013931i,0.0025721-0.0012382i,0.0040549-0.0011338i,0.0076305-0.0010627i,0.0093874-0.0030375i,0.0075889-0.0048616i,0.0050816-0.0050488i,0.0044917-0.0049067i,0.0046863-0.0039151i,0.003173-0.002671i,0.0021931-0.0012152i,0.0026221-0.00025618i,0.0025822-0.00032152i,0.0023916-0.00018023i,0.0028256-0.00053889i,0.003445-0.0019099i,0.0022376-0.0029503i,-0.00035798-0.0019092i,-0.00089858+0.00019207i,-0.00052916+0.0014072i,-0.00030817+0.0015857i,-0.00017637+0.0015617i,-0.00025939+0.00047484i
-0.0028909+0.0013243i,-0.002083+0.0026538i,0.00058519+0.0044973i,0.0063971+0.0056743i,0.010365+0.0030803i,0.0082778-0.0014735i,0.0022238-0.0033787i,-0.0017132-0.0031937i,-0.0010391-0.0010794i,8.6317e-05+0.00047918i,0.00016285-0.0011524i,7.6565e-05-0.0023269i,-0.00067453-0.0015949i,-0.0018769-0.00054557i,-0.0034767+0.00069804i,-0.0047274+0.0011625i,-0.0047687+0.00092223i,-0.0027322+0.00099936i,-0.0013259+0.00086644i,-0.00084366-0.00023515i,-4.1033e-05-0.00068866i,0.00028353+6.5005e-05i,4.2422e-05+0.00094293i
-0.00045041+0.0013472i,0.0010292+0.0012272i,0.0014544+0.001273i,0.0026192+0.00092013i,0.0035764-0.0009741i,0.0012526-0.0019335i,-0.0028807+0.0013686i,-0.0046973+0.0059526i,-0.0019705+0.0073411i,0.00081448+0.0052638i,0.00018848+0.0021637i,-0.0018864+0.00063613i,-0.0011427+0.00061262i,0.00095478+0.00010888i,0.0024335-0.0011916i,0.0030231-0.0010568i,0.0020441-7.8476e-05i,0.0012823+0.0012972i,0.0015874+0.001937i,0.0017398+0.0013974i,0.0016962+0.0015851i,0.0014375+0.001254i,0.001281+6.5115e-05i
0.0011108+0.0031501i,0.0011264+0.0025443i,0.0047618+0.0032135i,0.0081092+0.0053691i,0.0076912+0.0052492i,0.0044297+0.00377i,0.0012914+0.0051774i,0.0018706+0.007913i,0.0043907+0.0071442i,0.0045557+0.0036646i,0.0018309+0.0016044i,-0.00053705+0.0014865i,-0.0013488+0.0014718i,-0.0013947+0.0016763i,-0.0014051+0.00264i,-0.0011411+0.0033167i,-0.00068845+0.0027275i,-0.00028057+0.00077423i,-0.00055687-0.0011095i,-0.0009954-0.0016817i,-0.0006735-0.0013142i,-0.00028299-0.00042589i,0.00033382+0.00017339i
0.0024799-0.001076i,0.0030888-0.0014985i,0.0045094-6.6841e-05i,0.0071446+0.002695i,0.0078128+0.004697i,0.005925+0.0056531i,0.0063047+0.0055209i,0.0089794+0.0049749i,0.0091302+0.0028061i,0.0063184+0.00083177i,0.0033926+0.0014165i,0.0023122+0.0024153i,0.0026982+0.0013358i,0.0032092-0.00038699i,0.0038083-0.0028867i,0.0038591-0.0048811i,0.0034528-0.004212i,0.0024131-0.0029595i,0.0012645-0.0021735i,0.00060533-0.0011107i,0.00017685-0.00018482i,0.00015873+0.00062461i,0.00057843+5.206e-05i
-0.00092949+0.00096483i,-0.00047637+0.0023798i,0.00024178+0.0035529i,0.0047599+0.0032048i,0.010254+0.0010749i,0.011887-0.0014624i,0.01031-0.0020867i,0.010013-0.0015322i,0.008111-0.0022391i,0.0035901-0.0024807i,0.0022055-0.0006768i,0.0032627-0.0002115i,0.0029602-0.00056191i,0.00065817+2.1963e-05i,-0.00099817+0.0016101i,-0.00086334+0.002267i,-0.0010677+0.0015676i,-0.002169+0.0010193i,-0.0025652+0.001024i,-0.0017134+0.0018123i,-0.00048647+0.0017013i,-0.00054481+0.0006687i,-0.00054972+0.00044187i
0.0013147+0.0019488i,0.0027274+0.0032422i,0.0053056+0.003771i,0.0089617+0.0027186i,0.011515-0.0011649i,0.0098694-0.0052813i,0.0064057-0.0065463i,0.0045037-0.0049821i,0.0030164-0.0031076i,0.00045347-0.0020695i,-0.00080602-0.0013624i,-0.00022543-0.0017105i,-0.00010587-0.0025814i,-0.0011043-0.0030485i,-0.0016205-0.0035727i,-0.0010295-0.0040646i,-0.00055151-0.0032407i,-0.00092989-0.0014856i,-0.00041679-0.00090445i,0.0013718-0.00093384i,0.0019615+0.0002126i,0.001686+0.0005502i,0.001096+0.00017754i
0.00013663-0.00050164i,-0.0011216-0.00035069i,-0.00034986+0.00099958i,0.0038037+0.0010213i,0.0059641-0.0019341i,0.003673-0.0054345i,-0.00039719-0.0057437i,-0.0022273-0.002819i,-0.00077224+8.6321e-05i,0.00028856+0.0014357i,0.00033094+0.00076579i,-0.00075435-9.4351e-05i,-0.001742+0.00053808i,-0.00046791+0.0028795i,0.0013351+0.0050349i,0.0019092+0.0051936i,0.00090474+0.0039681i,-0.00026766+0.0032534i,0.00015079+0.0025661i,0.0011838+0.0011758i,0.00058723+0.00046895i,-0.00010421+0.00034776i,2.424e-05+0.00070283i
-0.0024545+0.0012887i,-0.00088244+0.0030701i,0.0010196+0.0062952i,0.0026568+0.0083734i,0.002815+0.0075191i,-0.00027611+0.0052055i,-0.005183+0.0043294i,-0.0051653+0.0060594i,-0.00057098+0.0074185i,0.0020377+0.0055453i,0.0015994+0.0031367i,-0.00057526+0.0019069i,-0.0020288+0.00031026i,-0.0014395-0.0011029i,-0.0017646-0.0024704i,-0.001998-0.0039278i,-0.00095448-0.0040321i,0.00057891-0.0033272i,0.00097589-0.0018008i,0.00018309-0.0011295i,-0.00026571-0.00084215i,-0.00083036-3.3927e-05i,-0.00075198-0.00054984i
-9.7978e-06-0.00089231i,-0.00045615+0.00047513i,-0.0003804+0.0025142i,0.0026196+0.0037638i,0.0044201+0.0052552i,0.0020753+0.00577i,0.0015835+0.0078693i,0.0036007+0.010675i,0.0064713+0.0083644i,0.0071643+0.0034048i,0.0047649+0.00082466i,0.0030267+0.0018798i,0.0037039+0.0025052i,0.0046731+0.0015859i,0.0049539+0.0015662i,0.0050467+0.0019129i,0.0040195+0.001997i,0.0023587+0.0021845i,0.0014301+0.0022466i,0.00077769+0.0023499i,0.00032837+0.0018475i,0.00080973+0.00054547i,0.0016723-0.00011001i
0.0012043-0.0016552i,0.001625-0.00082774i,0.0039758+0.0016027i,0.008139+0.0049581i,0.011905+0.0069118i,0.012954+0.0074078i,0.011435+0.0074214i,0.010235+0.0055057i,0.0087283+0.00054774i,0.0056981-0.0029854i,0.0034471-0.0021653i,0.0025873-1.7709e-05i,0.0025421-4.135e-05i,0.0011265-0.0018693i,-0.0017123-0.0033792i,-0.0036175-0.0038673i,-0.0034513-0.0039782i,-0.0021783-0.0031471i,-0.0014281-0.0017315i,-0.00044522-0.00023924i,0.00075942+0.00080746i,0.0011536+6.4252e-05i,0.00072442-0.00086562i
0.0015343-0.00060623i,0.0010027+0.00019034i,0.0011562-0.00010795i,0.0041254-0.00037863i,0.0079646-0.0014838i,0.0096442-0.0036618i,0.00978-0.0035392i,0.0098611-0.0032206i,0.0071365-0.0041266i,0.0012136-0.0041518i,-0.0015744-0.0025971i,0.00060778-0.0012006i,0.0023251-0.00092636i,0.0024919-0.00021423i,0.002453+0.00074743i,0.002364+0.00076809i,0.0023922+0.0013747i,0.0023098+0.0021567i,0.0017362+0.0016491i,0.0018204+0.00054287i,0.0013348-0.00052316i,0.00046726-0.00080178i,0.00037844-0.00036135i
-0.0013628-0.00017498i,-2.0747e-05+0.0018266i,0.0024873+0.0035263i,0.0061019+0.0031749i,0.0090911-0.0017456i,0.0096598-0.0083903i,0.0066691-0.0091221i,0.0033914-0.0052744i,0.0015123-0.0017529i,-0.0018858+0.001695i,-0.0032965+0.0028956i,-0.0017823+0.00076694i,-0.0012664-0.00054132i,-0.0019143+3.304e-05i,-0.0029849+0.00051605i,-0.0039179+0.00038265i,-0.0046417-0.00027264i,-0.0046491-0.001308i,-0.0037731-0.0014202i,-0.0014976-0.00073012i,-0.00032672-0.00080774i,-0.00036221-0.00098341i,-4.2834e-05+0.00022269i
-0.000243+0.001693i,-0.00098586+0.0028692i,0.0010358+0.0053503i,0.004867+0.006321i,0.0055629+0.0026611i,0.0004655-0.0023822i,-0.0048065-0.002672i,-0.0051332+0.001313i,-0.0020416+0.0044752i,0.0010708+0.0057622i,0.0017039+0.0051544i,0.00034753+0.0027742i,-0.00037611+0.0011301i,0.00085285+0.000436i,0.0031054-3.3534e-05i,0.0050557+0.00022762i,0.0052846+0.00087602i,0.0036225+0.0017051i,0.001573+0.0020463i,0.00025918+0.0011628i,-0.00012399+0.00088409i,5.1334e-05+0.00058547i,0.00012761-1.3952e-05i
-0.00331-0.00088154i,-0.0018336-0.00014633i,0.0019655+0.0036532i,0.0063981+0.0097206i,0.0066007+0.012476i,0.001719+0.0091923i,-0.0027355+0.0063395i,-0.0017665+0.0071526i,0.0034049+0.007694i,0.0076954+0.0066587i,0.0069208+0.0043674i,0.003633+0.0029079i,0.0014192+0.0019238i,0.00084251+0.00029982i,0.0005054+0.0001948i,-0.00071418+0.0011761i,-0.0021918+0.0012142i,-0.0018444+0.0011968i,-0.00033373+0.0011721i,0.00043683+0.0013745i,-2.6402e-05+0.0019321i,0.0001224+0.0016834i,0.0010331+0.001517i
-0.0040216+0.00076045i,-0.0034181+0.0028418i,-0.0033805+0.0067577i,0.0016079+0.0090179i,0.0076006+0.01054i,0.0089283+0.012397i,0.0075904+0.013188i,0.0088312+0.012578i,0.011566+0.0079639i,0.010677+0.00097118i,0.006148-0.0020447i,0.0035417+0.00015349i,0.0042158+0.00089963i,0.0039628-0.0017278i,0.0028469-0.0040876i,0.0027383-0.0047806i,0.0035941-0.0039729i,0.0036179-0.0023634i,0.0025072-0.0010678i,0.0021836-0.00025136i,0.0026304+0.00038569i,0.0026569+0.00051763i,0.001845+0.0003513i
-0.004848-0.0025462i,-0.0030921-0.00055118i,0.0018304+0.0034442i,0.012179+0.0062856i,0.021455+0.0045051i,0.023262+0.00027574i,0.018869+0.00049044i,0.014395+0.002195i,0.01052-0.00017275i,0.0048185-0.0042134i,0.00094623-0.0045053i,0.0012701-0.0020452i,0.0023454-0.0012644i,0.0012565-0.0010363i,-0.0018878+0.00058387i,-0.0048912+0.0019223i,-0.005512+0.0019611i,-0.0037784+0.0011279i,-0.0017374+0.00019761i,-0.00016139-0.00065747i,0.0003483-0.001209i,-0.00045663-0.00066073i,-0.00087173-0.00049129i
0.014133+0.01401i,0.017521+0.0077737i,0.027+0.00058322i,0.026214-0.0077945i,0.023058-0.019247i,0.017164-0.025149i,0.010296-0.018009i,0.0066508-0.010339i,0.003931-0.0066646i,0.00075091-0.0057309i,-0.0027438-0.0040907i,-0.003884-0.0011123i,-0.0045046+0.00065289i,-0.0054577+0.0013127i,-0.0041887+0.00099332i,-0.0021331-0.00069052i,-0.00063766-0.0021408i,0.00016715-0.0029158i,-0.00044465-0.0028119i,-0.00094098-0.0022903i,-0.0011174-0.0021766i,-0.001222-0.0020679i,-0.00080844-0.00072074i
-0.00042477+0.0025866i,0.0010099+0.0024064i,0.004748+0.0031498i,0.007702+0.0030163i,0.0052455+6.6116e-05i,-0.0025374-0.0067001i,-0.0055787-0.010791i,-0.0037085-0.0080333i,-0.0030884-0.0021761i,-0.0033922+0.0025415i,-0.0024929+0.0042575i,-0.00028937+0.00305i,-0.00031507+0.0012474i,-0.0017424+0.0023347i,-0.00057484+0.0048259i,0.0012287+0.005697i,0.0012445+0.0059616i,-0.00032904+0.0046692i,-0.0011421+0.0027052i,-0.00012448+0.0017502i,0.00048719+0.0017355i,0.00038506+0.0023115i,0.00053237+0.0026065i
0.00054389+0.00021766i,0.0024647+0.001422i,0.0049799+0.0031351i,0.0056055+0.0028984i,0.0014179-0.0023511i,-0.0051951-0.0065318i,-0.0095716-0.003204i,-0.0083722+0.0038669i,-0.0038594+0.0095621i,0.00087951+0.0094324i,0.0033403+0.005321i,0.0021+0.0017421i,0.0005079-7.2957e-05i,0.00026795-0.0014573i,0.00029216-0.0034814i,0.0003701-0.0038728i,0.00057202-0.0029213i,0.00050352-0.002621i,0.0010156-0.0014965i,0.0011541+0.00074179i,0.00055369+0.0018874i,0.0007442+0.001185i,0.0013276+0.00029786i
0.0021547-0.0014638i,0.0025187-0.0009777i,0.0030939+5.037e-05i,0.0072138+0.0019694i,0.010814+0.0085969i,0.0053986+0.015022i,-0.0017845+0.014811i,-0.0010723+0.012607i,0.005267+0.0099233i,0.0087534+0.005796i,0.0062968+0.0013979i,0.0025458-0.00062409i,0.0013094-3.3179e-05i,0.0022214+0.0010576i,0.0034797+0.0016742i,0.0038372+0.0012201i,0.0033966+0.00016495i,0.0023966-0.00057913i,0.0018208-0.00035909i,0.0013931-0.00025426i,0.0015602-0.00069546i,0.0018744-0.00060559i,0.0026567-0.00056993i
0.0013463+0.0006772i,0.0034779+0.00043567i,0.006969+0.0024941i,0.0087863+0.0057074i,0.0086557+0.0043751i,0.0095217+0.0017944i,0.010465+0.0051893i,0.012186+0.0080124i,0.013321+0.0047408i,0.010365-0.00090814i,0.004256-0.0031626i,0.00093643-0.0013744i,0.00046415+0.00068352i,-0.00095391+0.00040861i,-0.0025613-0.0015959i,-0.0044005-0.0028291i,-0.005209-0.0023141i,-0.0038467-0.0014388i,-0.0015446-0.0013853i,-0.00027912-0.0013354i,-0.00040812-0.00085082i,-0.0010463-0.00055006i,-0.0015433-0.0012816i
