0.0010554-0.0013115i,0.00071523-0.002506i,-0.0004447-0.0030278i,-0.0018875-0.0023724i,-0.0018653-0.001079i,-0.00090436+0.00066659i,6.2628e-06+0.00096329i,0.00069902+0.00044383i,0.00088666+0.00015723i,0.00050301-0.00049391i,0.00078621-0.00088029i,0.00084221-0.0010321i,5.339e-05-0.00011611i,-0.0004814+0.0011673i,0.00041024+0.0011688i,0.00033142+0.00024256i,-3.3657e-05+0.0006031i,0.00039786+0.0010129i,0.00050828+0.00047065i,0.00066571+4.0903e-05i,0.00094804+0.00015473i,0.0010247+0.00039799i,0.00096913+0.00012543i
0.0013412+0.0011807i,0.00053703+0.0011601i,-0.00047614+0.0018237i,0.00018523+0.00085813i,0.00052195-0.0002132i,0.00048308-0.00046201i,9.5469e-05-0.00087478i,-0.00062213-0.00074128i,-0.00016186-0.0009126i,0.00051514-0.00073824i,0.0004198-0.00050101i,0.0007799-0.00051801i,0.0010575-0.00014951i,0.00034646+0.00023893i,-0.00015881-8.5099e-05i,-0.00010416-0.00041035i,-0.00065351+2.7756e-05i,-0.00054565+0.00053512i,-4.405e-05+0.00047906i,-0.0002457+0.00036865i,-0.00037814-0.00015263i,-0.00049242-0.00047682i,-0.00041655-0.00049983i
-0.0012687-0.0020061i,-0.0026676-0.0024062i,-0.0049056-0.002406i,-0.0046561-0.0012926i,-0.0032068+0.0002059i,-0.0018364+9.629e-05i,-0.00083201-0.00082128i,-0.00055443-0.0006269i,-0.00062366+3.6185e-05i,-0.00056695+5.8988e-05i,-0.00093035-6.761e-05i,-0.00098729-0.00038004i,-0.00053392-0.0017626i,-0.00052826-0.0025729i,-0.00058339-0.001379i,1.4757e-06-0.00074497i,0.00036167-0.0010362i,5.8762e-05-0.001131i,0.00038949-0.00044267i,0.0010012+0.00022613i,0.0012193+0.0011066i,0.00075197+0.00098334i,0.00034647-0.00011095i
-0.0017574+0.00082658i,-0.0010677+0.0015748i,0.00022854+0.0013855i,0.00072938-0.00063226i,0.0012186-0.001131i,0.0013121-0.0011598i,0.00099293-0.00090905i,0.00045263-0.0004057i,3.9585e-06-0.00087224i,-7.5379e-05-0.00057128i,-0.00074814+0.00033085i,-0.0010941+0.00014672i,-0.00096865-0.00055292i,-0.00114-0.0007412i,-0.00089157-0.00064989i,-7.5168e-05-0.00023529i,0.00029165-0.00027423i,-0.00027337-0.00083109i,-2.5081e-05-0.00071554i,0.00014148-2.5559e-05i,-0.00051847-0.00067045i,-0.00054006-0.00095935i,-0.00010567-0.00042371i
-0.0025763-0.00051663i,-0.003644-0.00098185i,-0.0047559-0.0011652i,-0.003432-0.00097812i,-0.00086115-0.00099726i,-0.00038453-0.0016905i,-0.001034-0.0018382i,-0.0013129-0.00098818i,-0.00066722-0.00033674i,-0.00037676+0.00013428i,-0.00061733+0.00082198i,-0.00067107+0.001247i,-0.00060032+0.00019818i,-0.00013505-0.00096013i,0.00034425-0.00113i,1.8665e-05-0.00070771i,7.448e-06+8.6147e-05i,0.00028567+8.5581e-05i,-9.7799e-06-0.00039148i,-0.00033672-0.00077211i,-7.0756e-05-0.00078803i,0.00039859-0.00047716i,-2.1056e-05-0.00032026i
-0.00059813+2.2121e-05i,0.00041757+0.00040724i,0.00065676+0.00098945i,-0.0004669+0.00071858i,-0.0018237-0.00010324i,-0.0012385-0.00048301i,-0.0007701-0.00084885i,-0.00078775-0.00038585i,-0.00016638-0.00027623i,-4.8329e-05+0.00016341i,-0.00021045+0.00062187i,0.00029043+8.3462e-05i,0.0011234-8.2471e-05i,0.0010368+0.0002152i,0.0004055-0.000379i,-0.00031488-0.00029521i,-0.00057172-0.00039071i,-0.00044823-0.00056519i,9.6077e-05+0.00033237i,0.00034315+0.00080984i,-1.3954e-05-2.2541e-05i,-2.6204e-05-0.0012987i,-0.00021515-0.0011282i
-0.003595-0.0003351i,-0.0040899+0.00080956i,-0.0037444+0.0013866i,-0.0011864+0.00020595i,0.0004632-0.0010354i,0.00047424-0.001444i,-0.00022846-0.0017094i,-0.00096912-0.00082596i,-0.0010175-0.00030517i,-0.0007392-0.00042383i,-7.7511e-05+0.00034458i,0.00045715+0.00097227i,0.0007435+0.00011535i,0.00019817-0.0011986i,-0.00074093-0.0013744i,-0.0007281-0.0010923i,-1.7823e-05-0.00093844i,0.00038482-0.00080815i,-0.00044356-0.00023784i,-0.000567+0.00032146i,0.00034344+0.00072222i,0.00038494+0.00016896i,4.3933e-05-9.5356e-05i
-0.0023259-0.00046832i,-0.0029386-0.00048523i,-0.0023237-0.0007441i,-0.00072404+1.1186e-05i,-0.00041953+0.00071134i,-9.5828e-05-0.00017996i,0.00013764-0.00022023i,-0.00053869-0.00011692i,-0.00035299-0.00035032i,0.00074716+0.00047136i,0.00093588+0.00055829i,0.00045387-1.8922e-06i,-0.00046625-0.00054872i,-0.0012783-0.0005616i,-0.00064855-0.00049386i,0.00024207-0.00031973i,0.00011983-0.00015576i,-0.00023831+7.4331e-05i,-0.00024374+0.00087553i,-6.1626e-05+0.00073544i,0.00010382-0.00051845i,0.00030482-0.00089809i,0.00038277-0.0004371i
0.00055274-0.0012106i,0.0016259+0.00039721i,0.0017029+0.0016068i,0.00055939+0.00015991i,-0.00038816-0.0012891i,-0.00039009-0.00054871i,0.00045813+0.00058807i,0.0015967+0.00061573i,0.0015264+0.00037939i,0.00049157+0.00028681i,-0.00012991+0.0004938i,0.00056274+0.00013133i,0.0015182-0.00057818i,0.0010401-0.00054697i,1.3473e-05-0.00021263i,8.2844e-05+0.00023462i,-0.00023137+0.00090716i,-0.00079775+0.00053985i,6.9205e-05-0.00046414i,0.00074354-0.00095159i,0.00078185-0.00045319i,0.0004682+0.00041313i,-0.00019992+0.00084203i
-0.0019632-0.0030129i,-0.0049287-0.0025943i,-0.0070438-0.0031261i,-0.0056548-0.0017109i,-0.0031392-0.00032881i,-0.0018605-0.00063756i,-0.00074446-0.0008094i,-6.8888e-05-0.00047013i,-0.00013537-0.00050556i,0.00048397-0.00020946i,0.00096781+0.00044382i,0.00087743+0.00082121i,0.00033815+0.00058522i,-6.9937e-05-0.00034227i,-9.5883e-05-0.001222i,-0.00010208-0.0015716i,0.00024459-0.001794i,4.6514e-05-0.0010964i,-0.0010922-0.00037118i,-0.00043843-0.00027818i,0.00054932-0.00024504i,0.0001857-0.00077309i,-0.00041299-0.00077104i
0.0002634+0.0010498i,0.0016173+0.00044636i,0.0020382-0.00022431i,0.0011989-0.00043325i,0.00033558-0.00023239i,0.00092294+6.7717e-05i,0.0015978+0.00015423i,0.00062477-6.0764e-05i,-0.00026068+0.00010982i,-0.00031665-9.0582e-05i,-8.261e-06-0.00052488i,0.00029937-0.00033459i,0.00094412-0.00014678i,0.0011743-0.00061059i,0.00023174-0.00083628i,-0.00033428-0.00043235i,-0.00038159-0.00029745i,-0.00051988-0.00030659i,-0.00039322+1.2024e-05i,-0.00038816-0.00012381i,-0.00041046+0.00010645i,-0.00059596-0.00018952i,-0.00070122-0.0003938i
0.0011474+0.00028013i,0.00076864+0.0016628i,-0.00044861+0.0015278i,-0.0011945-0.00026441i,-0.001059-0.0010058i,-0.00062117-0.0011834i,0.00033213-0.00039595i,0.00059285+0.00021477i,0.00027627+0.00034236i,9.0659e-05+0.0007303i,-0.00020224+0.00037573i,-0.00036816-1.2376e-05i,-0.00016506+0.00042867i,1.3168e-05+0.00029294i,-1.4345e-05-0.00011661i,0.00032658-7.8536e-05i,0.00088814+0.00047607i,0.00054846+0.00051594i,0.00039636+0.00053004i,0.0011853+0.00040315i,0.0013204-0.00074227i,0.00093053-0.00082959i,0.00075151-0.00060911i
-0.00082445-0.0011218i,-0.0020389-0.0018196i,-0.0023342-0.0027976i,-0.0014417-0.0021507i,-0.001281-0.00030855i,-0.0019048+0.00045797i,-0.0015143+0.00067643i,-0.0011983+0.00058814i,-0.00057187+0.00041987i,-7.576e-05+0.0001402i,0.00025891+0.00032053i,0.00031469+8.4724e-05i,6.6872e-05-0.00029811i,0.00013782-0.00066889i,0.0001507-0.00069699i,0.0004073-0.00039907i,6.7847e-05-0.00025526i,7.5356e-05-0.00023589i,0.00042335-0.00014646i,-0.0004068+0.00022146i,-0.00083656+0.0001839i,-0.0004449-0.00048022i,0.00031465-0.00031336i
-0.0013118+0.001375i,0.00042333+0.0030702i,0.0018714+0.0044921i,0.0015125+0.0033734i,0.00012785+0.00059606i,-0.0011044-0.0015691i,-0.0020011-0.0020456i,-0.0016285-0.00076637i,6.8606e-05+5.6803e-05i,0.00096723-0.0001956i,0.0005443+0.00022339i,0.00054778+0.001078i,0.00065093+0.001302i,0.00033472+0.00082732i,6.2442e-05+0.00075491i,-0.0006174+4.0342e-05i,-0.00020911-0.0010749i,0.0010584-0.0007716i,0.00091604-0.00034683i,0.00057213-0.0004946i,0.00069101-0.00057605i,0.00040056-0.00074799i,0.000313-0.00012392i
-0.0017012-0.0013932i,-0.0043288-0.0022838i,-0.0060903-0.0023035i,-0.0060943-0.0025176i,-0.0036244-0.0015174i,-0.0014085+0.00094078i,-9.4346e-05+0.0023524i,0.00061104+0.0015686i,0.00092752+0.00045635i,0.00078311+0.0001649i,0.0006047+0.00016199i,0.00014085+0.00030898i,-0.00038331+1.2859e-05i,5.2074e-05-0.00032067i,-0.00050738+0.00029528i,-0.0011377+0.00070258i,-0.00035161-6.1433e-06i,0.00014773-0.00067285i,-0.00017296-0.00089833i,0.00022199-0.00051002i,0.0004681-0.00036162i,-0.00035919-0.0010653i,-0.0007258-0.00089372i
0.00045442-0.0016776i,0.00038658-0.0011149i,0.0021707-0.0017785i,0.003708-0.00068818i,0.0032263+0.00057751i,0.0024403-0.00018779i,0.00068155-0.0019065i,-0.0011093-0.0026726i,-0.0010135-0.0011365i,-0.00095563+0.00012999i,-0.00099871+0.00012026i,-0.00053751+0.00028783i,-0.00058653-8.8395e-06i,-0.0006299-0.00084205i,0.0004024-0.00048183i,0.00091961-3.2034e-05i,0.00066955+9.8498e-05i,0.00028833+0.00086465i,-0.00031292+0.00080819i,-0.00051173+0.00016864i,-0.00035488+5.9207e-05i,0.00017264-0.00018394i,-0.00025951-0.00034307i
-0.0050915+0.0022707i,-0.0043736+0.004437i,-0.0030095+0.0058761i,-0.0020244+0.004814i,-0.00059856+0.0014865i,0.00060486-0.0019418i,-0.00027963-0.0024582i,-0.0015363-0.0011935i,-0.0011827-0.00030335i,-0.00054287+0.00041433i,-0.00061635+0.00078195i,-0.0012+0.00054215i,-0.0013857+0.00049642i,-0.0013286+0.00066436i,-0.000801+0.00011043i,-2.3358e-05+7.3607e-05i,-2.0859e-05-0.00025189i,-0.00036881-0.00060736i,-0.00069369+0.00013497i,-0.00047875+0.00048374i,-0.00046638+0.00019955i,-0.00048428-0.00017865i,-0.0005867-4.376e-05i
0.00026458+0.00067619i,-0.00038977-0.0019987i,-0.00079304-0.003401i,-0.0004917-0.0037635i,0.00017181-0.0037309i,-3.553e-05-0.0035536i,-0.00044003-0.0027703i,-0.00034894-0.0011893i,-0.00021444+0.00024111i,-0.00019458+0.00084569i,0.0004342+0.00076144i,0.00050755+0.00034219i,0.00025332+0.00056618i,0.0001373+0.0012622i,0.00018898+0.00054403i,0.00042946-0.00017468i,0.00060462-0.00058382i,0.00062983-0.0004267i,0.00033143+0.00012512i,0.00014741+8.6209e-05i,0.00024159+0.00017509i,-8.4527e-05+0.00051117i,-0.00060474+0.00044889i
-0.0012386+0.0010247i,-0.0020236+0.0017713i,-0.0010795+0.0032807i,0.00018964+0.0031475i,3.774e-05+0.00071796i,-0.00029968-0.00050375i,-0.00025286-0.00055663i,-0.00055978-0.00072715i,-0.00040634-0.00023717i,0.00031103-0.0001056i,0.00016698+0.00011878i,0.00012831+0.00014293i,-0.00022426+2.1625e-05i,-0.00091202-0.00044102i,-0.00058758-0.00042857i,0.00036756+0.00010427i,0.00095148+0.00049664i,0.00053332+0.00051353i,-0.00041576-0.00025074i,-0.00017468-0.00068984i,0.00030907+5.171e-06i,0.00017578+0.00050532i,-0.0001832-0.00058023i
-0.001328-0.0011667i,-0.0030469-0.0003789i,-0.0054199+0.00031413i,-0.0053625+0.0011506i,-0.0027028+0.0005866i,-0.0014182-0.00074082i,-0.0013115-0.00087013i,-0.00077649-0.0001815i,-0.00057018-0.0005045i,-0.00062566-0.000631i,-0.00076282-0.00020698i,-0.00096008+0.00023376i,-0.00089372+0.00078516i,-7.9595e-05+0.00073497i,0.00029746+0.00036294i,1.7351e-05+0.00038876i,0.00058564+0.00018555i,0.00097735-0.0001242i,0.00020482-6.8088e-05i,-0.00051574+0.00078466i,-0.0007519+0.00091412i,-0.0011343+6.2196e-05i,-0.0012722-0.00034163i
5.1153e-05-0.00063009i,-0.00059335-0.00084822i,-0.00018412-0.003092i,0.0013374-0.0036669i,0.0014658-0.0018941i,0.0010852-0.0016604i,-0.00045181-0.00075999i,-0.00095294+0.00040273i,-0.00011234+0.00064469i,-6.4176e-05+0.00054415i,-0.00043469+0.0003205i,-0.00036467+0.00047382i,1.9486e-05-1.2835e-05i,0.00019139-0.00048457i,0.00054356-0.00047707i,0.00082454-0.00068951i,0.00046037-2.026e-05i,-0.00049664+0.00015474i,-0.00040502+0.00016286i,6.876e-05+0.00025304i,0.00049941-0.00077776i,0.0010172-0.0010785i,0.00058005-0.00037938i
-0.00048025-1.9979e-05i,-0.0017603+0.0012655i,-0.0020249+0.003697i,-0.00033791+0.003775i,-0.00016812+0.0011663i,-0.00096303+0.00014595i,-4.8086e-05+4.2052e-05i,1.1324e-05-0.00041837i,0.00041522-0.00031493i,0.00083198+0.0001603i,0.00077621+0.00062742i,0.0014519+0.00050353i,0.0015018-0.00015638i,0.00065052-0.00051406i,5.4397e-05-0.00044769i,-0.00018809+3.0254e-05i,-0.00036905-0.000223i,-0.0006208-0.00097454i,2.5031e-05-0.001343i,0.00069004-0.00032869i,1.8536e-05+0.00048378i,-0.00020944+0.00034571i,-9.817e-05+9.7246e-06i
-0.0030014-0.001871i,-0.0046025-0.0023865i,-0.0052468-0.0029224i,-0.0040277-0.0016289i,-0.0012286-0.00042686i,0.00062685-0.00013024i,0.0002082+0.00041529i,-0.00077595+0.00076084i,-0.00094182+0.00028729i,-0.00042366+0.00044313i,0.00014713+0.0012344i,0.001098+0.0011357i,0.00084811-0.00033775i,-0.00071167-0.00121i,-0.00073295-0.0013623i,-0.00043512-0.0012547i,-0.00048416-0.0013283i,0.0001028-0.00089851i,0.00042725-0.00078953i,0.00042969-0.00033622i,-0.00048099+0.000601i,-0.0013317+0.00035623i,-0.00075579+6.1627e-05i
-0.00018465-0.0011877i,-0.0010913-0.0008158i,-0.00097413-0.0012758i,-0.00031395-0.00078034i,-0.00055684-0.0002095i,-0.00038142+6.0022e-05i,8.5246e-05-0.00057556i,0.00031568-0.00039164i,0.00044902+6.3149e-05i,0.00029892-0.00037949i,0.00032581-0.0001911i,0.0006864+7.1059e-05i,0.00099653-0.00053185i,0.0011166-0.0011755i,0.0010829-0.00085173i,0.0014253+7.1897e-05i,0.00073351+0.00010659i,-0.00046065-2.2099e-05i,-0.00043782-0.00038561i,-0.00039162-0.0014156i,-0.00024542-0.0015953i,0.00010361-0.00033988i,-0.00037911+0.00037479i
0.0003664+0.00089034i,-0.00054696+0.0019931i,-0.0017997+0.0014319i,-0.0018066+0.00082662i,-0.0012346+0.001149i,-0.00057531-6.6768e-05i,-0.00074579-0.0011032i,-0.00037699-0.00064557i,-4.0023e-05-0.00016203i,-0.0004695+4.2725e-05i,6.4258e-05+0.0011145i,0.00029744+0.0012698i,0.00035579+0.00042992i,0.00032229+2.2778e-05i,0.00067186+0.00077198i,0.00085289+0.0010703i,-3.8501e-06+0.00020992i,-0.00023319+0.00019236i,2.3975e-05+0.00071201i,-1.3848e-05+0.00027111i,0.00017375+0.00039704i,3.0918e-05+0.00083965i,-0.0003325+0.00058228i
-1.1098e-05-0.0035179i,-0.00088334-0.003645i,-0.0017608-0.0041439i,-0.0029946-0.0031257i,-0.0030609-0.0012539i,-0.001466-0.00026495i,-0.00083982-0.00025132i,-0.00056872-0.00035472i,-0.00010785-0.00019486i,0.00034873-8.0344e-05i,0.0004826+0.00014758i,0.00073524-2.2171e-05i,0.00095745-0.00079265i,0.0014061-0.0014611i,0.0017793-0.0015585i,0.0016004-0.0006381i,0.0015094+0.00051755i,0.0011559+0.00061924i,0.00018068+0.00025511i,-0.0009626+0.0004776i,-0.0012739+0.0003204i,-0.00045735-0.00065953i,0.00014298-0.00096642i
-0.0016672+0.00017699i,-0.0017205+0.0017794i,-0.00073846+0.0024538i,0.00045081+0.0016369i,0.00097588+0.00029245i,0.00057268-0.00092205i,-0.00045657-0.00069203i,-0.0011279+0.0002938i,-0.00047411+0.00048501i,0.00034979+0.0002221i,0.00066729-0.00017963i,0.00047349-0.00037542i,0.0008129+0.00042495i,0.00050869+0.00082436i,-0.00042033+0.00031588i,-0.001314+0.00018624i,-0.0014495+0.00052017i,-0.0011976+0.00082163i,-0.00087438+0.00041548i,0.00023672+0.00028184i,-0.00017536+0.000118i,-0.00090132-0.00056785i,-0.00082083-0.00028237i
-0.0015074-0.0015405i,-0.0024985-0.0024044i,-0.0034204-0.0024423i,-0.0030301-0.0008252i,-0.0015463-0.00024047i,-0.00094109-0.0011101i,-0.00016865-0.0008867i,0.00057565-0.00059755i,0.00018442-0.0010553i,-0.00045748-0.00094278i,-0.00074559-0.00022118i,-0.00050995-3.2117e-05i,-0.00015156-0.00028288i,-9.31e-05-0.00057552i,-0.0004517-0.00066061i,-0.00027765-0.00012916i,0.00015308-0.00025466i,0.00034499-0.0010948i,0.00050739-0.0012486i,0.00014066-0.00072615i,-0.00093589-0.00024226i,-0.0016678-0.00055852i,-0.0015-0.00089341i
0.00016683-0.00081895i,-0.00054291-0.0011745i,-0.00081315-0.0008735i,-0.0014494-0.00062828i,-0.0018887-0.0009779i,-0.0011803-0.0016629i,0.00056202-0.0013493i,0.0017289-0.00022488i,0.00086072+0.00026324i,-0.00086042-0.00049899i,-0.00096087-0.0012285i,-3.002e-05-0.0012275i,0.000117-0.0018656i,-1.0452e-05-0.0017669i,0.00023684-0.00063236i,0.00041255+4.3571e-05i,0.00046524+0.00025771i,0.00058121+0.00049291i,1.4985e-06+0.00038846i,-0.00050781+0.00014616i,-3.9301e-05-7.8493e-05i,0.00011123-0.00046557i,-0.00059066-0.00093006i
-0.0014122-0.0013922i,-0.0016862-0.00049166i,-0.002104+0.00023854i,-0.00052745+0.00028871i,0.00082618-0.00024951i,0.00072076-0.00077303i,-0.00021254-0.0007934i,-5.6704e-05-8.8542e-05i,8.9052e-06+0.00055496i,-0.0010722+0.00018811i,-0.00077783+0.00015692i,-0.00013096+0.0003003i,7.9111e-05-0.00042315i,0.00014163-0.00084291i,-5.5151e-05-0.0006533i,0.00011372+0.00047293i,0.00039873+0.0011535i,0.00019092+0.00042666i,-0.00080864-0.00060105i,-0.00080505-0.00023947i,0.00012188-0.00010084i,0.00089693-0.0012463i,0.0006384-0.0012433i
-0.0027135-0.00098927i,-0.0023848-0.0015942i,-0.0024151-0.0010673i,-0.0027952+0.00071814i,-0.0021594+0.0011785i,-0.00086633-0.0014071i,-0.00030073-0.0032855i,-0.00031378-0.0027898i,-0.00033931-0.0007794i,-7.6246e-05+0.00059737i,0.00048037+0.00085567i,0.00032226+6.3896e-05i,-0.00012275-0.0011114i,0.00040643-0.001262i,0.00055297-0.00069942i,1.3955e-05+8.3873e-05i,-0.00050155+0.00031076i,-0.00052897-0.00036339i,-0.00057851-0.00027447i,-0.00059763+0.00030416i,-0.00034739-7.5924e-05i,0.0004153-0.00042576i,0.0010776-0.00018025i
0.00030224-0.00018406i,-0.00019913+9.2068e-05i,-0.0016556+0.00030696i,-0.0023758-0.00088588i,-0.0017166-0.001917i,-0.0011476-0.0014274i,-0.0010061-4.7251e-05i,-0.00054997+0.00094081i,0.00010149+0.00085285i,0.00037785+0.00076585i,0.00031952+0.00088373i,0.00062489+0.0010281i,0.0012491+0.00072945i,0.0012821+0.00067571i,0.0010495+0.00078469i,0.00010434+0.00051232i,-4.5623e-05+0.00043557i,0.00024647+0.00010159i,0.00014094+8.5502e-05i,0.00018064+0.0002258i,0.00037379+0.00042317i,0.00067321+0.00097481i,-0.00028877+0.00089789i
-0.0026577-0.0019633i,-0.0022024-0.0032039i,-0.001595-0.0033157i,-0.00098336-0.0024424i,-0.00027992-0.0010858i,-0.00017025-0.00038618i,-0.00021931-0.0017152i,-0.0007186-0.0023632i,-0.0011888-0.0011806i,-0.00081529-9.6877e-05i,-0.0006249+0.00065864i,6.2086e-05+0.00074515i,0.0010368-0.00045475i,0.00091727-0.0013645i,0.00075423-0.00056661i,0.00114+0.00059243i,0.0009104+0.00064957i,0.00034702+0.00017108i,0.0002897-4.5579e-05i,0.00028298+0.00033725i,0.00041496+0.00023413i,0.00026802-0.00025592i,0.00010564+0.00032747i
-0.0018646-0.00045982i,-0.0016723+0.0010492i,-0.0016695+0.0031711i,-0.0011055+0.0024447i,-0.00025912+0.00098548i,-0.00045172-0.00029448i,-0.00092203-0.0017505i,-8.6465e-05-0.0011305i,0.00056603-6.1186e-05i,4.8616e-05-1.3766e-05i,-0.00034241-0.0001712i,0.00063697-0.0007668i,0.00053143-0.0018631i,-0.00042664-0.0019059i,9.4932e-05-0.0010257i,0.00087565+0.000189i,6.0292e-05+0.00022421i,0.00016851-0.00017738i,0.00084595+0.00010891i,0.00064394+0.00028546i,0.00062546-4.4135e-05i,0.00094375-4.8884e-05i,0.00061556-0.00011326i
-0.0011566+0.0017736i,-0.0032329+0.0024266i,-0.0036864+0.0013644i,-0.0025127-0.00032567i,-0.0014877-0.001221i,-0.0012889-0.0016174i,-0.0019519-0.00073619i,-0.0020499+5.9927e-05i,-0.00032837+0.00041153i,0.00032217+0.00092775i,-0.0003521+0.0005301i,0.00022289-0.00016689i,0.00036249+0.00044897i,-0.00015758+0.0012425i,-0.0010298+0.00058815i,-0.0011899-6.7283e-05i,-0.00099008-0.00024403i,-0.00095458-0.00032493i,-0.00053277+0.00037808i,-0.00041712+0.00071574i,-0.00060165+0.0010028i,0.00016296+0.00065002i,0.00099595+7.1216e-05i
0.001575-0.00072044i,0.0017148-0.0011922i,0.0018006-0.0014835i,0.0022109-0.00082435i,0.0016311-0.00094059i,0.00050968-0.0015061i,0.00010891-0.0016973i,0.00030653-0.0016634i,0.00032191-0.00094411i,-0.00012576-0.00025591i,0.00017232+1.0031e-05i,0.00025323+0.00022511i,-0.00080864-0.00059459i,-0.00083173-0.0012516i,-0.00033606-0.0004091i,-0.00057051+9.9036e-06i,-0.00042071+0.00013354i,0.00013952+0.00061337i,0.00025367+0.0001377i,-0.00029694-0.00031247i,-0.00062252-0.00038847i,-0.00030426-0.00031517i,0.00013621+3.7933e-05i
-0.001276-0.00091219i,-0.0024394+0.00033371i,-0.003935+0.00089591i,-0.0031892+0.00066521i,-0.001573+0.00052861i,-1.2742e-05+0.00021697i,0.00035467+0.00034472i,2.9437e-06+0.0011496i,5.2028e-05+0.0014873i,0.00070554+0.0010775i,0.00095324+0.00059241i,0.00098203+1.1852e-05i,0.00086499-0.00024475i,0.000575-5.2562e-05i,0.00036726+0.00037045i,0.00059134+0.00037365i,0.0010991+0.00046219i,0.0010333+0.00085963i,0.0008681+0.00062771i,0.00053164+9.2323e-05i,1.2146e-05-0.00091843i,-0.0001716-0.0010272i,-0.00027089+0.00012981i
0.0012585-0.0023818i,0.00046625-0.0036381i,-0.0011944-0.005109i,-0.0025765-0.0051011i,-0.0022826-0.0035325i,-0.001401-0.001707i,-0.001051-0.00034212i,-0.0008707-8.8422e-05i,-0.0005326-0.00031256i,-6.5162e-05-0.00063027i,0.00014575-0.00021328i,-0.00036028+0.0013362i,-0.00072982+0.001574i,-7.5236e-05+0.00059977i,0.00060285+0.00044453i,0.00020939+0.00030404i,-0.00042601+1.4184e-05i,-0.00029072+0.0006213i,6.6888e-05+0.001017i,-0.0002614+0.00090417i,-0.00024001+0.00074272i,0.00060332+0.00028408i,0.00082025-0.00068972i
0.00073455+0.001488i,-0.00091667+0.0036468i,-0.00084145+0.004137i,0.00058171+0.0032463i,0.0010553+0.001628i,0.0011538+5.0842e-05i,0.0011749-0.00074772i,0.0014586-0.00092305i,0.0010517-0.00090386i,-0.00018607-0.00092274i,-0.00096145-0.00057089i,-0.00098608-0.0010404i,-0.00041353-0.0016928i,-7.8045e-05-0.0019355i,0.00047186-0.000752i,0.000351+0.00018102i,3.4824e-05+3.8022e-05i,0.00018955-0.00016845i,0.00047118-0.00010985i,0.00054611+0.00018862i,0.00074561+0.00011811i,0.00086371-0.00029115i,0.00044418-0.00081307i
-0.0018081-0.0010247i,-0.0026661-0.0013497i,-0.0030326-0.0019675i,-0.0022999-0.0013191i,-0.0016963-0.00019714i,-0.0010051-0.00017503i,-0.00069305-0.00047817i,-0.00048417+0.00021494i,-0.00021468+0.00055937i,-0.00031387+0.00059027i,-0.00025194+0.00098196i,9.3823e-06+0.0011999i,-0.00022271+0.0010187i,-0.00076321+0.001072i,-0.0008504+0.0011748i,3.272e-05+0.0011931i,0.0009913+0.00086589i,0.00055934-0.00017957i,-1.8646e-05-0.00060145i,-0.00037007+0.00035166i,-0.00095209+0.00063176i,-0.00047133+4.9509e-05i,9.5607e-05+0.00057201i
0.0016482-0.00069923i,0.0017639-0.0014374i,0.00079464-0.0039759i,-0.00088707-0.0055063i,-0.0017595-0.0041034i,-0.0019519-0.0014604i,-0.0018195-0.00027851i,-0.00096118+0.00013173i,-0.00013604+0.0001333i,-0.00037954+0.00035107i,-0.0003755+0.00077192i,-0.0002281+0.0011773i,-0.00051356+0.0014964i,-4.7522e-06+0.00096332i,0.00017892+0.00050837i,-0.00020242-0.00047064i,0.00039556-0.00093372i,0.00056826-0.00061276i,0.00035109-0.00064519i,0.00049645-0.00011315i,4.522e-05+0.00030383i,-0.00027878+3.3026e-05i,0.00012969-0.0006457i
-0.0017745-0.0013281i,-0.0031874-0.00017446i,-0.0034295+0.00080015i,-0.001604+0.0021191i,0.00018194+0.0018729i,-3.9189e-05+0.00029901i,-0.00057005-0.0001771i,-0.00066451+2.3943e-05i,-0.00029981-0.0002866i,6.1545e-05+0.00047857i,0.00020595+0.00086525i,0.00074388-7.3978e-05i,0.0017843-0.00055233i,0.001947-0.00086904i,0.0015442-0.0012228i,0.00094369-0.00028708i,0.00042667+0.00031596i,0.00029759-0.0001559i,-0.00024628-0.00074053i,-0.00045519-0.00078364i,0.00065211-0.00023095i,0.00034218-1.2629e-05i,-0.00041549-0.00036013i
0.00020707+0.00051715i,-0.0011659+0.0011393i,-0.0025875+0.0010194i,-0.0035609+0.00077343i,-0.0031165+3.3226e-05i,-0.001429-0.00029472i,-0.00099775-0.00039769i,-0.00072893-0.00099541i,0.00034923-0.0013009i,0.00011453-0.00041386i,-0.00081842+0.00091642i,-0.00064787+0.0018612i,-0.00045226+0.0011007i,-0.00030435-0.00010146i,-0.0010163-0.00017934i,-0.00090674-0.0002439i,-0.00028626-0.00035365i,-0.00036627-1.088e-05i,1.3932e-05-0.00023591i,4.8513e-05-0.00057508i,-3.1429e-06-0.0007664i,-0.00018868-0.00058064i,-0.00082219-0.0012481i
