0.00042381+0.0012098i,0.00099605-0.0014465i,0.00076509-0.0032189i,0.00025874-0.0021005i,-0.00093516+0.0002801i,-0.0022252+0.0016339i,-0.0011814+0.0021954i,0.00067315+0.0018792i,0.00026785+0.00051695i,2.2354e-05-0.0008005i,-0.00014081-0.00037372i,-0.00052906-0.00024325i,-0.00016704+9.4158e-05i,-0.0003414+0.00094824i,-0.00018155+0.0012691i,-0.00025191+0.0011243i,-0.00028539+0.00022534i,0.00028585-8.6034e-05i,-4.0424e-05+0.00012055i,-0.0011418-0.00024506i,-0.00085649-0.00056983i,3.5424e-05-0.00013069i,-0.0004209-7.8534e-05i
-0.00080147-0.00046103i,-0.0018865-0.00023866i,-0.00099421-0.00019366i,-0.00021856+0.00014232i,-0.00077629-0.00079328i,-0.0016352-0.0014204i,-0.0016353-0.0011365i,-0.0014435-0.00085693i,-0.0012375-7.5486e-05i,-0.00016223+0.00058392i,-0.00043111+0.00065151i,-0.00088634+0.00043913i,-0.0011388+0.00076117i,-0.0010163+0.00063236i,-0.00086371+0.00010493i,-0.00063438-0.00035966i,0.00070588-0.00071091i,0.00058235-5.0313e-05i,-0.00038289+0.00067238i,-0.00037466+0.0010286i,0.00025987+0.00087982i,0.00105+0.00020385i,0.0003612+0.00018718i
0.0057387-0.0023454i,0.0056239-0.0036113i,0.0036327-0.002296i,0.002027+0.00054857i,0.0012214+0.00086266i,-2.568e-05+0.00047126i,3.6505e-05+0.00076417i,0.00066856+0.00039065i,-0.00023954-0.00026538i,-0.00046139-0.00046249i,-0.00084142+0.00016645i,-0.0012434+3.9743e-05i,-0.00054665-0.00086434i,-0.00023704-0.00019821i,-0.00041543+0.00030046i,-0.0004691+0.00030252i,-0.00061974+0.00044803i,0.00013957-3.3687e-05i,0.00037241-0.00083536i,0.00014482-0.00068359i,0.00047455-7.0579e-06i,0.00035548+0.00035802i,-4.5177e-05+0.00015586i
-0.0010661+0.00057513i,-0.00014263-0.00035009i,-0.00061876-0.00054234i,-0.00092484-0.00013011i,-0.00033058+0.00012975i,0.00031109+0.0001538i,0.00030743-0.00051237i,0.00018659-0.00099829i,-0.0002774-0.0011024i,-0.00034719-0.00050826i,-0.00041043+0.0004769i,-0.00059641+0.0011098i,7.4703e-05+0.0011055i,0.00036539+0.0010666i,0.00077853+0.00072805i,0.0013332+8.5007e-05i,0.0011463-0.00058818i,0.00083979-0.00096556i,0.00033838-0.00028544i,-8.4961e-05-0.00025824i,0.00013298-0.0011703i,0.0001243-0.00062759i,-0.00025279+0.00020783i
-0.001735-0.0037996i,-0.0018599-0.0020601i,-0.0021781-0.00042435i,-0.0012477+0.00026493i,-0.0007374+0.00083184i,-0.0018241+0.00054526i,-0.0017314-0.00034682i,-0.00044503-0.00011499i,-0.00044405+0.0002482i,-0.0011524+0.00014019i,-0.0011585+0.00037531i,-0.0010385+0.0003119i,-0.0005042-0.00012451i,0.00011713-0.00078588i,-0.00032924-0.00024977i,-0.00048169+0.00029556i,-0.00059441-0.00031946i,-0.00060871-0.00062578i,-0.00017343-0.00015571i,4.701e-05+0.0003283i,4.3514e-05+0.00078713i,9.3261e-05+0.0016921i,0.00024851+0.001425i
0.00035177-0.00034714i,0.00035223-0.0010796i,0.0003133-0.00011966i,0.00056451+0.00093213i,0.00051759+0.0010036i,0.00042458+0.00015718i,0.00049684-0.00070721i,-0.00011233-0.0009514i,-0.00088764-0.00080624i,-0.00074888-0.00022225i,0.0004735+9.6926e-05i,0.0010566-8.0729e-05i,0.001207-0.00027359i,0.00086232+0.00016579i,0.00078395+0.00019927i,0.00073729+0.00024634i,0.00041037+0.00020671i,-7.7476e-05-0.00098216i,-0.00065583-0.0014i,-0.00058101-0.00078507i,-0.00031375+0.00011456i,-1.1516e-05+0.00037033i,0.00035342-5.914e-05i
4.5568e-06-0.0022774i,0.00022915-0.0025872i,0.00050923-0.0024568i,0.00013002-0.00099653i,-0.00047954-8.6683e-05i,-0.00065477-0.00028312i,-0.00022108+0.00026949i,-0.00038328+8.2018e-05i,-0.0012031-0.0004567i,-0.00076374+0.00033515i,-5.0446e-05+0.00026586i,0.00014312+0.00017141i,-8.3313e-05+0.00065092i,-0.00018252+0.00077419i,0.00011739+0.0008218i,0.0006291+0.00051391i,0.00015345-4.7745e-05i,-0.00035431+0.00010237i,0.00012284+9.0432e-05i,0.0012226-0.00011533i,0.00066722+0.00020087i,-0.00051845+0.0002468i,-0.00012771+0.00044075i
0.0021061-0.0012274i,0.0010943-0.0013135i,-0.00040611+0.00059884i,-0.0015657+0.0025004i,-0.0020372+0.0025158i,-0.0011699+0.0010877i,-0.0002214+0.00036755i,-0.0010885+3.2251e-05i,-0.0016799+3.0206e-05i,-0.0014296-3.8128e-05i,-0.00051983-0.00071999i,0.00036152-0.00071765i,0.00036428-0.00030075i,0.00055381-0.00035152i,0.00015344-0.00024206i,4.4217e-05-7.2549e-05i,0.00011315+2.0806e-05i,-0.00069771+0.00027424i,-0.0005633+0.00011209i,-8.0539e-05+0.00057535i,0.00036103+0.0011887i,0.00057092+7.514e-05i,0.00047237-0.00046247i
-0.00078852-0.0021855i,-0.00064226-0.0017437i,-0.00063788-0.00064348i,0.00018865+0.00018986i,-0.00025525+0.00090413i,-0.0010449+0.0011527i,-0.00050299+0.00020712i,-0.00016221-0.00021539i,-0.00066105-0.00065516i,-0.00059544-0.00032001i,-0.00057399+0.0015507i,-0.00056583+0.0016634i,5.5966e-05+0.00094058i,0.00019581+0.0004399i,-0.00024067-1.7803e-05i,-0.0002778+0.0002288i,3.035e-05-2.3877e-05i,0.000887-0.00045307i,0.0011968+0.00011018i,0.00060074+5.2189e-05i,0.00016395-0.00048353i,0.00039625-8.3843e-05i,0.00096285+0.00058527i
0.002761-0.0019643i,0.002001-0.0018768i,0.00044396-0.0016929i,-7.2737e-05-0.00046764i,-0.0010291+0.0003151i,-0.0017288-0.00011197i,-0.00075512-3.749e-05i,-7.9803e-06+0.00027534i,-0.00013571-8.2515e-05i,-0.00066255-6.2576e-05i,-4.6368e-05+0.00012888i,0.00052536-0.00034126i,-0.00054454-0.00037425i,-0.0016888-0.00013159i,-0.0013624+0.00024969i,-0.00068216+0.0010905i,-0.00045491+0.0012266i,-0.0002757+0.00082116i,2.0869e-05+0.00027009i,-0.00010477-0.00038329i,-0.00037353-0.0001313i,0.0001987-1.843e-05i,0.00076076+0.00039538i
0.0048824+0.00019961i,0.0046438-0.0013082i,0.0020189-0.0019707i,-0.0011422-0.0016983i,-0.0026103-0.0010907i,-0.0030257+0.00026753i,-0.0024952+0.00076767i,-0.0011616+0.00010063i,-7.6618e-05-0.00052548i,0.00035003-2.0664e-06i,0.00018703+0.00014416i,-9.3077e-05+0.00044276i,-4.8569e-05+0.00080361i,-0.00013017+0.0012892i,-0.00080706+0.0011811i,-0.00068638+0.0012797i,-0.00051988+0.0011004i,-0.00079555+0.00010227i,-0.00031397+0.00015193i,0.00043366+0.00039654i,0.00068724+0.00034582i,0.00055163+0.00083892i,0.00072889+0.00062101i
-0.0016696-0.00061542i,-0.00081149-0.0012233i,-0.0010883-0.00035568i,-0.00038179+0.00077815i,0.00039262+0.00061698i,-0.00046536+0.00021819i,-0.0009571-0.00044109i,-0.00045479-0.00046136i,-0.00014597-0.00061572i,-0.0005865-0.0011156i,-0.00047041-0.00080972i,6.9364e-05-0.00016739i,0.00010582+0.00018501i,0.00028398-0.00025399i,0.00019871+0.00012217i,0.00023053+0.00055733i,0.00056955+0.00040156i,-2.755e-05+0.00071261i,-0.00019899+5.2694e-05i,0.0003467-0.00064458i,0.00025177-0.00027213i,-3.9524e-05+7.3523e-05i,-0.00041971-0.00027893i
0.002444-0.0030034i,0.0019638-0.0032423i,6.188e-05-0.0015599i,-8.2387e-05-0.0007071i,0.00046164+3.0198e-05i,-0.00043432+0.00025801i,-0.00085122-0.00081674i,-0.00075765-0.0012851i,-0.00081528-0.00080617i,-0.0011749-0.00036355i,-0.00075742+8.5466e-05i,-0.00032439+0.00032886i,-0.00064027-0.00019042i,-0.00043246-0.00097232i,-5.0203e-05-0.00095827i,-0.00047571-0.00073008i,-0.00093424-0.0001766i,-0.00034401+0.00033903i,0.00033363+0.00048055i,0.00034683+0.0003219i,0.0009138+3.5241e-06i,0.00056628+0.00029852i,-0.00010418+0.00041254i
0.0015928+0.001937i,0.0015221-0.00040478i,0.00098511-0.00020946i,0.00028259+0.0011277i,-0.000346+0.00069003i,-0.00078431-0.0006194i,-0.0010655-0.0012294i,-0.00064407-0.00061762i,-0.00037883-8.9886e-05i,-0.00011165-0.00044754i,-0.00033794-9.135e-05i,-0.00082308+0.00065619i,-0.00087829+0.0005257i,-0.0012342+0.00071831i,-0.0010226+0.00048608i,-0.00011341-0.00031692i,-8.0992e-05-0.00053956i,-0.0001606-0.00038302i,-0.00019429-0.00016093i,-0.00082432+0.00055465i,-0.00090947+0.00062837i,-0.0002018-0.00025983i,0.00074648-0.0013005i
0.001954-0.002516i,0.0014014-0.0028645i,0.0014976-0.0024918i,0.00047385-0.0020277i,-0.00076869-0.0010457i,-0.00098418+0.00025239i,-0.0008946+0.00054794i,-0.00065002+8.7843e-05i,-0.00048579-0.00075793i,-0.00061313-0.0013859i,-0.00098155-0.0011473i,-0.0014086-0.00024896i,-0.0015542+0.00075031i,-0.0015931+0.0012499i,-0.0016547+0.0015672i,-0.00099337+0.0013371i,-0.00065773+0.00098999i,-0.00051509+0.0010226i,0.00010188+0.00052585i,0.00054176-0.00028231i,0.00016563-0.00081212i,-0.00050667-0.00026862i,-0.00044793+0.00037126i
0.0017854-0.0017974i,-1.6765e-05-0.0026872i,-0.002246-0.0021766i,-0.0021534-0.00071068i,-0.0014392+0.00018172i,-0.00050002-0.00024749i,-0.00053281-0.00049711i,-0.00069896-0.00045945i,-0.0010091-0.0005674i,-0.0013479-0.00035952i,-0.00074131+0.0002869i,0.00016867+0.0012456i,0.00069889+0.0010675i,0.00060211+0.0003395i,0.00046077+0.0010795i,0.0006624+0.001076i,0.00059241-8.3003e-05i,0.00013025+0.0003612i,5.0734e-06+0.00051777i,0.00033423-0.0006091i,0.00025177-0.0011291i,-7.1519e-05-0.00013764i,-0.00044727+0.00035745i
-1.4106e-05-0.0019171i,0.00040764-0.0013354i,-0.00053778+0.00099421i,-0.0016534+0.0029195i,-0.0011198+0.0032222i,0.0003149+0.0021431i,0.00029728+0.00051064i,0.00011148-0.00070042i,6.0926e-05-0.0010821i,-0.00047433+0.00014165i,6.2095e-05+0.0011478i,0.00011953+0.00070041i,3.8574e-05-5.2907e-05i,0.00075527-0.00043447i,0.00090286-0.00027271i,0.00070064+0.00057998i,0.00031706+0.00038359i,-8.3845e-05-0.00049372i,1.2695e-05-0.00070571i,0.00039663-0.00068204i,0.00027832-0.0001056i,-0.00052126+0.00015977i,-0.00071065-0.00021976i
0.0017406-0.0041122i,0.0012108-0.0021891i,-0.0007324-0.00046689i,-0.0010314+0.00047249i,0.00061825+0.00085874i,0.00061732+0.00077211i,2.8508e-05+0.00016277i,-5.8688e-05-0.0011181i,-2.5384e-05-0.00091447i,-0.00036606+0.0007006i,-0.00010216+0.00077841i,0.00049699+0.00019668i,0.00025485+0.00040664i,0.00010385+0.00036535i,0.00030907+0.00065562i,0.00030366+0.001542i,-0.00012868+0.0010575i,-0.00018446+0.0001882i,0.00020357+0.00012733i,-0.00022725+0.00025383i,-0.00067251+0.00030021i,-0.00051563+0.00049101i,-0.00038265+0.00079615i
0.00034417-0.0019864i,-0.001026-0.0029673i,-0.0023263-0.0030488i,-0.003506-0.0015535i,-0.0033589+4.1369e-05i,-0.0015345+0.00093916i,-7.3515e-05+5.466e-05i,0.00014275-0.0011123i,7.4993e-05-0.00064835i,4.3494e-05+0.00026601i,0.00017473+0.000772i,1.1613e-05+0.0010812i,-0.00013173+0.00054765i,-8.4875e-05+0.00098922i,0.00026962+0.0011352i,0.00080182+0.00045332i,-0.00015989+0.00010237i,-0.00038327+0.00023i,0.00023258+0.00023702i,0.00013453-0.00035509i,-0.00050698+4.6025e-05i,-0.000608+0.0002924i,-0.00046487-0.00095738i
7.2704e-05-0.0039346i,-9.2017e-05-0.0034089i,-0.00023915-0.001505i,0.00011587+0.00035862i,-4.0684e-05+0.0014029i,-0.00068484+0.0012561i,-0.00034011-3.9434e-05i,0.00038634-0.00064544i,4.8739e-05-0.00019688i,-0.00024351-1.7449e-06i,-2.3315e-05-0.00049537i,2.5105e-05-0.00049116i,0.00054858+0.00013995i,0.0007019+0.0010388i,0.00012679+0.0012526i,0.00045264+0.00045351i,0.00061026+7.955e-05i,-1.5165e-05+6.0811e-05i,-0.00019455+0.00059271i,8.5432e-05+0.00052392i,6.846e-05-0.00038772i,-0.00011255-0.00049179i,0.00061316-0.00055732i
0.0028569+0.00013654i,0.0015109-0.00056034i,0.00029625-0.00030231i,0.00014325-0.00025548i,3.6727e-05-0.00070814i,-0.00071098-0.00024768i,-0.0011386-6.4371e-05i,-0.0010042-8.7687e-05i,-0.0010617-8.7333e-05i,-0.0011435-0.00030876i,-0.00068015-0.00060108i,-0.00072942-0.00027119i,-0.00091512-0.00012035i,-0.00028291+0.00044421i,-1.5033e-05+0.0011728i,0.00010116+0.00073351i,-9.0724e-05+0.0002055i,-0.00031987+9.0502e-05i,-4.7102e-05-6.8245e-05i,3.7795e-05-0.000363i,0.00030115-0.00069277i,0.00015508-0.00026718i,-0.00036382+0.00038093i
-0.001519-0.00090864i,-0.0008514-0.0010997i,-0.00065605-0.0002803i,-0.00069603-3.1797e-05i,5.1498e-06-7.7486e-05i,0.00044084+0.00014942i,0.00021296+8.3834e-05i,-0.00085482-0.00036312i,-0.0014719-0.00070067i,-0.00081962-9.4383e-05i,-0.00028165-1.5211e-05i,-0.00019045-0.00024848i,-0.00014918-3.8674e-05i,-0.00056804-0.00056391i,-0.00083773-0.00080321i,-0.00014398-0.00079252i,0.00050797-0.00048881i,0.0011332-5.4627e-05i,0.0011457-0.00037811i,0.00038228-0.00066728i,4.7971e-05-6.3358e-05i,-0.00035322+0.00092656i,-0.00066063+0.0003737i
0.0012605-0.0029667i,0.0019317-0.00337i,0.001586-0.0022892i,0.0011983-0.00051191i,0.00038445+0.0011761i,-4.8847e-05+0.0012319i,8.079e-05+0.00019439i,-0.00034421-0.00019103i,-0.00089853+0.00026543i,-0.0010746+0.00059186i,-0.00093603+0.00022013i,-0.00022182-7.6041e-05i,0.00018662+4.3904e-05i,0.00019547+0.00010101i,-2.6258e-06+0.0007171i,-8.4315e-05+0.0007176i,2.2933e-05+0.0001079i,-0.00078636-0.00038138i,-0.00086042-0.001005i,-0.0001655-0.0010322i,-1.7902e-05-0.00051332i,-0.0002608+8.6453e-05i,-0.00019257+0.0006397i
0.0010528-0.00062444i,0.0017108+8.0574e-05i,0.00021983+0.00092524i,-0.0021236+0.0021952i,-0.0022809+0.0019584i,-0.0009603+0.00029479i,-0.00037165-0.00027058i,-0.00021306-0.00070869i,-4.1655e-05+1.0355e-05i,4.5704e-05+0.0012096i,0.00027119+0.00077209i,0.00087118+0.000703i,0.00094728+0.0010022i,0.00015785+0.0011204i,-9.1482e-05+0.0013548i,-7.2946e-05+0.0011693i,-0.00025949+0.00024599i,-0.00035567-0.00072131i,0.00012938-0.00060238i,0.00051606-0.00015363i,-0.00013807-0.00023149i,-0.00061561-0.00072543i,-0.00047836-0.0006208i
0.00059075-0.00052997i,0.00034127+0.00056175i,-0.0016019+0.0013602i,-0.0018182+0.00068544i,-0.00073605+0.00060824i,-0.00066805+0.00037878i,-0.0008404-0.00034135i,-0.00066633-0.00038556i,-0.00042115+0.00041393i,-7.8836e-05+0.0011051i,-0.00040562+0.00024159i,-0.0010855-0.00063599i,-0.0007608-0.00030708i,-0.00019483-0.00024198i,-0.00019696+5.0514e-05i,-0.00017649+0.00052257i,0.00012601+0.00018169i,1.7375e-05-0.00016405i,-0.00033447-6.823e-05i,-0.00014052+0.00021693i,-0.00015954+0.00085354i,-0.00077761+0.0005959i,-0.00041951+0.00019899i
-0.00026556-0.0026019i,-0.0010259-0.0025804i,-0.00087709-0.001909i,-0.00014129-0.0011687i,2.187e-05+4.5667e-05i,-0.00012731-8.5159e-05i,-0.00024764-0.00055262i,-0.00098904-0.00060511i,-0.001514-0.00080793i,-0.001678-0.00045668i,-0.0013233+8.908e-05i,-0.00023097+0.00035483i,0.00045333-0.00026232i,0.0006027-0.00073535i,0.00056314+0.00030363i,0.00021902+0.0010202i,0.00013525+0.00052754i,0.00032071-2.0506e-05i,0.00024538-0.00045327i,0.00066965-0.00051558i,0.00062869-0.00014076i,8.8029e-05-0.00021722i,0.0003729-9.9822e-05i
0.0033232-0.00051973i,0.003391-0.00084126i,0.0031068-0.001683i,0.0024322-0.0010667i,0.0010118-0.00022199i,-7.7713e-05-0.0002881i,-0.00039706-1.1161e-05i,-0.00059002+3.6604e-05i,-0.00024793-0.00023619i,1.238e-05-0.00021733i,-0.00014349-6.1548e-05i,0.00015732-0.00040678i,-0.00017435-0.00035101i,-0.00059978+5.66e-05i,-0.00083188+0.00030186i,-0.00093173+5.5077e-05i,-0.00051974+0.00015115i,-0.00081351+0.00059552i,-0.00071569+0.00049903i,-0.00044187+0.00030469i,0.00013808-0.00020288i,0.00070033-0.00060256i,0.00040829-0.00023967i
0.0027325-0.00038648i,0.0020871-0.00034861i,-0.00020925-0.00020209i,-0.0020231+0.0012354i,-0.0030227+0.0013758i,-0.0030973+0.0010622i,-0.001636+0.0016054i,-0.00036385+0.0011872i,-0.0003483+6.7382e-05i,-0.00049263-0.00056659i,-0.00027599-0.0001498i,0.000281+0.00086443i,0.0010761+0.00085849i,0.00038902+0.00082671i,-0.00054276+0.0010815i,-9.7683e-05+0.00058484i,0.00062923-0.00010638i,0.00025711-0.00017146i,-0.00055106+0.00022965i,-0.00035422+3.163e-05i,0.00019905-0.00027219i,0.00038124+0.0003197i,4.3564e-05+0.00014691i
0.00096951-0.0022261i,0.0011128-0.0030565i,0.00043629-0.0022593i,-0.00067213-0.0015697i,-0.0006994-0.00099782i,-0.00053148+5.741e-05i,-0.00038698+0.00016127i,-9.9608e-05-0.0003126i,-6.052e-05-0.0012217i,0.0006899-0.00059182i,0.0010306+0.00071523i,0.00049448+0.00077452i,0.00014823+0.00061126i,-4.4195e-05+0.00079357i,0.00033444+0.00094518i,-0.000177+0.00073828i,-0.00039935+0.00087176i,0.0001036+0.0010709i,-0.00034871+0.0004309i,-0.00043127-0.0004886i,0.00019092-0.00064792i,0.0006682-7.8088e-05i,0.00022355-0.00013334i
0.0018209-0.0014027i,0.0013658-0.0022421i,0.00078134-0.0013003i,0.0010274-0.0014951i,0.00045622-0.0014254i,-0.00027917-0.0011758i,-4.0346e-05-0.0010777i,0.00022733-0.0012745i,0.0002883-0.0011597i,0.00039175-0.00055903i,-4.2472e-05-9.395e-06i,-0.00051376+0.00038693i,-0.00071839+0.00073679i,-0.00010687+0.0010079i,0.00047456+0.00039766i,1.528e-05-6.7373e-05i,-0.00036788-5.8084e-05i,-0.0002199-0.00017111i,0.00039178-0.00034961i,0.00040197-0.00055253i,-0.00041398-0.00049628i,-0.0010595-0.00043493i,-0.00049728-0.00024277i
-0.0011057-0.0015644i,-0.00050994-0.0010272i,0.0001003+0.00059431i,0.00013975+0.0021249i,-7.0815e-05+0.0019632i,7.2528e-05+0.00063355i,-0.00032364-0.00061796i,-0.0002194-0.0013518i,6.424e-05-0.00068731i,0.00047709+0.00041388i,0.00021993+0.00079365i,-0.00074316+0.00062829i,-0.00096978+7.2263e-06i,-0.00092644-0.00055164i,0.0001457+0.00028156i,0.001053+0.0011319i,0.00065667+0.00025939i,0.0001154-0.00035067i,0.0002543+0.00021001i,0.00011694-2.96e-06i,-0.00020493-0.00055479i,-0.00021503-0.00017882i,-0.0003771-0.00028079i
0.001706-0.0029922i,0.00090317-0.004848i,-0.00022252-0.0032741i,-0.00072573+2.8726e-05i,-0.0014565+0.0008906i,-0.0019821+2.1574e-05i,-0.0012916-0.00022587i,-0.00055009-0.00022243i,-0.00050444+0.00020702i,-0.00055028+0.00095295i,-0.00073702+0.00094811i,-0.00080774+0.00085021i,-0.00047245+0.00076998i,-0.00022165+0.00070437i,0.0001236+0.0011907i,0.00015804+0.0013037i,-0.00033608+0.00056569i,-0.00034606+0.00026141i,-0.000527+0.0010651i,-0.00089413+0.0010587i,-0.00090389+4.8969e-05i,-0.00012581-0.00011255i,0.00062513-3.3911e-05i
0.0070188-0.0012186i,0.0066434-0.0040106i,0.0046455-0.0048628i,0.0025923-0.0030846i,0.00019952-0.0015997i,-0.0018354-0.0014867i,-0.00175-0.0006293i,-0.00084345+1.0814e-05i,0.00013801+6.0008e-06i,0.00017365+3.4339e-05i,-0.00068105-0.00038784i,-0.0010743+0.00010785i,-0.0011308+0.0016214i,-0.0011468+0.0024445i,-0.0015967+0.0018876i,-0.0004671+0.0010833i,0.00081938+0.0008336i,-4.5661e-05+0.00057339i,-0.00080198+0.00060994i,-7.4941e-05+0.00013864i,0.00034687+0.00035315i,9.336e-05+0.00072855i,-2.049e-05+0.00037903i
0.002455-0.0020839i,0.0016834-0.0018634i,1.6962e-05-0.0011012i,-0.00097768-0.00054904i,-0.0015608+2.8686e-05i,-0.0020784+0.00063597i,-0.0012713+0.00042774i,-0.00057456-0.00067584i,-0.0002809-0.00090208i,-0.00032137+0.00074206i,-0.00041344+0.00093552i,-0.0005288-1.2309e-05i,-0.0010972-0.00010775i,-0.00098875-0.00022333i,-0.0010039-0.00012213i,-0.00076597+0.0002438i,-0.00033965+0.00033459i,-5.0347e-05+3.3598e-05i,0.0004462-0.00023511i,0.00068854-0.00050545i,0.00036641-0.00048825i,0.00055671-0.0008121i,0.00081174-0.00025259i
0.0027892-0.0016096i,0.0036081-0.0036098i,0.0024347-0.0017516i,0.00081606+0.00083267i,-0.00010334+0.0015314i,-0.00090166+0.0008241i,-0.0013483+0.00029099i,-0.00056444+0.0002222i,-0.00085745-0.00019329i,-0.0009231-0.00018607i,-1.8721e-05-2.0341e-05i,-9.3125e-05+1.8715e-05i,-0.000788+0.0003939i,-0.0011448+0.00047608i,-0.0013717+0.00023579i,-0.00030184+0.00076866i,0.00021341+0.00037605i,-6.2747e-05+0.00032731i,9.1782e-05+0.0013351i,0.00026576+0.00033173i,1.8543e-05-0.00071935i,-0.00035998-0.00044087i,-0.00060237-0.00036597i
-0.0011447-0.0026343i,-0.00052884-0.0017648i,-0.00076451-0.00092729i,-0.0012295+0.00061729i,-0.00078756+0.00072983i,0.00059732-0.00010966i,0.0013579-0.00027136i,0.00031642-0.00035483i,-0.0015336-0.00027084i,-0.0018776-3.6032e-05i,-0.0011562+0.00014215i,-0.00060176+0.0010799i,-0.00026235+0.0015016i,0.00039581+0.001269i,0.0006084+0.00091991i,0.00088653+0.0002082i,0.00039595-0.00018617i,-0.00032913-0.00016452i,-0.00038128-0.00046502i,-0.00083572-0.00065948i,-0.00020691-0.00019185i,0.00024865+0.00018358i,0.0001099+0.00016385i
0.0020435-0.0023001i,0.00058871-0.0017079i,-0.0013275-0.00057375i,-0.0012183-0.00044341i,-0.00045346-5.0466e-05i,-0.0003129+0.00020244i,-0.0011421-0.00011871i,-0.00096235-8.4381e-05i,-0.00043123+0.00078102i,-0.00080268+0.0013378i,-0.00035449+9.163e-05i,0.00027409-0.00064723i,0.00071809-0.00036618i,0.001217+0.00070441i,0.00089246+0.0011786i,0.00023825+0.00052058i,-0.00097279-0.0003341i,-0.00091136-3.8749e-05i,0.00027387+0.00034325i,0.00042323-0.00040885i,-0.0001187-0.00059242i,5.5275e-05+6.2202e-05i,0.00038201-4.7209e-05i
-0.00019993-0.00056311i,-0.00040084-0.0023128i,-0.00067378-0.0016438i,0.0002088+0.00023899i,0.0012781+0.00045446i,0.00028292+8.1283e-05i,-0.00083824-0.00060277i,-0.00091196-0.0015635i,-0.00080938-0.0013652i,-0.0011947-0.00032989i,-0.0015997-0.00056854i,-0.00051922-0.00092587i,-0.00021183-0.00015207i,-0.00025962+0.00045041i,3.9809e-05+0.00059128i,0.00031449+0.0007303i,0.00054961+0.00038768i,0.00011453-0.0001058i,2.014e-05+6.1417e-05i,-0.00019414+0.00018626i,-0.00045957-4.4975e-05i,-0.0001891+0.00022548i,-0.00016404+0.00048272i
0.0011015-0.0013543i,0.0005233-0.0012111i,0.0012684+2.1699e-05i,0.00029303+0.0019734i,-0.001056+0.0011432i,-0.0017147-0.00077729i,-0.0016994-0.0011152i,-0.0016955-0.00089267i,-0.0017563-0.0004608i,-0.00091235-0.00031174i,1.95e-05-0.00015447i,-3.1984e-05-0.00019695i,-0.00047172-0.00078543i,-0.00062278-0.00080664i,-0.00058109-0.00027384i,-0.00041644+0.00026736i,-0.00061227+0.0004143i,-0.00064639-0.0003436i,-0.00038057-0.00047625i,7.7387e-05+0.0005243i,0.00024694+0.00043756i,-4.356e-05-0.00021753i,0.00018967-7.7581e-05i
0.0028521-0.00037528i,0.0018521+0.00047039i,-0.00061872-6.4522e-05i,-0.0021031-5.4611e-05i,-0.0014123+0.00093187i,0.00014122+0.0011962i,0.00052974+0.0006593i,-0.00012615+6.081e-05i,-0.00075076+1.1088e-06i,-0.00058267-1.2278e-05i,0.00011588-5.5581e-05i,0.0003065+0.00037215i,-0.00043558+0.0011266i,-0.00083884+0.0011355i,0.00042044+0.00080177i,0.0015711+0.00056526i,0.0011189+0.00032337i,0.00052386+0.00045614i,0.00040544+0.00052433i,0.00082179+0.00010928i,3.8319e-05+0.00078799i,-0.00040957+0.00052885i,0.00063896-0.0002992i
-0.0022095-0.0030586i,-0.0018022-0.0044316i,-0.00039972-0.003697i,-0.00054814-0.0018098i,-0.00054365-0.0004829i,-0.00027055+0.00012113i,-0.00036561-1.0137e-05i,-0.00012-0.00039864i,0.00025155-0.00091418i,-0.00032014-0.0010691i,-0.00096471-0.0010316i,-0.00045602-0.00089826i,4.5707e-05-0.00055411i,-0.00049196+2.2253e-05i,-0.00097103+0.00051567i,-0.00013678+0.00052206i,0.0002168-0.00039614i,-0.00029032-0.0006504i,-0.00061846-0.00045055i,-0.0010327-0.00063864i,-0.0010231-0.00064759i,-0.00060913-0.00021098i,-0.00065539-0.00027511i
0.002515-0.001605i,0.0027203-0.0017598i,0.001+0.00042952i,0.00037146+0.001961i,0.00031962+0.0015548i,0.00038617+0.00028111i,-0.0002717-0.0002326i,-0.0014794-0.00045119i,-0.00095712-0.0006412i,9.2598e-05-0.00069642i,0.00056007-0.0012141i,0.00029872-0.00097622i,-0.00073791-0.00059509i,-0.001318-0.00064766i,-0.00055056-0.0010849i,0.00017078-0.0013233i,0.00027865-0.00045726i,9.9807e-05-0.00012698i,-0.00019354-0.00046023i,-0.00032634-0.00042806i,-0.00035211-0.00072806i,-8.9011e-05-0.00071626i,0.00016624+4.8128e-05i
-0.00068864+0.00048372i,0.00020075+0.0003353i,0.00029739+0.00073562i,-0.00078004+0.0012419i,-0.0018304+0.0014335i,-0.0020491+0.00077561i,-0.0014632-0.00055872i,-0.0013481-0.0013151i,-0.0011026-0.0009624i,-0.00058352-0.00026757i,-0.00057649-0.0002357i,-0.00035741-0.00066185i,-0.00025627-0.00014848i,-0.00041727+5.1448e-05i,-0.00044438-0.00017598i,-0.0005107+6.6607e-05i,4.2254e-05+0.00016083i,0.001068-0.00051465i,0.0016868-0.0005926i,0.00093699-4.5947e-05i,-0.00021396-0.00019541i,0.00060093-0.00087967i,0.0013753-0.00028865i
