-0.002478-0.00050498i,-0.0008702+6.9389e-05i,-0.00040617-0.0010565i,-0.00027159-0.00092014i,0.00016562+0.0005638i,0.0010088+0.00023281i,0.0013759-0.00014266i,0.001122-0.00057579i,0.00054884-0.00062607i,-0.00017238-0.00025523i,-0.00027085+0.00012268i,7.2564e-05-0.00029674i,-0.00031568-0.0010626i,-0.0010266-0.0010434i,-0.0010436-9.8149e-05i,-0.00038858+0.00041737i,-0.00024196+0.00027798i,-0.00032875+0.00012756i,5.92e-05-0.00016598i,0.00014218-0.00079044i,0.00052344-0.0013631i,0.0005537-0.00094128i,0.00033716-0.00029609i
0.0013909-6.2136e-05i,0.00022674-3.2632e-05i,-0.0004773-0.00083573i,-0.0011354-0.001107i,-0.00090741-0.00029409i,0.00060338+0.00028802i,0.0008578-0.00056944i,-0.00027279-0.00093864i,-0.0012137-0.00031679i,-0.0004226+0.00025232i,0.00018291+0.00026109i,-0.00043574+0.00012554i,-0.00052668+0.00033862i,0.00040228+0.0016767i,0.00055398+0.0022125i,-0.00037138+0.0010269i,-0.00076547+0.00015404i,-0.00089816+0.00012554i,-0.00097855-9.4503e-05i,-0.00074066-0.00034175i,-0.00016844+0.00038118i,0.00032499+0.00036229i,0.0002562-0.00025093i
0.0014309-0.00092674i,0.001047-0.0014834i,0.00021652-0.0027688i,-0.0013069-0.0043695i,-0.0019498-0.0037342i,-0.0011485-0.001269i,-0.00032517-0.0010106i,-0.00081698-0.0012162i,-0.0017784-0.00039076i,-0.000948-0.00055088i,3.3133e-05-0.0014512i,0.00024895-0.0014072i,0.00030144+7.9978e-05i,4.2831e-05+0.00066532i,8.3884e-05+4.2717e-05i,0.00023142+0.00027318i,0.00048593+0.00060015i,-1.218e-05-0.00023911i,-0.00079519-0.00035397i,-0.00082065-0.00018297i,-0.00073726-3.9782e-05i,-0.00019726-0.00028058i,0.00068596+0.00052078i
-7.5721e-06+0.0018646i,0.0005975+0.00030172i,0.00068217-0.0011429i,-0.00050192-0.0022262i,-0.00039782-0.0023591i,0.00022693-0.0020879i,-0.00033757-0.0024528i,-0.0010545-0.0018294i,-0.00063003+5.0098e-05i,0.00013898+0.0006161i,0.00072268-0.00016207i,0.0012621-0.0003157i,0.00051527+0.00021444i,-0.00046854+0.00044568i,-0.00034934+0.00033007i,-0.00021497+0.000395i,-0.00046503+0.00036676i,-0.00028799-0.0001572i,9.5988e-05-0.00065892i,-8.4626e-05-0.00066323i,-0.00039272-0.00069032i,-0.00030532-0.0010452i,4.5618e-05-0.000532i
0.00013168-0.0010102i,7.5133e-05-0.0014151i,-0.00046221-0.0018393i,-0.0017459-0.00072368i,-0.00179-7.6675e-05i,-0.00096846+3.0404e-05i,-0.0010529-0.00046485i,-0.0012086-0.00092646i,-0.0014187-0.00048066i,-0.0011403+0.0004829i,0.00030344+0.00029796i,0.00072252+0.00027045i,0.00016866+0.00048178i,0.00032605+0.00061942i,0.00069475+0.0002599i,0.00083775-0.00014758i,0.0003469+7.6944e-05i,-0.00030156+1.9851e-05i,-0.00059518-0.00054649i,-0.00048787-0.00033096i,0.00022445+0.00084001i,-0.00018135+0.0010551i,-0.00045582+0.00028157i
0.00042029-0.00038084i,0.0006325-0.00049963i,0.00049295-0.0014397i,-0.00036643-0.0020878i,-0.0013143-0.0026271i,-0.00020658-0.0023413i,5.4196e-06-0.0020948i,-0.0014402-0.0019292i,-0.001294-0.00077977i,-3.1132e-05-0.00014749i,-0.00035025-0.00029606i,-0.00095227-0.00032335i,-0.00059855-8.1344e-05i,-0.00044054+0.00022284i,-8.6215e-05+0.00031943i,0.00036535+0.00052594i,0.00029259+0.00066104i,0.00025824+0.00032842i,4.8306e-05+0.00050315i,-0.00093451+0.00040907i,-0.001322-0.00057889i,-0.00086499-0.00091138i,0.00022297-0.00063727i
0.00080209+0.0008664i,0.00081943-0.00013682i,7.8592e-05-0.0021639i,-0.00037686-0.0024091i,-0.0011739-0.00039531i,-0.00077846+0.0005353i,0.00016946+0.00016806i,-0.00034362-0.00030956i,-0.00044985+0.00069091i,-5.5064e-05+0.0013207i,-0.00047676+0.00010066i,-0.00032692-0.00045387i,-0.00038255+7.7167e-05i,-0.00095775+0.00019384i,-0.00020667+0.00018934i,9.0335e-05+9.805e-05i,-0.00067308+0.00053829i,-0.00079581+0.00092623i,-0.00053182+0.00033558i,-0.0010613+0.00011672i,-0.0015314+7.4871e-05i,-0.001136-0.00014896i,-0.00048579-0.00018776i
0.00059151+0.0010746i,0.00021837+0.0012122i,-0.0012752-0.00023239i,-0.0019099-0.0019701i,-0.0012001-0.0024038i,0.0003601-0.0023532i,0.00035098-0.0026212i,-0.0012415-0.0020986i,-0.001994-0.00015151i,-0.0011197+0.00017696i,0.00013586-0.00054355i,0.00051763-0.0012439i,0.00041742-0.0014652i,0.00018288-0.0011173i,-0.00072754-0.001467i,-0.00064218-0.0012365i,0.00010805+4.6589e-05i,-0.00041741+0.00011887i,-0.00071775-0.00047558i,0.00021488+9.518e-05i,0.00087211+1.9045e-05i,0.00095698+0.00015615i,0.00030422+0.00039925i
-0.00054496+0.0013184i,0.00047555+0.00088934i,0.0011391+0.00055448i,0.0012675+0.00026954i,0.0012996-0.00010681i,0.0010519-0.0014245i,0.00025864-0.0020467i,-0.0010102-0.0016527i,-0.0015586-0.00040333i,-0.00072663+0.00071119i,0.00011953+0.00016545i,0.0002737-2.7092e-06i,-0.00021251+0.00052573i,-0.0007174-6.9214e-05i,-0.0005908-1.6126e-05i,-2.8795e-05-0.00018175i,0.0010832-5.954e-05i,0.0014351+0.00059068i,0.0010889+0.00060828i,0.00030716-0.00019183i,-0.00023722-0.001041i,-0.0002948-0.00071892i,-0.00038013+0.00023757i
-0.00040948+0.0013682i,-0.00045527+0.0012874i,-0.0004857+0.00039209i,-0.00022609-0.0017183i,-5.8392e-05-0.0028162i,-0.00023698-0.0018748i,-0.00025437-0.0013556i,-0.00095672-0.00062938i,-0.00096814+0.00014174i,-0.00052406-7.3333e-05i,-0.00036512-3.8127e-05i,-0.0001653-0.00044272i,-0.00013556-0.00074304i,-0.00028466-0.00055897i,-7.7587e-05-0.00022863i,-0.00014601+0.00010402i,-0.00033584-0.00015093i,0.0002542-0.00073442i,0.00035894-8.1661e-05i,-0.00036727+0.00016442i,-0.00036503-0.00052488i,-0.00017187-0.00098849i,-0.00063011-0.0010457i
-0.0010153+0.00014784i,-0.00088192-0.00066431i,-0.0014505-0.0016897i,-0.0011466-0.0019008i,3.4773e-05-0.0015173i,9.7577e-05-0.0024224i,-0.00060632-0.0036436i,-0.0011634-0.0030133i,-0.0014013-0.0010928i,-0.00064636+0.00010897i,0.00017341-0.00019531i,0.00045318-0.00072625i,0.00028042-5.6163e-05i,0.00015432+0.00017613i,7.0308e-05-0.0007058i,0.00055306-0.00079956i,0.00085279+7.329e-05i,0.00058258+0.0003108i,0.00083658+0.0003719i,0.00072876+0.00019739i,0.00014977-9.9629e-05i,0.00017248-0.00041928i,0.00033091-0.00031727i
