0.00062495+0.00062003i,0.00018372-0.00048689i,0.00017748-0.0026462i,0.00014938-0.0048044i,-0.0014138-0.0045353i,-0.0029007-0.0016309i,-0.0027236+0.001283i,-0.0008291+0.0016755i,6.9849e-05+0.00060666i,0.00044166+0.00023322i,4.5739e-06-0.00018563i,-0.0012368-0.00021619i,-0.0012624+0.00020978i,-0.00030145-5.3243e-05i,-0.00024786+0.00047109i,-0.00026426+0.001023i,0.00051816+0.00054248i,0.00056325+0.00025354i,0.00053103-0.0004213i,0.0005735-0.00062756i,0.00036358+7.9825e-05i,-0.00019935+0.00092106i,-0.00038515+0.0009113i
0.001444+0.001091i,0.00048396-2.6993e-06i,1.1849e-05-0.0016002i,0.00054153-0.0036441i,0.00159-0.0054601i,0.0016415-0.0046656i,-0.00049613-0.003579i,-0.0013363-0.0025073i,-0.0010547-0.0012792i,-0.001037-0.0012747i,-0.00082994-0.00089277i,0.00018302-0.00024391i,0.00054418+0.00033417i,-0.00024588+0.00045492i,-0.0006124+0.00040132i,0.00024145+0.0004799i,0.00051174+0.00029635i,-0.0010132-0.00039536i,-0.0013933-0.00087874i,-0.00077041-1.0858e-05i,-0.00024836+0.00060967i,-0.00027135+0.00062482i,-0.00060416+0.00078135i
0.00049126+0.00067834i,0.00065306+0.00037849i,0.0011557-0.00059871i,0.0021-0.0022051i,0.0023618-0.0044845i,0.00099849-0.0060092i,-0.0010547-0.0040905i,-0.0014709-0.001403i,-0.00043455-0.00092337i,0.00018224-0.0010469i,0.00070067-0.00086817i,0.0010202+0.00044867i,0.00041962+0.00097992i,4.2747e-06-0.00066921i,-0.00058615-0.0011179i,-0.0012911-0.00044389i,-0.00057445-0.00038328i,0.0002946+0.00010385i,1.9026e-05+0.00027426i,-0.00043744-0.00038828i,-0.00066668-0.00030925i,-0.00095556+0.00079699i,-0.00069939+0.001176i
-0.0012411+0.00014447i,-0.0017566+0.00081845i,-0.0022079+0.00023242i,-0.0015156-0.00099556i,-0.0008532-0.0029222i,-4.3707e-06-0.0038883i,-4.786e-05-0.0024766i,-7.0415e-05-0.0018406i,-0.00011634-0.0024732i,-0.0012244-0.0021016i,-0.0014109-0.0005817i,-0.0007935+0.00024342i,-0.00031491-0.00025673i,-9.029e-05-0.00067475i,0.00039126-0.00084216i,0.0009617-0.0010633i,0.00071831-0.00059121i,1.5527e-05+0.00037125i,-0.00037077+0.0005781i,-0.00030245+0.00064079i,-0.00027046+0.0011532i,-9.9149e-05+0.0013171i,0.000184+0.00092166i
0.0013649-0.0017635i,0.0018814-0.0015847i,0.0022685-0.0018425i,0.0019363-0.0038698i,0.00083206-0.0060805i,-0.0009171-0.0054522i,-0.0021478-0.0030257i,-0.00040794-0.0013201i,0.00070216-0.0010685i,0.00035578-0.001417i,0.00045079-0.0011831i,0.00057466-0.00086428i,-0.00021228-0.00043221i,-0.00053333+8.8579e-05i,-0.00053709+0.00027552i,-0.00064601-0.00038619i,-0.00068603-0.0012159i,-0.0001823-0.0011966i,0.00031918-0.0010561i,-0.00010738-0.00083631i,-0.00064054+0.00012524i,-0.00090381+0.00043938i,-0.00032983+0.00062258i
4.7101e-05-0.00195i,-0.00067273-0.0016043i,-0.0012966-0.0030247i,-0.00059308-0.0037035i,0.00066481-0.0041096i,0.00057914-0.0041692i,-0.00048225-0.0028037i,-0.0009823-0.0016107i,-0.00027013-0.0014687i,-0.00014275-0.00084154i,0.00012177+0.00025236i,7.865e-05+0.00035975i,-7.3101e-05-0.00010669i,-0.00024279-0.000367i,-0.00029701-0.0007201i,0.00056165-0.0014132i,0.0011705-0.0011099i,0.001403-4.1338e-06i,0.0010035+0.00010073i,0.0012099+0.00055679i,0.0010481+0.00062746i,0.00099777+9.7019e-05i,0.00082174+0.00054804i
-0.00089167+0.00031563i,-0.0010007+0.00075534i,-0.00012896+0.0012395i,0.0014016+0.00027716i,0.0024371-0.0022624i,0.0020193-0.0032062i,0.00095346-0.00276i,0.00068408-0.0013366i,-0.00020992-0.00054174i,-0.00055329-0.00056774i,-0.00018339-0.00076186i,-0.00030514-0.00085307i,0.00027845-0.00046193i,-0.00012251-0.0007833i,-0.00078585-0.0011689i,-0.00077862-0.00025121i,-0.00094715+0.00067919i,-0.00051663+0.00045575i,0.00019043+0.00021051i,-5.1e-05+0.00058113i,-0.00020917+0.0011754i,-7.5627e-05+0.00092435i,-0.00075179+0.00024884i
0.003118+0.0013946i,0.0029103-0.0010959i,0.0035269-0.003567i,0.0033451-0.005255i,0.0025291-0.0065913i,-0.00036536-0.0064571i,-0.0033189-0.0033903i,-0.0026443-0.00029718i,-0.00076756+0.0007536i,-0.00069581+0.0006195i,-0.001245-4.7737e-05i,-0.0016547-0.00062641i,-0.0015917+0.00023859i,-0.0010049+0.0010627i,-7.0325e-05+0.00012462i,-9.6279e-05-0.00067542i,-0.00044926-0.00037787i,-0.00018182-0.00036059i,-0.00023055-0.00038532i,-0.00042864-0.00029564i,-0.00034509+0.00015937i,-0.00063842+0.00018036i,-0.00093761-0.00011192i
0.00075501+0.00024477i,0.00057087-0.0018088i,0.0010631-0.0022365i,0.0019656-0.0032029i,0.0021305-0.0046104i,-0.0002008-0.0046215i,-0.0023981-0.0028941i,-0.0017538-0.00069337i,-0.00055242-0.00046131i,-0.00080357-0.00064491i,-0.0012735+5.9635e-05i,-0.00096313-2.5401e-05i,-0.00035915+0.00021121i,0.0004211+0.00091785i,0.00027603+0.00098951i,-0.00013544+0.001276i,-0.00064525+0.001411i,-0.0012138+0.00095905i,-0.00089595-0.0001772i,-0.00038311-0.00090566i,-0.00032252+0.00016595i,-0.00036337+0.00076956i,-0.00070167+0.00029435i
0.00013616-0.00064197i,0.00056807-0.0014961i,0.0017124-0.0027233i,0.0031823-0.0028122i,0.0025722-0.003206i,0.00083243-0.0038648i,-0.0005766-0.0025047i,-5.9196e-05-0.000382i,0.0003686+0.0010219i,-0.00021533+0.0011145i,-2.2181e-05+0.00071418i,-0.00036717+0.00068641i,-0.00045577+0.00087783i,0.00011284+0.00098717i,-3.2315e-05+0.00077295i,-0.00021985-0.00014473i,0.00019896-0.00053163i,0.00050843-0.0005384i,0.0004759-0.00012659i,0.00039964+0.00019738i,0.00028349-0.00053803i,0.00024055-0.001068i,-7.0458e-05-0.00049933i
-0.0020407+0.0007609i,-0.0011078+0.0013439i,-0.00052926+0.0021441i,0.00059591+0.0003755i,0.0023387-0.0026117i,0.0021066-0.0041959i,0.00010698-0.0037098i,-0.000475-0.0029515i,0.00011079-0.0022861i,0.00025918-0.0011272i,0.0007924-0.00040147i,0.0014984-0.00095417i,0.00084714-0.001564i,-0.00031586-0.00071279i,-0.00091149+0.00020145i,-0.0015304+0.0011496i,-0.0012461+0.0017062i,-0.00047037+0.0010142i,-0.00051693-0.00019834i,-0.00061227-0.00039371i,0.00028182-0.00024489i,0.00077083-6.432e-05i,0.00043242+0.00045155i
0.00016003+0.00092141i,7.187e-05+0.00099027i,0.00053872+0.00016061i,0.0020406-0.0012024i,0.0026739-0.0024607i,0.0016615-0.0035491i,-0.00016207-0.0027606i,-0.00054522-0.0025003i,0.00011797-0.0023751i,-0.00013289-0.0015966i,-0.0003715-0.0014045i,0.00046626-0.0018172i,0.0012099-0.0016867i,0.00036594-0.00072043i,-0.00049778-0.00020262i,4.9815e-07-0.00041323i,0.00039304-0.00099439i,0.00063064-0.0015163i,0.00025358-0.0011646i,-0.00048163-0.00065548i,-0.00050906-0.00068643i,-0.00051878-0.00025728i,-0.00033012-0.00034802i
-0.0024202-0.00098039i,-0.0017805-0.0010515i,-0.001962-0.001307i,0.00061978-0.0014823i,0.0030034-0.0024589i,0.0011212-0.0044138i,-0.00098488-0.0046453i,-0.0015494-0.0038263i,-0.00080253-0.0028458i,0.00015687-0.0021335i,0.00047053-0.0020257i,0.00049117-0.0025137i,0.00059947-0.0017911i,0.00048295-0.00023618i,0.00022718-1.9861e-05i,-6.8535e-05-1.8091e-05i,-0.00054178+0.00097597i,-0.00077274+0.00092444i,-0.00069148+0.0010579i,-0.00034718+0.0015464i,0.00031028+0.00066613i,0.00060776+0.00048379i,0.00048118+0.00084238i
-0.00076992+0.00097001i,0.00050592+0.0013494i,0.0016324+0.00075759i,0.0029903-0.001058i,0.0035925-0.0027825i,0.0017541-0.0033328i,-0.0014117-0.0014616i,-0.0018799-1.6356e-05i,-0.00078233-0.00034196i,-0.001478-5.6688e-05i,-0.0014472-0.00019293i,-0.00051119-0.00072801i,-0.00087326-0.00059523i,-0.0011663-0.0012893i,-0.00087389-0.0011637i,-0.00015553-0.00029574i,0.00041181-9.3508e-05i,0.00025664-7.065e-05i,0.0002191-6.4453e-05i,0.00033613+0.00019123i,8.1912e-05+0.00045319i,0.00027848+3.6036e-05i,0.00048706-0.00018446i
-0.0015988+0.00084176i,-0.00045665+0.00084066i,-8.4126e-05+0.00019403i,1.1405e-05-0.0020841i,0.00068833-0.0037568i,-0.00049776-0.0037566i,-0.0020944-0.0035168i,-0.001894-0.0018735i,-0.0011473-0.00058426i,-0.0011385-0.00089455i,-0.0011792-0.0012374i,-0.001047-0.00096109i,-0.00087942-0.00042264i,-0.00084851-0.00019712i,-0.00039738-5.801e-05i,-0.00012006+0.00082769i,-0.00046647+0.0012683i,-0.0004682+0.00058639i,-0.00021226+0.00046064i,-0.00046363+0.00044594i,-0.00010276+0.0001104i,0.0003173+0.00053322i,-0.00011337+0.0011018i
0.00079136-0.00038615i,0.00098493-0.00052138i,0.0010628+0.00015244i,0.0012626-0.00020998i,0.0014426-0.0028951i,0.00025673-0.0044031i,-0.0010367-0.0024208i,-0.00023896-0.00067754i,0.00058537-0.00022353i,0.00028696-0.00018816i,0.00039114+7.1995e-05i,0.00038113-0.00018223i,2.5863e-05-0.00052606i,-0.00018783-0.0003865i,0.00019635-0.00060504i,-0.00055988-0.00048862i,-0.0012764-0.00093464i,-0.0011299-0.002197i,-0.00068416-0.0022944i,-0.00013755-0.00072401i,-0.0005501+0.00011685i,-0.00075834+9.3221e-05i,-0.00016822+0.00075412i
0.0020073+0.001503i,0.001789+0.00063149i,0.0031358-0.0014054i,0.0041527-0.005644i,0.0039121-0.0079582i,0.0019392-0.007181i,-0.00055803-0.0049652i,-0.00084003-0.0023598i,0.00010695-0.00052738i,0.00042858-0.00054007i,0.00039183-0.00052267i,0.00038706-0.00020802i,-2.0435e-05-0.00010063i,-0.00075278+0.00051309i,-0.001274+0.00093867i,-0.00069073+0.0013276i,0.00055896+0.001428i,0.00045137+0.0014755i,4.1519e-05+0.0012105i,0.00033485+0.00093524i,0.00022969+0.0011664i,-0.00039394+0.00093759i,-0.00044501+0.00019989i
-0.0030693-0.0017033i,-0.0031795-0.00055835i,-0.0025403+0.0010426i,-0.00064828+0.00089263i,0.00070367-0.00010528i,0.00057152-0.0016654i,-0.00036916-0.0012612i,-0.00061399-0.00032209i,-0.00018158-0.0012425i,0.0005153-0.002191i,0.0011188-0.0014225i,0.0015036-0.00064617i,0.00064006-0.0011926i,-0.0004219-0.0016143i,-9.4445e-05-0.00021634i,8.8514e-06+0.00063354i,-0.0013755-2.7933e-05i,-0.0024558-0.0012628i,-0.0019377-0.0016243i,-0.00069886-0.00019026i,-0.0001875+0.0011127i,-0.000567+0.0011971i,-0.00044195+0.00061011i
0.0021364-0.0024034i,0.00085345-0.00333i,0.00027799-0.0047777i,0.00122-0.0062998i,0.00091147-0.0077529i,-0.0011055-0.0067639i,-0.0027958-0.0036955i,-0.0025844-0.0018542i,-0.001661-0.0026474i,-0.0015313-0.0031542i,-0.0010034-0.0019798i,-0.00031176-0.0012618i,0.00010976-0.0013179i,0.00025062-0.00059162i,-0.00026388+0.00059403i,0.00040962+0.00075706i,0.0015414-0.00012773i,0.0017935-0.00015723i,0.0017624+0.0011334i,0.0011577+0.0014235i,0.00047249+0.00069511i,0.00011933+0.00023818i,-7.8952e-05+0.00033734i
-0.0012621-0.00051726i,-0.00034839+0.00069314i,5.4012e-05+0.0012482i,0.0016302-0.00024619i,0.0031294-0.0016669i,0.0021309-0.0026534i,-6.802e-05-0.0033131i,-0.0011331-0.0029889i,-0.0014002-0.0027121i,-0.0014869-0.0021272i,-0.0014366-0.00091702i,-0.0012031-0.00069617i,-0.00067169-0.0012324i,-0.00048629-0.00093983i,-0.00064811-0.0013649i,-0.00041847-0.0017875i,-0.0013529-0.00058597i,-0.0018733+0.00091616i,-0.0014068+0.00074449i,-0.0011333+0.00024736i,-0.00058774+0.00067712i,-0.00044641+0.00071266i,-0.00037707+0.00073285i
0.00095364+0.0014458i,0.0019711+0.00019204i,0.0021869-0.00078987i,0.0023507-0.0025183i,0.0031288-0.0051088i,0.0017537-0.0047745i,-0.001184-0.0022746i,-0.0029009+3.2038e-05i,-0.0030955+0.0014307i,-0.0023897+0.0013506i,-0.0016298+0.00072645i,-0.001292+0.00032601i,-0.0011668+0.00028994i,-0.0013723-4.2413e-05i,-0.0006442-0.0001287i,0.00021149+8.8533e-05i,0.0010101+8.7262e-05i,0.0015174-8.3403e-05i,0.00080814-8.5897e-05i,-0.00041064-0.00038433i,-2.7085e-05-0.0005623i,0.00012283-0.00030369i,-0.00010449+5.4924e-05i
-0.002037-0.0016023i,-0.0017739-0.002399i,-0.0016285-0.0021346i,-0.0016998-0.00055134i,-0.0010202-0.00011312i,0.00026409-0.00079886i,-0.0010531-0.0014443i,-0.0018217-0.0011264i,-0.0011082+0.00040523i,-0.00087729+0.0010909i,-0.00083779+0.0008394i,-0.00031228+0.00084914i,0.00015718+0.00073656i,0.00017486+0.00055698i,-0.00054686+0.00039677i,-0.0009426-0.00015827i,-0.00061302-0.00047558i,-0.00098469-0.00043246i,-0.0018188-1.9207e-06i,-0.0015071+0.00018899i,-0.00050862+0.00011926i,0.00048719+0.00030267i,0.00025751+0.00079666i
0.0014317+0.00072853i,0.0015559-7.718e-05i,0.0024326-0.0019512i,0.0028703-0.0037209i,0.0032474-0.0057103i,0.0019043-0.0068634i,0.00049929-0.0043783i,0.0013184-0.0018194i,0.0018609-0.0010332i,0.0018974-0.00038527i,0.0022475+5.5258e-05i,0.0023152+0.00029569i,0.0014945+0.00032129i,0.00070582+0.00050137i,0.00014003+0.0013666i,-0.00023214+0.0017259i,-0.00028674+0.00029608i,-0.00017739-0.0010792i,0.00015219-0.0015818i,0.00046531-0.0012551i,-0.0003944-5.2418e-05i,-0.00059083+0.00037019i,-0.00029546-2.7292e-07i
0.0003902+0.001972i,0.0011209+0.00079223i,0.0025883+0.00038653i,0.0037917-0.0021034i,0.0038275-0.0065744i,0.0015922-0.0077381i,-0.0017607-0.00599i,-0.0021391-0.0044843i,0.00026627-0.0036069i,0.0024889-0.0031455i,0.0027788-0.0027115i,0.0013422-0.0022986i,-6.9537e-06-0.0017775i,-0.00052451-0.00059744i,-0.00047412+0.00016479i,-0.00026215+0.000407i,1.4207e-05+0.00068069i,-0.00033081+0.00085629i,-0.0012683+0.00087745i,-0.0010767+0.00071544i,3.2139e-05+0.00087236i,0.00024271+0.00025411i,-0.00067019-0.00042422i
-0.0028562+2.9674e-05i,-0.001524-4.3884e-05i,-0.00060167-3.768e-05i,0.00054093-2.2637e-05i,0.0020787-0.00088107i,0.0019065-0.0026566i,-0.00029646-0.0029111i,-0.0019114-0.0026528i,-0.0019826-0.002643i,-0.0015142-0.0031586i,-0.0011609-0.0029897i,-0.00019576-0.0016058i,0.00020851-0.0014614i,0.00020183-0.0022176i,0.00028632-0.0020672i,0.00021639-0.0011881i,-0.00010985-0.0010134i,-0.00034309-0.0013121i,-2.3472e-05-0.0014784i,-5.2784e-05-0.0010633i,-0.00041353-0.00028283i,-0.00042068+0.00011122i,-0.0003297+0.00024289i
-0.0013265-0.0023219i,-0.0013975-0.0032457i,-0.0023087-0.0035239i,-0.00087196-0.0036072i,0.00082131-0.004128i,8.6301e-05-0.0039823i,-0.0017249-0.0025124i,-0.0030382-0.0013087i,-0.0036932-0.001642i,-0.0038542-0.0018499i,-0.0028223-0.0011243i,-0.0012342-0.0011136i,-0.00078802-0.0013692i,-0.00079266-0.0011061i,-0.00070405-0.0012078i,-0.0008205-0.0010259i,-0.00054863-0.0006322i,0.00031061-0.0001007i,0.00027931+0.00059603i,-0.00018979+0.00084968i,-0.00029675+0.0011787i,3.8109e-05+0.0014466i,0.00040698+0.0011425i
0.00089928+0.0017626i,0.00034628+0.0010177i,0.0016657-0.0013871i,0.002508-0.0035386i,0.001867-0.0060246i,0.00039127-0.0058962i,-0.0011639-0.0035949i,-0.0010516-0.0012162i,-3.9314e-05+0.00051349i,-0.00032987+0.00038374i,-0.00077847+0.00073483i,-0.001048+0.00098147i,-0.0015392+0.00051208i,-0.0014258+3.4983e-05i,-0.00080927-0.00089816i,-0.00088464-0.0012468i,-0.0012877-0.0014106i,-0.0010144-0.0015473i,-0.0010479-0.0011931i,-0.0011093-0.00025236i,-0.0013095+0.00018774i,-0.0013634+0.00021009i,-0.00069164+0.0012897i
0.0019993+0.0012754i,0.0010318-5.7791e-05i,0.0010399-0.00095158i,0.0023819-0.0022742i,0.0031895-0.0038897i,0.002451-0.0041499i,0.00029369-0.0025042i,7.6733e-05-6.6126e-05i,0.0010654+0.0013009i,0.00080623+0.0015973i,0.00019975+0.0010894i,-0.00065304-0.0003229i,-0.0014556-0.00042726i,-0.0015273+0.00054741i,-0.00098956+0.00089457i,-7.484e-05+0.00081362i,0.00048619+0.00082097i,0.00044008+0.00042139i,0.00033146-0.00029357i,0.00029774-0.00060462i,0.00062572-0.00040121i,0.00055958+0.00015807i,0.00042203+0.00010094i
-0.00080344-1.3743e-05i,-0.00048898-0.00016864i,-0.00012157-0.00036392i,0.00083951-0.0012191i,0.0014657-0.0031303i,0.00087347-0.0041561i,0.0004583-0.0039886i,0.00037078-0.0030279i,0.00099341-0.0020775i,0.0016998-0.0010063i,0.0019896+0.00012938i,0.0017633-0.00017606i,0.00047345-0.00012345i,0.00062332+0.00051468i,0.00074488+0.00051945i,-0.00022438+0.00032134i,-0.00036824-4.3433e-06i,-0.00070657-0.00037424i,-0.0014471-0.00056246i,-0.0014349-0.00034607i,-0.0012515+0.00024058i,-0.00048464+0.0010551i,-0.00042102+0.00060042i
0.0014887-0.0010101i,0.00082023-0.0016032i,0.0003561-0.0024525i,0.0005517-0.003782i,0.0007645-0.0053084i,3.6903e-05-0.0052074i,-0.00093835-0.0033345i,0.00021456-0.0031973i,0.00176-0.0042763i,0.0013595-0.0042705i,0.00076014-0.0023633i,0.00073675-0.00041511i,0.00049987+0.00012273i,0.00077981-0.00016125i,0.00050548-0.00018683i,0.00069136+0.00022922i,0.0015128+0.00059944i,0.00055236+2.1234e-05i,-0.00032059-0.00061738i,0.00030062-0.00013636i,0.00056816-0.00021209i,0.00030946+0.00010683i,0.00040948+0.0015207i
0.00076242-0.00019509i,-0.00014364+0.00077065i,-0.00040404+0.00043323i,0.00061025-0.0024413i,0.0015582-0.0051003i,-0.00043395-0.005301i,-0.0026133-0.003118i,-0.0016386-0.001835i,-0.00052107-0.0024524i,-0.0013834-0.0030672i,-0.0018416-0.0030043i,-0.00072309-0.0024462i,0.00018332-0.0017457i,-0.00017903-0.0014362i,-1.4947e-05-0.00088232i,0.00059446-0.00040559i,0.00024817-0.00031262i,-0.00022724-3.8437e-05i,-0.00033272-0.00018363i,-0.00045429+0.0004643i,-0.00070052+0.00082555i,-0.00063708+0.00056393i,-0.00012769+0.00018888i
0.00015464-0.00030517i,-0.00094091+0.00014462i,-0.001017+0.00010608i,0.00096895-0.0016506i,0.0029079-0.003255i,0.0015631-0.0026402i,-0.0019276-0.0014027i,-0.0040792-0.00087325i,-0.0045407-0.00062264i,-0.0034809-0.0003191i,-0.0027854-0.00022459i,-0.0025474-0.0010256i,-0.0015258-0.0019649i,-0.00046107-0.0014091i,-0.00071668-0.0011766i,-0.00069141-0.0016357i,-4.0013e-05-0.0009275i,6.4053e-05-0.00042635i,-9.8393e-05-0.00057704i,-0.0005993-0.00054026i,-0.00073343-0.00029299i,0.00044545+1.6136e-05i,0.00067779+0.00012527i
0.0017768-0.002266i,-0.00033261-0.0016717i,-0.0022406-0.0016962i,-0.0025534-0.0037143i,-0.0017356-0.0056211i,-0.0014802-0.0040511i,-0.0016337-0.0015656i,-0.00070441+0.00086672i,-0.00087658+0.0017232i,-0.0021016+0.0012266i,-0.0020427+0.001674i,-0.0010917+0.0011181i,-0.00048081+0.00081655i,-0.00045067+0.00088096i,-0.00036974+8.9906e-05i,-0.0005445-0.00032971i,-0.00088023-0.00039632i,-0.0011975-0.00049283i,-0.0012738-0.00034845i,-0.00091656+0.00079733i,-0.00037658+0.0016396i,-1.3197e-05+0.0011663i,-0.00029804+0.00023642i
0.00071106+0.0020215i,0.0017434+0.0017493i,0.003791+0.00083501i,0.0056336-0.00078118i,0.0067195-0.003042i,0.0045789-0.0052007i,0.0012692-0.0033481i,0.00031796+0.00045953i,0.0011928+0.00082996i,0.0018963-0.0001135i,0.0011795+0.00013952i,0.00023792+0.00069297i,-0.00011054+0.00075463i,-0.00064797+0.001422i,-0.00090289+0.0019775i,-0.0011659+0.0020004i,-0.0013073+0.0010557i,-0.00058824-0.00053467i,3.5196e-05-0.00039782i,6.4456e-05-0.00065i,-0.00045458-0.0010887i,-0.00044857-0.00057999i,0.00058665-0.00022123i
-0.00035021+0.0013303i,-0.00053875+0.00060792i,-0.00032238+3.676e-05i,0.00069183-0.002045i,0.00086243-0.0044041i,4.2769e-05-0.0050337i,0.00062107-0.0041457i,0.002217-0.0032161i,0.0031874-0.0022485i,0.0027589-0.0016548i,0.0022905-0.0016534i,0.0018562-0.00084224i,0.00086117-7.534e-05i,0.00046655+0.00040541i,0.00070122+0.00036688i,-3.1968e-05+0.00022163i,-0.00082048+0.00083074i,-0.0011478+0.0011813i,-0.00060464+0.00065398i,0.00045743+0.00078232i,0.00044325+0.0010807i,0.00049812+0.000398i,0.00019825+6.3837e-05i
-0.0003022+0.00031774i,-0.00028658+0.00037214i,0.0014749-8.9409e-05i,0.0044722-0.0016945i,0.0055588-0.0034424i,0.0026644-0.0051131i,-0.00071699-0.0051514i,-0.00096797-0.0042022i,0.00042826-0.0043428i,0.0012894-0.0041347i,0.0011147-0.0025392i,0.0010775-0.00053688i,0.00042774-0.0010423i,-1.1071e-05-0.001496i,0.00066557-0.00039907i,0.0011868+0.00022637i,0.00087749-0.00025118i,4.5327e-05-0.0012599i,-0.0010441-0.0009078i,-0.0019909-0.00027096i,-0.001426+0.00071644i,-0.0011297+0.0011762i,-0.00080895+0.00078677i
0.00031452-0.00048745i,-9.3665e-05-0.00070334i,-0.0011374-0.0030066i,-0.0019941-0.0056441i,-0.001551-0.0067853i,-0.002407-0.0062001i,-0.0045877-0.0049888i,-0.0046808-0.0043954i,-0.0035659-0.004716i,-0.0025487-0.0039402i,-0.0016155-0.0024118i,-0.00087476-0.0019333i,-0.00056624-0.0013521i,-0.00061602-0.0011729i,-0.0005935-0.0022954i,0.00054652-0.0019323i,0.00078669-0.00080462i,-0.00013413-0.00023277i,-0.000882+0.0004326i,-0.00071023+0.00091983i,-0.00018198+0.0011392i,0.00023272+0.0012344i,0.00029754+0.0014217i
-0.0033527+0.0021136i,-0.0015362+0.002622i,0.00050416+0.0033775i,0.0030269+0.0023027i,0.0055434-0.0016492i,0.0039817-0.0041704i,0.00018853-0.0026989i,-0.0015856-0.00041799i,-0.0015946+0.00037967i,-0.0021385+0.0010588i,-0.0019687+0.0014708i,-0.00086828+0.00083467i,-0.0012751-0.0005137i,-0.0017176-0.00068739i,-0.0014993-0.00063759i,-0.0007987-0.0015581i,-0.00071327-0.0018228i,-0.0010354-0.0013927i,-0.0010986-0.00038549i,-0.00064682+0.00027464i,0.00039611+0.00057973i,0.00092735+0.00097873i,0.00050308+0.00047435i
-0.00011348-0.0022035i,0.00020859-0.0011931i,-0.0011954-0.001351i,-0.0013316-0.0025442i,-0.00044449-0.0031044i,0.00017954-0.0036947i,-0.0010582-0.0026547i,-0.0025332+0.00029591i,-0.0021026+0.001919i,-0.0014736+0.0020415i,-0.0014856+0.0013276i,-0.00051651+0.0004152i,-0.00024215-6.5758e-05i,-0.00099168-0.00045989i,-0.0009542-0.00077933i,-0.0010477-0.00073052i,-0.0008376-0.0012328i,-0.0002106-0.001606i,0.00021633-0.0014012i,0.00060342-0.0010129i,0.0012741+9.1197e-06i,0.0016049+0.00035028i,0.00077533+0.00033475i
-0.00033224+0.00083206i,-0.00037254+0.0011645i,-0.00042481+0.00088i,0.0013064-0.0011786i,0.0035479-0.0031717i,0.0019221-0.0036146i,-0.00025828-0.0031423i,0.00096887-0.0012164i,0.0022725-0.00054413i,0.0012154-0.0016864i,0.000719-0.0021536i,0.0013727-0.0017259i,0.00050332-0.0011383i,-0.00071591-0.00011435i,-0.00037125+0.00039763i,-0.00010757+0.00030194i,-0.0011317+0.00018222i,-0.002163+8.3868e-06i,-0.0018406+0.0010581i,-0.0010185+0.0020126i,-0.00076594+0.001299i,-0.0012178-0.0001312i,-0.0012513+0.00019048i
0.0013398+0.0023473i,0.0013999-0.00025235i,0.0019572-0.0022424i,0.0037214-0.0036121i,0.0036104-0.0061402i,0.00099055-0.0072941i,-0.00099753-0.0048363i,0.00012789-0.0021919i,0.0019912-0.0026748i,0.0019157-0.0035431i,0.00088358-0.0027449i,-0.00017969-0.0018582i,-0.00099696-0.00088306i,-0.0010752+0.00046908i,-0.00029908+0.0009935i,-0.00031571+0.00085764i,-0.00019006+0.00045961i,0.00060924+0.00021067i,0.00067612+0.00023786i,0.00021193+0.00042288i,2.2026e-05+0.00018963i,0.00017816-0.00030586i,0.00033946-9.8366e-05i
-0.00064253+0.0017604i,-0.000206+0.0011369i,0.0017198-0.00070621i,0.0036933-0.0035766i,0.0040954-0.0056645i,0.0020732-0.0068261i,-0.0012961-0.0057724i,-0.0019203-0.0038259i,-0.0014537-0.0038223i,-0.0020806-0.0037247i,-0.0018335-0.0025163i,-0.001152-0.0010685i,-0.00083659+0.00053572i,-0.00058697+0.00048525i,-7.3498e-05-0.00028453i,0.00029704-0.0003212i,-8.6461e-05+0.00013341i,-0.00071653+0.00065346i,-0.00019151+0.0010304i,0.00039508+0.0013808i,0.00060321+0.0017716i,0.00085396+0.0019642i,0.00096004+0.0011326i
-0.0012301-2.1149e-05i,-0.0012837-0.00060435i,-0.00094113-0.0016926i,-0.00099852-0.003192i,4.3105e-05-0.0043131i,-0.00039506-0.0046448i,-0.0016514-0.003774i,-0.0017488-0.0028121i,-0.0019238-0.0030925i,-0.0024971-0.0016376i,-0.0014305-0.00010786i,0.00096884+0.0003746i,0.00054483+0.00033769i,-0.00096909-0.00065536i,-0.00095549-0.00099222i,-0.00030197-0.001434i,0.0002365-0.0013824i,0.00011975-0.0013615i,-0.00055252-0.00062329i,-0.00078465+6.5168e-05i,0.00036686+0.00014294i,0.0012204+0.00025234i,0.0011316+6.9342e-05i
-0.00014064-0.0041513i,0.00067744-0.0029623i,0.0011097-0.0035206i,0.00089101-0.0053278i,0.00083816-0.0067336i,-0.00018256-0.0066691i,-0.0013773-0.0039019i,-0.0015231-0.0012122i,-0.0018657-0.00086389i,-0.0017198-0.00038914i,-0.00085482+0.00086609i,0.0005893+0.00096166i,0.0010872+0.00046382i,0.00082197+0.00037074i,0.0007268+0.00032538i,0.00028754+5.8102e-05i,-0.00032447-0.00049925i,0.00015566-0.0008605i,0.00047733-0.00049076i,-0.00023487+0.00014491i,-0.00032122+0.00085045i,0.00016815+0.0008189i,0.0001294+0.00090441i
