0.0008115+9.9248e-05i,0.00049101+0.00020097i,-0.001713-0.00064206i,-0.0022926-0.00021171i,-0.0013989+0.0006103i,-0.00083614+0.0017278i,0.00028958+0.0020891i,0.0010446+0.0015925i,0.00088173+0.00032113i,7.94e-05-0.00074708i,-0.00085226-0.00059846i,-0.0013309-0.00019791i,-0.0014337-0.00043439i,-0.00054315-0.00054081i,0.00020087-0.0001246i,-0.00049148-0.00041198i,-0.00041564-0.00021345i,0.00016051+9.3946e-05i,-0.00022136-0.00042602i,-0.00092787-0.00073911i,-0.0013248-0.0012299i,-0.0012391-0.00042546i,-0.001091+0.000302i
-0.0012771-0.0015841i,-0.0024472-0.0014255i,-0.0026447-0.00082421i,-0.0010714+0.00090344i,0.00081157+0.001649i,0.0013646+0.0016966i,0.0010998+0.0014262i,0.00058437+0.00023755i,-4.6116e-05-2.062e-05i,-0.00017855+0.00018254i,0.00032084-0.00030168i,0.00064278+0.00015735i,0.0011397+0.00042839i,0.00111-0.00024416i,-0.00069726-0.00083236i,-0.0012203-0.00018626i,-0.00029229+0.00044807i,0.00041387+0.00029337i,0.0012448+7.1378e-05i,0.0012838-0.000465i,0.00059459-0.00070908i,0.00041965+3.4032e-05i,0.00066917+0.00072547i
-0.00062772-0.0010958i,-0.0011814-0.00013678i,-0.001255-1.784e-05i,0.00011128+0.00030309i,0.001039+0.0015151i,0.0012767+0.002069i,0.00072521+0.0016702i,0.00068899+0.0010269i,0.00066605+0.00013575i,0.0003629-0.00059694i,0.0003748-0.00048622i,0.00012037-9.1898e-06i,0.00019611+0.0002017i,0.0011676-0.00037062i,0.00096406-0.00092836i,0.00052009-0.00083754i,0.00017222-0.00072586i,-0.00071143-0.00081567i,-0.0012613-0.00054755i,-0.00063351+0.00034858i,0.00019839+0.00042151i,0.00012019-2.6247e-05i,0.00059173+0.00049268i
0.0010343-0.00087297i,-0.00063067+0.00017925i,-0.0011924+0.0015877i,3.5804e-05+0.0015005i,0.0012237+0.0020737i,0.0014592+0.0028994i,0.0019291+0.0024292i,0.0026397+0.001131i,0.0020253-0.00022941i,0.00097502-0.0013241i,0.00072118-0.0016077i,7.8617e-05-0.00079075i,-0.00048911+6.3263e-05i,-0.00024662+0.00038465i,-0.00051775+0.00084447i,-0.00038261+0.00040712i,-0.00018663+9.3771e-05i,-0.00041895+0.0001468i,-0.00088275-0.00043092i,-0.0011748-0.0007175i,-0.00059659-0.00074375i,-0.00024625-4.9972e-05i,-0.00033672+3.5146e-05i
-0.00064669-9.9813e-05i,-0.0010718+0.00054939i,-0.00092318+0.0005307i,0.00057175-0.00039952i,0.0016254-0.00029681i,0.0011768+0.00024312i,0.00064886+0.00011924i,0.00014419+0.00039654i,9.8648e-05+0.00032543i,3.9377e-05-0.00030956i,-0.00023329-0.0005498i,-0.00066183-0.0003145i,-0.0002437+0.00053294i,0.00079381+0.00074146i,0.00053478+0.00037348i,-0.00033668-0.00018664i,-0.00068678-0.00060326i,-0.00054993-0.00072119i,0.00011412-0.0010571i,0.00061201-0.00064412i,0.00041596+0.00011635i,0.00026594+0.00037902i,0.00038401-0.00040907i
-0.00030715+0.0017409i,-0.0013891+0.001234i,-0.00087314+0.0012162i,-2.8076e-05+0.00097075i,0.00022502+0.00022133i,0.00017966+0.00075323i,0.00054948+0.0025405i,0.00088576+0.0025319i,0.0012764+0.0014032i,0.00097999+0.00072604i,0.00052623-2.8758e-05i,0.00087812-0.00024943i,0.00021164-0.00050518i,-0.00055669-2.8824e-05i,-0.00014403+0.0010231i,-0.00060218+0.0009409i,-0.00058852+0.00010023i,-0.00021844-0.00057842i,-0.00041865-0.0014373i,0.00018761-0.0014i,0.00065962-0.00084419i,0.00050433-0.00041221i,0.00028866+0.00046463i
-0.0010616+0.00063424i,-0.00032569+0.00046464i,0.0003873+0.00065334i,0.00067553+0.00066547i,0.00091071+0.00094821i,0.0014554+0.0014619i,0.0014997+0.0014151i,0.00137+0.00058846i,0.00080094+0.00054765i,0.00014485+0.00075924i,0.0013506-9.1007e-05i,0.0022318-2.9303e-05i,0.0012107+0.00052743i,7.2782e-05+0.00040125i,-9.3595e-05+0.0007478i,0.00024781+0.00089805i,0.00023504+6.8036e-05i,-0.00029903-0.00037441i,-0.00014046-8.1818e-05i,0.00022054-0.00026207i,0.00012033+0.00019354i,-0.00052302+0.00070444i,-0.00070473+0.00090303i
-0.0016166+0.00054342i,-0.00049094+0.0011083i,9.9292e-05+0.0017993i,0.00012719+0.0012828i,0.00015322+0.00096754i,0.00057502+0.0011224i,0.00012962+0.0013315i,0.00035107+0.0010925i,0.0014382+0.00083454i,0.00098202+0.00086565i,0.00013622+0.00035893i,0.00041688+6.06e-05i,0.00039166-0.00030667i,-0.00019169-0.0004938i,-1.9217e-05-6.4466e-06i,9.2227e-05+0.0001353i,-3.5885e-05-0.00016643i,0.00010802-0.00063146i,-3.2284e-05-0.0001716i,-0.00066489+0.00049253i,-0.00036227+0.00047365i,0.00029591+0.0002705i,4.8978e-05+0.0005268i
0.0016566+0.003025i,0.0018775+0.003628i,0.0015863+0.0019222i,0.0014741-0.00020329i,0.00053801+0.00016645i,-0.00038506+0.00095073i,5.8456e-05+0.0012487i,0.0012332+0.00038061i,0.0018064-0.00064681i,0.00075278-0.00062794i,0.00026468-0.00076358i,0.00052522-0.00052125i,0.00098569+0.00050958i,0.0012887+0.0013153i,0.0011275+0.0010487i,0.001085+0.00038999i,0.00039752+0.00030444i,-1.1562e-05-0.00028801i,-8.3076e-05-0.00039058i,-0.00039058-0.00014786i,-8.4514e-06-0.00070685i,0.00068501-0.00095222i,0.00068277-0.0010066i
-0.00087887+0.00054415i,-0.0011559-0.00029876i,-0.00098477-0.00029792i,0.0005221+0.0012618i,0.0020254+0.0013225i,0.0018384+0.00086731i,0.00062298+0.0016369i,-0.00020446+0.0014961i,9.7592e-05+0.00087249i,0.0011561+0.00055352i,0.00068096+0.00039539i,-0.00019212-0.00024199i,-0.00041522-0.00043073i,-0.0010245+0.00024339i,-0.0012323+0.00036934i,-0.00060058-6.5711e-05i,0.00062847+4.0559e-05i,0.0012928+0.00011786i,0.00053982+9.9581e-05i,-0.00012605+0.00030762i,-0.00029034+0.00060588i,-5.7708e-05-6.0554e-05i,2.7989e-06+8.5148e-05i
-0.0011188+0.0014584i,-0.0014798+0.0021332i,-0.0009582+0.0019584i,-0.00019602+0.0015663i,-0.00013029+0.0018911i,-1.7207e-05+0.0018212i,0.00096976+0.0015034i,0.0012808+0.00089612i,0.00079239+0.00083517i,0.00010023+0.0013599i,0.00012228+0.0011144i,0.00045938+0.00055849i,0.00052275-0.00024662i,0.00064281+3.2164e-05i,0.00059467+0.0009453i,0.00036094+0.0002875i,6.747e-05-0.00016532i,0.00015654-4.2445e-05i,0.00023509-0.00032929i,-0.00049015-0.00048605i,-0.00027202-0.00062212i,0.0002134-0.00027702i,6.0435e-05-0.00028512i
0.00096366+0.00021126i,0.00017244-0.0006751i,-0.00090959-0.0012298i,-0.00083258-0.00063015i,-0.00079988+0.0013292i,0.00020428+0.0027414i,0.0014404+0.0020136i,0.0012988+0.00029212i,0.00073099+0.00012955i,0.00057739+0.00068382i,0.00046543+0.00032505i,-0.00047024-0.00056064i,-4.6689e-05-0.00064696i,0.00048504-0.00024089i,0.00018738+0.00023579i,0.00025968+0.00035914i,0.00037141-3.0887e-05i,0.00051944-5.3106e-05i,-5.1706e-05+0.00033469i,-0.0009098+0.00067524i,-0.00095797+0.0011617i,-0.00096398+0.00095507i,-0.00085422+0.00010293i
0.00054304+0.00095546i,3.7743e-05+0.0022084i,0.00079501+0.0019621i,0.0010767+0.00043237i,0.00040398-0.001018i,-0.00054345-0.00059651i,-0.00042835+0.00085644i,0.00014266+0.00065236i,0.00059029-0.0001271i,0.00072894-0.00065171i,-5.222e-05-0.00017394i,-0.00062098+0.00022102i,-0.00031468+0.00016136i,0.00019827+0.00056273i,0.00027446+0.0010947i,1.0511e-05+0.00078288i,-0.00039175+0.0006115i,-0.00063818+0.00081976i,-6.7625e-05+0.00022459i,0.00046276+3.1934e-05i,0.00039658-0.00017359i,0.00027217-0.00034207i,0.00019365-0.00037007i
0.0004843+0.00079991i,-0.00038324+0.0015443i,-1.2928e-05+0.0021456i,0.00053645+0.0016902i,0.00035156+0.0015995i,0.00019748+0.0017204i,0.00023877+0.0011493i,0.00029745+0.00022428i,0.00069548+0.0002209i,0.0010766+0.0005425i,0.0008066+1.2651e-05i,0.00025897+0.00026217i,1.3143e-05+0.00058402i,0.00017214+0.0009473i,-0.00038111+0.0012777i,-0.00076858+0.00070761i,-0.00032333-5.9106e-05i,-0.0002959-0.00038653i,-0.00093806+0.00030383i,-0.0010245+0.00011049i,-0.0010032-0.00039934i,-0.0007411-0.00032438i,-0.00027193-0.00011119i
-0.0021465-0.0011089i,-0.002215-0.00053379i,-0.0013785+0.00060967i,0.00047146+0.0015233i,0.00091121+0.0023882i,0.00041258+0.0017373i,0.00020907+0.00044026i,3.5449e-05+0.00045547i,0.00044698+0.00046593i,0.0010682+9.3432e-05i,0.0015824+0.00056999i,0.0010697+0.0010387i,1.543e-06+0.00040969i,5.937e-05-8.8104e-05i,0.00087772-0.00050422i,0.00082942-0.00028526i,-0.00021948+0.00070258i,-0.00080298+0.00061709i,-0.00066361+0.00011539i,-0.00054501-0.00044935i,1.5061e-05-0.0011817i,0.00042958-0.00095461i,0.00017915+0.00026472i
-0.0003969+9.181e-05i,0.00032494+0.001092i,0.0010639+0.0016299i,0.00076599+0.00075641i,4.2625e-05+0.00047889i,-0.00028001+0.0013899i,0.00036765+0.0013829i,0.00061251+0.0002896i,0.00098681-0.00010503i,0.00067323+5.3098e-05i,0.00044344-0.00029695i,9.3468e-05-0.0012345i,0.00025065-0.00071162i,0.00028385+0.00064714i,0.00015097+0.00015459i,0.00033652-0.00024173i,-0.00051697+0.00015282i,-0.00096547+0.00079516i,-0.00017473+0.0012067i,0.00036982+0.0010322i,0.00070383+0.00073167i,0.0013968+0.00066278i,0.00054245+0.00027982i
0.00062525+0.00079377i,0.00022777+0.00056093i,0.00042019-2.9073e-05i,0.00087928-0.00029855i,0.00073889-0.00018504i,0.00069779+0.00010143i,0.00079826+0.00044627i,0.0004576+0.00069228i,0.00046325+0.00032579i,0.00040459+0.00030182i,-0.00030567-5.0881e-05i,-0.00059819+0.0001863i,0.0002047+0.00070975i,0.00085164+6.7527e-05i,0.00035846+9.5989e-05i,-1.5072e-05+0.00015972i,3.8685e-05+0.00030632i,-0.0003226+0.0002828i,-0.0003383+0.00048289i,-0.00042967+0.00030047i,-0.00053982-0.00031777i,-3.5158e-05+0.00040753i,0.00020375+0.00074198i
-0.0028569-0.00023208i,-0.0028696+0.00049722i,-0.0023564+0.0013642i,-0.00091787+0.00087582i,-0.00014215+0.0006575i,0.00023673+0.001066i,0.0008024+0.0013232i,0.00069954+0.00098265i,-0.00018579+0.00062301i,-0.00030011+0.00020095i,4.4735e-06-0.00032101i,-0.00027075-0.00055529i,-0.00032829-0.00055714i,0.00029971-0.00034804i,0.00040595+0.00065364i,-0.00047948+0.00098901i,-0.000357-0.00028197i,-0.00026005-0.00039209i,-0.00077178+0.00030124i,-0.00082148+0.00043016i,-0.00056434+0.00077349i,-0.00050809+0.00020969i,-0.00016564-0.00045461i
0.00047982+0.0011959i,0.00036316+0.00097667i,0.00066844+0.0014977i,0.00098444+0.0023802i,0.0015912+0.0022297i,0.0018645+0.00081874i,0.0019095+0.00024144i,0.0013056-0.00043437i,0.0010507-0.00052606i,0.001231-0.00032808i,0.0011678-0.00025493i,0.00075117-0.00018189i,0.00065281+6.2656e-05i,0.00056789+0.00069258i,1.7478e-05+0.00064187i,-6.8102e-06-0.00030026i,0.00023316-0.00081009i,-2.3424e-05-0.0002463i,-0.00050393-0.00058905i,-0.00089605-0.00010034i,-0.00072418+0.00070058i,-0.00022844+0.00017368i,-0.00055542-0.00051116i
-0.0016659-0.0014868i,-0.0018173-0.002601i,-0.0010443-0.0023803i,-0.00070554-0.0015641i,-0.00093739+0.00050087i,0.0002759+0.0019873i,0.001059+0.0025763i,0.001323+0.0027537i,0.0013279+0.0013903i,0.00054065+0.00020162i,3.8355e-05-6.7217e-06i,0.00014192-0.00082133i,0.00081979-0.00091498i,0.00064488-0.00016002i,0.00077616-0.00046494i,0.0011363-0.0006425i,0.00058923-0.00044592i,0.00023265-0.00053488i,0.0010062-0.0003246i,0.00074303+0.00026821i,1.3808e-05+0.0010509i,-4.0979e-06+0.00024273i,-0.00015952-0.00064486i
-0.00094292+0.0005673i,0.00013626+0.0022002i,0.00038947+0.0022077i,1.4421e-05+0.0015011i,0.00026464+0.0015864i,0.00071233+0.0017951i,0.0013575+0.0017284i,0.0013725+0.0015313i,0.00079905+0.0008361i,-5.2754e-05+8.2105e-05i,-0.00036904+0.00027507i,0.00017391+0.00082231i,0.00030345+0.00070348i,-7.79e-05+0.0007205i,0.00050151+0.00058347i,0.00050344+0.00062804i,0.00048826+0.00045117i,0.00065457-0.00012552i,0.00064632-0.00020517i,0.0002813-0.00051934i,-0.00046561-0.00052252i,-0.00084231-0.00039291i,-0.00090373-0.00024665i
-0.0011827+0.0019324i,-0.0019017+0.00093702i,-0.0010938+0.00022597i,0.00068176+5.7591e-05i,0.00017077+0.00039581i,-0.00059706+0.0017063i,0.00014624+0.002347i,0.0012187+0.00099588i,0.0012384+0.00026334i,0.00058245-0.00035878i,0.0002481-0.00059837i,8.6828e-05+4.4135e-05i,-0.00048576+0.00069423i,-0.0012609+0.00078667i,-0.0010223+0.00059754i,-0.00053441+0.00043461i,-0.00060133+0.00024976i,-0.00042421-0.00039938i,-0.00041132-0.00033865i,9.1037e-06+9.0218e-05i,0.00063909-8.6151e-06i,0.0011787+1.3595e-05i,0.0012327+5.3421e-06i
-0.00075009+0.0015781i,-0.00015512+0.0021702i,2.3401e-05+0.0015306i,0.00020076+0.00016151i,-0.00013251+0.00023568i,-0.00056937+0.0010787i,9.8085e-05+0.0011838i,0.00051278+0.00052708i,0.0010355+0.00061937i,0.0013587+0.0001181i,0.00064592-0.00073345i,-0.00032668-0.00095537i,-0.00026545-0.0011303i,-0.00037184-0.00056098i,-0.00010954+0.0002544i,0.00018038+0.00029981i,4.5599e-05-0.00041092i,0.00024504-0.00056019i,-1.4161e-05-0.00021843i,-0.0002142+0.00037909i,2.7021e-06+0.00093793i,0.00041601+0.00069157i,0.0010142-0.0002725i
0.0014347+0.00033412i,-0.00014446-0.00031431i,0.0011857-0.00032472i,0.0019779-0.00025227i,0.0013716+0.00013346i,0.00060979+0.0015366i,0.00061305+0.0024222i,0.0010219+0.0012799i,0.0013514-0.0002168i,0.00057704-0.0003776i,0.00065105-0.00023362i,0.001268+0.00028905i,0.00072766+0.0010884i,0.00045903+0.00098717i,0.001604+0.00016117i,0.0013883+0.00024796i,-9.2672e-05+0.0011217i,-0.00018519+0.00055448i,-9.1159e-05-0.00079725i,-2.472e-05-0.00063958i,3.097e-05+1.4152e-05i,-0.00034879-0.00035118i,-2.5333e-05-0.00015657i
0.00023626+0.0025472i,0.00020292+0.0026365i,0.0010301+0.0016411i,0.0012524+0.0017964i,0.00035341+0.0021692i,-0.00013046+0.0017254i,0.00022862+0.0012482i,0.00077275+0.0012415i,0.0010744+0.00076608i,0.0011328+0.00014455i,0.00080322-0.00020092i,0.00076956-9.476e-05i,0.00037594-2.3038e-05i,-0.00030856-0.00013002i,-0.00059958-1.8294e-05i,-0.00091557-9.3011e-05i,-0.00083015-0.00052278i,-5.4135e-05-0.00036678i,0.00020763+9.1663e-05i,0.00017149+0.00018869i,3.7035e-05+8.8611e-05i,0.00031247+0.00032348i,0.00030074+0.00076292i
0.00039849-0.0011532i,-0.00073937-0.00014903i,-0.001045+0.00071518i,-8.7116e-05+0.0017818i,-6.441e-05+0.0028745i,0.00040074+0.0031763i,0.0012138+0.0022455i,0.00079631+0.0011261i,0.00056353+0.00020403i,0.00057059-0.00058883i,0.00039609-0.0005018i,0.00063874-0.00017513i,0.00082605+0.00013945i,0.00056801+0.00021008i,0.00052535+3.2601e-05i,-0.00012348+0.00051582i,-0.00042374+0.00016098i,0.00017222-0.0006235i,0.00092772-0.00054725i,0.00075972-0.00034811i,0.00030668-0.0001999i,-0.00040662-0.0002197i,-0.00016319+0.00011516i
0.00022055+0.0017535i,-1.6384e-05+0.0018673i,0.00071717+0.00082101i,0.0013786-0.0002566i,0.0014598+0.00023201i,0.00014322+0.0011651i,0.00020649+0.0015308i,0.0010405+0.00098831i,0.0011839+0.00016903i,0.00068149+0.00023101i,0.00047421+0.0001828i,0.00036393-2.6371e-05i,0.00021666+0.00067851i,1.2854e-05+0.0012001i,-5.1705e-05+0.00034456i,-6.1319e-05-0.00035916i,-0.00033007-0.00013095i,-0.0001905+0.00037329i,-0.00023934+0.00028642i,7.4851e-05+0.00033519i,-0.00018701+0.00016628i,-0.00080194-5.8186e-05i,-0.00029439+0.00035489i
-0.00069383+0.00036403i,-0.00017619-0.00015654i,0.001077+9.7161e-05i,0.0015725+0.00018389i,0.0012328+0.00052128i,0.00089172+0.00083255i,0.00013894+0.00055955i,-0.00028514+0.00041706i,-0.0002695+0.00043019i,-0.00030879+8.7312e-05i,5.9658e-06+4.8481e-05i,0.00033676+0.00019235i,0.00032991+0.00023516i,0.00030359+0.00059769i,1.2902e-05+0.0005103i,1.0352e-05+0.00045073i,0.00050974-0.00020946i,0.00040419-0.00069734i,0.00030463-0.00057146i,0.00021399+0.00020239i,7.4608e-05+0.00085469i,-0.00027912+0.00049382i,-0.00013035+0.00013464i
-0.0030315+9.2655e-05i,-0.0034514+0.0010624i,-0.0025765+0.0026362i,-0.0006582+0.0029577i,0.00063576+0.0024272i,0.0014237+0.0015905i,0.0018867+0.0012266i,0.0017336+0.0014559i,0.00068952+0.001234i,2.2858e-05+0.00082484i,0.00018816+0.00090571i,8.533e-05+0.0011614i,8.3922e-05+0.00044981i,8.0359e-05-0.00096082i,-0.00055654-0.00091456i,-0.00015387-0.00046732i,0.00085548-0.00041856i,0.0011715-0.00024375i,0.00098909-0.00028799i,0.00052082-0.00032662i,0.00085018-0.00058185i,0.00066725-0.00042002i,0.00010575-0.0001639i
0.00060091-0.0019113i,0.00013628-0.0017188i,-0.000852-0.0010976i,-0.00077177-0.00060036i,-0.00016467+0.0006633i,0.00042935+0.0031326i,0.00076902+0.0032029i,0.00063131+0.00049384i,0.00024565-0.0002659i,-0.00018429-6.6749e-05i,-0.00031145-0.00066424i,0.0003792-0.00074302i,0.0013581-0.00033554i,0.0016411+0.00018074i,0.0014964+0.00068397i,0.001273+0.00036916i,0.00097858+0.00017907i,0.00024924+0.00038568i,-0.0003079+0.00063239i,-0.00040305+0.00051229i,-9.8611e-05+1.0972e-05i,0.00043598+0.00031356i,0.00069462+0.00090142i
-0.00077508-0.00038868i,-0.0011215+0.00030971i,0.00025089+0.00090954i,0.00063893+0.00092901i,0.00027586+0.00097013i,0.0001775+0.0013605i,0.00075978+0.0010464i,0.00081865+9.743e-05i,0.00084394-0.00037094i,0.00069898-0.00036022i,-0.00069729-0.00037991i,-0.0012257+7.5222e-05i,-6.2192e-06+0.0010108i,-0.00047426+0.0011035i,-0.00074857+0.00043082i,0.00039478+0.00043635i,0.00034267+0.00073051i,-0.00028247+0.00041612i,-0.00012115-0.00057921i,-7.6218e-05-0.0013971i,-7.4255e-05-0.001533i,0.00033385-0.00075132i,0.00045274-0.00032038i
-0.0013777+0.0010623i,-0.001245+0.0021508i,-0.0010792+0.0024336i,-0.00082158+0.0013947i,-7.5887e-05+0.00092957i,0.00082984+0.0018081i,0.0014536+0.0019696i,0.0017568+0.0011488i,0.0012567+0.00090601i,0.00024314+0.0006494i,-6.7445e-05-0.00017189i,0.00058246-0.00062054i,0.00021519-0.00088751i,-7.1727e-05-0.00039938i,0.00074422-0.00059811i,0.0010111-0.0010322i,0.00050845-0.00062973i,0.0003916+2.0644e-05i,6.4988e-05+0.00013151i,-0.00023652-0.0006317i,-0.00015336-0.00044431i,-0.0004742-0.00023282i,-0.00017536-0.00016264i
-0.0028073-0.0009363i,-0.0030162-9.7764e-05i,-0.0033918+0.0006243i,-0.0018075+0.001477i,0.00045136+0.0020092i,0.0014043+0.0019725i,0.0013571+0.00072995i,0.00080186-0.00037214i,0.00022341-6.0269e-06i,-3.9041e-05+0.00053979i,-0.00019219+0.00031307i,0.0002928-0.0004431i,0.00013784-0.00092075i,-0.00030546+6.8536e-05i,-8.1264e-05+0.00032715i,-0.00065756-0.00076155i,-0.0010333-0.00038563i,-0.00056593+0.00018912i,-0.00048264-0.00022366i,-0.00089878-0.00056512i,-0.0007777-0.00097964i,-0.00052679-0.0011403i,-0.00034832-0.00082758i
0.0016612+0.00015251i,0.0006925+0.00023912i,-0.00021969-0.00046557i,-2.3251e-05-0.00049945i,0.00044285+0.00044258i,0.00043819+0.0015249i,0.00039249+0.0023281i,0.00075032+0.0019853i,0.0011951+0.00049811i,0.00093747-0.00058463i,0.0003978-0.0010116i,0.00030584-0.00099855i,0.00020074+8.7899e-05i,4.3646e-06+0.0001829i,0.00079527+0.00034037i,0.0010578+0.00096195i,0.00057347+0.0012979i,0.00025471+0.0010175i,0.00048958-0.00017882i,0.00023317-0.00082793i,3.9409e-05-0.00077282i,0.00016237-0.00076601i,-8.2819e-07-0.00037103i
0.00012015-0.0022299i,-0.00076497-0.00070562i,-0.00076081-2.0779e-05i,-0.00040279+0.0003144i,-0.0007905+0.0013181i,7.5069e-05+0.0023068i,0.0023519+0.0020934i,0.0033784+0.00066435i,0.0026532+4.4569e-05i,0.0015639+0.00015537i,0.0007222-7.6138e-05i,0.00022589-0.00028616i,-0.00030556-0.00035562i,-0.00026757+7.1438e-05i,-2.578e-06+0.00013809i,9.6109e-05+0.00039322i,2.3329e-06+0.00031128i,3.2315e-05-0.00049113i,1.1397e-05-0.00091214i,6.5779e-05-0.0002367i,0.00021087+0.00071291i,-0.00039476+0.00043335i,-0.0007857+0.00042847i
0.0012838+0.001976i,-0.000294+0.0023093i,-0.00014789+0.001193i,0.00062748+0.00036365i,-9.7722e-05+8.2745e-05i,-0.0005422+0.0006447i,0.00050306+0.0014069i,0.0008775+0.0012094i,0.00027187+0.00056581i,-2.1188e-05-3.0365e-05i,0.00043353-5.3908e-05i,0.00059462+0.00051413i,0.00039305+2.7627e-05i,0.00038534-0.00023252i,0.00066948-1.0282e-05i,0.00013761+4.1583e-05i,-7.1095e-05+0.00075841i,-0.0007966+0.00053761i,-0.0011047-0.00084065i,-0.00034901-0.0010199i,-0.00026999-0.00027654i,-6.2812e-05-6.9709e-05i,0.00026543-0.00015642i
-0.0016323-0.0014284i,-0.0031516-0.00093692i,-0.0030346-0.0013295i,-0.0016359-0.00077103i,-0.00060835+0.0015635i,0.00031837+0.0036211i,0.00176+0.0033679i,0.0024565+0.0020172i,0.0018315+0.0012194i,0.00046467+0.00066671i,-0.00046396+0.00068149i,-0.00037901+0.00086288i,-0.00020727-3.1561e-05i,0.00042036-0.0002602i,0.00011445+0.00026072i,-0.00068462+0.0003485i,-0.00037788+0.0007025i,-0.00050892+0.00052914i,-0.00079599+3.0202e-05i,-3.2122e-05-5.0774e-05i,-0.00016468+0.00030861i,-0.00082467+0.00057502i,-0.00029201+3.1096e-05i
-0.00044109+0.00034153i,0.00014484+0.001322i,0.00067045+0.0015996i,0.0011585+0.0010979i,0.00066626+0.0010353i,0.0001957+0.0016385i,0.0011726+0.0018241i,0.0013772+0.00091856i,0.00023469+0.00022252i,-9.8811e-05-0.00024108i,5.9456e-05-0.00016019i,0.00044378-0.00039121i,0.00072683-0.00055851i,0.00022004-6.1736e-05i,-6.0664e-05-2.0793e-05i,-6.4918e-05-0.00019869i,-0.00011281-0.00050898i,-0.00022403-0.00091024i,-0.00086124-0.00062706i,-0.0014228-0.000464i,-0.00040964-0.0002951i,0.0002013+0.00042428i,-0.00015158+0.00073504i
-0.00097295-0.0013068i,-0.0015576-0.00080398i,-0.0011501-0.00012185i,-0.00059247+0.00052631i,-0.0004825+0.00094979i,0.00040554+0.0020056i,0.0012484+0.0024578i,0.0010465+0.0015378i,0.0005429+0.00031076i,0.0002682-0.00053854i,0.00066196-0.0013392i,0.00039515-0.00091426i,-0.00025404+0.00017934i,-0.00035116+0.00036182i,-0.00035036+0.00013613i,-0.00013153+0.00020805i,0.00036866+0.0003188i,0.00091039-0.00010157i,0.00040474-0.00091533i,0.00018686-0.0012615i,0.00037041-0.00071555i,-5.5526e-05-0.00051937i,-0.00047607+0.00035292i
-0.0012314+0.00053345i,-0.00042317+0.001653i,2.3181e-06+0.0026814i,4.8117e-05+0.0027096i,0.00040414+0.0013179i,0.0010413+0.00073347i,0.0010151+0.0010939i,0.00088767+0.001063i,0.00083033+0.00049397i,4.8945e-05+2.8053e-05i,-0.00056698-0.00020406i,-0.0005445-0.00020777i,-0.00024137-2.7744e-05i,5.4711e-05-0.00018348i,-0.00018237-0.00058235i,-0.0005591-0.00037128i,-0.00063751+0.00040456i,-0.00035317+0.00051149i,0.00038412+0.00034461i,0.0013763+0.00020522i,0.00091273-0.0001226i,-0.00010315+0.00019352i,-0.00060833+2.9697e-05i
0.0015432+0.00046107i,0.000283+0.0001647i,-0.00031114+0.00029467i,0.00013105+0.00071335i,-0.00027188+0.0013591i,-0.00077832+0.0015857i,0.00011115+0.0012619i,0.0009548+0.0006012i,0.000118+0.0001472i,-0.00052498+0.00016136i,-0.00024157+0.00028919i,-0.00037794+0.00038048i,-0.00050604+0.00071723i,-0.00010873+0.0010647i,0.00063421+0.00078994i,0.0007175+0.00042152i,0.00019387+3.229e-05i,0.00039043-0.0011285i,0.00080811-0.00049253i,-0.00025737+0.00052365i,-0.00055958+0.00086297i,0.00061215+0.00051485i,0.00086375-0.00019259i
0.0012268+6.9678e-05i,-0.00083937+0.00030339i,-0.00098999-0.00053859i,7.7648e-07-0.00092915i,0.00019161+8.8123e-06i,-0.00061499+0.00088485i,4.0446e-05+0.0011569i,0.0012791+0.0012763i,0.00087987+0.0017064i,-0.00022094+0.0011217i,-0.00064428+0.00042892i,-0.00043432-0.00024748i,-9.5859e-05-0.001052i,0.0006084-0.0004958i,1.7177e-05+0.00037409i,-0.00064439+0.00046718i,-0.00073737+0.00057125i,-0.00076335+0.0006647i,-0.00030927+0.0004865i,3.2666e-05-0.0001185i,-5.2807e-05-0.00062384i,-0.00043912-0.00056833i,-0.00016-0.0006242i
0.00030552+0.00074047i,0.00037781+0.0013525i,0.00047649+0.0015879i,0.00087599+0.0014997i,0.0010818+0.0024527i,0.0010143+0.0030846i,0.00081244+0.0030444i,0.00065013+0.0016944i,0.00037958-0.00045042i,0.000558-0.00093866i,0.00098099-0.00085713i,0.00061724-0.00044367i,0.00045021-0.00035767i,0.00051006-6.9126e-05i,-0.00011544+0.00059425i,-0.00085734-1.348e-05i,-0.0003032-0.00039407i,0.00043448+0.00022364i,0.00017172+0.00078321i,-8.7492e-05+0.00055083i,-9.6741e-05+0.00016874i,-0.00018042-7.1805e-05i,-0.00015402-6.1104e-05i
-0.002283-9.53e-05i,-0.0027731+0.0016719i,-0.0025138+0.0025837i,-0.0011535+0.0022771i,-9.8175e-05+0.001528i,0.00045638+0.0011861i,0.0015669+0.00062876i,0.0013523+0.00039741i,0.00053598+0.00044115i,0.00074879+3.1195e-05i,0.0002053+0.00023494i,-3.1223e-05+0.00080377i,0.00061434+0.0010929i,0.00082343+0.00051045i,0.00068133-0.00060834i,0.0010399-0.00061865i,0.00080356-0.0003171i,-9.3551e-05-0.00010869i,-0.00049284+0.00033428i,-0.00024035+0.0002901i,-0.00046051-0.00077467i,-0.000529-0.0006531i,-0.00045229+0.00020852i
