-0.0018402+0.00021961i,-0.0017832-9.7391e-06i,-0.001406+4.574e-05i,-0.0013294-0.00079964i,-0.0013962-0.001405i,-0.0018146-0.00038763i,-0.0017917+0.0010219i,-0.0014327+0.0019646i,-0.00076539+0.0019768i,0.00039012+0.0016912i,0.0016165+0.0011101i,0.0013437+7.0901e-05i,0.00036903-0.00099253i,-3.9907e-05-0.00096902i,-0.00012044-0.00050678i,9.6153e-05-0.00029361i,0.00046475-0.000139i,0.0004882-0.0004018i,7.1128e-05-0.00044263i,-0.00010837-0.00075826i,-0.00018736-0.0011722i,-0.00011404-0.00059337i,0.00025816-0.00026785i
0.00063974-0.00071455i,0.00082828+0.00067576i,-0.00019564+0.0016121i,-0.0010284+0.001552i,-0.0011929+0.00091469i,-0.00057389-0.00043056i,0.00039418-0.00063585i,0.00051249-0.00024904i,-0.00022627-0.00035583i,-0.00026097+0.00015159i,2.5667e-05+0.00051887i,-0.00017024-0.00027455i,-0.00045578-0.0010345i,-0.00026117-0.00050815i,0.00016138+0.0010936i,0.0010564+0.00086949i,0.0013587+0.00012488i,0.001414+0.00027318i,0.0014427+0.00049049i,0.00042415-5.3031e-05i,-0.00032256+9.1253e-05i,0.0007454+3.9524e-05i,0.00043474-0.0007297i
-0.0013053-0.00043318i,-0.00058105+0.00028706i,-0.00024756+0.0013039i,0.00034703+0.0022635i,0.00096873+0.0019847i,0.00071494-0.00034413i,-0.000705-0.0010801i,-0.0010378-0.00046602i,-0.00048001-0.00028425i,-0.00043829-4.1096e-05i,-0.00054626-0.0004385i,0.0004397-0.00018125i,0.00094713+0.00065823i,0.000632+0.00074426i,0.00061964+0.00043617i,0.00085106+0.00063728i,0.00040524+0.00061006i,8.4486e-06-0.00021979i,-0.00023839-0.0003863i,-9.2496e-06-0.00029188i,0.00046656-0.00080166i,7.8788e-05-0.00090368i,0.00060817-0.00048408i
0.00060421+0.00093739i,0.00069709+0.00070487i,0.00046456+0.00056553i,0.00030689+0.00076319i,0.00070605+0.00010363i,0.00050993-0.0014344i,-0.00065036-0.0018693i,-0.0011078-0.00088644i,-0.0011699-0.00015207i,-0.0013417+0.00059938i,-0.00091052+0.0010533i,-0.00054582+0.00045088i,-0.00076059-0.00011807i,-0.00031999-2.5569e-05i,0.00038281+0.00092051i,0.00021346+0.0017548i,0.00021976+0.0017494i,0.0010568+0.00088555i,0.00096187-9.5963e-05i,7.9071e-05-0.00046596i,-0.00038351-0.00055409i,-0.00049023-0.00014735i,-0.00037706+0.00027242i
0.00012551+0.00047301i,0.0010475+0.0012844i,0.00098587+0.0018114i,0.00052992+0.0017644i,0.0010975+0.0012186i,0.0011409-8.9584e-05i,0.0010269-0.00094522i,0.00070154-0.0012636i,0.00020507-0.00079897i,-0.00044433+0.00013153i,-0.00029423+0.001344i,0.00021135+0.0015806i,0.0001265+0.0011026i,7.277e-05+0.00011442i,0.0006662-0.00019704i,0.00080965+0.00082571i,0.00026146+0.0011644i,-0.00024764+0.00063657i,-0.00012609-0.00045902i,0.00027033-0.0011026i,0.00057153-0.00099787i,0.00098339-0.00052284i,0.00085053+0.00010769i
-0.00031446-0.00033981i,-4.7821e-05-0.00062227i,0.00034801-0.00017427i,0.00033554-5.3311e-05i,0.00055016-0.0014323i,8.5322e-05-0.0013606i,-0.00038381-0.00028303i,-0.00056961-8.261e-05i,-0.00090072-0.0004764i,-0.00014412+0.00047987i,0.00049831+0.00080378i,0.00038496-0.0001505i,5.9402e-06+0.00046551i,-0.0002018+0.0012774i,0.0002065+0.000761i,0.00082274+0.00020559i,0.0012119+0.00062503i,0.00016863+0.0010732i,-0.00060575+0.00053299i,-0.00025229-0.00020915i,-2.049e-05-0.00071643i,-0.00011719-0.00065496i,-5.6659e-07+0.00017602i
0.00014992-0.00052656i,0.00030585+0.0007935i,0.0008546+0.002308i,0.00092254+0.0023571i,0.00037135+0.0015303i,0.00098673+0.00044106i,0.0012958-0.00024703i,0.00090122-7.746e-05i,-1.5474e-05-0.00042541i,-0.00050414-0.00049044i,-0.00049162+0.00037728i,0.00035304+0.00086725i,0.00065536+0.0012242i,0.00032688+0.0011643i,0.00056487+0.00070142i,0.0011801+0.000367i,0.0010584+0.00033407i,0.00046955-0.00010336i,0.00050817-0.00071355i,0.00027026-0.00072449i,0.00038077-0.00088305i,0.00048905-0.0010406i,0.00014544-0.0010899i
-0.0001023-0.00031694i,-0.0016504-0.0010373i,-0.0019616-0.0016979i,-0.0012178-0.00051792i,-0.00068125+0.00023469i,6.763e-05-0.00038402i,0.00046529-5.7654e-06i,0.00044377+0.00058062i,0.00065986+0.0002787i,0.00058924+0.00058648i,-2.8097e-05+0.0014129i,-0.0003746+0.0016267i,-0.00016287+0.0013347i,0.00027315+0.00061642i,0.0007473+0.00082078i,0.00045006+0.00099489i,0.00032658+0.00022624i,0.00034773+0.0002395i,0.00051391+0.00047723i,0.00076773+0.00052189i,0.00045778+0.00072509i,-3.2961e-05+0.00049255i,-0.00029641+0.00030726i
-0.0014996+0.00057933i,-0.00082661+0.00054997i,-0.0006198+0.0012081i,-0.0001299+0.0011615i,0.00083264+4.4151e-05i,0.0016141-0.00080727i,0.0010541-0.0011877i,0.00014839-0.0008423i,-0.00058141+0.00020065i,-0.0010148+0.0001217i,-0.00061676+0.00029094i,0.00030121+0.00019245i,-2.5031e-05+0.00053703i,-0.00085437+0.00079323i,-9.6837e-05+0.00064655i,0.00079911+0.00087055i,0.00069593+0.0010463i,0.00064428+0.00086238i,0.0012074-0.00010298i,0.00052686-0.00072254i,-0.00022412-0.0003679i,-0.00013542+0.00010971i,5.3177e-05-0.00033075i
0.00022237-0.00054371i,0.00043668-0.00073104i,-0.00019127-0.00075818i,-0.00090053-0.0018149i,-0.0010351-0.0028476i,-0.00065609-0.0016942i,-3.7182e-05-0.00047571i,0.00027322-0.00035562i,0.00050744-6.5095e-05i,-0.00026179-0.00026562i,-0.00063174-0.00042091i,0.00019669+0.0004267i,0.000549+0.00033665i,0.00076877+0.0003816i,0.00096548+0.00080198i,0.0012327+0.0010352i,0.0011221+0.0011711i,3.8413e-05+0.00047229i,-0.00042858-7.3545e-05i,3.1194e-05-0.00028211i,0.00018095-0.00063624i,0.00018328-0.0007016i,-7.1448e-06-0.00059822i
-0.00042358-0.00052168i,-0.00012396-6.0604e-05i,-0.00077662-0.0002168i,-0.00035469+0.00035783i,0.00015244+0.0010025i,0.00021813+0.0003304i,-6.8005e-05-0.00047975i,-0.0007065-0.00055801i,-0.001367-0.00047471i,-0.0011909-0.0001898i,-1.4657e-05+0.00023596i,0.00060915+1.3952e-05i,0.00024493-1.5497e-05i,-0.00016771+0.00038158i,0.00033306+0.00057942i,0.00069894+0.0010131i,0.00080212+0.00091753i,0.00045662+0.00051293i,-0.00049225+0.00045995i,-0.00033605+0.00061448i,0.00020185+0.00043414i,-0.00011429-0.00018387i,0.00036392-0.00026742i
-0.0011484+0.00079926i,-0.00080166+0.0016435i,-0.0005689+0.0021157i,0.000338+0.0017893i,0.00096704+0.0011991i,0.0013402+0.00025228i,0.0012407-0.00022321i,0.0012107+0.0004551i,0.00072332+0.00066427i,-0.00034507+0.00055078i,-0.00079166+0.00038929i,-0.00040655+0.00019089i,-4.2772e-05+0.00048502i,-3.4103e-05+7.3289e-05i,-6.371e-05-0.00026295i,7.3648e-05+2.3985e-05i,0.00053554-0.00023315i,0.00088938-0.0001511i,0.0002362-0.00029141i,-0.00062615-0.00059475i,-0.00086198-0.00052939i,-0.00072141-0.00010837i,-0.00031806+5.8614e-05i
-0.0013988-0.00056858i,-0.00089454-7.7076e-05i,-0.00029019-0.0005886i,-0.00019196-0.00078822i,0.00018753-0.0012616i,0.0010386-0.00081889i,0.00063551-0.00030728i,0.00019701-0.00043135i,-0.00012518-0.0005336i,-0.0001723-0.00033984i,0.0004124+0.00011212i,0.00045951+0.00031687i,0.0001265+3.6145e-05i,-0.00016936-0.00018724i,-0.00026546+0.00047341i,0.00020509+0.00086751i,0.00079666+0.00078268i,0.00082499+0.00010399i,0.00041306-0.00024418i,0.00038798-0.00023246i,0.00064451-0.00083315i,3.7786e-05-0.00056684i,-0.00067498+0.0005068i
-0.00093717-0.00055278i,-0.00062765+0.00013625i,-0.00060577+0.00039606i,0.00015844+0.0010675i,0.0013827+0.0013118i,0.0013208-0.0001149i,-9.4894e-05-0.0013247i,-0.00083792-0.00074817i,-0.00040626+0.00049368i,-0.00047884+0.00089391i,-0.00060565-2.3571e-05i,-0.00032642-0.00015471i,0.00051202-0.00013752i,0.00074468+0.00040943i,0.00062956+0.001086i,0.00050856+0.0013377i,0.0003325+0.00067184i,0.0010045+9.4654e-05i,0.0016034-0.00027119i,0.0012228-0.00058534i,0.00063823-0.00045472i,0.00054949-0.0001061i,0.00062507+0.00047662i
0.00053374-0.0010839i,-0.00015313-0.0017343i,-0.0012647-0.001265i,-0.0013114-0.00049896i,-0.00076472+3.1794e-05i,-0.00070692-0.0002713i,-0.00068573-0.00075488i,-0.00098501-0.00060858i,-0.0010598-0.00070528i,-0.00073473-0.00067131i,-0.00081276+2.99e-05i,-0.00065816-9.0585e-05i,-0.00031571+2.4933e-05i,-4.5748e-05+0.00026281i,0.00052382+1.5979e-05i,0.00043707+0.00058552i,0.00034632+0.00062519i,0.00036988+0.00075151i,0.00061319+0.00059512i,0.00056234-0.00028538i,-0.00052796-0.00026251i,-0.00067093+0.00035411i,0.00035932+0.00086709i
0.0002055+0.0016661i,0.0004444+0.0021439i,0.0011836+0.0020909i,0.0021445+0.0013394i,0.0021534+0.00083941i,0.00061359-0.00034068i,-0.00088483-0.0010326i,-0.0010323-2.3137e-05i,-0.00052549+0.00025865i,-0.00044588+0.00020729i,-0.00047019+0.00016991i,-0.00037017+0.00043379i,-0.00014361+0.00068907i,0.00069733+0.0014266i,0.00079909+0.0011787i,0.0006364-7.6307e-05i,0.0011352-0.00066667i,0.00095682-0.000482i,0.0001665+3.675e-05i,-0.00025226+0.00041603i,-0.0003492-0.00013658i,0.00010455-0.00039562i,0.00013695+3.8805e-05i
-0.0011037+0.0012818i,-0.0013505+0.00065797i,-0.00057099+0.00033257i,-0.0005081+0.00039068i,2.6435e-06-0.00098004i,0.0010369-0.0017646i,0.00052941-0.0019415i,-0.00042401-0.0016628i,-0.001132-0.00050453i,-0.0014295+0.00044661i,-0.0013661+0.00083036i,-0.00034706+0.00058814i,0.0007054+8.1418e-05i,0.00043842+3.1485e-05i,0.00036506+0.00024536i,0.00081581+0.00033573i,0.001271+0.00030714i,0.00068053+0.00075286i,-0.00013254+0.00080657i,-6.387e-05+0.00021339i,-0.0002277-0.00044514i,0.00024686-0.001009i,0.00066076-0.00021722i
-0.00084543-0.00091648i,-0.0012631-0.00071301i,-0.00044417+0.00062004i,-0.00013509+0.0014404i,-0.00033217+0.00075782i,-0.00028993-6.8078e-05i,-0.00029065-9.3796e-05i,-7.3708e-05+0.00014304i,-0.00086539+0.001006i,-0.00116+0.0011667i,-0.00077103+0.00087811i,-0.00016325+0.00077968i,0.00055584+0.00065837i,0.0010808+0.00065837i,0.0013322+0.00020698i,0.0016189+3.2383e-05i,0.0017479+6.1091e-06i,0.0013543+0.00039893i,0.00075321+0.0007183i,0.00072628+0.00074173i,0.00047445+0.00061815i,-0.00051143+0.00028283i,-0.00059732+0.00020033i
0.0022398-0.0020758i,0.00080985-0.0027315i,-0.00054739-0.0034138i,-0.001485-0.0027801i,-0.0020718-0.001493i,-0.0024311-0.0001798i,-0.0019486+0.00029635i,-0.00058873+0.00047919i,-4.6098e-05-9.5443e-05i,-0.00024-0.00064953i,4.7321e-05-0.00098467i,0.00036834-0.00098143i,0.00030419-0.00011714i,0.00030244+0.00052283i,0.00041632+0.00042511i,0.00050771+0.00027082i,0.00072661+0.00014338i,0.0013921+0.00034443i,0.0015488+0.00054892i,0.0010064+2.9888e-06i,0.00014739-0.00021076i,0.00010269-1.5227e-05i,0.00063783+0.00025879i
0.0031849-2.3846e-05i,0.0024672-0.0012654i,0.0027227-0.0031834i,0.001611-0.0036332i,0.00034139-0.0029224i,-0.00012172-0.0016093i,0.00015145-0.00065445i,0.00021515+0.00010993i,-0.00017772+7.3695e-05i,-0.0003496-0.00042903i,0.00042489+0.00017772i,0.0001079+0.0003971i,-0.00026942-0.00038569i,0.00020391+0.00016227i,0.000564+0.00063066i,0.00019506+5.1904e-05i,-0.00020012-0.00052384i,9.8738e-05-0.00079546i,0.00013241-0.00049872i,-1.0548e-05-1.9311e-05i,-9.8975e-05+0.00042634i,0.00023254+0.00021929i,-0.00010567-4.5751e-05i
0.0002031+9.1278e-05i,9.0927e-05+0.00023832i,-0.0003224+0.00058466i,-0.00063932+0.00031993i,-0.00044397-0.00015103i,0.00038426-0.00029196i,0.00011781-0.0007672i,-0.00034744-0.0009401i,-0.00050739+0.00010676i,-0.00062204+0.0010543i,7.1197e-05+0.00058612i,0.00075688+0.00041289i,0.00014296+0.0008464i,-0.00029018+0.00043584i,0.00064322+0.00027477i,0.0010415-0.00018589i,0.00063556-0.0011418i,0.00083422-0.0014027i,0.00078201-0.0010015i,5.6033e-05-0.00044905i,-9.0948e-05-0.00016764i,0.00073097+2.8937e-06i,0.0010696-0.0005025i
-0.0008873-0.0016053i,-0.00024256-0.00033135i,-0.00049785+0.00012431i,-0.00048659-0.00011112i,0.00033932+2.6458e-05i,0.0011265-0.00053775i,0.00020217-0.0011485i,-0.0011113-0.00090006i,-0.001251-0.00087157i,-0.00060896-0.00092767i,-0.00043171-0.00041395i,-0.0012194+0.00019499i,-0.00091941+0.00022206i,-0.00066503+5.4403e-05i,-0.00044364+1.0835e-05i,0.00030882+0.00013144i,0.0008036+0.00054916i,0.00087391-0.00011063i,0.00013539-0.00098175i,-0.00036787-0.00095785i,-0.00048595+5.0413e-05i,-0.0010581+0.00096522i,-0.00059791-8.2402e-07i
0.00094022+0.00085886i,0.00046877+0.0009792i,-0.00015169+0.001616i,-0.00066167+0.0016995i,-0.0011287+0.0012349i,-0.00021878+0.00038391i,0.00070358-0.00058318i,0.00072804-0.00069337i,8.0195e-05-0.00021475i,0.00022324-0.0007487i,0.00051795-0.00094466i,0.00027757-0.00073264i,-0.00013951-0.00041805i,-0.00062+0.0005104i,-0.00048502+0.0010296i,-9.8764e-05+0.00057109i,0.00017623-9.079e-05i,0.0006702-0.00024906i,0.0010354+6.7015e-06i,0.00063534+0.00084428i,-0.00041947+0.00059218i,-0.00044052-0.00024778i,-0.00015539-0.00025961i
0.00078845+0.0022928i,0.0018471+0.0015655i,0.0019974+0.00038791i,0.0027559+8.1656e-05i,0.0023803-0.00061055i,0.00092099-0.0025381i,-7.3857e-05-0.0021247i,-0.00053077-0.00073261i,-0.0010341-3.2848e-05i,-0.00074309+0.00011624i,0.0010669+0.00034572i,0.0011781+0.00061291i,0.00016916+0.00079382i,0.00042016+0.001362i,0.0012297+0.0015461i,0.0010452+0.0010939i,0.00083577+0.00030728i,0.00075691-9.0324e-05i,-0.00020517+1.2314e-05i,-0.00050694+0.00020935i,-0.00061938-6.7714e-05i,-0.00073904-0.00044557i,-0.00043209+0.00015226i
0.00064393-3.2803e-05i,0.00038059+0.00011189i,9.984e-05-0.0005983i,-0.00057961-0.00074174i,-0.00057665-0.00095491i,-0.00087289-0.00091139i,-0.0010569-0.0011854i,-0.00060709-0.0017688i,-0.00068192-0.0011179i,-0.0012181-0.00042757i,-0.00087149-0.00053058i,-0.0005494-0.00045264i,-0.00048562-0.00056297i,-0.00036626-0.00046088i,-4.3339e-05+0.00010664i,0.00045623+0.00043897i,0.00050697+0.00056376i,0.00027182-7.8637e-07i,-0.000486-0.00075175i,-0.00094561-0.00063472i,-0.00066648-0.00064837i,-0.00033321-0.00070556i,-0.00023967-0.00046227i
-0.00020401+0.0007173i,-0.00013887+2.1919e-05i,-0.00082009+4.8048e-05i,-0.0013492+3.3222e-05i,-0.00043084-0.00094398i,0.00035672-0.0013853i,0.00099862-0.0012297i,0.0016384-0.00089007i,0.00051018+0.00030958i,-0.00079844+0.00052827i,-0.00082344+2.6697e-05i,-0.00057962+0.00035478i,0.00024152+0.00025068i,0.00049567+0.00025465i,0.00043275+0.0011983i,0.00044276+0.0017214i,0.000425+0.00064257i,0.0014206-0.00038465i,0.0015255-8.4575e-05i,0.00094644+0.00024699i,0.00077511+0.00063337i,0.00035447+0.00062441i,0.00064601-0.00048239i
-0.0021337+0.00088688i,-0.002302+0.0016286i,-0.0022093+0.0017901i,-0.00087443+0.001985i,4.2754e-05+0.0018387i,0.00029339-0.00026678i,4.0428e-05-0.0013717i,5.1596e-05-0.0011631i,-0.00037182-0.0014782i,-0.00053893-0.00090691i,-0.00015732-0.00020299i,0.00024369+0.00032408i,0.00026132+0.00066026i,0.0001539-0.00038629i,0.00023511-0.00048652i,0.00099144+0.00011694i,0.0017044+0.0008696i,0.0012985+0.0004625i,-4.4081e-05-0.00012753i,-0.0004829-0.00020925i,3.6005e-05-0.0012141i,0.00028953-0.0012075i,0.00084023-0.00015594i
0.00075377-0.0013897i,0.00044435-0.0008661i,0.00038246-0.00092342i,-0.00051248-0.00099471i,-0.0011043-0.00067299i,-0.0011473+1.7043e-05i,-0.00066718-0.00013807i,-7.5731e-05-0.00015451i,0.00011862-0.00046261i,-0.00040823-0.001168i,-0.00071975-0.00087651i,-0.00034609+2.0831e-05i,-0.00029629+0.00032221i,-0.00024149+0.00021408i,6.1048e-05+7.1495e-05i,0.00034966+0.0002242i,0.00024456+0.00024713i,0.00040301+6.0223e-05i,0.0010383+0.00040621i,0.0007626+0.00062685i,-0.00034876-0.00012992i,-0.00011646-0.00063451i,0.00029259-0.00021504i
-0.00041112-0.000243i,-0.0016004-0.00051244i,-0.0030874-0.00064105i,-0.0021717+0.0001952i,0.00010621+0.00088346i,0.0014747+0.00096865i,0.00042447+0.00063986i,-0.0012012-2.6721e-05i,-0.0014218-0.00021736i,-0.00053179+0.00059842i,-3.7139e-05+0.00077933i,-0.00025083+0.00035305i,-0.00044455+0.00036758i,-0.00056109+0.00081672i,-0.00056377+0.00089778i,-8.7804e-05+0.00027542i,-0.00017589+0.00028964i,-0.00014567+0.00014143i,-0.00018501-0.00022353i,-0.00086725+8.1607e-05i,-1.7327e-05-0.00050833i,0.0009068-0.00063802i,0.00014458-0.00056748i
-0.00085538-0.00014368i,-8.5196e-05-0.0010933i,-0.00066839-0.00030893i,-0.001187+0.00051504i,-0.0011543-0.00024327i,-0.00062854-0.00080579i,-0.00044313-0.0011198i,-0.00098735-0.00084106i,-0.0011803-0.00081557i,-0.00048402-0.00082074i,0.00050889+0.00035852i,0.00073779+0.0012689i,0.00072456+0.0010728i,0.0006568+0.00059459i,0.00037949+0.00046396i,0.0006124+0.00071084i,0.00079514+0.00081742i,0.00058553+0.00057489i,0.00043144+0.00071731i,8.8692e-05+0.00038049i,-0.00026869-4.388e-05i,6.9112e-05-3.9872e-05i,0.00032746-2.083e-06i
0.00040083-0.0020251i,0.00045324-0.0021116i,0.00022373-0.0014531i,-0.00023673+6.5637e-05i,0.00039674+0.00088516i,0.0010675+0.00097464i,0.00052796-0.00020426i,0.00041073-0.00047983i,-0.00029274+4.6931e-05i,-0.0011313-0.00012747i,-0.0003227-0.0005762i,0.00057991-0.00080408i,0.00060974-0.0006433i,-3.2602e-05-0.00098567i,-0.00047855-0.00096895i,-0.00018461-0.00058533i,0.00034916-0.00037623i,0.00066351-0.00012005i,0.00074017-0.00038359i,0.00036933+2.2082e-05i,-0.00031792+0.00068576i,-0.00036678+0.00034274i,0.00059824-9.4081e-05i
-0.0003135+0.00196i,3.0179e-05+0.0018077i,0.00043511+0.0015753i,0.0005368+0.00069549i,0.0012145+0.00017377i,0.0014791-0.00036572i,0.000838-0.00079646i,0.00090401-0.00047816i,0.00054214+0.00022604i,-0.00026058+0.00037224i,-0.00051153+0.00048557i,-0.00010201+0.00037011i,0.00027925+0.00020892i,-4.4632e-05+0.00035261i,-0.00030299+0.00036536i,0.00072462+0.00061586i,0.0017878+0.00062075i,0.0014367+5.476e-05i,0.00094091-0.00040065i,0.00036666+6.8793e-05i,0.00011828+0.00018215i,0.00064136+0.00047282i,0.00044874+0.0010811i
0.00059438+0.00018436i,0.0002428-0.00039532i,-0.00036453-0.00090727i,-0.00066164+3.9834e-05i,-0.0004596+0.0004105i,0.00033607-0.00041294i,0.00075679-0.00033382i,0.00055098-8.54e-05i,-0.00012744+3.8273e-05i,-0.00058115+0.00039916i,-1.4461e-05+0.00032855i,0.00047881-0.00014363i,-9.312e-05+1.19e-05i,-0.00051602+0.00046171i,-0.00033353+0.00053722i,0.0001328+0.00025272i,0.0012734-0.00017384i,0.0015194+0.00011225i,0.00047063-0.00019901i,-0.00032163-6.2038e-05i,-0.00020593+0.0010416i,4.9596e-05+0.0011013i,0.00043044+2.4882e-05i
-0.00091139+0.00065988i,-0.001036+0.0014326i,-0.00098646+0.002089i,-0.00077946+0.0020359i,-1.1598e-05+0.00030252i,0.00090856-0.0010168i,0.0012064-0.0011395i,0.00081207-0.001371i,0.00026401-0.0010844i,-0.00036904-0.00038899i,-9.9817e-05+0.00029523i,0.00035162+0.0008894i,-0.00055982+0.00098637i,-0.0011519+0.00080683i,-0.00091373+0.00048513i,-0.00060793+0.00073672i,-2.7551e-05+0.0010724i,-2.7611e-05+0.00065244i,-0.00024511-0.0002798i,0.0002021-0.00042989i,0.00084916-0.00061989i,6.4376e-05-0.00068422i,0.00014388-0.00049179i
-0.0013937-0.0014308i,-0.0024279-0.0019597i,-0.0035178-0.0013591i,-0.0025927+0.00067877i,-0.0026439+0.0015922i,-0.0027467+0.00037902i,-0.004891-0.0009926i,-0.006984+0.00011969i,-0.0065143+0.0027684i,-0.0043078+0.0050015i,-0.0010993+0.0056438i,0.00092794+0.0039617i,0.002028+0.0026062i,0.0023377+0.0015178i,0.0020191+0.00042864i,0.0013779+0.00031821i,8.6674e-05+7.897e-06i,-0.00058746-8.9568e-07i,-6.6223e-07+0.00059918i,7.0843e-05+0.00098641i,-8.036e-05+0.00062599i,0.00044036+0.00036182i,0.0008656+0.00046116i
-0.00093888-0.0013781i,-0.0013891-0.0014274i,-0.0011529-0.00088176i,-0.0018322+4.3694e-05i,-0.0012176+0.0016091i,-0.00032293+0.001476i,-0.00016536+0.00040139i,0.00025257+0.00021393i,-0.00051742+0.00045873i,-0.0011678+9.9372e-05i,-0.00036054-0.00031829i,0.00090509+0.0006271i,0.0016357+0.0010043i,0.0010431+0.0009119i,0.00065718+0.00072951i,0.00093863+0.00083671i,0.00098128+0.0012904i,0.00079462+0.00094938i,0.00057638-0.00013451i,7.5804e-05-0.00037429i,0.00026527-4.1813e-05i,0.00052682-0.00011146i,5.9336e-05-4.9422e-05i
-0.00013563-0.0011591i,-7.5618e-05-0.0010307i,0.0009033+0.00013596i,0.0020573+0.0013069i,0.0018032+0.00092949i,0.00093651-0.0005552i,0.00078747-0.0008531i,-0.00029784+0.00029611i,-0.0007066+0.00089329i,-0.00063482+0.00063058i,-0.00050438+0.00070908i,0.00035981+7.8233e-05i,0.0013787-0.00065499i,0.0013323+0.00035264i,0.00080497+0.00058259i,0.0006838-0.00048151i,0.0014923-0.00061271i,0.0014344-0.00024736i,0.00057708-0.00076722i,0.00044135-0.00070793i,0.00019575-0.00021576i,0.00051371-0.00037699i,0.0010541-0.00020053i
0.00072817-0.0017868i,-0.00077491-0.0024634i,-0.0031013-0.0019181i,-0.0030516-0.00046771i,-0.001511+0.00061483i,-0.00071836+0.00015081i,-0.00020051-0.00062695i,0.00010182-0.0004866i,-0.0006558-0.00078807i,-0.0017366-0.000824i,-0.0015094-0.00023341i,-0.00030593-0.00025744i,0.00010961-0.0002167i,3.9281e-05+8.6367e-05i,0.00043975+3.7011e-05i,0.00073741+0.00024637i,0.00099259+0.000294i,0.0010111-0.00026873i,8.2229e-05-0.00085862i,-0.00027067-0.0010569i,-0.00037294-0.0010171i,2.8311e-06-0.00092063i,0.00094383-0.00088132i
0.0003233-0.0013629i,-0.00067892-0.001667i,-0.00054013-0.0011417i,0.00040973+0.00011352i,0.0003837+0.00019296i,0.00019718-0.00041131i,0.00043604-0.0010014i,0.00082506-0.0010148i,0.00066633-0.00043021i,-0.00083936-0.00023917i,-0.0021513+6.2994e-05i,-0.0015083+0.0009888i,-0.00033723+0.0014857i,-5.8111e-05+0.0010446i,-7.7454e-05+0.00091915i,-0.00030329+0.00064903i,-0.0011507-0.00011251i,-0.00082458-0.0001623i,7.0338e-05+2.6004e-05i,0.00040561+4.4467e-05i,0.00033598+0.00031563i,-0.0001202+0.00044099i,-1.0871e-05-0.00015855i
-0.00072229+0.0013586i,0.00020589+0.0011094i,-3.8324e-05+0.0011495i,-7.071e-05+0.00024569i,0.00077397-0.00018392i,0.0012308-0.00044761i,0.00022873-0.0010834i,-0.0015638-0.0012519i,-0.0021762-0.00053164i,-0.0011205+9.3932e-05i,-0.00010537+0.0011587i,0.00035666+0.0017274i,0.00066274+0.0011271i,0.00085559+0.0010931i,-2.5033e-05+0.00096922i,-0.00057428-6.4745e-05i,4.4335e-05-0.00018789i,1.1458e-05+5.6719e-05i,-0.00018335+0.00012039i,-2.5639e-06-0.00016296i,-0.00038742-0.00071233i,-0.00037584-0.00050531i,0.00047119-7.1649e-05i
0.0011308-0.0024689i,0.00095365-0.0027688i,-0.00051012-0.0018721i,-0.0018563-0.0013077i,-0.0020556-0.0010445i,-0.001405-2.0817e-05i,-0.0012782-0.00022788i,-0.00068205-0.0010333i,-9.8857e-05-0.00082527i,-0.00073125-0.00049498i,-0.00097031-3.5821e-05i,-0.00015312+0.000181i,0.00021416+0.00028825i,0.00049489+0.00090624i,0.00077859+0.00091398i,0.00050022+0.00027084i,0.00084169+0.00034213i,0.00098462+0.00078477i,0.00027938+0.00059773i,2.94e-05+0.00026585i,-7.6416e-05+4.948e-05i,-0.0001625-0.00019071i,0.00022188-8.5294e-05i
-8.0208e-05+1.6675e-05i,-0.00012916+4.17e-05i,-0.00031093+0.0003196i,0.00054718+0.00166i,0.00080951+0.0021227i,0.00060331+0.00029535i,0.0002742-0.00077897i,0.00040095+0.00010387i,-0.00060116+0.00075208i,-0.0018431+0.00070103i,-0.0014651+0.00065663i,-0.0003275+0.00030855i,1.1801e-05+2.3499e-05i,0.00032637-0.00020656i,0.00099925+0.00029784i,0.0016728+0.00061516i,0.0016074+0.00025869i,0.00074294-0.00015214i,0.00028095-0.00068341i,0.00012018-0.00090889i,-0.00015153+0.00036343i,-0.00035662+0.00040869i,0.00034649-0.00055983i
-0.00051671-0.00078056i,-0.00078611+0.00023138i,-0.0019337+0.00042765i,-0.0013427-0.00027223i,-5.3054e-05-0.0001103i,0.00048117-7.0929e-05i,0.00013405-0.00064891i,-0.00099551-0.00097529i,-0.0015732-0.00057057i,-0.0012736+0.00027386i,-0.00065693+0.0010355i,-0.00049219+0.00097583i,-0.00034566+0.00027223i,0.0003908-7.9561e-05i,0.0012043-7.9895e-05i,0.0011478+3.9462e-05i,0.0008527-0.00028578i,0.00091126-0.00028562i,0.0014487-3.564e-05i,0.0010658+0.00030244i,-5.2387e-06+0.00084742i,0.00023637+0.00037817i,0.00046375-0.00040642i
