-0.00015186+0.00022867i,0.0015567-0.00063041i,0.00091026-0.0020645i,0.00033215-0.0020604i,-0.00082622-0.00093774i,-0.001838-0.00013046i,-0.0009245+0.00091527i,0.00081705+0.0020315i,0.0017271+0.0023054i,0.0020291+0.0014385i,0.0018459-3.4095e-05i,0.00085417-0.00018981i,4.1407e-05-0.00010248i,0.00017091+0.00011421i,-2.5013e-05+0.00087635i,-0.0011007+0.00092816i,-0.00083815+0.00095816i,-6.0397e-05+0.00098123i,-0.00021651+0.00056521i,-0.0004882+0.00064261i,5.94e-05+0.00053582i,0.00087791+2.7925e-05i,0.00074827+6.9904e-05i
-0.0016572+0.0013524i,-0.001077+0.0013644i,-1.8043e-05+0.001544i,0.0016159-0.00010841i,0.0023482-0.0018644i,0.0013263-0.0016993i,-0.00021408-0.001468i,-0.00085794-0.00035691i,-0.00013519+0.0016599i,7.8239e-05+0.001878i,0.00035229+0.00047755i,0.00040314-0.00043886i,0.0002051-0.0005276i,0.00054385-0.00035725i,0.00078732-0.0003345i,0.00038473-0.00011232i,-0.0002004+5.0303e-05i,-0.00016548-0.00029734i,0.00053248-0.00024351i,0.00030001-5.1869e-05i,-0.00046172-4.9664e-05i,-0.00026586-0.00015782i,0.00012811-0.00016718i
0.00046195+0.00071021i,0.00069917+0.0012552i,0.0013117+0.0020279i,0.0012902+0.00083331i,0.00065546-0.001963i,0.00016627-0.0038323i,-0.0002095-0.0033179i,0.00013-0.00069871i,0.0012039+0.0013195i,0.0012418+0.00080342i,0.00091183+8.4063e-05i,0.00021219+0.00032839i,-6.5618e-05+0.00018075i,0.00070323+0.00024333i,0.0010084+0.0012979i,0.00066675+0.0013542i,0.00029264-1.1211e-05i,0.00042371-0.00035236i,0.00030211-0.00035379i,0.00048326-0.0007142i,0.0010424-0.00029487i,0.0011268+0.00019885i,0.00078812-0.00012982i
-0.00040041-0.00041955i,-1.509e-05-0.00048938i,-0.00011089-0.0017059i,0.00087276-0.0024159i,0.001157-0.0020493i,-8.6422e-05-0.0023374i,-0.0011513-0.0021264i,-0.0013351-0.00093867i,-9.3961e-05+0.0004971i,0.00041259+0.00063947i,-0.00024425+0.000308i,-0.00028786+0.00039997i,0.00029313+0.00037416i,0.0003428-0.00013789i,0.00041924-0.00017677i,0.00048233-0.00038691i,0.00040598-0.00028677i,9.6449e-05+6.1825e-05i,-0.00034649-0.00049423i,-0.00058936-0.0004556i,-0.00073684-0.00033419i,-0.00080484-6.8566e-05i,-0.00067536-5.9692e-05i
0.0011983+0.002126i,0.0010134+0.0017301i,0.001048+0.00083433i,0.0012615-0.00065889i,0.0018665-0.0024516i,0.0015081-0.0030454i,-0.00037565-0.0014213i,-0.00081701+0.00079392i,0.00059266+0.0015665i,0.0013647+0.0010435i,0.0014507-0.00020876i,0.00091603-0.00041296i,0.00029501+6.0135e-06i,0.0002161+0.00035047i,-0.00047075+0.00070456i,-0.0003808+0.00054883i,0.00054732+0.00039941i,0.0010315+4.1332e-05i,0.00051533+0.0002794i,-0.00034588+0.00010865i,-0.00026666-0.00034837i,1.344e-05-0.00078663i,-1.4715e-05+0.00022164i
0.00033757-0.0010776i,6.7309e-05-0.0013576i,0.0004397-0.0020186i,0.00044448-0.0023723i,0.0006722-0.0025007i,-1.3494e-05-0.0015054i,-0.00021547-0.00023908i,0.00068261+0.00063013i,0.0015939+0.00055862i,0.0014064+0.00023592i,0.00095455+0.00048681i,0.000917+0.00074901i,0.00064671+0.00035449i,0.0004613+8.8813e-05i,0.00026301+7.8864e-05i,0.00041544+0.00038895i,0.00017374-0.00010693i,-1.851e-05-0.00043252i,-0.00038798+0.00019213i,-0.00028697+5.2472e-06i,2.6952e-05-0.00010892i,7.7693e-05+0.0003938i,-0.00020587+0.00099753i
-0.001027+0.0012511i,0.00017541+0.00093701i,0.0015803+0.00081189i,0.001472+0.0004328i,0.0013355-0.00042368i,0.0007608-0.0013632i,-0.00032045-0.00098872i,-9.2254e-05+1.2185e-05i,0.0015589+0.00057127i,0.0018755+0.00022927i,0.00052172-0.00033619i,0.00085283+0.00033888i,0.0011894+0.00095563i,0.00048585+0.00025034i,0.00052234-3.3935e-05i,0.00043908+0.00013186i,7.3938e-05+0.00035139i,0.00023235+0.00049124i,0.00020045-0.00016991i,-0.00033064-0.0004376i,0.00017994+0.00024249i,0.00062176+0.00061215i,7.6041e-05+0.00042623i
-0.00071784+0.0009729i,-0.00046843+0.00087166i,-0.00080962+0.00060966i,0.00045505-0.0010404i,0.0014807-0.0017361i,0.00015887-0.002038i,-0.0013921-0.0021273i,-0.0016981-0.00033301i,-0.00074945+0.001401i,0.00045655+0.0010112i,0.00083055+0.00032784i,0.00071855+0.0001121i,0.00094456+0.00052405i,0.00051223+0.00060315i,0.00093406+0.00010094i,0.0012231+0.00019585i,0.00077378+0.00021425i,0.00037044+0.00091653i,0.0001854+0.0010712i,-0.00022774+0.0006031i,-0.00062778-0.00015122i,-0.00044518-0.0001226i,-0.00053535+0.00085694i
-0.0016342-0.0018001i,-0.0021972-0.00043724i,-0.0022834+0.00022116i,-0.0014682-7.3793e-05i,-0.0010567-0.0011913i,-0.00080611-0.0022336i,-0.0010947-0.0014909i,-0.00066651+0.0002979i,0.00037572+0.00099902i,0.0011866+0.000736i,0.0015884+0.00079271i,0.0010056+0.00060607i,0.00062195+0.00014716i,0.00082367+0.00029562i,0.00044127+0.0010004i,-0.00022214+0.00058227i,-0.00013083-0.00025446i,-2.152e-05-0.00083429i,0.00077394-0.00089422i,0.00088968+0.00052283i,-0.00023868+0.00076575i,-0.00029642-0.00038684i,-0.00020534-0.00088181i
0.0011978-0.00083161i,0.00064807-0.00062282i,-0.00019235-0.00051207i,-0.0006002-0.0016703i,0.00026421-0.0033121i,0.00097955-0.0034946i,0.00024013-0.0013096i,0.00033872+0.00089795i,0.0013881+0.0017716i,0.0013748+0.00088833i,0.0015422+0.00023069i,0.0012496+0.00035835i,0.0010868+0.00040816i,0.000882+0.00058197i,0.00052022+0.00036029i,0.00056568+0.00022343i,0.00084782+5.1149e-05i,0.0011978-0.00023879i,0.0010132-0.00047192i,4.8115e-05-0.00022594i,-0.0010703+2.0607e-05i,-0.0010609-0.00089682i,8.9236e-05-0.0015475i
-0.00057916+0.00061098i,0.00017254+3.552e-05i,0.0012042+0.00066165i,0.0014741+0.00086153i,0.0011244-0.0010423i,0.0011074-0.0024518i,0.00017291-0.0017614i,-0.00073766+0.00041494i,0.0005411+0.0022143i,0.0015389+0.0024794i,0.0012351+0.0012007i,0.00052735+0.00039417i,-0.00053717+0.00028102i,-0.0013114+0.00010331i,-0.00059607+0.00021581i,-0.00013428+0.00010808i,-2.8527e-05-0.00075019i,-1.3549e-05-0.0011022i,-0.00037899-0.00031122i,-0.00080192+0.00015951i,-0.00080581+0.00014179i,-0.00016359+9.135e-05i,-0.00054743-0.00010678i
-0.00058446-6.2104e-05i,0.00014558+0.00034632i,7.398e-05+0.00078147i,-1.7705e-05+0.00020237i,0.0007635-0.0012575i,0.00065761-0.0021337i,-0.00021948-0.001074i,-0.00066676+0.00057529i,-0.00024117+0.00054697i,0.00040403-0.00031814i,0.00023429-0.00024917i,-0.00020363+0.00069999i,-0.00068136+0.0011128i,-0.00051662+0.00064321i,0.00026824+0.00041579i,0.00053773+2.8611e-05i,0.00014156-8.4314e-05i,-6.6882e-05-0.00015084i,0.00035542-0.00021519i,0.00022435+0.00011913i,-0.00031126+0.00035584i,-0.00035857+0.00051806i,-8.9445e-05+0.00018288i
0.00047601-0.00098612i,-5.6941e-05-0.0021101i,6.503e-06-0.0021164i,0.00039833-0.0027086i,0.00034593-0.0032994i,-0.00015422-0.0033211i,-0.00079585-0.0023878i,-0.00081575+0.00091691i,0.00022335+0.0022522i,0.0009468+0.0011532i,0.0010147+0.00051295i,-0.00021168+0.00030457i,-0.00048508+0.00010587i,0.00068697+0.00051954i,0.0010199+0.00061856i,0.00052823+0.00027189i,1.2711e-06-0.00088494i,-0.00056413-0.0013811i,-0.0013318-0.00054097i,-0.0016096-0.00022592i,-0.0013274-3.526e-05i,-0.00062699+0.00091336i,-0.00061134+0.0014224i
0.0019287+0.00034715i,0.0014999-0.0007781i,0.001222-0.0018536i,0.00095675-0.0030715i,0.00012462-0.0044776i,-0.00074402-0.0044297i,-0.0011703-0.0025087i,-0.00095197-0.00072252i,4.8199e-05+0.00010877i,0.00027296+0.00035549i,-6.4318e-05-0.0006746i,0.00016719-0.0015728i,0.00024068-0.0011273i,-0.00016103-0.00054469i,-0.00055236+5.0477e-06i,-0.00017576+0.00068976i,-0.00015241+0.00051839i,0.00027894+0.00018458i,0.00054184-3.4331e-06i,-0.00036288-9.1079e-05i,-0.00028219+0.00044717i,1.7578e-05+0.0008807i,0.00012292+0.00075148i
-0.0010156+0.00036056i,-0.00032094+0.00049439i,0.00013559+0.0012687i,-0.00012368+0.0011444i,-9.7638e-05-0.0016094i,0.001008-0.0030375i,0.00039147-0.0014462i,-7.668e-05-9.0711e-06i,0.00094055+0.0013103i,0.0014821+0.0023371i,0.00093876+0.0020768i,0.00070584+0.00074174i,0.0004204+8.4491e-05i,0.00026584-0.00019728i,0.00078546-0.00024437i,0.00085505-0.00012237i,0.00046912-0.00031687i,0.00056512-0.000582i,0.0011654-0.00068069i,0.00032134-3.7494e-05i,-0.00056775+4.2909e-06i,-0.000737-0.00062541i,-0.00059198-0.0001516i
-0.0027117+0.00077527i,-0.0022147+0.0016282i,-0.0012067+0.0028856i,4.6009e-05+0.0025003i,0.0012222+0.00060379i,0.0010724-0.0012391i,1.6834e-05-0.0004274i,-0.00022158+0.00069158i,0.00017801+0.00081627i,0.00071939+0.00044746i,0.0015339+0.00032273i,0.0010764+0.0008142i,0.00013309+0.00060917i,0.00021766+0.00065329i,0.00058642-2.2203e-05i,0.00056391-0.0006674i,0.00021713-0.00088615i,-5.1803e-05-0.0011943i,-0.00037408-0.00087147i,-0.00042154-0.00022466i,0.00012707+0.00042154i,-0.00022751+0.00055391i,-0.00018757+0.00037809i
-0.00014016+0.0010308i,-0.00010171+0.00041429i,-0.00058137-0.00017284i,-0.00081017-0.0010522i,2.4719e-05-0.0017033i,-5.8782e-05-0.0020307i,-0.0010648-0.0011396i,-0.0012022+0.00063691i,0.00017878+0.0019211i,0.00092409+0.0015014i,0.00023374+0.00079952i,0.00051688+0.00057664i,0.00057244+0.00038981i,0.00010158+0.00014864i,9.2471e-05-0.00026042i,0.00032493-0.0004655i,0.00066827-0.000661i,0.00040287-0.00073995i,-0.00046214-0.00046709i,-0.0011222+0.00010568i,-0.00086957+0.00041311i,2.7814e-05-0.00025531i,0.00094416+0.00020767i
0.0025169+0.00049815i,0.0029071-0.00024427i,0.0043139-0.0016897i,0.0040654-0.0028143i,0.0017859-0.004548i,0.00017703-0.0051991i,-0.00061111-0.002366i,-0.00038635+0.0012347i,0.0015259+0.0021807i,0.0026707+0.0012288i,0.0011074+0.00067805i,-0.00078795+0.00064867i,-0.0010522+0.00093797i,-0.00036604+0.0014063i,-0.00014946+0.0010691i,-6.0592e-06+0.0010241i,0.00047792+0.00053496i,0.00076871-0.00026328i,0.00014698-0.0011136i,-0.00080286-0.0010755i,-0.00055383-0.0002037i,0.00018029+0.00031411i,0.0003274+0.00019393i
0.00071693-0.0016137i,-3.0932e-05-0.0014535i,-0.00084082-0.0014121i,-0.0013322-0.0024127i,-0.0014491-0.0037462i,-0.0012059-0.00459i,-0.0013411-0.0034084i,-0.0008908-0.00076209i,-0.00014718+0.0010128i,0.00010995+0.0012531i,0.00040868+0.0014483i,0.00010638+0.0012423i,-0.00086636+0.0015178i,-0.0011491+0.0019346i,-0.00028637+0.00036285i,0.00065598-6.5208e-05i,0.00040022+0.0009828i,0.00014298+0.00068015i,3.7122e-05-0.000976i,-0.00020766-0.00093037i,7.3558e-05+0.00060537i,-3.3271e-05+0.00054078i,-0.00035772-0.00027912i
0.00010313-0.0011668i,-0.00038503-0.0016571i,-0.00088277-0.0023067i,0.00015031-0.0027545i,0.0011733-0.0032226i,0.00090832-0.0029641i,-0.00023258-0.0013268i,-0.00067246+0.00061364i,-4.8529e-05+0.0019505i,0.00070684+0.0014942i,0.00064636+0.00056216i,0.00037309+0.00024719i,0.00042372-0.00029286i,0.00015552-0.00061598i,-0.00013329-0.00071169i,-7.3277e-05-0.00053827i,0.0010868+5.7784e-05i,0.0016437-0.00020154i,0.0009778-0.00050387i,0.00019856-3.891e-05i,-0.00020168+0.0007469i,-9.3188e-05+0.0009451i,-0.00036315+0.00065043i
-0.00052856-0.0017594i,-0.001582-0.0012197i,-0.0022387-0.0015756i,-0.0027851-0.0011018i,-0.0031977-0.00082405i,-0.0015206-0.0010499i,0.00025435-0.00040487i,0.00036648+0.0012664i,0.00074441+0.0018049i,0.00078924+0.0011669i,1.8809e-05+0.00083865i,0.00041334-4.6534e-05i,0.0012031-0.00042574i,0.00085854-0.00057238i,0.0006833-0.00054702i,0.001162-2.5866e-05i,0.00096652-9.9774e-05i,0.00076858-0.0011052i,-0.00011489-0.0010685i,-0.00050121-0.00013686i,0.00030693+7.6736e-05i,0.00058341-0.00039262i,-0.00035363-0.00012696i
0.00064569-0.0011886i,0.00047302-0.00010944i,0.0015854-0.00058141i,0.0020777-0.0017609i,0.001604-0.0025482i,0.0015902-0.002611i,0.00134-0.0014447i,0.00082176+0.00040142i,0.0009483+0.00078589i,0.0011811+0.00052006i,0.00060923+0.00043363i,-0.00021668+0.00037526i,-0.00054514+0.00113i,-0.00017839+0.0015222i,0.00040803+0.0008542i,0.0014536+0.00033044i,0.0011555-0.00040638i,-0.00017705-0.001046i,-0.00017193-0.00082367i,-6.7327e-05-9.7113e-05i,-0.00039712+0.0004819i,-0.00011475+0.00034084i,0.00025402+0.00021772i
-0.0010392-0.0011904i,-0.0015529-0.00036353i,-0.0021081+0.00052446i,-0.003236+0.00015275i,-0.0024857-0.0015353i,-0.00067375-0.0024813i,-0.00074738-0.0016035i,-0.001386+0.0002608i,0.00012136+0.0017623i,0.0014382+0.0010548i,0.00088111-3.5263e-06i,-1.8315e-05-0.00058092i,0.00035927-0.00063291i,0.00066622-8.0267e-05i,0.00071338-4.9406e-05i,0.00053154-0.00025905i,0.00012298-0.00043781i,0.00090437-0.00080613i,0.00076819-0.00031786i,-0.00013742+8.8545e-05i,-3.8157e-08-0.00011365i,0.000227-6.4205e-05i,0.00010763-5.6594e-05i
-0.0010196-1.3561e-05i,-0.00036678-0.00013497i,0.00013258+0.00098703i,0.0008962+0.00066792i,0.0017191-0.001064i,0.0010362-0.0018807i,-0.0005042-0.0013348i,-0.00057612+0.00067505i,0.00023936+0.0022359i,0.0007694+0.0012722i,0.0013439+0.00030236i,0.0015256+0.00088914i,0.00082061+0.0015233i,-0.0002049+0.0016801i,3.6926e-05+0.00089659i,0.00057264+0.00010805i,0.00089265+9.5256e-06i,0.00073238-0.00036947i,0.00049571+0.00019141i,0.00037017+0.00067272i,0.00017338+0.0004375i,-0.00055008+0.00039588i,-0.00073874+6.5732e-05i
-0.0005806+0.0026237i,0.00078064+0.0025876i,0.0016371+0.0020155i,0.0021038+0.00029402i,0.0028099-0.0015029i,0.0026614-0.0019941i,0.00032944-0.00065731i,-0.00034774+0.00081613i,0.0010436+0.001998i,0.0018599+0.0023908i,0.0015895+0.0020374i,0.0013607+0.0011827i,0.000546+7.9855e-05i,0.00023944-0.00054336i,0.00021832-0.00064343i,0.00036405-0.00053024i,0.00031546-0.0001553i,-0.00028237-0.00014149i,-0.00017091-0.00058081i,0.00015994-0.00044595i,0.00079451+0.00025282i,0.00099223+0.00023213i,0.00095097-2.1095e-05i
0.00056882+0.00016413i,0.001192-0.00043398i,0.001393-0.00058964i,0.0016962-0.0011429i,0.0020239-0.0027144i,0.0013758-0.0029859i,0.00031446-0.0011359i,-0.00022475+9.354e-06i,0.00043554+0.0005829i,0.00097146+0.00051466i,0.00027929+0.00011595i,-0.0004237-0.00018837i,-0.00057843-0.0004746i,-0.00034417+0.00014598i,-0.00085087+0.0007667i,-0.00062966-0.0002944i,0.00062915-0.00111i,0.00081404-0.00094574i,-0.0004186-0.0005751i,-0.0013464+0.00032414i,-0.00098541+0.00068771i,-0.00024219+0.00017285i,0.00041713-0.00050879i
0.00082263-0.0010962i,0.00036068-0.0010046i,0.00026741-0.0011026i,-0.0005669-0.0021643i,0.00017252-0.0037241i,0.0017669-0.003729i,0.00026904-0.0011024i,-0.0016748+0.0015292i,-0.00032541+0.0016513i,0.000973+0.00092309i,0.00062613+7.8891e-05i,0.000314-0.00027761i,-0.00032814+0.00053092i,-7.7066e-05+0.00080647i,0.00074783+0.0003004i,0.00095106-4.5608e-05i,0.0008526+8.4331e-05i,0.00051091+3.7334e-05i,-0.00022808+7.1306e-08i,-0.00045985+9.9274e-05i,-0.00040101-0.00044593i,-0.0002641-0.00088068i,0.00019596-0.00019211i
0.0023587+0.00054004i,0.0010459+0.00065522i,0.00067543+0.0008471i,0.0016268-7.1339e-05i,0.0012831-0.0016999i,-0.00026378-0.0024242i,-0.00061115-0.0015181i,-3.1891e-05+0.00054601i,0.00093489+0.001521i,0.0019292+0.00032709i,0.0014604-0.00055403i,0.0003788+0.00015335i,0.00095161+0.0007914i,0.0012058+0.00093735i,0.0011683+0.0010482i,0.0019243+0.0006499i,0.0020245-0.00014075i,0.0010309-0.0004181i,4.1538e-05-0.0011314i,-0.00011756-0.00078003i,-8.1093e-05+5.1862e-05i,-5.7548e-05-5.3155e-05i,-0.00020748+4.9057e-05i
0.0019614-0.00020905i,0.0010637-0.0006208i,0.00089435-0.00034467i,0.0010029-0.00094361i,9.976e-05-0.0024596i,-0.00084924-0.0031667i,-0.001147-0.0024195i,-0.0015586-0.00066212i,-0.0014062+0.00072147i,-0.00056145+0.0010202i,0.0001657+0.00098513i,0.00078311+0.0007746i,0.00026802+0.00018962i,-0.0003522-0.00034527i,-0.00021862-0.00055855i,-0.0002066+0.00020216i,-2.5004e-05+0.00090497i,0.00036136+0.00090694i,-0.00026983+0.00032353i,-0.00053962+6.7745e-05i,-0.00027653+0.00040331i,-3.1784e-05+0.00055838i,-7.9319e-05-0.00025992i
0.003075-0.0013672i,0.0013525-0.0022615i,0.00066048-0.0033248i,9.5768e-05-0.0037178i,-0.00096205-0.0040282i,-0.0021717-0.0027562i,-0.0024599+0.00011186i,-0.0017099+0.0014082i,0.00010752+0.00082941i,0.001166+0.00044604i,0.00068993-0.00028224i,-1.1392e-05-0.00028744i,-0.00052707+0.00059661i,-0.00049664+0.0011182i,0.0005203+0.0013358i,0.0012479+0.00083931i,0.0014789+0.00024963i,0.0011628-0.0004021i,0.00029593-0.00038522i,4.7234e-07+0.00020798i,-1.991e-05+7.8669e-05i,-0.00062217-0.0003669i,-0.00067583-0.0006366i
-0.0026772-0.0021021i,-0.0030185-0.0012371i,-0.0026689+7.0494e-05i,-0.0019052-0.00011385i,-0.00062858-0.001479i,0.00022917-0.0023467i,-0.00016174-0.0014305i,-0.0008091+0.00031679i,-0.00033128+0.0011061i,0.00066391+0.0012688i,0.00098535+0.00088184i,0.0013049+0.00034432i,0.0012401+2.7849e-05i,0.00083512-0.00061696i,0.00048247-0.00068746i,0.0012389-0.00025441i,0.0017604+0.00034424i,0.00027901+0.00080378i,-0.0009232+0.00014602i,-0.00055434-0.00014645i,-0.00043186+0.00024457i,-0.00072028-2.8427e-05i,-0.00032962-0.00022995i
-0.00084398+0.0013556i,0.00022831+0.0021595i,0.0016418+0.0020522i,0.0019056+0.00058194i,0.0010277-0.0017349i,0.00087937-0.0022902i,6.8361e-05-0.00026337i,-0.00037954+0.00088448i,0.00057709+0.00081684i,0.0014259+6.8795e-05i,0.0013649-0.00029662i,0.00077104+0.00011507i,0.00028689+0.00072779i,-0.00022676+0.00072691i,-0.00018681+0.00045178i,-1.3894e-05+0.00081997i,0.0004487+0.00011758i,0.00097019-0.00094087i,0.00065321-0.00037483i,0.00053207+0.00011864i,0.00054281+0.00041119i,-0.00025049-3.4781e-05i,-0.00071825-0.00066189i
0.0001826-0.00027571i,0.0001832-0.00081793i,0.00033151-0.00070553i,0.00086156-0.0015407i,0.0015633-0.0023303i,0.00084794-0.0027652i,6.9927e-07-0.0016327i,-9.102e-05+0.0011354i,0.00012965+0.0021185i,0.00074927+0.00068717i,0.00075398+0.00030497i,1.411e-05+0.00085772i,-0.00044289+0.00015647i,7.0512e-05-0.0003024i,0.00025569-0.00054603i,0.00036726-0.0008995i,0.0007813-0.0013685i,0.00082207-0.0011139i,0.00055818-0.00021934i,-0.00020682+0.00029316i,-0.0012002-9.2305e-05i,-0.0012196-0.00029692i,0.00010074+0.00019385i
0.00010021-0.00043534i,-0.00025526-0.00059115i,-0.00026829-0.00099462i,-0.00033366-0.0017642i,0.00027829-0.0033113i,0.00055368-0.0026761i,-0.00054206-0.0015353i,-0.0012709+0.00017143i,-0.00039672+0.001842i,0.00057735+0.0014941i,0.0011726-5.0927e-05i,0.0014295-0.00051237i,0.00077748+4.3543e-05i,0.00055638+0.00026868i,0.00024749+0.00041609i,-0.00014206-0.00015395i,0.00044509-0.00068901i,0.00062338-0.00017381i,-0.00071718-6.7775e-05i,-0.0013416-0.00024962i,-0.00038693+0.00034048i,0.00033262+0.00099571i,0.00080078+0.00041254i
-0.00015399-0.00049045i,-0.0004876-0.00043618i,-0.00028624-0.00069019i,-0.00034654-0.0017596i,0.00022255-0.0018894i,0.00024364-0.0017455i,-0.0005862-0.0010603i,-0.00060725+0.00041143i,0.00031865+0.0014387i,0.0009084+0.00068244i,0.00046265-0.00027659i,-0.0001507+0.00052035i,0.00065677+0.0010843i,0.0013588+0.0012411i,0.0014292+0.00084715i,0.001731+0.00047868i,0.0018461+0.00010602i,0.00069862-0.00055838i,-0.00041764-0.00046219i,-0.00098612+0.00044494i,-0.00093167+0.0006547i,-0.0002338+0.00035258i,0.00025029+0.00013484i
0.0006305-0.00084999i,0.00019943-0.0001611i,-0.0011218+0.0001902i,-0.00053929+0.00055434i,0.00026568+0.00016141i,0.0012835-0.0012767i,0.0013548-0.00097961i,0.00063357+0.00069878i,0.0010415+0.002103i,0.0010799+0.0018568i,0.00067489+0.0013644i,0.0010074+0.0015977i,0.00047034+0.0012486i,0.00017086+0.00095595i,0.00075614+0.00095567i,0.00094579+0.00072701i,0.00035627+0.00028497i,-0.00020214+0.00015436i,-0.00048792+1.4569e-05i,-0.00037908-8.8811e-05i,-0.0001759-0.00021549i,0.00015851-1.1651e-05i,-2.9838e-06+2.7568e-05i
0.0010867+0.00013795i,0.0008933+0.00036795i,0.0015775+0.00028472i,0.0026866-4.2995e-05i,0.0037132-0.0013865i,0.003577-0.0026095i,0.001274-0.0023885i,0.00041199-9.0517e-06i,0.00088765+0.0025346i,0.00069457+0.0022127i,0.00010193+0.0014004i,-0.00016472+0.00075023i,-0.00012175+0.00058616i,-0.00018928+0.00022151i,-0.0003453+8.8958e-05i,-0.0003223+0.00057593i,0.00017628+0.0011604i,-8.9658e-05+0.0013238i,-0.00040901+0.00075186i,-0.0008893+0.0004266i,-0.00097386+0.0001332i,-0.00035313+0.00018436i,-0.00031591+0.00019173i
-0.00025591+0.0010151i,2.1859e-05+0.00052815i,-0.00029964-0.00019159i,0.00040822-0.00092287i,0.0010276-0.0023839i,0.0010632-0.0033556i,-0.0003417-0.0021685i,-0.0022251-0.00022864i,-0.0014253+0.00042857i,0.00022801+0.00030935i,8.9364e-05+0.00042134i,-8.8689e-05+0.00024001i,0.00051617+8.8354e-05i,0.00042014+0.00019152i,1.4394e-05+0.00012887i,0.00010233+3.1735e-05i,0.00049919+0.00018962i,0.00067041+0.0004004i,0.0005806-0.00017409i,0.00030809-0.00038883i,0.00019081+0.00056379i,0.00060675+0.0011237i,0.00088214+0.00067861i
7.7365e-05+0.0011576i,-0.00040699+0.0011809i,0.0012048+0.0013763i,0.00278+0.00090848i,0.0029872-0.0011392i,0.0025084-0.0022898i,0.0011515-0.001063i,0.00045426+0.0013736i,0.00042704+0.0025761i,0.00054231+0.0019591i,0.0011948+0.00095807i,0.0013514+0.00085786i,0.00015374+0.0013966i,-0.00048417+0.001395i,-0.00047783+0.00037808i,-0.00010159-1.5376e-07i,0.00086509+0.0001337i,0.0013816-0.00032006i,0.00097865-0.0003341i,-0.00019578+8.2824e-05i,-0.00049244-0.00051936i,-0.00014558-0.0003751i,-2.5604e-05+0.0001146i
-0.0012326+0.0021207i,-0.00055524+0.0023331i,0.00041571+0.0025831i,0.00012468+0.0011071i,-0.00010658-0.0023898i,-0.00033483-0.0042855i,-0.0010367-0.0027083i,-0.00042379+0.00032534i,0.0009023+0.0014254i,0.00079969+0.00080261i,7.6444e-05+0.00087309i,-0.00030987+0.00062075i,-6.5286e-05-5.5512e-05i,0.00019764+0.00013581i,0.00018204+0.00037337i,-6.6115e-05+0.00026113i,-0.00011895-0.00015631i,-0.0005562-0.00057832i,-0.0012063-0.00040864i,-0.00079196-0.00031381i,-0.00031958+0.00014322i,-0.00058945+0.00078377i,-0.00093905+0.00085637i
0.001249-0.00087356i,0.00090721-0.00076314i,0.00044882-0.00073677i,-0.00063158-0.0017696i,-0.0012964-0.0029323i,-0.0011211-0.0028823i,-0.00062405-0.0018829i,-0.00059664-0.00063929i,-1.0607e-05+8.311e-05i,0.0010991+0.00052691i,0.0010068+0.00048875i,0.00083028-0.00030794i,0.0013901-0.00037606i,0.0014377+0.00036204i,0.0013921+0.00049528i,0.0014708+0.00036293i,0.0011219-0.00024047i,7.7569e-05-0.00027062i,-0.00018877-0.00043481i,0.00035774-0.00058513i,2.1106e-05+0.00018957i,-0.00019865+0.0010631i,-1.8781e-05+0.00064766i
0.00068979+0.00028196i,0.00013994-0.00043944i,-0.00014225-0.0010974i,0.00026461-0.0014552i,0.0010254-0.0024686i,0.0014438-0.0037247i,0.001238-0.0022167i,0.00019037+0.00045254i,4.7227e-05+0.0010917i,0.0011169+0.00021631i,0.0015531-2.8618e-05i,0.00061885+0.00036382i,0.00039283+0.00042703i,0.00053568-2.9317e-05i,0.00040308-0.00059836i,0.00039892-0.00025738i,0.00035225+0.00017886i,0.00074994+1.0266e-05i,0.00089664-0.00059035i,0.00050706-0.001264i,0.00030537-0.00036077i,-4.0114e-05+0.0011062i,-1.7132e-05+0.00084289i
-0.00074412-0.0012208i,-0.0010838-0.001235i,-0.0010786-0.00050717i,-0.00017339-0.00021427i,0.0004699-0.00087207i,8.7164e-05-0.0016885i,-0.00027677-0.0010746i,-0.000192+0.00081543i,-0.00041649+0.0019854i,-0.00023434+0.001265i,0.00086441+0.00036043i,0.00037401-0.00038251i,4.3395e-05-0.0011483i,0.00084948-0.0005979i,0.00093348+3.7977e-05i,0.00085935-0.00046254i,0.00061989-0.00072032i,0.0001572-0.00052222i,-0.0001468-0.00049572i,-0.00017165-0.00042354i,5.9254e-05+0.00016926i,8.6582e-05+0.0012477i,3.9933e-05+0.00091574i
0.00074523-0.0002613i,-0.00033506-0.00029673i,-0.00038129-0.0014972i,0.00025089-0.0020931i,0.00067261-0.0020809i,-3.0347e-05-0.0019057i,-0.00099465-0.0003161i,-0.0010389+0.0015901i,2.5476e-05+0.0022713i,0.00099801+0.0014444i,0.0011283+0.00069183i,0.00076752+0.00067244i,0.00038366+0.00069496i,0.00014763+0.00029573i,-0.00041667-0.00034472i,-0.00016902-0.00043017i,0.00041192+0.00011589i,-3.876e-05-2.1016e-05i,-0.00095663-0.00072667i,-0.00068109-0.00061894i,-2.7812e-06+0.00053661i,0.00047296+0.00035834i,0.00011217-0.00046235i
