-0.0002571+0.00061091i,1.9826e-06-0.00092973i,-0.0019132-0.0010991i,-0.0026388+0.00052813i,-0.0015166+0.0017528i,2.2343e-06+0.0014579i,0.0011631+0.0014396i,0.0018343+0.0012741i,0.0022805+0.00019251i,0.0017707-5.1568e-05i,8.5927e-05-0.00016442i,-0.00050736-0.0001255i,-0.00023512-0.00012933i,0.00040726-0.0010712i,0.00055889-0.0010658i,-0.00016409-0.00033653i,-0.00014793-0.0001144i,0.00013402+6.2498e-05i,-5.0331e-05-0.00024809i,-0.00034354-0.00067137i,-0.00039289+0.0002153i,-0.00069081+0.00086836i,-0.00074677+0.00030198i
0.0034568+0.0032807i,0.003229+0.0012277i,0.0026486-0.0010069i,0.0015278-0.00053819i,0.0013612+0.0004681i,0.0015847+0.00015336i,0.001332-0.00027959i,0.0014058-0.00094376i,0.001261-0.0010074i,0.00065031-0.00069478i,-0.0001491-0.00055714i,-0.00027993-0.00082796i,-0.0001314-0.00092485i,-0.00051882-0.00059243i,-0.00082164-0.00025421i,-0.00014632+6.6495e-06i,-0.00030018+0.00036776i,-0.00088664+0.00054118i,-0.00082359+0.00039075i,0.00041431+0.00012223i,0.0005561+0.00062689i,-9.4399e-05+0.00096128i,-0.00015668+0.00063597i
0.0038562+0.00047141i,0.0043489+0.00052904i,0.0022754+0.00072031i,-0.00063322+0.00072167i,-0.0014646+0.001096i,-0.00012591+0.00083489i,0.0011415+0.00016342i,0.0017032-0.00016841i,0.0015072-0.00062032i,0.00015417-0.00025198i,-0.00044676+6.1146e-06i,-0.00047866-0.00026258i,-0.0010282-0.00046141i,-0.0011993+0.0001187i,-0.00051256+0.00083198i,-0.00013229+0.0010198i,2.6436e-05+0.00099835i,0.00036419+0.00013526i,0.000272+0.0001888i,-0.00033226+0.00054159i,-0.0005666+1.8412e-06i,-0.00062493-0.00034039i,-0.00032595-0.00017721i
0.0043523-8.9858e-05i,0.0039967+0.00034965i,0.001568+0.0007825i,0.00092114+0.00045014i,0.00071971+0.00030972i,0.00035704+0.00037662i,0.00056458-3.6514e-06i,0.00075793-0.00064013i,0.00081749-0.00056479i,-0.00031833-0.00040221i,-0.0007177-0.00044235i,-0.00047701-0.00071418i,-0.0004838-0.00065092i,-0.00048587-0.00049374i,-0.0005592-0.00086793i,-0.0010276-0.00062275i,-0.0011715+0.00028173i,-0.00040996+0.00035566i,0.00028999+0.00023438i,0.00071807+0.00027654i,0.00085572+4.1587e-06i,0.00060176+4.1317e-05i,0.00013473-0.00078759i
0.0035613+0.0016904i,0.0015406+0.00038932i,-0.00040986-0.0003689i,-0.0011899-0.00027439i,-0.00075761-7.1141e-05i,0.00017677+0.00061542i,0.00139+0.00084231i,0.001937+0.00017313i,0.0011833-0.00063567i,0.00013365-0.00061626i,-0.00038464-0.00018977i,-0.00080687+0.00059473i,-0.00096254+0.00064352i,-0.00046247+0.00033049i,1.6612e-05+0.00052254i,-0.00030932+0.00048069i,-0.00039706+0.00056547i,0.0001981+0.00079062i,-0.00018741+0.00072002i,-0.00076278+0.00066509i,0.00067825-0.00015675i,0.0014638-0.0011399i,0.00079065-0.0013895i
0.001404+0.0021954i,0.0030901+0.0016239i,0.002453+0.0010951i,0.00095942+0.00055825i,0.0011433+0.00083276i,0.0010463+0.0008203i,0.00020789-0.00017814i,0.00011773-0.00097974i,-0.00019663-0.00058506i,-0.00057975-0.00042401i,-0.0003367-0.00086434i,-0.00087336-0.00048578i,-0.0013257-0.0006986i,-0.001463-0.0010531i,-0.00084134-0.00021084i,9.3057e-05+0.0006988i,0.00060954+0.0008635i,-5.4714e-05+0.00084188i,-0.00034701+0.00054605i,-0.00032392-0.00011426i,-0.00023454-0.00033438i,3.9134e-05-0.00013085i,0.00012101+0.00012791i
0.0055434-0.001794i,0.0050446-0.0015797i,0.0015922-3.7835e-05i,-0.00048269+0.00056262i,1.9672e-05+0.00070339i,0.0010981-0.00016036i,0.0017597-0.00054725i,0.0011668-0.00060293i,0.00038213-0.00098978i,0.00025878-0.00047887i,0.00010398-4.7789e-05i,0.00026678-7.3115e-05i,2.3042e-05-0.00031897i,-0.00067293-0.00083506i,-0.0010643-0.00069272i,-0.00037821-0.00021765i,0.00014765+0.00047241i,-0.00035969+0.00049651i,-0.00058008-2.1229e-05i,-0.00024809-0.00017054i,0.00011479-5.8377e-05i,1.8192e-05+0.00046424i,-0.0002424+0.00021275i
0.001293+0.005025i,0.00088083+0.0043932i,-0.00097257+0.0027683i,-0.0015986+0.0016239i,-0.0011724+0.0013661i,-0.0002566+0.00052725i,0.00025196-0.00046864i,0.00083042-0.0011554i,0.0018481-0.0013231i,0.0023061-0.0016164i,0.001601-0.0013816i,0.0005789-0.00080615i,-0.00057044-0.00080708i,-0.00063446-0.00046845i,-0.00051837+4.3388e-05i,-0.00046803+2.5359e-05i,-0.00047486-0.00050409i,-0.00056987-0.00056166i,-0.00051944-0.00015882i,-0.00053769-0.00026762i,-0.00011341-0.00085511i,7.231e-05-0.00061841i,-0.00016122+0.00066866i
-0.0027763-0.0025088i,-0.0026619-0.0013743i,-0.0022467+2.4358e-05i,-0.0021668+0.00086853i,-0.0016613+0.0016437i,0.0003568+0.0012273i,0.0012077+0.001215i,0.0014235+0.0011199i,0.0012087+8.6154e-06i,0.00038091-0.0005329i,0.0001814-0.00083761i,0.00055847-0.0010298i,0.00083958-0.00029508i,0.00036892+0.00032334i,0.00012887+3.4179e-05i,-3.1963e-05+0.00020515i,-0.00019707+0.00043412i,0.00026759-5.8889e-05i,0.00068312-0.00034379i,0.00012748-0.00032818i,-0.00052948-0.00052309i,-0.00048556-0.00055668i,9.6974e-05-0.00021067i
0.0050202-0.00017033i,0.0033198-0.00067175i,-0.00038002-0.0002578i,-0.0013296+0.00064038i,-0.0001414+0.00020976i,0.00092884-5.2544e-05i,0.0014188+3.342e-05i,0.0010847+0.00031928i,0.00039288+0.00011064i,0.00076944-0.00028953i,0.00021844-0.00014941i,-0.00060247+0.00064285i,-0.0001223+0.0005179i,-3.1827e-05-0.00063012i,-0.00083114-0.00089117i,-0.00064231-0.00023616i,-0.00013469+0.00046664i,-0.00060327+0.0007344i,-0.00054969-0.00010326i,-7.9673e-05-0.00027271i,-0.00074067+0.00028905i,-0.0015181+0.00034144i,-0.0005628+0.00064294i
0.003047+0.0046361i,0.0024382+0.0031909i,0.00070092+0.00085733i,-0.00087601-0.00048181i,-0.00076865-0.00070994i,0.00010719-0.00062274i,0.00069178-8.9591e-05i,0.00097127-0.00010417i,0.00039598-0.00077713i,0.00043661-0.0010748i,0.00050943-0.00054923i,-0.00027984+0.00053113i,-0.0008768+0.00027823i,-0.0010195-0.00035692i,-0.00083559-3.3133e-05i,-0.00088718-2.8858e-05i,-0.00094048-0.00028124i,-0.0012219-0.00032548i,-0.0015453-0.0003412i,-0.00062238-6.257e-05i,-0.00017333+0.00053191i,-0.00040783+0.00021248i,-0.00044968-0.00095034i
-0.0015527-0.00042604i,-0.001292-0.00047981i,-0.0012452-0.00023367i,-0.00014316+0.00031235i,0.00098916+0.0012821i,0.0020236+0.0015379i,0.0023246+0.0003583i,0.001189-0.0010382i,0.00042721-0.0015885i,0.00077844-0.0013493i,0.0004704-0.00060885i,0.00038218+0.00026973i,0.00089545+6.4671e-05i,0.00068412-0.001265i,0.00023014-0.0012431i,-0.00022534+0.00032798i,-0.00067567+0.00087586i,-0.00034821-9.9841e-05i,-6.9642e-05-0.0010875i,0.00080478-0.00077055i,0.00027838+0.00037162i,-0.00065694-0.00017418i,1.7195e-05-0.00047022i
0.0017177-0.00043562i,0.00098264-0.0016588i,-0.0010418-0.00095512i,-0.0016091+0.0018211i,0.0002697+0.003035i,0.0021365+0.0017722i,0.0020238+8.0745e-05i,0.0010651-0.00028012i,0.00097296-0.00037766i,0.0015658-0.00086755i,0.0010508-0.0008295i,0.00043564-0.0010192i,0.00024567-0.0015108i,0.00067298-0.0006071i,0.00034502-0.0001811i,-0.00063906-0.00032698i,-0.001258+0.00010935i,-0.00087231+7.8399e-05i,2.5986e-05-0.00035953i,0.00015741-0.00069562i,-0.00028485-0.00054769i,-0.00059476-0.0001617i,-0.00010455+0.00011033i
0.0013048+0.0046117i,0.0027899+0.0018555i,0.0017385+0.00022258i,-0.00019004+0.00055659i,-0.00019442+0.0009179i,-0.00023625+0.00067786i,-5.5265e-05+4.7162e-05i,0.000432-0.00025379i,0.00097367-0.00042383i,0.0011153-0.00035788i,0.00033799-0.00023455i,-0.00044346-0.00044306i,-0.0014152-0.0013472i,-0.0013126-0.0017483i,-0.00079277-0.00063401i,-0.0010085-1.534e-05i,-0.00074691-0.00068121i,-0.00048819-0.00075036i,-0.00011482-0.00070604i,-6.2197e-05-0.00041523i,0.00026522+0.00085468i,0.00052683+0.00072746i,0.0002931-0.00029145i
0.0024528-0.00040525i,0.003727-0.0011319i,0.0033578-0.0015242i,0.00061927-0.0015077i,-0.0012326-0.0007574i,-0.00073546+0.00024557i,0.0007259+0.00013072i,0.0015452-0.00026554i,0.0013282-0.00041282i,0.0006708-0.00030567i,0.00043544-0.00033756i,0.00013809-0.00035585i,-0.00051983-4.0246e-05i,-0.0015558+0.00035966i,-0.002176+0.00019017i,-0.0013215+3.8204e-06i,-0.00043714-0.00039661i,-0.00075892-0.00067398i,-0.00048364-5.4315e-06i,0.0001258+0.00060855i,0.00032286+0.00063377i,0.00056065+0.00051499i,0.00094342+0.00022392i
0.0040048+0.00018325i,0.0041149+0.00017214i,0.0015462-0.0004609i,0.00030212-0.00034559i,0.0007805+0.00060091i,0.0019138+0.00080802i,0.0023383+0.00050019i,0.0014509-0.00017558i,0.00071226-0.00047391i,9.1877e-05-7.6887e-05i,-0.00016112-0.00017703i,1.6534e-05+0.00033117i,-0.00092611+0.0004802i,-0.00045922-0.00036472i,0.0012687-0.00057019i,0.0011032-0.0012244i,0.0002637-0.001172i,0.00023377+7.9003e-05i,0.00028212+0.00010834i,-0.00031711-0.000248i,-0.00028145+0.00043323i,1.0222e-06+0.0015714i,-0.0003272+0.00097668i
0.00095497+0.0024962i,0.0013332+0.00090948i,0.00011975-0.00039287i,-0.0010794+0.00038153i,-0.00063944+0.0012677i,0.00018357+0.0016441i,0.00010688+0.001473i,3.0762e-05+3.499e-05i,0.001254-0.0010232i,0.0015951-0.00073413i,0.00036729-0.00065275i,-0.0005562-5.5977e-06i,-0.00037068+0.00025683i,-0.00014672-0.00041621i,0.00014412-0.001014i,0.00014588-0.00093905i,0.00017421-0.00045055i,0.00099174-0.00030943i,0.0012885-0.0005961i,0.0002561-0.00013113i,-4.079e-05+0.00051521i,0.00021028+0.00079856i,0.00046958+0.00067973i
0.00055186-0.0011213i,0.0021463-0.0012391i,0.0022767-0.0001931i,0.00066082+0.0014153i,-0.00042245+0.0021693i,0.00049355+0.0019681i,0.0015825+0.0004904i,0.0016637-8.9716e-05i,0.0010521+0.00035897i,0.00019817+0.00035995i,-0.00035999-0.00054885i,-0.00036253-0.00046908i,-0.00042283-0.00021355i,-0.00059013-0.00077491i,-0.000916+0.00014499i,-0.00094697+0.00050928i,-0.0004519+0.00037093i,-0.00011916+5.4324e-05i,-0.00016432+0.00067254i,-0.00010738+0.0015508i,-0.00067802+0.00059614i,-0.0013239-0.00014828i,-0.00086508-0.0002983i
0.0038767+0.0021739i,0.0038014+0.0012163i,0.0012062+0.0011221i,-0.00047713+0.0016311i,-0.00047582+0.0016682i,0.00035337+0.0010027i,0.0010819+0.000381i,0.00053746+3.9115e-05i,0.00031694+5.5047e-05i,0.000906-0.00014948i,0.00051796-0.00040765i,-9.8736e-05-0.00026703i,-7.0303e-05-0.00038639i,-7.2502e-05-0.00054452i,-0.00026525-0.00027088i,-0.00052974-2.3802e-05i,-0.00049224+0.00039736i,0.00021579+0.0005385i,0.00019708+3.2606e-05i,-0.00055616-0.00054428i,-0.00097673+0.00016857i,-0.00030125+0.00038626i,0.00032509+0.00020682i
0.00032803+0.0026717i,0.0011726+0.0024211i,0.00013235+0.0018741i,-0.0023206+0.0011328i,-0.0022344+0.00086219i,-0.00021442+0.00082335i,0.0013321+0.00069452i,0.0013579-2.777e-05i,0.00097999-0.00049312i,0.00089992-0.00054332i,0.00093307-0.00066807i,0.00060515-0.0010819i,-0.00034276-0.0013993i,-0.0010785-0.00016224i,-0.00093785+0.00090043i,-0.00056849+0.00019435i,-0.00017399-0.00038096i,-3.8039e-05+0.00023701i,-9.8321e-05+0.00062195i,0.00035633+0.00030851i,0.00060785+0.00035653i,0.00010063+3.7009e-05i,-0.00012903-0.00033325i
0.0027751-0.0019507i,0.0015637-0.0021301i,-0.00063465-0.00098494i,-0.0010381-0.00041908i,-0.0004276-0.0007065i,7.0696e-05-0.00055278i,0.0010406+0.00013914i,0.0013931+0.0003946i,0.00061328+0.00054327i,0.00015032+0.00017514i,0.00058796-0.00077546i,-2.3642e-05-0.00053686i,-0.00084814-0.00022023i,-0.00032428-0.00013292i,-3.2141e-05+0.0003697i,0.00010407+0.00056212i,0.00057497+0.00038723i,0.00081477+0.00034984i,0.00052484+0.00018996i,-8.683e-05+0.00028476i,-0.00058182+0.00031796i,-0.00046197-0.0002122i,-0.00068156-0.00022374i
0.0052887+0.0017665i,0.0046454+0.0006205i,0.0011813-0.00026893i,-0.00086054-0.00048249i,0.00037768-0.00027961i,0.0015321-0.00075683i,0.0022645-0.00081247i,0.0015112-0.00029328i,0.00073352+1.3594e-05i,0.00055942-0.0002549i,-9.4032e-05-0.00079035i,-0.00066655-0.00057696i,-0.00049198-0.0004281i,-0.000395-8.6711e-05i,-0.00049919+7.6342e-05i,0.00031798-0.00043827i,0.00019665-0.00079433i,-3.0387e-05-0.00071365i,0.00031106-0.00028656i,-1.0012e-05+0.00028639i,-0.00083981+0.00013148i,-0.00042691-0.0010967i,0.00022865-0.0010688i
0.00036799+0.0030963i,0.0011282+0.0019873i,0.0010546-0.00011153i,-0.00010807-0.00081735i,-0.0010023+5.8543e-05i,-0.00049732+0.00019802i,0.00051309-8.5404e-05i,0.0012692+0.00046773i,0.00072039+0.00055457i,0.00010963-0.00015827i,-0.00021892-0.00024811i,-0.00096992-8.3336e-05i,-0.00068887-0.00040909i,-0.00035006+0.00025465i,-0.0010534+0.00061335i,-0.0013352-0.00038398i,5.1971e-05-0.00033392i,0.00062132-0.00039882i,0.00015578-0.00078337i,-0.00022562-0.00015899i,-0.00069111+2.6578e-05i,-6.0491e-06-0.00050621i,0.00047103-0.00043169i
0.0036201-0.0016368i,0.0039084-0.0020484i,0.0013883-0.0015394i,-0.00091768-0.00022199i,-0.00060349+0.00076792i,0.00089631+0.0006053i,0.0021899+0.00055633i,0.0026247+0.0002781i,0.0021681-0.00076461i,0.00086681-0.0011916i,-0.0005514-0.00083941i,-0.0011431-0.00067455i,-0.00071656-7.0073e-05i,-0.00026399+0.00024591i,0.00014137-0.00028736i,4.147e-05-0.00050314i,-0.00078326-0.00033797i,-0.00034862-2.9724e-05i,0.0006481-7.5913e-05i,-0.00018825-0.00076976i,-0.0011729-0.0010811i,-0.00032634-0.00076507i,-3.8187e-05-1.5503e-05i
0.0034922+0.0035517i,0.004289+0.0025529i,0.0029786+0.0009978i,0.001982+0.0007735i,0.0019247+0.00034305i,0.0017629-0.00046721i,0.00067941-0.00045235i,-4.9203e-05-0.00015379i,0.00014617-0.0001366i,0.00035973-0.00075926i,2.0124e-05-0.0012036i,-0.0010732-0.0014215i,-0.0014769-0.0010106i,-0.00083062-0.00096081i,-0.00022059-0.00090595i,-2.0606e-05-6.4147e-05i,-0.00018621+0.00088927i,0.00010907+0.0011417i,0.00087712+0.0006416i,0.00090619+0.00079762i,0.00030695+0.00040537i,1.0136e-05+0.00012352i,-0.00061628+0.00055821i
-0.0010216-0.00029005i,-0.0018074-0.00084276i,-0.0023225-0.0013474i,-0.0020331-0.00059074i,-0.0013629+0.00067582i,-4.034e-05+0.00085087i,0.00084628+0.00045027i,0.0002918-0.00023453i,-0.0004449-0.00097965i,-0.0001038-0.0010777i,1.2053e-05-0.00098737i,1.8998e-05-0.0011529i,0.00034425-0.00032827i,0.00054105+0.00075777i,0.00079367+0.00065591i,0.00041264+0.00039442i,-0.00015029+0.00030701i,0.00012912+0.0001169i,0.00044895+0.00041573i,4.6391e-05+0.000246i,-4.7714e-05+0.00021838i,-6.2628e-05+0.00054674i,-0.00012073+0.0007992i
0.0048744-0.0019239i,0.0049079-0.0024251i,0.001553-0.002674i,-0.0012514-0.0020355i,-0.0010669-0.0014173i,0.00023524-0.00092346i,0.0016736-0.00051428i,0.0017785-0.00033083i,0.0014655-0.00026403i,0.0017064+0.00033921i,0.00074002+0.00042612i,-0.00038748+0.00084747i,1.8701e-05+0.00087596i,0.00069834+0.00032781i,0.00037421+1.1829e-05i,0.00027961+9.9746e-05i,0.00031589+0.00077909i,0.00067901+0.0010258i,0.00089982+0.0013459i,0.00031549+0.0011171i,-0.00037445+3.4277e-05i,-0.00050359-0.00075171i,-0.00031066-0.00097381i
0.0031602+0.0021354i,0.0012532+0.0031253i,-0.00018007+0.001817i,-0.00059428+0.00020015i,0.00042951+1.6827e-05i,0.001482+0.00038409i,0.0017853+0.00062351i,0.001745-3.2114e-05i,0.0010954-0.00063533i,-0.00050101-0.00047392i,-0.00082375+6.4237e-05i,-0.00075377+0.00057387i,-0.0011798+0.00047511i,-0.0012692+1.0447e-05i,-0.00099841+7.1947e-07i,-0.00021146-3.1152e-05i,0.00011018-0.00059224i,0.00031347-0.00084746i,0.00037641+1.6151e-06i,1.5941e-05+9.9922e-05i,1.3456e-05-0.00088706i,0.00012768-0.00090352i,-0.00011598-0.00085338i
-0.00019288-0.0015624i,0.0006224-0.00079626i,0.00020901-0.0012488i,-0.0010634-0.0013097i,-0.00051303+6.7374e-05i,0.00077705+0.0010747i,0.0013278+0.00035259i,0.0014703-0.00072582i,0.0011974-0.00061104i,0.00086859-0.00028544i,0.00059822-8.9466e-05i,1.1428e-05-0.00039623i,-0.00075482-0.00069854i,-0.00077507-0.00010231i,-5.3308e-05+0.00035907i,0.00028417+0.00054474i,0.00036793+0.0011374i,0.00078872+0.0006881i,0.00042712+0.00023839i,-0.00064596+0.00067342i,-0.00067599+0.00074688i,-0.00025999+0.00045334i,0.00054312+0.0002098i
0.0044037-0.00050244i,0.0023423-0.00087299i,-0.00018375-0.00097555i,-0.0011642-0.00042581i,-0.00044355-0.00025048i,0.0008454+2.9936e-05i,0.0018645+0.00026647i,0.001602+5.873e-05i,0.00078889-0.00091442i,0.00053291-0.00058401i,0.00013123+0.00051399i,-0.00060567+0.000611i,-0.00074647-7.177e-06i,-3.0957e-05-0.0012403i,0.00019265-0.0016052i,-0.00081389-0.00056047i,-0.00071382+0.00067541i,0.00011984+0.00099213i,0.00038535+0.00052237i,-0.00030712-7.5462e-05i,-0.00022667-0.0010347i,-6.3649e-05-0.0010855i,-0.0004344-0.00064461i
-0.00074611+0.002674i,0.00094108+0.0020753i,0.00053084+0.0016544i,-0.00080058+0.0016188i,0.00044539+0.00219i,0.0019468+0.0011321i,0.0016172-0.0010523i,0.0010947-0.001927i,0.00043558-0.0014902i,-0.00070548+1.7636e-05i,-0.00075695+0.00029254i,-0.00020238+5.3943e-06i,0.001162-0.00019099i,0.0021375-5.7598e-05i,0.0016402+0.0003845i,0.00056093+6.1592e-05i,-0.00011245-0.00063028i,0.00026757-0.00072795i,0.00041852-0.00065856i,-0.00040406-0.00052106i,-0.0011826-0.00036802i,-0.00036863-0.00042011i,0.00065347+0.00031506i
0.0016998-0.0010719i,0.00051616-0.00060808i,-0.00032591+0.00010267i,-0.0012932+8.6713e-05i,-0.0011635+0.00022128i,-0.00022655+0.00053086i,0.00081802-0.0004739i,0.0014769-0.0010783i,0.00084192-0.00042128i,0.00020587-0.00046968i,-0.00036884-0.0010123i,-0.00044663-0.00044941i,-0.0007836-5.1567e-05i,-0.0014843-0.00059599i,-0.00088064-0.00049255i,-0.00036552-0.00011874i,-6.1841e-05-0.00012718i,-9.9076e-05+0.00018081i,-0.00056152+0.00012575i,-0.00042-0.0001963i,-0.00014427+2.0598e-05i,0.00011435+0.00028187i,0.00029393+0.00010298i
0.0055486+0.0062904i,0.0049549+0.0039172i,0.003302+0.0017078i,0.0017356+0.00020385i,0.00084517-0.00085474i,-7.4481e-05-0.0015759i,0.00027194-0.0010711i,0.00047611+0.00025273i,0.00042995+0.0002516i,0.00036375-0.00064883i,-0.00010159-0.00029411i,-0.00050691-0.00063785i,-0.00063586-0.0010661i,-0.00099335-0.00099142i,-0.00074834-0.0010597i,3.7273e-05-0.00062709i,-3.3731e-05+0.00012986i,-0.00040911-0.00013388i,-0.00045036-0.0003286i,-0.0010106-7.5968e-05i,-0.00077089-0.00045817i,-0.00027447-0.00096018i,0.00028659-0.00029671i
-0.0035388+0.0013125i,-0.0015454+0.00034349i,5.7249e-05+0.00075741i,0.00058833+0.0011005i,0.00042724+0.00084561i,0.0012978+4.7838e-05i,0.0018918-0.00099398i,0.00082333-0.0010162i,7.7906e-06-0.00017567i,7.8164e-05-2.1368e-05i,-2.9825e-05-0.00020255i,-4.2507e-05-0.00062451i,-9.2138e-05-0.00097469i,-0.00062483-0.0010217i,-0.0014203-0.00086424i,-0.00098323-0.00028916i,1.1124e-06+0.00056092i,0.000619+0.00094272i,0.00064714+0.00081979i,0.00060264+0.00064014i,0.00036829+0.0002415i,-0.00022524-0.00041579i,-7.5695e-05-0.00052596i
0.0040133-0.00017674i,0.0030625-0.00042581i,0.0011003-7.3626e-05i,-1.9612e-05+0.0012785i,-0.00023694+0.001341i,-0.00015541+0.00030146i,-8.9466e-05+2.5474e-05i,-3.4775e-06-0.00023701i,-0.00012273-0.0011311i,0.00021828-0.00079727i,0.00030895-0.00051281i,0.00021739-0.0016774i,0.00040209-0.0018926i,0.00032102-0.0011968i,6.5887e-05-0.00064229i,-0.00053256-0.00034464i,-0.00067437+6.7681e-05i,-0.00060209+3.2819e-05i,-3.6022e-05+3.8117e-05i,0.00072855+0.00067123i,0.00062717+0.00060802i,0.00053621+0.00088001i,0.00079737+0.0014264i
0.0015659+0.0049357i,0.0019542+0.0043022i,0.001241+0.0025636i,0.0006086+0.0013506i,0.00065832+0.00044703i,0.0011882+0.00031892i,0.0013498+0.0011373i,0.00065089+0.001375i,0.00015806+0.0011665i,-0.00031706-0.00019736i,-0.00093795-0.0011661i,-0.00060258-0.00084571i,-0.00034806-3.2147e-05i,-0.00069831+0.00094901i,-0.0010126+0.00069742i,-0.0010478+0.00050983i,-0.00050189+0.00090295i,7.8565e-05+0.00029639i,-0.00030793-0.00012978i,-0.00058692+0.00055072i,-5.7115e-05+0.00069497i,-6.6428e-05+0.00063088i,-0.00054773+0.00034481i
-0.00078785-0.0015289i,0.00010144-0.0017668i,-0.0015343-0.001048i,-0.0026078-0.00047346i,-0.0014137+0.00070777i,-0.00034878+0.00091448i,0.000949+0.00051663i,0.0023681+6.6098e-05i,0.0019244-0.00013493i,0.00049391-0.00041644i,0.00010203-0.00096821i,0.00038895-0.0010019i,0.000546-0.00088306i,0.00041636-0.0010915i,0.00015894-0.001908i,7.4805e-05-0.0016638i,-0.00023913-0.00064018i,-0.00026905-0.00021612i,-9.9761e-07+1.2063e-05i,-0.00041609+0.00022727i,-0.0002452+0.00057854i,-0.00033859-0.00034961i,-0.00021379-0.0012046i
0.0032261+0.00024512i,0.0012629+0.00040248i,-0.0010627-0.00054226i,-0.00052682-0.00089095i,0.0010912-0.00058595i,0.00097424-0.00061792i,0.00066716-0.00053761i,0.00037623-0.00016337i,0.00030932+7.4674e-05i,0.00021066-0.00020843i,0.0005455-0.00027669i,0.0010015-0.0008171i,0.0011255-0.00091314i,0.00071008-0.00090766i,0.000407-0.00064766i,0.00013063+0.00022332i,3.6526e-05-7.5707e-05i,0.00032202-0.00050447i,5.1592e-06+1.8936e-05i,-0.00030101+0.0004288i,-0.00020739-0.00029842i,-0.00022731-0.0010651i,-0.00045305-0.00060827i
-0.001802+0.0045401i,-0.00021832+0.0036291i,-0.00074711+0.0036598i,-0.00052136+0.0034968i,0.00095126+0.0027111i,0.0027426+0.0010908i,0.0026081+0.00016622i,0.0011125-0.00026758i,0.00042675+5.7542e-05i,0.00030752+0.00068318i,0.00099635-0.00037708i,0.0011695-0.0015944i,0.00021178-0.0021123i,-0.00015495-0.0023264i,0.00020441-0.002777i,9.155e-05-0.0025224i,-4.0699e-05-0.00079623i,-0.00018855+0.00064465i,-0.0012631+0.00097409i,-0.0014346+0.00037382i,-0.0007723+0.00036001i,-0.00057333+0.00048781i,-0.000817-0.00017381i
0.0011951-0.00025917i,-0.00017884-0.0004237i,-0.0016399-0.00020567i,-0.002381+0.00050867i,-0.0014693+0.0009664i,-0.00034212-0.00040634i,0.00073935-0.0015199i,0.0014089-0.0013229i,0.0010716-0.00097344i,0.00088271-0.00053441i,0.00028008-0.00063807i,2.6314e-05-0.0011715i,0.00019518-0.00074036i,-0.00026945-0.00013928i,-0.00013372-0.000706i,0.000417-0.00088344i,0.00087453-0.00016603i,0.001218+0.00010034i,0.00075425-6.4737e-05i,0.00017998-0.00042268i,0.00043664-0.00028175i,0.00069943+0.00012597i,0.00059082+6.8868e-05i
0.0029063+0.0024333i,0.0016077+0.0011747i,-0.00051195+0.00016297i,-0.0012732-0.0004667i,0.00057309-0.00036319i,0.0028146-0.00078495i,0.0031183-0.0012115i,0.002075-0.00084201i,0.0010654-0.00028622i,0.00080586-0.00036548i,0.0004766-0.00089366i,-4.7278e-05-0.0013226i,-0.00022142-0.0014044i,-0.00080658-0.001352i,-0.0012609-0.00075367i,-0.0012232-0.00012861i,-0.0009112-0.00044833i,-0.00040774-5.7533e-05i,-0.00081398+0.00018434i,-0.0004468+0.0003693i,0.00018468+0.00066024i,-3.223e-05+0.00092436i,-0.0004371+0.00034368i
-0.0026846+0.0057485i,-0.0011273+0.0063614i,0.0014511+0.0075078i,0.0025014+0.0063268i,0.0032094+0.0038562i,0.0026993+0.00037459i,0.00063239-8.143e-05i,-1.3845e-05+0.00046088i,0.0007878+0.00069311i,0.0019233+0.0010075i,0.0023763-0.00035714i,0.0014788-0.0012912i,6.5145e-05-0.0019558i,-0.00034988-0.0035511i,-0.00087981-0.0043258i,-0.0010291-0.0031052i,-0.0004029-0.0017364i,-0.00059548-0.0013384i,-0.00056075-0.00089479i,-0.00023861+3.6814e-05i,-0.00044752+0.00082048i,-0.00030766+0.001293i,-3.1009e-05+0.00047708i
0.0063373-0.0030021i,0.0056635-0.0041555i,0.0015228-0.0060801i,-0.0020434-0.0040356i,-0.003838-0.0020964i,-0.0029908-0.00050697i,-0.00073486-0.0001562i,0.0011544-0.00027956i,0.0019151-0.00076221i,0.00015054-0.0012882i,-0.0020248-0.00024507i,-0.0018533+0.00024875i,-0.00074722+0.0008777i,0.00045758+0.0022983i,0.00034995+0.0034342i,-0.00040553+0.0023921i,-0.00014975+0.00033071i,0.0004558-0.00044953i,0.0010267+0.00042371i,0.00075203+0.00089335i,0.00018643+2.3288e-05i,-0.00021983-0.00037102i,0.00011557-0.00045212i
0.0037151+0.0022327i,0.0031+0.00077739i,0.00078977-0.0019073i,-0.0003347-0.0015755i,-0.00073842-0.00050288i,-0.0010454+0.00026617i,-1.6896e-05+0.0011401i,0.0011882+0.0013196i,0.0013816+0.0004382i,0.00071679-0.0011103i,0.00039967-0.0017101i,0.00043626-0.00098379i,-0.00051959-0.00034391i,-0.00093485-0.00027727i,-0.00054232+0.000417i,-0.00033824+1.732e-05i,-0.00048721-0.00014952i,-0.00045334+0.0001255i,0.00012096-0.00028481i,0.0001186+4.7943e-06i,5.2019e-05+0.00033103i,-0.00023164+0.00040542i,-0.00041944+0.00025651i
