-0.00015202+0.00051268i,0.0011526-0.0010508i,0.0021839-0.0021286i,0.0021993-0.0019763i,-0.00013155-0.0015671i,-0.0015417-0.00071185i,-0.0022038-0.00025083i,-0.0026715+1.4775e-05i,-0.0015681+0.00016088i,-0.00061215+5.4864e-05i,7.7671e-05-0.00068245i,0.00094527-0.00071414i,0.00094707-0.0007638i,0.00051365-0.0010268i,0.00033738-0.00068377i,0.00010784-0.0010731i,-0.00097663-0.0019333i,-0.00076313-0.0018475i,-2.0345e-05-0.00088809i,9.0104e-05+8.1779e-05i,5.7964e-05+0.00053981i,-0.00032168-5.3203e-05i,-0.00041464-0.00061453i
0.00054137+0.00097072i,-7.2806e-05+0.001013i,0.00050803+0.0017746i,0.0005841+0.0021085i,0.00015583+0.00090807i,-3.8849e-05-0.00011355i,-0.00010534-0.00083441i,-8.3383e-05-0.00092482i,-0.00047598-0.00012572i,-0.00045964-0.00033225i,-0.00022315-0.0015226i,-0.00023706-0.00094485i,2.1881e-06+0.00052116i,7.0374e-05+0.000734i,0.00020358+0.00060801i,0.0001406+0.00073958i,-0.00032705+0.00027154i,-0.00019688+8.0988e-05i,0.0001427+2.3358e-05i,7.947e-05-0.00028862i,-0.00080623+0.00021129i,-0.00086777+0.00060066i,-8.5664e-05+0.000323i
0.001855-0.00060063i,0.0031475-0.00099925i,0.0037799-0.0012118i,0.0025859-0.0018221i,0.00079598-0.0025988i,-0.00035493-0.0023178i,-0.00061049-0.0019284i,-5.1397e-05-0.0015279i,0.0001345-0.00069336i,-0.00018363-0.00089023i,0.00022065-0.00068846i,0.00040757+7.15e-05i,0.00096053+0.00086069i,0.00075998+0.0011208i,0.00038977+0.00052243i,0.00023552-0.00010777i,-8.7006e-05-0.00025665i,-0.00064145+0.00055744i,-0.00078721+0.0011401i,-0.00019502+0.00082619i,6.4546e-05-0.00023301i,4.0251e-05-0.00050192i,-0.00034444-0.00011832i
0.0012578+0.00095184i,0.00084161+0.00093583i,0.0017038+9.2401e-05i,0.0019261-0.0010922i,0.00079038-0.0015858i,-0.00034889-0.00039668i,-0.001154-2.5321e-06i,-0.0011763+0.00023209i,-0.0013048+0.00061196i,-0.0017526+0.00086096i,-0.0013667+0.00042591i,-8.9004e-06+3.337e-05i,0.00067085+0.00028386i,0.0010752+0.00024498i,0.0012093+1.0529e-05i,0.00178+0.00021133i,0.0014849+0.0011058i,0.00060638+0.0011458i,0.00020503+0.0005802i,-0.00069528-2.2099e-05i,-0.00051472-0.00076584i,-0.00036804-0.00058023i,-0.00061384-0.00045129i
0.00072368+0.0012746i,0.0019331+0.0010009i,0.0034877+0.00066613i,0.004395-6.0618e-05i,0.0026529-7.3792e-05i,-2.9849e-05-0.0001666i,-0.0016674-0.00074303i,-0.0025451-0.0007331i,-0.0016855+0.00021289i,-0.00016009+0.000416i,0.00084534+0.00051723i,0.00089706+0.00067172i,0.00044791-0.00020598i,1.3712e-05-0.00095201i,0.00043732-0.00042265i,0.0010144+0.00028452i,0.00083873+0.00066929i,0.0011847+0.0003095i,0.00080433-0.00069566i,6.5243e-05-0.00092591i,-0.00051773-9.074e-06i,-0.00075202+0.00050394i,-0.00016585-1.2748e-05i
0.00028082+0.0004886i,0.0016663+0.00042097i,0.0019831+0.000347i,0.0019595-0.00073061i,0.0019911-0.0024132i,0.00049953-0.0030889i,-0.00056581-0.002218i,-0.00030875-7.7318e-05i,-0.00045104+0.0016976i,-0.00019441+0.00154i,0.00070362+0.00086674i,0.00076857+0.00070649i,0.00042602+0.00041243i,-4.2394e-06-0.0011976i,0.00092235-0.0017853i,0.0014528-0.00077287i,0.00043246-0.00023306i,-0.0004298-0.00022227i,-0.0001359-0.00043987i,-0.0001061-0.0003022i,-0.00061618-0.00026399i,-0.000358-0.00062045i,0.00023833-0.00031847i
0.00023673-0.00090812i,0.001152-0.00027641i,0.00053443+0.00054157i,0.00072697+0.00079184i,0.0006456+0.00021258i,-0.00011425+0.00014853i,-0.00033359+0.00058271i,-5.7693e-05+0.00099743i,0.00018708+0.00088396i,-0.00017113+0.00058692i,-0.00023151+0.00072808i,0.00035244+0.00082675i,0.00042533+0.00070196i,0.00047529+0.00042303i,0.00030393-0.00058562i,0.00028032-0.0006579i,0.00030013-2.0095e-06i,7.2835e-05-0.00033518i,-0.00029281-0.00023747i,-0.00035007+0.00077584i,-0.00044414+0.0010119i,-0.00027042-1.4723e-06i,0.00055473-0.0010084i
-0.00018534-0.00011814i,0.0017853+0.00069136i,0.0032271+0.0018357i,0.0025594+0.001808i,0.00069437+0.00093187i,-0.00017245-2.1407e-05i,-0.00062512-0.0011652i,-0.00061698-0.0014817i,-3.7261e-05+0.00019408i,9.1134e-05+0.00098107i,-0.00027334+0.00016565i,-0.00077049-0.00025831i,-0.00027831+0.00051456i,0.00046781+0.00059263i,0.00027739+0.00045317i,-0.00017607+0.00055315i,-7.4799e-05+0.00087638i,-0.0001532+0.00094181i,0.00018452+0.00054462i,0.0001501+0.00044901i,-0.00078568+0.00031746i,-0.00078566+0.00013385i,-0.00069295+0.0001584i
-0.00047579+0.001085i,0.00062366+0.00056174i,0.0021001+0.0010769i,0.00377+0.00054626i,0.0032715-0.00090848i,0.0010953-0.0017682i,-0.00057701-0.0020674i,-0.0013837-0.0010863i,-0.0015-8.2763e-05i,-0.00057782+0.00013826i,0.00054817+0.00038174i,0.00091464+0.00023058i,0.0014503+0.00074672i,0.001456+0.0011386i,0.00030968+0.0011233i,-0.00029632+0.0010196i,0.00031613+0.00056618i,0.00085019+0.00077189i,0.00079505+0.0011511i,0.00052232+0.00079872i,-8.4708e-05-0.00021167i,-0.00075409-0.00027477i,-0.00057843+0.0001657i
0.0013277+0.00097742i,0.0022811+0.0013026i,0.0036774+0.001117i,0.0036294+0.00082825i,0.0016842+0.00012502i,0.00041047-0.00011424i,-0.00079406+0.00037898i,-0.0016744+0.00075589i,-0.00082194+0.0016579i,0.0001317+0.0018756i,0.00047088+0.0012707i,0.00089378+0.00070331i,0.0010994+0.00019168i,0.00099677-0.00029461i,0.0011229-0.0009967i,0.0014902-0.00090063i,0.0014754+0.00019192i,0.00071497+0.00050242i,0.00021728-9.7466e-05i,0.00039168-1.44e-06i,-0.00035236+0.00057637i,-0.00018438+0.00065928i,0.00063759+0.00086865i
-0.00067835-0.00043877i,-0.00048876-0.0011465i,-0.0004862-0.00067908i,0.00025604-0.00012213i,0.00043219-0.00014998i,5.9322e-05-0.00011149i,-0.001711-1.0155e-05i,-0.0033406+0.0014171i,-0.0021207+0.0024186i,-0.0002569+0.0020473i,0.001119+0.0014083i,0.0016596+0.00015208i,0.001514-0.00062366i,0.0012382-0.0017088i,0.0015147-0.002211i,0.001811-0.001847i,0.00069586-0.001831i,-1.3055e-05-0.0016917i,-0.000257-0.0011839i,-0.00069268-0.00042659i,-0.00015788-0.00070204i,0.00059256-0.0008456i,0.00024595-0.00052964i
0.0019566+0.0017702i,0.0035275+0.0013194i,0.0047532+5.4056e-05i,0.0033882-0.001833i,0.001681-0.0045644i,0.00045873-0.00451i,0.0012685-0.0037377i,0.0018969-0.0046073i,0.00050496-0.0056926i,-0.00080791-0.0056022i,-0.0015654-0.004081i,-0.001817-0.0020308i,-0.0021273+0.00036017i,-0.0024863+0.0016559i,-0.0014943+0.00074196i,0.00021142-0.00034502i,0.00046515-0.00026833i,0.00014967-0.00035481i,-0.00048048-0.0005493i,-0.0012221-0.000464i,-0.0012388-0.00054981i,-0.0011003-3.1279e-05i,-0.00075516+0.00098073i
0.00097972-0.00014826i,0.0015181-0.001628i,0.0021105-0.0016513i,0.0022022-0.00098909i,0.0013503-0.0011051i,0.00047319-0.00093007i,0.00035259-0.00058512i,0.00010391-0.00047271i,-0.00018649-0.00083378i,-0.00054462-0.0015201i,-0.00045049-0.001391i,-0.00040221-0.00070924i,-0.00054702-9.9791e-05i,6.6442e-05+0.00062523i,0.00019092+0.00099423i,5.2424e-06+0.00057491i,2.2069e-05-1.2951e-05i,-0.00031945+0.000718i,-0.00091923+0.0018685i,-0.00039877+0.0015107i,0.00056516+0.00057147i,0.00035564+0.0001504i,-0.0005586+0.00016441i
-3.4786e-05-2.8191e-05i,0.00042416+0.0011676i,0.0018159+0.0017765i,0.0021854+0.0013886i,0.0011873+0.00082939i,0.00014038+5.8307e-06i,-0.00066498-0.0013346i,-0.00035746-0.0026918i,-0.00060864-0.002947i,-0.0013875-0.002079i,-0.00093268-0.0018506i,-0.00029119-0.0011952i,8.2657e-05+0.00076331i,0.00079309+0.0023977i,0.0013878+0.0018037i,0.0018303+3.4141e-05i,0.0017153+8.5279e-05i,0.00072761+0.00090274i,0.00020345+0.00021283i,6.6586e-05-0.00023525i,-0.00020868-9.53e-05i,-0.00028904+0.00013632i,0.00032179+0.00048852i
0.00065317+0.00048437i,0.0016195-0.00038336i,0.0035338-0.0014999i,0.0047948-0.0031997i,0.0040892-0.0043223i,0.0011239-0.0036438i,-0.00065857-0.0022186i,-0.00063326-0.00101i,-0.0012851-0.0002375i,-0.0010722-0.0006313i,2.9791e-05-0.00079941i,0.00060331-0.00070075i,0.00065524-0.0012245i,0.0012829-0.00085863i,0.001677+1.0182e-05i,0.0016889+0.00052516i,0.0020215+0.0011288i,0.0017991+0.00090257i,0.0010261+0.00023799i,0.00042171-9.6721e-05i,3.383e-05+0.00013432i,-0.00057455+0.00043578i,-0.00087963+0.00047366i
-0.0016889+0.0018274i,-0.00051993+0.00087404i,0.0017638+0.0012898i,0.0019825+0.0012323i,0.0014479+7.9134e-05i,0.00068857-0.00050877i,-0.00083344-0.0009939i,-0.0019889-0.00051457i,-0.0019116+0.00043236i,-0.00073984+0.0010267i,5.513e-06+0.00091019i,-0.00032838-2.8984e-05i,-0.00018049-0.00074542i,0.00022264-0.00049807i,0.00049447-0.0004238i,0.00068272-0.0011254i,0.00074906-0.00054561i,0.00026944+8.5181e-05i,0.00032961-0.0012405i,0.00013964-0.0017158i,-0.00036997-0.00024067i,0.00054492+0.00091635i,0.00080398+0.00046784i
0.00053732-0.00089267i,0.0013475-4.8772e-05i,0.0017258+0.00023117i,0.0015615-0.0013231i,0.00079984-0.0033853i,0.00063112-0.0030352i,0.0010283-0.00097664i,0.00047238+0.00030587i,0.00047915+0.00085325i,0.001701+0.00057648i,0.0018875-0.00011025i,0.00075224-0.00032341i,-0.000145+0.000294i,-0.00016559+0.00043973i,0.00018805-0.00035815i,0.00031193-0.00071748i,0.00036193-0.00065988i,0.00027345-0.00061222i,-0.00032776-0.00044725i,-0.00098581+0.00029054i,-0.00088851+0.00065575i,-0.00041619-0.0002367i,-7.2827e-05-0.00050404i
-0.00032488-0.00044819i,0.00053517+0.00042317i,0.0012718+0.0019121i,0.0014076+0.0021471i,0.00042824+0.00095357i,-0.00040913-5.0884e-06i,0.00012532-0.00025985i,0.00069941-0.00026523i,0.0010393-0.00070424i,0.0013487-0.0010939i,0.0015655-0.00085341i,0.0010983+0.00018744i,0.00011608+0.0006077i,0.00038671+0.00033482i,0.00063479+0.00023003i,0.00045005-0.00067652i,0.00027135-0.0012751i,-0.00011146-0.00027335i,-4.4853e-05+0.00097563i,-0.00040143+0.00089382i,-0.00091523+0.00014773i,-0.00098183-0.00039133i,-0.00091357-0.00014718i
0.0010051+0.00055825i,0.0022916+0.0009521i,0.0040456+0.0006567i,0.0041078+9.5054e-05i,0.0026045-0.0012528i,0.00091894-0.0020204i,0.00031925-0.0009287i,-0.00013953-0.00092281i,-0.0002701-0.0017095i,-0.00039771-0.0011215i,-0.00082749-0.00059857i,-0.00068573-0.0001701i,-0.00030492+0.00076269i,0.00023149+0.0014876i,0.00058421+0.0016774i,0.00090311+0.0012862i,0.00090255+0.00056142i,0.00080592+0.00052214i,0.00058295+0.00049528i,-0.00028158+0.00031811i,-0.00059051+0.00080625i,-0.0008978+0.00074277i,-0.0012536+0.00073859i
-0.0012367+4.0858e-05i,0.0007059-0.00017333i,0.0039479-0.00012336i,0.0051658-6.3909e-06i,0.004385+0.00037939i,0.0023591-0.00078406i,0.00072829-0.0024928i,-8.705e-05-0.0026256i,-0.00087064-0.0016818i,-0.0011242-0.00034779i,-0.00057413-0.00013042i,-0.0001064-0.00054165i,0.00029374-0.0002701i,0.0013644-6.1731e-05i,0.0018372-0.00035732i,0.0015237-0.0003571i,0.0014343-5.2268e-05i,0.0010861+1.065e-05i,0.00088439+0.00085937i,0.00081514+0.00095712i,0.00030733-0.00016092i,0.00076329-0.00024412i,0.00136+0.00022064i
-0.0017794+0.0014733i,-0.00061226+0.00082716i,0.0015136+0.00011258i,0.0021215-0.001321i,0.0020892-0.0023747i,0.0011416-0.0019169i,-0.00068451-0.0011017i,-0.002411+0.00012801i,-0.0026749+0.0013408i,-0.0024751+0.0011428i,-0.0020819+0.00015565i,-0.00097429+0.00019485i,0.00059697+0.00054941i,0.001145-0.00022994i,0.0012424-0.0004099i,0.0010355+0.00034305i,0.00015124+2.022e-05i,-2.6219e-05-0.00039785i,0.00034605-0.00055247i,0.0001911-0.00050268i,-0.00015115+7.5507e-06i,-0.00030377+0.00027002i,-0.00032706+0.00072295i
-0.00074811-0.0005973i,-0.00067148-0.00059085i,0.00032+2.6702e-06i,0.0012761-0.00025603i,0.0013393-0.00073174i,4.7418e-05-0.00079698i,-0.001165-0.00079468i,-0.0016188-0.00025846i,-0.0013395+0.00085824i,-0.00079574+0.0018026i,-0.00089311+0.0010507i,-0.001051+0.00016161i,-0.00073455+0.00055504i,-5.4538e-05+0.00056382i,-0.0001626-2.8881e-05i,-0.00011805+0.000141i,0.00011942+0.00019143i,-0.0001518+9.3066e-06i,-0.00099096+0.0001181i,-0.00092397+0.00073931i,0.00042602+0.0015377i,-0.00033661+0.0010555i,-0.0012848+8.1953e-05i
-6.5436e-05+0.0016279i,0.00098723+0.0011559i,0.0016189+0.00042061i,0.0017989-0.00026671i,0.0012705-0.0007403i,0.00027462-0.00071539i,0.00050832-0.00010102i,0.00097896+0.00061678i,0.0012411+0.00069366i,0.0014231+0.00042756i,0.00080312+8.3219e-05i,0.00081199+0.00019762i,0.00049774+0.00041238i,0.0002696+0.00067882i,0.00026311+0.00070411i,-0.00037915+0.00057089i,-0.00020703+0.00081919i,0.0002458+0.0008248i,0.00016496+0.00020822i,0.00019171+0.00028441i,-0.00016072+0.00066546i,-0.00037404+0.00065918i,-0.00077262+0.00035439i
0.00098976+0.0015164i,0.0016542+0.0019884i,0.0032386+0.0027376i,0.0043245+0.0027271i,0.0032493+0.0026591i,0.0012129+0.0012358i,0.00089974-0.00073691i,0.0010827-0.0011911i,0.00079947-0.0012923i,0.00084094-0.00071187i,0.0010638+6.2905e-05i,0.0013839+0.00016657i,0.0013416+0.00049573i,0.00022104+0.0011155i,-7.8528e-05+0.001027i,0.0011158-8.7007e-05i,0.0015947-0.00048162i,0.001451-0.00046677i,0.0010837+0.00036606i,0.00054802+0.0010972i,0.00012972+0.00028681i,2.1728e-05-0.0002829i,0.00033255-0.0001521i
0.00049491-0.0020703i,0.0012619-0.0018026i,0.0021915-0.0022228i,0.002071-0.0018807i,0.00097477-0.0021287i,0.00012996-0.0022497i,0.00011468-0.0019954i,-9.8369e-05-0.0022191i,-0.00072412-0.0015714i,-0.00068291-0.00078124i,-0.00023764-0.00065459i,-0.00024217-0.00097382i,0.00046759-0.0010701i,0.0010192+2.0323e-05i,0.0010682+0.00085629i,0.0017961+0.00018077i,0.0016008-0.00026501i,0.00063967-9.3604e-05i,0.00030186-0.00030303i,0.00017068-0.00016796i,-0.00024245+0.00087381i,-0.00032363+0.0010469i,-0.00015833+0.00023792i
0.00057992+0.00022448i,0.002126-0.00038211i,0.0040553-0.00065856i,0.005241-0.001609i,0.0044638-0.0024816i,0.0017083-0.0018402i,-0.00095805-0.0017256i,-0.0023935-0.0022884i,-0.002817-0.0013169i,-0.0016491-0.00047925i,-0.00096334-0.00043304i,-0.0010674+0.00011765i,-0.00011928+1.9699e-05i,0.00022274-0.0010904i,0.00043251-0.00096934i,0.00085435+6.1067e-05i,0.00048497+0.00027909i,0.00084719+2.9008e-05i,0.0011063-0.00010058i,0.00037228-0.00082887i,-0.00072834-0.00068118i,-0.0011322+0.00038677i,-0.00036124+0.0001188i
-0.00036223+0.00087175i,-5.6622e-05+0.0004208i,-0.00080589-0.00025422i,-0.0012467-0.0017024i,-0.0013054-0.0016721i,-0.0020686-0.0011515i,-0.0024191-0.0011842i,-0.0025849+0.00011578i,-0.0033974+0.00079154i,-0.0025578+0.00071598i,-0.0015369+0.00070569i,-0.00095834+0.00024166i,-0.00028077-0.00042157i,0.00020747-0.0005759i,0.00031716-0.00081843i,0.00040475-0.00083249i,0.00048474-0.00016793i,-0.00024516-7.5544e-05i,-0.00046643+0.00034686i,-0.00020878+0.00083575i,-0.00019699-0.00017556i,-0.00025717-0.00078756i,-0.00053972-3.9443e-05i
0.00091504-0.0012269i,0.0014911-0.00059064i,0.0014265+0.0014669i,-0.00041302+0.0007607i,-0.00081027-0.0017095i,-0.00082301-0.0010091i,-0.0012128+0.00097206i,-0.00047489+0.0014393i,0.00013304+0.0013719i,-0.00031624+0.0013961i,-0.00085186+0.0010662i,-0.00078368+0.00096316i,-0.00054736+0.001362i,-0.00030351+0.00085709i,0.00034365-0.00046103i,0.00064249-0.0004555i,0.00054878+0.00042289i,0.00078469+0.00057663i,0.00042747+0.00075529i,-0.00058261+0.0013323i,-0.001034+7.0673e-05i,-0.00055361-0.0013767i,-0.00028243-0.0010905i
-0.001122-0.0011287i,0.00033351+0.00036316i,0.0020574+0.0022832i,0.0011885+0.0028147i,-0.0012396+0.0022199i,-0.00085593+0.0015103i,0.00087594+0.00018928i,0.0011245-0.00066416i,0.0010882-0.00067658i,0.0012647-0.00065547i,0.0012079+0.00046727i,0.00065581+0.0011708i,0.00053749+0.0010848i,0.00056046+0.0011975i,0.00037845+0.00093483i,0.00089174+0.00041988i,0.0011262+2.5311e-05i,0.0010834+0.00022155i,0.00091318+0.0004641i,0.00036285+0.00036127i,-0.00031343+0.00022053i,-0.00056894+0.00028568i,-0.00062437+0.00040252i
0.00083373-0.0014363i,0.0024595-0.0021859i,0.0043687-0.0016318i,0.0056727-0.00046851i,0.0045365-3.2569e-05i,0.0024834-0.00033735i,0.0020946-0.00057139i,0.0023388-0.0011917i,0.0017032-0.0016811i,0.00046624-0.0016807i,-0.00013463-0.0010308i,0.00055928-9.9574e-05i,0.0014338+0.00075392i,0.0013737+0.0010734i,0.0013318+0.00047193i,0.0013649-6.5556e-05i,0.00046849-0.00026237i,0.00086303-0.00035808i,0.0011318-0.00028357i,0.00087112-0.0002286i,-0.00020013-0.0003108i,-0.0011712+0.00024296i,-0.00040735+0.00050369i
-0.001087+0.00012988i,-0.00026425-1.0646e-05i,0.0012917+0.0010193i,0.0029694+0.00098498i,0.003319+0.0006019i,0.0020206-0.00028778i,0.00036623-0.0015334i,-0.0011328-0.002302i,-0.0023485-0.002139i,-0.0019617-0.0012859i,-0.00059154-0.0009045i,0.00071775-0.0013357i,0.0011479-0.0011874i,0.00070259-0.00072905i,0.00076257-0.00056868i,0.0011621-0.00048424i,0.0012546-0.00058233i,0.0011334-0.00052045i,0.00096196-0.00044625i,0.00033287-0.00014784i,-0.00011192+0.00045547i,-0.00028084+0.00094629i,-0.00039822+0.00026695i
0.0013424-0.00033015i,0.00026674-0.00089162i,0.00030678-0.0030668i,0.0012799-0.0054748i,0.0014639-0.0056344i,0.00098969-0.0037067i,-0.00061394-0.0020569i,-0.002298-0.0011374i,-0.0027466-0.00073666i,-0.0022031-0.00068942i,-0.0018925-0.0011316i,-0.0013656-0.0014881i,-7.5637e-05-0.0014686i,0.0010122-0.0014161i,0.00093552-0.00085665i,0.00097923-0.00040226i,0.00090011+0.0003396i,0.00031462+0.001009i,4.4583e-05+0.0010611i,0.00028834+0.00061563i,4.6692e-05+0.00020342i,-0.00056724-0.00027096i,-2.1425e-05-0.00043693i
0.0002325-0.0015289i,-0.00012517-0.0011251i,-0.00091726-0.00022158i,-0.0014603-0.00029808i,-0.0012571-0.00048792i,-0.0012702+9.4735e-05i,-0.0019243+0.00031669i,-0.0020639+0.000823i,-0.0017779+0.0016572i,-0.0012107+0.0018164i,-3.0778e-05+0.0016517i,0.00018719+0.00080369i,0.00010377+0.00012759i,0.00068199-0.00019945i,0.00070222+0.00013154i,0.00083243+0.0012687i,0.00083613+0.00092501i,3.8214e-05-0.00032479i,-0.00084214-2.9242e-05i,-0.0010839+0.00066519i,-0.0012067+0.00075543i,-0.0010409+0.0008917i,-0.00041244+0.00083879i
-0.00040312+0.00025099i,0.00099464+0.00078607i,0.0019259+0.0022275i,0.0016494+0.0029337i,0.0010221+0.0010042i,9.3306e-05+4.5596e-05i,0.00016628+0.00016463i,0.00054309+8.6058e-05i,-0.00027057-1.8582e-05i,-0.00034154-7.07e-06i,0.00051982+0.00026215i,0.00071115+0.00062175i,0.0004117+0.00080982i,0.00047622+0.00055943i,0.00067724+2.957e-05i,0.0012064+0.00023686i,0.0015564+0.00085115i,0.00046569+0.0011161i,-6.0353e-05+0.0006585i,0.00039984-0.00054876i,0.00049339-0.0011089i,0.00027977-0.001431i,-0.00021242-0.0011981i
0.0011364-0.00038649i,0.0021691-0.00035589i,0.0031105+0.0010172i,0.0030226+0.0034702i,0.0014927+0.0032849i,0.00035671+0.0005611i,0.00053585-0.0005342i,0.0005048-0.00082647i,0.00016962-0.0017512i,0.00028979-0.0016634i,0.0005979-0.0011588i,0.0011269-0.00069442i,0.0013991+0.00010154i,0.0014286-0.00035243i,0.0014813-0.00080163i,0.001784-0.0005768i,0.0013852-0.00067143i,0.00064125-0.00044402i,0.00034287-0.00020168i,0.00088794+0.00043235i,0.0018969+0.00081101i,0.0015599+0.00049553i,-8.4371e-05+0.00047817i
-0.00094112+0.00037892i,0.0010787+0.00034239i,0.0041501-0.00048483i,0.00653-0.0010662i,0.0053441-0.00042365i,0.0032822-0.0010386i,0.0017918-0.0023101i,0.00075641-0.001925i,0.00024246-0.0010014i,-0.00055175+0.00052093i,-0.00041554+0.0012502i,-0.00018288+0.0011468i,-0.00014678+0.0011511i,0.00022873+0.00066437i,0.00029528-0.00036304i,6.7586e-05-0.00065353i,-0.00010948-5.7308e-05i,5.6253e-05-0.00017592i,0.00054093-0.00046104i,0.00022603+2.3071e-05i,-0.00036414+0.0008557i,7.633e-06+0.00054618i,-1.1182e-05+0.0003823i
-0.00076295+0.00056408i,0.00011611+1.0614e-05i,0.0011835-0.0019299i,0.0026302-0.003733i,0.0032819-0.0031927i,0.001902-0.0021962i,-0.00029925-0.0020447i,-0.002025-0.0018142i,-0.0023751-0.00067857i,-0.0016249+0.00084215i,-0.00025801+0.00087015i,0.00094405-9.0441e-05i,0.00099557-3.0703e-05i,0.00063859-7.5021e-05i,0.00083152-3.3733e-05i,0.00065226+0.00027251i,0.00022273+0.0003814i,7.2136e-05+0.00036225i,-0.00059879-0.00013404i,-0.00081218-0.00068846i,-0.00044678-0.00021438i,-0.00039653-0.00064643i,-3.7229e-05-0.0014711i
-0.00044397-0.00039626i,-0.0018735-4.264e-05i,-0.0016714-0.00070439i,-0.00096907-0.0020047i,-0.00053237-0.0030456i,-0.00041709-0.0028717i,-0.0016014-0.0013802i,-0.0022786-0.00045411i,-0.001635+5.6406e-05i,-0.00048674+0.0008226i,0.00053897+0.00058338i,0.00014962+0.00017029i,-2.2404e-05-0.00016723i,0.00070191-0.00028549i,0.0012482+0.0003397i,0.0018367+0.0005013i,0.0010745+0.00029999i,0.00010357-6.3745e-05i,0.00012203+0.00023262i,-0.00036317+0.00087257i,-0.00078625+0.0007545i,-0.00071772+0.00028922i,-0.0004892+0.00040543i
-0.00022363+0.00023332i,-0.00030796+0.0026077i,-0.001019+0.0049787i,-0.001416+0.0039433i,-0.0010844+0.00097175i,-0.00035548-0.00051873i,-0.00078081-1.96e-06i,-0.0009321+0.0011695i,-0.00019762+0.0021787i,0.00078657+0.00095822i,0.00066273-0.00070544i,-0.00053003-0.00087015i,0.00034406-0.0002659i,0.0019113-8.3049e-05i,0.0020497-0.0004337i,0.0020894-0.00063871i,0.0015841-0.00016542i,0.00089298+0.00041116i,8.117e-05+0.00046881i,-0.00093914-0.00037688i,-0.00082857-0.00056481i,-0.00029492+0.00049315i,-0.0006506+0.0018787i
0.0011622-0.00047264i,0.0014823+1.6133e-05i,0.0026165+0.0022442i,0.0024226+0.0040652i,6.3014e-05+0.0035775i,-0.0014422+0.0016158i,-0.00028947+0.00058923i,0.00030744+0.00065082i,-0.00014403-6.1161e-05i,-0.00038869-0.00084738i,-0.00022587-0.0006569i,-9.0504e-05+0.00020525i,3.4605e-05+0.00057774i,0.00042115-0.00014902i,0.00070336-0.00064114i,0.0013193-0.00098186i,0.0019931-0.00071341i,0.0015891+0.00095452i,0.00043646+0.0019091i,-0.00050419+0.0018598i,-0.00039398+0.00050196i,-0.00035593-2.6226e-05i,-9.1556e-05+0.00052451i
0.00075769+0.00036421i,0.0024866-0.00026114i,0.0064664-0.00048391i,0.0088956+0.00070899i,0.0067532+0.0021721i,0.0037126+0.0014375i,0.0019363-0.00022165i,0.0015055-0.00068381i,0.0010051-0.00073509i,-0.00055179-0.0010186i,-0.0015028-0.00051955i,-0.00064559+1.4341e-06i,0.0008595+0.00083243i,0.0011108+0.0010027i,0.00094883+0.00010021i,0.00082597-0.00046076i,8.7296e-05-0.00066331i,-0.00074163-0.00091407i,-0.00066849-0.00068382i,-0.0001586-0.00044401i,1.4965e-05-0.00078536i,4.6095e-05-0.00093635i,-0.00094465-0.00063599i
0.0012757+3.8058e-06i,0.0018419-0.0017379i,0.0036931-0.0038i,0.0052955-0.0034519i,0.0042891-0.001462i,0.0014829-0.00089101i,0.00059381-0.0015451i,0.00021498-0.0016521i,-0.00081698-0.00088915i,-0.0016466+0.00074135i,-0.0019188+0.0012639i,-0.00052618+0.00060138i,0.00057959+0.00071739i,-0.0003294+0.00083448i,-0.0012977+0.00040476i,-0.0010726+0.0011786i,-0.00059409+0.00096145i,0.00043967-8.0615e-05i,0.001253-0.00035793i,0.0013025-0.00054196i,0.0013782-0.00019367i,0.00069606+3.5522e-05i,-0.00069662+5.3917e-05i
-0.00017063-0.0012255i,-0.0019029-0.0022577i,-0.0033585-0.0044918i,-0.0029542-0.0068716i,-0.00053507-0.0063431i,0.0007211-0.0036536i,-0.00074396-0.0021806i,-0.0018245-0.0016868i,-0.0018483+3.0475e-05i,-0.0013438+0.0016539i,6.9733e-05+0.0013072i,0.0013748-3.7562e-05i,0.0017912-0.00054507i,0.0014946-0.00057518i,0.0013545-7.1371e-05i,0.001397+0.00080421i,0.0009401+0.00055864i,7.3869e-05+0.00020073i,-0.0009467+0.00068614i,-0.0013718+0.00063649i,-0.00099698+0.00038445i,-0.00052675+0.00033287i,-0.00061765+0.00044518i
-0.0011243+0.00030494i,-0.00093478+0.0019928i,-0.0021706+0.0025083i,-0.0035605+0.0016635i,-0.003092-0.00017774i,-0.0010531-0.0012231i,-0.0013396-0.00099687i,-0.001761-0.00022953i,-0.0011209+0.0007197i,-0.00038368+0.0010944i,0.00055348+0.00031954i,0.00024359-0.00070596i,-0.00047755-0.00094753i,0.00013447-0.00083129i,0.00089709+0.00019435i,0.0014955+0.001049i,0.0011351+0.00091739i,0.00016124+0.0009512i,0.00022727+0.00066935i,0.00097241+0.00031763i,0.00042736+0.0006921i,-0.00081996+0.00074242i,-0.0010196+8.1025e-05i
