-0.0012751-0.00046687i,-0.0010442-0.00036998i,-0.00012667-0.0001882i,0.00054692-0.0003189i,0.00057215-0.00018071i,0.00083663+0.00063345i,-0.00037369-0.00011319i,-0.0025013-0.00014371i,-0.0023389+0.0020973i,-0.00054902+0.0029335i,0.00038327+0.001991i,0.0007408+0.00054897i,0.00073366-0.00031616i,0.00032676-0.00094098i,0.00015727-0.0011067i,-8.001e-05-0.00018897i,-0.00045984+0.00026006i,-0.00024354+0.00020647i,0.00031963-0.00042259i,0.00037956-0.00092706i,0.00013006-0.00049286i,-2.9108e-05-0.00011134i,-4.5012e-05+0.00015847i
0.0012017-1.3765e-05i,0.0010607-0.00020089i,0.0020915-0.0010856i,0.0016743-0.0021112i,0.00093553-0.0014429i,0.0012175-0.00013769i,0.0022055-8.6933e-05i,0.0013232-0.00071569i,-0.0012087-0.00015228i,-0.0021233+0.00042928i,-0.0015816+0.00037811i,-0.00074204+0.00040829i,0.00050745+0.00064282i,0.0010869+0.0011537i,0.0010382+0.00057977i,0.00053915+9.5101e-05i,-0.00020697+0.00047931i,-0.00011268+0.00048131i,-7.0318e-05+7.7952e-05i,-0.0005542+0.00018362i,-0.00090296+0.00043055i,-0.00023298+0.00043047i,0.0001975+0.00079292i
0.0013844+0.0001829i,0.00096368+5.7983e-05i,0.0011385-0.00019257i,0.0005955-0.00054955i,0.00074984+0.00064928i,0.0016302+0.0028413i,0.0019244+0.0024145i,0.00057366+0.00077889i,-0.0013502-0.00028224i,-0.0013692+7.7527e-05i,-0.00013287+0.0006658i,0.00072923+0.00041194i,0.00093132+0.00068231i,0.00069404+0.00042293i,0.0002102+0.00047135i,-0.00034528+0.00055802i,1.8183e-06-0.00027578i,0.00041613-0.00039401i,0.00036419-0.00027063i,0.0004297-2.0004e-05i,0.00043776+0.00066272i,0.00046954+0.00021553i,0.00040354+0.00018406i
-0.0013887+0.00051347i,-0.0012291+0.00015532i,-0.00051854+0.0012916i,0.00026832+0.0015124i,0.0011527+0.0013063i,0.0020637+0.00098375i,0.001423-0.00020297i,7.355e-05-0.0012542i,-0.00083573-0.00017556i,-0.0011252+0.001444i,-0.00064598+0.0010464i,-0.00027511+0.00052906i,-0.0006391+0.00028804i,-0.00082917-0.0002261i,-0.00083308+1.775e-05i,-0.00049676+0.00024182i,-0.00020548+8.6201e-05i,0.00013646-0.00042645i,0.00029022-0.00075103i,0.00046969-0.0011663i,-0.00014677-0.0011012i,-0.0004679-0.00063845i,1.823e-05+9.3695e-05i
0.00074795-0.00060457i,-4.8181e-05-0.00013972i,-0.00071145-0.00057484i,8.1858e-05+0.00098093i,0.00099153+0.002314i,0.0017075+0.0021206i,0.0017972+0.0011075i,0.00074868-9.7566e-05i,0.00024367-0.00031119i,-0.00019319+0.00021535i,-0.0011512+1.306e-06i,-0.0011624-0.00028583i,-0.00098189+0.0001507i,-0.0005064+0.00064763i,-0.00052454+0.00039038i,-0.00020158-6.8902e-05i,-5.1367e-05-0.00057568i,-0.00053853-0.0013548i,-0.00047015-0.0011502i,-0.00042108-6.0262e-05i,-0.0005189-0.00047391i,-0.0010839-0.00073258i,-0.00082616-0.00040777i
-0.00023188+0.00083597i,-0.00073268+0.00077646i,-0.0004776-0.0001077i,0.00051397-0.00052155i,0.0012288+0.00027351i,0.0021075+0.001115i,0.0024779+0.00035833i,0.00045629-0.00075933i,-0.0016543-0.00086683i,-0.0023847-0.00036076i,-0.0014084-0.00013647i,-0.00036684+0.00026402i,-0.0004256+0.00088982i,-0.00097854+0.0012785i,-0.00050505+0.00095021i,0.00031788+0.00038846i,0.00031461+0.0001105i,-0.00016488+0.00011264i,-0.00069975-0.0002053i,-0.00066763-0.00060169i,-0.00031288-0.0004666i,-0.00010501+1.1748e-05i,7.2292e-05+0.0007796i
0.0014018-0.00017559i,0.00015899-0.00092911i,0.00048252-0.0013397i,0.00048613-0.0007613i,0.00060393+0.00067554i,0.0011337+0.00087084i,0.0015543-5.3463e-05i,0.000564-0.00045985i,-0.001108-0.00053773i,-0.0023173-0.00088097i,-0.0022719-0.00041248i,-0.0012845+4.9228e-06i,-9.8266e-05+0.00036341i,0.00054656+0.00053958i,0.00082011+2.7215e-06i,0.00090639+0.00040632i,0.00016657+0.00041137i,-0.00040535-0.00031904i,-0.00075717-8.576e-05i,-0.00079753+0.00052515i,-2.0814e-05+0.00083027i,-9.3466e-05+0.00086949i,-0.00026698+0.00048395i
-0.00027475-0.00056089i,0.00042691+0.00086837i,0.00087501+0.001845i,0.0010514+0.0011684i,0.00098751+0.00091881i,0.0016498+0.0018771i,0.0016149+0.0013872i,0.00030576-0.00018356i,-0.0010992-0.00015251i,-0.0019621+0.00077374i,-0.0014785+0.0012941i,-9.6623e-05+0.0015744i,0.00031525+0.0014342i,0.00026034+0.00014772i,0.00085934-0.00049847i,0.0014003-0.00047214i,0.0013975-0.0013557i,0.00086981-0.0019801i,0.00059641-0.0015327i,0.00049094-0.00069305i,-0.00032599-0.00045662i,2.0336e-05-0.00060714i,0.0010111-0.00081312i
0.00058387+0.00085398i,0.0013432-2.4235e-05i,0.0017787-0.001038i,0.0017152+0.00035453i,0.0015655+0.0016669i,0.0024006+0.00094022i,0.0025945-3.2111e-05i,0.0010988-0.00027712i,-0.00084808+0.00013878i,-0.0012381+0.00038046i,-0.00024416+0.00033081i,0.00032392+0.00046005i,-0.0001058+0.00051466i,-0.00086739+0.00017507i,-0.0014095-0.00022171i,-0.00099907-0.00076751i,-0.00028067-0.0010703i,-5.2643e-05-0.00033576i,-0.00055373+0.00023839i,-0.00044099+1.2433e-05i,-9.8715e-05-0.00027581i,0.0003157-0.00020227i,0.00063725+0.00030796i
0.0011252+0.0017326i,0.0010349+0.0016118i,0.00074614+0.0012844i,0.00098094+0.0011713i,0.0012186+0.0013534i,0.0022423+0.0017492i,0.0020905+0.0011099i,0.00064993-0.00029119i,-0.00037701-0.00052349i,-0.00025584+0.00068481i,-0.00020696+0.00084721i,-0.00058628+0.00014805i,-0.00044765-0.00033357i,-0.00038881-0.00075064i,-0.00061425-0.00047405i,-0.00013249+1.3394e-05i,-0.00029886+0.00079848i,-0.00054635-5.6149e-05i,-0.00042725-0.0005732i,-0.00041215+0.00026773i,-0.00051327+0.00082121i,-0.00018752+0.00081355i,1.2402e-05+0.00019834i
-0.00013405-0.00015396i,-0.00035647+0.00038377i,0.00011553+8.4327e-05i,0.00047535+0.00034831i,0.00040414+0.0017107i,0.00094383+0.0018807i,0.0020472-0.00047275i,0.00093187-0.0022994i,-0.0009473-0.0015235i,-0.00094109-0.00049925i,-0.00095838-2.8743e-05i,-0.00073383+0.00037599i,-1.2452e-05+0.00059562i,0.00020922+0.00036827i,-1.6849e-05+0.00041827i,-0.00055573+0.00093284i,-0.00058358+0.00021652i,-0.00015101-0.00074074i,0.00018276-0.00076126i,0.00036913-0.00035393i,0.00033014-0.00018869i,4.4418e-05+0.00020174i,-5.2306e-05+0.00039502i
-0.0011245-5.9202e-05i,-0.0011699+0.0011604i,-0.00056882+0.0023249i,-0.00021673+0.0022488i,0.00090178+0.001991i,0.0022452+0.0018568i,0.0020362-3.011e-07i,0.00043421-0.0016286i,-0.00094018-0.00085136i,-0.0015585-8.0889e-05i,-0.0015619-0.00011078i,-0.00044845-0.00033898i,0.00031107+1.8312e-05i,3.7449e-05+0.00015221i,0.00029328-0.0004476i,0.00028056-0.00046524i,9.6167e-05-1.0498e-05i,0.00046168-0.00081946i,0.00025221-0.0012834i,-8.9278e-05-0.00096141i,-0.0002463-0.00043445i,0.00025179-2.6405e-06i,9.5664e-05-3.1066e-05i
0.00059732+0.00044882i,0.00074151+7.221e-05i,5.591e-05-0.0011203i,-0.00029829-0.0012381i,0.00039257-0.00038302i,0.00083678+0.00075559i,0.00097729+0.00037669i,-0.00029695-0.00058321i,-0.0019786-0.00088824i,-0.0017994-0.00035065i,-0.00079453-4.891e-05i,0.00032965+0.0006193i,0.00040514+0.0012972i,-0.00015511+0.0011115i,0.00054562+0.00025445i,0.00077763-0.00024714i,0.0011012-0.00068547i,0.0012599-0.00081036i,0.00035027-0.0010271i,-5.9049e-05-0.00061844i,-0.00033829-6.2613e-05i,-0.00024823+7.3809e-05i,-0.00013418+6.1073e-05i
-0.00027753+0.00020143i,-0.00048988+0.0012663i,-1.0431e-05+0.0019808i,-7.2526e-05+0.0015339i,0.00073842+0.0015397i,0.0018393+0.0027202i,0.001435+0.002062i,-0.00017956+0.00051651i,-0.0018652+0.00087405i,-0.0020631+0.0013232i,-0.0014978+0.0011687i,-0.0011508+0.00072435i,-0.00027584+0.00041752i,0.0001976+0.00018584i,0.00040074+0.00015845i,0.00074294+0.00028672i,0.00033072-0.00061108i,-0.00016788-0.00071874i,-0.00021461-0.00053978i,-0.00072998-0.0011065i,-0.00073554-0.00074664i,-0.00050589-2.9622e-05i,-7.0164e-05-0.00023103i
-0.0018154+0.00066447i,-0.0015845+0.0011711i,-0.0012682+0.0022034i,-0.00024573+0.0021323i,0.0014673+0.0023532i,0.0030366+0.0025368i,0.0033525+0.00043866i,0.0018125-0.0015694i,5.4653e-05-0.00089935i,-0.00071071+0.00035935i,-0.00072888+0.00060419i,-0.00016078+0.00024365i,0.00030268-0.00042891i,-0.00029809-0.00055153i,-0.0012395-0.00011485i,-0.0014903-0.00013043i,-0.00097198-0.00020168i,-0.00034818-0.00086642i,-0.00052816-0.0015735i,-0.0008592-0.0014815i,-0.00038857-0.00080728i,0.00052831-4.0702e-05i,8.1034e-05-0.00034146i
0.00051254-0.00088704i,-0.00017088-0.00076712i,0.00018441-0.0017775i,8.2838e-05-0.00087442i,0.00037616+0.00075106i,0.0017422+0.0013645i,0.0021039+0.00034922i,0.0018406-0.00031934i,0.00020211-0.00036199i,-0.0019705-1.544e-05i,-0.0018297-0.00011737i,-0.00038807-0.0003011i,0.00049521+0.00033608i,0.00089789+0.00039846i,0.00017921+5.7876e-05i,-0.00067357+0.00014803i,-0.000675+0.0003779i,-0.00055095-0.00029562i,0.00017875-0.00093145i,0.00043887+2.5824e-05i,-2.1178e-06+0.00093924i,-0.00011733+0.0011047i,0.00021363+0.00058239i
0.0016493-0.0024813i,0.00078449-0.0020734i,0.00027082-0.0016739i,-0.00012546-0.001109i,-0.00072996+0.00031229i,0.00059807+0.0014544i,0.001141+0.00075368i,0.00015008-0.00030135i,-0.00081654-0.00061225i,-0.0015319-0.00024793i,-0.0012887-0.00056389i,-0.00050625-0.00088829i,0.00023567-0.00060693i,1.0215e-06-0.00084869i,-0.00019935-0.00054685i,0.00032656+0.0002468i,0.00081262+0.00069524i,0.0013366+0.00063664i,0.0010419+8.2259e-05i,0.00066554+0.00046424i,0.00098677+0.00053632i,0.0010942-0.00015755i,0.0010283-0.00021855i
0.0016072-0.00059184i,-5.8994e-05-0.00079624i,-0.00060735-0.0011269i,-0.0010675-0.0018044i,-0.0009122-0.00042634i,0.00025749+0.0017011i,0.00094887+0.0010574i,0.00020355-0.00046148i,-0.0010796-0.0014936i,-0.0013255-0.0017418i,-0.00095585-0.00048845i,-0.0007197+0.00044044i,-0.0007806+0.00070598i,-0.000128+0.00071739i,0.00023255+0.0010278i,6.4568e-05+0.0010624i,0.00028837-0.00036444i,0.00035217-0.0017157i,-0.00015377-0.0013675i,-0.00032941-0.00058315i,-5.557e-05-0.00066582i,9.2752e-05-0.00077354i,-5.9702e-05-0.00044623i
0.001247-7.3709e-05i,0.00088436-0.00040307i,7.0245e-05+0.00041581i,-0.00045968+0.0008444i,-0.00033328+0.0019178i,0.001306+0.0035562i,0.0020394+0.0025808i,0.00073091+0.00030313i,-0.0012681-0.00045722i,-0.0021486-0.00055821i,-0.0018209-3.651e-05i,-0.0015745+0.00067171i,-0.0010139+0.00031602i,-0.00067129-0.0004009i,-2.0398e-05+0.00013114i,0.00080116-0.00012192i,0.0013451-0.0015336i,0.00071981-0.00094781i,-0.00084597-0.00028401i,-0.00069944-0.00093078i,-0.00035077-0.00055037i,-0.0005996-0.00017382i,2.1635e-05-0.00046409i
0.0004814+0.0026466i,0.00062871+0.0024543i,0.00062758+0.0020247i,0.0013092+0.0016708i,0.0019772+0.0024299i,0.0026002+0.002157i,0.001848+0.00020023i,-0.00010943-0.0010017i,-0.0010949-0.00018127i,-0.00083824+0.00045548i,-0.00051647+0.00032054i,-0.00079593+0.00035517i,-0.00043408-0.00013917i,-1.4986e-06-5.4228e-05i,-0.00032873+0.00011622i,-0.000257-0.00019232i,5.7057e-05-0.00031i,0.00020138-0.00040407i,-0.00045632-0.00080835i,-0.00094024-0.0013184i,-0.00021959-0.00074787i,0.00035545-5.4078e-05i,0.00027915+0.00072491i
-0.00086982-0.00019312i,-0.0011312+0.00063547i,-0.001504+0.0015672i,-0.0010626+0.0018278i,-0.00019835+0.0012841i,0.0020448+0.00026601i,0.0036811-0.00089995i,0.0021663-0.0017599i,-0.00047161-0.00079342i,-0.0012995+0.00055411i,-0.00040454+0.00040503i,0.00029086-2.6793e-06i,0.00074251+0.00037462i,0.00010766+0.00054397i,-0.00094865-3.2404e-05i,-0.0011629-0.00046667i,-0.00067093-0.00060514i,0.00035845-0.0006117i,0.00059048-5.2852e-05i,0.00047369+0.00022988i,0.00049309+0.00021852i,8.2227e-05+0.00017184i,-7.6294e-05+0.00010069i
-0.00041579-0.0012029i,-0.00067355-0.0014888i,-0.00092078-0.0010301i,-0.00052797-0.0001015i,-7.4702e-05+0.00084516i,0.0011694+0.0021429i,0.0015446+0.0020901i,6.3779e-05+2.9531e-05i,-0.0011164-0.0013355i,-0.0012965-0.0011931i,-0.00032553-0.00077952i,0.00034621+0.00026488i,0.00051123+0.0011706i,0.00046097+0.0009759i,-0.00011506+0.00045958i,0.00022107+0.00031501i,0.00055947+0.00042501i,0.00084291-0.00034122i,0.0013972-0.00074871i,0.0010148+0.00010224i,-0.00012674+0.00084608i,-0.00063868+0.0010844i,-0.00070858+0.00064201i
-0.00024425-0.0027349i,-0.0013046-0.0025356i,-0.0023415-0.0020891i,-0.0033968-0.00047929i,-0.0027999+0.0018328i,0.00020236+0.0030743i,0.0014264+0.0015044i,0.00049468-0.0012374i,-0.001016-0.0015646i,-0.0016932-0.00074537i,-0.0010233-0.00035715i,-0.00074905+0.00018923i,-0.00075919+0.0004503i,-2.1876e-05+0.00047567i,0.00059223+0.00050216i,0.00021926+0.0007179i,0.00029398+0.00013278i,0.00056082-0.00046384i,0.00038607-0.00076818i,-0.00050788-0.00045665i,-0.0010007-0.00049467i,-0.00053731-0.00087659i,-0.00030324-0.00069595i
0.00086767-0.00062106i,0.0012318-0.00064316i,0.0009362-0.0012869i,0.00049167-0.00079807i,0.001136+0.00080354i,0.0023101+0.001884i,0.0020044+0.00059278i,0.00013902-0.00091315i,-0.0014312-0.00086065i,-0.0018524-0.00052941i,-0.0016967-0.0002067i,-0.00052023+0.00041584i,0.0009137+0.00095419i,0.00041129+0.00086359i,8.6788e-05+0.00056691i,0.00020913+0.00030372i,-0.0003502-0.00037027i,-1.4902e-05-0.0011568i,0.00061851-0.0010701i,0.00023127-0.00014251i,-0.00072149+0.00019521i,-0.0013911+0.00015447i,-0.00046378+0.00056334i
0.00027816-0.00018442i,0.00073519-0.00046604i,0.00062632+0.00084323i,5.0562e-05+0.0018359i,0.00024838+0.0016755i,0.0015903+0.0021652i,0.0030056+0.0016826i,0.0018295+0.00046308i,-0.00046723+0.0005934i,-0.0012281+0.00071709i,-0.0012095+6.9663e-05i,-0.00058734-5.282e-05i,-0.00031093+0.00024795i,-0.00043645+0.00021155i,-0.00021722-4.84e-05i,-0.00017916+2.87e-05i,-0.00051155+0.00028256i,-0.0011226+0.00030599i,-0.0011681+0.00014404i,-0.0013512+0.00051819i,-0.0010984+0.00051088i,-0.0004222-0.00022571i,-0.00029116-0.00040348i
-3.0652e-05+0.00021466i,0.00050416-0.00095472i,0.0013498-0.0017131i,0.0010749-0.0012428i,0.00088907+0.00050491i,0.00092145+0.0013323i,0.00084657+0.0010906i,-0.00010082+0.0003707i,-0.0013965-5.045e-05i,-0.0017844+2.7091e-05i,-0.0017106-0.00024609i,-0.0011878-0.00041694i,-0.00048117-0.0005096i,0.00037179-0.00020591i,0.00094779-0.00061853i,0.00092572-0.0011444i,0.00045923-0.00079907i,0.00078149-0.00064191i,0.0013416-0.0010003i,0.0013837-0.0008042i,0.00086426+0.00051596i,0.00026648+0.0011302i,-8.2365e-05+0.00083095i
-0.00035913+0.00046275i,-0.00012712+0.00066286i,-0.00027919+0.0011945i,0.00020623+0.0013236i,0.00064597+0.0024491i,0.00063787+0.003294i,0.0011608+0.0018753i,0.00043215-0.00021812i,-0.00097766-0.00099578i,-0.0014073-0.00046427i,-0.0013282-7.2955e-05i,-0.001525-0.00043246i,-0.0010615-0.00063964i,5.5197e-05-9.8971e-05i,-0.00034732+0.00060149i,-0.00020249+0.000507i,0.00099602+0.0004066i,0.00062224-0.00019611i,7.083e-05-0.00080612i,0.00044449-0.00094617i,0.0010544-0.00054951i,0.00076056+3.8595e-05i,0.00019372-5.5432e-05i
-7.3196e-05+0.00095045i,0.00013005+0.00083234i,0.00056383-0.00019388i,7.6458e-05-0.00075465i,0.00016225+0.00099669i,0.0025577+0.0023504i,0.0034945+0.0019034i,0.0013546-0.00010782i,-0.00065228-0.0013245i,-0.00073314-0.0011294i,-0.0009309-0.00010166i,-0.001005+7.6349e-05i,-0.00018174-0.00017687i,0.00045046+0.00030818i,-3.1389e-05+0.00072116i,-0.00027514+0.00065802i,0.00051755-2.4187e-05i,0.0006196-0.00082906i,0.00077568-0.00071961i,0.00065009-0.00019816i,0.00033091+0.00019903i,0.00022328+0.00067113i,-0.00048672+0.00094082i
0.0015446+0.00012079i,0.0012479-0.0024572i,0.00072609-0.0032726i,1.3524e-05-0.001875i,0.00050879-0.00040328i,0.0017844+0.00029151i,0.0027116-0.00044046i,0.0011455-0.0012166i,-0.00082859-0.0019965i,-0.0023719-0.0014633i,-0.0030752-0.00055254i,-0.0020173+9.2302e-05i,-0.00062496+0.0010359i,-0.0003342+0.0014777i,-0.00011017+0.001643i,0.00043436+0.0011494i,3.13e-05+9.6755e-05i,-0.00076404-0.00064628i,-0.001001-0.0014549i,-0.00032605-0.0013877i,0.00047629-0.00015224i,0.00032184+0.00021046i,-8.0338e-05-0.00035623i
0.00021182+0.0021527i,0.0010686+0.002392i,0.0022781+0.0023012i,0.0027994+0.0017555i,0.0027329+0.0013511i,0.0019759+0.00056398i,0.0016226-0.00046109i,0.00044251-0.00054579i,-0.0014165-0.00057892i,-0.0019443-0.00055915i,-0.00171-0.00046923i,-0.0012255-0.00020223i,-0.00071279+0.0002188i,-0.0002373+0.0001271i,3.9777e-05+0.00093696i,0.00010677+0.0017562i,-3.1484e-05+0.00058074i,-0.00017579-7.717e-05i,0.00025135+0.00031317i,9.6487e-06+0.00023012i,-0.00045708+0.00080527i,-0.00062181+0.0018119i,-0.00063166+0.001348i
0.0012299+2.2125e-05i,0.00042667-0.0014785i,0.00048852-0.0021114i,0.00082308-0.0021762i,0.0010426-0.00097246i,0.0018418+0.00074094i,0.0024217+0.00083076i,0.00091644+1.2044e-05i,-0.0012233-0.0002399i,-0.0017455+0.00028174i,-0.00095782+8.9985e-05i,-0.00030376-0.00065767i,0.00045007-0.00065875i,0.00094305+0.00012454i,0.00054537+0.00078619i,5.425e-05+0.00050079i,6.166e-05-0.0001467i,0.00068421-0.00050711i,0.00095163-0.00055931i,0.00051749-0.00058247i,-0.0005322-0.00083702i,-0.00082234-0.00085096i,-0.00035626-0.00027598i
0.00015821+0.00075233i,-0.00036748+0.0020066i,-0.00077205+0.0020396i,-0.00034053+0.0024272i,0.00084996+0.0023694i,0.0028884+0.0027233i,0.0027892+0.0017302i,0.0013473+0.00056336i,-0.00034256+0.00086084i,-0.0016306+0.00081726i,-0.0007242+0.00055691i,0.00011975-0.0003438i,-0.00021331-0.0013814i,0.00016868-0.0013001i,0.00013762-0.00016696i,-0.0003438+0.00011152i,-2.4567e-05+0.00010181i,0.00050777+0.0003231i,0.00054371-0.00029386i,0.00024498-0.001172i,0.0006675-0.0003891i,0.00095406-0.00011779i,0.00057658-0.00089911i
0.0015478+0.00079009i,0.001461-0.00029439i,0.0018769-0.0015711i,0.0021273-0.0013104i,0.0026585+0.00042506i,0.0023427+0.0014691i,0.0021258+0.00041061i,0.00095158-0.00070897i,-0.00081967-0.00072751i,-0.0011762-0.00027993i,-0.0010803+0.0005971i,-0.0014477+0.0010956i,-0.0012492+0.00089613i,0.00034077+0.00030202i,0.00048149+0.00021373i,-0.00020778+0.00041593i,-0.00018884-6.2597e-05i,9.047e-06-0.00071064i,0.00030456-0.001466i,0.00015019-0.0017157i,-0.00039773-0.0012767i,-0.00087921-0.00033235i,-0.00061347+1.3887e-05i
-4.1625e-05+0.0014909i,0.0012287+0.0019143i,0.00088616+0.0020477i,0.00036992+0.0019993i,0.0002713+0.0021222i,0.0019615+0.0017234i,0.003202+0.00053306i,0.0013797-0.00013752i,-0.00032419-0.00030494i,-0.0013587-0.00013379i,-0.0020226-9.408e-05i,-0.0011628+0.00021021i,-0.00034754+0.00047385i,-0.00022474+0.00061903i,-8.8624e-05+0.00023867i,0.00035417-0.00036357i,0.00057141-0.00038778i,0.0002969-0.00077015i,-2.3901e-05-0.0014649i,-0.00037623-0.0012329i,-0.00033636-0.0010221i,-0.00035699-0.00083062i,-0.00015286-0.00018635i
-0.0013535-3.6085e-05i,-0.0013099+0.00091261i,-0.00093271+0.00065777i,0.00048401+0.00075736i,0.0012126+0.0015997i,0.0022638+0.0021905i,0.002809+0.00064665i,0.00084281-0.00085197i,-0.0017492-0.00060771i,-0.0026024-0.00025052i,-0.0016367-0.00022627i,-0.00072029+0.00023954i,-0.00032529+0.00038524i,0.00016159+0.0001747i,0.00074646+0.00047739i,0.0001492+0.00057893i,-0.00025685+0.00028355i,0.00071698-0.00027066i,0.00087127-0.00022004i,1.6535e-05+0.00029487i,-0.00096602+0.00043034i,-0.0012021+0.00042813i,-0.00059061+0.00036543i
-0.0011046+0.00012895i,-0.0014964+0.00050712i,-0.00098448+0.00031427i,-0.00025338+0.00095665i,0.00018835+0.003048i,0.0016697+0.0041089i,0.0021123+0.0023801i,2.0422e-05+3.7064e-05i,-0.0023559-0.00023975i,-0.0023956+0.00063409i,-0.0010355+0.00053997i,-0.0003535-0.00028327i,1.0276e-06-0.00032191i,0.00042799+0.00085066i,0.00052991+0.0016308i,0.00016179+0.0012246i,0.00028829+0.00034766i,-7.3159e-05-2.5162e-05i,-0.0008404-0.0005948i,-0.00038173-0.00085107i,-0.00015924-0.00048652i,9.5215e-05-0.00063329i,2.9123e-05-0.00023896i
-0.00076044-0.00045449i,-0.00079078+0.00044321i,-0.0013897+0.0006005i,-0.0016256+0.00060264i,-0.00028771+0.0010443i,0.00090559+0.0012577i,0.00116-0.00023772i,0.00051467-0.0012156i,-0.00071627-0.00095429i,-0.0013725+0.0001121i,-0.0019302+0.00050567i,-0.0020622+0.00018448i,-0.0016814+0.0002546i,-0.00087469+1.5893e-05i,-0.00051238-0.00013145i,-0.0011144+0.00039617i,-0.0009883+0.00011011i,-0.00039051-2.1594e-05i,7.3531e-05+5.2736e-05i,0.00073919+4.1122e-05i,0.0014949-5.9457e-05i,0.0014467+0.00012177i,0.00049504+0.0004451i
0.00048156-0.00035293i,0.00019936+0.00012081i,0.00044372+0.00021862i,0.0011755+0.00050143i,0.0015877+0.001053i,0.0019003+0.00098005i,0.0023634-0.00013578i,0.0015715-0.0018183i,-1.4281e-05-0.0012556i,-0.0014097+1.8373e-05i,-0.0023945+0.00028401i,-0.0011289+0.00090192i,0.00041956+0.0011353i,0.00059963+0.0010536i,0.00076385+0.0012642i,0.0010142+0.0013939i,-1.5541e-05+0.00097357i,-0.00057884+0.00060283i,0.00073815+0.00020044i,0.0011241-0.0004191i,0.00031065-0.00053071i,-0.0005197-0.00049787i,-0.0013103-0.00019468i
0.0019765+0.00051354i,0.0021089-0.0012811i,0.0010251-0.0026068i,0.00056542-0.0013657i,0.00034747+0.00073966i,0.00099508+0.0021583i,0.0019227+0.001205i,0.00080289-0.00084151i,-0.00054331-0.0011816i,-0.0012528-0.00055616i,-0.0015074-0.00042773i,-0.00059776+4.0833e-05i,-0.00023618+0.00033005i,0.00040033+0.00032979i,0.0010447+0.00049313i,0.0013428+0.00030135i,0.00097157+6.9959e-05i,0.00071122-5.2154e-05i,0.00088648-0.0010673i,0.00040075-0.001284i,-0.00020734-0.00047938i,-0.00062391-0.00042872i,-2.9929e-05-0.00074988i
0.00093662-0.00043463i,0.00051484-0.0012888i,0.00040429-0.001177i,0.00051958-0.00034253i,0.00094703+0.00063995i,0.0014101+0.0011116i,0.0018349+0.00051385i,0.0012675+0.00056932i,-0.0001524+0.00039775i,-0.00052122-0.00025771i,-0.00010269-5.612e-05i,0.0010739+0.00056285i,0.0016953+0.0012945i,0.0012205+0.00096819i,-4.9598e-06+0.00069242i,-0.00065573+0.0004777i,8.973e-05-2.3516e-05i,0.00031111-0.00019077i,0.00023199-0.00026917i,0.00035701+7.3233e-05i,0.00050224+0.00091673i,0.000544+0.00071868i,0.00023868+0.00043641i
-0.00012919+0.00042979i,-0.00034724+0.00019481i,-1.4032e-05-0.00011729i,0.00020909+0.00047566i,0.00022602+0.0010136i,0.0010731+0.00074255i,0.0017538+2.9355e-05i,0.00040615-0.00062781i,-0.0018833-0.00066991i,-0.0020921-0.00047153i,-0.00062285-0.00024423i,0.00042009+0.00012098i,8.6508e-05+6.5733e-05i,-0.00030727-0.00047171i,0.00029044-0.00020997i,0.0013182+0.0003659i,0.00097746+0.00031688i,-0.00010649-0.00036082i,-0.00077239-0.00049245i,-0.0011237-0.00052532i,-0.00097982-0.00053345i,-0.00032175-8.0718e-05i,0.0011633-0.00020679i
-0.00087348+0.00022613i,-0.00096999+0.00064901i,-0.00083706+0.001124i,-0.00058816+0.0013957i,0.00090664+0.0020572i,0.0030537+0.0020319i,0.0038672-0.00034555i,0.0020193-0.001623i,-0.00082701-0.00054835i,-0.0022804-5.6066e-05i,-0.0014865-0.00050102i,-0.0011069-0.00056902i,-0.0008246-0.00048421i,-8.3251e-05-0.00010266i,-0.00017068+0.00053107i,0.00049814+0.00026044i,0.0014494-0.00028322i,0.00093577-0.00043284i,0.00021701-0.00043441i,-0.00019641-0.00062736i,-0.00042507-0.00084068i,3.8124e-05-0.00018377i,0.00060876+7.4466e-05i
0.00062209-0.0011216i,-0.00024164-0.00094149i,-0.00078311-1.1102e-05i,-6.1226e-05+0.0011658i,0.00044673+0.0017118i,0.0014641+0.0013363i,0.001906+5.6257e-05i,0.00048134-0.0011801i,-0.0010136-0.00053772i,-0.00089287+0.00064071i,-0.0013455+0.00061i,-0.0012757-5.8982e-05i,-0.0002011-0.00062845i,0.00022424-0.00074021i,-0.00025573-0.00070884i,-8.6845e-05-0.00097945i,0.00029247-0.0012443i,0.00010476-0.0012177i,0.00028943-0.0007318i,0.00045557-0.00082924i,-0.00043529-0.00087808i,-0.00067923-0.00032213i,-0.00044583-6.7576e-05i
-0.0019875-6.4396e-05i,-0.0021463+0.00024719i,-0.0027285+0.0001797i,-0.0027499+0.00029385i,-0.0012488+0.0021334i,0.00052183+0.0029028i,0.0011812+0.00054933i,-3.8915e-05-0.0015696i,-0.0013774-0.0010137i,-0.0018857+0.00038832i,-0.0016535+0.0014317i,-0.00018669+0.001509i,0.0013839+0.00065436i,0.0014854+0.00024325i,0.00086923-3.8119e-05i,0.00089981-0.00075907i,0.00075187-0.0017873i,0.00033305-0.0011241i,-2.9405e-05+0.0003171i,-0.00059587-0.00019826i,-0.0006996-0.00046353i,-6.8929e-05-0.00016934i,0.00013979+4.557e-05i
