-0.0021191-0.00024098i,-0.0029399-0.00062462i,-0.0043191-0.00087015i,-0.0029338-0.001029i,-0.0012626-2.1024e-05i,-0.00045131+0.0011717i,-0.00085232+0.00076158i,-0.00077462+0.00048405i,-3.6462e-05-1.3898e-05i,0.00049369-0.0010579i,0.00046501-0.00089441i,-0.00013175-0.00046873i,-0.00027347-0.00089046i,-0.00050618-0.00059062i,-0.00075153-7.6925e-05i,-2.4615e-05-0.00043746i,0.00057486-0.00047393i,0.00093432-0.00026733i,0.00075358-0.00033624i,0.00013591-0.0002347i,-0.00023657+3.2565e-05i,-0.00023018-0.00018975i,-0.0004252-0.00046818i
0.0011806+0.0012i,0.00069429+0.00082238i,0.00072284-0.00042858i,0.00078203-0.00066274i,-0.00030849-0.00048679i,-0.00094686-0.001042i,-0.0011301-0.0010738i,-0.0010092+0.00024587i,-0.00071096+0.00081674i,-0.00089742-0.00042854i,-0.0010239-0.00035368i,-2.649e-05+0.00061052i,0.001248+0.0010366i,0.00093016+0.00057053i,0.00087512-0.00033865i,0.00061828-0.00062701i,4.4948e-06-0.00091486i,0.00033347-0.0010167i,0.00062248-0.00043472i,0.00048105-1.3959e-05i,0.00066815-0.00044881i,0.00030968-0.00072202i,0.00025299-0.00013389i
0.00013672-0.00090159i,0.0014513-0.0006156i,0.001746+0.00073952i,0.00079797+0.00095406i,-1.5188e-05+0.00085244i,0.00021412+0.00052031i,0.00055352-0.00010915i,0.00036471-0.00029904i,-3.303e-05-0.0001741i,-1.4653e-05+0.00013824i,-0.00019772-4.4856e-06i,-0.00030395-0.0003862i,-0.00017689-0.00070485i,0.00047327-0.00030811i,0.00095684+9.5199e-05i,0.00024153+0.00018552i,-0.00016597+4.2939e-05i,-0.00056121-0.00012798i,-0.00075252+0.00041269i,-0.0002031+0.00054184i,-1.1919e-05+5.7824e-05i,-0.000301-3.6807e-05i,-0.00021905-1.0711e-05i
-0.00062477+0.0034946i,2.8633e-05+0.0030226i,0.00057804+0.0014536i,0.0014525+0.00046119i,0.0017195+0.00033431i,-0.00028936+0.0001082i,-0.0017309-0.00051558i,-0.0015251-0.00036011i,-0.00068542+0.00062805i,0.00026428+0.0010903i,0.0008385+0.00075481i,0.00088872+0.00023294i,0.0010925+5.0512e-05i,0.00032172+0.00044061i,-0.00071521+0.00061711i,3.8675e-05+0.00027297i,0.00066749+0.0001557i,9.5669e-05+0.00059309i,-5.5929e-05+0.00013773i,-0.00014387-0.00062649i,8.2873e-05-0.00041827i,0.00073723+0.00014478i,0.0006937+8.2096e-05i
0.0019507-0.0028751i,0.0018444-0.0018523i,-3.4097e-05-0.001979i,-0.00144-0.0017963i,-0.0014791+7.1018e-05i,-0.0010831+0.0016038i,-0.00073268+0.0013406i,-3.8551e-05+0.0002269i,-0.00017261-0.00057698i,-0.00024226-0.00082949i,-3.2539e-05-0.00011318i,0.00019708+0.00025018i,0.00025418-0.00027744i,0.00025622-0.00091725i,0.00073458-0.00055016i,0.00072699+4.0124e-05i,0.00046807+9.5312e-05i,9.1691e-05-0.00033409i,-0.00064604-0.00070492i,-0.00080979-0.00016589i,-0.00027752+0.0003038i,-0.0004749+0.00012326i,-0.00091063-0.00085353i
-0.0002798-0.0015749i,-0.0015116-0.00184i,-0.0024723-0.0018323i,-0.0008232-0.00075551i,0.0010173+0.0005175i,0.00082938+0.00041654i,-0.00052497-0.00052833i,-0.00035774-0.0012251i,3.7605e-06-0.0011276i,8.0698e-05+0.00010775i,0.00026108+0.00018336i,0.00029118-0.00058555i,0.00036008-0.00036346i,-5.0966e-05-0.00042076i,-0.00075434-0.00047238i,-0.00074546-0.00024296i,0.00019127-8.6596e-05i,0.00071001+0.00020156i,0.00045234+1.1869e-05i,0.0010807-0.00015754i,0.00064551-2.6241e-05i,-1.5198e-05-0.00013708i,0.00037013-0.0005145i
0.0012759+0.00069385i,0.0020942+0.00028724i,0.0016381+6.9531e-06i,0.00052343-0.00026796i,-0.0004858-1.253e-05i,-0.00067717+0.00032941i,7.941e-06-6.3407e-05i,0.00073547+0.00019756i,0.0006294+0.00032817i,-0.00026738-0.00027766i,-0.00019434-4.9926e-05i,0.0002547+0.00012352i,0.00046424-0.00033378i,0.00067554-0.00080661i,0.00063676-0.00048683i,0.00024584+0.00052975i,2.9758e-05-1.6194e-05i,-3.0101e-05-0.0011157i,0.00045377-0.00083195i,0.0003578-0.00020298i,0.00048274+7.8291e-05i,0.00055468+0.00081509i,-5.9458e-05+0.0011297i
0.0015792+0.00084838i,0.0022487-0.00076436i,0.0028119-0.0011725i,0.0022432-0.00032877i,0.0012354-0.00024551i,4.6311e-06-0.00014642i,-0.00049827+0.00064552i,-0.00030254+0.00082414i,-0.00030516+5.7048e-05i,-5.2285e-05-0.00067443i,0.00019604-0.00018404i,2.0926e-05-2.5717e-05i,-0.00029845+0.00015008i,0.00011306+0.00053493i,0.00068362+0.00012671i,2.9926e-05-0.00026291i,-0.00042042+0.00030488i,-0.00044575+0.0008077i,-0.00059742-0.00031062i,-0.00039891-0.00097941i,0.00027299-0.00038202i,0.00065502-0.00012799i,5.3541e-05-0.00021603i
0.0019218+0.0014642i,0.0021997+0.00087363i,0.0030096-0.00032735i,0.0023366-0.0012522i,0.0005651-0.0012831i,-0.0012821-0.00022703i,-0.0016561+0.00028132i,-0.0006823+0.00018647i,0.00045683-0.00035186i,0.0010605-0.0012809i,0.00037536-0.0014582i,-0.0010341-0.00039091i,-0.0011707+0.00016856i,-0.00041195+0.00016301i,0.00016453+0.00026956i,0.00028168+0.00060151i,-1.9559e-06+6.7908e-05i,3.3264e-05-0.00023558i,0.00011601-0.00045309i,-0.00022852-0.00037834i,-0.00038757-0.00028479i,9.0764e-05-0.00015191i,-8.201e-05-0.00032444i
0.0028488-0.0011139i,0.003302-0.00012771i,0.0014475+0.00080453i,-0.00054437+0.00081588i,-0.00082362+0.00099711i,-0.0011966+0.0015565i,-0.0018905+0.0016225i,-0.0014457+0.00087944i,-0.00060571+0.00040699i,-0.00013212-0.00062587i,0.00072125-0.0012728i,0.00096135-0.00044443i,0.00081958-0.00044914i,0.00053452-0.00085854i,9.9212e-05-0.00086248i,0.0004432+0.00013445i,0.00010367+0.00061083i,-0.00089541-0.00029624i,-0.00093312+4.1053e-05i,-0.0011585+0.00092409i,-0.000813+0.00050571i,0.00019714+0.00010224i,0.00071246+0.00044164i
-0.00010402+0.002583i,0.001027+0.0025428i,0.0014795+0.0014292i,0.00085474+0.00057424i,0.00054441-2.9438e-05i,-0.00025709-0.00084516i,-0.00034482-0.00078073i,0.00032206-0.00026397i,0.0006365+0.0001875i,0.00053647+1.7904e-05i,-8.9566e-05-0.00082898i,-0.0006926-0.001203i,-0.00057724-0.00026266i,-0.00028386+0.00056578i,-0.00025969+0.00060827i,-0.0007181+0.00014126i,-0.00097466+6.7608e-05i,-0.000789+5.4095e-05i,-0.00047389-0.00035733i,0.00010279-0.00021493i,3.6873e-05+0.00018989i,-0.00021938+0.00011596i,-0.00033868+0.00051642i
-0.0013511-0.00049323i,0.00062561-0.00035053i,0.00095281-0.00034637i,0.00037303-0.00019353i,-4.1343e-05+0.00069465i,-6.9936e-05+0.0011453i,-0.00021797+0.00096656i,0.0002122+0.0010642i,0.00047074+0.0011172i,5.2522e-05+0.00025031i,0.00028845-0.00072186i,0.0011865-0.0010517i,0.00081146-0.0013749i,-0.00046812-0.0010763i,-0.0009189-0.00032927i,-0.00059498-0.00043555i,0.00024012-0.00075004i,0.00098083-0.00057328i,0.00085507+6.9882e-05i,0.00012341+0.00045586i,-0.00035824+0.00046723i,-0.00025391+0.0004764i,-0.00039937+0.00080679i
0.0027758+0.00040951i,0.0030357+0.00013914i,0.0025281-0.00076116i,0.0013723-0.00081188i,0.00014352+0.00042835i,5.7578e-05+0.00046087i,0.00017985-0.0006411i,-4.1173e-05-0.00052925i,-0.00013819-0.00075069i,0.00021848-0.0015494i,0.00036438-0.00070929i,-4.2124e-05-3.3895e-06i,-0.00014283-0.00019953i,0.00028652+4.1457e-05i,0.00036774+0.0002864i,0.00035383+0.00040631i,0.00031162+4.8955e-05i,0.0001708-0.0005342i,-3.6331e-05-0.00025306i,-0.00031764+0.00051823i,-0.00036852+0.00079799i,4.7944e-05+0.00081432i,0.00066536+0.00064226i
-0.00061167+0.0013935i,0.00113+0.0018043i,0.001029+0.0018403i,0.00026414+0.00049013i,-6.2888e-05+0.00016403i,-0.00064244+0.00055709i,-0.00086361+0.00067661i,-0.00037946+0.00089235i,-0.00021448+0.000768i,0.00012537+0.00041232i,0.00038982+0.00033985i,0.00037839-0.00030766i,0.00034455-0.00066465i,-0.00016227-0.0005861i,-0.00061317-0.00030866i,-0.00071449-0.00026001i,-0.00055323+0.00058938i,-0.0001796+0.0017062i,0.0002861+0.0011845i,0.00018059-0.00037031i,-0.00025147-0.0010839i,-0.00048424-0.0010392i,-0.00059798-0.00062847i
0.00015756+0.00010922i,0.0013685-0.00064685i,0.0018471-0.0015i,0.00058543-0.0015396i,-0.00019114-0.00024183i,-0.00018204+0.00059599i,-0.00029389+0.00028233i,-0.00055154-0.00024728i,-0.00098595+5.7609e-06i,-0.00035846+0.00096187i,0.00084163+0.0012843i,0.00080838+0.00097704i,-1.7668e-05+0.00049292i,6.5429e-05+0.00018548i,0.00019484-0.00016194i,-3.0099e-05-0.00043347i,0.00048118-0.00042791i,0.00075556+0.00012105i,0.0007831+0.00053943i,0.00095883+0.00042443i,0.00065039-0.00018805i,0.00041536-0.00046918i,-0.0003377-0.00067267i
0.00040126-0.00010392i,0.00059388+0.00023892i,0.00018413+0.00080353i,0.00042975+0.0002689i,0.00056543+0.00028138i,-0.00019998+0.0013839i,-0.00046419+0.0017459i,-0.00022056+0.0014089i,-0.0003157+0.00067384i,-0.00029392-0.00025236i,-8.131e-05-0.00010386i,0.00022777+0.0002263i,0.00038806+0.00017674i,0.00012012+0.00084218i,-0.0005654+0.0014539i,-0.00073854+0.00084212i,0.00027434+0.00079206i,0.00064029+0.0010886i,0.00023212+0.00074189i,-0.00054859+0.00021332i,-0.00092129+0.0002605i,-0.0003967+0.00029448i,-0.00014051-0.0001674i
0.0020571-0.00041087i,0.002055-0.00025983i,0.00081212-0.00017778i,-0.00078056-0.00066628i,-0.0012174-0.00039926i,-0.0010575-0.00017652i,-0.0013397-0.00073299i,-0.0011377-0.00047371i,-0.00079496+0.00024396i,-0.00057606+0.00014657i,0.00044572+2.8168e-05i,0.0012433-0.00022144i,0.0010943-0.0014723i,0.00095543-0.0014423i,0.00040297-0.00016943i,0.00011606-0.00033867i,0.00053334-0.00093374i,0.00079997-0.00016892i,0.00040011+0.00016566i,0.00017357-0.00035655i,0.00031195-0.00018977i,0.00060159+0.00020728i,0.00095977+2.9784e-05i
0.00069367+7.9358e-05i,0.00041569-0.0010575i,0.00050312-0.0014608i,0.00071382-0.00060319i,8.637e-05-1.1292e-05i,-0.0003416+0.00017335i,-0.00039066+0.00030624i,-0.00084053+8.0732e-05i,-0.00045668+0.00026923i,-2.9823e-05+2.8044e-05i,-0.00065972-0.00099334i,-9.8483e-06-0.00068585i,0.00028015+0.00010815i,-0.00053907+0.0003633i,-0.00075224-5.2219e-05i,-0.00052378-6.0579e-05i,-0.00015438+0.00082572i,0.00044028+0.00086522i,0.00066334+5.4638e-05i,0.00036805-5.3014e-05i,9.6792e-05+0.00035623i,-0.0001155+2.5562e-05i,6.076e-05-0.00037473i
0.0025216+0.00081469i,0.0032387-0.00015258i,0.0040126-0.00088532i,0.0022147-0.001294i,-0.00044952-0.00099421i,-0.0012043-0.00080133i,-0.00073713-0.00098807i,-0.00074561-0.00055405i,-0.00019838-0.00041881i,0.00016766-0.00074845i,-0.00025898-0.00036298i,-0.00067209+0.00044834i,-0.00014729+0.00099965i,0.0006575+0.0010501i,0.00032525+0.00048863i,-0.00028599-0.00015882i,-0.00085202-0.00040546i,-0.00014921-0.00041839i,0.00092004-0.00061936i,0.0010665+2.0123e-05i,0.00033182+0.00044417i,-0.00018263+0.00046802i,0.00011174+0.00017772i
0.00053005+0.00041439i,0.00090412+0.0012432i,0.00081365+0.001023i,0.00044629+0.0014688i,-0.00040637+0.0014217i,-0.00035733+0.00099834i,-0.00074048+0.00079918i,-0.00052309+0.00019425i,0.00021561+0.00024046i,0.0002371+0.00034927i,0.00040656-0.00056522i,0.00074929-0.00047734i,0.00067244-0.00026148i,0.00027965-0.0013451i,-0.00026065-0.001003i,-0.00031265+0.00043996i,-0.00026624-0.0001007i,-0.00013239-0.00069994i,-0.00067767-0.00038509i,-0.00062141-0.00033406i,0.00045414-9.5117e-05i,0.00051684-0.0006809i,8.8393e-05-0.0010429i
0.0010941+0.0012867i,0.00079638+0.00012266i,0.0011938-0.00096552i,0.0010707-0.0018272i,1.354e-05-0.0017387i,-0.00081559-0.00098552i,-0.00076833-0.00039614i,-1.1864e-05-0.00022771i,0.00078369+0.0003055i,0.00070253+3.9122e-05i,0.00029074-0.0011941i,0.00037526-0.001308i,3.1052e-05-0.00049839i,-0.00030944-5.6264e-05i,0.00048751+2.7219e-05i,0.00097902+0.00019586i,0.00019162+0.00040684i,-0.00052503+0.00038731i,-0.00035545+0.00038768i,-9.7633e-05-0.00017245i,1.3421e-05-0.0010293i,0.00030257-0.00091763i,0.00054887+5.7524e-06i
-0.00062118+0.0002875i,-0.00057378+0.00093386i,-0.00045737+0.0010861i,-0.0011889+0.0010491i,-0.0014197+0.0012819i,-0.00016045+0.0018771i,0.00046259+0.0016994i,-0.0001597+0.00090531i,-0.00045742+0.00022473i,-0.00032385-3.7265e-05i,-0.00014372+0.00064902i,-3.7251e-05+0.0011444i,0.00034027+0.00044374i,0.00014288-0.0003897i,-0.00053064-0.00076612i,-0.0001708-0.00027408i,0.00071485-0.00022322i,0.0010734-0.00014291i,0.00020325-9.4226e-05i,-0.00028719-0.00035404i,0.00011139-0.0004721i,-0.00027822-0.00064916i,-0.00015361-0.00089084i
0.00098936+1.0163e-05i,0.00092698-0.00077458i,0.0018153-0.001332i,0.0017764-0.00074327i,-0.00044305-0.00029228i,-0.0029147-0.0002428i,-0.0015918-0.0004984i,-1.9016e-05-0.00037437i,5.147e-05-0.00074564i,0.00020339-0.00045546i,0.00051621-0.00016286i,0.00052258-0.00023415i,-0.0001536+0.00058648i,-0.00016398+0.00085218i,0.00011795+3.4553e-05i,0.00037274-0.00027002i,0.00040368+0.00036172i,0.00061726-5.3971e-05i,0.00019615-0.00058049i,-0.0010192-0.00057608i,-0.00066677-0.00026646i,0.00027526-0.00046371i,-5.4573e-06-0.0010284i
0.0029889+0.0016538i,0.0043531+0.0011536i,0.0030655+0.00020037i,0.0010086-0.00030155i,-0.00061671-0.00044617i,-0.0015011-0.00073902i,-0.00088595-0.00085348i,7.6059e-05-0.00066596i,-0.00031298-0.00085746i,-0.00058469-0.0003967i,-0.0004014+0.00045296i,-0.00082814+0.00061689i,-0.0009351+0.00015243i,-0.00025861+0.00063182i,-0.00038806+0.0011508i,-0.00070247+0.00073435i,-0.00025384+0.00032458i,-0.00061934-0.0010403i,-0.00085678-0.0020011i,-0.00038264-0.0011637i,-0.00015572-9.7394e-07i,-0.00065796+0.0002774i,-0.00098682+0.00014529i
2.2056e-05-0.0013646i,0.00022588-0.0027247i,-0.00025587-0.0025961i,-0.00020387-0.0017898i,0.00057972-0.0017467i,0.00043389-0.0015089i,-0.00071988-0.0012243i,-0.00078135-0.00093251i,0.00010064-0.0005036i,-0.00014868+0.00059641i,-0.00090419+0.0013547i,-0.00096669+0.00081211i,-0.00074598+0.00028804i,-0.00038122-1.1979e-05i,-0.00026919-0.00043519i,-0.00051179-0.0006705i,-8.5588e-05-0.0008876i,0.00070812-0.00069091i,9.4402e-05-0.00078182i,-0.00067203-0.00091386i,-0.00055556+0.00041359i,-0.00057331+0.00038768i,-0.00060602-7.8705e-05i
0.0021985+0.0015945i,0.0036628+0.0026216i,0.0037558+0.00034194i,0.0019723-0.0016339i,0.00078392-0.0012077i,0.0010089-0.00016056i,0.00057274+0.00092914i,-0.00074389+0.0013002i,-0.00084233+0.0013006i,-4.9236e-05+0.00044959i,-0.00030195-0.00022646i,-0.00046905+0.00031423i,-0.00025482+0.00042799i,-0.00071199+0.0007077i,-0.0010481+0.0011983i,-0.00086566+0.00063826i,-0.00031843-0.00014003i,0.001068-0.00043017i,0.0008117-0.00045818i,0.00034622-0.00045816i,0.00020734+6.9874e-05i,0.00022831+0.00031476i,0.00038301+0.00014144i
0.0019+1.2109e-05i,0.0028496+0.00013779i,0.0024593+0.00061389i,0.0011196+0.00023982i,0.0002544+0.00010732i,1.1898e-05+0.00014025i,-0.00013901-1.4548e-05i,-5.4588e-05-0.00030643i,0.00047798-0.00086625i,0.00084105-0.0010285i,0.00035971-0.00090341i,-0.0001088-8.1254e-05i,-0.00034474+0.00026342i,8.8986e-05+0.00028589i,0.00069844+0.00047757i,0.00046117+0.00032705i,-0.00046439-0.00043754i,-0.00079231-0.00029272i,-0.0013032+9.9314e-05i,-0.0014608-0.00012814i,-0.00072946+0.00039158i,-0.00023352+0.00014816i,0.00012422-0.00028841i
-0.0018936+0.0033936i,-0.0022278+0.0038925i,-0.0016056+0.0031195i,0.00030679+0.0018638i,0.0010907+0.00095231i,0.00013698+0.0010777i,-0.00067507+0.00089571i,-0.0011455+0.00038487i,-0.0009007+0.00039666i,-0.00035977-4.8116e-05i,0.00042135-0.00026565i,0.00087588-0.00026277i,0.00058746-0.00035833i,0.0005159-0.00040738i,-2.9851e-05-0.00040863i,-0.00033355-0.00021912i,0.00014943+0.00025528i,0.00070007+0.00029135i,0.0010033+3.8427e-05i,0.00051056+0.00022701i,-0.00043034+0.00017516i,-0.0009888-0.00015484i,-0.0007187-0.00029687i
0.0012556-0.00027213i,0.0017539-0.0013033i,0.0013664-0.0027817i,0.0010975-0.0025926i,9.1641e-05-0.0014952i,-0.00053143-0.0008206i,-0.00039782-0.0001036i,-0.00020911+0.00032551i,-0.00030602+0.00042283i,-0.00039935+0.00072993i,-0.00043899+0.00054791i,-0.00053367-0.00076724i,0.00019771-0.0012654i,0.00055324-0.00072883i,-0.00062989-0.0005004i,-0.00094482-0.00025002i,-0.0004775+0.00049702i,-0.00050991+0.00025864i,-0.00023727-0.00023686i,0.0002071-0.00029172i,0.00066357-0.00013753i,0.00057443-0.00041775i,-0.00023872-0.00069025i
-0.000378+0.00085823i,0.00018425+0.0020049i,0.0011074+0.0038098i,0.0013131+0.0032528i,0.00079841+0.0020884i,0.00068698+0.0011788i,0.00052059+0.00031602i,0.00034495+6.5842e-05i,0.00012877+0.00038545i,-0.00021861+0.00098762i,-0.00057461+0.00015828i,-0.00031842-0.00023377i,-2.8211e-05+0.00021127i,-0.00022908+0.0001138i,-0.00029019-0.00039811i,0.00020142-0.00081235i,0.00027003-0.00086673i,-1.9019e-05-0.00027263i,9.2419e-05-0.00018943i,0.0004681-0.00048061i,5.0784e-06-0.00055018i,-0.00047504-0.00020994i,-0.00026312+0.00061137i
-0.0010284-0.0016565i,-0.0026271-0.00081949i,-0.0041388-0.00055521i,-0.0037497-0.00081639i,-0.0025794-0.0004297i,-0.0010882+1.3787e-05i,-0.00014309+0.00020354i,-0.00015815+0.0006989i,-0.00041543+0.00082049i,-0.00029618+0.0011862i,-0.00040723+0.0014686i,-0.00028501+0.00064426i,4.0279e-05+0.00020622i,-3.125e-05+0.00042104i,0.00035643-0.00012485i,0.0003557-0.00036211i,-0.00021175-0.00063626i,-0.00020533-0.00063745i,-0.00032643-0.00025865i,4.0565e-05-0.0008788i,0.00053812-0.0013059i,0.00061385-0.00062697i,0.00038955-0.00030181i
0.0010291-0.00017517i,0.0028108-0.00033962i,0.0034038-0.001037i,0.0025556-0.00019619i,0.00095788+0.0012184i,0.0002555+0.0015783i,-0.00022492+0.00039282i,-0.00075175-0.0010913i,-0.00084192-0.0009236i,-0.00081714-0.0006729i,-0.00025938-0.00017931i,0.0001769+0.00031358i,-0.000152+0.00037038i,-0.00016281-0.00012896i,-0.00049388-0.00060947i,-0.00038898+7.4512e-05i,-0.00034463+0.00028215i,-0.00036908-0.00043105i,7.7572e-05-0.0011849i,-0.00020033-0.00088999i,-0.00012123+0.00071517i,0.00065234+0.00064265i,0.00031609+4.8137e-07i
0.0011561+0.00020096i,0.00074443+0.00024255i,0.0002357-0.00048155i,0.0002162-0.0003697i,-0.00011029+0.00035488i,-0.0002286+0.00043079i,-0.00065998+7.8833e-05i,-0.00081814+0.00021585i,-0.00018595+0.00024536i,0.00077292-0.00043035i,0.0012412-0.00046154i,0.0012079-0.00011292i,0.00054495-0.00039564i,-0.00079545+0.00020035i,-0.0013237+0.0016333i,-0.00070232+0.0017968i,-0.00026186+0.00098026i,-0.00042906+0.00037784i,-0.00041314+0.00048969i,-0.00031713+0.00068398i,-0.00041721+0.00034091i,-0.00052793-0.00018821i,-0.00082717-0.00015395i
-0.00087632+0.00040801i,0.0015367+0.0021266i,0.0014074+0.0022006i,9.44e-05+0.0016292i,-7.3016e-05+0.00078806i,0.00053844-0.00039795i,6.4587e-05-0.00095066i,-0.00061287-0.00072461i,-0.00028006-9.6551e-05i,-9.4305e-06-0.0004115i,0.00018551-0.00059605i,0.00044877-0.00025906i,0.00062806-0.00018805i,0.00092517+0.00011236i,0.00042467+0.00072037i,-0.00046379+0.0012048i,-0.00037469+0.00018087i,2.647e-05-0.0011553i,-0.00020195-0.0010332i,-1.5814e-05-0.0010061i,-5.0371e-05-0.0010862i,-7.1904e-05-0.0010094i,-0.00030532-0.0010183i
-0.00060819+0.0019426i,0.00055353+0.0015714i,0.0014816+0.00020325i,0.0014104-0.00095036i,-6.9942e-06-0.00085851i,-0.00059689-0.00037456i,-8.645e-05+0.00011666i,-0.00016259+0.00052746i,-0.00031759-0.00029262i,-0.00010369-0.0002433i,0.00010152+0.0008389i,-5.8011e-06+0.00066257i,-0.0004621-7.1846e-05i,-0.00074023-0.0003788i,-0.00091191-0.00037557i,-0.0013911-0.000461i,-0.00058983-0.0010963i,0.00056645-0.00082815i,-7.912e-05+0.00049505i,-0.00024836+0.00060083i,0.00032639-1.5246e-05i,0.00053352-0.0002312i,0.00028652-0.00023847i
0.0002794+0.001263i,0.0014813+0.0023239i,0.00064939+0.0033065i,-0.00011109+0.0022682i,-0.00024998+0.0005633i,-0.00042967+0.00060261i,-0.00058795+0.0009608i,-0.00093471+0.00041597i,-0.00021418+0.00047633i,0.0010441+0.00090514i,0.00099411+0.00086319i,0.00015367+0.00074679i,-0.00013964+0.00050822i,-9.6799e-05+0.00024676i,0.0001111-7.1257e-05i,0.00046723-0.0010262i,0.00043108-0.00075072i,-8.8516e-05+2.1905e-05i,-0.00076751-0.0002885i,-0.001291-0.00038744i,-0.0012467+0.00018264i,-0.00071789+0.00017883i,-0.00030478+0.00019304i
0.0021589+0.00029862i,0.0032795-0.00073655i,0.0027115-0.0013124i,0.0016931-0.0018085i,0.00037731-0.0017892i,-0.0012064-0.0010535i,-0.0015248-0.0003356i,-0.0014723+0.0003046i,-0.00065864-0.00029998i,0.00043341-0.00068839i,0.00092858-0.00069434i,0.00076815-0.0005767i,0.00027302-2.337e-05i,0.0001176+0.00051719i,-0.00025483+0.00076255i,-0.00022828+0.0001761i,0.0004171+0.00022944i,9.6137e-05+0.00061088i,-0.00034458+0.00024036i,-0.00013437-7.9384e-05i,0.00018381-0.00032786i,0.00024265-0.0002853i,-0.00040652-0.00025699i
0.0025372+0.0008082i,0.0026761+0.00065903i,0.002337-0.00076801i,0.0011601-0.00079048i,3.6042e-05-8.0027e-05i,-0.00049674+0.0011758i,-0.00023491+0.0017163i,4.7517e-05+0.00050657i,0.00011795-0.00073544i,8.8885e-05-0.00082326i,0.00028302-0.0001829i,0.00019276-0.0001475i,-0.00065657-0.00040066i,-0.00059309-0.00068176i,0.00042024-0.00037147i,0.00047591+0.00095939i,-0.00024259+0.0018555i,3.8629e-05+0.0012081i,0.00047845-0.00017326i,0.00012414-0.00054484i,-0.0004425-0.00076067i,-0.00051628-0.0011675i,-0.00029523-0.00051478i
0.0017179+0.0003706i,0.0015946-0.00054565i,0.0011616-0.0010173i,2.9757e-05-0.0004488i,-0.0006794-0.00011661i,-0.00096934-0.00042273i,-0.00091752-0.00087923i,-0.0010397-0.00042713i,-0.0010305-0.00045818i,-0.00083983-0.0004147i,-0.00025308-0.00010657i,0.00075079+2.1029e-05i,0.0010407+0.00048491i,0.00036748+0.00047061i,0.0001909-0.00032516i,0.00069897+1.1952e-05i,0.00064099+0.00067502i,8.9284e-05+0.00050541i,0.0001331+0.00044602i,0.00059881+0.00025123i,0.0003549-1.433e-06i,0.00031962-0.00031733i,0.00027565-0.00020042i
0.0022088+0.00096226i,0.0023641+0.0007349i,0.0025017-0.0002383i,0.00056531-0.0010109i,-0.00052301-0.00037404i,-0.00013646+0.00010623i,-0.0007022+0.00028468i,-0.00072015+0.0006428i,-0.00058484+0.00060029i,-0.00031821+0.00014309i,2.039e-06-0.00040338i,-8.961e-05+4.3479e-05i,-0.0002872+0.00024073i,-0.00033609-0.00015014i,-0.00033638-3.609e-05i,-0.00026543-6.4257e-05i,-0.00019199-0.00060823i,0.0001772-0.00070039i,0.00091996+6.2365e-05i,0.0010402+0.00016232i,0.00074818+0.00023371i,0.00051708+0.0011244i,0.00054571+0.0010335i
0.0032536+0.0021775i,0.0038399+0.0013175i,0.0049666-0.00010065i,0.0035163-0.0010573i,0.00066251-0.0015536i,-0.00048696-0.00086991i,-0.0007646+2.7858e-05i,-0.00039761+0.00042234i,0.00058399+0.000773i,0.0005344-0.00013537i,0.0007167-0.00078641i,0.00091231-0.00018898i,0.00085419+0.00013981i,0.00047061-0.00012058i,0.00031368-0.00040107i,1.3526e-05-0.00018478i,-0.0010526+0.00022881i,-0.001378-0.00032522i,-0.00030407-0.0011382i,0.00035855-0.0010443i,-0.00019864-0.00056978i,-0.00069125-4.2074e-06i,-4.2264e-06+0.00049723i
0.00068883+6.9844e-05i,0.0020022-0.00083423i,0.002309-0.00020736i,0.00072694+0.0011839i,-0.00032108+0.0011878i,-0.001188+0.00055405i,-0.0011549+0.00012326i,-0.00039359+0.00023405i,-0.00030221-7.5126e-06i,6.0917e-05-0.00073804i,-5.7324e-05-0.0007904i,-0.00083436-0.0010872i,-0.0012309-0.0009597i,-0.00088452+1.4159e-05i,-8.2979e-05-0.0003006i,-0.00015022-0.00028866i,-9.097e-05+0.00071736i,0.00067817+0.00080517i,0.00014013+0.00065656i,-0.00058327+0.00029816i,-0.00020429-4.0688e-05i,0.0001906+0.00072208i,-0.0003493+0.0010492i
0.0016963+0.0021931i,0.00048509+0.0011926i,0.00037524+6.2856e-05i,-0.00019115-0.00062223i,-0.0014948-0.00073758i,-0.0012572-0.00061427i,-0.00033592+0.00033028i,-6.3655e-05+0.0010567i,-3.9434e-05-0.00016606i,0.00057091-0.00053387i,0.00037372+0.00035528i,4.2491e-05+0.00011659i,0.00024111+6.0713e-05i,7.653e-05+0.0006275i,-0.00022254+0.0014766i,-0.00092736+0.0017997i,-0.001137+0.00084904i,-0.0010552-7.2192e-05i,-0.0008753-0.00026591i,-0.00040607-9.0067e-05i,-9.6013e-05-0.00016259i,-0.00046927-0.00055775i,-0.0006928-0.00075699i
