-0.0022766+0.00016143i,-0.00077395+0.00027899i,-0.00027883-1.8638e-05i,-0.00026748-6.2984e-05i,-9.7151e-05+0.00099764i,0.00069882+0.0015318i,0.00097195+0.00078105i,0.00034528+0.00028514i,-0.00050816+5.9001e-05i,-0.00013206-4.0638e-05i,0.00079509-0.0002377i,0.00052652-0.00086424i,-0.00078217-0.0010432i,-0.0014246-0.00091409i,-0.0010143-0.00096546i,-0.00052037-0.0005038i,-0.0012315+0.00036938i,-0.0016226+0.00048582i,-0.00072216+0.00016237i,-0.00048972+6.045e-05i,-0.00075468-0.00016408i,-0.00040702-0.00034041i,0.00024938+0.0006581i
-0.0023113-0.00039012i,-0.0010043+0.00056001i,0.00047474+0.00084698i,8.5526e-05+0.00049318i,6.0619e-05+0.0012014i,0.0013704+0.0011609i,0.0013965+0.00010353i,-0.00047753-0.00048853i,-0.0017752-6.8693e-05i,-0.0010578+0.00040799i,-0.00031841+0.00033597i,-0.00025229+1.3149e-05i,-0.00027119+0.00029118i,-0.00018011+0.00064737i,-0.00021788+0.00098289i,0.00027515+0.00086519i,-3.5303e-05+0.00013409i,-0.0013356+0.00035812i,-0.0012132+0.00051787i,-0.00079152+0.00068067i,-0.0011394+0.0013146i,-0.0010644+0.00082583i,-0.00031801+0.00030989i
-0.0011414-0.00049145i,-0.00024303-0.00036876i,0.00098919+0.00029701i,0.0021183-0.00026254i,0.0018567-0.00044702i,0.0010388-2.9159e-05i,0.0012729+0.00095852i,0.00072291+0.0010521i,0.00063049+0.0007989i,0.0013726+0.00069424i,0.00081291+0.00067334i,-0.00010929+0.00096651i,0.00012693+0.00069486i,4.3696e-05+0.0004768i,-0.00046798+0.00014388i,-0.00036306-0.00065301i,0.00019441-0.00059959i,0.00032967-0.0010959i,-0.00021988-0.0013707i,-0.00058958-0.00079331i,0.00035367-0.00059307i,0.00082871-0.00032428i,0.00094108-0.00024536i
-0.00040136-0.00050233i,-0.00026606+0.0017382i,-0.0002827+0.0017195i,-5.6119e-05+0.00055646i,-0.00048003-0.00043i,-0.00075056-0.0004275i,-0.00033143-0.00031597i,-8.6323e-05-0.00046861i,-0.00018408-0.00015169i,-9.3714e-05-0.00078169i,9.2816e-06-0.0010115i,0.00031729+0.00029176i,0.00079001+0.00040668i,0.00029123+2.6974e-05i,0.00034544-4.8662e-05i,0.00068596-0.00029769i,-6.0939e-05-0.0005267i,-1.6413e-05+0.00020052i,0.00029725+0.00078589i,-0.00016364+0.00038963i,-0.00085387-0.00054126i,-0.00035871-0.00039757i,0.00067968-0.00020609i
-0.0014387+0.00023562i,-0.0013989+0.00085742i,-0.0014349+0.0010324i,-2.4792e-05+0.00014476i,0.0012383+0.00088028i,0.001606+0.0011833i,0.002665+0.00021327i,0.0021848-0.0006804i,0.00023157-0.0016439i,-0.00053683-0.0018334i,0.00043671-0.0010317i,0.00062021+0.00016135i,-0.00037901+0.00014967i,-0.000841-0.00035362i,-0.00065151-0.0006548i,0.00011197-0.00048139i,-0.00018688-0.00044521i,-0.0013199-0.00043877i,-0.0013622-0.00016656i,-0.00078555+0.00012806i,-0.00050051+0.00021592i,-0.00028656+0.00051946i,-0.00033213+0.0006934i
0.00042774+0.0014372i,0.0001396+0.0021061i,0.00075482+0.0018055i,0.00098843+0.00043178i,2.1047e-06-0.0003188i,-0.0007663-0.00018851i,-0.00056566-0.00035648i,-0.00064628-0.00074908i,-0.0010957-0.00086083i,-0.00097647+8.2921e-05i,0.00015169+0.00064498i,0.00039486+0.00026238i,-0.00031951+0.00027618i,-0.0001286+0.00053781i,0.00066472-2.9887e-05i,0.00094544-0.001046i,0.00094789-0.0014855i,0.0011996-0.0010245i,0.00073632-0.00061905i,6.4702e-05+0.00020959i,-0.00022287+0.0007181i,-7.2179e-05+0.00066314i,-8.5268e-06+0.00079232i
-0.00040651+0.00094119i,-0.000546+0.0014679i,9.7703e-05+0.0010693i,0.00027092+0.00042405i,-0.00056548+0.00034178i,-0.00079415+0.0008488i,-0.0011635+0.00071339i,-0.0012069-1.1876e-05i,-0.0018302+0.00019867i,-0.0020218+0.0010584i,-0.00047094+0.00066869i,0.0014682-0.00017246i,0.0013101-0.00015641i,-0.00058154+0.00013969i,-0.00085651+0.0005279i,-0.00010745+0.0016i,-0.00064368+0.0016949i,-0.00099909+0.00094665i,-0.00093605+0.00078351i,-0.0012191+0.00075147i,-0.00067639+0.00045256i,0.00017197+0.00053529i,0.00050184+0.00077476i
-0.0025443+0.0018523i,-0.00079047+0.001882i,0.0016233+0.0015521i,0.0028041+0.00080513i,0.0031978+0.00062562i,0.0023314+0.0007556i,7.9656e-05+0.0012178i,-0.0013291+0.0012608i,-0.00092764+0.00086837i,0.00061798+0.0001737i,0.00039217+3.523e-06i,-0.00041206+2.9957e-05i,-5.4826e-05-0.00043786i,0.00031679-0.00078982i,0.001117-0.00094434i,0.0013004-0.00051691i,0.00041792-7.7422e-05i,0.00026237-0.00065011i,0.00098135-0.0013903i,0.00052012-0.00081803i,-0.00027843+0.00015811i,-8.5069e-05+0.00011936i,0.00027612+2.0081e-05i
-0.0015642+0.00065731i,-0.00045423+0.0020078i,-0.00087984+0.0016877i,-0.0012832+0.00036046i,-0.00047467+0.00075962i,0.00040068+0.0010467i,0.0013185+0.00078654i,0.0016285+0.00031502i,0.0012068-3.9819e-05i,0.00084115+0.000628i,0.00059527+0.0009445i,5.8877e-05+0.00054067i,-0.00013225+0.00044506i,0.00013262+0.00064805i,3.3615e-05+0.0013854i,-0.00041366+0.0017405i,-0.00057345+0.0010248i,5.7343e-05+0.00096103i,0.00097431+0.0006425i,0.0010086-9.5064e-05i,0.0010272-0.00073495i,0.0011548-0.00012571i,0.00054008+0.0008437i
-0.00024442+8.9514e-05i,0.0003385+0.0013377i,0.0014623+0.0017429i,0.0018854+0.0012625i,0.0016189+0.0013165i,0.0019198+0.0015684i,0.002186+0.0012193i,0.0021173+0.00057891i,0.0013388+0.00015136i,-0.00011732-0.0005495i,-0.0014413-0.00038251i,-0.0015676+2.8954e-05i,-0.0010277-0.00072876i,-0.0003635-0.00089695i,-0.00023458-0.00033563i,-0.0007082-0.00013357i,-0.00073681+0.00033943i,-0.00088716+0.00063434i,-0.0010302-0.00016032i,-0.00048889-0.00052609i,1.2209e-05+5.571e-05i,0.00025656+0.00048462i,0.000176+0.00023934i
-0.001844+0.001109i,-0.0018055+0.0018605i,-0.0015196+0.0023374i,-0.0009941+0.0018966i,-0.00076717+0.0010755i,-0.00058182-0.00048592i,0.00022458-0.0014554i,0.000378-0.0014603i,-0.00062643-0.00073227i,-0.0005926-0.00020683i,0.00046491-0.00054357i,0.00058738-0.00069756i,0.00020813-0.00059392i,-0.00026541-0.00024131i,-0.00064594+0.00064143i,-0.00036183+0.00073693i,-0.00026299+0.00078636i,-0.00035838+0.000489i,0.00026201-0.00013578i,0.00042909-0.00016036i,3.7246e-05-0.00033918i,0.00021847-0.00044761i,0.00057712-0.00032442i
0.00048657+0.0010705i,0.0006312+0.0015473i,0.00062532+0.00064645i,0.00038677-0.0011252i,-0.00051748-0.00089589i,-0.00064521+0.00080653i,-0.00056738+0.00038949i,-0.00093924-0.00081415i,-0.0009961-0.00042587i,-0.0015389+0.00065553i,-0.0010459+0.00044346i,0.00015914+0.00011713i,2.9151e-05+0.00018549i,-0.00091288-5.6854e-05i,-0.0011459-0.00040738i,-0.00088958-0.00014551i,-0.00041437+0.00060655i,0.00031956+0.00085514i,-0.00026297+0.00074548i,-0.0011362+0.00069716i,-0.0010131+0.00056556i,-0.00040442+0.00061313i,0.00045152+0.00084272i
-0.0017267+0.0016642i,-0.001626+0.002447i,-0.00040242+0.0029446i,-0.00031504+0.0014761i,-0.00092923+0.00045606i,-0.0013568+0.000653i,-0.00081392+0.00061843i,-0.00030134+0.00070774i,-0.00058807+0.001379i,-0.00064759+0.0013388i,0.00024888+0.00068955i,0.00095175-0.00039668i,0.00080953-0.0006711i,0.00038692+0.00031255i,0.00056877+0.00027128i,0.00096422-7.3658e-05i,0.00077111-0.00050757i,0.00070855-0.00065615i,4.5185e-05-0.00033881i,-0.0002243+0.00013106i,9.9235e-05+0.00034589i,0.00014353+8.3376e-05i,-0.00012142+9.8866e-05i
-0.0001573+0.0012445i,0.00011351+0.0018985i,0.00095321+0.0018391i,0.001774+0.0018621i,0.0016767+0.0016333i,0.00070777+0.0011428i,0.00080902+0.00067425i,0.00077933+0.00089517i,-0.00036436+0.0010533i,-0.00058721+0.0003594i,-0.00027114-0.00066776i,-0.00025901+6.6363e-05i,-2.3436e-05+0.00090315i,7.0352e-05+0.00079275i,-0.00046298+0.00027209i,-0.00070327-3.7155e-05i,-0.00021735+0.00013215i,0.00036443+0.00064506i,7.5376e-05+0.0014223i,-0.00027986+0.0017617i,0.00020028+0.0010763i,0.00064438+0.00050071i,0.0008623+0.00044i
0.0010345+0.000447i,0.00030261+0.00020915i,0.00090359-0.00017207i,0.00084818-0.00013097i,0.00059703+0.00011579i,0.0012243+0.00055709i,0.0020229+0.00038984i,0.0023758+0.00015674i,0.0015156-5.3369e-05i,0.00074965-0.00038799i,0.00060943-0.00051447i,0.00021726-0.0008609i,-3.7015e-06-0.00070692i,0.0004183-0.00011325i,0.00016131-0.00040724i,-0.0004321-0.0007182i,-0.00035743-0.00079864i,-0.00041505-0.00079049i,-6.0047e-05-0.0001157i,-0.00013924+0.00050599i,-0.00038036+0.00034668i,4.6537e-05-0.00047172i,7.4147e-05-0.00071153i
-0.0013432-0.00088932i,-0.00062887-0.00068544i,-0.0007855+0.00055959i,-0.00085377+0.0012842i,-0.00071928+0.0020603i,0.0010087+0.0015597i,0.0022136+0.00019118i,0.00092248-0.0011198i,-0.00080696-0.0015448i,-0.0013237-0.0001915i,-0.0010249+0.0012481i,-0.0003262+0.0010547i,-0.00066083+0.00027167i,-0.0014126+9.4554e-05i,-0.0010997+0.00048268i,-0.00070514+0.0010161i,-0.00016916+0.00085745i,0.00030002+0.00047919i,0.00092696+0.00019761i,0.0014298-0.00040473i,0.00072838-0.00089576i,-0.00020571-0.00087358i,-0.00089937-0.00049604i
-0.0016729+0.0018069i,-0.0011583+0.0018292i,-0.00066592+0.0019303i,0.00053142+0.0007136i,0.0014087+0.00091188i,0.001717+0.00039711i,0.0017279-0.0016467i,0.00089706-0.0027537i,-0.00018379-0.0012428i,-4.9066e-05+0.00081565i,0.00032311+8.14e-05i,-0.00048319-0.00076657i,-0.00080599+0.00016097i,-0.00095996-0.00014601i,-0.00069109-0.00036546i,-0.00042641+0.00035566i,-0.0001471+0.00074289i,-3.2458e-06+0.00016828i,-0.00038363-0.00052187i,-0.0010062-0.00061228i,-0.0010959-0.00060373i,-0.00049562+0.0003225i,-0.00019703+0.00044993i
-3.707e-05+0.00058158i,0.00013331+0.0015823i,0.00048187+0.002018i,6.5539e-05+0.0015457i,-0.00069156+0.00063721i,-5.5614e-05+0.00054042i,0.00058307+0.00026314i,-0.00041225-0.00098411i,-0.0011544-0.0010085i,-0.00074064-0.00047199i,-0.00030068-0.00023774i,7.2276e-05-0.00028951i,-0.00012726-0.00016291i,0.00049315+6.0964e-05i,0.0010394-5.4238e-05i,0.00050964-9.9798e-05i,0.0002476-0.00017866i,0.00031627-0.00037715i,-8.0965e-05-0.00057082i,-0.00064367+8.5182e-06i,3.0586e-07+0.00063698i,-8.6816e-05+0.0010003i,-0.00056817+0.001113i
-0.00031861-0.00061262i,2.7194e-05-0.00013993i,0.00074426-0.00090008i,0.0012373-0.00056023i,0.00053285+0.0010416i,0.00014208+0.0012689i,0.00024037+0.00038352i,9.6828e-05+0.00030155i,0.0001069+0.00085598i,-0.00098502+0.0010716i,-0.0016413+0.0002028i,-0.00074748-0.00052872i,-0.00040372-0.00033015i,-0.0012149-0.00025956i,-0.002295-0.00038788i,-0.0014468-0.00055887i,-4.0719e-05-0.0003022i,0.00029345-0.00033369i,0.00016432-0.00087335i,0.00013072-0.00042631i,0.00016438+0.00054528i,0.00034557+0.00029766i,0.00096068+0.00027185i
0.0006734+0.0014505i,0.0015065+0.001843i,0.0018128+0.0021912i,0.0016206+0.0026182i,0.00097736+0.0024018i,0.00053257+0.0018331i,0.00053284+0.0011466i,0.00026643+0.00036993i,0.00019971+6.9782e-06i,-0.00019753+0.00038124i,-0.00029695+0.00029951i,-0.00025924-0.00017183i,-0.00022151-0.00048963i,0.00023667-0.00070909i,0.00075986-0.00062611i,0.00042605-0.00016288i,-0.00031159+0.00022234i,1.2156e-05+0.00024574i,0.00023725+0.00032678i,-0.00032499+0.00033502i,-0.00011362+0.00026778i,0.00036094-1.9757e-05i,0.00027074+0.00011029i
-0.001668+0.00096099i,-0.0008044+0.0017607i,-0.00033624+0.001839i,-8.5978e-05+0.00013538i,0.0011123+0.00019614i,0.0021041+0.0014438i,0.0016718+0.0016511i,0.0007589+0.00061488i,0.00013806-0.00019343i,-0.0006036-1.8543e-05i,-0.0011482+0.00046277i,-0.001169+0.00071767i,-0.0013417+0.00052882i,-0.0011997-7.992e-05i,-0.0010185+6.4451e-05i,-0.00032215-5.588e-05i,0.00073376+0.00025324i,0.00040782+0.00026503i,-0.00021754-0.00077262i,0.00041198-0.00064098i,0.00095156-0.00028773i,0.00061482-0.00026776i,-5.9355e-05-0.00072078i
-0.00065973+0.00058821i,-0.00028101+0.001557i,0.00069883+0.0021636i,0.00082597+0.0013483i,0.001127+0.00075595i,0.0019693+0.001411i,0.0023226+0.00044892i,0.0016167-0.00080339i,9.2335e-05-0.00075025i,-0.00061932-0.00045497i,-0.00059863+0.00040636i,-0.00052974+0.00037146i,0.00043626-0.00064951i,0.0005824-0.00070487i,0.00056466-0.00040427i,0.00022449+0.0003509i,-0.00034378+0.00080434i,-0.00044122+0.00046115i,-0.00090283+0.00029967i,-0.00071153+0.00017885i,-0.0010561-4.9415e-05i,-0.0011392-2.969e-05i,-0.00040452+3.582e-05i
0.0001265-0.00035068i,-0.00013637+0.00071458i,0.0002432+0.00017244i,-0.0002318-0.00064895i,-0.0014937-0.00059984i,-0.0016091+0.00054124i,-0.00065451+0.00019272i,-0.00028924-0.0010547i,-0.00037277-0.0009486i,0.00019821-0.00043423i,0.00093439-7.1351e-05i,0.0012016+0.00045348i,0.00097018+0.00093128i,0.00082745+0.0010089i,0.00095642-8.605e-05i,0.00044777-0.001043i,-0.00018915-0.00070567i,-0.00020234-0.00057061i,-0.00023757-0.00067685i,-0.00047653-0.00035247i,-0.00073916-7.098e-05i,-0.00026033-0.00069068i,0.00066177-0.0013046i
-2.4713e-05+0.0019522i,2.7828e-05+0.0024835i,0.00088525+0.0024193i,0.00058067+0.0021832i,0.00015584+0.001916i,0.00062556+0.0014282i,0.001179+0.00064752i,0.00076473-4.3546e-05i,0.00013186+0.00021209i,-5.2186e-05-0.00011985i,0.00047596-0.0009992i,0.00057636-0.0014668i,-0.00040394-0.0010686i,-0.0009997-0.00066895i,-0.00092342-0.0011384i,-0.00073084-0.00074927i,-0.00072431+0.00025992i,-0.00056099+0.0010819i,-0.00016323+0.0012654i,-0.00053937+0.0012434i,-0.00078825+0.0011464i,-0.00063736+0.0010168i,0.00038919+0.0011635i
-0.0006173+0.0023498i,-0.0016141+0.0016866i,-0.00013056+0.0019569i,0.00088131+0.00082247i,0.0010841+9.421e-05i,0.00048035+0.0004359i,-0.00059623+0.00041677i,-0.00096511+0.00025502i,7.2277e-05+0.00026013i,0.0013655-0.0001114i,0.0007506-0.00058619i,-0.00024247-0.00082324i,-0.00063586-0.0001667i,-0.00039526+0.00046171i,0.00039186+0.000553i,0.00026228+0.00088195i,-0.00017335+0.00058985i,1.9439e-05+0.00071972i,0.00022427+0.00076378i,-0.00026308+3.7647e-05i,0.00020513-0.00033687i,0.00060608-0.00016306i,0.00036776+0.00016855i
-0.0010886+0.0011118i,-0.001578+0.0017728i,-0.00046977+0.0018935i,-0.00014151+0.0014456i,-0.00031672+0.00050764i,-0.00029526+0.0002788i,-0.00034243+3.683e-05i,-0.00064115-0.00069442i,-0.0012787-0.00082714i,-0.001409-0.00078907i,-0.00073334-0.00060101i,-0.00025613-0.0003978i,-0.00057788-0.00018275i,-0.00038296+0.00013064i,-0.00018997+3.5841e-05i,-0.00018779+0.00012626i,0.00017581+0.000487i,0.00036091+4.5654e-05i,0.0011285+0.00035114i,0.0010432+0.0014295i,0.00053924+0.0014413i,0.0002933+0.0010354i,0.00081439+0.00055302i
-3.9397e-05+0.00071407i,0.00053122+0.00095773i,0.00032715+0.00096595i,0.00041622+0.0012335i,0.00010551+0.0017888i,0.00021364+0.0022434i,0.0013744+0.0016026i,0.0012363+0.0011659i,-0.00020019+0.00056461i,-0.0010036+0.00064292i,-0.0011869+0.0012453i,-0.00065776+0.00060267i,0.00039676+0.00013201i,0.0010604-0.00037261i,0.00063527-0.00092968i,-0.00030654-0.00066464i,-0.00060228-6.5362e-05i,-0.00069065+0.00045491i,-0.0011124+0.00050226i,-0.0011453-2.1179e-05i,-0.00053275-0.00042947i,-0.00043981-2.3325e-06i,-0.00026397-0.00026148i
-0.003328+0.0020707i,-0.0027132+0.0021693i,-0.00077206+0.0026378i,0.0006813+0.0017547i,0.0012115+0.0010013i,0.00028401+0.0008202i,-0.00048952-0.00031304i,-0.0004798-0.001574i,-0.00045932-0.0010579i,0.00013357+0.001172i,0.00059676+0.0019799i,0.00084424+0.0016004i,0.00075964+0.0010093i,7.416e-05+0.00085575i,-0.00027265+0.00066994i,-0.0006413+5.678e-05i,-0.00026878-0.00032706i,0.00067494-0.00027395i,0.00092208-0.00029953i,0.0010001-0.000468i,4.9912e-05-0.00027073i,-0.00040907-0.0002787i,-2.7225e-05-0.0004139i
-0.0017396+0.00045807i,-0.00068962+0.0010766i,0.00096538+0.0010812i,0.0022513+0.00056809i,0.0027641+0.00082887i,0.0026272+0.00108i,0.0021679-0.00015916i,0.0014232-0.00061191i,0.0015772-1.4575e-06i,0.0023557+0.00025444i,0.0019943-0.00013233i,0.0013122-0.00049755i,0.00059579-0.0008i,4.99e-05-0.0017814i,-0.00053352-0.0014718i,-0.00059343-0.0010213i,-0.00074259-0.00081994i,-0.0011889-0.00039608i,-0.0011248+0.00020953i,-0.00090953+0.00047684i,-0.00042776+0.00029042i,0.00041335+0.00061541i,0.00088675+0.00073267i
-0.0011187+0.00025707i,-0.0013692+7.9251e-05i,-0.0011996-2.9287e-05i,-0.0010062+0.00037066i,-0.00048386+0.00094503i,-1.4643e-05+0.0011196i,-3.5506e-07-0.00011631i,-0.00030286-0.0014242i,-0.00087556-0.0013253i,-0.00014212-0.00075917i,0.00050061-0.00070687i,0.0004088-0.0008581i,0.00058995-0.0010632i,4.9376e-05-0.00059114i,-0.00085611+0.00049801i,-0.00078352+0.00044604i,-0.00054663-0.00054149i,-0.00036885-0.00089736i,-0.00030979-0.00067463i,-0.00068333-0.0013753i,-0.00043079-0.0013132i,-0.00020409-0.00013456i,-0.0002509-0.00017202i
-0.00030593+9.162e-05i,0.0002768+0.00086249i,0.00082804+0.0011335i,-6.4515e-05+0.0013742i,-0.0010636+0.00079367i,-0.00054617+8.5589e-05i,-0.00068513-0.00067185i,-0.00066505-0.0012648i,6.8963e-05-0.0013277i,-0.00018137-0.0014102i,-0.0013194-0.0011131i,-0.00052803-0.00090604i,-0.0002773-0.00096322i,-0.0011376-0.0014079i,-0.0008371-0.0020731i,0.00031812-0.0011388i,0.00021398+3.6448e-05i,0.00012219+0.00018124i,0.0010042+0.00046909i,0.0018089+0.00098593i,0.0012138+0.0011607i,0.00045382+0.00023908i,0.0004434+0.00057494i
-0.0015157-0.00026812i,-0.0011877+0.00051852i,-0.00075835+0.00045153i,-0.00055082+0.00043972i,-0.0013194+0.0016571i,-0.00068844+0.0026238i,0.00097047+0.0018544i,0.00092701+0.00024349i,-0.00016984-0.00011439i,-0.00085384+0.00053496i,-0.001019+0.0013535i,-0.00067549+0.0010381i,0.00020633+0.0003005i,0.0012148+0.00034204i,0.0014161+0.00056817i,0.00031258+0.00026292i,-0.00082008-0.00026564i,-0.00096189-0.00076975i,-0.0012138-0.001472i,-0.0015578-0.0012719i,-0.00080205-7.1722e-06i,0.00025859+6.5262e-05i,0.00035431+0.00024983i
0.0004317+0.00097626i,0.00067654+0.0022194i,0.0011482+0.0020909i,0.00098123+0.0016166i,0.00069976+0.0019356i,0.00059844+0.0020777i,0.00043408+0.001065i,0.0003576+3.9574e-05i,-0.00030061-0.00037821i,-0.00065412+0.00026091i,-0.00074307+0.0010592i,-0.00049929+0.00082546i,-0.0003427+0.00036227i,-0.0012052+0.00019113i,-0.0015423+0.00013148i,-0.0012498+0.00011696i,-0.00067723+0.00021486i,2.7959e-05+9.7888e-05i,0.00096022-0.00028806i,0.00086712-0.00016522i,0.00051064+0.00048106i,3.2235e-06+0.00033953i,-0.0004662-0.00091593i
-0.00052558+0.0021645i,-0.00082077+0.002798i,0.0012711+0.0023081i,0.0023528+0.00019069i,0.0013292-0.0008534i,0.0012245-0.000274i,0.0015944+0.00090642i,0.00084255+0.001094i,-0.00028374+0.00093214i,-0.00065902+0.00071773i,-0.00013673+0.00049636i,0.00047162-0.000204i,0.00026117-0.00067894i,0.00039665-2.4577e-07i,0.00088944+0.0010509i,0.00044945+0.0014261i,-0.00011062+0.0011776i,-0.0011179+0.0007272i,-0.0017187+0.00070342i,-0.0013025+0.00066815i,-0.00075714+0.001147i,-0.00020872+0.0014988i,7.5975e-05+0.00059587i
-0.0020551+0.0014462i,-0.0019237+0.001341i,-0.00039725+0.001503i,0.0002436+0.0015219i,0.00065646+0.00085102i,0.0019058-0.00038964i,0.0016621-0.0015428i,0.0010707-0.0020282i,0.00074838-0.00093018i,0.0012562+0.00062929i,0.0021093+0.00095526i,0.0019918+0.00030422i,0.0010746+0.00012933i,-0.00058631+0.00046479i,-0.0013971+0.00033976i,-0.00086514-7.9955e-05i,-0.00040815-0.00085982i,-0.00038259-0.001528i,0.00035807-0.00098812i,0.000628-0.00024467i,0.00030506-0.00017945i,9.8409e-05+1.8036e-05i,9.6461e-05+4.8434e-05i
-0.0019693+0.0016385i,-0.0011869+0.0023284i,-0.0013351+0.0022079i,-0.0015977+0.0015599i,-0.000782+0.0020469i,0.00074717+0.0016954i,0.0014329+0.00018433i,0.0013556-0.0013131i,0.00076317-0.0018499i,0.00020742-0.0015282i,0.00068047-0.0011085i,0.0006762-0.00082604i,-0.00056722-0.00069711i,-0.0009007-0.0011461i,-0.00019388-0.0015615i,-0.00033113-0.001127i,-0.000527+0.00013992i,-0.00047966+0.0009575i,-4.5777e-05+0.001113i,0.00010259+0.00085475i,-0.00021579+0.00098833i,-9.8346e-05+0.0010176i,-7.7049e-05+0.00080184i
-0.0010292+0.0013967i,-0.00067145+0.0021004i,1.9962e-05+0.0019362i,0.00019027+0.00064819i,0.00084363+0.00047166i,0.00098384+0.001457i,0.00039383+0.00042874i,-0.00044318-0.0010782i,-0.0014835-0.0013061i,-0.0014988-0.0015098i,-0.0017921-0.0015186i,-0.0020992-0.00099948i,-0.00091889-0.00033955i,0.00018449+0.00039409i,0.00017164+0.00085145i,-1.258e-05+0.00035998i,-0.00027814+0.00025087i,-0.00060937+7.8339e-05i,-0.00061536-0.00029663i,0.00015482-0.00025984i,0.00082461-0.00045675i,0.00065487+0.00058035i,0.00060491+0.0007186i
-0.0009061-0.00093742i,-0.00058332+0.00069541i,-0.00066973+0.00080729i,-0.0006194+0.00042164i,-0.0013133+0.00092361i,-0.00092165+0.0014493i,-0.00058468+0.00081468i,-0.001898-0.00030315i,-0.0026253+9.3903e-05i,-0.0020413+0.0017872i,-0.00086384+0.0020488i,-0.0002062+0.0007274i,-0.0004935-2.4394e-05i,-0.0013375-0.00080573i,-0.0013505-0.000944i,-0.00082462-8.3146e-05i,-0.00039426+0.00046932i,-0.0002025-1.9584e-05i,0.0002338-0.00039839i,0.00063349+0.00015115i,0.00035094+0.0005691i,0.00064124+0.00055401i,0.0014304+0.00066572i
7.3762e-05+0.00047708i,-0.00059902+0.0018696i,-0.00094123+0.001968i,-0.00069254+0.00052441i,-0.00012864+0.00038247i,0.00063349+0.00071114i,0.00054963+0.0013171i,0.0004324+0.0012765i,0.00040147+0.00057406i,-1.5445e-07+0.00093576i,0.00021358+0.0015372i,0.00014204+0.0013305i,-5.4829e-05+0.00043037i,0.0001745+0.00034239i,0.00065456+0.00099192i,0.00032224+0.0010199i,-0.00011245+0.0012587i,-0.00081182+0.0010091i,-0.0018765-0.00032456i,-0.0016559-0.0013793i,-0.00080909-0.0013886i,-0.00013611-0.00055989i,0.00056017+0.00022459i
0.00017028+0.0007818i,-0.00026552+0.0014902i,0.00033179+0.0019533i,0.00020564+0.0011447i,0.00069922+0.001061i,0.00086297+0.0019287i,0.00029642+0.0016673i,0.00073578+0.00094615i,0.0012542+0.00066807i,0.0012034+0.0010872i,0.0012672+0.00088376i,0.0010124-0.00041714i,-0.00030855-0.0010981i,-0.0015371-0.0013469i,-0.0020936-0.00091871i,-0.0013274-9.4068e-05i,-0.00062392+0.00020282i,-0.00061796+0.00029763i,0.00028674-8.9812e-05i,0.00036046-0.00012634i,-0.00023337-0.00019115i,-0.00048965+0.00012622i,-0.00026778+0.00096002i
-0.0015864+0.0023235i,-0.00087902+0.0025854i,0.0010857+0.0014441i,0.0023385+0.00047954i,0.0018596-0.00016417i,0.0014719-0.00079029i,0.0016589-0.0011623i,0.0014327-0.0014231i,0.0004922-0.001824i,0.00027828-0.0021322i,0.00054392-0.0017115i,0.0002668-0.0018275i,3.0074e-06-0.0010501i,0.0010024-0.0002371i,0.0019923-0.00037074i,0.0011376+9.7035e-05i,0.00014938+0.00042963i,-0.00042693-8.1792e-05i,-0.0010135-0.0002365i,-0.0013801-0.00028768i,-0.00086973+0.00035399i,9.459e-06+0.0013302i,0.00025318+0.0013171i
-0.00019504+0.0035066i,-0.00045071+0.0036514i,0.0010979+0.0018127i,0.0023954+0.0001584i,0.0020483-0.00092836i,0.0017468-0.0021821i,0.00093153-0.002836i,-0.00035986-0.0029221i,-0.001262-0.0025028i,-0.0016761-0.001391i,-0.0011619-0.0012094i,-0.00053656-0.0014286i,-0.00046943-0.00065761i,-0.00071729+0.00030489i,-0.0013558+0.0010202i,-0.0021335+0.00056222i,-0.0021275-0.00044832i,-0.0009672-0.0011146i,-5.3161e-05-0.00087006i,0.00047713-0.0005781i,0.00032337-0.00087381i,0.00037028-0.0007105i,0.00076055+0.00027906i
0.00047653+0.00038637i,0.00025767+0.0019285i,0.00011479+0.0018i,-0.00069179+0.00076657i,-0.0011303+0.0001545i,-2.6292e-05+0.0008385i,8.5754e-05+0.00078546i,-0.0014149-6.6368e-05i,-0.0019654+0.00019953i,-0.0019004+0.001026i,-0.0020744+0.0010642i,-0.0016172+0.00075912i,-0.0011672-0.00014472i,-3.6316e-05-0.0016674i,0.00050143-0.0024371i,-0.00012421-0.0015557i,-0.00044926-0.00060029i,0.00016801+0.00039879i,0.00011795+0.001592i,7.9217e-05+0.0015794i,0.00042316+0.0008059i,0.00023175+5.726e-05i,0.00017743-0.00021799i
5.0133e-05+0.00040104i,-0.00044869+0.00095292i,0.00027319+0.00088555i,0.00033137+5.6352e-05i,-0.0010749-0.00011741i,-0.00089769+0.00047352i,-0.00024625+0.00087191i,-0.0010897+0.0010313i,-0.0019904+0.0007692i,-0.0015767+0.0012258i,-0.00054733+0.0017474i,-0.0002607+0.002033i,0.00016988+0.0016476i,0.00042271+0.0014703i,0.00010535+0.0016186i,4.1833e-05+0.0013306i,-4.6808e-06+0.00097523i,-0.00033439+0.00047433i,-0.00068986-0.00066388i,-0.00117-0.0013082i,-0.0010934-0.00044584i,-0.00018918+0.00084728i,0.00025823+0.001518i
