-0.0044794+0.0011429i,-0.0046159+0.00095508i,-0.0040143+0.0020204i,-0.0022772+0.0027464i,0.00011136+0.0029129i,0.0018924+0.0025993i,0.0019097+0.0018141i,0.0011199+0.0011687i,0.00010602+0.0010882i,0.00035407+0.0011548i,0.0010061+0.00042904i,0.00062471-0.00048673i,3.3815e-05-0.0013045i,-0.00070122-0.00090582i,-0.0012728-0.00037656i,-0.00099107+0.00016714i,-0.00099857+0.0001955i,-0.0011389-0.00027209i,-0.001063-0.00011739i,-0.00038836+4.5251e-05i,-0.00012421-0.00027135i,-0.00033403-0.00055723i,-6.8707e-05-0.00042471i
-0.0016106+0.00047032i,-0.0020634+0.00038915i,-0.0024227+0.001141i,-0.0025207+0.001441i,-0.0013919+0.0011908i,-0.00055252+0.00089273i,-0.00075074+0.00069202i,-0.0011188+0.00083385i,-0.00072188+0.00088825i,-0.00051188+0.00078423i,0.0002027+0.00067297i,0.00069694+0.00056983i,0.00025303+0.00014826i,-0.00021989-7.2913e-05i,-0.00041963+0.00025203i,-0.00049642-0.00023306i,0.00042364-0.00050496i,0.00090851+0.00035906i,0.00068539+0.00094755i,-2.8752e-05+0.00036559i,-0.00070413-0.00025533i,-0.00096064-0.00030768i,-0.0014736-0.00068908i
0.00019359-0.0012823i,-0.00032806-0.0010684i,-0.00166-0.0019343i,-0.0028953-0.001642i,-0.0017089+0.00043001i,-0.00054494+0.0020375i,-0.00049201+0.0015018i,-0.00058745+0.00025466i,-0.00054721+0.00010177i,-0.00049679+1.9013e-05i,-0.00033678-0.00032769i,6.7125e-05+0.00021837i,-0.00027156+0.00034186i,-0.00023825-0.00047595i,0.00071414-0.00042879i,0.0010131+0.00053606i,0.0004566+0.00032207i,-0.0005359-0.00063139i,-0.00066019-0.00065909i,-0.0002948-0.00045922i,-0.00012306+7.1684e-05i,-0.00044833+0.00052671i,-0.00071075+0.00046281i
0.00087877+0.0014196i,0.00082267+0.0011372i,0.0010368+0.0013717i,-8.9841e-05+0.00034824i,-0.0011158+0.00034235i,-0.0014121+0.0018291i,-0.00079852+0.002228i,0.00081702+0.0014438i,0.0011886+0.00061862i,0.00016988-2.7025e-05i,-0.00031736+0.00022798i,0.00013388+0.00072636i,-5.5146e-05+0.0012976i,7.5472e-05+0.00036553i,0.00065715-0.00072459i,0.00036101-0.00034443i,8.6627e-05+0.0010666i,-0.00060653+0.00094411i,-0.00036149-0.00063726i,0.00023532-0.00095214i,0.00014822-0.00060911i,-0.00023515-0.00064252i,-0.00040199-0.00079531i
-0.00025107-0.0027837i,-0.00049935-0.0022904i,-0.00042427-0.00045157i,-0.00042688+0.00035574i,-0.00032327-2.4354e-05i,-0.00030768+0.00069685i,-0.00069108+0.0017695i,-0.00032907+0.001161i,0.00062265+0.00058245i,0.00070168+0.00087942i,6.2653e-05+0.00065651i,6.3026e-05-0.00032696i,0.0009348-0.00094031i,0.0014858-0.00086515i,0.0011199+2.7259e-05i,0.00071162+0.00027754i,0.00079709+0.00042423i,0.00048555+0.00053967i,0.00033353-0.00012931i,0.0006972+8.7421e-06i,0.00020602-9.8975e-05i,-0.00057188-1.7271e-05i,-3.7445e-05-0.00012315i
-3.4755e-05+0.00032472i,3.1353e-05-0.00016689i,-0.00024453-3.6316e-05i,-0.00011585+0.0010695i,0.00022189+0.0010256i,0.00078684+0.00067226i,0.00057575+0.00077649i,0.00030192+0.00069722i,-0.00025541-0.00034034i,3.0082e-05-0.00097035i,0.00088363-0.00062497i,0.00037002-0.00038361i,-0.00076449-0.00061915i,-0.0007468-0.0017705i,-0.00072526-0.0017107i,-0.0005787-0.00064516i,-0.00036622-0.00010614i,0.00015766-0.00011996i,0.00046545-0.00047721i,0.00014457+6.4894e-05i,-0.00024553+0.00035177i,-0.00043205-0.0003586i,-0.00036796-0.00051148i
0.00085175-0.00082081i,0.0010999-0.00044299i,0.00068737+0.00050693i,-0.0010909+0.0016454i,-0.0021363+0.0017228i,-0.0010287+0.0020795i,2.5832e-05+0.002478i,0.00039451+0.0014968i,0.00012392+0.00074781i,-0.00061311+7.5354e-05i,-0.0005881-0.00031234i,0.00047039-6.4664e-05i,0.0013246+7.1801e-05i,0.00074181+0.0001784i,-0.00014316-0.0001295i,0.00014129-0.00030664i,0.0013197-0.00018159i,0.0011065-0.00075966i,0.00048449-0.00095349i,0.00015859-0.00030433i,-0.00045854-0.00026633i,-7.1313e-06-0.00034024i,-0.00010402-0.00051844i
-0.0013405+0.0016896i,-0.00073633+0.0021507i,-0.001021+0.0017566i,-0.00070286+0.00038696i,-5.354e-05-0.0002126i,-0.00078482-0.00011688i,-0.0010668+0.00086867i,-0.00046419+0.0016742i,0.00044283+0.0011026i,0.00033304-5.2944e-05i,0.00072183-0.00090053i,0.0014551-0.00073218i,0.000751+4.7224e-05i,-0.0001172+0.00042367i,-0.00017988+0.00046515i,0.00040216+0.00059882i,0.00049398+0.00062432i,0.00027039+0.00048134i,0.00056705+0.00041131i,0.0010186+0.00041249i,0.00099771+0.00029432i,0.00067896+7.9102e-06i,-0.00022639+7.3278e-05i
-0.00068042+0.00071439i,0.0012581+0.00090047i,0.0015461+0.00056854i,0.00030012+0.00050613i,-0.00086257+0.00076837i,-0.00034666+0.00076861i,-6.3362e-05+2.9284e-06i,-8.4751e-05-0.0010933i,0.00016451-0.0013278i,0.00048419-0.00085667i,0.00052925-0.00044836i,0.00044202+0.00028123i,0.00023585+0.00020412i,0.00052174+0.00010603i,0.00039335+0.00084437i,-5.8805e-05+0.00062652i,-0.00021488+0.00027013i,-0.00048458+0.00054451i,-0.00024288+0.00021836i,3.6417e-05+0.00021465i,3.9863e-05+0.00050946i,-7.4323e-06+0.00073183i,-0.0003717+0.0011573i
0.0014593-0.0016992i,0.0015086-0.0017008i,-0.00027837-0.0019078i,-0.0013173-0.00067486i,-0.0018243+0.00032037i,-0.0022321+0.00031805i,-0.0014298+0.00067311i,-0.00097139+0.00074861i,-0.00097188+0.00046107i,-0.00070156-0.00028006i,-0.00060417-0.00099102i,-0.00053757-0.0009831i,0.00045627-0.00074942i,0.0012872-0.00074706i,0.0012465-0.00082195i,0.0012584-0.00057699i,0.00048823-0.00023679i,-0.00045755-0.00019187i,-0.00064365+7.6488e-05i,-0.00095545+0.00030121i,-0.0010202+0.0002883i,-0.00060986+0.00014045i,0.00030172-0.000594i
0.0020911-0.001351i,0.0019143-0.0018026i,0.001768-0.0014899i,0.00096122-0.0010934i,8.2333e-05-0.00065456i,-9.8225e-05+0.00098711i,2.8012e-05+0.0018633i,-3.6627e-05+0.0014342i,-0.00026059+0.0010068i,0.0001649+0.00043806i,0.00057744-0.0004441i,0.00035214-0.00046483i,4.1655e-05-2.6662e-05i,0.00033384-2.3893e-05i,0.00037292-0.00029161i,0.00025292+0.00010717i,0.00052032+0.00076672i,0.00098987+0.00032104i,0.00064074+0.00033893i,-6.7547e-06+0.0005715i,-0.00054153+0.00030193i,3.7104e-05-0.00029395i,0.0010418-0.00031827i
-0.00010789-0.0021678i,0.0001536-0.0018476i,0.00037456-0.0010449i,-0.00059088+0.00073211i,-0.0015051+0.0019908i,-0.0006682+0.0017214i,-1.0468e-06+0.00081081i,3.8334e-05+0.00022313i,-6.3695e-05+0.00018194i,-5.3933e-05+0.0010391i,0.0001233+0.0014895i,1.0444e-05+0.0012386i,0.0002888+0.0011689i,0.0011569+0.00073712i,0.0011232+0.00013707i,0.00068562+0.00028688i,0.00034244+0.00054463i,0.00028736+0.0002425i,1.748e-06+5.3097e-05i,-0.00032022+0.00021966i,-0.00053242-0.00043874i,-3.0158e-05-0.0012898i,0.00075655-0.00067916i
-0.0022113-0.00025351i,-0.0027254+0.00059418i,-0.0033539+0.00091546i,-0.0031563+0.0012558i,-0.0021732+0.0018181i,-0.0015729+0.0022721i,-0.00085259+0.0017025i,0.00011531+0.00043692i,0.0011422-0.00010495i,0.0016254-0.00013726i,0.0013977-0.00019453i,0.00088481+1.6511e-05i,0.0001098-0.00013109i,-0.00044642-0.00023214i,-0.00025486-0.00029662i,-0.00026963-0.00033831i,-0.00078288-0.00020648i,-0.0012734-0.00012851i,-0.00090559+2.6326e-05i,-0.00058986-4.3684e-05i,-0.00019947-0.00012006i,0.00070828+0.00019926i,0.00019853+9.3144e-05i
4.8605e-05-0.00011883i,-0.00050079+0.00073065i,3.5362e-05-0.00040395i,-0.00056783-0.0010863i,-0.0023049-0.00017545i,-0.0029275+0.00098178i,-0.0019041+0.0017342i,-0.00086617+0.00071906i,-0.00040773-0.00035084i,-0.00049092-0.00039185i,-0.0002678-0.00030404i,0.00059567-0.00033544i,0.00088343-8.3997e-05i,0.00098069+0.00042389i,0.0013554+0.000417i,0.00077152+0.00069331i,-0.00022431+0.00034058i,-0.00047248-0.00018798i,-0.00039109-0.00010036i,-0.00023119+8.7484e-05i,0.00033526+0.00022786i,0.00042823+0.00021409i,0.00023041+0.00041559i
-0.00027645-0.0018185i,0.0010082-0.0025302i,0.0012242-0.0011806i,0.00034805+0.00063802i,0.00027466+0.0011852i,0.00048749+0.0015041i,0.00092661+0.0015131i,0.0015099+0.00035482i,0.0013549-8.1676e-05i,-3.3466e-06+8.7776e-05i,-0.00038977+0.00020282i,0.00065227-7.602e-05i,0.00074258-0.00051391i,-0.00021395-0.00031103i,-0.00032526-0.00047542i,-0.00012414-0.00052747i,-0.0001992+3.2744e-05i,-0.00018906-0.00012178i,0.00015301-0.00025351i,-3.0943e-05+0.00017482i,-0.00044013+0.00028784i,-0.00026046+5.1107e-05i,-0.00032635-0.0001524i
0.0002209+0.0010579i,0.00027977+0.0014846i,0.00079164+0.00093034i,0.00039449+0.0011308i,-0.00083542+0.0018541i,-0.0020417+0.0020606i,-0.0025625+0.0015069i,-0.0015148+0.00046372i,-0.00046514-0.0004779i,-5.4449e-05-0.00035756i,-0.00052178+2.398e-05i,-0.00080688+9.8211e-05i,-0.00079166+0.00030358i,-0.00066932+0.00064837i,-0.00023367+0.00048394i,-5.0578e-05+0.00039597i,7.4493e-05+0.00062773i,-0.00026277+0.00043417i,-0.00011701-0.00070266i,0.00024492-0.0010526i,0.000287-0.00059379i,0.00065523-1.5859e-05i,0.00096392+0.00029771i
0.0015306+0.0022776i,0.0012913+0.00077366i,0.0019592-0.00084156i,0.0015292-0.00033407i,0.00027688+0.00053867i,-0.00032785+0.00087613i,-0.0006466+0.00078095i,-0.00012667+0.00061163i,0.0009162-1.0533e-05i,0.00093896-0.0010328i,0.0008547-0.0013913i,0.0007619-0.0013663i,0.00020013-0.00060318i,-0.000256+0.00098223i,-0.00045402+0.0017743i,-0.00046438+0.0019277i,-0.00019626+0.0015004i,0.00032154+0.0011848i,8.2421e-05+0.0013914i,-0.00030671+0.0014043i,-0.0005647+0.0011686i,0.00010253+0.00043079i,0.0006581+0.00023608i
-0.0010687-0.0011323i,-0.0002592-0.00025397i,-0.0013665+0.0006537i,-0.0031463+0.00090908i,-0.0028351+0.0010927i,-0.00076842+0.0019129i,0.00054064+0.0024137i,0.00020816+0.0016545i,0.00042374+0.00018053i,0.00046042-0.00054408i,0.00038235-0.00085667i,0.00059065-0.00063312i,0.00041637-0.00024689i,-0.00017279-0.00072089i,6.2949e-05-0.0012401i,0.00035857-0.00014129i,8.3346e-05+0.00080083i,-0.00036358+0.00046603i,-0.00077089-0.00044713i,-0.00099959-0.00091506i,-0.00095398-0.0010068i,-0.00035413-0.00019578i,-0.00031719+0.00031478i
0.00061656-0.0017444i,0.0012089-0.0024068i,6.3236e-05-0.0035472i,-0.0018159-0.0030356i,-0.0019735-0.0014674i,-0.0012567+0.00016682i,-0.00058727+0.00081363i,-0.0002038+0.00052131i,-0.00023377-3.6337e-05i,-0.00033394-0.00016601i,-0.00066886+9.6435e-06i,-0.0011092+0.00019977i,-0.0010304-6.566e-05i,-0.00046034-0.00013238i,0.00022989-0.0001214i,0.00037645-0.00056018i,0.00018082-0.00026591i,0.00034525+0.00057501i,-0.00015755+0.00038793i,9.6789e-05-0.00023015i,0.00033742-0.00024684i,0.0002042+0.00036734i,0.00028027+0.00080895i
-0.0027215+0.00047715i,-0.0016542+0.00081275i,-0.00012813+0.0016326i,0.00053196+0.001383i,6.8473e-05+0.00066753i,-0.00029043+0.00081533i,-0.00019139+0.0011637i,-0.0005402+0.0014779i,-0.00056842+0.0013451i,-7.928e-05+0.00080287i,0.0001265+0.00064812i,-3.9077e-05+0.00013775i,8.036e-05-0.00018616i,0.00018537+0.00026086i,-3.8876e-05+0.00017816i,-0.00014788-0.00010448i,-0.0001794+2.9116e-05i,-0.00011992-9.6528e-05i,-0.0004793-0.00039752i,-0.001046+0.00010759i,-0.0010539+0.00026195i,-0.00063323-0.00019303i,-4.4377e-05-0.00079269i
-0.001119+0.0016763i,0.0010418+0.0031274i,0.0012158+0.0033198i,0.00037548+0.0024835i,0.00078876+0.0016402i,0.0005307+0.00059698i,-0.00041624+0.00024958i,-0.00049704+0.00090285i,2.3219e-05+0.0011649i,0.00023174+0.00036264i,0.0010049-0.00025453i,0.0010032+0.00019681i,0.00062369+0.00093028i,-0.00014074+0.00090902i,-0.0008827+0.00045109i,-0.00073988-0.00042597i,-0.00070164-0.00094574i,-0.00010593-0.0013162i,0.00053305-0.00094623i,0.00030254-0.00063418i,-0.00035137-0.00098182i,0.00017975-0.00034157i,0.00016165-8.8314e-05i
0.00067401+0.00055444i,0.0013647-5.7772e-05i,0.0018902-0.00053936i,0.0012439-0.0007193i,-0.00011915-0.0011104i,-0.0014942-0.001063i,-0.0018905-0.00036862i,-0.0011202-9.9549e-05i,-0.00043139-0.0010496i,0.00011721-0.0015105i,0.00035589-0.00071359i,-0.00017755+7.4385e-05i,2.5304e-05+0.0001585i,0.00042447+3.1416e-05i,4.4251e-05+0.00044038i,-0.00062123+0.0002046i,-0.00069202-0.0004848i,-0.00020345-0.00046892i,8.782e-05+1.8123e-05i,0.00019283+0.00065714i,0.00037008+0.00064286i,0.00048773+0.00075167i,0.00056963+0.00087361i
0.0010029+0.0013231i,0.0015827+0.0016141i,0.00093521+0.0014985i,-0.00081306+0.00036309i,-0.0014311-0.00053243i,-0.00090091-0.00029498i,-4.3481e-05+0.00014748i,-0.00026326+0.0004832i,-0.00024012+0.00044546i,0.00033536+7.6685e-05i,0.00073039+2.0513e-05i,-0.0003269+0.00063519i,-0.0015298+0.00093463i,-0.0014825+0.00068257i,-0.00051133-0.00021493i,0.00030243-0.001424i,0.00035372-0.0012366i,-0.0006079-0.00015062i,-0.0010167+0.00023723i,-0.00027336+0.00025425i,0.00073715+0.00052994i,0.00085551+0.00046661i,-0.00023535+0.00020518i
0.00026953-0.0018025i,0.00051813-0.00076931i,-1.6152e-05+0.00026708i,-0.00092152+0.00035403i,-0.0010593+0.001298i,-0.00038178+0.0017049i,4.4934e-05+0.001043i,0.0001162+0.00037331i,0.00027906+0.00021939i,0.00034255+3.1669e-05i,0.00042965+0.00012307i,0.00062272+0.00065052i,9.2444e-05+0.00022063i,-0.0001338-0.00036211i,0.00047513-0.00067199i,0.00035605-0.00047948i,0.00038456+8.0929e-05i,0.00066611-0.00036764i,0.0016165-0.00014628i,0.0018617+0.00022779i,0.00063485+2.5575e-05i,0.00011448+7.4091e-05i,1.9704e-05-0.0003917i
0.00024418-0.001821i,-0.00011887-0.0017268i,-0.00014729-0.0026728i,-0.00020515-0.0021997i,-0.0015885-0.00036321i,-0.0013667+0.0011466i,-0.0002101+0.0014616i,-0.00034805+0.0005592i,-0.00078142-0.0003834i,-0.0008299-0.00047887i,-0.00045812-0.00024576i,0.00043551+7.844e-05i,0.00095722+0.00066299i,0.0010289+0.00037654i,0.00075857-0.00019253i,0.00028818-6.339e-05i,0.00011502+0.0003712i,0.00027956+0.00043597i,-0.0001159+0.00023875i,-0.00075874+0.000156i,-0.00077585+7.2782e-05i,-0.00040334-3.0661e-05i,-6.0377e-05-0.00032933i
-0.0014265+0.00071197i,-0.0018258+0.0019815i,-0.0021987+0.0025551i,-0.0021641+0.0023654i,-0.0018595+0.0016129i,-0.00089196+0.0018779i,-0.0005673+0.0022311i,-0.00021502+0.00034052i,0.00069413+0.00030703i,0.00092556+0.00072241i,0.0013124-0.00079818i,0.00173-0.00094285i,0.0012712-5.971e-05i,0.00030414+0.00019961i,0.00019758-0.00050621i,0.00055686-0.00063617i,0.00058763+6.7817e-05i,0.00042759+0.00060181i,-0.00018367+0.0011973i,0.00030186+0.0013457i,0.00051488+0.00012246i,5.6361e-05-0.00051915i,-0.00011194-4.8355e-05i
-0.0017969-0.0009196i,-0.001349-0.00085496i,-0.00067704-0.00095613i,-8.2096e-05-0.00070797i,-0.00020359+0.00069168i,-0.00078449+0.0017695i,-0.00073626+0.0018929i,-0.00031573+0.0011111i,-0.00025423-0.00030629i,-0.0001215-0.00095486i,-0.00041003-0.00087669i,-0.00064323-0.00010231i,-0.00046983+0.000628i,0.00047298+0.00074272i,0.00069301+0.00049492i,-2.4848e-05+0.00027059i,-0.00041896+0.00034862i,-0.00067419-6.3236e-05i,1.2825e-05-6.4216e-05i,0.00047517-7.6136e-05i,0.00037356-0.00049946i,8.7137e-05-0.00054782i,-0.00016247-2.1373e-05i
0.0018473-0.0013154i,0.0024206-0.00069233i,0.0018478+0.00097531i,-0.00031464+0.0018522i,-0.0015071+0.001484i,-0.00070893+0.0019459i,1.6291e-05+0.0020469i,0.00028739+0.001057i,-0.00010828-4.9252e-05i,-0.001214+0.00028354i,-0.00033225+0.00050493i,0.00075889+0.0005784i,0.00050298+0.00033091i,-0.0001315+0.00018575i,-0.00092636+0.00062545i,-0.00070072+0.00044019i,-0.00048384+0.00018449i,-8.2912e-05-0.00041062i,0.00010892-0.0013902i,1.8383e-05-0.0010838i,0.00010315-0.00062122i,-0.00029821-0.00082903i,-0.00062561-0.00091753i
-0.0018425-0.000577i,-0.0020544-0.00021698i,-0.0022424-0.00037534i,-0.00211+0.00021435i,-0.0017962+0.001452i,-0.00135+0.0016567i,-0.0012138+0.0011748i,-0.00020893+0.00082343i,0.00070238+0.0003902i,0.00066267+5.7808e-05i,0.0006894+0.00050108i,0.00049345+0.00091772i,1.7433e-05+0.00039365i,2.3495e-05-0.00031635i,0.00018033-0.00064869i,-0.00017038-0.00019756i,-0.00033515+0.00017745i,-0.00014196+0.0001751i,-0.00047714-6.49e-05i,-0.0012692+1.6964e-05i,-0.0015793+0.0002458i,-0.00067065+0.00051878i,0.00026699+0.00023193i
-0.00093004-0.0015505i,-0.0012564-0.00092814i,-0.00076579-0.0019371i,-5.178e-05-0.0021201i,-0.00056476-0.00017629i,-0.0010004+0.00040584i,-0.0013379-0.00062554i,-0.0014867-0.00049942i,-0.00094999+0.00016261i,-7.2157e-05+0.0001445i,0.00077562+0.00017919i,0.00089894+0.00023938i,0.00041247+0.0002039i,-0.00030864-0.00035072i,-0.00083514-0.0012046i,6.5492e-05-0.00093008i,0.00080254-1.7286e-05i,0.0011498+0.00044433i,0.00073384+0.00073145i,5.5445e-05+0.00051778i,5.7825e-05-0.00043995i,0.00032433-0.00072539i,0.00035806-0.00013118i
0.0023029+0.00068127i,0.0033685+0.0015421i,0.0033663+0.0018817i,0.0020168+0.0010998i,4.4912e-05+1.625e-05i,-0.0013671+0.0010082i,-0.0013638+0.0020298i,-0.0010644+0.0019442i,-0.00068606+0.00078954i,0.00012772-0.00060882i,0.00053736-0.00076239i,0.00050136+0.00034406i,0.00017224+0.0010564i,-0.00011944+0.00079362i,0.00071684+2.8702e-05i,0.0010457-8.7541e-05i,0.0002308+0.00066126i,-0.00044241+0.00037071i,-0.00077139-0.00075586i,-0.00057166-0.00092605i,0.00025546-0.0010244i,0.00031002-0.00022368i,-0.00011879+0.00094418i
0.00055572-0.0011172i,-0.0012756-0.0018966i,-0.0013555-0.0021235i,-0.00098845-0.0010613i,-0.0011411+0.00036417i,-0.0017075+0.001154i,-0.0013346+0.0019006i,-0.00031326+0.0018093i,0.0005761+0.00064724i,0.0006544-0.0001979i,0.00025596-0.0012882i,1.3158e-05-0.0014352i,-8.3876e-06-0.00058891i,0.00019851+0.00018754i,-3.9781e-06+0.00011596i,-0.00021811-0.00039777i,-0.00015963-5.8728e-05i,6.341e-05+0.0007726i,2.4502e-05+0.00088231i,0.00032358+0.00043428i,0.00046726+4.1009e-06i,-0.00018966-0.00063133i,-0.00017362-0.001192i
-5.8566e-05-0.00077062i,0.00082583-0.0003246i,0.00096879+0.00057902i,-0.00040244+0.0013831i,-0.0017783+0.0020834i,-0.00085583+0.0019654i,-0.00010168+0.001218i,0.00045964+0.00074967i,0.00061023+0.00055706i,0.00046084+0.00050659i,0.0006962+0.00071281i,0.0016423+0.00049348i,0.0015672+0.0002736i,0.0009384-0.00021546i,0.00032498-0.0011128i,0.00027489-0.00091755i,0.00041064-0.00030741i,0.00021172+0.00013827i,-2.0021e-05+0.00010052i,-0.00093975+9.2018e-05i,-0.00095106+0.00035325i,-0.00023623-0.00046389i,-0.00041299-0.0005533i
-0.0011262-0.00021874i,-0.0017321+0.001082i,-0.0028774+0.00054927i,-0.0027357+0.00054624i,-0.0017274+0.0013349i,-0.00064075+0.001348i,-0.00031239+0.00074044i,-0.00028194+7.2437e-05i,0.00039261-0.00030855i,0.00084265-3.6225e-05i,0.0012554+0.00032386i,0.0014305+0.00050395i,0.0017797-0.00017885i,0.001455-0.00065943i,0.00037854-0.0010827i,1.1779e-05-0.0014912i,-0.0001687-0.0013774i,-0.00091214-0.00053107i,-0.0012775+0.00011452i,-0.0008903-0.00025905i,-0.00026865-0.00063487i,-0.00022696-0.00050398i,-0.0002329-0.00021526i
0.00048263+0.0017385i,-9.0129e-06+0.0010881i,-0.00047924+0.00050226i,-0.00037751+8.4063e-05i,-0.001037-0.00010647i,-0.0013477+0.00010657i,-0.0013641+0.0011254i,-0.0012852+0.00094345i,-0.00046343-0.00016308i,0.00046762+0.00023587i,0.00039064+0.00026628i,-0.00029045-0.00047437i,0.00021344-0.00032858i,0.00015234-4.4642e-05i,-0.0006333+0.00044146i,-0.0009431+0.00057955i,-0.00051353+0.00029771i,0.00029037+0.00058282i,0.00070683+0.00070415i,0.0012647+0.00051342i,0.0015937+0.00018936i,0.00093955-4.5495e-05i,0.00068167+0.00017031i
-0.00068118-0.0013058i,0.00021309-0.00013763i,0.001291+0.00095133i,0.0013497+0.0018191i,-0.00019337+0.0022584i,-0.00099885+0.0024257i,-0.00040584+0.0017791i,0.00028331+0.00072676i,0.00012647+0.00055339i,-3.4973e-05+0.00027669i,0.00016436+0.00015708i,6.2193e-05-0.0001709i,-0.00010262-0.00052347i,0.00022622-0.00097959i,0.0010538-0.0011015i,0.0011445-4.1901e-05i,-0.00015124+0.0003216i,-0.00095793-0.00067827i,-0.00028934-0.00065543i,-0.00020352+0.00053868i,-0.00057908+0.0011267i,-0.00013234+0.00068741i,-0.00013273+0.00025196i
-0.00026844-0.002096i,-0.0019152-0.0014719i,-0.003755-0.00098306i,-0.0040739+0.00015814i,-0.0038178+0.0016536i,-0.0019771+0.0022837i,8.5407e-05+0.0021555i,0.00017321+0.00090093i,-0.00010655-0.00071662i,0.00070788-0.00095928i,0.0010279-0.00028819i,0.00020305+0.00011616i,-7.9274e-06+7.2087e-05i,-0.00053977+5.0724e-06i,-0.00057396+0.00034884i,-0.00046979-0.00019228i,-0.0010205-0.00092305i,-0.0011111-0.00030731i,-0.00060442+0.00033133i,0.00019965-0.00075146i,0.00065219-0.0010973i,0.00012188+2.2589e-05i,-0.0010369+0.00011861i
0.00039198+0.0034315i,0.0018127+0.0029541i,0.0041844+0.0027122i,0.0041523+0.001781i,0.0026633+0.0011706i,0.0010572+0.0011305i,-0.00033806+0.00081226i,-0.00060146+0.000238i,3.2259e-05+0.00022647i,0.0005191-2.3976e-05i,0.0003459-8.4799e-05i,-5.3679e-05+0.00039838i,-0.00071779+0.00015164i,-0.0011936+0.00052472i,-0.00081681+0.00086438i,8.8749e-05+0.00012347i,0.00028644-0.00023134i,0.00058134+0.00044183i,0.00026546+0.0010089i,-0.00022657+0.0011779i,-0.00025667+0.00088436i,-0.0006782+0.00080673i,-0.00084083+0.00015293i
-0.00016723+0.0017702i,-0.00042639+0.0014737i,-0.001447+0.0023646i,-0.0012638+0.0026326i,-0.00079955+0.0027578i,-0.0010857+0.0031745i,-0.00064178+0.0024107i,0.00049139+0.0006658i,0.00027248+4.5147e-05i,-0.0002058+1.0824e-05i,-3.9795e-05-0.00042965i,-0.00011128-0.00091501i,-5.4623e-05-0.0013724i,-0.00015474-0.00090568i,3.4575e-05-0.00052572i,0.00019824-0.001199i,0.00036748-0.0009754i,0.00044318+0.00035977i,-2.5939e-05+0.0011059i,-3.914e-05+0.00088001i,-0.00027765+0.00063219i,-0.00056409+0.00040019i,-0.00052738+0.00027098i
0.00075872+0.00045817i,0.0010356-0.0002442i,2.9084e-05-0.0013177i,-0.001427-0.0016611i,-0.0013516-0.00053214i,-9.2023e-05+0.0011776i,0.00063179+0.0014984i,0.00057999+0.0010335i,0.0001484+0.00048234i,0.00048748+5.5696e-05i,0.000685-0.00039739i,0.0002489-0.00074934i,0.0001568-0.00068778i,0.00011391-0.00071584i,3.1821e-05-0.00023198i,-0.00083262+0.00053633i,-0.0012111+6.9511e-05i,-0.0010059-0.00032468i,-0.00056493-0.00055241i,0.00055453+0.0002076i,0.0010977+0.0012393i,2.2585e-05+0.00067507i,-0.00042832-0.00044048i
0.00048373+0.00051169i,0.0025274+0.0011291i,0.0026574+0.0014117i,0.0020998+0.00010383i,6.6984e-05-0.00022019i,-0.0026029+0.00040551i,-0.0022366+0.001014i,-0.00050471+0.0011923i,0.0002313+0.00036196i,0.00026241+0.00022033i,0.00028531+0.00097092i,-0.00035499+0.00033896i,-0.0002882-0.00046712i,-7.5782e-05+0.00032542i,0.00020274+0.00087435i,0.0002515+0.00049527i,-0.00079039-0.00020412i,-0.0013429+0.00019924i,-0.00049282+0.00054332i,0.00071449+4.172e-05i,0.00094571-0.00019638i,0.00016903+9.3078e-05i,-0.0010027+0.00087631i
-0.00029998+0.00012803i,-0.0011647-0.0003686i,-0.0011529-0.00024103i,-0.0012394+0.00072384i,-0.0011691+0.0013948i,-0.0016451+0.0016586i,-0.0011884+0.0015045i,-0.00025977-4.5757e-05i,0.00015753-0.00093595i,2.4274e-05-0.00052812i,-0.00013286-0.00013672i,0.00084668+0.00023508i,0.0020145+0.00027862i,0.0023928+1.5602e-05i,0.0014772-0.00031387i,0.00098847+0.00053414i,0.00053882+0.00051258i,-0.00049803-0.00054603i,-0.00090063-0.00074657i,-0.00068404-0.000887i,-0.00070866-0.0013313i,-0.00019722-0.00062298i,0.00056431+0.00038051i
0.0030783-0.0028328i,0.0034312-0.0030938i,0.00276-0.0034053i,-0.00017436-0.0026496i,-0.0025103-0.00062811i,-0.0020317+0.0005485i,-0.0009591+0.00083558i,-0.00055616+0.00094704i,-0.00078317+0.00085538i,-0.00082811+9.8873e-05i,-0.00083928-0.0011787i,-0.00039767-0.0013432i,-8.1763e-05-0.00022217i,-0.00019834+0.00028788i,-0.00033143+0.00027084i,5.0781e-05+0.00069194i,0.00055401+0.00093052i,-6.3671e-06+0.00067622i,-0.00055212+2.6876e-05i,-0.00034179+0.00024033i,0.00056227+0.00029815i,0.00047573+0.00033565i,0.0001059+0.00030917i
