0.00064594+0.00061753i,-0.00013755-0.00052429i,-0.00031142-0.0013559i,-0.0014161-0.0013328i,-0.0025774-0.00030076i,-0.00241+0.00068085i,-0.00092699+0.001164i,0.00066647+0.0013565i,0.0014331+0.0017728i,0.00068332+0.0016945i,0.00015231+0.0010608i,0.000171+0.00016295i,0.00038501-0.00054345i,0.00055026-0.00073811i,0.00085373-0.0010102i,0.00058191-0.0009343i,0.00056437+0.00015775i,0.00057051+0.00023954i,3.4308e-05-0.00014385i,0.00015405+0.00039781i,0.00050945+0.00042584i,0.00064708-0.0004683i,0.0011538-0.00033643i
-0.0015597-0.00041432i,-0.0008046-0.00032296i,-0.00097354-0.00030722i,-0.0016196-0.00014303i,-0.00041784-0.00092876i,0.000315-0.0021749i,0.000103-0.0018603i,0.00036083-0.00011367i,-0.00022151+0.0011212i,-0.0010088+0.0008706i,-0.00038633+0.00078692i,-1.3248e-05+0.0019243i,-0.0001031+0.0020163i,9.7778e-05+0.0012318i,-0.00051596+0.00077106i,-8.1858e-05+0.00030779i,0.00090016-9.9234e-05i,0.00030088-0.00032384i,-0.0013257-0.00051418i,-0.0015294+0.00023i,-0.00041762+0.0012893i,0.00023449+0.0014185i,0.00043404+0.0012312i
-0.00027257-5.3572e-05i,-0.00060183-0.00067756i,-0.0013006-0.0011227i,-0.0007702-0.00056114i,0.00021221-0.00067151i,-0.00035939-0.00065328i,-0.0015519+0.0009014i,-0.0012151+0.001883i,-0.00054812+0.0022213i,-0.0004171+0.0026292i,-0.00032521+0.002515i,-0.00024682+0.0019782i,0.00030406+0.0010689i,0.0010721+0.00054142i,0.0013572+0.00048438i,0.00065752+8.1254e-05i,0.0003954+0.00022554i,0.00079577+0.0007614i,0.0011218+0.00035498i,0.0014143+4.4534e-05i,0.0010863-0.00010146i,0.00093388-0.00036818i,0.0017785-0.00051329i
-0.0009447-0.00038317i,-0.00083892-0.00069814i,-0.0011919+0.00053008i,-0.00067786+0.00093303i,0.00034928-6.9128e-05i,7.6515e-05-0.0014824i,-7.6939e-05-0.0025779i,2.9708e-05-0.001719i,0.00021628-0.00047205i,9.0378e-05+0.00038702i,-0.0005434+0.00058298i,0.00031202+0.00084489i,0.0017755+0.0015434i,0.0014774+0.0016819i,0.0010033+0.00088405i,0.00046898+4.7836e-05i,-0.0002721-0.0012265i,0.0003781-0.0014019i,0.00024526-0.00073241i,-0.00036471-0.00076387i,-0.00040464+1.6037e-05i,-0.0004578+0.0014542i,-0.00037766+0.0014513i
0.0010478-0.00070407i,0.00090258-0.00085348i,0.00059467-0.0012376i,0.00092373-0.0019283i,0.0018671-0.0019355i,0.0020935-0.00040661i,0.0011508+0.0013076i,0.00013935+0.0012358i,-0.00018997+0.00065378i,-0.00051937+0.0010158i,-0.00039223+0.0012995i,0.00029715+0.0010446i,0.0008098+0.00033279i,0.0017472-5.7901e-05i,0.0026332+0.00065846i,0.0022928+0.00021311i,0.0019397-0.00033738i,0.0024258-0.00014873i,0.0029523-0.0001999i,0.0027991+7.0473e-05i,0.0013322+0.00022899i,0.00066977-6.688e-05i,0.00079486-0.00021288i
0.00058484-0.0016149i,0.00010801-0.0019553i,0.00033738-0.002557i,-0.00037655-0.0024939i,-0.0015897-0.0020412i,-0.0016182-0.0026554i,-0.001545-0.0019642i,-0.0013852-0.00033053i,-0.0007858-6.8615e-06i,-0.0010189+0.00012102i,-0.0016056+0.00059696i,-0.0015105+0.0011198i,-0.0015262+0.0011439i,-0.00074016+0.0008502i,2.369e-05+0.00096383i,-0.00048939+0.00075287i,-0.00089703+0.00045967i,-0.0010962-0.00012053i,-0.0012404-0.00044772i,-0.00071772-0.00051839i,-3.713e-06+0.00025091i,-0.00010523+0.0013385i,-0.00071047+0.00057515i
-0.0016038-0.00064147i,-0.00086042+0.0002123i,-0.0014477-4.659e-05i,-0.00042903-0.00099361i,0.0015516-0.0010209i,0.0017832-0.00011706i,0.00044359+0.00072804i,-0.0004427+0.0010139i,0.00025124+0.001107i,0.00085883+0.0012414i,0.00012092+0.00067769i,-0.00057347+2.3625e-05i,-0.00051678-0.00018975i,-0.00092565-0.00029522i,-0.00094236-9.6716e-05i,-0.00021249+0.00028371i,0.00049814+0.00063516i,0.0014956+0.00079352i,0.001527-0.00021888i,0.0015609-0.0013573i,0.0018019-0.0008752i,0.0020874-0.00044242i,0.002415-0.00079166i
2.7321e-05-0.00094348i,-0.00039837-0.0016191i,-5.6608e-05-0.0012992i,-0.0006343-0.0010974i,-0.00079794-0.001003i,-0.00041645-0.00073036i,-9.1464e-05-0.0011708i,0.001175-0.00048117i,0.0004041+0.00072668i,-0.00071622+0.0011914i,-0.00011732+0.0020617i,-0.000365+0.0019958i,-0.00030152+0.0014412i,0.00025693+0.0013162i,-0.00030295+0.0010315i,-0.00011537+0.0011421i,4.5544e-05+0.00080186i,-0.00062632+0.00023813i,-0.0017274+0.00062608i,-0.0022731+0.00055597i,-0.0016811+0.00057389i,-0.0010053+3.5076e-05i,-0.00087632-0.0013253i
0.0015532-0.00069306i,0.001584-0.00081837i,0.0023988-0.0011561i,0.0026229-0.0012933i,0.0023786-0.00155i,0.0013824-0.00085738i,0.00069937+0.000977i,0.0002633+0.00082075i,-0.00015716-0.00029855i,-0.00029511-0.00047279i,-0.00012472-0.00016247i,0.00042796+0.00052455i,0.00035211+0.0013011i,-0.00030917+0.0013142i,0.00015537+1.4702e-05i,0.00078065-0.00073029i,0.0003454-0.00016433i,0.0012966-0.00067943i,0.0023101-0.0014642i,0.0019428-0.001735i,0.0015606-0.0018725i,0.0014638-0.00077801i,0.0015016+0.00016015i
-0.00057064-0.00057651i,-3.2543e-05-0.0013627i,0.00066341-0.0015354i,0.00031259-0.001957i,-0.00054984-0.0022913i,-0.0012824-0.0029813i,-0.0014269-0.0028459i,-0.00043344-0.0018362i,6.0129e-05-0.00071614i,-0.00036866+0.00034103i,-0.00058009+0.00039464i,-0.00061958+0.00032163i,-0.00028505+0.0013241i,0.00027526+0.0020114i,0.00056841+0.0020837i,0.00024816+0.0016343i,-0.00033036+0.00063676i,-0.00084159-0.00010493i,-0.0012578-4.6014e-05i,-0.0022847-0.00015805i,-0.0013829-0.00046525i,-6.4127e-05+0.00022982i,-5.7614e-05+0.00026351i
-0.00062414-0.00037161i,-0.00049794-0.00031053i,0.00051504-0.00125i,0.00076539-0.0019263i,0.0014969-0.0019951i,0.0022688-0.0010833i,0.0012423+0.00075353i,-0.00013261+0.0015332i,-0.00046878+0.0018804i,-0.00094188+0.0019322i,-0.0010886+0.0015266i,8.2698e-05+0.0010146i,0.00041314+0.00048996i,0.00059656+0.00083439i,0.0011162+0.00087149i,0.0007754-0.00059525i,0.00063199-0.0012351i,0.0011497-0.00090241i,0.0015858-0.00063535i,0.001231-6.3174e-06i,0.00048547+0.00079469i,0.00072715+0.0011266i,0.0011762+0.0010436i
0.0018505+0.00046452i,0.0019923+6.4782e-05i,0.0027811-0.001321i,0.0023806-0.0019797i,0.00060527-0.0024513i,-0.0020975-0.0028597i,-0.0027366-0.0024522i,-0.00088067-0.00088222i,-2.848e-05+0.00022975i,-0.0004596+0.00030076i,-0.00085285+0.00033354i,-0.0011452+0.00057227i,-0.0013389+0.0011061i,-0.0014468+0.0012823i,-0.00071264+0.00047641i,0.00012899+0.0005323i,0.00033841+0.0011782i,0.00027822+0.0012954i,-0.00043111+0.00079441i,-0.0013822+0.00024034i,-0.0014985+4.4371e-05i,-0.00066659+0.0001706i,-0.00047801+3.124e-05i
0.0012211-0.0019431i,0.0013087-0.0020652i,-0.00026396-0.0017594i,-0.00011442-0.0017582i,0.0013266-0.0021034i,0.00267-0.00062408i,0.0020827+0.0019613i,0.00021297+0.0022575i,-0.00077699+0.00098505i,-0.00039292+0.00075324i,0.00050052+0.00062038i,0.00033125+1.2611e-05i,-0.0006794+0.0002672i,-0.00081364+0.00061216i,0.0002098+0.00036767i,0.00043028+0.0001015i,0.00032069+2.452e-05i,0.0013207-0.0010866i,0.0024664-0.0011557i,0.0022698+1.8226e-05i,0.0008564+0.00078694i,-0.00010656+0.0013254i,0.00020934+0.0012523i
0.0018653-0.0010012i,0.0010766-0.0015671i,0.00091873-0.0016541i,-4.5319e-05-0.0014168i,-0.0015744-0.0016717i,-0.0025533-0.0024291i,-0.0020159-0.0026686i,-0.00092379-0.0013564i,-0.00016358-5.5714e-05i,0.00034333-0.0004548i,-0.00025614-7.7661e-06i,-0.0011121+0.00068066i,-0.00074883+0.00082898i,-1.272e-05+0.0012045i,0.00090292+0.00048601i,0.0010956-0.00031312i,0.00019458-0.00034303i,-0.00042764-0.00022973i,-0.0011652-0.00024536i,-0.00077166-0.00023827i,-0.00044191-9.5967e-05i,-0.00086525+0.00010009i,-0.00040436-0.00070323i
-2.5607e-06-0.00089728i,-0.00050852-0.00065487i,-8.1476e-05-0.001579i,0.00039472-0.0019431i,0.0012111-0.0019091i,0.0030805-0.00097148i,0.0029136+0.0019922i,0.00087785+0.0035151i,-0.00056042+0.0028229i,-0.0010627+0.0020954i,-0.00045571+0.0015575i,6.8937e-05+0.0013582i,-0.00040711+0.0015673i,-0.00065532+0.0021028i,-0.00013162+0.002419i,0.00014885+0.0015419i,2.1e-05-0.00018768i,0.00066124-0.0015686i,0.0011234-0.0015285i,0.00016462-0.00054118i,0.00016853+0.00028637i,0.00095414+0.0010482i,0.0012029+0.0011548i
0.0019328+0.00058805i,0.0014563+0.00099853i,0.0018605+9.5162e-05i,0.00091571-0.00017137i,-0.0016963-1.9446e-05i,-0.0035963-0.00071978i,-0.0040558-0.0019191i,-0.0024554-0.0023606i,-8.3032e-05-0.001391i,0.0007724-0.0009175i,0.00042995-0.0003042i,0.00041925+0.00056922i,-0.00031395+0.00097175i,-0.00060543+0.00068806i,-0.00024175+7.5352e-05i,0.00052188-8.6329e-05i,0.00057765-3.0736e-05i,-0.000115+0.00049276i,-0.00017907+0.00092367i,-0.00097787+0.00075158i,-0.0015773-0.00016564i,-0.00083184-0.00076543i,-0.00065213-0.00053465i
0.0028825-0.0016565i,0.0015633-0.0018764i,0.00099119-0.0031382i,0.00066418-0.0040021i,0.00097082-0.0042129i,0.0029624-0.0030636i,0.0043578+0.00043983i,0.0021429+0.0028405i,-0.00028907+0.0023552i,-0.001142+0.00068235i,-0.00085611-0.0001463i,-0.00024271+0.00028322i,-0.00010913+0.00043007i,-5.8391e-05+0.00085392i,-0.00073373+0.0010054i,-0.0012238-0.0006491i,-0.00064462-0.0010411i,0.00081736-0.00039687i,0.0014329-0.00061131i,0.00064907-0.000279i,0.00027399+0.00077562i,0.00050363+0.001789i,0.00095677+0.0025004i
0.001042-0.0010253i,0.0010599-0.0018372i,0.00090277-0.0026458i,-3.618e-05-0.0016329i,-0.0021317+0.00032556i,-0.0053197+0.00085849i,-0.0068388-0.00080419i,-0.00438-0.0016071i,-0.0018142-0.00020646i,-0.00035248+0.00084907i,8.5743e-05+0.00044898i,-0.00028516+0.0003026i,-0.00023105+0.0010857i,-0.00049315+0.0021118i,2.7785e-05+0.0012032i,0.0015219+4.6762e-05i,0.0017209+8.4481e-06i,0.00046969-0.00040466i,-0.00021871-0.0010759i,1.2379e-05-0.0015381i,0.00014718-0.0018551i,-0.0002769-0.0023363i,-0.00070874-0.0025401i
0.00029856-0.00057942i,0.0011833-6.067e-05i,0.00053552+0.00077229i,0.00055201+0.00027668i,0.0028219-0.0020656i,0.005891-0.00274i,0.0077252-0.00035464i,0.0046712+0.0017193i,0.0006067+0.0018383i,-0.0010802+0.00084765i,-0.00094366+0.00023459i,-0.00078035+0.00056206i,-0.0009421+0.001093i,-0.00036511+0.0019347i,0.00014912+0.0022801i,0.00018245+0.0017116i,0.00028808+0.0012751i,0.00064027+0.00020797i,0.00083042-0.00064171i,0.0006826-0.0011406i,-7.6997e-05+0.00011735i,9.7964e-05+0.0018209i,0.0014826+0.0022726i
0.0010192+0.002436i,0.0015909+0.0021845i,0.0027901+0.0015723i,0.0036851+0.00031863i,0.0017994+0.00095147i,-0.0029362+0.001697i,-0.0064194+0.0004529i,-0.0042672+0.0001124i,-0.00062949+0.0005649i,-5.3784e-05+0.00079225i,-0.00053118+0.0012605i,-0.00095786+0.00091097i,-0.0014665+9.1559e-05i,-0.00086546-0.00031443i,-0.00017828-0.0011663i,0.00030608-0.0011794i,0.00077323-0.00049179i,0.0014242+0.00024916i,0.00091792+0.00024912i,-6.5855e-05-0.0012807i,-0.00056135-0.0019398i,-0.0010463-0.0013362i,-0.0012811-0.0021094i
0.00396+0.001697i,0.0025675+0.001022i,0.0032553-0.00012341i,0.0032943-0.0026661i,0.0037048-0.0052863i,0.0059737-0.0054755i,0.0072095-0.001643i,0.0049402+0.0020011i,0.0013271+0.0027297i,-0.00021451+0.001118i,-0.00029046-0.00020403i,-0.00018538-0.00025312i,-0.00014092+0.00021052i,0.00023582+0.0010895i,0.0011584+0.00096219i,0.00076927+0.00062601i,-0.00012597-0.00010446i,0.00018805-0.0012846i,0.00044976-0.0012529i,-1.0987e-05-0.0005535i,-0.0004081+0.00025987i,0.00010378+0.0014075i,0.0012622+0.0015861i
-0.0042517+0.0010205i,-0.0035294+0.0010911i,-0.00095679+0.002756i,0.0018016+0.0034909i,0.0016316+0.0030019i,-0.0023007+0.003304i,-0.0061109+0.0014021i,-0.0053028-0.0016159i,-0.001907-0.00076854i,-9.0021e-05+0.001128i,0.00049157+0.0010808i,0.00052702+0.00041199i,-6.4212e-05+0.00017948i,5.4587e-05+0.00019232i,0.00023738-0.00015476i,0.00023089-0.00060397i,0.00068961-0.00074168i,0.0011368-0.00055745i,0.00055482+0.00014372i,0.00019848+0.00021163i,0.00072122-0.00070847i,0.00070917-0.0011604i,-1.4492e-05-0.0015207i
0.00045537+0.0035215i,0.00090666+0.0035269i,0.0018896+0.0027281i,0.0015885+9.6168e-05i,0.0015209-0.0030735i,0.0038618-0.0064909i,0.0065423-0.0044635i,0.0049257+0.0013151i,0.0013774+0.0027823i,0.00031377+0.00091059i,0.00073328-0.00051425i,0.00022926-0.00067508i,-0.00028188-6.3728e-05i,-0.00028593+0.0011464i,-0.00037794+0.0017113i,-0.00034659+0.0011019i,2.6421e-05+0.0012119i,0.00055757+0.001036i,0.00097882+0.0002572i,0.00047652+0.00043802i,0.00015289+0.0013291i,0.00033527+0.0022159i,0.0011384+0.0026146i
-0.0009864+0.0041813i,-0.0011127+0.0045143i,0.00080474+0.003849i,0.0034778+0.003122i,0.0037202+0.0034836i,-0.0017545+0.0052358i,-0.0074959+0.0039694i,-0.0060393+0.00012511i,-0.0018395-0.00062949i,-8.2351e-05+5.3517e-05i,0.00031142+2.2998e-05i,0.0010986-0.00030011i,0.0011567-0.00013874i,0.0010373-0.00044732i,0.00077757-0.0008552i,-8.6307e-05-0.00087063i,0.00020621-0.00092845i,0.00093509-0.00047144i,0.0010585+0.00082817i,0.0011034+0.00052121i,0.001253-0.00094626i,0.00075824-0.0014803i,-0.00047614-0.0016407i
-0.00018991+0.0010867i,-0.00054632+0.00026809i,-0.0010746-5.15e-05i,-0.00054213-0.0017042i,0.00047166-0.0054364i,0.0042978-0.0092479i,0.0090702-0.0064252i,0.0072365+0.00033004i,0.0028312+0.0029964i,0.00084325+0.0020852i,0.00029541+0.00096448i,-0.00019725+0.00065003i,-7.1317e-05+0.00059395i,0.00087817+0.0013029i,0.0010462+0.0017178i,0.0011472+0.0012497i,0.00094707+0.0012984i,0.00073479+0.0010629i,0.00083196-0.0001461i,0.0003198-0.0004288i,-0.00060709+0.00060283i,-0.00064745+0.0014484i,0.0004241+0.0019166i
-0.00042112+0.0020562i,0.0003213+0.002168i,0.0013315+0.0022077i,0.0032702+0.0018233i,0.0040488+0.00341i,-0.0018119+0.0067728i,-0.0092146+0.0060519i,-0.0084745+0.001752i,-0.0042973-0.00019071i,-0.0018477-0.00035213i,-0.0012123-0.00051352i,-0.0013739-0.00036468i,-0.0012448+0.00033508i,-0.00070601+0.00022538i,1.6795e-05-0.0005371i,-0.00046806-0.00090345i,-0.0013483-0.0013886i,-0.00057489-0.001307i,0.00037306-0.00062362i,0.0002341-0.00068462i,-8.026e-05-0.00027634i,-0.00050392-0.00027265i,-0.00068131-0.0019325i
0.00038972+0.00053189i,0.00067354+0.00019588i,-0.0002938-9.547e-05i,-0.0019923-0.0011255i,-0.0019413-0.0054554i,0.0026887-0.010418i,0.0094736-0.008711i,0.0092191-0.0024106i,0.0037378+0.0013474i,0.00084023+0.0013838i,0.00070955+0.0010786i,0.00063009+0.0016799i,0.00072931+0.001978i,0.00065766+0.0016159i,0.00025064+0.0015031i,0.00081295+0.0013132i,0.0015916+0.0010996i,0.0014572+0.0010506i,0.00068047+0.00033723i,-0.00025569-0.00024284i,-0.00040661+0.00028334i,0.00084537+0.0010749i,0.0020087+0.0026366i
0.0011828+0.00033932i,0.00089485+0.00075702i,0.0014601-0.00027785i,0.0028977-0.00090725i,0.0040737+0.0042044i,-0.00022135+0.01106i,-0.0081095+0.010451i,-0.0091514+0.0045777i,-0.0050265+0.00063751i,-0.0018652-0.00052922i,-0.0009794-0.00026993i,-0.00063691+0.0010465i,-8.2292e-05+0.0013002i,9.9325e-05+0.0012939i,-0.00024969+0.0010884i,-0.00048988+7.2254e-05i,-1.9331e-05-1.9062e-05i,0.00019677+0.00019504i,-0.00033398+0.00064649i,-0.00034504+0.00061488i,0.00045543+0.00054721i,0.00054294+0.00038698i,-0.00016174-0.00094024i
0.0020519+0.0029872i,0.0030458+0.0029359i,0.0042728+0.0023612i,0.0026365-0.0011847i,0.00027712-0.0083572i,0.00090434-0.015941i,0.0062867-0.014672i,0.0077782-0.0064061i,0.0045876-0.00053104i,0.0022303+0.00019917i,0.0011708-0.0001915i,0.00053277-0.00053418i,0.00013678-0.00014348i,0.0007099+0.0012598i,0.0012746+0.0016254i,0.0020337+0.001837i,0.0028365+0.0021725i,0.0024137+0.0013789i,0.0017934-0.00020106i,0.0016506-0.0013842i,0.00084303-0.00044754i,0.00066965+0.0017697i,0.0014833+0.0030058i
-0.00054821-0.0012933i,-0.0013336-0.0017309i,-0.001341-0.0014971i,0.0010395-0.00030994i,0.0032299+0.0048907i,0.0010164+0.013893i,-0.0059993+0.01511i,-0.0082796+0.007045i,-0.0043102+0.0017377i,-0.0016228+0.0013665i,-0.00057933+0.001182i,-0.00013683+0.00063461i,-0.00029712+0.00078856i,0.00013613+0.00087535i,-0.00031073+0.00030149i,-0.00175-0.00011695i,-0.0021386+0.00013348i,-0.0012666+0.00052762i,-0.00052885+0.00059663i,-0.00031263+0.00099347i,-0.00038942+0.0014012i,-0.00026692+0.00022852i,-0.00071698-0.0016188i
0.0011269+0.0012079i,0.0009092+0.0014014i,0.0010022+0.0019612i,-0.00087772+8.228e-05i,-0.0037924-0.0061116i,-0.0015774-0.016357i,0.0051018-0.018409i,0.0078157-0.0088611i,0.0043635-0.0015046i,0.001035+0.0003621i,-0.00039761+0.00063534i,-0.00098338+0.00045929i,-0.00095709+0.00060297i,-0.00054201+0.00036062i,-0.00024152+0.00061509i,0.00094242+0.0013638i,0.0024145+0.0013874i,0.0023112+0.00098939i,0.00087084-0.0002794i,-6.2704e-05-0.00081295i,-0.00016858-0.00010689i,0.00011414+0.00073968i,0.0011714+0.0018868i
-0.0021457+0.00027576i,-0.0023638+0.00075862i,-0.00076553+0.00077013i,0.0047414+0.00035766i,0.0096524+0.0041338i,0.006318+0.014951i,-0.0036644+0.019677i,-0.0080017+0.012029i,-0.0051267+0.0043485i,-0.0020932+0.0015231i,-0.00029097+0.00086028i,0.00014538+0.00020786i,0.00042511-4.1571e-05i,0.00010386+5.6018e-05i,-0.0011765-0.00039932i,-0.002321-0.00095957i,-0.0019133-0.0015141i,-0.0006905-0.00066356i,0.00017902+0.0010129i,0.0012977+0.0015813i,0.001399+0.0010974i,0.00070521+0.00044476i,-8.7182e-05-0.0013984i
0.0022561-0.0013471i,0.0017926-0.0009508i,-0.00050681-0.001581i,-0.0046992-0.0016741i,-0.0099551-0.0068841i,-0.0082376-0.019003i,0.0017517-0.022602i,0.0070499-0.011904i,0.0044074-0.0025099i,0.0006354-0.00030002i,-0.0010818-6.9868e-06i,-0.0015366+0.00043475i,-0.0012713+0.00080778i,-0.00018171+0.0017043i,0.00087989+0.0018317i,0.0015318+0.0012832i,0.0023007+0.00010956i,0.0020363-0.0015939i,0.0011103-0.0022562i,0.00068918-0.0024415i,0.00044721-0.0014971i,0.0006869+0.00042586i,0.0018224+0.0022367i
-0.00074584+0.00029817i,-0.0013366+0.000403i,0.00058243-9.331e-05i,0.0065315-0.00029433i,0.013608+0.0066273i,0.010138+0.018701i,-0.0018489+0.022644i,-0.006873+0.013793i,-0.0051531+0.0039128i,-0.0030005+0.00036095i,-0.0017078-5.5856e-05i,-0.00039236-6.2028e-05i,-9.9933e-05+0.00087934i,-0.00027619+0.00198i,-0.00030526+0.0019081i,-0.00058735+0.00019032i,-0.00036205-0.00055573i,6.1793e-05-1.1929e-05i,0.0002141+0.00027986i,-4.7215e-05+0.00062498i,-0.00017651+0.00038544i,-4.749e-05-0.00062549i,-0.00069344-0.0016641i
-0.0009765+0.0036825i,0.00041324+0.004463i,0.00065265+0.0055517i,-0.0030981+0.0036083i,-0.011492-0.0066706i,-0.011204-0.021641i,-9.2617e-05-0.02567i,0.0061382-0.014658i,0.0045815-0.0032016i,0.0018834+0.0010405i,0.0007095+0.00084122i,0.0006221+0.00023238i,0.00061124-8.6047e-05i,0.00084714-0.00030256i,0.00083888+0.00013885i,0.0012342+0.00022085i,0.0018035-0.00016336i,0.0017139-0.00079232i,0.0010247-0.0020004i,0.00016422-0.0022353i,-0.00011429-0.0014174i,-8.1591e-05-0.00018032i,0.0010324+0.00094827i
0.0019565-0.00088389i,0.0018126-0.0010323i,0.0034747-0.0042386i,0.0090139-0.0044182i,0.016776+0.0046869i,0.015587+0.019749i,0.0032127+0.026335i,-0.0054591+0.017688i,-0.004525+0.0065597i,-0.0010127+0.0014196i,0.00010654+0.00057942i,-0.0003634+0.0014033i,-0.0006996+0.001797i,-0.0011023+0.0013823i,-0.0017523+0.00067914i,-0.0012914+0.00015569i,-0.00075885+6.2831e-05i,-0.0013873+9.668e-05i,-0.002348+0.00089152i,-0.0020978+0.0017115i,-0.0010472+0.001421i,-0.0004601+0.00057896i,-0.0010126-0.0010961i
0.00086291-0.00032868i,0.0011091+5.1895e-05i,0.00060008+0.0014844i,-0.0060284-9.5783e-06i,-0.016674-0.010573i,-0.019685-0.025536i,-0.0083587-0.029927i,0.0027085-0.018871i,0.0037491-0.00665i,0.0016397-0.0012177i,0.00052862+0.00025851i,-0.00052385+0.00034393i,-0.00076703+0.00058802i,-0.00046828+0.00053444i,-0.00098985+0.00025449i,-0.00062286+0.00026364i,0.0010543-0.00038874i,0.0022935-0.0012312i,0.0026414-0.0014083i,0.0018882-0.0014865i,0.0011475-0.0016233i,0.00053801-0.0016267i,0.00064846-0.00025755i
0.0014512-0.0019246i,0.0011278-0.0026827i,0.0012157-0.0040412i,0.0067146-0.0028304i,0.017651+0.0069077i,0.021389+0.023859i,0.010175+0.031553i,-0.0022082+0.022822i,-0.0051629+0.0092617i,-0.0029773+0.00217i,-0.00056201+0.00058919i,0.00064561+0.00052273i,0.0011458+0.0012085i,0.00063219+0.0010893i,-0.00023658+0.00052457i,-0.00011802+0.00089811i,0.00039845+0.00087816i,0.00072249+0.00064708i,0.00040542+0.00095241i,-0.00021367+0.0015552i,0.00039196+0.0013891i,0.00018166+0.00037693i,-0.00084072-0.0012324i
-0.001118-0.00038265i,-0.0001477+0.0010744i,-0.0020658+0.0038565i,-0.010233+0.0035151i,-0.020856-0.0063273i,-0.024916-0.024572i,-0.015161-0.032894i,-0.0017212-0.021728i,0.0022095-0.0072465i,0.00064505-0.0014845i,-0.00077634-0.00046214i,-0.0011445-0.00025598i,-0.00031821+0.00073627i,0.00082115+0.0013565i,0.0013375+0.00050038i,0.00070142-0.00066553i,0.00046085-0.0015298i,0.0011788-0.0022689i,0.0014528-0.0032718i,0.00080893-0.0036622i,-0.0006916-0.002953i,-0.0012903-0.0015483i,-0.00043884+0.00097186i
-0.00042861+0.0016924i,-0.00024963+0.00044891i,0.0031817-0.0013143i,0.012955-0.0023092i,0.026233+0.0045095i,0.031123+0.022803i,0.019809+0.033962i,0.004037+0.024883i,-0.0024208+0.010619i,-0.0018375+0.0039402i,0.00032586+0.0019031i,0.0014505+0.0004i,0.0011835-0.00012753i,0.00033484+0.00064503i,0.00018944+0.00096837i,0.0002803+0.0010593i,0.00078853+0.0012278i,0.00086994+0.0014379i,-0.0004515+0.0020024i,-0.0008992+0.0019292i,-0.00033942+0.00067873i,-0.00011616-0.00026635i,1.5004e-06-0.00053149i
0.0012167-0.0020885i,0.00093556-0.0012301i,-0.0022979+0.00038521i,-0.012339+0.00042752i,-0.026895-0.0078902i,-0.033971-0.026336i,-0.024198-0.036522i,-0.006275-0.02559i,0.0020346-0.01042i,0.00042473-0.0025513i,-0.0016922+0.00049663i,-0.0026429+0.00096657i,-0.00294+0.0013242i,-0.001998+0.0010548i,-0.00023121-0.00036081i,0.0003225-0.0014178i,9.8454e-05-0.0016639i,0.00018535-0.0013305i,0.0004583-0.0016472i,-0.00034197-0.0017168i,-0.0012094-0.001471i,-0.00062292-0.0017568i,0.00020646-0.0003677i
-0.0014515-0.0015569i,-0.00083775-0.002372i,0.0027581-0.0037947i,0.013034-0.0033797i,0.029519+0.0045772i,0.037551+0.022629i,0.025849+0.034779i,0.0067433+0.026794i,-0.002876+0.011862i,-0.0030714+0.0048373i,-0.0012252+0.0027232i,-0.0002168+0.001539i,-0.00012024+0.0014945i,-0.0005759+0.0016562i,-0.00048753+0.0011601i,0.00051889+0.0010367i,0.00067571+0.0012664i,0.00030383+0.0016937i,-0.00056007+0.0011531i,-0.00060964+0.00022314i,0.00052335+0.00053937i,0.0011237+0.00025113i,0.0001736-0.0012618i
-0.0028487+0.00057874i,-0.0021273+0.0018648i,-0.004985+0.0039359i,-0.015023+0.0046207i,-0.03223-0.0041809i,-0.041321-0.023292i,-0.031402-0.034978i,-0.012804-0.026606i,-0.00097231-0.010519i,0.00052947-0.00122i,-0.00099896+0.0018891i,-0.00083707+0.0033057i,-0.00073357+0.0026478i,-0.00065876+0.0011845i,5.999e-05+0.00052492i,-6.4745e-05-0.00033854i,0.00013146-0.0012812i,0.0011032-0.0015658i,0.00090742-0.0019466i,-7.7589e-05-0.0017215i,-0.00079263-0.00095596i,-0.00083838-0.00022147i,0.00066912+0.0017946i
0.0013864-0.0017134i,0.0021049-0.0031433i,0.0054083-0.0068022i,0.016021-0.0076178i,0.0364+0.0023201i,0.048402+0.021767i,0.037982+0.034501i,0.016606+0.028095i,0.0027775+0.012648i,0.00048962+0.0039218i,0.0017032+0.0015269i,0.0019733+0.0010424i,0.0010959+0.0013116i,0.00079484+0.0019183i,0.0008315+0.0023783i,0.00098815+0.0022783i,0.0014482+0.0017573i,0.001189+0.00096589i,-0.0007537+0.00091822i,-0.0013125+0.00083081i,-0.00023772+0.00074786i,-0.00054918+0.00015405i,-0.0012843-0.0018871i
-0.00039432+7.5155e-05i,0.00014719+0.0012844i,-0.0027645+0.0032864i,-0.01512+0.0036003i,-0.037197-0.0060601i,-0.051873-0.024016i,-0.043455-0.034701i,-0.020292-0.028018i,-0.0031831-0.013567i,0.00045726-0.0040683i,-0.00067905-0.00037598i,-0.00068045+0.00028006i,-0.00049298+0.00089078i,-0.00030676+0.001908i,-6.581e-05+0.00083153i,-2.7332e-05-0.00030359i,0.00050635-0.00055136i,0.0016874-0.00061709i,0.0019545-0.00080313i,0.00066347-0.0013779i,-0.0009793-0.0011339i,-0.0013102+0.00048499i,-9.5741e-05+0.0025711i
