-0.002402+0.0011997i,-0.0016002+0.00032854i,-0.0014519+0.00095806i,-0.00098598+0.00090415i,-0.00094428+0.0013739i,-0.00033956+0.0016513i,-0.00019024+0.0022341i,-0.00023192+0.0024737i,0.00030415+0.001805i,0.0010752+0.00046234i,0.0016033-0.00043322i,0.0017996-0.0014675i,0.0011391-0.0016728i,1.3031e-05-0.0018003i,0.00030769-0.0016782i,0.0006087-0.00030246i,0.00057695+0.00010272i,0.00027855+0.00032221i,-0.00048462+0.00036774i,-0.00050071-0.00048907i,8.4984e-05+0.00044421i,0.00011788+0.0015944i,0.00031766+0.0011541i
0.00072524+0.00091339i,0.0016391+0.00012165i,0.0012686-0.00038208i,4.0882e-05-0.00019459i,-0.00030737+0.00017641i,7.3476e-05+0.00056884i,-0.00017388+0.00054753i,-0.00055414+0.00058608i,-4.4569e-05+0.00046107i,0.00026236+0.00055218i,0.0003173+0.00074522i,-9.778e-05+0.0011503i,0.00050446+0.00064885i,0.0012248-0.0005763i,0.0002627-0.00035043i,3.1507e-05-0.00039625i,0.0008552-0.00045374i,0.00053388+0.00024447i,-0.00055674+0.000643i,-0.0007327+5.5238e-05i,-0.00035186+6.674e-05i,-0.00034261+0.00035199i,9.0554e-05-0.00040676i
-0.0017173-0.0030931i,-0.0029304-0.0025674i,-0.0029765-0.00064085i,-0.0023419-0.00032823i,-0.0017729-0.00060489i,-0.0012238+0.00023445i,-0.0006359+0.0001879i,-0.0003142-0.00039122i,0.00012347+6.2064e-05i,0.00031361+0.00014368i,0.00049583-0.00046764i,0.00050538+0.00017525i,5.8478e-05+0.0011221i,-0.00018504+0.00056254i,-0.00029779+0.00041185i,0.00048343+0.00055068i,0.00098776+2.0725e-05i,0.00017027-0.00053383i,-0.00012628-0.00033314i,0.00041344+0.00012723i,-3.8937e-06+0.00022157i,-0.00028292+9.9398e-05i,-0.00054683-0.00012478i
0.002766-1.8297e-05i,0.0009265+4.0225e-05i,8.1094e-05+2.4771e-05i,-0.00022769+0.00014554i,-0.0014578-8.8823e-05i,-0.0023259-0.0004532i,-0.0019526-0.00053469i,-0.0013882-0.00032282i,-0.0005626+9.2748e-05i,0.00043272+0.00058383i,-0.0001309+0.00091494i,-0.0013391+0.00033634i,-0.0012258+0.00035803i,0.00016929+0.00086454i,0.00025338+0.00051558i,-0.0001922-0.00017188i,-9.9581e-05-0.00031029i,-0.00057281-5.4569e-05i,-0.00080904+0.00014544i,-0.00052625+0.00036886i,-0.00040108-0.0001418i,0.00045142-0.00032546i,0.00055655+0.00020008i
-0.0025113-0.00026988i,-0.0014611-0.0023801i,0.00037667-0.0031513i,-0.0002088-0.0020578i,-0.00067345-0.0010713i,-0.0002222-0.00084381i,0.00016162-0.00087543i,0.00058338-0.00077681i,0.00077029+1.4852e-06i,-0.00012051+0.00053211i,-0.0010121+0.0005004i,-0.00061103+0.00025243i,0.00021729-0.00043409i,-0.0003857-0.00038838i,-0.0011092+0.00018938i,-0.00036723+0.00061305i,0.00019382+0.00093455i,-0.00021276+0.00069866i,-0.00064795+0.00035404i,-0.00021055+0.00078359i,-0.00047582+0.00060712i,-0.001206+0.00010836i,-0.00073493+6.3984e-05i
-0.00093465-0.0017347i,-0.00028223-0.00048587i,-0.00083378+0.00015705i,0.00030373+0.00020441i,0.0011974-0.00012368i,0.0015802-0.00049269i,0.001216-0.00053585i,-1.0332e-05-0.0010152i,-0.00080413-0.00092971i,-0.00073378-5.2989e-05i,-0.00049155+0.00080197i,0.00011951+0.00079872i,5.0578e-05-0.0002522i,0.00053039-0.00075601i,0.0014683-0.00049087i,0.00043823-0.00034227i,0.00019566+2.8682e-05i,0.0012538+3.7859e-05i,0.0011355+5.1871e-05i,-0.00011611+0.00051992i,-0.00038424+0.00097407i,1.6971e-06+0.0011988i,-0.00029745+0.00064496i
-0.0010042+0.00090658i,-0.00087322+6.3087e-05i,-0.001068-0.00093673i,-0.00045928-0.00066651i,0.00044858+0.00018525i,0.00094916+0.00042046i,0.00048613+0.00012833i,-0.00022264-0.00027522i,0.00018002-0.00010872i,0.00022728+0.0001398i,0.00026845+0.00019834i,0.00018224+0.00014263i,4.4226e-05-3.1625e-05i,-4.5538e-05+0.00093031i,-0.00042303+0.0010864i,-0.00058979+0.00030404i,-8.5026e-05+0.0003856i,-0.00044272+0.00033798i,-0.00074266-8.0648e-05i,-0.00067685-0.00049917i,-0.00042967-0.00061079i,0.00024571-0.00037792i,0.00032814-0.00042325i
-0.0003117-0.0030286i,-0.00074632-0.002769i,-0.0011699-0.0016155i,-0.00088908+0.00013386i,-0.00042225+0.00032793i,-8.9275e-05+3.7604e-05i,0.00012525-0.00023758i,0.00062604+9.7138e-05i,0.00015015+0.00045769i,0.00037373-0.00021019i,0.0012201-0.0003925i,0.0002385-0.00025603i,-0.00065321+6.5127e-05i,9.0054e-05+0.00046364i,-5.5098e-05+0.00038046i,-0.00010078-8.0527e-05i,0.00050523-0.00017727i,0.00039463+3.0234e-05i,0.00047428-0.00020956i,0.00088977-0.00026555i,0.00028535-5.3896e-05i,-0.00011011+0.00018836i,0.00027461-0.00061147i
-0.00062273+0.00030628i,-0.0012081+0.00095938i,-0.0022568+0.00026803i,-0.0020148+0.00018915i,-0.00068154-4.9617e-05i,0.00063073-3.0069e-05i,9.837e-05-0.00024833i,-0.0008137-0.00033991i,-0.00034991-0.00022312i,0.000377-0.00025692i,0.00089157-0.00026003i,0.0015801-0.00016666i,0.0015721-0.00045125i,0.0010174-0.00056341i,0.0010684-0.00018211i,0.0012772-0.00033881i,0.00084894-0.00015457i,0.00044162+0.00028136i,0.00040846+0.00041829i,0.00012819+0.00054644i,0.00010111+0.00064833i,-0.00019133+0.0005846i,-0.00062561+7.9025e-06i
-0.0031398-0.0010576i,-0.002786-0.00012108i,-0.0015361+0.00043724i,-0.0010683+0.00025487i,-0.00043246+0.00068515i,0.00081218+0.00044971i,0.0014201-0.00044176i,-0.00013545-0.00015989i,-0.0011236+0.00014442i,-0.00065279-0.00062107i,-0.00062996-0.0016836i,-0.0006067-0.00076043i,-0.00018349+0.00048331i,0.00031959+0.00016193i,0.0002195-0.00033582i,-0.00039175-0.00043784i,-0.00013227-0.00025515i,-0.00025616-0.00022395i,-0.00083121+0.00022219i,-0.0011294+0.00065078i,-0.00080024+0.00045461i,-0.00072094+0.0001384i,-0.00028202+2.7143e-05i
-0.0026629-0.0016791i,-0.0023642-0.0013821i,-0.0017665+0.00048547i,-0.00050246+0.0012347i,0.00092963+0.00081907i,0.0013564-0.00069454i,0.0012031-0.0019946i,0.00079791-0.001428i,0.00010333-0.00040248i,-0.00031017+7.8647e-05i,7.6527e-06-0.00010081i,5.9154e-05+0.00016937i,0.00014901-3.315e-05i,0.00022052-0.00039552i,0.00026584-0.00054171i,0.00064765-6.7883e-05i,0.00086105+0.00064884i,0.00063065-0.00011849i,0.00024279-0.00068595i,-0.00012372-0.00031649i,-0.00017395-6.5229e-05i,-0.00011746-0.00025125i,6.9225e-05-0.00040529i
-0.001299+0.00080689i,-0.0015763-0.00020028i,-0.00051704-0.00072088i,0.00046394-0.0001055i,0.00045232+0.00066343i,2.7738e-05+0.00061579i,-0.00069303+9.241e-05i,-0.00083168-0.00030326i,0.00028603-0.00059949i,0.00048194-0.00045836i,-0.00031587+0.00019291i,-0.00089588+3.6085e-05i,0.00015629-0.000537i,0.00088681-0.00072015i,0.00022118-0.001149i,0.00022741-0.00084884i,0.000361-6.5676e-05i,-0.0001191+0.00035754i,0.00021031+0.00027272i,-0.00026985+0.00042878i,-0.001322+0.00068286i,-0.00049326+3.9763e-05i,2.3206e-05-2.1391e-05i
0.00081261-0.0036498i,-0.0012319-0.0030037i,-0.0019071-0.0023229i,-0.0010873-0.00068522i,-0.00099103+6.1239e-05i,-0.00037755-0.00028514i,0.00057308-0.00056129i,0.0010785-0.00056475i,0.0011385-0.00019935i,0.00089297+9.9211e-05i,0.00015489+0.0005126i,0.00018435+0.00051415i,0.00020389-9.5306e-05i,0.00013194+0.00039615i,0.00022063+0.0013158i,0.00034709+0.00098989i,0.00029107+0.00036424i,0.00071771+0.00055573i,0.0010608+0.0010365i,-1.013e-05+0.00044325i,-0.00062778-3.0668e-05i,-0.00067911-2.9611e-05i,-0.00089933-0.00044674i
-0.0027564-0.00034377i,-0.0019163-0.00060388i,-0.0020435+0.00016886i,-0.0026277-0.00021174i,-0.0023658-0.00056922i,-0.0013288-0.0007506i,-0.00065378-0.0017224i,-0.00086329-0.0019379i,-0.00045265-0.00105i,6.5041e-05-0.00061374i,0.00032492-0.00018427i,0.00079825+0.00038306i,0.00034978-0.00015102i,0.00020242-0.0011123i,0.0005186-0.0010839i,0.00012802-0.00057759i,-0.00013659-0.00025659i,0.00054413-1.8967e-05i,0.0012368+0.00011194i,0.00095051+0.00065695i,0.00047712+0.0011063i,0.0010358+0.00037113i,0.0011764-0.00023647i
-0.00083385+0.00094925i,0.00022616-0.00035363i,0.0014237-0.0011314i,0.0010277-0.00055292i,0.0011002-0.00082216i,0.0019076-0.0011511i,0.0014096-0.0013231i,3.9508e-05-0.0020956i,-0.0002356-0.0018254i,0.00011598-0.00025671i,0.0002704+0.00058098i,0.00044272+0.00027632i,0.00022411-0.00028226i,0.0001807-0.00070295i,0.00042609-0.001182i,-8.987e-05-0.00047183i,0.00010715+0.00081268i,0.0010562+0.0010754i,0.00070788+0.0013884i,-0.00016633+0.0014038i,-0.0010137+0.00044004i,-0.0017521-6.6754e-05i,-0.0016862-8.455e-05i
-0.0038537-0.0013592i,-0.0043507-0.00044561i,-0.0034039+0.00034517i,-0.0011232+0.00091654i,0.00068815+0.0017675i,0.0021148+0.00076466i,0.0015503-0.0018348i,-1.0741e-05-0.0022341i,-0.00054326-0.00055925i,-0.000692-6.8332e-05i,-0.00064637+0.00035038i,-0.00020706+0.00043121i,0.00059979-0.00028205i,0.0010722-0.00056528i,0.00074474-0.00065726i,0.00025925-0.00086424i,7.4686e-05-0.00038552i,-0.00070935-0.00015597i,-0.00090034-0.0002777i,0.0002272-0.00033167i,0.00066559-4.476e-05i,0.00023153+0.00018523i,-0.00011526+0.00032037i
3.7311e-05-0.0037794i,-0.0013691-0.0041559i,-0.0021806-0.001882i,-0.0018966-0.00050318i,-0.0012444+2.1221e-05i,-0.00034451-7.8046e-05i,0.00036973-0.00014214i,-0.00032021+0.0001273i,-0.00114+0.00042812i,-0.00096464+0.0011256i,-0.00026627+0.00020444i,0.00032025-0.0007491i,-0.00029647-0.00014568i,-0.00099345+0.0010805i,-0.00051236+0.001522i,0.00039548+0.0011304i,0.00080085+0.00084896i,2.6789e-05+0.00040879i,-0.0001812-0.00064193i,0.00063308-0.0014137i,0.00097985-0.00071303i,0.00046291-0.00024839i,8.5542e-05-0.00045342i
0.0005659+0.0016562i,0.00067751+0.0012079i,0.00068316-0.00058349i,0.0010041-0.0010231i,0.00029782+9.9007e-05i,-0.00026234+0.00042289i,-1.233e-06-0.00013405i,0.0005921+0.00015512i,7.1212e-06+0.00012573i,-0.001037-0.00076989i,-0.00092411-0.00040493i,-3.0162e-05-6.094e-05i,-0.00015286+0.00012609i,-0.00075715+0.00028409i,-0.00074524+0.00044055i,-0.00037875+8.1754e-05i,-0.00013224-0.00046818i,0.00045579-0.00050128i,0.00059866-0.00035472i,-0.00021746-0.00058881i,-0.00014586-0.00092848i,-0.00037823-0.001092i,-0.00043618-0.00051754i
-0.0015954-0.0023288i,-0.0021858-0.0029007i,-0.001407-0.0021332i,-0.0013513-0.00068878i,-0.0012743+0.00015103i,-0.00019405-0.00043502i,0.00024166-0.0008838i,-0.00069216-0.00053505i,-0.0011451-0.00031915i,-0.00010211+0.00023816i,0.00040324+0.00067464i,0.00022449+0.00049748i,0.00033767+0.00047422i,5.5426e-05+0.00049237i,-0.00015654-0.00021514i,-0.00038796-0.0010011i,-0.00049002-0.00077368i,6.7532e-05-0.00059367i,0.00011835-0.00062009i,-0.00077781+0.00018004i,-0.00082137-2.1018e-05i,-0.0002876-0.0010571i,-0.00036459-0.00059307i
0.0026628-0.0025292i,0.00097978-0.0035368i,6.7784e-05-0.0022978i,8.9658e-05-0.0010167i,3.802e-06-0.00052775i,0.00025715+8.2204e-05i,0.00045706+0.00047204i,0.00013523+0.00033965i,-0.00038798-0.00060864i,-0.00030295-0.00081189i,-0.00029603-0.0011026i,-0.00041822-0.0016382i,9.8388e-05-0.0018074i,0.0001961-0.0011807i,-0.00063007-0.00069631i,-0.00089592-0.00045692i,-0.00037506-0.00076218i,4.0547e-05-0.00062921i,-2.3568e-06-4.797e-05i,-9.6703e-05-8.5658e-05i,7.3198e-05-0.00032793i,-0.00035024-0.00067373i,-0.00097899-0.00067679i
-0.0017785+0.0011883i,-0.001046+0.001368i,7.657e-05+0.00060602i,0.00014545+0.00086503i,0.00023778+0.0011928i,0.0010275+0.00051038i,0.0012376+6.2779e-05i,0.00026642-0.00040481i,-0.00017161-0.00016656i,-0.00029265-0.00023391i,-0.00034439-0.00011597i,-0.00026894+4.5188e-05i,-7.2472e-06-0.00012243i,0.00086428-0.00078522i,0.00062442-0.0010241i,-0.00018374-0.00024751i,0.00016875-0.00011787i,0.00089686+6.5022e-05i,0.00064841-7.2739e-05i,0.00048895-0.00047383i,0.00070018-0.00016767i,0.00038745+0.00034736i,-0.00015724+0.0005353i
3.4805e-05-0.0025156i,-0.00051452-0.0027295i,-0.00047748-0.0030582i,-0.00043808-0.0024243i,-0.00024126-0.0014056i,0.00020014-0.00048129i,-7.6875e-05+0.00024623i,-0.00097681+0.00043308i,-0.00097646+0.00037376i,-0.00016593-0.00031325i,-8.8027e-05-0.0011i,0.00010538-0.00109i,0.00040567-0.00023699i,1.2413e-05+0.00041981i,9.0565e-05+0.00033484i,0.00029791-5.3372e-05i,-8.5965e-06-0.00052494i,3.6279e-05+0.00033269i,-1.3605e-05+0.00080412i,-1.4707e-05+0.00042199i,0.00044412+0.00031595i,0.00075742-0.00012755i,9.6227e-05-4.8068e-05i
0.0012957+0.001483i,0.0023371+0.0005624i,0.0011335+0.00023767i,-0.00019381+4.7003e-05i,-0.00051076-0.00047145i,-0.00011699-0.00087235i,-0.00067232-0.0013316i,-0.00077574-0.00060901i,-0.00064563+0.00036511i,-0.00049988+0.00012656i,-0.00024753-0.00013505i,-9.0208e-05+0.0006019i,-0.0005883+0.00099151i,-0.00056846-1.1255e-05i,-0.00026586+3.045e-05i,-0.0012878+0.0007021i,-0.0015526+0.00032426i,-0.00067282+0.00012631i,-0.00024149+0.00075867i,-0.00069858+0.0007381i,-0.0010836+0.00036937i,-9.7527e-05+0.00037378i,-0.00019272+0.00088468i
-0.0027538-0.0036804i,-0.0028787-0.002732i,-0.0020227-0.0015331i,-0.0015218-8.2134e-05i,-0.0012565+0.00058488i,-0.00025295+0.00077166i,0.00016915+8.4023e-05i,-0.00071126-0.00070225i,-0.00093733-6.211e-05i,-0.00063213+0.00062966i,6.9724e-06+0.00086509i,0.00069631+0.00075088i,0.00092362-0.00047344i,0.00072968-0.00033877i,2.4138e-05+0.00030576i,-0.00025763+0.00051589i,0.00019828+0.00036044i,-7.046e-07-0.00044495i,-0.00059313-6.663e-05i,-0.00055124+0.0004897i,-0.00019055+0.00010546i,0.00030946-0.00051225i,0.00028039-0.00020388i
-0.00021436-0.00038153i,-0.0015752-0.00085408i,-0.0024478-0.00037166i,-0.00047964-0.00093542i,0.0014194-0.0012717i,0.0012807-0.0012207i,0.00089917-0.0011782i,0.00080284-0.0007489i,0.0001095+9.8276e-05i,-0.00049864+0.00066612i,-0.00072397+0.00035328i,-6.4352e-05-3.5012e-05i,0.00092842+1.6989e-05i,0.00082692-0.00045256i,0.0005078-0.0010622i,0.00025148-0.0010446i,0.00045984-0.00076627i,0.00093671-0.00030525i,0.00055216-6.8659e-05i,-0.00019032-0.00031817i,-0.00039206-0.00024295i,-0.00036883-0.00061656i,-0.00021011-0.00096323i
-0.001973-0.00040459i,-0.0018334-0.0011255i,0.00077855-0.0010769i,0.0017446-0.00077629i,0.0014314-0.00050875i,0.0013094+1.0846e-05i,0.00063859+0.00014966i,-0.00060659-0.00044976i,-0.0010676-0.00052774i,-0.0014054-0.0003027i,-0.0015984+0.00037455i,-0.0010115+0.0009698i,-0.00067875+0.00060851i,-0.00087414+0.00024936i,-0.00088526-0.00055318i,-4.7036e-05-0.00112i,0.00046864-0.00096861i,0.00054171-0.00043152i,0.00055516+0.00036722i,0.00039645-0.00028283i,0.00065685-0.0006935i,0.00067713-0.00059154i,-0.00020243-0.0013616i
0.0011512-0.0021541i,0.00060165-0.0019136i,-0.00064969+4.8384e-05i,-0.0011803+0.0020113i,-0.00081288+0.0025196i,-3.7516e-06+0.0019542i,0.0010494+0.00045054i,0.00084306+0.00021553i,-0.00023239+0.00067054i,-0.00049569+0.00024394i,-0.00055698+0.00050319i,-0.0005202+0.0013715i,-0.00019339+0.0012378i,-0.00059415+0.0010896i,-0.0008154+0.0010826i,-0.00052424+0.00090817i,-6.6005e-06+0.00059229i,0.00052306+0.00029553i,0.00013243+0.00019254i,8.937e-05-0.00029228i,-5.6413e-05-0.00010764i,0.00010247+0.00037131i,0.00062735-3.2489e-05i
-0.0023721+0.00127i,-0.0023396-0.00045406i,-0.0022619-0.0017581i,-0.0023752-0.0017174i,-0.0014861-0.0016207i,-0.0005713-0.00082776i,-0.0007618-0.00074339i,-0.0007887-0.00096327i,-0.00068583+0.00013131i,-0.00083959+0.00046055i,-0.00064395-0.00012133i,-0.00021602-0.00030789i,0.00035618-0.00026205i,0.00029982+0.00017887i,-4.3089e-06+0.00063092i,0.00012438-3.0129e-05i,0.00047991-0.00072266i,0.00033456-0.00064077i,0.000579+0.0001508i,0.00042907+0.00017678i,-0.00036988-0.00041426i,-0.00048826-0.00013206i,-0.00016665+0.00093395i
0.0010588-0.0022724i,0.0019124-0.0037164i,0.0016243-0.0022697i,0.00055874-0.0010962i,0.00017944-0.0006807i,0.00067662-0.00067779i,0.00016475-0.00070609i,-0.00026748-0.00027804i,-0.0010146+0.00033543i,-0.0010169+0.00025956i,-0.00029647-0.00028706i,-0.00056368-0.00040967i,-0.00078959-8.0261e-05i,0.00021149-0.00020294i,0.00029944-0.00076701i,-0.00074866-0.00066758i,-0.00016646-0.00021892i,0.00059631-0.00010178i,0.0002565-0.0003143i,0.00021932-0.00028724i,0.00031997+0.00033336i,-3.6879e-05+0.00032999i,3.5532e-05+0.00047916i
-0.0017874+0.00087155i,-0.0027787+0.0016586i,-0.0021467+0.0020353i,-0.00050558+0.0018814i,0.00042027+0.0014503i,0.00087734+0.00040032i,0.001253-0.00076689i,0.00083458-0.0017276i,0.00027082-0.00093696i,-0.00020797+0.00048092i,0.00024297-0.00010274i,0.00044587-0.00080636i,0.00046151-0.0014414i,0.00097166-0.0015998i,0.00021508-0.00079388i,-0.00081696-0.00053033i,-0.00088356-0.00028927i,-0.00056301+2.2554e-07i,0.00023282+0.00011235i,0.0001749+0.00041323i,-0.00011395+0.00052192i,-0.00052895+9.6487e-05i,-0.00060883-0.00075987i
-0.0028392-0.0011128i,-0.0021734-0.00064308i,-0.0022152+0.0016926i,-0.0018019+0.0023986i,-0.00014805+0.0019551i,0.0011815+0.00039839i,0.00033428-0.00058075i,-0.00064619-0.00018158i,-0.00051263-0.00015487i,-0.00049708+0.00027589i,9.9999e-05+0.00015344i,0.00084152-0.00023086i,0.00055471-0.00021205i,0.00028219-0.00037661i,0.0005306-0.00093301i,0.00089677-0.0011047i,0.00023885-0.0005073i,-0.00033971+0.00046093i,-0.00028451+0.00039388i,-0.00020553-0.00079199i,-0.00040585-0.00094682i,-0.00046416-0.00057899i,-1.8046e-05+0.00036932i
0.0024926-0.00063912i,0.0019044-0.0010556i,0.0019412-0.0020975i,0.0021568-0.0026969i,0.0014004-0.0020302i,-0.00021459-0.00091226i,-0.001383-0.00092391i,-0.0010301-0.00073946i,-0.00042734+0.00030407i,0.00018151+0.00036597i,0.00070722-0.00033411i,0.00071046-0.00058312i,0.00072325-0.00013896i,0.00043991+0.00068129i,-0.00055104+0.00066917i,-0.00082812+0.00041968i,-0.00056188+0.0005995i,-0.00048165+0.00020918i,-0.0002193-0.00049519i,-0.00013788-0.00031701i,-0.00046274+8.0116e-05i,-0.00085928+0.00060501i,-0.00082442-0.00017469i
3.9924e-05-0.00074146i,-0.00075342-0.00063739i,-0.0013908-0.00045228i,-0.0013509-0.00091741i,-0.00029426-0.00083702i,-9.9815e-05-0.0013867i,-0.00072568-0.0011677i,-0.00070313-0.0004644i,-0.00042133-0.0003081i,-0.00036212+0.00021263i,8.5563e-05+0.0003072i,0.00014446+1.8528e-05i,-3.5689e-06-0.00027194i,-0.00066517-0.00017607i,-0.000391+0.00030943i,0.0007336+0.0006242i,0.0010293+0.00027649i,0.00019142+0.00032244i,-0.00066287+0.00040145i,-0.00055451+0.00020802i,0.00013907-5.9097e-06i,0.00015085-0.00019899i,0.00051632+0.00020228i
-0.001052+0.00098772i,-0.0015283+0.0015095i,-0.0012155+0.0010577i,0.000399+0.00023596i,0.001641-0.00059455i,0.0012428-0.00070488i,0.00083484-0.00031175i,0.00048345-1.8941e-05i,-0.00033322+0.0006055i,1.8997e-05+0.00034103i,0.00050494-0.00043155i,-1.1657e-05-0.0004321i,-0.0001447-0.00082894i,-0.00014252-0.00076951i,-0.00051436-0.0005229i,-0.0001665+3.2876e-05i,0.00063425-4.1267e-05i,0.00051366-0.00052016i,-0.00026534-0.00052391i,-0.00069966-0.00083561i,-0.000849-7.7137e-05i,-0.00040025+2.3327e-05i,-8.5428e-05-0.00034557i
-0.0019788-0.0033205i,-0.0019977-0.0037895i,-0.0016889-0.0034332i,-0.00141-0.0023828i,-0.0012035-0.00071515i,8.9067e-05-0.00022308i,0.00064145-0.00040747i,0.0002889-0.00078504i,-5.0441e-05-9.6489e-05i,-0.00011366+0.00053372i,0.00015347+0.00090709i,0.00034735+0.0011454i,0.000618+0.000809i,0.00051336+0.00096596i,9.7184e-05+0.00075316i,0.00044207+0.00055114i,0.00066948+0.00053469i,0.00057484+5.2862e-05i,0.00082917-0.00022159i,0.00058651-0.00021821i,-0.00027852-0.00035232i,1.6575e-05-0.00088871i,0.00070547-0.00093842i
0.0025935-0.00052119i,0.0032549-0.00052588i,0.0036908-0.00040782i,0.0031557-0.00031047i,0.0017375+0.00037882i,0.00029435+3.9518e-05i,-0.0003636-0.00088888i,-0.00067445-0.00047062i,-0.00073756-1.9635e-05i,-0.00062709-0.00045293i,-0.00028589-0.00039616i,-0.00034302+0.00022384i,-0.00023885+0.00039665i,-0.00023245+0.0012549i,-0.00092072+0.0019477i,-0.00065946+0.0011968i,0.00022362+9.8159e-05i,0.00067254-6.1434e-05i,0.00080544+0.00061459i,0.0011328+0.00017892i,0.00065334-0.00020159i,-0.00010484-0.00044282i,-0.00027155-7.713e-05i
0.0014503-0.00026027i,-0.00093986-0.000927i,-0.0033115-0.00020979i,-0.003616-0.00013916i,-0.0020924-0.00119i,-0.00024551-0.0017707i,0.00081288-0.0016198i,0.00018753-0.00076811i,-0.00045001-0.00016856i,-0.0007558+0.00022143i,-0.0013885+0.00073449i,-0.0014399+0.0005105i,-0.0011774+0.00091419i,-0.0015368+0.0017816i,-0.001628+0.0011139i,-0.0012573+0.00017718i,-0.00072846+0.00055205i,0.00019938+0.00087367i,0.00088716+0.00029135i,0.0012657-1.1396e-05i,0.00094771-0.00038477i,-0.00030598-0.00050117i,-0.00031355+9.529e-06i
-0.0015932-0.0014439i,-0.0012213-0.0037488i,-0.0014961-0.0033528i,-0.0011631-0.0013499i,0.00025639-0.00027475i,-3.9967e-05-0.00032705i,-0.00065419-0.00034414i,-0.00016251-1.3208e-05i,0.00011596+0.0008823i,0.00082832+0.00092419i,0.0016881+0.00088825i,0.0011922+0.00071455i,2.7545e-05+8.9674e-05i,-0.00015679-0.00020384i,-0.00016221-0.00091938i,0.00012147-0.0016309i,0.00037146-0.0010261i,-0.0002047+0.00020018i,-0.00041829+0.00042563i,-0.00022467+0.00086966i,-0.00036325+0.0010627i,0.00034335+0.0008792i,0.00040082-7.7158e-06i
0.00044574+0.00055645i,0.00045258-0.00015751i,0.00048628-0.0012768i,0.0010753-0.0013778i,0.0015251-0.001155i,0.0014872-0.00067904i,0.00040005-0.00088501i,-0.00032215-0.00090227i,-0.00094163-0.0003105i,-0.00081597-0.00019342i,-7.3742e-05+0.00018707i,0.0002993+0.00017751i,-7.0943e-05+0.00090331i,-0.00098676+0.0015492i,-0.00069587+0.00020958i,-1.4068e-05-0.00048333i,0.00054521+7.3609e-05i,0.0012002+0.00044291i,0.00095011+8.9181e-05i,8.1037e-05+0.00034299i,-0.0005536+0.00046213i,-0.00062082+1.8198e-05i,-0.00011656+0.00013563i
-0.0036952-0.00021688i,-0.0032745-5.1227e-05i,-0.0022313+0.00073649i,-0.00067693+0.0016737i,0.00078914+0.0014167i,0.0013459-0.00021687i,0.0010117-0.00095304i,0.0006121-0.00084148i,0.00068785-0.00024877i,0.00093007+0.00022222i,0.00051256-9.8138e-05i,0.00050605-0.00087847i,0.001069-0.0012993i,0.0008025-0.001084i,0.00054161-0.00049955i,0.00013369-0.00084597i,-0.0003468-0.0014948i,-0.00054171-0.00026415i,-0.00064455+0.00069899i,-0.00049424+0.000252i,-0.00052591+0.0004451i,-0.00015572+0.00083852i,0.00081285-0.00041055i
-7.6927e-05-0.00063428i,-0.00019282-0.0013985i,-0.0012627-0.0015331i,-0.0026631-0.00051761i,-0.0024856+0.00042942i,-0.0011579+0.00045533i,-0.0010257-0.00042095i,-0.0014819-0.00052345i,-0.0015588+0.00018571i,-0.00086768+0.00067052i,0.00049069+0.0011582i,0.00060876+0.001325i,-9.8262e-05+0.00057738i,0.00033248-0.00050649i,0.0014307-0.00068559i,0.0010912-0.00030742i,4.8597e-05-0.00036604i,-0.00016298+0.00032183i,3.7284e-05+0.00059981i,0.00025757+0.00012483i,0.00026614+3.7225e-05i,-0.00022785-0.00011506i,-0.00068924+0.00026169i
-0.00062735+0.0013242i,-0.00084927+0.0010607i,0.00029864-9.0708e-06i,0.001251-0.0014319i,1.8835e-05-0.0028121i,-0.0014482-0.0028156i,-0.0015122-0.0018191i,-0.0012454-0.00061864i,-0.0014146+0.00035564i,-0.0012059+0.00022891i,-0.00046545-0.00010388i,-0.0001504+3.1938e-05i,-0.00016384-0.00072613i,0.0003082-0.0016229i,0.00047853-0.0011301i,-0.00028269-0.0003836i,-0.00071595+1.3683e-05i,-0.00019747-0.00054108i,0.00057473-0.0007482i,0.00093589+0.00031127i,0.00062447+9.0928e-05i,1.6036e-05-9.6833e-05i,-0.00072349-0.00030759i
0.0012778-0.0010867i,0.00042778-0.0024847i,0.0004413-0.0018367i,0.00084559-0.001147i,0.00077839-0.00065394i,-2.8254e-05-8.9646e-05i,-0.00039875-0.00080588i,-0.00010113-0.0012919i,0.00015629-0.00097536i,-0.00020855-0.00036427i,-0.0013041-0.00041994i,-0.0017586-0.0012009i,-0.001075-0.00083639i,-0.00027761+0.00066425i,-0.000378+0.00084274i,-0.00047015+0.00066135i,-0.00021707+0.00068506i,4.1818e-05+0.00013051i,0.00032452-0.00016465i,0.00026363+0.00063154i,0.00011545+0.00064892i,-0.00016453+0.00016345i,-0.0002148-0.0003449i
