-0.0038847+0.00019336i,-0.0032615-0.0013553i,-0.0041773+0.00030783i,-0.0034129+0.0018454i,-0.0012269+0.0023895i,1.868e-05+0.0030316i,-0.0010322+0.0032202i,-0.002061+0.0023228i,-0.0010871+0.0014266i,0.0004638+0.00061494i,0.00068107+0.00020151i,0.00042226+5.5198e-05i,0.00078261+0.00032241i,0.00037785+3.6537e-06i,-0.00013296-0.00021829i,0.00011345-3.4387e-05i,0.00073781-0.00015795i,0.00080408-2.71e-05i,0.00022645-5.1168e-05i,0.00013525-7.4745e-05i,-0.00023076+0.00021595i,-0.00063516+0.00049351i,-0.0003176+9.3056e-05i
-0.00056268+4.3679e-06i,0.00052061+0.00089838i,-0.00060307+0.00085161i,-0.00083082+0.00012045i,-0.00020537-0.00010461i,-0.00045009-0.00036804i,-0.00046368-0.00085862i,-0.0011283-0.00096271i,-0.001647-0.00057425i,-0.0012199+0.00019488i,-0.00097598+0.00037328i,5.9559e-05-1.4061e-05i,0.00040342+0.00039304i,2.6345e-05+0.00055322i,0.00028437+0.00083252i,-0.00018648+0.00055528i,-0.00068907+0.00057089i,-0.00075101+0.0010926i,-0.00061012+0.00070635i,-0.00026628-0.0003865i,0.00022536-0.00072838i,0.00011464-0.00040508i,-0.00032096-0.00025886i
-0.00086254+0.00074908i,0.00025342+0.0013062i,0.00080209+0.00092082i,0.00077649+0.0013893i,0.0010781+0.0010895i,0.0011452-2.1748e-05i,0.0002979-0.00042901i,-0.00045531-0.00087684i,0.00010834-0.0010162i,0.00036712+0.0001725i,-0.0001182+0.00079522i,-0.00031869+0.00028264i,0.00030723-0.00041421i,0.00077728-0.00062033i,-8.5997e-05-0.0006767i,-0.0004413-0.00069853i,0.0010062+0.0002206i,0.0010762+0.00061252i,-0.00021302-0.00010056i,-0.00030764-7.2705e-05i,2.0288e-05+0.00037168i,0.00017413+0.00081062i,-4.856e-05+0.00065003i
-0.0013738-0.00014453i,-0.0011684-6.2834e-05i,-0.0012225+0.00011856i,-0.00040431+0.0015238i,0.0008166+0.0022236i,0.00097272+0.0013046i,0.00012021+0.0010708i,-1.6215e-05+0.0008645i,-0.0001913+0.00078854i,-0.00086166+0.00078728i,-0.001551+0.00038368i,-0.00081037+0.00012782i,0.00036766+0.00033705i,0.00058747-0.00024311i,0.00060627-0.0012338i,0.00011376-0.00094828i,-2.9873e-05-8.9097e-06i,-0.00015081+4.8505e-05i,-0.00076126-0.00050335i,-0.00061254-0.00044239i,-0.00063184-0.00038497i,-0.00058563-0.0002962i,-0.00048567+0.00020458i
-0.00071072+0.00063977i,-0.0012722+0.00080611i,-0.00095298+0.0010288i,0.00012062+0.00081095i,0.000268+0.00068764i,-0.00029622+0.00017577i,-0.00044721+0.00024591i,-0.00069401+0.00056782i,-0.0014731+0.00039464i,-0.001402+0.00078715i,-0.00056421+0.0016861i,-0.00044324+0.0018539i,0.00032099+0.0010823i,0.0012632+4.7656e-05i,0.0013167-0.00013145i,0.00073604+0.00056529i,0.00019423+0.00089602i,0.00011199+0.00061892i,0.00068127-0.00027771i,0.00077481-0.00092329i,0.00030856-0.00036546i,0.00012304-9.5954e-05i,0.00036039-0.00085385i
-0.00060968+0.0017736i,-0.00011237+0.001796i,-0.00020672+0.002089i,0.00096886+0.0013587i,0.001463+0.00053886i,-0.00061695-0.00034878i,-0.0022306-0.00027829i,-0.0023103+0.0012277i,-0.0010916+0.0024942i,-0.00010261+0.0022187i,0.00041964+0.001171i,0.00056935-5.3111e-05i,0.00036343-0.00033125i,-0.00030363-3.6105e-05i,-0.00042235-0.00035684i,0.00050187-0.00052118i,0.00091627-0.00058723i,0.00065958-0.00040169i,4.0967e-05+0.00019993i,-6.9266e-05+0.00020459i,0.00012871+9.5556e-05i,1.762e-05-0.00018527i,-0.0003032-0.00058784i
-0.0013577+0.0010631i,-0.0010785+0.00081061i,-0.0010792+0.0016919i,-8.0546e-05+0.0027855i,0.0014631+0.0026287i,0.0013756+0.0010952i,0.00019594-0.00061994i,-0.0012277-0.0010538i,-0.0011436-0.00056174i,-0.00038403-6.4466e-05i,0.00037574+0.00034582i,0.00076003+0.00074081i,0.00095408+0.00080697i,0.00082508+0.00045438i,9.3445e-05+0.0002676i,-0.0002924+0.0001827i,-0.00016208+5.7578e-05i,0.00018505-0.00032884i,-0.0001606+8.3439e-05i,-0.000677+0.00057866i,-0.00087031+0.00029659i,-0.00060056+9.6787e-05i,0.00058083-9.8434e-06i
0.00027592-0.00014647i,0.00060313-0.0010753i,0.00076611-0.00034609i,0.00027063+0.00095629i,-5.2279e-05+0.00077366i,-0.00025481+0.00017231i,-0.00037679+0.00051973i,-0.00038346+0.00095467i,-0.00080811+0.0010226i,-0.0012184+0.00088747i,-0.00050703+0.00019833i,0.00041941-0.00040641i,0.00033362-0.00017343i,7.936e-05-0.00040296i,0.00022395-0.0013285i,0.00053799-0.0013177i,0.00022977-0.00060217i,-4.2753e-05-0.00058833i,0.00042973-0.0013258i,-1.8576e-05-0.0016123i,-0.00060935-0.0010615i,0.00014685+8.3699e-07i,0.00051426+0.0008389i
0.0011368-0.00079569i,0.0010081-0.0011649i,-0.00066234-0.0013843i,-0.0013321-5.5313e-05i,-0.0007877+5.7692e-05i,8.637e-06-0.00038476i,0.00055937-0.00052112i,0.00087223-0.00033509i,-0.00014401+0.00031874i,-0.00086119+0.00039925i,-0.00076723+0.0012043i,-0.00053411+0.001518i,-9.271e-06+0.00060045i,0.00021743+0.00016728i,0.00021949+0.00059529i,0.0011643+0.00044142i,0.0012826+0.00063022i,0.00051167+0.0003327i,0.00046946-3.6396e-05i,0.00074647-0.00011028i,0.00052758+0.0003199i,-5.7628e-05+0.00015365i,-0.00048569-8.154e-05i
-0.00070775+0.00071019i,-0.0013679+0.0016882i,-0.0013996+0.0022423i,-0.00096743+0.0017587i,-0.00017613+0.0010987i,0.00059381+0.00046137i,0.00025398-0.00014142i,-0.00033976+0.00040125i,-0.00028413+0.001012i,-0.00031539+0.00058401i,-0.00021426+0.00024616i,-0.00031725+0.00015818i,-0.00085444-0.00031455i,-0.0007963-0.000727i,-0.00023447-0.00070563i,0.00038547-0.00086128i,9.2002e-05-0.00096118i,2.0578e-05-0.00083901i,0.00044424-0.00043655i,5.7356e-05-0.00024362i,6.768e-05-0.00050228i,0.00021652-0.00074033i,-0.00014326-0.00025081i
-0.00044757-0.0013577i,-0.00092263-0.00079032i,-0.00093059+0.00071062i,-0.00062342+0.001123i,-0.00034022+0.00066143i,0.0005233+0.00037652i,0.00048889+0.00071184i,-0.00080553+0.0011703i,-0.0010778+0.00074516i,-0.001203+0.00067318i,-0.00092553+0.00079091i,-0.00039151+0.00025724i,0.000189+0.00039532i,0.00028941+0.00056395i,0.00014512+0.00020564i,0.00046553+0.00026789i,0.00051859+2.9679e-05i,0.00074031-0.00087796i,0.00074621-0.0010831i,0.0005318-0.00034556i,-6.8856e-05+0.00015023i,-8.5714e-05-0.00043807i,0.00045578-0.0010561i
-0.0012532-0.0016401i,-0.0016352-0.00040397i,-0.0028163+0.0010735i,-0.0026696+0.0014582i,-0.0014882+0.0021978i,-0.00037368+0.0026286i,-0.00036546+0.0015717i,-0.00056+0.00030502i,-0.00015275+2.5632e-05i,-0.00024028+0.00062877i,0.00047194+0.00073879i,0.0014391+0.00086045i,0.0013605+0.0013063i,0.0015462+0.0006071i,0.0014145-0.00039959i,0.0011528-0.00016998i,0.0010137-0.00037889i,0.0003737-0.00012938i,-3.7938e-05+0.00048181i,-0.00014481-0.00011273i,-0.00016745+0.00035601i,-0.00010168+0.00049422i,-0.00020339+4.0752e-05i
0.00019311-0.00064095i,8.5781e-06-0.00049026i,-0.0011796+0.00035778i,-0.0010365+0.00085336i,-0.00025908+0.0005163i,-0.00014372+0.00015524i,-0.0011329-0.0002829i,-0.0016263+1.5273e-05i,-0.0012873+0.0010582i,-0.00071001+0.00039172i,-0.00038246-0.00097581i,-0.00047635-0.00080165i,2.4711e-05-0.0001797i,0.00076884-0.00012556i,0.00084692-0.00064625i,0.00010837-0.00038496i,-0.00032825+7.0325e-06i,-0.00034706+0.00027637i,0.00029489+0.00035211i,8.1837e-05+0.00016324i,-0.00074106+8.7746e-05i,0.00021396-0.00016587i,0.0005431-0.00020512i
0.00023024-0.00072327i,0.00041275-0.00056152i,2.4349e-05-0.00076512i,0.00039096-0.00038403i,0.00041323+0.00072252i,-0.00030305+6.1427e-06i,-0.00022809-0.0013901i,-0.00056184-0.00073156i,-0.0013059+0.00028173i,-0.0014497+0.00034608i,-0.00071198+0.00015134i,-0.00025608+0.00022305i,0.00030159+0.00037861i,0.00097158+0.00016857i,0.00076237+0.00015305i,0.00012944+0.00024809i,0.00056742+0.00010298i,0.00042381-0.00065126i,-0.00063344-0.00064591i,-0.00020383+0.00018185i,0.00052976+0.00056172i,0.0001533+0.00071456i,-0.00032526+0.00045402i
-0.0010079-0.00045023i,-0.0011155-0.00099093i,-0.0012937-0.00073293i,-0.00093996+0.00053346i,0.00014503+0.0016213i,0.00064656+0.00097283i,-1.0712e-05-0.00043981i,-0.00053037-0.00030791i,-0.0004708+0.00077487i,-0.0012526+0.0013777i,-0.001207+0.001438i,-0.00018246+0.00058781i,-6.8129e-06-0.00021608i,0.00043313-0.00035207i,9.3643e-05-0.00052727i,-0.00022958-0.00094155i,0.00038-0.00079674i,0.00033194-0.00015649i,-6.8843e-06+0.00068322i,-0.00032913+0.00081798i,-0.0010116+0.00069271i,-0.00029994+0.00083965i,0.00068952+0.00019636i
0.00074819+0.00051935i,0.00059946-0.00012419i,0.0010057-0.00099937i,1.6006e-06+3.1334e-05i,-0.00047829+0.0012425i,-0.0004332+0.0012765i,-0.00074566+0.00090168i,-0.00038497+0.00072802i,-0.00051122+0.00077174i,-0.00025067+0.0006573i,0.00033397+0.0002914i,-0.00028436+0.00026208i,-0.00058094+0.00027777i,-3.997e-05-0.00028658i,0.00023065-0.00019221i,-0.00011184-5.631e-06i,-8.5713e-05+0.00011198i,0.00056986+0.00011881i,0.00029497+0.00063491i,-0.00031924+0.001234i,-0.00016299+0.0014174i,0.00033357+0.00098425i,0.00092725+0.00046446i
-0.00036882+0.0005593i,-0.0013955+0.00062155i,-0.0010641+0.00020076i,-0.0003187+0.00027355i,-0.00050278+0.00091893i,-0.00056217+0.00079702i,-0.0010319+0.00078412i,-0.0013547+0.0015426i,-0.0013354+0.0016602i,-0.00071517+0.00076162i,0.00028926+0.00034122i,0.00056495+0.00078275i,0.00083953+0.0012453i,0.00023885+0.00093431i,-3.8668e-05-4.193e-05i,0.00085719-0.00020103i,0.00095805+0.00026854i,0.00046566+0.00012243i,0.00051538-0.00039631i,0.00024743-0.00053678i,0.00039355-0.00034262i,0.00093145-2.4612e-05i,0.00083221+0.00027594i
-0.00029872+7.2989e-05i,-0.0012748+0.00084876i,-0.00081851+0.0016949i,0.0002267+0.0020228i,0.0020664+0.0013314i,0.0020799+2.521e-05i,0.00040746-0.0009564i,-0.00085463-0.00082088i,-0.00097743-0.00034962i,-0.00011193-5.3709e-05i,0.00038085-0.00013226i,0.00070554+0.00021663i,0.00079543+0.0005732i,0.00079433+0.00046233i,0.0003603-0.0003298i,-0.00059627-0.0011944i,-0.00065305-0.00065024i,0.00049649+0.00035053i,0.00071357+0.00053722i,0.0004462-0.00023846i,0.0006749-0.00073231i,0.00049395-0.00042194i,-7.2921e-05-0.00030301i
7.8418e-06-0.0022898i,-0.00071762-0.0027237i,-0.0020606-0.0021931i,-0.001894-0.0011557i,-0.00070795+0.00059263i,0.00014492+0.0015316i,0.00046027+0.00080769i,-6.8997e-05+0.00015856i,-0.00021959+0.00019169i,-0.00016744+0.00018597i,-0.0004883+0.00035046i,-0.00018703+0.0011259i,0.00025248+0.00098255i,0.00060455+0.00046807i,0.00078722+0.00040964i,0.00028457+0.00021953i,7.279e-05+0.00033929i,0.00032763+0.00049859i,0.00018667+0.00048483i,-0.00036327+0.00079662i,-0.00048839+0.0010353i,-0.00032326+0.00077244i,-0.00033223+0.00047989i
-0.00079094-0.0035541i,-0.0011377-0.0018935i,-0.0019235-0.00021537i,-0.0020073+0.00066203i,-0.0014796+0.0019378i,-0.00078519+0.00292i,-0.00072647+0.0022415i,-0.00088699+0.00093205i,-0.001174+0.00038474i,-0.00077081+0.00032024i,0.00077931+0.00025709i,0.0016521+0.00072558i,0.00062664+0.0014583i,0.00038572+0.00073791i,0.0013358-0.00040221i,0.00095827-0.0005009i,0.00040752-0.00047624i,-0.000305+0.00048778i,-0.0012809+0.00050938i,-0.00049005-0.00023692i,0.00019236+8.2171e-06i,0.00070842+0.00029202i,0.00083285+0.0005601i
0.00017676+0.0020056i,0.00095959+0.0019107i,0.00172+0.0010167i,0.0020549+0.00017665i,0.0016157-8.1544e-06i,0.00088759-0.00031813i,-0.00077068-1.3424e-05i,-0.0014288-7.3357e-06i,-0.00093007-0.00016296i,-0.00044371+0.00054842i,1.6193e-05+0.00095349i,0.00026756+0.00076752i,0.00033394+0.0001035i,-0.00057996-0.00053557i,-0.00038569-0.00028012i,0.00047301+0.00054859i,0.00022036+0.00052988i,5.8374e-05+0.0006031i,-9.8126e-05+0.00019712i,-1.8957e-05-0.00026686i,-0.00012527-0.00025667i,-0.00031681-0.00024828i,-0.00020765-0.00011457i
-0.0012319-0.0019193i,-0.0015893-0.0015849i,-0.0016432-0.0020802i,-0.001624-0.00075726i,-0.0014854+0.00090706i,-0.00085983+0.0011227i,-0.00093926+0.00047716i,-0.00098833+0.00010381i,-0.00068133-6.7036e-06i,-0.00039741+0.0005035i,-5.6765e-05+0.0013598i,0.00014771+0.0015709i,2.9758e-05+0.0013193i,7.5433e-05+0.0014224i,-7.9818e-05+0.0011516i,0.00019183+0.00052174i,0.000977-0.00019009i,0.00095844-0.00045513i,0.00075197+0.00011018i,0.00044468-6.2697e-05i,-0.00046651-0.00035543i,-0.00052789+9.0481e-05i,0.00034092+0.00032493i
0.00048175+3.5054e-05i,-0.00037239-0.0010429i,-0.00051902-0.00067508i,0.00048856+0.00033737i,0.0013707+0.00056493i,0.00047713+0.00037741i,-0.00058823-0.00025898i,-0.00081078-0.00010956i,-0.00040113+0.0002923i,0.00018207+6.2561e-05i,0.00017068-0.00014197i,0.00029205-0.00032127i,0.0010745-0.0007241i,0.0011073-0.00058393i,0.00031136+7.6085e-05i,0.00075782+0.00011164i,0.0014263+0.00014175i,0.0010022+0.00037661i,3.4298e-05+1.2835e-05i,-0.00062417+6.9972e-06i,-0.0002289+0.00060037i,0.00035374+0.00086309i,0.0004334+0.00032353i
0.002093+0.0016999i,0.0025403+0.00082066i,0.0023072+8.942e-05i,0.0011056-9.7611e-05i,0.00050178-8.0942e-05i,1.6049e-05-0.00029889i,-0.00094467-0.00089225i,-0.001112-0.00093301i,-0.00098786-0.00076534i,-0.0015911-0.00076009i,-0.0016648-0.00064721i,-0.00098734-0.00017555i,-0.0010699-5.1997e-05i,-0.00096696+0.00019814i,-0.00032798-0.00018056i,-8.7749e-05-0.0005791i,0.00031344-0.00045404i,0.00060658-1.3985e-05i,0.00048058+0.00072095i,0.0003662-2.3289e-05i,0.0002027-0.00077814i,0.00014264-0.00038938i,-8.6818e-05-9.3508e-06i
-0.0012515-0.00042924i,-8.8663e-05-0.00021229i,-0.0004012+0.00052018i,-0.001227+0.0013009i,-0.00087391+0.0013964i,-0.0001678+0.00030181i,-2.7574e-05-0.00044386i,-0.00096342-0.00045992i,-0.0014609+0.00016121i,-0.0014446+0.00064853i,-0.00073773+0.0012254i,-0.00033542+0.00096547i,7.5281e-05-4.4379e-05i,0.00072125-0.00088952i,0.00040778-0.00072717i,-0.00033509-0.00042559i,6.6915e-05+0.00047722i,0.00040815+0.0012648i,2.7292e-05+0.0012009i,-0.00013291+0.00028419i,0.00010845-0.00054309i,-5.1433e-05-0.00027985i,-0.00028297+0.00049606i
-0.00020804-5.3313e-06i,-0.00053197+0.00047106i,-0.0011793-0.0004105i,-0.001157+0.00045155i,-0.00052296+0.0020514i,-1.3205e-05+0.0020481i,-0.00073613+0.00060383i,-0.0013732-0.00029326i,-0.0012937+0.00020338i,-0.00074941+0.00037798i,-0.00062587+0.00044631i,-0.00051195+0.00056409i,-0.0003955+0.00019281i,-7.6377e-05+0.00010143i,0.00014251-1.6622e-06i,-7.1955e-05-0.00037745i,-0.00012103-0.0006378i,6.4606e-05-0.00048608i,-0.00019588+0.00023486i,-0.00045441+0.00019279i,7.6085e-05+0.00021995i,0.00031725+0.0009707i,0.00016256+0.00026342i
0.0003249+0.00046244i,-0.00044095+0.00010306i,-0.0005551-0.00066348i,-0.00081582+0.00021586i,-0.0011285+0.00051775i,-0.00097169+2.4523e-05i,-0.00070198-0.00014952i,-0.00064353+0.00021118i,-7.5496e-05+0.00056814i,0.00038242+0.00079423i,-0.00075485+0.00042528i,-0.00043677+0.00038303i,0.0010504+0.00058434i,0.0013251+0.0003134i,0.00022454-0.00030984i,-1.0624e-05+0.00034214i,0.00028859+0.0011866i,0.00020022+0.00075549i,-0.00019424+3.4938e-05i,-6.5786e-05-0.00039072i,0.00045274-0.00090549i,0.00020318-0.00076383i,2.6557e-05+0.00040019i
0.00011866+0.0025309i,0.001732+0.0012955i,0.0030837+0.00056766i,0.0022746+0.00081297i,0.0010455+0.0001958i,-0.00024652+2.412e-05i,-0.0011241+0.00037724i,-0.00079578+0.00067354i,-0.00010508+0.0010604i,0.00053379+0.00044235i,0.0011387+0.00036344i,0.00069875+0.0004479i,0.00012273+1.3084e-05i,0.00029853-0.00026835i,0.00091241-0.00019404i,0.00060455+0.00010787i,0.00022674+0.00042222i,0.00065772+0.00065152i,0.00064711+0.0005762i,0.00029502-5.7032e-05i,-0.00012285-0.0005774i,-0.00050333-0.00038761i,-0.00029519+0.00060584i
0.00010123-0.0017035i,0.00090661-0.00056596i,-0.00050535-0.00011336i,-0.0015714+2.9062e-05i,-0.00087157+0.00058519i,-0.00059705+0.00056766i,-0.00083938-0.00012667i,-0.0011617-0.00016053i,-0.0015013+8.6983e-05i,-0.001448+0.00070327i,-0.00164+0.00091809i,-0.00090717+0.0013601i,-0.00011269+0.00099609i,0.00077133-0.00054817i,0.0011566-0.0010007i,0.00074555-0.0014154i,0.00057882-0.0018267i,-9.1159e-05-0.00090075i,-0.00017617+0.00025099i,0.00037168+0.00057198i,0.00039464+0.00013893i,-1.4199e-05-0.00040032i,-0.00069988-5.861e-05i
0.00066569-0.0012645i,0.00095785-0.00036476i,0.00078754+4.2405e-05i,-0.000128+0.00015567i,0.00017205+0.00058289i,0.0013131-2.4727e-05i,0.0012753+0.00029623i,-8.8028e-05+0.0016769i,-0.0007716+0.00074842i,-0.00044191-0.0010823i,0.0001816-0.00083273i,0.00095302-0.00012857i,0.00073361+6.2965e-06i,0.00014898-0.00013235i,-0.00012818-0.00069714i,-0.00027064-0.00060898i,-4.8865e-05+0.00011565i,-2.002e-05+0.00029511i,5.6525e-05+0.00081683i,0.00025015+0.000955i,0.00042057+0.00015404i,-0.00024279-0.00098285i,-0.00074876-0.0012185i
0.00071645+3.5325e-05i,6.7887e-05-0.0010442i,3.8052e-05-0.0016428i,-0.00066141-0.00075481i,-0.0014238+0.00022205i,-0.0011318+0.00072184i,-0.001668+0.00057568i,-0.0020788-0.00014139i,-0.00061911+6.6525e-05i,-8.34e-05+2.5935e-05i,-0.00059524-0.0004469i,-0.00044317-0.00015276i,-0.00042275+0.00090076i,-0.00050209+0.00064886i,-5.3016e-05-0.00021192i,5.261e-06-0.00035606i,7.5844e-05-0.00040981i,0.00091491-0.00037335i,0.00099929+0.00022639i,-0.00012301-0.00012195i,-7.8905e-05-0.0011215i,-9.1325e-05-0.00093689i,-0.0003903-0.00055301i
-0.0021655-0.00082917i,-0.0020846-0.0010542i,-0.0027323-0.0016799i,-0.0016726-0.0010827i,-9.5329e-06+0.00013336i,0.00054583+0.00042411i,9.9137e-05-0.00018314i,-0.00066265-0.00040722i,-0.0017799+9.5001e-05i,-0.001676+0.00043244i,2.5531e-05+0.00068616i,0.0012378+0.00090664i,0.00087259+0.00094174i,0.00044089+0.00047376i,0.000367+0.0003224i,0.00041635+0.00015679i,0.00066956+0.00046281i,0.0003723+0.00045693i,0.00027729+0.00027119i,0.00013713-0.00019584i,0.00010358-0.00072932i,-0.00034741-0.00039151i,-0.00073642+0.00052549i
0.0012884+0.00028169i,0.00077246+0.0013219i,0.001164+0.0015471i,0.001051+0.0005772i,-2.8132e-05-0.00020551i,-0.00050511-0.00011123i,-0.000336+0.00042017i,-0.00061053+0.00076775i,-0.00088008+0.00048169i,-0.00039797-0.00033734i,-2.0343e-05-0.0011157i,0.00025427-0.0012496i,0.00019401-0.00071634i,0.00011769+9.1946e-05i,0.00046232+0.00048592i,0.00085859+0.00036108i,0.00080776-0.00041434i,0.0010133-0.00045876i,0.00055679-0.00053456i,-0.00024031-0.00014905i,-0.00093157+5.8383e-05i,-0.0011739-0.00058392i,-0.00061108-0.00026987i
-0.00022712-0.0010695i,-0.00085332-0.0009061i,-0.0011349+0.00024985i,-0.0019853+0.00089244i,-0.0021192+0.00096429i,-0.00086292+0.00087123i,-0.00038561+0.00031244i,-0.00045582+0.00018952i,-0.00074392+5.8172e-05i,-0.0012177-6.7702e-05i,-0.00063938-0.00014711i,-0.00027131+0.00020273i,-0.00047867+0.0004706i,0.00035372+5.7631e-05i,0.00015718+3.0043e-05i,-8.5379e-05+9.453e-05i,8.2138e-05+9.2501e-05i,3.2834e-05-0.00044964i,-0.00026701-0.00056933i,-0.00094444-0.00035071i,-0.0011199-0.00020791i,-0.001235-5.5602e-05i,-0.0007011+0.00031426i
-0.0015949+0.0016864i,-0.0015548+0.00099864i,-0.001078+0.0021027i,0.0004022+0.0020058i,0.0015052+0.0013641i,0.00091266+0.0014908i,-0.00022578+0.0013097i,-0.0006341+0.0012538i,-0.00035757+0.00093151i,-0.00010848+0.0004736i,-0.00014242+0.00057961i,0.0009057+0.00072044i,0.0017048+0.00035195i,0.00099818-0.0002663i,3.7101e-05-5.2098e-05i,1.8563e-05+0.00019936i,0.00041701-0.00035633i,0.00014172+0.00021504i,-0.00059367+6.0513e-05i,-0.00068791-0.0013169i,-0.0002031-0.0011864i,2.4318e-05-0.00066485i,7.0473e-06-0.00010933i
-0.0018276-0.0012858i,-0.0024023-0.00011335i,-0.0033799+0.0013413i,-0.0024913+0.0017009i,-0.00071975+0.0014207i,7.0243e-05+0.0012654i,-0.00075694+0.00087874i,-0.0011627+0.0012725i,-0.0012587+0.0016787i,-0.00084942+0.0013277i,0.00021742+0.0013887i,0.00097734+0.0013108i,0.0014448+0.00066961i,0.0013512+0.00064551i,0.00030709+0.00025754i,0.00035048-0.00031343i,0.00042455+0.00053212i,0.00018185+0.00060542i,-0.00035364-0.0001599i,-0.000551+0.00013587i,-0.00024878-6.5323e-05i,4.4118e-05-0.00015647i,0.00010328-4.5918e-05i
-9.2965e-05+0.003238i,-0.00026083+0.0028864i,-0.00088797+0.0024443i,-0.0001411+0.0015445i,0.0011597+0.00062283i,0.001214-0.00048417i,0.00036452-0.00069863i,-0.00016139+0.00057622i,-0.00070936+0.00080804i,-0.00063527+0.0003212i,-0.00011705-0.00057961i,7.7543e-05-0.0013045i,-5.8359e-05-0.0010246i,-4.7317e-05-0.00077706i,0.00071615-0.00050096i,0.00036315-0.00038038i,7.4333e-05-0.00058548i,0.00018234-0.00076692i,-0.0001536-0.00016871i,-0.00025987+0.00019193i,0.00024745-0.000587i,0.00078533-0.0012568i,0.00031553-0.00094613i
0.00070104+0.00066608i,0.00055405+0.00070608i,0.00051307+0.00036304i,-0.00051874+6.8919e-05i,-0.0013971+0.0002453i,-0.0012205+0.00068489i,-0.0011628+0.00042308i,-0.0016566+0.00033359i,-0.0015472+0.00032917i,-0.00099703-0.00054894i,-0.00064348-0.0010427i,-0.00053413-0.00019619i,7.4789e-05+0.0010695i,0.00053431+0.0013743i,0.0007645-7.4708e-05i,0.00030434-0.0012828i,-0.00025587-0.00093738i,-0.00022584-0.00019053i,-0.0002441+0.00014447i,-0.00079398+1.0625e-05i,-0.0005683-0.0005838i,0.00015864-0.0012736i,3.3784e-05-0.00050537i
0.00067727+0.00062918i,0.00057182+0.0010869i,0.00072981+0.0013634i,0.0009041+0.00056946i,0.00047872-0.00051979i,-0.00029191-0.00088737i,-0.00032367-0.0005013i,-0.00060413-0.00020711i,-0.0012687+5.8254e-05i,-0.00090861+0.00050649i,-1.3601e-05+0.00037221i,0.00016245-0.00052873i,0.00053813-0.00073856i,0.00068911-0.00025572i,0.00027276+0.00022973i,-0.00015652+4.4498e-05i,-0.00014023-0.00024839i,0.00012975+0.00021776i,-0.00014364+0.00068981i,-0.00032001+0.00057597i,-0.00056579-0.00015587i,-0.00074992-0.00050323i,-0.00029298-0.00035833i
0.0012096-0.0017329i,0.00038584-0.0022425i,0.00073376-0.0020327i,0.00017982-0.0011053i,-0.00018565-0.00017128i,-2.7071e-05+0.00033527i,-0.00037498+0.00031057i,-0.00070743+0.00032769i,-0.0011482+3.5825e-05i,-0.0015067-0.00042514i,-0.0013234-0.00068766i,-0.00056892-0.00014458i,7.1665e-05-3.6461e-05i,0.00020155-0.00050857i,0.00027934+6.8343e-05i,0.00053702+0.00011671i,-0.00010386+0.00015633i,-0.00089785+0.0008147i,-0.0010028+0.00028181i,-0.00067755+6.1605e-05i,-0.00041583+0.00052076i,-0.0001646+0.00060151i,-8.6551e-05+0.00042913i
-0.00051702-0.0026282i,-0.00068398-0.0029718i,-0.002035-0.0019508i,-0.0022942-0.00045842i,-0.0011764+0.0010409i,-0.00018432+0.0013203i,-0.00094432+0.00099535i,-0.0020667+0.00070062i,-0.001422-1.3453e-05i,-0.0012663+0.00010907i,-0.00088972+0.00065292i,4.2597e-06+0.0012439i,0.00070524+0.0013339i,0.00036953+0.001117i,0.00013261+0.001039i,0.00026153+0.0011381i,0.00049315+0.0011215i,0.0017118+0.00058516i,0.0012332+0.00062319i,-0.00052852+0.00074258i,-0.00053406+0.00024737i,0.00040345-0.00018639i,0.00037219-0.00016607i
-0.0027778-0.0026899i,-0.0032156-0.0025281i,-0.0042585-0.00074814i,-0.0034564+0.001798i,-0.0011811+0.002305i,0.00059524+0.0013744i,0.00061063-5.89e-06i,-0.00064347-2.3282e-05i,-0.00094816+0.00094909i,-0.001137+0.0017484i,-0.00099866+0.0021582i,0.00035876+0.0012918i,0.0019039+0.00048481i,0.001963+0.00013473i,0.0010303-0.00082332i,0.0006927-0.0011932i,0.00032745-0.0003079i,-0.000263+0.00038631i,-0.00031576+0.0013415i,-3.3037e-06+0.0014276i,0.0004942+0.00061739i,0.00099867+0.00047511i,0.00069163+6.5324e-05i
-0.00016903+0.00013335i,0.00010175+9.5427e-05i,-0.00023729-0.00038334i,0.00020577+0.00028439i,-0.00019623+0.00090508i,-0.00052789-5.9739e-05i,-0.00066457-0.00062268i,-0.00070187-0.00019104i,-0.00066797+0.00014112i,-0.00058587-0.00016395i,-0.00063674-0.00028765i,-0.00033906+9.6647e-06i,3.6987e-05+0.00012147i,0.000529-0.00033721i,0.00087156-0.00073502i,0.00047924-9.3838e-05i,0.00065912+0.0003991i,0.0008651+9.96e-06i,0.00049722-4.0425e-05i,-0.00023431+4.2304e-05i,-0.00068095-8.3449e-05i,-0.00049552+4.8442e-05i,-0.00037374-0.00029165i
