-0.0027327-0.00055102i,-0.002688+9.9379e-05i,-0.0031355+0.0011838i,-0.0041568+0.0013988i,-0.0049945+0.0021417i,-0.0031152+0.0025066i,-0.0010278+0.0020353i,-0.00095953+0.0023649i,-0.00038617+0.0027667i,0.00035388+0.0023147i,1.9906e-05+0.00091369i,-0.00033616-6.8623e-06i,-0.00044905-0.0002877i,-6.2178e-05-0.00049637i,-0.00056299-0.00064672i,-0.0010619-0.0010688i,-6.9679e-05-0.00059341i,0.00018382+0.00053215i,-0.00010408+0.00028524i,-8.4531e-05-0.00038452i,0.00038358+3.7339e-05i,0.00098316-0.00012734i,0.00085851+0.00010549i
-0.00077093-0.0020165i,-0.0012623-0.0023734i,-0.0030457-0.002488i,-0.0042248-0.0021606i,-0.003729-0.00096983i,-0.0017533+0.0012473i,-0.00058711+0.0011066i,-0.001099-0.0003167i,-0.0016791-0.00082546i,-0.00088997-0.00011892i,0.00041821+4.627e-05i,0.0016414-0.00089164i,0.0018105-0.0013075i,0.0012397-0.0015206i,0.00039709-0.00134i,-0.00017877-0.0012013i,0.00024795-0.00078439i,0.00062198-0.00029489i,0.00059783-0.00013493i,0.00076377-0.00057658i,0.0011112-0.00046946i,0.00022939+0.00072727i,-0.00050916+0.0010333i
-8.9564e-05-0.0016098i,-0.0011293-0.0014242i,-0.0017753-0.00075924i,-0.0025591-0.0014282i,-0.0028962-0.001706i,-0.0016526-0.00058016i,0.00026066+0.00076558i,-7.901e-05+0.00096471i,-0.0019558+0.00013944i,-0.0023626-0.00099207i,-0.0020135-0.0013873i,-0.0019782-0.0018516i,-0.0021156-0.0017627i,-0.001984-0.0011291i,-0.0012008-0.00079867i,-0.00084858-0.00027548i,-0.00044677-0.00037307i,-0.00015361-0.00039851i,-0.00074653+0.00011784i,-0.00095205+0.00018457i,-0.00044061+4.794e-05i,-0.00016867+0.00038143i,-0.00018628+0.00068926i
-0.0019129-0.00041262i,-0.0012456-0.00049779i,-0.0025894-0.0014438i,-0.0026675-0.0019929i,-0.0009052-0.00043443i,0.00069536+0.0014973i,0.0010249+0.0025676i,-0.00037378+0.0027813i,-0.001575+0.0030739i,-0.0019122+0.0025705i,-0.0024219+0.00087735i,-0.0025236+0.00019482i,-0.0023542+0.0011537i,-0.0027341+0.0010351i,-0.0020273+0.00034323i,-0.0009161-0.00041306i,-0.0008552-0.00058235i,-0.00098214+0.00040099i,-0.00078204+0.00048288i,-0.00052765+0.00031174i,0.00024401+0.00072609i,0.0010283+0.00070362i,0.00093736+0.00074579i
3.9813e-05-0.00078142i,0.00020752-0.0015263i,-0.0010968-0.0015365i,-0.0034115-0.0022641i,-0.0037162-0.0024209i,-0.0018047-0.00071836i,-0.00038318+0.00042392i,-0.00034691+0.001602i,-0.00049218+0.0025067i,-0.00095046+0.0020576i,-0.0016242+0.0019842i,-0.0020158+0.0024845i,-0.0019037+0.0029839i,-0.00088105+0.0027866i,7.9254e-06+0.0016183i,-0.00012664+0.00022241i,-0.00027487-0.00062754i,-0.00012575-0.00073312i,0.00026076-0.00018029i,0.00062291-0.0002543i,0.00083206-1.4746e-05i,0.00091656+0.00090358i,0.00010051+0.00070359i
0.00076003-0.0012053i,0.00045889-0.0017546i,-0.00055107-0.0025049i,-0.0017559-0.0025426i,-0.0020305-0.0018213i,-0.0011097-0.00038161i,0.0008664+0.00034359i,0.001647+0.00036113i,0.001378+0.001241i,0.0011254+0.0023424i,0.0015294+0.0030601i,0.0022879+0.0038202i,0.0022+0.002936i,0.0014084+0.0010434i,0.00024233+0.00095571i,7.9102e-05+0.001343i,-0.00036393+0.00071815i,-0.00070244-0.00021835i,-0.00025104-0.00062445i,0.00032352-0.00031701i,0.0012745+7.53e-08i,0.0017766-0.00014164i,0.0013834-0.00037267i
0.00068246+0.00067972i,0.0010609+0.0014022i,0.00017519+0.0010373i,-0.0018491-0.00059966i,-0.0025789-0.001528i,-0.0017164-0.0011391i,-0.000448-0.00034752i,8.9309e-05-0.00033315i,0.00046375-0.00010852i,0.0010922+0.00063374i,0.0017229+0.00043565i,0.0019091-6.6828e-05i,0.002699-0.00029924i,0.0030163-0.00048709i,0.0018796+0.00012546i,0.00075208+0.00045688i,-0.00010803-0.00027634i,8.6483e-05-0.00032018i,0.00056969-0.00064684i,4.9414e-05-0.001162i,-0.00013707-0.00010545i,0.00041461+0.00045636i,0.00098663-0.00087746i
0.00082373-0.0004611i,0.00029652-0.0012265i,-0.00046811-0.0021115i,-0.0010628-0.0026849i,-0.0020558-0.0024331i,-0.002081-0.0012863i,-0.0008601-0.00065256i,-0.00075202-0.00036452i,-0.001721-0.0010796i,-0.0010059-0.0015065i,0.0005367-0.0011636i,0.0015085-0.0011612i,0.00097516-0.0011493i,0.00043378-0.0010768i,0.00024194-0.0010502i,8.7758e-05-0.00034487i,0.00077574+0.00026594i,0.0014834-0.00013899i,0.00061998-0.00061439i,-0.00068324-0.00044362i,-0.00052011-0.00057911i,-0.0001463-0.00088508i,-0.00030013-0.00022983i
-5.3265e-06-0.00030018i,-0.00032131+0.00067451i,-0.001508+0.00054007i,-0.0028363-0.00096622i,-0.0023393-0.00078203i,-0.0007463+0.00084659i,0.00015769+0.0013337i,-0.00079083+0.00078034i,-0.002836+0.00083075i,-0.0032652+0.00052005i,-0.0024469-0.00065228i,-0.0021491-0.00044856i,-0.0021852-8.0695e-05i,-0.0021257-0.00070041i,-0.0011872-0.00074251i,-0.00075938-0.00021202i,-0.00094656-0.00048613i,-0.0004112-0.00077827i,-0.00088334-0.00058603i,-0.0011842-0.00013268i,-0.00067592+0.00051342i,-0.00042832+0.00044454i,-0.00032683+2.5836e-05i
0.00014207-0.00051413i,-0.00070359-0.0014433i,-0.0019507-0.0032486i,-0.0030754-0.0026184i,-0.0035055-0.0011353i,-0.001843+0.00058483i,-0.00045843+0.0012098i,-0.00091394+0.00040244i,-0.0025974+0.00066875i,-0.0035642+0.00097729i,-0.0031421+0.00077124i,-0.0021863+0.0014795i,-0.0012987+0.0019196i,-0.00069155+0.0014841i,-0.00057834+0.00056016i,-0.0006634-0.00030328i,-0.00056455-0.00024411i,-0.00016837+0.00043779i,-0.00019272+0.00054105i,-0.00045614+0.00017399i,-0.00083932-0.00026194i,-0.00058701-0.00039602i,-0.00034267-0.00023649i
0.00024717-0.0006402i,0.0010442-9.0829e-05i,0.00062876-0.00033674i,-0.00027277-0.0011086i,-0.0013682-0.0012504i,-0.0012891-0.00043561i,9.6921e-05+0.00079848i,0.00032048+0.0013126i,-0.00071581+0.0024642i,-0.0016358+0.0029052i,-0.0019021+0.0026769i,-0.0013682+0.0028229i,-0.0003542+0.0026428i,-0.00020604+0.0025861i,-0.00046864+0.0022258i,0.00017546+0.0012009i,0.00029697-0.0001708i,8.2115e-05-0.00073772i,0.00053893+7.8617e-05i,0.00089608+0.00054291i,0.00070075+0.00017761i,0.00034741-0.00041687i,0.00013377-2.9262e-05i
-0.0010064-0.0020227i,-0.0012753-0.0022563i,-0.0020943-0.002177i,-0.0033969-0.0023615i,-0.0032331-0.0011436i,-0.0021818+0.00082033i,-0.00084464+0.00081204i,7.4224e-05+0.00069838i,-9.5167e-05+0.0013895i,-0.00040277+0.001465i,-5.7018e-05+0.0015038i,0.00083925+0.0015521i,0.0015478+0.00095019i,0.001394+0.00011815i,0.0011611-0.00013714i,0.0015017-4.14e-05i,0.0012346-1.6081e-05i,0.00091699+0.00053941i,0.00051432+0.00048843i,0.0001935+0.0003778i,0.00027728+0.0002152i,0.00083853+0.0003122i,0.0007846+0.00076015i
0.0001987+0.0014329i,0.00013653+0.00098448i,-3.7972e-05+0.00027906i,0.00015948-0.00044051i,0.00060223-0.00093058i,0.00034576+2.2006e-05i,0.0001139+0.0013969i,-0.00053572+0.00035177i,-0.00034794-0.001137i,0.0010123-0.00061559i,0.0011456-0.0006278i,0.0012574-0.0014838i,0.0010321-0.0016779i,0.00049252-0.0012236i,0.00090747-0.0013188i,0.00063986-0.00098448i,0.00045745-0.00090862i,0.0013545-0.0012101i,0.00095514-0.0004194i,-0.00029455+7.3221e-05i,-0.00022361+0.00038459i,0.00016113+0.00084191i,-4.9705e-05+0.0010581i
0.0008993-0.001675i,-1.8189e-05-0.0021197i,-0.0013582-0.0030368i,-0.0041037-0.0041981i,-0.0047765-0.0029253i,-0.0024573+0.00023026i,0.00051619+0.0010771i,0.00084089-0.00018534i,-0.00076217-0.00099017i,-0.00097867-0.00050927i,-0.00074968-5.4896e-05i,-0.00068901-7.2574e-05i,-0.0012998-0.00035562i,-0.0011783-0.00043878i,-0.00053914-0.00035359i,-2.6302e-05-8.0662e-05i,0.0001247+0.00016921i,-8.75e-05-6.2994e-05i,0.00047165-0.00061856i,0.00046078-7.8185e-06i,-0.0003868+0.00033146i,-0.00085184-3.2393e-05i,-0.0004559+0.00022079i
-0.00025598+0.00014811i,0.00021594+0.00017276i,-0.00069993-0.0007044i,-0.0015316-0.0010689i,-0.0022592-0.0011561i,-0.0015561-0.00093927i,0.00016463-1.908e-05i,-3.6546e-05+0.00047486i,-0.0014875-0.00019795i,-0.00185-0.00061069i,-0.0022115-9.9455e-05i,-0.0027553+0.00058984i,-0.0023377+0.0007918i,-0.001882+0.00089389i,-0.0015645+0.0015304i,-0.0012054+0.001392i,-0.00087744+0.00026873i,-0.00085409-0.00028637i,-0.0009475-0.00050061i,-0.00062711-8.1228e-05i,1.3073e-05+0.00012895i,0.00091145-0.0005215i,0.00069085-0.0012438i
-0.0023527-0.00023337i,-0.0013685-0.00061794i,-0.0016535-0.0015021i,-0.0019865-0.0020015i,-0.0012902-0.0012603i,5.4874e-05-0.00014343i,0.00074507-0.00028557i,-0.00076742-0.00021641i,-0.0026831+0.0016595i,-0.0028285+0.0028579i,-0.0018281+0.0022866i,-0.00064744+0.0020272i,0.00012547+0.0014728i,0.00072233+0.00057309i,0.00028503+0.00067005i,-0.00060024+0.0010498i,1.5881e-05+0.00072695i,0.00056935+4.8362e-05i,0.00043336-3.5934e-05i,0.00015098-2.299e-05i,0.00016503-0.00041105i,0.0003268-0.00072046i,-7.4399e-06-0.00024928i
0.00092282+0.00037256i,0.00045119+0.00023874i,-0.0010184-0.0014412i,-0.0030136-0.0024546i,-0.004172-0.0018274i,-0.0030898-0.0002336i,-0.00097367+0.0004767i,-0.00043158+0.00025847i,-0.00070991+0.000809i,-0.00037719+0.0013635i,-0.00036622+0.00053829i,-0.00011909+0.00056616i,0.00079927+0.000324i,0.0010613-0.000594i,0.00081511-0.00022029i,0.0002897+0.00011597i,-0.0001719+4.0345e-05i,-3.5207e-05-0.00044796i,0.0006648-0.00062482i,0.00076383+1.1995e-05i,0.00034339-0.00023885i,0.00037558-0.00098768i,-0.00026379-0.0014447i
0.00054744+0.00028616i,0.0011143+0.00031798i,0.00043413-0.00041075i,-0.0012301-0.0012084i,-0.0019314-0.0006428i,-0.0021947+0.00085772i,-0.0020644+0.0010472i,-0.0011856+0.00018667i,-0.00048728+0.00064059i,4.0311e-05+0.001579i,0.00020176+0.00088466i,-9.2018e-05+0.00018112i,-5.5335e-07-0.00094051i,0.00013382-0.0015296i,8.9936e-06-0.00096443i,0.00086804-0.0008383i,0.0015078-0.0012812i,0.0011874-0.0013577i,0.00031737-0.00076097i,2.0678e-05-0.00056172i,-0.00023276+0.00045976i,-0.00064135+0.0011664i,-0.0012187+0.00071533i
0.00018722-0.0012276i,-0.00086614-0.0013731i,-0.002458-0.0021074i,-0.0031061-0.0021471i,-0.0032301-0.00045326i,-0.0017392+0.0010102i,-0.00016931+0.001076i,-0.0003615+0.0015913i,-0.0015741+0.0012874i,-0.0018143-0.00012571i,-0.0012765-0.00065595i,-0.0013007-0.00023889i,-0.0011087-0.00038653i,-0.00095091-0.0011997i,-0.00055676-0.0022103i,1.9726e-05-0.0025985i,-0.00029914-0.001771i,-0.0010198-0.0010171i,-0.0010927-0.00045534i,-0.00070268+0.00036076i,-0.00013892+0.0011499i,0.00014208+0.0012182i,0.00050404+0.00010411i
-0.0012006+0.0017945i,-0.00099606+0.001912i,-0.0011834+0.0032588i,-0.00075976+0.0017499i,9.6527e-05-2.9927e-05i,-0.00025634+0.00023971i,-0.00088519+0.00092518i,-0.0014453+0.0013534i,-0.0019348+0.0010802i,-0.0012252+0.00062463i,-0.001183+0.00050657i,-0.002353+0.00026471i,-0.0023925+0.00020587i,-0.0022149+0.00045085i,-0.0027197-0.0002461i,-0.0026975-0.00072021i,-0.0020078-0.00013905i,-0.0014898-2.8846e-05i,-0.00078995+1.7852e-06i,-0.00052952-0.00034212i,-0.00051683-0.00054576i,-0.00011138-0.00034511i,-9.1548e-07-0.00061173i
-0.00069975+0.00084837i,-0.00084108+0.00037283i,-0.00057319-0.00022065i,-0.00040883-0.0015377i,-0.00048652-0.0023949i,-0.0003873-0.0016928i,-0.00031172-0.00060769i,-0.00063323+0.00074451i,-0.0010377+0.0015006i,-0.0014063+0.001429i,-0.00076332+0.002047i,5.7305e-05+0.0021782i,-0.00051209+0.0020846i,-0.00093825+0.0019032i,-0.00044865+0.0022086i,-0.00042538+0.0031364i,-0.00027567+0.0024677i,-0.00015826+0.0010578i,3.9039e-05+0.00038605i,0.00055954+0.00063553i,0.00032475+0.00067355i,0.00015329+9.7588e-05i,4.4593e-05+5.5784e-05i
0.0012359-0.0013561i,0.00060263-0.0022223i,-0.00022909-0.0028146i,-0.0020633-0.0024791i,-0.0035034-0.0010343i,-0.0027269-7.3862e-05i,-0.00011408-0.00086765i,0.00084041-0.00091789i,-0.00021592+0.00039504i,3.0911e-05+0.0014505i,0.0011398+0.0017545i,0.0012536+0.0012305i,0.00075173+0.0008473i,0.0006871+0.0014112i,0.001301+0.0017691i,0.0020056+0.00072029i,0.001594-0.00092634i,0.000681-0.0011236i,0.00069614-0.0006334i,0.0010491-0.00081658i,0.00058561-0.00026366i,-8.1471e-05+0.00045702i,0.00021008-4.4432e-05i
-0.00090011+0.0015647i,-0.0011535+0.0009874i,-0.00055571-0.0002947i,-0.00080914-0.00087662i,-0.0021516-0.0011121i,-0.001887-0.00045055i,-0.00067098-0.00016784i,-0.00043848-0.00098681i,-0.00080348-0.00041022i,-0.00044924+0.00087007i,0.00092662+0.00025727i,0.0014269-0.00092211i,0.00078004-0.0009507i,0.00071463-0.00085099i,0.0016033-0.0012752i,0.0019083-0.0020461i,0.0013159-0.0020815i,0.00070056-0.0012153i,0.00089979-0.001242i,0.00038825-0.00072018i,0.00034188+0.0002363i,0.0013513+0.00049874i,0.0012555+0.00035696i
-0.0018549-0.0010395i,-0.0011527-0.00097871i,-0.0019629+0.00011913i,-0.0025714+0.00034033i,-0.0018265+0.0011588i,-0.00096552+0.0015278i,-0.0013159+3.9453e-05i,-0.0025657-0.0012888i,-0.0019029-0.0004738i,-0.0013536+0.00054469i,-0.001858-0.000324i,-0.0013125-0.00091935i,-0.0011579-0.00083049i,-0.0022921-0.0013521i,-0.0023513-0.0019431i,-0.0016485-0.0018323i,-0.0015473-0.001295i,-0.0017537-0.00093743i,-0.0010989-0.00093826i,-0.00083145-0.00078488i,-0.00078885-0.0003074i,0.00040945+0.00027965i,0.00069089+0.00029209i
0.00012554-0.00013656i,-0.00041857+2.0664e-05i,-0.00085508-0.0011284i,-0.0018299-0.0023894i,-0.0021135-0.0017652i,-0.0013681+7.1937e-05i,-0.00052121+0.0012165i,-0.0010732+0.00095149i,-0.0030551+0.00025257i,-0.0038232+0.00083346i,-0.0030702+0.0011369i,-0.0028851+0.0010592i,-0.0022646+0.0012184i,-0.0015079+0.0006251i,-0.0011482+0.00012134i,-0.00054144-0.00024978i,-0.00077834-0.0003787i,-0.0015016-6.1141e-05i,-0.0011701+0.00020514i,-0.00042628+0.00015737i,0.00014829+0.00011231i,0.00010488+0.00041072i,-0.0001786+0.00061926i
-0.00054042-0.00065364i,-0.0006811-0.0007194i,-0.00077111-0.0014074i,-0.0022586-0.001731i,-0.0024626+0.00016692i,-0.00087113+0.0020272i,0.0001423+0.0026373i,-4.2206e-05+0.0034499i,-0.00073369+0.0030767i,-0.00097811+0.0014557i,-0.00075935+0.0012716i,-0.00039751+0.0021388i,-0.00010742+0.0016991i,-0.00034649+0.0012352i,-0.00060227+0.002422i,-0.00089304+0.0028694i,-0.00072838+0.0020905i,-0.00011348+0.0018513i,5.9906e-05+0.00123i,0.00015668+0.00077936i,0.0002294+0.00091026i,-0.00017184+0.00088438i,-0.00080322+0.00089845i
-0.0014109+0.00052909i,-0.00074007+0.00062522i,-0.00090937+0.00036402i,-0.0014402+3.6887e-05i,-0.0014443-0.0008623i,-0.0002853-0.0017197i,0.0012736-0.00043853i,0.0014746+0.0012202i,0.00029328+0.0022057i,-0.0003626+0.0024698i,-0.00010834+0.0025139i,0.00086067+0.0021957i,0.0015564+0.0011995i,0.00067548+0.0008882i,0.00025201+0.0013461i,0.00096732+0.0012611i,0.0020762+0.0010725i,0.0015478+0.001647i,0.00047419+0.0013382i,0.00014773+0.00072445i,-0.00032176+0.00054003i,-0.00015224+0.00033235i,0.00081562+0.0006001i
0.0011447-0.00056573i,0.0010268-0.00045117i,0.00068739-0.00169i,0.00023788-0.0025215i,0.00036386-0.001305i,0.0014111+0.00038324i,0.0025802+0.00091306i,0.0033287+0.00032387i,0.0025999+0.00098202i,0.0016597+0.0015868i,0.0019593-2.5475e-05i,0.0015477-0.0010835i,-3.6535e-05-0.0001531i,0.00027471+0.00026664i,0.0015346-0.00026507i,0.0017057-0.00046084i,0.0015736-0.00052683i,0.0011772-0.0011279i,0.00087979-0.00091712i,0.00074119+0.00028423i,0.0011144+0.00048397i,0.0011231+0.00011007i,0.00030137-0.00026186i
-0.00083521-0.0022373i,-0.0019116-0.0028562i,-0.0022126-0.0034695i,-0.0028985-0.0035616i,-0.0040328-0.0031565i,-0.003945-0.0024179i,-0.0012788-0.0028511i,-0.0003537-0.003249i,-0.0010051-0.0022382i,-0.0013587-0.00081606i,-0.00088944-0.000652i,-0.00067242-0.0014241i,-0.00091976-0.0020983i,-0.0009107-0.0018536i,0.0001208-0.0014873i,0.0006451-0.0016379i,-8.638e-06-0.0013167i,-0.0001286-0.00044072i,0.00046644-0.00063038i,0.0010574-0.00023701i,0.0013094+0.00012491i,0.00085229-5.7447e-05i,-1.5634e-05+0.00031268i
0.00032781-0.00069939i,-0.00029641-0.0014384i,-0.00051366-0.0022963i,-0.0018531-0.0029454i,-0.0033516-0.0018592i,-0.0031379+3.0064e-05i,-0.0027483-9.0645e-05i,-0.0034634-0.0011923i,-0.0035056-0.0018337i,-0.0026773-0.0016672i,-0.0028515-0.00083085i,-0.0033454+0.00024588i,-0.0025634+0.00083013i,-0.0013286+0.00071154i,-0.0012579-0.00021796i,-0.0011761-0.0011286i,7.1326e-05-0.00077451i,0.00027398-0.00047252i,-0.00038958-0.00076456i,-0.00024826-0.00057932i,0.00041673+0.00041048i,0.00041396+0.00096349i,6.6502e-05+0.00020026i
0.0010877-0.00060632i,0.0003627-0.0009293i,-0.0012621-0.0018905i,-0.0034692-0.0020702i,-0.004886-0.00092186i,-0.0047318+0.0014253i,-0.0033647+0.0033379i,-0.0029064+0.0026418i,-0.0028461+0.0013079i,-0.0022106+0.0014102i,-0.0017709+0.0017885i,-0.0015437+0.0017707i,-0.00096852+0.0014413i,-0.00062341+0.0009159i,-0.00084582+0.00030499i,-0.00090272+0.0002062i,-0.00062603-0.00090932i,-0.00061559-0.001064i,-0.00079081-0.00042822i,-0.00055218-0.00028234i,-0.00061909-0.00025138i,-0.00069252+0.00070525i,-0.00080961+0.0012902i
7.242e-05-0.0015714i,-0.00028676-0.0022601i,-0.0010677-0.0028376i,-0.0014589-0.0029336i,-0.00064742-0.0016785i,-0.00036107+0.00133i,-0.00054584+0.0031109i,-0.0011473+0.0039201i,-0.0024496+0.0034336i,-0.0024201+0.0022037i,-0.0010251+0.0020907i,0.00038444+0.0025031i,0.0006407+0.0019821i,0.00030446+0.00069934i,8.9054e-05+0.00044305i,-0.00035656+0.0010937i,-0.00025902+0.0015628i,-0.0003525+0.0016839i,-0.00075663+0.0017013i,-0.00072484+0.0012345i,0.00013259+0.00049807i,0.00089144+0.00025816i,0.00046148+0.0006661i
0.0011714+0.00010697i,0.00072582-0.00031426i,-0.00046649-0.0018786i,-0.0031037-0.0022108i,-0.0042907-0.00098483i,-0.0021702+0.00073097i,0.00051338+0.0012645i,0.0012421+0.0010621i,0.00096696+0.0017938i,0.00077649+0.0023305i,0.00089283+0.0016243i,0.00092799+0.00051176i,0.00053159-0.00041714i,0.00016155-0.00042997i,0.00049825-8.6186e-05i,0.0013642+0.00059494i,0.0012104+0.00044441i,0.00078567-0.00063519i,-5.3355e-05-0.00018394i,-0.00011751+0.00092179i,0.00049282+0.001193i,0.00056831+0.00069184i,0.00072479+0.00067777i
0.0010618-0.00014804i,0.00011331-0.0012534i,-0.00045803-0.0026123i,-0.0010636-0.004265i,-0.00080719-0.0038237i,0.00055825-0.0011238i,0.0024909-0.00049746i,0.0030811-0.001336i,0.0019549-0.001218i,0.00015238-0.00020647i,-0.00077107+2.093e-05i,-0.00040478+0.00018306i,9.2411e-05+0.00027892i,0.00012465-0.0008381i,-7.9253e-05-0.0017305i,0.00029902-0.0004052i,0.00048517+0.00097307i,0.00071998+0.00056853i,0.00131+0.00011803i,0.0014448+2.0452e-05i,0.0010437-0.00019154i,0.00070518-0.00044805i,0.00013767-0.00050617i
0.00050233-0.00084639i,-0.00061764-0.00069365i,-0.0018957-0.0017848i,-0.003959-0.0024396i,-0.0047798-0.0019893i,-0.0027552-0.0016679i,-0.00063037-0.0023742i,-0.000465-0.0039463i,-0.00028027-0.0037963i,-0.00048841-0.0010615i,-0.0011509+8.5764e-05i,-0.00089543+0.00040415i,-0.0010209+0.00073324i,-0.0014901-0.0006041i,-0.0011121-0.0012267i,-0.00058521-0.00077113i,0.00028356-0.0011392i,0.0013079-0.0014054i,0.00098156-0.0014325i,6.7263e-05-0.0011818i,0.0004005-0.00042748i,0.00078779+1.3222e-06i,-0.00013925+0.00023145i
-0.00085007+0.002836i,0.00042332+0.0021399i,0.0024827+0.00033255i,0.0028976-0.00078413i,0.0014428-0.0018829i,-0.00092652-0.0012042i,-0.0030407+2.9104e-05i,-0.0052207-0.0005524i,-0.0054261-0.00031043i,-0.0026949+0.00079034i,-0.0012335+0.0012746i,-0.0014873+0.0014633i,-0.0022027+0.0014798i,-0.0018712+0.0010186i,-0.00098959+0.0008028i,-0.00080677+0.0013131i,-0.00056909+0.001078i,-0.0010119-0.00068693i,-0.00091437-0.0013748i,-0.00046588-0.00069452i,7.4321e-05-0.00016777i,6.2313e-05+0.00011995i,-0.00019685+0.0006117i
-0.0010155+0.0014111i,-0.0010334+0.0015165i,-0.0017402+0.00089207i,-0.0024815-0.001081i,-0.0017829-0.0016706i,-0.00021708-0.00067833i,-0.00011673+0.00062014i,-0.0022278+0.00090698i,-0.0033304+0.00097315i,-0.0018768+0.00087595i,2.0574e-05+0.00090445i,0.0006211+0.00124i,0.00016597+0.0019027i,-0.00075828+0.0015883i,-0.0013884+0.00069748i,-0.0016673+0.00057897i,-0.0012534+0.00012475i,-0.0011058-0.00058511i,-0.0016384-0.00065788i,-0.0017002+0.00061869i,-0.00082748+0.00042597i,-8.8551e-05+1.7212e-05i,0.00028986+4.3495e-06i
0.00099049-0.0011248i,0.00084806-0.0013121i,0.0010263-0.00076594i,-0.00060776-0.001374i,-0.0021707-0.0014309i,-0.0015485+0.00023152i,-0.00033377+0.0022262i,-0.00037664+0.0036986i,-0.0012887+0.0033355i,-0.0016275+0.00069131i,-0.00044837-0.00064676i,0.00052643+0.00035718i,0.00016557+0.00018998i,0.0001203-0.00036655i,0.00034174+0.00068066i,0.0006241+0.0010062i,0.00097097+0.0010156i,0.00026257+0.0020005i,-0.00030312+0.0023649i,-0.00063702+0.0012338i,-0.00042546-9.2877e-05i,-2.9749e-05-0.0002918i,0.00044608-1.8048e-05i
-0.00061071-1.9321e-06i,-0.00059543+0.00067057i,-0.001908-0.00044297i,-0.0031563-0.0024944i,-0.0034331-0.0021139i,-0.0019452-0.00071217i,0.00039551-7.5151e-05i,0.0011802-7.1384e-05i,0.00050334+0.00035033i,-6.3205e-05+0.0010067i,-0.00051205+0.0004586i,-0.00020816-0.00077998i,0.00028033-0.00082949i,0.00038279-0.00076953i,0.00042312-0.0012282i,-0.00029363-0.0012594i,-6.8762e-05-0.0011768i,0.0011277-0.00076067i,0.0019675-0.00064368i,0.0025887-0.0005998i,0.0016497-0.00048894i,0.00013054-0.00020374i,-0.00024454-0.00031325i
-0.00054747+0.0013985i,-0.00074592+0.0011934i,-0.0012206+0.0011158i,-0.001316+0.00047732i,-0.00057497+0.00014032i,0.0011118+0.00023734i,0.0028012-0.00084534i,0.0026656-0.0014729i,0.00078091-0.00066041i,-0.00058279+0.0004954i,-0.00080867+0.0005849i,-0.00066373-0.00033672i,-0.00065803-0.00067939i,-0.00066228-0.0010623i,-0.00021165-0.001508i,0.00031326-0.00082146i,0.0012173-0.00079008i,0.0024045-0.00090258i,0.0026627-0.00039318i,0.0017243-0.00051743i,0.00056708-0.00028462i,-0.00016067-0.00034973i,-0.00050387-0.00010687i
-0.00046417-0.00104i,-0.0014614-0.0014165i,-0.0026843-0.0022007i,-0.0027566-0.0017968i,-0.0023512-0.00036198i,-0.0012577+8.2871e-05i,-0.00057792-0.00088071i,-0.0015279-0.002705i,-0.0030063-0.0027677i,-0.0028432-0.00058001i,-0.0018897+0.0011153i,-0.0017554+0.00063311i,-0.0016844-0.00071646i,-0.0016486-0.0012932i,-0.0017278-0.0012763i,-0.0013275-0.00046982i,-0.0017023+0.00052884i,-0.002306-0.00019302i,-0.0017457-0.0014345i,-0.0013219-0.0015975i,-0.00059252-0.0012316i,0.00066967-1.4426e-06i,0.00077918+0.00073503i
-0.001393+0.00010454i,-0.00096487+0.00057378i,-0.00051921+0.00011122i,-0.001635-0.00092605i,-0.003092-0.0015611i,-0.0022614-0.0012065i,-0.001528-0.0009476i,-0.0040633-0.0010887i,-0.0052571-0.00031545i,-0.0023524+0.00061175i,0.00031666+0.0012199i,0.00026884+0.0013986i,-0.0010175+0.00092495i,-0.0021266+0.00078284i,-0.0023605+0.0013861i,-0.0015527+0.0010965i,-0.0007115+0.00040721i,-0.00083255-0.00019615i,-0.0012358-0.00025422i,-0.0014903+0.00066982i,-0.00079569+0.00071274i,9.9819e-05-0.00018051i,6.572e-05-0.00050502i
-0.0011659-0.00050552i,-0.0023355-0.00044321i,-0.003928-0.00041521i,-0.0040133-0.0006296i,-0.0025305-0.0002854i,-0.0016423+0.00057482i,-0.0022936+0.0016782i,-0.0027907+0.0034996i,-0.0028312+0.0038977i,-0.0020629+0.0020912i,-0.00076673+0.00099295i,-4.3848e-05+0.00099558i,0.00011673+0.00043571i,-0.00036684+9.3689e-05i,-0.00038549+0.00075713i,-0.00030891+0.0012706i,-0.00076067+0.0010834i,-0.00075174+0.00085505i,-0.00012046+0.00092823i,0.00041927+0.00072911i,-0.00017129-0.00043924i,-0.00012578-0.00062147i,0.00031641-8.3582e-05i
0.00088732-0.0011105i,0.0017506-0.0019021i,0.0019104-0.0025713i,0.00033075-0.0027719i,-0.0016154-0.0019944i,-0.0012117-0.00011339i,0.00060183+0.0030714i,0.0013215+0.0046934i,0.00096823+0.0038601i,0.00027508+0.0021064i,4.207e-05+0.0010521i,0.00025807+0.00064453i,0.00087343+0.00041502i,0.0015561+0.0006481i,0.001969+0.00068322i,0.00098031-5.6375e-05i,0.00010994-0.00095579i,0.0010139-0.0011641i,0.0027143-0.0006707i,0.0024254-0.00028197i,0.00061713-0.00042905i,-0.0004489-0.00022574i,-0.00080972+0.00018154i
