0.0020752+0.00049486i,0.0013963-0.0002917i,0.00012239-0.0010118i,-0.0010262-0.00015124i,-0.001879+0.0015938i,-0.0021762+0.0022303i,-0.0020213+0.0016446i,-0.00030298+0.0016816i,0.00070241+0.0015901i,0.00040068+0.00038239i,0.00085159-0.0010907i,0.00085903-0.0011318i,-0.00042124-0.00026285i,-0.00056168-8.0078e-05i,-0.00035654-0.00032988i,-6.5676e-05-0.00010578i,0.00042508+0.00023945i,0.00038555+0.0011013i,-4.5118e-05+0.0010737i,-0.00033608+0.00014982i,-0.00022999-1.6223e-06i,0.00025173+0.00013433i,0.00084895-0.00024592i
-0.00029247-0.0039942i,-0.00022378-0.0036836i,-0.0010208-0.0015134i,-0.0014277+0.00092084i,-6.785e-05+0.0015621i,0.00087764+0.00029577i,0.0002214+4.9161e-05i,-0.00011683+0.00062189i,-8.6374e-05+0.00012408i,-0.00055921+2.7324e-05i,-0.0007307+7.7013e-05i,-0.00056237-0.0004544i,-0.00045033-9.439e-05i,-0.00010683+0.00020287i,0.0004146-0.00030274i,0.00035517-0.00039879i,0.00054567-0.00017665i,0.00069775-0.00015738i,0.00018085-0.00057766i,6.1247e-05-0.00083204i,0.00042913-0.00057565i,0.00017593-0.000482i,-0.00017568-0.00046833i
-0.00032164+0.0044549i,6.6253e-05+0.0037234i,0.0014558+0.001169i,0.0024975-0.00041925i,0.0021957-0.00041965i,0.0017186-0.00092361i,0.0015157-0.0016715i,0.00059748-0.0016392i,-0.00016999-0.0012014i,1.9444e-06-0.00079374i,-0.00024839-0.00057035i,-0.00054924-0.00052431i,0.00024055-0.00051203i,0.00044325-0.00012014i,-8.2603e-05-0.00029237i,-0.00024386-0.0016352i,-3.0719e-06-0.0013389i,6.6192e-05+0.0005082i,0.00029872+0.00082677i,6.0614e-05+0.0002397i,-0.00064079-0.00011582i,-0.00046461-0.0002315i,-0.00019847+2.3883e-05i
0.0016713-0.002191i,0.0015715-0.0026211i,0.00055262-0.0011475i,-0.00058664-0.00058665i,-0.00088741-0.00056573i,-0.00056256-5.5237e-05i,-0.00076597-8.0546e-05i,-0.0013234-0.0011253i,-0.00084045-0.0013795i,-0.00037528-0.00042992i,-0.00042391+0.00045221i,-0.00070377+0.0011217i,-0.00048514+0.00036951i,0.00056467-0.00061984i,0.0006262-0.00063974i,0.00025587-0.00069997i,7.8048e-05-0.00078i,0.00035443-0.00017187i,0.00048524-2.58e-05i,-0.00015782-0.00050284i,-0.00045098-0.00015622i,-2.3966e-05-0.00016837i,-0.00020565-0.00044381i
-0.0035127-0.0016641i,-0.0048855-0.0018622i,-0.0062082-0.0019229i,-0.005288-0.0007312i,-0.0030056+0.0014528i,-0.0015031+0.0013393i,-0.00060184+0.00034072i,-0.00045807+0.00052115i,-0.00041635+0.0014408i,-0.00011057+0.0015615i,0.00040597+0.0016051i,0.00073508+0.0017725i,0.00024267+0.0011301i,-0.00012186+0.0007272i,-3.068e-05+0.00026527i,0.00032187-4.9329e-05i,-3.5803e-05-0.000465i,-0.0005157-0.00095659i,0.00044451-0.00086762i,0.0012876-0.0011149i,0.00068914-0.00060856i,4.5098e-05+0.00047121i,-6.034e-05+0.00064997i
0.0010852+0.0024061i,0.0027155+0.0027398i,0.0039723+0.0030169i,0.0028877+0.002382i,0.001892+0.0011756i,0.00045136+0.00037415i,-0.00099868+0.00046583i,-0.0007818+0.00053377i,0.00014196+0.00038077i,0.00023754+0.00033022i,0.00026068+0.00079369i,0.000649+0.0012992i,0.00050523+0.00087031i,-0.00046073-0.00021348i,-0.0015464-0.00060919i,-0.0010058-0.00034827i,-0.00038081-0.00042035i,-0.00021027-0.0002854i,-0.00019784+0.00062982i,-0.00061564+0.0007318i,4.4702e-05-6.2241e-07i,0.00089986+2.0649e-05i,0.00088755-6.996e-05i
-0.00087197+0.0015638i,-0.0014246-1.4928e-05i,-0.0020762-0.00070395i,-0.00061021-0.00073592i,0.0011351-0.00096499i,0.0012766-0.0013563i,0.00039559-0.0010779i,-0.0010333-6.4409e-05i,-0.00052213+0.00053027i,0.00089722+0.00028041i,0.0012676+5.7354e-05i,2.9362e-07-0.00040379i,-0.00033866-0.00049625i,0.00017773+0.00010794i,-6.7481e-05-0.0002142i,-0.00012959-0.00043227i,4.8378e-05-0.00027706i,0.0005864-0.00015192i,0.00097069+0.00024366i,0.0011177+6.1172e-05i,0.00061185-0.00042802i,0.00061786-0.00043879i,0.001085-0.00029563i
0.0020847-0.00036793i,0.0029921-0.00090558i,0.0029532-4.9042e-05i,0.0025963+0.00097792i,0.0017603+0.0013088i,0.00079465+0.0013979i,0.00014496+0.0015104i,0.00052445+0.00086886i,0.001154-0.00013984i,0.001043-0.00013305i,0.0004326+0.0004025i,4.1885e-05+0.00046079i,-7.6837e-05+0.00054592i,-0.00058076+0.00069867i,-0.00093793+0.0003051i,-0.00092902-0.00010696i,-0.00029234+2.223e-05i,-0.00041629+0.0008327i,-0.00097055+0.00082197i,-0.00057272+0.00010598i,-0.00018247-0.00051838i,-0.0003767-0.00018561i,0.00029569+0.00055751i
-0.00083996+0.00069484i,-0.0019115+0.0016051i,-0.0018183+0.00064908i,-0.00095455+0.00018433i,3.7462e-06+0.0005768i,0.00071578+0.00013988i,-0.0003761-0.0003683i,-0.00066914-0.00016838i,0.00021777+0.00040604i,0.00013455+0.00066149i,-0.00010114+0.00013187i,3.5156e-05-0.00026675i,0.00024875-0.00031767i,3.6586e-05-7.4501e-05i,-0.00069718-0.00021242i,-0.0012827-0.00098012i,-0.0012635-0.00056905i,-0.00071187-7.2409e-05i,-0.00049647+3.8591e-05i,-0.00065901+0.00010417i,-0.00050249-8.1845e-05i,-0.00028053+0.00051068i,-0.00023784+0.00078447i
0.00095894-0.00072507i,0.0013883-0.0013852i,0.0023267-0.0016777i,0.0020118-0.0017285i,0.0010165-0.0022843i,0.0005185-0.0019351i,0.00014262-0.0014811i,0.0008223-0.0015071i,0.00086281-0.0011599i,-4.0958e-05-0.00044604i,-0.00012247+5.7403e-05i,-0.00014192+6.9896e-05i,-0.00129-0.00027535i,-0.0017228+0.00025347i,-0.00098741+0.00020346i,-0.0002507-0.00055404i,0.00024295-0.00089505i,3.2507e-05-0.00074033i,-3.9749e-05-0.00029214i,0.0010577-0.00037124i,0.0010332-0.00056491i,-0.00028107-0.00093648i,-0.0002199-0.0011171i
-0.0011774-0.00056523i,-0.0014259+0.00020947i,-0.0027044+0.0012321i,-0.0025677+0.0016665i,-0.00078154+0.0016522i,-0.00017381+0.00032843i,-0.00041761-0.00075358i,0.00013816-0.0009084i,9.3493e-05-0.00074704i,1.1437e-05-4.6626e-05i,0.00030806+0.00063538i,0.00040755+0.00088872i,0.00018378+0.00022879i,-6.8071e-05+2.3397e-05i,-0.00041403-3.6758e-05i,-0.00038095-0.00058702i,9.921e-05-0.00059416i,0.00012539+0.0004076i,0.00026893+0.0012026i,-8.6119e-05+0.0016209i,-0.00067465+0.0010164i,-0.00048752+0.00062173i,0.00032578+0.00082366i
