-0.00036056-0.00049478i,1.4344e-05-0.0015074i,0.00065466-0.00053488i,0.0013571+0.00081848i,0.00072883+0.0011602i,0.00023058+0.00065069i,-0.00049402+0.00066429i,-0.00066047+0.001255i,-0.00076571+0.0017767i,-0.00057966+0.0018988i,0.00074999+0.00091579i,0.00026373+0.00027644i,-0.00062808-0.00010098i,-0.00053208-0.00072462i,-0.00021346-7.8468e-05i,0.0002307+0.00074003i,0.00019525+0.0007675i,-0.00041915+0.00077537i,-0.0008481+0.000548i,-0.00084905-0.00011377i,0.00045681-0.00057858i,0.0013271-0.00035646i,0.00068967-0.00010699i
0.0017857-0.0007526i,0.0022323+0.0010422i,0.0025527+0.0015653i,0.0027318+0.0025676i,0.0015693+0.0029453i,0.0016074+0.0021261i,0.0024156+0.00059675i,0.0020542-5.4314e-05i,0.00044649+0.0015895i,-0.00039378+0.0034119i,0.00036458+0.0048988i,0.0014356+0.004529i,0.002857+0.0034922i,0.0035624+0.003282i,0.0035103+0.002985i,0.0030537+0.002421i,0.0015608+0.0013256i,-0.00021736+0.00021076i,-0.0011124+0.0001235i,-0.0008114+0.00094127i,-4.632e-05+0.0012322i,8.119e-05+0.00029155i,-0.0010115-0.00060664i
0.00034425-0.00060979i,0.001042+0.0013201i,0.0017465+0.0019336i,0.0018459+0.0019926i,0.0020672+0.0015165i,0.0024564+0.00010917i,0.001616-0.0017674i,0.0008717-0.0025042i,0.0011043-0.0014135i,0.0022437+0.00034374i,0.0036571+0.00079442i,0.0039879-0.00023942i,0.0026447-0.001346i,0.0022904-0.0031854i,0.003166-0.0045099i,0.0030093-0.0032118i,0.0018777-0.0008724i,0.0014618+0.00052527i,0.0016838+0.00050325i,0.0012419+0.00048579i,0.0014101+0.00044354i,0.00098518+0.00022975i,0.0002577+0.0011945i
-0.00056208-2.916e-05i,0.0010851+0.00035627i,0.0022515+0.0019502i,0.0027281+0.0030404i,0.0014079+0.0036487i,0.00019917+0.0030891i,-0.00066899+0.00095897i,-0.0017059-0.0014318i,-0.0016156-0.0028488i,-0.00027504-0.0024779i,0.00076891-0.0026552i,0.00012934-0.0032791i,-0.00073572-0.0033561i,-0.001759-0.0034962i,-0.0030897-0.0031542i,-0.0031936-0.0023085i,-0.0024268-0.0017976i,-0.0016997-0.00097913i,-0.0010808-0.00015662i,-0.00031503-0.00041069i,-7.9816e-05-0.00054629i,-0.00015628-0.00018526i,0.00047575-0.00035174i
0.0011902-0.00064639i,0.0014401+0.00025155i,0.0017266-3.2455e-05i,0.00081835+0.00014596i,-0.00073542+0.0012626i,-0.00080476+0.0024279i,-0.0011621+0.0014552i,-0.0017186-0.0003523i,-0.0035663-0.0010133i,-0.004799-0.0014792i,-0.0044343-0.0015255i,-0.004447-0.0010363i,-0.0046227+0.00048234i,-0.0053671+0.0023172i,-0.0052634+0.0016664i,-0.0037627+0.00052729i,-0.0022909+0.00026604i,-0.0012847-0.00065463i,-0.00080142-0.0017692i,-0.00092449-0.0016806i,-0.00081246-0.00055658i,-0.00018996+0.0002434i,0.00046931-3.3115e-05i
-0.00095567+0.00087446i,0.00037624+0.0016664i,0.0012339+0.0021037i,0.0022565+0.0024939i,0.0030054+0.0025301i,0.0028474+0.0017924i,0.0018747+0.0011122i,0.00033661+0.0010116i,-0.0019613+0.00221i,-0.0040385+0.0034763i,-0.0036689+0.0035426i,-0.0023076+0.0034504i,-0.0013687+0.0043599i,-0.0008433+0.0054746i,0.00044411+0.0053725i,0.0017469+0.0046798i,0.0018683+0.0042096i,0.00072851+0.002958i,-0.00058164+0.00089826i,-0.00099122+9.8477e-05i,-0.0012446+0.00044383i,-0.00094925+0.00040494i,-0.00027218-0.00012773i
0.0012977+0.0012097i,0.0020453+0.0021097i,0.0032303+0.0026856i,0.0033284+0.0018694i,0.0031667+0.0002927i,0.0027712-0.00036176i,0.0018864-0.00076164i,0.0015259-0.0011182i,0.0017609+0.00085582i,0.0020608+0.0031746i,0.0023764+0.0035759i,0.0025673+0.0030716i,0.003246+0.0020164i,0.0038749+0.0012331i,0.0037199+0.00078755i,0.0027433+0.00040026i,0.0015399-0.00029013i,0.00095967-0.00024061i,-0.00030153+0.0011255i,-0.00018577+0.0011738i,0.00062921+0.0002052i,0.000759+0.0001339i,1.6806e-05+0.00042903i
-0.00043611-0.00071598i,0.0015692+0.0010422i,0.0028698+0.0030542i,0.0036923+0.0036271i,0.0021922+0.0018232i,0.00026792-0.00039727i,8.5977e-05-0.0023222i,0.00010125-0.0039212i,0.00030327-0.0032691i,0.0020861-0.00091412i,0.0032699+0.00046622i,0.0033813-0.00053688i,0.0023456-0.0026058i,0.001185-0.0036957i,0.00065024-0.0040536i,-0.00020502-0.0032255i,-0.0002934-0.0023618i,0.00029691-0.0014663i,0.00066406+8.582e-05i,0.00060475+0.00054554i,0.00061709+0.00059099i,0.0013667+0.00037311i,0.0010342+0.00018958i
-0.00021827+0.00055761i,0.00050131+0.00040533i,0.0012659+0.0011222i,0.0013687+0.0022141i,-9.9457e-05+0.0030673i,-0.0020066+0.0024497i,-0.0021211+0.00078056i,-0.0020806-0.00039634i,-0.0026715-0.0016302i,-0.0020338-0.0027375i,-0.0011029-0.0031696i,-0.0012594-0.0029599i,-0.0023285-0.0026612i,-0.0036777-0.001771i,-0.0042246-0.00094628i,-0.0034394-0.00093124i,-0.0030327-0.0002629i,-0.0024937-8.6156e-05i,-0.0010102-0.000746i,1.1344e-05-0.00085302i,0.00027792-0.00018667i,0.0011834+0.00042581i,0.0012955+0.00064366i
0.0016273-0.00083826i,0.002026-0.00031492i,0.0023982+0.001193i,0.0036581+0.003009i,0.0040003+0.0036719i,0.0025028+0.0036162i,0.00044597+0.0035266i,-0.0012057+0.0020336i,-0.0032454+0.00045851i,-0.0054738+0.00038551i,-0.0050501+0.0001217i,-0.0036292+0.00034336i,-0.0040601+0.0019881i,-0.004539+0.0033847i,-0.0035908+0.0037953i,-0.0020918+0.0035911i,-0.00093528+0.0023573i,-0.00068251+0.00064068i,-0.00050647-0.00041806i,-0.00015834-0.00061009i,0.00015883-0.00028543i,0.00024015-0.0001727i,0.00043283-0.00064335i
0.00035357+0.00093288i,0.0012292+0.0013176i,0.0013709+0.00071593i,0.0011454+0.00071935i,0.0020281+0.00072086i,0.0033936+0.00090394i,0.0032008-0.00047554i,0.0010247-0.0015739i,-0.0011658+0.00051441i,-0.001556+0.0029568i,-0.001182+0.0036491i,-0.0013985+0.0026313i,-0.0010709+0.0026761i,0.00053495+0.0041491i,0.0020949+0.0037356i,0.0024519+0.00241i,0.0020114+0.0022512i,0.0016203+0.0020111i,0.001425+0.00049148i,0.00090736-6.5958e-05i,0.00042182-5.3283e-05i,0.00040189+0.00010287i,0.00039178+4.3017e-05i
-0.0016888+0.0010947i,-0.00051718+0.0019514i,0.0015617+0.0050747i,0.0028869+0.0059905i,0.0017104+0.0033484i,0.0017474-0.00070214i,0.0023171-0.0022821i,0.0015533-0.0019216i,0.0012007-0.00038629i,0.0019816+0.0017424i,0.0028376+0.0026012i,0.0036407+0.0017353i,0.0035581+0.00058322i,0.0033332+0.00013152i,0.002889-6.0343e-05i,0.001699-0.0010214i,0.00062025-0.0016202i,8.8064e-05-0.00098845i,0.00034891-0.00073857i,0.00053028+8.5145e-05i,0.00042446+0.00060279i,0.00062809+0.00034046i,0.00071331-1.7671e-05i
-0.00067488+0.0011305i,0.0017593+0.0011522i,0.002911+0.0035407i,0.0031354+0.0038569i,0.0020498+0.0017341i,-0.00096239-0.00036261i,-0.0021953-0.0016393i,-0.002549-0.0024266i,-0.0018643-0.0031489i,0.0001293-0.0030857i,0.001167-0.002311i,0.00064028-0.0020912i,-0.00063605-0.0029564i,-0.0014501-0.0032179i,-0.0014127-0.0026639i,-0.0012618-0.0023846i,-0.00083954-0.0020546i,-0.00062612-0.001404i,-0.0002835-0.0011087i,0.00080997-0.0011474i,0.0014286-0.0011773i,0.0011441-0.00029226i,0.0010904-2.8109e-05i
0.0010227+0.00096911i,0.0012407+0.00028562i,0.0038418+0.0012436i,0.0054649+0.002275i,0.0035958+0.0034076i,0.0011552+0.0027734i,-0.00056791+0.00076169i,-0.0021957-0.00066093i,-0.0031025-0.0020124i,-0.003245-0.0026236i,-0.0031343-0.0026483i,-0.0028684-0.0027565i,-0.0029745-0.001955i,-0.0041665-0.00032221i,-0.0048125+0.001279i,-0.0039305+0.0013963i,-0.0025073+0.0016424i,-0.0021126+0.0019522i,-0.0013724+0.00085128i,6.0047e-05+6.2234e-05i,0.00042958+0.00013015i,0.00028108-6.5303e-05i,0.00037746-0.00052304i
-0.0016179+0.0012175i,-0.00044769+0.0014788i,0.000837+0.0026544i,0.0020664+0.0027721i,0.0038368+0.0026854i,0.0047422+0.0026518i,0.0039663+0.0019241i,0.0018732+0.0016947i,-0.0012314+0.0027502i,-0.0023642+0.0030125i,-0.0012996+0.001438i,-0.0011846+0.00080403i,-0.0020329+0.0021004i,-0.0025045+0.0039504i,-0.0018541+0.0045106i,-0.00035011+0.0035737i,0.00080294+0.0028924i,0.00096616+0.0021527i,0.00082622+0.00075344i,0.00053477-0.00035741i,0.00036624-0.00026412i,0.00027881+0.00012469i,3.2065e-05-0.00052273i
0.0016667+0.0017735i,0.0023347+0.0022193i,0.0039369+0.0015015i,0.0031566+0.0007078i,0.0026444-0.00014208i,0.0026931-0.0015359i,0.0023638-0.0024475i,0.0024068-0.0020501i,0.0025579-0.00022278i,0.0023671+0.0023017i,0.0013414+0.0029949i,-3.2498e-05+0.0022845i,0.00059862+0.0026151i,0.0020386+0.0028848i,0.0024091+0.0019307i,0.0028862+0.0011281i,0.0024337+0.001308i,0.0016466+0.0012477i,0.0016085+0.00097048i,0.00074179+0.00049937i,0.00023307+0.00015868i,0.0012357+0.00065317i,0.0017281+0.00093025i
-9.7884e-05-0.00074695i,0.0015117+0.00086521i,0.0016116+0.0028741i,0.00074499+0.0046145i,-0.0011197+0.0029089i,-0.001572-0.00050631i,-0.0010692-0.003176i,-0.00042136-0.0040242i,0.00085197-0.0024245i,0.0022029-0.00084736i,0.0025385-0.00080488i,0.0015994-0.0002899i,0.00090513+0.00014464i,0.0010593-0.0011125i,0.00090364-0.0013049i,-0.00046712-0.00072951i,-0.0017882-0.0012989i,-0.0019727-0.0017054i,-0.0013022-0.0014017i,-0.00077987-0.0010125i,-0.00057307-0.00056856i,-0.00029919-0.00059593i,6.4421e-05-0.00082628i
-0.0021157-0.00090983i,8.8582e-05-0.0007874i,0.0027955+0.00014349i,0.0034789+0.0020705i,0.0017019+0.0040198i,-0.00032848+0.0040145i,-0.0017027+0.0016647i,-0.0024508-0.0017028i,-0.0036088-0.0042089i,-0.0033924-0.0040256i,-0.0017513-0.0023612i,-0.00051634-0.0014757i,-0.00060872-0.0016196i,-0.0012812-0.0024257i,-0.0017142-0.0020479i,-0.002051-0.00071495i,-0.0021401-0.0011012i,-0.001427-0.0012544i,-0.00061726-0.00023389i,-0.00067059-0.0003727i,-0.00021881-0.0002461i,0.00091327-0.00027394i,0.00064601-0.00084798i
0.0014956+0.002496i,0.0015944+0.003023i,0.0030105+0.002669i,0.0035695+0.001948i,0.0031883+0.0019443i,0.0030851+0.0033661i,0.0011051+0.0043207i,-0.0024384+0.0027215i,-0.0043468+0.00043458i,-0.004572+0.00058781i,-0.0036666+0.00041806i,-0.0027787-0.00063613i,-0.0029128+5.0084e-06i,-0.003773+0.0018264i,-0.0035095+0.0029937i,-0.0013983+0.0027099i,-1.9742e-06+0.0013978i,0.00013021+0.0013965i,0.00027261+0.0020635i,0.00091559+0.0015805i,0.0013227+0.00075034i,0.00042147+0.00020188i,-3.3205e-05-0.00038231i
0.00028585+0.00086418i,0.000206+0.0010154i,0.00024103+0.001479i,0.0012399+0.00093013i,0.003159-0.0012158i,0.0040797-0.0029193i,0.0026986-0.002038i,0.00038394+0.00051826i,-0.001252+0.0036632i,-0.0015314+0.005126i,-0.0010258+0.0035848i,-0.00081805+0.0013486i,-0.00049635+0.0019343i,-0.00064815+0.0036071i,-0.00042676+0.0026757i,0.0010583+0.0010016i,0.0011335+0.00096956i,0.00057225+0.0013199i,0.0006941+0.00060386i,0.00080403+0.00043161i,0.00057259+0.00025933i,0.00016034-0.00018906i,0.0001474-0.00013416i
-0.00051924+0.0005454i,0.001302+0.0010925i,0.0027662+0.0031725i,0.002458+0.0041878i,0.00076012+0.0021235i,-0.00025455-0.00057688i,0.0010051-0.0018947i,0.0023271-0.0013617i,0.0034562+0.00033137i,0.0039962+0.0014549i,0.0032042+0.00073139i,0.0011551+0.00013913i,-4.5234e-05+0.00063845i,0.00081571+0.00098612i,0.0009268+0.00046175i,0.00075666-0.00061363i,0.00040807-0.0010067i,-9.7553e-05-0.00045239i,0.00036086-0.00032137i,0.00094706-0.0010179i,0.0011185-0.001787i,0.0013185-0.00094714i,0.001334+0.00047156i
0.0010546+0.00062905i,0.0005935+0.0022993i,0.0015941+0.0021064i,0.0026285+0.0015311i,0.00099562+0.0020721i,-0.0017512+0.0024435i,-0.0014392+0.0011049i,0.00039629-0.00090093i,0.00067521-0.0029951i,0.0007355-0.0049608i,0.00048471-0.0045613i,-6.9489e-05-0.0019125i,0.00014186-0.00042903i,-0.00013268-0.00062732i,-0.0012192-0.0013317i,-0.0015748-0.00047483i,-0.0011031+0.00093945i,-0.00080521+0.00073112i,-0.00091909+0.00084998i,-0.00081086+0.0011505i,-0.00081849+0.00035443i,-0.00099457-0.00040002i,-0.00066868-0.0011007i
-0.001589-0.00096559i,-0.0002977-0.00088213i,0.00066359+0.00046529i,0.0033541+0.0019413i,0.0059531+0.0042543i,0.0048031+0.004356i,0.0011722+0.0013708i,-0.0024689-0.0022579i,-0.0051168-0.0043236i,-0.0056134-0.00271i,-0.0040601-0.00028865i,-0.0022318+0.00015637i,-0.0020359-0.00047737i,-0.0026587-0.00069533i,-0.0022295+0.00015189i,-0.0014106+0.0010545i,-0.0011102+0.0012044i,-0.00057671+0.00075353i,-0.00058013+0.00077152i,-0.00069376+0.0006204i,0.0002657-0.00022936i,0.00069548-0.00024204i,0.00049498-2.7489e-05i
0.00021017+3.8181e-05i,0.00066996+0.0010385i,0.00048368+0.0024947i,0.00042578+0.0027467i,0.0016134+0.0014099i,0.0039412-4.0628e-05i,0.0034722-0.00014601i,-0.00045011+0.0003021i,-0.004552+0.0017458i,-0.005475+0.0039979i,-0.0030903+0.0042709i,-0.00041127+0.0019761i,0.00015602+0.0011136i,-0.00049277+0.0020413i,-0.00063114+0.0028905i,-5.4065e-05+0.002691i,0.00020218+0.0014024i,-1.8877e-05+0.00078701i,0.00083756+0.00084219i,0.0012234+0.00018914i,0.0010611+0.00017251i,0.0011521+0.0010452i,0.00059976+0.0010782i
0.00023511+0.00096131i,0.0020145+0.0008032i,0.0032942+0.0017961i,0.0035489+0.0020112i,0.0033169-0.0005527i,0.0016191-0.0021044i,0.00042494-0.0016436i,0.00016772+0.00097279i,3.8459e-05+0.0045505i,0.00079164+0.006407i,0.0022438+0.0040765i,0.0025162+0.00056411i,0.0015217+6.4928e-05i,0.00082284+0.0012345i,0.0004666+0.0011331i,-0.00078727-0.00034984i,-0.0014514-0.0013229i,9.2664e-05-0.00074296i,0.0019802-0.00052097i,0.0020216-0.00063327i,0.001019-0.000605i,0.00046458-0.00033114i,2.3128e-05-0.00027464i
0.00099009+0.001335i,0.00088673+0.0020916i,0.0020041+0.0030878i,0.0030592+0.0050007i,0.00064025+0.0046805i,-0.0021274+0.0022666i,-0.001785+4.4479e-05i,0.00065679-0.0011299i,0.0041577-0.00082496i,0.0058117-0.0010758i,0.0036542-0.0023022i,0.00024598-0.0022569i,-0.0010043-0.0013722i,-0.00072153-0.0013089i,-0.00075818-0.0010401i,-0.001072+0.00039993i,-0.00097157+0.00072076i,-0.0010226-3.6436e-05i,-0.001648-0.00072514i,-0.0012772-0.0008831i,-0.00012185-0.00082587i,0.00068018-0.0003823i,0.0011219-0.00060399i
0.00061973+0.00031915i,0.0017989+0.0019162i,0.0041141+0.0028755i,0.0047869+0.003511i,0.0036848+0.0038212i,0.0028318+0.0041i,0.0020956+0.0021258i,0.0021023-0.0024887i,0.001814-0.0057286i,3.3342e-05-0.0056507i,-0.0013018-0.0030554i,-0.002022-0.00049178i,-0.0018414+0.00018906i,-0.0023376-0.00018637i,-0.0028971-0.00015407i,-0.0019952+0.00081523i,-0.001362+0.00088952i,-0.00097434+0.00054614i,-0.00088392+0.00043521i,-0.0015167+0.0004058i,-0.0017613+0.00011571i,-0.0014584-0.0007899i,-0.00063619-0.00065745i
0.00039067+0.00042476i,0.00070163+0.00072189i,0.00242+0.00048934i,0.0051816-0.00071099i,0.0060811-0.0010945i,0.0063016-0.0012356i,0.0048409-0.002155i,0.00035221-0.0032703i,-0.0048272-0.0039749i,-0.0071554-0.0015452i,-0.0050074+0.0015288i,-0.0014471+0.0023114i,3.1835e-05+0.0026972i,-0.000725+0.0023467i,-0.00060991+0.0018031i,0.0006807+0.0013029i,0.001173+0.0013011i,0.0008319+0.00099746i,0.00078138+0.00030129i,0.00023635+0.0013352i,-0.00032771+0.0016445i,-0.00010754+0.0010056i,0.00087623+0.00034097i
0.0010872+0.0004145i,0.0022228+0.0018217i,0.0020855+0.0027116i,-0.00028365+0.0018179i,-0.0018827-0.0017783i,-0.0017566-0.0050115i,-0.0024812-0.0053943i,-0.0051331-0.0031658i,-0.0066172+0.0005645i,-0.0051917+0.0039617i,-0.00091015+0.0043433i,0.0021921+0.0016333i,0.0014284+0.00062327i,0.00048284+0.0022081i,0.0010088+0.0018966i,0.0012006-0.00016864i,0.00052652-0.000717i,2.5647e-06-0.00039965i,0.00038612-0.00023479i,0.0012377-0.0001438i,0.0016365+0.0004346i,0.0020249+0.0013462i,0.0021079+0.0011566i
0.00039578-0.00055063i,0.0013756+0.00089152i,0.0028283+0.0018963i,0.0030915+0.0022366i,0.00053143+0.0027011i,-0.0028651+0.0024295i,-0.0041632+0.0016725i,-0.0029116+0.0034291i,-0.00011713+0.0056556i,0.0024464+0.0046426i,0.0024162+0.0012021i,0.00076683-0.0016879i,0.00014036-0.0025455i,0.0015642-0.0019522i,0.0017756-0.0012444i,0.00039066-0.0011437i,-0.00082279-0.0012294i,-0.0022298-0.00095006i,-0.0013173-0.00089875i,0.00026093-0.0011052i,0.00099598-0.00090686i,0.0015349-0.0011362i,0.0010687-0.0011718i
-0.0002618+0.00046512i,0.00072274+0.0017034i,0.0024383+0.0036204i,0.0037368+0.0058487i,0.0036677+0.0074194i,0.0026916+0.0080519i,0.0028782+0.0072454i,0.0040433+0.0047534i,0.0048248+0.00096375i,0.0037696-0.0020609i,0.00026035-0.0024563i,-0.0019784-0.0020918i,-0.0022207-0.0020934i,-0.0015918-0.0020191i,-0.00046353-0.00096496i,-0.00022597+0.0011035i,-0.0004703+0.0024881i,-0.0003964+0.0020382i,-0.00075455+0.00086041i,-0.00098148-0.00059256i,-0.00096602-0.0019454i,-0.0008808-0.0017073i,-0.00023348-0.00016703i
0.00078403+0.0026473i,0.00098995+0.0023512i,0.0031032+0.0014153i,0.0048687-9.5413e-05i,0.0064292-0.00029967i,0.0076659+0.00054943i,0.0070532+0.00024196i,0.005436-0.0019601i,0.0030864-0.0052563i,-0.00055936-0.0053489i,-0.0032385-0.0016147i,-0.003757+0.00097298i,-0.0039136+0.0010646i,-0.0035519+0.00078435i,-0.002839+0.0012798i,-0.0010346+0.002233i,-0.00025735+0.0035179i,-0.00011843+0.0030592i,0.0007197+0.0011701i,0.00065082+0.00023708i,-0.00011038+0.00026529i,-0.00027553+0.00087796i,-0.00052452+0.0010488i
0.0010235+0.0016066i,0.0011406+0.00169i,0.002546+0.0025214i,0.0039015+0.0019769i,0.0041943-0.0019083i,0.0039211-0.0067886i,0.0019041-0.0087235i,-0.0015117-0.0080258i,-0.0047348-0.0060709i,-0.0054321-0.0024549i,-0.0024395+0.00069976i,0.00094358+0.001891i,0.0011015+0.0029392i,-0.00017909+0.0031971i,-0.00033299+0.0025459i,-0.00042484+0.0012231i,-0.00042868+0.00036055i,-0.00014787+0.00050749i,0.0011122+0.00097835i,0.0018613+0.0016933i,0.0010755+0.0015293i,0.00020259+0.00058198i,0.00027023-5.658e-06i
-0.00011035+0.00028793i,0.0012507+0.001703i,0.00070236+0.0026083i,-0.0019102+0.0021312i,-0.0055321+0.0008093i,-0.0082866-0.0014397i,-0.0077942-0.0034872i,-0.0073787-0.002371i,-0.0077918+0.0011231i,-0.004475+0.0036487i,-0.00010867+0.0025019i,0.0022154-0.00058136i,0.0024195-0.0004229i,0.0014627+0.0013526i,0.00053752+0.0019906i,0.0002707+0.0015514i,-0.00024251+0.00074677i,-0.00032908+1.782e-05i,-1.215e-05-0.00088593i,0.0013-0.0013263i,0.0026128-0.0013925i,0.0022343-0.00064755i,0.0010144-8.4262e-05i
0.0016203+0.00079271i,0.001939+0.0017051i,0.0037249+0.0035984i,0.004978+0.0059672i,0.002731+0.0074413i,-0.0010903+0.0081129i,-0.0033831+0.0083334i,-0.0026927+0.0078094i,-6.8928e-05+0.0061914i,0.0017877+0.0030469i,0.0010904-0.00038888i,-0.00046736-0.0028456i,-0.00018032-0.0032723i,0.0015474-0.002514i,0.0024862-0.0015735i,0.0016542-0.00088938i,-0.00021147-0.00084866i,-0.00095965-0.00031462i,-0.00051727+0.00021824i,0.0001787-0.00043757i,0.0010414-0.00075539i,0.00034361-0.001316i,-0.0011311-0.0018782i
0.00029864+0.001654i,0.0010133+0.0020458i,0.0024063+0.0024677i,0.0040898+0.0031115i,0.0069402+0.004481i,0.0091125+0.0065431i,0.0082703+0.0066723i,0.0069665+0.0047753i,0.0060251+0.0023282i,0.0038975-0.00077391i,0.0001172-0.0023244i,-0.0029041-0.0014714i,-0.0037868-0.0012814i,-0.0034996-0.0014937i,-0.0021805-0.00073517i,-0.0013769+0.00073678i,-0.0011529+0.0015822i,-0.0011685+0.0010772i,-0.0013104+0.00031507i,-0.0012721+0.0001878i,-0.0016678+3.6327e-05i,-0.0017803+0.00031543i,-0.0011911+0.00021291i
-0.00012342+0.0011879i,0.00023537+0.0018666i,0.002071+0.0016442i,0.0036099-0.00092299i,0.0044351-0.0060045i,0.0069478-0.0088629i,0.009056-0.0081913i,0.0073141-0.0077518i,0.0033784-0.0082333i,-0.00016918-0.0055862i,-0.0016841-0.0003657i,-0.0015163+0.0023871i,-0.0020805+0.0031832i,-0.0036583+0.0026829i,-0.0040531+0.0011338i,-0.0029566+0.00075193i,-0.0012424+0.00068444i,-0.00035068+0.00023673i,9.5652e-06+0.00013772i,-0.00024687+0.00058667i,-0.00026906+0.0016169i,0.00025171+0.002079i,8.0106e-05+0.0019037i
-0.0017525-0.00011521i,-0.0012081+0.0011997i,-0.001351+0.0035708i,-0.0022063+0.003963i,-0.0046375+0.001025i,-0.0061919-0.0042374i,-0.0048142-0.0080789i,-0.0039614-0.0090472i,-0.0055146-0.0068679i,-0.004893-0.0024542i,-0.0014927+0.00042694i,0.00081152+0.00098901i,0.00092629+0.0016403i,0.0010472+0.0034386i,0.00059864+0.0036577i,8.09e-05+0.0024657i,0.00060204+0.0012399i,0.0011309+0.00083767i,0.0003361+0.0013013i,0.00032213+0.0012839i,0.0011352+0.0015742i,0.00078295+0.0015433i,0.00029667+0.0003997i
-0.0005424+0.00038925i,0.00034864+0.0011715i,0.0010719+0.0035561i,0.00057154+0.0056828i,-0.0028514+0.0077805i,-0.0067038+0.0077269i,-0.00915+0.0038856i,-0.01024+0.00065103i,-0.0094423+0.0016466i,-0.0048772+0.0024758i,-0.00026317+0.00029967i,0.00068629-0.0020093i,0.00074674-0.0015837i,0.00098359-1.0189e-05i,0.0010439+0.0010832i,0.00020639+0.0020415i,-0.00084404+0.0019893i,-0.00088213+0.00092391i,-0.00064703-0.00032256i,8.5059e-05-0.00091218i,0.00099485-0.00092832i,0.0015349-0.0007189i,0.0021226-0.00017137i
0.0011099-0.00019304i,0.0015559+0.0010801i,0.0029906+0.0031786i,0.0057496+0.0057986i,0.0082684+0.0081242i,0.0091177+0.010484i,0.0054753+0.010346i,0.0011407+0.0085893i,0.00028839+0.0066479i,0.00072456+0.0034434i,-2.414e-05-0.00018418i,-0.00098368-0.0017538i,-0.00072424-0.0022389i,0.00084931-0.0029386i,0.0014339-0.0025628i,0.00079677-0.0015706i,0.00017371-0.00061176i,0.00026231-0.00083075i,0.00092443-0.0017468i,0.0013649-0.002886i,0.00076929-0.0027816i,2.1046e-05-0.0015307i,-0.00029541-9.8234e-05i
0.00014288+0.0010246i,0.00084221+0.00068287i,0.0033221-0.0010759i,0.0064943-0.002984i,0.0085439-0.0049423i,0.01017-0.004668i,0.011307-0.0015802i,0.0097765+0.00064228i,0.0067695+0.0013732i,0.0030317+0.0014809i,-0.00066067+0.00080854i,-0.0026577+0.00035674i,-0.0030951+0.00025455i,-0.0035175-0.00042134i,-0.0036247-0.00051115i,-0.0024921+3.6464e-05i,-0.0022404+0.00025028i,-0.0017342-0.00057312i,-0.0005539-0.00068041i,-0.00030496-0.00014288i,-0.0014611-0.00014151i,-0.0017284-9.1461e-06i,0.00029465+9.5146e-05i
-0.00019818+0.000763i,-0.00013508+0.0011362i,-0.0010329+0.0021954i,-0.0030847+0.001917i,-0.0049997-0.0024465i,-0.0043286-0.0086747i,-0.00078162-0.010768i,0.0025134-0.010016i,0.0019157-0.0080237i,-0.00047563-0.0035094i,-0.00081911+0.00048116i,-0.0003726+0.0018386i,-0.0015581+0.0017424i,-0.0030136+0.0014677i,-0.0036372+0.00099211i,-0.0033645+2.7034e-05i,-0.002831+4.0899e-05i,-0.0024042+0.00043167i,-0.0014429+0.00081775i,-0.00094721+0.0010164i,-0.00050786+0.0012587i,0.00059638+0.0011223i,0.0012003+5.278e-05i
-7.7937e-05+0.0011382i,0.00083265+0.0012257i,0.0015565+0.0023995i,1.8922e-05+0.0046803i,-0.003769+0.0062278i,-0.0068102+0.0055711i,-0.0070011+0.0010665i,-0.0062564-0.0042801i,-0.0059559-0.0050971i,-0.0035211-0.0021974i,0.00046561+0.00026189i,0.0014982+0.00088105i,0.0010942+0.0012204i,0.0015847+0.0028416i,0.0016545+0.0037222i,0.0015944+0.002979i,0.001546+0.0022666i,0.0014224+0.0015781i,0.0011578+0.00077186i,0.0013869+0.00061756i,0.0015537+0.00066226i,0.0010456-0.00039436i,1.2913e-05-0.00094398i
0.00090895+0.0010881i,0.0015558+0.0024383i,0.0031561+0.0033075i,0.0054898+0.0061448i,0.0058806+0.010629i,0.0035363+0.013225i,-0.0005275+0.010082i,-0.0041037+0.0039563i,-0.0054291+0.001225i,-0.0036449+0.00090522i,-0.00086988-0.00027651i,0.00019357-0.00065573i,-1.2951e-05-0.00021359i,0.00043652+0.00011694i,0.0013823+0.00088667i,0.0014165+0.0015396i,0.0006369+0.0010956i,0.00032171-0.00011866i,0.00020972-0.00081391i,0.00020824-0.0013539i,-9.2138e-05-0.0016384i,-0.00034674-0.0012988i,-0.00018802-0.0011121i
0.0022366-0.00033557i,0.0030971+0.00089575i,0.0048031-0.00052624i,0.0062094-0.0020125i,0.0078424-0.0041952i,0.011128-0.003883i,0.0095176-0.00054367i,0.0035212+0.0024987i,-6.9204e-05+0.0033681i,-0.001778+0.0022109i,-0.0026449+0.00018896i,-0.0015111-0.0017274i,-8.94e-05-0.0028412i,0.00044811-0.0034513i,0.00066196-0.0031718i,0.0013613-0.0030682i,0.0010285-0.0021087i,-0.00042735-0.00099764i,2.1032e-05-0.0016125i,0.00097653-0.0024899i,0.00038902-0.001896i,0.00034736-0.00059757i,0.00044765+0.00064746i
