-0.0015385+0.0013872i,-0.0005688-0.00077669i,-0.00069614-0.00093707i,-0.0010987-0.00097229i,-0.0011455+0.0001961i,-0.00077988+0.0015861i,0.00012353+0.0018875i,0.0010212+0.0015925i,0.0012299+0.00078015i,0.001116-0.00013779i,0.0003614-0.0008085i,-0.00043679-0.00089729i,-8.5636e-06-0.00013867i,0.00085516+0.00026181i,0.00032456+0.00049813i,-0.00050117+0.0013409i,0.00030402+0.0017095i,0.00091795+0.00051954i,0.0005351-0.00074337i,-0.00024465-0.0012747i,-0.00031399-0.00078593i,0.00033398-0.000609i,0.00065589-0.00090666i
0.0020638-0.00031471i,0.0013922+0.00016726i,0.00128-0.00038032i,0.00096911-0.00071144i,0.00036689-0.00074638i,0.00033921-0.00061796i,-2.2554e-05-0.00055792i,-0.00046929-0.0004003i,-0.00022429+0.00014166i,-0.00028439+0.00045269i,-0.00022246+0.00087253i,-0.00014558+0.00087799i,0.00033873+0.00066565i,0.00011709+0.0010944i,-0.0015514+0.00076068i,-0.0018898-0.00019785i,-0.00087911+0.00010864i,2.3939e-05+0.00025518i,0.00082672-0.00057392i,0.00095105-0.0002923i,0.0010841+0.00025267i,0.00056804-0.00036521i,-0.00012147-0.00047336i
-0.0001216+0.00079023i,-0.0013514+0.00025987i,-0.0011686-0.00060839i,0.00029788-0.0018783i,0.00096365-0.0026598i,0.00051383-0.002012i,0.00055149-0.0013303i,0.00025576-0.001323i,-4.3347e-05-0.00035933i,0.00015781+0.00097295i,0.00055822+0.0017136i,0.0011605+0.0016687i,0.0019562+0.00041447i,0.0022608-0.00065944i,0.0020828-0.00103i,0.0016142-0.00056584i,0.00068143+0.00052455i,0.00043206+0.00059679i,0.00015015+0.00027686i,-0.000625-0.00013819i,-0.00015056-0.00084821i,0.00034517-0.00064048i,0.00061112+0.00046832i
0.00049761-0.0024436i,0.00026002-0.0026347i,0.00042994-0.0014455i,-0.00099892+0.00044884i,-0.0022911+0.0022222i,-0.001844+0.0016801i,-0.0011436-0.00033732i,-0.00048806-0.001193i,-1.705e-06-0.00098585i,8.8484e-05-0.00090785i,0.00043814-0.0007543i,0.00042546-0.00071787i,-0.00042056-0.0016586i,-0.00098505-0.00090937i,-0.001152+0.00059152i,-0.00077119+0.00074398i,0.00021589-0.00041118i,0.00066861-0.00047972i,2.6433e-05+2.5287e-05i,-0.00079567-2.4385e-05i,-0.0012702+0.00020591i,-0.0011347+0.00051156i,-0.00068768+0.00013125i
-0.0027408+0.00081548i,-0.0028624+0.0023001i,-0.0012655+0.0025717i,0.00063398+0.0017048i,0.00059174+0.00091187i,-0.0013799+0.00045184i,-0.0014313-9.2699e-05i,-0.00054223+0.00016739i,0.00027126+0.00076932i,0.00067226+0.00012911i,0.0010128-0.00036025i,0.0014365-0.00042433i,0.00074205-0.00059096i,-0.0010029-0.00061332i,-0.002217-0.0012598i,-0.0020087-0.0012034i,-0.0012814-0.00026911i,-0.00072866+0.00024477i,0.00025408-3.342e-05i,0.0007327-7.7144e-05i,0.00010823-8.4215e-05i,-0.00034848-0.00059294i,-0.00021004-0.00035381i
0.0017776-0.00049665i,0.0017279-0.0018757i,0.0011505-0.002522i,0.0010003-0.0017514i,0.0011036-0.001264i,0.00057594-0.00099836i,-2.588e-05+4.2045e-05i,0.00044071+0.00049489i,0.00081164-0.00015254i,0.00020615-0.00047465i,-0.00077991+0.00035119i,-0.0014968+0.0018462i,-0.0015634+0.0028925i,-0.00088747+0.0028952i,0.00042431+0.0018957i,0.00059285+0.0013264i,0.00014725+0.00022219i,0.00060778-0.00084198i,0.0006555-8.5308e-05i,0.00071091+7.3539e-05i,0.00077062+0.00051685i,0.00028535+0.0010135i,2.48e-05+0.00050466i
-0.00056105+0.00081825i,-0.0010475+0.0005499i,-0.00072389+7.4255e-05i,-0.00094226-0.00017471i,-0.0014491-0.00042884i,-0.0012567+7.015e-06i,1.7328e-05+0.0008309i,8.4391e-05+0.00047396i,-0.00018303-0.00028156i,-0.00015905-0.00081417i,-1.6047e-05-0.0012661i,0.00043264-0.0010387i,0.00080008-0.00073809i,0.00023359-0.00069296i,-0.00048135+9.1685e-05i,-0.00044768+0.00028513i,6.4392e-05+0.00022038i,0.00040651+0.00061714i,0.00015011+0.00084132i,-0.00065932+0.00045191i,-0.00047256-0.0004914i,0.00051953-0.001053i,0.0008307-0.00021209i
-0.00026487-0.0011405i,-0.00019042-0.00075789i,0.00074353-0.00061385i,0.00017969+0.00073832i,-0.00010558+0.0022508i,0.00031305+0.0021191i,0.00066424+0.00013518i,0.00021178-0.00081664i,-0.00049682-0.0003179i,-2.2332e-05+0.00040797i,0.0002009+0.00094577i,0.00088714+0.00095432i,0.0027259+0.00038951i,0.0028168-0.00081864i,0.0019384-0.0011584i,0.0011038-0.00039055i,-5.5792e-05-0.00041565i,0.00010266-0.00029383i,0.0007216+0.00017164i,0.00080495-0.00078222i,0.00040257-0.00076791i,-0.00017373-0.00015263i,-0.00015252-2.4732e-06i
-0.003063+0.00075234i,-0.0033983+0.00078419i,-0.0025003+0.00098855i,-0.0004941+0.002101i,0.00090245+0.0019613i,0.0016543+0.00026032i,0.00082884-0.00079559i,-0.0004675-0.000255i,-0.001024+0.00048349i,-0.00010608+0.0010078i,0.00068984+0.00040337i,-8.3708e-05-0.0009882i,-0.00094623-0.0013297i,-0.00023048-0.00086259i,-7.3185e-05-0.00045984i,-0.0011351-0.00049755i,-0.0014375-0.00033299i,-0.00017866-0.0004169i,0.0012548-0.00035805i,0.0016614-0.0001823i,0.00065159-0.00039862i,-0.00015314-0.00025911i,-0.00052078+0.00017724i
-0.00027257+0.0010482i,0.00055609+0.0018394i,0.0021487+0.001952i,0.0016871+0.00066126i,0.00012841-0.00096389i,-0.00076349-0.0012394i,-0.001423-0.00051256i,-0.0018569+0.00096054i,-0.0011253+0.0020388i,-0.00023397+0.0014501i,-0.00011184+0.0004876i,0.00064235+2.1727e-05i,0.00065513-0.0002577i,-0.00087563+0.00020431i,-0.001778-0.00010579i,-0.00045087+0.00018869i,0.00035209+0.00033308i,0.00041152-0.00021922i,0.0002376-0.00049434i,-0.00059366-0.00096287i,-0.0013903-0.00094388i,-0.00053673-0.0008671i,0.00027947-0.00051869i
0.0013869-0.0035303i,-0.00069745-0.0025268i,-0.001197-0.0021766i,-0.0018158-0.0017348i,-0.0024598-0.0011691i,-0.0017777+0.00035625i,0.00063901+0.0019108i,0.0017997+0.0013748i,0.00050554-0.00020198i,-0.00092728-0.0010775i,-0.00026918-0.00029162i,0.00065746+0.002052i,0.00064283+0.0032637i,0.00092399+0.0030054i,0.00059443+0.0023815i,2.7045e-05+0.0014915i,-0.00043569+0.00059697i,-0.00088842+0.00026179i,-0.00061366+0.00029493i,0.00073848+0.00024482i,0.00098103+0.00055368i,-0.00038519+0.00091788i,-0.00068674+0.0009478i
-0.0011565-0.00057179i,-0.0011975-0.00066687i,-0.0010262-0.00090181i,-0.0006111-0.0003684i,-8.3242e-05+7.4147e-05i,0.00098215+0.00024834i,0.0012386-0.00020171i,0.0021937-0.0010071i,0.0027128-0.0016697i,0.0011974-0.00097768i,0.00027635+0.00037073i,-0.00067985-0.00053688i,-0.001636-0.0020872i,-0.0010251-0.00178i,2.7182e-05-0.0010146i,0.001347-0.00082203i,0.0015454-0.00068445i,0.0011954-0.00085443i,0.0013914+0.00023446i,0.0012468+0.00095796i,0.00041511-3.823e-05i,0.00024772-0.0010631i,0.0010342-0.00092099i
-0.0018852-0.00039768i,-0.0032497+0.00016987i,-0.0031701+0.00058948i,-0.0013051+0.00081436i,3.2078e-05+0.0010462i,0.00082038+0.0010524i,0.00064459+5.6592e-05i,-0.00055407-0.0015225i,-0.0005159-0.001421i,-0.00074579-0.00098655i,-0.00072201-0.00012559i,0.00019144+0.00021958i,0.001066-0.00069554i,0.0013074-0.0010268i,0.00060834+0.00019892i,0.00059478+0.0012093i,0.0013355+0.00093163i,0.001062+0.00065394i,0.00050953+0.00053119i,0.00028387-0.00041134i,-5.7963e-05-0.0010968i,0.00014592-0.00029546i,0.00034553+0.00070215i
-0.0009517+0.00084344i,-0.00085668+0.00063096i,-0.001274+0.00028767i,-0.0011381+0.00080037i,-0.00062446+0.00070468i,-2.2185e-05+7.5403e-05i,7.7591e-05+0.00021732i,-0.00068162+4.4315e-05i,-0.0007685-0.00075052i,-0.00064469-0.0006395i,-0.0012718+0.00019028i,-0.0017733+0.001199i,-0.0022312+0.0014322i,-0.0018292+0.0014683i,-0.0010494+0.001766i,-0.00077034+0.0010373i,-0.0012066-0.0004848i,-0.00091955-0.0015183i,0.00010363-0.0011174i,0.00032335+0.00027282i,-0.00048115+0.00057108i,-0.00089331-2.3221e-05i,-0.00026443-0.00032526i
0.00076281-0.00024688i,0.00060746+0.00015087i,0.00034645-0.00079543i,0.00012256-0.0014967i,0.00025351-0.00085233i,0.00063417+0.0006396i,0.00050322+0.0014359i,0.00010477+0.0015836i,4.2139e-05+0.0031064i,0.00042474+0.00302i,0.0011687+0.0015432i,0.0012828+0.00056975i,0.00065241-0.00066464i,0.000571-0.0010046i,0.00048238-0.00023584i,0.00047074+6.537e-05i,0.0011128-9.0978e-05i,0.00024+1.7007e-05i,-0.00092528-0.00019334i,-0.00051248+0.0002009i,-0.00047761+0.00097741i,-0.00091768+0.00038198i,-0.00055473+0.00025404i
0.00093042-0.00026529i,-9.7226e-05-0.00057922i,-0.0013677-0.0001364i,-0.0010649-8.9845e-05i,-0.00055039+0.00043324i,0.00032994+0.0013516i,0.0012192+0.0011525i,0.0014137+0.00057907i,0.0012241+0.00045179i,0.0010491+0.00054533i,0.00099377+0.00080078i,0.0014483+0.00088666i,0.0026551+0.0016132i,0.0026778+0.001769i,0.0013721+0.0013265i,-0.00014751+0.00058655i,-0.001313-0.00047001i,-0.0015232-0.0002708i,-0.00024368+0.00051733i,0.00051883+0.0010927i,0.00059827+0.0010105i,0.00088692+0.00045356i,0.00079668+0.0006994i
-0.0024928-0.0011541i,-0.0036104-0.00018929i,-0.0021992-0.00033235i,-0.00079722+0.00031608i,-0.00028912-0.00036487i,0.00095845-0.0022919i,0.00080321-0.0026805i,0.0007512-0.0013948i,0.0014205-0.0003084i,0.0021305-0.00034781i,0.0014481-0.00093856i,-0.00048759-0.0014264i,-0.0010873-0.0014942i,-0.00087731-0.0011553i,-0.000878-0.00041313i,0.00028039-0.00065454i,0.0010598-0.0015608i,0.00016205-0.0025004i,-0.00035736-0.0025072i,-0.00029441-0.0011275i,0.00053943-0.00044884i,0.00057038-0.00047225i,0.00014375-0.00068452i
-0.00019363+0.0013049i,-0.00066779+0.0018633i,-0.0005428+0.0024796i,0.00034795+0.0011381i,0.00065893+5.511e-05i,0.00023414+0.00054897i,0.00045857+0.00058695i,0.00036391-0.00069609i,-0.00053859-0.0016083i,-0.00076456-0.0021433i,-0.00028382-0.0025093i,0.00052292-0.0016581i,0.00089763-0.00028986i,0.00075383-9.7913e-05i,0.001677+0.00020262i,0.002413+0.00097536i,0.001671+0.0013263i,0.00025873+0.0010317i,-0.00075189+0.00074365i,-0.00060503-0.00016668i,-1.241e-06-0.0012965i,0.0002102-0.0015869i,3.1926e-05-0.00086476i
0.00047537-0.00047185i,0.00081434-0.0023747i,0.00098455-0.0023358i,0.0011883-0.0014276i,0.00067047-0.00045345i,-0.00093469-1.0206e-06i,-0.0012899-0.00019754i,-0.0007695-0.00095422i,-0.00065196-0.0019311i,-0.00052123-0.0014896i,-0.00059504-0.00019129i,-0.0020834+0.00068015i,-0.0024363+0.002183i,-0.0015698+0.0032645i,-0.0019144+0.0017536i,-0.002522+0.00020908i,-0.0023998-0.00053107i,-0.0013779-0.00023961i,-0.00016536+0.00068048i,-7.9401e-05+0.00089379i,-0.000661+5.4101e-05i,-0.00049355-0.00049048i,8.2023e-05+0.00013126i
-0.0010406-0.00017137i,-0.00022435+0.00078472i,-0.00014731+0.0011i,-0.00029788+0.00046285i,-0.00025911+0.0002925i,-0.00031921+0.00029914i,-0.00032732+0.00057264i,-0.0012254+0.0010608i,-0.0019333+0.0012872i,-0.0021819+0.0022103i,-0.00157+0.0017935i,9.7814e-05-0.00048952i,0.00098319-0.0019988i,0.00081819-0.0028764i,0.00074364-0.0030678i,0.0015828-0.0024645i,0.0016671-0.0011539i,0.00079081+0.00032878i,0.00024686+0.0016248i,-0.00033381+0.0012743i,-0.00079505+0.00024856i,-0.00099971-0.00011599i,-0.00088654+0.0002843i
-9.5889e-05-0.00065209i,-0.0019645-0.00033915i,-0.0016915-0.0011995i,-0.00063068-0.0020193i,-0.00052665-0.0015139i,-0.0007005+0.00039125i,-0.00010054+0.0016744i,0.0001644+0.0014922i,4.218e-05+0.0012268i,0.00031524+0.0011525i,0.0013993+0.00068167i,0.0016666+0.00082068i,0.0011035+0.00067639i,0.0014817+0.00093774i,0.00080377+0.0027492i,-0.00077488+0.003546i,-0.00067373+0.0026713i,-9.468e-05+0.0011093i,-0.00035589-0.00051601i,0.00016538-0.0011126i,0.0012457-0.00083536i,0.00099331+0.00029568i,0.00059564+0.00070252i
0.0010136-0.0002432i,0.0017116-0.00043351i,0.00082739+0.00048896i,0.00043644+0.00020319i,0.0015388+0.00026835i,0.0020725+0.00096153i,0.0021143+0.00037869i,0.0023666+0.00012249i,0.0030056+0.00068892i,0.0030184+0.00033382i,0.0012082-0.00031442i,-0.00070937-0.00064245i,-0.0024437-0.0002845i,-0.0028487+0.00021178i,-0.0019287-0.0002074i,-0.0013815-0.0009875i,-0.00092232-0.0010646i,-0.00097835-0.0011551i,-0.0014625-0.0010518i,-0.0014272-0.00059891i,-0.000827-5.0242e-05i,-0.00026571-0.00013303i,0.00030543-2.5516e-05i
0.00086453+0.001933i,-0.0018347+0.0021146i,-0.0027406+0.00073089i,-0.0018625-0.00068343i,-0.00079727-0.0011278i,0.00054062-0.00099065i,0.00063248-0.0014947i,-0.00016458-0.0019631i,-0.00041935-0.002537i,0.00020332-0.0025175i,0.00088033-0.0019009i,0.00095798-0.00093569i,0.0011167+0.00024522i,0.00084318+0.00040773i,0.00055041+0.00017457i,0.0017102+0.00048561i,0.0017171+0.00080996i,0.00071643+0.0012479i,-0.00030678+0.00090747i,-0.001491-0.00038788i,-0.0020623-0.00096725i,-0.0015376-0.0012315i,-0.00049983-0.0011996i
-0.00056134-0.0027531i,0.00080234-0.0042702i,0.00029039-0.0032731i,-0.00055114-0.00097339i,-0.00031705-0.0011688i,-0.00032066-0.0027573i,-0.00063448-0.0023692i,-0.00069856-0.0019495i,-0.00057495-0.001681i,-0.00015384-0.00040118i,5.1284e-05+0.00016434i,-0.00014629+0.00055691i,-0.00012663+0.001266i,-0.00037025+0.00089622i,-0.00095402+0.00033839i,-0.0019507+0.00068749i,-0.0026335+0.00090637i,-0.00224+0.00077116i,-0.0014806+0.0004275i,-0.0011163+0.00081889i,-0.00062587+0.0013669i,5.11e-05+0.0012003i,-0.00012802+0.00094529i
0.0016271-0.00059949i,-0.00077118-0.00014578i,-0.0024528-0.001503i,-0.002426-0.0020442i,-0.0018873-0.00048965i,-0.0021359+0.0010293i,-0.0024767+0.0010751i,-0.0027021+0.00078727i,-0.0024673+0.0010378i,-0.0017644+0.0011686i,-0.0017796+0.00038477i,-0.0011124-0.0012376i,-0.00026935-0.00236i,-0.00055275-0.0014446i,-0.00034494-0.00074303i,0.00020801-0.0013347i,0.0007296-0.0013672i,0.00074131-0.00063934i,0.00083091-0.00020501i,0.0010746+0.0004972i,0.00019317+0.0011187i,-0.0005258+0.0010317i,-0.00070731+0.001114i
-0.0027806-0.0036191i,-0.0040442-0.0035896i,-0.0041759-0.0014908i,-0.0029857+2.3793e-06i,-0.001702+0.00090123i,-0.0018052+0.0022155i,-0.001021+0.0025268i,0.00031322+0.001519i,0.00038538+0.0012243i,0.00075954+0.00099551i,0.0016751+2.3486e-05i,0.0020904-3.7212e-05i,0.0013531+0.00078582i,3.596e-05+0.0012326i,-0.00049754+0.0015139i,-0.0001344+0.0019077i,0.0004497+0.0024073i,0.00057813+0.0021787i,0.00020657+0.00063419i,0.00039072-0.00083083i,0.00088306-0.0012776i,0.0013207-0.0010817i,0.0012404-0.00033166i
0.00081046+0.0017713i,0.00074754+0.0034671i,0.00035189+0.0035031i,0.00035644+0.0024972i,0.00046701+0.00075971i,0.0010519+0.00022251i,0.0014395+0.0010289i,0.001321+0.0015842i,0.00090398+0.0016358i,0.0013998+0.00098636i,0.0010729+0.00033928i,-0.00082958+0.00025779i,-0.0022324+0.00018384i,-0.0014874-1.087e-05i,-0.00040352-0.00042854i,-0.001017-0.0012198i,-0.0019161-0.0016893i,-0.0010714-0.0018606i,-0.00023154-0.0012374i,-0.00046856-0.00060446i,-8.7817e-05-0.0006627i,0.00056852+9.7067e-05i,0.0012038+0.00077936i
-0.003366+0.00093305i,-0.0035769+0.00068112i,-0.001688-0.00052731i,0.00025698-0.00031564i,0.0015429+0.0001166i,0.0023094-4.9909e-05i,0.0022885-0.001109i,0.0018503-0.0018243i,0.00082795-0.0022661i,-0.00040743-0.0025328i,-0.00028436-0.0020705i,0.0009884-0.00041625i,0.001348+0.0013232i,0.0019201+0.0015984i,0.0019136+0.0013117i,0.0013353+0.00048699i,0.0013689-0.00026708i,0.0010906-0.00020391i,0.00063004-0.00056681i,0.00033991-0.0011078i,-0.00010147-0.0011505i,-0.00053842-0.00022348i,-0.00052626+0.00018908i
0.0014051-0.0021938i,0.0013682-0.0035814i,0.00066866-0.0036684i,-3.3959e-05-0.0019051i,-0.00056921-9.2831e-05i,-0.0004593-0.00031673i,-0.00014375-0.0014545i,0.00034223-0.0019087i,0.00010081-0.00021369i,-5.6177e-05+0.0011411i,9.1182e-05+0.00075102i,-0.00067097+0.00089271i,-0.00055171+0.0006346i,-0.00041494-7.1326e-05i,-0.0010987+0.00016961i,-0.001814+0.0010369i,-0.0017058+0.0011388i,-0.00097796+0.00075759i,-0.00077226+0.00070546i,-0.0012268+0.00083984i,-0.0013862+0.00059501i,-0.00054178+0.00050172i,-0.0004851-0.00017899i
-0.0040653+0.0021159i,-0.0049119+0.0050786i,-0.0047205+0.0051754i,-0.0026243+0.00219i,-0.00042732-0.00036125i,0.00072518-0.0015748i,0.00012958-0.0020835i,-0.0012472-0.0018586i,-0.0016805-0.00079232i,-0.0008565+0.00081679i,0.00022181+0.0011515i,0.0011239+0.00038922i,0.00069233-0.00082496i,0.0003927-0.0014136i,0.0017533-0.001432i,0.0022981-0.0020479i,0.0018205-0.0022521i,0.00062139-0.0017079i,-0.00046441-0.00092911i,-0.00045871-3.36e-05i,-0.00016184+0.00068065i,-3.8661e-05+0.0012954i,6.3517e-05+0.0018748i
-0.0014967-0.0037234i,-0.0021307-0.0027316i,-0.0020207-0.0012194i,-0.0015637-0.00055238i,-0.00079217-0.00049335i,4.9583e-05-0.00059308i,4.8126e-05-7.9998e-05i,5.4035e-05-1.3318e-05i,0.00061242-0.00025604i,0.0012195-0.0012528i,0.0010582-0.0010057i,0.000596+0.00060665i,0.00016148+0.0015732i,8.0748e-05+0.0016736i,0.00046254+0.0017391i,0.001076+0.0023428i,0.001561+0.0025726i,0.0015381+0.0015369i,0.0010803-1.0959e-05i,0.0010132-0.0010281i,0.0014764-0.0013121i,0.0012578-0.0012258i,0.0010088-0.00017553i
-0.00086181+0.0038312i,0.001692+0.0041079i,0.0024493+0.0030089i,0.0015088+0.0023271i,-0.0002231+0.002739i,-0.0016266+0.0025668i,-0.0017256+0.0012852i,-0.0013996+0.00037876i,-0.00092292+0.00089824i,-0.00054504+0.00058315i,-2.2687e-06-0.00038567i,-0.00021075-0.00069296i,-0.00058775-0.00064783i,-0.00068571-0.0012499i,-0.001504-0.0022843i,-0.0033202-0.0026324i,-0.0035091-0.0023807i,-0.0020484-0.0012724i,-0.0012309-0.00049536i,-0.00082541-0.00037563i,-0.0010755-0.00041352i,-0.00029415-0.00059121i,0.0012622-0.00052388i
-0.0014673-0.0010266i,-0.0026053-0.0021416i,-0.0032378-0.00057286i,-0.0017449+0.00158i,1.2113e-05+0.0017857i,0.0012335+0.0015595i,0.0016446+0.001269i,0.00089924-0.00050663i,7.4936e-05-0.0016219i,-0.00097502-0.0014818i,-0.0017727-0.0013519i,-0.0013112-0.0010046i,0.0004774-0.00022529i,0.0027738+3.5066e-05i,0.003345-0.00043346i,0.0031823-0.00017521i,0.0029767-0.00020955i,0.0015292-0.00077401i,0.00019771-0.00052442i,-0.00038424-0.00031341i,-0.00095737-0.00034253i,-0.00081663+0.00031162i,-0.000449+0.00016326i
0.0014287-0.0011692i,0.00066701-0.00098453i,-0.0013093-0.0010746i,-0.0017321-0.00098231i,-6.0108e-05-0.00030253i,0.0012135-1.5949e-05i,0.0007592+6.1992e-05i,0.00027302-5.6354e-05i,-0.00028627-0.00062387i,-5.4083e-05+0.0005791i,-0.00047668+0.0023048i,-0.001241+0.002093i,-0.0018387+0.001004i,-0.0022117+0.00078643i,-0.001679+0.0018294i,-0.0013042+0.0036021i,-0.00058333+0.0045344i,8.2103e-05+0.0034837i,0.00057733+0.0017627i,0.0010711+0.00022627i,0.0011124-0.00020732i,0.00079525-0.00036931i,4.9695e-05+8.7767e-06i
-0.001487-0.0011815i,-0.0019374-0.0011078i,-0.00027133+0.00011187i,0.0010159+0.00054077i,0.00020113+5.0584e-05i,0.00017252-0.00049482i,0.0004828-0.00094119i,-0.00025194-0.00089199i,-0.00027359-0.00081697i,0.00014094-0.0010974i,0.00013943-0.00054219i,0.0001874+0.00055034i,6.4749e-05+0.00026635i,-0.00022154-0.0008489i,0.00071168-0.0023595i,0.0012337-0.0042354i,0.00041427-0.0048274i,-0.00038016-0.0036389i,-8.9545e-05-0.0015658i,0.00040647-3.4296e-05i,0.00065941-0.00011813i,0.00073164+0.0001214i,0.00084632+0.00042443i
0.0015903-0.001602i,0.0010018-0.0016145i,-8.1314e-05-0.0011421i,-0.00062242-0.0003244i,-0.00028612-0.00021618i,0.00092523-0.00075803i,0.0017444-0.00060376i,0.0024007-2.4196e-05i,0.0029611+0.00053121i,0.0029833-0.00030524i,0.0019039-0.0015363i,0.00090184-0.0013474i,0.0015678+0.00072789i,0.0018953+0.0027298i,0.0014678+0.0039968i,0.0019957+0.003956i,0.0027842+0.0021303i,0.0025545+0.00074189i,0.0012918-0.00061108i,1.0744e-05-0.001285i,-0.0012806-0.0013809i,-0.0016052-0.0015436i,-0.0012523-0.000989i
-0.0052743+0.0012959i,-0.0049723+0.0020416i,-0.0031606+0.001208i,-0.00084012+1.9018e-05i,-0.0005647-0.00036624i,-0.00059831-0.0014563i,-0.00012359-0.002029i,-0.00033267-0.0011011i,-0.00064609-0.00062852i,4.4103e-06-0.0007641i,0.00076992-0.00088102i,0.00047013-0.00085502i,0.00047384-0.00090763i,0.00028991-0.00065705i,-0.0025308-0.0011952i,-0.0049811-0.00072381i,-0.0042062+0.00093764i,-0.0026039+0.0016167i,-0.001585+0.0010445i,-0.0014167+0.00047626i,-0.0011085+0.00047384i,-0.00048435-0.00017049i,4.2621e-05-0.00066355i
0.0026335+9.1887e-05i,0.0025151+0.0011777i,0.0016733+0.0025523i,0.00075859+0.0021211i,-2.9123e-05+0.00075255i,-0.0020788-0.00011888i,-0.0033191-0.00027573i,-0.0017593-0.00035094i,-0.00020291-0.00030062i,-0.00047688-0.0001845i,-0.001425-1.4826e-05i,-0.00071839-0.00036773i,-0.00031229-0.0012512i,-0.00056719-0.0016191i,0.0010554-0.002023i,0.0028711-0.0031375i,0.0026229-0.0039396i,0.00099341-0.0033602i,0.00021094-0.0010125i,-0.00043128+0.0013521i,-0.0008807+0.0020179i,-0.00051418+0.0019307i,0.0001529+0.0012698i
-0.00059883-0.00055009i,-0.0018051-0.00018167i,-0.003624-0.0010802i,-0.0036657-0.00027692i,-0.0013752+0.0019702i,0.00081571+0.0027201i,0.0006351+0.0020912i,-0.00026704+0.0010913i,-0.00031022+0.0013782i,-5.9984e-05+0.0023178i,-0.00017644+0.0021159i,-0.00080345+0.00098749i,-0.0011867+0.00038536i,-0.00036985+0.0012707i,-0.0002126+0.0028554i,3.256e-05+0.0039416i,0.0007925+0.0037207i,0.0012029+0.002659i,0.0016401+0.00094159i,0.0016878-0.00070354i,0.0011964-0.0010064i,0.00034462-0.0016736i,0.0002244-0.0019607i
1.6109e-05-0.0010833i,-2.1335e-05-0.0015373i,0.00064499-0.0018439i,0.0012658-0.0015367i,0.00094625-0.0017084i,0.00091986-0.001003i,0.00058503-0.00033648i,-0.00069909-0.00023427i,-0.0011789-0.00052106i,-0.00050194-0.00091055i,0.00025515-0.00056258i,0.0010907+2.7713e-05i,0.00090565+0.00044213i,0.00012872+4.0849e-05i,-0.00037073-0.00047041i,-0.0020435-0.0011617i,-0.0035293-0.0021632i,-0.0036091-0.0013225i,-0.00226+0.00036185i,-0.00038891+0.00065955i,0.00026311+0.00026944i,6.4566e-05+6.1759e-05i,-0.00062394+4.8667e-05i
-0.00055152+0.0013473i,-0.00034999+0.0019107i,0.00031864+0.0023498i,0.00152+0.00077286i,0.0024163-0.00038245i,0.0026756-0.00051728i,0.0020183+0.00050221i,0.00027587+0.001572i,-0.00017487+0.00074032i,0.00077714-1.5736e-05i,0.0012845-0.00081895i,0.0011792-0.0015056i,0.0010344-0.0018102i,0.0015676-0.0016221i,0.0025094-0.0010751i,0.0039825-0.00095757i,0.0047347-0.00064876i,0.003179-0.00061454i,0.00015368-0.00065175i,-0.0014869-4.0805e-06i,-0.002804-9.7659e-05i,-0.002581-0.00043465i,-0.000822+0.00028792i
-0.0048662-0.00021813i,-0.0054505+0.00027036i,-0.0054111+0.0012453i,-0.0038734+0.0010171i,-0.0019167+0.0010075i,-0.0012921+0.00053604i,0.00034989-0.0012331i,0.0013097-0.00069768i,-6.5822e-05+0.0010666i,-0.0019174+0.0013632i,-0.0017166+0.00020806i,-7.2734e-05-0.00070187i,0.00020085-0.0010546i,-0.00062318-0.00070188i,-0.00075072+0.00055845i,-0.0013399+0.0025159i,-0.0015696+0.0033767i,-0.00061664+0.0027822i,-7.3694e-05+0.0016224i,0.00057367+0.001018i,0.0013292+0.00089945i,0.001111+0.00054369i,0.0010262+0.00067837i
0.0019209+0.0018657i,0.0028084+0.0019464i,0.003285+0.0012154i,0.0022789+0.00020465i,0.00013666-0.00050013i,-0.0011442-0.00045448i,-0.00076817-0.0014581i,0.00057199-0.0018546i,0.0015395-0.00071149i,0.0015407-0.00016488i,0.00097972+0.00025814i,0.00050083+0.00063589i,-0.00061198+0.00094962i,-0.002251+0.0011395i,-0.0031915-0.0005034i,-0.0026367-0.002666i,-0.0024884-0.0039294i,-0.0022734-0.0028922i,-0.00063852-0.0008419i,-0.00061251+0.00063269i,-0.00020148+0.001377i,0.00038556+0.0012445i,0.0013705+0.00063697i
-0.0020837+0.0017435i,-0.0026364+0.00028591i,-0.0011803-5.3785e-05i,0.00076815+0.00054266i,0.0010021+0.00079688i,-0.00022017+0.00064509i,-0.0012254+0.00018684i,-0.00086997-0.00051762i,0.00044863-0.00036444i,0.0017471+0.00019492i,0.0016528+0.0008628i,0.00053669+0.0009316i,0.00093121+0.00099004i,0.0015179+0.0020394i,0.0023113+0.0022452i,0.0032741+0.002384i,0.0032821+0.0024416i,0.0024457+0.00078285i,0.0010397-0.00069392i,9.4611e-05-0.0014808i,0.00010983-0.0017235i,0.00031244-0.0015911i,-0.00058624-0.001778i
