-0.0010191+0.00050353i,0.00019468+0.00063599i,0.00054125+0.00040729i,0.00060172+0.00019061i,-0.00010492+0.00020275i,-0.0010233+0.00034151i,-0.00089828+0.00052603i,-0.00051344+0.0010668i,-0.00011851+0.0011373i,-0.00018431+0.0010061i,2.6009e-05+0.00079562i,0.00046634+0.00012836i,-0.00013702-0.00091954i,-0.00047586-0.00093345i,0.00027939-0.00081342i,0.0011194+2.335e-05i,-1.5704e-05+0.00089159i,-0.0013812+5.1059e-06i,-0.00061723-0.00074906i,9.8441e-05-0.0011622i,5.3241e-08-0.00090155i,0.00037799-0.00071631i,0.00049505-0.00038715i
0.0010836+0.00060808i,0.0013701+0.0011107i,0.00078742+0.0010617i,0.00084538+0.0003048i,0.0012409-0.00020512i,0.0012542-0.00089529i,0.00026863-0.0011202i,-0.00061413-0.00022801i,-0.00047678+0.00059894i,-0.00037124+0.000586i,-0.00039081+5.6542e-05i,0.00016859-0.00102i,0.00041399-0.0013303i,0.00015559-0.00093497i,0.00025823+0.00029711i,0.00071593+0.0005347i,0.00093878+0.00010886i,0.00048103+0.00015176i,-0.00014853-0.00022459i,-0.00010502-0.00052507i,0.00024484-0.00067394i,-0.00028545-0.00034922i,-0.00030003-0.00010669i
-0.00054094-0.00048965i,-0.00056865-0.0011946i,0.00077246-0.00073711i,0.0011351+0.00074754i,0.00079845+0.00081511i,0.00050091+0.00066642i,0.00017006+0.00073208i,4.343e-05+0.00048481i,0.00031369-0.00023692i,0.00074556-0.0002591i,0.00072671+0.00069061i,0.00039271+0.00049695i,0.00013654-0.00044644i,-0.00021112-1.2976e-05i,-0.00028446+0.00072088i,-0.00036942+0.00040347i,-0.00061767-0.00022545i,-0.00068012-4.8531e-05i,-0.0003605+0.00047606i,-4.1984e-05+0.00053344i,0.00011256+4.9278e-05i,0.000583-0.00043009i,0.00046968+0.00048869i
0.0010388-0.0008637i,0.00058172-0.00096235i,0.00074612-0.00052001i,0.00041074+0.00027423i,-0.00022816-0.00023703i,-0.00093638-0.0011248i,-0.00043727-0.0012557i,0.00012077-0.00081569i,0.00054488+0.00027272i,0.00068976-3.5768e-05i,0.00089906-0.00121i,0.001339-0.0011554i,0.00060746-0.00031156i,5.8469e-05+0.00020874i,-0.00029691+0.00024545i,-0.0003635-8.1341e-05i,-0.00013242-0.00016705i,-0.0006111+0.00025208i,-0.00061352+0.00044826i,0.00039378+0.00021288i,0.00051188+0.00014154i,0.00036879-0.00011401i,9e-05-0.00080803i
-0.0007875+6.246e-05i,-0.00064869+0.00094746i,0.00019671+0.0026776i,0.0010454+0.003137i,0.0011022+0.0021138i,0.00081293+0.00087239i,0.0002723+0.00052079i,-1.8225e-05+0.00080334i,-4.2444e-05+0.00029329i,-3.3965e-05+0.00054797i,-0.00016061+0.00091405i,7.9426e-05+0.00048102i,0.00055179+0.00018866i,0.00082975+0.00031156i,0.00051836+0.00051571i,0.00042813+0.0010711i,0.0007955+0.0015545i,0.00033333+0.00078482i,-0.00023252+9.6054e-06i,-0.00025516-3.5208e-05i,-0.00046217-0.00026255i,-0.00084906-0.00034001i,-0.00093595+4.4121e-05i
-8.9276e-05-0.0013i,-0.00033297-0.0010351i,-0.0002909-0.0010254i,0.00033977-0.00023954i,0.00027273+0.00076447i,0.00016499+0.00077454i,0.00047999+0.00043025i,0.00049602-0.00020807i,6.4593e-05-0.00053983i,-0.00072821-0.00028172i,-0.00034703-2.9595e-05i,0.00041183+0.00016263i,0.00032287+0.00051205i,2.9726e-05+0.00034885i,5.3161e-05-7.249e-05i,-0.00039808+0.00061029i,-0.0003935+0.00046604i,0.00059217-4.0861e-05i,0.00065923-6.0068e-05i,-0.00042896-0.00062084i,-0.00064315-0.00090961i,0.0002524-0.00043399i,0.00019825+0.00018562i
0.0014888+0.00071907i,0.00091516+0.0010626i,-0.00045042+0.0011277i,-0.00060573+0.0005677i,0.00091509+0.00056297i,0.00124+0.00078533i,0.00079699+0.00013769i,0.0013038-9.3272e-05i,0.0012172-4.8311e-05i,0.00036387-0.00042441i,0.00056057-0.00082817i,0.00079631-0.00074075i,0.00019591-0.00010376i,-0.00048526+0.00028557i,3.0678e-05-0.00024691i,0.001146-0.0001945i,0.0011995+4.5173e-05i,0.00065392+6.7606e-05i,0.00028014+0.00026419i,-0.00011546-9.1526e-05i,-0.00018038-4.2104e-05i,-0.00017494+0.00027337i,-9.493e-05-8.7956e-05i
-0.00070385-0.0009237i,-0.00096881-2.8499e-05i,-0.00090576+0.0015793i,-0.00072969+0.0028527i,-4.395e-05+0.0022767i,8.4676e-05+0.00086631i,-0.00041933+0.00049798i,-0.00013064+0.00042941i,-0.00074077+0.00039201i,-0.0011878+1.3737e-05i,-0.00024358-0.00094304i,0.00061665-0.0010519i,0.0012278-0.00029099i,0.0014007+0.00041202i,0.00082501+0.00057919i,0.00098723+0.0012731i,0.0013064+0.0023932i,0.0012338+0.0024875i,0.0010792+0.0022513i,0.00082032+0.0015585i,0.00065664+0.00012182i,0.00055935-0.001319i,-0.00019011-0.0010968i
-0.00037176-0.00039872i,-0.00099544-0.00034378i,-0.00019427+0.00065882i,0.00072646+0.00078827i,0.0010016+2.2849e-05i,0.00030322-0.00070194i,-5.0003e-05-0.0011931i,0.00041566-0.00084945i,0.00061355-0.00020491i,0.00041728-0.00040833i,0.00063145-0.00056499i,0.00062328-0.00045036i,0.00024765-0.00027669i,-1.5487e-05+0.00085264i,-0.00015269+0.0011219i,9.9965e-05+0.0010262i,0.00024534+0.0014571i,0.00072561+0.0011348i,4.5757e-05+0.0008144i,-0.00034392+0.00074883i,-1.417e-05+0.00016691i,0.00013259-0.00012084i,0.00020095-0.00049988i
-0.00011162-0.00093944i,-0.00099535-0.00085348i,-0.0022792-0.00024339i,-0.0017404+0.0014146i,-0.00067081+0.0015813i,-0.00015887+0.00046524i,0.00026332+0.00034548i,0.00040119+0.00044588i,0.00040648+8.0907e-05i,0.00025485-0.00088622i,-2.1248e-05-0.00068246i,-0.00022875-0.00020366i,0.00028805-0.00042564i,0.00084962-0.00051325i,0.00033955-0.00057431i,-2.9833e-06-0.0003768i,0.00069939-0.00030741i,0.0013355+0.000397i,0.00081236+0.00064544i,-5.782e-05-8.0135e-05i,-0.00058943-3.6972e-05i,-0.00075905-9.771e-06i,0.00038518-0.00032858i
-0.00060641+0.0013251i,-0.00024338+0.0015437i,0.00081927+0.0027458i,0.0019712+0.0032177i,0.0021897+0.002203i,0.00096545-6.9388e-05i,0.00057476-0.0017683i,0.00036252-0.0015148i,2.4362e-05-0.00030462i,0.00075438+9.7076e-07i,0.0010145-0.00033054i,0.00082571-0.00024641i,0.00084517-0.00026965i,-0.000324+0.00019496i,-0.0012931+0.00037632i,-0.00031131+0.00076736i,8.0318e-05+0.0011068i,-0.00044974+0.0011658i,0.00012868+0.00051455i,0.00064053+0.00014731i,0.00032934+0.00024069i,0.00050047+0.00027073i,0.00022015+0.00024491i
