-0.0013109+0.00054096i,-0.00056675-0.00066308i,-0.00027194-0.0010377i,-0.0014935-0.00067843i,-0.001838+0.00018498i,-0.0010215+0.00031752i,0.00043842+0.00052199i,0.0020561+0.0016726i,0.0013667+0.0014348i,7.5168e-05+0.00089933i,-8.892e-05+0.0010278i,-9.5914e-05+0.00044292i,-0.001119+0.00015315i,-0.0015026+0.00041664i,-0.00065124+0.00064535i,-0.00073704+0.00069165i,-0.00029894+0.00021644i,0.00022736-9.642e-05i,-0.0004231-0.00039428i,-0.00084303-0.00053224i,-0.00044311-0.00048997i,0.00034872-0.0005703i,0.00050468+8.5628e-06i
-0.0011341-0.0018612i,-0.00068282-0.0015091i,-0.0016286-0.00091375i,-0.0016773-0.00037059i,-0.00015372+0.0012198i,0.0014794+0.0022607i,0.0019783+0.001205i,0.0014103-6.4605e-05i,0.00073021-0.0011212i,-0.00025606-0.001587i,-0.00073263-0.00040507i,3.9465e-05+0.00067949i,0.00011369+0.00064313i,0.00015526+0.00013027i,0.00032844+0.00020814i,0.00010531+7.2009e-05i,0.00033697-0.00053115i,4.3469e-05-0.00012554i,-0.00072372+0.00060654i,-0.00016971+6.1717e-05i,-8.0745e-05-0.0009832i,-0.00056885-0.00088311i,-0.0002187-0.00090317i
0.0026002+5.6871e-05i,0.0021859+0.00033773i,0.0021568-0.00058433i,0.001432-0.0015648i,0.00078726-0.0017037i,0.00077186-8.9595e-06i,0.00096697+0.0011442i,0.00067071+0.00015807i,0.00055961-0.00037i,0.00043559-0.00095889i,0.00034277-0.0016692i,0.00023573-0.0010209i,-0.00037457-0.00045549i,-0.00097439-0.0002396i,-0.00085814+8.4285e-05i,-0.0002199+0.00015917i,0.00024945-1.8607e-05i,0.00040523-0.00035879i,0.00067985-0.00024956i,0.00015159-1.028e-06i,-0.00071554-0.0005549i,-0.00045149-0.00042068i,0.00057509+0.00031298i
0.0019051-0.0021256i,0.00078144-0.0012163i,-0.00018007-0.0018368i,-0.0011073-0.0020635i,-0.0021642-0.00061283i,-0.0016529-0.00028446i,0.00030246-0.00025473i,0.0010443-0.00015182i,0.00064169-0.00068438i,0.00016827-0.00054237i,-0.00036049+0.00027771i,0.00010742-0.00012969i,0.00072306-0.00079034i,0.00072734-0.00028092i,0.00056342+0.00017077i,-7.5082e-05-6.5575e-05i,-0.00086892+0.00017863i,-0.00083631+0.00032706i,-0.0002851-0.00045783i,0.00026377-0.00053613i,0.00037285-0.000265i,0.00020403+0.00038963i,0.0001044+0.00099178i
-0.0010411-0.0013351i,-0.0013703-0.00049453i,-0.0018736+6.0721e-05i,-0.0019411+0.0007797i,-0.0011825+0.0015943i,0.0011325+0.0021565i,0.0017113+0.0018694i,0.00096109+0.00063345i,0.00034673+0.0004886i,-0.00018615+0.00062868i,-0.00010253-0.00043632i,0.00038082-0.0011023i,9.9943e-05-0.0009341i,-0.00050856-0.0012381i,-0.00058183-0.00072575i,-0.00047185+0.00070917i,-0.0010064+0.001045i,-0.0015479+0.00094823i,-0.0011075+0.0004224i,-0.00038761+0.00064949i,0.00039554+0.0010254i,0.0016327+0.00089889i,0.0020301+0.00034563i
-0.0005936+0.00066033i,-0.00089172+4.319e-05i,-1.6341e-05-0.0017816i,0.00053254-0.0016839i,0.00012782-0.00010307i,-0.00074007+0.00011684i,7.4222e-05-0.0014675i,0.0011647-0.0016363i,0.00047305-0.00071212i,0.00024711-9.3474e-05i,0.00053781-0.00021207i,-0.00024555-0.00051203i,-0.0013334-0.00075061i,-0.0015793-0.00059724i,-0.0013246+0.00036299i,-0.00071972+0.00072187i,-0.00034009+0.0003864i,-0.00013687+0.00057792i,-4.5791e-05+0.00060515i,-0.0002613-0.00059362i,-0.00082086-0.0011016i,-0.00080249-0.00041501i,-0.00028136-0.0001666i
0.0014177-0.001417i,-2.6091e-05-0.0014586i,-0.00073813-0.0016006i,-0.0011073-0.001274i,-5.7681e-05-0.00031664i,0.0015822-0.0003143i,0.0020778-9.9434e-05i,0.0015679+0.00060835i,0.0012874+0.00016946i,0.00074571-0.00066318i,-0.00039013-0.00059896i,-0.00060715+0.000327i,-0.00071236+0.0010363i,-0.0011533+0.00026123i,-0.00054145-6.6475e-05i,-0.00016247-0.00020691i,-2.9562e-05-0.00010998i,5.8431e-05+0.00028834i,0.00043551+0.00012584i,0.0015892-0.0001951i,0.0017887-0.00039437i,0.00076752-0.00038771i,-0.00033026-0.00010961i
0.0010069+0.00034479i,0.0010409+0.00030885i,0.0014214-0.00072106i,0.0020814-0.0014306i,0.0025071-0.001259i,0.003108+0.00046616i,0.0019506+0.0014703i,0.00032896+0.00052656i,0.0011161-0.0004453i,0.0015742-0.00092348i,5.6834e-05-0.00093913i,-0.0010801-0.0009255i,-0.00078178-0.0011015i,-9.0594e-05-0.00097523i,-0.00030819-0.00068218i,-0.0010211-0.00053151i,-0.00098324-0.00075516i,-0.00071946-0.00089236i,-0.00071025-0.00053319i,-0.0011443-0.00073451i,-0.001369-0.00090463i,-0.0011894-0.00035202i,-0.00062888+0.00021711i
0.00064274+0.00069019i,0.0007666+0.00088521i,0.001801+0.00059651i,0.0016991+0.00042571i,-0.00060883+0.0009179i,-0.0019031+2.3878e-05i,-0.00073777-0.0016193i,0.00049695-0.0011294i,0.00080634-0.00018291i,4.9395e-05-0.00019712i,-0.00061404-0.0010189i,-0.00042483-0.0012297i,-0.00077446-0.001157i,-0.0015264-0.00077546i,-0.0010068-0.00068712i,-0.00029066-0.00066592i,8.6026e-06-0.00031028i,0.00032635-2.5615e-05i,0.0013728-0.00014329i,0.0020079-0.0006708i,0.0017785-0.0011722i,0.0015623-0.0014552i,0.00064021-0.0006401i
-0.0010819-0.0014767i,-0.00075767-0.0015527i,-0.001891-0.002249i,-0.0017833-0.0016939i,-0.00020793-0.001394i,0.0021786-0.00063612i,0.0025741+0.0010969i,0.001077+0.0014917i,-0.00028428+5.5232e-05i,-0.0017238-0.00086898i,-0.0015243-2.7329e-07i,-0.00063396+0.00069164i,-0.0012381-0.00043809i,-0.0016728-0.00092968i,-0.0012424-2.8173e-05i,-0.00079185+0.00041382i,-0.0001489+0.0010771i,0.00040134+0.0014184i,-0.00042843+0.001777i,-0.0010616+0.0021833i,-0.00081706+0.001621i,-5.2413e-05+0.0010418i,0.00056386+0.00088966i
0.0022395+0.0017991i,0.0017072+0.0013595i,0.0023181+0.00055566i,0.0031217+0.00021613i,0.0024276+0.0011713i,0.00092045+0.0020288i,0.00028158+0.00040761i,0.0011264-0.0013169i,0.0016407-0.0017443i,0.0012383-0.0018972i,-0.00020033-0.0018913i,-0.00084386-0.0015228i,-0.00053009-0.0016404i,-0.00095268-0.0018405i,-0.0010146-0.00090114i,-0.00057426-4.1107e-05i,-0.00064662+1.8368e-05i,-0.00014409-9.0269e-05i,0.00088706-0.0010036i,0.0017677-0.0021167i,0.0016094-0.0023094i,0.0003934-0.001632i,-0.00043878-0.0013603i
0.0018098+0.00074957i,0.0026054+0.00063727i,0.0027081-0.00066608i,0.0014914-0.0019849i,-0.00039835-0.003635i,-0.00060561-0.0036216i,0.0012519-0.0010694i,0.0013292+0.00044039i,0.00046489-0.00017708i,-2.7747e-05-0.0013326i,-0.0010571-0.0012133i,-0.0015228-0.0005553i,-0.00087823-0.00032112i,-0.00036739-0.00067164i,1.1985e-06-0.0010154i,8.0116e-05-0.00082547i,0.00023897+0.00027527i,0.00044236+0.0012659i,-0.00062651+0.0012887i,-0.0010247+0.0012334i,-0.00020978+0.0016374i,0.00025687+0.0011676i,0.00064778+0.00022925i
-0.001506-0.00058871i,-0.0023025-0.00065103i,-0.0019141-0.00046546i,-0.00021826+0.0012773i,0.0013726+0.0024467i,0.0022277+0.0027373i,0.0014812+0.0022719i,0.0014616+0.0014451i,0.0011737+0.0001694i,-0.00023216-0.00041327i,-0.00099689-1.4252e-05i,-0.0012893+4.5677e-05i,-0.0016858-0.00066677i,-0.0013366-0.00098383i,-0.00049568-0.00057825i,-0.00033312+0.00011528i,-0.00044125+0.00047565i,-0.00043512+9.8758e-05i,-0.00090234-0.0012278i,-0.0013911-0.0021328i,-0.0016992-0.001924i,-0.0019052-0.00079747i,-0.0010263+0.00067067i
0.0018487-0.0019764i,0.0019739-0.0021395i,0.0019827-0.002909i,-0.00051833-0.0033384i,-0.0029985-0.0025418i,-0.0034446-0.0020159i,-0.00095116-0.001718i,0.0012048-0.0011409i,0.0012922-0.00084468i,0.0004902-0.00070054i,-0.00068199-3.2585e-05i,-0.0014508+0.00044461i,-0.0013302-8.9974e-05i,-0.0013184-0.0005342i,-0.0017239-0.00094053i,-0.00099328-0.00095643i,0.00066159-0.00069463i,0.00095171-0.00045062i,0.0010482-0.00023466i,0.0024939+0.00040571i,0.0035256+0.00098304i,0.0021561+0.00066828i,0.00027235-0.00069422i
0.001231-0.0034774i,0.00022946-0.0034816i,-0.0013128-0.0045687i,-0.00067485-0.0033558i,0.0021981-0.00067041i,0.0046807+0.0010426i,0.0037857+0.0018649i,0.0022204+0.0011773i,0.0011122+0.00023433i,-0.00010194-0.00034449i,-0.00029204-0.00066355i,-9.1727e-05-0.00055625i,-0.00042104-0.00041725i,-0.00042449+0.0001435i,4.0216e-05+4.7231e-05i,-0.00021452-0.0002733i,-0.00048084+0.00055044i,-0.00020053+0.00069742i,-0.00090123-0.0003422i,-0.0023652-0.00039905i,-0.0028346+0.00039033i,-0.0014263+0.0012096i,-0.00075099+0.0016826i
-0.0055191+0.00086895i,-0.0039361+0.0020452i,-0.0021567+0.003946i,-0.00083874+0.004339i,-0.00041678+0.003696i,-0.0013441+0.0016262i,-0.0015641-0.00080926i,-0.00069312-0.0016003i,-0.00040434-0.0012357i,-0.00081905-0.001142i,-0.00064811-0.0014974i,0.0011425-0.0020875i,0.0017703-0.0025392i,0.00098598-0.0016748i,0.00034916-0.00073161i,-0.00034826-0.00036904i,-0.00086544-0.00034181i,-0.00021172-0.00079194i,0.00099258-0.0008006i,0.0015562-0.001019i,0.0018327-0.0017753i,0.0010883-0.0021806i,-7.0497e-05-0.0018092i
-0.002155-0.00057275i,-0.002317-0.0003453i,-0.001967+0.00089503i,-0.0018878+0.0012073i,-0.0013241-0.00088216i,0.0022633-0.0023262i,0.0043561-0.0012557i,0.0025888+0.00031467i,0.00045802-6.1524e-05i,-0.00099328-0.0002249i,-0.0015397+0.00052712i,-0.0015505+1.5813e-05i,-0.0017979-0.00052681i,-0.0019587-0.00075485i,-0.00077251-0.0010847i,0.00030683+3.1829e-05i,0.00015701+0.00079534i,-0.00025449+0.001423i,-0.00046478+0.0016907i,-0.00058699+0.0018817i,-0.00056352+0.0021894i,-9.5263e-05+0.0019459i,0.00020376+0.0012203i
-0.0027443-0.0020635i,-0.0030649-0.0017524i,-0.003404-0.00091333i,-0.0019422+0.0010292i,0.0010635+0.0038707i,0.00184+0.0054732i,0.00011313+0.0033561i,-9.8303e-05+0.0007024i,0.00024024+4.9518e-05i,0.00021929+0.00084705i,-0.00021883+0.0010406i,-0.00040186+0.0007639i,-0.00055573+0.00065327i,-0.0019068+0.00021567i,-0.0019843+0.00012537i,-0.0014486-0.00053293i,-0.0008557-0.0018588i,0.00030449-0.0022369i,0.0017037-0.0023446i,0.0011661-0.0023723i,-3.731e-05-0.0020096i,-0.00050183-0.0010598i,-0.0003886+0.00018019i
-0.00054934+0.0028629i,-0.0008247+0.0026978i,7.259e-05+0.0042526i,0.00038229+0.0035496i,-0.00082409+0.00019131i,-0.00080189-0.0029128i,0.0011422-0.0033423i,0.0016281-0.0018912i,0.00055808-0.0014443i,0.0010207-0.00083818i,0.0017685+0.00052332i,0.0020391+0.00053865i,0.0016763-0.0003601i,0.00058937+0.00044107i,0.00051919+0.0011008i,0.00056071+0.00011054i,0.00010321-0.00097103i,-0.00054453-0.0010602i,-0.0015581-7.3045e-05i,-0.00071029+0.0013414i,0.0012159+0.0019136i,0.0022659+0.0011575i,0.0021679-2.4262e-05i
-0.0016277-0.0010755i,-0.0023663-0.00090784i,-0.0019878-0.0014767i,3.0522e-05-0.001712i,0.0043918+0.00059732i,0.0058271+0.0031626i,0.0029618+0.0035264i,0.0016086+0.0013702i,0.0016836+0.00016441i,0.00057463+4.3478e-05i,0.00021467-0.00061044i,0.00045935-0.00072177i,-5.6103e-05-0.0010327i,0.00066238-0.00082889i,0.0014846+0.00046853i,0.0014571+0.00087536i,0.00068738+0.00078986i,-0.00059851+0.00070623i,-0.00099302+0.0003531i,-0.0021363+0.00016642i,-0.0028853-9.3605e-05i,-0.0018395-0.00020136i,-0.0014115-0.00049016i
-0.001265-0.00079578i,-0.00065841-0.00046688i,-0.00072011+0.00084414i,-0.0013123+0.002215i,-0.0033259+0.0027046i,-0.0042873+0.0013105i,-0.0022865-0.0019574i,-0.0007287-0.0022872i,-0.00088818-0.00067059i,-0.001444-0.0012732i,-0.0014198-0.00094008i,-0.0013479+0.00043159i,-0.0013656-0.0006892i,-0.0015834-0.0015861i,-0.0013479-0.0010262i,-4.6074e-05-0.00014406i,0.00028298+0.00015369i,0.00096468-0.00012295i,0.0021288+0.00037106i,0.0024407+0.00068785i,0.0027365-0.00043522i,0.0014008-0.0022285i,-0.00037254-0.001425i
0.0005844+0.00078735i,4.7497e-05-4.4378e-05i,0.00056001-0.00062625i,0.00082547-0.001858i,0.0028823-0.0040084i,0.0067207-0.0036965i,0.0067888-0.00035156i,0.003893+0.00045237i,0.0023886-0.00098388i,0.0017028-0.00063413i,0.00057433+0.00078659i,-0.00066236+0.000954i,-0.0014252+0.00045895i,-0.0022744+0.0007019i,-0.0020969+0.00026845i,-0.0003445+1.4417e-05i,0.00051372+0.00042959i,-6.286e-05-0.00042735i,-0.0002293-0.0010061i,-0.00086912+0.00021418i,-0.0018393+0.0018554i,-0.0013772+0.0022015i,-0.00041037+0.001055i
-0.00088387-0.0024575i,-0.00083997-0.0013482i,-0.00025012-0.00083036i,-0.00044068+0.0023815i,-0.00082357+0.0061418i,-0.002207+0.00726i,-0.0030698+0.0036246i,-0.0016783-0.00013709i,0.00035409-0.00090097i,0.0004696-0.00031313i,-0.00017646+0.00014399i,5.5516e-05+0.0006894i,0.00034029+0.00029977i,0.00021797+0.00032323i,0.00040198+0.0011758i,0.00041514+0.00041506i,6.9843e-05-0.0005448i,-0.00029663-0.00027132i,-0.00031516-0.00076497i,-0.0005579-0.0020498i,-0.00028498-0.0023322i,0.00018948-0.0014541i,0.00083849-0.00020153i
0.00087464+0.002825i,0.00089361+0.0031037i,0.0022052+0.0027839i,0.0015758+0.00040413i,-0.00086738-0.0043157i,0.0002305-0.0086188i,0.0025665-0.0064381i,0.0022655-0.0011915i,0.00098921+0.00016888i,0.00017367-0.0010212i,-3.4736e-05-0.0019497i,-0.00024328-0.0023244i,-0.00042506-0.0028153i,-0.00031696-0.0023146i,0.00031043-0.00046991i,0.00068764+0.00025333i,0.00043574-8.8207e-05i,0.00017357+0.00045535i,0.00026255+0.0012482i,0.0009521+0.0016796i,0.0012803+0.0016201i,0.0010874+0.0013342i,0.0013662+0.0015875i
-0.00032001-0.0023381i,-0.0012053-0.0031466i,-0.0012391-0.0027544i,0.00058453-0.0011744i,0.0046228+0.0022536i,0.0068929+0.0083436i,0.0048332+0.0090689i,0.0017725+0.0033499i,0.00084075-0.00082895i,0.0003017-0.0014701i,-0.00048066-0.00081434i,-0.0012388-0.00054924i,-0.0020616-0.0010463i,-0.0024375-0.0016691i,-0.0013124-0.00092626i,-7.0844e-05+5.7495e-05i,0.00060756+0.00041166i,0.0014928+0.00043866i,0.0013736+0.00053695i,0.00023623-0.00022209i,-0.00090945-0.00084753i,-0.0020866-0.00086837i,-0.0018745-0.00062945i
0.00071006+0.001474i,0.0008778+0.001429i,0.0011861+0.00092901i,-0.0010153+0.0010188i,-0.0053564+0.00032047i,-0.0077797-0.0039256i,-0.00483-0.0062772i,-0.00070299-0.0026587i,0.0014239+0.00042097i,0.0010339+0.00017808i,-0.00026473+0.00034517i,-0.00076963+0.00082896i,-0.0012025+0.00043428i,-0.0012415+0.00020303i,-0.0016123-4.9587e-05i,-0.00077655-9.0001e-05i,0.00072844-1.2612e-05i,0.00078137-0.00088902i,0.00039304-0.001234i,0.00091711-0.00093824i,0.001454-0.00094054i,0.0017219-0.001437i,0.0018395-0.0011605i
0.00022194-0.00089397i,-2.3075e-05-0.0010227i,-0.00058913-0.00049627i,0.00049091-0.0023817i,0.0053669-0.0052354i,0.01128-0.002725i,0.0098005+0.0027348i,0.0032131+0.0022098i,-0.00091361-0.0011013i,-0.0010301-0.0020764i,-8.5956e-06-0.0016718i,0.00056743-0.0012656i,0.00037442-0.00094135i,0.00024274+0.00068062i,0.00026125+0.0012797i,-1.5382e-05+0.00030318i,-2.2778e-05-0.00054153i,-6.9873e-05-0.00076886i,-0.00031365-0.00050339i,-0.0011599-0.00025604i,-0.0019113-0.0011754i,-0.0014032-0.0011486i,-0.0012385-0.0001757i
0.00035964-0.00049235i,0.00035753-0.0012718i,0.00063521-0.00047434i,0.00058631+0.0033385i,-0.0024468+0.0089462i,-0.0066999+0.0096531i,-0.006378+0.0033724i,-0.0025066-0.00061008i,-0.00048239-0.0016953i,-0.0013571-0.0020587i,-0.0023464-0.0012532i,-0.0017421-0.00045351i,-0.00084118-0.0013589i,-0.00053815-0.0017642i,-0.00029634-0.00067395i,0.00013511+6.343e-05i,3.8831e-05+0.00033343i,-0.00047068+0.00122i,0.00038921+0.0016784i,0.0010865+0.0008771i,0.0012963-0.00033786i,0.0016169-0.0010273i,0.0018551-0.0012819i
0.00059173+0.00081168i,0.00022633+0.00092355i,0.00020554-0.00027723i,-0.0016095-0.0034366i,-0.0019375-0.0098732i,0.0022937-0.01361i,0.0066129-0.0081819i,0.0058495-0.0014338i,0.0022667-0.00025622i,0.00029091-0.00091633i,-0.00037469-0.00087934i,-0.001019-0.00060844i,-0.0013504-0.0010538i,-0.0015154-0.0021998i,-0.00051242-0.0025897i,0.00079593-0.00043964i,-0.00011626+0.0010103i,-0.0005034+0.00019264i,0.0011194-0.000762i,0.00216-0.00051906i,0.0016582+0.00088858i,0.00030893+0.0010887i,4.3861e-05+0.00058745i
-0.0024299+0.0011709i,-0.001524+0.00029052i,0.00057904+1.8138e-05i,0.0039985+0.0016188i,0.007429+0.0073851i,0.0060344+0.013952i,0.00011795+0.012036i,-0.0027043+0.0043204i,-0.0010494+0.0003409i,0.00049536+0.00054393i,0.00093174+0.0013189i,0.0011788+0.0016215i,0.00014342+0.0012688i,-0.0011103+0.0005158i,-0.0013948-0.00036536i,-0.00083624-0.0015019i,-0.00015721-0.0017992i,0.000752-0.0015114i,0.0010563-0.0013303i,0.00088191-0.0013421i,5.506e-05-0.002313i,-0.00076973-0.0032934i,-0.00061573-0.002435i
0.00022979+0.00048614i,5.6909e-05+0.00035006i,-0.00098612+0.0016812i,-0.0048743+0.0022193i,-0.010072-0.0022819i,-0.010283-0.010309i,-0.0034508-0.012833i,0.0026685-0.0077194i,0.0032611-0.0024719i,0.0014157-0.0016481i,0.00071274-0.0019037i,0.0014897-0.0012619i,0.00095845-0.00092126i,-0.00073176-0.00016268i,-0.0009284+0.00036134i,-0.00055834+0.0005479i,-0.00042092+0.00019568i,-0.00010315+0.00022907i,-0.00012326+0.0012687i,-0.00026602+0.0023006i,0.00047314+0.002321i,0.0015426+0.0020686i,0.0019621+0.0018255i
0.0014459+0.00060432i,0.00083833+0.0004401i,0.0017401-0.0016287i,0.0051066-0.0053329i,0.011647-0.0057767i,0.016735+0.0017243i,0.012759+0.0093779i,0.0032777+0.0078261i,-0.00020204+0.002528i,8.7411e-05-0.00057498i,-0.00060615-0.001803i,-0.0013081-0.0019247i,-0.001153-0.0023027i,0.00021267-0.0022204i,0.00056095-0.00096802i,-0.00025027-7.1932e-05i,-0.00024621+6.4931e-05i,0.00046458+0.00054148i,0.0010308+0.0011012i,0.00053503+0.00057961i,-0.00061621-0.00028809i,-0.0013668-3.3251e-05i,-0.0016655+0.00030658i
-0.00012233-0.002703i,0.00057357-0.0031433i,0.00014213-0.0015361i,-0.0025735+0.0044249i,-0.0090994+0.010559i,-0.017107+0.0093387i,-0.016008+0.0012179i,-0.0065372-0.0037322i,-0.0019262-0.0024532i,-0.0022564-7.2455e-05i,-0.0018277+0.0016899i,-0.001312+0.0022995i,-0.0014044+0.00070319i,-0.00089363-0.00033731i,0.00014583-0.0003948i,0.00039985-0.0011799i,0.00060439-0.0015872i,0.00073995-0.00090893i,0.0014873-0.00036359i,0.0025085-0.00010253i,0.0030015+8.5407e-05i,0.0036061-0.00011712i,0.0032647-0.0002355i
-0.00038385+0.0018145i,-0.00085313+0.0012426i,-0.001439+0.00012446i,-0.0014409-0.0058178i,0.0014989-0.015803i,0.011004-0.019459i,0.017047-0.010966i,0.01145-0.0018662i,0.0045523-8.4588e-05i,0.0015698-0.0011772i,0.00083954-0.00061126i,0.00080463+5.2105e-05i,-0.00025386-0.00047461i,-0.0017571-0.0006135i,-0.0025008-0.00064535i,-0.0018473-0.00060473i,-0.0012738-2.0449e-05i,-0.00073144+1.3595e-05i,4.8423e-06-0.00040649i,-0.00041381-4.1994e-05i,-0.0015333+4.6478e-05i,-0.0019642+0.00038894i,-0.0015528+0.00091233i
0.0010326+0.0010919i,-0.00033279-0.00060131i,0.0008588+0.0001567i,0.0055392+0.0050428i,0.008194+0.015614i,0.0022846+0.024556i,-0.0067252+0.020031i,-0.0077807+0.0072524i,-0.0035048-0.00021155i,0.00049202-0.0010607i,0.0019583-0.0011563i,0.00099299-0.0019585i,-0.00017127-0.0024269i,-0.0011422-0.0020766i,-0.0013489-0.0010631i,-0.00039732-0.0015455i,-5.9553e-05-0.0020362i,-0.00024151-0.001531i,0.00020177-0.00113i,0.00054753-0.0010313i,0.00088283-0.0011131i,0.00069709-0.0016405i,-9.0857e-05-0.0018121i
-0.0012258+0.0022483i,-0.0010147+0.0027827i,-0.0023167+0.002868i,-0.0070907+5.4523e-05i,-0.01383-0.0090141i,-0.011574-0.020376i,-0.00034955-0.021387i,0.0055524-0.011354i,0.003009-0.0031823i,-0.00022152-0.0017097i,-0.0018709-0.002404i,-0.0023774-0.0028956i,-0.002245-0.0027902i,-0.0017578-0.0014549i,-0.00091434+0.00015787i,-0.00030276+0.001774i,8.801e-05+0.0019437i,0.00083301+0.0011821i,0.0017464+0.0011307i,0.0012443+0.0018527i,0.00043387+0.0029744i,0.00045736+0.0034738i,0.0010836+0.0031569i
-0.0026815+0.0010937i,-0.0016887+0.0018426i,0.00093928+0.00070675i,0.0083543-0.00075279i,0.020733+0.0020359i,0.025733+0.010664i,0.015014+0.016986i,0.0016337+0.012856i,-0.0028717+0.0046681i,-0.0019001-0.00038017i,-0.0011746-0.00021874i,-0.00071979+0.0015238i,-0.00037275+0.0010651i,-0.00045625-5.367e-05i,-0.0011647-0.0013599i,-0.0013752-0.0017078i,-0.0011439-0.0015108i,-0.00095008-0.0015805i,-0.00059769-0.0012072i,-0.00059-0.00090117i,-0.00046705-0.00099857i,-0.00048929-0.0012133i,-0.00049383-0.0011623i
-0.0024925+0.00095087i,-0.0020106+0.0027591i,-0.0018182+0.0072937i,-0.0061641+0.011626i,-0.017023+0.012516i,-0.026907+0.0047898i,-0.022818-0.0068534i,-0.0084328-0.010477i,0.00043223-0.0055074i,0.0021817-4.3458e-05i,0.0023406+0.0023173i,0.0025114+0.0025127i,0.0019105+0.00093901i,0.00029663-0.00078462i,0.00023316-0.0015907i,0.00084055-0.0013184i,0.0011132-0.00044042i,0.0018972-0.00062144i,0.002907-0.0012034i,0.0027401-0.00064944i,0.0023182+0.00091408i,0.0017415+0.0014634i,0.0011692-7.6437e-05i
0.0002914+0.0016488i,-0.00011841+0.0010819i,-0.00032835-0.00089219i,0.0020463-0.0089056i,0.012318-0.019311i,0.026391-0.02087i,0.02921-0.0098544i,0.0175+0.0021735i,0.0051246+0.0034312i,0.00091879-0.00036695i,0.0016094-0.0025906i,0.0027199-0.0042129i,0.0017192-0.0039154i,-0.00039509-0.0024966i,-0.0012758-0.001126i,-0.0023294-0.0010225i,-0.0028503-0.0017442i,-0.0018567-0.00046055i,-0.00057553+0.0011487i,-6.1028e-05+0.0014927i,-0.00050353+0.00011696i,-0.0024054-0.00095017i,-0.0026488-0.00056469i
-0.00095514+0.0016232i,4.5072e-05+0.0018232i,0.0026412+0.0038887i,0.0056806+0.011898i,0.002822+0.025683i,-0.009991+0.034732i,-0.020232+0.026876i,-0.016049+0.0083851i,-0.0067061-0.0015975i,-0.0015613-0.0019337i,-0.00055526-0.0013988i,-0.0012999-0.0021117i,-0.0021893-0.0016034i,-0.0022447-7.4835e-05i,-0.0015376+0.00028462i,-0.00047495-0.00049777i,-3.5898e-05-0.00090695i,0.00057631-0.00088603i,0.00077039-0.0018865i,0.00028644-0.001961i,0.00040739-0.00071874i,0.0016274-0.00051426i,0.0027345-0.00047898i
0.0012677+0.0003781i,0.00039343+0.00031178i,-0.0032756-0.0001775i,-0.0098277-0.0066292i,-0.014589-0.021775i,-0.0083703-0.036587i,0.0054698-0.035023i,0.012806-0.017382i,0.0088496-0.0030723i,0.0018673+0.00056668i,-0.0021542+0.00079104i,-0.0031669+0.0017632i,-0.0025271+0.0027847i,-0.0016255+0.0020185i,-0.00022932+0.00095831i,-0.00012153+0.00069984i,-0.00080097+0.00084955i,-0.00097315+0.0018118i,0.00016129+0.0025651i,0.00092068+0.0029142i,-0.00029433+0.0027058i,-0.00073482+0.0024523i,6.0489e-05+0.0022452i
-0.0013023+0.002335i,-0.00051464+0.0013687i,0.0043269+0.00066592i,0.014972+0.0018293i,0.02834+0.011011i,0.031183+0.026465i,0.017496+0.033113i,0.0020274+0.022155i,-0.0039515+0.0078046i,-0.0022738+0.0015637i,0.00055819+0.00073788i,0.0020602+0.0015313i,0.0026587+0.00095978i,0.0013676-0.00095244i,-0.00063249-0.0017547i,-0.0012169-0.0017268i,-0.00048525-0.0016555i,0.00059674-0.0006723i,0.001362+0.00047946i,0.0013189+0.00073217i,0.0010072-0.00043811i,0.0013013-0.0013318i,0.00025678-0.0013208i
0.00028878-0.0019521i,-0.00075199-0.00038282i,-0.0036064+0.0031625i,-0.013204+0.0072013i,-0.03072+0.0045785i,-0.041301-0.0080408i,-0.03163-0.020578i,-0.012878-0.020662i,-0.0007497-0.01215i,0.0026566-0.0044295i,0.0014763-0.0016916i,0.0012798-0.0026009i,0.00047072-0.0040832i,-0.0010823-0.0041604i,-0.00094414-0.0019014i,-0.00012837-0.00013608i,0.00087465+8.5008e-05i,0.0021036-0.00015349i,0.0026909-0.00090154i,0.0021683-0.0014066i,0.0014093-0.00094704i,0.00085131-0.00046391i,0.001246-0.0002113i
-0.0021115-0.001139i,-0.0013554-0.0013821i,-0.00080401-0.0054349i,0.0055816-0.013516i,0.024354-0.021409i,0.043806-0.018329i,0.04435-0.0026492i,0.027724+0.0087628i,0.01082+0.0081614i,0.002016+0.0028726i,-0.0010032-0.0015109i,-0.0023867-0.0034243i,-0.0029664-0.0033577i,-0.0021305-0.0015365i,-0.0010238-0.00012244i,-0.0011591-0.00025497i,-0.0013732-0.00055994i,-0.0016746-0.00053765i,-0.0020573-0.00014988i,-0.0021989+0.00049312i,-0.0021977+0.00033444i,-0.0019728-0.00053834i,-0.001905+3.9357e-05i
