-0.00073545+0.00057236i,-0.0010366+0.001625i,-0.0022237+0.0041233i,-0.0018304+0.0039405i,-0.001213+0.0026914i,-0.0011364+0.0014879i,-0.00097366+6.4053e-05i,-0.00016998+0.00012068i,0.00039205+0.0011437i,-0.00019611+0.00095664i,-0.00064676-0.000374i,-0.00010068-0.00044762i,0.00051778+0.00022273i,0.0013765+8.9883e-06i,0.001266+0.00029394i,0.0002164+0.00045748i,-0.00013764+0.00010606i,-7.9678e-05-0.00054378i,1.9454e-05-0.00068265i,-0.00012139+0.0008434i,-0.00033738+0.0017928i,-0.00062906+0.0006552i,-0.00018526-0.00024481i
-0.00010155+0.00083113i,-0.0006613+0.0018985i,-0.00062401+0.0026667i,0.00039798+0.0024862i,0.00057943+0.001443i,-0.00083585+0.00071416i,-0.00067359+0.001527i,0.0011335+0.0018675i,0.0015934+0.0016942i,0.0015894+0.00060774i,0.00099033-0.00024289i,-0.00043507+8.5741e-06i,-0.00054715+0.0012065i,0.0001019+0.0022593i,0.00051796+0.0024436i,0.00047436+0.001834i,0.00047376+0.0011132i,-0.00011929+0.00094963i,-0.00051205+0.00014917i,0.000267-0.00027313i,0.00037976+0.00037365i,0.00072999+0.00035275i,0.0010668-0.00055473i
0.00088278+0.00021006i,0.00023439+0.0013739i,-0.00020118+0.0032304i,0.0013966+0.0036134i,0.0019766+0.0016147i,0.0012825+0.00056202i,0.00058038+0.00059883i,0.00034547-0.00029663i,0.00053215-0.0011538i,0.00011728-0.00096082i,-0.00063937-0.00020355i,-0.00061324+0.0008163i,0.00014672+0.0015348i,0.0019106+0.0014929i,0.0024077+0.0010325i,0.0012706-0.00056039i,0.00079154-0.00069039i,0.00089948+0.00016925i,0.00048105-0.00023412i,-0.00025991-0.00062916i,-0.00058566-0.00038501i,-0.0001696-0.00045483i,0.00042911-0.00044143i
0.00049202+0.00021133i,-0.0001184+0.00087896i,-0.0021162+0.0014195i,-0.0027181+0.00054945i,-0.0021095-0.00066882i,-0.0026345-0.00053077i,-0.0015704-0.00019888i,5.2988e-05-0.00038818i,-0.00062528-0.00034666i,-0.0008445-3.2505e-05i,0.00085811+0.00090061i,0.001689+0.0012069i,0.00048421+0.00024832i,-0.00059403-0.00071191i,-0.00065385-0.0012222i,-0.00042042-0.0011518i,0.00066563-0.0010686i,0.00075826-0.0012474i,7.8139e-05-0.00041895i,1.6857e-05+0.00034015i,-0.00012261+0.00051331i,-0.00015865+0.00017947i,-4.6177e-05-0.00024286i
0.00036596+0.0020055i,-0.0011053+0.0030011i,-0.0023261+0.0049481i,-0.0011441+0.0055735i,-0.00088838+0.0035546i,-0.00213+0.0014432i,-0.0028162+0.00052729i,-0.001473+0.00086474i,-0.00042999+0.0019036i,-0.00013407+0.0015305i,0.00061507+0.0002215i,0.00019029-0.00053504i,-7.8286e-06-0.00011883i,-0.00074454+0.00074457i,-0.0011492+0.00090169i,-0.00027378+0.00026771i,0.00070966-0.00085651i,0.00096809-0.0011043i,0.00070568-0.0002834i,0.0003386+0.00084296i,-0.00012452+0.00074119i,-0.00058651+0.00013194i,-0.00062545-0.00036771i
0.00039369+0.00026983i,-0.0012866+0.0014344i,-0.002274+0.0041195i,-0.0015038+0.0049331i,0.0004484+0.0031917i,0.00091326+0.0011892i,0.0006121+0.0011085i,0.00046113+0.0017138i,0.0012389+0.0011751i,0.0014699-0.00043589i,0.00049666-0.0012i,-0.00075373-0.00012279i,-0.0012225+0.0010545i,-0.0012962+0.0016827i,-0.0004513+0.001947i,-0.00020779+0.00088136i,-0.001004-0.00027461i,-0.00084039-0.00017977i,-0.00034154-0.0004122i,1.4692e-05-0.0013186i,-0.00043762-0.00096113i,-0.0011276-0.00055534i,-0.00076756-0.00059289i
0.00017616-7.8249e-06i,-2.3378e-05+0.00091264i,-0.00042389+0.0014231i,0.00015022+0.0013019i,0.0011515+7.7083e-05i,0.00080714+0.00043631i,0.00092405+0.0014536i,0.0015847+6.6896e-05i,0.00098386-0.0010529i,-0.00015071-0.00088905i,-0.00096627-3.3631e-05i,-0.00069788+0.0017129i,-0.0003169+0.0025989i,-1.2954e-05+0.0019581i,0.00059055+0.0010852i,0.00092956+0.00062164i,3.1614e-05+0.00040403i,-0.00010682+6.1466e-05i,6.0503e-05-0.0003233i,-0.00034926-0.00041642i,-0.00036042-3.3657e-05i,-0.0014798+8.2408e-05i,-0.0014749-0.00033268i
-0.00053017+0.00073006i,-0.00091931+0.0014176i,-0.0013144+0.0016489i,-0.0020492+0.0013893i,-0.0027592+0.00051613i,-0.0022-0.00047056i,-0.00085052-0.0008653i,0.00021319-0.001049i,-0.00029984-0.00083029i,-0.00078327+0.00036787i,-0.00038209+0.001259i,0.00073492+0.00093749i,0.0018918+6.3159e-05i,0.0018137-0.00027852i,0.00086379+0.00028025i,2.2617e-05+0.00033164i,-0.00023122-0.00010964i,-0.00040256-0.00040145i,-0.00039719-0.00074668i,0.00024431-0.00064014i,-0.00016029+0.00063852i,-0.00057168+0.0017799i,-7.6253e-06+0.001193i
-0.0019786+0.00084723i,-0.0018996+0.0025275i,-0.002645+0.0052078i,-0.0016332+0.0059184i,9.7265e-05+0.0037583i,0.00040426+0.0011729i,-0.00032831-0.00019382i,-0.0011884-0.0013355i,-0.0012371-0.00061791i,0.00038163+0.0010497i,0.0013436+0.0013442i,0.00028811+0.00049151i,-0.0010533+3.9587e-05i,-0.0015358+0.00016851i,-0.0011036+9.8502e-05i,-0.000673+0.00018783i,-0.00064495-0.00033685i,-0.00097349-0.0007956i,-0.0012503-0.00076443i,-0.00086698-0.00019422i,-1.1754e-05-0.00048101i,0.00042806-0.00078491i,0.00024009-0.00060727i
0.0014401+0.0019875i,-0.00055521+0.002144i,-0.0026848+0.0029241i,-0.0022336+0.0035949i,-0.0016105+0.0023857i,-0.0019405+0.0015465i,-0.002047+0.002205i,-0.0019257+0.0019306i,-0.00079694+0.0010848i,0.00017484+0.00030071i,-0.00032616+0.00015425i,-0.0019241+0.00027633i,-0.0021636+0.00045736i,-0.0012379+0.0013917i,-0.00024621+0.0022729i,9.4169e-05+0.0019703i,-0.00013925+0.0007954i,-3.274e-05-9.8242e-06i,-0.00029143-0.0005178i,-0.00080589-0.00063223i,-0.0011955-0.00068176i,-0.00078163-0.00073542i,0.000259+4.5296e-05i
0.0015642+0.0014121i,0.0002101+0.0033374i,-0.00059758+0.0050769i,-0.00022675+0.004786i,0.00036114+0.0019274i,-0.00082558-1.3832e-06i,-0.0011285+0.0014226i,0.00040154+0.0018996i,0.00015446+0.0003166i,-0.0012289+6.9363e-05i,-0.0015147+0.0010363i,-0.00052163+0.001649i,0.00040654+0.0021476i,0.0011875+0.0022253i,0.0017497+0.0013784i,0.0018151+0.00041453i,0.0016875+0.00045601i,0.0012147+0.00030386i,0.00069335-0.0002679i,0.00045289-0.00025087i,0.00013712+9.3917e-05i,0.00019055+0.00050091i,-0.00017242+0.00047847i
-0.0010138+0.0011527i,-0.0013682+0.0025193i,-0.001306+0.0033538i,3.3714e-05+0.0015643i,0.0011041-0.00026719i,0.00033592-0.001306i,0.00078338-0.0010401i,0.0019604-0.00036392i,0.0014654-0.00057201i,0.000669-0.00022579i,0.00049262+0.00015316i,0.0010852-0.00049094i,0.0020321-0.00096391i,0.0019575-0.0011958i,0.0016449-0.0019444i,0.0012121-0.0016952i,0.0010558-0.00097369i,0.001247-0.00099506i,0.0013228-0.001028i,0.0005186-0.00050567i,-2.2702e-05+3.0323e-05i,0.00050314+0.00015173i,0.00061422-8.6847e-06i
-0.00066317+0.0016781i,-2.1173e-05+0.0019933i,0.00075444+0.0033577i,0.000116+0.0028866i,-0.00045799+0.0012517i,-0.0011677+0.00033056i,-0.0020417+5.1324e-05i,-0.001423-0.00010403i,-0.0003649+0.00060628i,0.0004478+0.0014653i,0.00073335+0.00073595i,0.00018394-0.0008354i,-0.0010119-0.0013708i,-0.0026418-0.00011629i,-0.0033075+0.0003894i,-0.0013703+7.4254e-05i,2.0408e-05+0.00045885i,0.00023857-0.00019887i,0.0004266-0.00097319i,0.00026245-0.0010428i,0.0001762-0.0014337i,0.0004045-0.0014759i,0.00030334-0.0009384i
0.0010206+0.0031079i,-0.00018719+0.0025037i,-0.0016839+0.0031626i,-0.0017841+0.003811i,-0.0012197+0.0029592i,-0.00086824+0.0012437i,-0.00062965+0.0006516i,-0.001182+0.00077835i,-0.0010175+2.1872e-06i,0.00037039-0.00049717i,0.0013164-0.00034214i,0.00047975+0.00017015i,-0.00086153+0.0017289i,-0.0010694+0.003409i,-0.00056706+0.0040709i,-6.9566e-06+0.0034602i,0.00056447+0.0020345i,0.0004367+0.00069895i,0.00026161-0.00032139i,0.00021619-0.0006948i,-0.00021142-0.00010784i,-0.00064514+0.0004213i,-0.0011301+0.00027266i
0.0011291+0.0017791i,-0.00071168+0.0032015i,-0.0013032+0.0046537i,0.00030599+0.0045061i,0.0013311+0.0017827i,-0.00010412-0.00015955i,-0.00099958+0.00081449i,-0.00026188+0.0018274i,0.00045461+0.0011588i,0.00051809+0.00056998i,0.000453+0.00049261i,0.00096534+0.00025021i,0.0022727+0.00079965i,0.0037534+0.0014661i,0.0035107+0.00026572i,0.0027394-0.00064826i,0.0015352-0.00045539i,0.00046788-0.00043476i,0.00010491+8.7938e-05i,9.8386e-05+0.00096056i,-0.00021223+0.0013649i,-0.00061629+0.0013667i,0.0001943+0.00077923i
0.0010941-0.00031335i,-0.00070222+0.0016676i,-0.0023335+0.0039102i,-0.0025401+0.0032548i,-0.0024847+0.0014859i,-0.0016842+0.0011754i,0.0001415+0.0020166i,0.0021035+0.00088451i,0.002308-0.0011945i,0.0011919-0.0020351i,0.0006609-0.0019398i,0.00049464-0.0012577i,-0.00019388-0.00085726i,-0.000437-0.0013178i,-0.0001645-0.0020147i,0.00034376-0.0025608i,0.0011682-0.0021574i,0.0016502-0.0015821i,0.0011526-0.00075887i,0.0011456-6.9552e-05i,0.00089915-0.00011092i,-3.0477e-05-0.00015367i,0.00019474-0.00015022i
-0.00033599+0.0002121i,-0.00061649-0.00072654i,-0.0023963+0.00067344i,-0.0027458+0.0018867i,-0.0021267+0.0020356i,-0.0014286+0.0026988i,-0.00088638+0.0025966i,-0.00057119+0.0018353i,0.00059226+0.0020244i,0.0016978+0.0021435i,0.0020333+0.0012993i,0.00065273-2.2192e-05i,-0.0023491-1.9168e-05i,-0.004084+0.00078388i,-0.0035435+0.0012057i,-0.0017173+0.0016644i,-0.00044211+0.0014885i,-0.00071117+0.00069117i,-0.0012091-0.00013374i,-0.00057978-0.0017258i,-0.00055989-0.0029157i,-0.00098546-0.0031207i,6.3549e-05-0.0022327i
-0.0012818+0.002033i,-0.0018081+0.002089i,-0.0011864+0.0047651i,-0.0010266+0.0050086i,0.00025994+0.0015529i,0.00089312-0.0028665i,-0.00088659-0.0048166i,-0.0024685-0.0036372i,-0.0031428-0.0014253i,-0.0032988-0.00027874i,-0.0020864+0.00071364i,-0.00080764+0.0026611i,-0.0002956+0.0037575i,0.0011889+0.0041656i,0.0025307+0.0044472i,0.0012969+0.0032273i,-0.0012415+0.0014426i,-0.0018692+0.00067785i,-0.001269+0.00028718i,-0.0011421+0.00049558i,-0.00097863+0.00096703i,-0.00082653+0.0015279i,-0.0012035+0.0013671i
-0.0010475+0.00069341i,-0.0027458+0.0022938i,-0.0042477+0.0029376i,-0.0028466+0.0027535i,-0.0014635+0.0013984i,-0.0016318-0.00027585i,-0.0021569-0.00083083i,-0.0016661-0.00056266i,-0.0016895-6.6734e-05i,-0.0019857+0.00062893i,-0.00052518+0.00085255i,0.0014602+0.0006751i,0.0031992+0.0012088i,0.0040714+0.001493i,0.0037596-0.00042156i,0.0029978-0.0018014i,0.001358-0.0013294i,0.00065213-0.0012114i,0.00088683-0.00075196i,0.00016012+0.00038788i,-0.00035522+0.00087295i,-0.00019152+0.00065353i,-0.0002411+0.00070691i
4.83e-06+0.00044892i,0.0011098+0.0026605i,0.0010666+0.0062603i,0.0018009+0.0062092i,0.0025719+0.0040635i,0.002023+0.0019878i,0.0012127+0.00078862i,0.0012017+0.00022623i,0.00025225-0.00063692i,-0.001777-0.00071243i,-0.0016772-5.117e-05i,-0.00085356-0.00021627i,-0.00092568-0.001116i,-0.00055489-0.0018338i,-0.0002035-0.0015675i,-0.00021743-0.0010343i,0.0001846-0.0014187i,0.00013528-0.0011371i,0.00057628-0.00040372i,0.0012316-0.000298i,0.0010557-7.3803e-05i,0.00082581-0.00037289i,0.00038966-0.00025087i
-0.00090787+0.0025195i,0.00010388+0.0016579i,0.0014586+0.0025506i,0.0011695+0.0017253i,0.00055137-0.0010341i,3.5647e-05-0.0021121i,-0.00034966-0.0012662i,-0.00067359-0.0006594i,-0.00042719+0.00058325i,1.1906e-05+0.0021693i,-7.3654e-05+0.0024i,-0.00069067+0.0017276i,-0.0018849+0.0012222i,-0.002996+0.0017044i,-0.0026566+0.0029605i,-0.0015501+0.002588i,-0.0017537+0.0003717i,-0.002413-0.00059131i,-0.0014905+0.00018189i,2.6151e-05+0.00016565i,0.00029337-0.00014047i,6.0048e-05-0.00056907i,0.00010673-0.0012279i
-7.1936e-06+0.0021581i,-0.00088787+0.0015538i,-0.0015296+3.8872e-05i,-0.0014607-0.00050548i,-0.0014232-0.0015793i,-0.0011581-0.0022198i,-0.00058251-0.0017778i,0.0002781-0.0014092i,0.00074665-0.00078759i,0.001535-0.00068811i,0.0024416-0.00062676i,0.0018894+0.0011341i,0.0021275+0.0034744i,0.0028117+0.0043579i,0.0024265+0.0039599i,0.0018049+0.0027348i,0.001449+0.0010793i,0.0016302-0.00025478i,0.0016661-0.00028776i,0.00061926+0.00018695i,-0.00051223+0.00010812i,-0.00061322+0.00023272i,-0.00069646+0.00073795i
0.0014555+0.0011217i,-0.0020393+0.0043515i,-0.0060484+0.0068143i,-0.0057426+0.0072922i,-0.0027934+0.0057313i,-0.0015077+0.0029072i,-0.0015134+0.0010704i,-0.00041858+0.00082428i,0.00039224+0.00047301i,-0.00091957+6.7096e-05i,-0.0007315-0.00074822i,0.0010538-0.0012992i,0.0027358-0.0011145i,0.0033574-0.00097986i,0.0024147-0.00091599i,0.0015163-0.0011371i,0.0015802-0.0012872i,0.0012134-0.00011123i,0.00047351+0.00077145i,0.00065802+0.00098971i,0.00093076+0.00065527i,0.00082093+0.0006793i,0.00078865+0.00073755i
0.0017941-0.0010194i,0.0023936+0.0010219i,0.00082545+0.0034855i,0.0003013+0.0031281i,0.00054646+0.0012413i,0.00015221+0.000932i,-0.00026994+0.001857i,-0.00021951+0.0017672i,-0.0012214+0.00067437i,-0.0030464+3.6266e-05i,-0.0037625-0.00038812i,-0.0033647-0.0016042i,-0.0033822-0.0019497i,-0.0036224-0.001387i,-0.0031953-0.0005767i,-0.0027442-0.00070608i,-0.0019058-0.0016252i,-0.0008841-0.0021967i,-0.0006707-0.0018384i,-0.00034994-0.00044748i,0.00037478+5.275e-06i,0.00055828-0.00058899i,0.00086039-0.00042584i
-0.00058306+0.0012136i,5.049e-05+0.00069536i,0.0014995+0.0013097i,0.0021228+0.0019905i,0.0011582+0.001368i,-0.00042774+0.00099697i,-0.00033981+0.0014022i,1.3073e-05+0.00088089i,-0.00011204+0.00072002i,0.00040883+0.0018113i,-0.0002654+0.0018601i,-0.00078918+0.0013869i,-0.0013033+0.0029765i,-0.0021913+0.0046512i,-0.0016667+0.0047629i,-0.00059296+0.0032854i,-0.00088485+0.001943i,-0.0015528+0.0013757i,-0.00086212+0.00089668i,0.00024393+9.6545e-05i,-0.00017274-0.00033373i,-0.00068023-0.00026463i,-0.00063027-0.00082639i
-0.0008227+0.0013765i,-0.0039114+0.0017521i,-0.0047752+0.0022958i,-0.0029126+0.0019925i,-0.00044991-0.00014572i,0.00096807-0.0013765i,0.001491-0.0010203i,0.0020505+0.00017272i,0.0017017+0.00097008i,0.0011174+0.00083729i,0.0011048+0.00062403i,0.0017856+0.0010908i,0.0027597+0.0022414i,0.0035197+0.0025076i,0.003465+0.001737i,0.0022153+0.00087897i,0.00087246+0.00044835i,0.00021134+0.0007065i,-0.00022622+0.0004145i,-0.00066462-0.00013983i,-0.00063866-3.9843e-05i,-0.00081542+0.00050799i,-0.00063034+0.00059965i
0.0026143+0.0018178i,0.00023305+0.0038812i,-0.0033178+0.0054219i,-0.0031874+0.0040756i,-0.0019294+0.001798i,-0.0029762-0.00027945i,-0.0024588-0.0010555i,-1.2951e-05-0.0019411i,0.00071849-0.0027458i,-5.2577e-05-0.0022087i,-0.0010451-0.0019281i,-0.00069626-0.0025891i,0.00076693-0.0031176i,0.001085-0.00333i,0.00072534-0.0024865i,0.00065421-0.0017688i,0.0010944-0.0012629i,0.00040998-0.00013777i,-0.00037409+0.00022689i,-0.00064158+4.637e-06i,-0.00026329+0.00018553i,0.00082035+0.00086636i,0.00089931+0.0011887i
0.00034049-0.00058001i,0.0017125+0.0022704i,0.00077577+0.0060728i,0.00037561+0.0063045i,0.0013509+0.0034599i,0.00021631+0.00078083i,-0.0013544+0.00053306i,-0.0016036+0.00090051i,-0.0019074+0.00066713i,-0.0021969+0.00052094i,-0.0025823+0.00086166i,-0.0029289+0.00050223i,-0.0038551+0.00012168i,-0.0044847+0.00020055i,-0.00306+0.00066125i,-0.00071909+0.00062164i,0.00054659-9.1812e-05i,0.00013536-0.0006465i,-0.00077452-0.00042106i,-0.00072431+0.00037246i,-0.00039804+0.0001217i,-0.00017074-0.00059253i,5.6282e-07-0.0005547i
-0.0036621-8.6001e-05i,-0.0022811-0.00047082i,-0.00057977+0.0011014i,0.00079287+0.0024273i,0.0021561+0.002038i,0.0021985+0.0010938i,0.0011332+0.00096796i,0.00015984+0.00096953i,-0.0002129+0.0015721i,0.00053101+0.0023505i,0.00059219+0.0029024i,0.00036679+0.0029895i,0.00030943+0.0036962i,-0.00014414+0.0042293i,-0.00053546+0.0027893i,-0.00029475+0.00042562i,-0.00049742-0.0013712i,-0.0009291-0.0014703i,-0.001262-0.00088121i,-0.0012596-0.00021036i,-0.00037237+3.3001e-05i,-0.00030131+0.00025872i,-0.00073486+0.0001093i
-0.0012157+0.00462i,-0.0048107+0.0045853i,-0.00529+0.0030849i,-0.0025809+0.00116i,-0.0010356-0.00069766i,-0.0011861-0.00097754i,-0.00077966-0.00031922i,0.00075598-0.00013021i,0.0022412+6.549e-05i,0.0026704-0.00034486i,0.0017371-0.00052215i,0.00173-0.0011382i,0.0023547-0.00093323i,0.0020267+0.00075236i,0.0014002+0.0012133i,0.00097186+0.00071218i,0.00024193+0.0014075i,-0.0006381+0.0014629i,-0.00033944+0.0005064i,0.00078828-0.00036977i,0.0011642-0.00079161i,0.00027064-0.00050683i,-0.00018388+0.00027626i
0.0025793+0.0021701i,0.00097155+0.0056977i,-0.0011282+0.0072116i,-0.0022456+0.0049565i,-0.0022168+0.0014008i,-0.0019337-0.00040965i,-0.0016091-0.00047072i,-0.00045078-0.00091271i,0.00019312-0.0020385i,-0.0013331-0.0027053i,-0.0015882-0.0016732i,-0.00079775-0.0015772i,-0.00047649-0.0024874i,0.00018073-0.0020454i,0.00072053-0.00113i,0.0014294-0.00038787i,0.00087765+0.00017839i,-0.00019273-6.5222e-05i,-0.00070476-0.00073599i,-0.00075528-0.0012643i,6.6215e-05-0.0010572i,0.00089663-9.0473e-05i,0.0014705+0.00026705i
0.00012578-0.0028957i,0.0024171-0.00010997i,0.0025035+0.0034861i,0.0020634+0.003563i,0.0023728+0.0017581i,0.0013388+0.00073617i,-0.00075722+0.001079i,-0.0012879+0.00075332i,-0.0016821+0.00017652i,-0.0022433+0.0006998i,-0.0024814+0.0018559i,-0.002719+0.0020718i,-0.0022102+0.00169i,-0.0015773+0.0017795i,-0.0008932+0.0011899i,0.00038138+8.7278e-05i,0.0013581-0.00095876i,0.00072043-0.00076223i,-0.00054145+4.1563e-05i,-0.00065981+0.00064097i,-0.00079987+0.00027378i,-0.00084655-2.645e-08i,-0.00038894-0.00034028i
-0.0045642+0.00023869i,-0.0043397-0.0023786i,-0.0020974-0.0011355i,-0.00032847+0.0015283i,0.00023239+0.0015308i,0.00069173-5.4186e-06i,0.00021228+0.00030009i,2.8411e-05+0.0016813i,0.000209+0.0018131i,0.00082548+0.0016834i,0.0015446+0.0016699i,0.0014242+0.0015015i,0.0013+0.0021922i,0.0010682+0.0027179i,0.00034697+0.0022704i,0.00039406+0.001319i,0.00062738+3.2878e-05i,0.00034788-0.00038671i,-0.00017759+0.00035024i,-0.00040524+0.00073917i,-0.00027532+0.00079583i,-0.00028257+0.0004866i,-0.00048388+0.00061383i
-0.0026943+0.005708i,-0.0067145+0.0067904i,-0.0069053+0.0065665i,-0.002367+0.0058102i,0.00075909+0.0038639i,0.00056133+0.0012443i,-0.00010515+0.00023965i,0.00013363-6.7977e-05i,0.0014955-0.00053285i,0.0015894-0.0012374i,0.00021607-0.0017328i,-6.3549e-05-0.001935i,0.00092601-0.0018381i,0.0010319-0.0013228i,0.00070367-0.00040225i,0.00077963+0.00047783i,0.00048578+0.00036975i,-9.817e-05+0.00020612i,0.00010225+0.00011497i,0.0010622+0.00025048i,0.0011414+0.00068317i,0.00059041+0.00015414i,0.00027092-0.00064813i
0.0058174+0.001285i,0.0042086+0.0046952i,0.00074997+0.0071395i,-0.0012394+0.0053807i,-0.0019437+0.0020218i,-0.0018043+0.00049584i,-0.0014859-0.00085745i,-0.001077-0.0014004i,-0.0017162-0.0012185i,-0.0024054-0.00078568i,-0.0023639+0.00033049i,-0.0018621+0.00094872i,-0.0020154+0.00046732i,-0.0024151-0.00030092i,-0.0011523-4.6661e-05i,0.00094457+0.0014315i,0.001725+0.0016131i,0.00093511+0.00043536i,-3.6595e-05-6.6223e-05i,-6.5872e-05-0.00042711i,-0.00016684-0.00083052i,-0.00033409-0.00077921i,8.2633e-05-0.00021668i
0.0020574-0.0037623i,0.0044294-0.004129i,0.0042387-0.0015118i,0.0017916+0.00068421i,-0.00031492+0.00034181i,-0.0010909+0.00015385i,-0.00061061+0.00062258i,0.00037996+0.00079545i,0.00089872+0.0020725i,0.00043645+0.0031085i,0.00077036+0.0029863i,0.00079169+0.0025165i,-0.00072256+0.0016916i,-0.00090368+0.0013779i,-8.9773e-05+0.00082458i,0.00060217-0.00074734i,0.00034426-0.0017059i,-7.8255e-05-0.0016842i,-3.8917e-05-0.00059766i,0.00022073+0.00056965i,-0.00017853+0.00083569i,-0.00040746+0.00013466i,-0.00069103-0.00075939i
-0.0054603+0.0021648i,-0.0064245-0.00017296i,-0.0032058-0.00028479i,0.00012471+0.00068011i,0.00078814+5.2438e-05i,-0.00076784-0.00099632i,-0.0011263-0.00083591i,-3.9005e-05+6.3985e-05i,0.00075387+0.001498i,0.0020231+0.0012997i,0.00229-0.0012457i,0.0025571-0.0013065i,0.002632+0.00085996i,0.0008181+0.0011148i,-0.00076678+0.00086547i,-0.00084135+0.00083573i,-0.00061256+0.0001781i,-0.00052897-0.00051959i,-0.00010792-0.00072273i,0.00031638+0.00020621i,0.00020427+0.00092539i,-6.5722e-05+0.00095191i,-0.00060138+0.0010891i
0.00072343+0.006237i,-0.0033797+0.0074357i,-0.0058881+0.0068964i,-0.003278+0.0047434i,-0.00075382+0.0030785i,-0.00094518+0.0020422i,-0.0010141+0.0012845i,-0.00016906+0.00039934i,0.00024619-0.00087545i,-0.0006428-0.002456i,-0.0012782-0.0021123i,-0.0018851-0.0014104i,-0.0019411-0.0017793i,-0.00079344-0.0011116i,0.00025892-0.00019958i,0.00047044+0.00044345i,0.00025715+0.0006173i,0.00044742+0.00058868i,0.00054875+0.0005007i,0.0005519+0.00052712i,0.00049997+0.00039076i,-7.8551e-05+3.631e-05i,0.00034453+2.3662e-05i
0.005245+0.00061332i,0.0050203+0.0045651i,0.0015757+0.0072358i,6.1379e-05+0.0050229i,-0.00012926+0.0011511i,8.174e-06-0.00046641i,0.00047284-0.00012392i,-0.00077188+0.0001919i,-0.0020443+0.0003296i,-0.0027777+0.0011932i,-0.0027923+0.0023736i,-0.0024388+0.0030008i,-0.0025776+0.0023869i,-0.0027361+0.00095554i,-0.0013881+0.00017289i,0.00028354-4.9214e-05i,0.00064273-1.7553e-06i,0.00028492-0.0002382i,-0.00036188-0.00034496i,-0.00037725-0.00028097i,-0.00010312-0.00010134i,-0.00049197+0.00028495i,-0.00094396+0.0002115i
-0.0018344-0.0042522i,0.0010784-0.0042393i,0.0023725+0.00074167i,0.001873+0.0031591i,0.0024799+0.0011944i,0.0017379-0.00090569i,-0.00017357-0.001035i,-0.00025708-0.00032992i,0.00015305+0.00081893i,0.00091212+0.002769i,0.0027104+0.0032987i,0.0038221+0.001974i,0.0035931+0.002517i,0.0022261+0.0037488i,0.00080714+0.0023611i,0.00059012+0.0005854i,0.00053538-0.00071846i,0.00022504-0.0014269i,-7.6634e-05-0.00094028i,-0.00072041-9.6788e-06i,-0.00069079+0.00092192i,0.00016505+0.0015351i,-9.22e-05+0.0010528i
-0.0057951+0.0021646i,-0.0085533-0.0010566i,-0.0069644-0.0024658i,-0.0037008-0.0017042i,-0.0023775-0.0022717i,-0.002804-0.0028043i,-0.0022486-0.0014088i,-0.00020201-0.00075567i,0.0018213-0.0011693i,0.0029931-0.0021332i,0.0028227-0.0029862i,0.0017066-0.0038396i,0.0013234-0.0034322i,0.0015976-0.0014364i,0.0017148+0.00071773i,0.00058154+0.0017852i,-0.00032082+0.00075967i,-0.00034474-0.00021515i,-0.00054039-0.00043149i,-0.0003315-0.00013547i,0.00036409-0.00018003i,0.00034485-0.00022626i,0.00012676+0.00027271i
0.0024175+0.0085671i,-0.0024593+0.010622i,-0.0047924+0.0092125i,-0.0038318+0.0069654i,-0.0027843+0.0043749i,-0.0024549+0.0021946i,-0.002861+0.0011018i,-0.0028287+0.00044637i,-0.0020251-0.00085115i,-0.0029011-0.0021626i,-0.0042675-0.0022846i,-0.003847-0.0014623i,-0.0033172-0.0010239i,-0.0022586-0.00080674i,-0.00011858-0.00064434i,0.0013742-0.00092625i,0.00089637-0.00060026i,-0.00034865-6.3173e-06i,-0.0010162+0.00014409i,-0.00065505-0.00040758i,-0.00053418-0.00022423i,-0.00050489-0.00033245i,-0.00070129-0.0002541i
0.0067855-0.0021252i,0.0069385+0.0027724i,0.0035485+0.0071565i,0.0014623+0.0052438i,0.0012894+0.0010533i,0.0004758+0.00061306i,-0.00049055+0.0023158i,6.1452e-06+0.00272i,-0.001283+0.001705i,-0.0034478+0.001314i,-0.0035296+0.0024816i,-0.0017174+0.0040955i,-0.00064854+0.0044778i,-0.0013388+0.0032484i,-0.0013295+0.0017444i,-0.00095123+0.00055249i,-0.00072647-0.00094135i,-0.00024399-0.0018069i,0.00012806-0.0016932i,0.00013698-0.00096266i,-0.00011314-0.00040209i,-0.00058559-0.00061053i,-0.0012222+6.563e-05i
-0.0028264-0.0058076i,-0.00026057-0.0081195i,0.0025544-0.005195i,0.0023278-0.0022376i,0.0014181-0.0021063i,0.0010569-0.0018236i,0.0011762-0.00049266i,0.0014374+0.00037739i,0.0016766+0.00090953i,0.0022713+0.0016878i,0.0036355+0.0013723i,0.0045594+1.4928e-05i,0.0040842+0.00012881i,0.0027977+0.00097036i,0.0013036+0.0016109i,4.2844e-05+0.0019033i,-0.00077155+0.001138i,-0.00094522+0.00033975i,-0.00084429+0.00053063i,-0.00017624+0.0010625i,0.00064574+0.0012601i,0.00086504+0.0010762i,0.00049471+0.00087274i
