-0.0030113+0.0020575i,-0.0034187+0.00085635i,-0.0040853-0.00026504i,-0.0031429-6.6583e-05i,-0.0026268+0.0013222i,-0.0016673+0.0016757i,-0.0002649+0.00097611i,0.00074242+0.0008915i,0.0010001+0.00065879i,0.00027793+0.00017473i,0.00019686+0.0001576i,-4.7365e-05+0.00010855i,-0.00047645+0.00047919i,-0.00063925+0.00072431i,-0.0010286-4.5689e-05i,-0.00067273-0.00054678i,9.8266e-06-0.00030636i,0.00023673-0.00048135i,0.00024398-0.0008928i,0.00020857-0.00082469i,6.0955e-05-0.00017539i,-0.00058317+0.0001957i,-0.001263-0.00020594i
-0.00018455+0.0014493i,-0.00082248+0.0011256i,-0.00073006+0.00187i,-2.8977e-05+0.0024628i,0.0012157+0.0017284i,0.0014363+0.00052028i,0.00047426-9.2354e-05i,-6.3006e-05-0.00050448i,-2.92e-05-0.00058926i,7.412e-05+0.0003775i,0.0004666+0.00056974i,0.00040615-0.0001754i,-9.6816e-05-0.00059192i,-0.00043774+9.3802e-05i,-0.00059443+0.0013559i,-5.1293e-05+0.0011705i,0.00034984+0.00072761i,0.00012404+0.00060618i,-2.2578e-05-0.00047474i,0.00041645-0.00088206i,0.00068372-0.00052745i,0.00020519+0.00027318i,-7.3394e-05+0.00045127i
0.00032909+0.0013232i,-9.4598e-05+0.00046837i,-0.0013338+0.00085324i,-0.0013466+0.00063689i,-0.00060974-0.00084874i,3.0473e-05-0.0017146i,0.00034342-0.00077678i,0.00059812+1.7277e-05i,0.00076194-0.00045197i,-0.00025545-0.00037067i,-0.00087015+3.3334e-05i,-0.00097639+0.00049713i,-0.00043443+0.00085295i,5.8552e-05+0.00054106i,-0.00057503+0.00045834i,-0.00042864+0.00091509i,-0.00042231+0.0012997i,-0.0005735+0.00035882i,0.00069025-0.0004916i,0.00056131-5.7284e-05i,-7.563e-05+5.9189e-05i,-7.063e-05-0.00010988i,0.00023577-0.00034646i
0.00032962+0.0013407i,-0.00028039+0.00015866i,-0.00055282+2.5874e-05i,-0.0014562-0.00045664i,-0.0013934-0.00059674i,-0.00038331-0.00059112i,-0.00040661+5.6304e-05i,-0.00064994+0.0003007i,-0.0007004-0.00030256i,-0.00082015-0.00062992i,-0.00071673-0.00036839i,-0.00036978-0.00016612i,0.00032122-0.0001012i,0.00076224-1.5514e-05i,0.00082456-0.00021402i,0.00045471-0.00047142i,-8.1335e-05-0.00054323i,0.00058671-0.00016654i,0.00090435-0.00022701i,0.00055063-0.00089615i,0.00014854-0.00096175i,9.0712e-05-0.00044132i,-0.00010203-0.00041686i
-0.0010562-0.00055028i,-0.0014168-0.0013731i,-0.0015015-0.00075732i,-0.0021472+0.00089525i,-0.001863+0.0010354i,-0.0009176+0.00059691i,-0.00044016+8.5757e-05i,7.3992e-05-0.00060555i,8.858e-06-0.00064799i,-0.00042751-0.00023456i,-0.00032975+0.00069387i,-0.00038121+0.0011733i,-0.00023607+0.00082127i,-0.00059748+0.00036885i,-0.00014125-0.00020901i,0.00047349-0.00047629i,-5.0518e-05-0.00025736i,-0.00044202-0.00079169i,-6.8392e-05-0.00040303i,0.00041095+0.00051483i,0.001249-0.00030989i,0.0011104-0.00092086i,0.00051267-0.00047102i
0.0024518+0.0029627i,0.0023861+0.0023189i,0.0027119+0.0024868i,0.0022805+0.0011251i,0.0019698-0.00024392i,0.0010343-0.0011941i,0.0001814-0.0010297i,0.00076446-0.0008336i,0.0010261-0.00096201i,0.0007493-0.00068121i,0.00051817-0.00021409i,-0.00047182-0.00057354i,-0.00072469-0.000427i,5.3944e-05-9.5023e-06i,5.3134e-05-7.939e-05i,-0.00054731-0.00039451i,-0.00074799-0.0006528i,-0.00011792-0.00058712i,0.00038907-0.000394i,0.00081029+0.00018753i,0.00079598+0.00029788i,0.00043871-4.3723e-05i,2.9765e-05-0.00049382i
0.0001605+0.00070555i,-0.00059005-0.00086184i,-0.0010093-0.00024433i,-0.00065568+0.00098888i,-0.00020809+0.00029712i,-0.00027499-0.00079688i,0.0002561-0.000765i,0.00025438-0.00069032i,-0.00071236-0.00044785i,-0.00075994+0.00065647i,-0.00028914+0.00099217i,0.00024362+0.00028941i,0.00020559+0.00048905i,-0.0012886+0.00097245i,-0.0017718+0.00075648i,-0.00044197+0.00062833i,0.00029726+0.00042334i,-0.00039526+0.00027756i,-0.0001502-0.00014118i,-5.2698e-05-0.0011525i,-0.00051-0.001584i,-0.00028567+0.0003597i,0.0004977+0.001194i
-0.0014485-0.0003363i,-0.00053786-0.00097799i,4.2464e-05-0.00010502i,-0.0012692+0.0006448i,-0.0020978+0.00039773i,-0.0016708-0.00094612i,-0.00075999-0.00064343i,-0.00056844+0.00049005i,-0.00038645-0.00020756i,-0.00049426-6.3727e-06i,-0.00031804+0.00041688i,-0.00023417-0.00033891i,-0.00018087-0.00012219i,8.3527e-05+0.00052215i,-0.00016008+0.00060654i,0.00020258+0.00056621i,5.942e-05+6.2876e-05i,-0.00076734-0.00030885i,-0.0012031-0.00031248i,-0.00029494-0.00022207i,0.0002087+0.00027028i,-5.1704e-05-0.00040124i,0.0002713-0.001016i
0.0027663+6.3775e-05i,0.0029064-0.00093714i,0.0023061-0.00048745i,6.6136e-05-0.00037917i,-0.00084554-0.0014094i,-0.00068338-0.0013784i,-0.00033177-0.00064496i,0.00038163-0.00035767i,0.00096356+3.8397e-05i,0.0012632+0.00014985i,0.00098627-0.00025252i,0.00096581-0.00017816i,0.00056146-7.0552e-05i,0.00041341-0.00032153i,0.00051603-0.00028549i,0.00024329+0.00021185i,0.00038744+0.00029247i,-0.00013188+9.5351e-05i,-0.00080414+8.9631e-05i,-0.00052817+0.00051783i,-0.00066632+0.00034398i,-0.00048631-0.00042836i,0.0007061-0.0010603i
0.0033564+0.00060024i,0.0035254+0.00040572i,0.0024471-0.00076092i,0.0009273-0.0018445i,-6.2161e-05-0.0011959i,-0.00083713-0.00060185i,-0.00069493-0.00040971i,-0.00036052-0.00034865i,-0.00034599-0.00077985i,-0.00015673-0.00030219i,-5.6363e-05+0.00013355i,-9.9874e-05-1.6051e-05i,0.00021899-0.00025064i,0.00053846-0.00017782i,0.00021788+1.3264e-05i,-0.00029543-0.00019001i,-0.00075355-0.00051818i,-0.00068229-0.0010998i,-5.9368e-08-0.0012452i,-0.00046805-0.00089421i,-0.00096463-0.00048591i,-0.00068408+8.0876e-05i,-0.0007989+0.00037308i
0.00022663+0.0016341i,-0.0012396+0.00039945i,-0.00078688+0.0016206i,0.0007737+0.0022718i,0.00047255+0.00059771i,0.00023393-0.00055092i,0.0004124-0.00034104i,0.00035077+0.00029462i,-0.00012651+0.00063288i,0.00025852+0.00038296i,0.0008231+0.00022351i,0.00070307+0.0003375i,0.00021762-4.302e-05i,0.00047767-0.00031871i,0.0010177+3.9046e-05i,0.00080845-0.00020717i,0.00043354-0.00022583i,0.00023507+0.00045117i,0.00039538+0.00078522i,0.00022143+0.00038527i,-0.0002754-9.7223e-05i,-0.00053629-0.00025475i,-0.00090619-0.00075525i
-0.0010365-0.0030162i,-0.00061696-0.0036321i,-0.0019082-0.0036491i,-0.0031138-0.002951i,-0.0028474-0.0020069i,-0.0016969-0.0018481i,-0.00092736-0.0013682i,-0.00050711-0.0004236i,-0.00037106-9.0117e-05i,-0.00030608+0.00058i,-0.00072477+0.00077785i,-0.00089044-3.9886e-05i,-0.00087751+0.00012591i,-0.0008919+0.0005579i,-0.00027501+0.00069157i,7.703e-06+0.00034021i,3.4264e-06-0.00041621i,0.0003622-0.00083942i,0.0011389-0.00072899i,0.0014835-0.00050811i,0.00097951+9.7528e-05i,0.0003039-0.00010099i,0.00037776+4.1214e-05i
0.00069223-0.00091488i,5.0139e-05-0.0017308i,-0.00098355-0.0020656i,-0.0028937-0.00047676i,-0.0028422+0.0026125i,-0.0017821+0.0034944i,-0.00078523+0.0015971i,0.00040481+0.00024881i,0.00058911-0.00012616i,0.00030849-0.00021957i,-0.00037185-0.0003262i,-0.0011717-0.00032176i,-0.0014355+0.00050583i,-0.0011395+0.00037067i,-0.00070451-0.00026334i,-0.00026793+2.0251e-05i,0.00038624+0.00029229i,0.0010957-0.00030806i,0.0012234-0.00043185i,0.00031425+2.7127e-06i,-0.00030914+8.1325e-05i,-6.487e-05+9.2888e-05i,-0.00026219-0.00052212i
0.0014086+8.812e-05i,0.00086379-0.00031796i,0.0016136-0.00075452i,0.00085037-0.0012251i,-0.00021938-0.0016646i,6.3098e-05-0.0017752i,0.00034555-0.001317i,0.00041439-0.00042326i,0.00064373+1.6353e-05i,0.0006111+0.00068968i,0.00024126+0.00122i,2.614e-05+0.00098734i,0.00030561+0.0001991i,0.00028441-0.00060281i,-6.2729e-05-0.00054921i,2.7335e-05+0.00038766i,-0.00031971+0.00095081i,-0.00095139+0.00079484i,-0.00029574+0.00046977i,0.00069806-1.3727e-07i,0.00060425+1.0612e-05i,-0.00018904+0.00031957i,-0.00089921+6.247e-05i
-0.00051207-0.0011685i,-0.0019084-0.0018244i,-0.0028461-0.0014851i,-0.0023116-0.00048406i,-0.0015239+5.8408e-06i,-0.0006879+0.00018404i,-1.7565e-05-0.00031247i,0.00052963-0.00023728i,0.00016772+0.00053144i,-0.00072052+0.0008267i,-0.00073568+0.00051189i,-0.00044271+0.00011698i,-0.00024391-0.00044997i,-0.00056367-0.00020142i,-0.00089382+0.00040101i,-0.00096615+0.0006908i,-0.00058422+0.00048925i,-0.00069204-0.0002918i,-0.00088597-0.00059471i,-0.00062528-8.4827e-05i,-0.00028873+0.00019727i,-0.00050461-0.00041835i,-0.00013561-0.00057634i
9.0539e-05+0.0025772i,-0.00063265+0.0021339i,-0.0009633+0.0022461i,-0.00056647+0.0017286i,-0.00017147+0.00077886i,0.00014718-0.00013217i,0.00013191-0.0002134i,0.0003928-0.00022424i,0.00083951-3.4474e-06i,0.00011822+0.00029058i,0.00030146+0.00050764i,0.00026447+0.00062638i,-0.00040124-0.00020118i,-0.00038478-0.00062971i,-0.00029696-0.00063661i,-2.7122e-05-0.0008284i,0.00031081-0.00044605i,0.00054569+0.00082305i,0.00033748+0.0012932i,0.00014266+0.00027222i,-7.6813e-05-0.00072048i,-0.00046542-0.0010324i,0.00048108+1.5935e-05i
-0.00083011-0.0031249i,-0.0014741-0.0039238i,-0.00020422-0.0026883i,-0.00066248-0.00097065i,-0.0018875-0.00029149i,-0.0014035+0.00076275i,-0.00054343+0.00031252i,0.00051626-0.00083508i,0.00041766-0.0011741i,-0.00049266-0.0010735i,-0.00070058-0.00032861i,-0.00069933+0.00033258i,-0.00018502-9.932e-05i,-0.00055806-0.00013141i,-0.0011726+0.00020063i,-0.00020732+0.0010288i,0.00030446+0.0017113i,8.4051e-05+0.00086621i,0.00054485-0.00010033i,4.4624e-05-0.00029905i,-0.00061272-0.00037728i,-0.0004065+3.5163e-05i,6.8648e-05-1.7341e-05i
-0.00012543-0.00067317i,-0.0013036-0.0024079i,-0.0036207-0.0015923i,-0.0038634-0.00056267i,-0.0018954-0.00067759i,-0.00034561-0.00053615i,0.00012322-0.00075839i,0.00052444-0.0011929i,0.00013322-0.0012871i,-0.00073324-0.00029654i,-0.00095219+0.00061385i,-0.0013596+0.00043836i,-0.0011916-0.00012781i,-0.00081933+0.00016351i,-0.00099045+0.00068758i,-0.00017127+0.00084076i,0.0008136+0.00052128i,0.00076155+0.00062783i,0.00030382+0.00051788i,0.00025242+0.00061013i,-0.00013301+0.00054225i,0.00060956+4.0142e-05i,0.001162-0.00026769i
0.0015083-0.00020044i,0.00050413-0.00014692i,-0.00049253-0.00070848i,-0.0011545-0.00035199i,-0.001199+0.0011662i,-0.0010639+0.00084053i,-0.00014755+3.5637e-05i,0.00053996+0.00027993i,0.0009042+0.00050031i,0.00085977+0.00039068i,0.0001097-0.00012019i,-0.00032015+3.7281e-06i,-0.00083078-0.00035859i,-0.00090786-0.00062197i,0.00018766+0.00016258i,0.00045935+0.00037949i,-0.0004151+0.00015271i,-1.1903e-05-0.00032841i,0.00073558-0.00049458i,0.00067923-0.00034199i,0.00055972-0.0007818i,0.00010326-0.0006415i,-0.00047979+3.7103e-05i
0.00063584+7.5571e-05i,-0.00016335-0.00036756i,-0.00074301-0.00035758i,-0.00099368-0.00044386i,-0.00058847-0.00088028i,0.00024351-0.001003i,-0.00037256-0.00044487i,-0.00051866-0.00012715i,0.00015545-0.00066853i,0.00035222-0.0010668i,0.00036626-0.00038078i,0.00070473+0.00050187i,0.00071323+0.00058534i,4.0641e-05-0.00040101i,-0.00067701-0.00073342i,-0.00075805-0.00020219i,-0.00035392-0.00021869i,-9.2691e-05+0.00028307i,-0.00031234+0.00034417i,-0.0005037-0.00046105i,-0.00047235-0.00098151i,-0.00073584-0.00072804i,-0.00095319-0.00014908i
0.0014464-0.00068016i,9.0653e-05+0.00054939i,-0.0012637+0.0019862i,-0.0019016+0.0011095i,-0.0011406+0.00079797i,-0.00083449+0.00029095i,-0.00067124-0.00023965i,-0.00047398-0.00026055i,-0.00029245-0.00022843i,6.0313e-05+8.0071e-05i,0.00014773+0.0001882i,0.00012185-0.00056295i,-0.0005831-0.00080915i,-0.00133-0.00058333i,-0.001032-0.00088369i,1.1846e-05-0.00092765i,0.00034099-0.00023589i,8.5471e-05+0.00020667i,-1.2932e-05+0.00059456i,-0.00019838+0.0009229i,-0.00010715+0.00029333i,9.0225e-05-0.0009253i,0.0005928-0.00095312i
-7.3491e-05+0.00052162i,-0.00050122-0.00013029i,-0.00088597-0.00016887i,-0.00017372+0.00073121i,-0.00041661+0.00081914i,-0.00037553+0.0010023i,-0.00075842+0.00098376i,-0.000922+0.00062922i,-5.1358e-05+0.00060049i,0.00021+0.0010453i,3.3011e-05+0.00056585i,0.00020865+3.3069e-05i,-8.398e-05+0.0005731i,-0.00070499+0.00033965i,-0.00053657+0.00024623i,-7.0441e-07+0.00067327i,0.00022676+0.00042228i,-0.00051143+0.00017084i,-0.00092165-0.00034168i,-0.0013812-0.0009718i,-0.0015253-0.00065746i,-0.00079741-0.0008538i,6.1947e-05-0.0012045i
0.00026047+0.00016258i,0.00097866-0.00087162i,0.00045731-0.00095576i,-0.00081301-0.00069128i,-0.00077498-0.00092396i,-0.00048223-0.0017799i,-0.00038366-0.0018116i,0.00019165-0.0012455i,-0.00018755-0.00083695i,-0.00077539-0.0001039i,-0.00090104+0.00034675i,-0.00073934+0.00021331i,-0.00038718-0.0005675i,-0.00016327-0.0014267i,-0.00037983-0.001414i,-0.001088-0.00059346i,-0.00045032+0.0002983i,0.00023512+0.00024598i,0.0004647-7.0129e-05i,0.000491-0.00086701i,-0.0004935-0.0010675i,-0.00086215-0.00039929i,-0.00062816-0.000217i
3.31e-05-0.00096664i,-0.00026773-0.00048861i,-0.0011654-0.00082686i,-0.0019096+8.7449e-05i,-0.0022085+0.00064125i,-0.0019803-0.00065036i,-0.00044292-0.00066161i,-9.8337e-05+5.3474e-05i,-0.00066616+9.6289e-05i,-0.00096131+0.00054451i,-0.00094525+0.00025563i,-0.00060866-1.905e-06i,-0.0010217-0.00018558i,-0.0013634+0.00017256i,-0.00076792+0.00046598i,-0.00020883+0.00080009i,-0.00034407+0.0012227i,-0.0004891+0.00057371i,-1.0485e-05-0.00038361i,0.00020656-0.00091941i,-0.00047577-0.0008713i,-5.3098e-05-0.0004461i,0.0013091-0.00047754i
-0.0012724+0.0018099i,-0.0029417+0.00038752i,-0.0027652+0.0018191i,-0.0010911+0.0030528i,-0.00017896+0.0018641i,-2.1751e-05-2.8822e-05i,0.00014495-0.00067877i,-2.6401e-05-0.00059757i,-0.00023017-0.00073138i,-0.00040213-0.00055706i,-0.00071611+0.00036117i,-0.00080142+0.00070984i,-0.00029863+0.00041218i,-0.00022472+0.00036905i,-2.8839e-05+0.00056647i,0.00023617+0.00039686i,4.2364e-05+0.00041938i,0.00065544+0.00047963i,0.00085157+0.00045281i,0.00083632+0.00071059i,0.00072207+0.00070967i,0.00030157+0.00061646i,-5.2618e-05+3.2122e-07i
-0.0010522-0.0027426i,-0.00022746-0.0027497i,-0.0014855-0.0024392i,-0.0020603-0.001631i,-0.0019119-0.00089752i,-0.0015576+6.0826e-05i,-0.0016006+0.00042805i,-0.0017752-0.000174i,-0.001211-0.00093357i,-0.0010736-0.00032317i,-0.00072359+0.00068994i,-0.00042635+0.00045198i,-0.00060971-0.00015977i,-0.0005339+0.00042737i,-0.00040058+0.00065612i,-0.0001259+0.00012892i,3.1565e-05-0.00020826i,-0.00010165+7.4936e-06i,0.00025629-0.00018237i,0.00026286-0.0004892i,0.000314-0.00075429i,0.00081012-0.00085835i,0.00047547-0.00035779i
-0.0016587-0.00082766i,-0.0027179-0.00011439i,-0.0028111-0.00092831i,-0.0023505-0.0016845i,-0.0017327-0.00059344i,-0.00047133+0.00017828i,0.0012998-8.5599e-05i,0.001585-0.00032194i,0.00072014-0.00047139i,0.00060515-0.00055903i,0.00040017-0.000215i,-0.00031015+0.00014184i,-0.00075231+0.00044474i,-0.00057011+0.00068705i,0.00042784+0.00056142i,0.00074882+0.00044222i,-0.00026228-2.6552e-05i,-0.00041598-0.00053962i,0.00032277+0.0003253i,-8.7355e-05+0.00072148i,-0.00031795+0.00038995i,5.3091e-05+9.9405e-06i,0.00042666+4.4065e-05i
0.0029879-0.0022889i,0.0021722-0.00294i,0.0013073-0.002977i,-0.00062872-0.0019136i,-0.0012721-0.00045737i,-0.0010175+0.00019633i,-0.0005003+0.00021153i,0.00061679-0.00016777i,0.00035777-0.00087785i,-0.0007801-0.00078152i,-0.0007082-7.9189e-05i,-9.3354e-05-0.00015226i,-3.5932e-05-0.00020844i,-0.00071937-0.0001137i,-0.00021879+0.00023545i,-0.00025096+0.00021905i,-0.00039513+3.5724e-05i,0.0001421+0.00012657i,0.00034909-0.00029322i,0.00057334-0.0005938i,0.00030377-0.00041458i,1.2933e-05-0.00083543i,-0.0002005-0.00083066i
-0.0021235+7.6538e-05i,-0.0022983+0.0002821i,-0.0025979+0.00091697i,-0.0027727+0.00097267i,-0.0024722+0.00074484i,-0.0017401+0.00034495i,-0.00068728-7.0862e-05i,0.00022791+4.1114e-05i,0.00037903+8.0388e-06i,-0.00019259+0.00012837i,-0.00012398+0.00095352i,0.00036918+0.00068882i,0.00049354-0.00024815i,-0.00020137-0.00035412i,-0.0005477-0.00046348i,-0.00021704-0.0006502i,-0.00015854-0.00046061i,-4.586e-05+0.00034448i,0.00047498+0.0013722i,0.00035001+0.00065804i,-0.00017987-0.00035864i,-0.00013815-0.00022009i,0.00075272-6.2427e-05i
-0.00034279+0.00088235i,-0.00029164+0.0010753i,-0.00050572+0.0025219i,0.00032704+0.0022469i,0.0015429+0.00094219i,0.0013376+0.00027034i,0.00024453-6.0215e-05i,-0.00087334-0.00024551i,-0.0011451-0.00029518i,-0.00026136-0.00056918i,2.0831e-05-0.00048521i,0.00041244-0.00013274i,0.00046529+0.00030779i,-0.00029424+0.00044665i,-0.00076745+0.00066607i,-0.00071505+0.0009985i,-7.3827e-05+0.001566i,0.00069555+0.0012129i,0.00055163+0.00027021i,-0.0004864-0.00062535i,-0.00080354-0.0013219i,-0.00012009-0.00049869i,4.0372e-05+0.0001146i
0.00013711-0.0015971i,-0.0017696-0.0031473i,-0.0030595-0.0026186i,-0.0025073-0.0018771i,-0.0018836-0.0015614i,-0.0014251-0.0015977i,-0.00098035-0.0016517i,-0.00044714-0.0010312i,-8.5113e-06-0.00062607i,-0.00026955-0.00036227i,-0.00070586+0.00057307i,-0.00088428+0.00081821i,-0.00037441+0.00036912i,0.00024533+1.2121e-05i,0.00012043+1.3252e-05i,-0.00018922+0.00021219i,-0.00066527+0.00022938i,0.00043678+0.00024546i,0.0013662+0.00016069i,0.00054529-0.00012412i,-0.00015774-0.00031865i,-0.00011889-7.7274e-05i,-0.00057374+0.00057762i
0.00045403+0.00095025i,0.0002434+0.0010961i,-0.00045345+0.0013576i,-0.00062997+0.00097338i,-0.0007686+0.00049791i,-0.0010281-2.9086e-05i,-0.0010063-0.00081337i,-0.00033417-0.0016206i,-0.00011527-0.0015719i,-0.00043554-0.0012034i,0.00019687-0.00043943i,0.00048751+0.00039102i,-0.00017517+0.00046436i,-0.0002773+0.00065713i,0.00011619+0.00090899i,-8.3254e-05+0.00061894i,-0.00034566-0.00026805i,-0.00015894-0.00084251i,0.00011989-0.00053227i,0.0004241-0.00054576i,0.00011979-0.0010799i,0.00024613-0.00063855i,0.00036273-0.00055797i
0.0023903-0.00069923i,0.0016655-0.00044383i,0.00085371+0.0010109i,0.00016377+0.00061794i,-1.3716e-05-0.0010712i,-1.4497e-05-0.0016071i,4.2461e-06-0.00042992i,-0.00016719+0.00097976i,-0.00017041+0.00060004i,-0.00062217+5.7394e-05i,-0.0010279+0.00016438i,-0.00092461+0.00041668i,-0.00050047+0.00014403i,-0.00033207-0.00036174i,-0.00047754-0.00042302i,-0.0008557-0.00045382i,-0.00037798-0.00040881i,-7.0174e-05-0.00046011i,3.7057e-06-0.0010161i,0.0002483-0.00072054i,0.00021353-0.00072678i,-0.00018776-0.0010856i,0.00044057-0.00048977i
0.001691+0.00010802i,0.0006006-2.6723e-06i,-0.0013166+6.4465e-05i,-0.0022238+0.00018032i,-0.0020554+3.9677e-05i,-0.0012391-2.3925e-05i,-0.00029686-0.00030022i,0.00016794-0.00069995i,0.00022947-0.00098978i,0.00067964-0.00079136i,0.00034564-0.00034939i,-0.00035074-0.00062854i,-0.00027946-0.00041546i,-0.0004637+0.00061665i,-0.00075609+0.00105i,-0.00050526+0.00057211i,-2.6652e-05+0.00030501i,-4.5855e-05+0.00041926i,-9.2591e-05+0.00031436i,0.00027151-0.00023296i,0.00014409-0.00053569i,0.00021612-0.00036807i,0.00046577-0.00041079i
-0.00023303+0.00075575i,-0.00024213-1.7395e-05i,-0.0018873+0.00035754i,-0.0015046+0.00064872i,0.0002121+0.0010059i,0.0011759+0.00015565i,0.0014665+8.1028e-05i,0.00029499+0.00019834i,-0.00054843+8.2067e-05i,-0.0001497+0.00042294i,-2.6412e-05+0.00063356i,-0.00020674+0.00048013i,-0.00019671-0.00049516i,9.5606e-05-0.00072497i,7.7677e-05-0.00014007i,-0.00058862+0.000651i,-0.00051367+0.00087198i,0.0004202+9.2229e-05i,0.00042519-0.00046716i,2.7859e-08-0.0004812i,-0.0005728-0.00063059i,-0.00066431-0.00067809i,-0.00031824-0.00057229i
0.00038506+0.00050127i,0.00067226+0.00067022i,-1.3464e-05-0.00013563i,-0.00082061-0.00055096i,-0.0018427-0.00036418i,-0.0016918-0.0010873i,-0.0010621-0.00063057i,-0.00016089+0.00028458i,0.00077986-0.00037562i,0.00045349-0.00077438i,0.00020309-0.00016456i,-0.00019457-3.3408e-05i,-0.00053664-0.0007177i,-0.0012382-0.00067697i,-0.0019517-0.00047478i,-0.0015421-0.00041674i,-0.0003764-9.843e-05i,-7.1737e-05-7.5782e-05i,0.00029404-1.6705e-05i,0.0010865+1.4982e-05i,0.00076888-6.1952e-05i,0.00042695-0.0003577i,0.00052569-0.00049395i
0.0021583+0.002416i,0.0012076+0.0027532i,3.91e-05+0.0039805i,-0.00042317+0.0036057i,-0.0007664+0.00036935i,-0.0013817-0.0015559i,-0.0012049-0.0001391i,-6.8827e-05-3.2953e-05i,0.00039972-0.00082191i,0.0005527-0.00089846i,0.00051273-0.00075979i,0.00030671-6.3515e-05i,3.6147e-05+0.00051899i,-6.3252e-05+5.5165e-05i,-0.00031887-0.00012923i,-0.00019346-2.94e-05i,0.00034049+0.00042694i,0.00048209+0.00061673i,0.0002443-0.00025145i,8.7627e-05-0.00045143i,0.00044288-0.00078433i,0.00056323-0.00095543i,0.00020923-0.00044868i
0.0011751+0.0017297i,0.000109+0.0010506i,-0.00037726-8.3401e-05i,-0.00038065-0.00029963i,0.00036612+0.00076758i,0.00026421+0.0001424i,-3.629e-05-0.00045785i,0.00041931+0.00010281i,0.0002302+0.00017844i,-0.00015237-0.00074605i,0.00010852-0.0010695i,0.00085664+0.00022801i,0.00047638+0.00071942i,-9.0772e-05+0.00055478i,8.0315e-05+0.0011173i,4.7253e-05+0.0013273i,0.00017955+0.0012563i,0.00081208+0.0016496i,0.00044156+0.001071i,8.4574e-06-0.00019174i,-0.00026194-0.00022454i,-0.00051855-5.5304e-05i,-0.00057108-0.00057169i
-0.0012561-0.0009761i,-0.0017901-0.0017053i,-0.0026715-0.0008267i,-0.0023622+0.00017452i,-0.0017926-0.00010428i,-0.001439-0.00031933i,-0.00066427+0.00022522i,-0.00065997+0.00089328i,-0.0011787+0.0011187i,-0.0010803+0.00016515i,-0.00047175-0.00099345i,0.00033227-0.00053179i,0.00030371-0.00015566i,-1.5053e-05+0.00028277i,-0.00037512+0.00067942i,-0.0005105+0.0005448i,0.00026202+0.00072528i,0.00011763+0.00055868i,-0.00036427-0.00012597i,-0.00037512-0.00036974i,-0.001083-1.6155e-05i,-0.0011027-0.00020742i,-0.0001133-0.0007739i
0.00015855+1.0735e-05i,-0.0010065-0.00070247i,-0.0021017-0.0004668i,-0.0018369+0.0005045i,-0.0011201+0.001346i,-3.3533e-05+0.00092374i,0.00041219+0.00029041i,0.00093319-7.0972e-05i,0.000827+0.00010848i,0.00048542+0.0010164i,-0.00032941+0.0018286i,-0.00083193+0.00083358i,-0.0010322-0.00038374i,-0.00056059-0.00038745i,7.4362e-05-0.00021172i,0.00013237-8.7758e-05i,0.00031823-0.0010443i,0.00058362-0.0012835i,0.00067046-0.00063247i,0.00059475-0.00035793i,0.00070856-7.0778e-05i,0.00047704+8.0484e-05i,0.00021705+0.00064353i
0.0017138+0.0003471i,0.0016195-1.016e-05i,0.0015367-0.0010044i,0.00067733-0.0010606i,-0.00071153-0.00070862i,-0.0019328-0.00077635i,-0.0016758-0.0001296i,-0.00041641+0.00032636i,0.00030565+0.00017101i,0.0002919+0.00033573i,-0.00025195+0.00020475i,-0.00072299-0.00082167i,-0.00018903-0.0014411i,0.00040008-0.00098763i,0.00012414-0.00014974i,4.3021e-05+0.0004129i,0.00033061+0.00034357i,9.2528e-05+0.00024889i,-9.1681e-05+0.00035187i,0.00027022+0.00033187i,9.9687e-05+0.00023124i,-0.00027244+0.00049968i,-0.00026498+0.00047098i
0.0017117-0.0018718i,0.001154-0.0021034i,-0.00032879-0.0016556i,-0.0018362-0.0009644i,-0.0027796-0.00069072i,-0.0021843+1.7968e-05i,-0.0013067+0.00035477i,0.00019398-8.3317e-05i,0.0012621-0.00090515i,0.0004457-0.001109i,0.00020083-0.00064351i,0.00083271-0.00050037i,0.00077834-0.00032558i,-1.8077e-06+0.00023249i,-0.00079255+0.00027425i,-0.00053075+8.786e-05i,0.00024253+8.7146e-05i,-5.7898e-05+0.00015549i,9.1454e-05-0.0002153i,0.00017235-0.00049068i,-4.7511e-05-0.00030671i,0.00019802-4.6455e-05i,0.00030425+0.00021352i
0.0006922-0.00020534i,-4.5234e-05+0.00068381i,-0.00076135+0.0008558i,-0.0012422+0.00085755i,-0.0020839+0.0010625i,-0.0023513+0.000747i,-0.00070175+0.0004655i,0.0003217-0.00018621i,0.00019047-0.00083661i,-0.00070689-0.00037564i,-0.001475+0.00046019i,-0.0012696+0.00024443i,-0.00082544+0.00047151i,-0.00081494+0.00015296i,-0.0006578-0.00011938i,-0.00023647+0.00046872i,-0.0001469-0.00010128i,-0.00082116-0.00046035i,-0.00084789-0.00018336i,0.00045091-0.00011625i,0.0014141-0.00050073i,0.00069953-0.00096898i,0.00016833-0.0012227i
