-0.00046552+0.001595i,-1.2599e-05+0.00017424i,-0.0012643-0.00039655i,-0.0013254-0.0012658i,-0.0014198-0.0005119i,-0.0019736+0.00012545i,-0.0014888+0.00012497i,-0.00025164+0.00090723i,0.00019493+0.0011949i,0.00054034+0.00014872i,0.00092001-0.00096685i,0.00043379-0.0010079i,-0.00056352-0.00076302i,-0.00083338-0.0005889i,-0.0002493-0.00065085i,-7.4359e-05-0.00058594i,0.00026203+0.00023188i,0.00085557+0.00015007i,0.00025558+4.327e-05i,-0.00011554+2.5756e-05i,-0.00013537+0.0001792i,-0.001192+0.00031358i,-0.00086667-0.00026917i
-0.0019538-0.0010968i,-0.0003413+1.7089e-05i,-0.00029349+0.0015107i,-0.00052687+0.0015941i,-0.00045842+0.00069444i,-5.2801e-05-0.00019099i,0.00021029-0.00037121i,-0.00028047-7.2291e-05i,-0.00050186-0.00045513i,-0.00044082-0.00020394i,-0.00041226+0.00036568i,-0.00010294+0.0004531i,1.3443e-05+0.00053567i,-0.00031386+0.00021385i,-0.00021619-0.0003226i,0.00023671-0.00053622i,0.00042079-0.00022533i,0.00030522-0.00027679i,0.00025618-0.00072777i,0.00017494-0.00036247i,1.3606e-05+0.0010665i,-0.0010934+0.0013692i,-0.0013713-3.8203e-05i
-0.00017258-2.0611e-06i,-0.00066406+0.00086477i,7.4349e-05+0.00038532i,0.00087337+0.00025582i,0.00072045+3.6267e-06i,0.0006568-0.00051049i,0.0004312-0.00052471i,-0.00053036-0.00059352i,-0.00087932+3.3783e-05i,-0.00066195+0.00077504i,-0.00051751+0.00069625i,-0.0006301+0.00038205i,-0.00052974+0.00035412i,-0.00062826+0.00070865i,0.00034222+0.00036187i,0.0012718+0.00034875i,0.000775+0.00066444i,0.00031276+0.00024869i,0.00036714+0.00036305i,0.00023188+4.1691e-05i,-0.0001136-0.00050151i,-0.0002262-0.00018518i,-0.00045268+0.00041776i
-0.0013366+0.00059895i,-0.0014969+0.00082976i,-0.0010085+0.00095031i,-0.00052821+0.00098124i,-0.0010216+0.00042971i,-0.00045646+0.00021522i,-0.000493+0.00013643i,-0.0012475+2.3547e-05i,-0.00063742+5.9563e-05i,-3.1087e-05+0.00015446i,-0.00047596-1.4913e-05i,-0.00077862-0.00037767i,-0.00039809-0.00055028i,-2.0868e-05-0.00047889i,-0.0002994-0.00016311i,-0.00017086-8.8827e-05i,-4.362e-05-5.5966e-05i,0.00011607-0.0002487i,0.00048978-0.00054638i,0.00070956+4.2419e-06i,0.00047357+0.00048389i,-0.00056613+0.00043548i,-0.00085798+0.00018394i
-0.0006173+0.00031651i,-0.00045465+0.00094671i,-0.00013648+0.0013591i,0.00020414+0.0011248i,0.00028284+0.00034027i,-0.00043526-0.00091492i,-0.00049921-0.001252i,0.00048722-0.00049179i,0.00056872-0.00027966i,0.00049756-0.0002139i,0.0006119-0.0003347i,0.00032271-0.00038676i,0.00035693-0.00019109i,0.00081754-0.00070311i,0.00058468-0.0010411i,0.00029895-0.00050065i,-0.00022825+3.1253e-05i,-0.00037281-0.00021172i,-0.00045104-0.0001876i,-0.000825+0.00056092i,-0.00035816+0.00087392i,-4.2134e-05+0.0011344i,-0.00048101+0.00060122i
-0.0024806+0.0014199i,-0.0017653+0.0010699i,-4.8458e-05+0.002081i,0.00047368+0.0025717i,-0.00025811+0.0010325i,-0.00071445-0.00078195i,-0.0008316-0.001065i,-0.0010089-0.0004297i,-0.0004549+0.00057574i,0.00035292+0.0013058i,0.00062026+0.00087219i,0.00076093+0.00014089i,0.00053554-0.0002851i,0.00015216-0.00080446i,0.00026941-0.0010279i,0.0010946-0.00057297i,0.0012724+0.00028643i,0.00078643+0.00097645i,0.00059677+3.9774e-05i,0.00059943-0.00085859i,6.0904e-05-0.00081019i,-6.2819e-06+6.7938e-05i,0.00032707+0.00094608i
0.0012471+0.00022232i,0.0019743+0.00049242i,0.0016385+0.00081878i,0.0012444+0.00049748i,0.00066247-0.00059789i,2.9967e-05-0.0010962i,-0.00080913-0.001027i,-0.0012226-0.00030476i,-0.00072243+0.0007703i,-0.001048+0.00035017i,-0.00097281+0.00022274i,-0.00021817+0.00033235i,0.00033495+0.00014977i,0.00025059-0.0002301i,-0.00015585-0.00045852i,-6.532e-05+6.6737e-05i,0.00014367+0.00031281i,0.00050749-7.0713e-05i,0.00095762+5.8205e-05i,0.00095237+0.00055735i,0.00067088+0.00025666i,-0.00030189+0.00031846i,-0.00083264+0.00026918i
-0.0012783+0.0018217i,-0.0014886+0.0018585i,-0.00078634+0.0017344i,0.00027798+0.00061272i,0.00073946-5.6493e-05i,0.00063429-0.00013677i,-0.00031334-0.00073249i,-0.00090288-0.00053372i,-0.00063095+0.00048817i,-0.00049914+0.00062675i,-1.4144e-05-9.1517e-05i,0.00051196+0.00032054i,0.00022351+0.0019936i,-4.4091e-05+0.0024248i,0.00022217+0.00059597i,-0.00013752-0.00097248i,-0.00057684-0.0014486i,-0.00069193-0.0011237i,-0.00045637-0.00087242i,8.2605e-05-0.00057238i,0.00045469-7.9666e-05i,0.00066685-5.3159e-06i,0.00044312+0.00032124i
-0.0017061-0.00097301i,-0.002373-0.00045042i,-0.0024586-4.975e-05i,-0.0017661+0.00047218i,-0.00092004+0.00082598i,-0.00072767+0.00093315i,-0.0007335+0.00021476i,-0.00062292-0.0011388i,-0.00059052-0.00097172i,-0.00043995+0.00032788i,-9.5484e-05+0.00062416i,7.0282e-05+0.00028008i,0.00025307+0.00060177i,0.00067838+0.0011364i,0.00074292+0.00089298i,0.00023484+0.00016236i,0.00023754-0.00024588i,0.00035567+1.7019e-06i,0.00019674+0.00072607i,0.00052918+0.00080764i,0.00064635+5.6362e-05i,-4.4095e-05-0.00052785i,-0.0010836-0.00042886i
-0.0011801-0.00086548i,-0.0011946-0.001838i,-0.00041754-0.0017681i,-0.00032888-0.0017492i,-0.0014672-0.0024359i,-0.0018529-0.0021686i,-0.0012255-0.0011287i,-0.0010009-0.00044702i,-0.00075471-0.00056296i,-0.00014037-0.00034179i,-0.00023662-6.5698e-05i,-0.0010649+0.0001884i,-0.0013407+0.00027969i,-0.00075383+0.00075502i,-1.4748e-05+0.00058379i,0.00057884-0.00067263i,0.00061352-0.00083034i,0.00085012+0.00019934i,0.00030416+0.00091358i,-3.9659e-05+0.00060814i,0.00065706+0.00030118i,0.00087322+2.0604e-05i,0.00049286-0.00014414i
0.0013055+0.0014289i,0.0014932+0.0020067i,0.0017224+0.0016921i,0.00088428+0.00051929i,0.00025927-0.00097562i,0.00023714-0.00077041i,-0.00057836-0.00059283i,-0.0010615-0.00082288i,-6.4569e-05+2.9526e-05i,0.00040356+1.7822e-05i,0.00042777-0.00048322i,0.00087294-4.3154e-05i,0.00084565-2.5031e-05i,0.00019357+0.00040752i,-0.00017505+0.00082616i,-0.00016049-0.00011889i,0.00055684-0.00074493i,0.0010854-0.00019343i,0.00078501+0.00029818i,-3.674e-05-0.00046971i,-0.0001226-0.00079191i,0.00044872-0.00065007i,0.00022498-0.00065266i
-0.0017955+0.0028084i,-0.0011862+0.0032132i,-0.00044705+0.0030171i,-0.00042368+0.0023216i,0.00022573+0.00094891i,0.00019451-0.00087212i,9.4932e-05-0.001749i,-0.00028758-0.0011849i,-0.00072181-0.00081159i,0.00019492-0.00042826i,0.00074749+1.9341e-05i,0.0011787+0.00027954i,0.0013079+0.00018795i,0.00067676+0.00016656i,0.00044297-0.00021695i,0.0006994-0.00054963i,0.00091374-0.00013559i,0.00021493+7.3811e-05i,-0.00069259+0.0002995i,-0.00065596+0.0004766i,-0.00024777-0.00044132i,5.2161e-05-0.00010355i,0.00014285+0.00013114i
-0.0018797+0.0014551i,-0.00068283+0.0015098i,-0.00024682+0.0011345i,-0.00046737-0.00044511i,-0.0010614-0.00093191i,-0.0013198-0.0010594i,-0.00092223-0.001015i,-0.00048965-0.00037448i,0.00012593+0.00029928i,0.00049379+0.00033634i,0.00039355+0.00012081i,-6.6337e-06+0.00048973i,-0.00016391+0.00083023i,-0.00016771+0.0006536i,0.00081227+7.8944e-05i,0.0012624+0.00016088i,0.00034634+0.00044676i,-0.00034064+0.00032311i,-0.00079014+0.0011116i,0.00025187+0.00088665i,0.00097383-4.8218e-05i,2.5175e-05+0.00010318i,-0.00014443+0.00029958i
0.00078945-0.0027587i,-0.0010827-0.003415i,-0.001383-0.002888i,-0.00045109-0.0017591i,-0.00041344-0.00093355i,-0.0009475-0.0003636i,-0.00067713-0.00022343i,-0.0003321+0.00011059i,-0.00060212+0.00055649i,-0.00095394+0.0002515i,-0.00084774-0.00036102i,-0.00050041-0.00045155i,-8.886e-05+0.00061958i,-0.00048029+0.0011651i,-0.00071378+0.00014366i,-0.00042752-0.00016842i,-0.00084771-5.6915e-05i,-0.00055648-0.00027243i,0.00025331-0.00020475i,0.00064958+0.00019942i,0.00048452+0.00025536i,0.00033117+0.00015937i,-0.00024983+0.00014663i
0.0025012-0.00057967i,0.001894-0.00024718i,-4.1418e-05-0.00050933i,-0.00034628-5.8278e-05i,-0.00068823+2.8153e-05i,-0.0020178-0.00083412i,-0.0023084-0.00084331i,-0.00094642-0.0003179i,-3.6963e-05-6.0417e-05i,-0.00020099+0.00013179i,-0.00012109+0.00086429i,-0.00017967+0.00097673i,-0.00032418+0.00096755i,-0.00023727+0.00098943i,9.0729e-05+0.00023476i,0.0001541+0.00040509i,0.00028389+0.00048834i,0.00027816-0.00017757i,9.3456e-05+7.3349e-05i,-0.00038525+0.00052602i,-0.00015414-0.00036874i,0.00030553-0.00089575i,4.1685e-05-8.8778e-05i
-0.0016365+0.0021988i,-0.0022575+0.0023418i,-0.0019205+0.0020444i,-0.00084192+0.00048485i,0.00011811+6.0787e-05i,-0.00012655-0.00022977i,-0.00081466-0.0013583i,-0.0013183-0.0010219i,-0.0012948+0.00058595i,-0.0005963+0.0012438i,3.0749e-05+0.001056i,0.00011164+0.00052484i,0.00017313+1.9174e-05i,-0.00013148-8.5937e-05i,-0.00079679-0.00026096i,-0.0009505+0.00032656i,-0.00088762+0.00093512i,-0.00072781+0.00055837i,-0.00061538+0.00022892i,0.00048413+0.00056726i,0.00096884+0.00094886i,-2.0097e-06+0.0010208i,-0.00074862+0.00024814i
-0.0012346-0.0019041i,-0.00087695-0.0014015i,0.00036466-0.0013741i,0.00032357-0.0010828i,-0.0010709-0.0006374i,-0.0012879+0.00055109i,-0.00024208+0.00082167i,0.00021151+0.00049354i,-0.00033747+0.00055372i,-0.0002881+0.00023051i,-5.9627e-05-0.0005737i,-0.00037072-0.00079658i,-0.00039692+0.00030381i,7.0008e-05+0.00086547i,0.00024789+0.00081891i,0.00015229+0.00063283i,-0.00020398+0.00021998i,-0.00038624-0.00033326i,-0.0001821-0.00013116i,-0.00010101+0.00043604i,-2.8613e-05+0.00016552i,-0.00026282-5.5572e-05i,-0.00039325-0.00042443i
0.00048876-0.0014182i,0.00034571-0.0013241i,0.00011062-0.00031057i,0.00011363+0.00024225i,-0.0003262-0.00027775i,-0.00093634-0.0013674i,-0.00044344-0.00078583i,-0.00034658+0.00068333i,-0.00068501+0.00098104i,3.1163e-05+9.589e-07i,0.00068356-0.00059218i,0.00028822+0.00029967i,9.8912e-06+0.0011698i,0.00027235+0.00089412i,0.00060212-0.000255i,0.00033703-0.00061298i,0.00014751-0.00071653i,0.0002508-0.00051508i,-0.00057565+0.00039048i,-0.00031851+0.00087839i,0.00080154+0.00091135i,0.00039064+0.00042682i,-0.00012112+0.00056273i
-0.00068447+0.00075205i,-0.00098575+0.0010046i,-2.0436e-05+0.0010302i,4.451e-06+0.0009095i,-0.001117+0.00044411i,-0.0016084+0.00060168i,-0.0012745+0.0011143i,0.00048416+0.00062759i,0.0011304-0.00027433i,0.00065033-0.00075656i,0.00078169-0.0011896i,0.0012-0.00095519i,0.00036164-0.00046512i,-0.00068911-0.00017152i,-0.00028116-0.0004946i,0.00066521-0.00041276i,0.00072478-0.00011619i,0.00029363+0.00016546i,-1.6728e-05+0.00016918i,-0.00023028+0.0001924i,-0.00078438+0.00078047i,-0.0012041+0.00071367i,-0.00042583+0.00067558i
-0.0024278+0.0013389i,-0.0031364+0.0018248i,-0.0023925+0.0021925i,-0.0005754+0.0020113i,0.00011516+0.00068899i,-0.00064276+0.00031623i,-0.0009616+0.00048425i,-0.00088423+0.00022315i,-0.00028936-0.00010044i,0.00012689+0.00015223i,-0.00027153+0.00017933i,-0.00037045+0.00050165i,-8.655e-05+0.00061131i,0.00038478+0.00051795i,0.0008239+0.0002973i,0.00028782+8.6244e-05i,-0.00017695+0.00013418i,-8.2009e-05+6.558e-05i,0.0002074+6.2503e-05i,0.00065343-0.00030506i,0.00029911-0.0006417i,6.5211e-05-0.0011652i,-0.00027227-0.0012247i
-0.0022596-0.00026142i,-0.0025583-0.00079355i,-0.002108-0.00036097i,-0.0017163+9.5625e-05i,-0.0012748+0.00017261i,-0.0012759-0.00025374i,-0.0011334+2.6251e-05i,-0.00069565+0.00026382i,2.982e-05+0.00044448i,0.00025364-0.00010494i,8.1379e-05-0.00016679i,-0.00020623+0.00010669i,-2.8434e-05-0.00022581i,-0.00043403-0.00013197i,-0.00053065-0.00014454i,0.0007052-0.00019059i,0.0007161+0.00027931i,-0.00073747+0.0004658i,-0.0010649+0.00018355i,-0.000861+0.00041146i,-0.0010512+0.00031398i,-0.00080337+0.00049002i,-0.00039031+0.00055477i
-0.00041642-0.0025658i,-0.00074284-0.001672i,2.006e-05-0.002182i,0.00085353-0.0016802i,2.9067e-05-0.00044883i,1.667e-05-0.00031432i,-0.00033507-0.00055939i,-0.00060002-0.00063354i,-0.00024201-0.0001756i,-0.00043953+0.0002826i,-0.00049347+0.00072082i,-6.9545e-05+0.00017562i,0.00053011-0.00039414i,0.00037631+5.5367e-05i,-0.00069255-0.00018577i,-0.00046594-0.0010207i,-0.00026598-0.00030232i,-0.00034713-8.3903e-05i,0.00031921+1.179e-05i,8.9079e-05+0.00052124i,-0.00043852-0.00071482i,-0.00017737-0.0011862i,5.8126e-05-0.00025794i
0.0017235+0.00079327i,0.0015734-0.00015683i,0.0016624+0.00034962i,0.00094529+8.7205e-05i,-0.0008904-0.0010619i,-0.0019351-0.00096461i,-0.0014369-0.00079448i,-0.0010373-0.00024712i,-0.00067471+0.00054611i,-0.00070732-2.5221e-05i,-0.00072162-0.00072i,-0.00042427-9.4643e-05i,-0.00057626+0.00073346i,-0.00085008+0.00067261i,-0.00072151+0.00022627i,-0.00054677+0.00020035i,0.00018845+0.00064432i,0.00035436+0.00054201i,-0.00021206+0.00011935i,-0.00012459+0.0001933i,3.9137e-05-5.4887e-05i,-0.0004002-0.00071297i,-0.00045742-0.0013003i
-0.0014955+0.0018486i,-0.00081291+0.0024499i,-0.0015638+0.0021512i,-0.0012022+0.0016967i,-0.00037361+0.00086016i,-0.00022257-0.00080529i,-0.00065541-0.00078028i,-0.00112+3.5844e-05i,-0.00044707+7.8658e-05i,-0.00026604-0.00037546i,-0.00038213-0.00044012i,-0.00013394-0.00028293i,-1.7872e-06+7.9356e-05i,-0.00062484-0.00025371i,-0.0009196-0.00073748i,-0.00019153-0.00093901i,0.00050816-0.0013065i,0.00049628-0.00081851i,0.00036865+0.00016171i,0.00017305-0.00027741i,-0.00072272-0.00089483i,-0.0012225-0.00020322i,-0.00061308+0.00057372i
0.00023741-0.00048685i,-0.0009604-0.00062132i,-0.00049173-0.00076159i,-1.052e-05-0.0011106i,-0.00092617-0.0014572i,-0.0019901-0.001216i,-0.0018495-0.00034513i,-0.0011759+0.00052784i,-0.00085571+0.00013706i,-0.00027668-0.00056189i,-0.00023325-0.00048972i,-0.00024449-0.00042326i,-0.00068457+0.00013197i,-0.0010409+0.0010127i,-0.00057896+0.0012232i,-0.00045792+0.00091969i,-0.0010515+0.00097481i,-0.00066013+0.00049904i,0.00056048+0.0004331i,0.00092127+0.00024952i,0.00057428-7.4033e-05i,4.1393e-05-0.00052882i,-0.00035767-4.6761e-06i
-0.001283-0.00060772i,-0.00039807-0.00077352i,0.00057076-0.0011793i,0.00054427-0.0012288i,0.00023153-0.00092377i,-2.0329e-05-0.00101i,-0.00052964-0.0010458i,-0.0009971-0.00088222i,-0.00031637-0.000624i,0.00033716-0.00036694i,0.00026884+5.9241e-05i,0.00023277+0.00049714i,-4.7173e-05+0.00049771i,9.152e-05+0.00015327i,0.0012-1.1704e-05i,0.0012871-0.00032309i,0.00055304-7.179e-05i,-5.5285e-05+0.00058922i,-0.00029018+0.00042861i,-0.00035059-0.00011526i,0.00022217-0.00086697i,0.00042098-0.0010441i,7.7979e-05-0.00058954i
0.00020405-0.0012253i,0.00025922-0.00046819i,0.00042865+0.0003388i,0.00019199+0.00024553i,-0.00076304-0.00048819i,-0.00082782-0.00077944i,-0.00028954-0.00022531i,-0.00025853+0.00028295i,-0.00051406+0.00028096i,-0.00095365-7.5844e-05i,-0.00065939-0.0004343i,7.1148e-05-0.00056883i,-0.00043484-0.00047345i,-0.00056622-0.00046573i,1.4556e-05+0.00036164i,-0.00052718+0.0010753i,-0.00062358+0.00046446i,-0.00022277-0.00033857i,0.00012933-0.00042593i,0.00010455-0.00023193i,-5.3035e-05-0.0003536i,0.00025693-0.00030462i,0.00011736+0.00013927i
-0.00093364+0.0052588i,-0.0002804+0.004609i,0.00097326+0.0030742i,0.0015463+0.00052318i,0.0016357-0.0015941i,1.0253e-06-0.0025813i,-0.0015385-0.0021251i,-0.0017477-0.00045961i,-0.00091888+0.00052091i,3.118e-07+0.00037775i,-0.00041121-0.00016585i,-0.00074344-6.3487e-05i,-0.00030823-1.8208e-05i,-0.00071305-0.00056916i,-0.00096839-0.00077059i,-6.8773e-05+8.803e-05i,0.00027065+0.0007723i,0.00050189+0.00054219i,0.00046945+0.00049024i,-8.9417e-05+0.00048985i,0.0001705+0.00063373i,0.00038477+0.00081243i,-6.9199e-05+0.00087079i
-0.0022562+0.0019912i,-0.0020188+0.0023874i,-0.00069021+0.0016221i,0.00032051+0.00097876i,0.00045293+0.00039237i,6.4348e-05-0.0007929i,-0.00095865-0.00091239i,-0.00097527-0.00085081i,-3.546e-05-0.00041998i,0.00057994+0.00069208i,0.0002746+0.0007839i,6.9677e-05+0.00040082i,0.0001562-0.00052792i,7.1622e-05-0.00081515i,-5.7661e-05-5.7576e-05i,0.00028899+0.00074242i,0.0003357+0.001125i,-0.0002491-9.8989e-05i,-0.00056438-0.00061409i,-2.5782e-05+0.00035203i,0.00043918+0.00069224i,0.0006814+0.00017464i,0.0010369-4.0511e-05i
-0.00030723-0.0025998i,-0.0006102-0.0024939i,-0.00055271-0.0025677i,-0.00038148-0.0012818i,-0.0004015-0.00040008i,-0.00013522-4.722e-05i,-7.8476e-05-0.00046775i,-0.00039687-0.000579i,-0.00067371-0.00013781i,-0.0006434-0.00034068i,6.4068e-05-0.00052097i,0.00062712-0.00017604i,0.0009831+0.00025663i,0.001239-6.1519e-06i,0.00059642-0.00056557i,0.00032579-0.00067512i,0.00032644-0.0001461i,-4.4699e-05+0.00066275i,2.5313e-05+0.00097041i,0.00027521+8.3943e-05i,0.00057974-0.00043495i,0.000949-8.7378e-05i,0.00087049+0.00020313i
0.00094953+0.00016895i,0.00092174+0.00067456i,0.0006568+0.00089602i,0.0010779-1.7664e-05i,0.0005581-0.00059617i,-0.0012147-0.00055964i,-0.0014522-0.00049382i,-0.000668+5.5025e-05i,0.00022382+0.00037986i,0.0014056+0.00016766i,0.0014319+0.00047442i,0.00033389+0.00073142i,-0.00094003+0.00095804i,-0.0011911+0.0015687i,-0.00091143+0.0011502i,-0.0010219+0.00025764i,-0.00029883-0.0005655i,0.00084575-0.00034908i,0.00050999+0.00089154i,-0.00079694+0.001062i,-0.00066459+0.00067897i,-8.8722e-05+0.00038327i,-0.00010228+0.00041708i
-0.00098944+0.0015316i,-0.0020364+0.0016418i,-0.0027203+0.00065498i,-0.0025602+0.00048012i,-0.0017823+0.00027398i,-0.0011171-0.00054488i,-0.0010528-0.0013746i,-0.00032359-0.00095852i,0.00020684-6.8489e-05i,0.00031045+0.00053717i,-5.8736e-05+0.00040872i,-0.00026738-0.00030638i,-0.00012646-0.0010047i,-0.0004684-0.00071887i,0.00038223+0.00026341i,0.00085252+0.00099996i,0.00055333+0.0013025i,0.00092387+0.00079854i,0.00053811+8.2637e-05i,1.3678e-06+0.00040804i,-1.362e-05+0.00033591i,-0.00014346-8.8415e-05i,-0.00023421+0.00058766i
-0.00060332+0.0003099i,-0.0003288-0.00013735i,0.00018616-0.00069944i,-1.959e-06-0.00077862i,-0.00057616-0.00074335i,-0.00056501-0.0011744i,-0.00062126-0.00097463i,-7.3009e-05-0.00015678i,0.00028499+0.00026256i,0.00037819+0.00027744i,0.00069422+0.00049967i,0.0005134+0.0013516i,-0.00037412+0.00069607i,-0.00050714-0.0007763i,0.0005563-0.0011127i,0.0010192-0.0014064i,0.00043071-0.00070646i,-0.00024438+0.00015949i,-0.00082206-0.00019529i,-0.0011837-0.00046404i,-0.00064949-0.00021655i,-0.00044449-9.1155e-05i,-0.00049119-0.00012448i
-0.00010931+0.0010215i,-0.00063953+0.0012445i,0.00013586+0.0013846i,0.001139+0.00069882i,0.00064599-0.00016498i,0.00070902-0.00044494i,0.0004808-0.00058182i,-0.0002425-0.00044828i,-0.00073059-0.00012083i,-0.0012247+3.6595e-05i,-0.00099439-3.845e-06i,9.1937e-05+0.00016297i,0.0010265+0.00074279i,0.00089183+0.00057853i,0.00034255+0.0001689i,0.00018654-4.7603e-05i,0.00038438-0.00074406i,0.0005948-0.0007678i,0.00087439-0.000333i,0.00050819-0.00064922i,-0.0006624-0.00038775i,-0.00041365-0.00041369i,-0.00014033-0.00041961i
0.00067635+0.00084768i,-5.4734e-05-0.00011212i,-0.00037238+1.8881e-05i,0.00019148+0.00047279i,-0.00034296+0.00020875i,-0.0014469-0.00082586i,-0.001457-0.0014228i,-0.0012638-0.0011766i,-0.00085532-0.00054415i,-0.00040541+0.00033911i,-6.3614e-05+0.00036734i,-0.00020362-0.00041128i,-0.00014441-0.00055082i,9.7033e-05+0.00037526i,-0.00046741+0.0012278i,-0.0014263+0.00083836i,-0.0016005+3.6975e-05i,-0.00026069-0.00014317i,0.00041271+1.6814e-05i,0.00091497+0.00026269i,0.0010403+0.00055941i,-0.0001959+4.6794e-05i,-0.00063379-0.00024454i
-0.0049761+3.1903e-07i,-0.0043951+0.00064821i,-0.0031756+0.0019229i,-0.00023845+0.0013121i,0.0015005-7.9049e-05i,0.0010862-0.00070392i,0.00047623-0.0008582i,-8.7222e-05-0.00079976i,-0.0008106-0.00027225i,-0.00079476-0.0001492i,-0.00056457-0.00038167i,-0.00028834-0.00062816i,0.00028501-0.00024376i,0.0005656-6.8392e-05i,0.00096627-0.0010946i,0.00052429-0.0010828i,-0.00049765-0.00033296i,-0.00093869-0.00047657i,-0.00027621-0.0011232i,2.36e-05-0.00077507i,-0.00065218+0.0005917i,-0.00093006+0.00072282i,-0.00033352-0.00015942i
0.0013944-0.00095756i,0.00069277-0.00033752i,-0.00033411-0.00011091i,-0.0010703-0.00033792i,-0.0015251-0.00040626i,-0.0017523-0.00046881i,-0.00098327-0.0010475i,0.00013836-0.00069498i,0.00018537-0.00057965i,-0.00023692-0.00062327i,-0.00012475+3.4803e-05i,0.00042759-0.00014156i,3.4555e-06+0.00035296i,-0.0010012+0.0012875i,-0.00094754+0.0010322i,-0.0002031+0.00058087i,5.5868e-06+0.00067381i,0.00010648+0.00083186i,0.00012077+0.00053949i,-0.00023247+0.0005175i,-0.0005896-0.00018135i,-0.0010087-0.00061215i,-0.00063787-0.00011289i
-0.0015395+0.0020189i,-5.1386e-05+0.0016552i,0.00057776+0.0010647i,0.00048123+0.00056198i,0.001016+0.00062544i,0.00092934-0.00018902i,5.3619e-05-0.0011309i,-0.00079595-0.0012884i,-0.00075054-0.00060297i,-0.00040187+6.5679e-05i,-0.00029091+4.4406e-05i,-0.00025482+0.00019615i,-0.00024642+0.00067658i,-0.00018046+1.5894e-06i,-6.6689e-05-0.00035386i,-2.9499e-05+0.0001422i,-9.069e-05-0.00022965i,-0.00018262-0.00025501i,-0.00028944-0.00010497i,-0.00012049+0.00028334i,-0.00038989+0.00099919i,-0.0007211+0.00075377i,-0.00051544-0.00037451i
-0.00030797+0.0032028i,-9.9328e-05+0.003578i,0.0011017+0.0022847i,0.0014795+0.00043904i,0.0012499-0.0016651i,-0.00037882-0.0031278i,-0.0017644-0.0024866i,-0.0013233-0.00099516i,0.00010305-0.0001337i,0.00067502-0.00032649i,1.5445e-05-0.00014296i,-0.0002674+0.00045511i,-0.00058478+0.00047141i,-0.00077719+9.105e-05i,-0.00064479-5.4212e-05i,-0.00080804-0.00017948i,-0.00027431-0.00033278i,2.7432e-05-0.00025278i,-0.00025011+0.00062674i,-0.00077085+0.00052525i,-0.00031887-9.5411e-05i,0.00093788-4.8837e-05i,0.00084911+0.00026408i
-0.00085241+0.0012715i,-0.0015493+0.0021704i,-0.0011106+0.0017624i,0.00030861+0.001098i,0.00037561+0.00071329i,-0.00038621-0.00050218i,-0.00026891-0.0014781i,-0.00018496-0.0016239i,-0.00020371-0.00080619i,0.00016893-8.5269e-05i,0.0001144+0.00057832i,0.00026109+0.0011887i,0.00050884+0.00053295i,0.00059996-0.00055044i,0.00024619-0.0017205i,-0.00034205-0.0015454i,-0.00040103-0.00015945i,-0.00081345+0.00081384i,-0.00068514+0.00038347i,-0.00027651-9.0258e-05i,-0.00067592+0.00026162i,-0.00030132-0.00026426i,0.0007667-0.00042112i
-0.0029236-0.00035632i,-0.0040173-0.00023972i,-0.0029054+7.29e-05i,-0.00070357+0.00021035i,0.00062433+0.00094902i,0.0005454+0.00071875i,0.00015817-0.00027314i,0.00033366-0.00076235i,0.00096341-0.0010863i,0.00067426-0.00077526i,-0.00015309-0.00076421i,-0.00050288-0.00083464i,-0.00021259-0.0010521i,-0.00034267-0.00095046i,-0.00049364-0.00049671i,-0.00013964+2.0675e-06i,0.00022647-0.00016822i,-0.00037191-0.00077191i,-0.00028084-0.00079701i,0.00036756-0.00011459i,0.0002132+0.00089022i,-0.00017023+0.00097771i,-0.00061412+0.00031258i
0.0024889-0.0026279i,0.00094016-0.0034809i,-0.00065011-0.0034183i,-0.001564-0.0025856i,-0.0022523-0.0012557i,-0.0027931-0.00012006i,-0.0027931+0.00042606i,-0.0012546+0.00038214i,0.0006472+0.00039593i,0.00097369+0.0003927i,0.00090095+0.00022481i,0.00066753+0.00021892i,0.00013258+0.00065524i,-0.00051614+0.00059557i,-0.0013594+0.00038017i,-0.00091344+0.00055794i,5.4938e-05+0.00042545i,0.0001739-0.0001028i,9.2017e-05-1.7028e-06i,0.00011424+0.0010181i,0.00025465+0.00058662i,0.00078517-0.00046222i,0.00078982-0.00043568i
-9.4072e-05+0.00029245i,0.00048894+0.0009453i,0.0011462+0.00044896i,0.0008228-4.7486e-05i,0.00033187+5.2499e-05i,-0.00067774-0.00020267i,-0.00097426-0.0011188i,-0.00045262-0.0013249i,-0.00058016-0.00094683i,-0.0010345+0.00029819i,-0.00078803+0.0005198i,-4.7869e-05+4.3448e-05i,0.00052102+0.00031146i,0.000721+0.00076987i,-0.00012584+0.00084692i,-0.00042607-0.0001028i,0.00011004-0.00068133i,0.00069067-0.00013816i,0.001125-5.7207e-06i,0.00088225+3.3963e-05i,0.00046668+0.00039801i,-8.9555e-05+0.0001475i,-0.00058122-7.6766e-05i
