-0.0029905+0.0018308i,-0.0021124+0.00072399i,-0.0017219+0.0012898i,-0.001451+0.0016627i,-0.0012468+0.0011924i,-0.00089699+0.00076767i,-0.001027+0.00089421i,-0.00042278+0.0014441i,0.00065571+0.0018978i,0.0021099+0.0012356i,0.0021598+0.00010763i,0.00071608-0.0012945i,0.00012546-0.0019951i,0.00025087-0.0016485i,-0.00020164-0.00046149i,-6.8879e-06-0.00027333i,0.00038178-0.00026314i,0.0003952-0.00020223i,0.00055102-0.00010208i,0.00018178+0.00019457i,-0.0001098+0.00020269i,0.00042339+0.00010385i,0.00054329-0.00016856i
0.00010657+0.0016469i,0.00078387+0.0010836i,0.00046857+0.0010097i,0.00024242-0.00033187i,0.00087105-0.00064912i,0.0010647-0.00042443i,0.00085284+0.00045635i,0.00045383+0.0017227i,6.9881e-05+0.0018747i,0.00012366+0.0011387i,-8.5031e-05+0.00089391i,-0.00030795+0.0010103i,-0.00028126+0.00053413i,-0.00024561+0.00055811i,-0.00018393+0.00044152i,0.00015489+0.00060295i,0.0004968+0.000332i,0.0011483-0.00092921i,0.00066379-0.001067i,-7.5883e-05-0.00038371i,-8.395e-05+0.00015427i,-0.00019199+0.00058666i,7.8239e-05+0.00023573i
-0.00039182+0.00039296i,-0.00070843+0.0011315i,-0.0003495+0.00082286i,0.00074182+0.0010738i,0.00064626+0.00091436i,7.7232e-05+0.00022975i,-0.0003326+0.00040352i,-0.00082158+0.00070224i,-0.0010751+0.00091882i,-0.0012256+0.0010096i,-0.001212+0.00016817i,-0.0012391-0.00064556i,-0.00050878-0.000554i,0.00017876-6.476e-05i,0.00053188+5.9075e-05i,0.00026273+0.00021036i,-0.00038069+0.00027964i,-0.00011496+0.00077412i,-0.00037785+0.0012118i,-0.00077192+0.00023126i,-0.00036158+0.00041866i,-0.00050278+0.0011983i,-0.0011597+0.00078533i
-0.0011526+0.0022771i,-0.00091165+0.0010538i,-0.00043086+0.001628i,0.00053399+0.0012573i,0.0017029+0.00038245i,0.0015919-0.00079673i,0.0009836-0.0013884i,-0.00061477-0.00065474i,-0.00098255+0.00028217i,-0.00022527+0.00055695i,-0.00019886-0.00035137i,-0.00022453-0.0013986i,-0.00018919-0.00088113i,-5.7563e-05-0.00023675i,0.00019817+0.00030961i,-0.00028093+0.00057691i,-0.00054528+0.00083475i,0.00019765+0.00038684i,0.00045531-0.00052073i,-0.00020146-0.0002677i,-0.00025153-0.0002128i,-0.00016469-0.00050758i,-0.00015956-0.00076032i
-0.0010934-0.00072975i,-0.0004805-0.00076123i,-0.00033999-0.00037649i,0.00065691+0.0010313i,0.0012213+0.0010509i,0.00043719-0.00079836i,0.0004614-0.0013475i,0.00087471+1.615e-05i,0.00034287+0.0011274i,0.00030028+0.0012733i,0.001318+0.001145i,0.0015166+0.00039621i,0.0014007-0.00060385i,0.0017868-0.00055451i,0.002315-0.00057869i,0.0020253-0.0012381i,0.00091707-0.0013725i,0.00037126-0.0012084i,0.00019164-0.00088026i,-0.00035172-0.00080162i,-0.00046688-0.0008867i,-0.00067883-0.0006967i,-0.0006681-0.00048363i
0.0020528-0.0010942i,0.0022682-0.0025215i,0.0019854-0.0027177i,0.00019924-0.0029809i,-0.0013259-0.0033543i,-0.0010136-0.0020236i,-0.00027643-0.00010789i,0.00072019+0.00084951i,0.00051611+0.0013284i,-0.00071331+0.0009468i,-0.00045705+0.00073962i,0.00026118+0.00030615i,0.00047256-0.00034576i,0.00074603-5.573e-05i,0.0013496-0.00013464i,0.0012609-0.00074566i,0.0010773-0.00095543i,0.0010041+3.1334e-05i,0.00057129+0.00086297i,0.00038022+0.00039899i,0.00071524+0.00025185i,0.0011194+0.00065965i,0.0010783+0.00028205i
0.0014056+0.0003093i,0.0017408-0.00059399i,0.0023655-0.0011023i,0.0019294-0.00029893i,0.0014446+0.00022573i,0.00081952-0.00054702i,5.1495e-05-0.00070573i,-0.00045698+4.9313e-05i,-0.00056443-0.00018223i,-6.6197e-05-0.00070319i,-0.00043815-0.00067753i,-0.00074099-0.0011152i,-0.00036206-0.0010004i,0.00028597+0.0004611i,0.00035408+0.0016196i,1.6254e-05+0.00097776i,-7.7649e-05+0.00051325i,0.00014195+0.00038124i,0.00060954-8.2621e-05i,0.00035748+0.00022381i,8.9305e-05+0.00046173i,0.0003852-7.2064e-05i,0.00064412-0.00085891i
0.00067517-0.002865i,0.00033091-0.0022141i,-0.00057213-7.7462e-05i,-0.0014974+0.0010601i,-0.0016125+0.00065978i,-0.00093852+0.00036911i,-0.00023747-0.00049019i,0.00030882-0.0010205i,0.00058831-0.00021201i,0.00034592+0.00067074i,-0.00016592+0.00034142i,-0.0002738-0.00047629i,-4.9881e-05-0.0012846i,0.00058345-0.0019906i,0.00050693-0.0015424i,-0.00015894-0.00088165i,-0.00020629-0.00091125i,-0.00011604-0.00101i,0.00030062-0.00034133i,0.00041163+0.00058585i,-0.00047393+0.00023641i,-0.00032436-0.00089519i,0.0013267-0.00046637i
8.0012e-05+0.00044497i,0.00049621+0.00061607i,0.001523+0.00044415i,0.001662+0.00014177i,0.00050832-0.00074717i,0.00014913-0.0012606i,0.00014861-0.00036888i,0.0004456+0.0011416i,0.00087119+0.0015664i,0.00086018+0.00094943i,0.001333+0.00075452i,0.0013298+0.00067535i,0.00064198+0.00024784i,0.00041159-3.851e-05i,2.2324e-05-0.0002695i,-0.00027671-0.0011229i,0.00020511-0.0012971i,0.00051076-0.00087657i,0.00035779-0.0004575i,-0.00025433+0.00014959i,-0.00035989+0.00086825i,0.00051998+0.0013119i,-2.0663e-05+0.00051071i
0.0001574+0.00015967i,0.00094276+4.3259e-05i,0.00065088+0.00076211i,0.00037287+0.00040792i,0.0011491-0.00027903i,0.00047639-0.00023777i,-0.00034945+8.4774e-05i,-0.00057641+0.0013973i,-0.0012788+0.0021571i,-0.00099271+0.0021844i,-0.0002479+0.0025582i,-0.00059539+0.0015422i,-0.00094721+0.0003607i,-0.00044219+4.5884e-05i,0.00028626-0.00057718i,0.00052759-0.00089324i,0.00047443-0.00072829i,-0.00010744-0.00054111i,0.0001345+0.00027975i,0.0003155+0.00057569i,-0.00063818+0.00084885i,-0.0011794+0.00075804i,-0.0010824+7.4854e-05i
0.0022572+0.00050336i,0.00094256+0.0011552i,0.0010044+0.00092758i,0.0021566-0.0010737i,0.0012416-0.0017288i,-0.00075362-0.00093266i,-0.00075659+0.0002772i,-0.00058267+0.0012231i,-0.00031117+0.0013029i,-3.6407e-05+0.00030184i,-0.00029936-0.00088201i,-6.9771e-05-0.0016271i,-0.00017048-0.0011017i,-0.00026042+0.00035263i,0.00036158+0.00060696i,0.0015639+0.00051006i,0.0013797+0.00019606i,0.0008856+0.00027813i,0.00030589+0.00063829i,-0.00031542-3.4504e-05i,-0.00048614-0.00047007i,7.0869e-05-0.0005225i,0.00074256-0.00060127i
0.00012385+0.00042997i,-0.0004282+0.00046636i,9.0572e-05+0.0013412i,0.00071537+0.0010591i,0.00071404+4.8018e-05i,0.00034264-0.0012911i,0.00059936-0.0011991i,0.00040189-0.0001962i,0.00095529+0.00050865i,0.001443+0.0011149i,0.0015491+0.00039811i,0.0013045-0.00013378i,0.00018566-0.00037157i,-0.00059919-0.00032781i,-0.00036184-0.00040205i,-0.00017759-0.00059908i,0.00022184-0.00012848i,0.00056593+0.00067591i,0.00010421+0.001062i,-0.00035644+0.00089557i,0.00060307+0.00071979i,0.0013225+0.00034756i,0.0014552+0.0005814i
-0.0017555+0.0014668i,5.2617e-05+0.0019208i,0.00095745+0.0017137i,0.0016709+0.0012308i,0.0017979+0.00029876i,0.0013955-0.00060979i,0.00072462-0.00021981i,-0.00019641+0.00051993i,-0.00063118+0.0010469i,-0.00026124+0.0012128i,0.0001522+0.0009355i,0.00014938+0.00013015i,0.00058312+0.00023534i,0.0006412+0.00046454i,0.00049531+0.00071128i,0.00048153+0.00035596i,0.00048352-0.00091538i,0.00011029-0.0010166i,-0.00032853-0.00051286i,-1.4589e-05+0.00020633i,-0.00028999+0.00013479i,-0.00020826-0.0010228i,0.00042067-0.0012857i
0.00046706+0.0018795i,0.00031198+0.0010084i,0.0013077+0.00051002i,0.002365-5.8916e-05i,0.0026266-0.00056435i,0.0015852-0.0012235i,-0.00027589-0.00056812i,-0.0011037+0.00047127i,-0.00066383+0.00078228i,-0.00072967+0.00062542i,-0.0010369+0.00032338i,-0.00027185+0.00032048i,0.00056755+7.8803e-05i,0.00018157-0.00026478i,-0.00012538-0.00015815i,0.0002416-0.00037358i,0.0006371-0.00067995i,0.00053433-0.00036849i,-0.0005441+0.00017778i,-0.0014826-0.00023064i,-0.0013129-0.00046719i,-0.00071639-2.6033e-05i,-0.0002468+0.00039004i
-0.00013314+0.00092801i,0.00018894+0.00057959i,-0.00044986+0.00032415i,0.00052359+0.00063277i,0.00083812+0.00085935i,0.0009294+0.00015301i,0.0010789+0.00043912i,0.00049999+0.00072287i,-0.00044173+0.00036711i,-0.00061758-0.00012032i,0.00033792-0.00046611i,0.00020669-0.00076047i,-0.00047951-0.00079716i,-0.00062688-0.00012372i,0.00015151+0.00044063i,0.0010503+0.00015594i,0.0010017-0.00041864i,0.00056924-5.8987e-06i,-0.00048023+0.00021459i,-0.0012181-0.00010326i,-0.00053059-9.4506e-05i,0.00041852-0.00024846i,0.00056806-0.00021968i
0.00039373+0.00072i,-1.1627e-05-0.00031839i,0.0006944-0.00080402i,0.00026433-0.00041444i,-0.00015246-0.00066552i,-0.00020108-0.00024844i,-0.00058913-0.00024016i,-0.00078061-0.00043494i,-0.00057715+0.000401i,-7.9597e-06+0.00098062i,0.00023396+0.00073338i,0.00072929+5.3726e-05i,0.00071657-0.00022932i,0.00023161-0.00015932i,-5.6272e-05+0.00049328i,-0.00029882+0.0011647i,0.00022835+0.00097721i,0.00053844+0.00059468i,0.00018754+0.00058523i,-4.0728e-05+0.00078971i,0.00049136+0.00092583i,0.0010253+0.00067271i,0.00102+0.00059257i
0.0015067+0.00094398i,0.0029341-0.00011796i,0.0039491+0.0010059i,0.0032836+0.00040644i,0.0027096-0.0016152i,0.0013743-0.0022577i,8.2601e-05-0.0015595i,0.00014416+0.00042025i,8.6565e-05+0.0019545i,-0.00023144+0.0018968i,-0.00043213+0.0009682i,-8.655e-05-0.00018541i,0.0010663+6.6636e-05i,0.0009361+0.0012576i,0.00032557+0.0013193i,9.3869e-05+0.00050786i,-0.00029808-4.8382e-05i,-0.00027147-0.0005317i,-0.00039172-0.00062044i,-0.00031966-0.00046736i,0.00036163-0.00040059i,0.0009114+4.8286e-05i,0.0012557+0.00035817i
0.0020514+0.00090282i,0.00097096+0.00037093i,0.00017597+0.0001275i,0.00034624+7.454e-05i,0.00039915+0.00054596i,-5.8836e-05+0.00024452i,-0.00028677+5.935e-05i,-0.00049199+0.0003686i,-0.00097669+0.00091521i,-0.001406+0.00061951i,-0.0010959-3.1104e-05i,0.00048162-0.00013177i,0.0013096+0.00054053i,0.00055984+0.0013823i,-0.00024341+0.00099304i,-0.00040566+0.00023694i,0.00028972-0.00018769i,0.00032829-0.00012957i,-0.0002658-1.7425e-05i,-0.00039532-2.4843e-05i,-0.00037267+0.00030955i,-0.00040196-1.4782e-05i,-0.00021036-0.00033219i
0.0012151+0.001083i,0.0019305-2.9514e-05i,0.0025848-0.0017014i,0.0027497-0.0024439i,0.0021069-0.0028966i,0.00025302-0.0030575i,0.00028806-0.001842i,0.00042992-4.8529e-06i,0.0001931+7.9604e-05i,0.00061374-9.0078e-05i,0.0006553-0.00012352i,-4.2137e-05-0.00054418i,-0.00034276+0.00029155i,-0.00059357+0.0013382i,-4.1177e-05+0.0011007i,0.00051606+0.00028841i,0.0010028-0.00055137i,0.0014239-0.0002166i,0.0012209+0.00017986i,0.00056588+0.00036415i,-4.0538e-05+0.0003477i,-0.00024988-4.1134e-05i,0.00012361+0.0001743i
0.0016085+0.0023185i,0.0026169+0.0017623i,0.0028071+0.001343i,0.002775+0.0017249i,0.0026187+0.00054929i,0.0012327-0.0013981i,-0.0007553-0.0013307i,-0.0013168-8.8937e-05i,-0.00082148+0.0014352i,7.8252e-06+0.0021098i,0.00089583+0.0017149i,0.00077651+0.0006072i,0.00039789-0.00044212i,-0.0001025-0.00040852i,0.00025804+0.00016598i,0.0009886+0.00049837i,0.00094551+0.00059566i,0.00052082+0.00023635i,0.0001101+0.00028855i,5.0263e-05+0.001024i,-1.6525e-05+0.0010133i,0.00018824-0.00035103i,0.00011099-0.00069839i
-1.2178e-06+0.00065304i,0.00090614+0.002072i,0.00039187+0.001759i,0.00031566+0.00049234i,0.00070079+0.00024922i,0.00065293-0.00042601i,-0.00010523-0.00078282i,-0.0011829+9.8665e-05i,-0.0016402+0.00067674i,-0.001318+0.00065506i,-0.001311+0.00037594i,-0.00096358-0.00037906i,-0.0003559-0.00093862i,0.00073578-0.0006758i,0.00088664+8.8253e-06i,-0.00023735-0.00028984i,-0.00087071-0.00025738i,-0.0010189+0.00014832i,-0.00071787-7.939e-05i,-0.00064701-0.00017615i,-0.00077886+0.00027257i,-9.1642e-05+0.00045763i,0.00040332-0.00010995i
-0.0017097-0.0011389i,-0.0031307-0.00011431i,-0.0031286+0.0010835i,-0.0019314+0.0012446i,-0.0011248+0.00050197i,-0.00025411+0.00058666i,0.00052711+0.0010438i,7.4803e-05+0.00049979i,-0.00075057+0.0001378i,-0.00017118-6.1135e-05i,0.00058142+0.00023092i,-0.00025328+0.0005826i,-0.00060322+0.00016362i,5.6484e-06+8.2435e-05i,0.00033119+0.0002927i,0.0007601-0.00016187i,0.00017384-0.00014714i,-0.00059916-0.00024311i,-0.00037125-0.00023655i,-0.00037078+0.00038075i,-0.00080756+0.00035291i,-0.00052797+0.00014391i,-1.7068e-05-0.00021449i
0.0016362-0.002102i,0.0018062-0.0024094i,0.0010663-0.00065196i,0.00065176+0.00038441i,0.00073086+0.00024553i,-0.0004058-0.00031635i,-0.00066618-0.00027278i,6.645e-05+0.00019468i,0.00066687+0.00073082i,0.0013046+0.00075485i,0.0012751+0.0011633i,0.0010909+0.00057525i,0.00060748-0.00055801i,-0.00012526-2.2954e-05i,-0.00025335+0.00019738i,-5.6969e-05-0.00010035i,0.00020987-0.00019886i,-0.00017071-0.00032043i,-0.0002268+0.00012065i,-0.00046866+0.00094814i,-0.00079263+0.00085167i,0.00031872+0.0003939i,0.0011332-6.8444e-05i
-0.0011228+0.00053787i,0.00033468+0.00012477i,0.00087079-0.00067828i,0.0004443+5.9739e-05i,0.00010524+0.00073271i,-0.00091523+0.00026366i,-0.0016703-1.2028e-05i,-0.0012589+0.00063552i,-0.00037742+0.0018391i,0.00044407+0.0020037i,0.001111+0.0015005i,0.00014692+0.00042146i,-0.00056492-0.0011478i,-0.00075494-0.0011664i,-0.00078581-0.00061294i,0.00010412-0.00010661i,0.00066771-0.00020682i,0.00069266-0.00038041i,0.00026992+0.00017086i,-0.00014206+0.00051838i,-0.00012104+0.00045411i,0.00027499-0.00021436i,6.1164e-05-0.00088274i
-0.0025388-0.0013958i,-0.0013784-0.00052521i,-0.0012024+0.00032201i,-0.0010049+0.0010269i,-3.0291e-05+0.0010082i,0.00053677+0.00032577i,0.00017793-0.00020941i,-0.00058427-0.00051712i,-0.0016043+0.00031692i,-0.0015291+0.0014168i,-0.0015112+0.0016073i,-0.001251+0.00061742i,0.00031528-0.00074595i,0.0012744-0.00093464i,0.00067438-4.4165e-05i,-0.00042804+0.00019899i,-0.0010486+0.00018976i,-0.00047743-3.3938e-05i,0.00029035-0.00087222i,0.00032111-0.00107i,-0.00011442-0.0003696i,-0.00030082-3.1637e-05i,-0.00011629-0.00023971i
0.0014704-0.0018617i,0.00017674-0.00033052i,-0.00058904+0.001895i,-0.00056057+0.0019939i,-0.00071903+0.00090946i,-0.000606+0.00021424i,-0.00053918-0.00043329i,-0.00026561-0.00055439i,9.9538e-05-0.00053107i,-5.7996e-05-0.00072478i,0.00055363-0.00036064i,0.0013525-0.00013089i,0.0010078+5.0748e-07i,0.00092628+0.00025733i,0.00031632+0.00049036i,0.00047928-6.7449e-05i,0.0018946-0.00085927i,0.002093-9.4024e-05i,0.00073434+0.00090926i,-0.00058478+0.0001346i,-0.00068898-0.00024048i,-0.00053552-0.00011107i,-0.00014711+0.00013856i
0.0025516-0.00036535i,0.0016425-0.0020764i,0.00072178-0.0030415i,0.00031476-0.002935i,-0.00017206-0.0017133i,-0.00064966-1.5312e-06i,-0.00089088+0.00096327i,-1.1507e-05+0.0010288i,0.00057149+0.0013952i,0.00041949+0.0018947i,-5.2335e-06+0.001164i,-0.00070467+0.00016581i,-0.0008474-0.00028345i,-0.00066427+0.00010088i,-0.00016051+0.00064028i,-3.3541e-05+0.000453i,-0.00061835-0.00036123i,-0.00070226-0.00063064i,-0.00055567-0.00029181i,-1.69e-05+0.00020452i,0.00066466+0.00082861i,0.00086214+0.0010452i,0.00081276+0.00056218i
-0.00031428+0.0011744i,0.00039335+0.0012688i,0.00076526+0.0014196i,0.00027541-9.4679e-06i,0.0008813-0.001524i,0.0003838-0.0017973i,-0.00062663-0.00063613i,-0.00096823+0.00088767i,-0.00064584+0.0014488i,-0.00012033+0.0018081i,-0.00053971+0.0014875i,-0.0017729+0.00076983i,-0.0024568+0.00020518i,-0.0016616-0.00029323i,-0.00073833-0.00035554i,5.8991e-05+0.00014143i,0.00040968+0.00032649i,0.00040938+6.621e-05i,0.00030879-0.0004666i,-0.00016859-0.00052707i,-0.00069918+0.00022012i,-0.00095396+0.00042976i,-0.00064486+0.00024537i
0.0014701-0.00010174i,0.0009033+0.00055284i,8.8565e-06+0.0014883i,0.00048827+0.001362i,0.0014824-0.00011497i,0.00064727-0.00091176i,-0.0011031-0.0012451i,-0.0016261-0.0011315i,-0.0011526-0.00057169i,-0.00017435-0.00058061i,5.3549e-05-0.0015272i,-0.00027769-0.0012276i,0.0003341-0.00028046i,0.00067557-0.00034066i,0.00097503+3.4792e-05i,0.0011025+0.00034249i,0.00088438-0.00075531i,0.00087263-0.0010773i,0.00063509-0.00022165i,-0.00032832+0.000504i,-0.0012781-2.5246e-06i,-0.00085367-0.00074267i,0.00057912-0.00077343i
-0.00074117+0.0013831i,-0.00041279+0.0018674i,0.00012691+0.0025875i,0.00062127+0.0025061i,0.0014031+0.0013335i,0.0013999+0.00042493i,1.4076e-05+0.00050565i,-0.00039984+0.00048548i,0.00014818+4.7852e-05i,0.00049937-0.00040528i,0.00084478-0.00071216i,0.00051559-0.0005265i,0.00037549-0.00040697i,0.00045224-0.00026146i,0.00047871+0.00063783i,-0.00040848+0.00031408i,-0.00099538-0.00053729i,-0.00036349+0.00053751i,0.00030015+0.0010423i,-0.00022204+0.00031926i,-0.00054599+0.0002635i,0.00016916+0.00058605i,0.00078966+0.0003605i
-0.0014208-0.00049143i,-0.0017185-0.00039242i,-0.0018708+0.00065517i,-0.0021551+0.001487i,-0.0024442+0.0002611i,-0.0011843-0.00028717i,0.00043774+0.00033844i,0.00088579+0.0010747i,0.00075141+0.0016116i,0.00085424+0.0011883i,0.00089843+0.00066559i,0.0010792+5.6993e-05i,0.00090876+5.9907e-05i,0.00051272+0.0013131i,0.00037494+0.0018505i,9.7353e-05+0.00067734i,5.7505e-05-0.00048755i,4.1255e-05-0.00049245i,0.0002309-0.0002452i,0.00065379+7.4032e-05i,0.00057351+0.00014135i,0.0003298+0.00091692i,0.00017694+0.0013911i
0.0014117-0.0020142i,0.0017523-0.0018367i,0.0024621-0.0031694i,0.0021539-0.0026159i,0.00025771-0.00094483i,-0.0011045-0.00015603i,-0.00074735+0.00038187i,-0.00027445+0.00072112i,-0.00050395+0.00046982i,-0.0011274+0.0005828i,-0.0018835+0.0011552i,-0.0017431+0.0019081i,-0.001472+0.0023921i,-0.0012289+0.00177i,-0.0010046+7.0256e-05i,-0.00034101-0.00058125i,1.3322e-05+0.000469i,-0.00064052+0.00048568i,-0.00047556+0.00043959i,0.00032096+0.0008309i,0.00062252+0.00089509i,0.00050682+0.0004633i,-0.00039161+5.9351e-05i
0.00024437-0.0017408i,-0.00085985-0.0022563i,-0.0022604-0.0021289i,-0.0030275-0.001423i,-0.0018371-0.0010052i,-0.00088925+0.00032672i,-0.00042047+0.00066345i,0.00026638+0.00018853i,-0.00022456+0.00041682i,-0.0012277+0.00011571i,-0.0013989-0.00020742i,-0.0010239-9.4977e-05i,-0.00011752-0.00070685i,0.00054184-0.001851i,0.00041798-0.0018864i,0.00076379-0.0017488i,0.00078774-0.0017403i,0.00089756-0.0012462i,8.3725e-05-0.00079628i,-0.0010016-0.00054434i,-0.00036291-0.00036226i,0.00035951+0.00019649i,0.00013343-0.00042434i
-0.0027098-0.00040372i,-0.0022608-0.00025059i,-0.0018226-0.00054087i,-0.0016955+0.00033512i,-0.0015904+0.00097312i,-0.00103+0.00061192i,0.00048577+0.0011563i,0.0013921+0.0018206i,0.00078529+0.0013963i,0.00084912+0.00078532i,0.0011731+0.00011512i,0.0013599-0.0011086i,0.0016438-0.0016562i,0.0019376-0.00088584i,0.0015751-0.00043719i,0.00037874-0.00016047i,0.00068685+0.00067762i,0.0011279-5.5837e-05i,0.00069713-0.00022912i,0.00066015+0.00036171i,0.00090843+0.00083364i,0.0012366+0.001604i,0.00044207+0.00070335i
0.0027317-0.0015696i,0.0030764-0.0024461i,0.0022651-0.0027038i,0.0014254-0.0012662i,0.00063576-0.001588i,-0.00011096-0.0019159i,0.00061512-0.00065421i,0.0017549+0.00079634i,0.00099156+0.0015755i,-0.00064985+0.0015695i,-0.00023316+0.0017524i,0.00069836+0.0024464i,0.00064546+0.0026613i,0.001081+0.002424i,0.0011826+0.0025778i,0.00024722+0.0023907i,-0.00049358+0.00085959i,-0.00061615+0.00038341i,-0.000539+0.0010245i,-0.00074784+0.0011068i,-0.00088736+0.00068474i,-0.00049083+0.00013217i,-0.00028016-0.00011107i
-0.00022467+0.0015115i,-0.00052606+0.0016687i,0.00047728+0.0017813i,0.0015706+0.0019696i,0.0019452+0.0011662i,0.0014429-0.00068676i,0.0003338-0.00055249i,-0.00063374+0.0005846i,-0.0011032+0.0013299i,-0.0017192+0.001416i,-0.0016563+0.00073774i,-0.0006398+7.0118e-05i,-0.00081443+0.00037299i,-0.002328+0.0010313i,-0.0019751+0.00046276i,-0.00050534+4.1806e-05i,-0.00012859+0.00051772i,-0.00035154+0.00027511i,-0.0010085-0.0002532i,-0.0018733-0.00015071i,-0.0015358+0.00049635i,-0.00037928+0.0007273i,0.00043862+1.7925e-05i
-0.00060385+0.0028558i,-0.00068802+0.0024617i,0.0004727+0.0014491i,0.0014347+0.00069926i,0.0014737-0.00042282i,0.00079392-0.0011046i,8.6176e-05-0.00028007i,-0.00022958+0.00083773i,4.1484e-05+0.00052952i,0.00035628-0.00027646i,-8.0512e-05-0.00063992i,-0.00053636-0.001009i,-0.00068959-0.0014238i,-0.00087526-0.0022783i,-0.00013051-0.0019957i,0.00037387+9.9235e-07i,0.00013705+0.00092336i,0.00018526+0.00030101i,0.00032504-0.00033539i,0.000418-0.00021677i,0.00022819-3.8711e-05i,0.00054146-2.252e-05i,0.00038049-0.00026315i
0.00137-0.00017647i,0.0011785-0.0013793i,0.00055187-0.0014598i,0.00064199-0.00095239i,0.00069715-0.0007092i,-0.00095406-0.00027579i,-0.0020023+0.00053893i,-0.0006664+0.0012248i,0.00077229+0.0016537i,0.00067265+0.00094197i,0.00076417-0.00037625i,0.0015001-0.0009289i,0.0021684-0.0011214i,0.0027467-0.00061335i,0.0022543+0.00041992i,0.00071229+0.00085105i,-0.00049537+0.0011336i,-0.0005035+0.0011477i,0.0002456+0.00069869i,0.00053505+0.00043948i,-2.5674e-05-5.7813e-05i,0.00032467+0.00040173i,0.0013888+0.00087978i
0.00034652-0.00044132i,4.5903e-05+0.00037892i,-0.00061989+0.00080975i,-0.0010398-0.00034269i,-0.0006532-0.00083051i,-0.0002842-4.1292e-05i,0.00047138-5.359e-05i,0.0013451+0.0005473i,0.00048146+0.0011579i,3.5397e-05+0.0017099i,-0.00011701+0.0024385i,0.00043322+0.0020529i,0.0017904+0.0016808i,0.0014607+0.0015685i,0.00023+0.00064743i,-0.00019333-0.00054141i,6.7916e-05-0.00090757i,0.0002953+7.3585e-05i,-0.00029684+0.0012564i,-0.0011072+0.0010347i,-0.0019261+0.00053345i,-0.0025527-0.0002133i,-0.0015253-0.00079354i
-0.00076563+0.00039995i,-0.0004948+0.00086487i,-0.00093377+0.0010631i,-0.00032113+0.0011712i,0.00065116+0.001336i,0.00065836+0.0010186i,-0.00022433+0.00066927i,-0.00090906+0.00084194i,-0.0011847+0.00091247i,-0.0017718+0.00062288i,-0.00095489-6.4222e-05i,-0.00032096+0.00078261i,-0.00099492+0.0018682i,-0.00099476+0.0017037i,-0.00075641+0.00092006i,-0.00081047+0.00040784i,-0.00086464-0.00010406i,-0.00095872-0.00037806i,-0.0013698-0.00064461i,-0.00084306-0.00071375i,-0.00015447-0.0010264i,0.00031463-0.0014302i,0.00030119-0.0012292i
-0.00016223+0.00027853i,-8.4594e-05+0.00016044i,0.00081027+1.3741e-06i,0.0014368+0.00055898i,0.00062518+0.00032628i,0.00033775-0.0007344i,0.00073229-5.7333e-05i,0.0011261+0.0013053i,0.0014204+0.0011202i,0.0015126+0.00036487i,0.00087392-0.00056049i,3.6677e-06-0.00093035i,-0.00060463-0.00092117i,-0.001246-0.00096055i,-0.001104-0.00037096i,-0.00061663-0.00052793i,-0.00074918-0.00064024i,-0.00083935+4.2488e-05i,-0.00039103+0.00016469i,0.0004243-0.0001389i,0.0010999-0.00019182i,0.0010551-0.00052804i,0.0011174-0.00074829i
-0.00081526-0.00035464i,-0.0013368-0.00044232i,-0.0016896-0.00097354i,-0.00095968-1.8677e-05i,-0.00019651+0.00069677i,-0.00028736+0.00073936i,-0.00097838-6.3539e-05i,-0.00051581+0.00072469i,0.00052841+0.0021787i,0.00046846+0.002322i,7.2708e-06+0.00087418i,0.0004969-0.00066744i,0.0011618-0.0018004i,0.0011125-0.0020191i,0.0007505-0.0011616i,0.00041352-0.00069055i,0.00027831-0.0006264i,0.00043711+7.555e-05i,0.00041301+0.00063669i,-9.868e-05+0.00039382i,3.5668e-07+0.00030765i,0.00032894+0.00059211i,0.00071601+0.0003321i
-0.0022223-0.00097399i,-0.0017376+0.00017627i,-0.00038393+0.0023408i,0.0001935+0.0037161i,-0.00082119+0.0031304i,-0.0013529+0.0012756i,-0.00074349+1.0649e-05i,-0.00064383-0.00011629i,-0.00041789+0.00094836i,-0.00025848+0.0024582i,6.5743e-05+0.0025733i,0.00085157+0.0014272i,0.0012032+0.0014209i,0.0010837+0.0020617i,0.001096+0.0016317i,0.00085451+0.00066076i,-0.0001106-0.00022742i,-0.0002537-0.000375i,-4.7906e-05+0.00015991i,0.00074157+0.00016907i,0.00096701-1.3866e-05i,0.00040363+0.00052311i,-0.00010819+0.00053417i
-0.00028643-7.6345e-05i,-0.00016257+0.00010644i,-0.00056709+0.00052936i,-0.00038531+0.00086939i,-0.00032205+0.0010825i,-0.00042131+0.00087591i,-0.00050164+0.0010865i,-0.00058896+0.00084677i,-0.0010923+0.00027945i,-0.0016498-0.00033148i,-0.0012837-0.00035778i,-0.0014981+0.00025828i,-0.0020587+0.00072146i,-0.0012936+0.0010265i,-0.00096183+0.0011821i,-0.00040891+0.00082552i,-0.00013767+0.00011874i,-0.00068977-3.6625e-05i,-0.00095134+0.00032997i,-0.00084897+0.00045116i,-3.4529e-05+9.7835e-05i,0.00029229-0.00018037i,0.00032929-0.00072071i
