-1.4774e-05+0.0022813i,0.00022722+0.0020507i,0.0005003+0.00079033i,-0.00069345-0.0001961i,-0.0001871-0.00056671i,0.00092771-0.00012184i,-0.00010411-0.00016887i,-0.0010207-0.0001974i,-0.00086214-0.00017462i,-0.00048541-0.00023381i,-0.00051342+0.00012789i,-0.0014766+0.00029069i,-0.0013973+0.00048424i,5.1956e-05+0.00038112i,0.00071539+0.00010764i,0.0006361+2.4223e-05i,0.00021563+9.6448e-05i,0.00016373+0.00051738i,0.00036903+0.0007099i,0.00020929+0.00017264i,0.00010596-5.6172e-05i,-0.00039073+0.00016311i,-0.00061476-7.1506e-05i
-0.00054214+0.00034359i,-0.00088399-0.00051807i,-0.00042865-0.00043434i,0.00028943+0.00016585i,0.00024598+0.0004528i,-2.62e-05-0.00053216i,-0.00037264-0.0013371i,-0.00024668-0.001572i,-0.00048541-0.0016214i,-0.00070231-0.00079317i,-0.00082659-0.00035242i,-0.0010782+5.849e-05i,-0.0012709+0.00018915i,-0.00048928-0.00021207i,0.00071834+0.00034582i,0.00071094+0.00020557i,0.00021126-0.00062001i,-0.00034221-0.00091369i,5.8434e-05-0.00065657i,0.00088561-0.00015099i,0.0010069+0.00032045i,0.00063051+0.00010042i,0.00015147-0.00054016i
0.0011691-0.00187i,0.0019854-0.0015506i,0.0012703-0.0022396i,0.00064366-0.0017734i,4.6598e-05-0.00071008i,-0.00033487-0.000549i,-0.00017863-0.00069483i,-0.00047477-0.0014019i,-0.00081534-0.0010515i,-0.00072479+0.00058122i,-0.00064445+0.00060479i,-0.00076818+0.0006603i,-0.00081331+0.0011709i,-0.00024377+0.00059213i,0.00022695+5.3679e-05i,-0.00034234+4.5265e-05i,-0.00068673-0.00028886i,-2.0909e-05+0.0002846i,0.00054972+0.001052i,0.00049938+0.00077947i,0.00078305+0.0002673i,0.00046661-0.00033888i,4.0571e-05+2.4281e-05i
0.00055808+0.0023691i,0.00056479+0.0021547i,-0.00039788+0.0012247i,-0.00039659+0.00033014i,-0.00054148+4.5658e-05i,-0.00029675-0.00057357i,0.00032306-0.0014099i,-0.00020102-0.0014748i,-0.00040797-0.0009849i,-0.00028306-0.00073503i,-0.00047982-0.00048697i,-0.0014581+0.00035251i,-0.0013732+0.0013157i,-0.00059903+0.0015364i,-0.00011449+0.00084265i,0.00017043+0.00076873i,-2.3638e-05+0.00064528i,0.00024497-0.0006522i,0.0003919-0.0012643i,0.00053511-0.00034988i,0.00033224+0.00054785i,-1.401e-05+0.00024153i,0.00034088-0.00028237i
0.00083893-0.00090699i,0.00087139-0.0019361i,0.00097622-0.0028575i,0.00031421-0.0019256i,-0.00084929-0.00057323i,-0.0010445-0.00010442i,-0.00080385-0.00039464i,-0.00034426-0.0010936i,0.00010131-0.0016173i,0.00036786-0.00139i,-0.00015331-0.00069652i,-0.00062465+9.0222e-05i,-0.00033998+0.00036458i,-0.00058719+0.00037742i,-0.00050185+0.00056047i,-8.6623e-05+0.00095706i,0.00014678+0.00089709i,0.00012091-5.8619e-06i,-3.6026e-05+0.00040184i,0.00044997+0.0011256i,0.00089666+0.00059521i,0.0004354+6.7675e-05i,-0.00049278-0.0006588i
0.0023905+0.00067375i,0.0029514-0.00059137i,0.0019975-0.0016968i,0.00024379-0.0015107i,-1.9524e-05-0.001162i,-5.5609e-05-0.0010765i,-0.0008678-0.0016269i,-0.001072-0.0011821i,-0.00044118-0.00085434i,0.0001696-0.0013262i,8.2683e-06-0.00064171i,-0.00097881-0.00013314i,-0.0014355-7.2477e-05i,-0.00060509+0.0005506i,-0.00010324+0.00055461i,-3.1956e-05+0.00027407i,1.2007e-06+0.00048224i,-0.00020407+0.00053672i,-0.00089594+0.00033433i,-0.0010211-0.00051738i,-0.00035868-0.00062984i,0.00042916-6.874e-05i,0.00057084+0.00021038i
0.000553+0.00037545i,-0.00070959-0.00022618i,-0.0017688-0.00070903i,-0.0020961-0.0012602i,-0.0015718-0.001669i,-0.0006776-0.0015951i,-0.00037232-0.0006553i,-0.00068455-0.00096237i,-0.00092448-0.0011656i,-0.0018647-0.00079887i,-0.0021122-0.00080729i,-0.00068869-0.00017886i,6.7834e-05+0.00017658i,0.00053757+0.00050144i,0.0010387+0.00079306i,0.00049215+0.0011425i,4.7898e-05+0.00094555i,0.00011154+0.00024202i,0.0004683+5.0486e-05i,0.00097193+0.00025378i,0.0010738+0.00028292i,0.00060049-6.1827e-05i,-0.00010069-0.00026494i
-0.0012307-0.00093057i,-0.00063324-0.0010412i,-0.00097611-0.00080368i,-0.00064618-0.00059371i,-0.00075418-0.00036878i,-0.0011348+0.00044734i,-0.00039926-0.0002434i,0.00044654-0.0016171i,0.00046203-0.0012984i,-0.00079987-0.00049324i,-0.0014074-0.00029651i,-0.00105-0.00035508i,-0.0010529+0.00024231i,-0.00078513+0.00076589i,-9.4151e-05+1.2496e-05i,-1.3633e-05-0.00045245i,0.0002099+8.1758e-05i,0.00033062+3.5063e-05i,-0.00017379+7.6987e-05i,9.7028e-06+0.00045779i,0.00021053+4.1221e-05i,0.00019546-0.00081403i,0.00011226-0.00029697i
-0.00073197-0.001906i,-0.00030838-0.0015214i,-0.00030916-0.0012121i,-0.0011443-0.00038534i,-0.0019102+0.0010541i,-0.0010409+0.0012981i,0.00017125+0.0004332i,0.00034399-0.00028429i,-3.1993e-05-0.0012576i,-1.6604e-05-0.0016016i,-0.00040037-0.0002706i,-0.001224+0.00056668i,-0.0014875+0.00043603i,-0.00034055+0.00015209i,0.00056403-0.00023874i,0.00051377+0.0001033i,-0.00019551+0.00087752i,-0.00053667+0.0010255i,-0.00034598+0.00047344i,-0.00021348+6.0367e-05i,0.00010727-0.00019079i,0.00028014-0.00052609i,-8.6564e-05-0.0003005i
0.00032835-0.00061477i,0.00018126-0.0015553i,-0.00064898-0.00077019i,-0.00055094-0.00086526i,-0.0004062-0.0010082i,-0.00031026+0.0003835i,-0.00077331+0.00064764i,-0.00064754-8.1685e-05i,-0.001191-0.00022657i,-0.001715-0.00043605i,-0.00058742-5.3531e-05i,-9.0386e-05+0.00038198i,-0.00036214+0.00081883i,-8.6255e-05+0.0012227i,0.00024299+0.0006997i,7.6761e-05-2.947e-05i,-7.0425e-05-0.00024936i,0.00034692-5.7869e-05i,0.00071622-0.00011963i,0.00078415+0.00041649i,0.00060907+0.00069809i,0.00016419-0.00056998i,-0.00019291-0.00077321i
-0.0007226-0.0010513i,-0.0012693-0.0015337i,-0.001999-0.0023603i,-0.0017991-0.0017231i,-0.000966-0.00063826i,8.4048e-05+0.00012236i,0.00054845+0.00028056i,0.0002784-0.00025089i,0.00028771-0.00055241i,0.00027776+0.00014081i,-0.00062364+0.00061954i,-0.0011338+5.3715e-05i,-0.00067084-8.368e-05i,0.00027739+0.00013393i,0.00096239+0.00025104i,0.00045163-6.1852e-05i,-0.00040253+6.5571e-05i,-0.00040679+0.00095264i,3.4269e-05+0.00065102i,9.2585e-05-0.00043638i,-0.0003421-0.00050303i,3.102e-05+0.00063592i,0.00018525+0.00097634i
-0.00058794+0.00076172i,0.0007625+0.0012135i,0.0012101+0.00094238i,0.0019329+0.0021486i,0.0015387+0.0024444i,0.00057188+0.00031864i,0.00060033-0.0010774i,1.9409e-05-0.0011573i,-0.0005732-0.00062438i,-0.00011948-0.00053944i,0.00015844-0.00030713i,-0.00023203+8.1858e-05i,-0.00044564+0.00044689i,-9.8834e-05+0.0011195i,0.0004041+0.0015006i,0.000358+0.001047i,0.00028515+0.00074887i,0.00014705+0.00056675i,0.0001429+0.00021654i,3.6617e-05+0.0006942i,0.00039612+0.00060875i,0.0010713+0.00027152i,0.0014452-0.00032818i
