0.00034691-0.00059808i,0.00033585-0.0011282i,-0.00080389-0.0013325i,-0.002174-5.4638e-05i,-0.0025211+0.0010069i,-0.0018039+0.0020602i,0.00023695+0.0022951i,0.0014801+0.0017083i,0.0014966+0.0012476i,0.00055384+0.00060398i,-0.00046509-0.00028885i,-0.00027391-0.0005419i,0.00047917-6.0106e-05i,2.7631e-05+0.00075642i,-0.00035932+0.00056148i,0.00054067-0.00021308i,0.00055457-0.00024155i,0.00041862-0.00049607i,0.00017636-4.3456e-05i,-0.00010993+0.00068959i,7.6633e-05+0.00066598i,0.00010404+0.00056244i,6.2445e-05+0.00047885i
-0.0024797-0.0012104i,-0.0019312-0.00087612i,-0.0017724-0.00053634i,-0.00076548-0.0007041i,-0.00044785-0.0010794i,-0.00020289-0.0013893i,0.00047326-0.0010295i,0.0011339-0.00064837i,0.0014764-4.2865e-05i,0.00081278+9.8235e-05i,0.00056234-0.00026227i,0.00065114-0.00022331i,0.0012009+0.00040413i,0.0015689-2.6582e-05i,0.0014863-0.00074404i,0.00092757-0.00047424i,0.00055001+0.00012218i,0.00048289-4.133e-05i,0.00082124-0.00038666i,0.00095341+7.814e-05i,-0.00012189+0.00044905i,-1.7659e-05-3.9548e-05i,0.00062499-0.00068757i
3.6961e-05-0.0012726i,-0.0008921-0.00040838i,-0.00035428+0.00053247i,-0.00045291+8.175e-05i,-0.0014016+0.00025417i,-0.0013297+0.00052668i,-0.00037683-0.00017295i,0.00039805-0.00032935i,0.00092386-0.00056586i,0.00082156-0.0004579i,-1.4576e-05+0.00029719i,-0.0002095+0.00044491i,7.1525e-05+0.0010328i,0.00027155+0.00075328i,0.00010789-0.00011331i,0.00011981-4.7058e-05i,-0.00019139+0.0001771i,-0.00033335+0.00023402i,-0.00011456-0.00037773i,-0.00024382-0.00059869i,-0.00077728-6.8271e-05i,-0.00081153+0.00031496i,-0.0003384+2.6773e-05i
-0.00094026+0.00056781i,-0.00091864+0.001151i,-0.00069102+0.0011849i,-0.00013271+0.00062426i,0.00020363+0.00034323i,-0.00012431+0.00031426i,-0.00018446+0.00012783i,6.3664e-05+0.00010635i,0.00012498+0.0004082i,0.00013624+0.00058284i,-1.1955e-06+0.00052785i,-0.00015384+0.00080696i,-0.00027401+0.00050667i,-0.00046126-0.00029248i,-0.00029035-0.0008465i,0.00051813-0.00098414i,0.00083134-0.00051904i,0.00045379+0.00023706i,0.00021372+0.00014257i,-0.00035842-0.00021041i,8.625e-05-1.3624e-05i,0.00089484+0.00016877i,0.00038499-0.00035276i
-0.0030873-0.0011198i,-0.0014905-0.00056277i,-0.00088391+0.00065517i,-0.00098043+0.0010941i,-0.00056373+0.0023944i,0.00066529+0.002892i,0.0013727+0.0013027i,0.00082616+0.00064333i,0.00043121+0.00054502i,0.00047701+0.00022845i,0.00041239+8.6398e-05i,0.00031629+0.00079506i,0.00071603+0.00053117i,0.0014011-0.00074243i,0.0011741-0.00061341i,0.00059727+0.0007029i,-6.5734e-05+0.0006934i,-0.00011127-0.00038127i,-0.00010776-0.00096739i,-0.00056422-0.00090794i,-0.001008+2.4421e-05i,-0.0011953+0.00079417i,-0.00061901+0.00039772i
-0.00023267+0.00044228i,1.075e-05+0.00028952i,0.00092714+0.00034319i,0.0010355+0.00039262i,0.00023313-0.00017072i,4.8735e-05-0.00011716i,8.4379e-05+0.0004854i,-0.00035332+0.0011889i,-0.00027926+0.0017594i,-0.00062535+0.001556i,-0.00045372+0.00026716i,0.00025909-0.00089916i,0.00046235-0.00067859i,-0.00018645-0.00011366i,-0.0011538+0.00010476i,-0.0013486+0.00030068i,-0.001228+0.00049638i,-9.179e-05+4.1613e-05i,-0.00034821-0.00063953i,-0.00057767-0.00084295i,-8.5392e-05-0.00047127i,-0.00040835-0.00039381i,-0.00087157-0.00029839i
0.00077453+0.0019425i,0.0011375+0.0020271i,0.0016843+0.0014806i,0.0011234+0.00029213i,-7.7187e-05-0.00052778i,-0.00035127-0.0010742i,0.00055547-0.00070939i,0.0010008-0.00032628i,0.00022269-0.0004794i,-7.1694e-05-0.00078172i,-0.00015724-0.00058465i,-0.00054784+0.00025835i,-0.00067841+0.00065397i,-0.00087407+0.00047567i,-0.0009195-0.00060251i,-0.00081648-0.00059717i,-0.0011581-2.5923e-05i,-0.001074-5.5169e-06i,-0.00052623+0.00051518i,-0.0005208+0.00075981i,-0.00097267+0.00036689i,-0.00058109-0.00054665i,8.6387e-05-0.00059003i
0.00071982+0.0016431i,0.00015882+0.000855i,0.00018115+8.837e-05i,0.00068686-0.0002874i,-0.00026173+0.00055178i,-0.00042926+0.0011592i,-9.3295e-06+0.00074763i,-0.00024719+0.0004682i,0.00093076+0.00031715i,0.001765+0.00024674i,0.0010193+0.00048148i,0.0005435+0.00046761i,-1.0789e-05+0.0003588i,-0.00069144+0.00060608i,-0.00040744+0.00045854i,-0.00010568+9.2661e-05i,-0.00019058+0.00019697i,-0.00033749-0.00021309i,-0.00019101+4.5834e-05i,5.7473e-05+0.00073401i,0.00017797+0.00028681i,0.00013781-0.0005465i,-9.5051e-06-0.00066957i
0.00096745+0.0015582i,0.00097172+0.00016312i,0.00017294+0.00025081i,-0.00016973+0.00066143i,-5.3745e-05+0.00050932i,0.00066369+0.00070101i,0.00032752+0.00089547i,-0.00083511+0.00088281i,-0.00061354+0.00063745i,0.00011076+0.00013951i,0.00061734-0.00019589i,0.00094099+0.00016019i,0.00021272+0.00051779i,-0.00062274+0.00025617i,-0.00052835-0.00029531i,-1.1832e-05-0.00037041i,6.7543e-05-3.2756e-05i,6.4487e-06+0.00012618i,-5.6584e-05-0.00015846i,-0.00071238-0.00051434i,-0.00048957+8.6763e-05i,0.00020469+0.00026198i,-9.801e-05-0.00027486i
0.00072212+6.8611e-05i,0.00045102-0.00022663i,0.00090689-0.00047535i,0.0005776-0.00033676i,-6.7773e-05+0.0005129i,7.4181e-05+0.0011376i,0.00019944+0.00060328i,0.00062254+0.00017453i,0.00058119+0.0010012i,0.00022927+0.00089413i,0.00099318-7.0761e-05i,0.001478+0.0001039i,0.0006739+0.00013465i,9.5847e-05+0.00036652i,4.0844e-05+0.00046078i,-0.00056458+7.0449e-05i,-0.00049735-0.00015284i,-7.6716e-05+0.00025795i,9.7506e-05+0.00087611i,0.00090479+0.00041067i,0.0015052-0.00013445i,0.00038883+0.00010849i,-0.00030668+5.1599e-05i
0.00068872+0.001815i,9.1567e-05+0.0015044i,-0.00012169+0.0011534i,0.00059688+0.00056053i,0.00055472+0.00033445i,4.5521e-05+0.00042803i,-0.0002697-0.00018816i,-0.00014977-0.00036595i,0.00039079-0.000287i,0.00096605-0.00027321i,0.00079658+0.00061497i,-6.2274e-05+0.00097702i,0.00011615+0.00026486i,-5.2351e-05-0.00015524i,-0.00047683-0.0001465i,-0.0002969-0.00018866i,-0.00030413-0.00021006i,-0.00022073-0.00046308i,-0.00032297-0.00016273i,-0.00018634+0.00060257i,6.938e-05+0.00068045i,6.3587e-05+0.00011384i,-0.00020357-0.00087252i
-0.00013934+8.3504e-05i,7.2754e-05+0.00019951i,3.141e-05-0.00062353i,-0.000457-0.0002172i,-0.00070292+0.0011268i,-0.00037877+0.0010756i,0.00043214+0.00040209i,0.0010178-0.00026531i,0.00050099-0.0005994i,0.00067949-9.651e-05i,0.00035199-0.00034823i,-0.00037154-0.0011535i,-0.00033937-0.0013073i,0.00056526-0.0010681i,0.0014143-0.00031628i,0.00051711+0.00033165i,-0.00068002+0.00023928i,-0.00042625+0.00028221i,0.00016262-3.9667e-05i,0.00091515-0.00067937i,0.00049484-0.00078924i,-0.00027349-0.00025942i,-6.2857e-05+0.00035437i
0.0015408+0.00025104i,0.0023153-0.00049454i,0.0016843-0.00075955i,5.3949e-05-0.00083301i,-0.00045684-0.00078i,-0.00019392-0.00017815i,0.00013856-0.00029372i,0.00038356-0.00071439i,0.00051777-0.00054016i,0.00037357-0.00056037i,1.0721e-05-0.00099611i,0.00011051-0.00085239i,-0.00010271+0.00032036i,-0.00062108+0.00058547i,-0.00066305+0.0005732i,-0.00074598+0.00070709i,-0.00062572+0.00067522i,-0.0007128+0.00084177i,-0.00067842+0.00049675i,-0.00034029+0.00023049i,-3.2598e-05-4.125e-05i,-0.00028386-0.00030959i,-0.00035317-0.0001099i
0.0010792+4.9026e-05i,0.00034217-0.00097134i,0.00064103-0.00088158i,0.00029384-0.00024647i,-0.00071532-0.00018726i,-0.00051575+0.00019685i,0.0006212+3.3539e-06i,0.0012845+0.00024259i,0.00081231+0.00059219i,-0.00011712+0.00012464i,-0.00017571-0.0002267i,-0.00011507+0.00072299i,0.00020686+0.0011159i,0.00069128+0.00076172i,0.0004992+0.00056i,0.00043577+0.00046055i,0.00056374+0.00091219i,0.00058899+0.0011698i,0.00051041+0.0006085i,0.00031242+4.36e-06i,0.00031829-0.00024987i,1.9475e-05-0.00054522i,0.00016853+6.395e-06i
0.0011065+0.00047291i,0.0011153+0.00016914i,0.0010001+0.0010451i,-0.00039203+0.00138i,-0.0016814+0.0013354i,-0.0010531+0.00076974i,0.00042879-7.2157e-06i,0.00040984+0.00043814i,0.00014437+0.00089096i,-0.00013839+0.0011312i,-0.00053757+0.0008712i,3.7844e-05+0.00045682i,0.00011625+0.00086302i,-0.00034027+0.00092171i,-0.00059841+0.00094562i,-0.00046451+0.00092845i,-0.00049152+0.0009369i,-0.00074293+0.00067962i,-0.00094485+0.00016936i,-0.00041418+0.00025173i,0.00017131+0.00047921i,-4.7898e-05+0.00060261i,-0.00028877+0.00044825i
-0.00039083+0.00082712i,9.1359e-05-0.00013839i,0.0006114-0.0010825i,0.00041498-0.0010796i,-0.00060251-0.00086818i,-9.7029e-05-8.0241e-05i,0.00074156+0.00020009i,0.00075873+0.0002634i,0.00065503-0.00016828i,0.00034726-0.00064729i,2.7182e-05-0.0002553i,-0.00027686-2.0355e-05i,-0.00051324+0.0001103i,-0.00053564+0.00032677i,-0.00017494+4.7217e-05i,-0.00037371-0.00043691i,-0.00086457+0.00031655i,-0.0012193+0.0012584i,-0.0011181+0.0011414i,-0.00067774+0.00084613i,-0.00077452+0.00051357i,-0.0006646+0.00015681i,-0.00048944-0.00026789i
0.0012425-0.0015872i,0.00053004-0.00213i,-0.00052917-0.0024626i,-0.00096387-0.00081853i,-0.00087121+0.00076609i,-5.4086e-05+0.0008007i,-0.00012493+0.00075647i,-0.00045978+0.0010859i,5.2882e-05+0.0015433i,0.00028186+0.0011545i,0.00024414+0.00021113i,0.00046563-5.5868e-05i,0.00055548+0.00059158i,0.00010288+0.00064632i,-0.0002641-0.00057133i,0.00051123-0.00086993i,0.00056481-0.00034362i,-0.00010377-0.00033647i,-0.00048978-0.00011447i,8.9988e-05+0.00011713i,9.4949e-05-0.00045798i,9.976e-05-0.00053091i,0.00021076+0.00054061i
-0.00027484-0.00054578i,-0.00062219-5.3363e-05i,0.00013391+0.00020427i,-0.00017593+0.00013462i,-0.0012485+0.00034675i,-0.00089326+0.0012276i,0.00023044+0.00086377i,0.00097044-0.00012856i,0.00056008-5.6465e-05i,0.00032636-2.9146e-05i,0.000263-0.00017741i,-0.00042645+0.00018347i,-0.00090786+0.00037458i,-0.00070638+0.00055197i,-9.4544e-06+0.00068331i,-0.00010749-0.00013594i,0.00017587-0.00096371i,0.00050013-0.00040595i,0.00018877+0.00045949i,0.00076024+0.00059137i,0.00047638+0.00054567i,-0.00051486-4.9154e-05i,-1.5443e-06+0.00059757i
-0.0002155-0.00092529i,-0.00046576-0.00028918i,-0.00099934-0.00013262i,-0.0011598-0.00022713i,-0.00051836+0.00050442i,0.00061448+0.0010215i,0.00040866+0.00060756i,0.00038391-0.00023077i,0.0013493-0.00014783i,0.00028475+0.0003835i,-0.0008584+0.00061496i,-0.00012442+0.00086391i,0.00048466+0.00018232i,0.0010909-0.00031804i,0.00095141-1.3255e-05i,4.1698e-05+0.00048033i,-0.00084731-0.0002188i,-0.00013057-0.00046398i,0.0008686+0.00016566i,0.00095211+0.00041346i,0.00062887+0.00080566i,-1.7722e-05+0.00084703i,-0.00084678+0.00056555i
-0.00060831-9.9838e-05i,-0.00093463-0.00079692i,-0.0012154-0.001274i,-0.0010932-0.00079535i,-0.0010078-0.00013913i,-0.00020281+5.4307e-05i,0.00043094-0.00034368i,0.00011051-0.00063182i,0.0001676-2.4742e-05i,0.00092069-0.00016543i,0.001025-0.00059563i,0.00065491-0.00053629i,0.0005512-0.00038514i,0.00032874+5.8959e-05i,0.00035139+0.00056117i,0.00031082+0.00055131i,6.8724e-05+0.00029679i,0.00022652+0.00030598i,0.00024556+0.00057228i,-0.00025977+0.00019753i,0.00010102+4.0092e-05i,0.00072199+0.00077441i,0.00056334+0.0013124i
0.0013104+0.00049422i,0.0015787+0.0010932i,0.0015115+0.00062309i,0.00064927-9.4325e-05i,-0.0007582+0.00019556i,-0.00011186+0.00048781i,0.0011336+0.00040828i,0.00053503+9.6825e-05i,-0.00022513+3.9748e-05i,-0.00010316+0.00047334i,0.00014063+3.4439e-05i,0.00017721-4.0572e-05i,-0.00017874+0.00079512i,-0.0001545+0.00057874i,-0.00028715+0.0002198i,-0.00034712+0.00066828i,-0.00018549+0.00077239i,-0.00014983+0.0003292i,0.00036718+1.9605e-05i,0.00018401+0.00011899i,-0.00039992+0.0003369i,-0.00061655+0.00014291i,-0.00056969+0.00024447i
-0.0013298+0.00022855i,-0.0005088+0.0011301i,0.00063361+0.0023701i,0.0012132+0.0020737i,0.00072465+0.0014827i,0.0003802+0.0012427i,0.00074473+0.0013953i,0.00075673+0.0015875i,0.00046003+0.00084551i,0.00080755-0.00013556i,0.00095072-3.0472e-05i,0.00081974+0.00010326i,0.00085946-7.8372e-05i,0.00135-0.00015773i,0.0012037-0.00041563i,0.00061007-0.00035103i,0.00051585-0.00018417i,-2.4361e-05+8.8715e-05i,-0.00059865+0.00048915i,-0.00086228-7.9366e-06i,-0.00027061-1.5222e-05i,-0.00096887+0.00036057i,-0.0013276-7.2818e-05i
-0.0016123-0.00028244i,-0.0019004-0.00015834i,-0.0024309+0.00026872i,-0.0020255+0.00019876i,-0.0012353+0.00020622i,8.1038e-05+0.00014926i,0.0012346+0.00012413i,0.00069016-8.7641e-05i,0.00014795+5.3885e-05i,0.00063747+0.00052197i,0.00064518-0.0002981i,-0.00010165-0.00067304i,-0.00055585-0.00028037i,0.00031689-0.00094055i,0.0010008-0.00093661i,0.00052505-0.00057848i,0.00019861-0.0004534i,3.4825e-05+0.00018315i,9.2806e-05+0.00049889i,-0.00039531+0.00025081i,-0.00035598-0.00031236i,0.00021731-0.00043224i,0.00057698-0.00034169i
0.0015496+0.00079215i,0.0011375+0.0010758i,0.0013016+0.00045131i,0.0014282-0.0010211i,0.00010447-0.0010887i,-0.0011868-0.00018688i,-0.00060494+0.00018753i,0.00048332+0.00033519i,0.00038065+9.2428e-05i,0.00049579+0.00032717i,-4.0658e-06+7.0926e-05i,-0.00045095-0.0003556i,-0.00024282-0.00061491i,-0.0007489-0.00014773i,-0.001486+0.00043048i,-0.0012431+0.00076486i,-0.00084638+0.00035277i,-0.0004209+0.00045267i,2.3745e-05+0.00064507i,-0.00011558-0.00037414i,-7.1049e-05-0.00059501i,0.00034024-0.0004714i,-0.00029255-0.0007959i
0.00057462-0.0015005i,0.00069705-0.00070964i,0.00047929-0.00011019i,3.3788e-05-8.0037e-05i,-0.00026757+6.713e-05i,-0.00016921+0.00091228i,0.00025375+0.00067006i,0.00054156-0.00038124i,0.00077094-0.00027391i,0.00025347+0.00030608i,-0.00039899+0.00050948i,2.6367e-05-2.0856e-05i,0.00013496-0.00066877i,0.00047722-0.00093529i,0.00083667-0.00081764i,0.00074031+0.00031399i,0.00044224+0.00040138i,-0.00026242-0.00033537i,-0.00018368-0.0005748i,-6.7262e-06+0.00034256i,-0.00034196+0.0010772i,-0.00060779+0.00074184i,-8.6866e-06-0.00048348i
-0.00051926-0.00069133i,0.0002683-0.00086205i,0.00080186-0.0011832i,0.00020417-0.0010419i,0.00049191-0.00037317i,0.001189+0.00036046i,0.00072445+0.00062451i,0.00010791+0.00047819i,0.00010785+0.00034065i,7.4726e-05-5.2116e-05i,0.00031561-0.00058818i,0.0009003-0.00084512i,0.00066619-0.00037402i,0.00026657-8.0421e-05i,0.0005485+3.7161e-05i,0.00033614+0.00024816i,-0.00011662+0.00019497i,0.00058453+4.8605e-05i,0.0010839+0.00045703i,0.0010042+0.00040179i,0.00040251+0.00073964i,-0.00017865+0.00096253i,-0.00029966+0.00077828i
0.00025944+0.0020711i,0.00056981+0.0019951i,0.00016686+0.0019743i,-0.00072789+0.001514i,-0.00052664+0.00051641i,-0.00011067+0.00011952i,0.00031472+0.00041204i,0.00043184+0.00066394i,2.6188e-05+0.0002099i,-5.5898e-06-0.00071333i,0.00072082-0.0010666i,0.00052768-0.00035852i,-0.00016358-0.00023291i,-0.00012304-0.00021315i,0.00049362-0.00011452i,0.00091905+0.00014457i,0.00086607-0.00031813i,-7.2814e-05-0.0010575i,-0.0011103-0.00010602i,-0.0010821+0.00032826i,-0.00039626+7.4841e-05i,-0.00022065+0.00038436i,-0.00030579+0.00012573i
-0.0013888+0.0019345i,-0.0019804+0.0013468i,-0.00036053+0.00087538i,0.00087601+0.0007829i,0.00063047+0.00097667i,0.00025118+0.0012771i,7.4004e-07+0.00090169i,-0.00056283+0.0001846i,-0.00081246+0.00040446i,7.2274e-05+0.0011286i,0.00013851+0.0012127i,-0.00026874-0.00010131i,0.00025155-0.00063723i,0.00038132-1.8463e-05i,-0.00018802+0.00026826i,0.0001727+0.00013142i,0.00059534+0.00011002i,0.00045913-0.00037252i,0.0002163-0.00054361i,0.00044081-0.0003843i,0.00049894-0.00057398i,-5.2745e-05-0.00025222i,-0.00075381+0.00021986i
-0.00038718-0.0015577i,-0.00070782-0.0021624i,-0.0011289-0.0021053i,-0.00096348-0.00060845i,-0.00041051+0.00043303i,0.00051752+0.0011791i,0.00066173+0.00056827i,0.00073389-1.0347e-05i,0.0006459-0.00023029i,-0.00047278+8.3265e-06i,-0.0011304+0.00045515i,-0.0005155+0.00074053i,-0.00010295+0.00053635i,0.00012489-0.00014325i,0.00072556-5.1281e-05i,0.00091978-7.7818e-05i,-2.7868e-05-0.00046577i,-6.9314e-05-0.00093076i,0.00054692-0.00085566i,0.0001442-0.00068187i,0.00014486-0.00098562i,0.00057783-0.00046105i,0.00084759+0.00044945i
0.00057252+0.00024853i,0.00070684-0.00012842i,-0.00044132-0.00060693i,-0.0010474-0.00044145i,-0.00047293+0.00054296i,0.00044335+0.0011617i,0.00052812+0.00061833i,-0.00028803+2.8436e-05i,-0.00084124+0.00025378i,-0.00042529+0.00065517i,0.00010042+0.00085035i,-0.00012147+0.0010213i,0.00010862+0.00065926i,0.00044887+0.00048844i,9.3534e-05+0.00070025i,0.00025754+0.00030286i,0.0001609-0.00044605i,-0.00031085-0.00048025i,0.00077518-0.0002789i,0.00043578+8.8196e-05i,-0.00035585+0.00058915i,0.00058445+0.00073323i,0.00079374+0.00031509i
-6.8795e-05-0.0010582i,-0.00047331-0.00041354i,-0.001486-4.2691e-05i,-0.001968+9.6426e-06i,-0.0017518+0.00078573i,-0.0011938+0.0015492i,-0.00025529+0.0011976i,0.00038878+0.00049309i,0.00022172+0.00028518i,-0.00013378+0.00063949i,-0.00037217+0.00096017i,5.0935e-05+0.00067551i,0.00062987-0.00021972i,0.0010135-0.00067478i,0.00090816+0.00035465i,0.0003008+0.0011487i,-0.00039553+0.00067651i,-0.00019381-0.00021033i,0.00057776-0.00083052i,0.0006156-0.0012421i,0.00015558-0.0013527i,-0.0005758-0.00062586i,-0.00096551-5.184e-05i
0.0015429-0.0014275i,0.0011792-2.259e-05i,0.00050313-0.0001004i,0.00031248+0.00042259i,8.1745e-05+0.0011017i,9.0538e-05+0.0009934i,0.00020118+0.00020132i,0.00017655-2.024e-05i,0.00056869+0.00060679i,0.00081336+0.001231i,0.00049236+0.00063091i,-0.00043087-0.00028844i,-0.0011338-0.00058771i,-0.0010035-0.00039899i,-7.4379e-05+2.419e-05i,0.00028705+3.8324e-05i,0.00028538-0.00014717i,-0.00042251+5.4949e-05i,-0.0012319+0.00052716i,-0.00079093-0.00038915i,-0.00017015-0.00079476i,-0.00041302-0.00073787i,-4.2517e-05-0.00099263i
-0.00094507-0.00043193i,0.00056584-0.00027166i,0.00057607+0.00058657i,-0.00047213+0.0001657i,2.8699e-05-7.656e-05i,0.00071663-0.00027773i,0.00041048-0.0012072i,0.00083615-0.0016526i,0.00056877-0.00066322i,-0.00052944+0.00099915i,-0.0010684+0.00093157i,-0.000659+0.0004536i,0.0001516+0.00079853i,0.00077975+0.00068372i,0.0012955+0.00044306i,0.00087389+0.00026031i,-4.3844e-05-3.4147e-05i,-0.00052743-0.00014598i,-0.00058107-0.0004381i,0.00021904-0.00026141i,0.00081804-0.00044159i,0.00026788-0.0010126i,-0.00028196-0.00063682i
-0.00048958+0.00017764i,3.916e-05+0.0010105i,0.00028032+0.00020656i,0.00022216+0.00027561i,-0.00089211+0.00098507i,-0.0010931+0.0016048i,-3.3344e-05+0.00094657i,0.00066976-0.00032067i,0.00059021-0.00043435i,0.00018185-0.00017085i,-0.00055837+0.0001913i,-6.3491e-05+3.9004e-05i,0.00035211+0.00060614i,6.1842e-05+0.00097702i,-0.00019933+0.00037279i,-7.8104e-05-0.00022808i,-0.00016372-0.00066719i,-0.00037115-0.00054293i,-0.00038558-0.00011282i,-0.0008631-0.00040906i,-0.00020171-0.0006615i,0.00053135-0.00067308i,9.5582e-05-0.00086343i
0.00097012-6.5727e-06i,0.00012183-0.00022108i,4.5833e-05+0.00057003i,6.648e-06+0.00083699i,-0.00032348+0.0004813i,-0.00044763+0.00018859i,-0.00017037+0.00038046i,4.1326e-05+0.00059105i,0.0003953+0.00091411i,0.00075605+0.00088331i,0.00063014+0.00035923i,0.00066469+0.00016351i,9.8282e-05+0.00035537i,7.7095e-05+0.0003186i,-5.8203e-05+0.00049119i,-0.00082297+0.00098638i,-0.0010847+0.0013336i,-0.00089145+0.0010827i,-0.00059534+0.00038997i,-0.0005775-0.00051283i,-0.00039466-0.00017487i,-0.00033687+0.00064072i,-0.00090377+0.00065887i
-0.00015838-0.0012136i,-0.00024699-0.00017273i,-0.0010666-0.0001402i,-0.0017837-0.00014689i,-0.00080003+0.00011975i,7.504e-05+0.00060406i,0.00028794+0.00097761i,0.00022605+0.00070491i,0.00034795-0.00019921i,0.0010239-0.00080208i,0.00074369-0.00018905i,0.00040965+5.5967e-05i,0.00054997+0.00041046i,0.00068013+0.00063067i,0.0010262+0.00026992i,0.00059806-0.00032344i,0.00077397-1.6737e-05i,0.00074786+0.00066903i,-0.00021969+0.0012994i,8.3569e-05+0.0011831i,0.00030829+0.00058578i,-0.0002534+0.00031705i,0.00026942-0.00029384i
-0.00039232+0.00052856i,0.00028805+0.00043445i,0.0006304+0.00049995i,3.048e-05+0.00085835i,0.00049439+0.0015392i,0.00082203+0.0010304i,0.00021534+0.00033825i,-0.00027854-0.00037333i,9.7092e-05-0.00076292i,0.00028934-0.00023925i,2.5244e-05+0.00014069i,-0.00011266-0.00028987i,-0.00055667-0.00014098i,-0.00032274+0.00041071i,0.0003901+0.0004154i,9.7807e-05+1.9496e-05i,-0.00042451+0.00036032i,-0.001034+0.00054269i,-0.00069648+9.106e-05i,0.00042628+0.00037289i,0.00066386+0.00041254i,0.00046311-0.00081131i,0.00055197-0.001322i
-0.0021084-0.0029598i,-0.0027259-0.0010709i,-0.0026974+0.0012012i,-0.0017077+0.0019208i,-0.00089751+0.0021643i,-0.00053196+0.0015676i,-0.00030572+0.00065508i,-0.00029133+0.00014687i,6.5402e-06+4.1832e-05i,0.00038158+0.00063457i,0.00013138+0.00056409i,-2.3859e-05+6.6996e-06i,0.0012-0.0001124i,0.0016533+0.00084422i,0.0010864+0.0013635i,0.00038518+0.00037201i,-4.2132e-06-0.00012188i,0.00074165+0.00032601i,0.00051568-0.00011188i,-0.00027881-0.00044157i,-0.00055811-0.0006319i,-0.00048776+0.00025457i,0.00028975+0.0010948i
-0.0024176-0.0014233i,-0.0033417+0.00027738i,-0.0032316+0.0015279i,-0.0022773+0.0015297i,-0.00088208+0.001458i,0.0004032+0.0011332i,0.0007419-2.4427e-05i,0.001111-0.00040277i,0.0010128+4.3726e-05i,3.6707e-05+0.00036915i,-0.00029513+9.8468e-05i,0.00026765+0.00079213i,0.00070187+0.0013612i,0.00034627+0.00074625i,0.00018931-7.6228e-05i,0.00018988-0.00056224i,0.0002611-0.00046397i,-0.00014969-0.00065358i,0.00058855-0.0010871i,0.0010874-0.00094216i,-5.3221e-06-0.00013371i,-0.00020944+1.5871e-05i,0.0003949-4.1674e-05i
-0.00047829+0.0010939i,0.0017561-0.00037691i,0.0014436-0.0012515i,0.00019457-0.0013319i,-0.00055728-0.00041421i,-0.0011069+0.00085064i,-0.00097522+0.00036117i,-4.2775e-05+3.7946e-05i,9.5099e-05+0.00056785i,0.00015759+0.00070323i,0.00083775+0.00041825i,0.0013196-1.5578e-05i,0.0014381+0.000298i,0.00047131+0.00075079i,-0.00056008+0.00031889i,7.6685e-05-0.00036392i,0.00069906+0.00038012i,0.00039752+0.00094791i,0.00046942+0.00060245i,0.0006721+7.7313e-05i,0.00046272-0.00020887i,0.00042941-0.00034751i,0.00057423-0.00020311i
0.0010769+0.0023664i,0.0022872+0.00099737i,0.0036146+0.0002525i,0.0030193-0.00034123i,0.0011401+0.0002381i,-7.4997e-05+0.0013168i,0.00019195+0.00099172i,0.00034307+0.00076789i,0.00024564+0.00057595i,0.000603-0.00054774i,0.00011721-0.00088707i,-0.00021574-0.00045073i,0.0001733+0.00029882i,-0.00015219+0.00067523i,-0.00038139-0.00013621i,0.00041612-0.00053615i,0.00031255-0.00078095i,-3.6635e-05-0.00059261i,-0.00047944-8.6634e-05i,-0.00099796-0.00010676i,-0.00043428-3.2863e-05i,7.0478e-05-0.00018454i,8.5751e-05-0.00072485i
0.00037473+0.00067804i,-0.00022371+0.0014481i,-0.00049541+0.0011242i,-0.00017605+0.00053689i,-7.1865e-05+0.00041836i,5.7625e-05+0.00021158i,0.00057401+0.0003136i,0.00054581+0.00052849i,2.1234e-06+0.00040453i,0.00051277-1.2225e-05i,0.00050577-0.00065037i,0.00022417-0.0013511i,0.0005378-0.0011202i,0.00042814-0.00098447i,0.00022962-0.00074417i,-9.2755e-05+8.6936e-05i,-0.00076489+0.00041626i,-0.00059436+0.00074744i,-1.0548e-05+0.00084653i,-0.000214+0.00035098i,-7.3832e-05+3.3443e-05i,0.00098871-0.00016026i,0.00060668-0.00032188i
0.00031016-0.00098092i,-0.00072619-0.001185i,-0.0019899-0.00098995i,-0.0027018+0.00062696i,-0.0025207+0.0011866i,-0.0015308+0.00019119i,0.00041292-0.00035872i,0.0011694-0.00016464i,0.00018889+0.00061062i,0.00044748+0.00045253i,0.0005908-0.00015i,4.6263e-05-2.643e-05i,-0.00022361-0.00027082i,0.00018496+0.00022759i,0.00031816+0.0014568i,-0.00047512+0.001163i,-0.00094761+0.00030744i,-0.00063673+9.6185e-05i,-1.174e-05-6.8754e-05i,-1.8043e-05-0.00012639i,0.00012697-0.00017781i,0.00061414-0.0002833i,0.001299+0.00046349i
