0.0018896-0.00054447i,0.00072525-0.0011443i,-0.00079556-0.0014663i,-0.00083956-0.0015141i,-0.001359-0.0006943i,-0.0018769+3.4031e-05i,-0.0016981+0.0013433i,-0.00024976+0.0022171i,0.0020515+0.0011741i,0.002924-0.00012226i,0.0016818-0.0011412i,0.00022101-0.0011975i,0.00019296-0.00047792i,0.00022392-0.00072373i,-0.00023859-0.00092569i,0.000113-0.00034868i,0.00010013+0.00046371i,5.8669e-05+0.00068587i,0.00061997+0.00089851i,0.00060874+0.00069932i,0.00057015+0.00012984i,-0.0002186-0.00044831i,-0.0012407-0.00041763i
0.0010372+8.7284e-06i,0.0015037+0.0002333i,0.0021289+4.3125e-05i,0.0025698-0.00014892i,0.0029241+0.00029879i,0.0024371-0.00038856i,0.0013499-0.0011526i,0.00057655-0.00066843i,0.00032562-0.00012892i,0.0001994+7.2683e-05i,9.6901e-05+0.0006687i,0.00048021+0.00075071i,0.0011403-0.00013509i,0.00076076-0.00093187i,1.6386e-05-0.0011814i,-0.00029948-0.001207i,-0.00057429-0.00078717i,-0.00018091-0.00037574i,0.00010456+0.00025635i,-0.00036329-0.0002792i,-3.1908e-05-0.0012032i,0.00072412-0.000674i,0.00098958-0.00020596i
-0.0015175-0.0018293i,-0.0023181-0.0028254i,-0.0029328-0.0014892i,-0.0016843+0.00013434i,5.8429e-05+0.00084714i,0.00052642+0.0011084i,0.00016841+0.00052615i,-0.00081252+0.00084674i,-0.0011538+0.0013885i,-0.00023479+0.00062326i,-6.0367e-05+6.8348e-05i,-0.00036063+0.00017248i,0.00011382+0.0002891i,-0.00010864+0.00032987i,-0.00025391+0.00027834i,0.00031316+0.00076967i,0.00043721+0.00066035i,0.00048971+0.00029893i,0.00081891+0.00067524i,4.8176e-05+0.0010037i,2.7758e-06+0.00040542i,0.0008154-0.00046319i,0.00099053-0.00050316i
-0.00035193+0.00074991i,0.00047331+0.0015145i,0.0019226+0.0011728i,0.0032849+0.0011239i,0.0033657+0.0016548i,0.0022103+0.0013335i,0.00078873+0.00065397i,0.00022004+0.00087706i,0.00096014+0.00083189i,0.0016117+0.00020252i,0.0012233+1.9291e-06i,0.0015791-0.00065418i,0.0013939-0.001115i,0.00030831-0.00030403i,8.5359e-05+0.00033124i,0.00035194+3.36e-05i,0.00066227+5.9818e-05i,0.00051537+0.00031032i,3.0041e-05+0.0006934i,-9.4133e-05+0.00087893i,-0.00026072+0.00073279i,-0.000447+0.00011287i,0.00019795-0.00035739i
-0.00013804-0.00057694i,0.00066778-3.561e-06i,0.00080168+0.0005928i,0.0014992+0.0015117i,0.002627+0.0013313i,0.0032807+0.0011898i,0.0017522+0.0012665i,-0.00033556+0.00076087i,-0.00086979+0.00040141i,-0.00018007+0.00047152i,-9.9027e-05+0.0003085i,-0.00049041+8.1165e-06i,-6.9436e-05+0.00018923i,0.00029349-4.398e-05i,0.0003804-6.2722e-06i,0.00030723+0.00012608i,-0.00025731+0.00020467i,-0.0010639+0.00047991i,-0.00059874+0.00029316i,0.00096164+0.00026606i,0.0014832+0.00052708i,0.00082858+0.00080237i,0.00011802+0.00067821i
0.0008196+0.00097818i,0.00066499+0.00042607i,0.0020197-0.00064784i,0.0019308-0.00073122i,0.0018602-0.00050103i,0.0015154-6.0737e-05i,0.00052708+9.8394e-05i,-9.6641e-05+0.00043461i,0.00032922+0.0011752i,0.00098699+0.00070139i,0.0010633+0.00028942i,0.00067119-0.0002176i,0.00037055-0.0011928i,0.0004011-0.0012927i,0.00067898-0.00049153i,-0.00017775-0.00039027i,-0.00049915-0.00031583i,-0.0006936+0.00024157i,-0.00076066-1.2924e-05i,-0.00053095-0.00053452i,-9.2041e-05-0.0003631i,-6.4267e-05-0.00088458i,-0.00026143-0.00080676i
-5.8359e-06+0.0021814i,-0.00046806+0.0017146i,0.0010458+0.0023158i,0.0025283+0.0029414i,0.0030568+0.0015331i,0.002117-0.00013369i,0.00017512-0.00012967i,-0.00081115+0.0007553i,-0.00046817+0.0014704i,0.00050259+0.0014129i,0.0011615+0.00082178i,0.00096691+0.00065615i,0.00011194+0.00037517i,-0.00017609-0.00051015i,0.00060361-0.00034932i,0.00095138+3.3662e-05i,0.00092481-0.00068482i,0.00049695-0.00062741i,5.1256e-05-0.00018388i,0.0006818-0.00066523i,0.00072317-0.00077754i,0.0002192-0.00030996i,0.00021004+6.0377e-05i
0.00075682+0.0020872i,0.00089149+0.0028221i,0.0015152+0.0026765i,0.0018469+0.0019608i,0.0017717+0.00085477i,0.0018165+8.8882e-05i,0.00070602+0.00015882i,-0.0002249-9.7014e-05i,0.00046419-0.00038953i,0.0010116-4.6042e-05i,0.00066698-0.00042692i,0.00040124-0.001321i,0.0010457-0.0013558i,0.0014156-0.00057097i,0.00093109-0.00030645i,0.00020665+8.7873e-05i,-0.00068225+0.0007181i,-0.0011724+0.00018508i,-0.0013564-0.00031697i,-0.00047481-0.00023302i,0.00085063-0.00070915i,0.0011636-0.00057119i,0.00037938+0.00048991i
0.0017892-0.0033205i,0.0013036-0.0030671i,0.00089272-0.0032972i,0.0011105-0.0022455i,0.001233-0.00022102i,0.0012164+0.0003276i,0.00068171+0.00029372i,-0.00024722+0.0010197i,0.00045714+0.0013948i,0.001214+0.0012432i,0.00072145+0.00068438i,-0.00023085-0.00055205i,-0.00048934-0.001065i,-0.00012696-0.0002192i,0.00010941+0.00017285i,-8.6281e-05+0.00040448i,-0.00042418+0.00074958i,-0.00026723+0.00060554i,-0.00023762-0.0002289i,-0.00065589-0.000722i,-0.00020961-0.00077092i,0.00077389-0.00046999i,0.00057062-0.00022307i
-0.0011228+0.0011182i,-0.0013202+0.0011649i,-0.00064703+0.0012261i,0.00057477+0.0016477i,0.0022583+0.0015835i,0.0026378+0.00094246i,0.00044983+0.00089152i,-0.00048223+0.0017906i,0.00040209+0.0023652i,0.00066083+0.0015603i,0.00057738+0.00053419i,0.00059592+0.00021019i,0.00062601+0.00013855i,0.0008534+0.00031702i,0.00053312+0.00074371i,4.1757e-05+0.0005931i,-0.00031993+2.9772e-05i,-0.00056207+0.00011583i,5.5036e-05+0.00074623i,0.00098929+0.0010047i,0.00078461+0.00043191i,0.00049514+0.0001458i,0.00089635+0.00057809i
-0.0012748-0.00057539i,-0.0009975+3.3149e-05i,-0.0012348+0.00042564i,0.0002175+0.0012456i,0.0021327+0.0010774i,0.0021733-0.00014087i,0.00084001+8.0876e-06i,-0.00049927+0.0011578i,-0.00023599+0.0013616i,0.00030499+0.00096254i,0.00047352+0.00065319i,0.00038641+0.00033464i,0.00063863+0.00027263i,0.0010971+0.00020961i,0.00010792+3.3072e-05i,-0.00078023+0.00039199i,-0.00021732+0.00061039i,0.00028701+0.00061672i,0.00058408+0.00068531i,0.00098573+0.00070038i,0.00079228+0.00019847i,-0.00012548-0.00053303i,-0.00062538-0.00089471i
-0.0014378-0.0018773i,-0.00041987-0.0018644i,-0.00021592-0.0015585i,8.2331e-05-0.0017466i,0.0012889-0.0016938i,0.0017408-0.0010226i,0.0008806-0.00014971i,9.3112e-05+0.00044102i,-0.00018842+0.00050845i,-1.2604e-05+0.00061605i,-0.00046245+0.00047965i,-0.0013178-0.00023528i,-0.00095158-0.00062299i,-0.00030098-0.00028086i,-0.00034143+8.0342e-05i,-8.8986e-05-0.00019438i,2.5444e-05-0.00033357i,-0.00048654-1.6594e-05i,-0.00075391+8.9674e-05i,-0.0010142+4.6411e-05i,-0.00048842+0.00025609i,0.00033583+0.0003946i,0.00066728-0.00052515i
0.0014265+0.0011649i,0.0019671+0.0010384i,0.00091687+0.00080228i,0.00060638+0.00066055i,0.0013996+0.00071371i,0.0015472-1.5086e-06i,0.00069503-0.00068766i,-0.00022328-0.00011742i,0.00031394+0.0011114i,0.0016376+0.00049029i,0.0015035-0.00045715i,0.0010885-0.00076136i,0.0016683-0.00077818i,0.00093884-0.00073842i,-0.00022423-0.00083158i,-0.00064073-0.00073699i,-0.00034457-0.00069729i,-3.7597e-05-0.00068451i,9.9256e-05-0.00023358i,-0.00022503+0.00023221i,-0.00014681+0.00022915i,0.00033128+0.00046088i,0.00034005+0.00089456i
0.00082287-0.0012507i,-0.00063345-0.0011379i,-0.0011678-0.00046798i,0.00047237+0.00083089i,0.0022428+0.00093304i,0.002185+0.00055199i,0.00098398-0.0001544i,0.00017959-6.9578e-06i,-0.00018131+0.00059898i,-0.00048425+0.00060758i,-3.7956e-05+0.00030412i,0.0010524-0.00029829i,0.0009422-0.00024123i,-0.00084949-0.00015852i,-0.0020347+4.6539e-05i,-0.0016499+0.00014828i,-0.00060021-2.1006e-05i,-6.096e-05+0.0009442i,-6.7153e-05+0.0012117i,0.00017129+0.00091746i,0.00051483+0.00046411i,0.00036224+5.776e-05i,0.00039629+0.00022014i
-0.00061465+0.00031144i,-0.00033496-0.00091426i,-0.00075328-0.0018622i,-3.3392e-05-0.00091666i,0.0019019-0.00038584i,0.0018345-0.00061803i,3.6246e-05-0.00039124i,-1.574e-06+0.00058521i,0.00098539+0.0013262i,0.00049115+0.0011725i,0.00011663+0.00082094i,0.00063129+4.6158e-05i,0.00063478-0.00017691i,9.705e-05-0.00020872i,-0.00013485-0.00042786i,6.9431e-05-1.6326e-05i,-1.442e-05-0.00028726i,-4.0663e-05-0.00052766i,-4.0584e-05+8.9851e-05i,0.00010123+0.00049982i,2.6211e-05-5.8426e-05i,-0.00010639-0.00067664i,-0.00021641-0.00085291i
5.9957e-05+0.0010648i,0.00033351+0.0016382i,0.0013052+0.0025253i,0.0008269+0.0027797i,0.00082952+0.0017922i,0.0012821+0.00059424i,7.1021e-05+0.00011897i,-0.00094657+0.0014288i,-0.00043711+0.0021053i,0.00055055+0.0009033i,0.0011382+0.00051518i,0.0011143+0.00030404i,0.00082651-0.00042674i,2.8845e-05-0.00021847i,-0.000637+0.00034223i,-0.0011502-9.3369e-05i,-0.0014194-0.00092229i,-0.0012974-0.000492i,-0.0014754-8.5509e-05i,-0.0013782-0.00010951i,-0.00082372+0.00050246i,-0.00042871+0.00075076i,-0.00031811+0.00046045i
0.00057008-0.00035823i,7.9946e-06-0.0011019i,-0.00044088-0.0019789i,0.00017692-0.0011473i,0.0011965-0.00062351i,0.00092967-0.00067619i,-0.00023635-0.00053663i,-0.00072446+0.00075011i,-1.1493e-05+0.0016893i,0.00048767+0.00058473i,0.00030112-0.00025437i,0.00030648-0.00015037i,0.00020749-7.7008e-05i,-2.387e-05-0.00033417i,0.00035432-0.000503i,8.891e-05-0.00030312i,-0.0010672-0.00020081i,-0.00043966-0.0004846i,0.0008596-0.00095674i,0.0010083-0.00023413i,0.0010733+0.00015583i,0.0008928-0.00032484i,0.00032449+0.00038398i
0.0025676-0.0019946i,0.0025982-0.001613i,0.0029273-0.0020152i,0.0026813-0.0010794i,0.0022244-0.00011019i,0.0019211-0.00058734i,0.00062883-0.0010305i,-0.00013633-0.00034072i,-0.00044375+0.0010608i,-0.00053191+0.0016073i,2.4095e-05+0.0010651i,-3.4456e-06-0.00010301i,-0.00034172-0.00050909i,3.6139e-05-0.00078783i,5.7702e-05-0.0005682i,0.00018588+2.6953e-05i,0.00054206+0.00029182i,0.00087246+0.00070762i,0.00060308+0.00060691i,0.0003556-0.00031811i,0.00042-0.00085663i,0.00084353-0.00035307i,0.0009061+0.00030477i
-0.001205+0.00069956i,-0.0010838+0.0018088i,5.5974e-06+0.002522i,0.0012582+0.0025033i,0.0018597+0.0015218i,0.0021438+8.7633e-05i,0.0004064-0.00012895i,-0.00099104+0.00033386i,-0.00049928+0.001047i,0.00015095+0.0013895i,4.1082e-06+0.0007534i,-0.00035767-0.00056681i,-7.4356e-05-0.00088682i,0.00056478-0.00017823i,0.0006697+0.00014391i,0.00063546-0.00030664i,0.000604-0.0011115i,0.00048415-0.00090891i,0.00023419-0.00039283i,0.00034504-0.00091019i,0.0010045-0.00073906i,0.00072706-7.9571e-05i,-0.00010382-0.00043746i
0.0011284-0.00023952i,0.0011977-0.000813i,-6.1418e-05+0.00035613i,0.00040267+0.00064004i,0.0025414+0.00065438i,0.002284+0.00087023i,0.00077765+0.00074341i,0.00038831+0.00073484i,0.00071036+0.0014957i,0.00081991+0.0011559i,0.00064121-8.4082e-05i,0.00054416-0.00085212i,0.00058781-0.00043752i,0.00019354+0.00045117i,-0.00027836+0.00035524i,-0.00038592+7.0111e-05i,0.00010879-0.00013355i,9.924e-05-0.00072134i,-0.00021028-0.001229i,-0.00025248-0.00068679i,-0.00075095-4.8061e-06i,-0.0013909-0.00012345i,-0.0011471-0.00090221i
-0.00065165-0.0013808i,0.00034906-0.0014166i,0.00012177-0.00097919i,-1.7235e-05+0.00031135i,0.001128+0.0011937i,0.0014484+0.00095176i,0.00088298+0.00055228i,-0.00030759+0.00092849i,-0.00081775+0.0010882i,-0.00020259+0.00032725i,0.00022733-3.508e-05i,1.8156e-05-6.2117e-05i,-0.00025785+2.6673e-05i,-0.00060566+0.00031612i,-0.001128+0.0003981i,-0.0005357+0.00080399i,-0.00041981+0.00032648i,-0.00038409-0.00063969i,1.1313e-05-0.00087713i,0.0001292-0.00015962i,-0.00029066+3.1073e-05i,-0.00050044-0.00024034i,0.0002864-0.00026259i
0.0015825+0.0020812i,0.0013038+0.0020023i,0.0018905+0.002197i,0.0033856+0.001258i,0.0033491-6.9914e-05i,0.0015898-0.00048306i,0.00046101-0.00041885i,0.0005959+7.5168e-05i,0.0011312+0.00076742i,0.00071332+0.0012361i,0.00046272+0.00058199i,0.00055947+9.3591e-05i,0.00040824+0.00012635i,0.00075345-0.00018465i,0.0011905-0.00042522i,0.00078993-0.00037889i,-0.00011847+0.00069354i,-0.00064054+0.0012852i,-0.00073002+0.001505i,-0.00061524+0.0016048i,-0.00024236+0.00081433i,0.00033782+5.4993e-05i,0.00033864+0.00019614i
0.00049258-0.00039593i,0.0014063-0.00069125i,0.0019953-0.00056982i,0.0020557-0.0004075i,0.0030233+1.9566e-05i,0.0021898+0.00029876i,0.00019737+0.00010298i,-0.00038693+0.00072916i,-0.0003138+0.0014671i,-0.00025484+0.00072153i,0.00023505-0.00030637i,0.000195-0.0001703i,0.00032232+0.00055521i,0.00024859+0.00075022i,-0.00055214+0.00025282i,0.00022831-0.00017673i,0.0006912-0.00048816i,0.00026495-0.00047681i,0.00019578-0.00028064i,0.00052988-0.0002896i,0.00032073-0.00023394i,-7.6724e-05+0.000138i,-0.00059822+0.00012764i
0.0014283-0.0011385i,0.0012823-0.00046428i,-0.00055152-0.0015773i,-0.00014362-0.001158i,0.0017719-0.00022417i,0.0020515+0.000289i,0.00085526+0.00077833i,0.00027607+0.0010098i,8.6732e-05+0.0015906i,-8.9477e-05+0.0015634i,-0.00024845+0.00049949i,0.00014655+5.1775e-05i,1.356e-05-4.9766e-05i,-0.00019607-0.00029136i,-0.00018804-0.00037168i,-0.00062069-0.00076662i,-0.00043594-0.0008301i,1.2601e-05-0.00017852i,8.1495e-05+0.00037042i,7.4136e-05+3.3109e-05i,0.00071484-0.00023485i,0.00070194-3.2897e-05i,1.6796e-05+6.9903e-05i
-9.6034e-05+0.0014437i,-0.00039127+0.0014437i,0.0014562+0.001138i,0.0030906+0.00071793i,0.0038468+0.00036053i,0.002095-0.00033774i,-0.00051971-0.00093008i,-0.0010505+0.00015822i,-9.4974e-05+0.00067383i,0.00072971+0.00032839i,0.00081723+0.00038958i,0.00068777+3.0116e-06i,0.0012886-0.00024105i,0.0014594-0.00012733i,0.00031857+0.00057221i,-0.00062372+0.00046256i,-0.00077048+0.00012186i,-0.00071752+4.3756e-05i,-0.0003442-0.00034823i,-0.00035899-0.00083934i,-0.00029036-0.001031i,-1.871e-05-0.0010599i,-0.00022824-0.0008599i
0.00055389+0.0016065i,0.00012628+0.0018984i,-0.00028905+0.002748i,0.0011413+0.0023658i,0.0027211+0.0015697i,0.0022758+0.0008867i,0.0005157+0.00028062i,-0.00046787+0.00094908i,0.00038098+0.0022068i,0.0013702+0.00087177i,0.00099919-0.00038695i,0.00023974-3.9729e-05i,0.00010049+0.00035341i,0.00057356+0.00040527i,0.00028521+0.00036549i,8.2717e-05+2.8896e-05i,0.00047689-0.00028114i,0.00043579-0.00022186i,0.00045565-0.0001167i,-0.00065083-0.00039044i,-0.0012452-0.00051098i,-0.00039653+0.00014058i,0.00010261+8.3673e-06i
0.0025105-0.001001i,0.0019232-0.0008513i,0.0018565-0.0016412i,0.0015634-0.0015214i,0.0017154-0.00069792i,0.0011335+0.00014862i,-0.00050197+0.00060962i,-0.00042913+0.00073061i,0.001367+0.0010904i,0.0017425+0.00079644i,0.0010947-0.00016859i,0.0002289-0.00074145i,-0.0002711-0.0011925i,0.00012887-0.00082577i,0.00037274+6.5441e-05i,0.00050404-0.00030034i,0.00014605-0.0003122i,-0.00037188-0.00018961i,7.3532e-05-0.00049011i,0.00072661+0.00030399i,0.00040869+0.00049045i,2.7877e-05-0.0001847i,1.8343e-05-0.00020736i
-0.00074543-0.00076675i,-0.001035-0.00053308i,-0.00054031-0.0011029i,0.00097341-0.00070608i,0.0014623-0.00039155i,0.00054757+4.9267e-05i,-0.00016759+0.00034729i,-0.00069875+0.00099168i,-0.00076398+0.0015646i,0.00023002+0.0014601i,0.0010654+0.00060976i,0.00097497+0.00012687i,0.00035684+7.1776e-05i,-0.00030087+0.00024948i,-0.00053102-0.00056094i,-0.00046439-0.0012262i,-0.00019213-5.6418e-05i,0.00043294+0.00080688i,-8.3075e-05+0.00076056i,-0.00077189+0.00011258i,-0.00062421-0.00052694i,-0.0003589-0.0007373i,0.00023325-0.00093185i
0.0021469-0.0002994i,0.0020478-9.7998e-05i,0.0040055+0.00051438i,0.0037306+0.00046294i,0.0021406-0.00013671i,0.001444-0.00037767i,0.00071084-0.00017473i,0.00040403+0.00035762i,0.0010688+0.00073876i,0.0014882+0.00036996i,0.0014651-4.7715e-06i,0.00048027-0.00030452i,-0.00045292-0.0010388i,-0.00078199-0.00063716i,-0.0006236-6.8668e-05i,-0.00089643-0.00028815i,-0.001361-0.00041959i,-0.00047818-0.00038679i,0.00032205-0.00039522i,0.00016829-0.00033216i,-6.9134e-05+9.9433e-05i,-0.00015557+0.00038255i,-0.00025447+0.00021976i
6.8645e-05-0.0007437i,-0.00025429-0.0016921i,0.00086903-0.0015943i,0.0013948-0.0010388i,0.0018794-0.00042733i,0.0013588+0.0011684i,-0.00021279+0.0016644i,-0.00077155+0.0016893i,-0.00072561+0.001266i,-0.00042036-7.0109e-05i,4.0617e-05-0.00045946i,7.4069e-05+0.00033503i,0.00016462-0.00033181i,0.00020788-0.00056659i,-0.00067551-0.00023115i,-0.0011319-0.00096935i,-0.00057496-0.00079841i,-9.5913e-05-0.00036331i,0.00010017-0.00025619i,-0.00018674-0.00019459i,-0.00062746-0.00083437i,-0.0001051-0.00084805i,6.2635e-05+9.8052e-05i
0.00039623-1.9792e-05i,0.0002731+0.00025843i,3.9041e-05+0.0005637i,-0.00029186+0.0012351i,1.8518e-05+0.00065008i,0.0010509-0.00055447i,0.00062317-0.0007217i,-0.00015409+0.00023868i,0.00022163+0.00071625i,0.0008788-6.5536e-06i,-3.887e-05-0.00012424i,0.00022732-0.00026903i,0.00079818-0.00015857i,1.2136e-05-0.00050065i,5.7682e-05-0.00088746i,-4.122e-05-0.00049646i,4.2135e-05+0.00023393i,4.3364e-05+0.00053538i,-7.7577e-05+0.00060407i,0.00021118+0.00048842i,0.00042152+0.00028228i,0.00097538-0.00021228i,0.00093529-0.00012789i
-0.00096687+0.00083084i,-0.00039513+0.0012709i,0.00087595+0.0012679i,0.0016736+0.0012204i,0.0025066+0.0014454i,0.0030448+0.00042097i,0.0021794+0.00026039i,0.0012924+0.0013454i,0.00058597+0.0013236i,0.0006421+0.0006375i,0.00092325+0.00083171i,0.00047289+0.00046579i,0.0010462+0.00030069i,0.0011487-5.738e-05i,0.00056122-0.00080899i,-0.00015537-0.00039882i,-0.00065454+0.00017479i,-0.00026385+4.7323e-05i,0.00038493-0.0005222i,0.00045701-0.00093868i,-0.00014687-0.00065518i,-0.00083294-2.0972e-06i,-0.00050657-0.00016533i
-0.0002462-0.0013855i,1.6794e-05-0.00078953i,0.00043409-0.00040918i,0.001181-7.7772e-05i,0.0021153-5.8328e-05i,0.0022619-0.00025975i,0.0010679+0.00045189i,-6.3169e-05+0.0016244i,-0.00026636+0.0022396i,-0.00017738+0.0020233i,0.00028114+0.001624i,0.00053985+0.0012735i,0.00024567+7.9161e-05i,-0.0001752-0.00021118i,-0.00029251-0.00011749i,0.00022909+6.2487e-05i,0.00047535+0.00025348i,-0.0003915+0.00017978i,-0.00098565+0.00059805i,-0.00033313+0.00019103i,0.00012287+0.00011555i,0.00021895+0.000149i,0.00017737-0.00021311i
0.00013301+0.001319i,-2.4335e-05+0.00027364i,0.0013952+0.00060874i,0.0030652+0.0010041i,0.0032471+0.0010576i,0.0019111+0.00020399i,-4.4792e-05-0.00051239i,-0.00090831+0.00022602i,-0.00052921+0.00021861i,0.00022188-7.3105e-05i,0.00082086+0.00031096i,0.0011955+0.00046108i,0.0012571+0.00063505i,0.00054873+0.00010519i,0.00059821-0.00057429i,0.00073743-0.00053137i,-2.7959e-05-0.00049386i,-0.00061812-0.00019408i,-0.00034508+0.0003711i,0.00010658+0.00065892i,-0.00045366-3.6923e-05i,-0.00078228-0.00015279i,0.00029451+0.00059011i
0.0003105-0.0001316i,-0.00018979-0.00014505i,-0.00024594+0.00099743i,0.00018163+0.0015988i,0.001099+0.0017515i,0.001737+0.0020856i,0.00043291+0.00078992i,-0.00036562+0.00057664i,7.29e-05+0.0010581i,0.0003739+7.4201e-05i,-0.00017528-0.00050203i,-0.00065125-0.00029737i,-0.00061949-0.00066774i,-0.00048805-0.00065978i,0.00020573-0.00060338i,0.00017788-0.0008248i,-0.0001654-0.00055088i,-7.845e-05-0.00043059i,5.2503e-06+7.1617e-05i,5.4247e-05+0.00081416i,-0.00015642+0.0012533i,-0.00020645+0.00092397i,1.8681e-05+0.00033412i
0.0014465-0.00093859i,0.00092536-0.00090349i,0.0011491-0.00093034i,0.0023023-0.00088631i,0.0029083-0.00031057i,0.0020441+7.8074e-05i,0.00067294+0.00038406i,-0.00014338+0.001074i,-0.00065843+0.0013839i,-0.00031304+0.0015559i,0.0010998+0.0015384i,0.001394+0.00095042i,0.00091806+0.00067327i,0.00051416+0.00064882i,-0.00018662+0.00067071i,-0.00065303+0.00040891i,-0.00027843+0.00022096i,8.5586e-05+0.00041014i,-7.0449e-05+0.00026269i,0.00073514+0.00035909i,0.0019984+0.0005665i,0.0022961+0.00093507i,0.0011127+0.00068607i
-0.0023223+0.00023648i,-0.0020729+0.00062067i,-0.0026742+0.0014011i,-0.0013914+0.0020644i,0.0011336+0.0026288i,0.0012195+0.0022231i,-0.000857+0.0011689i,-0.0017231+0.0011358i,-0.0019205+0.0019784i,-0.00093541+0.0017228i,4.104e-05+0.00021967i,-1.3856e-05+7.3056e-05i,-0.00011477+0.0007584i,-0.00032797+0.0002054i,5.6762e-05+0.00020234i,0.00064126+0.0010159i,0.00059985+0.00097744i,0.00017419+0.00069999i,-0.00018321-8.1479e-05i,-0.00022319-0.00074599i,-0.00018883-0.00050647i,-0.00024894-0.00013075i,-0.00046637-8.6468e-05i
-0.00059014+0.00061866i,-0.00014851+0.00073175i,0.00029791+0.00013062i,-7.877e-05+0.00051892i,0.00060138+0.00033634i,0.0016567-0.00014956i,0.001023+0.00025965i,-0.0002665+0.00094223i,-0.00040562+0.0010146i,0.00019028+0.00092166i,0.00022607+0.00078601i,0.00024726+0.00050446i,0.00041764+0.00021649i,-0.0001858+0.00017917i,-0.00059498+0.0004944i,-0.00052827+0.0010193i,-0.00062204+0.00091686i,-0.00039705+0.00054813i,9.2896e-05+6.5508e-05i,-0.00015924-0.00011258i,-0.00025948-0.00024105i,-0.00042529-0.00066175i,8.8293e-05-0.00053643i
-0.00017091+0.0012565i,0.00045216+0.0016936i,0.0011089+0.0020391i,0.0019352+0.0013328i,0.002907-0.00018755i,0.0021374-0.00063189i,0.00046379-0.00065923i,0.00020304+0.0002322i,0.00051365+0.001154i,0.00069115+0.0008707i,0.00082892+0.00029725i,0.0009178-3.5799e-05i,0.00081378-6.0015e-05i,3.4154e-05+0.00014639i,0.00037174-7.4054e-06i,0.00015803-0.00055541i,-0.00037515-0.0001009i,-0.0003977-3.4204e-05i,-0.00021023-0.00039381i,0.00028731-0.00023847i,-0.00044572-0.00038029i,-0.00068934-0.00029577i,-0.00017528+4.9944e-05i
6.1509e-05+0.00024091i,0.00060323+0.0010858i,0.0016061+0.0014654i,0.0016298+0.00093877i,0.0019621+0.00055452i,0.0013772-8.4315e-05i,-0.00010132-0.000653i,-0.00065136-0.00051847i,-8.4047e-05+0.00043554i,0.00050405+0.00061895i,0.00056424+0.00022167i,0.00037176+3.8839e-05i,0.00079679-0.00015857i,0.0012515+0.00010097i,0.00034262+0.00047927i,-0.00063003+0.00020644i,-0.00032601-0.00051268i,-6.7975e-05-0.00063069i,-0.00041648+5.0308e-05i,-0.00026059+9.1171e-05i,-0.0001801-0.00064873i,-0.00013244-0.00091009i,0.00016464-0.00065061i
-0.00010647-0.00076938i,-0.0006599-0.00040382i,-0.00031295-0.00017811i,0.00062494-7.9051e-05i,0.0010718+0.00049053i,0.0012731+0.0016339i,0.00022673+0.0018811i,-0.00077106+0.0012581i,-1.9904e-05+0.00069237i,0.00082317+0.0014529i,0.0006095+0.00089464i,0.0002538-0.00028621i,0.0002803-0.00074109i,0.00065873-0.0010033i,0.00026099-0.00062966i,-0.00035241-0.00030323i,0.00042053-0.00024781i,0.00094086-0.00059456i,0.00071858-0.0011163i,0.00071728-0.00046041i,0.00054045-5.7231e-05i,-0.00030697-0.00073184i,-0.00057155-0.0017115i
0.00092983-0.00075556i,0.0007802-0.0010544i,0.0013076+0.00033677i,0.002027+0.0010923i,0.0030136+0.0010649i,0.002358+0.00012092i,0.00045004-0.00021891i,-0.00094166+0.00078554i,-0.00099251+0.0014207i,-0.00045321+0.0011966i,0.00013951+0.00040602i,0.00090962-0.00016336i,0.0011982-0.00035877i,0.00094945-0.0003334i,0.00020165-4.6703e-06i,-0.00017632+0.00047454i,0.00014463+0.00023518i,-4.6141e-05+0.00027092i,-0.00020144+0.00023059i,-0.00018878-6.6809e-05i,-0.00075423-0.00049687i,-0.00059762-6.8385e-05i,-0.00052233+0.00058904i
-0.00069934-0.0012776i,-3.6766e-05-0.00016533i,-0.00010425-0.00050423i,0.0020438+0.00052806i,0.0041289+0.0014142i,0.0029292+0.0011589i,0.00051001+0.00057862i,-0.00055738+0.00078828i,-0.00056133+0.0013425i,7.1627e-05+0.0015179i,0.00058744+0.0014014i,-0.00024357+0.00096664i,-0.00029892+0.0011359i,0.00056099+0.00048462i,0.00013821-0.0001852i,-0.00057396-0.0001496i,-0.00021862+3.3985e-05i,3.3199e-06+0.0003467i,-0.00040623+2.6075e-05i,-0.0002525-0.00028318i,0.00076242-0.00067431i,0.00064517-0.00036865i,-0.00021201+0.00035178i
0.0013337+0.0015358i,0.0010035+0.0023554i,0.00012391+0.0029322i,0.00032548+0.0022249i,0.0013533+0.00080706i,0.00070188-0.00040438i,-0.00058084-2.6235e-05i,-0.00068353+0.0012273i,-0.00022829+0.0020629i,0.00019155+0.0019712i,0.00066992+0.0011705i,0.00078718+0.00067795i,0.00063782-0.00011i,2.3205e-05-0.00054781i,-0.0006371-0.00013804i,-0.00011288-0.00011029i,0.00053853+0.00011483i,0.00084418-1.4266e-06i,0.001751-0.00048746i,0.0015976+6.0914e-05i,-0.00017426+0.00069099i,-0.00042755+0.00065593i,0.0002517+0.00061168i
