0.0027148+0.0010007i,0.0024026-0.00041483i,-4.7441e-05-0.0020944i,-0.0021742-0.0025472i,-0.0027772-0.0015767i,-0.0029683-0.00034935i,-0.0023193-1.0437e-05i,3.4905e-05-0.000443i,0.0019265-0.00080819i,0.0012874-0.0012402i,0.00014986-0.00074334i,0.00036282+3.4003e-05i,0.00089099+0.00030175i,-0.00013511-0.00014889i,-0.00077868-0.00023139i,-0.00068995+0.00071312i,-0.00068143+0.00075408i,8.6593e-05+0.00021223i,0.0010812+0.00032022i,0.00078799+0.00018537i,0.00024777-0.00052486i,-0.00021917-0.00047759i,-0.00069839+2.2114e-05i
0.00054699-0.00054688i,-8.0813e-05+0.0007109i,-0.00079351+0.0007088i,-7.3767e-05+0.00043283i,0.00065582-2.4346e-05i,0.00018044-0.0013802i,-9.4622e-05-0.0021548i,0.00022184-0.00071584i,0.00089818+7.7706e-05i,0.0011952-0.00024181i,0.00040216+0.00015915i,0.000259-3.9281e-05i,0.00050923-0.00017081i,0.00013889+0.00015656i,0.00015049+5.6902e-05i,-0.00032364-0.00013181i,-0.00045633-0.00011272i,0.00023228-0.00016627i,-5.3627e-05-0.00019414i,3.0556e-05-1.025e-05i,0.00032077+1.3898e-05i,-0.00020602+4.6459e-05i,-0.00036397+0.00033389i
0.0039167+0.00095876i,0.0031401-0.00034004i,0.0030815-0.00083483i,0.0021298-0.00029288i,0.00065163+0.00078207i,-0.00047039+0.0003585i,-0.00054712-0.00033998i,0.00060692-0.00030027i,0.0022929-0.00028745i,0.0021195-0.0006863i,0.00097518-0.00075546i,0.00031236-0.00028996i,6.0407e-06-0.00064115i,-0.00062809-0.0010146i,-0.000958-0.00054209i,-0.00044681+2.2854e-05i,-8.4623e-05+0.00039026i,0.00041941+6.0138e-05i,0.00046922-0.00042225i,0.00037087-0.00068045i,0.00025642-0.0013021i,0.00012177-0.00085838i,4.7648e-05-7.211e-05i
0.00026165-0.00039109i,0.00051207-0.00025864i,0.00030782-0.00021983i,0.00014927+3.4347e-05i,-6.8119e-05+7.0676e-05i,0.0014787+0.00027812i,0.0018774+0.00015239i,0.00085403+0.00018845i,-8.046e-05-2.3109e-05i,-0.00015421-0.0005512i,-0.00062533-0.00069401i,-0.0010395-0.00054315i,0.00035158-0.00052881i,0.0013301-0.00053693i,0.00076476+6.1194e-05i,-0.00010989-0.00046003i,-5.6333e-05-0.0015457i,-0.00012419-0.0013868i,-0.00027925-0.00093964i,-0.00042927-0.00062174i,-0.00053891-6.938e-05i,-0.00029518+0.00035928i,-0.0001393+3.7254e-05i
-0.00065267+0.0036169i,-0.0006528+0.0026578i,0.0002457+0.0011727i,0.0012342+0.00053824i,0.0015242-0.00033615i,0.00020626-0.0010442i,-0.0013926-0.0012157i,-0.00091337-0.0011362i,0.00048065-9.2146e-05i,0.00061558+0.00070748i,0.00014734+0.00052563i,-0.00038866+0.00032708i,-0.00048513+0.00040095i,-0.00046524-0.00047403i,-0.00081087-0.0009646i,-0.00019564-0.0005562i,0.00053541-0.00054773i,2.1933e-05-4.2149e-05i,-0.00058983+0.00019308i,-0.00029802+0.000398i,1.5685e-05+0.00086317i,0.00022229+3.6316e-05i,0.00046247-0.00052409i
0.0013958-7.2511e-05i,0.0014038-0.00082234i,0.0010048-0.00133i,-0.00044018-0.0010869i,-0.0010567-0.0012336i,0.00025122-0.0016182i,0.00075138-0.0018995i,0.00042038-0.0020521i,7.223e-05-0.0013603i,-0.00048765-0.00040307i,-0.00038651+0.00038856i,0.0003107-5.8035e-05i,0.00025159-0.00094267i,1.9024e-05+0.0002326i,-8.0235e-05+0.0010305i,-8.8693e-05+0.0005445i,5.4394e-05+0.00053533i,0.00021946+0.0013121i,-0.00014305+0.00096008i,-0.00061241-0.00050633i,-0.00018232-0.00079115i,0.00068599+0.00013832i,0.00081539+0.00053964i
-0.0002387-0.0012803i,0.00038418-0.0017537i,0.0010064-0.0026285i,0.00049776-0.0015664i,0.00010059-7.4169e-05i,0.00038049-0.00036747i,0.00023524-0.00052831i,-4.0178e-05-0.00052305i,0.00058612+0.00015024i,0.00081143+0.00096596i,0.00076241+0.00046551i,0.00073964-0.00012841i,0.0008258+0.00068499i,0.0012152+0.0017386i,0.000751+0.00096172i,0.00028054-0.00071124i,0.00035221-0.00091304i,0.00022356-0.00022281i,3.9122e-05+0.00025924i,-0.00057085+0.00061547i,-0.00038913+0.00065455i,0.00052974+1.959e-05i,0.00039063-0.00037495i
0.0011731-0.0010497i,0.00029689-0.00048582i,-0.00080143-0.001028i,-0.0010975-0.00027028i,-0.00054982+0.00047626i,0.00050164-0.00064948i,0.00015932-0.0018006i,-0.00043175-0.0013338i,-0.0002029+1.9892e-05i,0.00059234+0.00017218i,0.00031739+4.1973e-05i,-7.7582e-05+0.0004857i,0.00051696+0.00036543i,0.0012856+9.7238e-05i,0.0012549+0.00032323i,0.00058943+0.00016248i,0.00017784-0.00028386i,-0.00028589-0.00022896i,0.00021232-0.00063351i,0.00072301-0.00052945i,0.00018002-0.00024312i,-0.00067386-0.00055835i,-0.00050923-0.00044001i
0.0040656+0.0030293i,0.0054987+0.0028632i,0.0053136+0.0013602i,0.0033702+8.1787e-05i,0.0015124-0.0014303i,0.00014739-0.0014313i,-0.0010491-0.00036005i,-0.0011171-0.00069269i,-0.00038564-0.0010241i,0.00030623-0.00015048i,0.00045132+0.00031179i,-0.00014834+0.00020418i,-0.00093079-0.00023338i,-0.0015553+0.00010725i,-0.0020204+0.00040189i,-0.0013593+0.00033187i,3.3433e-05+0.00096662i,0.00043639+0.00086761i,0.00032967+0.00043629i,0.00061045+0.00047498i,0.00071807+0.00042573i,0.00062308+3.204e-06i,0.00076099-0.00038378i
0.0032414+0.0017221i,0.002843+0.00033908i,0.0018564-0.0014435i,0.00059486-0.0028971i,-7.4011e-05-0.0031147i,-0.0010606-0.002826i,-0.0018154-0.0022736i,-0.002212-0.00065751i,-0.00014252+0.00058737i,0.0010793+0.00037292i,-0.00055889-0.00010821i,-0.0016337-9.8783e-05i,-0.0014039+0.00028426i,-0.0013327+0.00030592i,-0.001316-0.00017189i,-0.0008735+0.00042688i,-0.00019437+0.001207i,-6.0029e-05+0.00017898i,0.00011507-0.00031383i,0.00064458-0.00019184i,0.001646-0.00045323i,0.0017673-1.2888e-05i,0.00060039+6.7407e-05i
0.0009739+0.0002222i,0.00097491-0.00021777i,0.0018884-0.00091122i,0.0018454-0.00037515i,0.00021404-6.4284e-05i,-0.00045038-0.00046259i,-0.00042968-0.00022973i,0.00032469-0.00015264i,0.00077129-0.0008723i,0.00060791-0.00083622i,0.00074146-0.00052756i,0.00022769+3.5738e-05i,-0.00074498+0.00017019i,-0.0013342+6.3001e-05i,-0.0007993+0.00039298i,-0.00028934-8.4981e-05i,-0.00042829-0.00067907i,-0.00025794-0.00039697i,-3.0371e-05+0.00061419i,-4.6872e-05+0.00094395i,0.00023414-4.4671e-05i,0.00045602-0.00088657i,0.00080462-0.00077333i
-0.00033649-0.0017456i,-0.0005233-0.0020817i,-0.00052148-0.00080662i,1.9691e-05-0.00026033i,0.00088469-0.00021828i,0.0011029-0.00090188i,0.00069193-0.0013521i,-0.00019439-0.00024634i,-0.00083659+0.00016549i,-0.00075465-0.00049168i,0.00020832-0.00077649i,0.00079848-4.098e-05i,0.00077637+0.0010934i,0.00088979+0.0014086i,0.0008626+0.00040338i,0.00034983+7.7466e-05i,0.00026357+0.00069292i,0.00041364+0.00099105i,9.3212e-05+0.00059516i,-7.8591e-05+0.00018914i,-0.00022994+2.0056e-05i,-0.00098731-0.00044978i,-0.0014473-0.00047106i
0.0024086+0.00066549i,0.0026675+0.00060237i,0.0026645-0.00013878i,0.0021837-0.00095793i,0.0016631-0.0017732i,0.00048568-0.0018789i,5.1046e-06-0.0014086i,0.00057887-0.0012505i,0.00086464-0.0011882i,-0.00010259-0.001817i,-0.00090961-0.0010124i,-3.1001e-05-0.00022795i,0.00084993-0.00021754i,0.00049116-4.5717e-05i,0.00013058-4.7798e-06i,-0.00052194+0.00077611i,-0.00067748+0.00055429i,-0.00015631-0.00034336i,-7.6656e-05-0.00064208i,2.1136e-05-0.00064989i,-0.00024884-0.0002159i,-1.9494e-05-0.00029093i,0.00026539-0.00088633i
0.0019009+0.00065724i,0.0015377+0.0010373i,0.00080294+0.0014765i,0.00059966+0.00083306i,0.0010496-0.00097448i,0.0015357-0.001683i,0.00038935-0.0016555i,-0.0013154-0.0014825i,-0.001039-0.00025569i,-5.6662e-05-3.2086e-05i,0.00012795-0.0002363i,-0.00012558+0.00071415i,0.00018802+0.0013141i,0.00035749+0.0006722i,-8.1931e-05+0.00024179i,-8.0263e-05+0.00060241i,-5.5635e-05+0.00077483i,0.00014321+0.00034343i,0.00019223-1.1374e-05i,0.00070533-0.00034021i,0.00099037-0.00064927i,0.00064928-0.00043811i,0.00041191+0.00019246i
0.00091394+0.0037809i,0.0026498+0.0027714i,0.0038271+0.001303i,0.0021692+0.00029177i,0.00048509-0.00066961i,-0.0011822-0.0017151i,-0.0012919-0.0019635i,-0.000417-0.0011252i,-6.2957e-05-0.00051973i,0.00051978+6.4595e-05i,0.0005496+0.00029805i,0.00056862+0.00057553i,0.00016113+0.00039699i,-0.00089626-0.00092426i,-0.0013276-0.0021249i,-0.00044408-0.0012125i,0.00058762+8.4615e-05i,0.00039354+0.00047415i,-0.00048485+0.00048695i,-0.00052135+3.366e-05i,0.00028609-1.6353e-05i,0.00070559-0.00034748i,0.00031325-0.00071625i
0.0048856+0.0072358i,0.0066024+0.0060359i,0.0094337+0.001851i,0.0074101-0.0022959i,0.0040199-0.0058129i,-0.00017117-0.0050871i,-0.0023872-0.0013037i,-0.0015201+0.0008091i,0.00065834+0.0016914i,0.0020764+0.00037405i,0.00075466-0.00089341i,-0.00063338-0.0015698i,-0.0022072-0.0019978i,-0.0040173-0.0013488i,-0.0041168-0.00053149i,-0.0025176-0.00052119i,-0.00036965-0.00010648i,0.00055958+0.00050578i,0.00025194+0.00089556i,0.00059202+0.0013178i,0.0011735+0.0018182i,0.0014988+0.00099496i,0.0011282-0.00010753i
-0.0021968-0.0079657i,-0.0042103-0.007005i,-0.006572-0.0042937i,-0.0057673-0.00015972i,-0.0030477+0.0034612i,6.9293e-05+0.0037518i,0.00059139+0.0010848i,-0.00025291-0.0006117i,-0.00061855-0.00083387i,-0.00069661-0.00021352i,-0.00020104+0.0006168i,0.00050747+0.0008629i,0.0017798+0.00033394i,0.0028855+0.00074962i,0.0022394+0.0012948i,0.0016212+0.00075778i,0.00047012-0.0001762i,-2.0788e-05-0.0010529i,0.00054275-0.0013444i,0.00021398-0.0012741i,-0.00075073-0.001339i,-0.0011819-0.00050339i,-0.00086412-4.4535e-05i
-0.0025467-0.00025493i,-0.001517+0.0013533i,-0.0018584+0.0029104i,-0.0012116+0.0029874i,0.0007123+0.0022065i,0.0021729+0.0010953i,0.0020686-0.00035211i,0.0019012-0.00097487i,0.0014799-0.00026502i,0.00096013+0.00052513i,0.0011237-6.2337e-05i,0.001285-0.00047423i,0.00079105+2.8784e-05i,0.00029938-0.00030708i,0.00028125-0.00029594i,0.0003053+0.00013643i,0.00062509+0.00024958i,0.0011729+0.00023209i,0.00056297-0.00018286i,-0.00012573-0.00026625i,5.1709e-05-0.00037339i,0.00011408-3.5246e-05i,8.1511e-06+0.00035832i
2.7121e-05+0.0014668i,-0.00021059+0.002206i,7.965e-05+0.0021928i,0.00075444+0.0014357i,0.0011073-4.7448e-05i,0.0011096-0.0012899i,0.00064436-0.0020316i,-0.00025177-0.0014888i,-0.0011806-0.00078155i,-0.0012051+1.1177e-05i,-0.00037084+0.00038307i,0.00056539+0.0006445i,0.0005836+0.00028331i,0.0008249-0.00051357i,0.0012083-0.00075923i,0.0010178-0.000275i,0.00034779+0.00053767i,-0.00020322+0.000657i,-0.00043712+0.00060281i,-0.00085771+0.00071564i,-0.00092654+4.767e-05i,-0.00025698+0.00020662i,0.00035556+0.0007233i
-0.0019931-0.0027679i,-0.0028696-0.002345i,-0.0027407-0.0011826i,-0.0027274-1.3467e-05i,-0.0017144+0.00089711i,8.4508e-05+0.0006277i,0.00051859-0.00040466i,0.00067645-0.00066238i,0.00077043-0.00093422i,0.0005245-4.0928e-05i,0.0007239+0.00085648i,0.00074176+0.0010282i,0.00087638+0.00045299i,0.0015794+0.00016446i,0.0016875-4.8589e-06i,0.00064185-0.00029138i,-0.00077895+0.00022692i,-0.00038559-0.00030747i,0.00013704-0.00071402i,-0.00012187-0.00034546i,-0.00079527-0.00032589i,-0.00087141-0.00091229i,-0.00058016-0.00041311i
-0.00056342+0.00041028i,-0.00074574+0.00062095i,-0.00073677-3.2516e-05i,-0.00054328+0.00052002i,0.00014512+0.00090791i,0.001711-8.877e-06i,0.0016769-0.00068186i,0.00082982-0.00045963i,-0.00043621-0.00063333i,-0.0012093-0.00093282i,-0.00039728+0.00046992i,0.00011676+0.0019608i,-0.00018+0.0013216i,0.00043551+0.0002954i,0.0012385-0.00021411i,0.00059831-0.00028875i,-0.00055538-0.0001727i,-0.00056919-0.00027426i,-9.7369e-05-0.00037268i,-0.000191-0.00037288i,-0.00023032-0.00081266i,-2.4947e-05-0.00073307i,-0.00090261-0.00015624i
-0.0016024+0.00061747i,-0.0015577-0.00042959i,-0.00088055-0.0014814i,0.00089305-0.0014182i,0.0016697-0.00066203i,0.00093214-0.00086489i,-0.00023419-0.0017645i,-0.00045436-0.0017499i,-5.3431e-06-0.00076521i,-2.0568e-05+3.4866e-05i,-0.00025447+0.0010211i,-0.00040021+0.0012121i,-0.00071469+0.00020235i,-0.00026732-0.00016943i,0.0010291+0.00029837i,0.0011376+0.0010102i,0.00046478+0.00060513i,1.4113e-05-0.00071269i,0.00011112-0.0011685i,-0.00012185-0.00048994i,-0.00034884-0.00033773i,0.00035756-0.00017021i,0.0002719+0.00045267i
-0.00021355-0.0019226i,-0.00042499-0.0027913i,-0.00093319-0.0018234i,-0.0008377-0.0007093i,0.00013018-0.00017408i,0.0011663-0.00038984i,0.0009646-0.001023i,2.5007e-05-0.00094565i,-0.00051848-9.7254e-05i,-0.00043653-4.696e-05i,-0.00034538-0.00032959i,-0.00048443+0.0009752i,-0.00042919+0.0021546i,-0.00052169+0.0012374i,-0.00042532-0.00019396i,-0.0001901-0.00065862i,-2.1567e-05-0.00012367i,0.0007027+0.00079537i,0.00026162+0.00094604i,-0.00095627-0.00036793i,-0.0010263-0.00076555i,-0.00047742+0.00017434i,0.00014107+0.0002534i
-0.0018829+0.0015397i,-0.00085324+0.0014163i,1.5984e-05+0.00047321i,0.00055024+0.00073188i,0.00089212+0.0011852i,0.00097278-0.00034102i,0.00040965-0.0021535i,-0.00056088-0.001716i,-0.00152+0.00012263i,-0.0012496+0.0010257i,-0.0001924+0.00084482i,0.00042716+0.0003172i,0.00044084-0.00053851i,0.00046669-0.0010326i,0.00055162-0.00078118i,0.00089524-0.00037334i,0.00061828+8.6043e-05i,-0.00021482+0.00070112i,-0.00021468+0.00061798i,0.00023915-0.00010989i,0.00034423+0.00027782i,-0.00013956+0.0005786i,-0.00037936+0.00065305i
0.0022348-0.0010148i,0.0013846-0.0010775i,0.0018449-0.00049627i,0.0013265+6.857e-05i,-0.00027622-0.00067832i,0.00036915-0.0013258i,0.0013911-0.00078736i,0.00064794-0.00011146i,2.6841e-05-0.00027979i,-0.00034892-0.00021719i,-0.00074122+0.00039333i,-0.00085808+0.00027308i,-0.00062929+0.00040372i,-0.00039083+0.001238i,-0.0008121+0.0015346i,-0.00031127+0.0013129i,0.00022367+0.0008277i,-0.00021791+0.00043518i,-0.00056875+8.9439e-05i,-0.00086579+9.102e-05i,-0.00067189+0.00014022i,-0.00022621+7.3553e-05i,-0.00027068-9.2525e-05i
-0.0004566+0.00073603i,-0.00039857-5.5199e-05i,-0.00048508-0.00053023i,0.00092221-6.7386e-05i,0.0014411+0.00038385i,0.001055-0.00079361i,0.00036143-0.001837i,0.00018505-0.0015992i,0.00081628+0.00021382i,0.00047946+0.0013868i,0.00026155+0.00097274i,0.00042618+0.00056824i,0.00047012+0.00050047i,0.00028042+0.00031317i,0.00078012+0.00067547i,0.00064283+0.00031554i,-0.00018539-0.00060592i,-0.00060656-0.00062831i,-0.00025514-0.00076734i,0.00063259-0.00075838i,0.00068169-0.00070747i,5.9511e-05-0.00061061i,-0.00017573-0.00022919i
-0.00081426-0.0034393i,-0.0017814-0.0030684i,-0.0034106-0.0021341i,-0.0035776-0.00013316i,-0.0018329+0.00071899i,0.00046161-0.00067387i,0.00099735-0.0020341i,0.00044086-0.0015765i,-6.7644e-05-0.00032532i,-0.00072477+0.00063012i,-0.0010609+0.0010694i,-0.00019822+0.00076949i,0.00040264-8.1464e-05i,0.00071529+0.00030792i,0.00015785+0.0012965i,-0.00075344+0.0010081i,-0.00077384+0.00066239i,-0.00066271+0.00052721i,-0.00012382-3.529e-05i,0.00021304-6.473e-05i,4.1253e-05-0.00016982i,-3.8139e-05-7.9776e-05i,0.00067228+7.0189e-05i
0.0010418+0.0013704i,0.0018938+0.00012868i,0.0014879+0.00033011i,0.00021046+0.0012311i,-8.0865e-05+0.00085169i,0.00019262-0.00034641i,6.3033e-05-0.0017747i,-0.00019924-0.00084979i,-0.00057004+0.00050966i,-0.00029476+5.3934e-06i,-9.4898e-05+0.00038357i,-0.00047845+0.00077743i,0.00018413+0.00052389i,8.4268e-05+0.00031022i,-0.00075551+0.00045072i,-0.00016546+0.00071947i,0.00012408+0.00066089i,0.00014547+0.00013i,0.00082625-0.00064022i,0.00072023-8.4502e-06i,-0.00024175+0.0004579i,-6.103e-05+0.00013996i,0.00074008-0.00027576i
0.0017895-0.0010193i,0.0015406-0.00074177i,0.0012384-0.00050815i,0.00042128-0.00049055i,0.00012467-0.00034531i,0.0013456-0.00075916i,0.001316-0.0015695i,0.00063382-0.0013467i,0.00096859-0.00059892i,0.00043357-0.00017413i,-0.00026764-0.00022082i,-0.00056788-0.00023604i,-0.00019111+0.00036612i,-9.7287e-05+0.0011003i,-0.0011217+0.00067008i,-0.0019165+2.0713e-05i,-0.0015625-9.9955e-05i,-0.0013441-0.00055038i,-0.0011803-0.00074099i,0.00063472-0.00052523i,0.0010146-2.373e-05i,-4.1402e-05-0.00020068i,-0.00035978-1.2606e-05i
0.0002457-0.00124i,-5.3556e-05-0.0007216i,0.00024009-3.7438e-05i,-5.3589e-05+0.00015364i,0.00016641+0.00017445i,0.00083098-0.0011343i,0.0003727-0.0021777i,0.00023188-0.0016593i,0.00068962-0.00048893i,0.00012357+0.00040907i,-0.00064759+0.00069864i,9.5679e-05+0.00064637i,0.00081473+0.00063532i,0.00064144+0.00070954i,0.00068799+0.00057925i,0.0010374+0.00099984i,0.00055894+0.00052108i,6.4173e-06-0.00020725i,0.00048495-0.00029177i,0.0010875-0.000377i,0.0011924-0.00022393i,0.00077-0.0003208i,0.00026995-0.00020371i
-0.00089205-0.0012202i,-0.0012083-0.0016079i,-0.00067057-0.0014757i,0.00010356-0.00053696i,0.001228-0.00017231i,0.0016089-7.3563e-05i,8.4874e-05-0.001147i,-0.00035376-0.0020267i,-0.0003686-0.0009513i,-0.00073911+0.00035533i,5.9649e-05+0.00077379i,0.00019148+0.00083052i,-0.00020932+0.00046064i,0.00054804+0.00043482i,0.00070579+0.000319i,0.00022413-0.00029916i,0.00049795-0.0003035i,0.00069507-0.00067917i,0.00049906-0.0013586i,-0.00035431-0.00046465i,-0.00062179-0.00025882i,-0.00028495-0.00043943i,-0.00022685+0.00015355i
-0.0014464+0.0020622i,0.00029911+0.0016924i,0.00093075+0.0017114i,0.0010097+0.0010348i,0.0020839+0.00083376i,0.00099071-0.0002294i,-0.00079583-0.0015914i,-0.00090014-0.0011356i,-0.0005953+0.00063102i,-0.00062835+0.0010043i,-0.00091413+0.0007517i,-0.00067617+0.0001429i,8.5226e-06-0.00028189i,9.2711e-05-0.0004441i,0.00043644-0.0010681i,0.00072601-0.00032265i,-0.0001522+0.0009383i,-0.00064813+0.00074679i,0.00011002-0.00053867i,0.0006211-0.0013261i,0.00048562-0.00093909i,0.00045913-2.308e-05i,0.00023315+8.1332e-05i
-0.00013083-0.0008416i,-0.00042526-0.0011123i,-0.00099841-0.00042917i,9.5757e-05-0.00053507i,0.0012065-0.00063541i,0.0011363-0.0013815i,0.00011692-0.0020496i,-0.0010642-0.0017932i,-0.0010993-0.00079279i,-0.00023229+0.00021594i,-0.0002306+0.00048892i,-0.00047841-0.00016472i,0.00021243-0.00026557i,0.00041139-0.00019543i,-0.00046301+4.7019e-05i,-0.00093933+0.00030126i,-0.00015437+0.00038385i,0.00016123+0.00050714i,-0.00018723+0.00051031i,-0.00045644+0.00037049i,3.4541e-05-6.5804e-06i,0.00081948-0.0007454i,0.00044162-0.00086957i
0.0010533-0.00018443i,0.00093739-0.0012982i,0.00083648-0.0011313i,0.0010589-0.0010223i,0.0011044-0.0015008i,0.0010951-0.0018537i,0.0010505-0.001768i,0.00029057-0.00057825i,-0.00079627+4.2374e-05i,-0.0002005-0.00037535i,0.00070465-0.00046109i,0.0007215-5.807e-05i,0.00043742+0.00057715i,0.00054663+0.00098364i,0.00060059+0.00013873i,0.00080041-6.3795e-05i,0.0006741+0.0003187i,-7.1276e-05-0.0001126i,0.00050037-0.00014717i,0.001053+6.2794e-05i,0.00049732-8.4789e-05i,-0.00047366-0.00015176i,-0.00034817+0.00035602i
-0.00077899+0.00030906i,-0.0014814+0.00093789i,-0.0016878+0.0025023i,-0.00051823+0.0024281i,0.0010342+0.0017985i,0.0013778+0.00048763i,0.000835-0.0008064i,0.00038831-0.00054979i,0.00027231+0.001081i,-0.00024308+0.0015209i,-0.00060506+0.00048252i,0.00015889+0.00046166i,0.00067569+0.00056606i,0.00046445-9.6024e-05i,0.00047444-0.00077447i,0.00031281-0.00067279i,0.00017792+0.00030521i,0.00036996+0.00063648i,0.00016955-0.00037164i,-0.00029606-0.00067847i,-0.00034507-0.00022322i,-0.00038174+0.00014391i,-0.0004417-0.00040342i
0.00023056+0.00042413i,0.00032237-0.0003886i,0.0012763-0.0014125i,0.00049695-0.0010402i,-0.0011856+0.00010762i,-0.00057959+9.4652e-05i,0.00030443-0.00068585i,0.00035638-0.0010319i,0.00038464-0.0011038i,0.00017061-0.0008307i,0.0002419-0.00031298i,3.8283e-05+0.00061689i,-0.00036587+0.00057899i,-0.00020006+0.00060106i,-0.00014388+0.0011322i,9.7837e-05+0.0006353i,-0.00012337-0.00032885i,-0.00046006-0.0011721i,0.00026864-0.00074451i,0.0010187-0.00016793i,0.00078421-0.00049887i,0.00033045-0.00046244i,0.00044133-0.00019625i
-0.00086271-0.0009545i,-0.00045294-0.0010235i,3.3632e-05-0.00029491i,0.00033054+0.00042856i,0.00043582-0.00034624i,0.00060786-0.0015781i,0.00034876-0.0014997i,-0.00042366-0.00054478i,-0.00056813+0.00052653i,2.7747e-05+0.00037923i,0.00034147+0.00021176i,0.0001203+0.0005865i,-0.00018232+0.00047197i,0.00058683-0.00030485i,0.00037697-0.00055807i,-0.0001748-0.00065743i,-0.00049539-0.00061838i,-0.00080793-0.00017873i,-0.00015307+0.00053683i,0.00010914+0.00070849i,0.00020034+0.00025213i,0.00056895-0.00027349i,0.0004499-0.00053205i
-0.0020086+0.0019579i,-0.0021091+0.0014849i,-0.0014551+0.0011033i,-0.00070387+0.0020001i,0.00013439+0.0020079i,0.0010627+0.00055149i,0.00039978-0.00087429i,-0.00090758-0.00078875i,-0.00088603+0.00023317i,-0.00040583+0.00031716i,5.3385e-05+0.00015908i,0.00013404+0.00016876i,2.9945e-05-0.00025954i,5.1127e-05-0.0010549i,0.0003239-0.0014862i,0.00012185-0.00062776i,-0.00042459+3.8759e-05i,-0.00065376+0.0005806i,-0.00063736+4.6752e-05i,-0.00042768-0.0012957i,-0.00063446-0.00087773i,-0.00085576+0.00013361i,-0.00018352+0.00084319i
0.00083537+0.001096i,0.0029722+0.00022557i,0.0033089-0.00039381i,0.0019921-0.0015401i,0.0011871-0.0022891i,0.00037833-0.0020779i,-0.0003294-0.0019695i,-0.00040832-0.00091738i,0.00041181+2.1636e-05i,0.0015239+0.00038963i,0.0012433+9.9472e-05i,-0.00033109+0.00013739i,-0.0007547+0.00033703i,-0.00052313+8.3342e-05i,-0.00043611+0.00010723i,0.00013286+0.00067185i,-0.00024329+0.0014776i,-0.00093729+0.0015993i,-0.00052548+0.00097928i,-0.00037699+0.00088098i,-8.3528e-05+0.0010577i,-0.00038256+0.00023722i,-0.00041764-0.00035697i
-0.00025531-0.00021893i,-2.7438e-05-0.00059108i,0.00095654-0.00057971i,0.0010521-0.0010689i,0.00046229-0.0013823i,-0.00065433-0.0013896i,-0.0007246-0.0014125i,-0.00011815-0.00083131i,-5.2902e-05+0.0002426i,0.00027111+0.00076596i,0.00098992+0.00037617i,0.0012884+0.0003036i,0.0015301+0.00048387i,0.0017913+0.00024287i,0.0017603+9.3831e-05i,0.0014814+4.6886e-05i,0.0013684-0.000206i,0.0010909+0.00022476i,0.00060138+0.00026659i,0.00043091-0.00016506i,0.00015608-0.00026739i,-0.0004603-0.00022257i,-0.00019487-8.3507e-06i
-0.00020953-0.0013498i,-0.0010486-0.0014519i,-0.0013453-0.0011003i,-0.0010133-3.9973e-05i,-4.3998e-05+0.0002126i,0.00048473-0.00056026i,-0.0002042-0.001011i,-0.00071799-0.0013271i,-0.00056723-0.00099686i,-0.00059551+9.3046e-05i,-0.00065326+0.00052113i,-0.00040289+0.0007301i,0.00042834+0.00063844i,0.001035+0.00025304i,0.00018462-0.00061508i,-0.00043149-0.0010725i,-0.00012699-0.00058863i,0.00011823+0.00065395i,0.00026063+0.00093971i,0.00029296+0.00021267i,0.00059801-0.00028302i,0.00031354-0.00037132i,-5.1514e-05-0.00018736i
0.0021333+0.0018339i,0.0018825+0.0012605i,0.002275+0.0010414i,0.0023809+0.00023602i,0.0016678-0.00022441i,0.00063371-0.0010752i,-0.00019086-0.0018172i,0.00027592-0.0013094i,0.00079668-0.00054952i,0.00074189-0.00035948i,0.00033403+0.00027064i,-0.00058295+0.00052542i,-0.00069221+8.3934e-06i,0.00016683-0.00010874i,0.00070762-0.00045879i,-0.00026107-0.00048602i,-0.00070556-0.00026217i,-0.00015359-0.00021545i,-0.00069912-0.00034035i,-0.0014274+0.00012021i,-0.0012726+0.00052173i,-0.0009229+0.0005191i,-0.00014247+9.5996e-05i
-0.00041685+0.00050273i,-0.00057635+0.00021468i,-0.0014159+0.00029787i,-0.0010798+0.00048916i,8.1874e-06+0.00017722i,0.00071961-0.00047392i,0.00060567-0.0012924i,-0.00022778-0.00095179i,-0.00057029+0.00028631i,-4.2907e-05+0.00063511i,0.00033864+0.00065898i,0.00054994+0.00066886i,0.00047302+0.00054911i,0.00034607+0.00077201i,0.00080846+0.0010825i,0.0012225+0.00080557i,0.0011273+0.00040478i,0.00035034+0.00018655i,0.00029561+0.00014357i,0.0001405+0.00051516i,-0.00043637+0.00089007i,5.4802e-05+0.00045233i,0.00093136-0.00043304i
-0.00024887-0.0008121i,5.2861e-05-0.00022224i,0.00018653-0.00091095i,-0.00018581-0.0012857i,-0.00055642-0.0004862i,-0.00070206-2.4054e-05i,-0.00036539-0.00016855i,-7.038e-05-0.00043348i,3.6869e-05-0.00063305i,0.00038403-0.00043735i,0.00020538-0.00017664i,-0.00091558+0.00027556i,-0.00040363+0.00049853i,0.0010484+0.00080086i,0.0010687+0.00096908i,0.00064784+0.00020354i,0.00031175+0.00031169i,7.386e-05+0.00059943i,0.00042573+0.00015851i,0.00031873-1.7304e-05i,0.00039426+9.9595e-05i,0.0001748+0.00087272i,-0.00061933+0.0011637i
